@English@|@Georgian@
@bawdier@|@უფრო უწმაწური, უფრო უხამსი@
@bawdiest@|@ყველაზე უწმაწური, ყველაზე უხამსი@
@bawdily@|@უწმაწურად, უხამსად@
@bawdy@|@უწმაწური, უხამსი@
@bawl@|@ღრიალი, ყვირილი@
@bay@|@დაფნა, მალი, ნიში, რკინიგზის ბაქანი, სანაპირო, ყეფა, წაბლა, წაბლისფერი@
@bayonet@|@ხიშტზე წამოგება, ხიშტი@
@bayonets@|@ხიშტები, ჯარისკაცები@
@bayou@|@ტოტი მდინარის დელტაში@
@bayous@|@ტოტები მდინარის დელტაში@
@bays@|@დაფნები, მალები, ნიშები, რკინიგზის ბაქნები, სანაპიროები@
@bazaar@|@ბაზარი, საქველმოქმედო ბაზრობა, უნივერსალური მაღაზია@
@bazaars@|@ბაზრები, საქველმოქმედო ბაზრობები, უნივერსალური მაღაზიები@
@bazooka@|@რეაქტიული ტანკსაწინააღმდეგო ყუმბარსატყორცნი ბაზუკა@
@bazookas@|@რეაქტიული ტანკსაწინააღმდეგო ყუმბარსატყორცნები@
@be@|@ყოფნა@
@beach@|@გემის თავთხელზე დარგენა, ზღვისპირი, ნაპირზე გადმოტანა, პლაჟი@
@beachcomber@|@გააქვს თავი, ოკეანის ტალღა, რომელიც ნაპირს რეცხავს@
@beachcombers@|@გააქვთ თავი, ოკეანის ტალღები, რობლებიც ნაპირს რეცხავს@
@beached@|@დამრეცი ნაპირის მქონე, ნაპირზე გამორიყული@
@beaches@|@ზღვისპირები, პლაჟები@
@beachhead@|@გადატრიალება, დესანტის გადმოსხმის პლაცდარმი@
@beachheads@|@გადატრიალებები, დესანტტის გადმოსხმის პლაცდარმები@
@beachwear@|@პლაჟის ტანსაცმელი@
@beacon@|@გზის მაჩვენებელი შუქურა, სასიგნალო შუქი@
@bead@|@ბურთულა, მძივი@
@beadle@|@უნივერსიტეტის პედელი, წესრიგის მეთვალყურე ეკლესიაში წირვის დროს@
@beadles@|@უნივერსიტეტის პედელები, წესრიგის მეთვალყურეები ეკლესიაში წირვის დროს@
@beads@|@კრიალოსანი, მძივები@
@beady@|@ბუშტოვანი, მძივისებრი@
@beagle@|@მოკლეფეხებიანი მეძებარი ძაღლი@
@beagles@|@მოკლეფეხებიანი მეძებარი ძაღლები@
@beak@|@ნისკარტი@
@beaker@|@მენზურა@
@beakers@|@მენზურები@
@beaks@|@ნისკარტები@
@beam@|@ბრწყინვა, გამოსხივება, კოჭი, სხივი@
@beamed@|@გაბრწყინებული, ქორბუდა@
@bean@|@ლობიო, მარცვალი, ბურთულა@
@beanfeast@|@დღესასწაყლი, უქმე@
@beanfeasts@|@დღესასწაულები, უქმეები@
@beano@|@ქეიფი@
@beanos@|@ქეიფები@
@beans@|@ლობიო, მარცვლები@
@bear@|@ატანა, ბირჟის სპეკულანტი, გადატანა, გადაზიდვა, გაძლება, დათვი, დიდი დათვის თანავარსკვლავედი@
@bearable@|@ასატანი, რიგიანი@
@beard@|@წვერი, წინააღმდეგ გაბედულად, თამამად გამოსვლა@
@bearded@|@წვერიანი@
@beardless@|@უწვერო@
@beards@|@წვერები@
@bearer@|@მაცნე, ტვირთის მზიდავი, წარმომდგენი, მატარებელი@
@bearers@|@მაცნეები, ტვირთის მზიდავები, წარმომდგენები, მატარებლები@
@bearing@|@დამოკიდებულება, მატარებელი, მნიშვნელობა, მოქცევა, ტარება, ზიდვა@
@bearings@|@დამოკიდებულებები, მატარებლები, მიმართულება კომპასის მიხედვით, მნიშვნელობები@
@bearish@|@უხეში@
@bears@|@ბირჟის სპეკულანტები, დათვები@
@bearskin@|@დათვის ტყავი@
@bearskins@|@დათვის ტყავები@
@beast@|@ნადირი, მხეცი@
@beastlier@|@უფრო მხეცური, უფრო უმსგავსო@
@beastliest@|@ყველაზე მხეცური, ყველაზე უმსგავსო@
@beastliness@|@სიბინძურე, პირუტყვობა@
@beastly@|@მხეცურად, საძაგლად, მხეცური, უმსგავსო@
@beasts@|@ნადირები, მხეცები@
@beat@|@დამარცხება, დარტყმა, დარტყმა, დაღლილი, დაქანცული, რიტმი, ცემა@
@beaten@|@დამარცხებული, ნაცემი@
@beater@|@დამრტყმელი, ხის ჩაქუჩი@
@beaters@|@დამრტყმელები, ხის ჩაქუჩები@
@beatific@|@ნეტარი@
@beatification@|@დალოცვა, ლოცვა-კურთხევა@
@beatifications@|@დალოცვები, ლოცვა-კურთხევები@
@beatified@|@დალოცვილი@
@beatify@|@დალოცვა, ნეტარის მინიჭება@
@beating@|@დამარცხება, მიტყეპა@
@beatitude@|@ნეტარება@
@beatitudes@|@ნეტარება, ნეტარებანი, სახარების ცხრა ნეტარება@
@beatnik@|@ბიტნიკი@
@beatniks@|@ბიტნიკები@
@beats@|@დარტყმები@
@beau@|@პეწენიკი@
@beauteous@|@მშვენიერი@
@beautician@|@კოსმეტოლოგი@
@beauticians@|@კოსმეტოლოგები@
@beauties@|@მომხიბლავი, ან ლამაზი რამ, მშვენიერებები@
@beautified@|@გაალამაზა, გალამაზებული, მორთო, მორთული@
@beautifies@|@რთავს, ალამაზებს@
@beautiful@|@მშვენიერი, ლამაზი@
@beautifully@|@ლამაზად@
@beautify@|@გალამაზება, მორთვა@
@beauty@|@სილამაზე@
@beauty-parlour@|@კოსმეტიკური კაბინეტი@
@beauty-parlours@|@კოსმეტიკური კაბინეტები@
@beauty-salon@|@სილამაზის სალონი@
@beauty-salons@|@სოლამაზის სალონები@
@beauty-sleep@|@დღისით ძილი@
@beauty-spot@|@განგებ მიწებებული ხალი@
@beauty-spots@|@განგებ მიწებებული ხალები@
@beaver@|@თახვი@
@beavers@|@თახვები@
@becalmed@|@დაწყნარებული, დამშვიდებული@
@because@|@იმიტომ, რომ@
@beck@|@ნიშნება@
@beckon@|@თავის დაკვრა@
@become@|@გადაქცევა, გახდომა@
@becoming@|@საკადრისი, შესაფერისი@
@becomingly@|@შესაფერისად@
@bed@|@ლოგინი, ლოგინში ჩაწვენა, საწოლი@
@bedaubed@|@დასვრილი, ვულგარულად ჩაცმული@
@bedbug@|@ბაღლინჯო@
@bedbugs@|@ბაღლინჯოები@
@bedclothes@|@ლოგინის თეთრეული და საბნები@
@bedding@|@ლოგინის თეთრეული და საბნები, საგები საქონლისათვის@
@bedecked@|@მორთული@
@bedevil@|@დაბნევა, ტანჯვა@
@bedevilled@|@დაბნეული, დატანჯული@
@bedewed@|@დანამული, დაცვარული@
@bedfellow@|@ლოგინის მოზიარე@
@bedfellows@|@ლოგინის მოზიარეები@
@bedimmed@|@დაბინდული, დაბნელებული@
@bedlam@|@ბედლამი, საგიჟეთი@
@bedlams@|@საგიჟეთები@
@bedpan@|@საწოლის ლითონის სათბური, ღამის ჭურჭელი@
@bedpans@|@საწოლის ლითონის სათბურები, ღამის ჭურჭლები@
@bedpost@|@საწოლის სვეტი@
@bedposts@|@საწოლის სვეტები@
@bedraggled@|@დასველებული, ტალახით დასვრილი@
@bedridden@|@საწოლს მიჯაჭვული@
@bedrock@|@კლდოვანი საფუძველი, ძირითადი პრინციპები, ჰორიზონტი@
@bedrocks@|@კლდოვანი საფუძვლები, ძირითადი პრინციპები, ჰორიზონტები@
@bedroll@|@დახვეული ლოგინის ქვეშაგები@
@bedrolls@|@დახვეული ლოგინის ქვეშაგებები@
@bedroom@|@საძინებელი ოთახი@
@bedrooms@|@საძინებელი ოთახები@
@beds@|@ლოგინები, საწოლები@
@bedside@|@საწოლთან@
@bedsit@|@საერთო ოთახი@
@bedsits@|@საერთო ოთახები@
@bedsitting-room@|@საერთო ოთახი@
@bedsitting-rooms@|@საერთო ოთახები@
@bedsore@|@ნაწოლი@
@bedsores@|@საწოლები@
@bedspread@|@ლოგინის თხელი გადასაფარებელი@
@bedspreads@|@ლოგინის თხელი გადასაფარებლები@
@bedstead@|@საწოლი@
@bedsteads@|@საწოლები@
@bedtime@|@დაწოლის, ძილის დრო@
@bee@|@ფუტკარი@
@beech@|@წიფელი@
@beeches@|@წიფელები@
@beef@|@საკლავი საქონელი, ჩივილი, ბუზღუნი, ჩივილი, პრეტენზია, ძროხის ხორცი, ხარი ან ძროხა@
@beefeater@|@ლეიბ-გვარდიელი, მსუნაგი, ტაუერის გუშაგი@
@beefeaters@|@ლეიბ-გვარდიელები, მსუნაგები, ტაუერის გუშაგები@
@beefier@|@უფრო დაკუნთული, უფრო ზორბა, უფრო ძლიერი, უფრო ხორციანი@
@beefiest@|@ყველაზე დაკუნთული, ყველაზე ზორბა, ყველაზე ძლიერი, ყველაზე ხორციანი@
@beefs@|@ჩივის, ბუზღუნებს@
@beefsteak@|@ბიფშტექსი@
@beefsteaks@|@ბიფშტექსები@
@beefy@|@დაკუნთული, ზორბა, ძლიერი, ხორციანი@
@beehive@|@სკა@
@beehives@|@სკები@
@beep@|@პატარა, მსუბუქი ჯიპი, საყვირი@
@beeps@|@პატარა, მსუბუქი ჯიპები, საყვირები@
@beer@|@ლუდი, სუსტი ალკოჰოლური სასმელი@
@beers@|@ლუდები, სუსტი ალკოჰოლური სასმელები@
@beery@|@ლუდისა@
@bees@|@ფუტკრები@
@beeswax@|@ფუტკრის ცვილი, ცვილით გაპრიალება@
@beeswaxed@|@ცვილით გაპრიალებული@
@beeswaxes@|@ცვილით აპრიალებს@
@beet@|@ჭარხალი@
@beetle@|@გონებაჩლუნგი, გონებაჩლუნგობა, დამოუკიდებლად მცხოვრები გაუთხოვარი ქალი, სატკეპნელა, საწეწი მანქანა, ტკეპნა, ჩექმებით ფეხების ბაკუნი@
@beetle-browed@|@თვალებზე წარბებჩამოფანჩული, შეჭმუხნილი@
@beetled@|@დატკეპნილი@
@beetles@|@გონებაჩლუნგები, დამოუკიდებლად მცხოვრები გაუთხოვარი ქალები, სატკეპნელები, საწეწი მანქანები, ტკეპნის, ჩექმებით ფეხებს აბაკუნებს@
@beetroot@|@ჭარხალი@
@beetroots@|@ჭარხლები@
@beets@|@ჭარხლები@
@beeves@|@პრეტენზიები, ხარები ან ძროხები@
@befall@|@შემთხვევა@
@befit@|@შეფერება@
@befitting@|@შესაფერისი@
@befittingly@|@შესაფერისად@
@befogged@|@დანისლული@
@before@|@მანამდე, სანამ, უფრო ადრე@
@beforehand@|@წინასწარ@
@befoul@|@დასვრა, შებღალვა@
@befouled@|@დასვრილი, შებღალული@
@befouls@|@ბღალავს, სვრის@
@befriend@|@მეგობრულად მოპყრობა@
@beg@|@თხოვნა, მათხოვრობა@
@begad@|@ღმერთმანი@
@beget@|@გამომუშავება, დაბადება, მამად ყოფნა, შეძენა@
@begetter@|@მიზეზი, მშობელი@
@begetters@|@მიზეზები, მშობლები@
@beggar@|@გაუფასურება, გაღარიბება, მათხოვარი, უქონელი@
@beggared@|@გაუფასურებული, გაღარიბებული@
@beggarly@|@მათხოვრისა, მათხოვრული, სულმდაბალი@
@beggars@|@მათხოვრები, უქონელნი@
@beggary@|@სიღატაკე, ღატაკთა თავშესაფარი@
@begin@|@დაწყება@
@beginner@|@ახალბედა, დამწყები@
@beginners@|@ახალბედები, დამწყებნი@
@beginning@|@დასაწყისი@
@beginnings@|@სათავეები@
@begonia@|@ბეგონია@
@begonias@|@ბეგონიები@
@begorra@|@ვფიცავ@
@begrimed@|@ამოთითხნილი, ჭვარტლით გასვრული@
@begrudge@|@დანანება, შური@
@beguile@|@გართობა, მოტყუება, ცდუნება@
@begum@|@დიდგვაროვანი მუსულმანი ქალი@
@begums@|@დიდგვაროვანი მუსულმანი ქალები@
@behalf@|@გულისთვის, სასარგებლოდ@
@behave@|@თავის დაჭერა@
@behaviour@|@დამოკიდებულება, მანერები, საქციელი@
@behaviourism@|@ბიჰევიორიზმი@
@behaviourist@|@ბიჰევიორისტი@
@behaviourists@|@ბიჰევიორისტები@
@behead@|@თავის მოკვეთა@
@beheaded@|@თავმოკვეთილი@
@behest@|@ბრძანება, განკარგულება, დაჟინებული თხოვნა@
@behests@|@ბრძანებები, განკარგულებები, დაჟინებული თხოვნები@
@behindhand@|@დავალიანების მქონე@
@behold@|@აღქმა, ყურება, ხილვა@
@beholden@|@დავალებული@
@beholder@|@მაყურებელი, მეთვალყურე, მომსწრე@
@beholders@|@მაყურებლები, მეთვალყურეები, მომსწრეები@
@behove@|@მართებს, შეშვენის, ეკადრება@
@beige@|@შეუღებავი შალის ქსოვილი, ჩალისფერი@
@being@|@ადამიანი, არსი, სიცოცხლე, ყოფნა, არსებობა, ცოცხალი არსება@
@beings@|@ადამიანები, სიცოცხლეები, ცოცხალი არსებები@
@bejewelled@|@სამკაულებით შემოსილი@
@belabour@|@ცემა, დარტყმა, ბეგვა, წვალება@
@belaboured@|@ნაცემი, ნაბეგვი, ნაწამები@
@belabours@|@აწვალებს, ცემს, ურტყამს, ბეგვავს@
@belated@|@დაგვიანებული, დრომოჭმული@
@belatedly@|@დაგვიანებულად@
@belay@|@დაცვა, დაცვა, დაზღვევა, ზღვ ბაგირის დამაგრება@
@belayed@|@დაცული, დაზღვეული@
@belch@|@ამოხეთქვა, ბოყინი, გულის რევა, დაბოყინება@
@beldam@|@ბებრუხანა, კუდიანი დედაბერი, ჯადოქარი@
@beldame@|@ბებრუხანა, კუდიანი დედაბერი, ჯადოქარი@
@beldames@|@ბებრუხანები, კუდიანი დედაბრები, ჯადოქრები@
@beldams@|@ბებრუხანები, კუდიანი დედაბრები, ჯადოქრები@
@beleaguer@|@ალყის შემორტყმა, შეწუხება@
@beleaguered@|@ალყაშემორტყმული, შეწუხებული@
@beleaguers@|@ალყას არტყამს, აწუხებს@
@belfries@|@კოშკები, სათვალთვალო კოშკები, სამრეკლოები@
@belfry@|@კოშკი, სათვალთვალო კოშკი, სამრეკლო@
@Belgian@|@ბელგიელი, ბელგიური@
@Belgians@|@ბელგიელები@
@Belgium@|@ბელგია@
@Belgrade@|@ბელგრადი@
@belie@|@არასწორი, მცდარი წარმოდგენის შექმნა, იმედების გაცრუება, მხილება, ცილის დაწამება, წინააღმდეგობა@
@belief@|@რწმენა, ნდობა, სარწმუნოება@
@believable@|@დასაჯერებელი, სარწმუნო, შესაძლებელი@
@believe@|@დაჯერება, ფიქრი, მიჩნევა, ვარაუდი@
@believer@|@მომხრე, მორწმუნე@
@believers@|@მომხრეები, მორწმუნეები@
@belike@|@ალბათ, როგორც ჩანს@
@belittle@|@დაკლება, დამცირება@
@belittled@|@დაკლებული, დამცირებული@
@belittles@|@აკლებს, ამცირებს@
@bell@|@ზანზალაკი, ეჟვანი, ზარი, ზარით მოხმობა, ზარის ჩამოკიდება@
@belladonna@|@ამარილისი@
@belladonnas@|@ამარილისები@
@bell-bottomed@|@კლოშიანი@
@bellboy@|@მეკორიდორე, მსახური ბიჭი, შიკრიკი@
@bellboys@|@მეკორიდორეები, მსახური ბიჭები, შიკრიკები@
@bell-buoy@|@ბუი, ზარებიანი ტივტივა@
@bell-buoys@|@ბუიები, ზარებიანი ტივტივები@
@belle@|@ლამაზი ქალი, მშვენება@
@belles-lettres@|@ბელეტრისტიკა, მხატვრული ლიტერატურა@
@bell-flower@|@მაჩიტა@
@bell-flowers@|@მაჩიტები@
@bellhop@|@მეკორიდორე, მსახური ბიჭი, შიკრიკი@
@bellhops@|@მეკორიდორეები, მსახური ბიჭები, შიკრიკები@
@bellicose@|@მეომარი, მებრძოლი, ჩხუბისთავი@
@bellied@|@გაბერილი, მუცლიანი, ღიპიანი@
@bellies@|@ბერავს, მუცელზე ხოხავს, მუცლები, ღიპები@
@belligerency@|@ომის/საომარი მდგომარეობა, საომარი განწყობილება@
@belligerent@|@აგრესიული, მეომარი მხარე, ომის/საომარ მდგომარეობაში მყოფი@
@belligerently@|@აგრესიულად@
@belligerents@|@მეომარი მხარეები@
@bell-metal@|@საზარე ბრინჯაო@
@bellow@|@ღმუილი, ბღავილი@
@bellows@|@ჰაერსაბერი, საბერველი@
@bell-push@|@ზარის ღილაკი@
@bell-pushes@|@ზარის ღილაკები@
@bell-ringer@|@ზარების მრეკავი, მნათე@
@bell-ringers@|@ზარების მრეკავები, მნათეები@
@bells@|@ეჟვნები, ზარები, ზანზალაკები@
@bell-tent@|@მრგვალი კარავი@
@bell-tents@|@მრგვალი კარვები@
@bellwether@|@მეთაური, ფარის წინამძღოლი ყოჩი@
@bellwethers@|@მეთაურები, ფარის წინამძღოლი ყოჩები@
@belly@|@გაბერვა, მუცელზე ხოხვა, მუცელი, ღიპი, ფაშვი, ქარით ავსება@
@bellyache@|@მუცლის ტკივილი, საჩივარი, საყვედური, ჩივილი, წუწუნი@
@bellyful@|@მაძღრობა@
@bellyland@|@თვითმფრინავის დასმა აწეული შასით@
@bellylanded@|@აწეული შასით დასმული თვითმფრინავი@
@belong@|@კავშირის ქონა, მიკუთვნება, კუთვნილი@
@belongings@|@ბარგი-ბარხანა, კუთვნილი ნივთები@
@beloved@|@საყვარელი, შეყვარებული@
@below@|@ქვევით, დაბლა, ქვემოთ, ქვევით, ქვეშ, დაბლა@
@belt@|@სარტყელი, ქამარი, ქამრით ცემა, ქამრის, სარტყლის შემორტყმა, ღვედი@
@belted@|@წელზე ქამარ, სარტყელშემორტყმული@
@belting@|@ღვედური გადაცემა@
@beltings@|@ღვედური გადაცემები@
@belts@|@სარტყელები, ქამრები, ღვედები@
@bemoan@|@დატირება, უკმაყოფილების, სინანულის გამოთქმა@
@bemused@|@განცვიფრებული, გაოგნებული, ფიქრებში ჩაძირული@
@ben@|@მთის მწვერვალი@
@bench@|@ადგილი პარლამენტში, დაზგა, მერხი, მოსამართლის ადგილი, საეპისკოპოსო, სასამართლო, სკამი@
@benches@|@ადგილები პარლამენტში, დაზგები, მერხები, მოსამართლის ადგილები, საეპისკოპოსოები, სასამართლოები, სკამები@
@bend@|@დამორჩილება, დახრა, დახრა, ზღვ დამაგრება, ზღვ ნასკვი, მისწრაფება, მონაღუნი, მოსახვევი, მოღუნვა, მოხვევა, ნაკეცი@
@bended@|@დამორჩილებული, დახრილი, მოღუნული@
@beneath@|@ქვევით, დაბლა@
@benedick@|@დაოჯახებაზე@
@benedicks@|@დაოჯახებაზე@
@Benedictine@|@ბენედიქტელთა ორდენის ბერი ან მონაზონი, ბენედიქტელი@
@benediction@|@დალოცვა, ლოცვა@
@benedictions@|@ლოცვები@
@benefaction@|@მადლი, სიკეთე, საქველმოქმედო შეწირულება, ქველმოქმედება@
@benefactions@|@საქველმოქმედო შეწირულებანი@
@benefactor@|@კეთილისმყოფელი, ქველმოქმედი, მწყალობელი, განმკითხავი@
@benefice@|@ფეოდალის ადგილ-მამული@
@beneficence@|@სიკეთე, მადლი, ქველმოქმედება@
@beneficent@|@კეთილი, კეთილისმყოფელი, მოწყალე, მარგებელი, სასიკეთო@
@benefices@|@ფეოდალების ადგილ-მამულები@
@beneficial@|@მარგებელი, სასიკეთო, სასარგებლო, ხელსაყრელი@
@beneficially@|@სასარგებლოდ, სასიკეთოდ, ხელსაყრელად@
@beneficiaries@|@ბენეფიციუმის ან ფეოდის მფლობელები, ფეოდალური ვასალები@
@beneficiary@|@ბენეფიციუმის ან ფეოდის მფლობელი, ფეოდალური ვასალი@
@benefit@|@პენსია, სარგებლობის მოტანა, სიკეთე, უპირატესობა, პრივილეგია, ქველმოქმედება, შესაწევარი, შველა@
@benefits@|@პენსიები, უპირატესობები, პრივილეგიები, ქველმოქმედება@
@benevolence@|@კეთილმოსურნეობა, მადლი, სიკეთე@
@benevolent@|@კეთილმოსურნე, სათნო, უხვი, ქველმოქმედი@
@benevolently@|@კეთილმოსურნედ@
@Bengali@|@ბენგალელი, ბენგალური@
@Bengalis@|@ბენგალიელები@
@benighted@|@გზაში რომ შემოაღამდება@
@benign@|@მოწყალე, შემწყნარებელი, მშვიდი, ნოყიერი@
@benignant@|@კეთილგანწყობილი, კეთილი@
@benignantly@|@კეთილგანწყობილად@
@benignity@|@სიკეთე, გულკეთილობა@
@benignly@|@მოწყალედ, მშვიდად, შემწყნარებლურად@
@Benin@|@ბენინი@
@Beninese@|@ბენინელი, ბენინური@
@benison@|@დალოცვა, ლოცვა-კურთხევა@
@benisons@|@ლოცვა-კურთხევა@
@bens@|@მთის მწვერვალები@
@bent@|@გატაცება, დაჭიმვა, მიდრეკილება, მიდრეკილების მქონე, მოღრეცილი, მოხრილი, უხეში, გამხმარი ბალახის ღეროები, ხვეული@
@bents@|@გატაცებები, მიდრეკილებები, ხვეულები@
@benumbed@|@დაჩლუნგებული, სიცივისაგან გაშეშებული@
@benzene@|@ბენზოლი@
@benzine@|@ბენზოლი@
@benzol@|@ბენზოლი@
@bequeath@|@ანდერძით დატოვება@
@bequeathed@|@ანდერძით დატოვებული@
@bequeaths@|@ანდერძით უტოვებს@
@bequest@|@მემკვიდრეობა@
@bequests@|@მემკვიდრეობები@
@berate@|@გინება, ლანძღვა@
@berated@|@გალანძღული@
@berates@|@აგინებს, ლანძღავს@
@bereave@|@ახლობლის დაკარგვა, რისამე დაკარგვა@
@bereavement@|@მძიმე დანაკლისი@
@bereavements@|@მძიმე დანაკლისები@
@beret@|@ბერეტი@
@berets@|@ბერეტები@
@berg@|@აისბერგი@
@bergs@|@აისბერგები@
@beri-beri@|@ბერი-ბერი, ავიტამინოზი@
@berry@|@კენკრა, ქვირითის მარცვალი@
@berserk@|@ჭკუიდან შეშლილი@
@berth@|@დასაწოლი ადგილის მიცემა, სადგომი ადგილი, საწოლი, ღუზის ჩაშვება@
@berths@|@სადგომი ადგილები, საწოლები@
@beryl@|@ბივრილი@
@beseech@|@ვედრება, ხვეწნა@
@beseeching@|@მავედრებელი, მუდარით აღსავსე@
@beseechingly@|@მავედრებლად@
@beseem@|@შეფერება@
@beseemed@|@შეფერებული@
@beseems@|@იფერებს@
@beset@|@ალყაშემორტყმული, ალყის შემორტყმა, გზაგადაღობილი, გზის გადაღობვა@
@besets@|@ალყას არტყამს, გზას ღობავს@
@beshrew@|@დაწყევლა@
@beshrewed@|@დაწყევლილი@
@beshrews@|@წყევლის@
@beside@|@გვერდით@
@besides@|@გარდა, გარდა ამისა@
@besiege@|@ალყის შემორტყმა, გარშემოხვევა@
@besieged@|@ალყაშემორტყმული, გარშემოხვეული@
@besieger@|@მოალყე@
@besiegers@|@მოალყეები@
@besieges@|@ალყას არტყამს, გარს ეხვევა@
@besmear@|@გაქონიანება, გათხუპნა@
@besmeared@|@გაქონიანებული, გათხუპნული@
@besmears@|@აქონიანებს, თხუპნის@
@besmirch@|@გასვრა, ჩირქის მოცხება, რეპუტაციის შელახვა@
@besmirched@|@გასვრილი, ჩირქმოცხებული, რეპუტაციაშელახული@
@besmirches@|@სვრის, ჩირქს ცხებს, რეპუტაციას ულახავს@
@besom@|@ცოცხი@
@besoms@|@ცოცხები@
@besotted@|@გაბრუებული, მთვრალი@
@bespattered@|@ტალახით გასვრილი, ჩიქრმოცხებული@
@bespeak@|@წინასწარ დაკვეთა@
@bespectacled@|@სათვალიანი@
@best@|@გაცურება, დამარცხება, საუკეთესო, ყველაზე კარგად@
@bested@|@გაცურებული, დამარცხებული@
@bestial@|@თავშეუკავებელი, პირუტყვული, საზიზღარი, უსირცხვილო@
@bestiality@|@პირუტყვობა, ურცხვობა, უხეშობა@
@bestially@|@თავშეყუკავებლად, პირუტყვულად, საზიზღრად, უსირცხვილოდ@
@bestiaries@|@ბესტიარიუმები@
@bestiary@|@ბესტიარიუმი@
@bestir@|@გამოცოცხლება, წახალისება@
@bestirred@|@გამოცოცხლებული, წახალისებული@
@bestirs@|@აცოცხლებს, ახალისებს@
@bestow@|@ბოძება, მიძღვნა@
@bestowal@|@დაჯილდოება, მინიჭება, ნიჭი, ჯილდო@
@bestowals@|@დაჯილდოებები, ჯილდოები@
@bestowed@|@ბოძებული, მიძღვნილი@
@bestows@|@უბოძებს, უძღვნის@
@bestrew@|@მიმოფანტვა, სქელი ფენით დაფარვა@
@bestrewn@|@მიმოფანტული, სქელი ფენით დაფარული@
@bestrews@|@სქელი ფენით ფარავს, ფანტავს@
@bestride@|@ფეხებგადგმული დგომა, ცისარტყელის გადაფენა, ცხენზე შეჯდომა, ხიდის გადება@
@bestrides@|@ფეხებგადგმული დგას, ცხენზე ჯდება@
@bests@|@ამარცხებს, აცურებს@
@best-seller@|@ბესტსელერი@
@best-sellers@|@ბესტსელერები@
@bet@|@სანაძლეო, სანაძლეოს დადება@
@beta@|@ბეტა@
@betake@|@რაიმესთვის თავის გადაგება, რისამე კეთება@
@betaken@|@გაკეთებული, რაიმესთვის თავდაგადებული@
@betakes@|@აკეთებს, რაღაცისთვის თავს დებს@
@betel@|@ბეტელი@
@bethel@|@მეზღვაურთა სამლოცველო, ნონკონფორმისტთა სამლოცველო@
@bethels@|@მეზღვაურთა სამლოცველოები, ნონკონფორმისტთა სამლოცველოები@
@bethink@|@მოგონება, გახსენება@
@bethinks@|@იხსენებს@
@bethought@|@გახსენებული@
@betide@|@შემთხვევა@
@betimes@|@ადრე, დროულად, სწრაფად@
@betoken@|@გულისხმობა@
@betokened@|@ნაგულისხმევი@
@betokens@|@გულისხმობს@
@betray@|@ღალატი@
@betrayal@|@გამცემლობა, ღალატი@
@betrayals@|@ღალატები@
@betrayed@|@ნაღალატევი@
@betrayer@|@გამცემი, მოღალატე@
@betrayers@|@გამცემები, მოღალატეები@
@betrays@|@ღალატობს@
@betroth@|@დაწინდვა@
@betrothal@|@დაწინდვა@
@betrothals@|@დანიშვნები, დაწინდვები@
@betrothed@|@დანიშნული, დაწინდული@
@bets@|@სანაძლეოები, სანაძლეოს დებს@
@better@|@გაუმჯობესება, უკეთ, უკეთესი@
@bettered@|@გაუმჯობესებული@
@betters@|@აუმჯობესებს, ზემდგომნი@
@bettor@|@სანაძლეოს დამდები@
@bettors@|@სანაძლეოს დამდებები@
@between@|@შორის, შორის@
@betwixt@|@შორის, შორის@
@bevel@|@დაცერება, დახრილობა, ცერობი@
@bevelled@|@დაცერებული@
@bevels@|@აცერებს, დახრილობები, ცერობები@
@beverage@|@ნებისმიერი სასმელი წყლის გარდა@
@beverages@|@ნებისმიერი სასმელები წყლის გარდა@
@bevies@|@საზოგადოებები, თავყრილობები@
@bevy@|@საზოგადოება, თავყრილობა@
@bewail@|@გლოვა, წუხილი, ჭმუნვა@
@bewails@|@გლოვობს, წუხს@
@beware@|@გაფრთხილება, მორიდება@
@bewilder@|@გაოგნება, საგონებეში ჩაგდება, შეცბუნება@
@bewildered@|@გაოგნებული, თავგზააბნეული, შეცბუნებული@
@bewilderment@|@გაოგნება, უწესრიგობა, უხერხულობა@
@bewilders@|@საგონებელში ვარდება@
@bewitch@|@მოხიბლა, მოჯადოება@
@bewitched@|@მოჯადოებული, მოხიბლული@
@bewitches@|@აჯადოებს, ხიბლავს@
@bey@|@ბეგი@
@beyond@|@გაღმა, მიღმა@
@beys@|@ბეგები@
@bhang@|@ბანგი, ჰაშიში@
@bhangs@|@ბანგები@
@bias@|@გადახრა, დაქანება, გავლენის მოხდენა, დაყოლიება, ძლიერი მიდრეკილება@
@biased@|@დაყოლიებული@
@biases@|@გადახრები, დაქანებები, გავლენას ახდენს, იყოლიება, ძლიერი მიდრეკილებები@
@bib@|@ბავშვის წინსაფარი, ლოთობა@
@Bible@|@ბიბლია@
@Bibles@|@ბიბლიები@
@biblical@|@ბიბლიური@
@bibliographer@|@ბიბლიოგრაფი@
@bibliographers@|@ბიბლიოგრაფები@
@bibliographies@|@ბიბლიოგრაფიები@
@bibliography@|@ბიბლიოგრაფია@
@bibliophile@|@ბიბლიოფილი@
@bibliophiles@|@ბიბლიოფილები@
@bibs@|@ბავშვის წინსაფრები, ლოთობს@
@bibulous@|@ლოთი, ნესტის შემწოვი@
@bicameral@|@ორპალატიანი@
@bicarbonate@|@ბიკარბონატი@
@bicentenary@|@ორასი წელი@
@bicentennial@|@ორასი წელი, ორასწლოვანი@
