@Italian (Theology)@|@English@
@citazione@|@(f- la)- quotation@
@cittadino@|@(m- il)- citizen@
@civiltà@|@(f- la)- civilization, culture, society, politeness, courtesy@
@clausola@|@(f- la)- clause, provision, term, condition, provision, close@
@clausura@|@(m- il)- cloister, cloistered life, seclusion, enclosure@
@coadiuvante@|@(m or f- il or la)- assistant, collaborator, (adj.)- assisting, cooperating@
@coadiuvare@|@to help, to assist, to cooperate with@
@coazione@|@(f- la)- coersion, compulsion, constraint@
@codesta@|@this, that, your@
@coerente@|@coherent, consistent@
@coerenza@|@(f- la)- coherence, consistency@
@cogliere@|@to gather, to catch, to seize, to come upon, to understand, to grasp, to detect, to feel, to sense, to hit @
@coinvolgere@|@to involve, to draw in, to implicate (implicare- involgere), to mix up, to absorb, to engross@
@coinvolgimento@|@(m- il)- involvement, participation, implication@
@collana@|@(f- la)- series, collection, necklace@
@collare@|@(m- il)- collar@
@collegamento@|@(m- il)- connection, link, contact, relation (aggancio- legame- nesso- raccordo- rapporto- vincolo)@
@collegare@|@to join, to connect, to relate, to associate, to incorporate (agganciare- congiungere- legare- mettere in collegamento- unire)@
@collegato@|@connected, linked, related, associated, united, allied (congiunto- legato) (past part. of collegare)@
@collera@|@(f- la)- anger, fury, rage@
@colletta@|@(f- la)- collection, collect@
@collina@|@(f- la)- hill, hilltop@
@collocare@|@to place, to put, to arrange@
@collocarsi@|@to take one's place@
@collocazione@|@(f- la)- location @
@colmare@|@to fill, to fill up, to overwhelm (riempire)@
@colomba@|@(f- la)- dove@
@colonna@|@(f- la)- column, pillar@
@coloro@|@they, those, they who, those who, those people@
@colpevole@|@(m or f- il or la)- culprit, offender, guilty party, cause, thing responsible, (adj.)- culpable, guilty, responsible@
@colpire@|@(isc verb)- to hit, to strike (ferire- percuotere- picchiare)@
@colto@|@gathered, picked, cultivated, well-educated, learned (past part. of cogliere)@
@colui@|@he, the one @
@combattuto@|@hard-fought, heated, uncertain, torn (past part. of combattere)@
@come@|@how, what, as, like, that@
@Come mai?@|@How come?@
@come tale@|@as such (in quanto tale)@
@comitato@|@(m- il)- committee, council, board, commission@
@commento@|@(m- il)- comment, remark, commentary@
@commettere@|@to commit, to order, to commission, to fit together, to assemble@
@commiato@|@(m- il)- leave, parting, discharge, dismissal@
@commosso@|@moved, touched, affected, stirred@
@commuovere@|@to move, to touch, to affect (intenerire- muovere- toccare)@
@comodo@|@comfortable, convenient, useful, handy@
@compagine@|@(f- la)- structure, body, whole, system, sum, aggregate, team@
@compagno@|@(m- il)- companion, partner, husband, (adj.)- alike, the same@
@comparazione@|@(f- la)- comparison@
@comparire@|@to appear, to show oneself, to come out (compaiono = 3rd per. pl.)@
@comparizione@|@(f- la)- appearance@
@comparsa@|@(f- la)- appearance, brief statement, person without importance, a nobody@
@compartire@|@to divide up, to distribute, to apportion@
@compatire@|@(isc verb)- to pity, to feel sorry for, to sympathize with, to forgive, to bear with @
@compendio@|@(m- il)- summary, abstract, outline, series, sequence@
@compiacere@|@to please, to gratify, to satisfy, to humour@
@compiere@|@to complete, to finish, to perform, to carry out, to fulfill, to accomplish (adempire- compire- eseguire)@
@compilare@|@to compile, to put together, to edit, to write, to fill out@
@compimento@|@(m- il)- fulfillment, accomplishment, conclusion, completion@
@compire@|@to complete, to finish, to perform, to carry out, to fulfill, to accomplish (adempire- compiere- eseguire)@
@compitare@|@to spell out, to read with difficulty@
@compiutamente@|@completely, fully, entirely@
@compiuto@|@finished, completed, accomplished, done, over@
@complesso@|@(m- il)- complex, whole, set, collection, (adj.)- complex, elaborate@
@componente@|@(m or f- il or la)- member, component, ingredient, part, element, (adj)- component, constituent@
@comporre@|@to compose, to arrange, to settle, to dial@
@comportamento@|@(m- il)- behavior, conduct (condotta)@
@comportare@|@to involve, to entail, to imply (coinvolgere- implicare- involgere), to require (esigere- imporre- occorrere- richiedere), to tolerate, to endure@
@comportarsi@|@to behave, to act@
@composto@|@(m- il)- chemical compound, mixture, (adj.)- consisting of, made up of, tidy, composed, calm, dignified (past part. of comporre)@
@compreso @|@comprised, included, understood, filled with@
@compromesso@|@(m- il)- compromise, settlement, preliminary agreement@
@comprova@|@(f- la)- proof, evidence, confirmation, substantiation@
@comunque@|@(adv.)- in any case, anyway, though, (conj.)- however, whatever, but, though (benchè- nondimento- per quanto- peraltro- pure- tuttavia)@
@concedere@|@to grant, to allow, to let, to award, to bestow (accedere- accettare- acconsentire- aderire- ammettere- assentire- consentire)@
@concedersi@|@to allow oneself@
@concepire@|@(isc verb)- to conceive, to imagine, to entertain, to understand, to express @
@concetto@|@(m- il)- concept, idea, opinion, conception, design, plan, project@
@conciliare@|@(m- il)- member of a council, (adj.)- conciliar, (verb)- to reconcile, to gain, to win, to encourage, to help@
@conciliarsi@|@to become reconciled, to agree@
@concomitante@|@concomitant, accompanying, attending@
@concordanza@|@(f- la)- agreement, concord, consistency (concordia)@
@concordia@|@(f- la)- concord, agreement, harmony (concordanza)@
@concorrente@|@(m or f- il or la)- competitor, contestant, rival, candidate, applicant, (adj.)- competing, rival, concurrent @
@concorrenza@|@(f- la)- competition, gathering, turnout@
@concorrere@|@to converge, to concur, to agree, to cooperate in, to share in, to participate in, to compete@
@concretare@|@to make concrete, to give concrete form to, to embody, to specify, to realize, to fulfill, to achieve (concretizzare)@
@concretarsi@|@to come true, to be realized (concretizzarsi)@
@concretizzare@|@to make concrete, to give concrete form to, to embody, to specify, to realize, to fulfill, to achieve (concretare)@
@concretizzarsi@|@to come true, to be realized (concretarsi)@
@condividere@|@to share@
@condotta@|@(f- la)- conduct, behavior, handling, running, management, pipe (comportamento)@
@condotto@|@(m- il)- pipe, channel, canal @
@conducente@|@(m- il)- driver, tenant, lessee@
@condurre@|@to conduct, to bring, to lead, to guide@
@conduttore@|@(m- il)- driver, leader, guide, manager, conductor, (adj.) - leading, guiding@
@conferire@|@(isc verb)- to confer, to bestow, to add, to contribute @
@confine@|@(m- il)- border, boundary, limit, bound, landmark@
@confluenza@|@(f- la)- convergence, meeting, merging, unity@
@confluire@|@(isc verb)- to come together, to converge, to join, to meet @
@confondere@|@to confuse, to overwhelm, to mistake, to embarrass@
@confrontabile@|@comparable, that can be compared (riscontrabile)@
@confrontare@|@to confront, to compare, to contrast, to examine, to agree, to correspond@
@confronto@|@(m- il)- comparison, confrontation, encounter, contest@
@congiungere@|@to join, to connect, to link (agganciare- collegare- legare- mettere in collegamento- unire)@
@congiungimento@|@(m- il)- joining, union, copulation@
@congiunto@|@(m- il)- relative, (adj.)- joined, combined, united, connected, linked (collegato- legato) (past part. of congiungere)@
@congiura@|@(f- la)- conspiracy, plot@
@congruo@|@congruent, suitable, fitting, proper@
@coniuge@|@(m or f- il or la)- spouse, husband, wife, (pl.) - married couple, husband and wife@
@conoscenza@|@(m- il)- knowledge, understanding, consciousness@
@conoscitore@|@(m- il)- expert, connoisseur@
@consapevole@|@conscious of, aware of, mindful of@
@consapevolezza@|@(f- la)- consciousness@
@consegnare@|@to hand over, to surrender, to deliver, to consign, to give, to entrust, to leave @
@conseguenza@|@(f- la)- consequence, result, outcome@
@conseguimento@|@(m- il)- attainment, achievement@
@conseguire@|@to attain, to reach, to achieve, to follow@
@consenso@|@(m- il)- consent, agreement, permission, marriage licence@
@consentire@|@to agree, to consent, to assent (accedere- accettare- acconsentire- aderire- ammettere- assentire- concedere), to allow, to give, to enable, to admit, to acknowledge@
@conservare@|@to preserve, to keep, to hold@
@conservatore@|@(m- il)- conservative, keeper, (adj.)- conservative, preservative@
@consigliare@|@to advise, to counsel@
@consigliera@|@(f- la)- advisor@
@consigliere@|@(m- il)- advisor, counselor@
@consiglio@|@(m- il)- advice, council@
@constare@|@to consist of, to be made up of, to appear@
@constatare@|@to verify, to ascertain, to establish@
@constatazione@|@(f- la)- ascertation, establishment, observation, comment, remark, statement of fact@
@consueto@|@(m- il)- usual way, habit, custom (abitudine- consuetudine- norma- prassi- regola- uso), (adj.)- usual, customary, habitual, accustomed, used to@
@consuetudine@|@(f- la)- custom, habit, usage, tradition, rule, familiarity (abitudine- consueto- norma- prassi- regola- uso)@
@consulenza@|@(f- la)- counseling, advice, guidance@
@contadino@|@(m- il)- countryman, peasant, farmer, (adj.)- rustic, rural, peasant@
@contare@|@to count, to number, to consider, to have, to be, to propose, to intend, to mean, to tell@
@contemporaneamente@|@at the same time, simultaneously@
@contendere@|@to contend for, to struggle, to refuse, to deny@
@contenuto@|@(m- il)- contents, subject matter, gist, (adj.)- contained, reasonable, moderate (past part. of contenere)@
@contestare@|@to contest, to challenge, to question, to deny, to notify@
@contesto@|@(m- il)- context, background, environment (precedente- retroterra), (adj.)- entwined, woven@
@contiguo@|@contiguous, adjoining, neighboring, adjacent@
@continenza@|@(f- la)- temperance, moderation, continence@
@conto@|@(m- il)- calculation, count, sum, account, bill, esteem, regard, importance, worth@
@contrapporre@|@to oppose, to counter, to contrast@
@contrapposizione@|@(f- la)- opposition, contrast, confrontation@
@contrapposto@|@(m- il)- opposite, contrary, (adj.)- contrasting, opposing, opposite @
@contrario@|@(m- il)- contrary, opposite, (adj.) - opposite, opposed, unfavorable, harmful, unwilling@
@contrassegnare@|@to mark@
@contrastante@|@contrasting, conflicting@
@contrattare@|@to negotiate, to bargain for@
@contratto@|@(m- il)- agreement, contract, deed@
@contristare@|@to afflict, to grieve, to sadden@
@contristarsi@|@to grieve, to be deeply grieved@
@controvalore@|@(m- il)- equivalent, equivalent value, exchange value@
@conveniente@|@suitable, fitting, proper, moderate, reasonable, cheap@
@convenire@|@to meet, to gather (assembrarsi- radunarsi), to agree upon, to be worthwhile, to admit, to summon, "had better", "ought to"@
@convenzione@|@(f- la)- agreement, provision, covenant, accepted custom, convention in the sense of custom and also as a political convention or meeting.@
@convinto@|@convinced@
@convinzione@|@(f- la)- conviction, firm belief@
@convito@|@(m- il)- banquet, feast (banchetto)@
@convivenza@|@(f- la)- cohabitation, living together, coexistence@
@convocare@|@to call together@
@copertina@|@(f- la)- cover, jacket@
@coperto@|@(m- il)- cover charge, (adj.)- covered, sheltered, hidden, secret (celato- nascosto) (past part. of coprire)@
@copia@|@(f- la)- copy, reproduction, print, abundance@
@coppia@|@(f- la)- couple, pair@
@coprire@|@to cover, to occupy a position@
@corale@|@(m- il)- chorale, (adj.)- choral, unanimous@
@Corano@|@(m- il)- Koran@
@cornice@|@(m- il)- frame, framework, setting, environment, ledge@
@coro@|@(m- il)- choir, chorus@
@correggere@|@to correct, to straighten, to reform@
@corrente@|@(m- il)- current, stream, flow, (adj.)- running, flowing, current, fluent, ordinary, everyday, common@
@corricarsi@|@to lie down, to go to bed@
@corrompere@|@to corrupt, to contaminate, to pollute, to bribe@
@cosciente@|@conscious, aware, deliberate, responsible@
@coscienza@|@(f- la)- conscience, awareness, consciousness, conscientiousness@
@così@|@like this, this way, so, then, therefore (allora- dunque- per cui- perciò- pertanto- quindi- sicchè)@
@così che@|@so, so that (cosicchè)@
@cosicchè@|@so, so that (così che)@
@cosidetto@|@so-called@
@cosifatto@|@such, like this, like that, similar@
@costante@|@(f- la)- constant, (adj.)- constant, perservering, unchanging@
@costato@|@(m- il)- chest, side, rib (past part. of costare)@
@costoro@|@they, them, these people, those people@
@costringere@|@to compel, to force, to oblige, to make@
@costruire@|@(isc verb)- to construct, to put together @
@costume@|@(m- il)- custom, habit, tradition, morals, morality, behavior, costume, dress @
@creatura@|@(f- la) - creature, being, person, baby, infant@
@credente@|@(m- il)- believer, (adj.)- believing@
@crescente@|@rising, growing@
@crescere@|@to grow, to increase@
@Cresima@|@(f- la)- Confirmation@
@crisi@|@(f- la)- crisis, fit, attack, outburst@
@crociata@|@(f- la)- crusade@
@crocifissione@|@(f- la)- crucifiction@
@crollare@|@to shake, to fall down, to collapse (rovinare)@
@crudeltà@|@(f- la)- cruelty, mercilessness, ruthlessness@
@cucire@|@to sew, to stitch@
@cui@|@who, whom, which, of which, of whom, when@
@cullare@|@to cradle (a baby)@
@culmine@|@(m- il)- summit, top, peak@
@culto@|@(m- il)- cult, worship, faith, religion, creed@
@cultuale@|@religious, for worship@
@cuocere@|@to cook, to bake, to burn@
@cupidigia@|@(f- la)- greed, covetousness, cupidity (avarizia- brama- gola- ingordigia)@
@cura@|@(f- la)- care, attention, cure@
@curare@|@to take care of, to cure, to heal@
@custode@|@(m- il)- custodian, keeper, guardian, (adj.)- guardian@
@custodire@|@(isc verb)- to guard, to preserve, to look after, to take care of, to keep, to cherish@
@da@|@from, by@
@da capo@|@from the beginning, over again, once more (dacappo- da principio- sin dall'inizio)@
@da farsi@|@(m- il)- what to do, course of action, what needs to be done@
@da principio@|@from the beginning (da capo- daccapo- sin dall'inizio)@
@da solo@|@unassisted, by oneself, alone, unattended, automatically@
@da un canto…- dall'altro canto@|@on the one hand…- on the other hand@
@daccapo@|@from the beginning, over again, once more (da capo- da principio- sin dall'inizio)@
@d'altra parte@|@on the other hand, however@
@danno@|@(m- il)- damage, injury, harm, grief, sorrow, trouble@
@dappertutto@|@everywhere, on all sides, all over the place (dovunque- ovunque- per ogni canto)@
@dapprima@|@initially, at first@
@dare in prestito@|@to lend, to loan@
@dare retta a@|@to pay attention to, to listen to@
@data@|@(f- la)- date@
@dati@|@(m- i)- data@
@dato@|@(m- il)- datum, (adj.)- given, appointed, addicted, devoted  (past part. of dare)@
@dato che@|@since, as, seeing that@
@davanti@|@(m- il)- front, (adj.)- front, fore, (adv.)- in front, ahead (dinanzi)@
@davanti a@|@in front of, before, in the presence of, opposite, outside@
@davvero@|@really, indeed@
@debole@|@weak@
@debollezza@|@(f- la)- weakness@
@decadenza@|@(f- la)- decay, decline, loss, withdrawl, lapse@
@decennio@|@(m- il)- decade@
@decifrare@|@to decode, to decipher@
@decima@|@(f- la)- tithe, tenth@
@decretare@|@to decree, to enact, to award, to confer, to grant@
@dedurre@|@to deduce, to deduct, to arrive at@
@deferire@|@(isc verb)- to defer, to submit, to refer @
@degno@|@worthy, deserving@
@del resto@|@besides, however, for that matter@
@delega@|@(f- la)- delegation, authorization, power of attorney, proxy@
@delfico@|@Delphic, prophetic@
@delimitare@|@to delimit, to mark the boundary of, to bound, to define@
@delimitazione@|@(f- la)- delimitation, boundary, (pl.)- limits@
@delineare@|@to outline, to sketch out (abbozzare)@
@delinearsi@|@to be outlined, to emerge, to take shape slowly@
@deliziare@|@to delight, to charm@
@dentro@|@in, inside@
@deporre@|@to lay down, to deposit, to testify, to bear witness@
@destinare@|@to destine, to have in store, to assign, to appoint, to plan, to design, to set aside, to allocate, to intend, to use, to dedidate, to devote@
@destinatario@|@(m- il)- receiver, addressee@
@destra@|@(f- la)- right, right hand or side, conservative party (ex: in politics)@
@destro@|@(m- il)- opportunity, chance, (adj.)- right, clever at, skillful in@
@detentore@|@(m- il)- possessor, owner, holder, (adj.)- holding@
@dettaglio@|@(m- il)- detail, particular@
@dettare@|@to dictate@
@dettato@|@(m- il)- dictation, proverb, saying, text (past part. of dettare)@
@di@|@of- about@
@di consueto@|@usually@
@di fatto@|@in fact, in reality, effectively, effective@
@di fronte a @|@in front of, faced with, confronted by, opposite, facing@
@di gran lunga@|@by far, much, far@
@di per sè@|@in itself, itself@
@di rado@|@rarely, seldom@
@di solito@|@usually@
@di tanto in tanto@|@from time to time, occasionally, every now and then@
@di volta in volta@|@each time@
@dibattere@|@to debate, to discuss, to beat@
@dibattersi@|@to struggle, to flounder about@
@dibattito@|@(m- il)- debate, discussion, dispute, controversy@
@dicesa@|@(f- la)- descent, slope, fall, drop, invasion@
@dicevole@|@suitable, becoming, decent, proper@
@dichiarare@|@to state, to declare@
@dichiarazione@|@(f- la)- statement, declaration@
@dietro@|@behind, after, back@
@difatti@|@in fact, as a matter of fact, really, indeed, actually@
@difesa@|@(f- la)- defense, fortification@
@differire@|@(isc verb)- to differ, to vary, to be unlike, to delay, to postpone, to put off@
@diffidare@|@to distrust, to mistrust, to warn@
@diffidenza@|@(f- la)- mistrust, suspicion@
@diffondere@|@to spread, to diffuse (allargare- espandere- spandere- spargere)@
@difforme@|@different from, dissimilar to, unlike@
@diffuso@|@diffused, widespread@
@digiunare@|@to fast, to go without eating@
@dilettante@|@(m- il & adj.)- amateur@
@diluvio@|@(m- il)- flood, downpour@
@dimagrire@|@(isc verb)- to lose weight, to become thinner@
@dimettere@|@to discharge, to dismiss, to release, to remove@
@dimettersi@|@to resign, to step down@
@dimorare@|@to stay, to reside@
@dinanzi@|@(m- il)- front, (adj.)- front, fore, (adv.)- in front, ahead (davanti)@
@dipingere@|@to paint, to portray, to depict@
@dipresso@|@roughly, about@
@diretto@|@direct, immediate, addressed to, intended for, heading for, (adv.)- direct, straight@
@dirigere@|@to direct, to conduct, to run@
@diritto@|@(m- il)- law, right side, right, power, entitlement, fee, charge, (adj.)- straight, erect (dritto- retto), right, plain, (adv.)- directly, straight@
@disagio@|@(m- il)- uneasiness, uncomfortableness, discomfort, inconvenience, trouble@
@discendere@|@to go down, to descend, to get off, to fall, to drop, to follow from, to proceed from (scendere)@
@discernere@|@to discern, to perceive, to distinguish@
@discesa@|@(f- la)- descent, slope, fall, drop, attack, invasion@
@discorrere@|@to talk, to converse, to chat@
@discostarsi@|@to differ from, to diverge from, to stray, to wander off@
@discutibile@|@debatable, questionable, doubtful@
@disfare@|@to undo, to untie, to destroy, to defeat@
@disinteresse@|@(m- il)- lack of interest, indifference, disregard, disinterestedness, unselfishness@
@disopra@|@(m- il)- top, upper part, (adj./adv.)- upstairs@
@disordine@|@(m- il)- disorder, confusion, inefficiency, excess, overindulgence@
@dispari@|@(m- il)- odd number, (adj.)- odd, different, unequal@
@disperdere@|@to disperse, to scatter, to dispel, to waste@
@disponibilità@|@(f- la)- availability, willingness, supply, open-mindedness, accessibility, helpfulness@
@disporre@|@to arrange, to place in order, to prepare, to dispose, to have at one's disposal@
@dispositivo@|@(m- il)- device, appliance, system, disposition, (adj.)- regulating, operative@
@disposizione@|@(f- la)- disposition, arrangement, layout, order, mood, frame of mind, natural gift, order, direction, instruction, wish, provision, measure@
@disposto@|@disposed, arranged, provided, willing (past part. of disporre)@
@disprezzare@|@to despise, to spurn, to scorn (bocciare- respingere- rigettare- ripudiare), to ignore, to disregard@
@disprezzo@|@(m- il)- contempt, disdain, scorn, disregard@
@distaccare@|@to detach, to separate, to leave behind@
@distacco@|@(m- il)- detachment, separation, indifference, gap@
@distesa@|@(f- la)- line, row, expanse, stretch, tract@
@disteso@|@extended, outstretched, relaxed@
@divario@|@(m- il)- difference, gap@
@divellere@|@to eradicate, to uproot@
@divenire@|@to become, to grow into, to turn into (diventare)@
@diventare@|@to become, to grow into, to turn into (divenire)@
@divergenza@|@(f- la)- divergence, difference, disagreement@
@diverso@|@(adj.)- different, dissimilar, distinct, various, (pl.)- several, quite a few, various@
@divertirsi@|@to enjoy oneself@
@divieto@|@(m- il)- prohibition, ban@
@divorare@|@to devour, to consume, to eat up@
@docente@|@(m- il)- teacher, (adj.)- teaching@
@dolo@|@(m- il)- fraud, deceit, malice, wilfulness, intent@
@donare@|@to donate, to give as a present@
@donde@|@from where, why@
@dono@|@(m- il)- gift, present, talent@
@doppiare@|@to double, to dub@
@doppio@|@(m- il)- double, twice as much, (adj.)- double, dual, two-faced, deceitful, (adv.)- double, twofold, deceitfully@
@dotto@|@learned, expert, skilled@
@dottrina@|@(f- la)- doctrine, scholarship, learning, catechism@
@dove@|@where, in which@
@dovechessia@|@anywhere (dovunque- ovunque)@
@dovere@|@(m- il)- duty, obligation, (plural) - compliments, regards, respects, (verb) - must, to have to, should, to owe@
@doveroso@|@due, right, proper, fair@
@dovunque@|@everywhere (dappertutto- dovunque- ovunque- per ogni canto), anywhere, wherever (ovunque- dovechessia)@
@dovuto@|@due, payable, rightful, proper, necessary (ex:  Questo malinteso era dovuto dagli eretici = This misunderstanding was due to the heretics.)@
@dritto@|@(m- il)- right side, crafty person, sly one, (adj.)- straight, erect (diritto- retto), right, plain, (adv.) - directly, straight@
@dunque@|@therefore, then, thence (allora- così- per cui- perciò- pertanto- quindi- sicchè)@
@duomo@|@(m- il)- dome, cathedral@
@duraturo@|@lasting, abiding, enduring, durable, sound@
@durezza@|@(f- la)- hardness, harshness, severity@
@Ebreo@|@(m- l')- Jew, Hebrew, Israelite, (adj.)- Jewish, Hebrew@
@eccesso@|@(m- l')- excess, surplus@
@edificare@|@to build, to construct, to set up, to edify, to uplift, to set a good example to@
@edificarsi@|@to be edified@
@effettivo@|@(m- l')- sum total, (pl.)- strength, forces, staff, personnel, (adj.)- real, actual, effective, active@
@efficace@|@effective, good, successful, efficacious, vivid, forceful@
@efficacia@|@(f- la)- effectiveness, efficacy, effect, force@
@effluvio@|@(m- l')- emanation, scent, fragrance, exhaltation@
@egemonia@|@(f- l')- hegemony, dominance, leadership, superiority, supremacy@
@Egitto@|@(m- l')- Egypt@
@eleggere@|@to elect@
@elemosina@|@(f- l')- charity, alms@
@elenco@|@(m- l')- list, roll, schedule@
@emanare@|@to radiate, to exude, to give off, to emanate, to procede from, to derive from, to issue, to promulgate, to enact@
@emarginazione@|@(f- l')- marginalization, isolation, alienation, segregation@
@emblematico@|@typical, symbolic, emblematic@
@eminente@|@emiment, distinguished, prominent, notable, remarkable@
@empio@|@impious, irreverent, blasphemous, cruel, wicked, pitiless@
@enfasi@|@(f- l') - emphasis, stress, pomposity, grandiloquence@
@entrambi@|@both, either@
@entro@|@in, within, by, before@
@enucleare@|@to explain, to clarify, to highlight, to pinpoint, to enucleate@
@epigono@|@(m- l')- follower, imitator, descendent, successor@
@epilogo@|@(m- l')- epilogue, conclusion, recapitulation, end@
@epistolario@|@(m- l')- NT letter (epistolary), collection of letters, correspondence@
@epoca@|@(f- l')- epoch, age, time, period@
@eppure@|@and yet, and still, but, though@
@equivoco@|@(m- l')- ambiguity, misunderstanding, misinterpretation, mistake, (adj.)- equivocal, ambiguous, doubtful, suspicious @
@erede@|@(m- l') - heir, successor@
@eredità@|@(f- l') - inheritance, heritage@
@ereditare@|@to inherit@
@eretico@|@(m- l')- heretic, (adj.)- heretical@
@esaltamento@|@(m- l')- exhaltation, excitement@
@esaudire@|@(isc verb)- to grant, to comply with, to satisfy, to fulfill @
@esauriente@|@exhaustive, comprehensive, full, complete@
@esaurire@|@(isc verb)- to exhaust, to use up, to run out of, to consume, to wear out @
@esausto@|@exhausted, used up, worn-out@
@esegesi@|@(f- l')- exegesis@
@esegeta@|@(m- l')- exegete@
@eseguire@|@to carry out, to execute, to perform, to accomplish (adempire- compiere- compire)@
@esente@|@exempt, free@
@esequie@|@(f. pl.- le)- funeral rites@
@esercitare@|@to exert, to exercise, to practice, to pursue@
@esercito@|@(m- l')- army, host, crowd@
@esibire@|@(isc verb)- to exhibit, to show, to produce, to display, to offer@
@esibirsi@|@(isc verb)- to show off, to perform, to play, to dance, to volunteer@
@esigente@|@demanding, exigent@
@esigenza@|@(f- l')- demand, requirement, need, necessity@
@esigere@|@to demand, to expect, to require, to call for (comportare- imporre- occorrere- richiedere)@
@esilio@|@(m- l')- exile, banishment, withdrawl, retirement@
@esistenziale@|@existential@
@esitazione@|@(f- l')- hesitation, hesitancy, wavering@
@esito@|@(m- l') - result, outcome, issue, answer@
@esodo@|@(m- l')- exodus@
@esorcismo@|@(m- l')- exorcism@
@esordio@|@(m- l')- introduction, preamble, beginning, debut, first appearance@
@esortare@|@to exort@
@espandere@|@to expand, to extend, to spread out, to enlarge (allargare- diffondere- spandere- spargere)@
@esperto@|@(m- l')- expert, authority, (adj.)- skillful, experienced@
@espiare@|@to expiate, to atone for, to make amends for, to serve (ex: a sentence)@
@espiatorio@|@expiatory@
@espiazione@|@(f- l')- expiation, atonement@
@esplicarsi@|@to explain oneself, to express oneself, to find expression, to be realized@
@esplicazione@|@(f- l')- explanation, performance, carrying out, realization@
@esporre@|@to expose, to set out, to display, to exhibit @
@esposto@|@(m- l')- statement, account, (adj.)- exposed, displayed, vulnerable, liable, explained, stated, expressed (past part. of esposto)  (ex:  La situatione esposta è urgente. = The situation as explained is urgent.) @
@esprimere@|@to express, to convey@
@essenza@|@(f- l')- essence@
@essere disposto@|@to be willing@
@essere nei guai@|@to be in trouble@
@estasi@|@(f- l')- ecstasy, rapture, delight, bliss@
@esteso @|@extended, wide@
@estraneità@|@(f- l')- extraneousness, non-involvement, irrelevance@
@estraneo @|@extraneous- foreign@
@età@|@(f- l')- age, period@
@evidenza@|@(f- l')- evidence, obviousness, clearness, plainness@
@evitare@|@to avoid, to shun, to evade, to elude, to refrain from, to prevent, to avert, to spare, to save@
@faccenda@|@(f- la)- matter, affair, business, thing@
@faccia@|@(f- la)- face, side, look, expression, appearance, aspect@
@facoltativo@|@optional@
@fallimento@|@(m- il)- failure, bankruptcy@
@fallire@|@(isc verb)- to fail, to go bankrupt@
@fanciulla@|@(f- la)- young girl, maiden@
@fanciullo@|@(m- il)- young boy, child@
@faraone@|@(m- il)- Pharaoh@
@fardello@|@(m- il)- bundle, burden, load@
@fare carico a qualcuno di qualcosa@|@to charge somebody with something, to blame somebody for something@
@fare comparsa@|@to make a fine show, to cut a fine figure@
@fare gola@|@to tempt@
@fare un conto@|@to perform a calculation@
@farmaco@|@(m- il)- medicine, drug, remedy@
@faro@|@(m- il) - beacon, guiding light, guide, lighthouse@
@farsi carico di@|@to take something upon oneself@
@farsi coinvolgere@|@to get involved, to get mixed up@
@farsi valere@|@to assert oneself@
@fascino@|@(m- il)- fascination, charm, allure, appeal@
@fatica@|@(f- la)- fatigue, exhaustion, effort, exertion, work, effort, difficulty, labor, trouble, bother@
@faticare@|@to toil, to work hard, to have difficulty in doing something@
@faticoso@|@hard, tiring, exhausting, fatiguing, difficult, laborious@
@fattibile@|@(m- il)- what can be done, what's feasible, one's best, (adj.)- feasible, practicable, possible, achievable@
@favola@|@(f- la)- fable, tale, story, dream@
@favorevole@|@favorable, in favor@
@favorire@|@(isc verb)- to favor, to assist, to help, to foster, to promote, to encourage, to give, to pass@
@fecondo@|@fecond, fertile, fruitful@
@fedeltà@|@(f- la)- fidelity, faithfulness, allegiance@
@ferire@|@(isc verb)- to wound, to strike (colpire- percuotere- picchiare)@
@ferita@|@(f- la)- injury, wound, hurt, offense@
@fermare@|@to stop@
@fermento@|@(m- il)- ferment, yeast, leaven, excitement, agitation, commotion, unrest@
@fermezza@|@(f- la)- firmness, steadfastness, determination, steadiness@
@ferrato@|@reinforced with iron, well-informed, knowledgeable (past part. of ferrare)@
@ferro@|@(m- il)- iron, anchor, sword, (pl.)- chains, fetters, tools, instruments@
@festeggiare@|@to celebrate, to cheer@
@fianco@|@(m- il)- side, hip@
@fidare@|@to trust, to entrust, to rely on@
@fidato@|@trustworthy, reliable, dependable, honest@
@fiducia@|@(f- la)- trust, confidence, reliance, dependence@
@figgere@|@to fix, to fasten, to drive in, to stick@
@filo@|@(m- il)- thread, string, wire, line, edge @
@filone@|@(m- il)- trend, current, vein, stream@
@finché@|@until, as long as@
@fine@|@(f- la)- end, conclusion, death, (m- il)- goal, aim, objective, purpose, conculsion, result, (adj.)- fine, subtle, accurate@
@finezza@|@(f- la)- fineness, thinness, refinement, sharpness, keenness@
@finitezza@|@(f- la)- finiteness, limitedness, narrowness, perfection, completeness@
@fino@|@(adj.)- fine, thin, delicate, sharp, keen, pure, (adv.)- even@
@fino a@|@(prep.)- until, as far as, up to, as much as@
@finora@|@up to now, so far@
@finta@|@(f- la)- pretense, sham@
@finto@|@(m- il)- hypocrite, (adj.)- false, insincere, deceitful, fake, fictitious, artificial@
@finzione@|@(f- la)- sham, falsehood, deceitfulness, duplicity, hypocrisy@
@firma@|@(f- la)- signature, signing, power to sign@
@firmare@|@to sign@
@fisico@|@(m- il)- figure, physique, physicist, (adj.)- physical, bodily@
@fissare@|@to fix, to fasten, to secure, to gaze, to look hard@
