@Haitian creole@|@English@
@boule zen@|@burning the pot-a vodoo ritual elevating to kanzo@
@bounda@|@ass@
@bourik@|@donkey, ass@
@bourik etyò@|@a large donkey kept for breeding, entyò, entchò@
@bous@|@wallet, purse@
@bouske@|@to look for, to seek, to provoke@
@boustabak@|@raven@
@bout@|@end, edge@
@bout bwa@|@log@
@bout pou bout@|@little by little@
@boutèy@|@bottle@
@bouti@|@to result in, to succeed, to mature, ripen, arrive@
@bouti@|@To result in; to succeed, to end (ripen) to arrive@
@boutik@|@shop, store@
@bouton@|@pimple, button@
@bouton frape@|@type of covered button@
@bouya@|@fog@
@bouyi@|@boil@
@bouyon@|@stew, broth@
@bra@|@arm@
@brak@|@tart@
@brake ak@|@to meet, to bump into@
@branch@|@branch@
@branche@|@cock@
@branlan@|@loose@
@brase@|@mash@
@brav@|@brave@
@braye@|@bawl@
@bre a@|@buoy@
@brèf@|@concise@
@brèf (adj)@|@brief@
@brèt@|@box, tin can@
@brete@|@to limp, be lame, hobble@
@bretèl@|@brace@
@bri@|@rumor, noise, sound, uproar@
@brid@|@bridle, reins@
@brid sou kou@|@abrupt, sudden, very fast, on the spot@
@bridsoukou@|@abrupt, sudden, very fast, on the spot@
@brik@|@brick@
@brikouri@|@diarrhea@
@brital@|@rough@
@brital (adj)@|@brute@
@briyan@|@bright@
@briz@|@breeze@
@brize@|@break@
@brizorye@|@very poor@
@brizurye@|@broke@
@brode@|@embroider, knit@
@bròs@|@brush@
@brose@|@brush@
@brui a@|@noise, sound, uproar, rumor@
@buy poto@|@to stand someone up@
@bwa@|@lumber, wood, board, timber, woods, forest@
@bwa a@|@backwoods, beating, penis@
@bwa bale@|@broomstick@
@bwa bourik@|@a bamboo trumpet, vaccines@
@bwa chabon@|@wood for making charcoal@
@bwa chapant@|@timber, building timber@
@bwa chat@|@to die@
@bwa chèch@|@dry wood@
@bwa dan@|@toothpick@
@bwa dife@|@burning stick of wood@
@bwa fè a@|@ironwood, leadwood@
@bwa fèblan an@|@coffee colubrina@
@bwa flo@|@light log for raft making@
@bwa fouye@|@dugout, canoe@
@Bwa kote ou prale@|@You there, where are you going?@
@bwa kou@|@neck@
@bwa lan men@|@card game (you don't want to play this)@
@bwa linèt@|@eye-glass frame@
@bwa nèf@|@part of a field or forest that has been clear cut@
@bwa pi ro@|@tall and skinny person@
@bwa ron@|@dugout, canoe@
@bwa san fey@|@tall and skinny person@
@bwa tèt@|@skull@
@bwachat@|@to die, al bwachat@
@bwadchenn@|@oak wood@
@bwapen@|@pine@
@bwason@|@beverage@
@bwasonyè@|@heavy drinker, guzzler, drunkard@
@bwat@|@cafe, case@
@bwat@|@box, tin can@
@bwat feblan@|@tin can@
@bwat myèl@|@beehive in a wooden box@
@bwat sekrè@|@piggy bank@
@bwatchèn@|@oak@
@bwate@|@to limp, be lame, hobble@
@bwaze@|@to run away, go into hiding, go to the forest@
@bwè@|@drink@
@bwe a@|@buoy@
@bweson@|@drink@
@bwèt@|@box, tin can@
@bwete@|@to limp, be lame, hobble@
@bweze@|@to run away, go into hiding, go to the forest@
@bwi@|@noise, sound, uproar, rumor@
@bwote@|@haul@
@byè@|@ale, beer@
@byen@|@property, wealth, possessions, welfare, good@
@byen (adj)@|@well, all right, very, good, fine, in good health@
@byen (adv attrib)@|@quite, very, really, on friendly terms, intimate@
@byen akeyi@|@to welcome@
@byen antandi@|@of course, understood@
@byen fò@|@aloud@
@byen ke@|@as well as@
@byen kuit@|@well done meat@
@byen lwen@|@very far, far out@
@byen mal@|@very sick@
@byen panse@|@profound@
@byen san sue@|@something for nothing@
@byen tonbe@|@suit@
@byenfè a@|@a good deed@
@byenfetè a@|@benefactor@
@byenfezans@|@beneficence@
@byenke@|@although, though@
@byennantandi@|@of course, quite obviously@
@byennantandi@|@of course, it is understood@
@byennere@|@blissful@
@byennèt@|@welfare@
@byenvini@|@welcome@
@chabon@|@charcoal, coal@
@chadèk@|@grapefruit@
@chagren@|@regret, chagrin, loss, sorrow@
@chaj@|@charge@
@chaj@|@load, cargo, freight, responisbility, burden@
@chaje@|@haul, charge, packed, loaded, filled, full, busy@
@chaje 2@|@to load, to burden, to charge battery, to attack@
@chak@|@each, every@
@chak ane@|@annual@
@chak minit@|@every minute@
@Chal@|@Charles@
@chalè@|@warmth, heat, temperature@
@chalimo@|@straw@
@cham@|@charm, appeal@
@chame@|@bewitch@
@chamo@|@camel@
@chandèl@|@candle@
@chandelye@|@chandelier@
@chanje@|@shift, change, alter, switch@
@chanje vitès@|@change gears@
@chanjman@|@change, alteration@
@chanm@|@bedroom, chamber, room@
@chanpiyon@|@mushroom@
@chanpou@|@shampoo@
@chanpyon@|@champ@
@chans@|@chance, luck@
@chante@|@chant, song@
@chante a@|@song, singing, chirping, crowing@
@chantè a@|@singer@
@chante gam@|@to boast@
@chape@|@to escape, survive, slip out, unintentional@
@chape 2@|@to slip away, to survive, save@
@chape poul@|@to escape, run away, flee@
@chapit@|@chapter@
@chapit liv@|@book chapters@
@chaplèt@|@bead@
@chapo@|@hat@
@charanpyon@|@measles@
@charite@|@charity@
@charony@|@reek, carrion, nasty smell, stink, stench@
@charonyen@|@to annoy, bother, to go slumming for lowly pleasur@
@charye@|@to cart, to transport@
@charyo@|@carriage, pushcart@
@chase@|@evict, chase, to hunt, chase away, expel, eject@
@chase (v)@|@hunt@
@chasè a@|@hunter@
@chasi a@|@chassis@
@chat@|@cat, kitten@
@chat boure@|@a fat person@
@chat bwa@|@wild cat@
@chat de pye@|@thief, crook@
@chat dis dwèt@|@thief, crook@
@chat la@|@thief, genitals, flat bottomed boat@
@chat maron@|@wild cat@
@chato@|@castle@
@chatye@|@castigate@
@chay la@|@cargo, load, freight, responsibility, burden@
@chay la 2@|@carry, illegal attack (in sports)@
@chayman an@|@cargo, load, freight@
@chè@|@costly, expensive, high priced, dear (Dear sir)@
@chè a@|@pulpit, flesh@
@chè frè@|@brother in the faith@
@chè lan gòj@|@tonsilitis@
@chè lan nen@|@polyp in the nose@
@chè mèt chè mètrès@|@to me only@
@chè se@|@dear sister@
@chè tout mwen@|@my darling, my one and only@
@cheche@|@to dry, emaciate@
@chèche@|@search, seek, explore, fetch, seeking, looking@
@chèche konnen@|@find out, finding out, get to know, determine@
@chèche kont@|@to instigate a quarrel, to look for trouble@
@chechrès@|@drought, dry spell@
@chèf@|@chief, sherrif, boss, foreman, head, leader@
@chèf relijye@|@religious leaders@
@chèfseksyon an@|@sheriff, chief of rural police@
@chèk@|@check, warrant, pay check@
@chèk san provisyon@|@bad check, insufficient funds@
@cheka a@|@government employee, one who gets monthly pay@
@chekè@|@checker@
@chèlbè@|@pedant, show-off, the great Shelby@
@chelèn nan@|@type of marble used in game of marbles@
@chemen@|@path, way, road, lane, route, tract, course@
@chemen dekoupe@|@short cut@
@chemen dlo@|@water road used by a spirit to arrive and depart@
@chemen jennen@|@narrow path@
@chemen rat@|@shaved patches in hair due to bad haircut@
@chemine@|@chimney@
@cheminen@|@chimney@
@chemiz@|@shirt, blouse@
@chemiz la@|@folder for documents@
@chemiz manch-long@|@shirt long-sleeved@
@chemizdenui@|@nightgown@
@chemizèt@|@undershirt@
@chen@|@dog, servile person@
@chèn nan@|@oak@
@chen san mèt@|@loafer@
@chen tig@|@a dark brown dog with black or dark brown spots@
@chenn@|@collar, chain@
@chenn nan@|@oak@
@cheri@|@darling@
@chèsè@|@nun@
@chètout@|@endearing term, my all@
@cheval@|@horse@
@cheve@|@hair@
@cheve filas@|@very fine thin hair@
@cheve grenn@|@kinky hair@
@cheve siro@|@straight hair@
@cheve swa@|@straight hair@
@chevi a@|@ankle, bolt@
@chevon an@|@wooden beam@
@chevrèt la@|@shrimp@
@chèz@|@chair, seat@
@chèz long@|@lounging chair@
@chi@|@to shoo (chickens)@
@chi poul ale@|@go away chickens@
@chich@|@avaricious, stingy, penurious, tightfisted@
@chicha@|@stingy@
@chichadò@|@stingy@
@chichote@|@to whisper@
@chichotman@|@whispering@
@chif@|@number, cipher@
@chifon an@|@rag used to clean blackboards@
@chifonnen@|@to wrinkle, to trouble, to bother@
@chik@|@swell, chic, elegant, smart@
@chik la@|@chigger@
@chika@|@a sharp movement of the pelvis while dancing@
@chikannen@|@to bother, to annoy, talk behind someones back@
@chikata a@|@a person whose feet are badly infected by chiggars@
@chiklèt@|@gum@
@chimen an@|@road, lane, path, route, tract, way@
@chimi@|@to shimmy (car tires for example)@
@chimi an@|@chemistry@
@Chin@|@China@
@chinen do bourik la@|@the spine of the donkey@
@chire@|@nack@
@chirijyen@|@surgeon@
@chita@|@sit@
@chive a@|@hair@
@cho@|@hot@
@chode@|@scald@
@chodyè@|@cauldron@
@chofe@|@to warm up, to heat, to keep warm, to reheat@
@chofè@|@driver@
@chofe tròp@|@to overheat@
@chok@|@shock@
@chòk@|@bump@
@choke@|@shock@
@chokola@|@chocolate@
@chosèt@|@sock@
@chòt@|@short@
@chou@|@cabbage@
@chou a ponmen@|@the cabbage has grown into a round head@
@chòv@|@bald@
@chòvsourit@|@bat@
@Christian@|@kretyen an@
@chuichui@|@rumor, whisper@
@chwa@|@choice@
@chwal@|@horse@
@chwazi@|@select, elect, choose@
@chwe@|@to fail, flunk, fall through, run aground, end up@
@chyen an@|@dog, servile person@
@d@|@of (used very sparingly)@
@d laprèmidi@|@in the afternoon@
@dakò@|@agree@
@dan@|@tooth, fang@
@dan fouchèt@|@fork tine@
@danje@|@peril, danger@
@danlemonnantye@|@in the whole world@
@danre@|@goods, produce@
@dans@|@dance@
@danse@|@dance@
@dapiyan@|@ravish@
@dat@|@date@
@dayè@|@besides@
@dayiva@|@diver@
@de@|@two, in liason, of, from, about, some@
@dè@|@of (used very sparingly), some, a few (rare)@
@de a@|@thimble, canopy@
@de fwa@|@twice@
@De ki prevyen@|@What caused it, what is the origin of it@
@de machin frape@|@two cars collided@
@de pa de@|@two by two@
@de pre@|@closely@
@de preferans@|@rather@
@de ryen@|@you're welcome@
@de semèn pase@|@two weeks ago@
@de tan twa mouvman@|@fast, in a jiffy@
@de twa@|@some, a few@
@de vityelo@|@on foot, on the shoes I bought at Vitiellos shoes@
@de yo@|@about them@
@de zan@|@two years@
@debake@|@land@
@debarase@|@clear, rid@
@debat@|@debate, deliberate@
@debòch@|@debauch@
@debòde@|@overflow@
@debouse@|@disburse@
@debouya@|@diligent, nifty@
@debouye@|@to manage, cope@
@dechikte@|@jag@
@dechire@|@tear@
@dechoke@|@depose@
@deden@|@disdain@
@defakto@|@de facto@
@defann@|@prohibit, forbid, ban, defend@
@defans@|@defense@
@defason@|@so that, in such a way that@
@defayans@|@lapse@
@defè@|@undo@
@definitif@|@definite@
@deflektè@|@baffle@
@defo@|@fault, default, bad habit, failing, defect@
@defo fabrik@|@defect@
@defòme@|@distort@
@defwa@|@twice@
@defye@|@defy, dare@
@degaje@|@to free, release, disengage, clear@
@degaje 2@|@to get by, to manage, to do fairly well@
@degaje; kenbe@|@get along@
@degize@|@to disguise@
@degou@|@disgust@
@degoutan@|@lousy@
@degoute@|@drip@
@degre@|@degree, ritual@
@deja@|@already, yet@
@dejne@|@breakfast@
@dekadans@|@wane@
@deklare@|@affirm, contend, declare, state@
@deklare koupab@|@convict@
@dekond@|@tear open@
@dekonpoze@|@decay@
@dekonstonbre@|@shabby@
@dekont@|@count@
@dekore@|@decorate@
@dekouraje@|@daunt, discourage@
@dekouvri@|@discover, discern, to uncover, remove the top@
@dekouvri 2@|@to find out, to detect, to clear up (weather)@
@dekrè@|@decree@
@dekri@|@describe, depict@
@dekwa@|@means, wherewithal, it is enough that, so that@
@dekwa 2@|@it is the reason for, as a result of that@
@delala@|@delirious, shabby@
@delege@|@delegate@
@delika@|@delicate@
@delivre@|@deliver@
@delye@|@dilute@
@demach@|@walk@
@demand@|@request@
@demanjezon@|@itch@
@demann@|@demand@
@demanti@|@belie@
@demantle@|@raze@
@demefyan@|@distrustful, mistrustful@
@demen@|@tomorrow@
@demi@|@half@
@demode@|@outdated, obsolete@
@demokrasi@|@democracy@
@demokratik@|@democratic@
@demoli@|@demolish@
@demon@|@devil@
@demontre@|@to demonstrate, depict, exert@
@denonse@|@to denounce, inform on, betray, exposed, denounced@
@denpi@|@since, as long as, after, as soon as, once, from@
@dènye@|@last@
@Dènye bwè pi bon dlo@|@he who is last has the advantage@
@depann@|@depend@
@depann sou@|@rely@
@depans@|@expense@
@depanse@|@spend, waste a lot of time@
@depase@|@exceed@
@depatman@|@county, department@
@depèch@|@telegram@
@depeche@|@to hurry up, hurry@
@depi@|@ago, based on, if, as long as, once, from, since@
@depi 2@|@because, since after, as long as, as soon as@
@depi ki jou@|@since what day@
@depi kilè@|@since when@
@depi konbyen jou@|@for how many days@
@depi konbyen tan@|@for how long@
@depi lè a@|@since then, since that time@
@depi lò a@|@since then, since that time@
@depi tandantan@|@ages ago@
@depi tanndat@|@for a long time (in the past)@
@deplase@|@move@
@deplimen@|@pluck@
@depo@|@depot, deposit@
@deposede@|@disown@
@depòte@|@deport@
@depoze@|@put, deposit, place, deliver, to put down@
@depwen@|@colon@
@deranje@|@molest, disable, district, upset, intrude@
@derape@|@weigh anchor, get started@
@derape tout vitès@|@to dash off@
@derechanj@|@spare@
@derechany@|@spare@
@derefize@|@to resist, to be unwilling, to reject, refuse@
@deroute@|@baffle@
@desanm@|@December@
@desann@|@camp, down, go down, descend@
@desann sou roulib@|@coast@
@desantralize@|@decentralize@
@desè@|@dessert@
@desen@|@design@
@desen anime@|@cartoon@
@desepsyon@|@deception@
@desevwa@|@deceive, disappoint@
@deside@|@decide@
@desine@|@design@
@desizyon@|@decision, verdict@
@deske@|@because, for, since, in view of, considering that@
@deske 2@|@for@
@destine@|@destiny, fate@
@dèt@|@debt@
@detache@|@apart, detach@
@detale@|@dash@
@detan@|@while, as@
@detann@|@relax@
@detanzantan@|@from time to time, occasionally, periodically@
@detanzantan 2@|@sporadically@
@detay@|@detail@
@detaye@|@detail@
@detekte@|@detect@
@detèmine@|@determined@
@deteste@|@detest@
@detonasyon@|@bang@
@detou@|@detour@
@detounen@|@avert, deprave, ward, hijack@
@detoutfason@|@anyhow, in any event, anyway@
@detrui@|@destroy, to do away with@
@detwi@|@destroy (with rage), to do away with@
@devalize@|@ransack@
@devan@|@forward@
@devan@|@before, in front of, opposite, ahead of@
@devan an@|@the front, what is in front, genitals@
@devan dèyè@|@the front part in the back, hindpart foremost@
@devanjou@|@dawn@
@devann@|@ahead@
@devaste@|@ravage, devastate@
@develope@|@develop@
@developman@|@development@
@devide@|@spill@
@devine@|@guess@
@devinèt@|@puzzle, riddle@
@devwale@|@reveal@
@devwe@|@devout@
@devyasyon@|@bypass@
@dèy@|@mourning, bereavement@
@dèyè@|@behind, ass, rear, after@
@deyò@|@outside, without, illegitimate, out, exterior@
@dezabiye@|@bathrobe@
@dezagreyab@|@diagreeable@
@dezakò@|@discord@
@dezan@|@two years@
@dezaprouve@|@disapprove@
@dezas@|@disaster@
@dezavantaj@|@drawback@
@dezè@|@two oclock@
@dezenvòlt@|@casual@
@dezespere@|@desperate, despair@
@dezespwa@|@despair@
@dezi@|@dezire@
@dezinyen@|@appoint@
@deziyen@|@assign@
@dezobeyi@|@violate@
@dezòd@|@mess, disorder@
@dezòm@|@two men@
@dezonè@|@shame, disgrace@
@dezoryante@|@bewilder@
@dezoutwa@|@some, a few@
@dezyèm@|@second, the second@
@dezyèm men@|@used@
@dezyèmman@|@secondly@
@di@|@callous, hard, durable, strenuous, firmly@
@di 2@|@to say, tell, pronounce@
@di anpil@|@very difficult@
@di gro mo@|@to curse, to use bad words, to be vulgar@
@di mwen@|@tell me@
@diab@|@devil@
@dife@|@fire@
@diferan@|@different@
@difikilte@|@difficulty@
@difisil@|@difficult@
@difisil anpil@|@very hard@
@digizmann@|@disguise@
@dijere@|@digest@
@dikisyon@|@brawl@
@diksyonè@|@dictionary@
@dimanch@|@Sunday@
@Dimanch an uit@|@a week from Sunday@
@dimansyon@|@size@
@diminye@|@allay, decrease@
@dine@|@dinner, lunch@
@diplòm@|@degree@
@diplome@|@graduate@
@dire@|@to last, endure@
@dirèk@|@direct@
@direksyon@|@range, direction@
@direksyon nò@|@north@
@direkte@|@chairman@
@direktè@|@director@
@direktris@|@female principal of a school@
@diri@|@rice@
@dirije@|@to manage, lead, direct, rule, be in charge of@
@dirije (v)@|@head@
@dis@|@ten@
@disène@|@discern@
@disèt@|@seventeen@
@disèt lajè@|@very big, very wide@
@disi@|@from now until, between now and@
@disi mwa prochen@|@between now and next month@
@disip@|@disciple@
@disiplin@|@discipline@
@diskalifye@|@disqualify@
@diskisyon@|@quarrel, disagreement, argument, discussion@
@diskite@|@to argue, debate, discuss@
@diskou@|@speech, discourse, rhetoric, talk@
@diskredite@|@discredit@
@diskresyon@|@discretion@
@dispansè@|@dispensary@
@disparèt@|@disappear, fade, vanish@
@disponib@|@available@
@dispozisyon@|@preparation, disposition, feeling for, temper@
@dispozisyon 2@|@character  pran dispozisyon to take steps@
@dispozisyon an@|@disposition, feeling for, temper, character@
@disrè@|@discrete@
@distan@|@austere@
@distans@|@distance@
@disten@|@distinct@
@distenge@|@distinguish@
@distrè@|@distract@
@distribye@|@deal, distribute@
@diton@|@proverb@
@ditou@|@not at all, never@
@divage@|@to rave, ramble, talk nonsense, digress@
@divan@|@divan, couch, lounge@
@divè@|@tiny feathers or down@
@diven@|@wine@
@diven kann@|@sugar cane juice@
@divengòl@|@shabby straw mat@
@divès@|@various, diverse, several, many@
@divinèz@|@female fortune-teller, female seer@
@divinò@|@male fortune-teller, seer, guesser at riddles@
@divize@|@to divide@
@divizyon an@|@division in arithmetic@
@divòs@|@divorce@
@diyite@|@dignity, penis@
@dizan@|@ten years@
@dizèl@|@diesel@
@dizèn nan@|@about ten, decade on the rosary@
@dizèt@|@dearth, scarcity, famine@
@diznèf@|@nineteen@
@dizon@|@agreement, understanding, accord, approval@
@dizon 2@|@as, whereas, since@
@dizon di@|@to tell the truth, actually, let us say@
@dizuit@|@eighteen@
@dja a@|@pot, jug, vat, jar@
@djal@|@girl@
@djanni@|@fake@
@djin@|@gin@
@djip@|@jeep@
@djipopo a@|@misfortune, something that makes you lie & wait@
@djipopo a@|@magical trap, a problem without a solution@
@djipopo a 3@|@evil ways, something you can not get rid of@
@djipsi@|@Gypsy@
@djòb@|@job, employ@
@djòb la@|@employment, trade, work, task, job, racket, graft@
@djobe@|@to do a piece of work, to do a job@
@djobè a@|@jobber@
@djògin@|@jogging@
@djòk la@|@evil spell@
@djoke@|@to bewitch, cast an evil spell@
@djòl@|@snout@
@djòl la@|@snout, mouth (animal), face@
@djola a@|@straw sack, bag@
@djòle@|@boastful, loud mouthed, braggart, brag@
@djòlè@|@liar@
@djondjon@|@mushroom (especially small black mushroom)@
@djondjonnen@|@to proliferate@
@dle digo@|@indigo blue@
@dlo@|@water, river, liquid, watery@
@dlo a santi@|@the water is foul@
@dlo benit@|@holy water@
@dlo bouch@|@saliva@
@dlo fre@|@cool water@
@dlo frèch@|@cool water@
@dlo je@|@tears@
@dlo ki pa fon@|@shallow water@
@dlo kokoye@|@coconut water@
@dlo lacho@|@whitewash@
@dlo lapli@|@rainwater@
@dlo oksijene@|@hydrogen peroxide@
@dlo pwa@|@thin beansoup@
@dlo sous@|@spring water@
@dlololo@|@watery (food)@
@do@|@back (person, animal, chair), roof, top@
@do 2@|@variant of dwe, should, must, ought, may, maybe@
@do chèz@|@back of a chair@
@do chèz la kase@|@the chair back is broken@
@dodin@|@armchair@
@dodinen@|@rock@
@dokazyon@|@used@
@dokiman@|@file, document@
@dola@|@dollar@
@dòlote@|@pamper, coddle@
@domaj@|@damage@
@domaje@|@damage@
@domèn@|@field (career), domain@
@dòmi@|@numb, sleep@
@dòmi atè@|@to sleep on the floor@
@domine@|@prevail@
@Dominikani@|@Dominican Republic@
@don@|@gift@
@done@|@data@
@donk@|@therefore, for, in that case, consequently@
@donnen@|@yield, fertile@
@donte@|@tame@
@dosye@|@og, brief, record, file@
@dòt@|@other, else, next@
@dòt fwa@|@sometimes, other times@
@dòtwa@|@dormitory@
@dou@|@mellow@
@doub@|@pair, double@
@double@|@double@
@douch@|@shower@
@doulè@|@pain, ache, grief, anguish@
@doulè akouman@|@labor pain@
@dous@|@mild, sleek, sweet@
@dousman@|@slowly, gently, slow@
@dout@|@doubt@
@doutans la@|@doubt@
@doute@|@to doubt@
@douvanjou@|@before daybreak@
@douz@|@twelve@
@dra@|@linen, sheet@
@drapo@|@flag@
@drese@|@raise, rear, erect@
@drèt@|@right (not left), straight, direct@
@dril@|@drill@
@dròg@|@drug@
@dròl@|@odd, strange, quaint@
@droum@|@drum@
@du tou@|@at all@
@dwa@|@duty, law, rights (legal)@
@dwa (ladwann)@|@fee@
@dwa moun@|@human rights@
@dwat@|@straight, right (not left), direct@
@dwat@|@erect, right (side), right, straight, direct@
@dwe@|@should, must, ought to, to have to, may@
@dwe 2@|@to be possible, to owe@
@dwe ale@|@must go@
@dwèt@|@finger@
@dyab@|@devil@
@dye@|@God@
@dyo@|@water, liquid, watery@
@dyòb la@|@employment, trade, work, task, job, racket, graft@
@dyobe@|@to do a piece of work, to do a job@
@dyobè@|@jobber@
@dyòk la@|@evil spell@
@dyoke@|@to bewitch, cast an evil spell@
@dyòl la@|@snout, mouth (animal), face@
@dyòl loulou@|@really tasty@
@dyola a@|@straw sack, bag@
@dyolè@|@boastful, loud mouthed, braggart, brag@
@dyondyon an@|@mushroom (especially small black mushroom)@
@dyondyonnen@|@to proliferate@
@e@|@and@
@e kèk@|@and a little more@
@ebèje (v)@|@lodge@
@eblouyi@|@dazzle@
@ebre@|@Hebrew@
@ebyen@|@interjection, so well then, well@
@echanj@|@exchange@
@echantiyon@|@sample@
@echap@|@sling, scarf, sash@
@echapman an@|@exhause (auto)@
@echèk@|@chess@
@echwe@|@to fail, to flunk, fall throu, run aground, end up@
@èd@|@help, aid@
@èd la@|@aid, help, relief, helper@
@ede@|@to assist, help, aid@
@ede (v)@|@help@
@edikasyon@|@education@
@edikasyon an@|@instruction, education, manners, breeding, upbring@
@edikasyon fizik@|@physical education@
@edike@|@educate, to bring up, well bred, educated@
@edisyon an@|@edition@
@edite@|@edit@
@editè@|@editor@
@efarouche@|@appall, to frighten@
@efas la@|@eraser@
@efase@|@delete, efface, erase@
@efè a@|@belongings, effect, consequence@
@efektivman@|@effectively@
@efò@|@effort@
@efrayik@|@awesome, sensational@
@efreyan@|@hideous@
@efreye@|@scare, afraid@
@èg@|@eagle@
@egal@|@equal, even@
@egale@|@equal@
@èganik@|@organic@
@egare@|@confused@
@egou@|@drain@
@egoyis@|@selfish@
@egui@|@needle@
@egzajere@|@exaggerate@
@egzak@|@exact, precise@
@egzale@|@exhale@
@egzamen@|@quiz, test@
@egzamen konpetans@|@competency test@
@egzamine@|@examine, view@
@egzan@|@exempt@
@egzanp@|@pattern, example@
@egzanplè@|@exemplary@
@egzekite@|@perform, execute@
@egzèsis@|@exercise@
@egzistans@|@being@
@egziste@|@exist@
@ekip@|@crew, team@
@ekipe@|@equip@
@ekipman@|@equipment@
@ekitab@|@fair@
@ekla@|@glitter, glare@
@eklate@|@explode, burst, erupt@
@eklatman@|@explosion, eruption@
@eklere@|@bright, brilliant, smart, clever, intelligent@
@eklere 2@|@to enlighten, well informed, experienced, educated@
@eklèsi@|@clarify@
@eko@|@echo@
@ekonomi@|@economy@
@ekonomi domestik@|@home economics@
@ekòs@|@bark@
@ekoulman an@|@gonorrhea, claps@
@ekran@|@screen@
@ekran an@|@screen (cinema)@
@ekri@|@to write, correspond@
@ekriti@|@scripture@
@ekriti a@|@handwriting, writing, penmanship, official doc@
@ekrito@|@poster, notice, sign@
@ekriven@|@author@
@eksè a@|@excess@
@eksede@|@exceed@
@eksepsyon@|@exception@
@eksepsyonèl@|@exceptional@
@eksepte@|@except, barring@
@eksetera@|@etc., et cetera, and so on, and so forth@
@eksite@|@excite, arouse@
@ekslisit@|@explicit@
@ekspè@|@expert@
@eksperyans@|@experience@
@eksplikasyon@|@explanation@
@eksplike@|@to explain@
@eksplore@|@explore@
@eksploze@|@explode@
@eksplozyon@|@explosion, blast@
@ekspòtasyon@|@export@
@ekspòte@|@export@
@ekspoze@|@expose@
@ekspozisyon@|@exposition@
@eksprime@|@express@
@eksteryè@|@exterior@
@ekstraòdinè@|@extraordinary@
@ekstrè@|@extract, digest@
@ekzòbitan@|@outrageous@
@elabore@|@elaborate@
@elaji@|@expande@
@elefan@|@elephant@
@eleksyon@|@election, poll@
@elektoral@|@electoral@
@elektwochimi@|@electro-chemistry@
@eleman@|@data@
@elemantè@|@elementary@
@elèv@|@pupil, student@
@eli@|@elect@
@elijib@|@eligible@
@elimine@|@eliminate@
@elòj@|@praise@
@elve@|@breed, high, rear@
@emab@|@bland@
@èmanan@|@constant@
@emèt@|@emit@
@emèt@|@broadcast@
@emisyon@|@broadcast@
@emosyon@|@emotion@
@en@|@one@
@èn@|@hate@
@en ben@|@well then@
@enb@|@humble@
@enben@|@interjection so, well then@
@enbesil@|@dumb@
@enbesil@|@silly, imbecile, fool@
@enbetan@|@annoying, troublesome, teasing, boring@
@enbete@|@to bother, annoy, but, tease, trouble@
@ende@|@to help, to aid, to assist@
@endeks@|@index@
@endepandan@|@independent@
@endiferan@|@austere, aloof@
@endijan@|@pauper@
@endike@|@indicate@
@endistriyalizasyon@|@industrialization@
@endiyasyon@|@indignation@
@enèji@|@energy@
@enève@|@tense@
@enève@|@enrage@
@enfekte@|@infect@
@enfim@|@disable, cripple@
@enfimyè@|@nurse@
@enflamasyon an@|@tumefaction, swelling, inflamation@
@enfliyans@|@influence@
@enfomasyon@|@information@
@enigm@|@enigma@
@enkapab@|@unable@
@enklinasyon@|@inclination@
@enkonsyan@|@oblivious@
@enkwayab@|@incredible@
@enkyetid@|@anxiety, concern, restlessness, worry@
@ennan@|@a year, one year@
@ennbèsil@|@blockhead@
@enòm@|@enormous@
@enpafè@|@imperfect@
@enpas@|@deadlock@
@enpasyan@|@impatient@
@enpe@|@little, some, odd@
@enpi@|@and, then, and thereupon@
@enplije@|@implicate@
@enplore@|@plead@
@enplwaye@|@hire@
@enposib@|@impossible@
@enpòt kijan@|@somehow@
@enpòtan@|@famous, important, significant, to matter@
@enpòtan 2@|@life and death@
@enpresyon@|@impression@
@enpresyone@|@impress@
@enpridan@|@rash@
@enprime@|@print@
@enrimen@|@to have a runny or stuffy nose, to catch a cold@
@ensèk@|@bug@
@ensilt@|@insult@
@ensipòtab@|@unbearable@
@ensiste@|@insist@
@ensite@|@incite@
@enskri@|@record@
@enskri@|@register@
@enskripsyon@|@registration@
@enskripsyon elektè@|@voter registration@
@ensolan@|@insolent@
@enstale@|@install@
@enstantane@|@instant@
@enstige@|@entice@
@enstiti@|@institute@
@Enstiti Franse@|@French Institue@
@enstitisyon@|@institution@
@enstriman@|@device@
@entansyon@|@purpose@
@entèdi@|@ban@
@entèdiksyon@|@ban@
@entèfere@|@interfere@
@entelijan@|@bright, smart, clever, intelligent@
@entènasyonal@|@international@
@enterese@|@to interest, eager, to interest ones self in@
@enterese 2@|@to care about, concerned, interested@
@entimide@|@daunt@
@entrepriz@|@firm@
@entrèronp@|@interrupt@
@entrige@|@fascinate@
@entwodiksyon@|@introduction@
@envante@|@invent@
@envite@|@to invite, avoid, spare, avert@
@envite a@|@guest@
@envizib@|@invisible@
@envoke@|@invoke@
@epè@|@fat, dense, thick@
@epi@|@and, then, and thereupon, and then, also@
@epi 2@|@as well as@
@epi mayi a@|@ear of corn@
@epi tou@|@therefore, as a matter of fact@
@epitou@|@therefore, as a matter of fact, moreover@
@epitou 2@|@and, then, and thereupon, and then, also@
@epitou 3@|@as well as, other than that, in addition@
@epitou 4@|@otherwise, furthermore@
