@English@|@Q'anjob'al@
@flower@|@xumak@
@flower (ornamental)@|@kaq@
@flower of the cornfield@|@ch'uchej@
@flute@|@xul@
@fly@|@aja', toj jupupoq, us@
@flying snake@|@yax kan@
@fog@|@moyan, saq asum@
@fold@|@paqan, paqb'il, paqb'il ayoq@
@folded@|@paqb'il, paqb'il ayoq@
@folded it@|@maxspaqa'@
@food@|@lob'ej, loj@
@fooled her@|@maxyetne'@
@fooled him@|@maxyetne'@
@fooled it@|@maxyetne'@
@foot@|@aqan, aqanej@
@footgear (sandals and shoes etc)@|@xanab'@
@footprint@|@yechel aqanej, yechel yaqan@
@for@|@b'ay, tet@
@for a person to fall with their legs spread@|@jewnajoq@
@for an object to move whether because it was poorly situated or because is was not well made (the table wobbles because the legs aren't attached firmly)@|@b'akxi@
@for that reason@|@yuj tu, yuj xan@
@for the original color of something to fade out@|@saq puminaq'eloq@
@for two people or animals to curl up together@|@b'ak'lej sb'a, sb'ak'sb'a@
@for various persons to weave with a loom@|@chemlab'i@
@forage@|@yan@
@forehead@|@palan, palanej@
@foreigner@|@konb'laq anima@
@forest@|@xolaq te'@
@forgiveness@|@mimank'ulal@
@forgot it@|@max k'ay toq yuj@
@forty (Kawinaq xa k'u skam hinmam Forty years ago my father died)@|@kawinaq@
@fought@|@maxyaq' owal@
@found it@|@maxilchaj yuj, max'ilchaj yuj@
@four@|@kan, kaneb'@
@four by four (four at a time)@|@kan kan, kan kantaq@
@four days ago@|@kanji@
@four hundred (five times eighty)@|@jun mutx'@
@four legged animal that eats hungrily (the cow ate the corn hungrily)@|@yamami@
@fourteen@|@kanlajuneb'@
@fourteen days ago@|@kanlajoneji@
@fourth@|@skan@
@fox@|@pay@
@frail@|@yayili@
@freeze@|@sikaloq@
@freshwater jute snail@|@xotx@
@friend@|@etb'ihej@
@frighten off@|@xhib'@
@frog@|@pajtza'@
@from (place of origin - aj Yul K'ol - from Yul K'ol)@|@aj@
@frost@|@chew@
@frozen@|@chew@
@fruit@|@lob'ejal, sat, sat te'@
@full@|@nojnaq, tek'an@
@full or ready to give birth@|@t'inan yeji@
@funny@|@elaw@
@gadfly@|@katx@
@gall@|@k'a'@
@game@|@saqach@
@garbage@|@q'alem@
@garlic@|@axux@
@gather@|@wajlayi@
@gathered it@|@maxsik'ajoq@
@gathering@|@wajanil@
@gave him or her@|@max yaq' tet@
@gave it@|@max ya'a', max yaq'a'@
@gave it back@|@max yaq' meltzajok@
@gentleman@|@mamin@
@gently passed the hand over something@|@maxsmasa'@
@get out (a command)@|@elan@
@get sick@|@yab'an@
@get up on (Mount your horses)@|@ajan@
@gift@|@matan@
@girder@|@patzab'@
@girl@|@ix'unin, q'opoj@
@give@|@aq', -aq'-, xuwatoq, yaq'a'@
@give (Mayal waq' yan no hinchej - I gave hay to my beast)@|@aq'a'@
@give (with the passive suffix lay)@|@aq'lay@
@glass@|@nen@
@glowworm@|@kukay@
@glue@|@lak'b'al@
@gluey@|@lak' taq@
@go@|@asi'@
@go below@|@ayan@
@go first (to a determined destination)@|@b'ab'jan@
@go for now (Go for now we will talk later)@|@asib'el@
@go out@|@el@
@go to a determined destination first@|@b'ab'jan@
@go underneath@|@ayan@
@go up@|@ajan@
@goat@|@chiwo@
@God@|@ajaw@
@godfather@|@xajan, xajanej@
@godmother@|@xajanej@
@good@|@wa', watx'@
@good attitude@|@tjol, tojol@
@gopher@|@kon@
@gossip@|@wajq'anej@
@got accustomed@|@maxq'ayi@
@got it@|@maxilchaj yuj@
@got married@|@maxnupayi@
@got scared@|@maxxiwi@
@got sick@|@yab'an@
@got the corn ready for storage@|@maxsjatx'a'@
@got tired@|@max k'umb'i@
@got up@|@max 'ajwan@
@government@|@syajawil@
@grab@|@mitx'@
@grandfather@|@mamin@
@grandmother@|@chikay, txitx@
@grandmother (father's mother)@|@chikay@
@grandson@|@yin txikin, yin txikinej@
@grape@|@tz'usub'@
@grasp (Get a good grasp on that)@|@k'alb'il, mixt'b'il, pixb'il@
@grasped it@|@maxsmitx'a'@
@grass@|@ak'un, aq'un, awal ak'un, etaj, yan@
@grasshopper@|@sak'@
@grassland@|@ak'al tx'otx'@
@gratefulness@|@yujwaldiosalil@
@grattitude@|@yujwaldiosalil@
@grease@|@b'aq'ech@
@great-tailed grackle (a bird with black feathers that eats grains)@|@ch'ok, ch'okil@
@green@|@yaxyin@
@green (yax yin)@|@yax@
@green apple@|@yax mansan@
@green firewood@|@yaxte'@
@green stick@|@yaxte'@
@greens@|@itaj@
@Greetings (carries the meaning 'May your life be good' - wa' meaning 'good' kawil meaning 'life and ku'l meaning 'stomach')@|@Chi' wa' kawil a k'ul@
@grew@|@maxch'ib'i@
@grey hairs@|@saq xilej@
@grime@|@tz'il@
@grinder@|@chukul, ka', kahej@
@grinding stone@|@ka'@
@ground@|@sat tx'otx', tx'otx'@
@ground it@|@maxsjutx'u'@
@ground that is hard when it is struck@|@kawsaninaq@
@group of people@|@winaq@
@grows very well (a plant)@|@yatx'atx'i@
@guava@|@pata@
@guessed@|@ajtxum@
@guitar@|@wajab'@
@gum@|@lak'b'al, tx'atxa'@
@gummy@|@lak' taq@
@guts@|@tx'ankan@
@had it@|@max'ejek' yetoq@
@hail@|@saq b'at, saqb'at@
@hair@|@xil, xil jolomej, xilej@
@hair of an animal@|@xil no'@
@hair ribbon@|@lixhton, tx'amb'alej@
@half-yellow@|@q'antaq@
@half (Mayal ay snan te' mansan The apple is cut in half)@|@nan@
@hammered it@|@maxmaq' ekoq@
@hammock@|@ab'@
@hand@|@q'ab', q'ab'ej@
@handful@|@topan, yuchan@
@handle@|@yaqan@
@handle (of an agricultural tool like a hoe)@|@och@
@hanging@|@b'ay, t'unan@
@hanging (The calendar is hanging on the wall)@|@lokan@
@happiness@|@chi'k'ulal, tzalej k'ulal, tzalojk'ulal@
@hard@|@kaw pitinaq, kaw yib'@
@hard (Kaw chi janani te si' ti' This firewood is very dry)@|@kaw@
@hard liquor@|@an, anej@
@hardshell gourd@|@tzima, tzu@
@hardshell gourd (calabash)@|@tzima@
@harvested it@|@maxsjatx'a'@
@hat@|@wonit@
@hawk@|@tx'akb'aj@
@hay@|@yan@
@haze@|@saq asum@
@he@|@a naq, naq@
@he already knows@|@yojtaqxa@
@he answered him or her (or she answered him or her)@|@max staq'wene'@
@he called it@|@max yawte'@
@he defended or protected himself@|@maxskol sb'a@
@he fell@|@max 'ay k'ayi@
@he help@|@skolon@
@he helped@|@skolon, xkolon@
@he helps@|@skolon, xkolon@
@he is hit@|@maq'b'il ix, maq'b'il naq@
@he knows@|@yojtaq@
@he lost it@|@maxk'ay toq@
@he or she ate (meat)@|@maxschi'@
@he or she eats@|@chi lowi@
@he or she helps@|@chi kolwaji@
@he or she hit (in the antipassive voice)@|@xmaq'waji@
@he or she is dead@|@kamnaq@
@he or she or it came down (Rain fell on the children)@|@ayoloq@
@he or she or it hit@|@xmaq'wi@
@he or she said@|@maxyala', yala'@
@he or she says@|@yalon@
@he or she should eat@|@lowoqab' wal@
@he or she taught (speaking of education)@|@maxskuyu'@
@he or she took a breath@|@max yi skaq'e'@
@he ordered it@|@maxscheqa'@
@he paid it@|@maxstojlene'@
@he played@|@maxsaqchi@
@he says@|@xhi@
@he sent it@|@maxscheqa'@
@he she or it gives (or if followed by kan - gives changes to leaves)@|@yaq'on@
@he she or it went@|@max toj@
@he shouted@|@max 'el yaw@
@he tickled him or her (or she tickled him or her)@|@max sk'ilista nene'@
@he went@|@xtoj@
@he who commands or orders@|@cheqomtoq@
@he who sends@|@cheqomtoq@
@he who teaches@|@kuywajom, kuywajwom@
@he worked@|@maxmulnaji@
@head@|@jolom, jolomej@
@head lice@|@uk'@
@Headlight Elater click beetle@|@kuka, kukuy@
@headwaters@|@snuq' ha'@
@healer@|@ajan, aj'an, anlewom, anlom, antelwom, antewon@
@healing@|@aj'an@
@health@|@kawil@
@heaped@|@b'ulan@
@hear@|@yab'ej@
@heard it@|@max yab'e', maxyab'e'@
@heart@|@pisanex, pixanej@
@heart (Kawal ya' hinpixan 'my heart hurts')@|@pixan@
@heated it@|@max yaq' q'axnajoq@
@heaven@|@sat kan@
@heavy@|@al@
@height@|@stel, tel@
@held in the hand@|@k'alb'il, mixt'b'il, pixb'il@
@held it@|@maxsmitx'a'@
@help@|@kolon, kolwal, skol@
@help me@|@kolin@
@help us@|@koloneq@
@helped it@|@maxskol 'o@
@hemp plant@|@chi'@
@her@|@a', ha'@
@her back@|@yichin@
@her cornfield@|@yawal@
@her humble house (ranch)@|@spat@
@her land@|@stx'otx@
@her voice (Her voice is rather high-pitched)@|@yul snuq'@
@herbs@|@itaj@
@herded it@|@maxyuqte'@
@here@|@kayti, kayti'@
@hers@|@s-, y-@
@herself@|@sb'a@
@hid it@|@maxyeb'e 'eloq@
@hidden@|@ewan, ewantaq, ewantaqil@
@hide@|@tz'um@
@hierba mora is a favorite among the Mayan people it is botanically known as Solanum americanum (used medicinally and in making traditional dishes such as tamales@|@mu@
@high@|@kan, kan stel@
@high price@|@kan@
@hill@|@witz@
@him@|@a', ha'@
@himself@|@sb'a@
@his@|@s-, y-@
@his atol (thick corn drink)@|@yulul@
@his back@|@yichin@
@his bed@|@tx'atej, x'at@
@his clothes@|@spichil@
@his cornfield@|@yawal@
@his drink@|@yuk'a@
@his eye@|@sat, sat naq@
@his falsehood@|@stz'aqb'al q'anej@
@his hair@|@sxil@
@his hand@|@sq'ab'@
@his hatchet@|@yechej@
@his her or its wieght@|@yalil@
@his house@|@na, sna@
@his kidney@|@yub'al@
@his land@|@stx'otx@
@his lie@|@stz'aqb'al q'anej@
@his mother@|@xutx, xutx naq@
@his or her foot@|@yaqan@
@his or her house@|@yatut@
@his or her witchcraft (The boy is ill because of Maria's witchcraft)@|@b'alilal@
@his shirt@|@skamixh@
@his tortilla@|@spat@
@his voice (I heard his voice in the hall)@|@yul snuq'@
@history@|@yab'ixal@
@history of@|@yab'ixal@
@hit@|@maq'b'il@
@hit her@|@maq'a'@
@hit him@|@maq'a', maxsmaq'a'@
@hit it@|@maq'a', maxsmaq'a@
@hit me@|@maq'in@
@hit used passively (maxin maq'layi - I was hit)@|@maq'layi@
@hit you all (a group of persons gathered together)@|@maq'wajaneq@
@hoe@|@asaron@
@hog@|@txitam@
@hold@|@mitxajoq@
@holding on@|@mitx'b'il@
@hole@|@olan@
@honey (of a bee)@|@yal kab'@
@hoof@|@isk'aq@
@hopefully@|@choq wal, yeloqwali@
@horn@|@uk'a', uk'ahej, yuk'a'@
@horn (of an animal)@|@uk'a'ej@
@horse@|@chej@
@horse's hoof@|@yisq'aq chej@
@horsefly@|@katx@
@hot (like hot coffee)@|@kaq@
@hot (like the son or hot from the sun)@|@q'axan@
@hot (water or food etc)@|@q'axan@
@hou much@|@jayeb'@
@house@|@atut, na, na'@
@house with a straw roof@|@ch'imna@
@how@|@jantaq@
@how (how did you heal it?)@|@tzet@
@How (it was done or how it happened)@|@Tzet k'al xyun@
@How are you@|@Watx' mi a k'ul?@
@How are you ma'am?@|@Tzet hab'i chikay?@
@How are you?@|@Tzet xhi a k'ul?@
@How is the boy? (literally what it says his stomach boy)@|@Jantaq yalon k'ul naq unin?@
@how many@|@jayeb'@
@How many cows?@|@jayk'on txutx wakax@
@How many did you eat?@|@jayeb' max halo'@
@how many people?@|@jaywan heb'@
@how much@|@jantaq@
@howler monkey@|@wojb'atz'@
@hugged him@|@maxslaq'a'@
@hugged it@|@maxslaq'a'@
@huipil (indigenous embroidered blouse or dress)@|@kol@
@hull@|@yinej@
@human being@|@anima@
@hummingbird@|@tz'unun@
@hung@|@lokan@
@hunger@|@wajil@
@hunger (due to poverty)@|@majilal@
@hunt (animals)@|@uqtem no'@
@hurt it@|@maxyaq' lajwoq@
@husband@|@ichamil, ichamilej@
@husk@|@tz'umalej, yin te te', yinej@
@hut@|@pat@
@hut with a straw roof@|@pat@
@I@|@ahin, ayin@
@I (first person singular)@|@ayinti', hayin@
@I (when the subject of a stative)@|@hin@
@I agree@|@inye@
@I am drinking (my) water@|@lanan in w'uq'on wa'ej@
@I am from Yax'anlaq Yax'anlaq@|@Yaxanlaq yax'anlaq@
@I am hit@|@maq'b'il hin@
@I am Jane Doe@|@Jane Doe hin@
@I am learning Q'anjob'al@|@Lanan in kuyon Q'anjob'al@
@I am seated@|@lekan hin ajoq@
@I am well@|@Watx' in k'ul@
@I dance slowly@|@k'ojank'ulal hinkanalwi@
@I didn't say anything@|@k'am tze max wala'@
@I don't believe so@|@teqan maj@
@I don't have time@|@k'am hinkolanil@
@I don't know@|@man wojtaqoq@
@I eat@|@chin lowi@
@I give@|@wa'@
@I go (intransitive)@|@hintoji@
@I help@|@chin kolwaji@
@I hope that@|@choq wal@
@I know@|@wojtaq@
@I said@|@wal@
@I said (from here to there to the person standing across from me)@|@waltoq@
@I said nothing@|@k'am tze max wala'@
@I said to my mother (Max 'completed action marker' wal 'I say' tet 'to' ix 'respectful title for a young woman' hintxutx 'my mother')@|@Max wal tet ix hintxutx@
@I saw@|@max wilon@
@I say@|@chwala', wal@
@I say (max wala' 'I said')@|@wala'@
@I see you@|@chach wila@
@I won't walk@|@maj hinb'eyoq@
@I wonder (txekel maktel max kami I wonder who died)@|@txekel@
@ice@|@chew, saq b'ak'om, saq b'ak'um@
@idler@|@isaj@
@if@|@ta@
@if only@|@choq wal@
@iguana@|@intam@
@illness@|@helya', yab'il@
@image@|@yechel@
@imaginary or fantastic figure that is not real and usually has no fleshly body that someone believes they have seen (especially an image of a deceased person appearing to someone)@|@xib'tomb'al@
@impeded@|@max sten ek'oq@
@important days of the Q'anjob'al calendar@|@alkal ora@
@impression@|@yechel yaqan@
@imprint@|@yechel yaqan@
@impulsive@|@ch'uj@
@in@|@yul@
@in a hurry@|@amank'uhan@
@in a year@|@junab'@
@in agreement (I agree)@|@hinye@
@in back of@|@yintaq@
@in earnest@|@atoni@
@in four days@|@kanej, konji@
@in front of@|@ataq, sataq@
@in groups of nine (by nines)@|@b'aloneb'taq@
@in half (Mayal ayk'ewnaj snan te' chulul The zapote is already cut in half)@|@snan@
@in order to@|@yuj@
@in the attic@|@yulkan@
@in the best way possible@|@watx'@
@in the house@|@yul na@
@in the middle of@|@snan@
@in the middle of the road@|@nanb'e, snanb'e@
@in the morning@|@yet sq'inib'@
@in the road@|@yulb'e@
@in the storage area built in the rafters of a house (this is often just a platform where things are stored and not a closed in area)@|@yulkan@
@in the street@|@yulb'e@
@in the water@|@yul ha'@
@in this way@|@axka tu@
@in three days@|@oxej@
@incense@|@pom@
@incomplete action marker (Chach lowi you eat)@|@ch-@
@incomplete action marker for third persons only (chi wayi - he or she sleeps)@|@chi@
@indigenous@|@jet'animahil@
@inflated@|@kawt'ininaq@
@inserted it@|@maxqay xolaq@
@inside@|@yul@
@inside the house@|@yul na@
@instant death@|@yax kamich@
@instead@|@axa pax, pax@
@instrument for hanging something (like a coat hook)@|@lokb'al@
@insults@|@b'ajwal@
@intensifier@|@axka@
@intensifier (Kawal chi woche chin wey han 'I want to sleep')@|@kawal@
@interior@|@yul@
@interior of a person where deep feelings such as love and courage are housed@|@k'ul@
@interrogative@|@jantaq@
@interrogative marker (question marker)@|@tzet@
@interrogative particle (asks a question - jaywan means 'how many people?')@|@jay- @
@interrogative used with things and animals@|@b'aytet@
@interview@|@q'anleb'al@
@intestines@|@tx'ankan@
@into@|@yul@
@into the water@|@yula'@
@intransitive go (Ta chach toji chin toj k'apaxoq 'If you are going I will go too' the first go 'going' is intransitive but the second go is transitive and therefor lacks the -i)@|@toji@
@introduce (put in)@|@aktoq@
@introduces a clause that gives the condition for which the main phrase can take place (If you do this you will get that)@|@ta@
@introduction (as in the introduction in a book)@|@q'anejal yib'an@
@irrigate it@|@tixhtoq@
@is@|@ayik'oq@
@is (to be)@|@ha'@
@is going to cure@|@antej@
@is nothing (Tzet wal yelapnoq naq ayach  He is nothing to you)@|@yelapnoq@
@is that not@|@tumi ja'@
@is the time for@|@yeloloq@
@isn't@|@man@
@isn't important@|@yelapnoq@
@it's back@|@yichin@
@it's bean@|@yub'al@
@it belongs to (Mak ay yet no tx'i'? Whose dog is that?)@|@yet@
@it broke (a pencil or ruler)@|@maxq'aj toq@
@it closed@|@maxmaq ayi, xmaqayi@
@it defended or protected itself@|@maxskol sb'a@
@it dried up@|@max taq toq@
@it froze@|@maxchewb'i'eloq@
@it is@|@atoni@
@it is done@|@mayal@
@it is finished@|@mayal@
@it is necessary@|@yowalil@
@it is of@|@yet@
@it is on fire@|@ayokoq@
@It is our father God@|@A ton cham komam Dyos@
@it is to say@|@txekel@
@it isn't@|@manaq, toq, tumi ja'@
@it isn't true@|@man yeloq@
@it rained@|@max yaq' nab@
@it rotted (the fruit or wood)@|@maxq'a toq@
@it says@|@xhi@
@it shows@|@txekel@
@it was done like this@|@kaytu max yunej@
@it was rotten (the weaving had rotted)@|@max'etex toq@
@it was seeded (sown)@|@x'awchaji@
@it was whitened (perhaps it was bleached to whiten it)@|@max saqb'anelayi@
@it wasn't@|@manaq, toq@
@it will be true (What this woman says will be true)@|@yelmi@
@it withered@|@max taq toq@
@it would be good@|@watx' mi@
@itchy skin rash@|@sal chop@
@items that are in a cylindrical shape and in a line@|@b'el@
@its@|@s-@
@its bitterness (unripe)@|@sputal@
@its flower (flower of a plant)@|@sxumakil@
@its hardness (Manxa skawiloq st'oklay tx'otx' tx'otx' The earth is very hard to hit)@|@skawil@
@its offshoot@|@swol@
@its seed (small hard seeds of fleshy fruits and vegetables like apple seeds or watermelon seeds etc@|@sb'aq'@
@its sharp edge@|@ya@
@its shoot@|@swol@
@its sprout@|@swol@
@itself (b'a plus a person from Set A indicates that action is a reciprical action where both parties receive the action or it is reflexive so the person who does the action is the one who suffers the effects of that action so - they did it to each other or she did it to herself)@|@sb'a@
@jail@|@te', yulte'@
@jar@|@mok@
@javalina@|@sk'ultaqil txitam@
@jealous@|@ajk'ul@
@jeans@|@wex@
@jimmy rig@|@nip@
@Joan@|@Xhiwin, Xhuwin@
@jocote tree (related to the cashew it produces edible fruit)@|@pon@
@John@|@Xhunik@
@joy@|@tzalojk'ulal@
@judge (Cham Yajaw Watx'nem Yiqelal a cham chi kawxinen el junoq owal The judge is the one who resolves conflicts)@|@yajaw watx'nem yiqel@
@jug@|@mok@
@just@|@tojol@
@just as you say@|@hinye kaq chi hut halon tu@
@just one@|@junnej@
@kept it@|@maxsk'ub'e'@
@key@|@sq'ab' na@
@kicked it@|@maxstek'a'@
@kill@|@maq' kam, maq'kamoq@
@kill with the passive marker lay (max maq'lay kam - was killed)@|@maq'lay kam@
@killed@|@max maq'on kam@
@killed it@|@max sma' kamoq, max ya' kamoq@
@kingdom@|@syajawil@
@kinkajou@|@wayu', wayutx'@
@kissed him or her or it@|@maxstz'ub'u'@
@knapsack@|@pa@
@knee@|@penek, penekej@
@kneecap@|@jolom penek@
@kneeling@|@jajan@
@knew it@|@max yoqtane', xyojtaqne'@
@knife@|@nawux, nawxu@
@knotted it@|@maxsche'npixne'@
@know@|@jojtaqneq@
@ladder@|@q'och@
@lake@|@najab', xoyan a'ej@
@lamb@|@me'@
@land@|@q'inal, sat tx'otx', tx'otx'@
@land snail@|@k'otok'@
@land that is elevated buy generally not as high as a mountain@|@ak'um@
@landslide@|@jotx'@
@language@|@q'anej, tihej@
@large@|@kochan yeji, miman@
@large house or building@|@jatxan@
@large net made of agave fibers@|@txim@
@larva@|@muluq'@
@lasso@|@lasu, tx'an@
@lasso or twine that is stretched tight@|@kawt'ininaq@
@last year@|@junab'i@
@late@|@pural@
@later@|@xew tu@
@laugh@|@tzewan, tzewi, tzewilal, tzeyej@
@lazy@|@isaj@
@leaf@|@sxaq te te', xaq, xaqej@
@leaf-cutter ant@|@tx'eken@
@leaning against@|@cheman okoq@
@learned it@|@maxskuy'u'@
@learning@|@kuyoj@
@leave@|@elanteq@
@leave said (deja dicho)@|@alkanoq@
@leaves used when bathing in a sauna or sweat bath@|@anej, jub'b'alej@
@left@|@max 'el toq, q'exan@
@left (direction)@|@k'exan@
@left (He left earlier)@|@maxtoji@
@left hand@|@k'exan q'ab'ej@
@leg@|@aqan, xub'ej@
@leg (above the knee)@|@xub'@
@leg (below the knee)@|@sat penek@
@legumenous plant from central america whose leaves are edible and are used to make tamales or to cure a hangover@|@tx'ab'in@
@length measure of a cord@|@kwelda@
@let her know@|@yojtaqnej@
@let him know@|@yojtaqnej@
@let it happen like that@|@yunoqab'i@
@letter@|@un, unej@
@level@|@panan@
@liar@|@tz'aqom q'anej@
@lice@|@k'aq, uk', uk'is@
@lice egg@|@sa uk'@
@licked it@|@maxsleq'a'@
@lie@|@telan ayoq@
@life@|@kawil@
@light weight@|@seb'@
@lightening bug@|@kuka, kukuy@
@lightening flash@|@letz'lom@
@like that@|@axka, kaytu, key@
@like this@|@axka tu, kaytu, key@
@liked it@|@maxyoche'@
@lime (not the fruit)@|@tan@
@limp@|@b'iq@
@lip@|@xaq tihej@
@liquid or pasty substance used to adhere or stick things together@|@lak'b'al@
@listened to it@|@maxyab'ekoq@
@listener@|@ab'xalwom@
@lit it@|@max tz'a toq@
@little@|@janik' ch'an@
@little fish@|@mutz'utz'@
@live@|@kajan@
@live oak@|@ji@
@liver@|@k'a', menuha, tx'ix@
@load@|@iqatz, iqb'il@
@loan@|@majan@
@loaned@|@majan@
@loaned it@|@max smajane'@
@locative affix that changes the meaning of a verb to indicate the place where the action occurred or the instrument that was used to execute the action indicated by the sentence (xewi means rest while xewb'al means resting place - k'isa' means to sweep while k'isb'al means broom)@|@-b'al@
@locative and demonstrative that makes reference to a person animal or thing that is found near to the speaker and appears with or without the glottal stop consonant '@|@ti, ti'@
@locust@|@sak', tzeqelen@
@log@|@q'oj@
@lonely@|@kusiltaq@
@long@|@joqan, miman stel, miman tel, najat@
@long ago@|@payxa, payxataxi@
@long object@|@jab'an@
@long poles that are on top of something and hang over the edge@|@b'an@
@long underwear@|@kut wexej@
@looked at it@|@maxyila'@
@looked for it@|@maxsaya'@
@looks like another person or thing@|@lajan yoki@
@loom@|@chemb'al, chemwal@
@loose@|@kochan yeji, k'un@
@loose (pertains to animals)@|@b'eq@
@loose clothing@|@poyan@
@loosen@|@so'@
@loss of control or order or discipline@|@somk'ulal, wajk'ulal@
@lost it@|@max sb'eq k'ayoq@
@loud@|@ipejal@
@louse@|@k'aq, uk', uk'is@
@lower@|@ayteq@
@lower back@|@nan@
@lower it@|@ayteq@
@lowland paca@|@alaw@
@lump on the skin@|@yab'il@
@lunch@|@yuk'a@
@lungs@|@tzotot@
@lying down@|@k'otan ayoq, telan@
@lying down (people animals or logs)@|@telan ayoq@
@lying on the ground@|@k'otan@
@macaw@|@ma'@
@made@|@kawxinaq@
@made a mistake@|@max k'ayi@
@made it@|@max sjatne', maxswatx'jene'ajoq, xsjatne'@
@made on a loom@|@chemb'il@
@Magdalena@|@q'oy Matal@
@magic@|@b'al@
@maize@|@ajan@
@make@|@ute', utej@
@makes reference to a person animal or thing that is found far from the speaker it can be combined with either jun or juntzan to make a demonstrative pronoun (Max stx'aj jun tu an is - that one washed the potatoes)@|@tu, tu'@
@male@|@icham@
@male blackbird (symbolic of eternal life?)@|@ch'ok, ch'okil@
@male child@|@winaq unin@
@male grackle@|@mamej ch'okil@
@man@|@anima, winaq@
@man's brother in law@|@b'ax, b'axej@
@man's mother or father in law@|@nihej@
@man's shirt@|@ropilej@
@manure@|@tza', tzayej@
@many@|@xiwil@
@maraca@|@sot@
@mare (Max inman jun no hinyewax I bought a mare)@|@yewax@
@Maria@|@ix Malin, Malin@
@marked it@|@maxyak yechel@
@marker for actions that are in progress (lanan hinlowi I am eating)@|@lanan@
@marker for potential actions (hoqex tz'ib'loq you all will write hoq jayoq she will come)@|@hoq@
@market@|@txonb'al@
@market place@|@txomb'al@
@marketplace@|@txonb'al@
@marks a derived transitive verb as passive (this has frequent use in Soloma)@|@-om@
@marks a verb as transitive@|@-on@
@mash@|@chemej ayoq@
@mashed down@|@chememi@
@mask@|@q'oj@
@mask (Kawal yob' yili jun k'oj tu' This mask is very ugly)@|@k'oj@
@massive@|@kaw@
@mat@|@pop, popej@
@mate@|@mojan, yetb'i@
@material made on a loom@|@chemb'ejal q'ap@
@maternal uncle@|@ikan@
@matter (from a wound)@|@pojow@
@Matthew@|@ya' Matin@
@mature@|@q'an@
@May Beetle@|@onon@
@Maya priest@|@alkal txaj@
@Mayan priest@|@ajtxaj@
@Mayan Temple (There are quite a few Mayan Temples in Huehuetenango)@|@tenam@
@maybe@|@yamita@
@mayor@|@alkal@
@mean@|@b'as@
@meanwhile@|@yaqb'an@
@measure of wood that has been stacked tightly@|@ch'ulte'@
@measured it@|@maxyeche'@
@measurement@|@yechb'anil, yechel@
@meat@|@chib'ej@
@meat (whether meat to be eaten or meat of the body)@|@chib'ej@
@mecapal (a sash with two cords on the ends that is used to carry heavy loads by putting part of the sash on the forehead and suspending the load by the cords behind the back)@|@poyej@
@medicine@|@amb'al, an, anb'al@
@medicine (of)@|@yamb'al@
@medicine man@|@ajb'al@
@meeting@|@wajanil@
@melted@|@max 'ulji toq@
@mended it@|@maxspakalne'@
@message@|@q'anej@
@met it@|@max'ilchaj yuj@
@metal@|@ch'en@
@Micaela@|@Mikin@
@Michael@|@Mekel@
@midday@|@chuman@
@middle@|@nan@
@middle (They are in the middle of the field)@|@snan@
@midget@|@letan yeji@
@Mike@|@Mekel@
@mind@|@kawejal jolomej@
@mine@|@hin-, w-@
@mine and yours (when the subject of a stative verb)@|@hon@
@mint@|@alawen@
@miraculous@|@yesalil@
@miraculous (Kawal ay yesalil Cham Komandihos 'Our God is very miraculous')@|@yesalil@
@mirror@|@nen@
@miserly@|@b'as, b'asne', b'asnej@
@mist@|@saq asum@
@mistreatment@|@b'ajwal@
@mixed it@|@max skala'@
@moisture that permeates the atmosphere at night@|@yal ak'wal@
@moler@|@ka'@
@money@|@tumin@
@monkey@|@maltin, maltin k'oy@
@Montezuma pine@|@taj@
@month@|@xajaw@
@moon@|@xajaw@
@mop@|@jeneni@
@mosquito@|@us, xen, xenen@
@moss@|@k'ux@
@moth@|@nam@
@mother@|@txutx, txutxej@
@mother's milk@|@yal imej@
@mountain@|@telaq@
@mountain lion@|@koj, wax@
@mountain range@|@witz@
@mountian@|@witz@
@mouse@|@tx'ow@
@moustache@|@xil tihej@
@mouth@|@ti', ti'ej, tihej@
@mouthful@|@b'uq'an@
@Mr. Rodas@|@cham Lotaxh@
@mucus from the nose@|@txamej@
@mud@|@tz'aqb'al tx'otx'@
@mule@|@chej@
@muscle cramp@|@kan@
@mushroom@|@b'uq, oytol, panb'uq, xe ch'im@
@mute@|@mem@
@mutt@|@tx'i'@
@my@|@hin-, w-@
@my brothers@|@wanab' wuxhtaq@
@my brothers and sisters@|@wuxhtaq wanab'@
@my children@|@wal wuninal@
@my children (heb' is a pluralizer)@|@heb' wuninal@
@my cornfield@|@wawal@
@my family member@|@wikan@
@my land@|@hintx'otx'@
@my mom@|@hintxutx@
@my name is (John yok in b'i - My name is John)@|@yok in b'i@
@my paper@|@wun@
@my photo@|@yechel hinsat@
@my son (mijo term of endearment)@|@mamich, mamixh@
@myself (b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - I did it to myself)@|@hinb'a@
@nail@|@isk'aq@
@nailed it@|@maxmaq' ekoq@
@name@|@b'ih, b'ihej@
@name (hej)@|@b'i@
@name of diverse fiberous reedy plants that grow along the banks of rivers and lakes (their leaves are used in the fabrication of hats and other objects)@|@apak'ej@
@narrow@|@yalixh sat@
@natural@|@jet'animahil@
@near@|@kawil, yin@
@neck@|@nuq', nuq'ej@
@necklace@|@u, uhej@
@needle@|@akuxha, b'aq@
@negative particle meaning 'not'@|@toq@
