@Laotian@|@English@
@ການເຫັນຕ່າງກັນ@|@shortening@
@ການເຫັນຕ່າງກັນ@|@contraction@
@ການຫຍິບແສ່ວ@|@embroidery@
@ການຫຍິບແສ່ວ@|@stitch@
@ການຫຍິບບາດ@|@suture@
@ການຫນັງສືພິມ@|@journalist@
@ການຫມູນວຽນແຫ່ງໂຊກ@|@the wheel of fortune@
@ການຫມົດໄປ@|@wastege@
@ການຫມົດໄປ@|@betrothal@
@ການຫມັ້ນ@|@engagement@
@ການຫມັ້ນ@|@slander@
@ການຫມັ້ນ@|@libel@
@ການຫມິ່ນປມາດ@|@calumny@
@ການຫມຸນວຽນ@|@rotation@
@ການໄຫລຮົ່ວອອກມາ@|@leakage@
@ການຫລົກຂົນ@|@depilation@
@ການຫລອກລວງ@|@bluff@
@ການຫລວງ@|@official business@
@ການຫລວງ@|@loosening@
@ການຫລຸດພົ້ນອອກມາ@|@disengagement@
@ການຫລຸດພົ້ນອອກມາ@|@discount@
@ການຫລຸດລາຄາ@|@rebate@
@ການຫລຸດລາຄາ@|@pleasure@
@ການຫລິ້ນການກິນ@|@entertainment@
@ການຫລິ້ນຫມາກລີ້@|@game of hide-and-seek@
@ການຫລິ້ນຫມາກລີ້@|@raid@
@ການຫລອນຕີ@|@incursion@
@ການຫລອນຕີ@|@defection@
@ການຫລົບຫນີ@|@desertion@
@ການຫລົບຫນີ@|@glace@
@ການຫລຽວເບິ່ງ@|@look@
@ການໄຫວ້@|@respect@
@ການຫວິດໂທດ@|@impunity@
@ການອະນາໄມ@|@tidiness@
@ການອ່ານ@|@reading@
@ການອົບຮົມ@|@training@
@ການໂອ່ໂຖ່@|@deluxe@
@ການໂອ່ໂຖ່@|@act of taking out@
@ການອອກ@|@letting out@
@ການອອກສຽງສຳນຽງ@|@pronunciation@
@ການອອກສຽງສຳນຽງ@|@discussion@
@ການອະພິປາຍ@|@debate@
@ການອະພິປາຍ@|@consecration@
@ການອຸທິດ@|@dedication@
@ການເອົາເຂົ້າມາໂຮມເຂົ້າກັນ@|@annexation@
@ການເອົາແບບຢ່າງ@|@imitation@
@ການເອົາອາກາດ@|@ventitation@
@ການເອົາອອກສະແດງ@|@presentation@
@ການອອກກຳລັງ@|@exercises@
@ການອອກກຳລັງ@|@affront@
@ການອອກມາດ່າປ້ອຍ@|@insult@
@ການອອກຫນໍ່@|@germination@
@ການອອກຫນໍ່@|@allegation@
@ການອ້ງຂຶ້ນ@|@assertion@
@ການອ້າງສະຖານທີ່ຢູ່@|@alibi@
@ການອ້າງສະຖານທີ່ຢູ່@|@complanit@
@ການອ້າງສະຖານທີ່ຢູ່@|@objection@
@ການອ້າງສິດທິ@|@protest@
@ການອ້າງສິດທິ@|@miracle@
@ການອັດສະຈັນ@|@maevel@
@ການອັດສະຈັນ@|@destitution@
@ການອັດສະຈັນ@|@penury@
@ການອັດຕະຄັດຢ່າງຍິ່ງ@|@need@
@ການອັດຕະຄັດຢ່າງຍິ່ງ@|@aid@
@ການອຸດຫນຸນຊ່ວຍເຫລືອເກື້ອກູນ@|@assistance@
@ການອຸດຫນຸນຊ່ວຍເຫລືອເກື້ອກູນ@|@appeal@
@ການອຸດຫນຸນຊ່ວຍເຫລືອເກື້ອກູນ@|@call@
@ການເອີ້ນ@|@summons@
@ການແອບ@|@apprnticeship@
@ການຮ້ອງຄືນ@|@recall@
@ການຮ້ອງຄືນ@|@xheering@
@ການຮ້ອງໂຮ@|@acclamation@
@ການເຮັດ@|@working@
@ການເຮັດນາ@|@paddy farming@
@ການເຮັດໄຮ່@|@dry field farming@
@ການເຮັດໄຮ່@|@cut@
@ການເຮັດໃຫ້ເປັນບາດ@|@gash@
@ການເຮັດໃຫ້ປ່ຽນຮູບ@|@deformation@
@ການເຮືອນ@|@housework domestic science@
@ການເຮືອນ@|@assemblage@
@ການໂຮມເປັນຫມູ່@|@gathering@
@ການຮ່ວມ@|@union@
@ການຮ່ວມ@|@keep@
@ການຮ່ວມ@|@care@
@ການຮັກສາ@|@look out@
@ການຮັກສາ@|@confession@
@ການຮັບສາລະພາບ@|@admission@
@ການຮຸກຮານ@|@aggression@
@ການເຮັດສວນ@|@gardening@
@ການຮ້ອງເພັງ@|@singing@
@ການຮ້ອງເພັງ@|@urgent affair@
@ການຮ້ອນ@|@urgent work@
@ການຮຽນ@|@study@
@ການຮຽນຄຳເວົ້າ@|@study of spoken language@
@ການຮ່ວມ@|@participation@
@ການຮ່ວມ@|@spotted@
@ກ່ານ@|@strped@
@ກ່ານຕາວ@|@snake@
@ກ່ານຕາວ@|@snake@
@ກ່ານປ້ອງ@|@the handed krait@
@ກ້ານ@|@stem@
@ກ້ານຄ່ຳ@|@neck@
@ກ້ານບົວ@|@anklet@
@ກ້ານພ້າວ@|@coconut frond@
@ກ້ານກ້ວຍ@|@banana leaf@
@ກ້ານຕອງ@|@stem of banana leaves@
@ກ້ານໃບໄມ້@|@leaf stalk@
@ກ້ານໃບໄມ້@|@name of a venomous snake@
@ກ້ານຫມາກພ້າວ@|@with markings similar to a coconut@
@ກ້ານກົບ@|@to hunt frogs by lantern@
@ກ້ານເພີງ@|@hunt by the light of a lantern@
@ກ້ານກ່າມນ້ຳ@|@medicinal plant@
@ກ້ານຈອງ@|@edible@
@ກ້ານສວຍ@|@shuttle of a loom@
@ກ້ານເຊີນ@|@invitation card@
@ກ້ານໂຕງ@|@edible bush@
@ກ້ານພູ@|@clove@
@ກ້ານເຫລືອງ@|@tree having hard yellow wood@
@ກ້ານເຫລືອງ@|@to bow in respect@
@ກາບ@|@palms together@
@ກາບໄມ້@|@tree bark@
@ກາບລາ@|@leave a superior@
@ກາບກ້ວຍ@|@the trunk of the banana tree@
@ກາບໄຜ່@|@bamboo bract@
@ກາບຜັກສາລີ@|@corn husk@
@ກາບຜັກສາລີ@|@coir@
@ກາບພ້າວ@|@the fibrous husk of a coconut tree@
@ກາບລາງ@|@the membrane covering the bamboo sprout or shoot@
@ກາບຫມາກ@|@shuck of corn@
@ກາບຫມາກສາລີ@|@corn husk@
@ກາບອ້ອຍ@|@membrane surrounding young buds of sugarcane@
@ກາບກຸຫລາບ@|@rose petal@
@ກາບບັງຄົມທູນ@|@report to the king@
@ກາບກີ້@|@a small mussel@
@ກາບກ້ວງ@|@a large mussel@
@ກາບສະ@|@bailer@
@ກາບຖຸງ@|@plant@
@ກາບທູນ@|@speak@
@ກາບບົວ@|@a type of heron@
@ກາບປີ@|@plant@
@ກາບເຮືອ@|@starboard and larboard@
@ກາບໄຮ່@|@plant@
@ກ້າບ@|@harden@
@ກ້າບ@|@muscle@
@ກ້າມ@|@a type of music@
@ກາວ@|@march@
@ກາວ@|@processional music@
@ກາວນອກ@|@fesvital music@
@ກາວໃນ@|@bush with edible leaves@
@ກາວກາງ@|@a bush with small round leaves@
@ກາວຕົ້ນ@|@a hillside bush with fragrant flowers@
@ກາວພຸ່ມ@|@a tree of foreign origin in the Buddhist romance@
@ກາວເທດ@|@a medicinal root@
@ກາວທຽນ@|@medicinal root@
@ກາວວຽນ@|@state@
@ກາວວຽນ@|@speak@
@ກ່າວ@|@speak about@
@ກ່າວຂວັນ@|@attack verbally@
@ກ່າວໂຈມຕີ@|@accuse@
@ກ່າວຕູ່@|@denounce@
@ກ່າວໂທດ@|@allege@
@ກ່າວຫາ@|@accuse unjustly@
@ກ່າວຮ້າຍປ້າຍສີ@|@blame@
@ກ່າວຮ້າຍປ້າຍສີ@|@find fault with@
@ກ່າວຄຳຕຳຫນິຕິຕຽນ@|@admonish@
@ກ່າວຄຳຕຳຫນິຕິຕຽນ@|@reprimand@
@ກ່າວສັ່ງກອນ@|@make a speech@
@ກ່າວສຸນທອນພົດ@|@reiterate@
@ກ່າວສຸນທອນພົດ@|@repeat@
@ກ່າວຍ້ຳ@|@talk about@
@ກ່າວດ້ວຍ@|@speak about@
@ກ່າວເຖິງ@|@lie@
@ກ່າວເຖິງ@|@tell an untruth@
@ກ່າວເທັດ@|@aldenounce@
@ກ່າວເທັດ@|@charge@
@ກ່າວໂທດໃສ່@|@accuse@
@ກ່າວຟ້ອງ@|@allege@
@ກ່າວຟ້ອງ@|@put the blame on@
@ກ່າວຫາວ່າ@|@urge@
@ກ່າວຫາວ່າ@|@plead@
@ກ່າວອ້າງ@|@speak ill of@
@ກ່າວຮ້າຍ@|@speak about@
@ກ່າວຮອດ@|@step@
@ກ່າວຮອດ@|@step@
@ກ້າວ@|@step back@
@ກ້າວຖອຍຫລັງ@|@progress@
@ກ້າວຖອຍຫລັງ@|@advance@
@ກ້າວຫນ້າ@|@phase two@
@ກ້າວທີສອງ@|@phase one@
@ກ້າວທີສອງ@|@first step@
@ກ້າວແຮກ@|@step forward@
@ກ້າວໄປຫນ້າ@|@interfere@
@ກ້າວກ່າຍ@|@trot@
@ກ້າວກ່າຍ@|@scamper@
@ກ້າວຍ່າງ@|@commit aggression@
@ກ້າວຮ້າວ@|@commit aggression@
@ກາດ@|@gasoline or kerosene@
@ກາດຂາວ@|@white Chinese cabbage@
@ກາດຂຽວ@|@Chinses mustard@
@ກາດນາ@|@edible plant@
@ກາດຮອງ@|@false watercress@
@ກາດໃຕ້ໄຟ@|@acetylene lamp@
@ກາດເພັດ@|@bort@
@ກາດເພັດ@|@diamond@
@ກາດໄວ້@|@fence in@
@ກິດ@|@work@
@ກິດ@|@errand@
@ກິດ@|@business@
@ກິດກອກຢາ@|@cigarette butt@
@ກິດຈະການ@|@enterprise@
@ກິດຕິມາສັກ@|@honorary@
@ກິດຈະກາຍ@|@work@
@ກິດຈະວັດ@|@schedile of daily work(originally for bonzes)@
@ກິດຈະຈານກິດ@|@work in general@
@ກິດຈະລັກສະນາ@|@businesslike@
@ກິດການທີ່ປະຕິບັດ@|@practice@
@ກິດການທີ່ປະຕິບັດ@|@application of theory@
@ກິດກັມອັນໃຫຍ່@|@intensity@
@ກິດສນາ@|@a black scented wood from the tree@
@ກິດສນາໂລຫະ@|@iron@
@ກິດຕິ@|@reputation@
@ກິດຕິ@|@renown@
@ກິດຕິຄຸນ@|@merit@
@ກິດຕິຄຸນ@|@good reputation@
@ກິດຕິສັກ@|@honored@
@ກິດຕິສັບ@|@rumor@
@ກິດຕິສັບ@|@hearsay@
@ກີດ@|@be close to@
@ກີດກັນ@|@obstruct@
@ກີດກັນ@|@hinder@
@ກີດກັ້ນ@|@block@
@ກີດກັ້ນ@|@bar@
@ກີດກັ້ນ@|@obstruct@
@ກີດກັ້ນຖນົນ@|@block the road@
@ກີດຂວາງ@|@obstruct@
@ກີດຂວາງ@|@bar@
@ກີດຂວາງ@|@block@
@ກີດຫນ້າຂວາງຕາ@|@block the way@
@ກຶດ@|@large@
@ກຶດ@|@robust@
@ກຶ້ດ@|@large@
@ກຶ້ດ@|@robust@
@ກຸດ@|@pool@
@ກຸດ@|@pond@
@ກຸດຈີນ@|@the Chinese New Year@
@ກຸດສຣາດ@|@the name of the king of Benchan@
@ກູດ@|@turned back on itself@
@ກູດກິນ@|@an edible fern@
@ກູດເງືອກ@|@fern@
@ກູດງ້ອງ@|@fern@
@ກູດຊະນີ@|@fern@
@ກູດນົກຍຸງ@|@fern with young edible@
@ກູດຫາງກວາງ@|@fern@
@ກູດໃຫຍ່@|@fern whose stems are utilized@
@ກູດກະນີ@|@a species of tree fern@
@ກູດກີບມ້າ@|@an edible and medicinal aquatic plant@
@ກູດຂົນ@|@a hairy fern@
@ກູດນ້ຳ@|@a medicinal plant@
@ກູດແປນ@|@vine@
@ກູດຜາ@|@vine@
@ກິນ@|@eat@
@ກິນເຂົ້າເຊົ້າ@|@have breakfast@
@ກິນເຂົ້າໂຕະ@|@eat at table@
@ກິນເຂົ້າແລງ@|@have supper@
@ກິນງາຍ@|@have lunch@
@ກິນຊ້າງບໍ່ເຫລືອ ກິນເສືອບໍ່ອີ່ມ@|@insatiable@
@ກິນແຊບ@|@eat heartily@
@ກິນດິບ@|@eat raw meat@
@ກິນດອງ@|@wedding reception@
@ກິນດ້ວຍຄວາມໂລພາ@|@devour@
@ກິນນົມ,ດູດນົມ@|@suck@
@ກິນນຳ@|@eat with@
@ກິນນຳກັນ@|@profit together@
@ກິນນ້ຳ@|@drink water@
@ກິນບ່າຍ@|@snack@
@ກິນບ່າຍ@|@tea party@
@ກິນປາ@|@eat fish@
@ກິນຝິ໋ນ@|@take opium@
@ກິນແມ !@|@eat@
@ກິນຢາ@|@take medicine@
@ກິນຢອມ@|@reasonably eat@
@ກິນລ້ຽງ@|@go to a party@
@ກິນລ້ຽງສົ່ງ@|@go to a farewell party@
@ກິນຫຍ້າ@|@graze@
@ກິນຫນັກ@|@eat a lot@
@ກິນແຫນງ@|@regret@
@ກິນຫລາຍ@|@eat much@
@ກິນຫລິ້ນ@|@have delicacy@
@ກິນເຫລົ້າ@|@drink alcohol@
@ກິນອີກ@|@to eat main@
@ກິນອີກ@|@eat some more@
@ກິນອີ໋ມ@|@to eat one's fill@
@ກິນແຮງ@|@to live thanks to sb@
@ກິນກຳໄລ@|@eat up the profit@
@ກິນເຂົ້າ@|@eat@
@ກິນເຂົ້າ@|@eat rice@
@ກິນແກ້ມ@|@eatsnacks with an alcoholic heverage@
@ກິນຂອງຫວານ@|@eat dessert@
@ກິນເຄັມ@|@eat salty food@
@ກິນເງິນເດືອນ@|@earn a salary@
@ກິນຈາງ@|@eat unsalted food@
@ກິນສຸກ@|@eat cooked food@
@ກິນໄດ້@|@edible@
@ກິນດິບ@|@eat i\uncooked food@
@ກິນຕູ້@|@suckle(Vientiane)@
@ກິນໂຕະ@|@eat at the table@
@ກິນບໍ່ລົງ@|@eat withput appetite@
@ກິນບ່ອນ@|@fill up(lit)@
@ກິນເພນ@|@eat the noon meal (bonzes only)@
@ກິນຢາສເນ@|@drink a love-philter@
@ກິນແລງ@|@have supper@
@ກິນລົມ@|@take the air to refresh one-self@
@ກິນລົມກິນແລ້ງ@|@live on dreams@
@ກິນເວລາ@|@time-consuming@
@ກິນຫມາກ@|@chew betel@
@ກິນຫມາກສົ້ມ@|@eat unripe fruit@
@ກິນຫວານ@|@eat sweet food@
@ກິນອາຫານ@|@take food@
@ກິນກັນ@|@be becoming well-suited@
@ກິນຄວາມ@|@mean@
@ກິນຄວາມ@|@signify@
@ກິນໃຈ@|@suspect@
@ກິນສິນບົນ@|@take a bribe@
@ກິນດອກ@|@charge interest on a loan@
@ກິນດອກເບັ້ຍ@|@live on interest@
@ກິນດອງ@|@fete the marraige with toasts@
@ກິນຕາ@|@cause illusions@
@ກິນທານ@|@give alms@
@ກິນທຶນ@|@use up one’s capital@
@ກິນນະຣີ@|@a winged creature@
@ກິນນະຣີ@|@half woman@
@ກິນນະຣີ@|@half bird@
@ກິນນະຣອນ@|@a winged creature@
@ກິນນະຣອນ@|@half woman@
@ກິນນະຣອນ@|@half bird@
@ກິນໃນ@|@introvent@
@ກິນນອກກິນໃນ@|@slang@
@ກິນປູນຮ້ອນທ້ອງ@|@I f the show fits (lit)@
@ກິນຜົວ@|@have had several husnads (lit)@
@ກິນເມັຍ@|@have had several wives (lit)@
@ກິນເມືອງ@|@govern corruptly@
@ກິນຢູ່ບໍ່ເປັນ@|@irregular life@
@ກິນລ້າ@|@win easily@
@ກິນເລິກ@|@affect deeply@
@ກິນລົມ@|@epiphytic orchid@
@ກິນຫມາກຍໍ່@|@be flattered(slang)@
@ກິນອາກາດ@|@take the air@
@ກິນແຮງ@|@be required to excerise unsual force@
@ກິນແຮງຜູ້ນຶ່ງຜູ່ໃດ@|@live at the expense of others@
@ກິນຮູບ@|@of average stature@
@ກິ່ນ@|@smell@
@ກິ່ນ@|@odor@
@ກິ່ນຫອມ@|@aroma@
@ກິ່ນຫອມ@|@fragrance (the aroma of coffee)@
@ກິ່ນຫອມ@|@the fragrance of flower@
@ກິ່ນເຫມັນ@|@bad smell@
@ກິ່ນຄາວ@|@fishy smell@
@ກິ່ນເຫມັນຮ້າຍ@|@miasm@
@ກິ້ນ@|@short@
@ກິ້ນ@|@shrunken@
@ກືນ@|@swallow one’s bitterness@
@ກືນຄວາມຄຽດແຄ້ນ@|@swallonw one’s tears@
@ກືນຄວາມຂົມຂື່ນ@|@swallow one’s bitterness@
@ກືນນ້ຳຕາ@|@swallow one’s tears@
@ກືນບໍ່ລົງ@|@unable to swallow@
@ກືນລົງຄ່ຳໄດ້@|@able to swallw easily@
@ກືນບໍ່ເຂົ້າຄາຍບໍ່ອອກ@|@be at an impass@
@ກຸນ@|@the year of the pig@
@ກຸນຊອນ@|@elephant@
@ກຸນທາ@|@vine whose root is used medicinally for fever and whose fruit have medicinal value in the treatment of pimples@
@ກຸນໂທ@|@earthenware carafe@
@ກຸນທົນ@|@golden buckle@
@ກຸນລະກັນລະຍາ@|@wowan of good or noble family@
@ກຸນລະສັດຕີ@|@girl of good family@
@ກຸນລະສັມພັນ@|@related by blood@
@ກຸນລະຊົນ@|@descendant of a good family@
@ກຸນລະດິລົກ@|@favorite member of the family@
@ກຸນລະທິດາ@|@daughter of a good family@
@ກຸນລະທູສົກ@|@one who brings dishonor@
@ກຸນລະເທບ@|@the protecting god of the family@
@ກຸນລະທັມ@|@the good customs of the family@
@ກຸນລະນາຣີ@|@girl of good family@
@ກຸນລະບຸຣຸດ@|@man of good family@
@ກຸນລະບໍ່ດີ@|@head of the family@
@ກຸນລະບຸດ@|@child of a good family@
@ກຸນລະວົງ@|@lineage@
@ກຸນລະວົງ@|@descent@
@ກຸ່ນໆ@|@rapidly@
@ກຸ່ນໆ@|@precipitously@
@ກຸ້ນ@|@hem@
@ກຸ້ນ@|@short@
@ເກັນ@|@a spiny tree with dark blue fruit@
@ເກນ@|@recruit@
@ເກນທະຫານ@|@conscript@
@ເກນທະຫານ@|@draft@
@ເກນທັບ@|@raise troops@
@ແກນ@|@axis@
@ແກນ@|@pivot@
@ແກ່ນ@|@seed@
@ແກ່ນ@|@core@
@ແກ່ນຕາ@|@eyeball@
@ແກ່ນໄທ້@|@great and audacious@
@ແກ່ນເທົ້າ@|@hardwood tree@
@ແກ່ນຝ້າຍ@|@tre of the clear forest used medicinally@
@ແກ່ນຢ້າວແກ່ນເຮືອນ@|@love one’s home@
@ແກ່ນຫລ້ອນ@|@fallen and dried tree runk@
@ໂກນ@|@a hollow in a tree@
@ໂກນຕາ@|@eye orbit@
@ໂກນຂົນ@|@shave the body legs@
@ໂກນຂົນຂາ@|@shave the legs@
@ໂກນເຄົາ@|@shave the beard@
@ໂກນຄີ້ວ@|@shave the eyebrows@
@ໂກນຫົວ@|@shvae the head@
@ໂກນຫນວດ@|@shave the moustache or beard@
@ໂກນຄານ@|@bush used medicinal for eruptive fever@
@ໂກນຈາ@|@a small jungle bird@
@ໂກນໂດກ@|@rotted wood@
@ໂກນທັນຍາ@|@the name of first disciple of the Buddha@
@ໂກ່ນ@|@a type of freshwater fish@
@ກົນ@|@trick@
@ກົນ@|@ruse@
@ກົນ@|@decoy@
@ກົນອຸບາຍ@|@stratagem@
@ກົນສໍ່ສົນ@|@fraud@
@ກົນມານຍາ@|@cunning@
@ກົນມານຍາ@|@craft@
@ກົນລະຍຸດ@|@military ruse@
@ກົນລະຍຸດ@|@strately@
@ກົນລະເມັດ@|@ruse@
@ກົນລວງ@|@decoy@
@ກົນລວງ@|@ruse@
@ກົນອຸບາຍຂອງຂ້າເສິກ@|@enemy division@
@ກົນກາງ@|@medium machine gun@
@ກົນມື@|@submachine gun@
@ກົນຫມັກ@|@heavy machine gun@
@ກົນເສິກ@|@militry tactics@
@ກົນລະຍຸດ@|@strategy@
@ກົນລະເມັດ@|@a very intelligent procedure@
@ກົນລະວິທີ@|@tactic@
@ກົນລະວິທີ@|@technique@
@ກົ່ນ@|@dig@
@ກົ່ນ@|@excavate@
@ກົ້ນ@|@bottom@
@ກົ້ນຂີ້@|@anus@
@ກົ້ນຂີ້ທັ່ງ@|@to fall on the back@
@ກົ້ນຂວດ@|@bottom of bottle@
@ກົ້ນຫນັກ@|@repugnant to moue@
@ກົ້ນໄກ່@|@rump@
@ກົ້ນກ້ອງແກ້ວ@|@bttom of the bottle@
@ກົ້ນກົບ@|@coccyx@
@ກົ້ນຂວດ@|@bottom of the bottle@
@ກົ້ນບໍ່@|@bottom of the well@
@ກົ້ນຢ່ອນ@|@the part of the buttocks on which one sits@
@ກົ້ນໄຫ@|@bottom of the jar@
@ກົ້ນອ່າງ@|@bottom of the basin@
@ກົ້ນລົດ@|@behind the car@
@ກົ້ນຄົກ@|@a medicinal@
@ກົ້ນຖ້ວຍ@|@bottom of the blow@
@ກົ້ນໂລ່ງ@|@a kind of mosquito@
@ກົ້ນຫອຍ@|@whorl@
@ເກັດ@|@scale (of animal)@
@ເກັດປາ@|@fish scale@
@ເກັດຕະສັດນ້ອຍ@|@a medicinal plant@
@ເກັດຕະສັດຫລວງ@|@a medicinal plant@
@ເກັດເຕົ່າ@|@toitle scales@
@ເກັດນາກ@|@tit@
@ເກັດບາດ@|@scab@
@ເກັດບາດ@|@crust of a wound@
@ເກັດລິ່ນ@|@bush@
@ເກັດລິ່ນ@|@with young leaves arranged like the scales of a pangolin@
@ເກັດນ້ອຍ@|@bush@
@ເກັດເມືອງ@|@plant used medicinally@
@ເກັດຫອຍ@|@a large bird@
@ເກັດຫິມະ@|@snowflake@
@ເກດ@|@hair@
@ເກດມາລາ@|@radiance emanating from the head of Buddha@
@ເກັບ@|@pick up@
@ເກັບກ່ຽວ@|@harvest@
@ເກັບພາສີ@|@collect taxes@
@ເກັບຂຶ້ນ@|@pick up@
@ເກັບຂົນ@|@pick up and transport@
@ເກັບດອກໄມ້@|@pick flower@
@ເກັບເປັນກອງ@|@pile up@
@ເກັບຮວບຮວມ@|@mass@
@ເກັບຮວບຮວມ@|@accumulate@
@ເກັບກອບໂກຍ@|@accumulate@
@ເກັບເງິນສ່ວຍ@|@collect federal taxes@
@ເກັບດອກເບັ້ຍ@|@collect interest@
@ເກັບເລັກເກັບນ້ອຍ@|@save up little by little@
@ເກັບຫອຍ@|@gather shellfish@
@ເກັບຫອມຮອມຮີບ@|@save up@
@ເກັບຫມາກ@|@gather areca nuts@
@ເກັບໂຮມ@|@collect@
@ເກັບໂຮມ@|@accumulate@
@ເກັບກຳໄວ້@|@keep in reserve@
@ເກັບສຳລອງໄວ້@|@keep in reserve@
@ເກັບຕົວ@|@keep aloof@
@ເກັບ...ໄວ້@|@keep@
@ເກັບໄວ້ໃຫ້@|@reserve for@
@ເກັບໄວ້ໃຫ້@|@destine for@
@ເກັບໄວ້ໃຫ້ດີ@|@keep safe@
@ເກັບໄວ້ໃຫ້ດີ@|@put in a safe place@
@ເກັບໄດ້@|@find something@
@ເກັບຕົກ@|@find a lost or abandoned article@
@ເກັບເອົາໄປນຳ@|@take an article with@
@ເກັບຊຳ@|@mark time in cadence@
@ເກັບ...ຕົກເຮັ່ຍ@|@find a lost or abandoned article@
@ເກັບລູກຍ່າງ@|@mark time in cadence@
@ເກ@|@unruly@
@ເກ@|@skew@
@ເກປາ@|@gill of a fish@
@ເກຈິອາຈານ@|@a group of teachers@
@ເກສະຣີ@|@lion@
@ເກສາ@|@hair of the head (poetic)@
@ເກສິນີ@|@a girl or woman with beautiful hair@
@ເກສອນດອກໄມ້@|@flower pollen@
@ເກສອນ@|@flower@
@ເກຕຸມາລາ@|@a ray from the halo around the head of the Buddha@
@ເກ່ເດ່@|@something protruding@
@ເກ່ໃຈ@|@fearful@
@ເກ້@|@counterfeit@
@ເກ້@|@untrue@
@ເກ້@|@false fake@
@ແກະ@|@sheep@
@ແກະຕົວຜູ້@|@ram@
@ແກະຕົວແມ່@|@ewe@
@ແກະຄົນລ້ຽງແກະ@|@shepherd or shepherdess@
@ແກະສລັກ@|@carve@
@ແກະລາຍ@|@sculpture@
@ແກະອອກ@|@chisel@
@ແກະອອກ@|@chip@
@ແກະຊ່າງແກະ@|@sculptor or sculptress@
@ແກະຊ່າງແກະ@|@wood-carver@
@ແກ@|@trumpet@
@ແກ@|@horn (car)@
@ແກລົດ@|@auto horn@
@ແກຂາວ@|@tree@
@ແກດຳ@|@medicinal bush@
@ແກແຊງ@|@tree having hard wood and medicinal properties@
@ແກ່@|@pull@
@ແກ່@|@drag@
@ແກ່@|@old@
@ແກ່ເຖົ້າ@|@old@
@ແກ່ລາກ@|@drag@
@ແກ່ກຽນ@|@pull a cart@
@ແກ່ຂຶ້ນ@|@pull or drag up@
@ແກ່ໄປ@|@drag or draw along@
@ແກ່ມາ@|@pull or drag back toward oneself@
@ແກ່ລົງ@|@pull or drag out@
@ແກ່ຈັດ@|@overripe@
@ແກ່ຈົນເປື່ອຍ@|@overripe to the point of rotting@
@ແກ່ຊະຣາ@|@very old@
@ແກ່ແດດ@|@sun-ripened@
@ແກ່ຕົວ@|@age@
@ແກ່ຕົວໄປ@|@age grow old@
@ແກ່ເທົ່າ@|@as old as@
@ແກ່ເປື່ອຍ@|@overripe@
@ແກ່ພໍ່່ດີ@|@just the right age@
@ແກ່ຫລີ້ນ@|@play too much@
@ແກ່ຮຽນ@|@study too much@
@ແກ່ກ້າ@|@courageous@
@ແກ່ກ້າ@|@veru intense@
@ແກ່ຈົນເປືອຍ@|@nude@
@ແກ່ຈົນເປືອຍ@|@undressed@
@ແກ່ແດ່@|@sticking out a little@
@ແກ່ຕົນຢ່າງດຽວ@|@for oneself@
@ແກ່ລາກໄປ@|@gangle@
@ແກ່ວິຊາ@|@experienced@
@ແກ້@|@untie@
@ແກ້@|@solve@
@ແກ້ໄຂ້@|@solve@
@ແກ້ໄຂ້@|@satisfy@
@ແກ້ໄຂ@|@correct@
@ແກ້ໄຂ@|@improve@
@ແກ້ໄຂ@|@repair@
@ແກ້ໄຂໃຫມ່@|@revise@
@ແກ້ພິດ@|@antidote@
@ແກ້ຄະດີ@|@defend oneself in court@
@ແກ້ແຄ້ນ@|@avenge@
@ແກ້ເສື້ອຜ້າ@|@undress@
@ແກ້ເຊື້ອກ@|@untie a cord@
@ແກ້ຕົວ@|@excuse oneseif@
@ແກ້ບະ@|@reward when a vow is kept@
@ແກ້ບາບ@|@confess ones sins@
@ແກ້ບັນຫາ@|@solve a problem@
@ແກ້ຜ້າ@|@undress@
@ແກ້ຜິດ@|@solve mistake@
@ແກ້ຜີ@|@conciliate the genius@
@ແກ້ຝັນ@|@interpret dream@
@ແກ້ພິດ@|@to neutralise toxin@
@ແກ້ພິດ@|@medicinal plant@
@ແກ້ເຄື່ອງ@|@undress@
@ແກ້ເຄື່ອງ@|@take off one’s clothes@
@ແກ້ເສື້ອ@|@take off one’s shirt@
@ແກ້ເສື້ອ@|@blouse or dress@
@ແກ້ຫໍ່@|@unwrap a package@
@ແກ້ຊວຍ@|@bring about a change in fortune@
@ແກ້ຜ້າ@|@undress@
@ແກ້ຜ້າ@|@disrobe@
@ແກ້...ອອກ@|@detch@
@ແກ້...ອອກ@|@untie@
@ແກ້...ອອກ@|@unknot@
@ແກ້ເມົາ@|@sober up@
@ແກ້ເມື່ອຍ@|@recover from fatigue@
@ແກ້ໂວ@|@cure someone of bragging@
@ແກ້ຄວາມ@|@defend oneself at law@
@ແກ້ຕາງ@|@speak for some (as a lawyer)@
@ແກ້ທີ@|@reply in kind@
@ແກ້ລຳ@|@retaliate@
@ແກ້ວ່າ@|@reply@
@ແກ້ຂັດ@|@resolve a problem@
@ແກ້ກະດຸມເສື້ອ@|@unbutton@
@ແກ້ເກີ້@|@save the face (of oneself or another)@
@ແກ້ຄວາມຄຸຍ@|@deflate a person (fig)@
@ແກ້ຄວາມຫຍຸ້ງຍາກ@|@endure suffering@
@ແກ້ຄວາມອວດດີ@|@take the wind out of one’s sails@
@ແກ້ໂຕ@|@excuse one’s self excuse@
@ແກ້ໂຕ@|@make an excuse@
