@English@|@Sanskrit@
@both profit and loss@|@laabhaalaabhau@
@both victory and defeat@|@jayaajayau@
@Bottom@|@tala@
@bound@|@anubandhiini@
@boundary@|@parimiti, siimaa@
@bounded@|@parimita@
@bounded by ocean@|@samudra-paryantaa@
@bow@|@dhanushhaM@
@bow+I@|@namaamyaham.h@
@Bowed@|@nata@
@bowed down@|@nataaH@
@boy@|@baalakaH, kumaaraH@
@boyhood@|@kaumaaraM@
@bracelet@|@ka.nkana@
@Brahma@|@vishvatomukhaH@
@brahmA and asmi: Brahma and am@|@brahmaasmi@
@brahmaa@|@vedhas.h@
@Brahman.h ;God@|@brahmaNi@
@brahmanas@|@braahmaNaaH@
@brahmin@|@dvija@
@Brahmin@|@vipra@
@Brahmins@|@braahmaNaan.h@
@branch@|@kaashhTa, shaakha@
@branches@|@shaakhaaH, shaakhaM@
@breach of duty@|@adharma@
@break@|@bheda@
@break by cutting@|@chhid.h@
@breaking through@|@bhedana@
@breasts@|@vakshoja@
@breasts that are(full-with milk)@|@stanabhara@
@Breath@|@shvaasa@
@breathe@|@shvasiti@
@breathing@|@shvasan.h@
@breeze@|@pavana, samiira@
@Brhaspati@|@bR^ihaspatiM@
@bridging@|@setuba.ndhanaM@
@Bright side of the lunar month@|@shuddhapaksha@
@brightness@|@kanti@
@Brihaspadi  may give us@|@bR^ihaspatirdadhaatu@
@brilliance@|@daakshya, tejas.h@
@bronze@|@ka.nsya@
@brother@|@baandhava, bandhu, bhraataa, bhraatR^i@
@brothers@|@bhraatR^in.h@
@brothers-in-law@|@shyaalaaH@
@brow@|@bhruuH@
@Bud@|@kali@
@Buddha@|@buddha@
@budhakaushikaH (the author of this hymn)@|@budhakaushikaH@
@building@|@harmya@
@burned@|@dagdha@
@burning@|@santapta, vidaahinaH@
@but@|@kintu, tu@
@butter@|@haviH@
@by another@|@anyena@
@by approaching a spiritual master@|@praNipaatena@
@by appropriate means@|@upaayataH@
@by Arjuna@|@guDaakeshena@
@by association@|@saN^gena@
@by association with fruitive activity@|@karmasaN^gena@
@by begging@|@bhaikshyaM@
@by carrying@|@nivahena@
@by chance@|@akasmaat.h@
@by changing also@|@viparyayeNaa.api@
@by charity@|@daanaiH, daanena@
@by comparison@|@aupamyena@
@by complete absorption@|@samaadhinaa@
@by concentration in Brahman@|@brahmayoga@
@by conquering@|@jitvaa@
@by consciousness@|@chetasaa@
@by contact with the material senses@|@sa.nsparshajaaH@
@by cultivation of knowledge@|@GYaanayaGYena@
@by desires@|@kaamaiH@
@by detachment@|@vairaagyeNa@
@by determination@|@dhR^itya@
@by devotional service@|@bhaktiyogena, yogaiH@
@by discharge of duty@|@kR^itena@
@by disciplic succession@|@paramparaa@
@by dust@|@malena@
@by effulgence@|@tejobhiH@
@by emanation@|@visphuraNai@
@by equivocal@|@vyaamishreNa@
@by false ego@|@ahaN^kaaraat.h@
@by faults@|@doshaiH@
@by favour@|@prasaadaat.h@
@by force@|@balaat.h, prasabhaM@
@by Grandfather Bhishma@|@bhiishhma@
@by her@|@tayaa@
@by His grace@|@tatprasaadaat.h@
@by his own@|@svasyaH@
@by his own duties@|@svakarmaNaa@
@by honouring (with gifts) alone@|@saMbhaavanaamaatreNa@
@by hundreds@|@shataiH@
@by ignorance@|@aGYaanena@
@by illusion@|@mohaat.h@
@by intelligence@|@bud.hdhyaa@
@by internal potency@|@yogamaayaa@
@by its own accord@|@yadR^ichchhayaa@
@by killing@|@hatvaa, nihatya@
@by knowing@|@GYaatena@
@by me@|@mayaa@
@by means of Sankhya philosophy@|@saaN^khyaiH@
@by meditation@|@dhyaanena@
@by men@|@naraiH@
@by miseries@|@duHkhena@
@by My energy@|@ojasaa@
@by My internal energy@|@aatmamaayayaa@
@by My internal potency@|@aatmayogaat.h@
@by My mercy@|@matprasaadaat.h@
@by nature@|@prakR^ityaa@
@by negative restrictions@|@niraahaarasya@
@by nonperformance@|@anaarambhaat.h@
@by one@|@ekayaa@
@by one who has become free from@|@vimuktaiH@
@by one with desires for fruitive results@|@kaamepsunaa@
@by one without desire for fruitive result@|@aphalaprepsunaa@
@by others@|@anyaiH@
@by performance of yoga@|@yogasevayaa@
@by pious activities@|@kriyaabhiH@
@by practice@|@abhyaasayoga, abhyaasena@
@by previous arrangement@|@puurvameva@
@by renunciation@|@sa.nnyaasanaat.h@
@by rigid practice@|@prayatnaat.h@
@by sacrifice@|@vedayaGYa, yaGYena@
@by serious penances@|@tapobhiH@
@by sin@|@paapena@
@by smoke@|@dhuumena@
@by somebody@|@kenachit.h@
@by steadying@|@sa.nstabhya@
@by study of the Vedas@|@vedaiH@
@by submissive inquiries@|@pariprashnena@
@by such faults@|@doshhaiH@
@by such renunciation@|@tyaagaat.h@
@by superintendence@|@adhyaksheNa@
@by terrible@|@ugraiH@
@by that time(when it was over)@|@taavat.h@
@by that; with that@|@tena@
@by the active sense organs@|@karmendriyaiH@
@by the aphorisms@|@padaiH@
@by the boat of transcendental knowledge@|@GYaanaplavena@
@by the bouquet consisting of 12 flowers (12@|@dvaadashamaJNjarikaabhiH@
@by the demon mahishasura@|@mahishhaasureNa@
@by the divine `nAmAs'(names)@|@naamabhirdivyaiH@
@by the embodied@|@dehabhR^itaa, dehavadbhiH@
@by the eternal enemy@|@nityavairiNa@
@by the fire@|@analena@
@by the glories@|@prakiirtya@
@by the illusion@|@mohena@
@by the illusory energy@|@maayayaa@
@by the linking process of devotion@|@karmayogeNa@
@by the linking process of knowledge@|@GYaanayogena@
@by the mercy of Vyasadeva@|@vyaasaprasaadaat.h@
@by the mind@|@manasaa@
@by the modes of material nature@|@guNataH@
@by the mouths@|@vadanaiH@
@by the name of rAma@|@raamanaamnaa@
@by the other@|@anyayaa@
@by the penance@|@tapasaa@
@by the power of mystic yoga@|@yogabalena@
@by the practice of devotional service@|@abhyaasayogena@
@by the predecessors@|@puurvaiH@
@by the purified mind@|@aatmanaa@
@by the qualities@|@guNaiH@
@by the rendering of service@|@sevayaa@
@by the renounced order of life@|@sa.nnyaasena@
@by the seers@|@darshibhiH@
@by the self-controlled@|@niyataatmabhiH@
@by the senses@|@indriyaiH@
@by the son of Drupada@|@drupadaputreNa@
@by the spirit soul@|@brahmaNaa@
@by the states of being@|@bhaavaiH@
@by the time when@|@yaavat.h@
@by the union between@|@sa.nyogaat.h@
@by the unmanifested form@|@avyaktamuurtinaa@
@by the vision of knowledge@|@GYaanachakshushhaa@
@by the water@|@ambhasaa@
@by the weapon@|@aasina@
@by the weapon of detachment@|@asaN^gashastreNa@
@by the wise sages@|@R^ishhibhiH@
@by the womanhood@|@striishhu@
@by the womb@|@ulbena@
@by their own@|@svayaa@
@by them@|@ebhiH, taiH@
@by this@|@anena, etena@
@by those@|@aadibhiH@
@by those devoid of desire for result@|@aphalaakaaN^kshibhiH@
@by those who actually desire liberation@|@mokshakaaN^kshibhiH@
@by those who can see@|@prapashyadbhiH@
@by those who know this@|@tatvidaH@
@by thousand@|@sahasreNa@
@by torture@|@piiDayaa@
@by unalloyed devotional service@|@ananyayogena@
@by us@|@asmaabhiH, naH@
@by Vedic hymns@|@chhandobhiH@
@by what@|@kena@
@by which@|@yaabhiH, yayaa@
@by whom@|@kaiH, yena@
@by work@|@karmaNaa@
@by worship@|@ijyayaa@
@by worshiping@|@abhyarchya@
@by Yama@|@yamena@
@by you@|@tvayaa@
@by Your mercy@|@tvatprasaadaat.h@
@by your own@|@svena@
@by Your radiance@|@svatejasaa@
@cactus@|@naagaphaNii@
@cadaver@|@shava@
@calamity@|@aapad.h, vighna, vipatti@
@calamity / danger@|@sa.nkaTa@
@Calcutta@|@kalakattaanagaraM@
@calendar year@|@khristaabde@
@called adhidaiva@|@adhidaivataM@
@called trance in yoga@|@yogasa.nGYitaM@
@callousness@|@nirvedaM@
@calmness@|@shaanti@
@camphor@|@karpura@
@can be achieved@|@labhyaH@
@can be perceived@|@upalabhyate@
@can be so controlled@|@gR^ihyate@
@can cut to pieces@|@chhindanti@
@can do@|@karishhyati@
@can drive away@|@apanudyaat.h@
@can get rid of@|@jahaati@
@can see@|@anupashyanti@
@can to be known@|@GYaayase@
@candid@|@sarala@
@cannot be killed@|@avadhyaH@
@capable@|@shaktaaH@
@capable / skiled/ clever@|@chaturaH@
@capable of@|@saktah@
@capable of talking@|@vaachaala@
@captains@|@naayakaaH@
@care@|@kR^ipaachhaayaa@
@carried by conviction@|@dhR^itigR^ihiitayaa@
@carry@|@vahaami@
@carving@|@shilpam.h@
@cast in@|@niguuDhaa@
@cat@|@maarjaara@
@caught@|@baddha@
@causal form from jan.h meaning ``should generate'@|@janayet.h@
@causative) to teach@|@paaThayati@
@causes@|@hetavaH, kaaraNaani, nimittaani@
@causes to hurt@|@ghaatayati@
@causing@|@kaari, pradaaH@
@causing to be done@|@kaarayan.h@
@causing to travel@|@bhraamayan.h@
@cavity@|@garta@
@ccontrolled by yoga@|@yoganiyojita@
@cease (because one feels transcendental happiness@|@uparamate@
@ceased@|@uparataM@
@Cekitana@|@chekitaanaH@
@celebates@|@brahmachaarin.h@
@celebrated@|@prathitaH@
@celestial@|@divyaan.h@
@celibacy@|@brahmacharyaM@
@cerain@|@kashchana@
@certain@|@dhruvaa, vinishchitaiH@
@certainly@|@dhruvaM@
@certainty@|@nishchayaM@
@cessation of all material activities@|@shamaH@
@cessation of material existence@|@nirvaaNaparamaaM@
@Ceylon or Sri Lanka@|@laN^kaa@
@cha(?)+na@|@cana@
@cha+anyatra+ekaH@|@chaanyatraika@
@chaddar@|@aachchhaadakam.h@
@chance@|@avasaraH@
@change@|@parivartanaM, parivartanam.h@
@changes@|@vikaari@
@changing quality@|@abhaavaH@
@chanting@|@japayaGYaH, kiirtayantaH@
@chanting+ever@|@japannityaM@
@chara:moving (things) +eva:alone; only + iti:thus@|@charaiveti@
@character@|@charitaM, guna, shiila@
@characteristics@|@svabhaavaH@
@chariot@|@ratha, syandane@
@charioteer@|@yantR^i@
@charity@|@daanaM@
@charkha@|@suutrachakram.h@
@chart@|@bhuupaTaH@
@chastity@|@shiilaM@
@chat@|@sambhaashhaNa@
@checking@|@rud.hdhvaa@
@cheerfulness@|@harshhaM@
@chemistry@|@rasaayanashaastram.h@
@chest@|@vaksha, vakshaHsthalam.h@
@chief (adj) principal@|@pramukhaH@
@chiefs among the warriors@|@yodhamukhyaiH@
@chiefs of the world@|@mahiikshitaaM@
@child@|@baala, nandana@
@childhood@|@kaumaarya@
@choice@|@chayanam.h, vivakshaa@
@chooses@|@vR^iNute@
@Christ@|@khrista@
@Christian@|@khristi@
@circle@|@chakram.h, maNDala, valaya@
@Circle@|@chakra@
@circumstances of life to which one is born@|@jaati@
@Citraratha@|@chitrarathaH@
@city@|@pattanam.h, purii@
@clap@|@taalikaa@
@clay@|@loshhTa@
@clean@|@amalaM, shubhra, shuchi@
@cleaning@|@maarjana@
@cleanliness@|@shauchaM@
@cleansed@|@nirdhuuta@
@cleansing of the nostrils@|@netiyoga@
@cleansing the rectum@|@muulashodhana@
@clear@|@nirmala, paaradarshaka, prakaasha@
@clever@|@paTu, vichakshaNa@
@cleverness@|@daakshya@
@climbing@|@aarohaNa@
@close@|@sa.nnidhau@
@closed@|@nimiilita@
@closeness@|@saN^ga@
@closing@|@nimishhan.h@
@cloth@|@vaaso@
@cloud@|@abhraM, megha, payodhara@
@cloud (one who gives water)@|@payoda, vaarida@
@clove@|@lavaN^ga@
@club@|@laghuDa@
@cobra pattern@|@naagabandha@
@coconut@|@naarikela@
@coil of rope@|@kuNDala@
@Coital Chart@|@nisheka@
@cold@|@shiita@
@collection@|@avachaya, sa.nchaya, sa.ngraha, saJNchaya, saN^graha@
@color@|@aabhaa, varNa@
@colored design@|@ra.ngaavalii@
@colors@|@varNaM@
@Combination for learning@|@budhaadityayoga@
@combination?@|@sa.ndhaanaM@
@Combinations for poverty@|@nirdhanayoga@
@Combinations for Status and Power@|@raajayoga@
@combined@|@prayu.njaano@
@combined sound@|@shabdaH@
@come@|@upayaanti@
@come back@|@nivartante@
@come together with@|@sametaM@
@comes@|@eshhyati@
@comes back@|@aavartate@
@coming@|@aagamana@
@coming together@|@saN^kramaNa@
@command@|@aaGYaa@
@commerce@|@vaaNijyam.h@
@common@|@itaraH, saamaanya@
@Common Signs@|@dvisvabhaavaraashi@
@Commonly known Ramakrishna@|@raamakR^ishhNa@
@community (people of the same caste etc.)@|@GYaati@
@community projects@|@jaatidharmaaH@
@company@|@sa.ngati, sa.nsarga, sakaasha, saMsthaa@
@company+(only) one (way)@|@sa.ngatiraikaa@
@comparable@|@samaana, tulya, tulyaM@
@comparative@|@upamaa@
@compared to@|@upamaM@
@comparison@|@apamaa, tulanaa@
@compassion@|@kR^ipaa@
@compassionate@|@aatmabhuutaatmaa, sadaya@
@compassionate to the devotees@|@bhaktaanukaMpinaaM@
@competent candidate@|@adhisari@
@competitor@|@pratispardhii@
@complete@|@saMpuurNam.h@
@complete and wwhole is this world@|@puurNamidaM@
@complete awareness of the state of the mind@|@jaagrataavasthaa@
@complete whole is produced@|@puurNamudachyate@
@complete; whole; is that (the other worlds?)@|@puurNamadaH@
@completely@|@asheshhataH@
@completely eradicated@|@antagataM@
@completely past@|@samatiitaani@
@component@|@ghaTaka@
@composed@|@virachitaM@
@compound word@|@samaasa@
@comprehension@|@viGYaana@
@comprising the living entities@|@jivabhuutaaM@
@computer@|@saN^gaNaka@
@conceit@|@abhimanaH@
@concentrate on@|@yuj.h@
@concentrated psychic power@|@ojasa@
@concentrating@|@chintayantaH@
@concentration@|@dhaaraNaa@
@concern@|@vyaakulatva@
@conch shell@|@shaN^kha@
@conchshell@|@shaN^khaM@
@conchshells@|@shaN^khaaH, shaN^khaan.h, shaN^khau@
@concurrence@|@saN^kramaNa@
@condemned@|@adhamaaM@
@conditioned@|@nibaddhaH@
@conditioning@|@sa.nskaara@
@confer upon@|@dadaasi@
@confidential subject@|@guhyaM@
@confidently@|@nishchitaM@
@confining@|@nirudhya@
@confusion@|@bhraanti, chittavikshepa, vikshepa@
@connection@|@sa.nyogaM@
@conquer@|@jahi@
@conquered@|@jitaH@
@consideration@|@gaNanaa@
@considering@|@avekshya, dhaarayan.h, sampashyan.h@
@considering Me the Supreme@|@matparamaH@
@consisting of@|@aatmakaM@
@consisting of the gunas@|@guNamayaiH@
@consisting of the three modes of material nature@|@guNamayii@
@constancy@|@nityatvaM@
@constant@|@sadodita@
@constantly changing@|@ksharaH@
@constantly engaged@|@yuJNjataH@
@constantly thinking of@|@anuchintayan.h@
@contact@|@samparka@
@contacted@|@karshha@
@contemplation@|@dhyaana@
@contempt@|@avaGYaa@
@contemptible fellow@|@kaa-purushha@
@contrary to rule@|@vipariita@
@contribution@|@arpaNaM@
@control@|@rudh.h, vashaM, vinigrahaH@
@control alone(niyamAt.h eva)@|@niyamaadeva@
@control of sexual impulses@|@brahmacharya@
@control of the breath@|@praaNaayaama@
@control of the senses@|@damaH, pratyaahaara@
@control or restraint@|@nirodha@
@controlled@|@niyataaH, sa.nyata, yata@
@controller@|@niyantaa@
@controlling@|@sanniyamya@
@controlling the mind@|@yatachitta@
@conversation@|@sa.nvaadaM, sambhaashhaNa@
@cool@|@shiitala@
@corner of a room@|@koNaH@
@correct or right use derived from sat.h + upayoga@|@sadupayoga@
@correcting@|@maarjanaM@
@cosmic breath@|@brahmaaNDapraaNa@
@cosmonaut@|@vyomagaamii@
@cosmos@|@brahma@
@count@|@saN^khyaa@
@country@|@desha@
@couple@|@dvandva@
@courage@|@dhairya, dhiirataa, paurushha@
@courageous@|@dhiira@
@cover@|@gopa@
@covered@|@aavR^itaa, aavR^itaaH, prachchhanna, samaavR^itaH@
@covering@|@aapuurya, aavR^itya, chhaadana, uttaraM@
@cow / bull@|@go@
@crane@|@shakunta@
@craving@|@vaasanaa@
@create@|@dadhaami@
@created@|@virachita, virachitaM@
@created being@|@bhuutaM@
@created living beings@|@bhuutasargau@
@creating@|@sR^ishhTvaa@
@creation@|@sR^ishhTiH, utpaadanam.h, visargaH@
@creeper@|@lata@
@cripple@|@pa.ngu@
@crocodile@|@makara, makaraH@
@crooked@|@vakraa@
@crossing over@|@tara@
@crow@|@kaaka@
@crowd@|@nivahaH, samuuha@
@cruel@|@amaanushha, kruura@
@crying out of desperation for help@|@aaratii@
@cuckoo@|@pikaH@
@culture@|@sa.nskR^iti@
@cunning@|@kapaTika@
@cunning move@|@nikR^itii@
@Cupid@|@kandarpaH, madanaM, manmatha@
@curb@|@prajahi@
@current@|@pravaaha@
@customary(masc)@|@anusaara@
@cut@|@chhidra, saJNchhinna@
@cut around)@|@parichhinna@
@cut into pieces@|@khaNDana@
@cut or dissect@|@vyavachchhetsiiH@
@cutting@|@chhedana, chhittva@
@cutting off@|@chhittvaa@
@cutting with a knife@|@kshurakriyaa@
@cycle@|@chakraM, chakram.h@
@daily@|@anudinaM, nityamadhiiyataaM@
@daily/always@|@nityaM@
@Dakshineshvar@|@dakshiNeshvara@
@damage@|@haani@
@Dance@|@nartana@
@Dandii@|@daNDii@
@dangerous@|@bhayaavahaH@
@dangers@|@aapadaaM@
@dark@|@ghana, shyaamala@
@dark green colour (literally@|@shukaharitaH@
@Dark half of the lunar month@|@vadyapaksha@
@Dark shade@|@garda@
@darkness@|@andhakaara, aprakaashaH, gu, tamas.h, tamasa, timira@
@Darshan@|@darshanaM@
@dashana+vihInaM@|@dashanavihiinaM@
@dasharatha's@|@dasharatha@
@dasharatha's son@|@daasharathiH@
@dasharatha's+this pair@|@dasharathasyaitau@
@dasharathasya+etaau@|@dasharathasyaitau@
@dasharath's wife@|@sumitraa@
@dasii@|@cheTii@
@daughter@|@aatmajaa, kishorii, sutaa, tanayaa@
@day@|@divasa@
@Day@|@dina, vaara, vaasara@
@day + night@|@dinayaaminyau@
@day after tomorrow@|@parashvaH@
@day and night@|@ahoraatra@
@day before yesterday@|@parahyaH@
@day-time-done@|@divasakR^itaM@
@dead@|@mR^itaM@
@Dead@|@mR^ita@
@dear@|@dayita, priya, priyaH@
@dearer@|@priyataraH@
@death@|@maraNa, maraNaM, mR^ityuH, mR^ityuM, mR^ityuu@
@death and birth@|@gataagataM@
@debate@|@ahamahamikaa@
@debt@|@R^iNa@
@deceitful@|@shaThaH@
@declare@|@pratijaaniihi@
@Decline@|@laya@
@decomposed@|@paryushhitaM@
@decorated / ornamented@|@alaN^kR^ita@
@decorations@|@ala.nkaaradiiptaM@
@dedication@|@praNidhaana@
@Deed@|@kR^itya@
@deeds@|@karmaaNi@
@deem well/visualise@|@paribhaavaya@
@deem/consider/visualise/imagine@|@bhaavaya@
@deep sleeping@|@sushhuptiH@
@deer@|@hariNa, kuraN^ga@
@deer skin?@|@majina@
@defeat@|@durgati@
@definitely@|@sunishchitaM@
@degrade@|@hinasti@
@deity Shrii Rama@|@raama@
@delegate@|@pratinidhii@
@deliberating@|@vimR^ishya@
@delight@|@mudita, raJNjana@
@delights@|@ramate@
@deluded@|@mohitaM, vimohitaaH@
@demigods@|@devaaH, devaan.h@
@demon@|@mahishhaH, raakshasa, rajaniichara@
@demoniac@|@aasuraH, aasuriishhu@
@demoniac qualities@|@aasurii@
@demonic@|@aasuraM, raakshasiiM@
@demons@|@aasuranishchayaan.h, asuraan.h, yaksharakshaa.nsi@
@dense forest@|@kalilaM@
@dependence@|@aashrayatva@
@dependent@|@nirbhara@
@dependent on the self@|@svaadhiina@
@dependent only one onself@|@svaayatta@
@deprived of@|@hR^ita, parityakta@
@depth@|@praagalbhya@
@deride@|@avajaananti@
@descendant of `kakutstha'@|@kaakutsthaH@
@descendent of avikshit (i.e@|@aavikshita@
@desciples@|@shishhyaan.h@
@describe@|@kathaya@
@described@|@aakhyaataM, abhihitaa, giitaM@
@desert@|@maru@
@deserve@|@arhasi@
@deserving@|@aarhaaH, arha@
@desirable form (personal appearance)@|@sprihaNiyaruupaM@
@desire@|@aashaa, ichchhaa, kaamaH, kaamaM, kaamamadhiite, tR^ishhNaa, vR^itta@
@desire for power@|@aishvarya@
@desire to know or understand Brahman@|@brahmajiGYaasaa@
@desired@|@abhiipsita, aichchhat.h, ishhTaan.h, vaaJNchhita@
@desired hands@|@kamaniiyakaraM@
@desireless@|@niHspR^ihaH@
@desirelessness@|@vitR^ishhNaaM@
@desirer of desires (kaamaan kaamayati iti aN)@|@kaamakaama@
@desires@|@kaamaaH, kaaN^kshati@
@desiring@|@abhisandhaaya, ichchhantaH, kaamaan.h, kaaN^kshantaH, prepsuH, uddishya@
@desiring fruitive results@|@phalaakaaN^kshii@
@desiring sense enjoyments@|@kaamakaamaaH@
@desiring to fight@|@yoddhukaamaan.h, yuyutsavaH@
@desiring to lead@|@chikiirshhuH@
@desirous of killing@|@hantR^i@
@desirous of sense gratification@|@kaamaatmaanaH@
@despair@|@daurmanasya@
@despicable@|@kutsya@
@destiny@|@daiva@
@destroy@|@nihan.h@
@destroy (take away)@|@sa.nhaara@
@destroyed@|@astaM@
@destroyer@|@naashanam.h@
@destroying@|@ghnii@
@destroys@|@naashayati@
@destructible@|@kshara@
@destruction@|@haaniH, kshayaM, naasha, naashha, nidhanaM, vinaashaH, vinaashaM@
@Destruction@|@nirdaalana@
@detainee@|@bandii@
@determination@|@achaapalaM, dhR^ityaa, nishchaya, saN^kalpa@
@determined@|@nishchita@
@Devala@|@devalaH@
@develop@|@jaayante@
@developed@|@pravR^iddhaaH, pravR^iddhe@
@developing@|@prabhavishhNu@
@development@|@praagalbhya@
@developments@|@pragatiH, unnatiiH@
@develops@|@saJNjaayate@
@deviated@|@chalita@
@deviated from@|@vibhrashhTaH@
@devil@|@asura@
@devoid of@|@vivarjitaM@
@devoid of desire@|@nispR^ihaH@
@devoid of fear@|@vigatabhiiH@
@devoted to Me@|@matparaayaNaH@
@devotee@|@bhakataH, bhakta, bhaktaH, bhaktimaan.h@
@devotees@|@bhaktaaH, yajinaH@
@devotion@|@bhakti, karmayogaM@
@devotional service@|@bhaktiM@
@devouring@|@grasamaanaH, grasishhNu@
@Dhananjaya (Arjuna@|@dhanaJNjayaH@
@dharana@|@sa.nyama@
@dhik.h:fie upon it +  balam:power or strength@|@dhikbalaM@
@dhobi@|@rajakaH@
@Dhrishtaketu@|@dhR^ishhTaketuH@
@Dhristadyumna (the son of King Drupada)@|@dhR^ishhTadyumnaH@
@dhyana and samadhi taken together@|@sa.nyama@
@diabetes@|@madhumehaH@
@dialouge@|@saMvaada@
@diamond@|@vajra-maNii@
@did@|@akurvat.h@
@did (past perfect tense of kRi+kar to do)@|@chakaara@
@did they do@|@akurvata@
@died@|@divaN^gataH@
@dies@|@mriyate@
@Diet@|@aahaara@
@difference@|@vishheshhataa@
@difference in seeing@|@dR^ishhTiibheda@
@difference/otherness/duality@|@bhedaaGYaanaM@
@differences@|@vibhaagayoH@
@different@|@anyaani, pR^ithag.hvidhaan.h@
@different paths@|@sR^itii@
@differentiation@|@avakalana@
@difficult@|@kR^ichchhara, sudushhkaraM@
@Difficult@|@alabhya@
@difficult to curb@|@durnigrahaM@
@difficult to obtain@|@dushhpraapaH@
@difficult to see@|@durniriikshyaM@
@difficulties@|@vighnaiH@
@dilapidated@|@jiirNa@
@diminishing pains@|@duHkhahaa@
@diminution@|@pratyavaayaH@
@dina+yAminI@|@dinayaaminyau@
@diplomat@|@raajaduutaH@
@direct evidence@|@pratyaksha@
@directed@|@vihitaM@
@direction@|@dishaaM@
@Direction@|@kR^iti@
@Directional strength@|@digbala@
@directions@|@dishaa@
@directly@|@saakshaat.h@
@directly manifested@|@samudbhavaM@
@dirt@|@mala@
@dirtiness@|@kashmalaM@
@disabled@|@vikala@
@disappearance@|@apyayau@
@disappearing@|@apaayinaH@
@disassociated@|@vinivR^itta@
@disaster@|@durghaTanaa@
@disc in hand@|@chakrahastaM@
@discard it at a long distance@|@duureNa@
@discernment@|@vitarka@
@disciple@|@shishhyaH, shishhyeNa@
@disciple+am+I@|@daasosmyaham.h@
@disciples@|@shishhyaiH@
@discipline@|@shaasana, tantra@
@Discipline@|@niyata@
@disciplined course@|@vraata@
@discloses@|@prakaashayati@
@discovery@|@saMshodhanam.h@
@discrepancies@|@glaaniH@
@discrimination@|@viveka@
@discussion@|@charchaa, vaadaH@
@disease@|@aamaya, roga, vyaadhi@
@disease-free@|@niraamaya@
@diseaselessness@|@arogita@
@dish@|@sthaalikaa@
@dishonored@|@asatkR^itaH@
@disinterested@|@taTasthaH@
@dispel@|@naashayaami@
@dispelled@|@praNashhTaH@
@disregard@|@upekshaa@
@disruption of intelligence@|@buddhibhedaM@
@dissolution@|@pralayaM@
@distraction@|@chittavikshepa@
@distress@|@duHkhaM@
@distressed@|@sa.nvigna@
@distribution (of various limbs@|@viniyogaH@
@disturbance@|@kshobhaM@
@divert/recreate(be happy)@|@vinodaya@
@divided@|@pravibhaktaM, vibhaktaM@
@divine@|@aishvaraM, daiviiM, divya, divyaaH, divyaani@
@Divine@|@devaaya@
@Divine Love@|@prema@
@divine power@|@vibhuuti@
@Divisional or Harmonic Charts@|@varga@
@do@|@kuru, kurushhva, prakaroti@
@do (from kRi)@|@kurvanti@
@do achieve@|@labhante@
@do affect@|@limpanti@
@do bind@|@nibadh{}nanti@
@do I desire@|@kaaN^kshe@
@do I foresee@|@anupashyaami@
@do I know@|@prajaanaami@
@do I wish@|@ichchhaami@
@Do not@|@maa@
@do not understand@|@ajaanaM@
@do perfectly@|@samaachara@
@do we describe@|@varNayaaM@
@do we know@|@vidmaH@
@doctor@|@vaidyaH@
@doctrines@|@dharmaM@
@does@|@karoti@
@does (from kRi)@|@kurute@
@does hear@|@shR^iNuyaat.h@
@does know@|@abhijaanaati@
@does not know@|@naabhijaanaati@
@does not marry@|@sheNishheveta@
@does remain still@|@aasiita@
@does take place@|@vidhiiyate@
@Dog@|@shvaana@
@doing@|@kurvaan.h@
@doing anything@|@kurvan.h@
@doing yAga or yagya or sacrifice?@|@yajatraaH@
@donate@|@dadati@
@done@|@kR^itaM@
@Done@|@kR^ita@
@done only for the sake of Yajna@|@yaGYaarthaat.h@
@donkey@|@gardabha@
@Don't+go@|@maagaa@
@door@|@dvaaraM@
@doors of apalace@|@raajadvaara@
@doorstep@|@dehali@
@dot@|@bindu@
@doubt@|@sa.nshaya, sa.nshayaH, shaN^kaa@
@doubts@|@sa.nshayaM@
@dove@|@kapota@
@dovetailed@|@yuktaH@
@down@|@ni@
@drama@|@naaTaka@
@drawing brush@|@kuurchikaa@
@dreadful@|@karaala@
@dream@|@svapna@
@dreaming@|@svapan.h, svapnaH, svapnaM@
@dress@|@vaaso, vesha@
@dress made of bark?@|@chiira@
@dries@|@shoshhayati@
@drinkers of soma juice@|@somapaaH@
@drinking@|@paana, suraapaana@
@driven by greed for royal happiness@|@raajyasukhalobhena@
@Drona@|@droNaM@
@Dronacarya@|@droNaH@
@drop@|@binduH@
@drum@|@mR^ida.nga@
@Drum@|@mR^idaN^ga@
@drunk@|@kaNikaapiitaa@
@Drupada@|@drupadaH@
@dry@|@aardita, ruksha@
@drying up@|@uchchhoshhaNaM@
@dual@|@yugale@
@duality@|@dvaidhaaH@
@due to being restless@|@chaJNchalatvaat.h@
@due to being subtle@|@saukshmyaat.h@
@due to being transcendental@|@nirguNatvaat.h@
@due to eternity@|@anaaditvaat.h@
@due to fruitive activities@|@karmajaM@
@due to ignorance@|@aGYaanajaM@
@due to non-determination (having not decided)@|@anishchayat.h@
@due to unintelligence@|@akR^itabuddhitvaat.h@
@Dull@|@ma.nda@
@dumb@|@muuka@
@during the kali age@|@kalau@
@dust@|@avakaranikara@
@duties prescribed for others@|@paradharmaH@
@dwell@|@tishhThanti, vasati@
@dwelling@|@adhivaasa, vasana@
@dwelling in the body@|@shariirasthaH@
@dynasty@|@kula@
@e.g. the hands or feet@|@karmendriya@
