@English@|@Italian (Theology)@
@anchor@|@ferro@
@and not@|@né@
@and so@|@onde@
@and still@|@eppure@
@and yet@|@eppure@
@anger@|@sdegno@
@angry@|@inquieto@
@anguish@|@travaglio@
@anguished@|@angoscioso@
@anniversary@|@ricorrenza@
@announcement@|@avviso@
@annoyance@|@noia@
@annoyed@|@inquieto@
@another@|@altro@
@answer@|@esito, rimedio@
@answering@|@rispondente@
@antecedent@|@antecedente@
@anxiety@|@angoscia, inquietudine@
@anxious@|@ansioso, inquieto@
@anxious (past part. of sospendere)@|@sospeso@
@any@|@ne, nullo, qualcheduno, qualcuno, qualsiasi, qualsivoglia, qualunque@
@anybody@|@chiunque, nessuno@
@anyone@|@chiunque, nessuno@
@anyone (qualcheduno)@|@qualcuno@
@anyone (qualcuno)@|@qualcheduno@
@anything@|@qualcosa@
@anything (niente)@|@nulla@
@anything (qualcosa)@|@alcunchè@
@anything but@|@tutt'altro che@
@anyway@|@comunque, intanto@
@anywhere@|@dovunque, ovunque@
@anywhere (dovunque- ovunque)@|@dovechessia@
@apart@|@a sé stante@
@apart from@|@a parte, a prescindendo da, a prescindere da, salvo, tranne@
@apart from (past part. of togliere)@|@tolto@
@apathy (accidia)@|@indolenza@
@apparently@|@a quanto pare, a quanto sembra, in apparenza@
@appeal@|@fascino, istanza, richiamo, ricorso, sollecitazione@
@appearance@|@avvento, faccia, volto@
@appliance@|@dispositivo@
@applicant@|@concorrente@
@application@|@istanza, richiesta@
@appointed@|@dato@
@appointment@|@carica, impegno, incarico, nomina@
@appraisal@|@valutazione@
@appreciated@|@gradito@
@apprentice@|@allievo, principiante@
@approach@|@accesso, impostazione@
@appropriate@|@appropriato, idoneo, proprio@
@appropriately@|@appositamente@
@approval@|@assenso, beneplacito@
@approved@|@omologato@
@aptitude@|@attitudine@
@arbitrary act@|@arbitrio@
@ardor@|@fuoco@
@argument@|@incidente, polemica, tesi@
@argumentation@|@argomentazione@
@argumentative@|@argomentativo@
@arm@|@arma@
@around@|@attorno a, intorno, intorno, sotto, verso@
@arranged@|@disposto, fissato@
@arrangement@|@accordo, disposizione, inquadramento, ordinamento@
@array@|@gamma@
@arrival@|@avvento, venuta@
@arrogance@|@prepotenza@
@arrogant@|@altezzoso, prepotente, superbioso, superbo@
@arrogant behavior@|@prepotenza@
@artful@|@maestro@
@article@|@capitolo@
@artificial@|@finto@
@as@|@come, dato che, giacchè, in quanto, poichè, quanto, siccome@
@as a matter of fact@|@difatti, infatti@
@as far as@|@fino a, sino@
@as for@|@per quanto riguarda@
@as long as@|@finché, mentre, purchè, sempre che@
@as long as (finchè)@|@sinchè@
@as many@|@altrettanto@
@as much@|@altrettanto@
@as much as@|@fino a@
@as regards@|@per quanto riguarda, rispetto a@
@as regards  (per quanto riguarda- riguardante)@|@per quanto concerne@
@as such (come tale)@|@in quanto tale@
@as such (in quanto tale)@|@come tale@
@as to@|@rispetto a@
@as to (riguardante- per quanto concerne)@|@per quanto riguarda@
@as well@|@inoltre, pure@
@as well as@|@nonché@
@as…as@|@al pari di@
@ascension@|@ascesa@
@ascertainable@|@accertabile@
@ashamed@|@vergognoso@
@aside@|@in disparte@
@aspect@|@faccia, risvolto, volto@
@aspiration@|@istanza@
@assembly@|@raccolta@
@assembly (incontro- raduno)@|@accolta@
@assertion@|@predicazione@
@assessable@|@accertabile@
@assessment@|@stima, valutazione@
@assigned@|@assegnato@
@assignment@|@inquadramento, nomina@
@assignment (assunto- impegno- impresa)@|@incarico@
@assistance@|@appoggio@
@assistant@|@aggiunta@
@associated@|@collegato@
@assumption@|@assunto, presunzione, presupposto@
@assurance@|@sicurezza@
@astonishing@|@sorprendente, strabiliante@
@astonishment@|@meraviglia@
@astounding@|@strabiliante@
@at@|@a, presso, sotto@
@at all@|@affatto@
@at first@|@dapprima@
@at great length@|@ampiamente@
@at hand@|@prossimo@
@at last@|@alfine, infine@
@at last (alfine)@|@alla fine@
@at least@|@almeno, per lo meno, perlomeno, quantomeno@
@at least (ossia)@|@cioè@
@at most@|@semmai, tutt'al più@
@at once@|@all'impronta, subito@
@at someone's expense@|@a carico di@
@at that time@|@allora@
@at the end@|@alla fine@
@at the head of@|@preposto@
@at the mercy of@|@in balia di@
@at the same time@|@contemporaneamente@
@at the same time (assieme)@|@insieme@
@at the same time (insieme)@|@assieme@
@at times@|@a volte@
@at times (talora)@|@talvolta@
@at times (talvolta)@|@talora@
@at worst@|@semmai@
@athletic@|@agonistico@
@atmosphere@|@ambiente@
@atonement@|@espiazione@
@attached to@|@legato@
@attack@|@accesso, affondo, crisi, discesa, urto@
@attending@|@concomitante@
@attention@|@avvertenza, cura, premura, sollecitudine@
@attentive@|@partecipe@
@attentively@|@premurosamente@
@attitude@|@gesto@
@attitude (atteggiamento- attitudine)@|@atto@
@attraction@|@affinità, richiamo@
@attractive@|@attraente, suggestivo@
@augmentation@|@aumento@
@austere@|@monacale@
@author@|@artefice@
@authoritative@|@autorevole, imperativo@
@authority@|@esperto, potere@
@authority (balia- forza- potenza- potere)@|@potestà@
@authority (potere- potestà)@|@balia@
@authorization@|@delega, licenza@
@automatically@|@da solo@
@aversion@|@antipatia@
@awaited@|@atteso@
@award@|@premio@
@aware@|@cosciente, partecipe@
@aware of@|@consapevole@
@awareness@|@coscienza@
@awesome@|@imponente@
@awful@|@maledetto, tremendo@
@awkward@|@impacciato, impedito@
@awkwardness@|@imbarazzo@
@awning@|@tenda@
@baby@|@creatura, pargolo@
@back@|@dietro, indietro, verso@
@background@|@contesto, precedente@
@background (ambientazione- ambiente- sfondo)@|@fondo@
@background (ambiente- fondo- sfondo)@|@ambientazione@
@backing@|@appoggio@
@backward@|@indietro, sottosviluppato@
@backwards@|@a rovescio, al contrario, alla rovescia@
@bad@|@marcio@
@bad habit@|@vizio@
@bad luck@|@sventura@
@badly (a rovescio)@|@alla rovescia@
@badly (alla rovescia)@|@a rovescio@
@badness@|@marcio@
@bafflement@|@sconcerto@
@bakery@|@forno@
@balance@|@resto@
@bald patch@|@chierica@
@ban@|@divieto@
@band@|@balzo@
@banishment@|@esilio@
@bank@|@banco@
@bankruptcy@|@fallimento@
@bar@|@battuta@
@barely@|@meramente, scarsamente@
@barrenness@|@infecondità@
@barrier@|@parete@
@base@|@base, basso, impostazione@
@bashful@|@vergognoso@
@bashfulness@|@vergonia@
@basic@|@basilare@
@basis@|@fondamento@
@battle@|@scontro@
@be off!@|@via@
@beam@|@raggio@
@bear@|@scoperto@
@beat@|@battuta@
@beaten@|@battuto, sconfitto@
@beating@|@battuta@
@because@|@in quanto, poichè, siccome@
@because of@|@a causa di@
@becoming@|@dicevole@
@before@|@al cospetto di, avanti, davanti a, entro, innanzi, innanzi, innanzi a@
@before all else@|@innanzitutto@
@beginning@|@alba, esordio, spuntare@
@behavior@|@atteggiamento, condotta, costume, tratto@
@behind@|@appresso, dietro, indietro@
@being@|@creatura@
@below@|@giù, sotto, sotto, sottostante@
@bend@|@svolta@
@beneficial@|@salutare@
@benefit@|@profitto, provvidenza, sussidio@
@benevolent@|@mite@
@bereft of@|@privato@
@beseiged@|@assediato@
@beset@|@assediato@
@besides@|@del resto, inoltre, oltre, poi@
@best man@|@teste@
@betrayal@|@tradimento@
@better still@|@anzi@
@between@|@tra, tramezzo a@
@beyond@|@al di là, al di sopra di, oltre@
@beyond measure@|@oltremisura, oltremodo@
@bias@|@pregiudizio@
@bill@|@bolla, conto, nota@
@binding@|@impegnativo, vincolante@
@binding force@|@vincolo@
@birth@|@genesi, stirpe@
@birth place@|@patria@
@birthday@|@Natale@
@birthplace@|@Natale@
@bitter@|@amaro@
@bitter taste@|@amarezza@
@blasphemous@|@empio@
@bleeding@|@pianto@
@blemish@|@macchia@
@blending@|@mischia@
@bliss@|@estasi, gaudio@
@blister@|@bolla@
@bloched (past part. of macchiare)@|@macchiato@
@blockade@|@blocco@
@bluntly@|@bruscamente@
@board@|@comitato@
@boat@|@nave@
@bodily@|@fisico@
@body@|@compagine, massa, salma@
@bond@|@catena, legame, vincolo@
@book@|@registro@
@boom@|@scoppio, tuono@
@boost@|@carica, spinta@
@border@|@frontiera@
@bordering@|@limitrofo@
@borderline@|@frontiera@
@boring@|@peso@
@bosom (grembo- viscere)@|@seno@
@bosom (seno- viscere)@|@grembo@
@boss@|@padrone@
@both@|@ambedue, entrambi@
@both…and@|@sia…sia@
@bother@|@fatica@
@bottom@|@basso, profondo@
@bound@|@confine, impegnato, legato, stretto@
@boundary@|@confine, delimitazione, termine@
@bounty@|@taglia@
@bowels@|@viscere, viscere@
@bowl@|@vaso@
@boyfriend@|@amoroso@
@bragging@|@vanto@
@brain@|@testa@
@branch@|@ramo@
@brave@|@valente@
@bravery@|@valore@
@brawl@|@mischia@
@breadth@|@ampiezza, larghezza, respiro@
@break@|@spuntare@
@breaking@|@spaccatura@
@break-up@|@spaccatura@
@breath@|@largo, sospiro@
@breathtaking@|@impressionante@
@breed@|@razza@
@breeze@|@alito@
@brief and to the point (past part. of serrare)@|@serrato@
@brief statement@|@comparsa@
@bright@|@acceso, chiaro, lucido@
@bringing@|@apporto@
@bringing up-to-date@|@attualizzazione@
@brisk@|@spiccio@
@broadmindedness@|@apertura@
@broadness@|@ampiezza@
@broken@|@infranto, rotto, spezzato@
@broken up@|@sciolto@
@broken-hearted@|@affranto@
@brother@|@frate@
@brotherliness@|@fratellanza@
@brusquely@|@bruscamente@
@bubble@|@bolla@
@building (reggia)@|@palazzo@
@bullying@|@prepotenza@
@bump@|@urto@
@burden@|@carico, fardello, peso@
@burst@|@scarica@
@business@|@faccenda, impresa@
@but@|@bensì, comunque, eppure, poi, pure, salvo, senonchè, tranne, tuttavia@
@but (benchè- comunque- nondimento- peraltro- pure- tuttavia)@|@per quanto@
@but (frattanto)@|@intanto@
@by@|@da, entro, mediante, previo, tramite@
@by comparison@|@al confronto@
@by far@|@di gran lunga@
@by means of@|@mediante@
@by now@|@già@
@by oneself@|@da solo, in disparte, solo@
@by the look of it (a quanto pare)@|@a quanto sembra@
@by theme@|@argomentativo@
@by this time@|@oramai, ormai@
@by topic@|@argomentativo@
@by which@|@onde@
@calamity@|@piaga@
@call@|@invito, richiamo, verso@
@calm@|@composto, pacato@
@calmness@|@pacato@
@calvary (ordalia- prova)@|@calvario@
@camouflaged@|@truccato@
@campaign@|@campagna@
@can@|@in grado di@
@canal@|@condotto@
@cancellation@|@ritiro@
@cancelled@|@sospeso@
@candidate@|@concorrente@
@candle@|@torcia@
@candlestick@|@bugia@
@canonical@|@canonico@
@capability@|@capacità@
@capable@|@atto, valente@
@capable of@|@in grado di@
@capacity@|@potere, tenuta@
@capacity (forza- potere- potestà)@|@potenza@
@captivating@|@avvincente@
@capture@|@presa@
@card@|@scheda@
@care@|@avvertenza, impegno, premura, sollecitudine@
@career@|@via@
@careful@|@avveduto@
@carefully@|@piano@
@carried (past part. of portare)@|@portato@
@carried out@|@svolto@
@carrying out@|@attuazione, esplicazione, realizazzione, svolgimento@
@casually@|@sportivamente@
@catastrophe@|@sventura@
@catch@|@piglio@
@catching@|@presa@
@catechism@|@dottrina@
@categorical@|@impositivo@
@cathedral@|@duomo@
@cause@|@colpevole, fonte, sorgente@
@cause (fonte- germe- origine- provenienza- sorgente)@|@principio@
@caution@|@ammonimento, avvertenza@
@cautious@|@avveduto@
@cautiousness@|@cautela@
@cavalry@|@cavalleria@
@cavern@|@grotta@
@cease-fire@|@tregua@
@censer@|@turibolo@
@center@|@mezzo, sede@
@certain@|@certo, inequivocabile, taluno@
@certainly@|@certo, senz'altro@
@certainty@|@certezza, sicurezza@
@certificate@|@attestato@
@chair@|@sedia@
@champion@|@soldato@
@chance@|@agio, destro, modo, prospettiva, sorte, ventura@
@change@|@novità, rivolgimento, svolta@
@change of mind@|@pentimento@
@changeable@|@mutevole@
@channel@|@condotto, uscita@
@chant@|@canto@
@character@|@animo, indole, tizio, tomo@
@characteristic@|@cifra, proprietà@
@charge@|@diritto@
@charged@|@carico@
@charged to@|@a carico di@
@charitable@|@pio@
@charm@|@fascino, invito, vezzo@
@charm (past part. of sorridere)@|@sorriso@
@charming@|@affascinante, avvincente, incantevole@
@chart@|@scheda@
@chaste@|@casto, puro@
@chastely@|@castamente@
@cheap@|@conveniente@
@check@|@riscontro@
@checkable@|@riscontrabile@
@cheerful@|@geniale, lieto@
@chief town@|@capoluogo@
@child@|@fanciullo@
@chorus@|@coro@
@church@|@tempio@
@cinder@|@cenere@
@circle@|@ambiente, sfera@
@circle (portata- sfera)@|@ambito@
@claim@|@richiesta, ricorso@
@claimed@|@preteso@
@clairvoyant (indovino)@|@veggente@
@class@|@stile@
@classic@|@capolavoro@
@classification@|@inquadramento@
@clear@|@chiaro, inequivocabile, limpido, palese, patente, piano, puro@
@clearance@|@agio@
@clearness@|@evidenza@
@clever@|@abile, avveduto, furbo, geniale, valente@
@clever at@|@destro@
@cliff@|@balzo, roccia@
@climax@|@stretta@
@cloak@|@manto@
@cloistered life@|@clausura@
@close@|@appresso, chiusura, clausola, prossimo, scorcio, stretto, termine, vicino@
@close at hand@|@presso, vicino@
@close to (vicino a)@|@nei dintorni@
@closed@|@serrato@
@closely knit@|@serrato@
@closeness@|@aderenza, vicinanza@
@closing@|@chiusura@
@clout@|@potere@
@clue@|@indizio, pista@
@clumsy@|@impacciato, impedito@
@cluster@|@aggregato@
@coarse@|@volgare@
@coat@|@manto, stesura@
@code@|@cifra, ordinamento@
@coexistence@|@convivenza@
@coherent@|@coerente@
@collaborator@|@coadiuvante@
@collect@|@colletta@
@collected@|@raccolto@
@collection@|@aggregazione, collana, complesso, raccolta, ritiro@
@collection of letters@|@epistolario@
@collision@|@impatto, incontro, scontro@
@combination@|@accostamento, assieme, incrocio, insieme@
@combined@|@congiunto@
@come in@|@avanti@
@come on!@|@via@
@comfort@|@agio, rifugio, sollievo@
@comfortable@|@agevole, comodo@
@coming@|@avvento, venturo, vicino@
@command@|@precetto@
@commanding@|@imperativo, imponente@
@commendation@|@lode@
@comment@|@appunto, battuta, constatazione, rilievo@
@commentary@|@commento@
@commission@|@comitato@
@commitment@|@impegno@
@committed@|@impegnato@
@committee@|@giunta@
@common@|@corrente, qualsiasi, qualsivoglia, volgare@
@common (qualsiasi- qualsivoglia)@|@qualunque@
@commotion@|@fermento@
@company@|@impresa@
@comparable@|@confrontabile, paragonabile@
@comparable (riscontrabile)@|@riscontrabile@
@compared to@|@rispetto a@
@compared with@|@in confronto a, verso@
@comparison@|@accostamento, rapporto@
@compassion@|@pietà@
@compatability@|@associabilità@
@compelled@|@stretto@
@compelling@|@impegnativo@
@competing@|@rivale@
@competitive@|@agonistico@
@competitor@|@rivale@
@compiling@|@redazione@
@complementing@|@appositivo@
@complete@|@esauriente, incondizionato, intero@
@completed@|@compiuto@
@completely@|@compiutamente, interamente@
@completeness@|@finitezza, pienezza@
@completing@|@appositivo@
@completion@|@compimento@
@complex@|@involuto@
@complicated@|@involuto@
@component@|@componente@
@composed@|@composto@
@composition@|@tema@
@comprehensible@|@afferrabile@
@comprehensive@|@esauriente@
@comprised@|@compreso@
@compulsion@|@coazione@
@comrad@|@fratello@
@concealed (celato- coperto) (past part. of nascondere)@|@nascosto@
@concealed (coperto- nascosto)@|@celato@
@conceit@|@presunzione@
@conception@|@concetto@
@concern@|@impresa, pensiero, premura, sollecitudine@
@concerning@|@circa, inerente, riguardante@
@conclusion@|@compimento, epilogo, fine, somma@
@concomitant@|@concomitante@
@concord@|@concordanza@
@conculsion@|@fine@
@concurrent@|@concorrente@
@condensed@|@ristretto@
@condition@|@clausola, modalità, patto, presupposto, stato@
@conduct@|@gestione@
@conduct (condotta)@|@comportamento@
@conductor@|@conduttore@
@conference@|@seminario@
@confidence@|@fiducia, sicurezza@
@confined@|@ristretto@
@confirmation@|@comprova, riscontro@
@conflict@|@spaccatura, urto@
@conflicting@|@contrastante@
@confrontation@|@confronto, contrapposizione@
@confronted by@|@di fronte a@
@confusion@|@disordine, sconvolgimento, vergonia@
@congruent@|@congruo@
@connected@|@collegato, congiunto, inserito@
@connected (collegato- congiunto)@|@legato@
@connection@|@aggancio, apparentamento, legame, nesso@
@connection (aggancio- collegamento- legame- nesso- raccordo- vincolo)@|@rapporto@
@connoisseur@|@conoscitore@
@conquest@|@sottomissione@
@conscientiousness@|@coscienza@
@conscious@|@cosciente@
@conscious of@|@consapevole@
@consciousness@|@conoscenza, coscienza, sentimento@
@consecrated@|@sacro@
@consecutive@|@successivo@
@consent@|@assenso@
@consent (intesa)@|@accordo@
@consequence@|@risultato@
@conservation@|@risparmio@
@conservative party (ex: in politics)@|@destra@
@considerable@|@notevole, significativo@
@consideration@|@premura, valutazione@
@considering that@|@premesso che@
@consistency@|@coerenza@
@consistency (concordia)@|@concordanza@
@consistent@|@coerente@
@conspicuous@|@appariscente@
@conspiracy@|@trama@
@constituent@|@componente@
@constraint@|@coazione@
@constructive@|@propositivo@
@contact@|@collegamento@
@contact (collegamento- legame- nesso- raccordo- rapporto- vincolo)@|@aggancio@
@contacts@|@aderenza@
@containing a proposal@|@propositivo@
@contemptible@|@indegno, spregevole@
@contentment@|@appagamento@
@contest@|@confronto@
@contestant@|@concorrente@
@contiguous@|@contiguo@
@continence@|@continenza@
@contingency@|@imprevisto@
@contract@|@contratto, patto@
@contrary@|@contrapposto, opposto, opposto@
@contrast@|@antitesi, contrapposizione@
@contrasting@|@contrastante@
@contrition@|@pentimento@
@controversy@|@dibattito, polemica@
@convenient@|@adeguato, agevole, comodo@
@convenient (past part. of appropriarsi)@|@appropriato@
@convention in the sense of custom and also as a political convention or meeting.@|@convenzione@
@conversation partner@|@interlocutore@
@convinced@|@convinto@
@convoluted@|@involuto@
@convulsion@|@parossismo@
@cooperating@|@coadiuvante@
@copulation@|@congiungimento@
@core@|@midollo@
@corner@|@canto, svolta@
@correct@|@retto@
@correctly@|@rettamente@
@correspondence@|@epistolario, riscontro@
@correspondent@|@inviato@
@corrupt@|@marcio, mezzo@
@corruption@|@marcio@
@cosigner@|@mittente@
@costume@|@costume@
@could@|@potere@
@council@|@comitato, consiglio, giunta@
@counselor@|@consigliere@
@count@|@conto@
@countenance@|@viso, volto@
@counter@|@banco@
@country-side@|@campagna@
@couple@|@binomio, paio@
@courage@|@valore@
@courageous@|@valente@
@course@|@circuito, indirizzo, parabola, percorso, procedimento, processo, rotta@
@course (of events or years)@|@volgere@
@course of action@|@da farsi, rotta@
@court of law@|@tribunale@
@courtesy@|@civiltà@
@covenant@|@convenzione@
@cover@|@cappello@
@coveted@|@ambito@
@covetousness@|@cupidigia@
@cowardly act@|@viltà@
@crack@|@spaccatura@
@craftsman@|@artefice@
@crafty person@|@dritto@
@crammed with@|@fitto@
@cramped@|@stretto@
@crash@|@scoppio@
@craving@|@brama@
@crease@|@piega@
@credibility@|@attendibilità@
@credible@|@verosimile@
@credit@|@vanto@
@creed@|@culto@
@criminal@|@malfattore@
@cripple@|@zoppo@
@critical moment@|@stretta@
@criticism@|@appunto, rilievo@
@crop@|@annata@
@cross@|@trasversale@
@crossing (cammino- percorso)@|@tragitto@
@cross-reference@|@rimando, rinvio@
@crowd@|@esercito, fitta, gregge, massa, pressa@
@crowded@|@affollato@
@crucial@|@vitale@
@cruel@|@empio@
@crush@|@stretta@
@crushed stone@|@breccia@
@cry@|@richiamo, verso@
@cuff@|@risvolto@
@cultivated@|@colto@
@culture@|@civiltà@
@cunning@|@furbo, sottile@
@cunning person@|@gancio@
@cupidity (avarizia- brama- gola- ingordigia)@|@cupidigia@
@cure@|@cura, guarigione, ricetta, rimedio@
@current@|@corrente, filone, stante@
@curse@|@bestemmia@
@curt@|@asciutto@
@curtailed@|@ridotto@
@cushy job@|@mangiatoia@
@custom@|@abitudine, moda, norma, regola, uso@
@custom (abitudine- consuetudine- norma- prassi- regola- uso)@|@consueto@
@customary@|@abituale, consueto, solito@
@cutback@|@ridimensionamento@
@cycle@|@vicenda@
@daily@|@quotidiano@
@damage@|@pregiudizio@
@damned@|@maledetto@
@danger@|@azzardo, rischio@
@daring@|@spinto@
@dark@|@oscuro, tenebre@
@dark (past part. of celare)@|@celato@
@darkness@|@buio, caligine@
@date@|@termine@
@datum@|@riferimento@
@dawning@|@spuntare@
@day@|@ricorrenza@
@daybreak@|@alba@
@dead body@|@cadavere@
@dead person@|@scomparso@
@dealt with@|@svolto@
@dearest@|@prediletto@
@death@|@fine, scomparsa@
@debatable@|@discutibile, preteso@
@debut@|@esordio@
@deceased (past part. of scomparire)@|@scomparso@
@deceit@|@dolo, trucco@
@deceitful@|@doppio, finto, traditore@
@deceitfully@|@doppio@
@deceitfulness@|@finzione@
@decency@|@onestà@
@decent@|@a posto, dicevole@
@deception@|@inganno, trucco@
@decision@|@passo, sentenza@
@declaration@|@attestazione, dichiarazione@
@decline@|@decadenza, tramonto@
@dedicated@|@sacro@
@deed@|@atto, contratto, gesto@
@deed (assunto- impegno- incarico)@|@impresa@
@deep@|@incisivo, profondo@
@deep-rooted@|@radicato@
@deep-rooted (radicato)@|@profondo@
@deep-seated (profondo)@|@radicato@
@defaced (past part. of sfigurare)@|@sfigurato@
@defamation@|@calunnia@
@defeated@|@sconfitto@
@defeated (past part. of battere)@|@battuto@
@defect@|@vizio@
@defender@|@soldato@
@defense@|@scudo, tutela@
@defenseless@|@inerme@
@defenseless (inerme)@|@indifeso@
@deferment@|@rinvio@
@defiance@|@sfida@
@deficiency@|@carenza@
@deficient@|@carente@
@deficit@|@perdita@
@definite@|@certo@
@definitely@|@senz'altro@
@definition@|@impostazione@
@dejected@|@abbatutto@
@delay@|@rinvio@
@delayed@|@sospeso@
@deliberate@|@cosciente, volontario@
@deliberately (appositamente)@|@apposta@
@deliberately (apposta)@|@appositamente@
@delicate@|@fino, morbido@
@delight@|@estasi, gioia@
@delightful@|@incantevole@
@Delphic@|@delfico@
@delusion@|@inganno@
@demand@|@pretesa, ricerca, richiesta@
@demanded@|@preteso@
@demanding@|@esigente, impegnativo@
@demise@|@scomparsa@
@denomination@|@taglio@
@dense@|@fitto, spesso@
@departure@|@allontanamento@
@dependable@|@affidabile, attendibile, fidato@
@dependence@|@fiducia@
@dependent on@|@a carico di@
@depicted@|@ritratto@
@depressed@|@giù@
@depressed (past part. of sconfortare)@|@sconfortato@
@depressing@|@sconfortante@
@deprived of@|@privato@
@depth@|@spessore@
@depths@|@piega, profondo@
@deranged@|@sconvolto@
@derangement of mind@|@accecamento@
@descendent@|@epigono@
@descent@|@calata, stirpe@
@description@|@quadro, ritratto@
@deserving@|@degno@
@design@|@concetto, piano, progettazione, scopo@
@designed to@|@inteso@
@desire@|@voglia@
@despicable@|@spregevole@
@despite@|@malgrado@
@despite (ciononostante- malgrado- nondimento- tuttavia)@|@nonostante@
@destitution@|@indigenza@
@determination@|@fermezza@
@detriment@|@pregiudizio, scapito@
@devastated@|@affranto@
@devastating@|@sconvolgente@
@developed@|@svolto@
@development@|@ampliamento@
@deviation@|@allontanamento@
@device (past part. of ritrovare)@|@ritrovato@
@devoid of@|@vouto@
@devoted  (past part. of dare)@|@dato@
@devoted to (past part. of volgere)@|@volto@
@devotion@|@pietà@
@devout@|@pio@
@devoutly@|@santamente@
@diagonal@|@trasversale@
@diamonds@|@oro@
@dictionary@|@lessico@
@dietary@|@alimentare@
@difference@|@divergenza@
@different@|@altro, dispari@
@different (a prescindere da- a prescindendo da)@|@a parte@
@different from@|@difforme@
@difficult@|@faticoso, travagliato@
@difficult situation@|@stretta@
@difficulty@|@fatica, imbarazzo@
@diffused@|@diffuso@
@digit@|@cifra@
@dignified (past part. of comporre)@|@composto@
@diligence@|@impegno, sollecitudine@
@dim@|@basso@
@dimly@|@vagamente@
@dimness@|@caligine@
@dining hall@|@mensa@
@dining table@|@mangiatoia@
@diplomacy@|@politica@
@direct@|@diretto@
@directed to@|@volto@
@direction@|@disposizione, gestione, indirizzo, norma, orientamento, rotta, senso, verso, volta@
@directly@|@addirittura@
@disabled@|@impedito@
@disagreement@|@divergenza@
@disappointed@|@scontento@
@disappointments@|@amarezza@
@discharge@|@commiato@
@disclosure@|@svelamento@
@discomfort@|@disagio@
@disconcertment@|@sconcerto@
@disconnected@|@slegato@
@discontent@|@scontento@
@discouraged@|@sconfortato, scoraggiato@
@discouraging@|@sconfortante@
@discoverable@|@riscontrabile@
@discovery@|@rinvenimento@
@discovery (rinvenimento- ritrovato- scoperta)@|@riscontro@
@discretion@|@arbitrio@
@discussion@|@dibattito@
@disdain@|@disprezzo@
@disease@|@malattia@
@disfigured@|@sfigurato@
@disgrace@|@vergonia@
@disgraceful@|@vergognoso@
@disguise@|@manto@
@disguised@|@truccato@
@dish@|@piatto@
@disheartened@|@sconfortato@
@disheartened (past part. of scoraggiare)@|@scoraggiato@
@disheartening@|@sconfortante@
@dishonor@|@vergonia@
@disinterested@|@oblativo@
@disinterestedness@|@disinteresse@
@dislike@|@antipatia@
@disliked@|@inviso@
@disloyalty@|@tradimento@
@dismissal@|@allontanamento, commiato@
@disorder@|@sconvolgimento@
@disorderly retreat@|@rotta@
@displacement@|@spostamento@
@displayed@|@esposto@
@displeased@|@scontento@
@disposed@|@disposto, portato@
@disposition@|@animo, dispositivo, indole, ordinamento, propensione, vena@
@dispute@|@dibattito, lotta, piato, polemica@
@disregard@|@disinteresse, disprezzo@
@disruption@|@sconvolgimento@
@dissention@|@attrito@
@dissertation@|@tesi@
@dissimilar@|@diverso@
@dissimilar to@|@difforme@
@dissolved@|@sciolto@
@distance@|@misura@
@distance (cammino- tragitto)@|@percorso@
@distant@|@assente, ultimo@
@distinct@|@a sé stante, diverso@
@distinguished@|@eminente@
@distorted@|@sfigurato@
@distress@|@angoscia@
@distressing@|@angoscioso@
@disturbance@|@rivolgimento@
@disturbed@|@sconvolto@
@disturbing@|@inquietante, sconvolgente@
@ditch@|@fossa@
@diverse@|@variegato@
@diversified@|@variegato@
@dividing line@|@frontiera@
@divinizer@|@indovino@
@division@|@serie@
@docile@|@mansueto@
@doctrine@|@pensiero@
@dominance@|@egemonia@
@domination@|@signoria@
@domination (balia- potestà)@|@potere@
@domineering@|@prepotente@
@domineering attitude@|@prepotenza@
@done@|@compiuto@
@doorway@|@ingresso@
@doubious@|@preteso@
@doubtful@|@discutibile, equivoco, incerto, sospeso@
@down@|@giù, sotto@
@down there@|@laggiù, quaggiù@
@downcast@|@abbatutto@
@downfall@|@rovina@
@down-payment@|@caparra@
@downpour@|@diluvio@
@downsizing@|@ridimensionamento@
@downstairs@|@giù@
@draft@|@redazione, stesura@
@drafting@|@redazione@
@dreadful@|@tremendo@
@dream@|@favola@
@dress@|@costume@
@drill@|@addestramento@
@drive@|@carica, impulso@
@driven@|@indotto, ridotto, spinto, stretto@
@driven back@|@respinto@
@drop@|@calata, dicesa, discesa, lacrima@
@dropping@|@sganciamento@
@drug@|@farmaco@
@dual@|@doppio@
@dubious@|@incerto@
@due@|@doveroso, dovuto@
@dull@|@piatto, sordo@
@duplicity@|@finzione@
@durable@|@duraturo@
@during@|@lungo, sotto@
@duty@|@imposta, taglia@
@dynamic@|@vitale@
@each@|@ciascheduno, ciascuno@
@each one@|@ognuno@
@each other@|@a vicenda@
@each person (ciascheduno)@|@ciascuno@
@each person (ciascuno)@|@ciascheduno@
@each time@|@di volta in volta@
@eager anticipation@|@pregustazione@
@eager for@|@bramoso@
@eagerness@|@sollecitudine@
@earlier@|@precedente@
@earned (past part. of ricavare)@|@ricavato@
@earnings@|@profitto@
@earth@|@massa, suolo@
@earthly@|@mondano@
@earthquake (terremoto)@|@sisma@
@easy@|@agevole, sciolto@
@easy to grasp@|@afferrabile@
@edge@|@filo, sponda, taglio@
@edited by@|@a cura di@
@editing@|@redazione@
@editorial@|@redazionale@
@education@|@insegnamento@
