@English@|@Nauruan@
@fraud@|@ebaite, etsietsio, iqui@
@free@|@emeneñame@
@freeze@|@mwamwe@
@fresh@|@egaramwamwe@
@fresh water@|@ebõg@
@friend@|@aranon, dañan@
@frigate bird competition@|@ibbon itsi@
@frigate bird with good voice@|@ekeng@
@frighten@|@ùrida@
@from@|@atsin, atsin ean, atsiu, ian obwen, tsinin@
@from there@|@ino@
@frontier@|@akowòñ it eb@
@frugal@|@eò teiji@
@fruit@|@iqua, quan, quat imin erò@
@fruitful@|@aduqua@
@full@|@marang, okwen, oquen@
@fur@|@ewewet imin gògòrò, witsit imin gògòrò@
@fury@|@damadam, eigirow@
@gable@|@ramat ewak@
@gain@|@ekamarùmwi@
@gall@|@adsin@
@game@|@bagu-bagu, ekaramwen, irerobo, karawa, okwetuberini@
@game with pandanus fruit hitting@|@ekabararo@
@gap@|@gadetsin, ijùb@
@garden@|@etañ in kiâò, etangin-kyeo@
@garment@|@ekarawin@
@gate@|@met ewak@
@gateway@|@met ewak@
@gather@|@òepoi@
@gender@|@deden, eòrin@
@general@|@mònibait amen ake@
@genitals@|@gadûkùrañ, maiùr@
@Gentile@|@amet taramawirei eani@
@gentle@|@emeroro, eò quinòñòk@
@get@|@eruwei, òni, otoruwei@
@get up@|@eogoda, irida@
@ghost@|@anin, eani@
@giddiness@|@etsietsio@
@giddiness (causing)@|@tsietsio@
@gift@|@eadu@
@girl@|@eoniñ in ân, eoning-in-en@
@girl in legend@|@Eyouwit@
@give@|@aduei, idon, oija@
@give share@|@buòk@
@give to@|@te ei etotow@
@give up@|@denigae, eatow@
@giver@|@amen oija, amen totow@
@glad@|@idorodoro@
@gladness@|@idorodoro@
@gland@|@eaga@
@glass@|@glas@
@glasses@|@bairatsi it eme@
@glean@|@ji, jida@
@globe@|@epengato@
@gloom@|@itùrùgago@
@gloomy@|@itùr@
@glorify@|@òraitsit, tsitan@
@glory@|@dagan, eraitsit@
@gloss@|@eraitsit, eramaramin@
@glue@|@ereribe@
@glue from tamano tree for canoe building@|@erebeniu@
@gnaw@|@rañarañi@
@go@|@dûgidugo@
@go (anywhere)@|@naña, ñow@
@go away@|@nuawen@
@go to sleep@|@mimika@
@goat@|@ekaun@
@goblet@|@cap, iwùr@
@god@|@aduwen@
@God@|@Gott@
@good@|@omo, omotañitañ@
@Good Friday@|@an bùm in ima jesu@
@Goodbye@|@Tarawong (ka)@
@goodness@|@emo@
@gout@|@erereòda@
@government@|@ñabüna temoniba@
@governor@|@temoniba@
@grace@|@eauwàtegen, equed@
@gracious@|@oqued@
@grandeur@|@eraitsit@
@grandfather in legend@|@Agar@
@grandson@|@ibwin@
@grass@|@ibugibugi, ibügibügi@
@grass skirt@|@ridi@
@grave@|@ijùb in ima@
@gravel@|@eñe@
@grease@|@epat@
@great barracuda@|@etaro@
@greedy@|@teiji@
@green@|@aditur@
@greet@|@kamawirei@
@grey filefish@|@ipwo@
@grief@|@eroe, imwijiña@
@grind@|@araròn, kararò@
@groan@|@ekenano n maga@
@grotto@|@eraò@
@grow@|@erö, òñabeda, wei@
@grow up@|@òñabeda@
@guarantee@|@egato@
@guard@|@ober, oberei, raña@
@guessing game@|@tawenibiter@
@guide@|@eow, onuaiw@
@guilt@|@idùra@
@gun@|@egato, ekanen@
@gypsum@|@erobu@
@habit@|@deden@
@haft@|@iwit eta@
@hair@|@iret-itub, iret itûb@
@half@|@emaen@
@hammer@|@amar@
@hammerhead shark@|@egop@
@hand@|@ebe, reret ebe@
@hand (his)@|@ben@
@hand net@|@kibiyong@
@hand-fish@|@iudud@
@handle@|@iwit eta@
@hang@|@ereribe, karamwai@
@hang oneself@|@quòr teren@
@happiness@|@itsimor ñea eko tokin@
@happy@|@ebibogi, idorodoro@
@harbor@|@ega@
@hard@|@enaoeoe, òaio@
@hard luck@|@erebenijo@
@hardly@|@enij@
@hardness@|@eòaio@
@hardship@|@eòaio@
@harlotry@|@ite toreda@
@harvest@|@ineded@
@hat@|@dòbaranimatañ, dobaranimedang@
@hatch@|@babweji@
@hate@|@añañòn, miowi@
@hatred@|@eañ@
@haughtiness@|@gatsitsi, owaroñen@
@haunch@|@onan@
@have@|@etsimine@
@he@|@aita, ei@
@he has died@|@e man@
@head@|@itub, itùb (tùbwin), itüeb, tubwin@
@heal@|@òtsimor@
@health@|@emawir, etsimor@
@healthy@|@eò-ma@
@heart@|@idiruko@
@heath(er)@|@etomagage@
@heathen@|@amet taramawirei eani@
@heave@|@òPe@
@Heaven@|@Ianweron@
@heavy@|@eroe, roe@
@heed@|@oberei, raña@
@heel@|@rùbògit `ana@
@height@|@godaûn@
@heir@|@amen Pijen eb@
@hell@|@gehenna@
@helm@|@ekaeded, ePeduwa@
@help@|@ipuòk@
@helper@|@amen buok@
@hem@|@jimen@
@hen@|@domo àn@
@here@|@ine@
@hereafter@|@imùr@
@hermit crab fishing@|@tuwin eram eom@
@hero@|@amen eò mañijùñij@
@hibiscus (wild)@|@ekwane@
@hide@|@ewewin, witsit imin gògòrò@
@hide hands@|@ewewin bem@
@high@|@ogoda@
@highest tribal rank@|@temonibe@
@hill@|@etòwedùdù, ewadudu@
@hinder@|@dug, rewin@
@his mother@|@innen@
@history@|@ekadaedaenigawae, eotoroñab@
@hit@|@abi, ira, irer@
@hoarse@|@òmwijow anoren@
@hold@|@babweji, barü, ôgòg@
@hold from@|@àwen@
@hole@|@gadetsin, ijùb, iyub@
@holy@|@ebwigaga, edereder@
@Holy Communion@|@an kadaro temoniba@
@home@|@übwien@
@home (at)@|@übwien@
@homely@|@eò nùñida, ewewin@
@honest@|@edobweduwen, eò mañijùnij, eò miow@
@honeycomb sea bass@|@iwuro@
@honor@|@eredu@
@hood@|@cap@
@hook (shark)@|@eoe n bawo@
@hook (trolling)@|@eoe n tsibab@
@hook and coconut shell float@|@debu@
@hope@|@itob@
@hopping game@|@egabwiter@
@horn@|@dobu, oin@
@hospital@|@ewak in arak@
@hot@|@kiniyow, òkûñijow@
@house@|@ewag, ewak@
@how@|@oten, ôten@
@how many?@|@oten ebakin?@
@how much@|@âgen@
@how much?@|@oten ngaben?@
@how?@|@eten@
@howl@|@eòñ@
@human@|@eñame@
@human being@|@eñame@
@humble@|@eijòñ, eô quinòñòk@
@humiliate@|@ôijòñ@
@humility@|@eô-quinòñòk@
@hunch-backed@|@òkeno-rin@
@hundredweight@|@aibu epaun@
@hunger@|@emetùr@
@hungry@|@metur@
@hurricane@|@eñin òaio@
@hurry@|@kapapar@
@husband@|@agen, aget àn@
@hut@|@ewak kadudu@
@hymn@|@iriañ it taramawir@
@hypocrite@|@amen tsitsino@
@I@|@a, à, aña@
@I catch it with a loop@|@dabwimiem@
@I feed them@|@aoyoyin@
@I make noise@|@aonanak@
@idle chatter@|@wibaò@
@idol@|@eani, ijor in ani@
@idol worshiper@|@amen adorei tamnei@
@if@|@ia, ie, iò, tsin ia, tsin ya@
@ill@|@arak, ema@
@ill luck@|@egatùrae@
@illness@|@earak@
@image@|@iyor in ani@
@imitate@|@gar, kar@
@imitator@|@amen kar@
@immature@|@eò-mer@
@immolate@|@wimei@
@impatience@|@eò kona ijet ibùriò@
@impede@|@dug, rewin@
@implore@|@egegae, kòñòñ@
@important@|@kababaite@
@impossible@|@eô-kona@
@impotency@|@egòb@
@improve@|@òòmo@
@impudent@|@eò maiür, kamamado@
@in@|@animwen, atsiu, ean, ewewin, ewewin, i, ian, yan@
@in .. that@|@ñaga@
@in advance@|@ian obwen, ñago amo@
@in front@|@amo, ian obwen@
@in such a manner@|@ùga@
@incite@|@demedeme@
@inciter@|@amen etemedem@
@increase@|@òebak@
@incredulous@|@kamwarar@
@indolent@|@kenañanañ@
@infamy@|@egadükùrañ, emaiùr, ibaka@
@inflate@|@gatsitsi, jiw@
@ingratitude@|@eò-tùba@
@inland@|@poe@
@in-law@|@iyiben@
@inn@|@ewak in ratequò@
@innocence@|@eò-dùra@
@inquiry@|@ekom@
@insane@|@dairinaija, dùra, per@
@inside@|@ean, ian@
@insipid@|@enòùga@
@insist@|@enenei, owañada@
@insolent@|@eò maiür, kamamado@
@inspection@|@eober@
@instigation@|@etemedem@
@instruct@|@wereri@
@instruction@|@ekereri@
@instructor@|@amen kereri@
@intelligent@|@òka, òman@
@intercessor@|@amen egegae, amen eten@
@interpret@|@kait añòg@
@interpreter@|@amen kait añòg@
@intestines@|@iburio, ibùriò@
@into@|@i, ian, ramwedu@
@intoxicating@|@dairinaija@
@iron@|@aânei@
@itch@|@gòmògòm@
@jail@|@karabutsi, karabutsiei@
@jealous@|@añ@
@jealousy@|@eañ@
@jeer@|@owidu@
@jest@|@eôrei eñögen karamwen@
@joke@|@eôrei eñögen karamwen@
@jolly@|@idorodoro@
@judge@|@amen ekòm@
@jump@|@gòrò, waweta@
@keel@|@irùeb@
@keep@|@òñañat, raña@
@kennel@|@eñat imin gògòrò@
@key@|@kiñ@
@kidney@|@apen-wekañ@
@kill@|@abab, abi@
@kind@|@deden, eòrin, eôrin@
@kind of clothes?@|@pareo@
@kind of etangat@|@debonara, eiaebongo, erarr@
@kind of fishing with net@|@kariyida@
@kind of fruit@|@eweayo@
@kind of plant@|@deneno@
@kind of plant or tree with fruit@|@emet@
@kind of tree@|@eteweyeyo@
@kind of woven coconut leaf belt@|@edena@
@kindle@|@òPieij@
@kindness@|@eauwàtegen, emo, equed@
@king angelfish@|@kimago@
@kiss@|@eagu eme, kuss, kussei@
@kitchen@|@ewak in kuk@
@kite@|@edawidawo@
@knee@|@iburenana@
@kneel@|@otoburen@
@knife@|@debitsi@
@knock@|@ònak, ònakanak@
@knock at@|@ônanak@
@knot@|@eabio, egato-kumododo, ime@
@know@|@animion, atsied, oijuwòñ, tsiet@
@knowledge@|@isitsiet@
@knuckle bones game@|@eketa@
@lad@|@eoniñ in eman@
@ladder@|@dògaide@
@lagoon white-tipped shark@|@ebawo kumu@
@lake@|@ibia, ijited@
@lamb@|@ñait shafe@
@lame@|@òrañ@
@lamentation@|@imwijiña, karaququò@
@lamp@|@deram, lampe@
@lance@|@ekado@
@land@|@eb@
@lane@|@emedena oroeò@
@language@|@edorer, ekakairù@
@large darar@|@edokwae@
@large tamano fishhook for big fish@|@eoenaru@
@largest part of tribe@|@amenangame@
@last@|@magin@
@laugh@|@idòdò@
@law@|@edogor@
@lawn@|@etañ in bùgibûgi@
@lay@|@ñaeow@
@lazy@|@kenañanañ@
@lead@|@eow, onuaiw@
@leader@|@amen eow, itùb (tùbwin), temoniba@
@leaf@|@ren, ret imin erô@
@leaf and branch cure nwirara@|@amoye@
@leak@|@kanaeoei, ôkae@
@lean@|@àwen, ijijimò, neròn@
@leap@|@gòrò, waweta@
@learn@|@kereri@
@learned@|@òka, òman@
@leather@|@witsit imin gògòrò@
@left@|@edamauw@
@left (hand)@|@ebe edamau@
@leg@|@eana, enana, nanan@
@legend@|@Amweb, Baguewa, Dabague, Eyouwout, Gamodogodug@
@legend of disaster through dirtiness@|@Ieru@
@legend with medicinal plants and perfumes@|@Edibanono@
@legend: husband...@|@Gamodogug@
@length@|@araquin@
@leprosy@|@erepa@
@lesson@|@ekereri@
@let in@|@òmeatu, òramatu@
@letter@|@brief, reta@
@liar@|@amen tabaite@
@liberate@|@eatsida, òmeneñame@
@lick@|@kanaeoei, ôkae@
@lick up@|@kanoeoei@
@lid@|@bôñeàn@
@lie@|@ebaite@
@lie dormant@|@mijimi@
@lie in wait@|@ôquòqua@
@life@|@itsimor@
@lift@|@òbüida@
@light@|@bebe, eaò, ôeaô, òPieij@
@Light@|@Iao@
@light (weight)@|@bebe, emeroro@
@lightning@|@eitsin, oitsin@
@liked@|@â-auwà@
@lily@|@dògiòbu@
@limb@|@baibait dòrabat@
@lime@|@erobu@
@line@|@eanakeba, ereò@
@lip@|@baten, ebate@
@listen@|@kaiòt, weijòn@
@little@|@aigetow, eken, oniñ@
@little better bait@|@eroken@
@little box@|@batsi kadudu@
@little hut for pubescent girl@|@etoko@
@little tuna@|@eae@
@live@|@meken@
@lively@|@marûm@
@liver@|@aân, aen@
@lizard@|@dagogonun@
@load@|@emwemwin, emwin, uwadan@
@lock@|@erak, tsima, wei@
@lock up@|@karabutsiei, rakei, wei@
@long@|@eraque, eraquò, rakwo@
@long net@|@eboko@
@long stick for ekeng@|@enongairis@
@long-horned unicornfish@|@kiyoyo@
@look to see fish@|@emeden@
@loop@|@abio@
@looped rope for catching egow@|@imiem@
@lose@|@eatow@
@louse@|@iwi@
@love@|@auwà, eauwà, eauwauwà, ebon@
@lovely@|@edabùg, omotañitañ@
@low@|@eijòñ@
@lowest class of itsio@|@itsiora@
@lowest rank of tribe@|@itsio@
@loyal@|@edòbweduwen@
@luck@|@egeidawianaw@
@lung@|@àtsiw@
@lung (his)@|@eaquin@
@lungs@|@etsiw@
@lust@|@òñaueme@
@luster@|@eraitsit, eramaramin@
@mackerel scad@|@ikuri@
@mad@|@dairinaija@
@magic word for ball game@|@kabriyeye@
@magician@|@itsibemin@
@maid@|@itsiò n ân@
@make@|@ekeòweò@
@maker@|@amen ririñ@
@male child@|@eoniñ in eman@
@male frigate@|@imarerr@
@man@|@eman@
@man (young)@|@eoniñ in eman@
@man who removes birds from net...@|@kwodot@
@manifest@|@òmeata@
@manifestation@|@âomeata@
@manner@|@aren, deden@
@manners@|@earen@
@manor@|@erak@
@manufacture@|@ririñ@
@many a@|@ibùn, inou@
@many a one@|@ibùn, inou@
@map@|@ekorob@
@marble game@|@konobo@
@marbled sea bass@|@kaweudo@
@mark@|@òañat-erò@
@market(-place)@|@etañ in erow@
@market-town@|@etañmek, tekawa@
@marriage@|@emere, ijad, mere@
@marry@|@ijad, mere@
@mast@|@deneañ@
@mat@|@itubwer@
@mat for pubescent girl in etoko@|@yoni@
@meager@|@neròn@
@meal@|@ijeiji@
@mean@|@ebaka@
@meantime@|@ñaga@
@meanwhile@|@ñaga@
@measure@|@ekeòweò, keòweòei@
@measurer@|@amen keòweò@
@meat@|@duwen, duwet imin@
@medicine@|@ekògòmwe@
@meet@|@ekowòñ@
@melted fat@|@epat@
@member@|@baibait dòrabat@
@memory@|@eòmaran@
@mend@|@ñatarei@
@men's house@|@an wag eman@
@menstruation@|@megopoe@
@mention (in honor)@|@òmarau@
@merchandise@|@imin bait erow@
@merchant@|@amen erow@
@merciful@|@auwàtegen, kananoañ, oqued@
@mercy@|@eauwàtegen, equed@
@mere@|@eko bòñeàt duwen@
@merely@|@ta, te, ti, to, tu@
@merit@|@ekamarùmwi@
@mid-day@|@eaquò@
@middle@|@ijugaga, yugaga@
@midnight@|@atugagan@
@might@|@eoaio, eòaio, òaio@
@mighty@|@òaio@
@mild@|@eò quinòñòk@
@milk@|@ikimwamwa@
@milkfish@|@ibiya@
@mill@|@araròn, kararò@
@million@|@araña erañan@
@mind@|@anin, ekamarar, ibùriò@
@mine@|@-a, -o, -u, aeò, ijùb, waña@
@mingle@|@kamararoei@
@mire@|@ebaubo@
@mirror@|@ekani@
@misery@|@imwijiña, karaququò@
@misfortune@|@egatùrae@
@miss@|@edûra, òPer@
@mix@|@kamararoei@
@mock@|@owidu@
@mockery@|@ekawiduemin@
@moderate@|@eò teiji@
@moderation@|@ekeòweò@
@modest@|@egadùkùrañ, emaiùr@
@moist@|@ào, eriare@
@money@|@monni@
@monstrous@|@ebaka, ebakogin@
@month@|@maraman@
@monthly@|@ean maramat aeoweaeow@
@moon@|@maraman, maramen@
@moon parrot fish@|@earamai@
@more@|@ijuw@
@morning@|@autsioran, ijoran, yoran@
@mosquito@|@demaninar, demaniner@
@mother@|@inen, inon@
@mother of pearl bonito hook@|@ekow@
@mountain@|@etowedudu, etowedüdû@
@mountain range@|@etowedüdû ie ebak@
@mourning@|@eroe, imwijiña@
@mouse@|@ikumododo@
@mouth@|@aanaquan, mwin, ñanaquan, nganakwan@
@move@|@memòri@
@much@|@ebak@
@mucus from the nose@|@ebôreri@
@mud@|@ebaubo@
@mule@|@ñanaquan@
@multi-colored triggerfish@|@kumum@
@multiple fish hooks for deep sea fishing@|@etangat@
@multiple hook@|@ekey@
@municipality@|@epo n ecclesia@
@murder@|@eabab ñame@
@murderer@|@amen abab ñame@
@musket@|@egato@
@muzzle@|@ñanaquan@
@myth@|@ekañae@
@nail@|@enear, ikwinana, ikwinibe, nearei@
@name@|@eg, egen@
@name: good girl@|@Enomo@
@narrow@|@oroeo, oroeò, oroeô@
@nation@|@eñame, eponñame@
@native place or country@|@übwieda@
@naughty@|@ebaka@
@navel@|@emenùbwi@
@navigate@|@kaededei@
@near@|@ean, eturen, etûren, itañin, itirurûn, itûrin, turen@
@neat@|@edereder@
@neck@|@iteren, teren@
@necklace@|@emwar@
@negro@|@ibùritaûañ@
@neighbor@|@aranon@
@nest@|@eika@
@net@|@earu, iw@
@net for ipo@|@ikwin ipo@
@net of coconut web@|@ijin@
@new@|@etsimeduw, tsimetsiw@
@newspaper@|@buk in mwinen@
@next one@|@aranon@
@next one (his)@|@dañan@
@next to@|@itañin, itirurûn@
@nibble@|@rañarañi@
@night@|@Anubumin, iò ôbùm, obum@
@nimble@|@epar, marûm@
@nine@|@ado@
@nine hundred@|@adawer@
@nineteen@|@ata ma ado@
@ninety@|@aduma, adumwa (aduma)@
@no@|@deo, deò ei, eab, ekeow, eko ion, eò, iòk@
@nobody@|@eko ion@
@noise for calling egow@|@eriran@
@noon@|@eaquò@
@noose@|@eabio, egato-kumododo, ime@
@nose@|@bodin@
@nose (his)@|@bodin (his)@
@not@|@eab, eò@
@not a@|@ekeow, eko ion@
@not any@|@ekeow, eko ion@
@not cooked@|@tame@
@not deep@|@neno@
@not married@|@eñame ñabùn eitsiôk ijad@
@not one@|@ekeow, eko ion@
@note down@|@òemai@
@nothing@|@ekeow, eko@
@nourish@|@òijòiji@
@nourishment@|@ijeiji@
@now@|@ñage, ngage@
@number@|@ebakin@
@nurse@|@raña@
@oar@|@ekaeded, epear, ePeduwa@
@oath@|@eñòg in schwör@
@obedient@|@etaraba@
@obey@|@edegeri, eraban@
@obligation@|@idùra@
@obliged (be)@|@enim, inan@
@oblique@|@epa, òkeno@
@obscene@|@ômwarere@
@obscenity@|@ibaka@
@obscure@|@itùr@
@obscurity@|@itùrùgago@
@obtuse@|@eg-mwin, eò eòkòñ@
@ocean@|@emago, ijited@
@ocean (directional)@|@iyited@
@Oceanic white-tipped shark@|@emarr@
@octopus@|@daguiga, dogiga@
@òeigirow@|@marùm@
@of@|@atsin, atsin ean, atsiu, tsinin@
@office@|@barùeneben, barûetebe@
@official@|@amen ekòm, temoniba@
@oil@|@eir, òbid@
@ointment@|@ekabit@
@old@|@enab, eñab, obwe, òbwe@
@old man@|@eñabarara@
@omen@|@òmeata@
@on@|@animwen, atsiu, ean@
@on account of@|@bwe dògin@
@on the right@|@edamarùm@
@on your behalf@|@bwe dògimià, bwe dögûm@
@once@|@aiwòrin, ewòrin@
@once again@|@gauwei@
@one@|@aikwen, aiquen, ion@
@one hundred@|@aibu@
@one hundred thousand@|@aibu erañan@
@one thousand@|@araña@
@onion@|@anien@
@only@|@ta, te, ti, to@
@open@|@baida@
@opening@|@gadetsin, ijùb@
@opponent@|@barùen@
@oppress@|@ijen@
@orange rock cod@|@eanepe@
@Orion's Belt@|@iyiy@
@orphan@|@eoniñ ñea ema etòñin mi inen@
@other@|@bita ion@
@our@|@ada, wòra@
@out of@|@atsin, atsin ean, tsinin@
@outrigger float@|@egam@
@outside@|@aton, iruwin@
@oven@|@eom@
@over@|@emagen, enuawen@
@overflow@|@eneñab@
@overseer@|@amen ober@
@owner of Gatoe channel@|@Degoya@
@ox@|@kuh eman@
@paddle tail snapper@|@iniame tebo@
@pagan@|@amet taramawirei eani@
@pain@|@emaga, maga@
@painful@|@mwijiña@
@painful sick@|@arak@
@paint@|@etar tamnei, òbit, rotumei, rotumei@
@painting@|@tamnei@
@pair@|@aro, ibùn, inon@
@pale@|@edabararoe@
@pan@|@brainpan@
@pancake@|@epankeik@
@pandanus@|@epo@
@pandanus belt worn after delivery@|@egokwor@
@pandanus fruit hitting game@|@karereber@
@pandanus pulp after chewing@|@itibwer@
@pandanus roots for making ikwin rea fishtrap@|@eadowarere@
@pants@|@eotanijòñ@
@paper@|@papier@
@parable@|@eñòg in otsiñin@
@parasol@|@demurora bait equan@
@pardon@|@eatet idûra, eauwàtegen, equed, etat dùra@
@pardon (1)@|@eat (idùra), eat (idûra)@
@parry@|@eraban@
@part@|@itùbwañ@
@pass by@|@ôd@
@pass over@|@gait@
@passaris@|@itsirir@
@past@|@enuawen@
@paste@|@ibia@
@patch@|@ñatarei@
@path@|@emedena, emedena oroeò@
@patience@|@ijenet ibùriò@
@patient@|@ijet ibùriò@
@pause@|@eònano@
@pay@|@òmarùmwi, pûmwe@
@pay attention@|@ober@
@Peace@|@Iow@
@peaceable@|@eò quinòñòk@
@peaked@|@eòkòñ@
@pedal@|@jor, jorgageñ@
@peevish@|@emañimañ@
@pelt@|@ewewet imin gògòrò@
@penis@|@iny@
@people@|@eñame, eponñame@
@perfect@|@ogoro@
@perhaps@|@bwidûga, kai, kaia@
@periwinkle@|@emeri@
@perseverance@|@edoño, enenei, oquaqui@
@person@|@engame@
@perspire@|@eamoñ@
@pestilence@|@earak in ima@
@petty@|@eijoñ@
@pick up@|@ji, jida@
@pickle@|@barajitedei@
@picture@|@anin, tamnei@
@pig@|@bae, ikumo@
@pile up@|@ararû, òebwepoi@
@pillow@|@ete@
@pinch@|@òut, ôût@
@pipe@|@döpaim, garapi, garapiei@
@pit@|@ijùb@
@pitch@|@erebenijo@
@pity@|@auwàtegen, kananoañei@
@place@|@etañ, ñaeow@
@place for men to wait before games@|@kamadu@
@placenta@|@ibi@
@plague@|@earak in ima@
@plain@|@eòweò@
@plait@|@eàe@
@plane@|@perenei@
@plane (tool)@|@eperen@
@plant@|@imin erò, inin-ero, òijòn, ùjòn@
@plant: leaf used to cure headache@|@eongo@
@plaster cast@|@erobu@
@plate@|@iwûr@
@play the hypocrite@|@tsitsino@
@plaza@|@etañ@
@plead@|@egegae, kòñòñ, mañada@
@Pleiades@|@eyawid@
@plot@|@babweji@
@plumage@|@ewewet imin òeta@
@pocket@|@paget@
@point@|@mwit imin@
@pointed@|@eòkòñ@
@poison@|@eaku, eakuei@
@poisonous@|@eaku@
@policeman@|@boritiman@
@polish@|@baerei, perenei@
@pool by sea for certain cure@|@iyubukon areow@
@poor@|@ebaka, eko emit duwen, eko wòn imin@
@pope@|@dopope@
@portion@|@itubwañ@
@postponement@|@jidòn@
@pot@|@ekapa, epat@
@pound@|@ònakanak@
@pounder (food)@|@etewiw@
@pour@|@idon@
@pour out@|@idon, idotu@
@powder@|@debaura@
@power@|@eoaio, eòaio@
@powerful@|@òaio@
@powerless@|@ògòb men@
@practice@|@kereri@
@praise@|@òraitsit, otota, tsitan, tsitau@
@praline soldierfish@|@iebo@
@pray@|@tetaro@
@prayer@|@etetaro@
@prayer hour@|@stunde it tetaro@
@prayer house@|@ewak it tetaro@
@precise@|@eimwirara@
@prefer@|@auwà eken ion ea ion@
@pregnant@|@ejeñ@
@present@|@aduei, eadu, idon@
@preserve@|@òñañat, raña@
@press@|@adûmei, enenei, ijen, mwat, owañada@
@presumably@|@kai, kaia@
@pretty@|@omo aiaen@
@prevent@|@dug, rewin@
@price@|@pùmwen, rowen@
@prick@|@ebu, wataba@
@pride@|@gatsitsi, owaroñen@
@prince@|@temoniba@
@print@|@adûmei@
@prison@|@gadetsin, gefângnis ion oaio, ijùb, karabutsi@
@prisoner@|@amen iat gefàngniss@
@prize@|@pùmwen, rowen@
@proceedings@|@nuawin@
@procreate@|@òrig@
@produce@|@òrig@
@product@|@iqua, quan@
@proper@|@eimwi, eimwi deden@
@prostitute@|@âinimwen te toreda@
@protect@|@oberei, raña@
@prove@|@oduwen@
@provisions@|@bait ijeiji@
@pudding@|@demodourou@
@pull up@|@ijida@
@pulpit@|@dagarae@
@pumice@|@iPit@
@pump@|@pump, pumpei@
@pumpkin@|@debamakin@
@punish@|@kaduwai@
@punishment@|@ekaduwa@
@pupil@|@rat ekereri@
@puppet@|@deigenmùren@
@purchase@|@erow, tuwab@
@pure@|@edereder, eò dòg@
@purgatory@|@âe in kadereder@
@purse@|@debag, ebwer@
@pursue@|@ededegeri@
@put@|@ñaeow@
@putty@|@epadi@
@quarrel@|@ake, eake, ekañaeot, kañaeot@
@queen of Nauru@|@Eigamoiya@
@question@|@ikidô, ùdò, ùdôn@
@quick@|@epar, kapapar, marûm@
@quiet@|@eò mwòmwi, eònano@
@quill@|@irùeb@
@rage@|@damadam, eigirow@
@rain@|@et, weron@
@rainbow@|@dowirara@
@rainbow runner@|@eokwoy@
@raise@|@ijida@
@rapid@|@epar, kapapar@
@rat@|@ikumododo, kumododo@
@rat trap@|@ukwe kumododo@
@ration@|@itubwañ@
@rave@|@eigirow@
@ready@|@emakò, og duwen, ogen@
@really@|@iduwen@
@rebel@|@keò a temoniba@
@receive@|@ògög, ôgôg@
@reckon upon@|@ödü@
@recognize@|@oijuwòñ, tsiet@
@reconcile@|@maerer, òmaerer@
@recuperate@|@itik-rida@
@red@|@mwirara, òmwirara@
@red and silver squirrelfish@|@egarokoa@
@red snapper@|@irum@
@red spotted surgeon fish@|@dereba@
@redeem@|@ôtsimor@
@reef@|@anor@
@reef fishing technique@|@tuwin iwange@
@reef torch fishing@|@tuwin eram@
@reflect@|@kamarar (ei)@
@refresh@|@òegaramwamwe@
@refuse@|@keò@
@regret@|@imwijiña bwe dògit idûra@
@remain@|@mek@
@remember@|@òmarau@
@remember most ancient things@|@Anabar@
@remembers most ancient things@|@Anatan@
@remind@|@metsimetsi, ômaran@
@remission (of sins)@|@eatet idûra, etat dùra@
@remit (sins)@|@eat (idùra), eat (idûra)@
@rend@|@ôbaò, òmwijow@
@renew@|@òtsimeduw@
@repair@|@ñatarei@
@repent@|@imwijiña bwe dògit idùra@
@repentance@|@imwijiña bwe dògit idûra@
@reside@|@meken@
@residence@|@bait emegeda@
@resign@|@denigae, eatow@
@resin@|@erebenijo@
@resist@|@iwitsiow, keò a@
@resolute@|@weijo òaio@
@respect@|@eredu@
@rest@|@eònano@
@result@|@iqua, quan@
@resurrection@|@iridan eat ima@
@retract@|@baite, ereri@
@reveal@|@òmeata@
@revealing@|@âomeata@
@revile@|@kabakai, òbabaka@
@revive@|@kememorei@
@revolt@|@eareaûrùò, ewarewar@
@reward@|@ekamarûmwi, ômarûmwi, pùmwen, rowen@
@rib@|@bararùgirùgin, barugirugin@
@ribbon@|@band, reben@
@ride@|@eòd iat ekabiroro òa deimanu@
@ridicule@|@ekawiduemin, owidu@
@rifle@|@egato, egatow@
@right@|@eimwi@
@right (hand)@|@ebe edamaram@
@right hand (on the)@|@edamarùm@
@right hand or side@|@damarùmit ebe@
@rigor@|@eòaio@
@rind@|@witsit imin erò@
@ring@|@ring@
@ringing@|@nòñin@
@ripe@|@emer@
@rise@|@earaearùò, eogoda, irida@
@rise from dead@|@ridan eat ima@
@river@|@ekaw@
@road@|@emedena@
@robbery@|@itorere@
@rock@|@epe@
@rod fishing@|@tuwin iyo@
@rogue@|@amen torere, amet derùga@
@roof@|@anim@
@room@|@dorum@
@roost for frigate birds@|@etea@
@rooster@|@domo eman@
@root@|@awaran@
@rope@|@dômaeañ, dòmaeòñ, dorop, eanakeba, ereò@
@rot@|@enamwamwae@
@rotten@|@enamwamwae, kenañanañ, mamwitsi, mwamwitsi@
@rough@|@ekadara, eò-edu@
@round@|@òPaijòriòr@
@rout@|@ira@
@row@|@etsij, Peduwaij@
@row of sticks@|@imwit@
@rudder@|@ekaeded, ePeduwa@
@rudderfish@|@eibawo@
@ruffle up@|@iwitsiow, keò a@
@rule@|@deden, moniba@
@run away@|@ògòrien@
@rusk@|@beitker@
