@English@|@Maliseet@
@cut SB all over@|@soqskihtahal (vta)@
@cut SB badly by hitting them in the face@|@usiktahal (vta)@
@cut SB down: SB ~s@|@kipiksal (vta)@
@cut SB in two@|@tomosal (vta)@
@cut SB into so many pieces: SB ~s@|@kessal (vta)@
@cut SB into thin slices: SB ~s@|@apseksal (vta)@
@cut SB off@|@monosal (vta)@
@cut SB to a sharp point@|@qinusqosal (vta)@
@cut SB up into pieces@|@soqskosal (vta)@
@cut SB with knife@|@t-olosal (vta), t-olsal (vta), mihqotanishal (vta)@
@cut SB: SB ~@|@kissal (vta)@
@cut SB: SB can ~@|@kissal (vta)@
@cut SB's ear off@|@tomalokossenal (vta)@
@cut SB's fingernails@|@tomikosiyesal (vta)@
@cut SB's hair@|@musal (vta)@
@cut slice from SB@|@uteksal (vta), uteksomon (vti)@
@cut slice off ST@|@tomeksomon (vti)@
@cut so much of SB: SB ~s@|@kessal (vta)@
@cut so much of ST: SB ~s@|@kessomon (vti)@
@cut ST@|@t-otoliksomon (vti)@
@cut ST (cloth/paper/etc.)@|@t-olekisomon (vti)@
@cut ST (umbilical cord)@|@tomilliyesomon (vti)@
@cut ST in narrow strips: SB ~s@|@cihciqsomon (vti)@
@cut ST in two@|@tomosomon (vti)@
@cut ST into so many pieces: SB ~s@|@kessomon (vti)@
@cut ST into thin slices: SB ~s@|@apseksomon (vti)@
@cut ST off@|@monosomon (vti)@
@cut ST straight and even (with scissors)@|@tetpekisomon (vti)@
@cut ST up into pieces@|@soqskosomon (vti)@
@cut ST with knife@|@t-olosomon (vti), t-olsomon (vti)@
@cut ST: SB ~@|@kissomon (vti)@
@cut ST: SB can ~@|@kissomon (vti)@
@cut thin piece of ST using saw@|@pipuwiksomon (vti)@
@cut: SB ~s hair@|@musawe (vai)@
@cut: SB ~s self accidentally@|@ptosusu (vai)@
@cut: SB ~s thus@|@olsawe (vai)@
@cut: SB comes (goes) to ~ and strip birchbark@|@natonihiqe (vai)@
@cut: SB is ~ open@|@psiksasu (vai)@
@cut: SB is ~ up too much by being hit@|@samtahasu (vai)@
@cut: ST is ~ open@|@psiksasu (vii)@
@cute: SB is ~@|@miyawiku (vai)@
@cutting board@|@tuwosawakon (-ol)(ni)@
@cutting logs: SB is ~@|@kuwehke (vai)@
@cutting: SB is ~ self deliberately@|@tolsusu (vai)@
@cutting: SB is ~ ST off flush@|@tetposike (vai)@
@cutting: SB is ~ teeth@|@wipitsuhke (vai)@
@cutting: SB is ~ wood@|@tolaqtihike (vai)@
@cyst@|@anqotuwa (na)@
@dad@|@mihtaqsit (na)@
@dad: SB's ~@|@tatatol (na-d)@
@daddy long-legs@|@pihtahqikonat (na)@
@dam@|@kpihikon (ni)@
@damage ST@|@t-olikotun (vti)@
@damage ST of SB's@|@wekihtuwan (vt2o)@
@damage: SB ~s@|@wekoluhke (vai)@
@damp: ST is ~@|@puspe (vii)@
@damp: ST is ~ (cloth)@|@wolomuwekon (vii)@
@damselfly@|@apuciqaha (na), wahantuwi-sahkat (-iyik)(na)@
@dance hall@|@qanotuwan (-ol)(ni)@
@dance ST in various ways@|@miltehkomon (vti)@
@dance toward eachother then apart: they ~@|@astuwokak (vai)@
@dance until end: SB ~s@|@kihkaka (vai)@
@dance: SB ~es a Native dance@|@skicinuwoka (vai)@
@dance: SB ~s (diminutive) sideways@|@nomocintehkomuhsin (vai)@
@dance: SB ~s along@|@pomka (vai), pomke (vai), pomoka (vai), pomoke (vai)@
@dance: SB ~s in a lively manner@|@tuttehkom (vai)@
@dance: SB ~s slowly@|@menakatka (vai)@
@dance: SB ~s thus@|@olka (vai)@
@dance: SB does the chief's ~@|@sakomawka (vai)@
@dance: SB seldom ~s@|@awiska (vai)@
@dance: ST is ~ d in various ways@|@miltehkasu (vii)@
@dancer@|@nutkat (na)@
@dancing: SB ceases ~@|@metka (vai)@
@dancing: SB is ~@|@toloka (vai)@
@dancing: they come together ~@|@mawekak (vai)@
@dandruff@|@misuwes (-ok)(na)@
@dandruff: SB has ~@|@misuwesatpe (vai), misuwesine (vai)@
@dangerous: ST is ~@|@sanaqot (vii)@
@dangerous: ST is a ~ place@|@mocalokot (vii)@
@dare: SB ~s to@|@peci-kinapiyiw (vai)@
@dare: SB ~s to do ST@|@peci-kinapihiw (vai)@
@dark@|@mokosew- (pv)@
@dark in color: ST is ~@|@ksotte (vii)@
@dark skinned person (slang)@|@mokoses (-ok)(na)@
@dark: in the ~@|@piskahtetuk (nl)@
@dark: SB is ~ complected@|@tuccossu (vai)@
@dark: SB is ~ skinned@|@tuccossu (vai)@
@dark: SB is overtaken by ~@|@piskiyenoma (vai)@
@dark: ST is ~ out@|@piskiye (vii)@
@dark: ST is a ~ place@|@piskahte (vii)@
@dark: ST is getting ~@|@piluwapotasu (vii), piskapotasu (vii)@
@darning needle@|@apuciqaha (na)@
@darning needle (insect)@|@wahantuwi-sahkat (-iyik)(na)@
@dart around in the air: SB ~s@|@alamu (vai)@
@date@|@kisq (ni)@
@date is: the ~@|@tucikoton (vii)@
@date SB regularly and exclusively@|@mihqahalal (vta)@
@daughter: SB's ~@|@tusol (na-d)@
@daughter-in-law: SB's ~@|@somol (na-d)@
@dawn approaches@|@ckuwapon, tuhkapon (vii)@
@dawn arrives@|@ckuwapon (vii)(Pa)@
@dawn comes@|@cehqan (vii)@
@dawn: at ~@|@cehqoni (cehqon-)(pv)@
@dawn: ST is ~@|@cehqot (vii), ckuwapon (vii), tuhkapon (vii)@
@dawn: until@|@cehqoni (cehqon-)(pv)@
@dawn: until ~@|@cehqoniw (pc)@
@day@|@kisq (ni)@
@day after tomorrow: the ~@|@kotokisep (pc)@
@day before yesterday: the ~@|@kotokilaku (pc)@
@day breaks@|@cehqan (vii)@
@day is short: the ~@|@cilkokiskot (vii)@
@day: all ~@|@kekiw (pc)@
@day: during the ~@|@spotew (pc), spotiy- (pv)@
@day: on a particular ~@|@pemkiskahk (-il)(ni)@
@day: ST is a bad ~@|@mocokiskot (vii)@
@day: ST is a good ~@|@wolokiskot (vii)@
@day: ST is a long ~@|@pihcekiskot (vii)@
@daybreak: SB lives until ~@|@cehqonawsu (vai)@
@daybreak: ST is ~@|@cehqot (vii)@
@daylight: ST is@|@spote (vii)@
@days: for several ~@|@kakehsukoniw (pc)@
@days: ST is so many ~@|@kehsukoniw (vii)@
@daytime: in the ~@|@spotew (pc)@
@daytime: of the ~@|@spotew- (pv/pn)@
@dead body@|@puwin (-ok)(na)@
@dead person's body@|@puwin (-ok)(na)@
@dead: all of them are ~@|@kihkanahtuwok (vai), kihkanhotuwok (vai)@
@dead: SB is ~@|@mehcine (vai)@
@dead: ST is completely ~@|@kihkanewiw (vii)@
@deaf: SB is ~@|@okepse (vai)@
@deal cards left handed: SB ~s@|@pahtakonuwe (vai)@
@deal: SB ~s (cards)@|@okonuwe (vai)@
@deal: SB ~s cards left handed@|@pahtakonuwe (vai)@
@dealer (cards)@|@nutokonuwet (na)@
@dear: my ~@|@motaqs (na)@
@death rattle@|@nopuwakon (-ol)(ni)@
@death: SB bleeds to ~@|@sikteqqiye (vai)@
@death: SB is near ~@|@toli-kotuwine (vai)@
@death: to ~ (lit.or fig.)@|@siktiy- (pv)@
@debris: bit of ~@|@qeqcokuhs (-ol)(ni)@
@debt: SB is in ~@|@wocanomahsu (vai)@
@decapitate SB@|@tomiqehlal (vta)@
@decapitated: SB is ~@|@tomiqessu (vai)@
@decay: SB ~s@|@suhkolihka (vai)@
@decay: ST ~s@|@suhkolihka (vii)@
@decayed: SB is ~@|@wekine (vai)@
@decayed: ST is ~@|@wekine (vii)@
@deceitful: SB is ~@|@pahculuwesku (vai)@
@December@|@kci-kisuhs (na), pqotonansuwi-kisuhs (na), punamuwi-kisuhs (na)@
@decide on ST: SB ~s@|@kisitahatomon (vti)@
@decide: SB can ~@|@kisolutom (vai), kisolutoma (vai)@
@decided: SB ~@|@kisolutom (vai), kisolutoma (vai)@
@decompose: SB ~s@|@suhkolihka (vai)@
@decorate ST: SB ~s@|@amalhuwikhomon (vti)@
@decorate: SB ~s basket by weaving in colored splint@|@tomuwikhike (vai)@
@decorated@|@amalhi (amalh- amal-)(pv)@
@decorates: SB ~@|@amalhatokihike (vai)@
@decorative@|@amalhi (amalh- amal-)(pv)@
@decrepit@|@wahkattu (vai)@
@deep@|@mulkew (pc)@
@deep hole: ST is a ~@|@mulayalokot (vii)@
@deep in a hole@|@mulkay- (pv)@
@deep into@|@mulay- (pv)@
@deep suddenly: ST gets ~ (water)@|@koskitome (vii)@
@deep woods@|@kci-kcihq (ni)@
@deep: put SB ~  enough@|@mulke-punal (vta)@
@deep: put SB in ~@|@mulamulal (vta)@
@deep: put ST in ~@|@mulamutun (vti)@
@deep: ST is ~ (water)@|@spitome (vii)@
@deep: ST sits ~ in water (boat)@|@mulatomuwehe (vii)@
@deep: there is ~ mud@|@spocoke (vii)@
@deeper: put SB ~@|@mulke-punal (vta)@
@deer@|@otuhk- (pv/pn), otuhk (-ok)(na), otuk- (pv/pn)@
@deer head@|@otuhkatop (-iyil)(ni)@
@deer hunter@|@nuci-otukket (na)@
@deer hunters@|@nuci-otukkecik (na-pl)@
@deer meat@|@otuhkey (-al)(ni)@
@deer skin@|@otuhkew (-iyik)(na)@
@deer: buck ~@|@yap (-iyik)(na)@
@deer: spike horn ~@|@niktuwahqonehc (na)@
@deer: spike horn ~ (plural)@|@niktuwahqonehcuwok (na-pl)@
@deer-hunter: SB is a ~@|@otukke (vai)@
@deer's@|@otuhk- (pv/pn), otuk- (pv/pn)@
@deface ST@|@wekihtun (vti)@
@defame SB@|@mocoluwal (vta)@
@defeat SB@|@sehkuwal (vta), t-osehkuwal (vta), tomhal (vta)@
@defeated SB: SB ~@|@kistahal (vta)@
@defecate: SB ~s  in sleep@|@pskotqam (vai)@
@defecate: SB ~s from drinking too much@|@pskocossomu (vai)@
@defendant@|@tepolumut (na)@
@defiant: SB is ~@|@cikawessu (vai)@
@defind SB: SB ~s@|@ihkalal (vta)@
@deflate ST of SB's@|@sinpaskehtuwan (vt2o)@
@deflate: SB ~s@|@sinpaskuhse (vai)@
@deflated: SB is ~@|@sikiqesu (vai)@
@deflating: ST is ~@|@sikiqewsewiw (vii)@
@defraud SB@|@pahculal (vta)@
@defy SB: SB ~s@|@cikawihtuwal (vta)@
@delegate@|@kinuwehtahsuwin (na)@
@deliberate together: they ~@|@mawi-putuwosuwok (vai)@
@deliberate: they ~ together@|@mawi-putuwosuwok (vai)@
@deliberation@|@putuwosuwakon (-ol)(ni)@
@deliver message: SB ~s@|@kinuwehtahsu (vai)@
@demean SB@|@nuta-wihqehlal (vta)@
@demean ST@|@nuta-wihqehtun (vti)@
@demolish ST@|@suhkamkihtehmon (vti)@
@demon@|@wahant (-uwok)(na)@
@dented: SB is ~@|@waleyu (vai)@
@dented: SB is ~ (garment/metal cup/etc.)@|@walekopu (vai)@
@dented: ST is ~@|@walekte (vii), waleyu (vii)@
@dentist@|@nuci-ketapitehtahsit (na)@
@dentists@|@nuci-ketapitehtahsicik (na-pl)@
@dentures: one who makes ~@|@nuci-wipitket (na)@
@dentures: SB has ~@|@piluwapite (vai)@
@deny SB@|@t-osahal (vta)@
@deny ST: SB ~s@|@ikonewatomon (vti)@
@deny: SB ~s@|@ikonewe (vai)@
@depart: SB ~s with hurried steps@|@macehtestike (vai)@
@depend on SB@|@nekuhtuwal (vta), nihkalutuwal (vta)@
@depend on ST@|@nihkalutomon (vti)@
@depose SB@|@polilehlal (vta)@
@depot (railroad)@|@steson (-ol)(ni)@
@deprecating: SB is self ~@|@nutahtaqsu (vai)@
@depressed: SB looks ~@|@celinaqsu (vai)@
@descend: SB ~s and lands@|@psahkonassu (vai)@
@descendant: SB is a ~@|@ankuwakutom (vai), lapeksu (vai)@
@descended (from someone): SB is ~@|@ankuwakutom (vai)@
@descended: SB is ~@|@lapeksu (vai)@
@descended: SB is ~ from@|@tapeksu (vai)@
@desert@|@kataskomiq (ni)@
@desert SB@|@makskelomal (vta)@
@desing with strings: SB ~s@|@amalhatokihike (vai)@
@desire SB@|@pawalal (vta), puwalal (vta), wikitahamal (vta)@
@desire SB greatly@|@sikte-pawalal (vta)@
@desire ST@|@pawatomon (vti), puwatomon (vti), wikitahatomon (vti)@
@desire ST of SB@|@pawatomuwan (vt2o), puwatomuwan (vt2o), wikitahatomuwan (vt2o)@
@desire: SB ~s ST@|@kotuwahatomon (vti)@
@despite@|@cika (pc), cikaw (pc)@
@dessert@|@amalhihpuwakon (ni)@
@destination: at ~@|@nemaht (pc)@
@detail: in ~@|@papehc- (pv)@
@detergent@|@kostokonikon (na)@
@deteriorating: SB is showing signs of ~@|@wonahluhsuwiye (vai)@
@detonator fails: n/@|@aluwahkihtesta (vai)@
@detouring around@|@amoni (amon-)(pv), amoniw (pc)@
@deuce of cards@|@nisuwikhikon (na)@
@develop: ST begins to ~@|@maciyapekon (vii)@
@devil@|@kinahant (na), wahant (-uwok)(na)@
@devil diver (bird)@|@asups (na)@
@devil: wicked ~@|@mocahant (-uwok)(na)@
@dewberry: swamp ~@|@sosoqimins (-ok)(na)@
@diabetes: SB has ~@|@sukoline (vai)@
@diagonally@|@asuwiw (pc)@
@diamond (card suit)@|@kalus (na), tayomons (-ok)(na)@
@diaper@|@wolek (-iyik)(na)@
@diaper: SB wears a ~@|@wolekewhom (vai)@
@diarrhea: SB has ~@|@sapessu (vai)@
@diarrhea: SB has ~ without warning@|@pskotolamessu (vai)@
@dice game@|@amkakon (ni)@
@did ST: SB ~@|@kisehtun (vti)@
@die (playing piece)@|@amkakon (na)@
@die hard: SB ~s@|@sipine (vai)@
@die: SB ~s@|@mehcine (vai)@
@die: SB ~s from crash@|@siktehsin (vai)@
@die: SB ~s from fall@|@siktehsin (vai)@
@die: SB ~s from shock@|@pskikitessu (vai)@
@die: SB ~s hard@|@sipine (vai)@
@die: SB ~s of old age@|@mehtatom (vai)@
@die: SB ~s with a struggle@|@sipine (vai)@
@die: SB ~s with much suffering@|@sikine (vai)@
@die: SB is about to ~@|@toli-kotuwine (vai)@
@different@|@piluw- (pv/pn)@
@different: SB is ~ in form than expected@|@piltuwiku (vai)@
@different: SB or ST ~@|@piluwey (na/ni)@
@differently@|@piluw- (pv/pn)@
@difficult@|@sakol- (pv/pn), siki (sik-)(pv)@
@difficult: SB is ~@|@sakoleyu (vai), sakoleyu (vii)@
@difficult: SB is ~ to get at@|@sikopu (vai)@
@difficult: ST is ~@|@eheceyu (vii), motuweyu (vii), sikeyu (vii)@
@difficult: ST is ~ to get to@|@sikte (vii)@
@difficulty: SB has ~@|@wehqanome (vai)@
@dig deep hole for SB@|@mulayahkalal (vta)@
@dig deep hole for ST@|@mulayalkatomon (vti)@
@dig deep hole in SB@|@mulayahkalal (vta)@
@dig deep hole in ST@|@mulayalkatomon (vti)@
@dig SB out of the ground@|@muskalkalal (vta)@
@dig SB out: SB ~s with adze@|@ulaqtahal (vta)@
@dig SB out: SB ~s with chisel@|@ulaqtahal (vta)@
@dig so much: SB ~s@|@kehsalke (vai)@
@dig ST out@|@nutiyalkatomon (vti)@
@dig ST out of the ground@|@muskalkatomon (vti)@
@dig ST out with adze or chisel@|@ulaqtehmon (vti)@
@dig ST out with it's roots@|@monkehtun (vti)@
@dig: SB ~s@|@walke (vai)@
@dig: SB ~s ground up noisily and angrily@|@nikcahke (vai)@
@digger@|@nutalkewin (na)@
@digging tool@|@walkakon (-ol)(ni)@
@digging: SB is ~@|@tolalke (vai)@
@digging: SB is ~ clams@|@tolonesse (vai)@
@dim: ST is ~ (lamp lantern electric light)@|@apsahtuwe (vii)@
@dimples: SB has ~ when SB smiles@|@tomokonuwessu (vai)@
@dining room@|@ihtolihpultimok (ni)@
@dinnerware@|@mitsihtasik (-il)(ni)@
@dip SB@|@namoqicehlal (vta), namoqiciphal (vta)@
@dipper: quart ~@|@qaht (-ok)(na)@
@directing: SB is ~@|@yalokitom (vai)@
@direction: all ~s@|@sissiy- (pv)@
@direction: in some ~@|@tama 'toqiw (pc)@
@direction: in that ~@|@oloq- (pv), oloqiw (pc), tett (pc)@
@direction: SB goes in the wrong ~@|@wapoliye (vai)@
@directly across@|@ksokayahqiw (pc)@
@director@|@nihkanatpat (na)@
@dirt@|@tupqan (-ol)(ni)@
@dirt: particle of ~@|@qeqcokuhs (-ol)(ni)@
@dirt: SB piles up ~@|@mawamkukhike (vai)@
@dirty SB hands@|@moccokiptinehlal (vta)@
@dirty trick on SB: SB ~@|@kisihponolal (vta)@
@dirty: SB ~s diaper@|@mocihponolsu (vai)@
@dirty: SB always imputes ~ meaning@|@motsotomesku (vai)@
@dirty: SB is ~@|@moccoksu (vai), qaqeyu (vai)@
@dirty: ST is ~@|@moccoke (vii), olcoke (vii), qaqeyu (vii)@
@dirty: ST is ~ (cloth-like)@|@qaqekon (vii)@
@disabled: SB is ~@|@nucomuwiw (vai)@
@disappear: SB makes ST ~@|@koskahkomon (vti)@
@disappear: SB/ST ~s@|@ksihkassu (vai/vii)@
@disappear: ST ~s@|@ksihkasson (vii)@
@disappear: ST ~s (odor)@|@mehtaqhe (vii)@
@disappointed: SB feels ~@|@peqositahasu (vai)@
@disassemble ST@|@wekehtun (vti)@
@disassemble ST: SB ~s@|@ceponomon (vti)@
@discard ST@|@makskeltomon (vti)@
@discard: SB ~s it@|@qasahkan (vai/vai+o)@
@discipline SB severely: SB ~s@|@kakawokehkimal (vta)@
@discipline SB: SB does not ~@|@ihkaskuwal (vta)@
@disclose ST@|@nostuhmon (vti)@
@discolored: ST is ~@|@wilipekon (vii)@
@discourage SB@|@naskaluwemal (vta)@
@discouraged: be ~ about SB@|@naskatahamal (vta)@
@discouraged: SB feels ~@|@naskatahasu (vai), peqositahasu (vai)@
@discover ST@|@moskomon (vti)@
@discover ST about SB@|@panahkewan (vt2o)@
@discover truth about SB@|@wolamaha (vta)@
@discovered: SB is ~@|@wewiye (vai)@
@discredit SB@|@mocakonimal (vta), mocoluwal (vta)@
@discuss: SB ~ es@|@skuhutoma (vai)@
@discussion@|@putuwosuwakon (-ol)(ni)@
@discussion: SB takes part in ~@|@putuwosu (vai)@
@disease@|@ksinuhkewakon (ni)@
@disease: give SB ~@|@mosiyal (vta)@
@disease: SB has a ~@|@ksinuhka (vai)@
@disembark: SB ~s@|@kahpotassu (vai), nahtokassu (vai)@
@disguise self: SB ~s@|@kasuhke (vai)@
@disgust SB: SB ~s@|@kosinuhkuwal (vta)@
@dish@|@walot (-iyik)(na)@
@dish for butter@|@molaqsipominut (-iyik)(na)@
@dish out food to SB@|@tephomuwal (vta)@
@dishcloth@|@kahsicukhikon (ni)@
@dishcloth: small ~@|@kahsicukhikonossis (ni dim)@
@dishes: SB washes ~@|@kossicuwenike (vai)@
@dishrag@|@kossicuwenikon (ni)@
@dishrag: little ~@|@kossicuwenikonossis (ni dim)@
@dishtowel@|@kahsicukhikon (ni)@
@dishwater@|@kossicuwenikonop (ni)@
@disk worn as ornament@|@noskomakon (-ok)(na)@
@dismantle ST@|@suhkehtun (vti)@
@dismiss SB@|@macekimal (vta)@
@disobey SB@|@polsotuwal (vta)@
@disobey: SB ~s@|@cikawessu (vai)@
@disoriented: SB is ~@|@ksihkehe (vai)@
@dispatcher@|@kinuwehtahsuwin (na)@
@dispatcher: SB is a ~@|@kinuwehtahsu (vai)@
@disperse: SB ~s@|@sissessu (vai)@
@disperse: ST ~s@|@sissessu (vii)@
@disrespect SB@|@nuta-wihqehlal (vta)@
@disrespect ST@|@nuta-wihqehtun (vti)@
@dissuade SB@|@qolopitahasikhal (vta)@
@distance: at great ~@|@pihcetu (pc)@
@distance: in the ~@|@waht(e) (pc)@
@distance: keep a ~ from SB@|@miwkuwal (vta)@
@distance: SB is sitting at a ~@|@tutopu (vai)@
@distance: ST is at such a ~@|@tuton (vii)@
@distract SB while talking@|@untemal (vta)@
@distribute ST evenly@|@tetpi-sissenomon (vti)@
@disturbing: find ST ~@|@nossuwitahatomon (vti)@
@ditch@|@psahkihikon (-ok)(na)@
@dive: SB ~s (into water)@|@komoqotkuhu (vai)@
@dive: SB ~s (while swimming)@|@komoku (vai)@
@dive: SB ~s while flying@|@pakskalituwiye (vai)@
@diver@|@nuci-komoqit (na)@
@divers@|@nuci-komoqicik (na-pl)@
@divide ST into rooms@|@t-olsokhomon (vti)@
@divine: SB is ~@|@kcitposu (vai)@
@dizzy: SB gets ~@|@kiwtahqehe (vai)@
@dizzy: SB is ~@|@kiwtahqehe (vai)@
@do (ST) to SB in particular way: SB ~s@|@kinuwehlal (vta)@
@do ST for SB@|@t-olehtuwan (vt2o)@
@do ST in own special way: SB ~s@|@kinuwehtun (vti)@
@do ST thus@|@t-olehtun (vti)@
@do ST to belongings of SB@|@t-olehtuwan (vt2o)@
@do ST to SB@|@t-olehlal (vta)@
@do ST to SB without reason@|@pisuwiyal (vta)@
@do ST to ST@|@t-olehtun (vti)@
@do: SB ~es many things@|@milluhke (vai)@
@do: SB ~es thus@|@olluhke (vai)@
@do: SB ~es too many things@|@sispenoma (vai)@
@do: they two ~ something together@|@nisehtawotuwok (vai)@
@doctor@|@nutsihpiluwet (na)@
@document@|@wikhikon (-ol)(ni)@
@does not want to let SB leave: SB ~@|@kosacehlal (vta)@
@dog@|@olomuss (-ok)(na)@
@dog: deer hunting ~@|@otuhkewahsom (-ok)(na), otuhkuwahsom (-ok)(na)@
@dog: female ~@|@sqehsom (ok)(na), sqehsomuhs (-ok)(na)@
@dog: hot ~@|@hattaks (na)@
@dog: old ~@|@motahsomuhs (-ok)(na)@
@dog: SB's ~ (pet)@|@temisol (na-d)@
@dogwood: red osier ~@|@nepskihkamq (ni), neskihkamq (ni), nespihqamq (ni)@
@doll@|@amsqocehkan (na)@
@dollar@|@qotakisu (-wok)(na)@
@dollar bill@|@qotakisuwey (-al)(ni)@
@dollar: five ~s in coin@|@nanakisuwok (na)@
@don SB@|@nahsonal (vta)@
@donated: ST is ~@|@punasu (vii)@
@done: SB is well ~@|@wolaqosasu (vai)@
@done: ST is ~@|@kiste (vii)@
@done: ST is well ~ (food)@|@wolaqote (vii)@
@donkey@|@tanki (-wok)(na)@
@don't (in commands) (Pa)@|@mus (pc), musa (pc), musahk (pc)@
@dont exaggerate@|@akkatale (pc)@
@door@|@khakon (ni)@
@door: small ~@|@khakonossis (ni dim)@
@doormat@|@kassituhusut (ni)@
@doormat: small ~@|@kassituhusutossis (ni dim)@
@doorstop@|@lakonis (na)@
@doorstop: small ~@|@lakonisossis (na dim)@
@doubt everything and everyone: SB ~s@|@koluhtomesku (vai)@
@doubt SB: SB ~s@|@koluhtuwal (vta)@
@doubt ST: SB ~s@|@koluhtomon (vti)@
@doubtful by nature: SB is ~@|@koluhtomesku (vai)@
@dough: bread ~@|@awskacokihikon (na)@
@douse ST@|@nokkahsuwiyapawotun (vti)@
@dove@|@poles (-ok)(na)@
@down@|@nahkaw (pc), nahkay- (pv), ponek- (pv), poneq- (pv)@
@down: get SB ~@|@poneqehlal (vta)@
@down: help SB ~@|@poneqi-wicuhkemal (vta)@
@downcast: SB looks ~@|@ktomakiqewu (vai)@
@downhill@|@cikcahkew (Ma) (pc), cikcahkiw (Pa) (pc), motapew (pc), motapiy- (pv), motapiyahkiw (pc)@
@downhill: SB goes ~@|@cikcahkehe (vai), motapehe (vai)@
@downriver@|@papkiw (pc)@
@downriver: SB goes ~@|@papkiye (vai)@
@downstream@|@papkiw (pc)@
@downstream: SB goes ~@|@papkiye (vai)@
@downward@|@nahkaw (pc), nahkay- (pv), ponek- (pv), poneq- (pv), poneqiw (pc)@
@downward without falling: ST moves ~@|@poneqessu (vii)@
@downward: SB moves ~ without falling@|@poneqessu (vai)@
@downward: ST moves ~ without falling@|@poneqessu (vii)@
@draft or breeze goes through it@|@puthelamsuke (vii)@
@drag SB along@|@pomacqimal (vta)@
@drag SB down into water: SB ~@|@kottanal (vta)@
@drag ST downward@|@nahkayacqehtun (vti)@
@drag ST out of view: SB ~s@|@katacqitun (vti)@
@drag ST well@|@nihtawacqitun (vti)@
@drag: SB is heard ~ ing ST@|@motenahsu (vai)@
@dragonfly@|@apuciqaha (na), wahantuwi-sahkat (-iyik)(na)@
@drain liquid from ST@|@sikuskanomon (vti)@
@drain: SB ~s gradually@|@sinkolawse (vai)@
@drain: ST ~s out gradually@|@sinkolawsewiw (vii)@
@drain: ST ~s out quickly@|@sinkolassu (vii)@
@draped over@|@skituw- (pv), skituwiw (pc)@
@draw a picture of SB@|@t-uwikhal (vta), t-uwikhal (vta)@
@draw a picture of ST@|@t-uwikhomon (vti)@
@draw designs on ST: SB ~s@|@amalhuwikhomon (vti)@
@draw SB as part of group@|@mawwikhal (vta)@
@draw: SB ~s@|@wikhike (vai)@
@draw: SB ~s w/colors thus@|@olocossike (vai)@
@draw: SB comes to ~ water@|@natapilom (vai)@
@drawer (furniture)@|@wihqacqehtikon (-ol)(ni)@
@draw-horse@|@tuwihkutolakon (-ol)(ni)@
@drawing: SB is ~ with colors@|@tolocossike (vai)@
@drawn: ST is ~ thus@|@oluwikhasu (vii)@
@dreadful: SB is ~@|@nehkatomahtu (vai)@
@dream about SB@|@puwiyal (vta)@
@dream about ST@|@puwihtun (vti)@
@dream: SB has a scary ~@|@cipi-puwihtu (vai)@
@drenched from rain: SB comes in ~@|@ksiyapawe (vai)@
@dres: SB ~ ess thus@|@oloqote (vai)@
@dress@|@mahkut (-iyil)(ni)@
@dress in sexy clothing: SB ~s@|@maskahsewe (vai)@
@dress poorly: SB ~s@|@ktomaksewe (vai)@
@dress SB@|@t-olahsewhutolal (vta), nassewhutolal (vta)@
@dress SB backward or inside out@|@qolopahsewhutolal (vta)@
@dress SB in many different styles of clothing@|@milsewhutolal (vta)@
@dress SB in thick clothing@|@maspahsewhutolal (vta)@
@dress: SB ~es in sexy clothing@|@maskahsewe (vai)@
@dress: SB ~es in various costumes@|@milsewe (vai)@
@dress: SB ~es self@|@nassewhutolosu (vai)@
@dress: SB ~es thus@|@olsewe (vai)@
@dress: SB gets ~ ed@|@nassewe (vai), nassewhutolosu (vai)@
@dressed up: SB is ~@|@seskinaqsu (vai)@
@dressed: SB is ~ fashionably@|@seskinaqsu (vai)@
@dressed: SB is ~ in red@|@pqeku (vai)@
@dresses in warm clothing: SB ~@|@kisuwahsewe (vai)@
@dribble: SB ~s@|@sokopotune (vai)@
@dried: SB is ~ up@|@sikiqesu (vai)@
@dried: ST is ~@|@kispahte (vii)@
@dried: ST is ~ up@|@sikiqete (vii)@
@dries ST: SB ~ (meat)@|@kispastun (vti)@
@drift away: SB ~s@|@maciyehloqe (vai)@
@drift away: ST ~s@|@maciyehloqe (vii)@
@drift: SB ~s away@|@maciyehloqe (vai)@
@drift: ST ~s away@|@maciyehloqe (vii)@
@drift: ST ~s to shore@|@nattokahtuhuke (vii)@
@drift: the snow swirls into ~s@|@apsqelamsuke (vai)@
@driftwood along shore: SB uses boat to gather ~@|@cimse (vai), cimsuhke (vai)@
@driftwood: piece of ~@|@qahnusq (ni)@
@driftwood: SB gathers ~@|@okonse (vai), qahnusqihke (vai)@
@drill@|@tuwalokihikon (-ol)(ni)@
@drill (tool)@|@lalokihikon (ni)@
@drill bit@|@lalokihikon (ni), tuwalokihikon (-ol)(ni)@
@drill brace@|@pimonikon (-ol)(ni)@
@drill deep hole for SB@|@mulayalokahal (vta)@
@drill deep hole for ST@|@mulayalokahmon (vti)@
@drill deep hole in SB@|@mulayalokahal (vta)@
@drill deep hole in ST@|@mulayalokahmon (vti)@
@drill hole in ST@|@tuwalokahmon (vti)@
@drill sergeant@|@nucikapuwiktahsit (na)@
@drill: small ~@|@lalokihikonossis (ni dim)@
@drink around: SB ~s@|@yalcokossomu (vai)@
