@English@|@Spanish (Forestry)@
@ox@|@buey@
@ox driver@|@guañan@
@ox team@|@yunta de bueyes@
@oxic@|@óxico@
@oxisols@|@oxisoles@
@P.A.I. (Periodic Annual Increment)@|@I.C.A.(Incremento Corriente Anual)@
@pack animal@|@bestia@
@pack horse@|@bestia@
@paired plots@|@parcelas pareadas@
@palm tree@|@palma@
@papagayo@|@guacamayo@
@paper@|@papel@
@paper)@|@longitud de rotura (pulpa, papel)@
@paperboard@|@cartón@
@parameter@|@parámetro@
@parasite@|@parásito@
@parenchyma (cell)@|@parénquima (célula)@
@parenchyma cell@|@célula del parénquima@
@parentage@|@parentesco@
@parents@|@padres@
@parrot@|@lora@
@partial cut@|@tala selectiva@
@particle board@|@lámina aglomerada, tablero aglomerado@
@particleboard@|@tablero de partículas@
@pasture@|@pastizal, pradera@
@pastures@|@pasturas (A)@
@pathogen@|@patógeno@
@pattern@|@patrón (modelo)@
@peasant@|@campesino@
@peat@|@turba@
@peatmoss@|@musgo, lama@
@peel@|@cascara (fruta), descortezar@
@periodic annual increment@|@incremento corriente anual@
@perithecium@|@peritecio@
@pest@|@peste@
@pest (insect)@|@plaga@
@pesticide@|@pesticida@
@petal@|@pétalo@
@petiole@|@petiolo@
@phenology@|@fenología@
@phenotype@|@fenotipo@
@pheromone@|@feromona@
@Philippine mahogany@|@caoba filipina@
@Phillips@|@destornillador de estría@
@phloem@|@floema@
@phyllode@|@filodio@
@phynolic glue@|@cola fenólica@
@physiognomy@|@fisionomía@
@pickup truck@|@camioneta@
@piece rate@|@destajo@
@pile residue@|@acordonar, apliar residuos (CR)@
@piling@|@pilote, pilotes, pilotaje@
@pine@|@miera, pino (A), pino@
@pine forest@|@pinar@
@pinestraw@|@hojarasca de acículas@
@piranha@|@caribe (V), piraña, piraña, caribe (V)@
@pit prop@|@viga de mina@
@pith@|@médula@
@plagiotrophic@|@plagiotrópico@
@plain@|@llanura@
@plains@|@llanos@
@plane (wood)@|@cepillar (madera)@
@planed lumber@|@madera cepillada, madera pulida@
@planer@|@cepilladora@
@plank@|@tabla@
@plant (manufacturing)@|@fábrica@
@plant (vegetative)@|@planta@
@plantación@|@plantación@
@plantation@|@bosque implantado (A), forestación (A)@
@plantation(A)@|@monte@
@planting@|@forestación (A), plantación, siembra@
@planting machine@|@máquina plantadora, plantadora@
@pliers@|@alicates@
@plot (of land)@|@parcela@
@plow@|@arado@
@plow (to)@|@arar@
@plus tree@|@árbol plus (superior)@
@pluvial rain forest@|@bosque pluvial@
@plywood@|@compensado (A), contraenchapado, tablero laminado, terciado (A), triplex (C)@
@plywood center (core)@|@alma (centro) del contraenchapado@
@plywood sheet@|@tablero contraenchapado@
@point sampling@|@muestreo por puntos@
@poison@|@veneno@
@poisonous snake@|@culebra venenosa@
@pole@|@vara@
@poles@|@postes de transmisión@
@pollen@|@polen@
@pollinate@|@polinizar@
@pollution@|@contaminación@
@poplar@|@álamo@
@pore@|@poro@
@portable wood shaper@|@tupí portátil@
@prairie@|@pradera@
@precipitation@|@pluviosidad@
@precommercial thinning@|@entresaca precomercial@
@prefabricated wooden house@|@casa prefabricada de madera@
@prescribed burn@|@quema prescrita@
@preservationist@|@conservacionista@
@preservative dip@|@baño antimancha@
@pressure treatment tank@|@cilindro de impregnación@
@prick out (seedlings)@|@repicar (plántulas)@
@primary joists@|@viga madre@
@primary root@|@raíz principal@
@prime rate@|@tasa libor@
@prism@|@prisma@
@progeny test@|@ensayo de progenie@
@prohibition@|@veda@
@project@|@proyecto@
@propagule@|@propágulo@
@property@|@propiedad@
@provenance@|@procedencia@
@prune (cut limbs)@|@poda@
@puffball (fungus)@|@pedo de bruja (C) (hongo)@
@pulaski (fire tool)@|@pulaski (herramienta para candela)@
@pulley@|@polea@
@pulp@|@pasta, pulpa, pulpa@
@pulpwood@|@madera de pulpa@
@pulpwood stick@|@rola (V), troza para pulpa@
@puma@|@puma, león de montaña@
@pycnidium@|@picnido@
@qualitative@|@cualitativo@
@quantitative@|@cuantitativo@
@quartz@|@cuarzo@
@quote@|@oferta financiera@
@rabbit@|@conejo@
@radial cut@|@sección radial@
@railroad ties@|@durmientes, polines@
@rain@|@lluvia@
@rainstorm@|@aguacero, tempestad, tormenta@
@rake@|@rastrillo@
@ramet@|@rameto@
@random@|@al azar@
@random lengths@|@largos sorteados@
@randomized blocks@|@bloques al azar@
@range finder@|@telémetro@
@ranger@|@experto, tecnólogo forestal@
@rank@|@escalafón, orden@
@raspberry@|@frambuesa@
@rat@|@rata@
@rate of interest@|@tasa de interés@
@ratio@|@cociente, tasa@
@rattan@|@bejuco, junco@
@rattlesnake@|@cascabel@
@real dimension@|@dimensión real@
@recalcitrant (seed)@|@recalcitrante (semilla)@
@record (data log)@|@registro@
@recreation@|@recreo@
@red knot@|@nudo fijo@
@regression@|@regresión@
@regular sailings@|@embarques regulares@
@regulation of cut@|@regulación del aprovechamiento@
@reindeer@|@reno@
@relascope@|@relascopio@
@relatedness@|@consanguinidad@
@relevant@|@pertinente@
@renewable natural resource@|@recurso natural renovable@
@residual stand@|@masa remanente@
@resin@|@miera, pino (A), resina@
@resin (tree fatty acids)@|@calofonia@
@resin canals@|@canales resiníferos@
@restriction@|@veda@
@ridge@|@cima, filo@
@ring debarker@|@descortezadora de anillo@
@ringshake@|@acebolladura (M), separación de los anillos anuales@
@road network@|@red de caminos@
@road system@|@red de caminos@
@rock outcrop@|@floramiento rocoso@
@rock phosphate@|@roca fosfórica@
@rogue@|@entresaca (huerto semillero)@
@roguing@|@entresaca (huerto semillero)@
@rolling (hills)@|@ondulado (pendiente)@
@roof truss@|@cercha@
@root collar@|@cuello radicular@
@root hairs@|@raicillas@
@root pruning@|@poda radicular@
@root wrenching@|@poda inferior (vivero)@
@root wrenching (nursery)@|@descalce (CH) (vivero)@
@rooted cuttings@|@estacas enraizadas@
@rooting of cuttings@|@enraizamiento de estacas@
@rootstock (for grafting)@|@patrón (para injertar)@
@rosewood@|@palo de rosa@
@rot@|@pudrición@
@rotary brush cutter@|@rotativa@
@rotary mower@|@guadaña (C)@
@rotary veneer@|@debobinado (A)@
@rotation@|@ciclo de corte, turno, turno@
@rotation age@|@edad de turno@
@round roof stingers@|@listón@
@roundwood@|@madera rolliza@
@row@|@fila, hilera@
@row thinning@|@raleo sistemático@
@rubber@|@caucho@
@rubber tree@|@caucho, hule (CA)@
@runoff@|@escorrentía@
@runt@|@enana (planta)@
@rust (fungus)@|@roya@
@safety@|@seguridad@
@safety belt@|@cinturón de seguridad@
@sample (to)@|@muestreo, muestrear@
@sample plot@|@prueba, parcela de@
@sample plots@|@parcela de prueba@
@sampling@|@muestreo, muestrear@
@sampling error@|@error de muestreo@
@sand@|@arena@
@sand dune@|@duna@
@sanded wood@|@madera lijada@
@sandpaper@|@papel lija@
@sandstone@|@roca arenisca@
@sandy clay loam@|@franco arcillo-arenoso@
@sandy loam@|@franco arenoso@
@sap@|@savia@
@sap rot@|@pudrición de la albura@
@sapling forest@|@tacotal (CA)@
@sapling stand@|@latizal@
@sapwood@|@albura@
@savanna@|@sabana@
@saw@|@sierra@
@sawdust@|@aserrín@
@sawdust hopper@|@aserrín, silo de, silo de aserrín@
@sawmill@|@aserradero@
@sawn wood@|@madera aserrada@
@sawtimber@|@madera de aserrío@
@sawtimber pruning@|@poda de calidad@
@sawtimber species@|@especies maderables@
@scale@|@escalafón, pesa@
@scale (for weighing)@|@balancín (A), balanza, pesa@
@scale (pine cone)@|@escama@
@scale for weighing trucks@|@romana (V)@
@scales for weighing@|@báscula@
@scalp (for planting)@|@cajete (M)@
@scalp with hoe@|@carpida con azada (A)@
@scalping (for planting)@|@plateo, rodaja (CR)@
@scatter@|@dispersar, diseminar@
@schist@|@esquisto@
@scion@|@pua@
@scion (tree)@|@yema del árbol@
@scorpion@|@alacrán@
@screw@|@tornillo goloso, barrenador@
@screw driver@|@destornillador, destornillador de estría, destornillador de pala@
@screwed@|@atornillado@
@scythe@|@guadaña (C)@
@seaborne@|@carga marítima@
@second growth@|@capuera (A)@
@secondary forest@|@barbecho (CA)@
@second-growth forest@|@bosque secundario@
@sediment@|@sedimento@
@seed@|@semilla@
@seed bed@|@bancal@
@seed drill@|@sembradora@
@seed orchard@|@huerto semillero@
@seed production area@|@rodal semillero@
@seed tree@|@árbol padre, árbol portagranos (M), árbol semillero@
@seedling@|@plantín (A), plantita, plántula@
@seedling plantation@|@brinzal@
@selection thinning@|@raleo selectivo@
@selective cutting@|@tala selectiva@
@self pollination@|@autopolinización@
@selfing@|@autopolinización@
@semi-trailer@|@batea (V)@
@senior author@|@autor principal@
@separation@|@tabique@
@set (saw tooth)@|@traba (diente de sierra)@
@settlement@|@vereda@
@sexual reproduction@|@multiplicación sexual@
@shade@|@sombra@
@shade house@|@umbráculo@
@shade tolerant@|@umbrófila@
@shade tolerant specie@|@heliófita (especie)@
@shake@|@separación de los anillos anuales@
@sharpen@|@afilar@
@shavings@|@viruta@
@sheath@|@vaina@
@shipper@|@transportador (carga)@
@shoot@|@brote@
@shoot borer@|@barrenador de tallo@
@shop@|@taller@
@short course@|@cursillo@
@shovel@|@pala, palendra@
@shrub@|@arbusto@
@siblings@|@hermanos@
@sibs (trees)@|@hermanos@
@significant@|@significativo@
@silicon@|@sílice@
@silicone@|@silicio@
@silviculture@|@dasonomía, silvicultura@
@single axle or straight@|@rabón (M)@
@site preparation@|@preparación de sitio, preparación del suelo@
@site quality@|@calidad de sitio, sitio, calidad de@
@skid (logging)@|@arrastrar@
@skid trail@|@camino de arrastre, pica (V), pista de arrastre (CR), vía de extracción@
@skidder@|@motoarrastrador (A)@
@skidding@|@arrastre@
@skragg mill@|@canteadora@
@skunk@|@mofeta, zorrillo@
@skyline cable@|@cable aéreo@
@slab (of log)@|@costanera, costero, costanero@
@slab (of logs)@|@orillo (C)@
@slash@|@desechos de la explotación@
@sledge hammer@|@porra@
@sleepers@|@durmientes@
@sliced veneer@|@faqueado (A)@
@slide (microscope)@|@porta-objetos (microscopio)@
@slope@|@cuesta, ladera, pendiente,cuesta@
@small@|@chapulín (CR)@
@small drainage@|@acequia@
@small farm@|@minifundio@
@small monkey@|@mico (C), mono@
@small owl@|@lechuza@
@small shovel@|@coa (M)@
@small timber stand@|@fustal@
@smog@|@bruma@
@smoke@|@humo@
@smoke jumper@|@bombero paracaidista@
@snag@|@fuste seco@
@soaked@|@mojar, mojado@
@socket wrench@|@llave de copas@
@softwood@|@madera blanda (de conífera)@
@soil analysis@|@análisis de suelo@
@soil medium (nursery)@|@medio (vivero)@
@soil pit@|@calicata (M)@
@soil scientist@|@edafólogo@
@solar radiation@|@radiación solar@
@solid wood products@|@productos sólidos de madera@
@sound defect in wood@|@defecto sólido de la madera@
@sound face cutting@|@corte de la mejor cara@
@sound knot@|@nudo fijo@
@sow@|@sembrar@
@sowing@|@siembra@
@spade@|@pala, palendra@
@Spanish cedar@|@cedro@
@spark@|@chispa@
@species@|@especie@
@specific combining ability@|@habilidad combinatoria específica@
@specific gravity@|@gravedad específica@
@spiral grain@|@grano en espiral (CR)@
@spiraled (roots)@|@espiraladas (raices)@
@splinter@|@astilla@
@split@|@rajadura@
@split wood@|@madera rajada@
@spodic@|@espódico@
@spodosol@|@espodosol@
@spore@|@espora@
@spot fire@|@conato de incendio@
@spring (season)@|@primavera@
@springwood@|@madera temprana@
@sprout@|@cogollo@
@sprouts@|@rebrotes, cópice, retoños, rebrotes@
@spruce@|@abeto@
@square root@|@raíz cuadrada@
@squirrel@|@ardilla@
@staining fungi@|@hongos cromógenos@
@stakes@|@estacas@
@stand of trees@|@rodal@
@standards@|@pautas@
@standing volume@|@volumen en pie@
@statistical@|@estadístico@
@statistically@|@estadísticamente@
@statistician@|@estadístico@
@stave@|@estiva@
@stem@|@tallo@
@stere (a m3 of piled wood)@|@estereo@
@stick@|@palo, varilla@
@sticker (of lumber)@|@separador de madera aserrada@
@stinkbug@|@chinche@
@stocking@|@densidad de plantación, población forestal@
@stocking index@|@índice de densidad relativa@
@stomates@|@estomas@
@stony@|@pedregoso@
@storm@|@aguacero, tempestad, tormenta@
@straightness@|@rectitud@
@strain@|@cepa@
@stratification@|@estratificación@
@straw@|@paja@
@stream@|@arroyo@
@stream flow@|@caudal@
@stress grading@|@calificación por resistencia@
@stringers (roof)@|@correa de techo@
@strip of land@|@faja@
@strip planting@|@plantación en faja@
@strip plantings@|@fajas de enriquecimiento@
@strips (of bark)@|@tiras (de corteza)@
@stud@|@pie derecho, pilote@
@study@|@estudio@
@stump@|@tocón@
@stump (seedlings)@|@pseudoestaca@
@stumpage@|@madera en pie@
@stumpage (value)@|@valor de la madera en pie@
@subflooring@|@contra piso@
@subsoil@|@subsuelo@
@subsoil (to)@|@subsolar@
@subsoiler@|@subsolador (campo)@
@subtract@|@restar@
@sucker (root sprout)@|@chupón (brote de raíz)@
@sum of squares (SS)@|@suma de cuadrados (SC)@
@summary@|@resumen@
@summer@|@verano@
@summerwood@|@madera tardía@
@suppressed@|@suprimido@
@surface fungi@|@moho en la madera@
@survey@|@inventario, muestreo, muestrear@
@survey line@|@pica (V)@
@survival@|@sobrevivencia, supervivencia@
@sustained yield@|@normalización de corte, rendimiento sostenido@
@swail@|@drenaje natural, area de@
@swamp@|@pantano@
@swamp forest@|@guandal (C)@
@swamp lake@|@ciénaga@
@swelling@|@hinchazón@
@table (in a report)@|@cuadro (de un informe)@
@tag@|@etiqueta, marca, marca, etiqueta@
@tall grass@|@zacate (M)@
@tall grassland@|@zacatal (M)@
@tall oil (pulping extract)@|@ácidos grasos del pulpeo@
@tandem truck@|@camión de doble eje (N), doble troque (C), toronto (V), torton (M)@
@tangential cut@|@sección tangencial@
@tannin@|@tanino@
@tap root@|@raíz pivotante@
@taper equations@|@ecuaciones de conicidad@
@tapir@|@tapir@
@tar@|@brea@
@tare@|@tara@
@task@|@faena (forestal), tarea, trabajo@
@taxonomy@|@taxonomía@
@teak@|@teca@
@technician@|@experto, tecnólogo forestal, perito@
@telephone poles@|@postes de transmisión@
@terminal leader@|@cogollo@
@termite@|@comején, termita@
@test@|@ensayo, prueba@
@tetraploid@|@tetraploide@
@thermal mechanical pulp (TMP)@|@pulpa termo-mecánica@
@thick boards@|@tablón, tablones@
@thicket@|@brinzal@
@thin@|@aclarar@
@thinning@|@aclareo, entresaca, raleo, aclareo, entresaca@
@thinning from below@|@entresaca por lo bajo@
@thousand board feet (mbf)@|@mil pies tablares@
@thunder@|@trueno@
@tick@|@garrapata@
@tillage@|@labranza@
@timber@|@madera@
@timber cruise@|@inventario forestal@
@time/cost study@|@estudio de tiempos y movimientos@
@tire@|@caucho (V), goma (A), llanta@
@tissue culture@|@cultivo de tejidos@
@to@|@aparear, rolear (V)@
@to file@|@lijar@
@to plant@|@sembrar@
@to scalp@|@cajetear(M)@
@to spray@|@rociar@
@toad@|@sapo@
@tongs@|@tenazas@
@tongue & groove@|@lengüeta y ranura (V), machihembrado@
@tool@|@herramienta@
@top@|@ápice@
@top log@|@troza superior del fuste@
@top prunning@|@descoronar (CR), destope del árbol@
@top removal (tree)@|@destopar (árbol)@
@top roof joist@|@viga cambrera@
@top soil@|@suelo de capote@
@topographic survey@|@levantamiento topográfico@
@tortoise@|@morrocoy, tortuga@
@total overbark volume@|@volumen total con corteza@
@total underbark volume@|@volumen total sin corteza@
@tower operator@|@torrero, vigilante de torre@
@tracheid length@|@longitud de traqueida@
@tract@|@predio@
@tractor & full trailer@|@equipo (A)@
@tractor-trailer@|@gandola (V), rastra y cabezal (N), semi-remolque (A), tractomula (C)@
@tractor-trailer truck@|@camión articulado (M)@
@trail (path)@|@vereda@
@trailer@|@acoplado (A), gandola (V)@
@trait (genetic)@|@rasgo@
@transplant@|@transplante@
@traveling gantry crane@|@grua en rieles para carga de navios@
@treatment@|@tratamiento@
@tree@|@palo@
@tree breeder@|@arboricultor@
@tree breeding@|@arboricultivo@
@tree farmer@|@reforestador@
@tree improvement@|@mejoramiento de árboles@
@trend@|@tendencia@
@trial@|@ensayo, estudio, prueba@
@triangle configuration for planting@|@plantación en tresbolillo (C,V)@
@triple superphosphate@|@superfosfato triple@
@triploid@|@triploide@
@triploid aspen@|@álamo triploide@
@tropical rain forest@|@bosque húmedo tropical@
@truck@|@camión, rabón (M)@
@truck driver@|@camionero, chofer, camionero@
@truck tractor@|@chuto (V)@
@trunk (tree)@|@tronco@
@T-test@|@prueba T de Student@
@turgidity@|@turgidez@
@turpentine@|@trementina@
@turtle@|@morrocoy, tortuga@
@twig girdler (insect)@|@aserrador (insecto)@
@twist@|@torcedura@
@two-way radio@|@radio-teléfono@
@underbark@|@sin corteza (troza descortezada)@
@underbrush@|@sotobosque@
@undercut@|@poda inferior (vivero)@
@undercut (nursery)@|@poda basal (vivero)@
@undercutter@|@subsolador (vivero)@
@understory@|@estrato inferior, sotobosque@
@uneven aged (stand)@|@multietaneo (rodal)@
@uneven-aged@|@disetaneo@
@upland forest@|@bosque de altura (CR)@
@upright post@|@pie derecho, pilote@
@uptake of nutrients@|@toma de nutrientes@
@upwind@|@barlovento@
@vegetation@|@vegetación@
@vegetative reproduction@|@multiplicación agámica@
@veneer@|@chapa, enchapado@
@veneer (rotary)@|@chapa desenrollada, desenrollado@
@veneer (sliced)@|@chapa rebanada, chapilla@
@veneered@|@chapa, enchapado@
@vertisols@|@vertisoles@
@vessel (wood cell)@|@vaso (célula de madera)@
@vine@|@enredadera, trepadora (planta)@
@vine removal@|@desbejucar@
@virgin forest@|@bosque primario, bosque virgen@
@volcanic ash@|@ceniza volcánica@
@volume@|@volumen@
@volume table@|@tabla de volumen@
@vulture@|@gallinazo(C),zamuro(CA),zopilote(M)@
@wall@|@revestimiento@
@wall covering@|@revestimiento@
@wall framing@|@tabique@
@walnut@|@nogal@
@wand@|@varilla@
@warp@|@torcedura@
@wasp@|@avispa@
@wasteland@|@terreno baldío@
@wastepaper@|@papel desperdicio, papel reciclable@
@water@|@agua@
@water (to)@|@regar@
@water moccasin (snake)@|@mapaná (C), mapanare (V)@
@water table@|@nivel freático@
@watershed@|@cuenca hidrográfica@
@weasel@|@comadreja@
@weather@|@clima@
@wedge@|@cuña@
@weed@|@maleza@
@weed (to)@|@deshierbar, desmalezar@
@weeding (in plantations)@|@limpieza (en plantaciones)@
@weeding with hoe@|@carpido (A)@
@weeds@|@maleza@
@weevil@|@gorgojo@
@weight@|@peso@
@weighted average@|@promedio ponderado@
@weld@|@soldadura, soldar@
@welder@|@soldador@
@wet@|@mojar, mojado@
@wet-dry forest@|@bosque húmedo-seco@
@wheel tractor@|@chapulín (CR)@
@whirlwind@|@ráfaga de viento, remolino@
@width@|@ancho de tablas@
@width of sawcut@|@lama (V), aserrín@
@wild fire@|@incendio forestal@
@wilderness@|@monte@
@wildlife@|@fauna silvestre@
@willow@|@sauce@
@wilt@|@marchitamiento@
@wilt (to)@|@marchitar@
@winch@|@winche@
@windbreak@|@barrera rompeviento, cortina rompeviento@
@windrow@|@trinchera@
@windrowing@|@apilar en trincheras ó fajas@
@windthrow@|@volcamiento de árboles@
@windward@|@barlovento@
@winter@|@invierno@
@with bark@|@con corteza@
@wither@|@marchitar@
@witness@|@testigo@
@wood@|@madera@
@wood borer@|@coquito (insecto)@
@wood chisel@|@formón, mazo (V), cincel, formón@
@wood clamp@|@abrazadera, mordaza paralela@
@wood curve@|@encorvadura (V), curvatura@
@wood density@|@densidad aparente, densidad básica, densidad de madera, peso específico/anhidro@
@wood finish@|@acabado de madera@
@wood grain@|@veta, veteado@
@wood plane@|@garlopa (V)@
@wood planer (machine)@|@regruesadora@
@wood planer machine@|@cepilladora de espesor@
@wood procurement@|@abastecimiento de madera@
@wood shaper@|@tupí@
@wood treatment plant@|@planta de impregnación@
@wood warp in arch@|@arqueadura@
@wood workability@|@trabajabilidad de la madera@
@woodchip@|@viruta@
@wood-free paper@|@papel sin pulpa mecánica@
@woodlands@|@monte@
@woods@|@bosque@
@woods worker@|@baqueano@
@woody@|@leñoso@
@woody plant@|@planta leñosa@
@woodyard@|@patio de madera, playa de acopio (A)@
@work day@|@jornada@
@wrench@|@llave@
@writing paper@|@papel de imprenta@
@xerophytic forest@|@bosque xerofítico@
@xylem@|@xilema@
@yard@|@patio@
@yield@|@rendimiento@
@yield table@|@tabla de rendimiento@
@zenith@|@zenit; cenit@
@zone@|@zona@
@zoology@|@zoología@
@zygote@|@cigoto@

