@English@|@Oriya@
@famous@|@prasiddhha@
@far@|@dura@
@fast@|@drutta, upaasa@
@fatal@|@ghaatak@
@Father@|@Bapa@
@fatherly@|@pitrutva@
@fault@|@dosha / trootee, dosha /trootee@
@favour@|@anugraha, anugraha / krupaa@
@favourable@|@anookula@
@fear@|@bhaya / dar@
@fearless@|@nirbhaya@
@feast@|@bhojee@
@fed up@|@ateesta@
@feeble@|@durbala@
@feel@|@anoobhava@
@Fenugreek@|@Methi@
@Fenugreek seeds@|@Methi@
@fertiliser@|@saara@
@fervent@|@aakula@
@fever@|@jwara@
@fill up@|@poorna@
@finance@|@artha@
@financial@|@aarthika@
@finish@|@samapta@
@fire@|@niaa@
@firm@|@drudha@
@firm determination@|@drudha sankalpa@
@first@|@prathama@
@Fish@|@Machha@
@fist@|@muthaa@
@fistful@|@purna muthhaa@
@five@|@paanch, paanjch@
@flag@|@patakaa@
@flatter@|@khusaamad karibaa@
@flaw@|@trutee@
@float@|@bhaaseebaa@
@flour@|@Maida / ata@
@Flour@|@Maida@
@flow@|@sanchaara@
@flower@|@phula@
@foe@|@shatru@
@fog@|@kuhudee@
@follow@|@abalambana, abalambana / anukarana@
@food@|@khaadya / aahaara@
@for a moment@|@kshyanika@
@forehead@|@kapaala@
@formula@|@sutra@
@fortune@|@bhagya@
@forty@|@chalees@
@four@|@chaari@
@fragrance@|@sugandha@
@French@|@Pharsi@
@friday@|@shukrabaara@
@Friend@|@Bandhu, Saanga@
@Fries@|@Bhaja@
@front door@|@daanda dwaara@
@fry@|@Bhaja@
@full@|@poorna@
@funny@|@haasyaspada@
@furtively@|@luchee chapee@
@gap@|@byabadhaana@
@Garlic@|@Rasuna@
@gas@|@gaseau /baaspa@
@gather@|@saaunteebaa / ekatrita@
@gathering@|@samaagam@
@generous@|@udaara@
@gentle@|@bhadra@
@gentleman@|@bhadraloka@
@German@|@German@
@get@|@praapta@
@ghost@|@bhoota@
@Ginger@|@Adaa@
@girl@|@baalika@
@girl wellwishes two families@|@duhitaa duikulaku hitaa@
@Go@|@Jeeba@
@goat@|@CHHELI@
@gold@|@sunaa@
@golden@|@soonelee@
@Good@|@Bhala@
@Good evening@|@Subha sandhya@
@Good morning@|@Suprabhat@
@Good night@|@Subha ratri@
@Goodbye@|@Bidaay namaskar@
@government@|@prasasana, prasasana, prasasana@
@Gram flour@|@Besan@
@grasp / hold@|@dharibaa@
@grateful@|@kruttagnya@
@great@|@bheesana / atee, bheesana / atee /prabala@
@great speed@|@prabala bega, prabala bega@
@greatly@|@atyaadhika@
@green@|@sabuja@
@Green chili pepper@|@Kanchaa Lanka@
@Green gram (Split)@|@Muga dali@
@Green gram (whole)@|@Muga@
@greeting@|@abhinandana@
@griefstricken@|@marmaahata@
@guard@|@prahari@
@guess@|@anumaan@
@habit@|@abhyaas@
@ham@|@ham@
@hand@|@baahu / haata@
@handicapped@|@bikalaanga / bhinnakshyama@
@handicraft@|@hastasilpa@
@hapiness@|@sukha@
@happiness@|@prasannata@
@happy@|@prasanna, prasanna / prafullita@
@hard@|@kathina@
@hard work@|@katheena parisrama@
@harmony@|@samannaya@
@he@|@say@
@He ate an apple@|@Say seo khaila@
@He eats an apple@|@Say seo khaye@
@He goes@|@Say Jaye@
@He had come@|@Say aasithila@
@He had eaten@|@Sa khai thilla@
@He had gone@|@Say jaithilla@
@He has eaten@|@Say khaichi@
@He is eating an apple@|@Say seo khauchi@
@He slept the whole night@|@Say rati sara soithila@
@He will come@|@Say aasiba@
@He will eat@|@Say khaiba@
@He will go@|@Say jiba@
@He wrote well in the exame@|@Say pariksha bhala karichi@
@headache@|@mundabindhhaa@
@healthy@|@susthha@
@heart@|@hrudaya@
@heaven/ sky@|@aakasha@
@hello@|@NAMASKAR@
@help@|@SAHAJYA, sahajya / sahaayataa@
@helpless@|@nirupaay / laachaara@
@helpless look@|@kaatara drushtee@
@heritage@|@ayiteehya@
@hesitation@|@dooveedhaa@
@hide@|@aatmagopana@
@high@|@uchha@
@hinted@|@ingeeta kareebaa@
@hippopotamus@|@jalahasti@
@hole@|@randhra@
@holy@|@pabitra@
@honest@|@sachot@
@hope@|@aashaa@
@hope and despair@|@aashaa o niraashaa@
@horizon@|@diganta@
@horse@|@ghoda@
@hospital@|@daktarkhana@
@hostility@|@birodhitaa@
@hot@|@utapta@
@house@|@ghara@
@How are you?@|@Tume kemiti achha?, Tume kipari acha?@
@How did you come?@|@Tume kemiti asila?@
@How did you drive?@|@Tume kemiti chaleila?@
@How did you sleep?@|@How did you sleep?@
@How did you write?@|@Tume kemiti lekhila?@
@How many apples are in my hand@|@Mo hatare ketoti seo achhi?@
@How many did you take?@|@Tume ketoti nela?@
@How much did he pay you?@|@How much did he pay you?@
@how much does this cost@|@E HA RA DAM KETE@
@How was the journey yesterday?@|@Gat kali jatra kemiti thilla?@
@huge@|@bishaala@
@human@|@maneesa@
@humanity@|@manisatwa@
@humble@|@namra@
@hunger@|@kshudhha@
@Husband@|@Bara, Pati, Swami@
@I@|@mu, mun@
@I am fine@|@Mu bhal achhi@
@I do not understand@|@Mun bujhi paru nahin@
@I go@|@Mu jaye@
@I shall come with you@|@Mu tum sahita jibi@
@identity@|@parichaya@
@importance@|@gurutwa, praadhaanya@
@impossible@|@asambhava, assambhava@
@impress@|@prabhaabeeta@
@impudent@|@abhadra@
@in bad books@|@manda drushteere@
@in front off@|@samakshya / sanmukha@
@in short@|@sankshepare@
@In which room did you sleep?@|@Kyon bakhara re tume soiba?@
@inappropriately@|@asangata bhaabare@
@incapable@|@asamartha@
@incident@|@ghatana@
@include@|@antarbhukta@
@incognito@|@agnyaata@
@income@|@aaya@
@incorporate@|@sammilita@
@increase@|@bruddhee, brudhee@
@increase in prices@|@daradaam bruddhee@
@indecent@|@asleela@
@Indian Zucchini@|@Jahni@
@indigenous@|@swadeshee@
@industrious@|@udyamee@
@industry@|@udyoga, udyoga / shilpa@
@inflict@|@graasa@
@inflicted@|@graasita@
@influence@|@prabhaabeeta@
@influential person@|@musthhimeya byaktee@
@information@|@soochana@
@innocence@|@nireehataa@
@innocent@|@nirdosh, nirdosh / nireeha@
@inside@|@bhitara@
@insignificant@|@tuchha@
@inspect@|@anudhyaana@
@inspection@|@anudhyaana@
@inspiration@|@preranaa@
@inspite@|@satwe@
@instigate@|@prabartaaeebaa@
@insult@|@apamaan@
@intense@|@prakhara@
@intention@|@abhipraya@
@interest@|@aagraha, aagraha / sudha, aagraha / sudha / ruchee@
@interest rate@|@sudha haara@
@intimate@|@antaranga@
@invention@|@udbhaavana@
@investigation@|@anusandhaana@
@investigative@|@anusandhaanamulaka@
@invitation@|@nimantrana@
@invite@|@nimantrana@
@invitee@|@nimantrita@
@involve@|@samprukta@
@irregularity@|@aniyamitataaa@
@irrigation@|@jala sechana@
@irritate@|@birakta@
@Is@|@Ate@
@Is it a book?@|@Aha gote bahi ki?@
@it@|@eita@
@It is a book@|@Aha gote bahi@
@it is nice to meet you@|@APANANKU DEKHI KHUSI HELI@
@Jack Fruit@|@Panasha@
@Jaggery@|@Guda@
@jewellery@|@gahanaa@
@join@|@jodibaa@
@jump@|@deinbaa / lampa@
@jurisdiction@|@parisarabhukta@
@just@|@uchit@
@justification@|@jathaarthataa@
@keep@|@rakha@
@key@|@chaabee@
@kidnap@|@apaharana@
@kidnapper@|@apaharanakartaa@
@kill@|@hatyaa@
@king@|@raja@
@kitchen@|@roseighara@
@knee@|@aanthoo@
@knife@|@chhoori@
@know@|@gnyata@
@knowledge@|@gnyatasaara@
@lacking@|@oona@
@lady@|@bhadramahila@
@lake@|@hrada@
@lamb@|@CHELI, MENDHA@
@language@|@bhasa@
@last@|@sesha / anteema@
@laugh@|@haseebaa@
@laughter@|@hasa@
@law@|@aaeen@
@law breaker@|@aaeen ulanghanakaari@
@layer@|@stara@
@leaf@|@patra@
@Leafy Vegetables@|@Saga@
@left@|@BAMA@
@legal proceeding@|@aaeengata karjyanushthaana@
@legend@|@kimbadanti@
@Lentils@|@Dali@
@lesson@|@sikhyaa@
@letter@|@patra@
@life@|@jibana@
@lift irrigation@|@uthaa jalasechana@
@light@|@aaloka@
@light beam@|@rashmi sikha@
@lightning@|@beejuli, beejuli / bajrapaat@
@limit@|@seemaa@
@lion@|@singha@
@liquid@|@tarala@
@list@|@suchipatra / bibaranee@
@litigation@|@bibaada@
@loan@|@runa@
@lock@|@taalaa@
@lodgings@|@aabaasa sthaana@
@long@|@lambaa@
@loss@|@kshyetee@
@lost@|@hareibaa@
@lost everything@|@sarbaharaa@
@lost in thought@|@chintaamagna@
@love@|@bhala paaeebaa, bhala paaeebaa / prema@
@low grade@|@nimna maana@
@luck@|@bhaagya@
@lucky@|@bhaagyawaan@
@mad@|@paagala@
@madness@|@paagalaami@
@magic@|@jadu@
@maid@|@dhayee@
@maintain@|@paalana@
@make@|@karibaa@
@Mango@|@Amba@
@manners@|@aacharana, aacharana / sishtaachaar@
@market@|@bajaara@
@matchbox@|@diaasili@
@matchstick@|@diasili kathi@
@material@|@saamagree@
@maternal uncle@|@mamu@
@matter@|@padartha@
@May I come in?@|@mu bhitaraku aasi paare ki?@
@maybe@|@sambhavata / bodhhuey@
@me@|@mu@
@meaning@|@artha / bhaabartha, artha / bhaabartha@
@Meat@|@Mansa@
@mechanical@|@jaantrika@
@mechanical fault@|@jaantrika trootee@
@medicine@|@ausadhha@
@medicine shop@|@aushadhaalaya@
@medium@|@madhyam/ maadhyama@
@meet@|@sakshyat@
@meeting@|@sammilanee / baithaka@
@memento@|@santaka@
@memory@|@smrutee, smrutee / smaranashaktee@
@mental@|@manasika@
@merciless@|@nirdayee / nirmama@
@mercy@|@anukampaa, dayaa@
@merge@|@misaaeebaa@
@middle@|@maadhyamika, MAHJI@
@midget@|@baamana@
@might@|@pratapa@
@mighty@|@prataapi@
@military@|@samarika@
@milk@|@DUDHA@
@mine@|@khani, moro@
@mingle@|@misrita hebaa@
@Mint leaves@|@Podina@
@mirage@|@mrugatrushna@
@miserable@|@sochaneeya@
@mist@|@tushara@
@misutilisation@|@durupayog@
@Mixure Cumin@|@Punch Phutana@
@modern@|@aadhunika@
@moment@|@kshyana@
@monday@|@somabaara@
@monetary@|@aarthika@
@monthly@|@maasika@
@moon@|@chandra@
@Mooong@|@Mooga@
@more@|@adheeka@
@mosque@|@masjid@
@Mother@|@Putra@
@mother toungue@|@maatrubhaashaa@
@motherly@|@maatrutva@
@motive@|@udeshya@
@muddy water@|@goliaa paani@
@multiplication@|@gunana@
@Mustard@|@Sorisa@
@Mustard Paste@|@Beasara@
@Mustard seeds@|@Rai, Sorison@
@myself@|@nijaku@
@Name@|@Nama@
@narrowminded@|@sankeerna manabruti@
@natural@|@praakrutika@
@nature@|@prakrooti/aacharana@
@nearby@|@nikatare@
@need@|@aabasyakataa@
@needed@|@loda, loda / aabasyaka@
@neglect@|@abahelaa / oopekshaa@
@neglected@|@abahelita / oopekshita@
@neice@|@bhaanijee@
@nephew@|@bhanaja / puturaa@
@new@|@nuaa@
@news@|@khabara@
@Nice to meet you@|@Aapananku mili bhala laagila@
@night@|@raati@
@nine@|@na'a@
@No@|@Naa@
@non violence@|@ahimsaa@
@normal@|@swabhaavik@
@north@|@uttara@
@note-book@|@khaataa@
@nude@|@nagna / bibastra@
@Nutmeg@|@Jaiphala@
@oar@|@aahulaa@
@object@|@birodh, birodh / bastu, birodh /aapatti / bastu@
@objection@|@aapattee@
@oblige@|@anugraha@
@obliging@|@saujanya pradarshana@
@obstacle@|@prateebandhhaka@
@obstruction@|@baadhaa@
@occassion@|@muhurta@
@occur@|@ghatibaa@
@ocean@|@saagara@
@of course@|@abasya / nischay@
@offer@|@arpana@
@offer oneself@|@samarpana@
@official@|@karmachaari@
@old@|@purunaa@
@on no account@|@kaunasi paristitheere nuhen@
@once@|@thare@
@once again@|@puni thare@
@once more@|@punee thare@
@one@|@ek@
@one after another@|@gotie pare gote@
@Onion@|@Piaja@
@Onion Seeds@|@Nigella Kala jira@
@open@|@khola@
@opened@|@kholiba@
@opening@|@udghaatana@
@opinion@|@mata@
@opponent@|@prateedwandee@
@opportunity@|@sujog@
@opposition@|@prateepakshyataa@
@or@|@kimba@
@orange@|@naarangi@
@oratory skill@|@baakchaaturi@
@order@|@aadesha / nirdesha@
@ordinary@|@saadhaarana@
@orphan@|@anaatha@
@orthodox@|@rakshyanasheela@
@ours@|@aamara@
@out of order@|@achala@
@outside@|@baahaara@
@overtake@|@ateekrama@
@own@|@nijara@
@paddy@|@dhaana@
@pain@|@jantranaa@
@painful@|@kashtadaayaka@
@particular@|@nirdhishta@
@partner@|@saathi@
@passage of time@|@kaalakrame@
@paternal uncle@|@peesa@
@patient@|@rogi@
@peace@|@shaanti@
@Peanuts@|@China Badam@
@Pearl Onion@|@Gundi Piaja@
@people@|@loka@
@Pepper corns@|@Golmaricha@
@permanent@|@sthhaayee@
@permission@|@anumatee@
@perplexed@|@kinkartavyabimudha@
@perseverance@|@pragaadha parisrama@
@personality@|@byakteetva@
@petal@|@paakhuda@
@pharmacy@|@AUSADHA@
@phase@|@parjyaay@
@philosopher@|@daarshanika@
@philosophy of life@|@jeebana darshana@
@physically@|@shaaririka@
@picture@|@chitra / chabee@
@Pinto Beans@|@Rajama@
@pirate@|@jaladasyu@
@Pistachio@|@Pesta bada@
@pity@|@dayaa /anukampaa@
@place@|@sthana@
@plan@|@upaaya@
@planet@|@graha@
@plant@|@kaarkhaana@
@plantain@|@banana@
@player@|@khelali@
@pleasant news@|@khusee khabar@
@please@|@DAYA KARI@
@Please@|@Dayakari@
@plenty@|@prachoora@
@pluck@|@toleebaa@
@point of view@|@drushteekona@
@poison@|@bisa@
@police@|@police@
@pond@|@pokharee@
@poor@|@nirdhana@
@Poppy Seed@|@Posta@
@Poppy seeds@|@Posto@
@popular@|@lokapreeya@
@pork@|@GHUSURI@
@port@|@bandara@
@porter@|@coolie@
@possibility@|@sambhaavana@
@possible@|@sambhava, sambhava@
@post@|@padabee@
@postoffice@|@daakaghara@
@postponed@|@sthagita@
@potato@|@ALU@
@Potato@|@Aloo@
@potter@|@kumbhaara@
@practice@|@abhyaas@
@Prawn@|@Chungudi@
@precarious@|@sankataapanna@
@precarious condition@|@sankatamaya paristithee@
@prejudice@|@pakhyapaat@
@premonition@|@aashanka@
@prepared@|@prastuta@
@presence@|@upastithee@
@presence of mind@|@upastithee buddhee@
@preservation@|@sanrakhyana@
@pressure@|@chaapa@
@prestige@|@sanmaana@
@price@|@mulya@
@pride@|@abhimaan@
@priest@|@pujaka / purohita@
@prince@|@raajkumaar@
@princess@|@raajkumari@
@principle@|@aadarsha@
@private@|@byaktigata@
@prize@|@pooraskaar, puraskaar@
@probability@|@sambhaavnaa@
@problem@|@samasyaa@
@proceedure@|@paddhatti@
@process@|@pranaalee, pranaalee / prakreeyaa@
@production@|@utpaadana@
@profit@|@laabha@
@programme@|@kaarjyakrama@
@prohibited@|@nishedh@
@project@|@prakalpa, prakalpa@
@prolong@|@abirata@
@prominent@|@bikasita@
@promise@|@pratisrootee@
@promise / vow@|@sapath / prana@
@proper@|@upajukta@
@proportion@|@anupaat@
@proposal@|@prastaaba@
@protection@|@sanrakshyana@
@proud@|@garba / garbita@
@public@|@loka, loka / janata@
@public platform@|@jana mancha@
@publication@|@prakaashana@
@punishment@|@danda@
@purified water@|@MINERAL WATER@
@push@|@theliba@
@qualification@|@jogyataa@
@qualified@|@jogya@
@quality@|@maana@
@quantity@|@parimana/matraa@
@queen@|@raani@
@quick@|@sheegra / chanchala@
@rainbow@|@indradhanu@
@Raisin@|@Kishmish@
@ray@|@kirana@
@reaction@|@prateekreeyaa@
@real@|@prakruta, prakruta / baastaba@
@realise@|@upalabhdha@
@reason@|@kaarana@
@reckoning@|@dhaarana@
@reclaim@|@punahrudhaara@
@recovery@|@aadaya@
@red@|@laal@
@Red chili pepper@|@Lanka@
@Red chili powder@|@Lanka Gunda@
@Red Duhulled Lentils@|@Masura dali@
@Red kidney beans@|@Rajama@
@Red Lentils@|@Masura@
@Red Split Lentils@|@Masura dali@
@refined@|@sudhheeta@
@refuse@|@pratyaakhaana / agraahya@
@regard@|@shraddha@
@regret@|@anutaap@
@regretful@|@anutapta@
@regular@|@neeyamita@
@reject@|@pratyakhyana@
@relation@|@samparka@
@released@|@chhaadibaa / mukulibaa@
@relief@|@upasama, upasama / santosha@
@religion@|@dharma@
@remark/view@|@mantabya@
@remember@|@smarana@
@removal@|@niraakarana / nibaarana@
@renounce@|@pareetyaga@
@repeat@|@dohreibaa, dohreibaa / punahaabrutee@
@repeatedly@|@baarambaara@
@repel@|@bitaadita@
@repent@|@paschaataap /glaanee@
@reporter@|@saambaadika@
@reprimand@|@bhartsanaa@
@reputation@|@khyaatee@
@request@|@anurodh@
@require@|@aabasyaka@
@requirement@|@aabasyakataa@
@rescue@|@uddhhaara@
@reservation@|@aarakshyana / sanrakshyana@
@resist@|@pratirodh@
@responsibility@|@daaitva@
@rest@|@bisraama@
@result@|@pareenaama@
@revenge@|@prateeshodh@
@rice@|@chaula, GHEEAA@
@Rice Flour@|@Chaula Chuna@
@right@|@DAHANA, DAHANA / adheekaar@
@rise@|@utha / udaya@
@rising@|@udayamaan@
@river@|@nayee@
@roar@|@garjjana@
@rule@|@raajatva@
@Run@|@Daudiba@
@rural@|@gramya/grameena@
@sacred@|@pabitra@
@sacrifice@|@tyaaga / bauli@
@safe@|@neeraapada@
@Saffron@|@Kesara@
@salt@|@luuna@
@satiate@|@mentaaibaa@
@satisfactory@|@santoshajanaka@
@satisfied@|@santusta@
@satisfy@|@santushta@
@saturday@|@shanivaara@
@saturn@|@sani graha@
@save@|@rakhyaa / sanchaya@
@savings@|@sancheeta, sancheeta / sanchaya@
@say@|@kuha / kaha@
@school@|@bidyalaya@
@sea@|@samudra@
@sea level@|@samudra pattana@
@search@|@khojeebaa / sandhaana@
@secret@|@gupta / gahana@
@secretariate@|@sachibaalaya@
@secretary@|@sacheeba@
@security@|@surakhsya, urakhsya@
@segregate@|@baad debaa@
@selected@|@bibecheeta@
@selection@|@chayana@
@self repentance@|@aatma glaanee@
@selfish@|@swarthapara@
@selfrespect@|@swaabhimaan@
@seller@|@bikretaa@
@Semolina@|@Suji@
@sensitive@|@sambedanasheela@
@sentenced@|@danda bidhan@
@separate@|@alagaa@
@separation@|@bichheda@
@serious@|@gurutara@
@serious crime@|@jaghanya aparaadh@
@seven@|@saat@
@shadow@|@chaaee@
@shameless@|@lajyaaheena@
@shape@|@aakaara@
@share@|@baantiba, bhaaga@
@sharp@|@teekshyana@
@she@|@say@
@She came by bus yesterday@|@Say gat kali bus re asila@
@shine@|@ujwala dekhaajibaa@
@shop@|@dokaana@
@short@|@gedaa@
@shortage@|@abhaava@
@show@|@prakasa@
@sick@|@rugna@
@sight@|@drushtee, drushtee / drushya@
@sighted@|@drushteegochara@
@sign@|@soochaka@
@signature@|@dastakhatta@
@significant@|@ullekhaniya@
@silence@|@neerabataa@
@silent@|@neerab@
@silver@|@roopaa@
@simple@|@sahaja / sarala@
@Sit@|@Basiba@
@situation@|@paristithee@
@six@|@cha'a@
@size@|@aakaara@
@skin@|@chamadaa, chamadaa@
@sleep@|@nidraa@
@sleepless@|@anidraa@
@small@|@chotto, chotto / laghu@
@So long@|@Puni dekha heba@
@So so@|@Thik thak@
@social worker@|@samaaj sebaka@
@society@|@samaja@
@soft@|@naram@
@solicit@|@aamantrana@
@solid@|@kathina@
@solution@|@samaadhaan@
@some@|@kichhee@
@son@|@Putra@
@soothing@|@aaraamprada@
@sorry@|@dukhitta@
@sound@|@dhwanee@
@sour@|@Khatta@
@south@|@dakshina@
@spear@|@bhaalaa@
@spectator@|@darshaka@
@speed@|@gati / bega@
@spill the bean@|@gupta kathaa prakash karibaa@
@Spinach@|@Palanga Saga@
@spirit@|@aatmaa@
@Split Green Peas@|@Sabuja matara dali@
@Split horse bean@|@Biri dali@
@Split Yellow Peas@|@Dhala matara dali@
@sport@|@kreedaa@
@spread@|@bistaara@
@Spring Onion@|@Piaja Saga@
@stale@|@baasi@
@status@|@stithee / prateesthaa@
@steal@|@choreibaa@
@still then@|@tathapee@
@stink@|@durgandha@
@stone@|@pathara@
@store@|@bhandaara@
@strange@|@bichitra@
@strategy@|@kaushala@
@street@|@GALI@
@strike@|@prahaara / dharmaghata@
@strong@|@shaktishaalee@
@struggle@|@sangharsa@
@student@|@sishya / bidyarthee@
@subject@|@bisaya@
@subjects@|@praja@
@submit@|@daakhala@
@subway@|@subway@
@success@|@safalataa@
@sudden@|@akasmaata@
@suffer@|@peedita@
@sugar@|@cheeni@
@sugarcane@|@aakhu@
@sulk@|@rusibaa@
@summary@|@sankshipta saara@
@sunday@|@ravivaara@
@supply@|@jogaana@
@support@|@samarthana@
@supporter@|@samarthaka@
@suppress@|@damana@
@surprise@|@aascharjya@
@survey@|@sarbekshyana@
@suspect@|@sandeha@
@suspicious@|@sandigdha@
@sweat@|@jhaala@
@sweet@|@meethaa@
@swim@|@pahanreebaa, pahanreebaa / santarana@
@swimming@|@pahanraa@
@sword@|@khandaa@
@sympathy@|@samabedana, samabedana / sahaanubhuti@
@symptoms@|@lakshyana@
@take me to my hotel@|@MOTE MORA HOTELKU NEIJIBEKI@
@take part@|@bhaaga neba@
@taken aback@|@aachambheeta@
@talent@|@kala@
@talented@|@kusala@
@tall@|@dengaa@
@Tamarind@|@Tentuli@
@target@|@lakshya@
@tasteless@|@swaadaheena@
@taxi@|@taxi@
@tea@|@CHAHA@
@teacher@|@guru/sikhyaka, guru/sikhyaka / adhhyaapaka@
@teacher- female@|@adhhyaapikaa@
@tear@|@chiribaa / chindeibaa / looha@
@technology@|@gyaanakaushala@
@temperature@|@taapa@
@temple@|@mandira@
@temporary@|@saamayeeka, saamayeeka / asthaayee@
@ten@|@dasa, dash@
@terrified@|@aatankita@
@terror@|@aatanka@
@terrorist@|@aatankabaadi@
@testing@|@parikhya@
@thank you@|@DHANYABAHD@
@Thank You@|@Dhanyabad@
@thatch@|@chaala / chhappara@
@therefore@|@atayeb@
@They@|@Semaane@
@They went to the mosque@|@Saymane mandira gale@
@thief@|@chora@
@thing@|@jinisa / saamagree@
@thirst@|@sosha@
@thirty@|@tiris@
@three@|@teeni, trini@
@threshold@|@aerundi@
@throw@|@phingiba / nikshep@
@thunder@|@ghadaghadee@
@thursday@|@gurubaara@
@tiger@|@baagha@
@time@|@samaya@
@time limit@|@samaya seema@
@time-saving@|@samyara sadupajog@
@tiny@|@kshyudra@
@to stop@|@prateerodh@
@tolerate@|@sahya@
@tomorrow@|@asanta kaali@
@Toor Lentil@|@Harad Dali@
@topic@|@bisayabastu@
@torment@|@jaatanaa@
@total@|@samudaya@
@touch@|@sparsa@
@toy@|@khelana@
@tradition@|@paramparaa@
@train@|@raelagaadi, train@
@training@|@prasikshyana@
@translate@|@anubaada@
@transmit@|@bikirana@
@transportation@|@jaataayata@
@triangle@|@tribhuja / trikona@
@trivial@|@tuchha@
@trouble@|@sankata@
@trouble remover@|@sankata mochana@
@trust@|@biswaas@
@try@|@prayatna@
@tuesday@|@mangalabaara@
@Turmeric@|@Haladi@
@twenty@|@kodiae@
@twin@|@jaanla@
@two@|@du'i@
@unable@|@asamartha@
@uncertain@|@anischeeta@
@unconcerned@|@asamprukta@
@undecided@|@anischeeta@
@undefeatable@|@aparajeeta@
@under@|@TALE@
@under no circumstances@|@kaunasi paristitheere nuhen@
@unending@|@asarantee@
@unfortunate@|@durbaagya@
@ungrateful@|@kruttaghna@
@uninhabitated@|@parityakta@
@unique@|@ananya / adwitya, ananya / adwitya / abhinabha@
@unique plan@|@abhinabha jojanaa@
@unity@|@ekataa@
@unity in diversity@|@beebhinnataa re ekataa@
@unknowing@|@ajaanata@
@unknowingly@|@agnyaatare@
@unnatural@|@aupraakrutika /kutrima@
@unnecessary@|@adarkaari@
@unnecessary expenses@|@byayabahula kharcha@
@unpleasant@|@apreetikara@
@unruly@|@amaania@
@unsaid / unspoken@|@akoohaa@
@unsuccessful@|@asafala@
@unwanted@|@abaanchhita@
@usage@|@upajogitaa@
@use@|@upajoga / byabahaara@
@useless@|@byartha@
@utensils@|@baasana@
@vacant@|@khaali@
@valuation@|@moolyaankana@
@value@|@moolya@
@various@|@beebhinna@
@veal@|@veal@
@vegetable@|@PARIBA@
@vehicle@|@gaadi, gaadi / jaana@
@Vermicelli@|@Simaee@
@vessel@|@paatra@
@village@|@graama@
@violence@|@hinsaa@
@vogue@|@prachaleeta@
@vulnerable@|@durbalataa@
@wait@|@pratikshya@
@Walk@|@Chaliba@
@wall@|@kaanthha@
@war@|@juddha@
@warning@|@taageed@
@water@|@paani / jala@
@waterbody@|@jalaasaya@
@waterfall@|@jharana / jalaprapata@
@way@|@raastaa@
@waylay@|@bata ogaalibaa@
@we@|@Aame@
@weak@|@durbala@
@wealth@|@dhana@
@wealthy@|@dhanadhya@
@wednesday@|@budhabaara@
@weekly@|@saaptaahika@
@weep@|@kaandibaa@
@welcome@|@Aasantu, swaagata@
@well behaved@|@shaalinata@
@well being@|@sambrudhee@
@well to do@|@sambhraanta@
@welloff@|@sampanna@
@west@|@paschima@
@wet@|@odaa@
@What@|@Kana@
@What are the questions?@|@Prasna sabu kana?@
@What can I do?@|@Mu kana kari paribi?@
@What did you do?@|@Tume kana kala?@
@What is the last question?@|@Sesa prashna kana?@
@What is written in the letter?@|@Chithi re kana lekha aachhi?@
@What is your name?@|@Tuma nama kana@
@What should I do?@|@Mu kana kariba uchit?@
@What were the questions?@|@Prasna sabu kana thilla?@
@What will be the answer?@|@Uttara kana heba?@
@What you had been told?@|@Tumaku  kana kuaha jaaithila?@
@wheat@|@gahama@
@Wheat flour@|@Atta@
@wheel@|@chaka@
@when@|@kebe@
@where@|@keunthaare@
@Where did you come from?@|@Tume kauthu asila?@
@Where did you sleep?@|@Tume kauthi soila?@
@where is the bathroom@|@PA I KHANA KE UN THI@
@Where is the bathroom?@|@Sauchalya keunthi achi?@
@Where should I go?@|@Mu kausti ki jibi?@
@Which is the sweetest fruit?@|@Kau phalla sabuthu mitha?@
@Which is your favourite colour@|@Kyon ranga tumaku bhala laage?@
@Which story did you tell?@|@Kau gapa tume kahila?@
@Which way did you come?@|@Kyon rasta rae tume asila?@
@white@|@dhala@
@whole@|@randhra, sampoorna@
@Whole Green Peas@|@Sabuja matara@
@Whole Wheat Flour@|@Atta@
@Whole Yellow Peas@|@Dhala matara@
@Whom should I contact?@|@Mu kaha sahaita dekhakaribi?@
@why@|@keunthipaain / kaanhiki@
@Why did he bring the bag?@|@Say kauthi  paein bag anila?@
@Why did she pay the money?@|@Say tanka kauthi paein dela?@
@Why did you come?@|@Tume kauthi paein aasila?@
@Why did you sleep?@|@Tume Kauthi paein soeithila@
@Why do you drive the car?@|@Tume car kauthi paein chalao?@
@wicked@|@anishta priya@
@wide@|@osaara@
@Wife@|@Bohu, Patni, Sahadharminee, Sthree@
@wiley@|@dhoorta@
@will@|@ichhashakti, ichhashakti / ichhapatra@
@will come@|@aseba@
@Will you come with me?@|@Tume mo sahita asiba ki?@
@Will you give me your pen?@|@Tume mote tuma kalama dabaki?@
@win@|@Jitiba / bijaya@
@Win@|@Jetiba@
@with@|@sahita@
@withdraw@|@pherasta, pherasta / pratyaahaara@
@withdrawn@|@pratyaahroota@
@without@|@binaa@
@without moral principles@|@neeteeheena@
@without resources@|@sambalaheena@
@without separation@|@bhangabiheena@
@without wasting any time@|@kaalabilamba na kaaree@
@without you@|@tuma binaa@
@work@|@kaarjya@
@worker@|@sramika@
@world@|@biswa, biswa / sansaara@
@worldly@|@saansaarika@
@worried@|@chinteeta@
@worry@|@chintaa@
@worship@|@puja / aaraadhana@
@wounded@|@aahata@
@wrong@|@bhool@
