@English@|@Basque@
@dig@|@arroil@
@dinner@|@afari@
@dinnertime@|@afalordu@
@dinosaur@|@dinosauru@
@diploma@|@diploma@
@direct light@|@argi jausle, zuzeneko argi@
@direct lighting@|@argi jausle, zuzeneko argi@
@direction@|@norabide@
@director@|@zuzendari@
@directory@|@direktorio@
@dirt@|@zikin@
@dirty@|@zikin@
@disarray@|@zabar-keria@
@discussible@|@solas-garri@
@disgusting act@|@zikin-keria@
@dish@|@plater@
@dish out@|@eman@
@disheveled@|@nahaste-borraste@
@disk drive@|@disko-unitate@
@disk drive (computer)@|@disko-untiatea@
@disorder@|@nahaste-borraste@
@distance@|@arte, distantzia@
@distinction@|@bereizketa, bereizte, berezkuntza@
@distribute@|@banatu@
@distribution@|@banaketa, banatze@
@dividend@|@dibidendu@
@division sign@|@berdintasun-ikur, zatiketa-ikur@
@divorce court@|@ezkontza-auzitegi@
@do@|@egin@
@do away with@|@hilketa@
@Do you speak Euskera?@|@Euskeraz badakizu?@
@doctor@|@sendagile@
@dog@|@or, txakur, zakur@
@dogfish@|@lixa, mielga@
@dog-fish@|@mielga@
@dolphin@|@izurde@
@dolphin fish@|@lemorratz@
@donkey@|@asto@
@door@|@ate@
@door bolt@|@morroilo@
@door latch@|@kisketa@
@double@|@bikoitz@
@double chin@|@kokospe@
@double threaded screw@|@hari biko torloju@
@doubt@|@zalantza@
@dove@|@urzo@
@down@|@behera@
@down river@|@ibaian behera@
@download@|@kargatu@
@downpour@|@zapar-rada@
@downtown@|@erdira@
@dragon@|@herensuge@
@drama@|@antzerki, drama@
@drawer@|@kajoi@
@dream (n.)@|@amets@
@dress@|@jantzi@
@dress design@|@modako jantzigintza@
@drifting snow@|@behe-bisuts@
@drill@|@ariket, ariketa@
@drink (n.)@|@edari@
@drinking straw@|@tutu@
@drip@|@jario@
@drive@|@gidatu, irrika, kanpaina@
@drive  (n.)@|@transmisio@
@drive (n)@|@eragingailu@
@drive (n.)@|@aginte@
@drive (v.)@|@eragin (ad.)@
@drive around@|@autoan ibili@
@drive away@|@ohildu@
@drive chain@|@transmisio-kate@
@drive down@|@goian-behean aritu@
@drive gear@|@pinoi eragile@
@drive in@|@nekez-irakatsi@
@drive off@|@uxatu@
@drive ratio@|@transmisio-erlazio@
@drive reduction@|@bulkaden erredukzio@
@drive shaft@|@ardatz eragile@
@drive wheel@|@gurpil eragile@
@driver@|@gidari@
@driver's license@|@gidatzeko baimen@
@driving mechanism@|@eragingailu@
@driving pinion@|@pinoi eragile@
@driving wheel@|@gurpil eragile@
@drizzle@|@zirimiri@
@drop@|@jausi@
@drought@|@agorra@
@drug@|@sendagailu@
@drum@|@bateri@
@drunk@|@mozkor, mozkorti@
@dry@|@agor, legortu@
@dry (something) off@|@xukatu@
@dubbed version@|@bertsio bikoiztu@
@duct@|@tutu@
@duel@|@duelu@
@dusky sea perch@|@mero@
@dusty@|@hautsez estalitako@
@duty@|@betebehar@
@dying of hunger@|@goseak hiltzen@
@each@|@bakoitz@
@each other (reciprocal pron.)@|@elkar@
@eagerness@|@afan@
@eagle@|@arrano@
@ear@|@belarri@
@earl@|@konde@
@early@|@goiz@
@earring@|@belarritako@
@earth@|@lur@
@earth tremor@|@lurrikara@
@earthworm@|@zizare@
@east@|@ekialde@
@east wind@|@ekialdeko haize@
@easterly wind@|@ekialdeko haize@
@easy@|@errez@
@ebony tree@|@ebano@
@ecology@|@ekologia@
@ecstasy@|@estasi@
@edge@|@ertze, hegi, izkina@
@edible@|@jateko@
@edict@|@ediktu@
@eel@|@aingira@
@effect@|@ondorio@
@egg@|@arraultz, arrautza@
@eight@|@zortzi@
@eighteen@|@hemezortzi@
@eighth@|@zortzigarren@
@eighty@|@laurogei@
@elbow@|@ukondo@
@election@|@hautatze, hauteskunde@
@election campaign@|@hauteskunde-kanpaina@
@election day@|@hauteskunde-egin@
@election results@|@hauteskundeen emaitzak@
@electric razor@|@bizar-makina@
@electric wire@|@hari elektriko@
@electrician@|@elektrikari@
@electriciy@|@elektrizitate@
@electron@|@elektroi@
@electron microscope@|@mikroskopio elektroniko@
@electronic mail@|@posta elektroniko@
@elegance@|@dotoretasun, dotorezia@
@elegant@|@dotore@
@elephant@|@elefante@
@eleven@|@hamaika@
@elm@|@zumar@
@eloquent@|@ederreko@
@elsewhere@|@beste nonbait@
@emanation@|@jario@
@emancipate@|@burujabetu@
@emancipation@|@burujabetze, libratze@
@embargo@|@debeko@
@embarrasing@|@gogaikarri@
@emblem@|@ezaugarri@
@embrace@|@besarkatu@
@embroider@|@brodatu@
@emerald@|@esmeralda@
@empty@|@hustu, hutsik@
@enamel@|@esmalte@
@enchant@|@xarmatu@
@enchanting@|@xarmatu@
@encyclopedia@|@entziklopedia@
@end@|@buka-era, buka-tu@
@ending@|@buka-era@
@endive@|@osterzuri@
@endure@|@iraun@
@enemy@|@etsai@
@engine@|@motore@
@enough@|@aski@
@entire@|@gutzi@
@entrance@|@sarrera@
@envelope@|@gutunazal, sobre@
@epoch@|@kira@
@equal sign@|@berdintasun-ikur@
@equation (Math.)@|@ekuazio@
@equator@|@ekuatore@
@equilateral triangle@|@triangelu aldekide@
@equinox@|@ekinozio@
@erretzeko paper@|@tabakoa biltzeko paper@
@error@|@erru@
@erudite@|@jakintsu@
@European Parliament@|@Europako Parlamentua@
@evening@|@arrats@
@event@|@gertaera, gertakari, saio@
@every@|@gutzi, guzti@
@every day@|@egunero@
@everything@|@dena, guzi@
@eviction@|@botatze, kaleratze@
@evident@|@argi-argi, nabari@
@evil@|@gaitz@
@exam@|@azterketa@
@examining magistrate@|@instrukzioko epaile@
@example@|@adibede, adibide, eredu, etsenplu@
@excavation@|@arroil@
@excellent@|@bikain@
@exchange@|@truka, trukatu@
@excuse@|@aitzakia@
@excuse me...@|@barkatu...@
@execution@|@burutze, exekuzio@
@executive board@|@batzorde betearazle@
@executive committee@|@batzorde betearazle@
@exemption@|@salbueste@
@exercise@|@ariketa@
@exhaustion@|@neke@
@exile@|@erbeste@
@exit@|@irteera, irten@
@expecting@|@igurika@
@expensive@|@garesti@
@experiment@|@esperimentu@
@experimental@|@esperimental@
@expert@|@jakitun@
@explorer@|@esploratzaile@
@explosion@|@eztanda, leherketa@
@extreme danger@|@arriskurik handien@
@extreme heat@|@sedulako bero@
@extreme left@|@ezker-hegaleko@
@extreme old age@|@goreneko zahartzaro@
@eye@|@begi@
@eye of a needle@|@orratz-zulo@
@eyelash@|@betile@
@eyelid@|@betazal@
@facade@|@aurrealde, fatxada@
@face@|@aurpegi@
@factor@|@faktore@
@factor (Math.)@|@biderkagai@
@factory@|@ola@
@fag@|@maritxu@
@falcon@|@belatz, zapelatz@
@fall@|@udazken, udazkena@
@fall semester@|@udazkeneko@
@fallacy@|@gezur, sofisma@
@false idea@|@gezur@
@false reasoning@|@sofisma@
@falsehood; lie@|@gezur@
@fame@|@ospe@
@family@|@familia@
@family name@|@deitura@
@famine@|@gosete@
@famous@|@famatu@
@fan@|@abaniko, haizemaile@
@fan belt@|@haizagailuaren uhala@
@far@|@urrun, urruti@
@far away@|@urruti@
@farm@|@baserri@
@farmer@|@baserritar@
@farmhouse@|@baserri@
@farther@|@haratago, urrutiago@
@fast@|@azkar@
@fat@|@gantz, gizen, lodi, urin, ziho@
@fatal@|@hilgarri@
@fatal illness@|@hil beharreko eritasuna@
@fate@|@zori@
@father@|@aita@
@fatherland@|@aberri@
@fatigue@|@neke@
@faucet@|@txorrota, txorrota@
@fault@|@akats, erru, erru, hoben, kulpa, oben@
@fault-line (Geol.)@|@faila-lerro@
@fax@|@fax@
@fax machine@|@fax@
@fear@|@beldur@
@feed@|@jaten eman@
@fellow@|@kide, lagun@
@fellow countryman@|@aberkide@
@fellow traveller@|@bidaide@
@feminine@|@emetasun@
@fern@|@garo, ira@
@ferry@|@ferry@
@ferry across@|@ferryz eraman@
@ferry over@|@ferryz eraman@
@ferry service@|@ferry-zerbitzu@
@fever@|@sukar@
@feverish@|@sukar-dun@
@few@|@gutxi@
@fictitious@|@balizko@
@field@|@soro, zelai@
@fiesta@|@festa@
@fifteen@|@hamabost@
@fifth@|@bosgarren@
@fifth column@|@bostgarren kolumna@
@fifty@|@berrogeitahamar@
@fig@|@piku@
@fig tree@|@pikondo@
@fight@|@borroka, borrokatu, liskar@
@file@|@fitxategi, karraskailu@
@file (folder)@|@karpeta@
@file cabinet@|@fitxategi@
@file in@|@lerroan sartu@
@file out@|@lerrotik irten@
@file transfer@|@fitxategi-transferentzia@
@filth@|@zikin@
@filthy@|@zikin@
@finance@|@Finant@
@find himself in difficulty@|@estu aurkitu@
@find oneself@|@aurkitu@
@fine@|@ederki@
@Fine (I have to say fine)@|@Ondo esan beharko@
@finger@|@eri, hatz, hatzamar@
@fingernail@|@azkazal@
@fire@|@su, suketa@
@firecracker@|@petardo@
@fireplace@|@supazter, sutegi, sutondo, tximeneta@
@firewood@|@egur@
@fireworks@|@ixtaferuak@
@fireworks display@|@itxaferuen erakustaldi@
@firmament@|@ortzi@
@firmness@|@tinko@
@first@|@lehen@
@first and foremost@|@oroz lehen@
@fish@|@arrain, arrantzuan ari@
@fish hook@|@amu@
@fish oil@|@arrain-olio@
@fish pond@|@guardarrain@
@fish school@|@arrain-sarda@
@fish spear@|@hiruhortz@
@fish stock@|@arrain-stock@
@fish trap@|@tranpa-sare@
@fish-bone@|@arrain-hezur@
@fisherman@|@arrantzale@
@fishhook@|@amu@
@fishing@|@arrantza, arrantzu@
@fist@|@ukabil@
@five@|@bortz@
@flame@|@gar@
@flat@|@pisu@
@flea@|@arkakuso@
@fleet@|@flota@
@flesh@|@haragi@
@flesh color@|@haragi-kolore@
@flesh wound@|@azaleko zauri@
@flew@|@erabili@
@flint@|@sukarri@
@flock@|@artalde@
@flood@|@uholde@
@floor@|@lur@
@floor tile@|@baldosa (Heg.)@
@flounder@|@arraina, xabalo@
@flour@|@irin@
@flower@|@lore@
@flowing@|@isuri@
@flown@|@erabili@
@fly@|@erabili, euli@
@foam@|@apar, bitxa@
@fog@|@laino, lanbro@
@folding foot rule@|@metro tolesgarri@
@following wind@|@bizkar-haize@
@food@|@janari@
@food products@|@elikagaiak@
@food supply@|@ano@
@fool@|@engainatu, ergel@
@foot@|@hanka, oin@
@for@|@-entzat, -gatik, bai-@
@for crying out loud!@|@mila arraio!@
@for days@|@egunerako@
@for flight@|@hegalaldirako@
@for further information@|@argibide gehiago eskuratzeko@
@for good@|@betirako@
@for help@|@laguntzagatik@
@for instance@|@esaterako@
@for long periods of time@|@luzaroan@
@for me@|@niretzat@
@for one@|@batentzako@
@for rent@|@alokatzen da@
@for tomorrow@|@biharko@
@for your good@|@zure onerako@
@force@|@kemen@
@forearm@|@uko@
@forecast@|@iragarpen@
@foreign countries@|@atzerri@
@foremost@|@nagusi@
@forensic medicine@|@auzitegi-medikuntza@
@forest@|@baso@
@forever@|@betiko(z)@
@forge@|@sutegi@
@Forget it!@|@Ezta pentsatu ere!@
@fork@|@sardeska@
@formal change@|@formazko-aldaketa@
@formula@|@formula@
@forth@|@laugarren@
@forthright@|@xalo@
@fortification@|@gotorleku@
@fortitude@|@azkartasun@
@forty@|@berrogei@
@forum@|@foru@
@forward@|@aurreko, aurreneko@
@forward planning@|@gerorako plangintza@
@fossil@|@fosil@
@fought@|@borrokatu@
@found@|@fundatu, sortu@
@foundry; cabin@|@ola@
@fountain@|@ituri, iturri@
@four@|@lau, laur@
@fourteen@|@hamalau@
@fourth@|@laurden@
@four-wheel drive@|@lau gurpileko trakzio@
@fox@|@azeri@
@fraction@|@frakzio@
@fragrance@|@lurrin@
@fragrant@|@lurrintsu@
@franchise@|@frankizia@
@freckle@|@orezta@
@free the prisoners!@|@presoak kalera!@
@freed@|@askatuta@
@freedom@|@askatasun@
@freedom of expression@|@adierazpen-askatasun@
@freedom of speech@|@adierazteko astatsuna@
@French Revolution@|@Frantziako Iraultza@
@frequency@|@maiztasun, sarritasun@
@frequently@|@sarri@
@fresh@|@fresko@
@fresh fish@|@arrain fresko@
@fresh water@|@ur geza@
@Friday@|@Ostiral@
@fridge@|@hozkailu@
@fried@|@frijituta, prijitu@
@friend@|@lagun, lagun, laguna@
@fright@|@susto@
@frighten@|@beldurtu@
@frog@|@i(n)gel, igel@
@frolic@|@saltokatu@
@from@|@gandik@
@from (with animates)@|@-gandik@
@from above@|@gainetik@
@from cover to cover@|@burutik burura@
@from hand to hand@|@eskuz esku@
@from here@|@hemengo@
@from infancy@|@haurdanik@
@from that day forward@|@egun hartatik aurrera@
@from the (a) distance@|@urrundik@
@front@|@aurre@
@frozen fish@|@arrain izoztu@
@fruit@|@fruitu@
@fruit (of harvest)@|@zitu@
@fruit juice@|@fruitu-zumo@
@fruit tree@|@fruta-arbola@
@fry@|@frijitu, prejitu@
@fudge@|@txokolatezko gozoki@
@full@|@bete, beteta@
@full month@|@hilabete@
@full moon@|@ilargi betea@
@fuller's earth@|@klera@
@fully@|@bete-betean, osoki@
@fumes@|@gasak@
@function@|@betebehar, ospakizun, zeregin@
@function (Math.)@|@funtzio@
@fund@|@fondo@
@fundamental@|@funts, oinarri@
@fundamentally@|@funtsean@
@funds@|@fondoak@
@funeral@|@hil-eta, hileta@
@funeral parlor@|@ehorztetxe@
@funeral service@|@hildakoen aldeko meza@
@fungus@|@onddo@
@funnel@|@inbutu, onil@
@funny@|@barregarri, barregarri(a)@
@furnace@|@labe@
@furniture@|@altzariak, haltzari@
@further@|@areago, beste nonbait, gainerako, harantzago, haratago, urrutiago@
@further back@|@atzerago@
@further off@|@urrutiago@
@further on@|@aurrerago@
@fussy@|@mizkin@
@gadget@|@aparatu@
@gain@|@lortu@
@gamble@|@jokaldi@
@gamble away@|@jokoan galdu@
@game@|@joko, jolas, partidu@
@game fish@|@kirol-arrain@
@game of chance@|@zorizko joko@
@gap@|@arte@
@garbage@|@zabor@
@garbage can@|@zabarrontzi@
@garbage man@|@zabor-biltzaile@
@garden@|@ortu@
@garlic@|@baratzuri@
@garment@|@janzki@
@gas@|@gas@
@gas chamber@|@gas-ganbara@
@gas leak@|@gas-jario@
@gas mask@|@gas-maskara, gasaren kontrako maskara@
@gasoline@|@gasolina@
@gasoline station@|@gasolindegi@
@gass-attack@|@gas-eraso@
@gate@|@ate, atea@
@gather@|@bildu@
@gauge@|@neurri@
@gay@|@maritxu@
@gear@|@aparatu, mekanismo@
@gear (aut.)@|@martxa@
@gear drive@|@engranajezko eragintza@
@gear lever@|@martxa aldatzeko palanka@
@gear ratio@|@transmisio-erlazio@
@gearing@|@transmisio@
@geese@|@antzara-okela@
@gem@|@harribitxi@
@general elections@|@hauteskunde orokorrak@
@generator@|@sortzaile@
@genitive@|@genitibo@
@gentle@|@xamurra@
@gentleman's agreement@|@hitzezko akordio@
@geology@|@geologia@
@germ@|@germen@
@German measles@|@errubeola, mingorri@
@gerund@|@gerundio@
@gesture@|@keinatze@
@ghost@|@iratxo, mamu@
@giant squid@|@txibia erraldoi@
@gift@|@opari@
@gigantic@|@erraldoi@
@gimmick@|@trikimailu@
@ginger@|@jengibre@
@ginseng@|@ginseng@
@giraffe@|@jirafa@
@girdle@|@faxa@
@girl@|@neska@
@girlfriend@|@andregaia@
@give@|@eszenaratu@
@give a play@|@eszenaratu@
@give me@|@emadazu@
@give testimony@|@lekukotza egin@
@given@|@emanda@
@glance@|@begiratu@
@gland@|@guruin@
@glass@|@edalontzi, kopa@
@glasses@|@betaurreko@
@glatiator@|@gladiadore@
@glazed tile@|@azulejo (Heg.)@
@glee@|@bozkario, poz handi@
@glee club@|@abestalde@
@globe@|@globo, puxika@
@gloom@|@goibeltasun@
@glossary@|@glosario@
@glossy@|@distiratsu@
@glossy (paper)@|@satinatu@
@glove@|@eskularru@
@glow worm@|@ipurtargi@
@glucose@|@glukosa@
@glutton@|@jatun@
@gnat@|@eltxo@
@gnawer@|@karraskari@
@gnawing@|@karraskari@
@go away@|@aldegin@
@go down@|@jaitsi, jeitsi@
@goat@|@ahuntz@
@goat cheese@|@ahuntz-gazta@
@goat's milk@|@ahuntz-esne@
@goblet@|@kopa@
@God@|@Jainko@
@goddess@|@jainkosa@
@gold@|@urre@
@gold fever@|@urre zalekeria@
@gold plate@|@urrezko geruza mehe@
@golden@|@urrezko@
@golden yellow (color)@|@urre kolore@
@goldfish@|@urre-arrain@
@gold-fish@|@urre-arrain@
@good@|@on, ona@
@good and bad@|@on-gaitzak@
@good and evil@|@on-gaitzak@
@good evening@|@Gabon@
@Good evening@|@Gau on@
@good fortune@|@zorion@
@good morning@|@egunon@
@Good morning@|@egun on@
@good night@|@Gabon@
@good-bye@|@agur@
@good-looking@|@polit@
@goose@|@antzara@
@gorge@|@arrue@
@gossip@|@hitzontzi@
@gourd@|@kalabaza@
@government@|@gobernu, jaularitza, jaurlaritza@
@grain@|@ale, bihi@
@grammar@|@gramatika@
@grammatical rule@|@gramatika-erregela@
@Grand Canyon@|@Arroil Handia@
@grandfather@|@aitona, aitxitxa@
@grandma@|@amama@
@grandmother@|@amona, amuma@
@granite@|@granito@
@grapes@|@mahats@
@grass@|@belar, zelai@
@grass hut@|@lastozko etxola@
@grasshopper@|@matxin-salto, matxinsalto, oti, saltamatxino@
@grater@|@karraskailu@
@gravity@|@grabitate@
@gravy@|@saltsa@
@grease@|@koipe@
@greasy@|@koipeztatu@
@great white shark@|@marrazo zuri@
@greedy@|@gutiziatsu, zikoitz@
@green@|@berde@
@grey@|@grisa@
@grey triggerfish@|@baleztarrain@
@greyhound@|@erbi-txakur@
@grimace@|@keinuketa@
@gross domestic product@|@barne-produktu gordin@
@gross national product@|@nazio-produktu gordin@
@groundwork@|@hasi-masiak@
@group@|@talde@
@group leader@|@taldeburu@
@groups@|@taldeka@
@grouse@|@basoilar@
@grove@|@zuhaizti@
@grove of poplars@|@lertxundi@
@gruesome@|@beldurgarri@
@grumbler@|@murruzkari@
@guarantee@|@bermatu, berme@
@guard@|@goardia, gorde, zaintzaile@
@guardian@|@zaindari@
@guardian angel@|@aingeru zaindari@
@guava tree@|@guaiabondo@
@guilt@|@kulpa@
@Guipuzcoa@|@Guipuzkoa@
@Guipuzcoan (dialect)@|@Gipuzkera@
@guitar fish@|@gitarrarrain@
@guitarfish@|@gitarrarrain@
@gulper shark@|@piku pikortsu@
@gum@|@erretxina@
@gum (anat.)@|@oi@
@gun@|@arma@
@gush@|@borborkatu@
@gusty wind@|@haize parrastatsu@
@gut@|@heste@
@gym@|@kiroltegi@
@gypsy@|@buhame, ijito@
@habit@|@ohitura@
@habit (religious)@|@abbitu@
@hag fish@|@mixina@
@hail@|@kazkabar@
@hair@|@ile@
@hake@|@lebatza@
@half@|@erdi@
@half asleep@|@erdi lo@
@half beast@|@erdi gizona-erdi piztia@
@half dead@|@erdi hil@
@half done@|@erdi egosi@
@half man@|@erdi gizona-erdi piztia@
@half-assed@|@erdipurdiko@
@half-assedly@|@erdipurdi@
@half-cooked@|@erdi egosi@
@hallucination@|@haluzinazio@
@hallway@|@atondo@
@ham@|@urdaiazpiko@
@hammer@|@mailu@
@hammer head@|@mailu-buru@
@hammerhead shark@|@mailu-arrain, mailu-arrain hirungingil@
@hand@|@esku@
@hand drive@|@eskuzko eragintza@
@hand tap@|@eskuz hariztatzeko ardatz@
@hand to hand@|@aurrez aurre@
@handicap@|@atzerabide, eragozpen@
@handle@|@kirten@
@hang by a thread@|@hari batetik@
@hangingly@|@zintzilik@
@happen@|@gertatu@
@happening@|@gertaera@
@happily@|@pozik, zorionez@
@happy@|@pozik, zoriontsu@
@harbor@|@portu@
@hard@|@gogor, gogorra@
@hard copy@|@imprimatutako kopia@
@hard disk@|@disko gogor@
@hard drink@|@edari garratz@
@hard labor@|@lan behartua@
@hard luck@|@zorigaitz@
@hard sell@|@erosi-beharreko salmenta@
@hardly@|@ia ez@
@hardly anyone@|@ia inor ez@
@hardly ever@|@ia inoiz ez@
@hare@|@erbi@
@harmony@|@harmonia@
@harness@|@zaldi-uhalak@
@harp@|@harpa@
@harpoon@|@arpoi@
@harvest@|@segatu, uzta@
@hat@|@txapel@
@hatred@|@gorroto, gorroto@
@have@|@edun, ukan@
@he@|@hon@
@he goat@|@aker@
@he has it@|@du@
@he knows the rope@|@badaki nondik norakoa@
@he means business!@|@serio ari da!@
@head@|@buru@
@head of cabbage@|@azaburu@
@head wind@|@aurpegiko haize, aurre-haize@
@headache@|@buruko min@
@heal@|@sendo@
@health@|@osasun@
@health care@|@anbulategi@
@health food@|@jaki natural@
@Health Service@|@Osasun Saila@
@healthy@|@osasuntsu@
@hear@|@aditu@
@heart@|@bihotz@
@heart-attack@|@bihotzeko@
@heather@|@ibar@
@heating@|@kalefazio@
@heaven@|@donoki, zeru@
@heavens@|@ortzi@
@heavy@|@astun@
@heavy industry@|@industria astun@
@helicopter@|@helikoptero@
@hello@|@kaixo@
@hello (universal salutation)@|@agur@
@helmet@|@buruko, kasko@
@help@|@udaletxea@
@hemp@|@kalamu@
@hen@|@oilo@
@her (reflexive)@|@bere@
@her/himself (anaph. pron.)@|@bere burua@
@herald@|@albistari, aldarrikari@
@herald (hist.)@|@heraldo@
@herb@|@belar@
@here@|@hemen, tori@
@here (I am)@|@hementxe@
@hermit@|@ermitau@
@herring@|@sardinzar@
@he's a tough customer@|@tipo gogorra da@
@he's up to no good@|@azpijokoan dabil@
@hexagonal screw head@|@torloju-buru hexagonal@
@Hey! I say!@|@Aizu!@
@Hi!@|@Epa!@
@hiccough@|@zotin@
@hiccup@|@zotin@
@High Mass@|@Meza Nagusi@
@high place@|@goi@
@highway@|@errepide, karretera@
@hill@|@mendi@
@hillside@|@adalpa@
@hilly@|@menditsu@
@hinge@|@banda@
@his@|@bere@
@historian@|@historigile@
@hit@|@jo@
@hither@|@hona@
@hither and thither@|@hara-hona@
@hitting@|@kolpeka@
@hobby@|@hobby@
@hog@|@urde@
@hole@|@zulo@
@holiday@|@opar, oporraldi@
@holiday pay@|@oporreko ordain@
@holiday resort@|@oporleku@
@holiday season@|@jaialdi@
@hollow@|@arroil@
@holly@|@gorosti@
@Holy Ghost@|@Izpiritu Santu@
@homestead@|@baserri@
@homicide@|@gizahilketa@
@homosexual@|@homosexual@
@honey@|@ezti@
@honeycomb@|@aberaska@
@hook@|@amu, gako, gakoz lotu, kizki@
@hope@|@esperantza, esperanza, itxaron, itxaropen@
@horizon@|@zerumuga@
@horn@|@adar, tutu@
@horned@|@adardun@
@horoscope@|@horoskopo@
@horse@|@zaldi@
@horse mackerel@|@txitxarro@
@horse soldier@|@zaldizko soldadu@
@hospital@|@ospital, ospitale@
@hostage@|@bahitu@
@hostel@|@ostatu@
@hot@|@bero, beroa, sukar-dun@
@hotel@|@ostatu@
@hotel industry@|@ostalaritza@
@hour@|@ordu@
@house@|@etxe@
@housewife@|@etxeko-andre, etxekoandre@
@hovel@|@txabola@
@how@|@nola@
@How are you doing?@|@Zer moduz?@
@how many@|@zenbat@
@how much@|@zenbat@
@How old are you?@|@Zenbat urte dituzu?@
@how terrible!@|@hau izugarria!@
@hug@|@besarkada@
@human@|@giza@
@humble@|@isil@
@humid@|@heze, hezea@
@humility@|@apaltasun, umiltasun@
@hundred@|@ehun@
@hundredth@|@ehungarren@
@hungrily@|@gose@
@hungry@|@gose@
@hunt@|@ehiza@
@hunting@|@ehizatu@
@hunting crop@|@zaldi-zigor@
@hurricane@|@hurakan@
@hurry@|@presa@
@husband@|@senar@
@husk@|@azal, koskol@
@hut@|@etxola, ola, txabola@
@hypothesis@|@hipotesi@
@hypothetical@|@hipotetiko@
@I@|@ni@
@I am@|@(ni) naiz, nago, naiz@
@I am going@|@noa@
@I am hot@|@Bero naiz.@
@I am married@|@ezkonduta nago@
@I am to him@|@natzaio@
@I am to them@|@natzaie@
@I don't give a damn!@|@Niri bost axola!@
@I know@|@dakit@
@I live alone@|@Bakarrik bizi naiz@
@I suspected as much@|@halaxe uste nuen@
@I thank you@|@eskertzen dizut@
@icicle@|@izotz-burduntzi@
@ideal@|@eredu@
@ideological change@|@ideologia-aldaketa@
@ideology@|@ideologia@
@idiot@|@ergel@
@idle@|@nagi@
@if required@|@beharrezkoa izan baledi@
@ignorant@|@ezjakin, ikasgabe@
@ill fortune@|@zoritxar@
@illiterate@|@analfabeto@
@illuminate@|@argittu@
@imagination@|@imajinatze, irudimen@
@imminent@|@berehalako, hurbil@
@impact screwdriver@|@kolpekako bihurkin@
@imperial@|@enperadorearen, inperial@
@import@|@inportatu, inportazio@
@import duty@|@inportatzeko zerga@
@important@|@garrantzitsu@
@imported goods@|@inportaturiko salgaiak@
@imported products@|@inportaturiko salgaiak@
@impose@|@i-i ezarri@
@impose (up)on@|@neurriz kanpo baliatu@
@improvement@|@hobekuntza, hobetze@
@impulse@|@abidxada@
@impulsion@|@irrika@
@in@|@-gan@
@in a@|@batean@
@in a class apart@|@paregabe@
@in a sauce@|@saltsan@
@in a split second@|@jesus amen batean@
@in cash@|@ezkudirutan@
@in conjunction with someone@|@i-kin batera@
@in exile@|@atzerrian@
@in front (of)@|@aurrean@
@in gear@|@martxan@
@in hand@|@esku artean, eskuan@
@in hard cash@|@eskudirutan@
@in himself@|@bere baitan@
@in how much@|@zenbatean@
@in legitimate self-defense@|@bidezko defentsan@
@in many instances@|@kasu askotan@
@in mint condition@|@akatsik gabe@
@in one@|@batean@
@in one group@|@elkarekin@
@in plenty@|@ugari@
@in political circles@|@politika munduan@
@in poor health@|@ahul@
@in protest@|@protestatzearren@
@in search of@|@bila@
@in single file@|@banan-banan@
@in such manner@|@olan@
@in that instance@|@kasu horretan@
@in the area@|@ingurru hartan@
@in the bar@|@tavernan@
@in the dead of winter@|@negu gorrian@
@in the distance@|@urrunean@
@in the family circle@|@senideen artean@
@in the first instance@|@lehendabizikoz@
@in the flesh@|@pertsonalki@
@in the long term@|@luzaroan@
@in the old times@|@aintzinean@
@in the shade@|@itzalpean@
@in the short term@|@epe laburrean@
@in the store@|@dendan@
@in the week@|@astean@
@in this@|@honetan@
@in this particular case@|@kasu honetan@
@in this way@|@olantxe@
@in turmoil@|@asaldaturik@
@in turns@|@txandaka@
@in way@|@moduz@
@in what?@|@zertan?@
@incense@|@intsentsu@
@incense burner@|@intsentsu-ontzi@
@incest@|@intzestu@
@incident@|@gertaera, gertakari@
@included@|@sartuta@
@incomprehensible@|@ulertezin(a)@
@incurable@|@sendaezina izan@
@index@|@aurkibide, indize@
@index card@|@fitxa@
@indict@|@salatu@
@indictment of someone for something@|@i-i e-gatik egindako salaketa@
@indigenous@|@jatorrizko@
@indistinct@|@nahasi@
@industrious@|@langile@
@industry@|@industria@
@infancy@|@haurtzaro@
@inflate@|@puztu@
@inflation@|@inflazio@
@influenza@|@gripe@
@inform@|@jakinarazi@
@information@|@argibideak@
@inhabitant@|@biztanle@
@inhabited place@|@herri@
@inheritance@|@seniparte@
@injury@|@kalte@
@ink@|@tinta@
@ink blot@|@tinta-orban@
@inner ear@|@barneko belarri@
@insect@|@intsektu@
@insect bite@|@hozka@
@insect repellent@|@insektuak uxatzeko@
@insignificant@|@kaskar@
@instance@|@kasu@
@institution@|@erakunde@
@insurance@|@aseguru@
@insurance agent@|@aseguru-agente@
@intelligent@|@adimentsu(a)@
@intention@|@asmo@
@interest@|@interesatu@
@interesting@|@interesgarri@
@intermission@|@arte@
@international@|@nazioarteko@
@interpretatio@|@argitze@
@interpretation@|@interpretatze@
@interrogate@|@(r)i galdekatu@
@interrogation@|@galdekatze, galdeketa@
@interval@|@arte@
@intestinal worm@|@heste-zizare txiki@
@intestine@|@hertze, heste@
@invention@|@asmakuntza, asmatze@
@iodine@|@iodo@
@ire@|@gorroto@
@iris@|@begi-nini@
@iris (bot.)@|@ostargi-belar@
@iron@|@burdina, lisa, plantxatu@
@Iron Age@|@Burdin Aroa@
