@English@|@Sami@
@Danish@|@dánmárkolaš@
@Danish (language)@|@dánskkagiella@
@data@|@dieðut@
@data processing@|@diehtogieðahallan@
@database@|@diehtovuoððu@
@database program@|@diehtovuoððoprográmma@
@date of birth@|@riegádanáigi@
@daughter@|@nieida@
@daughter-in-law@|@mann, manna, mannje, mannjee@
@day@|@beaivi, birranbeaivi, jándor@
@deadline@|@áigemearri, cagganáigi@
@deaf@|@bealjeheapmi@
@dear@|@ráhkis@
@dearest grandfather@|@ádjážan@
@death@|@jápmin@
@debate@|@digaštallan@
@debt@|@vealgi@
@debtor@|@velggolaš@
@deceased@|@rohkki, váidni@
@December@|@juovlamánnu@
@decentralization@|@lávdadeapmi@
@deck of cards@|@koartastohkka@
@Declaration of Human Rights@|@olmmošvuoigatvuoðasoahpamuš@
@declension@|@sojahan@
@deep@|@chiengal@
@deep place in water@|@jarem@
@deep-freeze@|@jiekngaboksa@
@deer calf@|@njäblo-, vi'isse, vuaiss, vüiss, vyesi@
@defeat for someone@|@dáhpa@
@defendant@|@áššáskuhtton@
@definite@|@loahpalaš@
@definitely@|@amma@
@definition@|@definišuvdna@
@delegate@|@áirras@
@delegation@|@delegašuvdna@
@delivery truck@|@buktinbiila@
@demand@|@gáibádus@
@democracy@|@demokratiija@
@democrat@|@demokráhtta@
@democratic@|@demokráhtalaš@
@democratically@|@demokráhtalachchat@
@Denmark@|@Danmárku, Dánmárku@
@dentist@|@bátnedoavttir@
@department@|@ossodat@
@department head@|@ossodatjoodiheaddji@
@Department of Pediatrics@|@Mánáidklinihkka@
@Department of Sámi Studies@|@Sámi Institušuvdna@
@depilate@|@njal'ga-@
@depression@|@deprešuvdna@
@depth@|@chikngodat@
@deputy prime minister@|@várreminister@
@desert@|@sáttomeahcci@
@desperation@|@eahpedoaivu@
@destiny@|@vuorbi@
@devil@|@bahákas@
@dew@|@lak'se, lapse@
@diabetes@|@diabetes, sohkardávda@
@diacritic@|@lassimearka@
@diagnosis@|@dihtosivva@
@dialect@|@dialeakta, suopman@
@diamond (cards)@|@diila@
@diamond ring@|@diamanttasuorpmas@
@diarrhea@|@luhchadávda@
@dictaphone@|@dikterenmašiidna@
@dictation@|@dikteren@
@dictionary@|@sátnegirji@
@diesel@|@diesel@
@diesel engine@|@dieselmohtor@
@diesel oil@|@dieselolju@
@difference@|@erohus@
@difficult@|@váigat@
@difficulty@|@váttisvuohta@
@digital@|@digitala@
@dill@|@dilla@
@diocese@|@bismagoddi, bismaguovlu@
@diphthong@|@diftongga@
@diplomatic@|@diplomáhtalaš@
@dipper@|@guoikgáhrit@
@Director of Communications@|@dieðihanhoavda@
@dirt@|@mate, moððe@
@dirty@|@saikse, sáxs@
@dis~@|@eahpe~@
@disability@|@bargonávccahisvuoðaruhta@
@disbelief@|@eahpeosku@
@discretion@|@várrogasvuohta@
@discrimination@|@vealaheapmi@
@discussion@|@ságastallan@
@disk@|@diskeahtta@
@disk drive@|@diskeahttastašuvdna@
@disobedient@|@eahpegulolaš@
@disorder@|@dávda@
@distance between fingers@|@koartil span@
@distress@|@moraš@
@distress at sea@|@áhpeheahti@
@district manager@|@guovlluhoavda@
@diver@|@njumalak, nunnel@
@divide@|@rihttjo-@
@diviner@|@diehtti@
@diving vessel@|@buokchanfanas@
@division (sports)@|@ráidodássi@
@doctor@|@doavttir@
@documentary@|@dokumeantafilbma@
@dog@|@beana@
@dog lichen@|@beatnatjeagil@
@dollar@|@dollár@
@donkey@|@áse, ásen@
@don't@|@ale@
@Don't touch me there!@|@Ale guoskka mu dieigo!@
@door@|@goahti, lávvu, uk'sâ, uksa, uvs, uvssot, uxs@
@door to a building@|@uksa@
@dot@|@chuokkis@
@dotterel@|@láfol@
@dough@|@dáigi@
@draft@|@tratte@
@drama@|@teahtárbihttá, tragediija@
@drama (subject)@|@teahtárdieða@
@dramatic@|@dramáhtalaš@
@drawee@|@trasáhta@
@drawer@|@leaðbma, skuffa@
@drawer commercial@|@traseanta@
@drive@|@kampánja@
@driver's license@|@vuodjingoarta@
@dual@|@duála, guvttiidlohku@
@duck@|@suorsa, vuojaš@
@dunlin@|@cháhppeschoavji@
@during@|@áigge@
@during last winter@|@ovddit dálvvi@
@during next week@|@boahttevahkus@
@during the day@|@beaivet@
@duty to submit a complaint@|@váidingeatnegasvuohta@
@dynamite@|@dynamihtta@
@dynamo@|@generáhtor@
@each@|@juo-, juoga, juohke, juokke@
@each person@|@juohkehaš@
@eagerness@|@árja@
@eagle@|@goas'kem, goaskin@
@eagle brother@|@goaskinvielja@
@ear@|@beallji@
@earlier@|@árat@
@earnings@|@dienas@
@earth foxes@|@biedju@
@easier@|@álkit:bu@
@easily@|@álkit@
@east@|@nuorti@
@Easter@|@beassážat@
@Easter break@|@beassášluopmu@
@Easter Sunday@|@beassášbeaivi@
@easy@|@álki@
@eating disorder@|@borranváddu@
@ecclesiastical@|@girkolaš@
@echo@|@gájanas@
@ecology@|@ekologiija@
@economics@|@ekonomiija@
@ecotourism@|@ekoturisma@
@Ecuador@|@Ecuador@
@eczema@|@ihtalanvihki@
@edge@|@muoloos, ravda@
@edition@|@deaddileapmi@
@effective@|@beaktil, doaimmalaš, effektiiva, effektiiva, fámolaš@
@egg@|@monni@
@egg white@|@monnevielgadas@
@eggplant@|@auberšiidna@
@ego@|@iešdovdu, lyralaš@
@Egypt@|@Egypta@
@eight@|@gávcci, gavce, gavce, kaakce, kaktse@
@eighteen@|@gávccinuppelohkái@
@eighteenth@|@gávccinuppelogát@
@eighth@|@gávccát@
@eighty@|@gávccilogi@
@elative@|@elatiiva@
@electoral district@|@válgabiire@
@electric power@|@šleaðgafápmu@
@electrician@|@elektrihkkir@
@electricity@|@elektrisitehta@
@electrode@|@elektroda@
@electronics@|@elektronihkka@
@elegy@|@elegiija@
@elephant@|@elefánta@
@elevation@|@kaarraa@
@eleven@|@oktanuppelohkái@
@eleventh@|@oktanuppelogát@
@elk hunting@|@ealggabivdu@
@Elvebakken@|@Joganjálbmi@
@e-mail@|@e-boasta, e-poasta, šleaðgapoasta@
@e-mail address@|@e-boastaçujuhus, šleaðgapoastaðujuhus@
@e-mail address (1)@|@e-poastaçujuhus@
@employee@|@bargi@
@employment@|@barggolašvuohta, bárgu@
@Employment and Economic Development Centre@|@Bargofápmoja ealálahusguovddáš@
@employment service agency@|@bárgofápamodoaimmanat@
@end of a fjord@|@vuotnabahta@
@endangered@|@áitatvuloš@
@ending@|@loahpahus@
@energy@|@alva, arva, energiija@
@engine@|@mohtor@
@engine room@|@mášinlatnja@
@engineer@|@inšenevra@
@England@|@Englánda@
@English (language)@|@eangalsgiella, eangasgiella@
@engrave@|@cäppa@
@Enontekiö@|@Enodat@
@enterprise@|@fidnu@
@enthusiastic@|@movtta@
@entrance fee@|@sisabeasanmáksu@
@entryway@|@feaskkir@
@envious@|@gáðaš@
@environment@|@biras@
@Environmental Permit Authority@|@Biraslohpedoaimmahagat@
@environmental poison@|@birasmirko@
@environmental therapist@|@birasterapevta@
@envy@|@gaðašvuohta, gáðašvuohta@
@epic poetry@|@epihkka@
@epidemic@|@epidemiija@
@equality@|@dásseárvu@
@erection@|@erekšuvdna@
@ermine@|@buoidda@
@errand@|@earán@
@error@|@feaila@
@especially@|@earenoamážit, sierra@
@essay@|@essea@
@essive@|@essiiva@
@Estonia@|@Estlánda@
@Estonian (language)@|@esttegiella@
@etcetera@|@dahje eará dakkár, ja nu ain@
@eternity@|@agálašvuohta@
@ethnic@|@etnalaš, etnihkalaš@
@ethnic identity@|@etnihkalaš identitehta@
@euphemism@|@eufemisma@
@Eurasian collared dove@|@durkkaduvvá@
@Eurasian curlew@|@stuorraguškkástat@
@Eurasian eagle owl@|@lidnu@
@Eurasian golden plover@|@bižus@
@Eurasian jackdaw@|@toardnagájon@
@Eurasian jay@|@látteguovssat@
@Eurasian otter@|@cheavrris@
@Eurasian pygmy owl@|@cihceskuolfi@
@Eurasian sparrowhawk@|@dihtti@
@Eurasian tree sparrow@|@uhcašilljocihci@
@Eurasian treecreeper@|@muorragakcu@
@Eurasian wigeon@|@snárttal@
@Eurasian wryneck@|@giegabiigá@
@Europe@|@Eurohpa, Eurohpá@
@European@|@eurohpalaš, eurohpálaš@
@European bird cherry@|@ávža, duopma@
@European honey-buzzard@|@uvlohávut@
@eve@|@ruohtta@
@even though@|@vaikke, vaikko@
@evening@|@eahket@
@event@|@dáhpáhus@
@every day@|@juohke beaivve, juohke beaivvi@
@every evening@|@juohke eahkeda@
@every morning@|@juohke iðida@
@every night@|@juohke ija@
@every week@|@juohke vahkku@
@every workday@|@juohke árgabeaivvi@
@every year@|@juohke jagi@
@everybody@|@juohkehaš@
@everyone@|@buohkat@
@everything@|@buot@
@evil-minded@|@bahánihkkán@
@exactly@|@áibbas@
@exactly as if@|@áibbas@
@examen@|@eksámen, tente@
@example@|@ovdamearka@
@excess@|@badjebáza@
@exclamation mark@|@chuorvvasmearka@
@Excuse me@|@ándagassii@
@exempli gratia@|@ovdamearkka dihte@
@exercise@|@bargobihtta, bargobihttá, hárjehus@
@exhibit@|@chájáhus@
@experienced@|@hárjánan@
@experimental@|@eksperimentála@
@expert@|@aššedovdi, aššedovdi@
@expert in something@|@aššedovdi, áššedovdi@
@expertise@|@máhttu@
@explanation@|@chilgehus@
@explanation for something@|@chilgehus birra@
@express oneself@|@gaskkustit@
@extend@|@fâd'na-, vâd'na-, vantte-, vatna- vanni-, vønnø-@
@extended family@|@sohka@
@eye@|@chalbmi@
@eye muscle@|@chalbmedeahkki@
@fable@|@fábel@
@face@|@muoðut@
@face to face@|@njunnálagaid@
@fact@|@duohta ášši, fáktum@
@factory@|@fabrihkka@
@fall asleep all of a sudden@|@nohkihit@
@Fallopian tube@|@monnejoðas@
@false god@|@eahpeipmil@
@family@|@bearaš@
@family name@|@sohkanamma@
@famous@|@dovddus@
@fanatic@|@fanáhtalaš, fanatihkalaš, fanatihkar@
@fang@|@chalam@
@fantastic@|@fantastihkalaš, fantásttalaš@
@far@|@olgas, olkus@
@farce@|@fársa@
@farewell speech@|@earrosáhka@
@farm@|@dállu@
@farmer@|@boanda@
@farmhand@|@reangga@
@farming@|@eanadoallu, eanandoallu@
@Faroese@|@Fearsulluid olmmoš@
@Faroese (language)@|@fearagiella@
@fascism@|@fašisma@
@fascist@|@fašista, fašistlalaš@
@fat@|@vuoggja@
@fat only of animals@|@buoidi@
@father@|@ag'gja, áhchchi@
@fatherhood@|@áhchchevuohta, áhchchivuohta@
@fatherless@|@áhcheheapmi@
@fatty acid@|@buoidesuvri@
@fax@|@telefáksa@
@fear@|@ballu@
@fear of God@|@ipmilballu@
@feather@|@dolgi, tal'ke@
@February@|@guovvamánnu@
@felony@|@rihkus@
@female@|@bierggas, njingngalas@
@feminism@|@feminisma@
@feminist@|@feminista, feministtalaš@
@fence@|@áidi, oacce@
@fennel@|@fenihkkal@
@feral pigeon@|@duvvá@
@festival@|@festivála@
@festive@|@feastalaš@
@feudal system@|@feodálaortnet@
@feudalism@|@feodalisma@
@feudalist@|@feodalista@
@feudalistic@|@feodála@
@fever@|@báhkkadávda, feber@
@feverish@|@báhkas@
@fiction@|@cháppagirjjálašvuohta, fikšuvdna@
@fictive@|@fiktiiva@
@fiddle@|@fijuvla@
@field@|@bealdu, duottar, gieddi@
@fieldfare@|@ránesrásttis@
@fifteen@|@vihttanuppelohkái@
@fifteenth@|@vihttanuppelogát@
@fifth@|@viðat@
@fifty@|@vihttalogi@
@fight@|@doarro, tarro, vuostelasvuohta@
@figure@|@figuvra@
@filament@|@áhchagastinárpu@
@file@|@sadjee-, saija, sijja-@
@file (computers)@|@fiila@
@film@|@filbma@
@finally@|@viimmat@
@financial@|@ekonomalaš@
@financial statement@|@rehketdoalloloahpahus@
@Fine; thanks@|@Giitu buorre@
@finger@|@suorbma@
@finish@|@loahppa@
@Finland@|@Suopma@
@Finn@|@suopmelaš@
@Finn (person)@|@Suoma olmmoš@
@Finnish (language)@|@suomagiella@
@Finnish Meteorological Institute@|@Dálkedoeðalágádus@
@Finnland@|@Finnmárku@
@Finns@|@Suoma olbmot@
@fire@|@bæi've, bajan, bajan, bajan, dolla, pajaan, pajaan@
@fire engine@|@jáddadanbiila@
@fire extinguisher@|@jáddadanapparáhta@
@fire hose@|@jáddadanbohcci@
@fire station@|@jáddadanstašuvdna@
@fire-extinguishing powder@|@jáddadanbulvarat@
@firefighter@|@jáddadeaddji@
@fireweed@|@horbma@
@firm@|@firbmá, fitnodat@
@first@|@vuosttas, vuosttaš@
@first aid@|@álgoveahkki@
@first name@|@ovdanamma@
@first thing tomorrow@|@ihttánaga@
@fish@|@guolli@
@Fish Oil Stone@|@Ceavccageaðge@
@fishball@|@guollebállu, guolleguppár@
@fisherman@|@guollebivdi@
@fishery@|@guolástángoddi, guolástus@
@fishing@|@guolásteapmi, guollebivdu@
@Fishing Act@|@guolástánláhka@
@fishing area@|@guolástánguovlu@
@fishing grounds@|@guolástánsádji@
@fishing line@|@siibma@
@fishing rod@|@oaggunstággu@
@fishing village@|@vearra@
@fist@|@chorbma@
@five@|@vihtta@
@fjord@|@vuotna@
@flag@|@lávda, leavga@
@flame@|@avr@
@flamingo@|@flaminggo@
@flank@|@ær'te@
@flannel@|@flánel@
@flat@|@duolba@
@Flavocetraria nivalis@|@fiskesjeagil@
@flaxseed@|@beallemassiepman@
@flea@|@lahpis@
@flea market@|@lahpesgávpi@
@flee@|@gar'gedi@
@flexible@|@njuoras, njuorâs, njuorra, njuorrâ@
@flight@|@girdin, girdinvuorru@
@flipper@|@gáhtir@
@floor@|@láhtti@
@floppy@|@laska@
@flour@|@jáffut@
@flower@|@rássi@
@flu@|@influensá@
@fly (insect)@|@churu@
@foam lichen@|@smarvejeagil@
@fog@|@mierka, sobmo@
@folk@|@gaj'je@
@folk music@|@álbmotmusihkka@
@font@|@bustávvašládja, foanta, fonta@
@food@|@biebmu, borramuš@
@food sacked away for winter@|@dálvebiepmut@
@foodstuff@|@biebmogálvu@
@foolish@|@jalla@
@foot@|@juolgi@
@foot in a poem@|@diktajuolgi@
@footstep@|@lávki@
@for ever@|@ovtto@
@for example@|@ovdamearkan@
@for free@|@nuvttá@
@forehead@|@gállu@
@foreign language@|@vieris giella@
@Foreign Minister@|@olgoministtar@
@foreskin@|@ovdanáhkki@
@forest@|@meahcci, varre, vuovdi, vuow'de@
@forestry@|@meahccedoallu@
@fork@|@gáffal, káffal@
@forklift@|@gáffaltrukka@
@formalism@|@formalisma@
@forty@|@njealljelogi@
@Forum of Sami Women@|@Sámi Nissonforum@
@foster child@|@biebmománná, biepmohas@
@foster daughter@|@biebmonieida@
@foster father@|@biebmoáhchchi@
@foster mother@|@biebmoeadni@
@foster parents@|@biebmováhnemat@
@foster son@|@biebmobárdni@
@four@|@nelj, niel'ja, nielj, nielje, njæl'lje, njeallje@
@four winds hat@|@chiehgahpi@
@four-room apartment@|@njealjelanjadat@
@fourteen@|@njealljenuppelohkái@
@fourth@|@njealját@
@fourth toe@|@orbbeš@
@fox@|@rieban@
@frame@|@rápma, roangga@
@France@|@Frángkriika, Frankriika, Ránska@
@freckle@|@cháihmi@
@free@|@friddja, friija@
@freedom@|@friddjavuohta@
@freehold@|@iešeaiggát, iešeaiggátvuohta@
@freelancer@|@beaivebálkkolaš, luodobargi@
@free-style@|@friddjastiilla@
@French@|@fránskalaš@
@fresh@|@varas@
@freshly@|@varrasis@
@freshwater@|@sáivacháhci@
@freshwater fish@|@sáivaguolli@
@Friarfjorden@|@Irgevuotna@
@Friday@|@bearjadat@
@friend@|@ustit, viel'ja, viel'ljâ, vielj, vil, vilj@
@friendly@|@ustitlaççat, ustitlaš@
@friendship@|@ustitvuohta@
@fright@|@ballu@
@fringe@|@duog'ge@
@frog@|@rihccecuoppu, rihcit@
@from ~ to@|@rájes ~ rádjai@
@from 1 generation to the next@|@buolvvas bulvii@
@from in front of@|@ovddas@
@from something@|@birra@
@front seat@|@ovdabeangka@
@frost@|@bihci, galbma, galbme@
@fruit@|@šattus@
@fruit dealer@|@fruktagávppašeaddji@
@fuel@|@boaldámuš@
@Fuglevatn@|@Loddejávri@
@full of sin@|@suttolaš@
@full to the brim@|@bahkka@
@full-time job@|@ollesbeaivebargu@
@fulmar@|@bupmálas@
@function@|@doaibma, funkšuvdna@
@fundamentalism@|@fundamentálisma@
@funny@|@somá@
@fur@|@guolga@
@fur-boot made out of reindeer@|@nuhtat, nuhtot, nuvttot@
@furniture@|@latnjabierggas@
@further south@|@máddelii@
@fuse@|@sihkkarasti@
@future@|@boahtteáigi@
@gadfly@|@boaro@
@gadwall@|@ránessnárttal@
@gallbladder@|@sáhpperáhkku@
@gallery@|@galleriija@
@Gällivare@|@Jiellevárri, Váhçir@
@game@|@speallu@
@Gamvik@|@Gánggaviika@
@garage@|@biilastállja, garaša, garaša, garáša@
@garbage dump@|@ruskabáiki@
@garden@|@šillju@
@garden warbler@|@rohtovizar@
@garganey@|@suoidneçiksa@
@garlic@|@vilgeslávki@
@garlic press@|@vilgeslávkenjuvddán@
@gas@|@gássa@
@gastric acid@|@choavjesuvri@
@gateau@|@lákcagáhkku@
@Gaza@|@Gaza@
@gear@|@gira, molssa@
@Gemini@|@Jumežat@
@gene@|@gena@
@general@|@ollislas@
@general idea@|@oppalaš govva@
@general linguistics@|@dábálaš lingivistihkka@
@generally@|@lávda ládje@
@generation@|@buolva, buolvadat@
@generous@|@addálas@
@genetic@|@genehtalaš@
@geneticist@|@genetihkkár@
@genetics@|@genetihkka@
@genitive@|@genitiiva@
@genre@|@genre, šángra@
@genuine@|@eakti@
@geographical@|@geográfalaš@
@geographically@|@geográfalachchat@
@geography@|@geográfiija@
@geological@|@geologalaš@
@geology@|@geologiija@
@geometric@|@geomehtrihkalaš, geometralaš@
@geometry@|@geometriija@
@German@|@germána@
@Germany@|@Duiska@
@get bored of doing s.t sudden@|@dolkkihit@
@get mixed up in something@|@roahkkasit@
@giantess@|@jiehtanas@
@ginger@|@ingefeara@
@gingerbread@|@bihpporgáhkku@
@girdle@|@âvve, avvee@
@girl@|@nieidamánná@
@girlhood@|@nieidavuohta@
@give me some@|@attes munnje@
@give to someone else@|@addalit@
@giver@|@addi@
@giving@|@addin@
@glacier@|@jiehkki@
@gland@|@ráksá@
@glass@|@glássa, hlássa, klássa, lássa@
@glasses@|@chalbmeláset@
@glaucous gull@|@stuorraskávli@
@global@|@globála, oppamáilmmalaš, oppamáilmmálaš@
@global warming@|@globála liegganeapmi@
@globalization@|@globaliseren@
@globeflower@|@boallo-oaivi, boallorássi, mihcamarrássi, spábbarássi@
@glossary@|@sátnerádju@
@glove@|@gistta@
@go at the same time as@|@seammás@
@go away!@|@fuos eret!@
@go each time when@|@juohke gearddi@
@go from something to something@|@boahtit@
@go more than@|@eanet@
@go other than@|@eara@
@go twice as much as@|@duppalgeardde@
@goad@|@biikasoabbi@
@goal-oriented@|@mearrediðolaš@
@goat@|@gáica@
@god@|@ipmil@
@God@|@ipmilbalolaš@
@godchild@|@rismánná@
@goddaughter@|@risnieida@
@godfather@|@ristáhchchi@
@godmother@|@risteadni@
@godparent@|@fáttar, ristváhnen@
@godson@|@risbárdni@
@gold@|@golli@
@gold ring@|@gollesuorpmas@
@goldcrest@|@loddegonagas@
@golden@|@gollas@
@golden eagle@|@goaskin@
@good@|@buorre, šiega@
@good afternoon@|@buore beaivvi@
@good evening@|@buore eahket@
@Good Friday@|@guhkesbearjadat@
@good morning@|@buore iðit@
@good-bye@|@báhcci dearvan, báhcet dearvan, báze dearvan@
@goody@|@hersko@
@gooseberry@|@muovjejieret@
@goshawk@|@vuoncáfálli@
@Gothic@|@gohtalaš, gotihkalaš@
@government@|@hálddahus, ráððehus, stáda, stáhta, stáhtalaš, stáhtta@
@governor of a county@|@eanahearrá@
@grab@|@njaammoo-@
@grain of rice@|@risenrievdna@
@gram@|@grámma@
@grammar@|@giellaoahppa, grámmatihkka@
@grandchild@|@áddjut, áhkkut@
@grandfather@|@áddjá@
@grandmother@|@áhkku@
@grant@|@doarjja@
@grapefruit@|@greipa, greipašaddu@
@graphic@|@grafihkalaš@
@graphic artist@|@grafihkar@
@gray@|@ránes@
@great black-backed gull@|@gáiru, mearragáiru@
@Great Britain@|@Stuorra Británnia@
@great cormorant@|@skárfa@
@great crested grebe@|@silkebuokcha@
@great grey owl@|@ránesskuolfi@
@great grey shrike@|@skirri@
@great scallop@|@heastaskálžu@
@great skua@|@stuorraskáiti@
@great snipe@|@sáhcomeahkástat@
@great spotted woodpecker@|@bihcebáscháihni@
@great tit@|@fiskesgaccet@
@greater scaup@|@stuorrafiehta@
@Greece@|@Greika@
@green@|@ruoná@
@green (from vegetation)@|@ruonas@
@green reindeer lichen@|@roancejeagil@
@green sandpiper@|@vuovdechoavžžu@
@green woodpecker@|@ruonácháihni@
@greenfinch@|@ruonábeibboš@
@greenhouse effect@|@šaddadanviessoeffeakta@
@Greenland@|@Ruonáeana, Ruonáeanan@
@greenland sleeper shark@|@áhkalakkis, áhkáš@
@Greenlandic@|@ruonáeatnalaš@
@Gressbakken@|@Rissebávti@
@grey alder@|@leaibi@
@grey heron@|@ránesháigir@
@grey reindeer lichen@|@ránesjeagil@
@grey seal@|@ránesnjuorju@
@grey wagtail@|@várrebeštor@
@grey-headed wagtail@|@fiskesbeštor@
@grey-headed woodpecker@|@ránescháihni@
@greylag goose@|@chuonji, ráneschuonjá@
@grill@|@grilla@
@groin@|@naairme@
@groom@|@irgi@
@gross@|@oppalaš@
@group@|@joavku, konsearna@
@grouse@|@piecce@
@gruel@|@málli@
@Guatemala@|@Guatemala@
@guest@|@guossi@
@guilty@|@sivalaš@
@guitar@|@gitára, gitárra@
@Gulf of Bothnia@|@Davviluokta@
@gum@|@algnga@
@gun@|@bissu@
@gynaecologist@|@gynekologa@
@gynaecology@|@gynekologiija@
@gyrfalcon@|@rievssatfálli@
@haddock@|@diksu, juksu@
@hair@|@guol'ga, vuokta, vuovttat@
@half@|@bealli@
@half of something@|@~lahkki@
@half price@|@beallehaddái@
@half-hour@|@diibmobealle, diibmobealli@
@half-time@|@gaskkamuddu@
@hallucination@|@hallisinašuvdna@
@hammer@|@væchch-, væchcher, væžer, veahçir, veažir, viehtjër@
@Hammerfeasta@|@Rávdnjenjárga Strømsnes@
@Hammerfest@|@Hammerfeasta@
@hand@|@giehta@
@handbag@|@giehtalávka@
@handbrake@|@giehtagoazan@
@handicraft@|@duodji@
@handicrafts@|@giehtaduodji@
@handle@|@geavja@
@hang up@|@wuokxtaje, wuokxtange@
@happy@|@lihkolaš@
@harbor porpoise@|@nissu@
@harbour seal@|@geaðgenjuorju, geaðggán@
@hard@|@garas, karra-@
@hard birch wood@|@vissir@
@hard drive@|@garraskearru@
@hard palate@|@k'cham-, njuouhtjav, njuovcha@
@hard seed@|@dákti@
@hard snow surface@|@jassa@
@hare@|@njoammel@
@harm@|@vahát@
@harp seal@|@dealljá, ruoššanjuorju@
@hasp@|@roahkki@
@hat@|@gaibagahpir, háhtta@
@hawk owl@|@bigán@
@hay@|@suoidni@
@hazardous@|@váralaš@
@hazel grouse@|@baggo, bakku@
@he@|@son@
@head@|@oai've, oaivi@
@head librarian@|@girjerádjohoavda@
@head of hair@|@vuovttat@
@headache@|@oaivebávchchas@
@headland@|@njárggaš@
@health@|@dearvvasvuohta, dearvvašvuohta@
@health services@|@dearvvašvuoðabálvalus@
@healthily@|@dearvan@
@hearing@|@gullu@
@heart@|@vai'bmo, vai'mö, váibmu@
@heat@|@oDDA@
@heaven@|@albmi@
@heavy@|@lossat@
@hectare@|@hektára@
@hedge accentor@|@ruovdecizáš@
@height@|@guhkkodat@
@helicopter@|@helekopter@
@hell@|@helvet@
@hello@|@bures, bures bures@
@helmet@|@jealbma, suodjegahpir@
@help@|@veahkki@
@help in doing@|@veahkki@
@Helsinki@|@Helsset@
@Helsinki Uni. of Technology@|@Helssega teknálaš allaskuvla, Teknálaš allaskuvla@
@hen harrier@|@jeaggehávut@
@herald@|@sáhkabukti@
@herd@|@chuäc, chuccu, šuošša@
@herd of reindeer@|@binna@
@herder@|@guoðoheaddji@
@here@|@dás@
@here in this place@|@dá, dáppe, dás@
@herring@|@sildi@
@herring gull@|@ránesskávli, skávli, skoarra@
@hers@|@su@
@Hetta@|@Heahttá@
@hew@|@suod'da@
@hibernation@|@adjagas@
@hidden@|@chiegus@
@high school@|@joatkkaskuvla, logahat@
@highway@|@riikaluodda, riikaluodda, riikkageaidnu@
@hill@|@tievvaa@
@hillside@|@luohkká@
@hind@|@oaž'že@
@Hippity hop@|@njuikunspábba@
@historical@|@historjjálaš@
@historical event@|@historjjálaš dáhpáhus@
@history@|@historjá@
@hither@|@deike@
@hoary redpoll@|@vilgesummolcizáš@
@hole@|@ráigi, vuoggo@
@hollow hand@|@sæsse@
@hollow of breast@|@vuob'ta, vuog'ta, vuow'da@
@Holy Saturday@|@beassášlávvordat@
@home reserve@|@noastoveahka, nostoväki@
@homepage@|@ruoktosiidu, ruoktusiidu, ruovttosiidu, ruovttusiidu@
@homeward@|@ruoktiin, ruoktot@
@homogenization@|@homogeniseren@
@homophobia@|@homofobiija@
@homosexual@|@homofiila@
@homosexuality@|@homofiilavuohta@
@honey@|@miehta, miehtegulgii, myötäkarvaan@
@honor guard@|@gudnekompaniija@
@honour@|@gudni@
@hooded crow@|@vuoražas@
@hooded seal@|@arktalaš njuorju, árktalaš njuorju@
@hook@|@ngieotsie@
@hop for a small period of time@|@njuikkodastit@
@hop for an extended period@|@njukkodallat@
@hope@|@vuordámuš@
@Hopseidet@|@Nuorri@
@horned lark@|@ruoššaállat@
@horoscope@|@horoskohpa@
@horrible@|@issoras@
@horribly@|@issoras@
@horribly X@|@iskor@
@horse@|@heasta@
@horsepower@|@heasttafápmu@
@hospital@|@buohcceviessu, buohcciviessu@
@hotel@|@hotealla@
@hour@|@diibmu@
@hourly wages@|@diibmobálká@
@house@|@ásodat, dállu, ruoktu, stohpu, viessu@
@house martin@|@beskkoš@
@house sparrow@|@šilljocihci@
@how@|@man, mot@
@How are things going?@|@Mii gullo?@
@how many@|@man olu@
@how many years@|@galle jagi@
@how many?@|@galle@
@how much@|@ollugo, olugo@
@how?@|@mo?, mot?@
@howling@|@holvun@
@How's it going?@|@Mot manná?@
@human being@|@olmmoš@
@human rights@|@álbmotriekti@
@hummock@|@bovdna@
@Hungarian language@|@ungargiella@
@Hungary@|@Ungár, Ungára@
@hunting@|@bivdu@
@hurry@|@hoahppu@
@hypnotic@|@hypnohtalaš@
@I@|@mon, moon, mun, muun@
@I (dialectal)@|@mon@
@iambic@|@jámba@
@Iärvi@|@Ijávri@
@ice@|@jieknga@
@ice cream@|@lákcajieknga@
@ice cream stick@|@lákcajiekngasággi@
@ice floe@|@baldu@
@ice road@|@jiekngašaldi@
@iceberg lettuce@|@smierrosaláhta@
@Iceland@|@Islánda@
@Iceland gul@|@dálvvit, vilgessoadjaskávli@
@Iceland gull@|@dálvvit@
@Iceland moss@|@sarvajeagil@
@Icelandic@|@islándalaš@
@Icelandic (language)@|@islánddagiella@
@icterine warbler@|@fiskesjievžžan@
@idea@|@fáddá@
@identical@|@ideanttalaš, identálaš@
@identity@|@identitehta@
@ideology@|@ideologiija@
@if@|@jos, juos, jus@
@ill@|@buohcci@
@illative@|@illatiiva@
@illustration@|@govuheapmi, illustrašuvdna@
@illustrator@|@govvejeaddji@
@im~@|@eahpe~@
@immortal@|@jápmemeahttun@
@imperative@|@gohchchunvuohki, imperatiiva@
@imperfect@|@dievasmeahttun@
@implication@|@implikašuvdna@
@importance@|@dehálašvuohta@
@important@|@deatalaš, dehálaš@
@importantly@|@deatalažžan@
@impossible@|@máðoheapme@
@impressionism@|@impressionisma@
@imprisonment@|@giddagas@
