@Esperanto@|@English@
@Barbario@|@Barbary@
@barbarismo@|@barbarism@
@barbaro@|@barbarian@
@barbfiŝo@|@barbel@
@barbhava@|@bearded@
@barbio@|@barbel@
@barbiro@|@barber@
@barbisto@|@barber@
@barbiturato@|@barbiturate@
@barbo@|@beard@
@barbulo@|@bearded man@
@Barcelono@|@Barcelona@
@barĉo@|@borsch, borscht@
@bardo@|@bard@
@bareliefo@|@bas-relief, low relief@
@barelo@|@barrel@
@Barencmaro@|@Barents Sea@
@barĝestro@|@barge-master@
@barĝo@|@barge@
@bari@|@obstruct, bar@
@bariergardisto@|@signalman@
@bariero@|@barrier@
@barikadi@|@barricade@
@barikado@|@barricade@
@barila digo@|@dam@
@barilo@|@barrier, fence@
@barilpordo@|@gate@
@bario@|@barium@
@Barita Mozo@|@Dammed Meuse@
@baritono@|@baritone@
@baritonulo@|@baritone@
@bariumo@|@barium@
@barko@|@barque, bark@
@Barnabaso@|@Barnabas@
@baro@|@bar, barrier@
@baroka@|@baroque@
@baroko@|@baroque@
@barometra alto@|@barometer reading@
@barometro@|@barometer@
@baronino@|@baroness@
@baronlando@|@barony@
@barono@|@baron@
@barto@|@steel, busk@
@basa@|@deep@
@basbalo@|@baseball@
@baseno@|@reservoir, basin@
@basiero@|@bear@
@basigisto@|@bear@
@basketbalo@|@basketball@
@basko@|@coattail@
@baskuli@|@toggle@
@baskulo@|@teeter-totter, weighing machine, lever; seesaw@
@baskulŝaltilo@|@toggle-switch@
@basludanto@|@bass player@
@baŝo@|@tarpaulin@
@baso@|@bass voice@
@baso@|@bass@
@Basro@|@Basrah@
@bastarda@|@bastard@
@bastardeco@|@bastardy@
@bastardo@|@bastard@
@bastiono@|@bastion@
@basto@|@bast@
@bastonadi@|@flog, beat up, thrash, beat, whack@
@bastono@|@cane, baton, stick@
@basulo@|@bass@
@basviolono@|@violoncello, bass-viol@
@batadi@|@clatter@
@batalanto@|@combatant, fighter@
@batalema@|@truculent@
@batalhalto@|@truce; cease-fire@
@batali@|@struggle, fight@
@batalilo@|@weapon@
@bataliono@|@battalion@
@batalkampo@|@battle-field@
@batalo@|@struggle, battle, scuffle@
@batava@|@Batavian@
@batavo@|@Batavian@
@bategi@|@thrash@
@baterio@|@battery@
@bati@|@hit, beat, strike@
@batiki@|@batik@
@batisto@|@cambric, lawn, batiste@
@batita kremo@|@whipped cream@
@bato@|@blow@
@batuo@|@battue, shoot@
@baŭdo@|@baud@
@baŭksito@|@bauxite@
@baŭmi@|@buck, prance, rather@
@bavara@|@Bavarian@
@Bavario@|@Bavaria@
@bavaro@|@Bavarian@
@bavi@|@slobber@
@baza@|@basic@
@baza salajro@|@basic wage@
@bazalto@|@basalt, whimstone@
@bazaro@|@fair, market, bazaar@
@Bazelo@|@Basle, Basel@
@bazi@|@base@
@baziliko@|@basilica@
@bazilio@|@basil@
@bazo@|@base, basis@
@bazopilkludo@|@baseball@
@bazuko@|@anti-tank gun, bazooka@
@beata@|@blissful, blessed@
@beatigi@|@beatify@
@bebo@|@baby@
@beboĉareto@|@baby-buggy, pram@
@bebofono@|@baby phone, baby intercom@
@bebovartantino@|@baby-sitter@
@bebovartanto@|@baby-sitter@
@bedaŭri@|@regret, be sorry about@
@bedaŭriga@|@miserable(3)@
@bedaŭrinda@|@regrettable@
@bedaŭrinde@|@regrettably, unfortunately@
@bedaŭro@|@regret@
@bedo@|@bed@
@bedueno@|@Beduin, Bedouin@
@beginejo@|@beguinage@
@begino@|@beguine@
@begonio@|@begonia@
@beja@|@bay, reddish brown@
@bekerelo@|@becquerel@
@beki@|@pick, peck@
@beko@|@bill(2), beak@
@bela@|@lovely, handsome, fine, beautiful@
@beladono@|@belladonna@
@belaĵo@|@beautiful sight@
@bele@|@beautifully@
@beleco@|@beauty@
@belega@|@lovely@
@beleta@|@pretty@
@beletaĝo@|@ground floor@
@beletre klera@|@well-read@
@beletristiko@|@belles-lettres@
@beletristo@|@man of letters@
@beletro@|@belles-lettres@
@Belfasto@|@Belfast@
@belfrido@|@belfry, bell tower@
@belga@|@Belgian@
@belgino@|@Belgian, Belgian woman@
@Belgio@|@Belgium@
@belgo@|@Belgian@
@beligi@|@beautify@
@beliza@|@Belizian@
@belizanino@|@Belizian, Belizian woman@
@belizano@|@Belizian@
@Belizo@|@Belize@
@belo@|@bel@
@belsona@|@euphonious@
@belulino@|@beauty, beautiful woman@
@bemolo@|@flat@
@bendi@|@tape@
@bendo@|@tape, binding, strip@
@benediktano@|@Benedictine, Benedictine monk@
@benefico@|@benefit performance@
@Benelukso@|@Benelux@
@bengala@|@Bengal@
@bengala fajro@|@bengal-light, bengal-lights@
@Bengala Golfo@|@Bay of Bengal@
@Bengalio@|@Bengal@
@beni@|@bless@
@benigna@|@benign@
@benina@|@Beninese@
@beninanino@|@Beninese woman@
@beninano@|@Beninese@
@Benino@|@Benin@
@benjeto@|@doughnut@
@benketo@|@small bench, stool@
@benko@|@bench@
@beno@|@blessing, boon@
@benzeno@|@benzene@
@benzinbombo@|@Molotov cocktail@
@benzincisterno@|@fuel tank@
@benzinkruĉo@|@petrol can@
@benzinmezurilo@|@petrol gauge@
@benzinmotoro@|@petrol engine@
@benzinnivela indikilo@|@petrol gauge@
@benzino@|@petrol, gasoline@
@benzinstacio@|@filling station@
@benzinujo@|@petrol tank, gas tank@
@Beogrado@|@Belgrade@
@berberiso@|@barberry@
@berbero@|@Berber@
@bereto@|@beret@
@bergamoto@|@bergamot@
@bergamotoleo@|@bergamot@
@Berĥeno@|@Mons@
@beribero@|@beriberi@
@berilio@|@beryllium@
@berilo@|@beryl@
@berilŝtono@|@beryl@
@Beringomaro@|@Bering Sea@
@berlina@|@Berlin@
@berlinanino@|@Berliner, Berlin woman@
@berlinano@|@Berliner@
@Berlino@|@Berlin@
@bermo@|@shoulder, verge of a road, verge@
@Bermudoj@|@Bermudas@
@berna@|@Bernese@
@bernano@|@Bernese@
@Berno@|@Bern, Berne@
@bero@|@berry@
@Besarabio@|@Bessarabia@
@besta@|@bestial, beastly@
@bestaĉo@|@monster@
@besteca@|@bestial, beastly@
@bestejo@|@pen, sty@
@besteto@|@little animal@
@bestia@|@brutish, beastly, brutal, bestial@
@bestio@|@brute, beast, wild animal@
@bestkuracisto@|@veterinarian@
@besto@|@animal, beast@
@bestobredado@|@animal husbandry, animal breeding@
@Betleĥemo@|@Bethlehem@
@beto@|@beet@
@betono@|@concrete@
@betsukero@|@beet sugar, beetroot sugar@
@betulo@|@birch@
@bezona@|@necessary@
@bezonaĵo@|@requisite@
@bezonaĵoj@|@requisites, materials, necessaries@
@bezonata@|@necessary@
@bezoni@|@need, require@
@bezono@|@want, need@
@bibio@|@dung fly@
@Biblio@|@Bible@
@bibliografio@|@bibliography@
@bibliotekistino@|@librarian@
@bibliotekisto@|@librarian@
@biblioteko@|@library@
@biciklanto@|@bicycle rider, cyclist@
@bicikli@|@cycle@
@biciklo@|@bike, bicycle, cycle@
@biciklosako@|@cycle-bag@
@bido@|@bead@
@bienisto@|@rancher, farmer(2)@
@bieno@|@property, ranch, estate, farm@
@bienulo@|@landowner@
@bierejo@|@beer-bar@
@bierfarejo@|@brewery@
@bierglaso@|@beer glass@
@biero@|@beer@
@bifsteko@|@steak, beefsteak@
@biglo@|@beagle@
@bigota@|@hypocritical@
@bigoteco@|@hypocrisy@
@bigotulo@|@hypocrite, bigot@
@bikino@|@bikini@
@bilanco@|@balance sheet@
@bilardo@|@billiards@
@bildekrano@|@screen@
@bildero@|@pixel@
@bildkarto@|@picture postcard@
@bildlibro@|@picture book@
@bildo@|@picture, image@
@bildodetruo@|@iconoclasm@
@bildotubo@|@cathode tube@
@bildsimbolo@|@icon@
@bildtubo@|@cathode tube@
@bildvalvo@|@cathode tube@
@biletgiĉeto@|@booking-office@
@biletkontrolisto@|@ticket inspector@
@bileto@|@ticket, note, bill(2)@
@bilo@|@bill(2)@
@binara@|@binary@
@bindaĵo@|@binding, cover@
@bindi@|@bind@
@bindisto@|@binder@
@bindo@|@binding, cover@
@binoklo@|@binoculars@
@biografo@|@biographer@
@biologo@|@biologist@
@birdaĵo@|@fowl, poultry@
@birdaro@|@birds@
@birdo@|@bird@
@birdokanto@|@bird song@
@birdotimigilo@|@scarecrow@
@bireto@|@beret@
@biri@|@sound, take a bearing@
@birma@|@Burmese@
@birmanino@|@Burmese woman@
@birmano@|@Burmese@
@Birmo@|@Burma@
@bis@|@one more time, encore@
@Bisaŭo@|@Bissau@
@biskoto@|@biscuit@
@biskvito@|@cookie, biscuit@
@bismuto@|@bismuth@
@bitmatrico@|@bitmap@
@bitniko@|@beatnik@
@bito@|@bit@
@bitoko@|@byte@
@bivaki@|@camp@
@bivako@|@campsite@
@bizanca@|@Byzantine@
@bizancano@|@Byzantine@
@Bizanco@|@Byzantium@
@bizara@|@odd, weird, bizarre@
@bizono@|@bison@
@Bjelorusio@|@White Russia@
@blagi@|@kid, pull someone's leg@
@blago@|@sly joke@
@Blakpulo@|@Blackpool@
@blanka@|@white, blank@
@blanka libro@|@white paper [polit. document]@
@Blanka Maro@|@White Sea@
@blanka poplo@|@abele@
@blanketo@|@carte blanche, blank cheque@
@blankigi@|@make white, whitewash@
@blanko@|@white@
@blankulo@|@white man, European@
@blasfemi@|@cuss, swear, curse, blaspheme@
@blato@|@cockroach@
@blazo@|@blister@
@blazono@|@coat of arms@
@bleki@|@neigh, bellow, bleat@
@bleko@|@animal sound, cry@
@blenoragio@|@gonorrhoea@
@blinda@|@blind@
@blindeco@|@blindness@
@blindigi@|@dazzle@
@blindulo@|@blind, sightless person@
@blindumi@|@dazzle@
@blokado@|@blockade@
@bloketo@|@bit@
@bloki@|@block, blockade@
@bloklavo@|@block lava, aa lava@
@bloko@|@block, pad@
@blonda@|@fair, blond@
@bloveksciti@|@stir up@
@blovi@|@blow@
@blovinstrumento@|@wind instrument@
@blovorkestro@|@brass band@
@blua@|@blue@
@Blubarbulo@|@Bluebeard@
@blufi@|@bluff@
@bluo@|@blue@
@bluso@|@blues@
@bluti@|@sift@
@bluzo@|@blouse@
@bo-@|@by marriage, -in-law@
@Boacolago@|@Reindeer Lake@
@boao@|@boa@
@boardi@|@manoeuvre, tack@
@boato@|@boat@
@bobeli@|@bubble@
@bobelo@|@bubble@
@bobeni@|@wind@
@bobeno@|@spool, bobbin, coil@
@bobo@|@bobsled@
@Bocvano@|@Bechuanaland, Botswana@
@Bodenlago@|@Bodensee, Lake Constance@
@bofilino@|@daughter-in-law@
@bofilo@|@son-in-law@
@Boformaro@|@Beaufort Sea@
@bofratino@|@sister-in-law@
@bofrato@|@brother-in-law@
@bogepatroj@|@parents-in-law@
@bohema@|@Bohemian@
@Bohemio@|@Bohemia@
@bohemo@|@Bohemian@
@bojado@|@barking@
@bojegi@|@bay, bark@
@boji@|@bark@
@bojkoti@|@boycott@
@bojminaci@|@bay at, bark at@
@bokalo@|@jar@
@boko@|@vaulting-horse, ram@
@boksi@|@box@
@boksisto@|@boxer@
@bokso@|@boxing@
@boleti@|@simmer@
@boli@|@boil@
@boligi@|@boil@
@bolilo@|@kettle@
@bolivia@|@Bolivian@
@bolivianino@|@Bolivian woman@
@boliviano@|@Bolivian@
@Bolivio@|@Bolivia@
@bolkruĉo@|@kettle@
@bolŝeviko@|@Bolshevik@
@bolŝevisto@|@Bolshevik@
@boltingo@|@nut@
@bolto@|@bolt@
@bombardi@|@bombard@
@bombasta@|@bombastic, showy@
@Bombejo@|@Bombay@
@bombi@|@bomb@
@bombo@|@bomb@
@bombono@|@piece of candy, sweet, bonbon@
@bona@|@good, okay, nice@
@bonaĵo@|@something good@
@bonan matenon@|@good morning@
@bonan nokton@|@good night@
@bonan ŝancon@|@good luck@
@bonan tagon@|@good day@
@bonan vesperon@|@good evening@
@bonaspekta@|@good-looking@
@bondeziri@|@extend good wishes@
@bone@|@okay, OK, well@
@bone edukita@|@educated, cultured, cultivated@
@boneco@|@goodness@
@bonega@|@great, fine@
@bonege@|@very well, fine@
@boneta@|@nice@
@bonete@|@so so@
@bonfama@|@of good repute@
@bonfara@|@charitable(2), benevolent@
@bonfarti@|@be well, feel fine@
@bonfarto@|@well-being@
@bongusta@|@nice, tasty@
@bongustega@|@delicious@
@bongusto@|@good taste@
@bonhava@|@well-to-do, in easy circumstances@
@bonhavo@|@assets, credit@
@bonhumora@|@merry, gay@
@bonifiko@|@bonus@
@bonigi@|@make good, improve@
@boniĝi@|@become good@
@bonintenca@|@well-intentioned@
@bonkaraktera@|@good-hearted@
@bonkonduta@|@sweet@
@bonkora@|@good-hearted, kind@
@bonkvalita@|@high-quality@
@bonmaniera@|@polite, well-mannered, courteous@
@bonmaniereco@|@good breeding, refinement@
@bono@|@good@
@bonodora@|@nutty, fragrant, good-smelling@
@bonodoro@|@sweet smell, nice smell@
@bonorda@|@orderly@
@bonsajo@|@bonsai@
@bonŝance@|@fortunately@
@bonŝanco@|@luck@
@bonŝancon@|@good luck@
@bonstata@|@in good condition@
@bonstato@|@well-being@
@bontona@|@well-mannered@
@bonulo@|@nice guy@
@bonvenigi@|@welcome@
@bonvenigo@|@salutation, greeting@
@bonvenon@|@welcome@
@bonvoli@|@be so kind as to@
@bonvolo@|@good will, benevolence@
@bonvolu@|@please@
@bonzo@|@bonze@
@bopatrino@|@mother-in-law@
@bopatro@|@father-in-law@
@borakso@|@borax@
@boratingi@|@bore(2), tap, broach, sink(2), strike(2)@
@bordelo@|@brothel@
@bordero@|@border@
@bordo@|@border, bank, edge, shore@
@Borglono@|@Looz@
@bori@|@drill, bore(2)@
@borilo@|@bore(2)@
@bormaŝino@|@power drill@
@Borneo@|@Borneo@
@boro@|@boron@
@borso@|@stock exchange@
@bortruo@|@drill-hole, borehole@
@bosko@|@grove@
@boŝmano@|@Bushman@
@bosna@|@Bosnian@
@bosnino@|@Bosnian woman@
@Bosnio@|@Bosnia@
@Bosnio-Hercegovino@|@Bosnia-Hercegovina@
@bosno@|@Bosnian@
@Bosporo@|@Bosporus@
@botaniko@|@botany@
@botelĉapeto@|@bottlecap@
@botelkolo@|@bottleneck@
@botelmalfermilo@|@bottle opener@
@botelo@|@bottle@
@Botna Golfo@|@Gulf of Bothnia@
@boto@|@boot@
@botsvana@|@Botswanan@
@botsvananino@|@Botswanan woman@
@botsvanano@|@Botswanan@
@bovaĵo@|@beef@
@bovidaĵo@|@veal@
@bovido@|@calf@
@bovino@|@cow@
@bovlo@|@bowl@
@bovo@|@bovine, bovine animal@
@brabanta@|@Brabantine@
@brabantano@|@Brabantine@
@braceleto@|@bracelet@
@bradipo@|@sloth@
@braĝo@|@charcoal@
@brajlo@|@braille, Braille@
@brakapogilo@|@arm, arm-rest@
@brakhorloĝo@|@watch(2), wrist-watch@
@brako@|@arm@
@brakringo@|@bracelet@
@brakseĝo@|@armchair@
@brakumi@|@embrace@
@bramo@|@bream; topgallant mast@
@branĉeto@|@twig@
@branĉo@|@bough, branch@
@branĉotranĉilo@|@bill(2), pruning-knife@
@branĉvojo@|@side-way, by-way@
@brando@|@brandy; liquor@
@brankardo@|@stretcher@
@branko@|@gill@
@brano@|@bran@
@branpano@|@whole-grain bread@
@brasiko@|@cabbage@
@brava@|@gallant, brave@
@bravulo@|@able man, fine fellow@
@brazila@|@Brazilian@
@brazilanino@|@Brazilian woman@
@brazilano@|@Brazilian@
@Brazilo@|@Brazil@
@breĉi@|@breach@
@breco@|@pretzel@
@breĉo@|@gap, breach@
@bredado@|@breeding@
@bredi@|@breed, keep(2), raise(2), rather@
@bredisto@|@breeder@
@bredreaktoro@|@breeder reactor@
@bremsi@|@brake@
@bremso@|@brake@
@bretaro@|@cabinet@
@breto@|@shelf@
@Bretonio@|@Brittany, Bretagne@
@bretono@|@Breton@
@breviero@|@breviary@
@bridi@|@check, bridle, restrain@
@brido@|@bridle, restraints, check@
@brigado@|@brigade@
@briĝo@|@bridge@
@brika@|@brick@
@briketo@|@bar; briquette@
@briko@|@brick@
@brila@|@bright, brilliant@
@brili@|@shine@
@brilianto@|@brilliant, fine-cut gem@
@brilo@|@sheen, gloss@
@brita@|@British@
@Brita Kolombio@|@British Columbia@
@Britio@|@Britain, Great Britain@
@brito@|@Briton@
@brizo@|@breeze@
@broĉo@|@brooch@
@brodaĵo@|@embroidery@
@brodi@|@embroider@
@brogi@|@scald@
@brokanta@|@second-hand@
@brokantaĵo@|@used merchandise, second-hand item@
@brokanti@|@deal in second-hand goods@
@brokantisto@|@second-hand dealer@
@brokolo@|@broccoli@
@bronkito@|@bronchitis@
@bronko@|@bronchial tube@
@bronza@|@bronze@
@bronzo@|@bronze@
@brosi@|@brush@
@broso@|@brush@
@broŝurita@|@paperback@
@broŝuro@|@leaflet, paperback, pamphlet@
@brovo@|@brow, eyebrow@
@brua@|@noisy@
@bruego@|@din, loud noise@
@Brugo@|@Bruges@
@brui@|@make a noise@
@brulaĵo@|@fuel@
@brulalkoholo@|@methylated spirit@
@brulavertilo@|@firecall, fire-alarm@
@brulbombo@|@incendiary bomb@
@brulema@|@flammable@
@brulgluiĝi@|@burn@
@brulgusta@|@burnt@
@bruli@|@burn@
@bruligi@|@burn@
@bruliĝo@|@combustion@
@brulilo@|@burner@
@brulligno@|@firewood@
@brulŝtiparo@|@faggot@
@brulvundi@|@burn@
@bruna@|@brown@
@Brunajo@|@Brunei@
@bruneja@|@Bruneian@
@brunejanino@|@Bruneian woman@
@brunejano@|@Bruneian@
@Brunejo@|@Brunei@
@brunhara@|@brunette@
@bruno@|@brown@
@brunokula@|@brown-eyed@
@Brunsviko@|@Brunswick@
@bruo@|@ado, din, noise@
@brusela@|@Brussels@
@brusela brasiko@|@Brussels-sprouts@
@Bruselo@|@Brussels@
@bruska@|@abrupt@
@brustangoro@|@angina pectoris@
@brusto@|@chest, bosom, breast@
@bruta@|@brute, harsh@
@brutala@|@brutal@
@brutaro@|@livestock@
@brutigi@|@dull@
@brutiĝi@|@become dull@
@bruto@|@head of cattle@
@brutte@|@gross@
@bubaĉo@|@naughty boy, pickle@
@bubalo@|@buffalo@
@bubo@|@brat, urchin; jack@
@buĉejo@|@abattoir, slaughterhouse@
@buĉi@|@slaughter, butcher@
@buĉisto@|@butcher@
@budaismo@|@Buddhism@
@budaisto@|@Buddhist@
@Budao@|@Buddha@
@Budapeŝto@|@Budapest@
@Buddo@|@Buddha@
@budeno@|@blood sausage@
@budĝeto@|@budget@
@budhano@|@Buddhist@
@budhismo@|@Buddhism@
@budhisto@|@Buddhist@
@budho@|@Buddha@
@budo@|@shed, stand, barn@
@bufedo@|@buffet@
@bufo@|@toad@
@bufro@|@bumper, buffer@
@buĝeta deficito@|@budgetary deficit@
@buĝeto@|@budget@
@bugio@|@boogie, boogie-woogie@
@Bugo@|@Bug@
@bugri@|@bugger, sodomise@
@bugro@|@anal sex@
@bukanisto@|@buccaneer@
@bukedo@|@bouquet@
@buki@|@buckle@
@bukli@|@curl@
@buklo@|@curl@
@buko@|@buckle@
@Bukureŝto@|@Bucharest@
@bulbo@|@bulb@
@buldozo@|@bulldozer@
@Bulea@|@Boolean@
@buleo@|@papal bull@
@buleto@|@small ball@
@bulgara@|@Bulgarian@
@bulgarino@|@Bulgarian woman@
@Bulgario@|@Bulgaria@
@bulgaro@|@Bulgarian, Bulgar@
@buljono@|@bouillon@
@bulko@|@roll(2)@
@bulo@|@chunk, clod, lump@
@bulteno@|@bulletin@
@bulvardo@|@boulevard@
@bulvolvi@|@wind up@
@bunkro@|@bunker, shelter@
@bunta@|@multicoloured@
@buo@|@buoy@
@burdo@|@bumblebee@
@burĝa@|@middle-class, bourgeois@
@burĝaro@|@bourgeoisie@
@burgo@|@fortress, castle@
@burĝo@|@bourgeois, middle-class citizen@
@burĝoni@|@bud@
@burĝono@|@bud@
@burgunda@|@Burgundian@
@burgunda vino@|@burgundy@
@Burgundio@|@Burgundy@
@burgundo@|@Burgundian@
@Burkinafaso@|@Burkina Faso@
@buro@|@Boer@
@burokrataro@|@bureaucracy, officialdom@
@burokratio@|@bureaucracy@
@burokrato@|@bureaucrat@
@buroo@|@bureau@
@burundia@|@Burundian@
@burundianino@|@Burundian woman@
@burundiano@|@Burundian@
@Burundio@|@Burundi@
@buŝa@|@oral@
@buŝa seksumado@|@oral sex@
@buŝego@|@muzzle, jaws, mouth@
@buŝelo@|@bushel@
@bushaltejo@|@bus stop@
@buŝo@|@mouth@
@buso@|@omnibus, bus@
@busolo@|@compass@
@buŝpleno@|@mouthful, bite, morsel@
@busstacidomo@|@bus station@
@buŝtuko@|@napkin@
@buŝumi@|@muzzle@
@buŝumo@|@muzzle@
@butana@|@Bhutanese@
@butananino@|@Bhutanese woman@
@butanano@|@Bhutanese@
@Butano@|@Bhutan@
@buterigi@|@churn@
@buterlakto@|@buttermilk@
@butero@|@butter@
@buterpano@|@bread and butter, open-face sandwich@
@buti@|@earth up, hill, hill up, earth@
@butika centro@|@shopping-centre@
@butikisto@|@shopkeeper@
@butiko@|@store, shop, boutique@
@butikumi@|@shop@
@butoni@|@button@
@butono@|@button@
@butonumi@|@button@
@bv.@|@please@
@Ĉadio@|@Chad@
@Ĉado@|@Chad@
@Ĉadolago@|@Lake Chad@
@ĉagrena@|@pitiable, sad, deplorable@
@ĉagreni@|@worry, vex, grieve, annoy@
@ĉagreniĝi@|@worry oneself@
@ĉagreno@|@grief, annoyance, disappointment@
@ĉaledo@|@chalet@
@ĉambristino@|@maid@
@ĉambro@|@room, chamber@
@ĉambroj@|@quarters@
@ĉamo@|@chamois@
@ĉampanjo@|@champagne@
@ĉampano@|@champagne@
@ĉampinjono@|@mushroom@
@ĉampionado@|@championship@
@ĉampiono@|@champion@
@ĉano@|@trigger@
@ĉantaĝi@|@blackmail@
@ĉantaĝisto@|@blackmailer@
@ĉantaĝo@|@blackmail@
@ĉanto@|@chant@
@ĉapelo@|@hat@
@ĉapitro@|@chapter@
@ĉapo@|@cap@
@ĉar@|@since, as, because, for@
@ĉareto@|@typewriter carriage, carriage@
@carino@|@czarina@
@ĉarlatani@|@cheat, take in, bilk@
@ĉarlatano@|@imposter, quack, charlatan@
@ĉarma@|@charming, lovely@
@ĉarmega@|@most charming@
@ĉarmi@|@charm@
@ĉarmo@|@charm@
@ĉarniro@|@hinge@
@ĉaro@|@chariot, cart@
@caro@|@czar@
@ĉarpenti@|@build from wood, build@
@ĉarpentisto@|@carpenter@
@ĉarti@|@charter@
@ĉarto@|@charter@
@ĉarumo@|@wheelbarrow@
@ĉasi@|@chase, hunt@
@ĉasio@|@chassis@
@ĉasisto@|@hunter@
@ĉaskuri@|@hunt for, chase@
@ĉasta@|@chaste@
@ĉastranĉilego@|@cutlass@
@ĉatrio@|@chatri@
@ĉe@|@with, at, beside@
@ĉeĉena@|@Chechen@
@Ĉeĉenio@|@Chechenia@
@ĉeĉeno@|@Chechen@
@Ĉeĉenujo@|@Chechenia@
@cedema@|@accommodating@
@cedemo@|@accommodation(3)@
@cedi@|@cede, give up, relinquish, give way, give in@
@cedigi@|@soften up@
@cedilo@|@cedilla@
@cedo@|@abandonment@
@cedro@|@cedar@
@ĉeestanta@|@present(2)@
@ĉeestanto@|@present one@
@ĉeesti@|@witness, attend, be present@
@ĉeesto@|@presence@
@ĉef-@|@chief-, arch-@
@ĉefa@|@chief, main, major, principal@
@ĉefanĝelo@|@archangel@
@ĉefartikolo@|@leading article@
@ĉefduklando@|@archduchy@
@ĉefduko@|@archduke@
@ĉefe@|@chiefly@
@ĉefepiskoplando@|@archbishopric@
@ĉefepiskopo@|@archbishop@
@ĉefkonsulo@|@consul general@
@ĉefkuiristo@|@chef@
@ĉefministro@|@premier, prime minister@
@ĉefo@|@boss, chief@
@ĉefparte@|@for the greater part, for the most part@
@ĉefrolulo@|@main character, leading actor@
@ĉefstacidomo@|@main station@
@ĉeftitolo@|@main title@
@ĉefulo@|@chief, head, boss@
@ĉefurbo@|@metropolis, capital, capital city@
@ĉefverko@|@main work@
@ĉefvojo@|@major road@
@ĉeĥa@|@Czech@
@ĉeĥino@|@Czech woman@
@Ĉeĥio@|@Czech Republic@
@ĉeĥo@|@Czech@
@ĉeĥoslovaka@|@Czechoslovakian, Czechoslovak@
@ĉeĥoslovakino@|@Czech woman@
@Ĉeĥoslovakio@|@Czechoslovakia@
@ĉeĥoslovako@|@Czechoslovak, Czechoslovakian@
@Ĉeĥoslovakujo@|@Czechoslovakia@
@Ĉeĥujo@|@Czech Republic@
@cejano@|@corn-bottle@
@cejlona@|@Ceylonese@
@cejlonano@|@Ceylonese@
@Cejlono@|@Ceylon@
@ĉekaro@|@cheque-book@
@ĉeko@|@cheque, check@
@Celebesmaro@|@Celebes Sea@
@Celebeso@|@Celebes@
@celebrado@|@celebration@
@celebri@|@celebrate@
@celerio@|@celery@
@celi@|@aim, intend@
@celilo@|@sight, gunsight@
@celkonforma@|@suitable, expedient@
@celkonscia@|@purposeful, determined@
@celo@|@aim, goal@
@ĉelo@|@cell@
@celo@|@purpose@
@Celsiuso@|@Celsius@
@celtabulo@|@target@
@celtuŝi@|@finish(2)@
@celulito@|@cellulite@
@cemento@|@cement@
@ĉemizo@|@shirt@
@ĉenbutiko@|@chain store@
@cendo@|@cent@
@ĉenero@|@link@
@ĉenfumado@|@chain-smoking@
@ĉeno@|@chain@
@censo@|@census@
@cent@|@one hundred, hundred@
@centavo@|@centavo@
@centimetro@|@centimetre@
@centimo@|@centime@
@centmil@|@hundred ŝousand@
@centono@|@hundredth@
@centra@|@central@
@centra hejtado@|@central heating@
@Centrafriko@|@Central African Republic@
@centralo@|@exchange, power station@
@centrejo@|@centre@
@centro@|@centre@
@cenzuri@|@censor@
@cenzuristo@|@censor@
@cenzuro@|@censor@
@cepo@|@onion@
@Cerbero@|@Cerberus@
@cerbo@|@brain@
@cerboskuo@|@concussion@
@cerbumi@|@rack one's brains, puzzle over@
@ceremonia@|@formal, measured, stiff@
@ceremonio@|@ceremony@
@cerio@|@cerium@
@ĉerizarbo@|@cherry-tree@
@ĉerizo@|@cherry@
@ĉerizujo@|@cherry-tree@
@ĉerko@|@coffin@
@cerkopiteko@|@meercat@
@ĉerkveturilo@|@hearse@
@ĉerpaĵo@|@excerpt, extract@
@ĉerpi@|@draw@
@ĉerpilo@|@dipper@
@certa@|@certain, sure@
@certagrade@|@to a certain degree@
@certe@|@certainly@
@certeco@|@certainty@
@certgrade@|@to a certain degree@
@certigi@|@assure, make certain, certify@
@cervaĵo@|@venison@
@cervelaso@|@cervelat@
@cervido@|@fawn@
@cerviko@|@cervix@
@cervino@|@hind@
@cervo@|@deer@
@cervoparko@|@deer-park@
@ĉesi@|@cease, stop(2)@
@ĉesigi@|@stop(2)@
@Ĉestro@|@Chester@
@ĉetable@|@at the table@
@cetaco@|@cetacean@
@cetera@|@rest of, additional, remaining@
@cetere@|@besides, what's more, moreover@
@cetero@|@remainder@
@ĉevalaĵo@|@horsemeat@
@ĉevalbleki@|@neigh@
@ĉevalbredejo@|@studfarm@
@ĉevalejo@|@corral, stable@
@ĉevaleto@|@pony; pastime@
@ĉevalforto@|@horsepower@
@ĉevalo@|@horse@
@ĉevalpovo@|@horsepower@
@ĉevalvetkuro@|@horse race@
@Cezaro@|@Cĉsar@
@cezio@|@cĉsium@
@cezuro@|@break, cĉsura@
@ci@|@thou, you@
@ĉi tie@|@here@
@ĉi tien@|@this way, here, hither@
@ĉi tio@|@these, this here, this@
@ĉi tiu@|@this@
@ĉi tiuj@|@these@
@ĉi tiun nokton@|@tonight@
@ĉia@|@all@
@cia@|@your@
@ĉia@|@every kind of@
@ĉial@|@for every reason@
@ĉiam@|@ever, always@
@ĉiama@|@everlasting@
@cibernetiko@|@cybernetics@
@ĉiĉeroni@|@guide(2)@
@ĉiĉerono@|@tour guide@
@cico@|@nipple@
@cicumo@|@nipple@
