@Koine Greek@|@English@
@Γαμαλιήλ -ὁ @|@Gamaliel@
@γαμέω @|@I marry@
@γαμίσκω @|@I give in marriage@
@γάμος -ου -ὁ @|@a marriage, wedding, wedding-feast@
@γάρ @|@for@
@γαστήρ -γαστρός -ἡ @|@the womb, stomach, to be pregnant@
@γε @|@at least, indeed, really@
@Γεδεών -ὁ @|@Gideon@
@γέεννα -ης -ἡ @|@Gehenna@
@Γεθσημανῆ -ἡ @|@Gethsemane@
@γείτων -ονος -ὁ -ἡ @|@a neighbor@
@γελάω @|@I laugh@
@γέλως -ωτος -ὁ @|@laughter@
@γεμίζω @|@I fill, load@
@γέμω @|@I am full of@
@γενεά -ᾶς -ἡ @|@a generation@
@γενεαλογέω @|@I put into a genealogy, reckon my descent@
@γενεαλογία -ας -ἡ @|@genealogy@
@γενέσια -ίων -τά @|@a birthday celebration@
@γένεσις -εως -ἡ @|@birth, lineage@
@γενετή -ῆς -ἡ @|@birth@
@γεννάω @|@I beget, bring forth, give birth to@
@γέννημα -ατος -τό @|@offspring, child, fruit@
@Γεννησαρέτ -ἡ @|@Gennesaret@
@γέννησις -εως -ἡ @|@nativity, birth@
@γεννητός -ή -όν @|@begotten, born@
@γένος -ους -τό @|@offspring, family, race, kind@
@Γεργεσηνός -ή -όν @|@from Gerasene@
@γερουσία -ας -ἡ @|@body of elders@
@γέρων -οντος -ὁ @|@an old man@
@γεύομαι @|@I taste, experience@
@γεωργέω @|@I work the soil, cultivate the earth@
@γεώργιον -ου -τό @|@a tilled field@
@γεωργός -οῦ -ὁ @|@a worker of the soil, husbandman, vine-dresser@
@γῆ -γῆς -ἡ @|@the earth, soil, land@
@γῆρας -ρως -τό @|@old age@
@γηράσκω @|@I become old, grow old@
@γίνομαι @|@I come into being, am born@
@γινώσκω @|@I come to know, learn, realize@
@γλεῦκος -ους -τό @|@sweet wine@
@γλυκύς -εῖα -ύ @|@sweet@
@γλῶσσα -ης -ἡ @|@the tongue, a language, nation@
@γλωσσόκομον -ου -τό @|@bag, purse, box, chest@
@γναφεύς -έως -ὁ @|@a fuller, cloth-dresser@
@γνήσιος -α -ον @|@real, true, genuine@
@γνησίως @|@truly, genuinely, honorably, sincerely@
@γνόφος -ου -ὁ @|@darkness, gloom@
@γνώμη -ης -ἡ @|@opinion, counsel, judgment, intention@
@γνωρίζω @|@I make known, declare, know@
@γνῶσις -εως -ἡ @|@knowledge, doctrine, wisdom@
@γνώστης -ου -ὁ @|@one who knows, an expert@
@γνωστός -ή -όν @|@known, an acquaintance@
@γογγύζω @|@I whisper, murmur, grumble@
@γογγυσμός -οῦ -ὁ @|@murmuring, grumbling@
@γογγυστής -οῦ -ὁ @|@a murmurer, grumbler@
@γόης -ητος -ὁ @|@a conjurer, deceiver, imposter@
@Γολγοθᾶ -ἡ @|@Golgotha@
@Γόμορρα -ας -ἡ @|@Gomorrah@
@γόμος -ου -ὁ @|@a cargo, freight@
@γονεύς -έως -ὁ @|@a parent@
@γόνυ -ατος -τό @|@a knee@
@γονυπετέω @|@I fall on my knees before, supplicate, entreat@
@γράμμα -ατος -τό @|@a letter, writings, learning@
@γραμματεύς -έως -ὁ -@|@a scribe, town-clerk, man of learning@
@γραπτός -ή -όν @|@written@
@γραφή -ῆς -ἡ @|@a writing, passage of scripture, the scriptures@
@γράφω @|@I write@
@γραώδης -ες @|@belonging to old women, such as old women tell@
@ γρηγορέω @|@I am awake, am vigilant, watch@
@γυμνάζω @|@I train by physical exercise@
@γυμνασία -ας -ἡ @|@physical exercise@
@γυμνητεύω @|@I am poorly clad@
@γυμνός -ή -όν -@|@wearing only the under-garment, bare@
@γυμνότης -ητος -ἡ @|@nakedness@
@γυναικάριον -ου -τό @|@a woman, a poor weak woman@
@γυναικεῖος -α -ον @|@belonging to woman, of woman@
@γυνή -αικός -ἡ @|@a woman, wife, my lady@
@Γώγ -ὁ @|@Gog@
@γωνία -ας -ἡ @|@a corner, a secret place@
@Δαυίδ -ὁ @|@David@
@δαιμονίζομαι @|@I am demon-possessed@
@δαιμόνιον -ου -τό -@|@an evil-spirit, demon@
@δαιμονιώδης -ες @|@demon-like, demonic@
@δαίμων -ονος -ὁ -@|@an evil-spirit, demon@
@δάκνω @|@I bite, backbite, harm seriously@
@δάκρυον -ου -τό @|@a tear@
@δακρύω @|@I shed tears, week@
@δακτύλιος -ου -ὁ @|@a finger-ring@
@δάκτυλος -ου -ὁ @|@a finger@
@Δαλμανουθά -ἡ @|@Dalmanutha@
@Δαλματία -ας -ἡ @|@Dalmatia@
@δαμάζω @|@I tame, subdue@
@δάμαλις -εως -ἡ @|@a heifer@
@Δάμαρις -ιδος -ἡ @|@Damaris@
@Δαμασκηνός -ή -όν @|@an inhabitant of Damascus@
@Δαμασκός -οῦ -ἡ @|@Damascus@
@δανείζω @|@I lend, borrow@
@δάνειον -ου -τό @|@a loan, debt@
@δανειστής -οῦ -ὁ @|@a lender, creditor@
@Δανιήλ -ὁ @|@Daniel@
@δαπανάω @|@I spend, bear expense, waste@
@δαπάνη -ης -ἡ @|@cost, expense@
@δέ @|@but, on the other hand, and@
@δέησις -εως -ἡ @|@supplication, prayer@
@δεῖ @|@it is necessary, inevitable@
@δεῖγμα -ατος -τό @|@an example, type@
@δειγματίζω @|@I hold up as an example@
@δείκνυμι @|@I point out, show@
@δειλία -ας -ἡ @|@cowardice@
@δειλιάω @|@I shrink, am fearful@
@δειλός -ή -όν @|@cowardly, timid@
@δεῖνα -ὁ -ἡ -τό @|@so and so, such a one@
@δεινῶς @|@vehemently, terribly@
@δειπνέω @|@I dine@
@δεῖπνον -ου -τό @|@a dinner, an afternoon or evening meal@
@δεισιδαίμων -ον @|@respectful of what is divine, religious@
@δεισιδαιμονία -ας -ἡ @|@religion in general, superstition@
@δέκα @|@ten@
@δεκαδύο @|@twelve@
@δεκαπέντε @|@fifteen@
@Δεκάπολις -εως -ἡ @|@Decapolis@
@δεκατέσσαρες -ων @|@fourteen@
@δεκάτη -ης -ἡ @|@a tenth part, a tithe@
@δέκατος -η -ον @|@tenth@
@δεκατόω @|@I tithe, collect tithe from@
@δεκτός -ή -όν @|@acceptable, accepted@
@δελεάζω @|@I allure, entice by a bait@
@δένδρον -ου -τό @|@a tree@
@δεξιόλαβος -ου -ὁ @|@one posted on the right hand, a spear-man@
@δεξιός -ά -όν @|@on the right hand, right hand, right@
@δέομαι @|@I request, beg@
@Δερβαῖος -α -ον @|@belonging to Derbe@
@Δέρβη -ης -ἡ @|@Derbe@
@δέρμα -ατος -τό @|@a hide, skin@
@δερμάτινος -η -ον @|@made of hide, leathern@
@δέρω @|@I flay, flog, scourge, beat@
@δεσμεύω @|@I bind, put in chains@
@δεσμέω @|@I bind@
@δέσμη -ης -ἡ @|@a bundle@
@δέσμιος -ου -ὁ @|@one bound, a prisoner@
@δεσμός -οῦ -ὁ @|@a bond, chain@
@δεσμοφύλαξ -ακος -ὁ @|@a keeper of a prison, a jailer@
@δεσμωτήριον -ου -τό @|@a prison@
@δεσμώτης -ου -ὁ @|@a prisoner, captive@
@δεσπότης -ου -ὁ @|@a lord, master, or prince@
@δεῦρο @|@come, now, the present@
@δεῦτε @|@come hither, come, hither@
@δευτεραῖος -αία -αῖον @|@on the second day, on the next day@
@ δευτερόπρωτος -ον @|@second-first@
@δεύτερος -α -ον @|@second, in the second place, for the second time@
@ δέχομαι @|@I take, receive, accept, welcome@
@δέω @|@I bind@
@δή @|@so, then, indeed, truly@
@δῆλος -η -ον @|@clear, manifest, evident@
@δηλόω @|@I show, make clear, reveal@
@Δημᾶς -ᾶ -ὁ @|@Demas@
@δημηγορέω @|@I make a public speech, address a multitude@
@Δημήτριος -ου -ὁ @|@Demetrius@
@δημιουργός -οῦ -ὁ @|@an artisan, builder@
@δῆμος -οῦ -ὁ @|@the people, multitude, rabble@
@δημόσιος -α -ον @|@public, publicly@
@δηνάριον -ου -τό @|@a denarius@
@δήποτε @|@even at that time, whenever@
@δήπου @|@of course, indeed@
@διά @|@through, on account of@
@διαβαίνω @|@I cross, pass through@
@διαβάλλω @|@I slander, complain of, accuse@
@διαβεβαιόομαι @|@I assert emphatically@
@διαβλέπω @|@I see through, see clearly@
@διάβολος -ον @|@slanderous, the Slanderer, the Devil@
@διαγγέλλω @|@I announce throughout, spread the news of@
@διαγίνομαι @|@I pass, elapse time@
@διαγινώσκω @|@I know accurately, examine, decide@
@διαγνωρίζω @|@I tell abroad, make known@
@διάγνωσις -εως -ἡ @|@judicial examination, decision@
@διαγογγύζω @|@I murmur greatly, continue murmuring@
@διαγρηγορέω @|@I awake out of sleep, am thoroughly awake@
@διάγω @|@I spend time, pass time, live@
@διαδέχομαι @|@I receive in my turn@
@διάδημα -ατος -τό -@|@a head-wreath, crown@
@διαδίδωμι @|@I offer here and there, distribute, divide@
@διάδοχος -ου -ὁ @|@a successor@
@διαζώννυμι @|@I gird, tie around@
@διαθήκη -ης -ἡ @|@a covenant, will, testament@
@διαίρεσις -εως -ἡ. @|@division, distribution, difference, distinction@
@διαιρέω @|@I divide, distribute@
@διακαθαρίζω @|@I cleanse thoroughly@
@διακατελέγχομαι @|@I utterly refute@
@διακονέω @|@I wait at table, serve@
@διακονία -ας -ἡ @|@waiting at table, service, ministration@
@διάκονος -οῦ -ὁ -ἡ @|@a waiter, servant, administrator@
@διακόσιοι -αι -α @|@two hundred@
@διακούω @|@I hear throughout, of a judicial hearing@
@διακρίνω @|@I distinguish, discern, doubt, hesitate@
@διάκρισις -εως -ἡ @|@distinguishing, deciding, passing sentence on@
@ διακωλύω @|@I obstinately prevent, hinder@
@διαλαλέω @|@I converse together, talk of@
@διαλέγομαι @|@I converse, address, preach, lecture@
@διαλείπω @|@I cease, give over, give up@
@διάλεκτος -ου -ἡ @|@language, speech@
@διαλλάσσομαι @|@I become reconciled to, reconcile myself with@
@ διαλογίζομαι @|@I reason, debate, consider@
@διαλογισμός -οῦ -ὁ hippo -@|@a calculation, reasoning, thought, plotting@
@διαλύω @|@I break up, disperse@
@διαμαρτύρομαι @|@I give solemn evidence, testify solemnly@
@διαμάχομαι @|@I strive greatly, contend fiercely@
@διαμένω @|@I remain, continue@
@διαμερίζω @|@I divide up into parts, break up, distribute@
@διαμερισμός -οῦ -ὁ @|@breaking up, discord, hostility@
@διανέμω @|@I divide into portions, distribute@
@διανεύω @|@I nod continually, beckon@
@διανόημα -ατος -τό @|@a reasoning, thought, cogitation@
@διάνοια -ας -ἡ @|@understanding, intellect, mind@
@διανοίγω @|@I open fully@
@διανυκτερεύω @|@I spend the whole night@
@διανύω @|@I finish, complete@
@διαπεράω @|@I cross over@
@διαπλέω @|@I sail over@
@διαπονέομαι @|@I am greatly troubled@
@διαπορεύομαι @|@I journey through@
@διαπορέω @|@I am in trouble, doubt, difficulty@
@διαπραγματεύομαι @|@I gain by business@
@διαπρίω @|@I cut to the quick@
@διαρπάζω @|@I plunder, rob thoroughly@
@διαρρήσσω @|@I tear asunder@
@διασαφέω @|@I make clear, explain@
@διασείω @|@I blackmail, extort from@
@διασκορπίζω @|@I scatter, winnow, disperse, waste@
@διασπάω @|@I tear apart, burst@
@διασπείρω @|@I scatter like seed@
@διασπορά -ᾶς -ἡ @|@dispersion@
@διαστέλλομαι @|@I give a commission, order@
@διάστημα -ατος -τό @|@an interval of time@
@διαστολή -ῆς -ἡ @|@distinction, difference, separation@
@διαστρέφω @|@I pervert, corrupt, oppose@
@διασώζω @|@I save, bring safely to@
@διαταγή -ῆς -ἡ @|@ordaining, ordinance, disposition@
@διάταγμα -ατος -τό @|@a mandate, decree@
@διαταράσσω @|@I trouble greatly, agitate@
@διατάσσω @|@I give orders to, prescribe@
@διατελέω @|@I continue@
@διατηρέω @|@I keep safe, hold fast@
@διατίθεμαι @|@I appoint, make@
@διατρίβω @|@I tarry, continue, stay@
@διατροφή -ῆς -ἡ @|@nourishment, food@
@διαυγάζω @|@I shine through, dawn@
@διαυγής -ές @|@transparent@
@διαφέρω @|@I carry through, differ, surpass, excel@
@διαφεύγω @|@I escape by flight@
@διαφημίζω @|@I report, publish abroad@
@διαφθείρω @|@I destroy, waste, corrupt@
@διαφθορά -ας -ἡ @|@destruction, decay, corruption@
@διάφορος -ον @|@differing, different, excellent@
@διαφυλάσσω @|@I guard carefully, protect, defend@
@διαχειρίζομαι @|@I lay my hands upon, slay, kill@
@διαχωρίζομαι @|@I separate myself from, part from@
@διδακτικός -ή -όν @|@able to teach, apt to teach@
@διδακτός -ή -όν @|@taught, instructed@
@διδασκαλία -ας -ἡ @|@instruction, teaching@
@διδάσκαλος -ου -ὁ @|@a teacher@
@διδάσκω @|@I teach@
@διδαχή -ῆς -ἡ @|@teaching, doctrine@
@δίδραχμον -ου -τό -@|@a double-drachma, two drachmae@
@Δίδυμος -ου -ὁ @|@the Twin, Didymus, Thomas@
@δίδωμι @|@I offer, give@
@διεγείρω @|@I wake out of sleep, I arouse@
@διέξοδος -ου -ἡ @|@a public spot in a city@
@διερμηνευτής -ου -ὁ @|@an interpreter@
@διερμηνεύω @|@I translate, interpret, explain@
@διέρχομαι @|@I pass through, spread a report@
@διερωτάω @|@I find by inquiry@
@διετής -ές @|@two years old@
@διετία -ας -ἡ @|@two years@
@διηγέομαι @|@I relate in full, describe@
@διήγησις -εως -ἡ @|@a narrative@
@διηνεκής -ές @|@continuous, continually@
@διθάλασσος -ον @|@between two seas@
@διϊκνέομαι @|@I pass through, pierce@
@διΐστημι @|@I put apart, separate, put some distance between@
@διϊσχυρίζομαι @|@I assert emphatically@
@δικαιοκρισία -ας -ἡ @|@just judgment@
@δίκαιος -ία -ιον @|@just, righteous, impartial@
@δικαιοσύνη -ης -ἡ @|@justice, justness, righteousness@
@δικαιόω @|@I make righteous, defend the cause of, justify@
@δικαίωμα -ατος -τό @|@a thing pronounced to be just@
@δικαίως @|@justly, righteously@
@δικαίωσις -εως -ἡ @|@acquittal, justification@
@δικαστής -οῦ -ὁ @|@a judge@
@δίκη -ης -ἡ @|@justice, judicial hearing, punishment@
@δίκτυον -ου -τό @|@a fishing-net@
@δίλογος -ον -@|@double-tongued, deceitful@
@διό @|@wherefore@
@διοδεύω @|@I journey through, go about@
@Διονύσιος -ου -ὁ @|@Dionysius@
@διόπερ @|@wherefore@
@διοπετής -ές @|@fallen from the sky@
@διόρθωσις -εως -ἡ @|@improvement, reformation@
@διορύσσω @|@I dig through, break through@
@Διόσκουροι -ων -οἱ @|@the Dioscuri, Castor and Pollux@
@διότι @|@on this account, because, for@
@Διοτρεφής -ους -ὁ @|@Diotrephes@
@διπλοῦς -ῆ -οῦν @|@double, two-fold@
@διπλόω @|@I double@
@δίς @|@twice@
@διστάζω @|@I waver, doubt@
@δίστομος -ον @|@two-edged@
@δισχίλιοι -αι -α @|@two thousand@
@διϋλίζω @|@I strain, put through a sieve@
@διχάζω @|@I set at variance, make to be hostile@
@διχοστασία -ας -ἡ @|@division, dissension@
@διχοτομέω @|@I cut in two, scourge severely@
@διψάω @|@I thirst for, desire earnestly@
@δίψος -ους -τό @|@thirst@
@δίψυχος -ον -@|@double-minded, wavering@
@διωγμός -οῦ -ὁ @|@persecution@
@διώκτης -ου -ὁ @|@a persecutor@
@διώκω @|@I pursue, persecute@
@δόγμα -ατος -τό @|@a decree, edict, ordinance@
@δογματίζω @|@I subject to regulations, decree@
@δοκέω @|@I think, seem, appear, it seems@
@δοκιμάζω @|@I put to the test, prove, examine@
@δοκιμή -ῆς -ἡ ; @|@a trial, proof; tried, approved character@
@δοκίμιον -ου -τό @|@a test, trial, what is genuine@
@δόκιμος -ον @|@approved, acceptable@
@δοκός -οῦ -ἡ @|@a beam@
@δόλιος -ία -ιον @|@treacherous, deceitful@
@δολιόω @|@I act deceitfully, deceive@
@δόλος -ου -ὁ @|@deceit, guile, treachery@
@δολόω @|@I adulterate, corrupt@
@δόμα -ατος -τό @|@a gift@
@δόξα -ης -ἡ @|@honor, renown, glory splendor@
@δοξάζω @|@I glorify, honor, bestow glory on@
@Δορκάς -άδος -ἡ @|@Dorcas@
@δόσις -εως -ἡ @|@a giving, gift.@
@δότης -ου -ὁ @|@a giver@
@δουλαγωγέω @|@I enslave@
@δουλεία -ας -ἡ @|@slavery, bondage@
@δουλεύω @|@I am a slave, am subject to, obey@
@δούλη -ης -ἡ @|@a female slave, bonds-maid@
@δοῦλος -ου -ὁ @|@a male slave@
@δουλόω @|@I enslave@
@δοχή -ῆς -ἡ @|@a reception, party@
@δράκων -οντος -ὁ @|@a dragon or huge serpent@
@δράσσομαι @|@I take hold of, grasp@
@δραχμή -ῆς -ἡ @|@a drachma@
@δρέπανον -ου -τό @|@a sickle@
@δρόμος -ου -ὁ @|@a running, course, career@
@Δρούσιλλα -ης -ἡ @|@Drusilla@
@δύναμαι @|@I am powerful, am able@
@δύναμις -εως -ἡ @|@might, power, marvelous works@
@δυναμόω @|@I empower, fill with power@
@δυνάστης -ου -ὁ @|@a ruler, potentate@
@δυνατέω @|@I am powerful, able@
@δυνατός -ή -όν @|@powerful, able, possible@
@δύνω @|@I sink, set@
@δύο @|@two@
@δυσβάστακτος -ον @|@difficult to carry@
@δυσεντερία -ας -ἡ @|@dysentery@
@δυσερμήνευτος -ον @|@difficult to interpret@
@δύσκολος -ον @|@difficult@
@δυσκόλως @|@with difficulty, hardly@
@δυσμή -ῆς -ἡ @|@a setting of the sun, the West@
@δυσνόητος -ον @|@hard to understand@
@δυσφημία -ας -ἡ @|@evil report, defamation@
@δώδεκα @|@twelve@
@δωδέκατος -η -ον @|@twelfth@
@δωδεκάφυλον -ου -τό @|@the Twelve Tribes of Israel@
@δῶμα -ατος -τό @|@the top of the house@
@δωρεά -ᾶς -ἡ @|@a free gift@
@δωρεάν @|@as a free gift, without payment, freely@
@δωρέομαι @|@I give, grant, donate@
@δώρημα -ατος -τό @|@a gift, bounty@
@δῶρον -ου -τό @|@a gift, present@
@ἔα: ! @|@an interjection: ho!@
@ἐάν @|@if@
@ἑαυτοῦ -ῆς -οῦ @|@himself, herself, itself@
@ἐάω @|@I allow, permit, leave@
@ἑβδομήκοντα @|@seventy@
@ἑβδομηκοντάκις @|@seventy times@
@ἕβδομος -η -ον @|@seventh@
@Ἕβερ -ὁ @|@Eber@
@Ἑβραϊκός -ή -όν @|@Hebrew@
@Ἑβραῖος -ου -ὁ @|@a Hebrew@
@Ἑβραΐς -ΐδος -ἡ @|@the Hebrew language, Aramaic@
@Ἑβραϊστί @|@in the Hebrew or Aramaic dialect@
@ἐγγίζω @|@I come near, approach@
@ἐγγράφω @|@I write, inscribe@
@ἔγγυος -ου -ὁ -ἡ @|@a surety, security@
@ἐγγύς @|@near@
@ἐγγύτερον @|@nearer@
@ἐγείρω @|@I wake, arouse, raise up@
@ἔγερσις -εως -ἡ @|@a waking up, resurrection@
@ἐγκάθετος -ου -ὁ -ἡ @|@a spy@
@ἐγκαίνια -ίων -τά @|@a renewal, dedication@
@ἐγκαινίζω @|@I consecrate, dedicate@
@ἐγκαλέω @|@I bring a charge against, accuse@
@ἐγκαταλείπω @|@I abandon, desert@
@ἐγκατοικέω @|@I dwell in, among@
@ἐγκεντρίζω @|@I graft in@
@ἔγκλημα -ατος -τό @|@an accusation, charge@
@ἐγκομβόομαι @|@I clothe myself@
@ἐγκοπή -ῆς -ἡ @|@an impediment, hindrance@
@ἐγκόπτω @|@I interrupt, hinder@
@ἐγκράτεια -ας -ἡ -@|@self-mastery, self-control@
@ἐγκρατεύομαι @|@I exercise self-control@
@ἐγκρατής -ές @|@self-controlled@
@ἐγκρίνω @|@I count among@
@ἐγκρύπτω @|@I hide in, mix with@
@ἔγκυος -ον @|@with child, pregnant@
@ἐγχρίω @|@I rub in, anoint@
@ἐγώ @|@I@
@ἐδαφίζω @|@I dash to the ground@
@ἔδαφος -ους -τό @|@the base, ground@
@ἑδραῖος -αία -αῖον @|@firm, steadfast@
@ἑδραίωμα -ατος -τό @|@a foundation, stay, support@
@Ἑζεκίας -ου -ὁ @|@Hezekiah@
@ἐθελοθρησκεία -ας -ἡ @|@arbitrary worship@
@ἐθίζω @|@I accustom@
@ἐθνάρχης -ου -ὁ @|@an ethnarch, tribal lord@
@ἐθνικός -ή -όν; @|@pagan, heathen, gentile; a Gentile, non-Jew@
@ἐθνικῶς @|@in the manner of Gentiles@
@ἔθνος -ους -τό @|@a race, people, the Gentiles@
@ἔθος -ους -τό @|@a custom@
@εἴωθα @|@I am accustomed, custom, what was customary@
@εἰ @|@if@
@εἴγε @|@if indeed, seeing that, unless@
@εἰ δὲ μήγε @|@but if not, else, otherwise@
@εἶδος -ους -τό @|@visible form, shape, appearance, kind@
@οἶδα @|@I know, remember@
@εἰδωλεῖον -ου -τό @|@a temple for an image@
@εἰδωλόθυτος -ον @|@sacrificed to an image@
@εἰδωλολατρεία -ας -ἡ @|@worship or service of an image@
@εἰδωλολάτρης -ου -ὁ @|@a worshipper of an image@
@εἴδωλον -ου -τό @|@an idol, false god@
@εἰκῇ @|@without purpose, in vain@
@εἴκοσι @|@twenty@
@εἴκω @|@I give way, yield@
@ἔοικα @|@I am like, resemble@
@εἰκών -όνος -ἡ @|@an image, likeness, bust@
@εἰλικρίνεια -ας -ἡ @|@clearness, sincerity, purity@
@εἰλικρινής -ές @|@pure, uncontaminated, sincere@
@εἰμί @|@I am, exist@
@εἴπερ @|@if indeed, if so@
@εἰρηνεύω @|@I am peaceful, keep the peace, am at peace@
@εἰρήνη -ης -ἡ @|@peace, peace of mind@
@εἰρηνικός -ή -όν @|@peaceable, disposed to peace@
@εἰρηνοποιέω @|@I make peace, reconcile@
@εἰρηνοποιός -όν @|@pacific, loving peace, a peacemaker@
@εἰς @|@into, in, among, till, for@
@εἷς -μία -ἕν @|@one@
@εἰσάγω @|@I lead in, bring in@
@εἰσακούω @|@I hear, listen to@
@εἰσδέχομαι @|@I welcome in@
@εἴσειμι @|@I go in, enter@
@εἰσέρχομαι @|@I go in, come in, enter@
@εἰσκαλέομαι @|@I call in, invite@
@εἴσοδος -ου -ἡ @|@entering, entrance, entry@
@εἰσπηδάω @|@I leap into, rush into@
@εἰσπορεύομαι @|@I journey into, go into@
@εἰστρέχω @|@I run in@
@εἰσφέρω @|@I lead into, bring in@
@εἶτα @|@then, thereafter, next@
@εἴτε @|@and if, whether@
@ἐκ -ἐξ @|@from out, out from among, from@
@ἕκαστος -η -ον @|@each, every one@
@ἑκάστοτε @|@at every time, always@
@ἑκατόν @|@one hundred@
@ἑκατονταέτης -ες @|@a hundred years old@
@ἑκατονταπλασίων -ον @|@a hundredfold@
@ἑκατοντάρχης -ου -ὁ @|@a centurion@
@ἐκβάλλω @|@I throw, cast, put out, banish, bring forth, produce@
@ἔκβασις -εως -ἡ @|@a way out, escape, result@
@ἐκβολή -ῆς -ἡ @|@a throwing out, a jettisoning@
@ἐκγαμίζω @|@I give in marriage, marry@
@ἐκγαμίσκω @|@I give in marriage@
@ἔκγονος -ον @|@descended, a descendant@
@ἐκδαπανάω @|@I spend completely@
@ἐκδέχομαι @|@I wait for, expect@
@ἔκδηλος -ον @|@perfectly evident, manifest@
@ἐκδημέω @|@I go abroad, am absent@
@ἐκδίδωμι @|@I give out, let, let out for my own advantage@
@ἐκδιηγέομαι @|@I narrate at length, declare@
@ἐκδικέω @|@I give justice over, defend, avenge, vindicate@
@ἐκδίκησις -εως -ἡ @|@a defense, vengeance, full punishment@
@ἔκδικος -ον @|@avenging, an avenger@
@ἐκδιώκω @|@I persecute, expel by persecuting@
@ἔκδοτος -ον @|@given up, delivered up@
@ἐκδοχή -ῆς -ἡ @|@a waiting for, expectation@
@ἐκδύω @|@I put off, take off, strip off@
@ἐκεῖ @|@there, yonder, thither@
@ἐκεῖθεν @|@thence, from that place@
@ἐκεῖνος -η -ο @|@that, that one there, yonder@
@ἐκεῖσε @|@thither, there@
@ἐκζητέω @|@I seek out, require@
@ἐκθαμβέομαι @|@I am greatly astonished@
@ἔκθαμβος -ον @|@full of astonishment, amazed@
@ἔκθετος -ον @|@cast out, exposed@
@ἐκκαθαίρω @|@I clean out, clean thoroughly@
@ἐκκαίομαι @|@I burn with lust@
@ἐκκακέω @|@I am faint, am weary@
@ἐκκεντέω @|@I pierce through, transfix@
@ἐκκλάω @|@I break off@
@ἐκκλείω @|@I shut out, exclude@
@ἐκκλησία -ας -ἡ @|@an assembly, congregation, church@
@ἐκκλίνω @|@I fall away from, turn away@
@ἐκκολυμβάω @|@I swim out@
@ἐκκομίζω @|@I carry out@
@ἐκκόπτω @|@I cut out, cut off@
@ἐκκρεμάννυμι @|@I hang out, hang upon@
@ἐκλαλέω @|@I speak out, disclose@
@ἐκλάμπω @|@I shine forth@
@ἐκλανθάνομαι @|@I forget entirely@
@ἐκλέγομαι @|@I choose, elect@
@ἐκλείπω @|@I fail utterly, cease, die@
@ἐκλεκτός -ή -όν @|@chosen, elect, choice, select@
@ἐκλογή -ῆς -ἡ @|@a choosing out, selecting, choice by God@
@ἐκλύω @|@I am unstrung, become weak, fail@
@ἐκμάσσω @|@I wipe, wipe off thoroughly@
@ἐκμυκτηρίζω @|@I deride, scoff at, mock greatly@
@ἐκνεύω @|@I retire, withdraw@
@ἐκνήφω @|@I return to soberness of mind@
@ἑκούσιος -ία -ιον @|@willing, voluntary, spontaneous@
@ἑκουσίως @|@willingly@
@ἔκπαλαι @|@from of old, long since@
@ἐκπειράζω @|@I put to the test, make trial of, tempt@
@ἐκπέμπω @|@I send out@
@ἐκπετάννυμι @|@I spread or stretch out@
@ἐκπίπτω @|@I fall out, fall off, fall away, fade away, wither away@
@ἐκπλέω @|@I sail out, sail away@
@ἐκπληρόω @|@I fill completely, fulfill in every particular@
@ἐκπλήρωσις -εως -ἡ @|@completion, fulfillment@
@ἐκπλήσσω @|@I am thunderstruck, astounded@
@ἐκπνέω @|@I breathe my last, expire@
@ἐκπορεύομαι @|@I journey out, come forth@
@ἐκπορνεύω @|@I am guilty of fornication@
@ἐκπτύω @|@I spit upon, disdain, reject, loathe@
@ἐκριζόω @|@I root out, root up@
@ἔκστασις -εως -ἡ @|@bewilderment, amazement@
@ἐκστρέφω @|@I change for the worse, corrupt, pervert@
@ἐκταράσσω @|@I disturb greatly@
@ἐκτείνω @|@I stretch out, cast forth@
@ἐκτελέω @|@I complete, perform@
@ἐκτένεια -ας -ἡ @|@earnestness, strenuousness, intentness@
@ἐκτενέστερον @|@more earnestly@
@ἐκτενής -ές @|@intent, constant, strenuous, intense@
@ἐκτενῶς @|@earnestly, strenuously@
@ἐκτίθημι @|@I put out or expose a child, set forth, explain@
@ἐκτινάσσω @|@I shake off@
@ἐκτός @|@without, outside, except, the outside, apart from@
@ἕκτος -η -ον @|@sixth@
@ἐκτρέπω @|@I turn aside, wander, forsake@
@ἐκτρέφω @|@I nourish, nurture, bring up@
@ἔκτρωμα -ατος -τό @|@an untimely birth@
@ἐκφέρω @|@I bring out, carry out@
@ἐκφεύγω @|@I flee out, away, I escape@
@ἐκφοβέω @|@I terrify exceedingly@
@ἔκφοβος -ον @|@greatly terrified@
@ἐκφύω @|@I put forth, cause to sprout@
@ἐκχέω @|@I pour out, shed@
@ἐκχωρέω @|@I go out, depart from@
@ἐκψύχω @|@I breathe my last, die, expire@
@ἑκών -ἑκοῦσα -ἑκόν @|@willing, willingly@
@ἐλαία -ας -ἡ @|@an olive tree@
@ἔλαιον -ου -τό @|@olive oil@
@Ἐλαιών -ῶνος -ὁ, -@|@Olive-grove, Olive-yard, the mount Olivet@
@ Ἐλαμίτης -ου -ὁ @|@an Elamite@
@ἐλάσσων -ον @|@less, smaller, inferior@
@ἐλαττονέω @|@I have less, lack@
@ἐλαττόω @|@I make less, make inferior@
@ἐλαύνω @|@I drive on, propel, row@
@ἐλαφρία -ας -ἡ @|@levity, fickleness@
