@English@|@Ahtna@
@the boy worked all day (1)@|@dzaenn ciil ggaay nac'atnan'@
@the boy's hat is red@|@chiil gaay tthiishoo elt'al@
@the butterfly is flying around@|@lahleli natnett'ax@
@the dog is standing@|@lic'ae nadzen@
@the dog is wagging its tail@|@lii delgay chedeltuut@
@the dog wants fish@|@lii delgay luuk iyniithanh@
@the duck is flying around@|@dets'eni natnet'ax@
@the ducks are flying around@|@dets'eni natnedel@
@the end@|@t'axo' ay shii'@
@the fish are in the pot@|@tsabaey tsits'aak yizdlaa@
@the fish heads are in a pot@|@tsabaey tse' ts'aak yizdlaa@
@the fly is flying around@|@don' natnett'ax@
@the girl is cold@|@ts'akae ggaay sdlii@
@the goose is walking around@|@xax natedaas@
@the grouse is making a nest@|@'el deyaan det'ox ltsii@
@the grouse's making his nest@|@deyh det'ox ltsii@
@the ice is breaking up@|@ten ketnatghotl, ten teldaek@
@the ice is melting@|@ten 'udezdlet@
@the leaves are falling@|@c'et'aann' nadaex@
@the man is dancing@|@denae c'eldzes@
@the man is going hunting@|@denae staxacdetiis@
@the man is hunting@|@denae naxacdetiis@
@the man is hunting for caribou@|@denae udzih 'uka naxacdetiis@
@the man is hunting for moose@|@denae deniigi 'uka naxacdetiis@
@the mosquito stung me@|@kuggaedi seyaan, kuggaedi sezggot@
@the puppy is wagging its tail@|@liggaay dece' lts'aas@
@the puppy wants some fish@|@liggaay tsabaey 'eynizen@
@the raven is eating@|@tsaghani c'eyaan@
@the road is slippery@|@teni kulket, teni kulket@
@the snow is melting@|@nadaexi ts'udezdlet@
@the spider is crawling around@|@tsukolahdzaey natedaas, tsulahdzaey nateduus@
@the spider is making a web@|@tsukolahdzaey danc'etl'u'@
@the spider is making a web (1)@|@tsulahdzaey deggaal' dantl'u'@
@the swan is swimming around@|@taggos natetbaes@
@the woman is drinking tea@|@ts'akae tsaey tnaan@
@the woman is picking cranberry@|@ts'akae xay gigi 'unebe@
@the woman is sewing@|@ts'akae nancnekaan'@
@the woman is sitting up@|@ts'akae ts'etge' zdaa@
@the wood is stacked full@|@tsets katneghildok@
@their dog@|@xulic'ae'@
@their dog is standing@|@xulic'ae' nadzen@
@their house@|@hukonaa'@
@there are fish in the net@|@tehbiil yii tsabaey zdlaa@
@there are lots of game animals@|@nunyae ggaay kulaen@
@there are salmon in the pots@|@luk'aets'aak yizdlaa@
@there is snow on the mountains@|@dzel ta nadaexi kulaen@
@these are beaver tracks@|@gaann du' tsa' k'eh@
@these are beaver traps@|@gaann c'a ts'a 'ael' sunt'ae@
@these are caribou tracks@|@gaann du' udzih k'eh@
@these are fox tracks@|@gaann du' naggedze k'eh@
@these are lynx tracks@|@gaann du' niduuy k'eh@
@these are moose tracks@|@deniigi k'eh sutkut'ae, gaann du' deniigi k'eh@
@these are mouse tracks@|@gaann du' dluunn k'eh@
@these are mouse traps@|@gaann c'a dluunn 'ael' sunt'ae@
@these are wolf tracks@|@gaann du' tikaann k'eh@
@these are wolverine tracks@|@gaann du' naltsiis k'eh@
@they are@|@ket@
@they are drinking tea@|@tsaey ketnaan, tsaey su ketnaan, tseey hitnaa@
@they are drinking water@|@tuu ketnaan@
@they are eating@|@c'ekeyaan, nach'ihi'aal@
@they are eating fish@|@luk'ae keyaan@
@they worked all day@|@dzaenn nac'ekatnan'@
@they worked nakatna'@|@they worked all day@
@they'ar telling stories@|@nahkolnic@
@this is@|@gaann du', sunt'ae@
@this is a baby@|@gaann du' sc'aen nt'ae, sc'enggaay sunt'ae@
@this is a baby rabbit@|@ggax ggaay nt'ae, ggax uggaay sunt'ae@
@this is a bear cub@|@sos ggaay nt'ae, sos ggaay sunt'ae@
@this is a bearberry@|@gaani du' denesi@
@this is a berry@|@gaani du' gigi, gigi sunt'ae@
@this is a black hat (1)@|@gaann du' tsic'uus lt'uudzi@
@this is a blackberry@|@gaani du' noht'aesi@
@this is a blanket@|@gaann du' ts'ede'@
@this is a boy@|@ciil sunt'ae, gaann du' ciil ggaay nt'ae@
@this is a butterfly@|@gaann c'a lahleli sunt'ae, gaann du' lahleli@
@this is a cane@|@gaann du' tets@
@this is a caribou hide@|@gaann udzih zes sunt'ae, udzih zes nt'ae@
@this is a child@|@gaann du' sc'enggaay nt'ae, sc'aen sunt'ae@
@this is a cup@|@gaann du' tutiil@
@this is a currant@|@gaani du' danihnuuy@
@this is a dark blue hat@|@gaann du' tsic'uus datl'edzi@
@this is a dolly varden@|@gaani du' ts'unghastlaeggi@
@this is a fish@|@luk'ae sunt'ae@
@this is a fly@|@gaann c'a don' sunt'ae, gaann du' don'@
@this is a girl@|@gaan du' ts'akae ggaay nt'a, ts'akae ggaay sunt'ae@
@this is a grayling@|@segele sunt'ae, segeli sunt'ae@
@this is a grayling (1)@|@gaani du' segeli nt'ae@
@this is a grey hat@|@gaann du' tsic'uus ibaay@
@this is a hide@|@gaann du' c'ezes nt'ae@
@this is a high-bush cranberry@|@gaani du' tsanltsael, nanihnuuy sunt'ae@
@this is a king salmon@|@gaani du' luk'ae ce'e nt'ae@
@this is a lake trout@|@gaani du' baet@
@this is a ling cod@|@gaani du' ts'aann@
@this is a low raspberry@|@gaani du' dinc'ogge'@
@this is a low-bush cranberry@|@gaani du' xay gige', ntl'et sunt'ae@
@this is a man@|@denae sunt'ae, gaan du' ciil nt'ae@
@this is a moose calf@|@detsiigi ggaay nt'ae, gaann c'a detsiigi sunt'ae@
@this is a moose hide@|@deniige zes sunt'ae, deniigi zes nt'ae@
@this is a mosquito@|@gaann c'a kuggaedi sunt'ae, gaann du' kuggaedi@
@this is a mushroom@|@c'eneyy' nt'ae@
@this is a pike@|@'ulgaadze sunt'ae, gaani du' c'ulgaadze nt'ae@
@this is a pin-nose whitefish@|@gaani du' kesten'@
@this is a plate@|@gaann du' ts'aac@
@this is a raspberry@|@gaani du' danc'ogge'@
@this is a red hat (1)@|@gaann du' tsic'uus lt'eli@
@this is a rosehip@|@gaani du' ncuus@
@this is a salmon@|@gaani du' luk'ae@
@this is a salmonberry@|@gaani du' nkaal, nkaal sunt'ae@
@this is a silverberry@|@gaani du' danihbaa'@
@this is a small boy@|@gaa du'ciil ggaay nt'ae@
@this is a spider (1)@|@gaann du' tsulahdzaey@
@this is a spoon@|@gaann du' skaa, gaann du' tseskaa@
@this is a spruce bough@|@gaann ts'abael 'ele' sunt'ae@
@this is a white hat (1)@|@gaann du' tsic'uus lggeyi@
@this is a whitefish@|@gaani du' tsabaey nt'ae@
@this is a woman@|@gaann du' ts'akae nt'ae, ts'akae sunt'ae@
@this is a yellow hat@|@gaann du' tsic'uus ltsooy@
@this is a young boy@|@jin chiil gaay nt'eh@
@this is an ant@|@gaann c'a nadosi sunt'ae, gaann du' nadosi@
@this is an owl@|@gaann besiinn sunt'ae@
@this is fireweed@|@luc'usk'a' nt'ae@
@this is grass@|@gaann tl'ogh sunt'ae, tl'ogh nt'ae@
@this is his arm@|@gaann du' uggaan'@
@this is his chest@|@gaann du' ut'aay@
@this is his cup@|@gaann du' ututiil'@
@this is his hair@|@gaann du' utsegha'@
@this is his head@|@gaan du' utse'@
@this is his neck@|@gaann du' uk'os@
@this is his stomach@|@gaann du'u utsaal'@
@this is my cane@|@gaann du' stedze'@
@this is my ear@|@gaann du' sdzaghe'@
@this is my elbow@|@gaann du' sts'os@
@this is my eye@|@gaann du' snaegge'@
@this is my face@|@gaann du' snaen'@
@this is my father@|@gaann du' sta', gaann sta' sunt'ae@
@this is my foot@|@gaann du' ske'@
@this is my grandfather@|@gaann du' stsiye, gaann stsiye sunt'ae@
@this is my grandmother@|@gaann du' stsucdae, gaann stsucdae sunt'ae@
@this is my knee@|@gaann du' sggot@
@this is my mother@|@gaann du' snaan, gaann snaan sunt'ae@
@this is my nose@|@gaann du' sentsiis@
@this is my plate@|@gaann du' sts'aage'@
@this is my tooth@|@gaann du' sghu'@
@this is our blanket@|@gaann du' nets'edae'@
@this is rhurbarb@|@t'aan' luus nt'ae@
@this is stacnel'iita' grandmo@|@stacnel'iita' utsucdae nt'ae@
@this is the boy's dog@|@gaan du' ciilggaay ulic'ae'@
@this is wild celery@|@gguus nt'ae@
@this is your spoon@|@gaann du' neskaa'@
@three@|@taaggi@
@town@|@kon'@
@trap@|@'ael@
@trout@|@baet@
@two@|@nadaeggi@
@water@|@tuu@
@we are@|@ts'et@
@we are drinking tea@|@tsaey ts'etnaan@
@we are drinking water@|@tuu ts'etnaan@
@we are eating@|@'sc'eyaan@
@we are eating fish@|@luk'ae ts'eyann@
@we are fine@|@ugheli ts'ilaen@
@we tell a story about Tsuul Tà@|@Tsuul Ta' xah nats'iholnik@
@what are the ducks doing?@|@dets'eni nts'e t'aen?@
@what are they doing?@|@nts'aa hidi'?, nts'e tkst'aen?@
@what are they drinking?@|@yidi'i ketnaan?@
@what are you (pl) drinking?@|@yidi'i ohtnaan?@
@what are you doing?@|@dit'aen?, nen du; nts'e dit'aen?, nts'e dit'aen?@
@what are you drinking?@|@ndi'i 'itnaan?, yidi'i 'itnaan?@
@what are you hunting for?@|@yidi'i 'uka naxacditiis?@
@what are you hunting?@|@ndi'i 'uka naxacditiis?@
@what did you see in the sky? 1@|@yaak'et ndi'i nil'aen'?@
@what did you see?@|@yidi'i nghil'aen'?@
@what do you have?@|@ndi'i zilaa?, nen du'; yidi'i dizilaa?, yidi'i zilaa?@
@what do you have? (1)@|@ndi'i dizilaa?@
@what do you see?@|@ndi'i nil'aen?@
@what do you want?@|@ndi'i ni'izen?, yidi'i 'eyni'izen?@
@what does the boy want?@|@ciil ggaay ndi'i ni'izen?@
@what doeshe want?@|@yidi'i 'eynizen?@
@what is growing?@|@ndi'i neyaex?, yidi'i na'ooxo neyaex?@
@what is he cooking?@|@dii ch'ah eht'iah?, ndi'i da yilt'aesi?@
@what is he doing?@|@ghan nts'e t'aen?, nts'e t'aen?@
@what is he fishing for?@|@dii kah nach'ehch'io?@
@what is his grandmo doing?@|@utsucdae nts'e t'aen?@
@what is his mother doing?@|@unaan nts'e t'aen?@
@what is his name?@|@ghan du' nts'e buze'?, nts'e bis'e@
@what is kanats'elnaan doing?@|@kanats'elnaan nts'e t'aen?@
@what is my auntie doing?@|@sak'eye nts'e t'aen?@
@what is my brother doing?@|@scele nts'e t'aen?@
@what is my grand mother doing?@|@stsucdae nts'e t'aen?@
@what is my uncle doing?@|@sez'ae nts'e t'aen?@
@what is native name?@|@denae k'eh nts'e nuze'?@
@what is she eating?@|@yidi'i yaan?@
@what is stacnel'iita' doing?@|@stacnel'iita' nts'e t'aen?@
@what is the ant doing?@|@nadosi nts'e t'aen?@
@what is the boy doing?@|@ciil nts'e t'aen?, naa ciil nts'e t'aen?@
@what is the boy doing? (1)@|@chiil gaay nts'atdi'?@
@what is the duck doing?@|@dets'eni nts'e t'aen?@
@what is the little boy doing?@|@ciil ggaay nts'e t'aen?@
@what is the man doing?@|@denae nts'e t'aen?, naghat denae nts'e t'aen?@
@what is the man hunting for?@|@denae yidi'i 'uka naxacdetiis?@
@what is the man hunting?@|@denae ndi'i 'uka naxacdetiis?@
@what is the woman doing?@|@ts'akae nts'e t'aen?@
@what is this?@|@gaan di' nt'aey?, gaan yidi'i c'ant'aey?, yidi'i c'ant'aey?@
@what is this? (1)@|@ndi' nt'aey?@
@what is your name?@|@nen du' nts'e nuze'?, nts'e nuze'?@
@what kind of hide is this?@|@ndi'i zes nt'aey?@
@what kind of tracks are these?@|@ndi'i k'eh?@
@what the woman is doing?@|@naghat ts'akae nts'e t'aen?@
@what's his grandmother doing?@|@wutsoo nts'atdi'?@
@what's my younger sister doing@|@sdaedze' nts'e t'aen?@
@what's younger sister doing?@|@wdia gaay du' nts'adi?@
@where aer you walking to?@|@ndehts'e' ghiyaal?@
@where are the snowshoes?@|@'aas du' nt'ii?, nt'ii 'aas?@
@where are you going?@|@nduu tiziyaas?@
@where are you staying?@|@ndaa zidaa?@
@where are you walking to?@|@nduu ghiyaal?@
@where do you stay?@|@ndae zidaa?@
@where is he walking to?@|@ndehts'e' ghayaal?, nduu tayaal?@
@where is he walking?@|@nduu loghayaal?@
@where is my hat?@|@nt'ii stsic'uuz'?@
@where is my moccasins?@|@nt'ii skentsiiz?@
@where is my pants?@|@nt'ii ssele'?@
@where is my shirt?@|@nt'ii sdaghaege'?@
@where is my socks?@|@nt'ii stele'?@
@where is she walking around?@|@nduu natedaas?@
@where is the dog sitting?@|@lic'ae ndae zdaa?@
@where is the packsack?@|@xael zes nt'ii?@
@where is the tent@|@nt'ii tazes?, taazes nt'ii?, tazes du' nt'ii?@
@where is the trap?@|@'ael du' nt'ii?, 'ael nt'ii?, nt'ii 'ael?@
@where is your packsack?@|@nghael' zes du' nt'ii?, nt'ii nghael' zes@
@where's my mitts?@|@nt'ii sgedze'?@
@white@|@lggeye, lggeyi@
@white hat@|@tsic'uus lggeye, tsic'uus lggeyi@
@whitefish@|@tsabaey@
@who are these people?@|@gaann 'en bedi'i nt'aenn?, jin doo iin nt'ay?@
@who did you see?@|@bedi'i nil'aen?@
@who do you see?@|@bedi'i nghil'aen'?@
@who is that person?@|@bedi nt'aenn?@
@who is this?@|@bedi'i c'ant'aenn?, bedi'i nt'aenn?, jin doo nt'ay@
@who is this? (1)@|@yen bedi nt'aenn?@
@wild celery@|@gguus@
@wild celery is growing@|@gguus nanetyaex, gguus neyaex@
@wild rhurbarb@|@t'aan' luus@
@willow leaves are growing@|@k'ey' t'aann' neyaex@
@wolf@|@tikaann@
@wolverine@|@naltsiis@
@wolves@|@tikaann@
@woman@|@ts'akae@
@yellow@|@ltsooy@
@yellow hat@|@tsic'uus ltsooy@
@yes@|@'aen'@
@you (pl) are drinking tea@|@tsaey 'ohtnaan@
@you are@|@'it@
@you are (pl)@|@'oht@
@you are drinking tea@|@tsaey 'itnaan@
@you are drinking water@|@tuu itnaan@
@you are drinking water (pl)@|@tuu ohtnaan@
@you are eating@|@c'iyaan@
@you are eating (pl)@|@c'ohyaan@
@you are eating fish@|@luk'ae iyaan@
@you are eating fish (pl)@|@luk'ae ohyaan@
@you guys be quiet@|@dadolghaets, dadzohneh@
@you guys don't do that@|@'ene' dazoht'aenn@
@you guys listen@|@c'edo'ohts'ak@
@you guys sit down!@|@dezolts'ii!@
@you guys stand up@|@nidezolyaa, nidozolyaa!@
@you sit down!@|@zidaa!@
@younger brother@|@scele@
@younger sister@|@sdaedze'@
@your dog@|@nlic'ae'@
@your dog (pl)@|@nuhlic'ae'@
@your dog is atanding (pl)@|@nuhlic'ae' nadzen@
@your dog is standing@|@nlic'ae' nadzen@
@your house@|@nkonaa'@
@your house (pl)@|@nuhkonaa'@

