@English@|@Mam Todos Santos@
@I made you (obligated you to do something)@|@ma tz'ok nlajo'na@
@I myself@|@aqinxe@
@I obligated you to work it@|@matz'ok nlajo'na aq'nal te@
@I paid it off@|@machin ilsana@
@I passed by bringing it@|@ma tziky' wi'na@
@I played@|@in saqchane@
@I preached@|@in pakb'ane@
@I put@|@nq'o'ne@
@I retained it@|@ma txi tk'u'n@
@I return@|@wule@
@I returned (ma 'past-tense marker' chin- -a 'I' meltz'aj 'to return')@|@machinmeltz'aja@
@I rode a horse@|@jax tcheji'n@
@I rode it (the horse or mule)@|@ma jax tchejan@
@I rubbed it@|@ma b'aj tyuchu'n@
@I sang@|@ma chin b'itzana@
@I saw@|@wila, wile@
@I scare (Noq jun xwit' xtaq' k'wal tej sokx nsaky'pu'ne - The boy jumped when I scared him' or literally 'Just one jump gave boy when I scared him)@|@nsaky'pu'ne@
@I scared him@|@ma tz'okx nsak'pu'ne@
@I see@|@wila@
@I slept@|@wutan@
@I smoked the cigarette@|@xi tsich'i'n@
@I spoke@|@in yoline, o chin yoline@
@I squeezed it@|@ma b'aj tyotz'o'n@
@I stayed@|@ma chin kyeje, machinkyija@
@I still have@|@atxwe'@
@I studied@|@in xnaq'tzane@
@I suffered@|@ma wak'e@
@I take@|@wi'ne@
@I talked@|@in yoline, ma b'aj nyo'lana, o chin yoline@
@I tell or I say (n- -a 'first person singular markers meaning 'I' ma- 'say' 'n 'directional suffix)@|@nma'na@
@I took it@|@ma txi wi'na, xi' wi'ne'@
@I took off@|@wi'ne@
@I twisted it@|@ma b'aj tyotz'o'n@
@I walked@|@inb'ete, ma chin b'eta@
@I want@|@waja, wajb'ila, waje@
@I want this@|@A jlu waje@
@I want to drink@|@waj chin k'an@
@I want to go@|@waj chinxe@
@I want to hug you@|@waj xq'en tey@
@I want to read to you@|@Waje tu'n t-xi wu'jine@
@I want to rest@|@Waja chin ojlane@
@I want to show you a book in Mam@|@Waj chin yeqa jun uj tuj Mam te tey@
@I want you@|@waja ti'ja@
@I wanted to (but for some reason didn't carry it out)@|@wajtaqe@
@I wanted to eat@|@wajtaqe tu'n nwa'ne@
@I wanted to read@|@wajtaqe tu'n wu'jine@
@I wanted to study@|@wajtaqe tu'n nxnaq'tzane@
@I wanted to work@|@wajtaqe tu'n waq'unane@
@I was@|@alpaqina, aqina, in tene, nchin, o chin tene@
@I was (recent past)@|@Ma chin tene@
@I was at the meeting@|@Ma chin tene tuj chmab'il@
@I was going to push it@|@matoq txi nlamo'ne@
@I was going to take the top off it@|@matoq jaw njaqo'ne@
@I was in town@|@In tene tuj tnam@
@I was not able to go@|@Mixti'x b'ant nxi'ye@
@I was preaching@|@ma chin pakb'ane@
@I was resting@|@ma chin ajlane, ma chin ojlane@
@I was small@|@nuchqine@
@I was studying@|@ma chin xnaq'tzane@
@I was the one who said it@|@Ayine xhinx q'amante@
@I was there@|@atintaqa, ntintoqe'@
@I was working@|@ma chin aq'unane@
@I was working when he cut himself.@|@Intoq naq'unan tej sok ttx'emin tib'@
@I wash it@|@b'at ttx'jo'n@
@I washed it@|@b'at ttx'jo'n@
@I went@|@ma chinxa@
@I went ('ma' past tense 'chin' I 'x' from here to there 'a' I)@|@machinxa@
@I went to fertilize@|@Chin txaje' q'ol tz'is@
@I went to play.@|@Ma chin xaje saqchal.@
@I whip it@|@ma b'aj t-tz'u'man@
@I will be@|@ok chin tele@
@I will be at work@|@Ok chin tele tuj waq'une@
@I will be eating@|@ok nchin wa'na@
@I will be in my house@|@Ok chin tele njaye@
@I will be with my friends@|@Ok chin tele kyuk'e wamiwe@
@I will buy@|@nlaq'o'na@
@I will come the day after tomorrow@|@Ok chin okele kab'j@
@I will go@|@chin xela@
@I will go down (Kchink'welexe -  the K marks a potential action chin- -e marks the first person singular - k'welex means 'will go down')@|@k'welix@
@I will go up tomorrow@|@Ok chin jawile nchi'j@
@I will preach@|@ok chin pakb'ale@
@I will rest@|@ok chin ajlale@
@I will speak@|@chin yoline, Ok chin yolile@
@I will study@|@ok chin xnaq'tzale@
@I will talk@|@chin yoline, ok chin yolile, Ok chin yolile@
@I will work@|@ok chin aq'unale@
@I won't be@|@mlay chin tene@
@I wonder@|@je'kyila, je'kyla, se'nlo@
@I wonder where@|@ja'lx@
@I worked@|@in aq'unane, ma chin aq'nana, ma waq'naya, waq'naya@
@I worked it@|@Ma b'aj waq'na'na@
@I would have money@|@atatla npwaqa@
@I would like to ask you a question@|@Waje t'un t-xi nqanine jun xjel teya@
@I would like to show you a book in Mam@|@Waje tu'n t-xi nyek'une jun u'j teya toj qyol mam@
@I you she he or it was or were@|@atoq@
@ice-cream cart@|@iqal txache'w@
@ice-cream man@|@k'ayil txache'w@
@ice bag (for cold compresses)@|@tch'uxil txache'w@
@ice cream@|@txa che'w@
@icy@|@txa che'w, txun ch'e'w@
@idea@|@b'is, nab'il, nab'l, niky, niky'@
@identification card@|@u'jnaq@
@idiom@|@yol, yolb'il@
@idiom meaning 'cut or remove'@|@ti'n@
@idle@|@kub' we', wa'l, wa'li@
@idler@|@ky'aj@
@if@|@ka, qa, qama@
@If (he she it or I) could@|@noqit b'a'n@
@If (he she it or I) could (B'a'nwit chin-u'jina - If I could read)@|@b'a'nwit@
@If I could read@|@B'a'nwit chin-u'jina@
@if I hadn't (If I hadn't gone@|@nti'wt@
@if it hadn't been for@|@nya'wt@
@if it were you@|@awta@
@if not@|@qami, qanti'@
@if not it won't be sufficient (it won't reach)@|@qa mi'n mlay kanin@
@if only@|@ikyxit, tza'wnt@
@if then@|@qatzan@
@if there hadn't been@|@nya'wt@
@if you want@|@ka taja@
@iguana@|@nimach'la'j@
@ik'il twitz implies a separation or rejection based on anger and is more intense than iky'il@|@ik'il twitz@
@illness that causes swelling of the body (apparently this is something that can cause death)@|@malil@
@illness that consists of vomiting constantly@|@xa'aw@
@illuminate@|@qoptz'i@
@Illustrated Spanish to Mam Dictionary@|@Tilb'ilab'in chicky'b'iyol tyol mos a mam@
@image@|@ilb'il, tilb'ilal@
@image (religious)@|@twitzb'ilal@
@imagination@|@ximb'aj@
@imitate (The child imitates the bad manners of the kids at school)@|@knol@
@imitation@|@knob'il@
@immature (corn)@|@smak'@
@immature fruit@|@a'laj, txa'x@
@immediately@|@b'e'x, b'i'x@
@impartiality@|@juniky'qlel@
@impeded@|@ma maqan@
@impediment (physical)@|@tzakaj@
@imperative ordering someone to hurry up and finish something (Hurry up it is already late and we need to finish the job)@|@chuxa@
@imperative preventing an action@|@noq@
@imperative suffix used with transitive verbs with suffixed directionals that begin with a consonant or at the end of verbs where the directional is not attached (tzyul means 'to grab' tzyunxa means 'grab' with the directional xa  - Tzyunxa eky' - meaning 'Grab the chicken')@|@-n@
@imperfect particle that is regularly combined with other particles@|@taq@
@imperfect tense affix@|@toq@
@imperitive@|@ilxix@
@impish@|@najna@
@implant@|@lo'tzil, xikyb'il@
@implies a very secure lashing or mooring@|@ximol, xmol@
@implies an even plowing or breaking up of the earth rather than leaving a furrow where all the chaff and waste are gathered for later removal@|@pa'l@
@implies that the burning or scorching was provoked and rapid@|@tzq'ul, xopq'il@
@importance@|@ajb'en, ajb'lanan, tajb'en@
@important@|@ajb'en, il, matij, nim toklen, nimal, toklen@
@important person@|@matij xjal@
@important position that someone occupies and the value of that person due to their position@|@oklenj@
@impossible@|@apanaj, a'panaj, mlay@
@imprint@|@qanb'in@
@imprisoned (I was japu'n in Guatemala)@|@japu'n@
@impute@|@poqil, stz'imil@
@in@|@chi, oj, pa, pan, toj, tu, tuj, -uj@
@in a demonstrative pronoun this would go in front of a word make it plural@|@aqe'@
@in a dependent clause it is recent perfective (recently completed)@|@-taq@
@in a figurative sense it means to leave without clothing@|@sqit@
@in a figurative sense the burning sensation caused by a hot pepper@|@ky'ixb'il@
@in a hurry@|@ojqal@
@in a river)@|@ch'ab'@
@in a week@|@qub'ex, qub'x, toj juntl seman@
@In a week we will talk again@|@Toj juntl seman qo yolin@
@in a while@|@nej@
@in a year@|@junab'@
@in an independent clause this can mean that an action has begun it is usually prefixed by a directional (sokten 'he has begun' or 'he has started')@|@-ten@
@in an independent clause this can mean that an action has begun it is usually prefixed by a directional (sokten 'he has begun' see sokten.  ku' ten is translated 'began' and nchok ten tal is translated 'her child started to cry')@|@ten@
@in bed@|@kuxle@
@in case@|@elj@
@in Central Mam this word is only used with objects with a fine point or that are inserted suddenly but in Northern Mam it involves a perforation that is larger and doesn't have to be a sudden action@|@xopq'il@
@in ceremonial language it means liberating someone from evils (The Mayan priest is asked to release the person - perhaps from moral evils or the evil eye)@|@ko'pil@
@in colloquial language this means gain that is obtained from some business or some deal@|@tjak'@
@in colloquial language this means to hit someone under the jaw@|@tjaq' tzib'aj@
@in colloquial language this means to put something with a sharp point into something meaty (The kids got their shots today)@|@q'isil@
@in coloquial it is used for sexual purposes (I have had sex with that girl already)@|@chejb'e'tz@
@in coloquial language a person who has commited some act that brings him disfavor is called this for being foolish (They scolded the child for his foolishness)@|@tb'ochil@
@in coloquial language means to be down on luck and poor@|@xhalil@
@in coloquial language this means to offer something with sarcasm (Kyxe'l twaya lulu' You want food here you are)@|@lulu'@
@in coloquial language this word is used to describe things that are visibly open or stretched@|@lewe'ch@
@in despair@|@melj, meljil@
@in each@|@tujchaq@
@in each town@|@tujchaq junjun tnam@
@in eight months@|@toj wuqtl xjaw@
@in figurative use it means strong counsel prohibiting a certain action (The Bible says You must not murder)@|@tzub'il@
@in figurative use it means to be in pain@|@chol, cho'l, chyo'l@
@in five years@|@jojab'@
@in form of a ball@|@wank@
@in four days@|@koj@
@in four years@|@kyajab'@
@in fourteen days@|@kyajloj@
@in front@|@chi ruwach@
@in front of@|@chi ruwach, -witz@
@in front of (twitz njaye in front of my house)@|@twitz@
@in front of the house@|@twitz ja@
@in front of them@|@kywitz@
@in groups of five@|@jwe'chaj@
@in groups of four@|@kyajkyajchaq@
@in Guatemalan banks this is a small opening in a glass partition through which paperwork or documentation as well as any payments etc are passed@|@tq'ab' tzija@
@in it@|@tuj@
@in it (also can be translated as - to - to the - of the - from)@|@toj@
@in its place@|@t-xel@
@in legal terms this means to attack someone with an object for killing or wounding or damaging them@|@b'ujil@
@in line@|@txol@
@in many communities this is the word by which all species of snakes are known@|@kan@
@in nine days@|@b'eljuj-, b'eljujj@
@in northern Mam this term carries the meaning of laughing hard and with an edge it can even be understood as derision depending on when and the way it is executed making it more intense than tze'l in central Mam@|@tze'l@
@in one blow@|@b'i'x, junmajx@
@in one year@|@jnab'@
@in order that@|@tu'n@
@in order to@|@tu'n, tu'nts, -tu'ntzan, tu'nwitlo@
@in order to wash@|@tx'ajob'il@
@in pain@|@b'uyin, txintxj@
@in pairs@|@kakab'@
@in pairs (My grandfathers farm produces squash in pairs)@|@kakab'chaq@
@in San Ildefenso Ixtahuacan this is what they call a penis@|@ch'it@
@in seven days@|@qub'x@
@in slang it means that someone is tipsy from drinking alcohol@|@chumil@
@in slang it means that someone is tipsy from drinking too much alcohol but it usually refers to any sickness or dizziness related to movement like seasickness@|@yumil@
@in some areas this word does mean to light a fire@|@kchol@
@in that well@|@tuj xochjo@
@in the case of humans this word refers to the person himself and can mean passed out or fainted@|@moljil@
@in the center of (The men went into the city to find food)@|@tujxix@
@in the classroom@|@twitz xnaq'tzb'il@
@in the company of@|@uky'il@
@in the daytime@|@tqan q'ij@
@in the envelope@|@tkub'il u'j@
@in the form of a ball@|@wank-@
@in the language of insults this is what they call children who are abusive or that play pranks that affect people outside their own family (in English we might call them brats)@|@sqi't@
@in the letter@|@toj u'j@
@in the market@|@toj k'ayb'il@
@in the medical clinic@|@b'ib'il toj tja ajq'an@
@in the middle@|@k'ajchaq@
@in the middle of@|@tujxix, t-xol@
@in the middle of the day@|@chik'q', chilkuq'ij, wanq'ij@
@in the morning@|@prim, qlixje, te prim, te qlax, xle'ja@
@in the people's heads@|@tuj kywitz xjal@
@in the river@|@tojnima', tzini'ma@
@in the shade of@|@tewin@
@in the shoe shop@|@toj b'inchb'il xjab'@
@in the telegram@|@tponlen jun oqelan u'j@
@in the theater@|@toj nin ka'yb'il@
@In this town there are good people (In town this there are plural people good their thought)@|@Tuj tnam lu' at qe xjal b'a'n kynab'il@
@in three days@|@oxj@
@in three weeks@|@winq'aj@
@in three years@|@oxab', toj oxetl ab'q'i@
@in threes@|@oxechaq@
@in time@|@yajxitl@
@in toward@|@oktz@
@in toward (possessed by the second or third person singular absolutive in this case 'it' - ma tz'oktz wi'na - I brought it inside)@|@tz'oktz@
@in toward here@|@oktz@
@in toward there@|@okx@
@in town@|@tuj nintnam, tuj twi' tnam@
@in two days@|@ka'j@
@in two weeks@|@kyajloj@
@in two years@|@kob'ab'@
@in vain (en vano sp)@|@gana@
@in verbs whose roots or bases include a glottal stop or a prolonged vowel this suffix marks transitive verbs as having a directional@|@-n@
@in vernacular this refers to a person who likes sex@|@ajtos@
@in vulgar language it means to have sexual relations with a woman@|@potx'il@
@in vulgar language this is a way to refer to a woman with whom you have had relations@|@tosb'en@
@in vulgar language this is what the place where sexual encounters take place@|@payb'il@
@in what (on)@|@akx@
@in what amount of time (How long will it take?)@|@jinky'@
@in what form@|@tza'ntten@
@in what way@|@tza'ntten@
@in what?@|@al uj@
@In what?@|@alqi'j@
@In what?  Inside what?@|@alqoj@
@in which@|@akx@
@In whom?@|@alqi'j@
@inability to decide@|@meltz'il@
@incense@|@k'okjsab'il, pon, xhb'oxh@
@incense (for religous purposes)@|@k'ok'sb'il@
@incite someone to fight@|@ik'lel@
@incline of a hill or hillside@|@tk'u'jwitz@
@including (I carried the dog including its offspring)@|@jni'@
@inclusive plural first person suffix turning a noun or adjective into a stative verb@|@-qo'@
@incomplete@|@nya' tz'aqli@
@incomplete action marker indicating an action that someone was planning to take but didn't complete it (Matoq txi nlamo'ne 'I was going to push it')@|@matoq@
@incorrect@|@nya' b'a'n@
@indeed@|@axix tok@
@indefinate plural (we bought some bananas)@|@jte', kab'e@
@indefinate plural marker (we bought some bananas)@|@junjun@
@indefinite plural marker meaning 'some'@|@kab'@
@independent first person plural exclusive pronoun@|@aqo'ye@
@independent pronoun first person plural exclusive@|@a'o', o'yoye'@
@independent pronoun of the second person plural@|@aqeye@
@independent second person singular pronoun@|@aya@
@independent second person singular pronoun meaning 'you are'@|@ata@
@Indian Cress (also known as nasturtium or mastuerzo)@|@maltwers@
@indicates a person or thing that is far away but can be seen by those conversing@|@atzan, la'@
@indicates a planned action that won't be carried out (used in conjunction with the recent and past and potential completives ma o and ok)@|@toq@
@indicates an action that is in progress (walking singing etc)@|@n@
@indicates plurality of an indefinate noun@|@kab'e'@
@indicates possession (mine yours etc)@|@te@
@indicates profession or office that someone holds@|@aj@
@indicates that a process lacks just a little of being done (Supper will be finished in a little bit)@|@ch'intl@
@indicates that an action goes out from the subject (the first x is a recent past tense marker the tz' indicates the 3rd person singular the el means go out and the last x is a directional marker)@|@xtz'elx@
@indicates that the subject under discussion is a habitual action or state etc@|@naq'et, niq'etil@
@indicates the posibility or belief that something is true or will happen although there is some doubt@|@maqa@
@indicates the possibility or belief that something is true although there are doubts about its certainty@|@apeqa b'a'nlo@
@indicates three by three@|@oxoxchaq@
@indicates where a person comes from their national or tribal family@|@aj-@
@indifenite article a (a plate not the specific plate)@|@jun@
@indifferent@|@e'yan@
@indigenous@|@wqnaqil@
@inebriated@|@mutzli, tx'ujtenil@
@inexpensive@|@miya' wi'yal@
@infection@|@poj, tilal yab'il@
@inferior@|@ajantz@
@inflate@|@xupat@
@inflater (ball or tire inflater etc)@|@xupb'il@
@inflator@|@tchus@
@inflorescence (pollen spikes)@|@kuch@
@inflorescence spike of the cornfield that contains a yellow pollen@|@tchojil@
@information@|@pakb'al, tqanil@
@ingest any type of nourishment@|@wa'l@
@ingredient@|@tsamel, ttz'ab'il, ttze'yil@
@inhaler@|@siqob'il@
@inheritance@|@kotz@
@inject@|@tz'upet@
@injection@|@b'aq, toch' q'anb'il@
@injury@|@ishjnin, ixhij, ixhjen, kíxb'el@
@ink@|@ch'akb'il@
@insect@|@jil@
@insect similar to a termite but larger that makes its tunnels just beneath the surface of the ground@|@sq'i'n@
@insecticide@|@b'yoltxuk@
@insects@|@qe mutz' jil@
@insert@|@tz'okx@
@insert or tighten a screw by turning it around its axis@|@su'yat k'uxb'il@
@insert something in a hole@|@jula-@
@inset in the wall where things can be kept (books or nicknacks or storage etc)@|@le'ky@
@inside@|@k'u'j, oj, tuj, tuj xa@
@inside (ma tz'okx wi'na - I took it inside)@|@tz'okx@
@inside arriving here@|@okul@
@inside arriving there@|@okpon@
@inside or outside corner@|@tx'uk@
@inside the house@|@toj ja@
@Inside the house of God@|@tujxa tja Dyos@
@insipid@|@chapchaj@
@insole (for a shoe)@|@tuxjab'@
@insomnia@|@txunwi'@
@instant in which someone gets dizzy@|@sut@
@instant in which something rapidly submerges (Poof the animal disappeared in its burrow)@|@jil@
@instantly@|@jona'wax@
@instead@|@ex@
@instead of@|@t'xel, -xel@
@instep@|@twitz qanb'aj@
@instructor@|@xnaq'tzal@
@instrument@|@wakb'il@
@instrument for breaking or tearing@|@laqb'il@
@instrument for correcting something incorrectly written@|@jikb'ab'il@
@instrument for counting@|@ajlab'il@
@instrument for counting money@|@ajlab'il pwaq@
@instrument for pulling something up@|@lukb'il@
@instrument for scraping or peeling@|@josb'il@
@instrument for weaving@|@jetb'il@
@instrument for winding (rolling) thread@|@chank@
@instrument for writing@|@tz'ib'b'il@
@instrument made of wood that serves for winding thread (wool) or yarn etc into skeins called an enmadejador in Guatemala@|@xk'lo'xb'il@
@instrument of wood composed of various compartments that is used to carry products made of clay like pans etc@|@ko'k@
@instrument or means used to tear cloth or paper (this can be the hands)@|@rich'b'il@
@instrument panel (of an automobile)@|@techal tipan@
@instrument that is used for sitting (this can be anything - a cloth or an upside down bucket or anything else that can be used to sit on)@|@q'uqb'il@
@instrument that is used for smoking@|@sich'b'il@
@instrument that is used in order to cover something that is hot to keep it warm (Some use a towel to cover their warm tortillas)@|@xmutzb'il@
@instrument that is used to carry out the work of plowing@|@ch'okb'il@
@instrument that is used to destroy some type of wood (He used a hammer to destroy the chair)@|@q'uchb'il@
@instrument that is used to hit someone's back@|@tinb'il@
@instrument that is used to hit someone or something@|@sanb'il@
@instrument that is used to line or stripe something@|@sqitb'il@
@instrument that is used to measure something by armloads or yards (Have you seen the stick that I use to measure by yards?)@|@jajb'il@
@instrument that is used to produce an odor (He put cheese on the trap to attract mice)@|@siqb'il@
@instrument that is used to put the water that will be used to rinse someone's mouth@|@sq'umb'il@
@instrument that is used to remove the first taste of something that is cooking to check the seasoning@|@nik'b'eb'il@
@instrument that is used to slice something cylindrical (usually into thin slices such as bread)@|@silb'il@
@instrument that is used to tie an animal@|@xikb'ab'il@
@instrument that is used to tie something such as a rope twine cord etc@|@jitz'b'il@
@instrument that is used to tie something up (We tied the bundles of wood with twine)@|@xhipb'il@
@instrument that one stands on in order to reach something (She stood on a block in order to reach the shelf)@|@wa'lb'il@
@instrument that serves to keep liquids in temporarily@|@xk'amb'il@
@instrument used for blowing (like billows)@|@xupb'il@
@instrument used for heating something up (tea kettle or pot etc)@|@maq'tzab'il@
@instrument used for scraping or scratching or tearing@|@skatb'il@
@instrument used to change the appearance of something pretty and make it displeasing@|@ch'a'wb'il@
@instrument used to compact a surface@|@tx'inb'il@
@instrument used to cover something with mud@|@ch'akb'il@
@instrument used to cut the hard outer surface of some fruits (to cut the peel or rind)@|@lakab'@
@instrument used to dampen or soak something (I use this degreaser to presoak my work clothes)@|@nub'b'il@
@instrument used to drag (I guess one drags the comb through their hair?)@|@jokb'il@
@instrument used to hit or fight@|@b'ujb'il@
@instrument used to hold purchases such as a basket or bag@|@loq'b'il@
@instrument used to make something round@|@tolb'il@
@instrument used to open something (Bring me a stick to open the door)@|@jaqb'il@
@instrument used to pull or dig up a plant or thing@|@xb'oqb'il@
@instrument used to roll up and put on the ground a person animal or thing face down with the back partially curved@|@b'unb'ab'il@
@instrument used to straighten or put something straight@|@jikb'ab'il@
@instrument used to turn or stir something@|@meltz'ub'il@
@instrument used to turn something@|@meltz'ub'il@
@instrument used to weigh something@|@malb'il@
@instrument used to wrap or tie a skirt@|@pasb'il@
@instrument with a curved point used to grab and pull something that is out of reach@|@ch'okb'il@
@insult@|@iky'le, yasb'il@
@integral@|@mojb'al'il@
@intelligence@|@nab'l@
@intelligent@|@xhtij@
@intensely dark or black@|@qxopin@
@intensifier (when ti- is added to xinaq meaning 'man' gives tixinaq meaning 'man' or 'the man' or 'big man')@|@ti-@
@intentionally place something legs upwards (I turned over the crab so it wouldn't run off)@|@txak'pul@
@intercept@|@maqol, meqol@
@interest (charged for a loan etc)@|@manb'il, ta' pwaq@
@interest (on a loan etc)@|@t-al pwaq@
@interest (paid on a loan etc)@|@tal pwaq, ta'l pwaq@
@interest earned on money deposited in a bank@|@t'al ch'ex@
@interior@|@tuj xa@
@interior (inside the house)@|@tujxa@
@interior of a house@|@tuja@
@interpretor@|@pjul yol@
@interrogation adverb used exclusively when someone wants to know what someone else said@|@chitok@
@interrogative adverb that asks for an answer (Ti tz'okx qse'n? What are we going to do?)@|@ti'@
@interrogative adverb that asks where some object is placed or where some action took place (Jatuma xa'ya tmana si'wil? Where did your father go to deliver firewood?)@|@jatuma@
@interrogative asking with what tool or instrument did you carry out a certain action such as what did you use to dig the potatoes@|@al qu'n@
@interrogative meaning with whom will you do something or with whom did you do something@|@al uk'il@
@interrogative particle asking with what did you realize a certain action@|@al u'n@
@interrogative particle that asks to whom something belongs@|@ale@
@interrogative particle that asks what did you put an object in or in what will a person make something such as 'in what am I going to make the beans?'@|@al uj@
@interrogative placed at the beginning of a sentence that is used to ask how much something costs or how many units of something are required@|@jte'@
@interrogative suffix that indicates yes or no questions when suffixed to the first word in a sentence (Atpa weyaj? are you hungry? B'a'npala will it be good?)@|@-pa@
@interrogative that about an action that was done in the past@|@jtoje@
@interrogative that begins a sentence and is used to ask when something will be done (it is used only in reference to the future)@|@jtoj@
@interrogative used to ask in whose company something was done@|@al quk'il@
@interrogatory particle asking whose or to whom and always appears at the beginning of a sentence@|@alqe@
@interrogatory particle that is used to ask which group of a larger group will be doing something such as Which ones of these am I going to take?@|@alkyechaq@
@interrupt someones work@|@ametil@
@interval@|@xolb'aj@
@interview@|@xjelb'il@
@intestinal inflamation that causes diarrhea with blood in it@|@chk'oj@
@intestines@|@xqintxa'@
@into@|@tuj@
@into what@|@akx@
@intoxicated@|@mutzli@
@intransitive directional verb that signifies the culmination or completion of something@|@b'aj@
@intransitive verb composed of the directional kub' plus the relational noun with the second person singular ergative marker@|@kub'ti'j@
@intransitive verb from which the directional aj is derived@|@ajil@
@intransitive verb from which the directional b'aj is derived@|@b'ajil@
@intransitive verb from which the directional iky' (to pass) is derived@|@iky'il@
@intransitive verb from which the directional jaw (to go from down upward) is derived@|@jawil@
@intransitive verb from which the directional kub' (to go down) is derived@|@kub'il, kub'sil@
@intransitive verb from which the directional kyij is derived@|@kyijiljil@
@intransitive verb from which the directional ok (to enter) is derived@|@okil@
@intransitive verb from which the directional pon is derived@|@ponil@
@intransitive verb from which the directional tzaj (to come from there to here) is derived@|@txajil@
@intransitive verb from which the directional ul is derived@|@ulil@
@intransitive verb from which the directional xi (to go from here toward there) is derived@|@xi'yil@
@intransitive verb meaning 'go up'@|@jaw@
@intransitive verb meaning arrive here (Ul a' tu'n nan literally means Arrive here water by mom - but we would say "Mom brought the water)@|@ul@
@Intransitive verb meaning arrive there@|@pon@
@intransitive verb meaning go@|@xi'@
@intransitive verb meaning go down@|@kub'@
@intransitive verb meaning remain@|@kyaj@
@intransitive verb meaning return@|@aj@
@intransitive verb suffix meaning to be placed in the position or form or state described by the root (paq means 'lying down' while paqe' means 'lie down')@|@-e'@
@intransitive verb suffix that marks the potential aspect of a verb (b'antel 'to be able to do' - k'oq'ala 'you are going to cry') the -l disappears when a directional is added to a verb (kelal - 'he will go out' becomes kelax - he will go out away when the directional -x 'away' is added)@|@-l@
@intransitivizer that derives intransitive stems from some adjectives and roots@|@-b'a@
@introduce something sharp in something@|@tich'ol, xopq'il@
@introduces a clause that would or would not have happened if something else would have happened first (We would have came had you asked - or - If they had taken care of the garbage the dog would not have strewn it over the yard)@|@noqwit@
@introduces a comparative clause and can only be used with the third person singular or plural in Juego A (an example B'a'nxch'intl ja lu twitz juntl - This house is better than that one)@|@-witz@
@introduces a purpose clause@|@-tu'ntzan@
@introduces a reason clause (because she went to the dance she wasn't home when he called)@|@qu'n@
@introduces an adverbial clause that adds information with significance to what will happen in the future and usually means 'when' (Dad is bringing you candy when he gets home)@|@ok@
@introduces an adverbial clause that adds information with significance to what will happen in the future and usually means 'when' (Lay tz'el naja ti' nk'u'ja oj wanja - I wont forget you "when" I leave)@|@oj@
@introduces an adverbial clause to add information with significance to what will happen in the future and usually means 'when' (Dad is bringing you candy when he gets home)@|@aj@
@invalid@|@tzkaj@
@invent@|@nab'lil, xkanjsal@
@invitation@|@txokb'il@
@invite@|@txokal@
@invited@|@juk'inj, ttxko'n@
@involuntarily@|@juna'wix@
@involves a loud and sharp shout or scream (The pigs were squealing as Polo tried to catch them)@|@witz'il@
@involves the spreading out of the pieces of something large like a wall or a large load of rocks (about 400 rocks)@|@tilil@
@inward@|@ok, okl@
@iron@|@k'ux'bil@
@iron (for ironing clothing)@|@tz'umasab'il@
@ironing board@|@tz'umasal@
@irresponsible@|@ji'l@
@irritation@|@aq'len@
@is@|@ten, tenb'il@
@is (exists)@|@a@
@Is [name] here?@|@tzalupa@
@is a relational noun that functions as an agent a causitive a clause of purpose or an instrument@|@-u'n@
@is able to@|@nb'ant@
@is daughter in law@|@ilib'en@
@is going to be@|@k'okel, k'okil@
@is hanging or dangling@|@tzojeb'il, tzojlil@
@is harboring resentment or holding a grudge@|@nqusj@
@is he@|@japa, ma ti'?@
@is here@|@at@
@is hung@|@tzojeb'il, tzojlil@
@is it@|@japa, ma ti'?@
@Is it possible?@|@jakupe@
@Is it possible?  Is it good? (-pe is a clitic indicating a question)@|@b'a'npe@
@is it true what you say?@|@jax tok tu'na?@
@is it true?@|@axpalo tok@
@Is it your child (said to a woman)@|@japa tala@
@is made@|@tb'ant@
@is making@|@tb'ichin@
@is not able@|@minti'x nb'ant@
@is not able to@|@mixti'x nb'ant@
@is preparing@|@tb'ichin@
@is she@|@japa, ma ti'?@
@is there@|@at@
@is there another@|@atpa juntl@
@Is there hot water? (Is there water hot water?)@|@Atpa a' chqa'?@
@Is this how it will be?@|@ikypa ttenjo?@
@is unable to@|@mi'n nb'ant@
@is where@|@atzantza, atzuntzu'@
@is woven@|@chmet@
@Is your father here?@|@At ttata?, Attzan tmana?@
@Is your father living?@|@Itz'xtzan tmana?@
@Is your grandfather living?@|@Itz'xtzan tchmana?@
@Is your grandmother living?@|@Itz'xtzan tyaya?@
@Is your mother here?@|@Attzan tnana?@
@Is your mother living?@|@Itz'xtzan ttxuya?@
@isn't here (in response to a question like 'Is your mother here?')@|@Nya at@
@it@|@k-, k'-, nimal, tz-, tz'-@
@it's here@|@lu'@
@it's okay@|@ki, kutzan@
@it's toasted@|@xwok'ix@
@it always comes@|@tzulx@
@it became green@|@ma cha'xix@
@it began@|@saq'pon@
@it broke (a pencil a ruler etc)@|@ma' toqj@
@it broke (something from the kitchen)@|@ma pax@
@it burned@|@ma' tz'e'y@
@it burst open@|@ma' laqj@
@it can@|@ja'ka@
@it can't be@|@nya'lojo@
@it can't be done (If you don't work you can't buy food)@|@mlay@
@it closed@|@ma jupet@
@it commenced@|@saq'pon@
@it could be@|@nya'ka yaj@
@it could be possible@|@jakala@
@it could well be@|@ja'kla, ja'kujlo@
@it decomposed@|@ma b'aj t-xitan@
@it died@|@ma' tx'umanix@
