@English@|@Romanian@
@found@|@întemeia@
@fountain@|@fîntînă@
@fountain pen@|@stilou, toc@
@four@|@patru@
@four hundred@|@patru sute@
@fourteen@|@paisprezece@
@fourteenth@|@paisprezecea, paisprezecelea@
@fourth@|@al patrulea, patra, patrulea@
@fox@|@vulpe@
@frame@|@cadru, ramă@
@France@|@Franţa@
@fray@|@scămoşa@
@frayed@|@scămoşat@
@free@|@elibera, gratuit, liber, libera@
@free of charge@|@gratis@
@freedom@|@libertate@
@freeze@|@îngheţa@
@French@|@francez, franţuzesc@
@fresco@|@frescă@
@fresh@|@proaspăt@
@Friday@|@vineri@
@fridge@|@frigider@
@friend@|@amic, prieten@
@friendship@|@prietenie@
@fright@|@sperietură@
@frighten@|@speria@
@frightful@|@înfiorător@
@frog@|@broască@
@from@|@de la@
@from (in) (de + în)@|@din@
@from the bottom of one's heart@|@din tot sufletul@
@from the direction of@|@dinspre@
@from time to time@|@din cînd in@
@frontier@|@frontieră, graniţă@
@frost@|@ger@
@fruit@|@fruct, rod@
@fruit juice@|@suc@
@fry@|@prăji@
@fulfil@|@îndeplini@
@full@|@deplin, plin@
@funny@|@mucalit@
@fur@|@blană@
@fur cap@|@căciulă@
@furniture@|@mobilă@
@fury@|@furie@
@future@|@viitor@
@gallery@|@galerie@
@garden@|@grădină@
@garlic@|@usturoi@
@gas@|@gaz@
@gate@|@poartă@
@gather@|@aduna, strînge@
@gathered@|@strîns@
@gauge@|@ecartement@
@general@|@general@
@genitive@|@genitiv@
@gentle@|@blînd@
@gentleman@|@domn@
@gently@|@lin@
@geographic@|@geografic@
@geography@|@geografie@
@German@|@neamţ@
@Germany@|@Genmania@
@get a tan@|@se bronza@
@get accustomed@|@obişnui - se@
@get confused@|@se încurca@
@get dressed@|@se îmbrăca@
@get drunk@|@îmbăta - se@
@get married@|@se căsători@
@get old@|@îmbătrîni@
@get out@|@scoate@
@get out of a habit@|@se lepăda de un obicei@
@get out of shape@|@se lăbărţa@
@get undressed@|@se dezbrăca@
@get up@|@se scula@
@get warm@|@se încălzi@
@giant@|@namilă, uriaş@
@gilded@|@aurit@
@gipsy@|@ţigan@
@gipsy fiddler@|@lăutar@
@girl@|@fată@
@give@|@daţi@
@give an order to@|@ordona@
@give birth@|@naşte@
@give rein to@|@da frîu liber@
@give up@|@ceda@
@given@|@dat@
@gives@|@dă@
@glad@|@bucuros@
@glass@|@pahar@
@glasses@|@ochelari@
@global@|@global@
@globe@|@glob@
@glory@|@glorie, slavă@
@glove@|@mănuşă@
@go@|@merge, se duce@
@go for a walk@|@se plimba@
@go mad@|@înnebuni@
@go out@|@ieşi@
@go to bed@|@se culca@
@goat@|@capră@
@God@|@Dumnezeu, zeu@
@goddaughter@|@fină@
@godfather@|@naş@
@godmother@|@naşă@
@goes out@|@iese@
@gold@|@aur@
@gold-coloured@|@auriu@
@gone@|@mers@
@good@|@bine, bun@
@good evening@|@bună seara@
@good morning@|@bună dimineaţa@
@good thing that@|@bine că@
@goodbye@|@la revedere@
@goodnight@|@noapte bună@
@goods@|@marfă@
@goose@|@gîscă@
@goulash@|@tocană@
@government@|@guvern@
@grade@|@grad@
@gradually@|@treptat@
@graduate@|@absolvi@
@graft@|@grefa@
@gram@|@gram@
@grammar@|@gramatică@
@granddaughter@|@nepoată@
@grandfather@|@bunic@
@grandmother@|@bunică@
@grandson@|@nepot@
@grant@|@acorda@
@grape@|@strugure@
@grapefruit@|@grepfrut@
@grass@|@iarbă@
@grasshopper@|@lăcustă@
@grateful@|@recunoscător@
@gravitate@|@gravita@
@gravity@|@gravitate, gravitaţie@
@graze@|@jupui@
@Great Britain@|@Marea Britanie@
@Greece@|@Grecia@
@greed@|@lăcomie@
@Greek@|@greacă, grec@
@Greek woman@|@grecoaică@
@green@|@verde@
@green pepper@|@ardei gras@
@green vegetables@|@zarzavat@
@greet@|@saluta@
@greetings card@|@felicitare@
@grenade@|@grenadă@
@grey@|@gri@
@grief@|@doliu@
@grill@|@grătar@
@grimace@|@grimasă@
@grip bag@|@sacoşă@
@grocer's@|@alimentară@
@ground floor@|@parter@
@group@|@formaţie, grup, grupă@
@grow@|@creşte@
@grow poor@|@scăpăta@
@grow rich@|@se îmbogăti@
@grown@|@crescut@
@guarantee@|@garanţie@
@guard@|@gardă, păzi@
@guess@|@ghici@
@guest@|@musafir@
@guide@|@îndruma@
@guidebook@|@ghid@
@guilty@|@vinovat@
@gulf@|@golf@
@guy@|@individ@
@had@|@avut@
@hail@|@sală@
@hair@|@păr@
@haircut@|@tuns@
@hairdresser’s@|@frizerie@
@half@|@jumătate@
@hall@|@hol@
@halo@|@aureolă@
@ham@|@şuncă@
@hand@|@mînă@
@hand currency@|@valută@
@handicraft@|@artizanat, meşteşug@
@hang@|@atîrna, spînzura@
@hang up@|@agăţa@
@happen@|@se întîmpla@
@happiness@|@fericire@
@happy@|@fericit@
@hardly@|@abia@
@hare@|@iepure@
@haste@|@grabă@
@hat@|@pălărie@
@hate@|@duşmăni, ură, urî@
@hava a meal@|@lua masă@
@have@|@avea@
@have a grudge against@|@avea un dinte contra@
@have a haircut@|@se tunde@
@have a shower@|@face un duş@
@have enough@|@se sătura@
@have one’s hair styled@|@coafa, se coafa@
@have to@|@trebui@
@hazelnut@|@alună@
@he@|@dumnealui, el@
@he comes@|@vine@
@he has@|@are@
@head@|@cap@
@headache pill@|@antinevralgic@
@health@|@sănătate@
@healthy@|@sănătos@
@heap@|@grămadă@
@hear@|@auzi@
@hearse@|@dric@
@heart@|@inimă@
@heat@|@căldură@
@heavenly@|@celest, ceresc@
@heavy@|@greoi, greu@
@Hebrew@|@ebraic@
@height@|@înălţime@
@heir@|@legatar, moştenitor@
@heiress@|@moştenitoare@
@hell@|@iad@
@hello@|@bună ziua@
@hello on telephone@|@alo@
@help@|@ajuta, ajutor@
@her@|@ei@
@her lipstick@|@rujul ei@
@here@|@aici, dincoace@
@here you are@|@poftiţi@
@hero@|@erou@
@hidden@|@ascuns@
@hide@|@ascunde@
@highly regarded@|@apreciat@
@hill@|@deal@
@him@|@el, îi/i-, îl/-l/l-, lui@
@hind@|@de dinapoi@
@hinder@|@împiedica@
@his@|@lui, său@
@historian@|@istoric@
@history@|@istorie@
@hit@|@lovi@
@hither@|@încoace@
@hoe@|@sapă@
@hold@|@ţine@
@holiday@|@vacanţă@
@holiday resort@|@staţiune@
@Holland@|@Olanda@
@holy@|@sfînt@
@honest@|@cinstit@
@honey@|@miere@
@honour@|@cinste, onoare@
@hope@|@nădejde, spera, speranţă@
@horizon@|@orizont@
@horn@|@corn@
@horror@|@grozăvie@
@horse@|@cal@
@hospitable@|@ospitalier@
@hospital@|@spital@
@host@|@gazdă@
@hostel@|@cămin@
@hot@|@fierbinte@
@hotel@|@hotel@
@hour@|@oră@
@house@|@casă@
@household@|@locuinţă, menaj@
@how@|@cum@
@how are you@|@ce mai faceţi@
@how are you?@|@ce mai, ce mai faci?@
@how do you say in Romanian@|@cum se spune pe româneşte@
@how many@|@cîţi@
@how much@|@cît@
@however@|@însă@
@human@|@omenesc, uman@
@humble@|@înjosi, umil@
@humble oneself@|@se înjosi@
@humiliating@|@înjositor@
@hundred@|@sută@
@hundredth@|@suta, sutălea@
@Hungarian@|@maghiar@
@Hungary@|@Ungaria@
@hunger@|@foame@
@hungry@|@flămînd@
@hunt@|@vîna@
@hurry@|@se grăbi@
@hurt@|@durea@
@husband@|@soţ@
@hyphen@|@linioară@
@I@|@eu@
@I am glad@|@îmi pare bine@
@I am in Europe@|@Eu sânt în Europa@
@I am sorry@|@îmi pare rău@
@I do@|@fac@
@I don't feel like it@|@nu am chef@
@I feel like@|@am chef să@
@I gave him the key.@|@I-am dat cheie.@
@I have@|@am@
@I hope not@|@sper că nu@
@I hope so@|@sper că da@
@I put@|@pun@
@I see@|@văd@
@I sleep@|@dorm@
@I speak@|@vorbesc@
@I understand@|@eu înţeleg@
@ice@|@gheaţă@
@ice-cream@|@îngheţată@
@Iceland@|@Islanda@
@icon@|@icoană@
@idea@|@idee@
@identity card@|@buletin@
@idiot@|@cretin@
@if@|@dacă@
@if you do not mind@|@dacă nu vă supăraţi@
@illness@|@boală@
@image@|@chip, imagine@
@imagine@|@imagina, închipui, şi imagina@
@imitate@|@imita@
@immediately@|@îndată, numaidecît@
@immense@|@imens@
@impatience@|@nerăbdare@
@importance@|@importanţă, însemnatate@
@important@|@important, insemnat@
@impose@|@impune@
@imposed@|@impus@
@impression@|@impresie@
@impressive@|@impunător@
@improper@|@deplasat@
@improve@|@îmbunătăţi@
@in@|@în, înăuntru, la@
@in a hurry@|@grăbit@
@in a low voice@|@cu voce scăzută@
@in bed@|@la pat@
@in English@|@englezeşte@
@in French@|@franţuzeşte@
@in front of@|@înaintea@
@in general@|@în general@
@in German@|@nemţeşte@
@in peace@|@în pace@
@in peace and quiet@|@în pace şi linişte@
@in Romanian@|@româneşte, romîneşte@
@in Russian@|@ruseşte@
@in the afternoon@|@după-masă@
@in the North@|@la nord@
@in the south@|@la sud@
@in turn@|@pe rind, pe rînd@
@in vain@|@degeaba@
@inasmuch as@|@întrucît@
@inclination@|@înclinaţie@
@inclined@|@dispus@
@inconsiderate@|@nesimţitor@
@increase@|@mări, spori, sporire@
@indebted@|@îndatorat@
@independence@|@independent@
@India@|@India@
@industrious@|@harnic@
@inflate@|@umfla@
@influence@|@influenţa@
@influential@|@influent@
@influenza@|@gripă@
@inform@|@înştiinţa@
@information@|@informaţie@
@informed about@|@la curent cu@
@infringe@|@încălca@
@inhabitant@|@locuitor@
@inherit@|@moşteni@
@initiative@|@iniţiativă@
@injured@|@rănit@
@injustice@|@nedreptate@
@ink@|@cerneală@
@inn@|@han@
@innocent@|@nevinovat@
@inside@|@dinăuntru, inăuntrul@
@insist@|@insista@
@insistence@|@îndemn@
@inspect@|@controla@
@install@|@instala@
@instead of@|@în loc de@
@instrument@|@instrument@
@insurance@|@asigurare@
@intelligent@|@inteligent@
@intention@|@intenţie@
@interest@|@interes, interesa@
@interest (money)@|@dobîndă@
@interesting@|@interesant@
@internal@|@intern@
@interpreter@|@interpret@
@interrupt@|@întrerupe@
@interrupted@|@întrerupt@
@interval@|@răstimp@
@intervene@|@interveni@
@introduce@|@introduce, prezenta@
@introduced@|@introdus@
@introduction@|@introducere@
@invade@|@invada@
@invalid@|@suferind@
@invasion@|@invazie@
@invitation@|@invitaţie@
@invite@|@invita, pofti@
@Iran@|@Iran@
@Ireland@|@Irlanda@
@iron@|@fier@
@is@|@e, este@
@is it my fault?@|@aceasta-i greşeaul meu?@
@island@|@insulă@
@isolate@|@izola@
@Israel@|@Israel@
@it@|@aceasta, e/el/ea@
@it is a long way to Bucharest@|@e departe pînă la Bucureşti@
@it is late@|@e târziu@
@Italian@|@italian@
@Italy@|@Italia@
@jam@|@gem@
@January@|@ianuarie@
@Japan@|@Japonia@
@jar@|@borcan@
@Jew@|@evreu@
@jewel@|@bijuterie, odor@
@job@|@serviciu@
@joke@|@banc, glumă, glumi@
@journey@|@călătorie, drum@
@joy@|@bucurie, haz@
@joyful@|@vesel@
@judge@|@judeca@
@jug@|@cană@
@juicy@|@suculent@
@July@|@iulie@
@jump@|@sări@
@June@|@iunie@
@just now@|@adineauri@
@justice@|@dreptate@
@justified@|@îndreptăţit@
@keep@|@păstra@
@keep right@|@a ţine dreapta@
@kerchief@|@basma@
@key@|@cheie@
@kidney@|@rinichi@
@kill@|@omorî, ucide@
@killed@|@ucis@
@kilogram@|@kilogram@
@kilometre@|@kilometru@
@kind@|@drăguţ, fel@
@kindness@|@bunătate, omenie@
@king@|@rege@
@kiosk@|@chioşc@
@kiss@|@săruta@
@kitchen@|@bucătărie@
@knee@|@genunchi@
@knife@|@cuţit@
@knock@|@bate@
@knot@|@nod@
@know@|@cunoaşte, şti@
@knowledge@|@cunoştinţă@
@known@|@ştiut@
@label@|@etichetă@
@lack of education@|@incultură@
@lack of interest@|@dezinteres@
@ladder@|@scară@
@ladies’ hairdresser@|@coafor@
@lady@|@cucoană, doamnă@
@ladybird@|@buburuză@
@lake@|@lac@
@lamb@|@miel@
@lame@|@olog@
@lament@|@deplînge@
@lamentable@|@deplorabil@
@lamp@|@lampă@
@lamp post@|@felinar@
@lampshade@|@abajur@
@land@|@ateriza@
@landscape@|@peisaj@
@lane@|@alee@
@language@|@limbă, limbaj@
@large quantity@|@mulţime@
@last@|@dura, ultim@
@late@|@tîrziu@
@laudable@|@lăudabil@
@laughed@|@ris@
@laughter@|@rîs@
@law@|@lege@
@lawyer@|@avocat@
@lay@|@aşeza@
@lay the table@|@pune masă@
@laziness@|@lene@
@lazy@|@leneş@
@leaf@|@foaie, frunză@
@leap@|@bisect, salt@
@leap year@|@an bisect@
@learn@|@învăţa@
@leave@|@concediu, lăsa, pleca@
@lecture hall@|@aulă@
@left@|@stîng@
@left side@|@stînga@
@leg@|@picior@
@legal@|@legal@
@legality@|@legalitate@
@legalize@|@legaliza@
@legend@|@legendă@
@legendary@|@legendar@
@legislation@|@legislaţie@
@legislative@|@legislativ@
@legitimate@|@legitim@
@lemonade@|@citronadă, limonadă@
@lend@|@împrumuta@
@length@|@lungime@
@lens@|@lentilă@
@leper@|@lepros@
@leprosy@|@lepră@
@lesson@|@curs, lecţia, lecţie@
@lethargy@|@letargie@
@letter@|@literă, scrisoare@
@lettuce@|@salată verde@
@level@|@nivel@
@library@|@bibliotecă@
@lie@|@minciună, minţi, zăcea@
@life@|@viaţă@
@lift@|@lift@
@lift up@|@ridica@
@light@|@lumină, uşor@
@light bulb@|@bec@
@light overcoat@|@pardesiu@
@lighter@|@brichetă@
@lighthouse@|@far@
@like@|@plăcea@
@lily@|@crin@
@limit@|@limita, limită@
@limit oneself@|@se limita@
@limitationþ@|@limitare@
@limited@|@limitat@
@line@|@linie@
@linguist@|@lingvist@
@linguistic@|@lingvistic@
@linguistics@|@lingvistică@
@lining@|@dublură@
@lion@|@leu@
@lioness@|@leoaică@
@lip@|@buză@
@liquid@|@lichid@
@list@|@listă@
@listen to@|@asculta@
@lit@|@aprins@
@literature@|@literatură@
@litre@|@litru@
@little@|@mic, puţin/pic@
@little by little@|@un pic un pic@
@little girl@|@fetiţă@
@liturgy@|@liturghie@
@live@|@locui, trăi@
@liver@|@ficat@
@livestock@|@şeptel@
@load@|@încărca@
@loan@|@împrumut@
@local@|@local@
@locality@|@localitate@
@lock up@|@încuia@
@locksmith@|@lăcătuş@
@log@|@butuc@
@London@|@Londra@
@lonely@|@singuratic@
@long@|@lung@
@long ago@|@demult@
@longing@|@dor@
@look after@|@îngriji@
@look at@|@privi, se uita@
@look for@|@căuta@
@look!@|@iată, uite!@
@lookout@|@iscoadă@
@Lord@|@Domnul@
@lose@|@pierde@
@lose weight@|@slăbi@
@loss@|@pagubă@
@lost@|@pierdut@
@loud burst (laughter or tears)@|@hohot@
@louse@|@păduche@
@love@|@dragoste, iubi, iubire@
@love affair@|@amor@
@lover@|@iubit@
@low@|@jos, scund@
@loyal@|@leal@
@luggage@|@bagaj@
@lunch@|@prînz@
@lung@|@plămîn@
@lye@|@leşie@
@lying (down)@|@culcat@
@lymph@|@limfă@
@mad@|@nebun@
@madness@|@nebunie@
@magazine@|@revistă@
@main road@|@şosea@
@maintain@|@menţine@
@make a mistake@|@face o greşeală, greşi@
@make an application@|@face o cerere@
@make furious@|@înfuria@
@make one's way@|@răzbate@
@make oneslf up@|@farda@
@make the sign of the cross@|@se închina@
@mallow@|@nalbă@
@man@|@bărbat, om@
@manage@|@se descurca@
@mankind@|@omenire@
@manner@|@mod@
@manuscript@|@manuscris@
@many@|@mulţi@
@map@|@hartă@
@March@|@martie@
@market@|@tîrg@
@marriage@|@căsătorie@
@marrow@|@măduvă@
@marry (men)@|@se însura@
@marsh@|@mlaştina@
@masculine@|@masculin@
@match@|@chibrit@
@maths@|@matematică@
@mauve@|@mov@
@May@|@mai@
@mayor@|@primar@
@mean@|@abject, însemna@
@meaning@|@rost@
@meanwhile@|@între timp@
@measure@|@măsură@
@medical science@|@medicină@
@medicine@|@doctorie, medicament@
@meet@|@întîlni, se întîlni@
@meet (up with)@|@se intîlni cu@
@meeting@|@şedinţă@
@melon@|@pepene@
@melt@|@se topi, topi@
@member@|@membru@
@memorize@|@memora@
@memory@|@amintire, memorie@
@men@|@oameni@
@mention@|@menţiona, pomeni@
@message@|@mesaj@
@metre@|@metru@
@metropolitan bishop@|@mitropolit@
@Mexico@|@Mexic@
@middle@|@miez, mijloc@
@Middle East@|@Orientul@
@mile@|@milă@
@milk@|@lapte, mulge@
@milk tooth@|@dinte de lapte@
@mill@|@moară@
@million@|@milion@
@mind@|@minte@
@mineral@|@mineral@
@mineral water@|@apă minerală@
@minister@|@ministru@
@ministry@|@minister@
@mink@|@nurcă@
@minority@|@minoritate@
@mint@|@mentă@
@minute@|@minut@
@miracle@|@minune@
@mirror@|@oglindă@
@misfortune@|@ghinion, nenorocire@
@miss@|@domnişoară@
@miss the target@|@greşi ţinta@
@mist@|@negură@
@mistake@|@greşeală@
@misty@|@ceţos@
@mix@|@amesteca@
@model@|@pildă@
@modern@|@modern@
@modify@|@modifica@
@Moldavia@|@Moldova@
@moment@|@clipă, moment@
@monastery@|@mănăstire@
@Monday@|@luni@
@money@|@bani@
@monument@|@monument@
@moon@|@lună@
@morals@|@morală@
@more@|@mai mult@
@morello cherry@|@vişină@
@morning@|@dimineaţă@
@Moscow@|@Moscova@
@mother@|@maică, mamă@
@mother-in-law@|@soacră@
@motivate@|@motiva@
@motivation@|@motivare@
@motorczcle@|@motocicletă@
@motto@|@moto@
@mould@|@mucegai@
@mouldy@|@muced@
@mountain@|@munte@
@mouse@|@şoarece@
@moustache@|@mustaţă@
@mouth@|@gură@
@move@|@mişca, muta, se mişca@
@move about@|@circula@
@move off@|@se depărta@
@movement@|@mişcare@
@much@|@mult@
@mud@|@nămol, noroi@
@mulberry@|@dudă@
@mulberry tree@|@dud@
@multiply@|@înmulţi@
@Muntenia@|@Muntenia@
@murder@|@omor@
@murderer@|@ucigaş@
@museum@|@muzeu@
@mushroom@|@ciupercă@
@music@|@muzică@
@mustard@|@muştar@
@my@|@mea, mei, meu@
@nadir@|@nadir@
@nail@|@cui@
@naive@|@naiv@
@name@|@denumi, nume@
@namely@|@anume@
@napkin@|@şerveţel@
@narrate@|@istorisi@
@narration@|@istorisire@
@narrow@|@îngust, strîmt@
@nation@|@naţiune@
@national@|@naţional@
@native@|@autohton@
@natural@|@firesc, natural@
@naturally@|@fireşte@
@nature@|@fire, natură@
@near@|@aproape de@
@nearby@|@aproape@
@necessary@|@necesar@
@neck@|@gît, grumaz@
@need@|@cerinţa, nevoie@
@needle@|@ac@
@neighbour@|@vecin@
@neither... nor@|@nici nu... nici@
@nest@|@cuib@
@net@|@fileu@
@neutral@|@neutru@
@never@|@niciodată@
@nevertheless@|@totuşi@
@new@|@nou@
@New Zealand@|@Noua Zeelandă@
@news@|@ştiri@
@news bulletin@|@buletin de ştiri@
@news in brief@|@fapte diverse@
@news item@|@ştire@
@newspaper@|@ziar@
@nice@|@nostim, simpatic@
@nicknamed@|@poreclit@
@night@|@noapte@
@nine@|@nouă@
@nine hundred@|@nouă sute@
@nineteen@|@nouăsprezece@
@nineteenth@|@nouăsprezecea, nouăsprezecelea@
@ninetieth@|@nouăzecea, nouăzecilea@
@ninety@|@nouăzeci@
@ninth@|@noua, nouălea@
@no@|@nu@
@nobody@|@nimeni@
@noise@|@zgomot@
@noisy@|@zgomotos@
@nominative@|@nominativ@
@none@|@niciunul@
@noon@|@amiază@
@nor@|@nici@
@north@|@miazănoapte, nord@
@North America@|@America de Nord@
@north west@|@nord-vest@
@Norway@|@Norvegia@
@nose@|@nas@
@nostril@|@nară@
@not at all@|@de loc@
@not very long@|@de puţin timp@
@note@|@nota, notä@
@note book@|@caiet@
@nothing@|@nimic@
@notice@|@constata@
@noun@|@substantiv@
@nourishing@|@nutritiv@
@novel@|@roman@
@November@|@noiembrie@
@now@|@acum@
@nowhere@|@nicăieri@
@nrake@|@frînă@
@nuclear@|@nucleu@
@nuclear weapons@|@ame nucleare@
@nude@|@nud@
@number@|@număr@
@nylon@|@nailon@
@oak tree@|@stejar@
@oats@|@ovăz@
@object@|@obiect@
@obligation@|@obligaţie@
@obligatory@|@obligatoriu@
@oblige@|@obliga@
@obtain@|@căpăta, obţine@
@obtained@|@obţinut@
@obvious@|@vădit@
@occasion@|@oară@
@occupy@|@ocupa@
@October@|@octombrie@
@odd@|@curios@
@of@|@de@
@of course@|@bineînţeles@
@offend@|@jigni@
@offer@|@oferi@
@often@|@adesea, des, deseori@
@oil@|@gresa, petrol, ulei, unge@
@oiled@|@uns@
@old@|@bătrîn, vechi@
@old man@|@moş@
@old woman@|@babă@
@olive@|@măslină@
@ominous@|@de rău augur@
@omit@|@omite@
@omitted@|@omis@
@on@|@asupra, pe@
@on behalf of@|@din partea@
@on purpose@|@dinadins@
@on the right@|@la dreapta@
@on the way to@|@în drum spre@
@on time@|@la timp@
@once@|@o dată, odată@
@one@|@unu@
@one fourth@|@pătrime@
@one hundred thousand@|@una sută de mii@
@one hundreth@|@al una sutălea@
@one hundreth of a leu@|@ban@
@one million@|@un milion@
@one thousand@|@una mie@
@onion@|@ceapă@
@only@|@doar, numai@
@open@|@deschide, deschis@
@openly .@|@făţiş@
@opinion@|@opinie, părere@
@opium@|@opiu@
@opposite@|@opus, vizavi de@
@oppress@|@obidi@
@optimistic@|@optimist@
@or@|@sau@
@orange@|@portocală@
@orchard@|@livadă@
@orchestra@|@orchestră@
@order@|@comanda, ordine, poruncă@
@organisation@|@organizaţie@
@origin@|@origine@
@Orthodox@|@ortodox@
@other@|@celălalt@
@otherwise@|@altfel, altminteri@
@our@|@nostru@
@out@|@afară, plecat@
@out in the rain@|@afară în ploaie@
@out of stock@|@epuizat@
@out of the blue@|@din senin@
@outrun@|@depaşi, depăşi@
@outside@|@afară@
@oven@|@cuptor@
@over@|@peste@
@over there@|@acolo@
@overcoat@|@palton@
@overtaking@|@depăşire@
@owe@|@datora@
@ox@|@bou@
@oxen@|@boi@
@pace@|@pas@
@pack@|@impacheta@
@packet@|@pachet@
@page@|@pagină@
@pain@|@durere@
@paint@|@spoi, vopsi, zugrăvi@
@painting@|@tablou@
@pair@|@pereche@
@Pakistan@|@Pakistan@
@palace@|@palat@
@pale@|@pal@
@palm@|@palmă@
@pan pipe@|@nai@
@pancreas@|@pancreas@
@panel@|@panou@
@panic@|@panică@
@paper@|@hîrtie@
@paradise@|@rai@
@parcel@|@colet@
@pardon@|@graţia, graţiere, poftim@
@pardon?@|@poftim?@
@parent@|@părinte@
@parents in law@|@socri@
@Paris@|@Paris@
@park@|@parc, parca@
@part@|@parte@
@participate@|@participa@
@party@|@chef, petrecere@
@pass@|@trece@
@pass on@|@transmite@
@passed@|@trecut@
@passenger@|@pasager@
@passport@|@paşaport@
@passport officer@|@grănicer@
@paste@|@pastă@
@path@|@cărare@
@patience@|@răbdare@
@patient@|@pacient@
@pattern@|@model@
@pause@|@pauză@
@paw@|@labă@
@pay@|@plăti@
@pay the bill@|@face plata@
@payment@|@plată@
@peace@|@pace@
@peaceful@|@paşnic@
@peach@|@piersică@
@peak@|@vîrf@
@pear@|@pară@
@peas@|@mazăre@
@peasant@|@ţăran@
@pedestrian@|@pieton@
@peel@|@coajă, curăţa@
@pencil@|@creion@
@penetrate@|@pătrunde@
@penetrated@|@pătruns@
@penniless@|@lefter@
@penny@|@para@
@pension@|@pensie@
@people@|@lume, neam, popor@
@pepper@|@ardei, piper@
@pepsi@|@pepsi@
@percentage@|@procent@
@perfect@|@perfect@
@perjuror@|@sperjur@
@permit@|@permis@
@person@|@persoană@
@persuade@|@convinge@
@persuaded@|@convins@
@petrol@|@benzină@
@pharmacist@|@farmacist@
@pharmacy@|@farmacie@
@pheasant@|@fazan@
@phone@|@da un telefon@
@phonetic@|@fonetic@
@phonetics@|@fonetică@
@photograph@|@fotografie, poză@
@phrase@|@frază@
@pick@|@culege@
@picked@|@cules@
@picture@|@pictură@
@piece@|@bucată@
@piece of news@|@veste@
@pig@|@porc@
@pill@|@pilulă@
@pillow@|@pernă@
@pine tree@|@pin@
@pink@|@roz@
@pip@|@sîmbure@
@pistol@|@pistol@
@place@|@loc@
@plain@|@cîmpie, şes@
@plainly@|@pe şleau@
@plan@|@plan, proiect@
@plane@|@avion@
@plant@|@plantă@
@plastic bag@|@pungă@
@plate@|@farfurie@
@platform@|@peron@
@play@|@joc, juca, piesă, se juca@
@playwright@|@dramaturg@
@pleasant@|@plăcut@
@please@|@te rog, vă rog@
@pleased to meet you@|@mă bucur mult de cunoştintă@
@pleasure@|@pläcere, plăcere@
@plight@|@hal@
@plug@|@cep@
@plum@|@prună@
@plum brandy@|@ţuică@
@plumber@|@instalator@
@plunder@|@jefui@
@plunge@|@afunda@
@plural@|@plural@
@pocket@|@buzunar@
@poem@|@poezie@
@point@|@punct@
@poison@|@otravă, venin@
@Poland@|@Polonia@
@polar circle@|@cerc polar@
@pole@|@par@
@polenta@|@mămăligă@
@policeman@|@poliţist@
@polite@|@politicos@
@politeness@|@politeţe@
@political party@|@partid@
@politics@|@politică@
@pool@|@baltă@
@poor@|@biet, sărac@
@poorly@|@prost@
@pope@|@popă@
@population@|@populaţie@
@port@|@port@
@porter@|@hamal@
@Portugal@|@Portugalia@
@position@|@ghişeu, poziţie@
@possible@|@eventual, posibil@
@post@|@poştă@
@post box@|@cutie poştală@
@post office@|@oficiu poştal@
@postcard@|@carte poştală@
@poster@|@afiş@
@pot@|@ibric@
@potato@|@cartof@
@pottery@|@ceramică@
@pound sterling@|@liră sterlină@
@pour@|@turna@
@poverty@|@sărăcie@
@power@|@putere@
@powerful@|@puternic@
@praise@|@laudă@
@pray@|@se ruga@
@prayer@|@rugăciune@
@prefer@|@prefera@
@pregnancy@|@graviditate@
@pregnant@|@gravidă@
@prepare@|@pregăti@
@prescription@|@reţetă@
@present@|@cadou, înfăţişa@
@president@|@preşidinte@
@press@|@apăsa, presă@
@prestige@|@prestigiu@
@price@|@preţ@
@pride@|@mîndrie@
@priest@|@preot@
@print@|@tipări@
@prison@|@închisoare@
@private@|@particular@
@probable@|@probabil@
@probably@|@parcă@
@problem@|@chestiune, problemă@
@produce@|@produce@
@produced@|@produs@
@production@|@producţie@
@professional@|@profesionist@
@profit@|@profit, profita@
@profitable@|@rentabil@
@programme@|@program@
@progress@|@progres@
@project@|@lucrare@
@prolong@|@prelungi@
@promise@|@făgădui, promite@
@promised@|@promis@
@proof@|@dovadă@
@proprietor@|@proprietar@
@protect@|@ocroti@
@protracted@|@îndelungat@
@proud@|@mîndru@
@prove@|@demonstra, dovedi@
@province@|@provincie@
@pry into@|@iscodi@
@prying@|@iscoditor@
@public@|@public@
@publication@|@apariţie@
@publicity@|@publicitate@
@publishing house@|@editură@
@pull@|@trage@
@pulled@|@tras@
@pullover@|@pulover@
@punishment@|@pedeapsă@
@purchase@|@cumpărătură@
@pure@|@pur@
@purpose@|@scop@
@push@|@împinge@
@pushed@|@împins@
@put@|@pune, pus@
@put in@|@băga@
@put on the brake@|@pune frîna@
@put out@|@stinge@
@put right@|@drege, dres, îndrepta@
@put to bed@|@culca@
@qualitz@|@calitate@
@quantity@|@cantitate@
@quarrel@|@ceartă@
@quarter@|@sfert@
@quay@|@chei@
@queen@|@regină@
@question@|@întrebare@
@queue@|@coadă@
@queue up@|@face coadă@
@quick@|@repede@
@quickly@|@iute@
@quiet@|@linişte, linişti@
@quilt@|@plapumă@
@radiator@|@calorifer, radiator@
@radio@|@radio@
@ragout@|@iahnie@
@rain@|@ploaie, ploua@
@rake@|@grebla, greblă@
@rare@|@rar@
@rase@|@oblitera@
@raspberries@|@zmeură@
@rather@|@cam@
