@English@|@Hawaiian@
@excrement@|@kûkae@
@Excuse me@|@Kala mai ia`u@
@expect@|@kali@
@expert@|@kahuna@
@explain@|@ho`akaaka@
@explaine@|@wehewehe@
@eye@|@maka, maka@
@eye socket@|@naho, pona@
@eyeball@|@[haku] `onohi@
@eyebrow@|@ku`emaka@
@eyeglasses@|@makaaniani, makaaniani@
@eyelashes@|@lihilihi@
@eyelid@|@`upo`i maka@
@eyesight@|@`ike maka@
@face@|@helehelena, maka@
@facsimile@|@kelepa`i@
@fall@|@hâ`ule, hä`ule lau, hiolo, la'a 'ula, la'a make@
@Fall@|@há`ule lau@
@fall (1)@|@kau 'o hä'ule lau@
@fall sideways@|@hiö@
@familiar--long-time resident of Hawaii@|@kama`aina@
@family@|@`ohana@
@Family@|@'ohana@
@famous@|@hemolele, kaulana, kaulana@
@fan@|@pe`ahi@
@fancy@|@mana`o ulu wale@
@Far@|@mamao@
@farewell@|@A hui hou@
@Farewell!@|@Aloha!@
@fast@|@`âwîwî, wikiwiki, wikiwiki, wikiwiki@
@fat@|@momona@
@father@|@makua [kane], makuakâne@
@Father@|@Makua káne@
@father-in-law@|@makuahunoai kane@
@fatherland@|@`aina makua@
@Favorite local dish@|@loco moco@
@fax@|@kelepa`i@
@fear@|@maka`u@
@feast (wedding)@|@`aha`aina male@
@feather@|@hulu, hulu, hulu@
@February@|@pepeluali, pepeluali@
@feed@|@hänai@
@fellow@|@kâne@
@female@|@wahine@
@fence@|@pâ@
@fern (a kind of)@|@häpu`u@
@fern (type of)@|@hi`ui`a@
@festival@|@ho'olaule'a@
@fever@|@pîwa@
@fiddle@|@pila, pila, pila@
@fidelity@|@malama@
@fifteen@|@`uma kumalima, `umi-kúmá-lima@
@fifty@|@kana-lima, kanalima, kanalima@
@fifty-one@|@kanalima kumakahi@
@fight@|@hakakâ, hakakä@
@fine@|@u`i, uku ho`opa`i@
@Fine@|@Maika`i@
@finger@|@manamana lima, manamana lima, manamanalima@
@fingernail@|@miki`ao@
@finished@|@pau@
@fire@|@ahi, ahi@
@firm@|@pa`a@
@first born child@|@hiapo, hiapo@
@fish@|@i`a@
@Fish@|@i`a@
@fish (a kind of)@|@aku@
@fisherman@|@lawai`a, lawai`a@
@fishhook@|@makau@
@fishing grounds@|@ko`a@
@fishing supplies@|@ponolawai`a@
@five@|@`elima, [`e]lima, lima@
@five hundred@|@`elima haneli@
@flashlight@|@kukui hele pö@
@flavor@|@`ono, `ono@
@flea@|@'uku lele@
@flight attendant@|@kuene@
@float@|@`au, lana@
@floor@|@papahele, papahele@
@flour@|@palaoa maka, palaoa maka@
@flower@|@pua, pua@
@flower of the pûhala@|@hînano@
@fluid@|@wai@
@fly@|@lele@
@fog@|@'ohu, noe, noe@
@folding chair@|@noho `opi`opi@
@follow@|@hahai, hahai@
@food@|@mea `ai@
@Food@|@kaukau@
@foot@|@wawae, wawae, wäwae@
@football@|@kinipopo peku@
@for a plane to land@|@pae@
@for the contents of something@|@pakû@
@for the first time@|@malihini@
@forbidden@|@kapu@
@forehead@|@lae, lae@
@forehead; cape headland@|@lae@
@foreigner@|@malihini@
@forest@|@ululâ`au, ululä`au@
@forget@|@poina@
@Forgiveness@|@Ka Huikala@
@fork@|@`ô@
@formerly@|@mua@
@forty@|@kana-há, kanaha@
@forty thousand@|@kanaha kaukani@
@forty-one@|@kanaha kumakahi@
@foundation@|@kahua, kumu@
@four@|@`ehá, `ehâ, [`e]ha, hä@
@four hundred@|@`eha haneli, `ehâ haneli@
@four o'clock@|@hola `eha@
@four-stringed guitarlike instrument@|@`ukulele@
@fourteen@|@`umi kumaha, `umi kumaha, `umi-kúmá-há@
@fourth@|@ha[paha]@
@Fourth of July@|@la `eha o iulai@
@fourty@|@kanahâ@
@fowl@|@moa@
@fox@|@'alopeke@
@fragrant@|@`a`ala, onaona@
@fragrant orange flower@|@puakenikeni@
@fragrant vine@|@maile@
@French@|@Palini@
@Friday@|@po`alima, pó`alima@
@friend@|@hoa, hoa aloha, hoa pili, hoaahoha, hoaaloha, makamaka@
@Friend@|@Hoaloha@
@friendly@|@ho`alohaloha@
@Friendly hand gesture@|@shaka@
@friendship@|@pilialoha@
@frigate (bird)@|@`iwa@
@frog@|@poloka@
@from@|@a, maiâ, o@
@fruit@|@hua, hua@
@Fruit@|@hua `ai@
@fruit core@|@`îkoi@
@fry@|@palai@
@full@|@piha@
@full of food@|@mâ`ona@
@full of waves@|@nalu@
@full-blooded Hawaiian@|@kanaka maoli@
@Full-blooded Hawaiian person@|@kanaka maoli@
@full-grown@|@makua@
@fun@|@hau`oli, le`ale`a@
@fundamental@|@kumu@
@funds@|@kala@
@funeral@|@ho`olewa@
@funny@|@ho`omake`aka@
@funny kine@|@`ano`ê@
@fur@|@hulu, hulu@
@gallon@|@kâlani, kälani@
@garage@|@hale ka`a, haleka`a@
@garbage@|@'opala@
@garden@|@mâla@
@garland@|@lei@
@Garland@|@lei@
@gather@|@`ohi@
@General name for small mollusk@|@pipipi@
@generic toast@|@ola@
@Generosity@|@Ka Lokomaika`i@
@gentle@|@nahenahe@
@genuinly@|@ho`i`ê, nô@
@German@|@Kelemánia@
@gift@|@makana@
@ginger@|@`awapuhi@
@girl's brother@|@kaikunâne@
@give@|@hâ`awi@
@give birth@|@hânau, hapai@
@give me@|@hâ`awi mai@
@glad@|@le`ale`a@
@glass@|@aniani@
@glass (drinking)@|@kï`aha@
@glasses@|@makaaniani@
@glorious@|@hemolele@
@go@|@hele@
@go away@|@waiho@
@go back@|@ho`i@
@go in@|@komo@
@goal@|@kumu@
@goat@|@kao, kao@
@god@|@akua@
@God@|@akua, akua@
@gold@|@kula@
@good@|@`Olu`Olu@
@Good@|@Maika`i@
@Good afternoon@|@Aloha 'auinala@
@good at it@|@mâkaukau@
@Good evening@|@Aloha 'ahiahi@
@Good Friday@|@po`alima hemolele@
@good luck@|@Pomaika'i! Maika'i Pomaika'i!@
@good morning@|@Aloha kakahiaka nui@
@Good morning@|@Aloha kakahiaka@
@good morning (1)@|@Aloha kakahiaka aku@
@Good morning!@|@Aloha kakahiaka!@
@good night@|@aloha pö@
@Good night@|@Aloha 'ahiahi, Aloha pó@
@Good will@|@lokomaika'i@
@Goodbye@|@A hui hou, Aloha@
@Goodbye!@|@Aloha!@
@good-smelling@|@`a`ala, onaona@
@goose@|@nênê@
@goose native to Hawai'i@|@nënë@
@government@|@aupuni, aupuni@
@grab@|@lälau@
@grace@|@pule@
@Graciousness@|@Ka `Olu`olu@
@grandchild@|@mo`opuna@
@grandchildren@|@mo`opuna@
@grandfather@|@kupuna kane, kupuna käne, kupunakâne@
@grandma@|@tutu@
@grandma [affectionate usage]@|@tutu@
@grandmother@|@kupuna wahine, kupunawahine@
@grandpa@|@tutu@
@grandparent@|@kûkû@
@Grandparent@|@kupuna, tütü@
@grandparent [affectionate usage]@|@kükü@
@grass@|@mau`u@
@grassy yard@|@kahua mau`u, kahua mau`u@
@grate@|@wa`u@
@gratitude@|@Mahalo, mahalo@
@graveyard@|@pâilina@
@grease@|@`aila@
@great@|@loa, nui@
@green@|@`oma`oma`o, ma'oma'o@
@Green@|@`Ôma`oma`o@
@green fruit@|@hua maka@
@green onion@|@`aka`akailau@
@green rose@|@loke lau@
@Green rose@|@loke lau@
@green thumb@|@lima ulu@
@greenery@|@lau nahele@
@greenhouse@|@hale ho`oulu mea kanu@
@greenish-blue@|@uliuli@
@Greenland@|@`Âina `Ôma`oma`o@
@greens@|@lau [`ai `ia]@
@Greens@|@lau `ai `ia Polû@
@greeting@|@Aloha@
@Greetings!@|@Aloha!@
@Grey@|@'Âhinahina@
@grotto@|@ana@
@ground@|@honua@
@grounds@|@kumu@
@group of small honey creepers@|@'amakihi@
@grow@|@ho`oûlu@
@guard@|@kia`i@
@guardian spirits@|@`aumakua@
@guava@|@kuawa, küawa@
@guest@|@malihini, malihini kipa@
@guitar@|@kîkâ@
@guitarlike musical instrument@|@'ukulele@
@gum@|@kamu@
@gust (as wind)@|@hio@
@hair@|@lauoho@
@hair (head)@|@lauoho@
@hairy@|@`ohuluhulu@
@hala tree@|@pûhala@
@haleki`i`oni`oni@|@movie theatre@
@halekula@|@school building@
@haleleka@|@post office@
@half@|@hapalua, hapalua@
@ham@|@hame@
@hammerhead shark@|@mano kihikihi@
@hand@|@lima, lima kuhikuhi, manamana@
@hand pole for picking fruit@|@lou@
@handbag@|@`eke`eke pa`a lima@
@handbook@|@puke lawe lima@
@handful@|@piha lima, poho lima@
@handkerchief@|@hainaka, hinaka@
@handle (pot)@|@[ku]`au@
@handshake@|@lulu lima@
@handsome@|@nohea, u`i, u`i@
@hapahâ@|@quarter@
@hapanui@|@majority@
@happy@|@hau`oli, hau`oli, le`ale`a@
@happy Birthday@|@Hau'oli Lä Hänau@
@Happy Birthday!@|@Hau`oli lá hánau!@
@Happy New Year!@|@Hapenuia!@
@harbor@|@awa@
@harmony@|@lökahi@
@hassle@|@pilikia@
@hasten@|@wikiwiki@
@hau@|@ice@
@have ("he pattern")@|@he...@
@have fun@|@ho`ohau`oli@
@Hawaii meal of noodle in broth@|@saimin@
@Hawaiian feast@|@lu'au, lü'au@
@Hawaiian-style dress@|@mu`umu`u@
@Hawaii's own@|@Hawai'i pono'ï@
@he@|@`o ia, `oia, `oia ala, `oia nei, ia, ia, ia@
@head@|@po`o, po`o@
@headache@|@`eha ke po`o@
@headman@|@ali`i@
@headquarters@|@kikowaena@
@headstrong@|@po`o pa`akiki@
@heal@|@ho`ola, lapa`au@
@healthy@|@ola, ola@
@hear@|@ho`olohe, lohe@
@heart@|@pu`uwai, pu`uwai@
@heart attack@|@ma`i hohola@
@heartbreaking@|@ho`eha`eha i ka na`au@
@heartless@|@laukona, loko `ino@
@heartsick@|@mana`ona`o@
@heaven@|@lani, lewa@
@heavy@|@kaumaha, kaumaha@
@heel@|@hila@
@Hello@|@Aloha@
@Hello!@|@Aloha!@
@help@|@kokua, kökua, kökua@
@Help@|@kokua@
@Helpfulness@|@Ke Kôkua@
@hen@|@moa wahine@
@her@|@ia@
@herbicide@|@lâ`aumake@
@here@|@`ane`i, mai@
@hereditary@|@kumu@
@hers@|@näna@
@hibiscus@|@aloalo, koki`o, puaaloalo@
@hidden meaning@|@kaona@
@highway@|@alaloa, alaloa@
@hill@|@olo@
@Hill@|@pu`u@
@hill of dirt for planting uala@|@pu`e@
@him@|@ia@
@hip@|@kikala, papakole@
@Hip hip (hoorah)!@|@Hipahipa!@
@his@|@kâna, kona, näna@
@his/her@|@käna, kona@
@hither@|@mai@
@hoe@|@hô@
@hog@|@pua`a@
@Hole@|@puka@
@hole in ground (to kalua food)@|@imu@
@Holes many@|@Puka kinikini@
@home@|@home@
@homemade@|@hana lima@
@Honesty@|@Ke Kûpono@
@honey@|@meli@
@honor@|@ho`ohanohano@
@hook@|@huka@
@hoop@|@hupa@
@horse@|@lio@
@Hospital@|@hale ma`i@
@Hospitality@|@Ka Ho`okipa@
@hot@|@wela@
@hot and humid@|@ikiiki, ikîki@
@Hotel@|@hókele@
@hour@|@hola, hola@
@house@|@hale, hale@
@How are you?@|@Pehea `oe?@
@how do you do?@|@pehea `oe@
@How do you say this in English@|@He aha kéia hua`ólelo hawai`i?@
@How much does this cost?@|@Ehia kálá kéia kumu kú`ai?@
@How much is the fare?@|@Ehia `ai`é `au iá`oe?@
@How much is this?@|@'ehia?@
@How much/many?@|@`Ehia?@
@How shrill his song!@|@Kani mai ke oli !@
@How?@|@Pehea?@
@huge@|@nunui@
@hula dancer@|@hula@
@human being@|@kanaka, kanaka@
@Humility@|@Ka Ha`aha`a@
@hundred (100)@|@ho`okahi haneli@
@Hung up in the air@|@Kau i ka lewa@
@hunger@|@pöpoli@
@hungry@|@pôloli@
@hunona kane@|@son-in-law@
@husband@|@kâne@
@Husband@|@Káne@
@I@|@('o)au, (W)au, au@
@I (replaces 'au' & 'wau' after "me")@|@a`u@
@I am afraid of the war@|@Makau au i ke kaua@
@I am from ________.@|@No ________ mai au.@
@I am from...@|@No... mai au@
@I am walking in the light@|@Hele wawai o ka malamalama@
@I ate greedily@|@he pakela ai au@
@I do not understand@|@`A`ole maopopo ia`u@
@I don't understand@|@`A`ole maopopo ia`u, Maopopo ia'u 'ole@
@I live in ________.@|@Noho au i ___________.@
@I love Hawai`i!@|@Aloha au i Hawai`i!@
@I love you@|@Aloha Au Ia 'Oe, Aloha No Au Ia 'Oe@
@I would like to buy...@|@Mamake wau e kú`ai i...@
@I1d yams and fish for two days@|@Heaha ko kela puu pahi umiumi@
@ice@|@hau, hau@
@ice box@|@pahuhau@
@ice cream@|@`ai kalima, `aikalima@
@Ice cream@|@haukalima@
@idiot@|@hepa, hupo, lolo@
@if@|@inä@
@ill@|@ma`i@
@I'll buy it@|@Kú`ai mai wau kéia@
@I'm fine@|@Maika'i@
@imitate@|@ho`opili mai@
@important@|@`ano nui, `ano nui@
@in@|@i, i, i, i, loko, ma@
@In most common usage@|@akamai@
@in the light@|@ka malamalama@
@in the light of God@|@ka malamalama o ke Akua@
@incantation@|@pule@
@incline@|@pi`ina@
@inclusive)@|@kakou, kaua@
@increase@|@ho`onui@
@indeed@|@ho`i`ê, nô@
@indeed!@|@kä@
@Industry@|@Ka Pa`ahana@
@infant@|@kamali`i, keiki@
@inform@|@ha`i@
@inkpot@|@ipu `înika@
@ink-well@|@ipu `înika@
@inland@|@mauka, uka, uka@
@innards@|@loko@
@innards of `opihi@|@weka@
@inquisitive@|@niele@
@insane@|@pûpule@
@insert@|@ho`okomo@
@instructor@|@kumu@
@Intelligence@|@Ka Na`auao@
@intelligent@|@akamai@
@interesting@|@hoihoi@
@intermediate@|@waena@
@interrogate@|@nîele@
@intersection (of streets)@|@hele ma kela `ao`ao@
@intestines@|@nâ, na'au@
@introduce@|@ho`olauna@
@introduced@|@malihini@
@invite@|@kono, kono@
@invite in guests@|@ho`okipa@
@involuntary@|@me ka `ae`ole@
@involve@|@hihia@
@Irish potato@|@`ualakahiki@
@iron@|@hao, hao@
@irregular@|@e like `ole me ka mea mau@
@Irrigated terrace@|@lo'i@
@Is there vacancy for tonight?@|@He lumi haka ka`u?@
@island@|@`ailana, moku, mokulele@
@it@|@`oia, ia, ia, kela@
@It lives again@|@A ola hou@
@itch@|@mane`o@
@item@|@`ikamu@
@its@|@kâna, kona, näna@
@It's no trouble@|@He mea iki@
@itself@|@`oia iho, `oia no@
@ivory@|@lei@
@Jack as in cards@|@Keaka@
@jacket@|@lakeke@
@jackfish@|@ulua@
@Jagged@|@'a'a@
@January@|@`ianuali, iánauli@
@Japanese@|@Kepanî, Kepanï@
@Japanese buckwheat noodles@|@soba@
@Japanese fishcake@|@kamaboko@
@Japanese for soy sauce@|@shoyu@
@Japanese noodles in broth@|@ramen@
@Japanese rice ball@|@musubi@
@Japanese soup stock@|@dashi@
@jelly@|@kele@
@journal@|@mo`olelo, puke ho`omana`o@
@jug@|@kâ@
@Juice@|@wai@
@July@|@iulai, iulai@
@June@|@iune@
@June (month)@|@iune@
@just@|@wale nô@
@justification@|@kumu@
@kahuna@|@kahua pä`ani@
@kangaroo@|@kanakalû@
@Katherine@|@kakalina@
@Kava@|@'awa@
@keep@|@mâlama@
@Keep away!@|@Kipue!@
@keeper@|@malama@
@Keeping promises@|@Ka Ho`ohiki@
@key@|@ki, kî@
@kin [group]@|@`ohana@
@kind@|@`ano@
@kind [of]@|@'ano@
@kind of@|@kaina@
@kind of `opihi@|@makaiauli@
@king@|@mô`î@
@kiss@|@honi@
@kitchen@|@lumi kuke, lumikuke@
@kitty@|@kike@
@knee@|@kuli, kuli@
@kneel@|@kukuli, kunou@
@knife@|@pahi@
@know@|@`ike@
@koa [tree or wood]@|@koa@
@Kosher@|@kohele@
@labor@|@hana@
@labor pains (childbirth)@|@nahu kuakoko@
@laboratory@|@ke`ena hana@
@lack@|@pilikia@
@lacking@|@ole@
@Lake@|@loko@
@lamb@|@keiki hipa@
@lamp@|@kukui@
@land@|@`aina, `aina@
@Land@|@'aina@
@landlady@|@haku hale wahine@
@landslide@|@hane`e ka mauna@
@language@|@`olelo, alelo, alelo, alelo@
@Language@|@'ölelo@
@Lani's@|@kâ Lani@
@lantern@|@ipukukui hele po, kukui hele pö, kukuihelepô@
@large@|@loa, nui@
@larger@|@nui loa@
@last born child@|@muliloa@
@last name@|@inoa hope, inoahope@
@laugh@|@`aka`aka@
@lava rock (rough & jagged)@|@a`a@
@lawyer@|@loio@
@lead@|@alaka`i@
@leader@|@alaka`i, ali`i@
@Leadership@|@Ke Alaka`i@
@leaf@|@lau, lei@
@leaf; sweet potato stem slip@|@lau@
@lean@|@hiö@
@learn@|@a`o, a`o@
@leave@|@waiho@
@left@|@hema, koe@
@Left@|@hema@
@leg@|@wâwae@
@legal@|@ku i ke kanawai@
@legend@|@mo`olelo@
@Legendary race of small people@|@Menehune@
@legislature@|@`aha`olelo@
@legitimate@|@ku i ke kanawai@
@lesson@|@ha`awina, ha`awina@
@Let go!@|@Leiko!@
@letter@|@leka@
@lettuce@|@lekuke@
@librarian@|@kahu puke@
@library@|@hale waihona puke@
@lie down@|@moe@
@life@|@ola@
@life insurance@|@`inikua ola@
@lifestage (about 7 years) of a male child@|@kaimua@
@lift@|@häpai@
@lighthouse@|@hale ipukukui@
@lightning@|@uila@
@like@|@makemake, makemake@
@limpet@|@'opihi@
@line@|@laina, laina@
@lion@|@liona@
@lip@|@lehe@
@liquid@|@wai@
@liquid or liquor (not sea water)@|@wai@
@listen@|@ho`olohe@
@little@|@iki, na`ina`i@
@live@|@noho, noho, ola@
@live (inhabit)@|@noho@
@live (to be alive)@|@ola@
@liver@|@ake@
@living room@|@lumiho`okipa@
@lizard@|@mo`o@
@loaf (bread)@|@palaoa@
@local Chinese pork cake@|@manapua@
@Local food@|@grinds (grindz)@
@long@|@lo`ihi, loa, loa@
@Long@|@loloa@
@Long house@|@halau@
@long house (as for canoes or hula instruction)@|@halau@
@long piece of wood on side of outrigger canoe@|@ama@
@look@|@nânâ@
@look for; turn a corner@|@huli@
@Look out!@|@Lukau!@
@loose@|@hemo, hemo@
@louse@|@'uku@
@love@|@Aloha@
@love affair@|@pili ho`oipoipo@
@Love of the land@|@aloha 'aina@
@love of the land; nurture and care for the land@|@aloha `aina@
@loved@|@milimili@
@lovely@|@u`i@
@lover@|@ipo@
@loyalty@|@malama@
@lucky@|@laki@
@luggage@|@ukana@
@Lunch@|@`aina awakea@
@lung@|@akemama@
@ma@|@laila@
@machine@|@mâkini@
@mackerel@|@aku@
@mad@|@pûpule@
@mad at@|@huhû, huhü@
@magazine@|@puke heluhelu@
@mail carrier@|@laweleka@
@maile-scented fern@|@laua`e@
@majority@|@hapa nui, hapanui@
@make@|@hana@
@make a sound@|@kani, kani@
@make clean@|@ho`oma`ema`e@
@malamalama o ka mahina@|@moonlight@
@male@|@kane, kane@
@male flower of the hala@|@hïnano@
@man@|@kanaka, kanaka, kane, kâne@
@mango@|@manako, manakô@
@mango tree@|@kumu manakö, kumumanakô@
@manual@|@kumu@
@Map@|@palapala `áina@
@March@|@malaki@
@March (month)@|@malaki@
@marigold@|@'okole-`oi`oi@
@Marijuana@|@pakalölö@
@marker@|@mâkâ@
@market@|@mâkeke@
@marvelous!@|@Kamaha`o!@
@masculine@|@kane@
@massage@|@lomilomi@
@massage (Hawai'ian style)@|@lomilomi@
@mat@|@moena@
@match@|@küaepele, kûkaepele@
@mature@|@`o`o, makua@
@May@|@mei@
@May (month)@|@mei@
@maybe@|@paha@
@Maybe@|@Pela paha@
@me@|@a`u, ia`u@
@meal@|@`aina, `aina, pâ`ina@
@mean@|@makona, mana`o, waena, waena@
@meaning@|@mana`o@
@meantime@|@ia wa no@
@measles@|@`ulali`i@
@measure@|@ana@
@meat@|@`i`o [holoholona]@
@Meat@|@`i`o@
@meat bundled in leaves@|@laulau@
@medal@|@mekala@
@medical@|@kauka@
@Medicine@|@lä'au lapa'au@
@meeting house@|@halau@
@mention@|@`olelo@
@mercy@|@aloha@
@Merry Christmas!@|@Mele Kalikimaka!@
@Microsorium solopendria (lauae fern)@|@laua`e@
@midday@|@awakea@
@middle@|@waena@
@mighty@|@ikaika loa@
@mile@|@mile@
@military@|@pû`alikoa@
@milk@|@waiû@
@mine@|@maine@
@minimum@|@hapa u`uku loa@
@minute@|@minuke@
@mirror@|@aniani@
@mischievous@|@kolohe@
@mist@|@noe@
@mistreat@|@hana `ino, hana`ino@
@mix@|@ho`owali@
@mommy@|@mâmâ@
@Monday@|@po`akahi, pó`akahi@
@money@|@kälä, kälä, moni@
@monkey@|@keko@
@Month@|@mahina@
@moon@|@mahina, mahina, mahina, malama, malama@
@more@|@koe, koe@
@morning@|@kakahiaka@
@mosquito@|@makika@
@mother@|@makuahine, mämä@
@Mother@|@Makuahine@
@mother-in-law@|@makauhunowai wahine@
@Mother's Day@|@la o na makuahine@
@motive@|@kumu@
@mountain@|@kuahiwi, kuahiwi, mauna@
@Mountain@|@mauna@
@mouse@|@'iole@
@mouth@|@waha, waha@
@move along by the side@|@peki@
@movie@|@ki`i`oni`oni@
@movie theatre@|@hale ki`i`oni`oni, haleki`i`oni`oni@
@Museum@|@hale há`ike`ike@
@music@|@pila ho'okani@
@music (instrumental)@|@pila ho`okani@
@musician (composer)@|@haku mele@
@musician (player)@|@mea ho`okani pila@
@musician (singer)@|@mea himeni@
@my@|@ka`u, ko`u, ku`u@
@my (possessed object@|@ko`u, o`u@
@my (singular possessed object)@|@ka`u, ku`u@
@My fresh water spring@|@Ku`u pûnâwai@
@My little fish@|@Ku`u wahi i`a@
@My name is (insert name)@|@O (insert name) ko'u inoa@
@My name is...@|@`O__ko`u inoa@
@mynah bird@|@piha=`ekelo@
@myself@|@`o wau iho no, `o wau no, `o wau pono`i@
@mystery@|@pohihihi@
@myth@|@mo`olelo@
@nail@|@kui, kui@
@name@|@inoa, inoa@
@napkin@|@kâwele, käwele@
@narrow@|@lä'iki@
@nation@|@lahui, lâhui@
@Native yellow hibiscus@|@ma'o hau hele@
@native-born@|@kama`aina, kama'aina@
@near@|@kokoke@
@Near@|@kokoke@
@neck@|@'ä'ï@
@Necklace@|@lei@
@necklace (flower@|@lei@
@need@|@pono@
@needle@|@kui@
@negate@|@hô`ole, hö`ole@
@neighbor@|@hoa noho@
@Nematoda (parasitic invertebra@|@nematoda@
@nest@|@pûnana@
@net fishing@|@`upena@
@new@|@hou@
@newcomer@|@malihini@
@newcomer (one unfamiliar with a place or custom)@|@malihini@
@newspaper@|@nûpepa@
@nice@|@`ono, Maika`i@
@night@|@pô@
@nine@|@`eiwa, `eiwa, iwa@
@nine hundred@|@`eiwa haneli@
@nineteen@|@`umi-kúmá-iwa@
@ninety@|@kana-iwa, kanaiwa@
@ninety (90)@|@kanaiwa@
@nipple@|@maka waiu@
@no@|@`a`ale, `a`ohe, `a`ohe, `a`ole, 'ole@
@No@|@'A'ole@
@no problem@|@`a`ola pilikia@
@no trouble@|@`a`ola pilikia@
@No vacancies@|@`A`ole lumi haka@
@noble@|@ali`i@
@nobody@|@`a`ohe kanaka, `a`ohe mea@
@noise@|@hana kuli, kulikuli@
@nominate@|@koho@
@none@|@`a`ohe@
@nonsense@|@`ano `ole, kohu `ole@
@noon@|@awakea@
@noontime@|@awakea, awakea@
@normal@|@kulike me ke `ano mau@
@North America@|@`Amelika-`Akau@
@nose@|@ihu, ihu@
@nose flute@|@koheoheno@
@not feeling well@|@`ôma`ima`i@
@Not well@|@Maika`i `ole@
@nothing@|@`a`ohe mea@
@nothingness@|@`ole@
@novel@|@hou@
@November@|@nowemapa, nowemapa@
@numb@|@lolo, ma`e`ele@
@number@|@helu, hua helu@
@number eight@|@`ewalu@
@number eleven@|@`umikûmâkahi@
@number five@|@`elima@
@number four@|@`ehâ@
@number nine@|@`eiwa@
@number ninety@|@kanaiwa@
@number one@|@`ekahi@
@number seven@|@`ehiku@
@number six@|@`eono@
@number ten@|@`umi@
@number thirty@|@kanakolu@
@number three@|@`ekolu@
@number two@|@`elua@
@nut@|@kukui-haole@
@nuts@|@pûpule@
@nutty@|@`a`ala, onaona@
@O'ahu native tree snail@|@püoü kani oe@
@Obedience@|@KaWiwo@
@observe@|@nânâ@
@ocean@|@moana@
@Ocean@|@moana@
@October@|@`okakopa, `okakopa@
@of@|@a, a, o@
@of foreign origin@|@malihini@
@offload@|@ho`oili@
@Oh no!@|@Hah!@
@oh!@|@auë@
@oil@|@'aila@
@okay@|@Maika`i@
@old@|@kahiki, kahiko, kahiko, kahiko, o'o@
@old man@|@`elemakule@
@old woman@|@luahine@
@older@|@makua@
@older sibling of same sex@|@kaikaina, kaikua`ana@
@olive@|@'oliwa@
@on@|@i, i@
@on the seaside@|@makai@
@On the seaside@|@makai@
@one@|@`ekahi, `ekahi, haki, ho`okahi@
@one (amount)@|@ho`okahi@
@one [of the]@|@kekahi@
@one amount@|@ho`okahi@
@one born in a place@|@kama`aina@
@one hundred@|@hanele, haneli, ho`okahi haneli@
@one million@|@miliona@
@one of the@|@kekahi@
@one thousand@|@kaukani@
@One ticket to...please@|@E `olu`olu, ho`okahi kikiki i...@
@onion@|@`aka`akai@
@only@|@wale nô@
@open@|@hämama, wehe@
@Open@|@hámama@
@open flower@|@môhala@
@Openly discussing problems@|@Ka Ho`oponopono@
@or@|@ai'ole@
@or feather)@|@lei@
@oral@|@`olelo@
@orange@|@`alani@
@Orange@|@`Âlani@
@orange (fruit or tree)@|@`alani@
@orchid@|@`okika@
@order@|@kauoha, kauoha@
@organization@|@hui, hui@
@origin@|@kumu@
@other@|@kekähi@
@out@|@pio@
@Out!@|@`Auka!@
@outrigger float@|@ama@
@outrigger of the canoe@|@`iako@
@outrigger part joining the "ama" to canoe body@|@`iako@
@outside@|@waho@
@outside of@|@waho@
@owl@|@pueo, ululä@
@ox@|@pipi kauö@
@pace@|@peki@
@package@|@pû`olo@
@paddle@|@hoe, hoe@
@page@|@'ao'ao@
@pain@|@'eha@
@painful@|@ma'i@
@pair@|@pa`a@
@pale@|@kea@
@palm@|@pâma@
@pancake@|@palaoa palai@
@Pandanus leaf@|@lau hala@
@papaya@|@he`i, mikana, papaia, papaia@
@paper@|@pepa, pepa@
@paralysis@|@[ma`i] lolo@
@pardon@|@e kala mai ia`u@
@Parent@|@makua@
@parent (any relative of parent's generation)@|@makua@
@park@|@pâka@
@park (recreation area)@|@paka@
@Parking@|@páka@
@part@|@mâhele@
@pass; flower of the hala@|@hala@
@passed by@|@hala, hala@
@Passport@|@palapala ho`ápono@
@pate@|@po`o@
@path@|@ala@
@pathway@|@alahele, alahele@
@Patience@|@Ka Ho`omanawanui@
@pay@|@uku, uku@
@pea@|@pï@
@peace@|@la`i, la`i, maluhia@
@peach@|@piki@
@peacock@|@pîkake@
@pear@|@pea@
@pearl shell@|@pa, uhi kea@
@pebbles@|@`ili`ili@
@Pele's hair@|@lauoho o pele@
@pen@|@pa, peni@
@pen (stylus)@|@peni kila@
@penalty@|@uku ho`opa`i@
@pencil@|@penikaka, penikala@
@penetrate@|@komo@
@penis@|@ule@
@penknife@|@pahi pelu@
@penny@|@keneka@
@people@|@lahui, po`e@
@people); hänai child@|@hänai@
@pepper@|@nïoi@
@Pepper@|@pepa@
@perhaps@|@[pela] paha, malia [paha]@
@permanent@|@mau@
@person@|@kanaka@
@personal god who assumes forms@|@'aumakua@
@petroglyph@|@ki`i pohaku@
@petunia@|@pekunia@
@Pharmacy@|@hale kú`ai lá`au@
@phrase used after a noun@|@no ka 'oi@
@piano@|@piano@
@pick@|@`opihi, kipikua, kipikua, lälau@
@pick off a plant@|@`ako@
@Pickled plum@|@ume@
@picnic@|@pikiniki@
@picture@|@ki`i@
@pie@|@pai@
@piece@|@`âpana@
@pig@|@pua`a@
@pigeon@|@nünü@
