@English@|@Greenlandic@
@goes reindeer-hunting@|@ikorpoq@
@goes round its extreme headland goes to the west of it@|@karraqquppaa (kangi)@
@goes salmon fishing@|@aqalliarpoq@
@goes sideways@|@sanimorsorpoq@
@goes smoothly@|@perrappoq@
@goes to a meeting@|@katisimajartorpoq@
@goes to church@|@naalagiarpoq@
@goes to fetch stones@|@ujaqqiarpoq@
@goes to him or it@|@ornippaa@
@goes to leave a message@|@oqariartorpoq@
@goes to meet him@|@paariartorpaa, paarsiartorpaa@
@goes to someone@|@orniguppoq@
@goes to the east of it@|@kangeqquppaa, pavuunaqquppaa@
@goes to the Lord's table@|@sakramantiliarpoq@
@goes to the side@|@sanimoorpoq, sanimukarpoq@
@goes to the west of it@|@kanuunaqquppoq@
@goes to the woods@|@orpiliarpoq@
@goes to trial@|@eqqartuutippoq@
@goes to windward of it@|@assoqquppaa@
@goes too far@|@kakappoq, kajungerpoq@
@goes towards the east@|@kangimukarpoq, pavunnarpoq@
@goes up and down in the water at short intervals@|@qapittaarpoq@
@goes upwards@|@majoriaq, majoqqaq, majorteqivoq, maassak, majuarpoq, maannak@
@goes with someone as a kayaker@|@qajariaavoq@
@golden plover@|@kajuaraq, kajoruveq, kassuit@
@good afternoon@|@innugujaq@
@good deed@|@ajunngitsuliaq@
@good evening@|@innugujaq@
@good luck@|@iluatitsilluarina, illuatitslluarisi@
@good morning@|@interluarit, kumoorn, kumoom, kumoorn@
@good night@|@kunaat, sinilluarit (sg), sinilluaritsi (pl)@
@good thing@|@ajunngitsuut@
@goodbye@|@ajunnginniarna, inuulluarina (long parting), ajuungikkina, takuus@
@goodness@|@ajunngissuseq@
@gore@|@issoqqat@
@government@|@naalagaassuseq@
@governs it (the realm)@|@naalagaaffigaa@
@grace@|@saammaanneq, saammaassuseq@
@gradually sloping@|@manissuakaaq@
@grain of dust@|@sanerpaa, saniiarpaa, sanik@
@grain side@|@eqarti@
@grammar@|@oqaasilerissutit@
@grammophone@|@oqaluttartoq@
@grandchild@|@ernutaq@
@grape@|@viinnissaq@
@grapes@|@viinnissat@
@grasps it@|@eqisimiarpaa@
@grass@|@ivik@
@grater@|@assaligutit@
@greases it@|@orsuutiterpaa, tanippaa@
@greases it with blubber or fat@|@orsorpaa@
@great boat@|@assartuut@
@great coat@|@kavaajaq@
@great gut@|@orunit@
@great-grandchiId@|@ernutaqqiut@
@great quantity@|@perpassuit@
@Greenland@|@Kalaallit Nunaat@
@Greenland boot@|@kamik@
@Greenland halibut@|@qaleralik@
@Greenland shark@|@eqalussuaq@
@Greenland woman's knife@|@ulu@
@greenlander@|@kalaaleq@
@Greenlander@|@Kalaaleq@
@Greenlandic@|@Kalaallisut@
@grey pea@|@paarnaasaq@
@grey peas@|@eertat qernertut@
@grins@|@illarasaarpoq@
@grins at him or it@|@illaruaatigaa@
@grits which are easily boiled@|@suaasat uujasut@
@groans in constant pain@|@nannannaarpoq@
@groin (of human beings)@|@kaajaaq@
@grooves it@|@ikkuppaa (ikivoq)@
@grooves them in gradually@|@ikkussorpai@
@ground sought by kayaks when sealing@|@qammavik@
@growls (dog or wild animal)@|@uiannisiaarpoq@
@growls in anger@|@oqaluavoq@
@grows skin@|@qalipperpoq@
@grows wine@|@viinnequtilerivoq@
@guard@|@paagutaq@
@guard to protect the trigger of a gun@|@kaligiikkut@
@guarded@|@paarsaq@
@guardian@|@paarsisoq@
@guesses@|@eqqoriniarpoq@
@guesses it@|@eqqoriarniaannarpaa@
@guide@|@malittarisassaq@
@guitar@|@assassoriaq@
@gullet@|@iggiaq@
@gum@|@ikkik@
@gunners@|@sakkutuut qamutillit@
@gutskin jacket@|@kapiseq@
@gymnasium@|@eqaarsaarfik@
@gymnastics@|@eqaarsaarneq@
@had diffeculty in seeing@|@tappiilliorpoq@
@haIf-boot@|@kamisaq@
@hair@|@meqqoq@
@hair follicles@|@meqqerfik@
@hair in the armpit@|@ornilisit@
@hairy@|@meqqulik@
@hairy mantle@|@qallersaat meqqulik@
@half@|@affaq, affaq (avippoq)@
@half-sleeve@|@aaraq@
@half-sleeves@|@aaqat@
@half of it@|@affaa@
@hall@|@paarleq@
@hallo!@|@iaa, iaa, ii-aa@
@ham@|@uppat@
@hammer@|@kaataq@
@hammers@|@kasuussarpoq@
@hammers on it@|@kaappaa, kaattorpaa@
@hamster@|@eqertooq@
@hand@|@assa, assak@
@hand writing@|@allaat@
@handful@|@eqisimissat, eqisimiannguit@
@hands@|@assaat@
@hanging@|@saagoq (sak)@
@hang-nails@|@mallattorneq@
@hangs his head@|@nakalatsivoq, nakangavoq@
@hangs together with something@|@katinngavoq@
@hankers after it@|@orullugaa@
@happened to do something against@|@piaarinaatsoorpoq@
@happens rarely@|@qaqutigoorpoq@
@happens simultaneously with it@|@nalerarpaa@
@happens to jostle him or it.@|@pakappaa, pakamippaa, pakammippaa@
@happens to jostle it@|@pakasarpaa, pakasappaa@
@Harbour@|@Umiarsualivik@
@hard@|@mattuvooq@
@hard snow@|@manngeqqak, manngikaajaaq@
@hardens him@|@manngertippaa@
@hare@|@ukaleq@
@harpoon knob@|@assagiikkut@
@harpoon shaft@|@ernannak, ernannaq@
@harrow@|@nalimmatserut@
@harrows it@|@nalimmatserpaa@
@harvest season@|@katersuiffik@
@has "pins and needles" in a limb@|@kakillalaarpoq, kakillaaluppoq, kapukaluppoq@
@has a bad chest@|@sakialluppoq@
@has a bad hand or finger@|@assalluppoq@
@has a bad pronunciation@|@oqallorluppoq@
@has a bad taste@|@mamaappoq@
@has a bad voice@|@erinarluppoq@
@has a beautiful or good hand@|@assagippoq@
@has a beautiful surface@|@qaagippoq@
@has a beautiful writing@|@allaqqissaarneq@
@has a broad handle@|@ernertuvoq@
@has a cavity under it@|@qangatavoq@
@has a common origin with him@|@naggueqatigaa@
@has a crooked mouth@|@equngasumik qanilik@
@has a difficult delivery@|@nakiatitsivoq@
@has a discharge of semen in the night@|@mammivoq@
@has a fine covering of hair@|@meqqorippoq@
@has a good brain@|@ukulluippoq@
@has a good chest@|@sakiagippoq@
@has a good voice@|@erinagippoq@
@has a good winter@|@ukiorippoq@
@has a handsome appearance@|@takuminarpoq@
@has a high forehead@|@qaaqqortuvoq@
@has a huge appetite for it@|@illigutsaappaa@
@has a large circumference@|@taanertuvoq@
@has a large mouth or opening@|@paatuvoq@
@has a low forehead@|@qaakippoq@
@has a mind to more of the same thing@|@ukivoq@
@has a narrow escape from it@|@peqqarpoq @
@has a pain in his chest@|@sakissamigut ippigisaqarpoq, sakisseraaq, sakisserivoq@
@has a pain in his chest.@|@sakisseraaq, sakisserivoq@
@has a pain in his heart-pit@|@ukutsera ajorpoq@
@has a pain in his side@|@sanerarluppoq@
@has a pain in his sinews@|@ujalerivoq, ujallerivoq@
@has a pain in his wrist@|@paffilluppoq, qaleranngutitsivoq, qalerannguvoq@
@has a pain in the marrow@|@patinnguvoq@
@has a relapse@|@nannippoq@
@has a side wind@|@saneqqiarpoq@
@has a small circumference@|@taanikippoq@
@has a small mouth@|@paakippoq@
@has a sore mouth@|@qanerluppoq@
@has a swelling in his arm@|@talerpoq@
@has a thin covering of hair or feathers@|@meqqorluppoq@
@has a ticklish sensation in it eye@|@ikkaraa@
@has a wound in his side@|@saneqqamigut ikeqarpoq@
@has accomplished@|@naammassivaa@
@has accomplished something in his stead@|@naammassissuppaa@
@has acquires good weapons@|@sakkugippoq, sakkugissaarpoq@
@has an appetite for it@|@illigaa@
@has an ugly surface@|@qaaluppoq@
@has appropriated@|@qapasagaraa@
@has awakened@|@eqeerpoq@
@has become@|@kiatsippoq@
@has become agree-able to one@|@saammaavarnarsivoq@
@has become blind@|@tappingerpoq@
@has become heavier@|@oqimaallivoq@
@has become lighter@|@oqilivoq, oqillivoq@
@has become longer@|@tallivoq@
@has become muddy@|@marallunngorpoq@
@has become quite smooth@|@manerissivoq@
@has become shorter@|@naalivoq@
@has become sufficient@|@naammatsippoq@
@has become sure of aim@|@nakertippoq, nakersivoq@
@has become thinner@|@salivoq@
@has become well@|@peqqissivoq@
@has become white@|@qaqorsivoq@
@has been carried out to sea with the ice@|@uisaavoq@
@has been carried up@|@majuuppoq@
@has been freed from sin@|@ajortaaruppoq@
@has been informed of something through it@|@nalujunnaarutigaa@
@has been left behind@|@katagaavoq, katataavoq@
@has been thrown away@|@igippoq@
@has been turned upside down@|@ulikattarpoq@
@has boiled it@|@qalappaa@
@has borne a son to her husband@|@uini ernertaarfigaa@
@has broken his sewing needle@|@meqqutaajarpoq@
@has burst his trousers in the crutch@|@nalikkaajarpoq@
@has cause@|@patsiseqarpoq@
@has ceased growing@|@piarittorpoq@
@has closed for him@|@massuppaa@
@has come close to him or it@|@qanillivaa@
@has come closer@|@qanillivoq, qallivoq@
@has crept up on to ice or the shore@|@qassimavoq@
@has difficulty in being delivered@|@ernitsorluppoq@
@has difficulty in bending@|@eqarpoq@
@has difficulty in carrying@|@maqqerluppoq@
@has difficulty in doing@|@eqaraa@
@has difficulty in making water@|@nakiavoq, nakiatitsivoq, nakimatitsivoq@
@has diminished it@|@millivaa@
@has dried it.@|@panerpaa@
@has dropped it@|@katappaa@
@has eructations@|@kiattuliorpoq@
@has fished sea scorpion@|@kanajorpoq, kaniorpoq@
@has found shelter@|@oqqiorpoq, oqqiuppoq@
@has given birth to@|@ernivoq@
@has given it as a pledge@|@sallunaveerutigaa@
@has gone there@|@ikunnarpoq@
@has got a daughter@|@panissaarpoq@
@has got a morsel@|@tamoraasaarpoq, tamorasisarpoq@
@has got a new necklace@|@ujamissaarpoq@
@has got his Iood to boil@|@qalappoq@
@has got into the habit of telling falsehoods@|@salluttorpoq@
@has got it@|@pigilerpaa@
@has got the scent of him or it@|@naamavaa@
@has got the scent of something@|@naamasaqarpoq@
@has got two@|@marloraapoq@
@has got weapons@|@sakkunipoq, sakkutaarpoq@
@has Greenlandic manners@|@kalassivoq@
@has grown a little@|@alliallappoq@
@has had a vision@|@takunnippoq@
@has had his kayak damaged@|@qajaajarpoq@
@has had his sight impaired@|@tappiillivoq@
@has had it made heavier@|@oqimaallivaa@
@has had it made longer@|@tallivaa@
@has had it made lower@|@naqillivoq@
@has hanging ears (a dog)@|@palungavoq@
@has her to sew for him@|@mersortigaa@
@has her to take care of his boots@|@kammerisigaa@
@has him against him@|@assuarlersigaa@
@has him as a clergyman@|@palasigaa@
@has him as a friend@|@ikinngutigaa@
@has him as a helper@|@ikiortigaa@
@has him as a mail carrier@|@paartigaa@
@has him as a master@|@naalagaraa@
@has him as a neighbour@|@sanileraa@
@has him as a protector@|@illersortigaa, ilissorpaa@
@has him as a spokesman@|@oqalutsigaa@
@has him as his all@|@tamarsuaraa@
@has him as his fol-lower@|@malitsigaa@
@has him as his God@|@Guutigaa@
@has him as his guardian@|@paarsisigaa@
@has him or it too close to him@|@qanigaa@
@has him sentenced@|@eqqartuutippaa@
@has him to carry his burden for him@|@Nammatsigaa@
@has him with him@|@ilagaa@
@has his eyes open@|@uisavoq@
@has his eyes slightly open@|@uisaqqarpoq@
@has his hands in his pocket@|@kaasimaarpoq@
@has his want supplied by it@|@naammaqutigaa, naammaatigaa@
@has hurt the shoulder@|@kiallersimavoq@
@has it as a cover over himself@|@uligaa@
@has it as a mark of identification@|@nalunaaqqutigaa, nalunaaqqutaraa@
@has it as a mate@|@illugaa@
@has it as his own@|@nammineraa@
@has it at his side@|@sanerarmioraa@
@has it in hand@|@assassorpaa@
@has it in his pocket@|@kaasarfimmiugaa@
@has it left over from yesterday@|@aqagutaaraa@
@has it to the east of him@|@kangileraa@
@has its equal@|@naleqarpoq@
@has killed a bear@|@nannuppoq@
@has killed the seal@|@maleritaraa@
@has lost his sewing needle@|@meqqutaarserpoq@
@has lost it@|@tammarpaa@
@has lost its hair@|@meqqueruppoq, meqquippoq@
@has lost sight of it@|@tammaavaa@
@has lost the grain@|@eqartaaruppoq, eqartangerpoq@
@has lost the inclination@|@kajumiillivoq, kajumissivoq@
@has lost the sinker@|@ujaraarserpoq@
@has made it lighter@|@oqilivaa, oqillivaa@
@has no more to say@|@oqaasissaaruppoq@
@has no peace@|@eqqissivissaqanngilaq@
@has no sinew thread@|@ujaluuteqanngilaq@
@has no strength@|@nakuippoq, ujaloqanngilaq@
@has no strength for his work@|@sajavoq@
@has no time for it@|@ulapigaa@
@has observed@|@malussarpoq@
@has only one eye@|@illuinnarmik, illuinnaanik, iseqarpoq@
@has palpitation of the heart@|@ukutsia kassuppoq@
@has passed@|@qaangiuppoq@
@has peace@|@eqqippoq (ippoq), eqqissivoq@
@has peace and calm within himself@|@katsorpoq@
@has peace through him or it@|@eqqississutigaa@
@has peace with him@|@eqqisiveqatigaa@
@has peace with or through@|@eqqissivigaa@
@has perished in a kayak@|@qajaavoq@
@has pity for him@|@naakkigaa, naakkaa@
@has prepared@|@piareerpaa@
@has recovered@|@ajorunnaarpoq@
@has recovered from his illness@|@nappaanni qaangiussivaa@
@has risen more than once@|@makittarpoq@
@has seen him or it@|@takuaa@
@has snared it@|@naperpaa, napitippaa@
@has someone with him@|@aappisarpoq@
@has something@|@peqarpoq@
@has something left over from yesterday@|@aqagutaarpoq, aqagumisaarpoq@
@has something to the east of him@|@kangileqarpoq@
@has sore gums@|@ikkilluppoq@
@has stitch@|@kaportitsivoq@
@has swollen testicles@|@issuppoq@
@has the whole of his attention directed towards him or it@|@nakkutigaa@
@has the wind a little against him@|@assoralivoq@
@has the wind against him@|@assumukarpoq, assumoorpoq@
@has time to set about it@|@ornigaa@
@has to do with his mouth@|@qannerivoq@
@has travelling provisions@|@taquarpoq@
@has trouble about it@|@erloqqutigaa@
@has visions@|@sanaroorpoq@
@has weak sight@|@tappiippoq@
@has weapons or tools with him@|@sakkulisarpoq@
@has wet sleeves@|@aarluppoq@
@have a good jorney@|@angalalluarina@
@have a nice day@|@aluu!, ulloq naalluanrniariuk!@
@have you anything to say@|@oqaasissaqarpit@
@have you not seen my one boot?@|@kamimma illua takunngiliuk@
@have you the ne-cessary tools for it?@|@sakkussaqartippiuk@
@having the gills fixed@|@masiluttoq@
@he@|@una@
@he broke it on purpose@|@piaaralugu aserorpaa@
@he came home and had got many ptarmigans@|@aqissit ussallugit tikippoq@
@he came in at once@|@ernerluni iserpoq@
@he cannot even rise a little@|@massiiminerluunniit ajorpoq@
@he cannot get up with his kayak@|@makittaqanngilaq@
@he carries a large knife at his side@|@savissuaq sanerarmioraa@
@he carries infection@|@aatsuivoq@
@he could not get me a knife@|@savimmik ajuuppaanga@
@he could not get payment for the knife@|@savik ajuuppaa akissaanik@
@he covered his face@|@kiinni ulippaa@
@he does not like the food@|@nerisassani ersangatigai@
@he dropped something@|@nakkartoorpoq@
@he entirely@|@tamarmi@
@he fills a seal belly with blood@|@aammik aqajaqqivoq@
@He gave them all they needed@|@tamaasa tunisarpai ajorsaatigisaannik@
@he has "pins and needles" in his leg or arm@|@kakillalaartitsivoq, kakillaalutsitivoq@
@he has given us meat to-day@|@ullumi neqimik pajuppaatigut@
@he has nothing to make it of@|@sanaassaqanngilaq@
@he has reached his elder brother@|@angajuni nallerpaa@
@he has subjected everything to him@|@suut tamaasa tassumunnga naalatsigitippai@
@he has two@|@marlunnik peqarpoq@
@he in the east@|@panna, passuma@
@he in there@|@qanna, qassuma@
@he is able to read it@|@atuarneq ajunngilaa@
@he is agreeable to one@|@saammaavarpoq@
@he is always seen mumbling@|@tamuluttunnguaq-una@
@he is angry that he did not hit the saddleback properly@|@aataaq ugguaraa killinnginnamiuk@
@he is eating@|@nerivoq@
@he is getting thinner and thinner@|@sanigoriartuinnarpoq@
@he is my all in all@|@tamarsuaraara@
@he is my cousin@|@illoraara@
@he is not at home@|@illumini peqanngilaq@
@he is not pleasant to approach@|@talornarpoq@
@he is old and frail@|@utoqqaallunilu qajannarpoq@
@he is open in all his dealings@|@ileqqua tamarmi ersippoq@
@he is our friend@|@ikinngutigaarput@
@he is rarely to be seen@|@qaqutigoorluni takkuttarpoq@
@he is rather stupid@|@qaratsi pujoriinnarpaa@
@he is still angry with me@|@kamaataraanga massa annoraamik tunillarinni@
@he is stirred up@|@katsungaarsorpoq@
@he is wavering@|@isumaa oqippoq@
@he is wet through and through@|@panernitannguaqanngilaq@
@he let me continue his work@|@sulian uannut nangitippaa@
@he loves her@|@asavaa@
@he loves me@|@asavaanga@
@he loves them@|@asavai@
@he loves us@|@asavaatigut@
@he loves you@|@asavaatit@
@he loves you (pl)@|@asavaasi@
@he moved here together with us@|@ilagaluta maanga nuuppoq@
@he never gets angry@|@kamanneq ajorpoq@
@he or it is not there@|@naami, naamik @
@he or it is to be believed@|@uppernarpoq@
@he or that which has his (its) place@|@katalleq@
@he presses out the sides of the umiak@|@umiaq ajaamivaa@
@he repeated what he had said@|@oqaatsini oqaasereqqippai@
@he said he had had a vision@|@takorluugaqarluni oqarpoq@
@he shoots at it@|@issuttaqattaarpaa@
@he strikes on his kayak in order to be heard@|@qaanni assattorpaa@
@he treated him well@|@ajunngitsumik pivaa@
@he treats him badly@|@ajortumik pivaa@
@he turns the hay@|@iviit assallatserpai@
@he visited us for the last time@|@naggataarluni tikeraarpaatigut@
@he was delayed on account of his illness@|@nappaatini nakkaatigaa@
@he was unlucky once more@|@nangitippoq@
@he went away in front of me@|@saannit aallarpoq@
@he went in at once@|@katsorani iserpoq@
@he wrinkles his face@|@kiinni eqippaa@
@head of pin or nail@|@kakak@
@headland@|@kangeq@
@heals (the wound)@|@mamiasarpaa, mamisarpaa@
@heals him@|@katsorsarpaa, peqqissarpaa@
@heals it@|@massarpaa @
@heals quickly@|@massippoq, masseriarpoq@
@heap measure@|@qammiut, qanniut@
@heaps the measure@|@qammippaa (qaa), qannippaa@
@heart-pit@|@ukutseq@
@heat@|@kianneq, kiassuseq@
@heathen@|@Guutimik nalusoq@
@heather@|@musaasat@
@heats@|@kiaqutaavoq@
@heats it@|@kiatsippaa@
@heaves@|@qaffarpaa@
@heaves to@|@paartitsipput@
@heaviness@|@nanertuut@
@heliport@|@heliportmittarfik@
@hello@|@aluu, inuugujoq, kutaa, haluu@
@help!@|@eeeeee, ikiunnga!, ikiortissannik!@
@helper@|@ikiorti@
@helps him@|@ikiorpaa@
@helps him into his boots@|@kamittorpaa@
@hemp@|@allunaassiassat@
@hemptow@|@allunaassiornikut@
@her deceased father-in-law@|@sakigigalua@
@her father-in-law@|@sakia@
@her first- born@|@pernaataa@
@her sister-in-law@|@ukuaqataa@
@here@|@aa, maani@
@here goes!@|@iaa, iaa, ii-aa@
@here I feel a stitch@|@ugguuna kaportarpunga@
@here is what was lacking in the payment@|@tassa akiata naammaqutissaa@
@here it is@|@tamassa (manna)@
@here it is!@|@aajuna, aamanna@
@heretic@|@kattari@
@herring@|@kapisilik@
@hesitates@|@ittoorpoq@
@Hie@|@aa@
@high priest@|@palasiuneq@
@high promontory@|@karra@
@high water@|@uli@
@high water is approaching@|@ulimoorpoq (uli)@
@high water mark@|@ulinnerata killinga@
@highly situated@|@qattuvoq@
@hill@|@majuariaq, majorajaaq, qaqqannguaq, qattuneq@
@hill with a sharp drop@|@nakkariaq@
@him entirely@|@tamat@
@him or it one believes@|@upperisaq@
@hind part of a bird or bladder dart@|@qaquaq (qaqu)@
@hind quarters@|@uppat@
@his (her) wife or husband@|@saniliaa@
@his (her) younger sister@|@najaa@
@his (her) younger sister (refl.)@|@naanni@
@his (killed) reinbuck@|@panniligartaa@
@his (refl.) concubine@|@panerfi@
@his (refl.) daughter-in-law@|@ukussi@
@his ability or authority@|@piginnaanera@
@his anger@|@kamannera@
@his audience@|@naalattaa@
@his bear@|@nannuttaa@
@his behaviour is very offensive@|@ileqqui ippinnaqaat@
@his belief.@|@uppernera@
@his birch@|@patitsisaa@
@his boot@|@kamia, kamma, kamini (refl.), kammi (refl.)@
@his boots@|@kamii, kammi, kamini (refl.),  kammani (refl.)@
@his brother's son or daughter@|@qangia@
@his burden@|@nammagaa@
@his calves@|@nakasunnai@
@his chest@|@sakiai@
@his clothes are in tatters@|@kataappoq@
@his concubine@|@panerfaa@
@his congregation@|@ilagiissai, ilagiissortai@
@his cow@|@ussiutaa@
@his curse@|@perloqqussutaa@
@his daughter@|@pania@
@his daughter-in-law@|@ukuaa@
@his deeds of mercy@|@naakkinninneri@
@his dogs are dangerous@|@qimmii ersinaqaat@
@his eye-brow@|@qallui@
@his eyes are stiff@|@isai soorlu kappussat@
@his eyes become wet@|@qaqersivoq@
@his eyes water@|@marsivoq@
@his follower@|@malittaa@
@his forehead@|@qaava@
@his foster sister@|@najassiaa@
@his glory@|@naalannassusia@
@his government@|@naalagaassusia, naalakkersuinera@
@his gracious mood@|@saammaasusia@
@his gums@|@ikkingi, ikki@
@his hand trembles@|@assai sajupput@
@his house@|@illua@
@his housses@|@illui@
@his invitation@|@qaaqqusivoq, qaaqqusinera, qaasaanera@
@his jaw is out of joint@|@ersaappoq@
@his key@|@matuersaataa@
@his knees@|@saa, saava@
@his leit eye@|@isaa saamilleq@
@his loin@|@makisia, makisaa@
@his manner@|@qanoq-issusia@
@his mercy@|@naakkinninnera@
@his mouth@|@qarna@
@his mouth waters@|@qanerissarpoq@
@his one eye is smaller than the other@|@isaata illua illuminit nimmeruvoq@
@his or its bowels@|@erlavii@
@his or its left side@|@saamiata tungaa@
@his or their refuse heap@|@attakui@
@his own house@|@illuni@
@his pipe bowl@|@aqajaruusaataa@
@his pledge@|@sallunaveerutaa@
@his poem@|@taallai@
@his prison@|@parnaarussaaffia@
@his relative@|@eeqqa@
@his right hand@|@assai talerpilliit@
@his right side@|@talerpiata tungaa@
@his second cousin@|@eeqqatuk@
@his shoulder is out of joint@|@tuia nakkarpoq@
@his side@|@saneraa@
@his sins@|@ajortai@
@his skin is chapped@|@killiavoq@
@his skin peels -off@|@amia katagarpoq@
@his sledge collapses@|@ajalusoorpoq@
@his sleeves@|@ai@
@his stomach@|@aqajarua, naavi, nai@
@his string@|@nuffisaa@
@his successor@|@maleruartaa@
@his teacher@|@ajoqersortaa@
@his teeth chatter@|@alleruut, kakillarnat@
@his travelling companions@|@issimavii@
@his truthfulness@|@sallusuissusia@
@his voice@|@erinaa@
@his voice is changing@|@erinagissiartorpoq@
@his waist-band@|@matertaa@
@his wedding day@|@ulloq katiffia@
@his wife has borne him a son@|@nuliaminit ernertaarpoq@
@his wife's brother@|@sakiatsiaa@
@his wintering place@|@ukiivia@
@his word@|@oqaasia@
@his words@|@oqaasii@
@his words offend me@|@oqaasii ippigisarpakka@
@his work@|@sanaa, sanavaa@
@his wound@|@ikia@
@his wrist@|@paffia@
@hither@|@maanga@
@hits him or it@|@eqqorpaa@
@hits him or it with a sling@|@illuaa, illusarpaa@
@hits it@|@nalaarsorsaarpaa@
@hits it from behind@|@qaqoriarpaa@
@hits it with the lateral point@|@aamippaa@
@hits right and left in anger@|@sakkunnerarpoq@
@hits the mark in ring-and-pin@|@ajappoq@
@hits with a ball@|@ilulissaq eqquuppaa@
@hits with it@|@eqquuppaa@
@hoar frost (on something)@|@qaqornaq, qaqornak@
@holds a festival@|@pillerpoq@
@holds a larewell service@|@naggataarluni naalagiartitsivoq@
@holds a service@|@naalagiartitsivoq@
@holds great festivities@|@persuarsiorpoq@
@holds it in his mouth@|@oqummiarpaa@
@holds on@|@najummappoq@
@holds on to something@|@nanorluarpoq@
@hole (in something)@|@killaq (kilak)@
@hole for lateral point@|@aalerfik@
@hollow@|@qarajallak@
@hollows it@|@najuppaa@
@honour@|@naalannaat@
@hops about on one leg@|@naanngisarpoq@
@hops on it or on to it@|@naanngivaa@
@hops on one leg@|@naanngivoq@
@horn@|@nassuk@
@hospital@|@napparsimaffik, napparsimmavik@
@Hospital@|@Napparsimavik@
@host@|@katersarsuit, katersaarsuit katersarpassuit@
@hotel@|@hoteli@
@hot-tempered@|@kamappoq@
@house@|@illu@
@house-mate@|@illoqat@
@hovers@|@agiorpaa, agiorpoq@
@how are you?@|@qanorippit@
@How are you?@|@qanoq ippit?, Qanorippit?, Ajunngilatit? , Ajunngi?@
@how beautiful it is!@|@qanga taamak pinneqaa@
@how bold or courageous he is!@|@aatsaat sapiitsoq @
@how clever he is Excellent!@|@kassak, aja-kassak@
@how do you say in Greenlandic?@|@qanoq Kalaallisut oqartarpisi?@
@how happy they are!@|@qanga taama-uku pilluaqaat@
@how he -!@|@qanga taamak@
@how is he?@|@qanoq ippa@
@how is the weather?@|@sila qanorippa@
@how it did smoke!@|@qanga pujunnguarsi@
@how it shone!@|@qangali qillinnguarsi@
@how long ago it is!@|@qangaanna, qangaliinna@
@how long it is since I saw him!@|@qangaliinna takussaarakku@
@how long it is since they went away!@|@qangaliiku allartut@
@how much@|@qassit@
@how much is this?@|@qanoq akeqarpat?@
@how nasty!@|@ee, eeq@
@how old are you?@|@qassinik ukioqarpit@
@how prettily it is made!@|@qaqilipaaqineq-aa@
@How strange!@|@ajasuu (S.G.)@
@how stupid you are!@|@ilataqajaasutsit@
@how tired I am!@|@ajaa qasoqaanga@
@how well-off he is!@|@ata peqanguussusia@
@how wet it is here!@|@ila masassuaq@
@how wet the weather is to-day@|@silap ullumi qaalertanassusia@
@how wrongly he aets!@|@qanga taamak kukkutoqaa@
@however is one to set about it?@|@qanortoq-una ilisassaq@
@howls a dog@|@miaggoorpoq@
@howls a dog with pain@|@maarpoq, maalavoq@
@human@|@inuk@
@human being or animal@|@uisaq uinngiarsorpaa@
@humblebee@|@igutsak@
@humbles himself@|@maniguuppoq@
@humbles himself before him@|@manigorpaa (manivaa), maniguuffigaa, qanilaarfigaa@
@humming top@|@kaavitiaaq, kaavititaaq, kaavikiak@
@hummocky ice@|@maniillat@
@hums@|@qaqqisaarpoq@
@hunger@|@kaanneq@
@hunted sea mammal@|@malereq (malik)@
@hunter@|@piniartoq@
@hunter of ptarmigan@|@aqisserniaq@
@hunters@|@piniartup@
@hunters' dance@|@malinguartoq@
@hurries@|@oqilasaarpoq, ujakkaarpoq@
@hurry!@|@qaa qaa@
@hurts himself in the fork@|@qaqutippoq@
@hurts the shoulder@|@kiallerpoq@
@husband or wife@|@sanilequt, saniliaq@
@husbandman@|@viinnequtilerisoq@
@hygiene@|@eqqiluisaarneq@
@I@|@uanga@
@I am afraid to take the Calcon@|@kissaviarsuk tiguneq uloriagaara@
@I am American@|@Amerikarmiuuvunga@
@I am Danish@|@Qallunaajuvunga@
@I am English@|@Tuluuvunga@
@I am from....@|@... minngaanerpunga@
@I am German@|@Tyskiuvunga@
@I am going shopping@|@Pisiniarniarpunga@
@I am Greenlandic@|@Kalaaliuvunga@
@I am no longer able to make head@|@pequtikka ulerutilerpakka@
@I am satisfied with what God ordains for me@|@Guutip atoqqusai naammagaakka@
@I am suffocating with heat@|@kiammik ipilerpunga@
@I am well@|@Ajunngilanga@
@I arrived at the same time as the clergyman left@|@palasip aallarnera nalerarlugu tikippunga@
@I believe in god@|@Guutimut upperpunga@
@I broke off the lateral point@|@aajarpunga@
@I cannot@|@illuttut tigumiaqarama ajornaqaaq@
@I cannot catch the saddlebacks@|@aataat saperpakka@
@I cannot close the door@|@matu matuneq ajorpara@
@I could not say any more@|@uernarnermit  oqassarlerpunga@
@I dare not say anything to him@|@oqarfigineq saperpara@
@I did not hear what he said@|@qanoq oqartoq tusanngilara@
@I do not feel comfortable in my  new boots@|@kamittaakka ippigaakka@
@I do not know the reason@|@patsisaa naluara@
@I do not like it@|@ajoraara@
@i don't know@|@naluara@
@i don't speak Greenlandic@|@kaallisut oqalussinnanngilanga@
@i don't understand@|@paasinngilara@
@I don't understand@|@paasinngilara, paasinngilakkit, paasisinnaannginnakkumii@
@I feel that he loves me@|@malugaara asagaanga@
@I felt a stich in my side@|@ersarunnguvunga@
@I found him on the point of leaving@|@aallalersoq naapippara@
@I got confused about them@|@ulerullugit taanna tigoqigakku@
