@English@|@Cantonese@
@rob(to)@|@cheung gip@
@rock@|@ngaam sek@
@romantic@|@long maan hei sik@
@room@|@fong gaam@
@root@|@gan@
@rope@|@sing sok@
@round@|@yuen@
@run(to)@|@jau@
@sad@|@sèung sàm@
@safe@|@ngòn chuen@
@scared@|@gèng@
@scientist@|@foh hôk gà@
@scissors@|@gäau jín@
@scraves@|@wai gàn@
@sea@|@hói@
@seasons@|@gwäi jït@
@seatbelt@|@ngòn chuen dáai@
@second(place)@|@dâi yî@
@secret@|@bëi mât@
@secretary@|@bëi sùe@
@section@|@fàn dûen@
@see you later@|@chi dì gïn@
@see you tomorrow@|@tìng yât gïn@
@see(to)@|@tái@
@sew(to)@|@fung@
@sex(m/f)@|@sïng bît@
@sexy@|@sïng gám@
@shame@|@cháu@
@shirt@|@sùt sàam@
@shoes@|@haai@
@shop@|@pö táu@
@short@|@dúen@
@show@|@jín sî@
@shower(bath)@|@chùng sàn@
@shower(rain)@|@jâau yÜe@
@signature@|@chìm méng@
@silk@|@sì@
@silver@|@ngan@
@single@|@dàan dûk@
@single bed@|@daan yan chong@
@single(person)@|@dàan sàn@
@sit(to)@|@chõh@
@size@|@cëk mã, chëk mã@
@skirt@|@kwan@
@sky@|@tìng hùng@
@sleepy@|@ngãan fän@
@small@|@säi@
@smell(to)@|@man@
@smells nice@|@hó hèung@
@smile(to)@|@mei sïu@
@smoke(to)@|@sîk yìn@
@soft@|@yûen@
@son@|@jái@
@sorry@|@düi m jüe@
@sounds great !@|@tèng lei géi hó böh !@
@south@|@naam@
@souvenir@|@gëi nïm bán@
@space@|@hùng gàan@
@speak(to)@|@góng wäi@
@special@|@dâk bït@
@speed@|@chùk dô@
@spoon@|@chi gàng@
@spring(season)@|@chùn gwäi@
@stamp@|@yau pïu@
@star@|@sìng@
@stone@|@sêk tau@
@stop@|@ting@
@storm@|@bô fùng yÜe@
@stupid@|@yue chún@
@sugar@|@tong@
@summer@|@hâ gwäi@
@sun@|@yât táu@
@sunblock cream@|@täai yueng yau@
@sunglasses@|@täai yueng ngãan géng@
@sunrise@|@yät chùt@
@sunset@|@yât lôk@
@suqare@|@sëi fòng@
@swamp@|@jíu jâak@
@syringe@|@jàm túng@
@table@|@tói@
@tall@|@gò@
@tampons@|@min tíu wâi sàng gàn@
@taoism@|@dô gäau@
@taoist temple@|@dô gwöon@
@taro@|@wôo táu@
@tasty@|@hó s^k@
@tax@|@süi@
@taxi@|@dìk sí@
@taxi stand@|@dìk sí jâam@
@tea@|@cha@
@tea pot@|@cho wóo@
@tea spoon@|@cha gàng@
@tea with milk@|@nãai cha@
@teacher@|@gäau sì@
@team work@|@tuen dûi gùng jök@
@telegram@|@dîn bö@
@telephone@|@dîn wá@
@telephone booth@|@dîn wá ting, dÏn wá ting@
@telephone card@|@dîn wá kàat@
@telephone number@|@dîn wá hô mã@
@temperature@|@wàn dô@
@temple@|@míu@
@tenant@|@jûe wôo@
@thank you@|@dòh jê@
@the pill@|@hau fuk bei yan yuen@
@theatre@|@kêk yúen@
@thin@|@bôk@
@think(to)@|@séung@
@thirsty@|@háu höt@
@throat@|@hau lung@
@thunder@|@lui@
@ticket office@|@sâu pïu chüe@
@tide@|@chiu jîk@
@tie@|@léng tàai@
@tiger@|@fóo@
@time table@|@si gäan bíu@
@tip(gratuity)@|@tìp sí@
@tired@|@gwôoi@
@tissues@|@jí gàn@
@to admire@|@jaan seung@
@to admit@|@jun yap@
@to advise@|@huen go@
@to argue@|@bin lun@
@to arrive@|@dô@
@to ask@|@man@
@to care (about)@|@gwaan sam@
@to care (for someone)@|@gwaan waai@
@to do@|@jô@
@to enjoy(oneself)@|@hoi sam@
@to order (a meal)@|@dim(choi)@
@to recommend@|@tui jin@
@to remember@|@gei dak@
@toaist temple@|@gùng@
@toast@|@dòh sí lo@
@tobacco@|@yìn sì@
@today@|@gàm yât@
@toilet@|@chï sóh@
@toilet paper@|@chï jí@
@tomato@|@fàan ké@
@tomorrow@|@tìng yât@
@tonight@|@gàm màan@
@toothache@|@nga tung@
@toothbrush@|@nga cháat@
@torch@|@sau dûn tung@
@tourist@|@yau häak@
@toys@|@wôon gûi@
@trademark@|@sèung bìu@
@traffic jam@|@sàk chè@
@traffic signals@|@gàau tùng dàng@
@train@|@fóh chè@
@train station@|@fóh chè jâam@
@train stop@|@dîn chè jâam@
@tram stop@|@dîn chè jâam@
@tramways@|@dîn chè@
@transit@|@juen daap@
@translation@|@fààan yîk@
@travel@|@lÜi hang@
@travel agency@|@lÛi hang sé@
@traveller's cheque@|@jì piu@
@tray@|@poon@
@tree@|@süe@
@triple@|@sàaam põoi@
@tripod@|@sàam geuk gá@
@trousers@|@föo@
@true@|@jàn sât@
@trust@|@sun lâai@
@truth@|@jàn lËi@
@tuesday@|@sìng kei yî@
@turn left@|@juen jóh@
@turn right@|@juen yâu@
@twice@|@lËung chi@
@typhoon@|@gûi fùng@
@tyre@|@chè tàai@
@umbrella@|@jè@
@uncle@|@sùk sùk@
@understand(o)@|@ming bâak@
@underwear@|@nôi yì@
@unemployed@|@sàt yîp@
@unions@|@gùng wooi@
@university@|@dâai hôk@
@up@|@sêung bîn@
@urgent@|@gán gàp@
@useful@|@yãu yûng@
@vacation@|@gä kei@
@vaccination@|@fong y^k jüe sê, fong yûk jüe sê@
@valley@|@sààan gùk@
@valuables@|@gwai jûng mât ban@
@van@|@siu bà@
@vanilla@|@wân nèi na@
@vaseline@|@fà sî ling@
@vegetarian@|@so sîk jé@
@view@|@ging jï@
@village@|@hèung chùen@
@VIP@|@gwai bàn@
@virus@|@beng dûk@
@visa@|@chim jing@
@visit(to)@|@fong mân@
@voice@|@sing yàm@
@wait(to)@|@dang hâu@
@waiter@|@foh gëi@
@we'll see !@|@chi dì sìn@
@what are you doing ?@|@nei jo gan mat ye a ?@
@what's the matter ?@|@mat ye si a ?@
@wrong@|@choh@
@year@|@nin@
@yellow@|@wong sìk@
@yesterday@|@kam yât@
@yoghurt@|@sùen nãai@
@you@|@nËi@
@young@|@hâu sàang@
@younger brother@|@dai dái@
@younger brother(colloquial)@|@säi ló@
@younger sister@|@mooi móoi@
@younger sister(colloquial)@|@säi móoi@
@youth hostel@|@chin nin sùk se@
@zebra crossing@|@bàan mã sin@
@zero@|@ling@
@zipper@|@làai lin@
@zone@|@dêi kùi@
@zoo@|@dûng mât yuen@

