@English@|@Old Nahuatl@
@heron@|@aztatl (ardea herodias)@
@hi@|@hao@
@high@|@aco@
@highway@|@huei ohtli, hueyohtli, ohtli@
@Hispanic@|@caxtiltecatl, caxtitl@
@hispanity@|@caxtilcayotl@
@honey@|@necuhtli, neuctli@
@honey ant@|@necuhazcatl@
@horn@|@cuacuahuitl@
@horned owl@|@tecolotl (buho virginianus)@
@horrible@|@temamauhtic@
@horribles@|@temamauhtique@
@horse@|@cahuayo, cahuayotl@
@hospital@|@cocoxcacalli@
@hot@|@totonqui@
@hot chocolate@|@xocolatzin@
@hot water@|@atotonqui@
@hotel@|@axihuayan@
@house@|@calli, chantli@
@how@|@in quenin, quenin@
@How did it go?@|@¿quenin otimohuicac?@
@How many?@|@quezqui@
@How much?@|@quezqui@
@human@|@tlacatl@
@human body@|@nacayotl, tonacayotl@
@human flesh@|@tlacanacatl@
@human leg@|@icxitl@
@humble person@|@icnotlacatl@
@hummingbird@|@huitzilin@
@hundred@|@macuilpoalli@
@hunger (to)@|@mayana@
@hunt (to)@|@ma@
@hunter@|@amini@
@hurry (to)@|@tlaacaninotlalia@
@hurt (to)@|@tonehua@
@hurt suffer pain (to)@|@cocoa@
@husband@|@namictli@
@hut@|@xacalli@
@I@|@neh-, nehuatl@
@I had seen you@|@onimitzittacca@
@I saw you@|@onimitzittac@
@I’ll see you@|@nimitzittaz@
@ice@|@cetl, itzcatqui@
@ice cream@|@cepayolli@
@ignorant@|@acuayollo@
@iguana@|@cuauhcuetzpalin, ozohuitli (tenosaura iguana)@
@immediately@|@zan niman@
@impetuous person@|@iciuhcatlacatl@
@in a moment@|@aocmo huecauh@
@in Aztec language@|@nahuatlahtoltica@
@in front of someone’s home@|@icalixpan@
@in Nahuatl@|@nahuatlahtoltica@
@in Nahuatl language@|@nahuatlahtoltica@
@in someone’s home@|@ichantzinco@
@in the cave@|@oztoc@
@in the firts place@|@acattopa, achtopa@
@in the mud@|@zoquipan@
@in the wilderness@|@tepepan@
@incite (to)@|@acomana@
@inconsiderate person@|@ilihuiztlacatl@
@India@|@Indiyan@
@Indian (native)@|@macehualli@
@Indian bread@|@tlaxcalli@
@Indian fig@|@nopalli (opuntia ficus indica@
@Indian fig (fruit)@|@nochtli@
@indigent person@|@icnotlacatl@
@ingeneer@|@cuayolloni@
@inhuman@|@acualli, atlacatl@
@inhuman person@|@atlacatl@
@iniquein@|@these@
@iniqueon@|@those@
@initially@|@acattopa@
@inn@|@axihuayan@
@inon@|@that@
@inprudent@|@acanixmauhqui@
@insanity@|@yollotlahuelilocatiliztli@
@insecs@|@yolcatzitzintin@
@insect@|@yolcatzin@
@inside the house@|@itech calli@
@inssufficient@|@acanoyehui@
@insult (to)@|@tlatlacalhuia@
@inteligent@|@cuayollo@
@intia@|@if@
@intoxicated@|@ihuintic@
@intoxication@|@neihuintiliztli@
@invite someone (to)@|@panoltia@
@iris@|@acococo@
@irrigation ditch@|@acalohtli@
@island@|@anepantlalpan, tlalhuac@
@isle@|@anepantlalpan, tlalhuac@
@Israel@|@Israellan@
@Israelian@|@israelnecatl, yodiotlacatl, yudiotl@
@It@|@yeh-, yehuatl@
@it is written that@|@ihcuilotic@
@It’s late@|@yeh tlaca, yetiayohuac@
@It’s necessary@|@inech monequi@
@It’s night@|@yetiayohuac@
@It’s said@|@quilmach@
@It’s said that@|@mihtoa@
@Italian@|@italotl, italtecatl@
@Italy@|@Itallan@
@jaguar@|@ocelotl (panthera onca)@
@jaguars@|@oocelo@
@Japan@|@Xapontlan@
@Japanese@|@xaponecatl, xapotl@
@jetplane@|@acalpatlani, tepozpatlanqui, tepoztototl@
@jewel@|@cozcatl@
@joke (to)@|@camanallahtoa@
@Jordan@|@xordanecatl, xordaniatl@
@Jordania@|@Xordantlan@
@judo@|@xudoliztli@
@juice@|@(to), ayotl@
@jungle@|@aahuatlan, ahuacuauhtlan@
@Jupiter@|@tezcatlipoctli@
@just a little@|@zan tepitzin@
@just a moment@|@aocmo huecauh@
@kayac@|@acalpechtli@
@kernel@|@elotl@
@kettledrum@|@teponaztli@
@kid@|@conetl, conetontli, piltontli@
@kids@|@cocone, piltontin@
@kill (to)@|@mictia@
@king@|@tlahtoani@
@kingdom@|@tlahtocayotl@
@kings@|@tlahtoanimeh@
@kinky hair@|@acopaitztiuhtzontli@
@kiss (to)@|@tennamiqui@
@kitchen@|@tlacualcalli, tlacualchihualoyan@
@knee@|@tlancuaitl@
@knight@|@calpanpilli@
@knock down (to)@|@tlaza@
@know@|@mati@
@know (to)@|@ixmati@
@knowledgeable@|@tocatzahualli@
@Korean@|@coreyanecatl, coreyatl@
@Korean language@|@coreyantlahtolli, coreyatl@
@labor (to)@|@tequipanoa@
@lack (to)@|@acocholoa@
@lackluster@|@aatenqui@
@lacklustre@|@aatenqui@
@lady@|@cihuatlacatzintli, ichpocacihuatl@
@ladybird@|@micazoyolin@
@ladybug@|@micazoyolin@
@lagoon@|@amaitl, amictlan@
@lake@|@atezcatl@
@lamb@|@ichcaconetl@
@land@|@tlalli@
@language@|@tlahtolli@
@lapwing (bird)@|@acitli@
@large earthen vat@|@acomitl@
@larva@|@tlalomitl@
@lastly@|@zatlatzonco@
@Late@|@tleca@
@later@|@niman, quin tepan, zatepan@
@Latin (language)@|@latinatl, latintlahtolli@
@Latino@|@latinatl, latintecatl@
@leading@|@acamapilli@
@leaf@|@xihuitl@
@leave something (to)@|@mocahuilia@
@Lebanese@|@libanoyatecatl, libanoyatl@
@Lebanon@|@Libanoyan@
@leech@|@acuecueyachin@
@left@|@opoch, opochtli@
@leg@|@metztli@
@lemon@|@limoni, xoxocotl@
@lemon tree@|@limoncuahuitl (citrus limonum@
@lenght@|@acaltepiton@
@let sleep (to)@|@cochcahua@
@liar@|@iztlacatini@
@liberate (to)@|@momaquixtilia@
@librery@|@amoxcalli, amoxtlatiloyan@
@lie@|@iztlacatiliztli, iztlacatlatolli@
@light@|@tlahuilli@
@light (no heavy)@|@acocqui@
@light blue@|@xoxouhtic@
@light green@|@quilitic@
@light yellow@|@iztacoztic@
@like@|@in yuh@
@like a spiral@|@ilacatziuhqui@
@like that@|@acantetlanehui@
@like this@|@yuhquin@
@lime@|@limaxocotl@
@lime green@|@tlaxocotic@
@lime tree@|@limacuahuitl (citrus limetta)@
@limpid@|@chipahuac@
@lion (African)@|@molotl (panthera leo)@
@lip@|@tentli@
@liquor store@|@ocnamacoyan@
@little animal@|@yolcatzintli@
@little more@|@oc achi@
@live (to)@|@yoli@
@live at (to)@|@mochantia@
@live. (to)@|@nemi@
@Liverpool@|@Liverpol@
@lizard@|@cuexin@
@loading platform@|@acalco@
@lodging@|@axihuayan@
@log@|@cuahuitl@
@loincloth@|@maxtlatl@
@London@|@Londin@
@look (to)@|@tlachia@
@look for (to)@|@temoa@
@looker@|@aacini@
@lord@|@tecuhtli, tlacatzintli@
@love@|@tlahzotlaliztli@
@love (to)@|@tlatlahzotla, tlazohtla@
@low (to)@|@tlaactica@
@lunar eclipse@|@metztli icualocatl@
@macula@|@acantachini@
@maggot@|@nacaocuilin, nacaocuilli@
@main drain@|@acoyoctli@
@main sewer@|@acoyoctli@
@maize (corn plant)@|@tlayolli (zea mays)@
@maize plantation@|@tlayoltlan@
@maize stalk@|@elozacatl@
@maize straw@|@elozacatl@
@make (to)@|@chihua@
@make bread (to)@|@tlaxcalmana@
@make laugh (to)@|@huetzquitia@
@make new (to)@|@yancuilia@
@make soft (to)@|@yemanilia@
@make someone cry (to)@|@choquiltia@
@make tortillas (to)@|@tlaxcalchihua@
@malacate@|@malacatl@
@male@|@oquichtli@
@malice@|@acuallotl@
@man@|@oquichtli, tlacatl@
@man of the water@|@atlacatl@
@mango@|@manilatzapotl@
@mango squash@|@chayotli (Sechium edule)@
@mansion@|@acocalli@
@mantle@|@netlaquentiliztli@
@many@|@miec@
@map@|@amatohtli@
@map of the world@|@cemanahuactli machioyotl@
@maple tree@|@ahuachichitl (acer rubum)@
@marble@|@achalchihuitl@
@marine blue@|@poxauhtic@
@maritim@|@apancayotl@
@marrow@|@alacatl@
@marry (to)@|@monamictia@
@Mars@|@Chichilhuitztli@
@marten@|@ocotochin, ocotochtli@
@marten skin@|@ocotochehuatl@
@marygold@|@tzompanxochitl@
@mask@|@xayacatl@
@massage (to)@|@momotzoa@
@mass-produce (to)@|@tlaai@
@mast@|@acalcuachpancuahuitl@
@mat cord@|@petlamecatl@
@may you be well@|@ma xipatinemi@
@maybe@|@azo zan, cuix@
@maybe don’t be@|@acazoyemo@
@me@|@ni-@
@meal@|@tlacualli@
@meat@|@nacatl@
@meat tamale@|@nacatamalli@
@medic@|@tepatiani, ticitl@
@medicine@|@patli@
@medium yellow@|@cozauhqui, cozauhtic@
@melon@|@ayotetl (cucumis melo)@
@men@|@oquichtin, tlacah@
@meow@|@tlatzomia@
@merchant@|@pochtecatl@
@Mercury@|@painaltli@
@mermaid@|@acihuamichtli@
@Mexican@|@aztecatl, mexicatl, nahuatl@
@Mexican dog@|@itzcuintli (canis mexicanus)@
@Mexican language@|@mexicatlahtolli, nahuatl, nahuatlahtolli@
@Mexican nightingale@|@centzontli (mimus polyglottos@
@Mexican pink@|@tlatzalehualtic@
@mexicanity@|@mexicayotl@
@Mexicans@|@mexicah@
@Mexico City@|@Altepetl Mexico, Mexico Tenochtitlan@
@migration@|@quizaliztli@
@milk@|@chichihualatl, chichihualayotl@
@milky way@|@citlalcueyitl, ilhuicapopocac@
@mineral@|@oztoyotl@
@mineral water@|@ameyalatl@
@mirror@|@tezcatl@
@mirror of the noblemen@|@tecpiltezcatl@
@mirror of the ruler@|@tlatocatezcatl@
@mirror-head@|@cuatezcatl@
@mirror-stone@|@tezcatl@
@mirrow@|@tezcatl@
@miserable@|@icnotlacatl@
@miserable man@|@icnotlacatl@
@miserable person@|@icnotlacatl@
@misshapen@|@amocualneci@
@model@|@tezcatl@
@monday@|@ceilhuitl@
@monkey@|@ozomatli (ateles geoffroyi)@
@monster@|@atlacatl@
@month@|@metzpohualli, metztli@
@moon@|@metztli@
@more@|@oc achi@
@morning@|@tonalli@
@morning star@|@tonquitl, tonquitli@
@mosquito@|@moyotl (anophes maculipensis)@
@mother@|@nantli@
@mothers@|@nantin@
@motorway@|@hueyi ohtli, hueyohtli, ohtli@
@mountain@|@tepetl@
@mountain cat@|@ocomiztli (felis silvestris)@
@mountain lion@|@miztli (felis concolor)@
@mountain range@|@tepetlan@
@mountainous region@|@acacalocuauhtlan, tepetlan@
@mouse@|@quimichin@
@moustache@|@tentzontli@
@mouth@|@camactli, camatl@
@mu lord@|@tecuhtzintli@
@much@|@huel, miec@
@mud@|@zoquitl@
@muddy@|@zoquiyo@
@museum@|@tlaquitcalli@
@mushroom@|@nanacatl@
@music@|@cuicatl@
@music (art)@|@cuicayotl@
@my family@|@nocenyeliz@
@my head@|@notzontecon@
@my lady@|@amehuatzin@
@my lord@|@amehuatzin@
@my majesty@|@amehuatzin@
@Nahuatl (people)@|@aztecatl, mexicatl, nahuatl, nahuatlacatl@
@Nahuatl language@|@mexicatlahtolli, nahuatlahtolli@
@nail@|@iztetl@
@name@|@tocaitl@
@nasal mucus@|@yacatolli@
@nation@|@tlahtocayotl, tlahtocayotl@
@native language@|@macehualtlahtolli@
@navigation@|@acalticaneminiliztli@
@navigator@|@acalticanemini@
@navy@|@apancayotl@
@navy blue@|@poxauhtic@
@nebulous@|@mixcoatl@
@neck@|@quechtli@
@neck band@|@cozcatl@
@necklace@|@cozcatl@
@need (to)@|@acocholoa@
@needy person@|@icnotlacatl@
@nephew@|@machtli@
@Neptune@|@tlaloctli@
@nevel@|@xictli@
@never@|@aic@
@new@|@yancuic@
@New Leon@|@Yancuic Leon@
@New Leonese@|@yancuic leoni@
@New Mexican@|@tancuic nahuatl, yancuic mexicatl@
@New Mexico@|@Yancuic Mexico@
@New Spain@|@Anahuac, Mexico, Yancuic Caxtillan@
@New York City@|@Manhatitlan@
@nice@|@yectli@
@niece@|@cihuamachtli@
@night@|@yoalli, yohualli, yohualotl@
@nimble@|@acocqui@
@nine@|@chicnahui@
@nineteen@|@caxtolli huan nahui, caxtolnahui@
@ninety@|@nauhpoalomatlactli@
@nit@|@acelin, acelli@
@nitter@|@aceloni@
@no@|@a-, amo@
@noble@|@pilli@
@noble old woman@|@ilamatlacatl@
@noble person@|@tlacatl@
@nobles@|@tlahtoque@
@nod (to)@|@ixcueloa@
@nonetheless@|@yeceh@
@north@|@ayamictlan@
@North Korea@|@Coreyan Ayamictlan@
@nose@|@yacatl@
@not@|@a-, amo@
@not any more@|@aocmo@
@not but@|@amozan@
@not yet@|@ayamo@
@nothing@|@amitla, amotlein@
@now@|@axcan, nimanic@
@nowhere@|@acan@
@number@|@tlapoalli, tlapohualli@
@nut@|@cacahualotl@
@obedience@|@tlacamatli@
@obey (to)@|@tlacamati@
@obsidian@|@itztli@
@obsidian chip@|@itztapalcatl@
@obsidian necklace@|@itzcozcatl@
@ocean@|@ailhuicatl, hueyatl@
@octapus@|@atocatl (octappus communis)@
@of@|@copa, ic, ihuic, ihuicpa, mani@
@offense@|@tlahtlacolli@
@offense (to)@|@tlatlacalhuia@
@oil@|@chiahuicayotl, chiahuitli@
@OK@|@ca yeh cualli@
@okey@|@ca yeh cualli@
@old@|@zolli, zotl@
@old man@|@huehue, huehuetlacatl@
@old paper@|@amazolli@
@old woman@|@ilamatl, ilamatlacatl@
@old word@|@huehuetlahtolli@
@older brother@|@tiachcauhtli@
@older sister@|@hueltiuhtli@
@olds@|@huehuetque@
@olimpic@|@olimpiyo@
@olive nut@|@cuilotl@
@olive tree@|@cuilocuahuitl (olea europea)@
@on@|@ipan@
@on the stove@|@tlecuilco@
@on top of@|@ipan@
@once that@|@in oyuh@
@one@|@ce@
@one hundred@|@macuilpoalli@
@one more thing@|@occe tlamantli@
@one’s name (to)@|@motenehua@
@onion@|@xonacatl (allium cepa)@
@only@|@zan@
@open (to)@|@tlapoa, tlapohua, tlaxapotla@
@open one’s mouth (to)@|@camachaloa@
@opuntia@|@nopalli (opuntia ficus indica@
@or@|@nozo@
@orange@|@chilcoztic@
@orange (fruit)@|@lalaxtli@
@orchid flower@|@acatzahuixochitl@
@order (to)@|@nahuatia@
@orphan@|@icnotl, icnotlacatl@
@ostrich@|@tlacatototl@
@Otomian song@|@otoncuicatl@
@otter@|@ahuitotl (myocastor coypus)@
@overcoat@|@netlaquentiliztli@
@owl@|@tecolotl@
@ox@|@cuacuahueyotl (bos taurus)@
@oyter@|@amatzcalli@
@Paiute@|@yutatl@
@palm@|@zoyatl@
@papaya@|@ochonetli@
@paper@|@amatl@
@paradise@|@xochitlalpan@
@parents@|@tetahnantli@
@park@|@aahuilpan@
@parrot@|@alotl (aratinga leucophtalmus@
@partner@|@icniuhtli@
@pass (to)@|@nalquiza@
@pass by (to)@|@nalquiza@
@passanger by ship (to)@|@acallaneloani@
@path@|@ohpitzactli@
@patrimony@|@tlatquitl@
@PC@|@chiuhpohualhuaztli, PC@
@peaceful person@|@yocoxcatlacatl@
@peach@|@yolloxocotl@
@pear@|@atzapotl@
@pearl@|@acitlalin, acitlalli@
@peninsula@|@cemacoltlalpan@
@penis@|@tepolli@
@pennant boat@|@acalcuachpamitl@
@people@|@tlacatl@
@pepper@|@caxtilchilli (piper nigrum)@
@pepper bell@|@chiltomatl@
@perfectly@|@cenquizca@
@perhaps@|@azo zan@
@person@|@tlacatl@
@Peru@|@Incatlan@
@pestilence@|@temoxtli ehecatl@
@pharmaceutic man@|@patiani@
@pharmacy@|@pacalli@
@pheasant@|@coxolitli@
@pick up (to)@|@cocui@
@pie@|@necuhpantzin, tlaoyotlaxacalli@
@pier@|@acalco@
@pig@|@pitzotl (porcinus domesticus)@
@pigeon@|@huilotl@
@pillar@|@acaxtontli@
@pine@|@ocotl (pinus communis)@
@pine flower@|@ocoxochitl@
@pine grass@|@ocozacatl@
@pine needle@|@ocozacatl@
@pineapple@|@matzatli (pinea ananas)@
@pink@|@tlatalehualtic, xochipaltic@
@pirate@|@acalteichtecamictini@
@piss@|@aaxiliztli@
@planet@|@citlaltzitzimitl@
@planetarium@|@ilhuicatlayocan@
@plate@|@caxpechtli@
@play (to)@|@ahuiltia@
@please (to)@|@pactia@
@pleasure song@|@ahuilcuicatl@
@plum@|@mazaxocotl@
@Pluto@|@Ahuatetztli@
@poem@|@in xochitl in cuicatl@
@poetry@|@in xochitl in cuicatl@
@polar lights@|@mixcoatl@
@pole@|@cuahuacatl@
@pole boat@|@acalcuachpancuahuitl@
@pollen@|@xochimeyallotl@
@pollution@|@temauhtiliztli, tlalpopochtli@
@pomegranate@|@ezxocotl@
@pond@|@atezcatl@
@pool@|@acaxitl@
@pool table@|@acopechpatolli@
@poor@|@icnotl@
@poor man@|@icnotlacatl@
@poor person@|@icnotlacatl@
@pork@|@pitzonacatl@
@porpoise@|@acuacuahue (phocoena sinus)@
@port@|@acaltecoyan@
@Portugal@|@Portocallan@
@Portuguese@|@portocaltecatl, portocatl@
@Portuguese language@|@portocaltlahtolli, portocatl@
@potato@|@camohtli (solanum tuberosum)@
@prawn@|@chacalin (penaeus cammarus), chacalli@
@precious necklace@|@tlazocozcatl@
@Prehispanic temple@|@teopantli, tzacualli@
@preserved tejocotes@|@texocotzopellotl@
@president@|@tlahtoani@
@pretty@|@yectli@
@prickly pear@|@nopalli (opuntia robusta)@
@prickly pear fruit@|@nochtli, tenochtli@
@priest@|@teopixqui@
@priests@|@teopixque@
@prince@|@pilli, piltecuhtli@
@princess@|@cihuapilli@
@proa@|@acalyacatl@
@procreate (to)@|@tlacachihua@
@producer@|@tlacatini@
@producer of runners@|@moyacatlazani@
@progress@|@acoquitzaliztli@
@progress (to)@|@acoquitza@
@pronoun@|@achcaitl@
@provision for war@|@yaoitacatl@
@provition@|@itacatl@
@puma@|@miztli (felis concolor)@
@pumkin@|@ayotli (cucurbita pepo)@
@pupil@|@tlamachtilli@
@pupils@|@tlamachtiltin@
@purchase (to)@|@cohua@
@pure@|@chipahuac@
@purple@|@camohpaltic@
@purple gallinule@|@cuatezcatl@
@put (to)@|@tlalia@
@put shoes on (to)@|@mocactia@
@quail@|@zolin (colinus virginianus)@
@quail egg@|@zoltetl@
@quail meat@|@zolnacatl@
@queen@|@cihuapillahtocatzintli, cihuatlahtoani@
@queen bee@|@cuauhzayolli, necuhzayolli@
@quetzal@|@quetzalli, quetzaltototl@
@quickly@|@iciuhcan@
@rabbit@|@tochin (oryctolagus cuniculus, tochtli@
@rabbit meat@|@tochnacatl@
@rabbit song@|@tochcuicatl@
@raccoon@|@mapachtli (procyon lotor)@
@radio@|@radiotl@
@radio telescope@|@radioilhuicalli@
@rain@|@quiahuitl, quiyahuitl@
@rain (to)@|@quiyahui@
@rainbow@|@cozamalotl@
@ranch@|@axcatl@
@rat@|@altepetuzan, xaltuzan@
@rather long@|@huiacatontli@
@rattlesnake@|@coacuechtli@
@reach (to)@|@teaci@
@read@|@(to)@
@reader@|@amoxpoani@
@ready@|@yeh@
@recently@|@quin axcan@
@recreate (to)@|@aana@
@red@|@chichiltic, chiltic@
@red corn@|@achichilyahuitl@
@red tomato@|@xitomatl@
@red wine@|@tlapaloctli@
@reed@|@acatl@
@reed flute@|@acatlapitzalli@
@reed-like@|@acatic@
@refined@|@chipahuac@
@refuge@|@axihuayan@
@regent of ship@|@acalnemachiliani@
@release (to)@|@maquixtia@
@repeat (to)@|@tlaai@
@reservoir@|@acaxitl@
@reside (to)@|@mochantia@
@residence@|@acocalli@
@respond (to)@|@nanquilia@
@rest (to)@|@mocehuia@
@restless@|@acatcani@
@restroom@|@axixcalli@
@reunite (to)@|@mocentlalia@
@right@|@huel, yec, yectli@
@right away@|@nimanic, zan niman@
@ring@|@cozcatl@
@river@|@apan, atoyatl@
@river mosquito@|@acuilotl@
@river prawn@|@acuitzilli@
@river shrimp@|@acuitzilli@
@road@|@chiapopohtli, ohtli@
@rock@|@tetl, texcalli@
@Roman Catholic@|@quixtiani, tlalticpacayo, tlalticpaquixtiani@
@Roman Catholic church@|@tlalticpaquixtianayotl@
@Rome@|@Roma@
@rooster@|@caxtotolin (gallus domesticus, caxtotolli@
@root@|@nelhuayotl@
@rope@|@mecatl@
@roughness@|@acualtlahtolli@
@rub (to)@|@momotzoa@
@rudder@|@acalimachoni@
@rudeness@|@acualtlahtolli@
@rue@|@acuatzin (ruta graveolens)@
@ruler’s cape@|@tlatocatilmatli@
@ruler’s word@|@tlatocatlahtolli@
@rulers of Anahuac@|@anahuacatlatoque@
@run (to)@|@motlatoa@
@run away (to)@|@choloa@
@sacred song@|@teocuicatl@
@sacrifice@|@tlamanaliztli@
@sad@|@tlaocoyac@
@sail@|@acalcuachpantli@
@sailing (sport)@|@acalpantiliztli@
@sailor@|@acallachiani, tlaneloqui@
@salamander@|@axolocuetzpalin@
@salesperson@|@pochtecatl@
@salmon pink@|@xochipaltic@
@salt@|@iztatl@
@salt cake@|@iztatapalcatl@
@salt marsh@|@iztaquixlitoyan, iztatlalli@
@sanctify (to)@|@yectenehua@
@sanitary@|@axixcalli@
@saturday@|@chicuaceilhuitl@
@Saturn@|@Cozcatecuhtli@
@savage@|@atlacatl@
@savanna@|@zacatlan@
@save (to)@|@maquixtia@
@say@|@ihtoa@
@scary@|@temamauhtic@
@scattered@|@tzetzeliuhqui@
@school@|@nemachtiloyan@
@science man@|@tocatzahualli@
@scorpion@|@colotl (buthus occitanus)@
@scream (to)@|@tzatzi@
@sea@|@ailhuicatl, hueyiatl@
@sea iguana@|@topilin, topilli (iguana iguana)@
@sea lizard@|@topilin, topilli (iguana iguana)@
@sea otter@|@acoyotl (enhydra lutris)@
@sea route@|@acalohtli@
@seal@|@amiztli@
@seaport@|@acalquixoayan@
@seashell necklace@|@chipolcozcatl@
@secret@|@ichtacatlatolli@
@see (to)@|@itta, tlachia@
@see cow@|@acuacuahue (phocoena sinus)@
@seed@|@xinachtli@
@sell (to)@|@namaca@
@send (to)@|@titlani@
@set free (to)@|@maquixtia@
@seven@|@chicome@
@seventeen@|@caxtolli huan ome, caxtolome@
@seventy@|@yempoalomatlactli@
@shake (to)@|@papatlaca@
@shampoo@|@amolayotl@
@shark@|@ocelomichin (corcharios lamia@
@She@|@yeh-, yehuatl@
@sheep@|@ichcatl (ovis aries)@
@ship@|@acalli@
@ship crew@|@acalli pepexocatihuitztli@
@ship fleet@|@acalli cemantihuitztli@
@ship ticket@|@acalpatiotl@
@shipwreck@|@acallapanaliztli@
@shipwrecked@|@acallapanani@
@shiver (to)@|@papatlaca@
@shoe@|@cactli@
@shoes@|@cactin@
@shore@|@anahuatl, axochtli, ayahualolco@
@short@|@ahuatetztli@
@shoulder@|@acolli@
@shoulder blade@|@acolchimatli@
@shout (to)@|@tzatzi@
@show@|@machtia@
@shrimp@|@chacalin (penaeus cammarus), chacalli@
@sick@|@cocoxqui@
@signal@|@machiotli@
@silver@|@iztateocuitlatl (Ag)@
@silver (colour)@|@iztateocuitlatic@
@similar@|@acantetlanehui@
@sing@|@cuicatl@
@sing (to)@|@cuica@
@singer@|@cuicani@
@singing@|@cuicatl@
@singing (to)@|@cuicoa@
@sinking@|@actitlazatiliztli@
@sister@|@hueltiuhtli@
@sit on (to)@|@motlalia@
@six@|@chicuace@
@sixteen@|@caxtolce, caxtolli huan ce@
@sixty@|@yempoalli, yempohualli@
@skin@|@cuetlaxtli, ehuatl@
@skin (to)@|@tlaxipehua@
@skirt@|@cueitl@
@skull@|@cuacalaccantli, tzontecomatl, tzontecotl@
@skunk@|@epatl (mophetis macroaura)@
@sky@|@ilhuicatl@
@sleep (to)@|@cochi@
@sleepy@|@cochmiqui@
@slip (to)@|@maiahua@
@slowly@|@ayaxcanyotica@
@small and long@|@huiacatontli@
@small animal@|@yolcatzintli@
@small animals@|@yolcatzitzintin@
@small insect@|@yolcatontli@
@small lazard@|@cuexin (sceloporus tenosauria@
@small reed basket@|@acatanatli@
@smell bad (to)@|@potoni@
@smoke@|@poctli@
@smoke (to)@|@popoca@
@snail@|@cilin, cilli, cuachalolotl@
@snake@|@coatl@
@snatch (to)@|@acitihuetzi@
@snoring@|@icotocatoc@
@snow@|@cepayahuitl@
@snow (to)@|@cepayohui@
@snow water@|@acetl@
@soap@|@amolli@
@sofa@|@tzatzazicpalli@
@soft@|@celic@
@solar eclipse@|@tonatiuh icualocatl@
@solder@|@teyaotlani, yaoquizqui@
@some@|@achi@
@somebody@|@aca@
@someone@|@aca@
@something@|@achi@
@something else@|@occe tlamantli@
@son@|@conetl, pilli@
@song@|@cuicatl@
@song of debauchery@|@ahuilcuicatl@
@song of the sick@|@cococuicatl@
@song of vice@|@ahuilcuicatl@
@song with the timbale drum@|@teponazcuicatl@
@songwriter@|@cuicatlaliani@
@sour@|@xococ@
@source@|@ameyalli@
@south@|@huitztlan@
@South Africa@|@African Huitztlan@
@South African@|@africanhuitztlaltecatl@
@South Korea@|@Coreyan Huitztlan@
@sow@|@coyametl (porcinus domesticus@
@sow (to)@|@toca@
@sow cane tobacco (to)@|@acayoa@
@sow sugar cane (to)@|@acaixoa@
@spa@|@acaxotlan@
@space@|@ilhuicatl@
@space probe@|@tepozcitlalcalli@
@Spain@|@Caxtillan@
@Spaniard@|@caxtiltecatl, caxtiltlacatl, caxtitl@
@Spanish@|@caxtiltecatl, caxtiltlacatl, caxtitl@
@Spanish language@|@caxtiltlahtolli, caxtitl@
@speak (to)@|@tlahtoa@
@speech@|@tlahtolli@
@speed up (to)@|@tlaacaninotlalia@
@spicy@|@cococ@
@spider@|@tocatl@
@spider web@|@tzahualli@
@spiderweb@|@tocatzahualli@
@spinal column@|@acolchimalli, tepotzotl, tepotzotli@
@spindle@|@malacatl@
@spindle whorl@|@malacatl@
@spine@|@acolchimalli@
@spinning whorl@|@malacatl@
@spiraled@|@ilacatztic@
@spring@|@xopan, xopanitztempan@
@spring water@|@ameyalatl@
@springs hot@|@tonalli@
@squash@|@ayotli (cucurbita pepo)@
@squeeze (to)@|@patzca@
@squirrel@|@techalotl (sciurus poliopos)@
@stalacmite@|@achichipictli@
@stalactite@|@achichipictli@
@stand up@|@mehua@
@stand up (to)@|@moquetza@
@star@|@citlalin, citlalli@
@starfish@|@acitlalmichin@
@start@|@pehua@
@state@|@tlahtocayotl, tlahtocayotl@
@steam bath@|@tematzcalli@
@steppe@|@zacatlan@
@stern@|@acalcuexcochtli@
@still@|@oc@
@stink (to)@|@potoni@
@stomach@|@ititl, totlatlacuayan@
@stone@|@tetl@
@stool@|@icpalli@
@story@|@zazanilli@
@stove@|@tlecuilli@
@straight@|@melahuac@
@straw@|@zacatl@
@strawberry@|@chilxocotl (fragaria vasca)@
@street@|@ohcalli, ohtli@
@strength@|@chicactli, chicauhtiliztli@
@strewn@|@tzetzeliuhqui@
@striate (to)@|@acaloa@
@striated@|@acaltic@
@strong@|@chicahuac@
@stubbornness@|@aquimamatcayotl@
@such@|@acantetlanehui@
@suddenly@|@atenemachpan@
@suffer pain (to)@|@tonehua@
@sugar@|@chiancacatl@
@sugar cane@|@acaitetl, ohuatl (sacharum officinarum)@
@sugar cane plantation@|@acatlan@
@summer@|@xopan, xopantlan@
@sun@|@tonatiuh@
@sunday@|@chicomeilhuitl, domingo, teoilhuitl@
@sunflower@|@chimalxochitl@
@sunflower (plant)@|@acahualli (helianthus annuus), chimalacahualli@
@sunflower plantation@|@acahuallan@
@sunshine@|@tonamitl@
@swallow@|@cuicuitzcatl@
@swallowing@|@acocotli@
@Sweden@|@Zuecapan@
@Swedish@|@zuecatecatl, zuecatl@
@Swedish language@|@zuecatl, zuecatlahtolli@
@sweep (to)@|@tlachpana@
@sweet@|@tzopelic@
@sweet corn@|@elotl, xilotl@
@sweet pepper@|@chiltomatl@
