@English@|@Maltese@
@Gathering@|@Ġbir@
@generate@|@Iġġenera@
@get angry@|@Irrabja@
@get dirty@|@Tħammeġ@
@get dizzy@|@Storda@
@get dressed@|@Libes@
@get drunk@|@Siker@
@get old@|@Qdiem@
@get stained@|@Ittabba'@
@get used to@|@Dera@
@Gift@|@Għatja@
@Gig@|@Gigg@
@Giornal@|@ġurnal@
@girl@|@tifla@
@Girl@|@Bint@
@Girth@|@Mxedd@
@give@|@Ta@
@give thanks@|@Iżża ħajr@
@give up@|@ċieda@
@Given@|@Mogħti@
@Giving (v.n.)@|@Għati@
@Glass@|@Ħġieġ@
@glitter@|@Ibbrilla, Leqq@
@Glittering@|@Middi@
@glove@|@ingwanta@
@go@|@Mar@
@go abroad@|@Siefer@
@go inconfession@|@Qarr@
@go off + verb@|@Telaq + verb@
@Goalbird@|@Ħabsi@
@Goat@|@Bodbod@
@Godfather@|@Xbin@
@Godmother@|@Xbint@
@Going@|@Sejjer@
@Going (v.n.)@|@Mawrien@
@Going away@|@Sejjer@
@Going out@|@Ħarġien@
@Gold@|@Deheb@
@Golden@|@Ta' deheb@
@Good@|@Bravu@
@Good bye@|@Saħħa@
@Good evening@|@Bonswa@
@Good Morning@|@Bonġu@
@Good Night@|@Il-lejl it-tajjeb@
@Good sense@|@Għaqal@
@Goodness@|@Benna, Tjubija@
@Gospel@|@Vanġolu@
@Gossip@|@Qalgħa@
@Governor@|@Guvernatur@
@Gozitan@|@Għawdxi@
@Grain@|@Ħabba@
@grammar@|@grammatika@
@Grammar@|@Grammatiku@
@Grammatical@|@Grammatikal@
@Grape@|@Għenba@
@Grapes *bunch*@|@Għanqud@
@Grass@|@Ħaxix, Ħaxixa@
@Grave@|@Gravi@
@Greater@|@Akbar@
@Greatness@|@Kobor@
@Greatshame@|@Għarukaża@
@Greedy@|@Ħanżir@
@Green@|@Aħdar, Ħadra@
@Greenery@|@Ħdura@
@Greenfinch@|@Virdun@
@greet@|@Sellem@
@Grey@|@Griż@
@Grief@|@Hemm@
@Grilled@|@Mixwi@
@grind@|@Taħan@
@Ground-rent@|@Ċens@
@grow@|@Kiber@
@grow black@|@Swied@
@grow dark@|@Dalam@
@grow filthy@|@Qżież@
@grow fooling@|@Blieh@
@grow green@|@Ħdar@
@grow old@|@Xjieħ@
@grow proud@|@Tkabbar@
@grow rapidly@|@Izzakkak@
@grow red@|@Ħmar@
@grow rich@|@Stagħna@
@grow rusty@|@Issaddad@
@grow small@|@Ċkien@
@grow sweet@|@Ħola@
@grow tall@|@Twal@
@grow yellow/pale@|@Sfar@
@Grumbling@|@Tgergir@
@Guard@|@Għassa@
@guide@|@Iggwida, Mexxa@
@Guide@|@Gwida@
@Guided@|@Immexxi@
@Guiltily@|@Tortament@
@Guiltlessly@|@Intortament@
@Guilty@|@Ħati@
@Gulp@|@Belgħa@
@Gum@|@Ħanek@
@guts@|@musrana@
@Habit@|@Drawwa@
@hack@|@Qaħqaħ@
@hair@|@xagħara@
@Hair@|@Xagħra@
@Hairy@|@Muxgħar@
@Half@|@Nofs@
@Hand@|@Id@
@Hand Bag@|@Borża@
@Handle@|@Maqbad@
@hang@|@Dendel, Għallaq@
@hang oneself@|@Tgħallaq@
@Happiness@|@Hena@
@Happy@|@Ferħan, Hieni@
@harbour@|@port@
@Hard working@|@Ħabrieki@
@harness@|@Rama@
@Harshness@|@ħruxija@
@Harvest@|@Uħida@
@Hat@|@Kappell@
@hate@|@Bagħad@
@Hatred@|@Mibegħda, Stkerriħ@
@have@|@Għand@
@have a haircut@|@Barbar@
@have a hobby@|@Iddiletta@
@have mercy@|@Henn@
@have scruples@|@Skrupla@
@have to@|@Kellu +ps + verb@
@Hawk@|@Bies, Seqer@
@He@|@Hu (neg: M'hux)@
@Head@|@Ras@
@Heap@|@Borġ@
@hear@|@Sama', sema’@
@hear confession@|@Qarar@
@Heard@|@Mismugħ@
@Hearing (v.n.)@|@Smiegħ@
@Heart@|@Qalb@
@heat@|@Saħħan@
@Heat@|@Sħana@
@Heavy@|@Tqil@
@Hedgehog@|@Qanfud@
@Heel@|@Għarqub@
@Heifer@|@Erħa@
@Height@|@Għoli, Tul@
@help@|@Għan@
@Help@|@Għajnuna@
@Helped@|@Megħjun@
@hem@|@Berfel@
@Hen@|@Tiġieġa@
@Herb@|@Ħaxix@
@Here@|@Hawn, L hawn@
@Here is@|@Hawn hu/hi@
@Hermit@|@Ermita@
@Hidden@|@Moħbi@
@hide@|@ħeba@
@hide oneself@|@Staħba@
@Hiding place@|@Moħba@
@High@|@Għali@
@Higher@|@Ogħla@
@hill@|@għolja@
@Hill@|@Ġabal@
@hiss@|@Zekzek@
@hit@|@Laqat@
@hold@|@żamm@
@Hole@|@Ħofra, Toqba@
@Holiday@|@Vaganza@
@Holy@|@Qaddis@
@Holy picture@|@Santa@
@Holy Statue@|@Vara@
@Honest@|@Onest@
@Honor@|@Ġieh, Unur@
@Honorable@|@Ta' ġieh@
@Honored@|@Onorat@
@Hook@|@Ganċ@
@hope@|@Spera, xtaq@
@Hope@|@Speranza@
@horn@|@ħorn@
@Horn@|@Qarn@
@horse@|@żiemel@
@Horse-Shoe@|@Nagħal@
@Hospital@|@Spitar@
@Hour@|@Siegħa@
@House@|@Dar@
@How@|@Kif@
@How are you@|@Kif inti?@
@How much@|@Kemm, Kemm il +sing noun@
@Humbly@|@Umilment@
@Hundred@|@Mijja@
@Hungrily@|@Bil-ġuħ@
@hunt@|@Ikkaċċa, kaċċaċ@
@Hunt@|@Kaċċa@
@Hurried@|@Mgħaġġel@
@Hurt@|@Muġugħ@
@husband@|@raġel@
@Husk@|@Qoxra@
@Hut@|@Għarix@
@I@|@Jien (neg: Miniex)@
@ice@|@silġ@
@If@|@Jekk@
@If only@|@Imqar@
@Illumination@|@Mixegħla@
@Imagination@|@Stħajjila@
@imagine@|@Fantas, Immaġina, Stħajjel@
@Imagining (v.n.)@|@Stħajjil@
@immobile@|@Ċass@
@Imported@|@Ta' barra@
@Impoverishment@|@Ftaqir@
@In@|@Fi, Ġo@
@In a hurry@|@Bil-għaġla@
@In advance@|@Bil-quddiem@
@In an advantageous position@|@Fuq ir-riħ@
@In an unfavorable position@|@Minn taħt@
@In confidence@|@Bejnietna@
@In every place@|@Ma' kullimkien@
@In everyone's presence@|@Quddiem kullħadd@
@In front of@|@Quddiem, Minflok@
@In pain@|@Batut@
@In the evening@|@Fil-għaxija@
@In the morning@|@Filgħodu@
@In the neighborhood@|@Madwar il-belt@
@In the night@|@Mal-lejl@
@In time@|@Fil-waqt@
@In what way@|@Fiex@
@In Which@|@Li Fi + p.s.@
@include@|@Nkludja@
@inconvenience@|@Skomoda@
@increase@|@żdied@
@Indeed@|@Tassew@
@Indefinite@|@Indefinit@
@Independant@|@Indipendenti@
@Indictment@|@Akkuża@
@industry@|@industrija@
@infect@|@Infetta@
@inherit@|@Wiret@
@Inheritance@|@Werta@
@Inheriting@|@Wert@
@inquire@|@Stħarreġ@
@Inside@|@Ġewwa, Il ġewwa@
@inspect@|@Fela@
@Inspection@|@Fili@
@instruct@|@Għallem@
@insult@|@Nġurja@
@insure@|@Inxurja@
@Intelligent@|@Intelliġenti@
@Intention@|@Intenzjoni@
@Intentionally@|@Intenzjonalment@
@interfere@|@Indaħal@
@interrogate@|@Interroga@
@Interrogation@|@Interrogatorju@
@interrupt@|@Bejjen@
@Inthe bargain@|@Minnfuq@
@Intoxication@|@Sikra@
@invent@|@Ivventa@
@investigate@|@Stħarreġ@
@Investigating (v.n.)@|@Staħriġ@
@Investigation@|@Staħriġa@
@Invitation@|@Stedina@
@invite@|@Stieden@
@Invited@|@Mistieden@
@Inviting (v.n.)@|@Stedin@
@iron@|@ħadida@
@Iron@|@Ħadid@
@Irritable@|@Nervuż@
@Island@|@Gżira@
@It contains@|@Fi + p.s.@
@It is not@|@M'hux, M'hix@
@It is your turn@|@Imiss lil+p.s.@
@It seems (person) that@|@Minn għal +  p.s. li@
@Its not true@|@Mhux minnu@
@Jar@|@Ġarra@
@Jasmine@|@Ġiżimina@
@Jealous@|@Għajjur@
@Jellyfish@|@Brama@
@Jew@|@Lhudi@
@Jewel@|@Ġawhra@
@Jolt@|@Skoss@
@Joy@|@Ferħ, Ferħa@
@Joyous@|@Ferrieħ@
@Joyousness@|@Ferħ@
@Judge@|@Mħallef@
@Jug@|@Buqar@
@jump@|@Qabeż@
@Justified@|@Fondat@
@justify@|@Iġġustifika@
@Kettle@|@Kitla@
@Key@|@Muftieħ@
@Kidny@|@Kilwa@
@kill@|@Qatel@
@Killed@|@Maqtul@
@Killing@|@Qtil@
@king@|@re@
@King@|@Sultan@
@kiss@|@Bies@
@Kiss@|@Bewsa@
@Kissing (v.n.)@|@Bews@
@Knapsack@|@Ħorġa@
@Kneading basin@|@Magħġen@
@knee@|@rkoppa@
@Knife@|@Sikkina@
@know@|@Af@
@Known@|@Magħruf@
@Ladle@|@Kuċċarun@
@Lady@|@Sinjura@
@Laid@|@Mibjud@
@lake@|@għadira@
@Lamb@|@Ħaruf@
@lamp@|@lampa@
@land@|@Illendja@
@Landed@|@Illendjat@
@Landing (v.n.)@|@Illendjar@
@Language@|@Lingwa@
@Lap@|@Ħoġor@
@Lard@|@Xaħam@
@Lash@|@Sawt@
@Later on@|@il quddiem@
@laugh@|@Daħaf, daħak@
@Laugh@|@Daħka@
@Laugher@|@Daħk@
@Laughter@|@Daħk, Daħka@
@Launch@|@Lanċa@
@Law-court@|@Qorti@
@Lawyer@|@Avukat@
@lay down@|@Imtedd@
@lay eggs@|@Bied@
@Lazy@|@Għajjen@
@lead@|@Mexxa@
@Lead@|@Lid@
@Leadership@|@Tmexxija@
@Leaer@|@Mexxej@
@Leaf@|@Werqa@
@League@|@Lig@
@learn@|@tgħallem@
@leather@|@ġilda@
@leave@|@Ħareġ, telaq@
@Leg@|@Riġel@
@Lemon@|@Lumija@
@lend@|@Sellef, Silef@
@Lending@|@Self@
@Less@|@Nieqes@
@Less +adj@|@Anqas il+adj@
@Lesser@|@Anqas@
@Lesson@|@Lezzjoni, Tagħlima@
@let go@|@Reħa@
@Lettuce@|@Ħass@
@level@|@Illivella@
@Liar@|@Ġiddieb@
@Liberating (v.n.)@|@ħelsien@
@Liberty@|@Ħelsa@
@lick@|@Lagħaq@
@Lid@|@Għat@
@lie@|@Ġideb, mtedd@
@Lie@|@Gidba@
@Lieing (v.n.)@|@Gideb@
@light@|@Xegħel@
@Light@|@Dawl, Ħafif@
@Lighter@|@Eħfef@
@Lightning@|@Sajjetta@
@Lightning strike@|@Berqa@
@Lightning strike (v.n.)@|@Beraq@
@like@|@għoġob@
@Like@|@Bħal@
@Like this@|@Hekk@
@Lilac@|@Lela@
@Line@|@Vers@
@Linen@|@Għażel@
@Lion@|@Ljun@
@listen@|@sema’@
@Little donkey@|@Ħmajjar@
@live@|@Għax, għex@
@Lively@|@Spirituż@
@liver@|@fwied@
@Livid@|@Vjola@
@load@|@ħatt@
@Loaded@|@Mgħobbi@
@Loaf@|@Ħobża@
@Loan@|@Selfa@
@loathe@|@Stkerraħ@
@Loathing@|@Stkerriħa@
@lodge@|@Alloġġa@
@Longing (adj)@|@Xewqan@
@look@|@Sakkar@
@Loom@|@Newl@
@loosen@|@ħall@
@Lord@|@Mulej@
@lose@|@Tilef@
@lose blood@|@Żvina@
@Losing@|@Telf@
@Loss@|@Telf, Telfa@
@Lottery@|@Lotterija@
@louse@|@qamla@
@love@|@ħabb@
@Love@|@Mħabba@
@Loved@|@Maħbub@
@Lovely@|@Sabiħ@
@Lovingly@|@B'mħabba@
@Lovlier@|@Isbaħ@
@Low@|@Baxx@
@lower@|@Baxxa@
@lower oneself@|@Tbaxxa@
@Lowered@|@Imbaxxi@
@Luck@|@Xorti@
@Mad@|@Miġnun@
@Magazine@|@Maħżen@
@Magic@|@Seħra@
@Maid@|@Xebba@
@Maidenhood@|@Xbubija@
@maintain@|@Mantna@
@Major@|@Maġġur@
@make false@|@Fallaz@
@make friends with@|@Tħabbeb@
@make merry@|@Ixxala@
@make proportional@|@Daqqas@
@make s.o. blush@|@ħammar@
@make s.o. do s.th.@|@ġagħal@
@make s.o. ride s.th.@|@Rikkeb@
@make s.o. squint@|@Werreċ@
@make s.o. taste@|@Dewwaq@
@make s/o fly@|@Tajjar@
@make s/o hear@|@Samma'@
@make s/o laugh@|@Daħħak@
@make s/o understand@|@Fiehem@
@make turbid@|@Dardar@
@Maltese@|@Malti@
@man@|@raġel@
@Man@|@Raġil@
@manage@|@Immaniġġa@
@Manliness@|@Rġulija@
@Mare@|@Debba@
@Market@|@Suq@
@Master@|@Mgħallem, Sid@
@materialize@|@Saħħ@
@Mattock@|@Zappun@
@Mattress@|@Mitraħ@
@Maybe@|@Jaqaw@
@meander@|@Serrep@
@measure@|@Qies@
@Measured@|@Meqjus@
@Measurement@|@Qies@
@Meat@|@Laħma@
@Meditation@|@Meditazzjoni@
@Medla@|@Naspla@
@meet@|@Iltaqa'@
@mention@|@Semma@
@Mentioned@|@Imsemmi@
@Mercy@|@Hiena@
@Merit@|@Mertu@
@Mess@|@Taħwida@
@Messenger@|@Messaġġier@
@Middle@|@Fustani@
@Midwife@|@Qabla@
@Mighty@|@Setgħan@
@migrate@|@Taffa@
@milk@|@Ħaleb@
@Milk@|@Ħalib@
@Mill@|@Mitħna@
@Mind@|@Moħħ@
@Minute@|@Minuta@
@Mirror@|@Mira@
@Mischief@|@Brikkunerija@
@Mischievous@|@Brikkun@
@Misfortune@|@Disgrazzja@
@Mist@|@Ċpar@
@Mistaken@|@Żbaljat@
@Mistress@|@Sidt@
@mistrust@|@Ma Fadiex@
@mock@|@Tkaża@
@Monk@|@Patri@
@Monkey@|@Xadin@
@Month@|@Xahar@
@Moon@|@Qamar@
@More@|@Aktar@
@More +adj@|@Iżjed il+adj@
@Mother@|@Omm@
@mountain@|@muntanja@
@mouth@|@ħalq@
@Mule@|@Bagħal@
@Mullberry@|@Ċawsla@
@Murderer@|@Qattiel@
@Murderous@|@Qattiel@
@Museum@|@Mużew@
@music@|@mużika@
@Nail@|@Musmar@
@Nailing (v.n)@|@Tismir@
@Naked@|@Għarwien@
@Nakedness@|@Għera@
@Name@|@Isem@
@Narrow@|@Dejjaq@
@Narrower@|@Idjaq@
@Naughty@|@Imqareb, Mqareb@
@navigate@|@Baħħar@
@Near@|@Ħdejn, Qarib@
@Nearer@|@Eqreb@
@Neat@|@Pulit@
@Neck@|@Għonq@
@neglect@|@Ittraskura@
@Neglected@|@Ittraskurat@
@Neighbor@|@Ġar@
@Neighborhood@|@Banda@
@Nerve@|@Nerv@
@Never@|@Qatt (ma…)@
@New@|@Ġdid@
@News@|@Aħbar@
@Newspaper@|@Gazzetta@
@Next@|@Li ġej@
@Nice@|@Twajjeb@
@Niche@|@Niċċa@
@night@|@lejl@
@Nine@|@Disgħa@
@Nineteen@|@Dsatax@
@Ninety@|@Disgħin@
@Ninth@|@Id-disa'@
@No@|@Le@
@No one@|@Ħadd (ma…)@
@No sooner than@|@Filli, Malli@
@No where@|@Mkien (ma…)@
@Noble@|@Nobbli@
@North@|@Trammuntana@
@nose@|@mnieħer@
@Nose@|@Minħar@
@Nostril@|@Minfes@
@Not one@|@Ebda@
@Nothing@|@Xejn@
@nourish@|@Alimenta@
@Novel@|@Rumanza@
@Now@|@Issa@
@number@|@numru@
@Nun@|@Soru@
@Nurse@|@Infermier@
@Oak Tree@|@Ballut@
@Oar@|@Moqdief@
@Obedience@|@Ubbidjenza@
@obey@|@Obda@
@Obligation@|@Obligazzjoni@
@obstruct@|@Fixkel@
@Obstruction@|@Tfixkil, Tfixkila@
@Ocean@|@Baħar@
@Of@|@Ta'@
@Of all people@|@Fost kullħadd@
@Of the very first@|@Minn ta' quddiem@
@Of whom?@|@Ta' min?@
@Offering@|@Offerta@
@Offspring@|@Ferħ@
@oil@|@żejt@
@Oil lamp@|@Musbieħ@
@Old@|@Qadim, Xiħ@
@Old Age@|@Xjuħija@
@Older@|@Eqdem@
@Omelette@|@Froġa@
@On the floor@|@Fl-art@
@Once@|@Darba@
@One@|@Wieħed, Waħda@
@One by one@|@Wieħed wieħed@
@One Hundred@|@Mija@
@Onion@|@Basla@
@Only@|@Biss@
@open@|@Fetaħ@
@Open air square@|@Misraħ@
@oppose@|@Tqabad@
@Opposite@|@Biswit@
@Opposition@|@Tqabida@
@oppress@|@Ħaqar@
@Oppression@|@Moqrija@
@Or@|@Jew@
@Orange@|@Larinġa@
@order@|@Ordina@
@Organized@|@Ordinat@
@Orphan@|@Iltim@
@Other@|@Ieħor, Oħra@
@Outing@|@Ħarġa@
@Outside@|@Barrani, Il barra@
@outstrip@|@Sebaq@
@Oven@|@Forn, Maħbeż@
@Over land@|@Bl-art@
@overcome@|@Għeleb@
@Owing money@|@Midjun@
@Ox@|@Gendus@
@pack@|@Imballa@
@Packing needle@|@Msella@
@Padlock@|@Katnazz@
@Page@|@Paġna@
@Pail@|@Satal@
@paint@|@Pinġa, pitter, Żebagħ@
@Painted@|@Pinġut@
@Painting@|@Pittura@
@Pair@|@Żewġ@
@Palace@|@Palazz@
@Pale@|@Safrani@
@Panic@|@Twerwir@
@Paper@|@Karta@
@Paper Bag@|@Qartas@
@Pardon@|@Skużi?@
@Parent@|@Ġenitur@
@park@|@Ipparkja@
@Parked@|@Ipparkjat@
@Passage@|@Mogħdija@
@Passenger@|@Passiġġier@
@Patch@|@Roqgħa@
@Patience@|@Sabar@
@peace@|@paċi@
@Peach@|@Ħawħa@
@Pear@|@Langasa@
@Peas@|@Piżella@
@Peasant@|@Bidwi, Kumpanjol@
@peck@|@Naqqar@
@Peck@|@Tinqira@
@Pecking (v.n.)@|@Tinqir@
@pelt@|@Issetta@
@pen@|@pinna@
@Pen@|@Penna@
@Pen-knife@|@Taljakarti@
@perceive@|@Lemaħ@
@Perch@|@Passiġġiera@
@person@|@persuna@
@personify@|@Ippersonifika@
@Phrase@|@Frażi@
@pick up@|@ġabar@
@Pickaxe@|@Fies@
@Piece@|@Biċċa@
@pierce or fasten with pins@|@Labbar@
@Pig@|@Qażquż@
@Pillow@|@Mħadda@
@Pilot@|@Pajlot@
@Pin@|@Labra@
@Pin in place@|@Hemeż@
@pinch@|@Qaras@
@Pink@|@Roża@
@Pipe@|@Katusa@
@Pirate@|@Pirata@
@place@|@Poġġa@
@Place@|@Mkien@
@plane@|@Inċara@
@planet@|@pjaneta@
@Planing@|@Inċarar@
@Plank@|@Tavla@
@Plant@|@Xitla@
@plaster@|@Kaħħal@
@plastic@|@plastik@
@Plate@|@Plattu@
@play@|@daqq, Lagħab@
@Play@|@Dramm@
@play an instrument@|@Daqq@
@Playing@|@Logħob@
@Please@|@Jekk Jogħġbok@
@Pleased meet you@|@Għandi pjaċir@
@Pleasure@|@Gost@
@plough@|@Ħarat@
@Plough@|@Moħriet@
@Ploughshare@|@Sikka@
@plug@|@Sadd@
@Pocket@|@But, Qartas@
@Pod@|@Miżwed@
@Poet@|@Poeta@
@Poison@|@Tosku@
@policeman@|@pulizija@
@polish shoes@|@Ibblakka@
@Pond@|@Għadira@
@Poor@|@Fqir@
@Poorer@|@Ifqar@
@Pope@|@Papa@
@popularize@|@Ippopolarizza@
@Populus@|@Poplu@
@Pork@|@Majjal@
@pose@|@Ippoża@
@Pose@|@Poża@
@possess (devil)@|@Invaża@
@Possible@|@Possibbli@
@post@|@Imposta, ippostja@
@Pot@|@Borma@
@Potato@|@Patata@
@Poultice@|@Ġbara@
@pound with a pestle@|@Heres@
@Poverty@|@Faqar@
@Power@|@Setgħa@
@Powerful@|@Setgħan@
@pray@|@Talab@
@Prayer@|@Talba@
@Praying@|@Talb@
@Prematurely@|@Qabel il-waqt@
@press@|@Rass@
@pretend@|@Ippretenda@
@prick@|@Niġġeż@
@Pride@|@Kburija@
@Priest@|@Qassis@
@Prince@|@Prinċep@
@Princess@|@Prinċipessa@
@Prisoner@|@Priġunier@
@Prize@|@Premju@
@procure@|@Ipprokura@
@produce chickens@|@Felles@
@Product@|@Għalla@
@Professor@|@Professur@
@Profit@|@Mgħax, Qalgħa@
@program@|@Ipprogramma@
@prosper@|@Iffjorixxa@
@protect@|@Ipproteġa@
@protest@|@Ipprostesta@
@Public@|@Pubbliku@
@Publicly@|@Quddiem in-nies@
@pull@|@Ġibed@
@pump@|@Ippumpja@
@Pumping@|@Ippumpjar@
@Pup@|@Ġeru@
@Pupil@|@Il-ħabba tal-għajn@
@Pure@|@Safi@
@push@|@Imbotta, mbotta@
@Pushing (v.n.)@|@Imbuttar@
@put@|@qiegħed@
@put at a distance@|@Biegħed@
@put s.th. in gear@|@Ngrana@
@put s.th. in ones pocket@|@Bewwet@
@put s/o sleep@|@Raqqad@
@Qalified@|@Kwalifikat@
@quarrel@|@Iġġieled@
@Quarrelsom@|@Ġellied@
@Quarter@|@Kwart@
@queen@|@reġina@
@Question@|@Kustjoni, Kwistjoni, Mistoqsija@
@Quiet@|@Ġwejjed, Kwiet@
@Rabbit@|@Fenek@
@Radio@|@Radju@
@Rain@|@Xita@
@rain heavily@|@Lanġas@
@Rainbow@|@Qawsalla@
@raise@|@Refa'@
@raise a family@|@Trabba@
@raise s/o@|@Qajjem@
@Raisin@|@Żbib@
@Ram@|@Muntun@
@Rancid@|@Misnieħ@
@Rare@|@Rari@
@Rat@|@Far@
@Rather brown@|@Smajjar@
@Rather fine@|@Sbejjaħ@
@Rather old@|@Xwejjaħ@
@Rather poor@|@Fqajjar@
@Rather thin@|@Dgħajjef@
@rave@|@Ħebel@
@Ray@|@Raġġ@
@reach@|@Laħaq@
@reach up@|@Għola@
@read@|@Qara@
@Read@|@Moqri@
@Reader@|@Qarrej@
@Reading@|@Qari, Qari@
@Reading passage@|@Qarja@
@Ready@|@Lest@
@reason@|@Irraġuna, raġun@
@Reason@|@Raġuni@
@Reasoning@|@Raġunar@
@rebella@|@Irvella@
@Rebellion@|@Rvell@
@recede@|@Hebeż@
@receive@|@Irċieva, Laqa'@
@receive bribes@|@Ixxaħħam@
@receive communion@|@Tqarben@
@Receiving communion@|@Tqarbin@
@recognize@|@Għaref@
@recommend@|@Irrakkomanda@
@Recommendation@|@Rakkomandazzjoni@
@reconcile@|@ħabbeb@
@record@|@Irrekordja, Irrikordja@
@Recording@|@Irrikordjar@
@recover@|@Rkupa@
@recuperate@|@Fieq@
@Red@|@Aħmar, Ħamra@
@redeem@|@Fidi@
@Redness@|@Ħmura@
@reduce@|@ċekken@
@Reed@|@Qasba@
@Reel@|@Mkebba@
@refer action@|@Daka@
@Regretful@|@Iddispjaċut@
@Rehabilitation@|@Rihabilitazzjoni@
@rejoice@|@Feraħ@
@Relative@|@Qarib@
@Release@|@Ħelsa@
@religion@|@reliġjon@
@Religion@|@Reliġjoni@
@remain@|@Baqa'@
@Rembered@|@Miftakar@
@remedy@|@Irmedja@
@Remedy@|@Rimedju@
@remember@|@Ftakar@
@Removal@|@Tbegħida@
@Removing@|@Tbegħid@
@render oblique@|@Skontra@
@renew@|@ġedded@
@Rent@|@Kera@
@Rented@|@Mikri@
@repeat@|@Irrepeta, Raġa'@
@repent@|@Nidem@
@reprimand@|@ċanfar@
@resound@|@Rbombja@
@respect@|@Irrispetta@
@Respected@|@Meqjum@
@rest@|@Strieħ@
@restaurant@|@restorant@
@Restoration@|@Radd@
@restore@|@Radd@
@Restored@|@Mardud@
@Retina@|@Ir-rita tal-għajn@
@revile@|@Każbar@
@reward@|@Ippremja@
@Rich@|@Għani@
@Richer@|@Ogħna@
@ride@|@Rikeb@
@ridicule@|@Ikkuljuna@
@Ridicule@|@Kuljunata@
@Riepening@|@Sajran@
@Right@|@ħelsa, Sewwa@
@Rilthy@|@Moqżież@
@Ring@|@Ċurkett@
@Ring Cake@|@Kagħka@
@Ripe@|@Misjur@
@ripen@|@Sar@
@rise@|@Qam@
@rise early@|@Ħerek@
@risk@|@Irriskja, Issogra@
@Risk@|@Sogru@
@River@|@Xmara@
@rivet@|@Irbatta@
@Road@|@Triq@
@rob@|@Seraq@
@Rock@|@Blata@
@roll@|@Gerbeb, Irrombla@
@roll about@|@Miegħek@
@roll pasta with a rolling pin@|@Lenbeb@
@Roller@|@Romblu@
@roof@|@saqaf@
@Roof@|@Bejt@
@Room@|@Għorfa, Kamra@
@root@|@qħerq@
@Root@|@Għerq@
@Rope@|@Ħabel, Ħabla@
@Rose@|@Warda@
@Rough@|@Goff@
@Roughness@|@Guffaġni@
@round@|@Ittondja@
@Round@|@Tond@
@route@|@ħarbet@
@rub@|@għorok@
@rubber@|@gomma@
@Rude@|@Rozzi, Żorr@
@ruin@|@Irvina@
@Ruin@|@Rovina@
@rule@|@regola, Rieġa@
@Rumor@|@Għajduta@
@run@|@Ġera@
@Run@|@Ġarja@
@Runner@|@Ġerrej@
@Running@|@Ġari, Ġerrej, Ġieri@
@Running (adj)@|@Ġieri@
@rust@|@Sadid@
@Sack@|@Xkora@
@Sacrificial Altar@|@Midbaħ@
@Sail@|@Qlugħ@
@Sailor@|@Baħri@
@salt@|@melħ@
@sand@|@ramla@
@Sash@|@Terħa@
@satiate oneself@|@Xaba'@
@satisfy@|@Issodisfa@
@Sauce@|@Zalza@
@save@|@Salva@
@save that@|@Għejr, Ħlief@
@Saw@|@Munxar@
@saw off@|@Inserra@
@Sawing@|@Inserrar@
@say@|@Qal@
@Scales@|@Miżen@
@Scandal@|@Qorq@
@Scarce@|@Skars@
@Scavenger@|@Kennies@
@Sceptic@|@Xettiku@
@Scepticism@|@Xettiċiżmu@
@School@|@Skola@
@Schooner@|@Skuna@
@science@|@xjenza@
@Scissors@|@Mqass@
@score@|@Skorja@
@scrape away@|@Xkatta@
@scratch@|@Barax, Giref, ħakk@
@scream@|@Werżaq@
@Screw@|@Skrun, Vit@
@scribble@|@Ħarbex@
@Scrupulously@|@B'reqqa@
@sculpt@|@Skolpixxa@
@Sculptor@|@Iskultur@
@Scythe@|@Minġel@
@Sea@|@Baħar@
@Sea Rock@|@Skoll@
@Seagull@|@Gawijja@
@Seashore@|@Xatt@
@Seat@|@Magħqad@
@Second@|@It-tnieni, Sekonda@
@see@|@Ra@
@See you later@|@Narak iktar tard@
@seed@|@żerriegħa@
@Seeing@|@Raj@
@seek@|@fittex@
@Seisure@|@Qbada@
@seize@|@Qabad@
@Self@|@Nifs@
@Self-importance@|@Tkabbir@
@sell@|@Biegħ@
@Seminarian@|@Seminarista@
@send@|@Bagħat@
@separate@|@Fired@
@Serious@|@Gravi, Serju@
@Seriously@|@Serjament@
@Servant@|@Qaddej@
@serve@|@Qeda@
@serve slavishly@|@Sefter@
@Set@|@Sett@
@settle@|@Issetlja@
@Seven@|@Sebgħa@
@Seventeen@|@Sbatax@
@Seventh@|@Is-seba'@
@Seventy@|@Sebgħin@
@Severe@|@Qalil@
@Severity@|@ħruxija@
@sew@|@Ħat@
@Shade@|@Ombra@
@Shadow@|@Dell@
@shake the dust off@|@Farfar@
@Share@|@Sehem@
@shatter@|@Tertaq@
@Shatter@|@Tertiqa@
@Shattering (v.n.)@|@Tertiq@
@Shawl@|@Xall@
@She@|@Hi (neg: M'hix)@
@shear@|@ġezz@
@Sheep@|@Nagħġa@
@shell peas@|@Fesdaq@
@shine@|@Idda@
@ship@|@vapur@
@Ship@|@Mirkeb@
@Shirt@|@Qmis@
@shiver@|@Reżaħ@
@Shiver@|@Tkexkixa@
@Shivering@|@Tkexkix@
@shock@|@Kexkex@
@Shock@|@Qatgħa, Xokk@
@shoe@|@żarbun@
@Shoe@|@Zarbuna@
@shoot@|@Ixxuttja@
@shop@|@ħanut@
@Shore@|@Xtajta@
@Short@|@Qasir@
@shorten@|@Qassar@
@Shortening@|@Taqsir@
@Shorter@|@Iqsar@
@Shortness@|@Qosor@
@Shot@|@Xott@
