@English@|@Turkish@
@despise@|@hor görmek@
@despondent@|@ümitsizliğe kapılmış@
@dessert@|@yemiş tatlı@
@destiny@|@kader yazgı@
@destitute of@|@_den yoksun@
@detach@|@ayırmak çıkarmak@
@detail@|@ayrıntı@
@detain@|@alıkoymak geciktirmek@
@detect@|@keşfetmek bulmak@
@deter@|@vazgeçirmek@
@deterioration@|@fenalaşma@
@deterrent@|@caydırıcı@
@detest@|@nefret iğrenç@
@detoration@|@patlama infilak@
@devastate@|@harap etmek@
@deviate from@|@sapmak@
@devil@|@şeytan iblis@
@devise@|@tasarlamak@
@devolution@|@devir terk havale@
@devote to@|@vakfetmek adamak@
@devour@|@yutmak silip süpürmek@
@devout@|@dindar sadık@
@dexterity@|@beceri ustalık@
@diaper@|@kundak bezi@
@digest@|@özet hazmetmek sindirmek@
@dignified@|@ağır başlı olgun@
@dike@|@set bent hendek@
@dilapidated@|@harap@
@dilligence@|@gayret@
@dilute@|@sulandırmak@
@dim@|@bulanık donuk@
@dimple@|@yanak gamze@
@dine@|@akşam yemeğini yemek@
@dip@|@dal(dır)ma yokuş iniş@
@dirigible@|@güdümlü yönetilebilir@
@dirt@|@pislik çamur@
@dirt_cheap@|@sudan ucuz@
@disable@|@sakatlamak@
@disapproval@|@beğenmeme onaylamama@
@disarm@|@silahsızlandırmak@
@disarray@|@karışıklık@
@disband@|@terhis etmek dağıtmak@
@disbelief@|@inançsızlık güvensizlik@
@discern@|@ayırt etmek farketmek@
@discharge@|@boşaltma salıverme terhis@
@disclaim@|@inkar etme vazgeçme@
@disclose@|@ifşa etme açığa vurma@
@discontent@|@hoşnutsuzluk@
@discordance@|@uyumsuzluk ahenksizlik@
@discourse@|@söylev nutuk@
@discredit@|@güvensizliik şüphe@
@discreet@|@ketum ağzı sıkı@
@discrepancy@|@farklılık ayrılık@
@discretion@|@ketumiyet akıllılık@
@discriminate@|@ayırmak ayrım yapmak@
@disdain@|@küçük görme aşağılama@
@disease@|@hastalık@
@disembark@|@karaya çıkarmak@
@disengage@|@salıvermek@
@disfavour@|@gözden düşmek@
@disfigure@|@çirkinleştirmek@
@disgrace@|@gözden düşme@
@disguise@|@kıyafet değiştirmek@
@disgust@|@nefret tiksinme@
@disillusion@|@hayak kırıklığına uğratmak@
@dismal@|@kederli sönük@
@dismantle@|@sökmek@
@dismay@|@korku dehşet@
@dismember@|@parçalamak@
@dismiss@|@işten çıkarmak yol vermek@
@dismount@|@sökmek attan inmek@
@disobedience@|@itaatsizlik@
@disobliging@|@nezaketsiz@
@disorder@|@karışıklık hastalık@
@disown@|@inkar etme tanımama@
@disparage@|@kötülemek@
@dispassionate@|@tarafsız@
@dispatch@|@acele gönderme ulak haber@
@dispensable@|@vazgeçilebilir@
@disperse@|@dağıtmak yaymak@
@displace@|@yerinden çıkarmak@
@displease@|@gücendirmek@
@disposal@|@tertip düzen elden çıkarma@
@disproportionate@|@oransız@
@dispute@|@münakaşa tartışma@
@disregard@|@ihmal etmek saymamak@
@disreputable@|@rezil itibarsız@
@disrespectful@|@hürmetsiz@
@disseminate@|@saçmak yaymak@
@dissent from@|@(_hususunda) anlaşamamak@
@dissimilar@|@farklı@
@dissipate@|@dağıtmak israf etmek@
@dissolute@|@ahlaksız uçarı@
@dissuade from@|@_den vazgeçirmek caydırmak@
@distaste@|@tiksinme nefret@
@distinct@|@farklı ayrı@
@distinguish@|@ayırmak ayırt etmek seçkin@
@distort@|@bükmek bozmak@
@distract@|@karışıklık çılgınlık@
@distress@|@sıkıntı üzüntü@
@district@|@bölge ilçe kaza@
@disturb@|@karıştırma rahatsız etme@
@disuse@|@eski kal olmuş@
@ditch@|@hendek@
@dive into@|@pike yapmak dalmak@
@diverge@|@birbirinden ayrılmak@
@diverse@|@çeşitli değişik@
@divert@|@başka tarafa çevirmek eğlendi@
@divine@|@kutsal tanrısal@
@dizzy@|@başdöndürücü@
@docile@|@uslu uysal@
@dock@|@havuz liman@
@dodge@|@kurnazlık hile@
@doe@|@dişi geyik, tavşan@
@doll@|@bebek kukla@
@dolorous@|@kederli elemli@
@dolphin@|@yunus balığı@
@domain@|@mülk arazi alan@
@domestic@|@yerli evcil@
@domicile@|@oturma yeri konut@
@domination@|@egemenlik@
@domineer@|@hükmetmek zorbalık@
@doom@|@kader yazgı ölüm kıyamet@
@dope@|@esrar afyon@
@dormitory@|@yatakhane koğuş@
@dote@|@bunamak düşgün olmak@
@douche@|@şırınga@
@dough@|@hamur@
@downcast@|@üzgün@
@downhill@|@yokuş aşağı@
@downright@|@kesin tamamiyle@
@downward@|@aşağı doğru@
@dowry@|@çeyiz@
@doze@|@uyuklamak@
@drab@|@gri@
@draft@|@poliçe taslak mecburi askerli@
@drain@|@lağım su yolu akıtmak@
@drape@|@kumaşla kaplamak@
@drastic@|@şiddetli sert@
@draw@|@kura rağbetedilen şey beraber@
@drawback@|@sakınca engel@
@drawn@|@berabere@
@drawnear@|@yaklaşmak@
@dread@|@dehşet korku@
@dreary@|@sıkıcı kasvetli@
@dredge@|@taramak tarak@
@drench@|@ıslatmak@
@drift@|@sürüklenme kar yığntısı hedef@
@drill@|@delgi matkap@
@drip@|@damlamak@
@drive out@|@kovmak@
@drizzle@|@çiselemek@
@drop@|@damla düşme düşüş atmak@
@drought@|@kuraklık@
@drown@|@boğ(ul)mak@
@drowsy@|@uyku basmış uyutucu@
@drudge@|@ağır işler yapmak@
@dubious@|@şüpheli@
@dudgeon@|@öfke@
@due@|@ödenmesi gereken hak vergi@
@duel@|@düello@
@duly@|@gereğince tam zamanında@
@dumb@|@dilsiz sessiz aptal budala@
@dummy@|@taklit manken@
@dump@|@boşaltmak atmak@
@dun@|@(borçluyu)sıkıştırmak@
@dung@|@gübre(lemek)@
@dungeon@|@zindan@
@durable@|@dayanıklı devamlı@
@duress@|@tehdit baskı@
@dust@|@toz,çöp@
@dutiful@|@görevini bilen@
@duty@|@ödev,görev gümrük vergisi@
@dwarf@|@cüce@
@dwell@|@oturmak durmak@
@dye@|@boyamak@
@dynasty@|@hanedan soy@
@eager@|@hevesli istekli@
@earnest@|@ciddi@
@earnings@|@kazanç@
@ease@|@rahat ferah kolaylık@
@eaves@|@çıkıntı@
@eclipse@|@tutulma@
@ectasy@|@kendinden geçme@
@edge@|@kenat sırt bıçak ağzı@
@edible@|@yenilebilir@
@effeminate@|@kadınsı yumuşak@
@effervescent@|@köpüren köpüklü@
@effusive@|@taşkın bol@
@elaborate@|@dikkatle işlenmiş özenilmiş@
@elapse@|@(geçen)zaman@
@elbow@|@dirsek@
@elegance@|@zarafet şıklık@
@elevate@|@yükseltmek@
@eligible@|@seçilebilir uygun@
@elongate@|@gerip uzatmak@
@elope@|@aşığı ile kaçmak@
@eloquence@|@etkili konuşma sanatı@
@elude@|@sakınmak sıyrılmak@
@emanate from@|@_den çıkmak@
@emancipate@|@serbest bırakmak@
@embalm@|@mumyalamak@
@embark@|@gemiye binmek@
@embarras@|@şaşırtmak utandırmak@
@embed@|@gömmek yerleştirmek@
@embellish@|@süslemek güzelleştirmek@
@ember@|@kor köz@
@embezzle@|@zimmetine geçirmek@
@emblem@|@sembol simge@
@embody@|@cisimlendirmek@
@embrace@|@kucaklamak benimsemek@
@emerald@|@zümrüt@
@emergence@|@ortaya çıkma doğma@
@emergency@|@olağanüstü durum@
@emigrant@|@göçmen@
@eminent@|@yüksek seçkin@
@emit@|@çıkarmak@
@emotion@|@heyecan his@
@emperor@|@imparator@
@emphasis@|@vurgu şiddet@
@empower@|@yetki vermek@
@enact@|@(yasa)çıkarmak (tiyatro)oynam@
@encase@|@kılıflamak@
@encircle@|@kuşatmak@
@endanger@|@tehlikeye atmak@
@endear@|@sevdirmek@
@endeavour@|@emek çaba@
@endorse@|@ciro onay@
@endow@|@gelir bağlamak@
@endurance@|@tahammül(etmek)@
@enervate@|@kuvvetten düşürmek@
@enfold@|@sarmak@
@enforce@|@zorla kabul ettirmek@
@engage@|@hizmete almak tutmak@
@engrave@|@oymak oymacılık@
@engross@|@zaptetmek işgal etmek@
@enigma@|@bilmece@
@enjoin@|@emretmek tenbih etmek@
@enlarge@|@büyütmek genişletmek@
@enlighten@|@aydınlatmak@
@enlist@|@kaydetmek asker olmak@
@enliven@|@canlandırmak@
@enrage@|@kızdırmak@
@enrapture@|@kendinden geçirmek@
@enslave@|@köle yapmak@
@ensue@|@ardından gelmek@
@ensure@|@sağlamak@
@entangle@|@dolaştırmak@
@enterprise@|@teşebbüs girişim atılgan@
@enthusiasm@|@çoşkunluk can atma@
@entice@|@ayartmak@
@entire@|@tam bütün@
@entity@|@varlık@
@entreat@|@ısrar etmek yalvarmak@
@enumerate@|@birer birer saymak@
@envelope@|@sarmak zarf@
@envious@|@gıpta eden haset@
@environs@|@civar etraf@
@envisage@|@planlamak tasavvur etmek@
@envoy@|@elçi delege@
@epic@|@destansı masalsı@
@epidemic@|@salgın(hastalık)@
@epilog@|@sonsöz@
@episode@|@olay bölüm@
@epitaph@|@mezar kitabesi@
@epoch@|@devir çağ@
@equanimity@|@ılım vakar@
@equilibrium@|@denge@
@equip@|@donatmak@
@equity@|@eşitlik adalet@
@equivalent@|@bedel karşılık@
@erect@|@dikmek kurmak@
@erotic@|@aşka dair@
@errand@|@iş sipariş@
@erroneous@|@yanlış hatalı@
@erudition@|@alimlik@
@erupt@|@fışkırmak@
@espionage@|@casusluk@
@essay@|@makale yazı deneme@
@essence@|@esas nitelik@
@essential@|@esaslı gerekli@
@establish@|@kumak yerleştirmek@
@establishment@|@egemen çevreler ileri gelenle@
@estate@|@mal mülk arsa@
@esteem@|@itibar saygı takdir@
@estimate@|@hesap tahmin@
@estrange@|@soğutmak uzaklaştırmak@
@estuary@|@nehir ağzı haliç@
@eternal@|@sonsuz ölümsüz@
@ether@|@eter esir gökyüzü@
@evacuate@|@boşaltmak@
@evade@|@sakınmak@
@evaporate@|@buharlaştırmak@
@evasion@|@kaçınma kaçamak@
@even@|@düz tam denk hatta bile@
@even if@|@olsa bile@
@even number@|@çift sayı@
@event@|@olay hal@
@eventual@|@sonraki@
@ever@|@daima her zaman hiç@
@every now and then@|@arasıra@
@every other day@|@günaşırı@
@evidence@|@tanık delil kanıt@
@evident@|@aşikar belli açık@
@evil@|@fenalık kötülük@
@evoke@|@uyandırmak aklına getirmek@
@evolution@|@gelişme@
@ewe@|@dişi koyun@
@ex_@|@sabık eski ölü@
@exact@|@tam doğru gerektirmek talep e@
@exaggerate@|@mübalağa@
@exalt@|@yükseltmek övmek@
@exalt at@|@_e çok sevinmek@
@excavate@|@kazmak kazı@
@exceed@|@aşmak geçmek@
@excel@|@geçmek üstün olmak@
@except@|@hariç _den başka@
@excess@|@ifrat aşırılık@
@excite@|@kışkırtmak heyecanlandırmak@
@exclaim@|@bağırmak@
@exclusive@|@tek özel biricik@
@excursion@|@gezinti@
@excuse@|@özür mazeret bahane@
@execute@|@yapma ifa idam@
@exemplary@|@ibret, örnek verici@
@exempt@|@muaf@
@exert@|@sarfetmek kullanmak@
@exhale@|@(koku)çıkarmak@
@exhibit@|@teşhir sergi@
@exist@|@varolma yaşama@
@exorbitant@|@aşırı@
@expand@|@genişletmek@
@expect@|@beklemek ummak@
@expedient@|@yararlı uygun çare@
@expedition@|@acele sefer gezi@
@expeditious@|@süratli@
@expel@|@atmak kovmak@
@expend@|@sarfetmek harcamak@
@expense@|@masraf gider@
@experience@|@tecrübe deneme görgü@
@experiment@|@tecrübe deney@
@expire@|@son, son nefes@
@explicit@|@açık kesin@
@explode@|@patla(t)mak@
@exploit@|@sömürmek@
@exploration@|@araştırma keşif@
@explosion@|@patlama@
@expose@|@açığa vurmak sergilemek@
@express@|@açık kesin süratli@
@expropriation@|@kamulaştırma@
@expulsion@|@kovma çıkarma@
@exquisite@|@ince seçkin@
@extend@|@uzatmak genişletmek yaymak@
@extent@|@derece had büyüklük mesafe@
@exterior@|@dış taraf dış görünüş@
@external@|@dış, dıştan gelen@
@extinct@|@soyu tükenmiş bitmiş@
@extinguish@|@(yangın)söndürmek@
@extirpate@|@imha etme yok etme@
@extortion@|@zorla alma gasp@
@extract@|@çıkarmak koparmak nesil soy@
@extraordinary@|@sıradışı garip@
@extravagance@|@israf aşırılık@
@extricate@|@kurtarmak@
@exuberant@|@coşkun bol@
@eyebrow@|@kaş@
@eyelash@|@kirpik@
@eyelid@|@gözkapağı@
@fable@|@masal efsane@
@fabric@|@yapı kumaş@
@fabulous@|@efsane@
@facilitate@|@kolaylaştırmak@
@fact@|@gerçek durum@
@faction@|@hizip ayrılık@
@faculty@|@yetenek güç fakülte@
@faint@|@baygın zayıf@
@fairly@|@oldukça@
@fairy@|@peri@
@fake@|@taklit uydurma şarlatan@
@falcon@|@doğan şahin@
@falsify@|@bozmak taklit etmek@
@falter@|@kekelemek sendelemek@
@famine@|@kılık@
@fan@|@meraklı düşgün, yelaze vantilatör@
@fanciful@|@hayalperest@
@fancy@|@hayal kapris geçici arzu@
@fang@|@zehirli diş azı dişi@
@fantastic@|@hayali acaip garip@
@farce@|@saçma@
@fare@|@yolluk veda@
@farther@|@daha uzak daha öte@
@fast@|@çabuk tez hızlı ileri, oruç perhiz@
@fastener@|@bağlaç toka çıtçıt@
@fastidious@|@titiz kolay beğenmez@
@fatal@|@ölümcül@
@fatigue@|@yor(ul)mak@
@faucet@|@musluk@
@favour@|@lütuf iltimas kayırma@
@fawn@|@açık kahcerengi, geyik yavrusu@
@fear@|@korku endişe@
@feasible@|@yapılabilir mümkün@
@feast@|@ziyafet bayram yortu@
@feat@|@beceri başarı@
@feature@|@özellik yüz çehre@
@fee@|@ücret vizite harç@
@feeble@|@zayıf dermansız@
@felicitate@|@kutlamak@
@felon@|@suçlu cinayet ağır suç@
@fender@|@çamurluk@
@ferment@|@maya(lanma)@
@ferocious@|@yırtıcı vahşi@
@fertile@|@bereketli verimli@
@fervent@|@hararetli ateşli@
@festive@|@şen neşeli@
@fetch@|@gidip getirmek@
@fetter@|@zincir köstek@
@feud@|@kan davası@
@fever@|@ateş humma@
@fiance@|@nişanlı@
@fickle@|@kararsız@
@fiction@|@roman hayal yalan@
@fiddle@|@keman(çalmak)@
@fidelity@|@sadakat vefa@
@fidget@|@rahat oturamamak@
@fierce@|@vahşi azgın@
@fiery@|@ateşli coşkun@
@fig@|@incir@
@figurative@|@mecazi@
@fill@|@dolmak kabarmak@
@filth@|@kir pislik@
@fin@|@yüzgeç@
@fine@|@ince güzel zarif hoş, para cezası@
@finger nail@|@tırnak@
@firm@|@sabit sağlam bükülmez firma@
@firstaid@|@ilkyardım@
@fiscal@|@mali@
@fist@|@yumruk fiske@
@fit@|@uymak, donatmak, hastalık nöb@
@fit on@|@takmak prova etmek@
@fitter@|@tesisatçı borucu@
@fivefold@|@beşmisli@
@fix@|@(gözlerini)dikmek güçdurum, takmak yerleştirmek tamir@
@flabby@|@gevşek@
@flake@|@kar, lapa, ince tabaka@
@flank@|@yan bitişik@
@flap@|@sarkık parça, kapak kanat@
@flare@|@alevlenmek hiddetlenmek@
@flask@|@küçük şişe termos@
@flatten@|@yassılamak@
@flatter@|@pohpohlamak@
@flavour@|@tat lezzet çeşni@
@flaw@|@çatlak yarık noksan kusur@
@flee@|@kaçmak@
@fleece@|@yünlü post, aldatmak kazıklam@
@fleet@|@süratli hızlı donanma@
@flesh@|@et vücut ten@
@flexible@|@bükülebilir uysal@
@flicker@|@titremek oynamak@
@flight@|@uçuş firar kaçış basamak@
@flimsy@|@ince gevşek@
@flinch@|@sakınmak kaçınmak@
@fling@|@fırlatma atma@
@flint@|@çakmaktaşı@
@flippant@|@küstah@
@flirt@|@flört yapmak@
@flit@|@geçmek çırpınmak@
@float@|@şamandıra, su üstünde durmak@
@flock@|@sürü toplanmak@
@floe@|@buz kütlesi@
@flog@|@kamçılamak dövmek@
@flood@|@sel taşkın@
@flop@|@çöküvermek düşüvermek@
@florist@|@çiçekci@
@flourish@|@sallamak gelişmek bayındır@
@fluctuate@|@değişmek@
@fluent@|@akıcı(söz)@
@fluff@|@tüy hav@
@flunk@|@sınavdan kalmak başaramamak@
@flurry@|@ani rüzgar sağanak@
@flush@|@birden akmak akıtmak (yüzü)kı@
@fluster@|@telaş@
@flutter@|@çırpınma telaş@
@flux@|@akış değişiklik@
@foal@|@tay sıpa@
@foe@|@düşman@
@fog@|@sis@
@foil@|@engellemek@
@fold@|@ağıl sürü, kıvrım kat(lamak)@
@folk@|@halk ahali@
@folly@|@ahmaklık@
@foolproof@|@sağlam kusursuz@
@ford@|@nehir geçidi sığ geçit@
@forfeit@|@ceza, kaybetmek@
@forlorn@|@kimsesiz ümitsiz@
@formal@|@biçimsel,resmi@
@former@|@önceki,eski sabık@
@formidable@|@heybetli ürkütücü@
@forsake@|@terketmek vazgeçmek@
@forth@|@ileri dışarı açığa sonra@
@forthcoming@|@gelecek@
@forthwith@|@derhal hemen@
@fortification@|@sağlamlaştırma kuvvetlendirme@
@fortnight@|@iki hafta@
@fortress@|@kale@
@fortunate@|@talihli şanslı@
@fortunately@|@hamdolsun çok şükür@
@foster@|@beslemek@
@foul@|@pis kirli bozuk iğrenç@
@fowl@|@tavuk kuş@
@fraction@|@çok küçük miktar parça@
@fragment@|@kırılmış parça@
@fragrance@|@güzel koku@
@frail@|@zayıf narin@
@fraternal@|@kardeşçe@
@fraud@|@dolandırıcılık@
@fray@|@yıpra(at)nmak@
@free of charge@|@parasız bedava@
@freight@|@yük@
@fret@|@üzmek rahatsız etmek@
@friction@|@sürtünme uyuşmazlık@
@fried@|@kızartılmış@
@fringe@|@saçak kenar@
@frisk@|@sıçramak oynamak@
@frock@|@kadın elbisesi@
@frog@|@kurbağa@
@frolic@|@neşe oynamak@
@frost@|@don ayaz kırağı@
@froth@|@köp(ük)ürmek@
@frown@|@kaşlarını çatmak@
@frugal@|@tutumlu idareli@
@fruitless@|@verimsiz@
@frustrate@|@önlemek hüsrana uğratmak@
@fugitive@|@kaçak mülteci@
@fulfill@|@yerine getirmek yapmak@
@function@|@görev tören merasim@
@fund@|@kapital stok fon@
@funnel@|@baca huni boru@
@furious@|@şiddetli öfkeli@
@furnace@|@ocak@
@furnish@|@döşemek donatmak@
@furniture@|@mobilya@
@furrier@|@kürkçü@
@further@|@daha fazla daha öte ayrıca@
@furtive@|@sinsi gizli@
@fury@|@kızgınlık şiddet@
@fusion@|@eritme birleşme@
@fuss@|@telaş merak@
@futile@|@beyhude boş@
@gab@|@konuşkanlık@
@gadget@|@hünerli alet, cihaz@
@gait@|@yürüyüş gidiş@
@gallant@|@cesur gösterişli nazik kibar@
@gallop@|@dörtnala gidiş@
@gallows@|@darağacı@
@gamble@|@kumar (oynamak)@
@gambol@|@sıçrama (oynama)@
@gang@|@ekip takım@
@gaol@|@cezaevi tutuklamak@
@gap@|@yarık aralık boşluk eksiklik@
@gape@|@esnemek ağzı açık kalmak@
@gargle@|@gargara@
@garland@|@çelenk@
@garlic@|@sarmısak@
@garment@|@elbise giysi@
@garret@|@çatı arası@
@garrulous@|@geveze@
@gash@|@uzunca bıçak(yarası)@
@gasket@|@conta@
@gasoline@|@benzin@
@gasp@|@solumak soluyarak konuşmak@
@gaudy@|@zeksizce süslenmiş@
@gauge@|@ölçü ayar(etmek)@
@gauze@|@gazlı bez@
@gaze at@|@dik dik bakmak@
@gazelle@|@ceylan@
@gear@|@eşya giyim vites@
@gem@|@kıymetli taş@
@gender@|@ismin cinsi@
@generosity@|@cömertlik@
@genial@|@güler yüzlü hoş@
@genuine@|@gerçek hakiki@
@germ@|@mikrop tohum@
@germinate@|@filizlenmek@
@gesture@|@hareket jest@
@get about@|@yayılmak dolaşmak@
@get along@|@geçinmek@
@get away@|@kaçmak kurtulmak@
@get to know@|@tanımak@
@gibe at@|@_ile alay etmek@
@giblets@|@tavuk sakadatı@
@gigantic@|@kocaman@
@giggle@|@kıkır kıkır gülmek@
@gill@|@solungaç@
@giraffe@|@zürafa@
@gird@|@sarmak kuşatmak@
@girder@|@kiriş direk@
@give in@|@teslim olmak pes etmek@
@glacier@|@buzul@
@glamorous@|@göz alıcı@
@glance@|@bakış göz atmak@
@glare@|@kamaştırıcı ışık dargın bakış@
@glaze@|@sır cila@
@gleam@|@parıltı@
@glib@|@akıcı konuşan çevik@
@glimpse@|@kısa bakış kısa görmek@
@glint@|@parıldamak@
@gloat@|@şeytanca bir zevkle seyretmek@
@gloom@|@karanlık hüzün@
@glorify@|@yüceltmek methetmek@
@glove@|@eldiven@
@glow@|@kızıllık hararet@
@glutton@|@obur@
@gnash@|@gıcırda(t)mak@
@gnat@|@sivrisinek@
@go by@|@geçmek@
@go for@|@almaya gitmek@
@goad@|@dürtmek@
@goat@|@keçi@
@goblet@|@kadeh@
@godchild@|@vaftiz çocuğu@
@goddess@|@tanrıça@
@godfather@|@vaftiz babası@
@goggle@|@şaşı gözlük@
@goodnothing@|@işe yaramaz@
@goodwill@|@iyiniyet saygınlık@
@gorge@|@boğaz gırtlak dar@
@gospel@|@incil@
@gossip@|@dedikodu@
@gown@|@cüppe@
@grab@|@kapmak ele geçirmek@
@grace@|@lütuf nezaket@
@gracious@|@şirin nazik bağışlayıcı@
@gradient@|@yokuş@
@grant@|@bağış hibe tahsisat ödenek@
@granular@|@taneli@
@grasp@|@tutma kavrama@
@grate@|@demir parmaklık ızgara@
@grateful@|@minnettarlık@
@grater@|@rende@
@gratuity@|@bahşiş bedava@
@gravy@|@etsuyu salça@
@graze@|@otla(t)mak@
@greed@|@hırs açgözlü@
@greet@|@selamlama@
@grief@|@keder acı@
@grim@|@haşin korkunç@
@grimace@|@yüzünü buruşturma@
@grin@|@sırıtma@
@grind@|@öğütmek ufalamak bilemek@
@grip@|@sıkı tutma kavrama@
@gripes@|@sancı acı@
@groan@|@inilti@
@grocer@|@bakkal@
@grope@|@elle aramak@
@grow@|@olmak büyümek yetişmek@
@growl@|@hırlamak@
@grudge@|@kin garez@
@grumble@|@mırıldanmak şikayet etmek@
@guess@|@tahmin@
@guidance@|@rehberlik@
@gull@|@martı@
@gulp@|@yudum yutmak@
@gum@|@zamk dişeti@
@gust@|@rüzgar bora@
@habit@|@adet alışkanlık@
@hack@|@çentmek yarmak@
@haggard@|@bitkin görünüşlü@
@halter@|@yular idam ipi@
@ham@|@janbon@
@hamper@|@büyük sepet engel olmak@
@handkerchief@|@mendil@
@handle@|@sap kulp kullanmak@
@haphazard@|@rasgele gelişigüzel@
@harass@|@tedirgin etmek rahat vermemek@
@harden@|@katılaştırmak sertleştirmek@
@harmony@|@uyum ahenk@
@harrow@|@sürgü(lemek)@
@harsh@|@sert haşin merhametsiz@
@harvest@|@hasat ürün@
@hash@|@kıymalı(yemek) doğramak@
@haste@|@çabuk acele@
@hatch@|@kaporta yumurtadan çıkmak@
@haughty@|@kibirli mağrur@
@haunt@|@uğra(ma)k görünmek perili@
@have got to@|@_e mecbur olmak@
@haven@|@liman sığınak@
@havoc of@|@çok zarar vermek@
@hawk@|@doğan@
@hawthorn@|@diken@
@hazard@|@riziko tehlike@
@haze@|@sis pus@
@hazel@|@fındık(ağacı)@
@headline@|@başlık@
@headlong@|@başıönde@
@headmaster@|@okul müdürü@
@headway@|@ilerleme@
@heal@|@iyileşme şifa@
@heap@|@yığın küme@
@hearsay@|@söylenti@
@hearse@|@cenaze arabası@
@heartburn@|@mide ekşimesi@
@heath@|@fundalık@
@heave@|@kaldırmak atmak@
@heaven@|@gök sema@
@hebrew@|@yahudi ibranice@
@hectic@|@heyecanlı telaşlı@
@hedge@|@çit çalı engel@
@heed@|@dikkat etmek kulak vermek@
@heel@|@topuk ökçe alçak herif@
@heinous@|@iğrenç kötü@
@heir@|@varis mirasçı@
@helmet@|@miğfer@
@hem@|@kenar öksürmek@
@hence@|@buradan bundan dolayı@
@henna@|@kına@
@henpecked@|@kılıbık@
@herald@|@haberci müjdeci@
@herb@|@ot bitki@
@herd@|@sürü(büyükbaş)@
@heredity@|@kalıtım@
@herewith@|@bununla@
@heritage@|@miras kalıt@
@hermit@|@yalnızlığı seven kimse@
@hew@|@yontmak yarmak@
@hide@|@saklamak post@
@hideous@|@çirkin iğrenç@
@highbrow@|@fikir adamı@
@highlight@|@ilgi çekici olay@
@hijack@|@çalmak kaçırmak@
@hike@|@yürümek@
@hilarious@|@neşeli gürültülü@
@hinder@|@engellemek mani olmak@
@hindleg@|@arkaayak@
@hinge@|@menteşe@
@hip@|@kalça kaba et@
@hit@|@vuruş darbe isabet başarı@
@hitch@|@çekiş engel arıza@
@hitchhike@|@otostop@
@hither@|@buraya(kadar)@
@hive@|@arı kovanı(gibi)@
@hoard@|@saklamak stok@
@hoarse@|@boğuk kısık@
@hoax@|@şaka muziplik@
@hobble@|@topallamak@
@hobo@|@serseri aylak@
@hoe@|@çapa(lamak)@
@hog@|@domuz@
@hoist@|@kaldıraç yük asansörü@
@homage@|@saygı takdir@
@homesick@|@sıla hasreti@
@homicide@|@adam öldürme@
@honk@|@klakson@
@hooligan@|@serseri külhanbeyi@
@hoop@|@kasnak çember@
@hop@|@sekme sıçrama@
@horizon@|@ufuk yatay@
@horn@|@boynuz korna klakson@
@horny@|@boynuzlu@
@hose@|@hortum çorap@
@hosiery@|@çorap iççamaşırı@
@hospitality@|@misafirperverlik@
@hostage@|@rehine tutsak@
@hostel@|@öğrenci yurdu@
@hostile@|@düşmanca@
@hound@|@av(köpeği) takip iz@
@howl@|@uluma bağırma@
@humanbeing@|@insanoğlu@
@humble@|@alçak gönüllü@
@humbug@|@şarlatanlık aldatma yalan@
@humorous@|@gülünç komik@
@hump@|@kambur tümsek@
@hunt@|@av(lanmak)@
@hurdle@|@çit engel@
@hurl@|@fırlatmak@
@hustle@|@itişip kakışma@
@identical@|@aynı@
@idiom@|@şive lehçe deyim@
@idle@|@aylak boş tembel@
@idolater@|@putperest@
@ignorance@|@cahillik önemsememek@
@illegible@|@okunaksız@
@illegitimate@|@kanunsuz evlilik dışı@
@illicit@|@yasadışı haram@
@illiterate@|@okuma yazma bilmeyen@
@imbecile@|@ahmak budala@
@imitate@|@taklit@
@immaculate@|@lekesiz@
@immaterial@|@önemsiz@
@immature@|@olgunlaşmamış@
@immense@|@çok büyük engin@
@immerse@|@daldırmak@
@immobile@|@hareketsiz@
@immoderate@|@ölçüsüz aşırı@
@immodest@|@açık saçık@
@immoral@|@ahlaksız@
@immortal@|@ölümsüz@
@immunity@|@dokunulmazlık@
@impact@|@vuruş etki@
@impassive@|@duygusuz@
@impatient@|@sabırsız@
@impediment@|@mania engel@
@imperative@|@mecburi zorunlu@
@imperfect@|@eksik kusurlu@
@imperial@|@şahane imparatorluğa ait@
@imperil@|@tehlikeye düşürmek@
@implement@|@alet araç@
@imply@|@ima etmek@
@importance@|@önem@
@in advance@|@peşin olarak@
@in any case@|@herhalde@
@in case of@|@_dığında@
@in common@|@ortaklaşa@
@in due course@|@sırası gelince@
@in due time@|@zamanı gelince@
@in place of@|@...yerine@
@in that case@|@o takdirde@
@in the country@|@kırda köyde@
@incendiary@|@kundakçı@
@incentive@|@dürtü neden@
@incident@|@olay tesadüf@
@incite@|@teşvik kışkırtma@
@incompetent@|@ehliyetsiz@
@inconsiderate@|@saygısız düşüncesiz@
@inconvenient@|@zahmetli rahatsız@
@incur@|@uğramak yakalanmak@
@indebted@|@borçlu@
@indecent@|@utanmaz yüzsüz@
@indispensable@|@vazgeçilmez@
@individual@|@birey fert kimse@
@indomitable@|@boyun eğmez@
@indulge@|@hoşgörü düşgünlük@
@inert@|@hareketsiz tembel@
@inevitable@|@kaçınılmaz@
@infamy@|@rezalet@
@infant@|@çocuk bebek@
@infantry@|@piyade asker@
@infect@|@bulaştırmak@
@inferior@|@aşağı alt ikinci derecede@
@infernal@|@cehenneme ait şeytanca@
@infest@|@sarmak zarar vermek@
