@English@|@Manx@
@denounce@|@obbal@
@dense (of mind)@|@ommidagh@
@dent@|@cur lhag ayn@
@dentist@|@feeackleyr@
@denunciation@|@insh er, jannoo cassid@
@deny@|@obbal@
@denying@|@gobbal@
@depart@|@immeeaght@
@departed souls@|@merriu@
@dependable@|@barrantagh@
@depending on@|@croghey er@
@depict@|@peintal@
@depilous@|@gyn fynney@
@deplorable@|@treih, treih-hrimshagh@
@deplore weeping@|@keayney@
@depose@|@ymmyrkey feanish@
@depravity@|@ard-olkys, trulleeaght@
@deprecate@|@ceau neose (er)@
@deprecation@|@cur noi@
@depressive@|@mergnagh@
@deprival@|@juail@
@deprivation@|@juail@
@deprive@|@juailey@
@deprived@|@juailit@
@depth@|@diunid@
@deputy@|@ynnydagh@
@derange@|@jannoo baanrit@
@derangement@|@baanrys@
@derelict@|@treigit@
@derivative@|@frauee@
@derive@|@geddyn (ass), goaill ass@
@derrick@|@derrick@
@descant@|@descant@
@descent@|@kynney fuilleeaght@
@desecration@|@jannoo anchasherick@
@desert@|@caitnys, treigeil@
@desert (merit)@|@toilchinys@
@deserted@|@treigit@
@deserter@|@treigeilagh, treigeyder@
@desertion@|@treigeilys@
@deserve@|@toilliu@
@deserved@|@toillit@
@deservedly@|@dy toilchinagh@
@deserving@|@toilchinagh, toilliu@
@design@|@kiarail@
@designate@|@cur sheese er@
@designed@|@kiaddit@
@designer@|@kiaddeyder@
@desirability@|@miandaght, yeearreeoilid@
@desire@|@imney, laccal@
@desireable@|@yeearreeoil@
@desired@|@mianit@
@desk@|@desk@
@desolate@|@fadanagh@
@despairingly@|@dy meehreishteilagh@
@desperate@|@debejagh, gyn jerrey(l)ys@
@despise@|@mee-ooashlaghey@
@despite@|@dyn y wooise (da)@
@destination@|@kione jurnaa@
@destiny@|@kinoauyn@
@destitution@|@ymmyrch@
@destroyed@|@currit mow, mow: currit mow@
@detail@|@mynphaart, mynphoint, mynphossanym@
@detailed@|@myn@
@detailed account@|@mynchoontey@
@detained@|@pryssoonit@
@determination@|@ooley@
@determine@|@feddyn magh, kiarail, reaghey@
@determined@|@oolit@
@detonation@|@polt@
@detrimental@|@skeillagh, skeillagh@
@deuce@|@queig y pheesh@
@develop@|@aase, anchoodaghey, lhiasaghey@
@development@|@anchoodaghey@
@development area@|@laaragh troggal@
@devil@|@jouyl, mac imshee, mac mollaght@
@devilish@|@imshee, jouyllagh@
@devils@|@jouyil@
@devious@|@shaghyrnagh@
@devoid@|@gyn@
@devolve@|@neufilley@
@devotee@|@ben haghee, ooashleyder@
@dexterity@|@laueys aghtallys@
@dexterous@|@aghtal@
@diabetes@|@diabeetys@
@diabolical@|@imshee, jouyllagh@
@diagram@|@jalloo-soilshee, jalloo soilsheragh@
@dial@|@caie, jeel@
@dialect@|@abbyrt@
@dialectical@|@abbyrtagh@
@diarrhoea@|@feaysley builg@
@dice@|@jeeslaghan, jeesley@
@dicky@|@assyl fyrryn@
@dictate@|@jaghtey@
@dictation@|@jaghtey@
@dictator@|@ard-reillagh, jaghteyr@
@dictum@|@jaght@
@did@|@ren@
@die down@|@injillaghey@
@die out@|@tuittym ersooyl@
@diesel engine@|@innyl deesyl@
@difference@|@anchaslys@
@difficult@|@doillee, lheibeidjagh@
@difficulty@|@doilleeid, hobbyl@
@diffuse@|@skeaylley@
@dig out@|@astyrt, astyrtal@
@dig up@|@astyrtal@
@digit@|@lheead meir@
@dignified@|@ooasley@
@dignify@|@cur ooaslid da@
@dignitary@|@ard-ven@
@digs@|@aaght@
@dilemma@|@ancheist@
@dilettante@|@amateyr@
@diligently@|@dy jeedagh@
@dilute@|@keylaghey@
@dilution@|@keylaghey@
@dim@|@cur kay er@
@diminutive suffix@|@myn-amman@
@dinghy@|@skollag@
@dining room@|@shamyr yinnairagh@
@dinner@|@jinnair@
@diocese@|@aspickys@
@dipper@|@injilleyr@
@dipthong@|@daaghooaght@
@direct@|@gurneil, jeeragh@
@directing@|@gurneilagh, stiurey@
@direction@|@gurneilys, troa@
@directive@|@oardagh@
@directness@|@jeerid@
@director@|@troa-chiarkyl@
@dirk@|@dirk, skynn attey@
@dirty@|@sollagh@
@dirty business@|@obbyr ghraney@
@dirty person@|@kecksee@
@disability@|@anheiltys@
@disable@|@jannoo anheiltagh, neuvioyree@
@disagree@|@tuittym magh@
@disagreeable@|@neuhaitnyssagh@
@disallowed@|@meelowit, obbit@
@disappointed@|@mollit@
@disaster@|@drogh-haghyrt@
@disc@|@disk@
@dischargeable@|@yn-eeck@
@disciple@|@ynseydagh@
@discipline@|@cur fo smaght, smaght@
@disciplined@|@custhit@
@disclaim@|@obbal@
@disclose@|@anchoodaghey@
@discommend@|@jey-voylley@
@disconsolate@|@neugherjoil@
@disconsolateness@|@neugherjoilid@
@discontentment@|@neuwooiys@
@discord@|@jee-choardey, mee-vingys@
@discordant@|@mee-ving@
@discount@|@argid brishee@
@discouraged@|@ass cree@
@discover@|@feddyn magh@
@discrete@|@discreajagh@
@disease@|@asslaynt, doghan@
@diseased@|@asslayntagh@
@disentangle@|@neufee@
@disgorge@|@aayiooldey@
@disgracefully@|@dy nearagh@
@disgust@|@taaraght@
@dish@|@jyst, skalley@
@disharmony@|@mee-vingys, neuchoardailys@
@dishevelled@|@neuskiogh@
@dishonest@|@mee-yrrick@
@dishonesty@|@meeonnorid@
@dishonour@|@cur nearey er, jey-voylley, meeonnor@
@dishonourable@|@meeonnoragh@
@disillusion@|@keeayl chionnit@
@disinformation@|@mee-yss@
@disingenuous@|@mee-yrrick@
@disinterested@|@gyn sym@
@disjoin@|@neuyuntal@
@disjoined@|@neuyuntit@
@disjointed@|@neuyuntit@
@disk@|@jysk@
@disloyalty@|@meereiltys@
@dismember@|@neuoltaghey@
@dismiss@|@ceau magh@
@dismount@|@cur neose@
@disobedient@|@meeviallagh@
@disorder@|@asslaynt, doghan, fud y cheilley, jannoo asslayntagh, meeoardyr, meereiltys@
@disorderly@|@meeoardreilys, meereiltagh@
@disparate@|@meereggyragh@
@disparity@|@meereggyraght@
@dispensation@|@oardagh@
@dispense@|@oardaghey, rheynn (f)@
@displacement@|@toilleeaght@
@displease@|@cur mee-haitnys er@
@displeased@|@jymmoosagh@
@displeasing@|@neuhaitnyssagh@
@disputable@|@feeu arganeys@
@dispute@|@argane@
@disqualify@|@cur lhiettrimys er@
@disquisition@|@leeaght@
@disreputable@|@drogh-ennymagh@
@disrepute@|@drogh-ghoo@
@dissatisfy@|@cur neuchooilleen er@
@dissenter@|@neuchoardailagh@
@dissidence@|@ass-unnaneys@
@dissident@|@ass-unnaneagh@
@dissonacne@|@neuvingys@
@dissuasion@|@anchoyrle@
@dissuasive@|@anchoyrlagh@
@distance@|@foddid@
@distasteful@|@meevianagh, meevlaystal@
@distate@|@amvlass@
@distended@|@attit@
@distil@|@drigey@
@distilled@|@sheelit@
@distinct@|@baghtal@
@distracted@|@currit fud y cheilley@
@distribute@|@rheynn (f)@
@district@|@ynnydoil@
@disturbance@|@rouan@
@disunite@|@cur mee-unnaneys er@
@disunity@|@mee-unnaneys, neu-unnaneys@
@disused@|@ass ymmyd@
@disyllabic@|@daa-heelagh@
@ditched@|@currit 'sy cheayn, treigit@
@diurnal@|@laaoil@
@diversify@|@jannoo anchasley@
@diversion@|@ceau traa@
@divide@|@rheynn (f)@
@dividend@|@meer ronney@
@divine@|@niauoil@
@division@|@ronnane@
@division of land@|@joarey@
@do! make!@|@jean!@
@docility@|@feaghid@
@dock@|@cabbag@
@doctor@|@karraghey, olloo@
@doctor (male)@|@fer lhee@
@doctoral@|@ollooagh@
@doctorate@|@ollooaght@
@doctrine@|@ynsagh (crauee)@
@doddering@|@er creau@
@dodger@|@cheader obbyr@
@doe@|@bwoirrinagh, feeaih bwoirrin@
@dog days@|@laghyn ny moddee@
@dog rose@|@drine drughaig@
@dogfish@|@caillagh vreck, gobbag@
@dogged@|@shassooagh@
@doing@|@jannoo@
@doing business@|@dellal@
@doing violence to@|@jannoo niart er@
@doleful@|@treih-hrimshagh@
@doll@|@babban@
@dollar@|@dollar@
@dolly@|@bwoid niaghyn@
@dolour@|@pian, trimshey@
@domestic economy@|@bnisthie@
@domestic goose@|@guiy thie@
@domicile@|@ynnyd vaghee@
@dominance@|@kioneys@
@dominion@|@ard-rheam@
@don@|@olloo@
@done@|@jeant@
@donkey@|@assyl@
@Don't worry!@|@Ny bee imnea ort!@
@doodle@|@jannoo breckeydys@
@door@|@dorrys@
@door frame@|@fraamey dorrysh@
@doorkey@|@ogher ghorrys@
@dormant@|@ny cadley@
@dorse@|@Juan Boght@
@dot@|@ponk@
@dots and dashes@|@ponkyn as skilleigyn@
@dotted@|@ponkagh@
@dotty@|@harrish ny sleityn@
@double@|@kink@
@double dealing@|@meekeraght@
@double thin@|@aasmeggylagh@
@double-dealer@|@meekeeyr@
@double-dealing@|@kialgeyrys@
@double-faced@|@daa-oaiagh@
@double-width@|@daa-lheead@
@doubt@|@ourys@
@doubted@|@ourysit@
@doubtful@|@ouryssagh@
@doubtless@|@gyn dooyt@
@doughnut@|@fainey teayst@
@Douglas fir@|@juys Ghoolish@
@dove@|@calmane@
@dower@|@toghyr@
@down (below)@|@heese@
@down (from above)@|@neose@
@downhearted@|@lhag-chreeagh@
@downright@|@ny hrooid as ny hrooid@
@downstairs@|@heese-greeishyn@
@downstream@|@lesh y trooan@
@dowry@|@toghyr@
@dozen@|@dussan@
@dozens of time@|@ymmodee keayrtyn@
@dozens of times@|@dy mennick as dy mennick@
@drab@|@dree@
@draft@|@aascreeuyn shallidagh@
@drain@|@piob-heelee@
@drain plug@|@dhull@
@drained@|@sheelit@
@dram@|@jourym@
@dramatic poem@|@daan cloie@
@dramatize@|@jannoo ard-chooish@
@drapery@|@eaddagh@
@drastic@|@barb, feer feayslee@
@draught@|@driaghtyr@
@draught horse@|@cabbyl tayrnee@
@draw apart@|@skeaylley@
@drawing@|@jallooaght, tayrn@
@drawl@|@sleadey-focklyn, sleadey-focklyn@
@dread@|@atchim, owan@
@dreadfully@|@ass myghin@
@dreamer@|@ashleyder@
@dreary@|@dree@
@dredge@|@dredjal@
@dredged@|@duinit@
@dress@|@eaddagh, lhiasaghey@
@drift@|@aah, immeeaght, obbyr rea, troa@
@drifter@|@drifter, shaghyrnagh@
@drill@|@drilley, drilleyder, oirragh@
@drilled@|@drillit@
@drilling@|@towley@
@drink@|@bine, iu, iuit, jough (f), oyl@
@drink!@|@iu!@
@drinkable@|@iuoil, yn-iu@
@drinker@|@iuder@
@drinking@|@giu, iu@
@drinking bout@|@iuderaght@
@drip@|@drigey@
@dripping@|@drigagh@
@drippy@|@drigagh@
@drive away@|@immee roish@
@driver@|@immanagh@
@driving@|@gimman, imman, sheebane@
@drogue@|@oashyr gheayee@
@droll@|@gamshogagh@
@drooped@|@my-laaee@
@drop@|@bine, drigey@
@drop off@|@tuittym ergooyl, tuittym magh@
@droppings@|@drigyn@
@droppy@|@drigagh@
@drown@|@baighey@
@drowner@|@baihder@
@drowning@|@baih@
@drowse@|@ceau saveeney@
@drowsy@|@cadlagh@
@drudge@|@dreih, tooilleil@
@drudgery@|@dreihys@
@druidism@|@driualtys@
@drunk@|@iut, meshtallagh@
@dry@|@çhirrym, jeen@
@dry rot@|@froghid@
@dry up@|@kuckley@
@dryad@|@keyllagh@
@dry-rotten@|@frogh@
@dual@|@daagh@
@dualism@|@daaghys@
@Dublin@|@Divlin, Divlyn@
@ducal@|@diucagh@
@duchy@|@diucaght@
@duck@|@cur fo ushtey, veg@
@duckbill@|@kione toshee lhuingey@
@ducky@|@my vyrneen@
@dud@|@dyn ymmyd@
@duds@|@pollanyn@
@due@|@cair, kyndagh rish, yn-eeck@
@due east@|@shiar yeeragh@
@duel@|@caggey fer rish fer@
@duelist@|@caggeyder@
@duet@|@jeesaid@
@duke@|@diuic@
@dukedom@|@diucaght@
@dumb@|@amloayrtagh, balloo@
@dumbfound@|@jannoo bolvane jeh@
@dumbness@|@amloayrtys@
@dumpy@|@puttagagh@
@dun@|@ouar@
@dune@|@dreeym geinnee@
@dung@|@keck, lhiasaghey, taarey@
@dunghill@|@thorran@
@dunging@|@taarey@
@dunnock@|@jallyn cleigh@
@duplicity@|@kialg@
@durable@|@do-cheau@
@during@|@er feiy, er fud, fud@
@dust@|@poodyral@
@Dutch@|@Ollanagh, Ollanish@
@Dutchman@|@Ollanagh@
@dutiful son@|@mac ammyssagh@
@dutifulness@|@currymid@
@duty@|@currym, keesh@
@dwell@|@baghey@
@dwelling place@|@caayr, ynnyd vaghee@
@dye@|@daaghey@
@dyeing@|@daaghey@
@dynamite@|@dynamite@
@dysentary@|@yn keckey shooyl@
@dyslexia@|@neulhaihderys@
@each@|@chooilley: dy chooilley, dagh, gagh@
@eager@|@aggindagh@
@eagle@|@urley@
@ear to@|@faggys da@
@ear; ears@|@cleaysh (pl. cleayshyn)@
@eared@|@my yeish@
@earing@|@eearyn@
@earl@|@eearley@
@earlobe@|@bab@
@early@|@dy traa, leah, moghey@
@earn@|@toilchin, toilliu@
@earnest@|@dy kiart, jeean, ynrick@
@earning@|@cosney@
@ear-splitting@|@poltagh@
@earthworks@|@obbraghyn ooirrey@
@earthworm@|@diane, diane@
@earthy@|@ooirragh@
@ease@|@aash, jannoo aashagh@
@ease off@|@lhaggee magh@
@easement@|@aash@
@easier@|@assey@
@easiness@|@aashaght@
@east@|@niar, shiar@
@east side@|@çheu-hiar, kione hiar@
@Easter@|@Caisht (f)@
@Easter Day@|@Laa Caaisht@
@easterly@|@my hiar, niar@
@east-north-east@|@niar niar hwoaie, shiar shiar hwoaie@
@easy@|@aashagh@
@eat!@|@ee!@
@eating@|@ee, gee@
@eave@|@feaylley@
@ebony@|@eabban@
@ecclesiastic@|@agglishagh@
@eclipse@|@cur fo doorey@
@economy@|@ladoose@
@ecstasy@|@ard-eunys@
@edd@|@troggal@
@edge@|@cur oirr er, oirr@
@edgeways@|@er beeal, er foyr@
@edging@|@oirr@
@edible@|@yn-ee@
@editor@|@reagheyder@
@editorial@|@ard-art@
@educate@|@ynsaghey@
@education@|@ynsagh@
@educational@|@ynsee@
@educator@|@ynseyder@
@eel@|@astan@
@eerily@|@dy neuheiltagh@
@effect@|@jannoo@
@effects@|@ymmyrtys@
@effeminat@|@bwoirrin@
@effervesce@|@keshal@
@eggbeater@|@bwoalteyr ooh(ey)@
@egglike@|@oohagh@
@egg-shaped@|@oohagh@
@egocentric@|@hene-veanagh@
@egoistical@|@ooilley mee hene@
@egotistical@|@froaishagh@
@eight@|@hoght@
@eighth@|@hoghtoo@
@eject@|@ceau magh, cur magh@
@elaborate@|@obbraghey er@
@elaborateness@|@mynnid@
@elastic@|@so-chaghlaa@
@elbow joint@|@kiangle uillinagh@
@elbows@|@uiljyn@
@elders@|@sleih shinney@
@electric@|@lectragh@
@electric cable@|@caabyl lectragh@
@electric eel@|@astan lectragh@
@electricity@|@lectraghys@
@elegiac@|@bardoonagh@
@elegist@|@bardoonagh@
@elegy@|@bardoon@
@element@|@elmint, meer@
@elevation@|@ard-cheim, ooaslid@
@elevator@|@heise@
@eleven@|@unnanejeig@
@elfish@|@olkyssagh@
@elide@|@baighey, baih@
@eligible@|@reihalagh, yn-reih@
@elision@|@baighey@
@elixir@|@jough laanee@
@elk@|@feeaih mooar@
@elm grove@|@keyll lhiouanagh@
@else@|@elley@
@embattled@|@tooranagh@
@embitter@|@sharrooaghey@
@embroider@|@laatchey@
@embroidery@|@daaghey (skeeal)@
@eminence@|@ard-cheim@
@eminent@|@ard-ennymagh@
@emit@|@cur magh@
@emotional@|@ennaghtagh@
@emperor@|@impir@
@empire@|@impiraght@
@empiricism@|@treealaght@
@employable@|@yn-ymmydey@
@employed@|@ymmyd jeant (jeh)@
@employee@|@faiileydagh@
@employment@|@ymmyd@
@empress@|@ard-venrein@
@empty@|@follym@
@empty talk@|@raalish@
@emulsify@|@eablaghey@
@en masse@|@ooilley-cooidjagh@
@enamel-work@|@obbyr chrooan@
@enamour@|@cur graih ayn@
@enchant@|@cur fo oalys@
@enchanted@|@lane eunys@
@enchanter@|@oalyssagh, oalyssagh@
@enchanting@|@oalyssagh, oalyssagh@
@enchantress@|@ben drultagh@
@enclosed land@|@intak@
@enclosure@|@injeig@
@encrust@|@cur scroig er, scroigey@
@encyclical@|@ym-screeuyn@
@end@|@cur gy kione, jerrey@
@end of night@|@kinoie@
@end to end@|@kione ry-cheilley@
@endear@|@jannoo ennoil@
@endive@|@sharrag vuc@
@endless@|@gyn jerrey, gyn kione@
@endorse@|@dreeym-screeu@
@endorsee@|@dreeym-screeuagh@
@endorser@|@dreeym-screeuder@
@endowment@|@toghyr@
@ends@|@king@
@endurance@|@beayntys@
@endure@|@ymmyrkey@
@endways@|@er e chione, er e lhiurid@
@energy@|@bree@
@enervated@|@neuvioyrit, neuvioyrit@
@enfranchise@|@cur kiartys votal@
@engine@|@jeshaght@
@English@|@Baarlagh, Sostnagh@
@English people@|@Sostnee@
@English person@|@Sostnagh@
@enigma@|@doo-ockle@
@enjoying@|@goaill soylley@
@enjoyment@|@soylley@
@enlarge@|@att@
@enlarged@|@attit@
@enlightening@|@soilshaghey@
@enliven@|@bioghee@
@Ennis@|@Innys@
@enough@|@dy liooar, liooar@
@enrich@|@jannoo berchagh, lhiasaghey@
@entail@|@cairys eiraght@
@entente@|@kiangley caarjys@
@entertain@|@cur giense da@
@entertainer@|@oastagh, olteyr@
@enthral@|@cur fo drualtys@
@entire@|@ooilley@
@entomb@|@oanluckey@
@entrance@|@cur fo drualtys@
@entrant@|@yeearreyder@
@entreat@|@guee (er), jannoo aghin (hug)@
@entrust@|@treishteil (da)@
@entwine@|@plaittal@
@envelope@|@poagey screeuyn@
@envious@|@lane troo@
@environment@|@çhymmyltaght@
@epaulette@|@geaylaig@
@epic@|@daan mooar@
@epidemic@|@ym-ghorley@
@epidermis@|@epiderm@
@epitaph@|@kione-ghraue@
@epithalamium@|@daan poosee@
@epitome@|@aagherrid@
@epitomize@|@jannoo aagherrid@
@epoch@|@amm@
@equestrian@|@aghragh@
@equine@|@aghee@
@equinox@|@laa lieh yn arree@
@equivalent@|@towse corrym@
@eradicate@|@astyral@
@erased@|@dollit@
@eraser@|@scryssane@
@erasure@|@dolley@
@erect@|@jeeraghey, ny hassoo jeeragh@
@errant@|@shaghyrnagh@
@erskyn (shen)@|@additionally@
@erskyn cooinaghtyn@|@immemorial@
@erskyn credjue@|@incredibly@
@erskyn dooghys@|@supernatural@
@erskyn dooghys deiney@|@superhuman@
@erskyn leagh@|@invaluable, priceless@
@erskyn ooilley@|@besides, moreover@
@erskyn smaght@|@irresistible@
@erskyn thallooin@|@above ground@
@erskyn towse@|@immeasurable@
@erskyn tushtey@|@incomprehensible@
@ersooyl@|@away, distant, off@
@erstwhile@|@roish nish@
@esteemed@|@ammysit, ooasle@
@estimated@|@oolit@
@estimation@|@barel, ooley@
@estimator@|@ooleyder@
@estuary@|@inver@
@et cetera@|@as myr shen magh@
@eternally@|@vagh@
@ethnic(al)@|@kynneeagh@
@ethnology@|@kynney-aoylleeaght@
@etiquette@|@jeih-veays@
@etloge@|@volley@
@ettlagh@|@fly@
@ettyl@|@fly@
@etymon@|@fraue-ockle@
@euar@|@yew@
@eucalyptus@|@eucalyptus@
@Eucharist@|@oalan chasherick@
@Eue@|@Eve@
@eulys@|@ferocity, indignation, madness, rage@
@eulyssagh@|@ferocious, furious, hothead, indignant@
@eunuch@|@cailtynagh@
@euphoria@|@gien-mie@
@euthanasia@|@myghin-varroo@
@evangelize@|@skeaylley yn credjue@
@evaporator@|@gaaleyder@
@evaporizer@|@gaaleyder@
@evasively@|@dy shaghnagh@
@eve@|@oie'll@
@Eve@|@Aue@
@even@|@eer, hene@
@even keel@|@baatey@
@even now@|@nish hene@
@evenness@|@towshanys@
@evensong@|@asbyrt@
@event@|@immeeaght@
@ever@|@vaght, rieau, veih shoh magh@
@ever since@|@rieau er dy henney@
@ever young@|@sheer aeg@
@everlastingly@|@gyn scuirr@
@every@|@chooilley: dy chooilley, dagh, gagh@
@everyday@|@laaoil@
@everyone@|@cagh@
@everyone else@|@cagh elley@
@everywhere@|@ooilley mygeayrt@
@evil@|@drogh, olk@
@evil means@|@drogh haase@
@evil speaker@|@drogh ghoan@
@evil-doer@|@olkeyr@
@evil-hearted@|@drogh-chreeagh@
@evilness@|@olkid, olkid@
@evolve@|@aase@
@ewe@|@oasht@
@ex@|@ass, gyn@
@exactly@|@dy kiart@
@exaltation@|@ardys@
@examination@|@scrutaght@
@examine@|@ronsaghey@
@exasperate@|@cur ferg er@
@excavation@|@toghailt@
@excellence@|@ard-vieys@
@excellent@|@baghtal: er baghtal, er baghtal, er bashtal, er bashtal@
@excellently@|@dy mie er bashtal@
@exceptionally@|@harrish yn cadjinys@
@excerpt@|@meer ass (red)@
@excess@|@ass towse, balaghys, roudaght@
@excessive@|@ass towse@
@excessively@|@ass towse@
@exchequer@|@rheynn argidys@
@excise@|@maail@
@exciting@|@greesaghey@
@exclamation@|@yllagh@
@excorcist@|@shee-brieyder@
@excrement@|@keck@
@excremental@|@keckagh, keckagh@
@excuse@|@leshtal@
@excuse me@|@gow my leshtal@
@execute@|@cur gy baase@
@exercise; custom; accustomed@|@cliaghtey@
@exercises; customs@|@cliaghtaghyn@
@exhale@|@cur smoghan jeh@
@exhaustive@|@myn-, ooilley-ghoaillagh@
@exigence@|@ymmyrch@
@existence@|@beays, beays@
@exit@|@immeeaght@
@exorbitance@|@roudaght@
@exotic@|@andooghyssagh@
@expected@|@jerkit@
@expedition@|@jurnaa@
@expend@|@baarail@
@expendable@|@yn-cheau@
@expenditure@|@baarail@
@expensive@|@costal@
@experience@|@keeall chionnit, keeall chionnit, keeayl chionnit@
@experienced@|@oayllagh (rish)@
@expert@|@oalagh, oayllee@
@expertness@|@oalaght@
@explain@|@meenaghey@
@explainable@|@yn-hoilshaghey@
@explanatory@|@meenee@
@explode@|@poltal@
@exploded@|@poltit@
@exploratory@|@ronsoil@
@explosion@|@polt@
@exponent@|@meeneyder@
@export@|@assphurtal@
@expose@|@anchoodaghey, roosthey@
@exposed@|@gyn fastee@
@exposition@|@meenaghey@
@expostulate@|@aggyrt@
@expound@|@meenaghey@
@expressible@|@yn-fockley@
@expression@|@abbyrt, slonn@
@expressionless@|@gyn dreagh@
@expressive@|@lane dy vree, trome-cheayllagh@
@exquisite@|@feer aalin@
@extempore@|@gyn aarlaghey@
@extension@|@sheeyney-hraa@
@extensive@|@rheamyssagh@
@extent@|@rheamyssaght@
@extenuate@|@jannoo leshtallagh@
@exterminate@|@cur gy baase@
@extinct@|@ass ymmyd@
@extinguishing@|@mooghey@
@extra@|@frea, harrish y chadjinys@
@extract@|@meer@
@extravagant@|@baarailagh@
@Extreme Unction@|@Ooillaghey Casherick@
@extricate@|@feaysley (er)@
@extrinsic@|@cadjin-foshlit@
@exude@|@cur magh@
@exult@|@jannoo boggys@
@eye@|@sooill@
@eyebrow@|@mollee@
@eyebrows@|@molleeyn@
@eye-dropper@|@drigyder sooilley@
@eyes@|@sooillyn@
@fa@|@cause, reason, why@
@Faag eh!@|@Drop it!@
@faagail@|@depart, disembark, forsake, leave, quit@
@faaishneyder rollageagh@|@astrologer@
@faaishnys@|@augury, forecast, fortune, prediction@
@faaishnys-enn@|@diagnosis@
@faaishnys-enneydagh@|@diagnostic@
@faarkey@|@breaker, ocean, sea, swell@
@faarkey mooar@|@high seas@
@faarkey trome@|@high sea@
@fabric@|@eaddagh@
@fabulous@|@do-chredjal@
@face@|@cur oaie rish, eddin (pl. eddinyn), gruaie@
@faces@|@eddin (pl. eddinyn)@
@facet@|@gruaie@
@facetiously@|@dy warree@
@facilitate@|@jannoo aashagh@
@fact@|@nhee@
@factory@|@mwyllin (f)@
@faculty@|@olloo-rheynn@
@faculty of speech@|@ablid dy loayrt@
@faeces@|@keck, taarey@
@faggot@|@faggad@
@failing@|@failleil@
@faint hope@|@treisht veg@
@faintly@|@dy moal@
@fair@|@fynn, mie@
@fairies@|@ad hene, yn vooinjer veggey@
@fairness@|@banid, cairys@
@fairy@|@ferrish@
@fait accompli@|@nhee er ny jannoo@
@faithful@|@firrinagh@
@faithfulness@|@ynrickys@
@faithless@|@gyn credjue@
@falcon@|@shawk@
@Falkirk@|@Yn Agglish Vreck@
@fall@|@tuitt@
@fall behind@|@tuittym gour y yerree@
@fall down@|@cur rish loght@
@fall off@|@treigeilys@
@fall over@|@tuittym gour y drommey@
@fallow@|@banejagh, neuchuirt@
@false@|@foalsey@
@falsehood@|@foalsaght@
@falseness@|@neufeerid@
@famed@|@ard-ennymagh@
@familiar@|@ainjyssagh (rish)@
@familiarity@|@ainjys@
@family@|@lught-thie@
@famous@|@ard-ghooagh@
@fanatic@|@baanreydagh, baanreydagh@
@fancy@|@yeearree@
@fanning@|@fasnee@
@fanny@|@pihtt@
@fare@|@farral@
@farewell@|@aigh vie, bannaght lhiat@
@far-famed@|@feer ard-ghooagh@
@farm produce@|@troar hallooin@
@farm worker@|@obbree hallooin@
@farmer@|@eirinagh (pl. eirinee)@
@farmhand@|@obbree hallooin@
@farming@|@eirinys@
@farms@|@gowaltyssyn@
@farther@|@odjey (na)@
@farthing@|@farling@
@fascimile@|@mac-soylley@
@fascinate@|@cur fo drualtys@
@fashion@|@fassan, oa(y)sh@
@fashionable@|@fassanagh@
@fast@|@bieau@
@faster@|@trosteyder@
@fat@|@maa, roauyr, sahll@
@fate@|@kynoauin, kynouain@
@fated@|@kynoauinagh, kynoauinagh@
@fathead@|@kione-ching@
@fatherless@|@gyn ayr@
@fatigue@|@jannoo skee@
@fatted@|@beeit, beeyit@
@fattening@|@beeghey@
@fattish@|@beggan roauyr@
@faultless@|@gyn foill, gyn fout@
@favour@|@cur foayr da@
@fear@|@aggle, atchim@
@fearfulness@|@agglaght@
@fearless@|@gyn aggle@
@feast@|@flurt@
@feast-day@|@laa feailley@
@feathered@|@fedjeenagh@
@featherless@|@gyn fedjeen@
@feature@|@fraue oaie@
@February@|@Toshiaght Arree@
@feckless@|@gyn cooney@
@fed@|@beeit@
@fee@|@feu@
@feeble@|@gyn vree@
@feebleness@|@anheiltaght@
@feed@|@pastyr@
@feedback@|@aaveaghey@
@feel uncomfortable about@|@imnea y ve (er)@
@feeler@|@enneyder@
@feeling@|@gennaghtyn@
@feline@|@kayt, kaytoil@
@fellow@|@e cheilley@
@felt@|@cur pelt er, pelt, pollan@
@female@|@bwoirrin, bwoirrinagh@
@female any age@|@bwoirrinagh@
@female donkey@|@laair assyl@
@female sheep@|@oasht@
@feminine@|@bwoirrin@
@femininity@|@bwoirrinid, bwoirrinys@
@feministic@|@bwoirrin@
@fence@|@jannoo cliwederaght, kionneyder griu@
@ferment@|@gyle@
@fermentation@|@gyle@
@fern@|@renniagh (f)@
@ferret@|@kayt ny giark@
@ferretlike@|@assagagh@
@ferry@|@assaig, baatey assaig, ynnyd ymmyrt@
@ferry boat@|@baatey assaig@
@ferryman@|@ymmyrtagh@
@fester@|@guirr, yngyraght@
@festered@|@yngyrit@
@fetch@|@cur lesh@
@fetish@|@feddish@
@fetter@|@oaslum, ousym@
@few@|@dy jiark, kuse veg@
@fib@|@insh breageenyn@
@fickle person@|@lhiam-lhiat@
@fictionfiction@|@far-skeealaght@
@fiddle@|@biol@
@fiddler@|@groudle@
@fidget@|@nhedderagh@
@fiduciary@|@treishtagh@
@field officer@|@oikagh magheragh@
@fieldwork@|@obbyr 'sy vagher@
@fiend@|@flaiee@
@fiercely@|@er finnue@
@fifteenth@|@yn wheiggoo jeig@
@fifth@|@queigagh, queiggoo@
@fifty@|@quiegad@
@fight@|@caggey, caggey rish, troddan@
@fight against@|@caggey noi@
@fight off@|@caggey rish@
@fighter@|@caggeyder@
