@Greenlandic@|@English@
@immuk@|@milk@
@immuup qalippernera@|@cream@
@inatsisit naapertorlugit@|@as in accordance with the laws@
@inerpoq@|@it's done@
@ini@|@room@
@inissaq@|@square@
@inneq@|@fire@
@inneq qamippoq@|@the fire is extinguished@
@innga, issuma@|@it over there@
@innugujaq@|@good afternoon, good evening@
@innulk@|@birthday@
@interluarit, kumoorn@|@good morning@
@inuak@|@finger@
@inuit@|@povo@
@inuit eqimasorsuit@|@a closely packed crowd@
@inuit ikattorsuit@|@a great crowd@
@inuit nalinginnaat@|@all sorts of people@
@inuit tamalaat@|@all sorts of people@
@inuit uppertut@|@people who believe@
@inuk@|@human@
@inuk ajalorpoq@|@a person goes bankrupt@
@inuk makitasooq@|@a conceited person@
@inukkat qapiarpai@|@shuffles cards@
@inulaat@|@people@
@inuugujoq, kutaa, haluu@|@hello@
@Inuuinni pilluarit@|@birthday greetings@
@inuuneq naassaanngitsoq@|@the eternal life@
@ipeqqap palersinera  piiginnaruk@|@only take off the charred part of the wick@
@ippassaaani@|@day before yesterday@
@ippassaani@|@the day before yesterday.@
@ippassaaniinnaq@|@a short time ago@
@ippassaanissaani@|@the day before the day before yesterday@
@ippassaq@|@yesterday@
@ippassaq tamatuma nalaagut@|@this time yesterday@
@ippassigami@|@a few days ago@
@ippassiguni@|@in a few days@
@ippernat kiggii@|@mosqouito bite@
@ippiarsuk@|@sewing bag@
@ippiarsuusaq@|@beroe@
@ippigaa@|@is offended by it@
@ippigarpoq@|@emerges from the water@
@ippigisaaruppunga@|@I no longer feel any pain@
@ippiguppoq, ippikkiorpoq@|@is ailing@
@ippik@|@bluff@
@ippiliugaq@|@fortress@
@ippingiagaa@|@is oppressed by it@
@ippingianarpoq@|@is disagreeable@
@ippingiappoq, ippingiatorpoq@|@feels troubled@
@ippinnarpoq@|@disagree-able@
@ipunneq naluvoq@|@cannot row@
@isaa saamilleq@|@his leit eye@
@isaata illua illuminit nimmeruvoq@|@his one eye is smaller than the other@
@isai soorlu kappussat@|@his eyes are stiff@
@iserniarit aat?@|@come in!@
@isigak@|@foor@
@isiginnaartitsisarfik@|@theater@
@isikka eqeerluanngillat@|@my eyes@
@isikkani kalikatarpai@|@drags his feet@
@isima illua ippigisalerpara@|@I have now frequently a pain in my eye@
@isima nalaat@|@the direction in which I am looking@
@isima sammisaat@|@turns it towards someone @
@isini assalippai@|@rubs his eyes@
@isip qaleruaa@|@film over the eye@
@issaapput@|@they an sit down@
@issajaarpoq, issakatsiaarpoq@|@swings@
@issakajaat, issakatsiaarut@|@swing@
@issaq (ikivaa)@|@the end of the line @
@issarpoq (illuk)@|@swings@
@issavik, issiaffik@|@bench@
@isserfik@|@the piece of wood behind the@
@isserpoq@|@is on the point of sitting down@
@issi@|@cold@
@issiaataq@|@seat @
@issiaatserpaa@|@puts a seat on it@
@issiallappoq@|@falls backwards@
@issiavigaa, issiaffigaa@|@sits on it@
@issiavik@|@chair@
@issiavik iigarfilik@|@seat with support for the back@
@issiavik ukamartulik@|@rocking chair@
@issiavoq (ingippoq)@|@sits down@
@issiffarippoq@|@sits well@
@issiffarluppoq@|@sits badly@
@issiffaseq@|@manner of sitting@
@issiffatigaa@|@sits because of it or for its sake@
@issimasortavut@|@our passengers@
@issimavii@|@his travelling companions @
@issimavoq@|@is a passenger @
@issingavoq@|@stands curved @
@issinnerit@|@pieces of ice which at low water rest against the stones @
@issippoq@|@squats@
@Issippoq@|@It is cold@
@issoqqaarippoq@|@is rather square@
@issoqqaq@|@clotted mass@
@issoqqat@|@gore@
@issoraavik, ikioqqaavik@|@a vessel@
@issoraq@|@thwart (in a boat)@
@issorarpoq@|@stiffens gradually @
@issorpoq, issortippoq@|@solidifies@
@issorsuuppaat@|@they shoot at it@
@isssiffarissaarpoq@|@attempts to sit comfortably@
@issuk@|@testicle@
@issumaak@|@you there! (sing.)@
@issumik qassoraavoq@|@throws up earth (for a wall)@
@issuppaa@|@shoots at it.@
@issuppoq@|@has swollen testicles@
@issutit (ikippaa)@|@a species of heather with white flowers@
@issuttaqattaarpaa@|@he shoots at it@
@issuusaq@|@potato@
@isu@|@end@
@isumaa oqippoq@|@he is wavering@
@isumaq ikkattoq@|@a superficial thought@
@ittaneruserpoq@|@shows his shrewdness@
@ittanneq@|@clever@
@ittanneruvoq@|@is shrewd@
@ittassarpoq@|@is spoilt@
@ittooraa@|@is shy of him@
@ittoornarpoq@|@is unapproachable@
@ittoorpoq@|@ hesitates@
@ittoorunnaarpoq, ittuujuerpoq@|@takes his courage in both hands is courageous@
@ittoorutigaa@|@is shy for that reason@
@ittuk@|@ rush@
@ittulaarpoq@|@roars@
@ittuppaluk@|@the boom of the ocean@
@ittuppoq, ittuppaluppoq@|@rushes@
@ittuujuippoq@|@insolent@
@iviit assallatserpai@|@he turns the hay@
@ivik@|@grass@
@Juullimi Ukiortaassamilu Pilluarit (sg), Juullimi Ukiortaassamilu Pilluaritsi (pl)@|@Christmas and New Year greetings@
@kaaavarpaa@|@beats it @
@kaaffik@|@anvil@
@kaagi@|@cake (loan word)@
@kaaguppaa (kaavaa)@|@pegs it together@
@kaagussanik nassullit@|@the horny-sheathed@
@kaajaaq@|@groin (of human beings)@
@kaajallak@|@brandy@
@kaajallanneq@|@revolution@
@kaajallapaa@|@walks around it @
@kaajallappoq@|@walks around once@
@kaajallatippaa@|@turns it round @
@kaajaluinneq, kaajaluitsoq@|@revolution@
@kaajaluipoq@|@surrounds something@
@kaajaluisaq@|@a kamik with ribbons all around@
@kaajaluivaa@|@surrounds it@
@kaajarnaq@|@whirlwind@
@kaak@|@walrus skin@
@kaallattarpaa@|@beats it @
@kaallisut oqalussinnanngilanga@|@i don't speak Greenlandic@
@kaamippaa (kappaa)@|@pushes it before him@
@kaamippoq@|@continues on his way@
@kaamisaat@|@line (from the stern of the umiak).@
@kaamisarpaa@|@pushes it (the umiak) @
@kaamittariaq@|@something to be pushed forward@
@kaamuumivoq@|@continues@
@kaanneq@|@hunger, starvation, starvation.@
@kaanngarpoq (kaavoq)@|@is loosened@
@kaanngartippaa@|@loosens it @
@kaappaa@|@hammers on it@
@kaappoq@|@is hungry@
@kaaputarnaqaaq@|@the sea is against him@
@kaasarfik@|@pocket@
@kaasarfimmiugaa@|@has it in his pocket@
@kaasarfimmiuliuppaa@|@thrusts it into his pocket@
@kaasimaarfik, kaasariaq@|@muff@
@kaasimaarpoq@|@has his hands in his pocket@
@kaassaaq@|@buzz@
@kaassalivoq, kaassalisaarpoq@|@is pushed forward by the waves @
@kaassalunnguaq@|@rotifer@
@kaassaq@|@pulley@
@kaasserpaa (atisani), kaasserpai (kumaat)@|@airs his clothes @
@kaassivik@|@last @
@kaassorfigaa@|@pushes the kayak or the sledge forward on it@
@kaassorpoq@|@pushes forward@
@kaassorpoq@|@squats@
@kaassortuut@|@entomostraca@
@kaassuarpaa@|@pushes it in front of himself @
@kaassuarpoq@|@pushes the sledge in front of himself@
@kaassuinnaq@|@by pushing the kayak @
@kaassuinnaq ingerlavugut@|@we made progress by pushing the sledge in front of us@
@kaasuaaq@|@cassowary (loan word)@
@kaataq@|@hammer@
@kaatorpaa@|@feels with his hand for it! @
@kaattariaq@|@chisel@
@kaattorpaa@|@hammers on it @
@kaattorpoq@|@eats for the first time@
@kaattungiaq@|@balanus@
@kaavaa@|@thrusts the hand into it or under it@
@kaavaarivoq, kaavaavoq@|@beats frozen blubber @
@kaavalanerit@|@pieces of ice @
@kaavarsit@|@spermaceti@
@kaavarsivik@|@the stone with which the frozen blubber is beaten@
@kaavartaq@|@oil from beaten blubber@
@kaaveq@|@top of something@
@kaavequt@|@top piece@
@kaaviffia@|@its a.xis@
@kaaviffik@|@pole@
@kaaviinnaq@|@polka@
@kaavikoorpoq@|@is intoxicated@
@kaavippaa@|@walks around it@
@kaavippoq@|@walks around@
@kaavissuppaa@|@carries it round something @
@kaavitiaaq, kaavititaaq, kaavikiak@|@humming top@
@kaavitippaa@|@revolves it@
@kaavitsivik@|@spit@
@kaavittoq@|@roller@
@kaavittuliorneq@|@whirlwind@
@kaavoq@|@loosens@
@kaffeq@|@coffee berry@
@kaffequt@|@coffee tree@
@kaffikut@|@coffee grounds@
@kaffilaaq@|@addition to coffee@
@kaffiliorpoq@|@makes coffee@
@kaffiliuserpoq@|@puts the coffee over the fire@
@kaffillerpoq@|@treats to coffee@
@kaffisorfik@|@coffee pot@
@kaffisorpoq@|@drinks coffee@
@kaffit@|@loan word)@
@kaguppoq@|@perspires@
@kaisimaffik, katisimmavik@|@time of meeting@
@kaitisimapput@|@they are assembled@
@kajaappoq@|@is always of the party@
@kajarpoq, kaanneq@|@does not take part in it@
@kajoq, kaasserpai (kumaat)@|@brown dog@
@kajoranaqaaq@|@one becomes languid@
@kajorpoq@|@is brown@
@kajortippoq@|@becomes brown@
@kajortitippaa, kajortitippoq, aquippoq@|@is fried @
@kajuaraq, kajoruveq, kassuit@|@golden plover @
@kajuarpoq, kajoravoq@|@is brownish, tawny@
@kajujuummisaat@|@fly-wheel@
@kajujuummivoq@|@keeps on running @
@kajumigaa@|@is willing, eager to do it@
@kajumiillivoq, kajumissivoq@|@has lost the inclination@
@kajumiippoq, kajumissarpaa@|@does not feel inclined@
@kajumippoq@|@is ready, willing@
@kajumissaarpaa, kajumissarpaa@|@encourages him to something@
@kajumissaat@|@encouragement@
@kajumissivoq@|@takes a fancy to something@
@kajummissaarpoq@|@takes a run @
@kajungeraa@|@feels drawn towards him@
@kajungernarpoq@|@is desirable@
@kajungerpoq@|@yearns@
@kajungissutigaa@|@is urged by it@
@kajunngutigaa, saviit kajungerisaat@|@is drawn by it towards something@
@kakagaa, kakkaaq, kakappoq, kakammik@|@thinks that it, surprising@
@kakak@|@head of pin or nail@
@kakallarnaq@|@thorn (on a plant)@
@kakammik portuvoq@|@is surprisingly tall@
@kakappaa, ingammik, akimmik@|@carries him on his head@
@kakappallaaqaaq@|@this is altogether too bad@
@kakappoq, kajungerpoq@|@goes too far@
@kakassaq, kakammik@|@bone peg at the upper end of a throwing board for a harpoon@
@kakiaat@|@basting thread@
@kakiarpaa@|@stitches it up@
@kakiassaq ajornaq@|@if only I had a leister!@
@kakilisak@|@stickleback@
@kakillalaarpoq, kakillaaluppoq@|@has "pins and needles" in a limb@
@kakillalaartitsivoq, kakillaalutsitivoq@|@he has "pins and needles" in his leg or arm@
@kakillarnaqut@|@thorn shrub@
@kakillarnat@|@his teeth chatter @
@kakioraat@|@basting thread@
@kakiornerit, kakiorarnerit@|@tatooing@
@kakiorpaa, kakiorarpaa@|@bastes it@
@kakiorpoq, kakiorarpoq@|@tatooes himself@
@kakivaa@|@sticks into it@
@kakkakkaartorpoq@|@the fox barks@
@kakkersaasoq@|@book binder@
@kakkersarpaa@|@stitches it up@
@kakkersarpaa, kakkersorpaa, v. kakivaa, kakiak (kakivaa)@|@leister@
@kakkersorpaa@|@stitches it together @
@kakkersuivik (mappersikkanut)@|@sewing board@
@kakkersuuppaa@|@attaches it to something (-mut);@
@kakkilertavoq@|@is snotty@
@kakkippaa@|@blows his nose@
@kakkippoq@|@blows his nose (refl.)@
@kakkissaat@|@kerchief@
@kakkissaat, kakkik@|@snot@
@kakkissarfik@|@pocket handkerchief@
@kakkiviaq@|@upper lip @
@kakkivik@|@needle cushion@
@kalaaleq@|@greenlander@
@Kalaaleq@|@Greenlander@
@Kalaaliuvunga@|@I am Greenlandic@
@Kalaallisut@|@Greenlandic@
@Kalaallit@|@The Greenlanders@
@Kalaallit nunaanni@|@In Greenland@
@Kalaallit Nunaannit@|@From Greenland@
@Kalaallit Nunaat@|@Greenland@
@kalaallit oqaasii@|@the Greenlandic language@
@kalaallit oqalusinnaavit?@|@do you speak Greenlandic?@
@kalallivoq@|@knows, is familiar with the habits of the Greenlanders@
@kalassivoq@|@has Greenlandic manners@
@kalavik@|@is a pure-blooded Greenlander@
@kalerraa@|@the sound of it@
@kalerraq@|@crash, sound@
@kalerrippaa@|@gives him a hint of some-thing@
@kalerrippoq@|@gets a hint of something@
@kalerrisaarpaa@|@gives him a hint of something@
@kalerrissutigaa@|@gets a hint of something through it@
@kalerriuppaa@|@gives a hint of it@
@kaligaq@|@that which is towed@
@kaligiikkut@|@guard to protect the trigger of a gun@
@kalikalaarpaa@|@trails it along @
@kalikalaarpoq@|@trails something small after him@
@kalikataarpoq@|@shuffles his feet@
@kalikattaq@|@stern boat@
@kalikattarpaa, kalikataarpaa@|@drags it after him @
@kalippaa@|@tows it@
@kalippaa (kappaa)@|@strikes against it@
@kalippoq@|@drags something after him@
@kalisappoq@|@breathes heavily@
@kalisattorpoq@|@places his foot in front of a sledge@
@kalitaq@|@that which is towed@
@kalitippaa@|@lets him tow@
@kalittoq@|@one who tows@
@kallangaappoq@|@is at ease@
@kallangavoq@|@is ill at ease@
@kalleq@|@thunder@
@kallerpoq@|@it thunders@
@kallormippaa@|@strikes against it with the paddle mounting@
@kallu@|@bone mounting @
@kalluarpaa@|@strikes against it @
@kalluppaa@|@strikes it against something @
@kallut@|@towing line@
@kalunnerit, kalunnerit, kalinnerit@|@chain@
@kaluppoq (kappaa)@|@breaks something@
@kalusarpoq, kalisarpoq@|@tugs @
@kaluserfik@|@place where the towing line is attached@
@kalut@|@towing implement @
@kaluuvoq@|@is careless (about things)@
@kamaappaa@|@is angry with him@
@kamaapput@|@are angry with each other@
@kamaassaa@|@the person he is angry with@
@kamaataraanga massa annoraamik tunillarinni@|@he is still angry with me@
@kamaatigaa@|@is angry about it@
@kamagaa@|@puts up with him@
@kamaginnippoq@|@is patient@
@kamagittaappoq@|@does not show the least indulgence@
@kamagittarpoq@|@is patient@
@kamakkajuppoq, kamajavoq@|@is hot- tempered@
@kamanaappoq@|@is intolerable@
@kamanarpoq@|@is tolerable@
@kamanneq@|@anger@
@kamanneq ajorpoq@|@he never gets angry@
@kamannera@|@his anger@
@kamappoq@|@hot-tempered@
@kameraq@|@small lace-up boot @
@kameruaq@|@pull-over boot@
@kamia, kamma, kamini (refl.), kammi (refl.)@|@his boot@
@kamii, kammi, kamini (refl.),  kammani (refl.)@|@his boots@
@kamik@|@Greenland boot@
@kamikka naammagaakka@|@my boots fit me@
@kamikka naammapput@|@I have boots enough@
@kamikka taakkallarlakka@|@let me first pull my storckings@
@kamikka, kammakka@|@my boots@
@kamilaarpoq, kamillaangavoq@|@is barefoot@
@kamillaat, kamillartaat@|@boot-jack@
@kamillarpaa@|@pulls off his boots@
@kamillarpoq@|@pulls off his boots (reft.)@
@kamillarterpaa@|@(gradually) pulls off his boots@
@kamimma illua takunngiliuk@|@have you not seen my one boot?@
@kamippaa@|@puts him into boots@
@kamippak, kamippaq@|@pull-over boot@
@kamippoq@|@puts on his boots @
@kamisaq@|@haIf-boot@
@kamisit, kammatit@|@your boots@
@kamittaakka ippigaakka@|@I do not feel comfortable in my  new boots@
@kamittaq@|@top of boot@
@kamittorpaa@|@helps him into his boots @
@kamittorpoq@|@puts on his boots (reft.)@
@kamivut, kammavut@|@our boots@
@kammartooq@|@a fire-eater@
@kammeraa@|@takes care of his boots@
@kammeraaq, kammerivoq@|@is at work with boots @
@kammerisigaa@|@has her to take care of his boots@
@kammiorpaa@|@treats a boot with a boot stretcher@
@kammit makkorpaluttut@|@European boots@
@kammiut@|@boot stretcher @
@kammivaa@|@sews boots for him@
@kammivoq@|@sews boots@
@kana@|@below@
@kanaaq@|@shank@
@kanaartaq@|@stalk (of a flower)@
@kanajaat@|@sea scorpion@
@kanajajoorpoq, kaniajoorpoq@|@becomes angry@
@kanajajugaa, kanajajuukkuppaa, kaniajuuppaa@|@becomes envious of him@
@kanajorlak, kaniorlak@|@armed bull-head @
@kanajorniarpoq, kaniorniarpoq@|@fishes for sea scorpion@
@kanajorpoq, kaniorpoq@|@has fished sea scorpion@
@kanajorsiut, kaniorsiut@|@line for fishing sea scorpion@
@kanajorsiutit@|@jig for fishing sea scorpion@
@kanajorsiutit eqeqqui@|@the hooks of a sea-scorpion jig@
@kanani@|@below here@
@kananiippoq@|@goes down there@
@kanannap aataat kangujaassimavai@|@the western wind has carried the seals farther in towards land@
@kanannaq@|@western wind@
@kanannarpoq@|@it blows from the west@
@kanannga@|@from below here@
@kanassiarpoq, kanissiarpoq@|@is out fishing sea scorpion.@
@kanassiorpoq, kanissiorpoq@|@boils sea scorpions@
@kanerneq@|@dew drops@
@kanerpaa@|@covers it with dew or rime@
@kanerpoq@|@covered with rime@
@kangaaq, kangaarsuk@|@projecting headland @
@kangeq@|@headland@
@kangeqquppaa@|@goes to the east of it@
@kangerliumaneq@|@fiord@
@kangerluk@|@fjord@
@kangerluup eqinga@|@an inlet in a bay@
@kangerparpoq@|@moves farther towards the land@
@kangerpasippoq@|@is rather far towards the land@
@kangerput@|@the region to the east of us@
@kangi@|@east@
@kangia allarpoq@|@the weather begins to clear in the east@
@kangiaappaa, kangujaappaa@|@carries it with him towards the land@
@kangiarpoq, kangujarpoq@|@moves farther in @
@kangiarterpaa, kangujarterpaa@|@tucks it up (a garment)@
@kangiatigooq, kangiagooq@|@breech loader@
@kangileq, Uummannap kangilii@|@the islands which are situated east of Umanak@
@kangileqarpoq@|@has something to the east of him@
@kangileraa@|@has it to the east of him@
@kangileriipput@|@they are situated in a row towards the land@
@kangilerna@|@the country to the east of it@
@kangilineq@|@the country to the east@
@kangilleq@|@the most easterly@
@kangillersaat@|@the most easterly of them@
@kangilliuvoq@|@is most easterly@
@kangimukarpoq@|@goes towards the east@
@kangimut@|@landwards@
@kangoq@|@snow goose @
@kannaaliaq@|@loose woman@
@kannak (katippaa)@|@sexual organ@
@kannapi@|@a common name@
@kanneq (katippaa)@|@joining@
@kanngippoq@|@meets an obstacle@
@kanngisaarut@|@obstacle.@
@kanngisippaa@|@puts an obstacle in his way@
@kanngugaa@|@considers it shameful@
@kanngunarpoq@|@is shameful@
@kanngunartuliorpoq@|@commits an in- famous deed@
@kanngunassuseq@|@indecency@
@kanngusaarpaa@|@scolds him sharply@
@kanngusuffigaa@|@is abashed before him@
@kanngusujuippoq@|@is shameless@
@kanngusuppoq@|@is ashamed@
@kanngusuutigaa@|@is ashamed of it@
@kanngutaalliorneq@|@shameful behaviour@
@kanngutippoq, kanngutsippoq@|@becomes suddenly ashamed@
@kannguttaappoq@|@is unchaste@
@kannguttarpoq@|@is chaste@
@kannussaaqivoq, kanngusaarpoq@|@is red as copper@
@kannussaasaq@|@bronze@
@kannussak aappalaartoq@|@copper@
@kannussak qaqortoq@|@brass@
@kannussak, kanngussak, kanngusaq@|@bright metal@
@kanunga@|@down here@
@kanunnarpoq@|@dissolute man@
@kanunneq, kanunngeq@|@driftwood @
@kanuuna@|@down here@
@kanuunaqquppaa@|@the man down there or to the west@
@kanuunaqquppoq@|@goes to the west of it@
@kanuunartoq@|@goes down or to the west@
@kaperlak@|@the dark period@
@kaperluk@|@spine (of a bird)@
@kapinartoq@|@quill@
@kapinartulik@|@thorn shrub@
@kapinartunik meqqulik@|@an animal with spines instead hairs@
@kapineq@|@stab@
@kapippaa@|@pulls the inner and outer parts of a double garment @
@kapiseq@|@gutskin jacket@
@kapisiarpoq@|@shrieks so as to make@
@kapisilik@|@herring@
@kapitak@|@water-proof jacket@
@kapitaq@|@inner garment @
@kapiterpai@|@pulls them into each other @
@kapiterpoq@|@puts on his water-proof jacket@
@kapitserpoq@|@puts on his water-proofjacket@
@kapitsiorpaa@|@makes a water-proof jacket  him@
@kapitsiorpoq@|@makes a water-proofjacket@
@kapivaa@|@calumniates him@
@kapivoq@|@stings himself@
@kapoorpaa@|@stabs him several times@
@kaportippoq@|@is vaccinated@
@kaportitsivoq@|@has stitch@
@kaportoq@|@stinging pain@
@kappaa@|@a word which is not used@
@kappiagaa@|@is anxious about him @
@kappialaatigaa, kappialassutigaa@|@wails over it@
@kappialavoq@|@laments@
@kappiasaarpoq@|@complains (in order to be pitied)@
@kappiasuppoq@|@is anxious (about a sick person)@
@kappiasuutigaa@|@feels anxious about@
@kappoq@|@stab@
@kappoqqut@|@pin@
@kappuppaa@|@thrusts it into something @
@kappussivaa@|@thrusts his kayak paddle in under the cross-strap @
@kappussivoq@|@supports himself by thrusting@
@kapukaluppoq@|@has "pins and needles" in a limb@
@kapunisaarut@|@wood or bone spit for boiled pieces of meat @
@kapuut@|@kayak knife@
@karnalak@|@reindeer which is shedding its hairs@
@karnalanikut@|@small particles which have fallen down gradually@
@karnalavoq (katappoq)@|@is constantly losing a little of it @
@karra@|@high promontory@
@karraqquppaa (kangi)@|@goes round its extreme headland goes to the west of it@
@karreqalerpoq@|@begins to form ears@
@karri@|@its (several) ears@
@karri (kangi)@|@bunch of flowers in the top of a plant@
@karriiarnikut, karriarnikut@|@thrashed-out straw@
@karsi@|@cash register@
@kassak, aja-kassak@|@how clever he is Excellent!@
@kasseq@|@crown of head@
@kasserivoq@|@complains of being hungry@
@kassuk (kaappaa)@|@bits of ice drifting in the sea@
@kassuppaa@|@knocks it loose @
@kasuppaa (kaappaa)@|@strikes against it@
@kasuttaat@|@instrument with which one strikes against something@
@kasuttagaq@|@fire-steel@
@kasuttorpaa@|@knocks at it several times@
@kasuttorpoq@|@knocks at a door@
@kasuuppaa@|@thrusts it against something@
@kasuuput@|@they touch glasses with each other@
@kasuussaapput@|@they strike against each other@
@kasuussarpoq@|@hammers@
@kasuussutigaa@|@they touch glasses@
@kasuutta!@|@cheers!. good health!@
@kataappoq@|@his clothes are in tatters@
@kataassaq@|@small precipice@
@katagaavoq, katataavoq@|@has been left behind@
@katagarpoq@|@falls off in part or gradually@
@katak@|@the inner end of a Greenland house passage@
@katalleq@|@he or that which has his (its) place@
@katannikut, kattakut@|@shed hairs or horns@
@katappaa@|@has dropped it@
@katappoq@|@is lost@
@katattartunik nassulik@|@an animal with horns which are to be shed@
@katernaaq (katippai)@|@newly married@
@katernaat@|@a newly married couple@
@katersarsuit, katersaarsuit katersarpassuit@|@quantity, host@
@katersat (katippai)@|@gathering@
@katersivoq@|@collects something@
@katersorfik@|@gathering place where people crowd together@
@katersorpai@|@gathers them@
@katersorput@|@they are gathered together@
@Katersortarfik@|@Local hall@
@Katersugaasivik@|@Museum@
@katersuiffik@|@harvest season@
@katersuivoq@|@gathers together@
@katersuupput@|@they assemble@
@katersuuttut@|@crowd@
@kateruserput@|@their banns have been published@
@kateruuppaa@|@gathers for him@
@katiffissiorpoq@|@celebrates his wedding day@
@katillugit quliupput@|@together they make ten@
@katimapput@|@they are gathered in a cluster@
@katinneq@|@joint@
@katinnera ersinngilaq@|@the joint is not visible@
@katinngapput@|@they hangtogether@
@katinngarmik@|@they together@
@katinngarmik ornippaat@|@they went to him together@
@katinngavoq@|@hangs together with something @
@katippai@|@joins them together@
@katipput@|@are joined@
@katisimajartorpoq@|@goes to a meeting@
@katissimapput@|@they are joined together@
@katitippai@|@marries them@
@katittorsiorfik@|@wedding@
@katittorsiut@|@wedding clothes@
@katittut, katittussat@|@bridal couple@
@katsorani iserpoq@|@he went in at once@
@katsorik (kajoq)@|@sable@
@katsorippoq@|@is beautifully brown@
@katsorna, katsornani@|@at once@
@katsornanga utissaanga@|@I shall be back presently@
@katsorpoq@|@has peace and calm within himself@
@katsorsaasoq@|@physician@
@katsorsaat@|@medicine@
@katsorsarpaa@|@heals him@
@katsuaq@|@the inner muscle of the upper arm@
@katsungaarsorpoq@|@he is stirred up@
@katsungaaserpoq@|@does not give himself any rest@
@katsungappoq@|@is restless@
@katsunngilaq@|@is quick at something@
@kattari@|@heretic@
@kattuppaa, katuppaa@|@joins it to something@
@kattuppai@|@joins them together@
@kattupput, katupput, katussipput@|@they join about something@
@kattutaartorput@|@crowd together@
@katuaq@|@drum@
@katuarpoq@|@drums@
@katuppaa@|@beats it (the drum)@
@katuut, katu@|@drum stick@
@kavaajaq@|@great coat@
@kavasappaa@|@pushes him@
@keermiaasiit@|@well now@
@keertorpaa@|@says ke to him@
@kia-una pia@|@whose is it?@
@kiaallak@|@it is beautifully warm in here!@
@kiaallappoq, kissaallappoq@|@is warm @
@kiagunneq@|@perspiration@
@kiagunngerit@|@drops of perspiration@
@kiagussaat@|@sudorific@
@kiak@|@warmth@
@Kiak@|@It is very hot@
@kialaarpoq@|@is tepid @
@kiallerpoq@|@hurts the shoulder@
@kiallersimavoq@|@has hurt the shoulder@
@kiami taava eqqartorpaanga?@|@who is speaking of me? @
@kiammik ipilerpunga@|@I am suffocating with heat@
@kiammiulluni@|@by the sweat of his brow@
@kiammivoq@|@is covered with perspiration @
@kianneq, kiassuseq@|@heat@
@kiapequt@|@upper part of water-proof kayak jacket@
@kiapersorpoq@|@shakes the upper@
@kiappaa@|@boils it (the skin) in order to eat @
@kiappoq@|@is hot@
@Kiappoq@|@It is warm@
@kiaqut@|@means of heating@
@kiaqutaavoq@|@heats@
@kiasik@|@shoulder blade@
@kiasiusaa qiversippaa, silutippaa@|@cocks the gun@
@kiasiusaq@|@cock of gun@
@kiassarippoq@|@is apt to get warm@
@kiassuaq@|@what a heat!@
@kiat@|@upper (fore) part of the body@
@kiatikippoq@|@is narrow-shouldered@
@kiatituvoq@|@is broad-shouldered@
@kiatsippaa@|@heats it @
@kiatsippoq@|@has become@
@kiattarpaa@|@boils it @
@kiattulersorpoq@|@applies a hot poultice@
@kiattuliorpoq@|@has eructations @
@kiffara ujariagaara@|@I miss my handmaiden@
@kiga@|@south@
@kigaallappoq@|@slackens @
@kigaappoq@|@walks slowly@
@kigaarpoq@|@the blood is staunched @
@kigaatsumik@|@little by little@
@kigaatsumik nukittoriartorpoq@|@recovers stength little by little@
@kigaatsumik siuaritsi malikkumaarpassi@|@you walk gently ahead I follow@
@kigani@|@over there in the south@
@kigannga@|@from the south@
@kiganngaq@|@southwestern wind@
@kiganngarpoq@|@it blows from the southwest@
@kiganngarsuaq@|@gale from the southwest@
@kigarneq@|@incision@
@kigarpaa@|@makes a notch or an incision in it@
@kigarpoq@|@is incised @
@kigartorpaa@|@makes several notches@
@kigerpoq@|@eats traces @
@kiggaq@|@mountain pass@
@kiggeq, kiineq@|@bite@
@kiggeqqut@|@clothes´ pin@
@kiggiaq@|@beaver@
@kiggippaa@|@pinches it@
@kiggisippaa@|@lets it get jammed@
@kigippoq@|@the blood is staunched@
@kigunga@|@there in a southern direction@
@kigutinik nakorsaq@|@dentist@
@kiguuna@|@there about the south@
@kii, keermi@|@let go! @
@kiiarput@|@rows with alternate quick@
@kiinarsiorpaa@|@watches his countenance @
@kiinarsivaa@|@confronts him@
@kiinarsorpoq@|@makes a wry face@
@kiinnamut saagoq@|@veil@
@kiinnarluppoq@|@cuts badly.@
@kiinni eqippaa@|@he wrinkles his face@
@kiinni equsaartippaa@|@distorts his face@
@kiinni ulippaa@|@he covered his face@
@kikiassaliakka ikinaarpakka@|@I have made too few nails@
@kikkut@|@who@
@killaagut@|@darning needle@
@killaagutissiaq@|@darning wool or cotton@
@killaarpaa@|@sews up the holes in it@
@killalaarpoq@|@the kayak @
@killaq (kilak)@|@hole (in something)@
@killiavoq@|@his skin is chapped@
@killik@|@limit@
@killinga@|@its limit@
@kimut@|@whom@
@kinaana?@|@who is it? @
@kinaana? Tassa illusimaviga@|@who is it? it is he I am living with@
@kingorna@|@later@
@kingornagut@|@for@
@kisianni@|@but@
@kisimi ilumut Guutiusoq@|@the only true God@
@kissarsuut qamippoq@|@the fire is out in the stove@
@kissaviarsuk tiguneq uloriagaara@|@I am afraid to take the Calcon@
@kitaa@|@west@
@kooruunit@|@Danish kroner@
@kristumiut upperisaat@|@the Christian faith@
@Kristusip sanningasulia saammaaffiuvoq@|@through the cross of Christ@
@kujataa@|@south@
@Kujataa@|@South Greenland@
@kujataamiut immikkut erinaqarput@|@the Southlanders have a peculiar accent or dialect@
@kumoom@|@good morning@
