@English@|@Macedonian@
@apiary@|@p~elarnik, uli{te@
@apiculture@|@p~elarstvo@
@apiece@|@po edinica (edinka glava)@
@apish@|@majmunski@
@aplomb@|@pribranost, samouverenost, sigurnost@
@apocalypse@|@apokalipsa@
@apocalyptic@|@apokalipti~en@
@Apocrypha@|@Apokrif, apokrifi@
@apocryphal@|@apokrifen, neavtenti~en, neverodostoen, podmetnat, so somnitelno poteklo, vonkanonski@
@apogee@|@vrv (fig)@
@apologetic@|@izvinuva~ki@
@apologia@|@apologija, branewe (na ideja veruvawe)@
@apologist@|@apologet@
@apologize@|@se izgovara, se izvinuva@
@apology@|@apologija, izvinuvawe, odbrana@
@apoplectic@|@nezdravo crven (vo liceto)@
@apoplexy@|@kapka, udar@
@apostasy@|@odmetnuvawe@
@apostate@|@odmetnik, otpadnik@
@apostatize@|@se odmetnuva (od vera ili dr)@
@apostle@|@apostol@
@apostolic@|@apostolski@
@apostrophe@|@apostrof, obra}awe@
@apostrophize@|@apostrofira, se obra}a@
@apothecary (arch)@|@aptekar@
@apotheosis@|@obo`uvawe, proglasuvawe za bog@
@apotheosis (fig)@|@glorifikacija, slavewe@
@appal (Am) appall@|@prepla{uva, prestra{uva@
@appaling@|@grozen, stra{en, stravi~en, u`asen@
@appanage@|@apana`a@
@apparatus@|@aparat, sprava, trakt (za di{ewe varewe)@
@apparel@|@doteruva, obleka, oblekuva (sve~eno), ode`da@
@appliance@|@alat, aparat, instrumnt, ma{ina, naprava, sredstvo@
@applicable@|@primenliv, upotrebliv@
@applicant@|@kandidat, molitel@
@application@|@aplikacija, barawe, molba, oblog, premaz, primena, primenuvawe, upotreba, vez, zalagawe@
@applied@|@primenet@
@applied art@|@primeneta umetnost@
@apply@|@dava molba (za), primenuva, se nama~kuva, se upotrebuva, stava@
@apply for admittance@|@moli za pristap@
@appoint@|@dogovara, imenuva, nareduva, odreduva, odreduva, opremuva, postava (funkcioneri), propi{uva, ustanovuva, utvrduva@
@appointed@|@izbran (na funkcija), opremen, utvrden, zaka`an@
@appointment@|@dogovor, imenuvawe, mesto, nalog, postavuvawe, slu`ba, sostanok, zapoved@
@appointments@|@priklu~ni delovi@
@apportion@|@dodeluva, izmeruva, predviduva (za), raspredeluva (ednakvo), razdeluva@
@apportionment@|@raspredelba@
@apposite@|@prikladen, primeren, pristoen@
@apposition@|@apozicija@
@appraisal@|@ocena, procena@
@appraise@|@ocenuva (kvalitet vrednost), procenuva@
@appreciable@|@{to mo`e da se ceni, oseten, zabele`itelen, znaten@
@appreciate@|@ceni, dobiva pogolema vrednost, ocenuva, po~ituva, se soobrazuva so (mislewe), uviduva@
@appreciation@|@blagodarnost, ocena, ocenuvawe, po~ituvawe, porast na cena, procenuvawe, razbirawe@
@appreciative@|@blagodaren, koj{to mo`e da ceni, poln so razbirawe@
@apprehend@|@fa}a (prestapnik), o~ekuva so strav, se pla{i (od idninata)@
@apprehend (arch)@|@razbira, sfa}a@
@apprehension@|@fa}awe (prestapnik), gajle (za ona {to idi), gri`a, strav, zatvorawe@
@apprehension (arch)@|@razbirawe, sfa}awe@
@apprentice@|@~irak, dava na zanaet (kaj), kalfa, u~enik vo stopanstvoto@
@apprenticeship@|@~irakuvawe, kalfuvawe, u~ewe zanaet@
@apprise@|@izvestuva (za)@
@approach@|@doa|awe, pribli`uva, pribli`uvawe, pristap, pristapuva, pristapuvawe, se povrzuva so, stapuva vo pregovori so@
@approachable@|@dosti`en, pristapen@
@approbation@|@odobrenie, uslovno pu{tawe od zatvor@
@approval@|@odobrenie, pofalba@
@approve@|@ima dobro mislewe, izrazuva pofalba (priznanie), izrazuva soglasnost, prifa}a@
@approved school@|@dom za maloletnici, popraven dom@
@approximate@|@pribli`en, pribli`no to~en@
@approximately@|@okolu, pribli`no@
@approximation@|@pribli`na vrednost, pribli`nost, pribli`uvawe@
@appurtenance@|@pribor (mn), priklu~en del@
@apricot@|@kajsija@
@April@|@april@
@April fool@|@aprilili, izmamen na prvi april@
@apron@|@prestilka, skutnik, utare@
@apron stage@|@isturen del na bina@
@apropos@|@{to se odnesuva do re~enoto, umesen, umesno@
@apropriate@|@aproprira (imot), namenuva (sredstva), pogoden, prisvojuva, upotrebuva kako svoja (ideja), zema@
@apropriateness@|@pogodnost@
@apropriation@|@aproprijacija, namena, namenuvawe, prisvojuvawe@
@apsen@|@jasika, trepetlika@
@apt@|@gotov (da), kadar, pogoden, sklon, sposoben@
@aptitude@|@nadarenost@
@aptly@|@kako {to treba, ve{to@
@aptness@|@prikladnost@
@aquamarine@|@akvamarin, so boja na akvamarin@
@aquaplane@|@daska za lizgawe na voda, se lizga@
@aquarelle@|@akvarel@
@aquarellist@|@akvarelist@
@aquarium@|@akvarium@
@Aquarius@|@vodolija@
@aquatic@|@{to `ivee vo voda, podvoden, voden (`ivotno)@
@aquatic sports@|@sportovi na voda@
@aquatically@|@podvodno@
@aqueduct@|@akvadukt@
@aqueous@|@navodnet, poln so voda, vodlest@
@aquiline@|@orlov@
@Arab@|@Arab, arapski kow@
@arabesque@|@arabeska@
@Arabian@|@Arabjanin, Arabjanka, arapski@
@Arabian nights@|@iljada i edna no}@
@Arabic@|@arapski (jazik cifri), arapski (jazik)@
@arable@|@obrabotliv (zemja)@
@arable (n)@|@oranica@
@arbiter@|@arbitar@
@arbitrariness@|@proizvolnost, samovolnost, svoevolnost@
@arbitrary@|@proizvolen, samovolen, svoevolen@
@arbitrate@|@presuduva@
@arbitration@|@arbitra`a, presuduvawe@
@arbitrator@|@posrednik@
@arboreal@|@{to `ivee raste na drvo, drven@
@arboretum (pl) arboreta@|@arboretum@
@arbour (Am) arbor@|@senica@
@arc@|@lak@
@arc arcked arcked@|@molska, se izviva kako lak@
@arc lamp@|@baterija, ra~na lamba@
@arcade@|@arkada, zasvoden hodnik@
@arch@|@iter, prepreden, svod, vragolest@
@arch (v)@|@formira svod@
@archaic@|@arhai~en, dreven@
@archaism@|@arhaizam@
@archangel@|@arhangel@
@archbishop@|@arhiepiskop, vladika@
@archbishopric@|@arhiepiskopija@
@archduchess@|@nadvojvotka@
@archduchy@|@nadvojvodstvo@
@archduke@|@nadvojvoda@
@archeological@|@arheolo{ki@
@archeologist@|@arheolog@
@archeology archaeology@|@arheologija@
@archer@|@strelec so lak@
@archery@|@strelawe so lak@
@archetypal@|@arhetipski@
@archetype@|@arhetip@
@archfiend@|@|avol@
@archimandrite@|@arhimandrit@
@archipelago@|@arhipelag@
@architect@|@arhitekt@
@architectural@|@arhitektonski@
@architecture@|@arhitektura@
@archives@|@arhiva, arhivski materijal@
@archway@|@kolonada, pasa`, porta (ornamentirana)@
@arctic@|@arkti~ki, polaren@
@ardent@|@gorliv, mnogu silen (streme`), poleten, raspalen@
@ardour@|@`ar, elan, plamen, polet, silna `elba@
@arduous@|@makotrpen, naporen, strm@
@arduousness@|@makotrpnost, napor@
@area@|@kraj, oblast, podra~je, povr{ina, prostor, sfera@
@arena@|@arena, borili{te@
@argent@|@srebro@
@argot@|@`argon, argo@
@arguable@|@diskutabilen, dokazliv@
@argue@|@diskutira, doka`uva, obrazlo`uva, poka`uva, razubeduva, se kara, se rasprava, tvrdi, ubeduva@
@argument@|@argument, doka`uvawe, dokaz, karawe, predmet (na rasprava), pri~ina, raspravawe, tema@
@argumentation@|@argumentacija, raspravawe@
@argumentative@|@argumentiran, obrazlo`en, sklon kon raspravawe, smislen (dobro), uverliv@
@aria@|@arija@
@arid@|@neploden, spr`en, suv@
@arid (fig)@|@dosaden, neinteresen, neproduktiven@
@aridly@|@neinteresno, neproduktivno@
@aridness@|@neplodnost, neproduktivnost, spr`enost@
@aright@|@dobro, pravilno@
@arise (arch)@|@se podiga, stanuva@
@arise arose arisen@|@proizleguva (od), se pojavuva, se poka`uva@
@aristocracy@|@aristokratija, blagorodnici@
@aristocrat@|@aristokrat, velmo`a@
@aristocratic@|@aristokratski@
@arithmetic@|@aritmetika@
@arithmetical@|@aritmeti~ki@
@arithmetician@|@aritmeti~ar@
@ark@|@kov~eg, sandak@
@arm@|@granka (na drvo), ogranok (na organizacija), ra~ka, raka, rakav (na palto), rod na vojska@
@arm (2)@|@se vooru`uva, snabduva so (fakti trpenie)@
@arm in arm@|@raka pod raka@
@arm list@|@regruten spisok@
@armada@|@armada@
@armament@|@vojna sila, vooru`enost, vooru`uvawe@
@armature@|@armatura, kalem (na dinamo), oklop@
@armchair@|@fotelja@
@armed forces@|@vooru`eni sili@
@armful@|@polna raka@
@armhole@|@dupka za raka (na ali{ta)@
@armistrice@|@primirje@
@armless@|@bez raka@
@armlet@|@lenta (za rakav)@
@armorial@|@{to mu pripa|a na grbot@
@armour (Am) armor@|@oklop, oklopma ednicica (na vojska)@
@armour clad@|@oklopen, za{titen@
@armour plated@|@oklopen@
@armoured@|@oklopen@
@armoured car@|@oklopno vozilo@
@armourer@|@oru`ar@
@armoury@|@oru`arnica@
@armpit@|@podmi{ka@
@arms@|@grb, oru`je@
@arms race@|@trka vo vooru`uvawe@
@army@|@armija, mno{tvo, sila (od pomo{nici), voena armija@
@army corps@|@korpus@
@aroma@|@aroma, miris@
@aromatic@|@aromati~en, mirizliv@
@around@|@blisku, naokolu, nedaleku, okolu, ovde-onde (Am)@
@around (prep)@|@okolu, po, vo okolinata na@
@arouse@|@budi, pobuduva (~uvstva), pri~inuva, razbuduva@
@arraign@|@optu`uva, povikuva na odgovornost@
@arraignment@|@optu`ba@
@arrange@|@aran`ira (cve}e), doveduva vo red, izgladuva (spor), se dogovara, se doteruva, se podgotvuva, se spogoduva (za), se sreduva@
@arrange about@|@pogoduva (taksi rabotnici)@
@arrangement@|@aran`man, dogovarawe, namestuvawe (soba), podgotovka, spogodba, ureduvawe@
@arrant@|@besramen, notoren, ozloglasen@
@arras@|@tapiserija@
@array@|@doteruva, nakituva, podreduva, postrojuva, stava vo red, ukrasuva (obleka)@
@array (n)@|@izlog, revija, smotra, stroj, sve~ena obleka@
@arrears@|@dolg, zaostanata rabota@
@arrest@|@dr`i, prekinuva, privlekuva (vnimanie), zadr`uva (rast), zatvora@
@arrest (n)@|@prekinuvawe (na razvoj)@
@arrester@|@zadr`en (mehanizam `ica)@
@arrival@|@doa|awe, pristigawe, stignuvawe@
@arrive@|@doa|a, pristiga@
@arrogance@|@arogantnost, naduenost@
@arrogant@|@aroganten, naduen@
@arrogate@|@prisvojuva, zema (bespravno)@
@arrow@|@streli~ka (za nasoka), strelka@
@Arrow@|@Strela@
@arse (Am) ass@|@dupe, gaz, zadnica, zadnik@
@arsenal@|@arsenal@
@arsenic@|@arsenik@
@arsenical arsenic@|@arseni~en@
@arson@|@podmetnat po`ar@
@arsonist@|@piroman, potpaluva~ na po`ar@
@art@|@podmolnost, ume{nost, umetnost@
@artefact@|@rakotvorba@
@arterial@|@arteriski, glaven (pat)@
@arteriosclerosis@|@arterioskleroza@
@artery@|@arterija@
@artesian@|@arterski (bunar), ve{ta~ki@
@artful@|@pronikliv, ume{en@
@artfulness@|@proniklivost, ume{nost@
@artichoke@|@arti~ok@
@article@|@~len, ~len (na imenka), artikal, napis, odredba (na dokument), paragraf, predmet, statija, to~ka@
@article (v)@|@dava na kalfuvawe@
@articles@|@dogovor za kalfuvawe@
@articulacy@|@jasnost, preglednost, razbirlivost, sredenost@
@articulate@|@{to ima mnogu ~lenovi, izgovoruva, pregleden, se izrazuva jasno, sistemati~en, sostavuva, sreden (prikaz), zboruva, zglobuva@
@articulate (adj)@|@jasno izgovoren, jasno izrazen, razbirliv@
@articulated@|@podvi`en@
@articulateness@|@jasnost, preglednost, razbirlivost, sistemati~nost, sredenost@
@articulation@|@artikulacija, izgovor, jasno izrazuvawe (na misli), pr{len na bilka, sostavuvawe, spojuvawe, zglob@
@articulative@|@ras~lenet@
@articulatory@|@artikulatoren (organ fonetika)@
@artifact@|@rakotvorba@
@artifice@|@majstorija, majstorstvo, trik, ume{nost@
@artificer@|@ma{inist (vo brod), majstor@
@artificial@|@izve{ta~en, neiskren, ve{ta~ki@
@artificial insemination@|@ve{ta~ko oploduvawe@
@artillery@|@artilerija@
@artiness@|@{und, ki~@
@artisan@|@zanaet~ija@
@artist@|@slikar, umetnik@
@artiste@|@artist, glumec@
@artistic@|@{to ima vkus, umetni~ki, vkusen@
@artistry@|@imaginativnost, voobrazba@
@artless@|@neizve{ta~en, priroden@
@artlessness@|@neizve{ta~enost, prirodnost@
@arts@|@humanitarni nauki@
@arts and crafts@|@primeneta umetnost@
@arty@|@ki~est@
@as@|@iako, isto taka, isto tolku, kako na primer, kolku i da@
@as (conj)@|@bidej}i, kako, kako {to, zatoa {to@
@as a consequence@|@kako rezultat (na)@
@as a rule@|@po pravilo, redovno@
@as against@|@vo sporedba so@
@as blind as bat@|@sosema slep@
@as for@|@{to se odnesuva do@
@as good as@|@re~isi, skoro@
@as if@|@kako da@
@as if by magic (like magic)@|@kako so magija, vol{ebno@
@as in@|@kako na@
@as it is@|@kako {to izleze@
@as it were@|@da re~eme, vo izvesno smisla@
@as long as@|@se dodeka@
@as regards@|@po odnos na@
@as right as rain@|@so dobro zdravje@
@as safe as a house@|@doverliv, sosema bezbeden@
@as sound as a bell@|@neo{teten, potpolno zdrav, zdrav kako dren@
@as sure as@|@sigurno kako@
@as to@|@{to se odnesuva do, sprema@
@as well@|@kako i@
@as yet@|@se u{te, zasega@
@asankya (hind)@|@bezbrojna koli~ina@
@asbestos@|@azbest@
@ascend@|@ka~uva, poteknuva, se kreva, se vozdiga, vozvi{uva@
@ascend the throne@|@se ka~uva na prestol@
@ascendancy@|@dominacija, ka~uvawe, prevlast@
@ascendant@|@{to raste, {to se ka~uva, {to se vozvi{uva, dominanten@
@ascendant (n)@|@ascedent (podznak), nadmo}, prevlast, vlijanie@
@ascension@|@uspenie, vozdigawe, vozvi{uvawe@
@Ascension Day@|@Spasovden@
@ascent@|@ka~uvawe, podem, strmnina, ugornica, vozdigawe@
@ascertain@|@opredeluva, proveruva, razbira, soznava, utvrduva@
@ascertainable@|@utvrdliv@
@ascession@|@dobivawe visoko mesto, postignuvawe visok rang@
@ascession 1@|@pridodavawe (kon zbirka), zgolemuvawe@
@ascession 3@|@pro{iruvawe (na soznavawe), udovoluvawe (barawe)@
@ascetic@|@asket, asketski@
@asceticism@|@asketizam@
@ascribable@|@pripisliv@
@ascribe@|@pripi{uva@
@ascription@|@pripi{uvawe@
@asepsis@|@asepsa@
@aseptic@|@asepti~en@
@aseptic (n)@|@aseptik@
@asexual@|@aseksualen@
@ash@|@pepel@
@ash bin@|@kanta za |ubre@
@ash fire@|@jaglen@
@Ash Wednesday@|@~ista sreda@
@ashamed@|@posramen, srame`liv@
@ashcan@|@kanta za |ubre@
@ashen@|@pepelav, peplosan, prebleden (fig)@
@ashes@|@posmrtni ostanki@
@ashore@|@na bregot, na kopno, vo pristani{te@
@ashtray@|@pepelnik@
@ashy@|@pepelest, peplosan, sam pepel@
@Asian@|@azijski@
@Asiatic@|@azijatski@
@Asiatic (n)@|@Azijat (ka)@
@aside@|@na strana, otpat, zasolnat@
@aside (n)@|@{epotewe, digresija, do{eptuvawe@
@ask@|@nareduva, pokanuva, povikuva, pra{uva, se raspra{uva@
@askance@|@napreku (gleda)@
@askew@|@krivo, nakoso, nastrana@
@asking price@|@ponudena cena@
@asks for it@|@si go bara@
@aslant@|@koso, nakoso, napreku (e postaven)@
@asleep@|@vo son, zaspan@
@asocial@|@asocijalen@
@asp@|@zmija otrovnica@
@asparagus@|@asparagus@
@aspect@|@aspekt, gledawe, izgled, izraz, pogled, vid (na glagolot)@
@aspectual@|@vidliv@
@asperity@|@grubost, neramnost (na povr{ina), oporost, ostrina, ostrina (na klima), rapavost, reskost (vo odnesuvawe)@
@asperse@|@ocrnuva (fig), valka@
@aspersion@|@kleveta, ocrnuvawe@
@asphalt@|@asfalt, bitumen@
@asphalt (v)@|@asfaltira@
@aspic@|@`elatin, aspik, pa~a@
@aspirant@|@aspirant, pretendent@
@aspirate@|@aspirira, glasot h, izgovara so h@
@aspiration@|@aspiracija, izgovarawe so h, kopneewe, te`neewe@
@aspire@|@kopnee, se stremi, te`nee@
@aspirin@|@aspirin@
@aspiring@|@ambiciozen, onoj {to te`nee kon ne{to@
@ass@|@gaz, Magare, zadnik@
@assail@|@se frla na, se nafrla na, spopa|a (nekogo)@
@assailable@|@pogoden za napad@
@assailant@|@napa|a~@
@assassin@|@atentator, razbojnik, ubiec (potplaten)@
@assassinate@|@ubiva (od zaseda)@
@assassination@|@atentat, ubistvo od zaseda@
@assault@|@juri{, napa|a (grad dr`ava), napad@
@assault and battery@|@fizi~ki napad, te{ka telesna povreda@
@assay@|@analiza (na ruda), analizira (ruda), ispituvawe, se obiduva da stori (fig)@
@assemblage@|@monta`a, sklopuvawe, sobir, sobirawe, spojuvawe, svikuvawe, vrzuvawe@
@assemble@|@se montira, se sobira, se sostavuva, se spojuva, sklopuva, svikuva, vrzuva@
@assembly@|@agregat, povik za zbor (vo vojska), sklop, sobir, sobranie, sostanok (na rakovodno telo), sovet, zasedanie@
@assembly line@|@proizvodna lenta@
@assembly man@|@delegat, pratenik@
@assembly plant@|@fabrika {to montira delovi@
@assembly room@|@sala za konferencii@
@assembly woman@|@delegatka, prateni~ka@
@assent@|@odobrenie, prifa}awe, soglasnost, soglasuvawe@
@assent (v)@|@dava odobrenie, se soglasuva@
@assert@|@brani, doka`uva, izrazuva, poka`uva, potvrduva, tvrdi@
@assert oneself@|@se afirmira, se doka`uva@
@assertion@|@afirmacija, branewe (na prava), doka`uvawe, izjavuvawe, tvrdewe@
@assertive@|@dokazen, koj tvrdi (brani), potvrduva~ki@
@assertiveness@|@doka`uvawe@
@assess@|@ispituva, odmeruva, odreduva visina na danok, procenuva, udira danok, utvrduva (vrednost)@
@assessable@|@odmerliv, procenliv, utvrdliv@
@assessment@|@ispituvawe, ocenka (na situacija), odmeruvawe, odreduvawe danok, procenka (na vrednost), procenuvawe, utvrduvawe@
@assessor@|@dano~nik, pazaren inspektor, procenuva~@
@asset@|@ne{to {to se poseduva (ima), vrednost@
@assets@|@imot, osnovni sredstva, posed@
@assets and liabilities@|@aktiva i pasiva, davawe - zemawe@
@asseverate@|@se zakolnuva vo, sve~eno izjavuva, tvrdi, uveruva@
@asseveration@|@sve~ena izjava, uveruvawe@
@assiduity@|@prile`nost, rabotlivost@
@assiduous@|@prile`en, rabotliv@
@assign@|@dodeluva, dozna~uva, izbira, opredeluva, otstapuva (imot), prenesuva, prepi{uva, pripi{uva (tvrdewe), rezervira@
@assignable@|@prenosliv (imot)@
@assignation@|@sostanok (so qubovnik)@
@assignment@|@dodeluvawe, dol`nost (slu`bena), dozna~uvawe, doznaka, opredeluvawe, prenos, prepi{uvawe, pripi{uvawe, zada~a (doma{na)@
@assimilate@|@asimilira, pribli`uva (svojstva zakoni), prisvojuva, svaruva (hrana)@
@assimilation@|@asimilacija@
@assist@|@asistira, pomaga, potpomaga, prisustvuva, u~estvuva@
@assistance@|@pomagawe, pomo{, prisustvo, prisutnost, u~estvo@
@assistant@|@asistent, pomo{nik@
@assize@|@odmeruvawe (kazna), presuduvawe@
@assizes (arch)@|@tribunal@
@associate@|@doveduva vo vrska, pridru`en, se dru`i, se povrzuva, zdru`en, zdru`uva@
@associate (n)@|@pomo{nik, pridru`en ~len, pridru`nik, sorabotnik, sou~esnik@
@association@|@asocijacija, dru{tvo, zdru`enie@
@Association Football@|@Evropski fudbalski sojuz@
@assonance@|@asonansa@
@assort@|@izbira, raspredeluva, slo`uva, sortira@
@assorted@|@izbran, skladen, sortiran@
@assortment@|@asortiman, izbor@
@assuage@|@smiruva (bol), utalo`uva (glad)@
@assuagement@|@smiruvawe, utalo`uvawe@
@assume@|@poprima (izgled), pretpolaga, pretpostavuva, prezema, prima (dol`nost), prisvojuva (pravo), si misli, smeta, zema za gotovo@
@assume robes of office@|@se oblekuva vo slu`bena obleka@
@assume the responsibility@|@prezema odgovornost@
@assumed@|@izmislen, pogre{en@
@assumed name@|@la`no ime, psevdonim@
@assuming@|@nadmen, voobrazen@
@assumption@|@poprimawe, pretpostavka, primawe (na sebe), prisvojuvawe@
@assumptive@|@lesnoveren, nadmen@
@assurance@|@ohrabruvawe, osiguruvawe, proveruvawe, ubeduvawe, uveruvawe, vetuvawe@
@assure@|@ohrabruva, osiguruva, proveruva, ubeduva, uveruva, vetuva@
@assured@|@nesomnitelen, osiguren, samouveren, siguren@
@asterisk@|@yvezdi~ka@
@astern@|@na krma, nazade~ki, odzadi@
@asteroid@|@mala yvezdi~ka@
@asthma@|@astma@
@asthmatic@|@asmati~ar, asmati~en@
@astigmatic@|@astigmati~en@
@astigmatism@|@astigmatizam@
@astir@|@bodar, na noze, podvi`en, vozbuden@
@astonish@|@za~uduva@
@astonishing@|@{to iznenaduva, ~uden@
@astonishment@|@~udewe, iznenadenost@
@astound@|@prestra{uva, v~udoneviduva, voznemiruva@
@astrakhan@|@astragan, astraganska bunda@
@astral@|@astralen (svet), yvezden, yvezdest, yvezdolik@
@astral (fig)@|@svetol@
@astray@|@zalutan, zaskitan, zatalkan@
@astride@|@preku, ras~ekoreno, sproti@
@astringency@|@sobirawe, stegawe (ko`a kapilari)@
@astringency (fig)@|@serioznost, strogost@
@astringent@|@{to stega (stiska sobira ko`a), lut, oster, strog (govor zabele{ka)@
@astrologer@|@astrolog@
@astrological@|@astrolo{ki@
@astrology@|@astrologija@
@astronaut@|@astronaut@
@astronautics@|@astronautika@
@astronomer@|@astronom@
@astronomic@|@astronomski@
@astronomy@|@astronomija@
@astute@|@bistar, itar, ostroumen, prepreden, snaodliv@
@astuteness@|@bistrina, itrina, prepredenost, snaodlivost@
@asunder@|@na par~iwa, na razni strani, razdvoeno@
@asylum@|@azil, ludnica, uto~i{te@
@asymmetric@|@asimetri~en@
@asymmetry@|@asimetrija@
@at@|@do, kaj, na, od, okolu, po, pri, so, vo@
@at a glance@|@so eden pogled@
@at all@|@voop{to@
@at all hours@|@vo sekoe vreme@
@at any rate@|@po sekoja cena@
@at bat@|@na poteg@
@at bay@|@napadnat, opkolen@
@at best@|@vo najdobar slu~aj@
@at bottom@|@vo du{ata, vo osnova@
@at call@|@spremen@
@at close quarters@|@odblisku@
@at concert pitch@|@kompletna mobilnost@
@at daggers drawn@|@na no` e (so)@
@at earliest convenience@|@{to e mo`no poskoro@
@at first@|@najprvo@
@at full blast@|@vo poln zamav@
@at hand@|@pri raka@
@at heart@|@po du{a, po srce@
@at home@|@doma@
@at issue@|@od va`nost, vo pra{awe@
@at last@|@kone~no, najposle@
@at noon@|@na pladne@
@at once@|@naedna{, odma@
@at one@|@ednodu{no@
@at one blow@|@so eden udar@
@at one's last gasp@|@na kraj na silite@
@at that@|@kako takvo@
@at the back@|@odzadi, zad@
@at the eleventh hour@|@docna, vo posleden ~as@
@at the outside@|@najmnogu@
@at the risk of@|@po cena na@
@at the zenith@|@na vrvot, vo zenitot@
@at times@|@ponekoga{@
@at your convenience@|@koga ti odgovara@
@at zero@|@na nula (stepeni)@
@atavism@|@atavizam@
@atavistic@|@atavisti~ki@
@atelier@|@atelje@
@atheism@|@ateizam, bezverni{tvo@
@atheist@|@ateist@
@atheistic.al@|@ateisti~ki@
@athlete@|@atleti~ar@
@athletic.ally@|@atletski@
@athletics@|@atletika@
@athwart@|@preku@
@atishoo@|@ap~iha!@
@atlas@|@atlas@
@atmosphere@|@atmosfera@
@atmospheric@|@atmosferski@
@atmospherics@|@atmosferski pre~ki (na radio)@
@atoll@|@atol, koralen ostrov@
@atom@|@atom@
@atomic@|@atomski@
@atomize@|@rasprskuva@
@atomizer@|@rasprskuva~, sprej@
@atonal@|@atonalen@
@atonality@|@atonalnost@
@atone@|@iskupuvawe, nadomestuvawe, okajuvawe, se iskupuva, se iskupuva za@
@atonement@|@iskupuvawe, nadomestuvawe, okajuvawe@
@atop@|@na, nad@
@atrocious@|@gaden, grozen, odvraten, stra{en, svirep, u`asen@
@atrocious (fig)@|@mnogu lo{ (ru~ek)@
@atrocity@|@groza, odvratnost, svirepost, u`as@
@atrophy@|@atrofija, gubewe na svojstva (fig), odumirawe@
@atrophy (v)@|@atrofira, odumira@
@attach�@|@ata{e@
@attach@|@pricvrstuva, prilepuva, se prikop~uva, se vrzuva@
@attach 1@|@dodava, pridava, pripi{uva, pripojuva, se zatvora@
@attach 2@|@privrzuva, se priklu~uva@
@attach� case@|@aktovka@
@attach importance@|@smeta za va`no@
@attachable@|@pricvrstliv, priklu~liv, prilepliv@
@attachment@|@pricvrstuvawe, prilepuvawe, privrzok, sklonost@
@attachment 1@|@dodatok, oddadenost, prilog, qubov@
@attachment 3@|@stavawe zabrana, zatvorawe@
@attack@|@atak, juri{, napad, navala, udar@
@attack (v)@|@napa|a, navaluva, svojski se zafa}a so, udira na@
@attacker@|@napa|a~@
@attain@|@dosega do, postignuva, stignuva do, uspeva@
@attainable@|@dose`en@
@attainder@|@konfiskacija, li{uvawe od gra|anski prava@
@attainment@|@postignuvawe@
@attainments@|@obrazovanie@
@attar@|@esencija (od cve}a)@
@attempt@|@nastojuva da stori, prezema, se obiduva@
@attempt (n)@|@obid, potfat@
@attempt on sb's life@|@atentat na nekogo@
@attempt to do sth@|@obid da se stori ne{to@
@attempt upon sb@|@napad na nekogo@
@attend@|@obra}a vnimanie na, prisustvuva na (predavawe), se gri`i, sledi@
@attend 1@|@opslu`uva, slu`i@
@attend 3@|@dvori, lekuva@
@attend on sb@|@se gri`i za nekogo@
@attendance@|@nega, poseta na (predavawe), prisustvo, publika@
@attendant@|@{to poslu`uva, {to slu`i, prisuten, propraten@
@attendant (n)@|@prislu`nik, prodava~@
@attention@|@po~it, vnimanie@
@attentive@|@vnimatelen@
@attenuate@|@isten~uva (daska), razreduva (alkohol)@
@attenuate fig@|@oslabuva, smaluva@
@attenuation@|@isten~uvawe, oslabuvawe, razreduvawe@
@attest@|@doka`uva, potvrduva, svedo~i@
@attestation@|@dokaz, potvrduvawe, svedo~ewe, zakletva@
@attester attestor@|@svedok@
@attic@|@mansarda, Tavan@
@attire@|@obleka, se oblekuva@
@attitude@|@du{evna sostojba, odnesuvawe, odnos, stav@
@attorney@|@advokat, pravobranitel@
@attract@|@namamuva, predizvikuva, privlekuva@
@attract attention@|@obrnuva vnimanie@
@attraction@|@atrakcija, privle~nost, privlekuvawe@
@attractive@|@mil, milozvu~en (glas), mnogu povolen, privle~en, privlekuva~ki, zgoden@
@attractiveness@|@privle~nost@
@attributable@|@pripisliv@
@attribute@|@atribut, osobina, priznak, svojstvo@
@attribute (v)@|@pripi{uva na@
@attribution@|@dodeleno pravo, pripi{uvawe, svojstvo@
@attributive@|@atributiven (pridavka)@
@attrition@|@abewe, triewe, tro{ewe@
@attune@|@{tima (klavir), prilagoduva, usoglasuva@
@atypical@|@atipi~en@
@aubergine@|@crn patlixan, modar patlixan@
@auburn@|@crvenkavo kafeav@
@auction@|@licitacija@
@auction (v)@|@licitira@
@auctioneer@|@licitator@
@audacity@|@smelost@
@audibility@|@~ujnost, glasnost@
@audible@|@glasen@
@audience@|@auditorium, islu{uvawe (vo sud), posetiteli, priem (kaj visoka li~nost), publika, slu{ateli@
@audio@|@~uen (signal)@
@audio visual@|@audiovizuelni sredstva@
@audiometer@|@audiometar@
@audit@|@pregleduva (smetki), slu{a (predavawe)@
@audit (n)@|@pregled, revizija (na smetki)@
@audition@|@audicija@
@audition (v)@|@povikuva (prima na audicija)@
@auditor@|@revizor (vo smetkovod), slu{atel (na predavawa)@
@auditorium@|@auditorium, slu{alna@
@auditory@|@slu{en (kanal)@
@auger@|@svrdel@
@aught@|@bilo {to@
@augment (v)@|@raste, se umno`uva, zgolemuva@
@augmentation@|@augmentacija, dodavawe, poka~uvawe, porast@
@augur@|@prorok@
