@English@|@Jerriais@
@currants@|@les corînthes@
@currency@|@lé cours@
@current (of tide)@|@lé couothant, lé halant@
@cursor@|@l'èrchelle, lé curseu@
@curtains@|@les ridgieaux@
@cushion@|@lé couossi@
@customs@|@la douanne@
@customs officer@|@lé douannyi@
@cut@|@coper@
@cutlery@|@coutell'lie, la coutell'lie@
@cutlet@|@la côtelette@
@cutter@|@lé cotteur@
@cut-throat razor@|@un cope-gorge@
@cutting@|@eune aîne, eune èrboututhe@
@cuttlebone@|@la crépie@
@cyclamen@|@cyclamen@
@cycle path@|@lé c'mîn à bike, sente à bike@
@cycle rack@|@lé par à bikes@
@Cypress@|@lé cyprès@
@cypress wood@|@cypre@
@Cyprus@|@Chypre@
@Czech Republic@|@République Tchèque@
@daddy@|@dèdè, p'pèe@
@dahlia@|@dâ-ya, dahlia@
@dairy@|@la lait'tie@
@dairy cow@|@eune vaque à lait@
@Daisy@|@des mèrgots@
@damask@|@damas@
@damp@|@la mucreu@
@damson@|@la preune dé Damas@
@dance@|@danser@
@Dandelion@|@des pîssenliets@
@dandruff@|@la crache@
@dandy@|@lé parmafévéthe@
@Daniel@|@Dannié@
@Danish@|@Dannouais, Danouais@
@Danish Scurvygrass@|@d'l'escorvie@
@dark@|@nièr@
@Dark Mullein@|@d'la molène@
@Dartmouth@|@Dèrtémue@
@daughter@|@fille, la fil'ye@
@daughter-in-law@|@la belle fil'ye@
@David@|@Dâvi@
@dawdler@|@lé landrinneux@
@day@|@eune journée, un jour@
@day before yesterday@|@avant-hièr@
@daydreamer@|@lé rêvacheux@
@deacon@|@lé diacre@
@dead@|@mort@
@dead and buried@|@souos les mèrgots@
@Dead Sea@|@la Mé Morte@
@dead-calm@|@pliat calme@
@Deadly Nightshade@|@d'la chrysanthème au dgiâbl'ye@
@deaf@|@sourd@
@dear@|@chi, chièr@
@Dear Madam@|@Ma chiéthe Madanme@
@Dear Sir@|@Man chièr Moussieu@
@death@|@la mort, lé décès, lé trépas@
@death rattle@|@lé rîncliot@
@debate@|@lé d'bat@
@debt@|@la dette@
@December@|@Dézembre@
@decide@|@décider@
@defence@|@la d'fense@
@Delawarean@|@Délawarien@
@delay@|@èrtergi@
@delivery@|@l'accouochement@
@delivery round@|@la touônée@
@dell@|@la vallette@
@democracy@|@la démocratie@
@democrat@|@lé démocrate@
@Democratic@|@Démocratique@
@denim@|@lé dgêne@
@Denmark@|@Dannemar@
@dentist@|@lé dentiste, un dentiste@
@dentures@|@un dentchi@
@department store@|@la grande boutique@
@depth@|@la profondeu@
@Deputy@|@Député@
@derailleur gear@|@lé dêrâlleux@
@Déroute@|@la Dêroute@
@des jaunes pavots@|@Yellowed Horned-poppy@
@des sonnettes@|@Yellow Rattle@
@descendant@|@lé d'scendant@
@desert@|@lé d'sèrt@
@desk@|@l'êcritouaithe, un êcritouaithe@
@dessertspoon@|@eune tchulyi à dêssèrt@
@Devonian@|@Dévonnien@
@diabetes@|@diabète, la diabète, la maladie d'chucre@
@dialogue box@|@eune boête dé dgialogue@
@diameter@|@lé diamètre@
@diamond@|@diamant@
@diamonds@|@du carreau@
@diarrhoea@|@la diarrhée@
@dicky bird@|@loûseau@
@dictator@|@lé dictateur@
@die@|@mouothi@
@Diellette@|@Dgilliette@
@Dieppe@|@Dgieppe@
@different@|@difféthent@
@difficult@|@difficile@
@dig@|@creuser, foui, fouoilli@
@dig up@|@dêfoui@
@digging@|@lé fouage@
@digital camera@|@un quêméreu digital@
@digs@|@les fouithies@
@ding dong bell@|@dinne-dinne@
@dining room@|@la grand' tchuîsinne@
@dining table@|@la pâraisse@
@dining-room@|@la grand'tchuîsinne@
@diocese@|@lé diocèse@
@diploma@|@lé diplôme@
@diplomat@|@lé diplomate@
@director@|@lé directeu@
@dirt@|@tata@
@dirty@|@sale@
@disappear@|@dispathaître@
@discharge@|@eune dêchèrge@
@disciple@|@lé discipl'ye, un discipl'ye@
@discover@|@dêcouvri@
@discuss@|@distchuter@
@discussion@|@la distchussion@
@disembark@|@d'sembèrtchi, dêbèrtchi@
@disgusting@|@malaûc'theux@
@dish@|@lé pliat@
@dishcloth@|@lé laveux, un laveux@
@dishing of wheels@|@lé raîtchage@
@diskette@|@la distchette@
@dispensary@|@dispensaithe@
@display@|@êtalage, l'êtalage@
@distillation@|@la distillâtion@
@distillery@|@la distil'lie@
@distracted person@|@l'èrré@
@district@|@lé district@
@disturb@|@dêrangi@
@dizziness@|@l'êtourdissaison@
@d'Jèrri@|@L'tou@
@Djibouti@|@Djibouti@
@Do you speak Jèrriais?@|@Pâl'-ou l'Jèrriais?, Pâles-tu l'Jèrriais?@
@dock lifter@|@hale-doque@
@docking station@|@eune stâtion d'amathage@
@doctor@|@lé docteu@
@doctrine@|@la doctrinne@
@document@|@l'dotchûment, lé dotchûment@
@Dodder@|@d'la touothelle@
@Dodecanese@|@Îles Dodécanèses@
@dog@|@lé tchian, tchian@
@Dog Rose@|@d'la rose sauvage@
@Dog Star@|@L'Êtaile au Tchian, la Cannitchule@
@dog whelk@|@eune chorchiéthe, eune coque à j'vaux@
@dogfish species@|@un haut@
@doggy@|@ba-ouîn@
@dogma@|@lé dogme@
@dog-vane@|@lé gabé (du navithe)@
@doldrums@|@les vâriabl'yes@
@dolmen@|@eune pouquelaye, un dolmen@
@dolphin@|@un dauphîn@
@Dominica@|@Dominica@
@Dominican Republic@|@République Dominnicaine@
@donkey@|@un âne@
@Don't touch me there!@|@Né m'touchiz pon par ilo!@
@door@|@la porte@
@doorway@|@l'uss'sie@
@dor-beetle@|@l'êtchèrbot, lé bourdon@
@dormer window@|@la f'nêt' à mansarde@
@dotard@|@la godenitchette, la miclotte, lé r'doteux@
@doughnut@|@la godenitchette, la miclotte@
@dove@|@la colombe, la coucouroux@
@Dover@|@Dovre@
@dowager@|@la douaithiéthe@
@dowels@|@des g'vil'yes@
@down@|@du fo pé@
@down-pipe@|@un noc@
@downstairs@|@à bas@
@draft@|@lé brouoillon@
@drag@|@traîner@
@drag-net@|@la seine, la trâle, lé drannet@
@dragonfly@|@lé moûtchet@
@draining board@|@un êgoutteux@
@draining-board@|@l'êgoutteux, un êgoutteux@
@drake@|@un cannard@
@draw knife@|@couté à deux mains, hache à bras@
@draw plate@|@filiéthe@
@drawers@|@drâses@
@drawing room@|@lé salon@
@drawing-awl@|@pouaîsson@
@draw-net@|@lé drannet@
@dreamer@|@lé rêveux, lé songe-mitaine, lé songeux@
@dredge-net@|@la drague@
@dress@|@la robe, lé fro@
@dressed stone@|@la pièrre dé taille@
@dresser@|@lé drécheux@
@dressing table@|@lé dressinne-têbl'ye@
@dressmaker@|@la couôtuthiéthe@
@dried cowdung@|@la couême (secque)@
@drill@|@aûgouaithe, lé drîn@
@drink@|@baithe, baithe, eune bouaisson, un béthe, un brévage@
@drink oneself to death@|@créver d'béthe@
@drinker@|@un b'veux@
@drinking glass@|@un vèrre à baithe@
@dripping@|@la graisse dé boeuf@
@drive@|@lé disque@
@driveller@|@lé rabâcheux@
@driver@|@lé cacheux, un cacheux, un cacheux@
@drizzle@|@la brousse, lé crachîn@
@dromedary@|@lé dromadaire@
@drop-down menu@|@lé m'nu tchiyant@
@drubbing@|@eune brossée, eune calfêteuse, eune pitchinne@
@drubbing (1)@|@eune quétilieuse@
@drug@|@la drogue@
@drug trafficking@|@l'conmèrce des drogues, lé trafi des drogues@
@drugtaking@|@la drogu'thie@
@drum@|@lé tambour@
@drum major@|@un cacheux, un tambour-mâjeur@
@drunk@|@bragi, chonmé, envitoué, gris, ivre, souîn, soûl@
@drunk (1)@|@bédé-ouinne, blindé, bringuesingue, gâté d'béthe@
@drunkenness@|@l'ivrouongn'nie, la béthie, la bouaissonn'nie@
@dry@|@s'tchi, sé@
@dry one's hair@|@s'tchi les g'veux@
@dry stone wall@|@eune muthâle à pièrre secque@
@dryer@|@lé s'tcheux@
@drying laundry@|@lé s'tchage du lînge@
@Dubliner@|@Dublinnais@
@duchess@|@la duchêsse@
@duck (female)@|@eune cannotte@
@duke@|@lé duc@
@dullard@|@la chagorne@
@dummy@|@chuchot@
@dumpling@|@domplin@
@dune@|@la mielle@
@dung@|@la graisse@
@dungfly@|@la moûque à boûse@
@dung-heap@|@la maie@
@Dunkirk@|@Dontchèrque@
@dust@|@ponsi@
@duster@|@êpousseteux, l'êpousseteux@
@Dutch@|@Hollandais@
@duvet@|@lé duvet@
@Dwarf Cherry@|@eune badgiole@
@Dwarf wild cherry@|@un badgiolyi@
@dwelling@|@eune d'meuthe@
@dying@|@mouothant@
@dynamo@|@lé dynnamo@
@dysentery@|@fliue d'sang, la dysenterie@
@eagle@|@un aigl'ye@
@ear@|@l'ouothelle@
@earache@|@lé mal ès ouïes@
@Early Forget-me-not@|@dé l'ouothelle dé souothis@
@Early Hair-grass@|@du suthîn@
@earring@|@la boucl'ye d'ouothelle@
@ears@|@les ouothelles@
@earth@|@la tèrre@
@earthenware@|@tèrr'rie@
@earthworm@|@lé vèr dé tèrre@
@earwig@|@la pèrche-ouothelle@
@east@|@êst@
@East Timor@|@Timor d'l'Est@
@Easter@|@Pâques@
@easy@|@aîsi@
@eat@|@mangi@
@eater@|@lé mangeux@
@eating apple@|@eune pomme douoche@
@eaves@|@la barbe@
@eavesdropper@|@l'êcoute-pathai, l'êcouteux@
@ebb@|@l'èrtithant@
@ebb (of waves)@|@l'èrsîn des louêmes@
@ebb tide@|@l'èrtithant@
@ebb-tide@|@l'èrtithant, la r'traite@
@ebony@|@êbène@
@ecclesiastical@|@écclésiastique@
@eclipse@|@l'êclyipse@
@economic@|@êconomique@
@economy@|@l'êconomie@
@Ecuador@|@Êquateur@
@eczema@|@la maladie d'la fontaine@
@Eddy@|@Dardinne, Dardot, Darri, Darrique@
@Edinburgher@|@Êdimbourgeouais@
@education@|@l'êducâtion@
@educational materials@|@les matéthiaux êducâtionnaux@
@Edward@|@Douard, Êdouard@
@Eelgrass@|@d'la plîse@
@effect@|@l'êffet@
@effeminate man@|@lé colîn-feunmelle@
@egg@|@coco, l'oeu@
@egg white@|@lé blianc d'oeu@
@egg yolk@|@lé jaune d'oeu@
@egg-cup@|@lé cocotchi@
@egg-laying@|@la ponnaîson@
@Egypt@|@Êgypte@
@Egyptian@|@Êgyptien@
@eight@|@huit@
@eight hundred@|@huit chents@
@eight hundred and one@|@huit chents ieune@
@eight hundred and two@|@huit chents deux@
@eighteen@|@dgiêx-huit@
@eighty@|@huiptante, quatre-vîngts@
@eighty one@|@huiptante tch'ieune, quatre-vîngt-ieune@
@eighty two@|@huiptante-deux, quatre-vîngt-deux@
@El Salvador@|@El Salvador@
@elbow@|@lé coute@
@elbow grease@|@dé l'hielle dé coute@
@Elder@|@du seu@
@elderberry@|@la chérise dé seu, la graine dé seu@
@elect@|@êlithe@
@election@|@eune êlection@
@elector@|@l'êlecteu, un êlecteu@
@electoral@|@êlectoral@
@electoral roll@|@la liste êlectorale@
@electric fan@|@un êventail êlectrique@
@elephant@|@l'êléphant@
@eleven@|@onze@
@Elias@|@Élie, Élyie, Éyie, Laïesse@
@Elizabeth@|@Betté, Élîzabé, Lîsabé, Lîzabé@
@Elm@|@un (ou eune) orme@
@e-mail@|@l'e-mail@
@embassy@|@l'ambassade@
@embezzle@|@cabochi des sous@
@embrasure@|@l'êvilement@
@embroideress@|@eune brodeuse@
@embroidery@|@la brod'die@
@emigrant@|@l'êmigrant@
@emperor@|@l'empéreur@
@empty@|@viède, viédgi@
@ename@|@l'êmail@
@enema@|@lé lavement@
@enemy@|@l'enn'mîn@
@engaged@|@engagi@
@engagement@|@l'engagement@
@engagement ring@|@la bague d'engagement, la bague dé fianchailles@
@engineer@|@l'înginnieux@
@England@|@Angliétèrre@
@English@|@Angliais@
@English Stonecrop@|@du pain à crapauds@
@enjoy@|@joui@
@envelope@|@eune env'loppe@
@epidemic@|@l'êpidémie@
@epilepsy@|@l'épilepsie, lé haut-ma@
@equality@|@l'êgalité@
@Equator@|@la Lîngne@
@Equatorial Guinea@|@Dginnée d'l'Êquateur@
@Eritrea@|@Eritrea@
@erysipelas@|@la résipele@
@escape@|@êcapper@
@Esther@|@Estèr, Stèr@
@Estonia@|@Estonnie@
@Estonian@|@Estonnien@
@estuary@|@l'engoulême@
@êt'@|@to be@
@Ethiopia@|@Êthiopie@
@Europe@|@Ûrope@
@European@|@Ûropéen@
@Eve@|@Êve@
@evening@|@la séthée, lé sé@
@evergreen@|@du vèrt bouais@
@Evergreen Oak or Holm Oak@|@un vèrt tchêne@
@Evergreen Spindle-tree@|@du vèrt-bouais@
@everything is gone@|@i'n'reste ni tchiêsse ni aile@
@evidence@|@l'êvidence@
@evil eye@|@lé mauvais yi@
@evil spirit@|@la vioge@
@ewe@|@la brébis@
@exam@|@l'examen@
@examiner@|@l'examinneux@
@excommunication@|@l'excommunicâtion@
@ex-con@|@un sorti d'prison@
@Excuse me@|@Extchûthez-mé, Pardonnez-mouai@
@exercise@|@l'exèrcice@
@exercise book@|@lé livre d'exèrcice@
@expensive@|@chi@
@expert@|@l'expèrt@
@explain@|@explyitchi@
@extension@|@lé tchulon@
@extreme beam@|@lé grand run@
@eye@|@un yi, yi@
@eyeball@|@la balle dé l'yi@
@eyebrow@|@la soucile@
@eyelash@|@la paûpil'ye@
@eyelashes@|@les paûpil'yes@
@eyelid@|@la paûpiéthe@
@eyes@|@cricots, criquinnes, l's yiers, ou ièrs@
@eyes (children's word)@|@les cricots, les criquinnes@
@eyes full of sleep@|@l's ièrs embeurrés@
@eyesight@|@la veue@
@façade@|@la côtchiéthe@
@face@|@fache, la fache@
@face to face@|@fache à fache@
@Faeroe Islands@|@Îles Faeroe@
@faint@|@s'êvanni@
@fair-play@|@fèrre-pliaie@
@faith@|@la fouai@
@Falkland Islands@|@Îles Falkland@
@fall@|@tchaie@
@falling tide@|@la mé r'tithante@
@Falmouth@|@Falmue@
@false@|@faux@
@family history@|@l'histouaithe dé fanmil'ye@
@fancy-cake@|@lé gâté@
@farm@|@fèrmer, lé mênage@
@farm equipment@|@lé montage dé fèrme@
@farmer@|@lé fèrmyi, un fèrmyi@
@farmhand@|@lé valet d'fèrme@
@farmyard@|@lé bel@
@fashion@|@faichon, la mode@
@fast@|@quédaine, vite@
@fat@|@la graisse@
@Fat Hen@|@d'la blianche s'nîle@
@fate@|@la destinné, lé sort@
@father@|@lé péthe@
@Father Christmas@|@Papa Noué@
@father-in-law@|@lé bieau-péthe@
@fax@|@faxer, lé fax@
@faxing@|@faxéthie@
@feather duster@|@un êpousseteux@
@February@|@Févri@
@feel@|@senti@
@feet@|@pinnots@
@Feet of Orion@|@les Pids@
@Felger@|@Feûgiéthes@
@fellies@|@les gantes@
@felling axe@|@bûcheux, câsse-bouais@
@female@|@la feunmelle@
@fence@|@la cliôthuthe@
@fennel@|@la fanon, lé fanon@
@Fennel@|@du fanon@
@ferret@|@lé futhet@
@fertilizer@|@l'engrais@
@fetch@|@qu'si@
@fetlock@|@lé pâtuthon@
@fetlock joint@|@lé boulet@
@fever@|@la fièvre@
@Feverfew@|@du maître@
@fiancé@|@lé fianchi@
@fiancée@|@la fianchie@
@field@|@lé clios@
@Field Bindweed@|@des veîl'yes dé r'lié@
@field marshal@|@l'maréchal@
@field mouse@|@la souothis d'clios, lé mulot@
@Field Pansy@|@du coucou@
@fieldfare@|@un pliacard@
@fieldmouse@|@la souothis d'clios, lé mulot@
@fifteen@|@tchînze@
@fifty@|@chînquante@
@fifty one@|@chînquante tch'ieune@
@fifty pennies@|@chînquante pénîns@
@fifty two@|@chînquante-deux@
@Fig@|@un fidgi@
@fight@|@eune bastaude, eune frip'sie@
@figure of eight knot@|@un huit@
@Fiji@|@Fiji@
@file@|@lé dôssyi, lînme@
@film@|@un film@
@fin@|@la râlîngue@
@finances@|@les finnances@
@find@|@trouver@
@fine@|@eune amende@
@fine drizzle@|@lé broussîn@
@finger@|@dinnet, dinnot, lé dé@
@fingers@|@les dés@
@fingertips@|@lé but des dés@
@finish@|@finni@
@Finland@|@Fînlande@
@Finnishman@|@Fînlandais@
@fireworks@|@les feux d'artifice@
@first@|@preunmyi@
@First World War@|@la Preunmié Dgèrre Mondiale@
@first-cousin@|@lé couôsîn gèrmain@
@fish@|@lé paîsson, pêtchi, un paîsson@
@fishbone@|@l'héthèque@
@fisherman@|@un pêtcheux@
@fishing boat@|@lé baté pêtcheux@
@fishing rod@|@vaûle@
@fishing tackle@|@l'êtchipage@
@fishing-hook@|@l'ain, lé cro@
@fishing-line@|@la Iîngne dé pêque@
@fishing-net@|@lé filet@
@fishing-rod@|@la vaûle@
@fishmonger@|@lé paîssonnyi@
@fist@|@lé poing@
@five@|@chînq@
@five bar gate@|@la hêmie@
@five frozen dogs@|@chînq tchians g'lés@
@five hundred@|@chîn chents@
@five hundred and one@|@chîn chents ieune@
@five hundred and two@|@chîn chents deux@
@five pence@|@un chélîn@
@five pennies@|@chîn pénîns@
@five pounds@|@chîn louis@
@flag@|@la couleu@
@flagship@|@l'amitha@
@flagstone@|@lé pliaton@
@flail@|@fliais, lé fliais@
@flaky pastry@|@la pâte fielletée@
@Flanders@|@Fliandres@
@flank@|@lé flianc@
@flannel@|@lé flianné@
@flatterer@|@l'affliâtreux, lé fliatteux@
@flax@|@du lîn, linnette@
@flea@|@la puche@
@flea-beetle@|@la puche dé tèrre@
@fleet@|@la fliotte@
@flesh@|@la chai@
@flint@|@la pièrre à feu, pièrre à feu@
@float@|@fliotter, la fliotte, lé liège@
@flobber@|@un fliabeu@
@flock@|@fliotchet@
@flogging@|@eune chîngneuse@
@floor@|@lé plianchais, lé solais@
@floppy hat@|@lé chapé gorneux@
@Florida@|@Floride@
@Floridan@|@Floridgien@
@flotsam and jetsam@|@l'ouaîrage, lé vârage@
@flounder@|@la fliandre@
@flour@|@la flieu@
@flow of tide@|@lé fliot@
@flow tide@|@lé montant@
@flower@|@flieuthi, la flieur@
@flower basket@|@pannyi d'flieurs@
@flower garden@|@lé gardîn à flieurs@
@flowerbed@|@un partèrre@
@flowerpot@|@un pot à flieurs@
@flu@|@la grippe@
@fluffy@|@pliutcheux@
@fluffy cloud@|@du brébion@
@flute@|@la fliûte@
@fly@|@la moûque, voler@
@flying-jib@|@lé dragon@
@foal@|@lé poulain@
@foam@|@l'êtcheunme@
@fodder@|@lé fouôrrage@
@fog@|@la bliâse@
@folder@|@lé dôssyi@
@follow@|@siéthe@
@font@|@lé bâptistéthe, lé font d'bâptême@
@food@|@la nouôrrituthe@
@Fool's Parsley@|@d'la p'tite chue@
@Fool's Water-cress@|@d'la bêle@
@foot@|@lé pid@
@foot-rot@|@des vaques@
@footsies@|@pinnots@
@footstool@|@lé sectîn@
@footwear@|@lé caûchement@
@force@|@forchi@
@fore topgallant-sail@|@lé p'tit pèrrotchet@
@forecastle@|@lé châté, lé gaillard d'avant@
@forehead@|@lé front@
@foreigner@|@l'êtrangi@
@forelock@|@un tupillon@
@foremast@|@lé mât d'misaine, mât d'avant@
@foremast top@|@la heuniéthe du mât d'avant@
@foresail@|@la misaine, la vaile d'avant, vaile dé mîsaine@
@forest@|@la forêt@
@fore-yard@|@la vèrgue d'misaine@
@forfeiture@|@la forfaiteûthe@
@forgery@|@la forgéthie, lé faux sîngne@
@forget@|@oublier@
@fork@|@fourchette, la fourchette@
@fork (for digging)@|@frouque, la frouque@
@fork with hooked tines@|@grappîn@
@form@|@eune forme@
@fort@|@lé fort@
@fortification@|@la fortificâtion@
@fortnight@|@un tchînze jours@
@fortress@|@la fortéresse@
@forty@|@quarante@
@forty one@|@quarante'tch'ieune@
@forty two@|@quarante-deux@
@fossil@|@eune fossile@
@foundation stone@|@la preunmié pièrre@
@fountain@|@jet dg'ieau@
@four@|@quat'@
@four hundred@|@quat' chents@
@four hundred and one@|@quat' chents ieune@
@four hundred and two@|@quat' chents deux@
@Four warm cats@|@Quat' caûds cats@
@Four-leaved Oxalis@|@du trêfl'ye à ouognons@
@fourteen@|@quatorze@
@fox@|@lé r'nard@
@Foxglove@|@dé l'ouothelle dé brébis, lé cracot, lé potithon@
@Fragrant Evening-primrose@|@des roses d'un jour@
@frame@|@la frême@
@France@|@France@
@Francis@|@Françot, Françouais@
@François@|@Françot, Françouais@
@Frank@|@Fraînque@
@freckles@|@du tav'lîn@
@free churches@|@les libres êglyises@
@freemason@|@lé franc-machon@
@freeze@|@g'ler@
@freezer@|@lé congélateur@
@French@|@Français, lé Français@
@French beans@|@les pais d'mai@
@French Guiana@|@Guyane Française@
@French lavender@|@d'l'aspi, d'la cassidonne@
@French Polynesia@|@Polynésie Française@
@French Southern Territories@|@Territouaithes Français du Sud@
@fresh@|@frais@
@fresh water eel@|@eune andgulle d'ieau douoche@
@friable soil@|@la tèrre friabl'ye@
@Friday@|@Vendrédi@
@fridge@|@lé frigo@
@fried egg@|@un oeu fricachi@
@friend@|@l'anmîn@
@frill@|@eune ruche@
@fringe@|@eune frange@
@frizzy@|@crêp'leux@
@frog@|@la raînotte@
@frogfish@|@lé scolpîn@
@from head to foot@|@d'la tête ès pids@
@from Quebec@|@Tchubecquouais@
@front cross-beam@|@lé tchian dé d'vant@
@front wheel@|@la reue dé d'vant@
@frost@|@la gélée@
@fruit picker@|@lé tchilieux@
@fry@|@du têtu@
@frying-pan@|@la câssetrole@
@Fuchsias@|@des fioûcheux, des pente-ouotheilles (f)@
@Fucus nodosus@|@du cracot, du vrégeais, du vrégîn, lé pliat vrai@
@Fucus serratus@|@lé pliat vrai@
@Fucus vesiculosus@|@d'la bédaine, d'la bédanne, du vrégeais, du vrégîn@
@full@|@pliein@
@fun@|@fanne@
@function@|@marchi@
@funnel@|@entonneux@
@fur@|@pé@
@fur-lined@|@fouôrré@
@furrow@|@la raie, la rande@
@furze@|@du geon@
@Gabon@|@Gabon@
@gaff-topsail@|@la gaîffe-tâp-séle@
@gale@|@dgêle@
@gallant-sail@|@la vaile dé pèrrotchet@
@galley@|@la caboûse@
@Gallingale@|@du han@
@gallivant@|@galvaûder@
@gallows@|@lé gibet@
@gambler@|@lé joueux@
@game@|@gamme, lé gibyi@
@gander@|@un gars, un pirot, un pithot@
@gannet@|@la mauve à maq'thé, lé mèrgaud@
@garage@|@garage, lé garage@
@garagekeeper@|@lé garagiste@
@garboard@|@les ouôlins@
@garden@|@gardîn, gardinner, lé gardîn@
@garden gate@|@lé hé@
@Garden Lupin@|@des lupîns (m)@
@Garden Parsley@|@du pèrsi@
@Garden Roses@|@des doubl'yes roses, des sîmplyes roses@
@garden shears@|@chîsieaux d'gardîn@
@Garden Strawberry@|@des frâses@
@gardener@|@un gardîngni@
@gardening@|@lé gardinnage@
@garfish@|@un orfi@
@garlic@|@l'ail@
@garrison@|@la dgèrnison@
@garter@|@la dgèrtchiéthe@
@gas@|@gaz@
@Gascony@|@Gascongne@
@Gaspé@|@la côte@
@gather@|@ramâsser@
@gear-change lever@|@un lévyi d'vitesse@
@genealogical@|@généalogique@
@genealogy@|@la généalogie@
@generous@|@génétheux@
@Genevan@|@Genèvouais@
@genitals@|@les parties@
@geography@|@la géographie@
@George@|@George@
@Georgia@|@Georgie@
@Georgia (êtat d'USA)@|@Georgie@
@Georgian@|@Georgien@
@german@|@Allémand@
@German@|@l'Allémand@
@Germander Speedwell@|@du tèrrêtre@
@Germans@|@Allemands@
@Germany@|@Allemangne, Allémangne@
@get out of the way@|@s'cârrer@
@Ghana@|@Ghana@
@gherkin@|@lé cornichon@
@ghost@|@eune blianche femme, eune êpitafl'ye, un r'vénant@
@ghost (1)@|@la vîsion, lé fantôme@
@giblets@|@la tchèrfaille, lé tchèrfais@
@Gibraltar@|@Gibraltar@
@Gideon@|@Gédéon, Gudgion@
@gift shop@|@la boutique à présents@
@Gilbert@|@Dgibèrt@
@gill@|@la dginne@
@gimlet@|@gîmblet@
@gin@|@lé dginne, lé génèvre@
@gingerbread@|@lé pain d'êpice@
@giraffe@|@la girafe@
@girl@|@la hardelle@
@give@|@bailli, donner@
@give first aid@|@doctrinner@
@give someone the eye@|@faithe des ilyies@
@glance@|@un coup d'yi@
@glass@|@vèrre@
@glasses@|@des leunettes@
@glassful@|@eune vèrrée@
@Glaswegian@|@Glasouédgien@
@glimpse@|@eune apèrchévance@
@globe artichoke@|@l'artichaut vèrt@
@globe flower@|@d'la livre-dé-beurre@
@glossary@|@un glossaithe@
@gloves@|@les gants@
@glow-worm@|@lé vèrpeu@
@glue@|@colle, la cliute@
@glutton@|@lé bouffeux, lé gouailleux, lé goumitre, lé mâfreu@
@gnat@|@lé bibet@
@go@|@aller@
@go back@|@rentrer@
@go bankrupt@|@faithe banqueroute@
@go down@|@d'scendre@
@go out@|@sorti@
@go up@|@monter, ramonter@
@goat@|@la biche@
@goatee@|@eune barbiche, la barbiche@
@goat-moth@|@la vipéthe à bouais@
@goblin@|@un faîté@
@God@|@Dgieu@
@God Save the Queen@|@Dgieu sauve la Reine@
@goddaughter@|@la filieuthe@
@godfather@|@lé pârrain@
@godmother@|@la mârraine@
@godson@|@lé filieu@
@goitre@|@gouaître@
@gold@|@or@
@gold dust@|@d'la poudre d'or, du safran@
@goldcrest@|@eune capuchinne@
@golden plover@|@un êprivyi doré, un jaune êprivyi@
@Golden rod@|@d'la vèrge d'or, d'la vèrgue d'or@
@goldfinch@|@eune mignonne dé cardronnette, la cardrinnette@
@goldfish@|@lé rouoge paîsson@
@gonorrhoea@|@la gôrre, la vétheule honteuse@
@good@|@bouon@
@Good afternoon@|@bouônjour@
@Good evening@|@Bônsouair@
@Good Friday@|@lé Véndrédi Saint@
@Good King Henry@|@d's alouoches, d's aulouoches@
@Good luck@|@Bouonne cache@
@Good morning@|@Bouônjour (à matîn)@
@Goodbye@|@À bétôt, À bi, À la préchaine, À tantôt@
@good-for-nothing@|@lé reintchivaille@
@goose (female)@|@eune ouaie, eune pithette, eune pithotte@
@goose (female) (1)@|@eune pirette@
@Gooseberry@|@des grouaîsiles, la grouaîsile@
@Goosegrass@|@d'l'hèrbe à tchilieuvre, du fliancouais@
@gorilla@|@lé gorille@
@gorse shield-bug@|@la peûnnaise@
@Gospel@|@l'Êvangile@
@gossip@|@la conméthe@
@gourmand@|@lé goudalleux@
@government@|@lé gouvèrnément@
@graft@|@eune ente, la greffe@
@grafting knife@|@greffeux, un greffeux@
@grain loft@|@lé grainyi@
@grammar@|@la grammaithe@
@granary@|@la grain'nie@
@Grand River@|@la Grand' Riviéthe@
@grandad@|@papa@
@granddaughter@|@la p'tite-fil'ye@
@Grande Rivière@|@Grande Riviéthe@
@grandfather@|@lé grand-péthe, lé papa@
@grandfather clock@|@eune hôlouoge dé grand-péthe@
@grandmother@|@la grand-méthe, la manman@
@grandparents@|@les grands-pathents@
@grandson@|@lé p'tit-fis@
@granite@|@granit, l'granit@
@granny@|@manman@
@granny knot@|@un noeud en tchu d'poulain@
@Grape@|@du vèrjus@
@grapes@|@lé vèrjus@
@grapnel@|@grappîn, lé grappîn@
@grasp@|@gaffer@
@grass@|@l'hèrbe@
@grasshopper@|@lé critchet@
@grass-wrack@|@d'l'hèrbi, la plîse@
@grater@|@grattise, la grattise, râpe@
@grave@|@la fôsse, la tombe@
@gravedigger@|@lé fôssyi@
@gravel@|@gravi, l'gravi@
@gravestone@|@lé tombé@
@gravy@|@grévîn, lé grêvîn@
@graze@|@l'êcorcheuse@
@Great Bear Lake@|@lé Grand Lac dé l'Ours@
@great black-backed gull@|@la néthe mauve, lé nièr-dos@
@Great Britain@|@Grande Brétangne@
@Great Brome@|@d'la droe@
@Great Fen-sedge@|@du pavis@
@great green grasshopper@|@lé j'va d'St George@
@Great Mullein@|@d'la molène@
@great northern diver@|@un loup d'mé@
@Great Quaking-grass@|@des lèrmes d'Jâcob@
@Great Salt Lake@|@lé Lac-Salé@
