@English@|@Mohegan@
@ocean@|@kiht'han, kiht'hansh (pl)@
@office@|@ayhkôsikamuq, ayhkôsikamuqash (pl)@
@offspring@|@-nicôn, nunicônak (pl)@
@old@|@nukôni@
@old person@|@cayhs, cayhsak@
@old woman@|@winay, winayak@
@older boy@|@yôkôp, yôkôpák (pl)@
@older brother@|@-ntôyuks, nuntôyuksak (pl)@
@older girl@|@yôksqáhs, yôksqáhsak (pl)@
@older sister@|@-msihs, numsihsak (pl)@
@on top of@|@waskici@
@one@|@nuqut@
@one day@|@nuqutuqunakat@
@only@|@cánaw@
@only a little@|@kôcuci@
@open it@|@yôcánum-@
@other side@|@akômuk@
@otherwise@|@ôkutakanuk, skôt@
@Our father beyond the sky@|@Nohshun ôkowi kisuquk@
@outdoor wall@|@pumiyotôk, pumiyotôkansh@
@outdoors@|@qaci@
@oven@|@tanishunimuk, tanishunimukansh (pl)@
@over@|@waskici@
@over there@|@yokcôwi@
@overcast@|@kupqat-@
@owl@|@koohookhomwem@
@oyster@|@aponah, aponahak (pl)@
@pack basket@|@matôpi, matôpish(pl)@
@palm of the hand@|@-ayômanic@
@part of@|@pôhshi@
@partly@|@cáhci@
@pass over@|@quskacá-@
@past tense marker@|@mô@
@pencil@|@wuskhwôsuwôk, wuskhwôsuwôkansh (pl)@
@perhaps@|@páhki@
@Pieces of cedar@|@Kackásh cikupi@
@pig@|@piksihs@
@pigs@|@piksihsak@
@pine@|@kow, kowák@
@planting@|@kihcáwôk@
@plate@|@wiyôk, wiyôkansh@
@play at a betting game@|@kusawasu-@
@play with him@|@pôhp-@
@please@|@kuwihqitumôsh-@
@pond@|@nupsapáq, plural nupsapáqash@
@porcupine@|@kôq, plural kôqak@
@possum@|@squnck@
@potato@|@plural punák, pun@
@pouch@|@pitôk, plural pitôkansh@
@pounded parched corn meal@|@yohkhik@
@Pray for me!@|@Ôkosum!@
@pumpkin@|@áskot, plural áskotash@
@puppy@|@ayumihs, ayumihsak (pl)@
@purpose@|@wáci@
@purse@|@pitôkansh@
@put it@|@ponam-@
@put it on of clothes@|@aqunum-@
@put it there@|@nitay ponamoq (pl), nitay ponamsh@
@quickly@|@kipi, kipi, kipshô-, skisho, skisho@
@quit@|@áhqi-@
@rabbit@|@tuksáhs, tuksáhsak (pl), waûtuckques@
@raccoon@|@áhsup, áhsupanak@
@rain@|@sokuyôn, sokuyônsh (pl)@
@rainbow@|@uqanaqôn, uqanaqônak (pl)@
@rat@|@mushapqáhs, mushapqáhsak (pl)@
@rather@|@wipi@
@rattlesnake@|@sihsiq, sihsiqák (pl)@
@raven@|@kaukont@
@read@|@akitusu-@
@really@|@mutáwi@
@Red cedar@|@Mishqáwtuk@
@red oak@|@wisacumus, wisacumusish (pl)@
@red squirrel@|@musqaniks, musqaniksak (pl)@
@red-tailed hawk@|@musqayan, musqayanák (pl)@
@rejoicing@|@wikôtamuwôk, wikôtamuwôkansh (pl)@
@resemble@|@aquniwôqat-@
@residence@|@wut'hkiwôk, wut'hkiwôkansh (pl)@
@return@|@putuki-@
@returning@|@quski@
@rib@|@hpicák, n'hpicákansh (pl)@
@right side@|@mutunuk (indef poss), tunuk@
@Right side@|@inkáwi@
@river@|@áhsit, áhsitash (pl), sipo, siposh (pl)@
@road@|@máy, máy (pl)@
@roast it@|@wátsum-@
@rock@|@qusuq@
@roof@|@waskicikamuq, waskicikamuqash (pl)@
@room of a house@|@cupuwicuw, cupuwicuwash (pl)@
@rotate@|@qipi-@
@rough@|@kôskáyu-@
@round@|@putuqáyu-@
@round clam@|@poqáh, poqáhak (pl)@
@round Indian dwelling@|@wiqám@
@rub it@|@mumuqunum-@
@rum@|@ôhkupi, ôhkupish (pl)@
@run@|@qaqi-@
@sachem@|@sôcum, sôcumôk (pl)@
@safely@|@nánáwihtiyi@
@salt@|@sát@
@salute him@|@wôkum-@
@sand@|@yák@
@Sassafras@|@Sasôkapámuk@
@say to him@|@uy-@
@say to it@|@tam-@
@scare him@|@wisay-@
@school@|@nihtokamuq, nihtokamuqash@
@seashell@|@ayáhs, ayáhsak@
@seawater@|@kiht'hanupáq@
@second@|@nahahtôwi@
@see him@|@náw-@
@see it@|@nám-@
@See you later!@|@Mus kunáwush!, Mus kunáwuyumô! (pl)@
@see you tomorrow!@|@sáp kunáwush!, sáp kunáwuyumô (pl)@
@seed corn@|@wuskanim, wuskanimunsh@
@seize him@|@táhqun-@
@seize it@|@táhqunum-@
@self@|@-ahak@
@sell@|@ônqshô-@
@sense@|@muyôw-@
@seven@|@nisôsk@
@seven days@|@nisôskuqunakat@
@seventh@|@nisôskut@
@seventy@|@nisôsk-shuncák@
@she@|@nákum@
@shell@|@ayáhs, ayáhsak (pl), môsôpi, môsôpish@
@shirt@|@wáwôpaks, wáwôpaksash@
@shit@|@mikucut, mikucutash@
@shore@|@t'hkamuq, t'hkamuqash (pl)@
@shoulder@|@-hpihq, n'hpihqanak (pl)@
@show it to him@|@nôhtuy-@
@shut it@|@kupham-@
@sibling of opposite sex@|@itôps, nitôpsak@
@sign@|@kunasuwôk, kunasuwôkansh@
@signify@|@iwômu-@
@similar to@|@aqi@
@since@|@wucina@
@since long ago@|@yôwat@
@sing@|@kutomá-@
@sister-in-law@|@-iyum, niyumak (pl)@
@Sit by me!@|@kuski nahak mátapiq (pl), Kuski nahak mátapsh!@
@sit down@|@matapu-@
@sit down!@|@mátapiq (pl), mátapsh@
@sit next to me@|@kuski nahak mátapiq (pl), kuski nahak mátapsh@
@sit next to us@|@kuski nahakánônak mátapiq (pl), kuski nahakánônak mátapsh@
@Sit with us!@|@Mátapiq wuci nahakánônak, Mátapsh wuci nahakánônak@
@six@|@qutôsk@
@six days@|@qutôskuqunakat@
@sixth@|@qutôskut@
@sixty@|@qutôsk-shuncák@
@skin@|@shay@
@skirt@|@kusawôk, kusawôkansh (pl)@
@skunk@|@skôks, skôksak@
@sky@|@kisuq@
@sled@|@tôpôk, tôpôkansh@
@sleep@|@kawi-@
@slowly@|@mayuni@
@small@|@piwsihsu-@
@small cooking pot@|@kohqihs, kohqihsak@
@small kettle@|@kohqihs, kohqihsak (pl)@
@smoke@|@pukut@
@smokehole@|@wunáhcukamuq, wunáhcukamuqash@
@smooth@|@mosáyu-@
@snail@|@askiqutam, askiqutamak@
@snake@|@askùg, skok, skokak (pl)@
@snow on the ground@|@kon, konak (pl)@
@snowshoe@|@ôkum, ôkumak (pl)@
@sod house@|@cáhqin, cáhqinsh (pl)@
@sod houses@|@cáhqinsh@
@softly@|@mayuni@
@solid@|@cáhsun-@
@some@|@pôhshi@
@someone@|@awán@
@something@|@cáqan, cáqan, cáqansh (pl), cáqansh (pl)@
@something sweet@|@wikáyuwôk, wikáyuwôkansh (pl)@
@sometimes@|@mômansh@
@son@|@námôn, nunámônak (pl)@
@soul@|@-côq, mucôqak@
@soup@|@sápahik, sápahikansh@
@southward@|@sôwanayo@
@speak@|@kikátohká-@
@speak the Indian language@|@uyôtowá-@
@speak the truth@|@wuyômwá-@
@speak to him@|@kayoy-@
@spear@|@qunôhtuq, qunôhtuqash (pl)@
@spirit@|@cipay, cipayak@
@spirit of a living person@|@côq, mucôqak@
@spoon@|@kiyamô, kiyamôk (pl)@
@squash@|@áskot, áskotash (pl)@
@squirrel@|@mishánneke, mushaniq, mushaniqak (pl)@
@stand@|@nipawu-@
@star@|@ayaks, ayaksak (pl), ayaquhs@
@start@|@kucshun-@
@stay@|@apu-@
@steal@|@kumotu-@
@stick@|@wutqun, wutqunsh (pl)@
@still@|@aspumi@
@stir@|@mômôci-@
@stir it@|@wákawunum-@
@stocking@|@kôkuw, kôkuwansh (pl)@
@stomach@|@muyakusash, yakus@
@stone@|@sun, sunsh (pl)@
@Stones' heated in a great fire@|@Sunsh kusaputásh kôkci yohták@
@Stop@|@Áhqi@
@stop it@|@áhqi@
@stop something@|@áhqi-@
@story@|@ihtôqat, ihtôqatash (pl)@
@stove@|@tanishunimuk, tanishunimukansh (pl)@
@strand of hair@|@wihshákansh@
@straw game@|@akisu-@
@strawberry@|@wutáhum, wutáhumunsh (pl)@
@stream@|@sipowihs, sipowihsash@
@strike him@|@takam-@
@strike it@|@takatam-@
@string@|@pimunt, pimunt, pimuntônsh (pl), pimuntônsh (pl)@
@strongly@|@mihki@
@summon him@|@wihkum-@
@sun@|@kisusq@
@sunrise@|@wôpan@
@sunset@|@wayô-@
@supper@|@wuyôkpuwôk, wuyôkpuwôkansh (pl)@
@swallow it@|@qutam-@
@swamp@|@cáq, cáqash@
@swan@|@wiqáhsh, wiqáhshák (pl)@
@sweat@|@pisupá-@
@sweat in a sweatlodge@|@pisupá-@
@Sweatlodge-keeper@|@Pisupôk-wacônumwin@
@Sweet grass@|@Wikô máskiht@
@swim@|@pumôsuwi-@
@table@|@taspowôk, taspowôkansh (pl)@
@take him@|@mam-@
@take it@|@mam-@
@take it away@|@ámáwunam-@
@take it off@|@katunum-@
@talk@|@kikátohká-@
@talk about it@|@wiwaqutum-@
@taste it deliberately@|@quctam-@
@teach@|@kotumcá-@
@teach him@|@kotum-@
@tell him@|@uy-@
@tell news@|@ôcimu-@
@tell something to someone@|@ôcimohkaw-, ôcimohkaw-@
@ten@|@páyaq@
@tenth@|@páyaqut@
@than@|@wipi@
@thank him@|@tápatam-@
@thank them@|@tápatam, tápatamohq, tápatamôtô@
@thank you@|@táput ni@
@that (animate)@|@na, nik@
@that (inanimate)@|@ni, nish (pl)@
@that is right@|@ni wimonáyuw@
@that is so@|@ni yáyuw@
@that place@|@nitay, nitay@
@the houses@|@wicômash@
@The Lord is my shepherd@|@Kôkci Manto nunáwshipsuwin@
@The men plant the tobacco@|@Inak kihcák inpáwôk@
@the same@|@tátupi@
@The sweet grass smells good@|@Wikô máskiht wuyimôqat@
@the taste of it@|@quctam-@
@them@|@nákumôw@
@then@|@ôtay@
@there is a great rain@|@mushuyôn@
@there is lightning@|@wôwôsôpshá-@
@there is thunder@|@patáhqáham@
@therefore@|@niwuci@
@these (animate)@|@yo, yok (pl)@
@These are my children@|@Nunicônak ayuwak yok@
@These are my parents@|@Ocátôká ayuwak yok@
@these inanimate@|@yosh@
@they@|@nákumôw@
@think@|@uyôhtum-@
@third@|@shwut@
@thirsty@|@kôkuton-@
@thirteen@|@páyaq napni shwi@
@thirty@|@swuncák@
@this@|@yo, yok (pl)@
@this (inanimate)@|@yo, yosh (pl)@
@This is a water drum@|@Yo nupi popowutáhuk@
@This is my family@|@Nucáhsháyuwôk ayuw yo@
@this way@|@yo uy@
@those animate@|@na, nik@
@those inanimate@|@ni, nish (pl)@
@Thou shalt not commit adultery@|@Áhqi pish kumamusuw@
@Thou shalt not kill@|@Áhqi pish kunshô@
@Thou shalt not steal@|@Áhqi pish kukumot@
@thousand@|@mutunôk@
@three@|@shwi@
@throat@|@muqutôkansh (pl), qutôk@
@through@|@papaspi@
@throw it@|@swukanum-@
@throw it away@|@pakitam-@
@thunder@|@patáhqáham@
@Thursday@|@yáwuqunakat@
@thus@|@uy@
@Thy kingdom come@|@Kukutasitumiwôk piyômush@
@time@|@qôpáyuwash (pl), qôpáyuwôk@
@to@|@i@
@to be@|@ayu-@
@to eat him@|@wikimoh-@
@to the right@|@inkáwi@
@tobacco@|@inpáwôk, inpáwôkansh (pl)@
@tobacco pipe@|@wutamôk, wutamôkanak (pl)@
@toboggan@|@tôpôk, tôpôkansh (pl)@
@today@|@yo kisk@
@toe@|@nusitukansh (pl), situk@
@tomorrow@|@sáp@
@tongue@|@-iyan, miyansh@
@tonight@|@yo tápkuk@
@too@|@wôk@
@too many@|@wusômi, wusômi@
@too much@|@wusômi@
@tooth@|@-iput, miputash (pl)@
@torment him@|@kihcapun-, kihcapun-@
@touch it@|@musunum-@
@towards@|@yaqi, yaqi@
@towel 'hand-wiping tool'@|@ciskicohuwôk, ciskicohuwôkansh (pl)@
@town@|@otán, otánásh (pl)@
@trade@|@ônqshô-@
@transgression@|@matôpáwôk, matôpáwôkansh (pl)@
@travel@|@pumshá-@
@tree@|@mihtuq, mihtuqash, wuyacásq, wuyacásqash@
@tribe@|@cupanuwôk, cupanuwôkansh (pl)@
@triumph@|@sôhká-@
@trousers@|@átwun, átwunsh (pl)@
@Tuesday@|@nisuqunakat@
@tumpline@|@matôpi, matôpish (pl)@
@turkey@|@náham, náhamák (pl)@
@Turkey fan@|@Náham pawanatôk@
@Turkey feathers@|@Náham miqunak@
@turn@|@qipi-@
@turtle@|@toyupáhs, toyupáhsak (pl), tunuppasog@
@twelve@|@páyaq napni nis@
@two@|@nis@
@uncle@|@nusihsak (pl), sihs@
@unclean@|@nuskinôqat-@
@under@|@aqu@
@until@|@paci@
@upon@|@waskici@
@upward@|@qi, wáwápi@
@use something@|@awáhcá-@
@vain@|@ákowi@
@valley@|@oyôkoway, oyôkowayush (pl)@
@vegetables@|@micumuwôkansh (pl), micumwôk@
@vermilion@|@wuyam, wuyamansh (pl)@
@very@|@mutáwi, winu@
@visit him@|@natawah-@
@vital force@|@kitiyawôkak (pl), kitiyayôk@
@wait for him@|@páh-@
@wait for it@|@páhto-@
@wake him up@|@tohkun-@
@wake up@|@tohki-@
@walk along@|@pumshá-@
@walk with snowshoes@|@ôkumaham-@
@wall (of a house)@|@susupôkamuq, susupôkamuqas (pl)@
@wall (outdoor)@|@pumiyotôk, pumiyotôkansh (pl)@
@walnut@|@wusqatôm, wusqatômunak (pl)@
@walnut tree@|@wusqat, wusqatash (pl)@
@wampum shell@|@môsôpi, môsôpish (pl)@
@wander around@|@náyuwáyu-@
@want it@|@côhtam-@
@warm himself@|@awasu-@
@was and is no more@|@mô@
@wash him@|@kucusum-@
@wash it@|@kucusuto-@
@wash oneself@|@kishtutu-@
@water@|@nupi, nupish (pl)@
@wave@|@tukow, tukowak (pl)@
@way@|@máy@
@we (exclusive)@|@niyawun@
@we (inclusive)@|@kiyawun@
@We are sorry@|@kusiwôhtumumun, nusiwôhtumumun@
@We pray in the sweat lodge@|@Kutôkosumun pisupôkanuk@
@We sing in the sweat lodge@|@Kukutomámun pisupôkanuk.@
@We sweat in the sweat lodge@|@Kupisupámun pisupôkanuk@
@We thank you@|@kutápatamuyumun@
@We will dance at the feast@|@Mus kumutákômun nikômuk@
@we will see you tomorrow@|@sáp kunáwuyumun@
@wear it@|@aqunum-@
@wedding@|@w'sintamuwôk, w'sintamuwôkansh (pl)@
@Wednesday@|@shwiqunakat@
@week@|@nisôskuqunakat@
@weigh him@|@qutah-@
@weigh it@|@qutaham-@
@welcome@|@suqiq!, suqish!, wiqômun, wiqômun@
@well@|@wuyi@
@westward@|@máqamtunayo@
@whale@|@potáp plural potápák@
@what are we (exclusive) doing@|@cáqan nutusumun?@
@what are we (inclusive) doing@|@cáqan kutusumun?@
@what are we doing?@|@cáqan kutusumun?, cáqan nutusumun?@
@what are you called?@|@tôn kutusuwisumô?@
@what are you doing@|@cáqan kutus?, cáqan kutusumô?@
@what did we (exclusive) say@|@cáqan nutiwámun?@
@what did we (inclusive) say@|@cáqan kutiwámun?@
@what did you say@|@cáqan kutiwa?, cáqan kutiwámô? (pl)@
@what is that (animate)@|@cáqan na?, cáqan nik? (pl)@
@what is that (inanimate)@|@cáqan ni?, cáqan nish? (pl)@
@what is that animate@|@cáqan na?, cáqan nik? (pl)@
@what is that inanimate@|@cáqan ni?, cáqan nish? (pl)@
@what is this@|@cáqan yo?, cáqan yosh? (pl)@
@what is this (inanimate)@|@cáqan yosh? (pl)@
@what is this animate?@|@cáqan yo?, cáqan yok? (pl)@
@what is your name?@|@tôn kutusuwis?@
@when@|@cimak@
@where@|@totay@
@where (in questions)@|@cáhak@
@where are we (inclusive) going@|@cáhak kutihshámun?@
@where are we going@|@cáhak kutihshámun?@
@where are you going@|@cáhak kutihshá?, cáhak kutihshámô?@
@white oak@|@pakcumus, pakcumusush (pl)@
@white person@|@wánuks, wánuksak (pl)@
@who (in questions)@|@awán@
@who are you@|@awán ki?, awán kiyaw? (pl)@
@who is that person@|@awán na skitôp?, awán na skitôpak (pl)@
@who is that person?@|@awán na skitôp?, awán na skitôpak? (pl)@
@why (in questions)@|@t'wuci@
@wicked@|@maci, macitu-@
@wife@|@-iyok, niyokanak (pl)@
@wigwam@|@wiqám, wiqámsh@
@wigwans@|@wiqámsh@
@wild onion@|@winuwáhs, winuwáhsak (pl)@
@wild rice@|@mayom, mayomunsh (pl)@
@will (future marker)@|@mus@
@wind@|@wutun, wutunsh (pl)@
@window@|@kinakinik, kinakinikansh (pl)@
@with@|@nashpi, naspi@
@withdraw it@|@wutôtunum-@
@wolf@|@muchquashim, muks, muksak (pl)@
@woman@|@sqá, sqák (pl)@
@woman's dress@|@pitkôs, pitkôsonsh@
@woman's sister@|@-ituksq, nituksqak (pl)@
@wood@|@wutqun, wutqunsh (pl)@
@woodchuck@|@akasq, akasqak@
@woods@|@k'hpáy, k'hpáyash@
@word@|@kikátohkáwôk, kikátohkáwôkansh (pl)@
@work@|@ayhkôsu-@
@world@|@pômkoki@
@worm@|@ohq, ohqák (pl)@
@wretched@|@kucumôkusu-@
@write@|@wuskhwôsu-@
@writing@|@wuskhwik, wuskhwikansh (pl)@
@year@|@katumuw, katumuwash (pl)@
@yes@|@náy, nuks@
@yesterday@|@wiyôko@
@you@|@ki, kiyaw (pl)@
@You shaltn't bear false witnes@|@Áhqi pish kupanôwaw@
@young man@|@yôkôp, yôkôpák@
@young woman@|@sqáwhs, sqáwhs, sqáwhsak (pl), sqáwhsak (pl), yôksqáhs, yôksqáhsak@
@younger sibling@|@ihsums, nihsumsak@
@your loving cousin@|@Wômôyáw Katôks@

