@English@|@Arabic (romanized)@
@page@|@al-safHa@
@pages@|@safHât@
@painting@|@rasîm@
@palace@|@qaSr (quSūr)@
@palm trees@|@nakhl@
@paper@|@waraq (’awrāq)@
@parent@|@wālid@
@parents@|@abawayn@
@parliament@|@barlamān@
@part@|@qism (’aqsām)@
@party@|@Hizb (’aHzāb)@
@party (social)@|@Hafla (Hafalāt)@
@passenger@|@rākib (rukkāb)@
@patriotic@|@waTaniyya@
@peace@|@salām@
@pearl@|@lu`lu`@
@peasant@|@fallāH@
@pen@|@qalam (’aqlām)@
@peninsula@|@jazīra (juzur, jazā’ir)@
@people@|@’ahl (’ahālin), qawm (’aqwām), sha?b (shu?ūb)@
@perhaps@|@iHtimâl, rubbamâ@
@period@|@mudda (mudad)@
@permission@|@taSrīH (taSrīHāt)@
@person@|@’insān (nās), imra’ | al-mar’, shakhS (’ashkhāS)@
@personality@|@shakhSiyya@
@petroleum@|@nafT@
@phrase@|@3ibâra, jumla@
@picture@|@Sūra (Suwar)@
@piece@|@qiT?a (qiTa?, qiT?āt)@
@piece of paper@|@waraqa@
@pirate@|@qursân@
@place@|@maHall (maHāll, maHallāt), makān (’amākin, ’amkina), mawDi? (mawāDi?)@
@plantation@|@mazra?a (mazāri?)@
@pleasant@|@laTīf (liTāf, luTfā)@
@please@|@law samaHt (esp. in Jordan)@
@please.@|@izâ bitrîd (lebanese dialect)@
@please;as you like@|@itha bi trîd(slang)@
@plural@|@al-jam3, jam3@
@police@|@bulīs, shurTa@
@political@|@siyāsī (sāsā)@
@politician@|@siyāsī (sāsā)@
@politics@|@siyāsa@
@pool@|@birka (birak)@
@poor@|@miskîn@
@position@|@mawqif (mawāqif)@
@possible@|@mumkin@
@post@|@barīd@
@practice@|@mumârasât@
@praise@|@Hamd@
@present@|@HāDir@
@present (adj.)@|@Hālī@
@president@|@ra`îs, ra’īs (ru’asā)@
@press@|@SiHāfa@
@previous@|@sābiq@
@prince@|@’amīr (’umarā’)@
@principal@|@ra’īsī@
@private@|@khuSūSī@
@problem@|@mushkila (mashākil)@
@professor@|@’ustādh (’asātidha)@
@profits@|@?awā’id@
@program@|@barnâmaj (f.)@
@program (TV)@|@barnâmaj@
@programs (plural)@|@barâmij@
@promise@|@?ahd (?uhūd)@
@pronunciation@|@al-lafath@
@propaganda@|@di?āya@
@proverb@|@mathal (’amthāl)@
@province@|@wilāya@
@public@|@’umūmī, jumhūr (jamāhīr)@
@publication@|@nashra (nasharāt)@
@qasîr@|@short@
@queen@|@malika@
@question@|@su’āl (’as’ila)@
@quick@|@sarī? (sur?ān, sirā?)@
@race@|@qawm (’aqwām)@
@rain@|@al-maTar, maTar (’amTār)@
@rainy@|@mumTir@
@rare@|@nâdir(a) (adj)@
@rarely@|@nâdiran@
@rat@|@fa`r@
@read "th" as in "thin" or sometimes as in "they"@|@"th"@
@reading@|@qira`ah@
@ready@|@HâDir@
@really?@|@Haqqan?@
@reason@|@sabab (’asbāb)@
@red@|@’aHmar (Humr)@
@region@|@minTiqa@
@related (to)@|@qarīb (’aqribā’)@
@relation(ship)@|@?alāqa@
@relatively@|@nisbiyyan@
@report@|@balāgh (balāghāt)@
@republic@|@jumhūriyya@
@resemblance@|@mithl (’amthāl)@
@responsible@|@mas’ūl@
@restaurant@|@maT?am (maTā?im), maT'am@
@result@|@an-natîja, natīja (natā’ij)@
@results@|@natâ`ij@
@returned (female)@|@3âdat@
@returns@|@yarji3@
@revolution@|@thawra@
@rice@|@’aruzz, ar-raz@
@rice with meat@|@raz bil-laHm@
@rich@|@ghanī (’aghniyā’)@
@right@|@Haqq (Huqūq), SaHīH (SiHāH, ’aSiHHā’, ’aSiHHa), yamîn, yamīn@
@rightness@|@SiHHa@
@river@|@nahr (’anhur, ’anhār, nuhūr)@
@riyal@|@riyāl (riyālāt)@
@road@|@shāri? (shawāri?), Tarīq (Turuq)@
@robe@|@thawb (thiyāb, ’athwāb)@
@room@|@ghurfa (ghuraf)@
@ruler@|@Hākim (Hukkām)@
@sad@|@hazîn(m) hazîna(fm)@
@safe@|@sālim, salīm (sulamā’)@
@said in reply to "my condolences"@|@shakara Allah sa2yakum.@
@salt@|@milH@
@salvation@|@najâH@
@same@|@nafs@
@same here.@|@wa ana aiDan.@
@sand@|@raml (rimāl)@
@scholar@|@?ālim (?ulamā’)@
@school@|@madrasa (madāris)@
@science@|@?ilm (?ulūm)@
@sea@|@baHr (buHūr, biHār), baHr (m.)@
@season@|@mawsim (mawāsim)@
@secure@|@sālim, salīm (sulamā’)@
@security@|@’amn@
@self@|@nafs (nufūs, ’anfās)@
@sentence@|@jumla@
@series (on TV)@|@musalsal (see tr. "silsile")@
@servant@|@khādim (khadam, khuddām)@
@service@|@khidma (khadamāt)@
@shape@|@shakl (’ashkāl)@
@she@|@hiya@
@she buys@|@tashtarî@
@she changes@|@tughayyar (transitive)@
@she fasted@|@sâmat@
@she is 10 years old. (num. plural)@|@3umrihâ 3ashira sanawât.@
@she joked@|@maza7at@
@she returns@|@ta2ûd@
@she thought...@|@dhannat...@
@she votes@|@tusawwit@
@she wants to rule the world.@|@turîd an taHkum al 3âlam.@
@She was watching another program.@|@Kânat tushâhid barnâmaj âkhar.@
@she watches/you watch (m.)@|@tushâhid@
@she will return.@|@hiya sawfa tarji3.@
@she wouldn't answer my question.@|@lan tastajib li su`âlî.@
@sheep@|@ghanam (’aghnām)@
@ship@|@markab (marākib), safīna (sufun)@
@shop@|@dukkān (dakākīn), maHaTTa@
@shore@|@sāHil (sawāHil)@
@short@|@qaSīr (qiSār)@
@sick@|@marīD (marDa)@
@side@|@jānib (jawānib)@
@signifier for "ayn"@|@"3"@
@silence@|@al-sukûn@
@silent@|@sâkit@
@similar@|@mushâbih@
@similarity@|@mithl (’amthāl)@
@simple@|@basīT (busaTā’)@
@since@|@Haythu, mundhu, mundhu@
@since a month@|@mundhu shahr.@
@singular@|@al-mufred, mufred@
@sister@|@’ukht (’akhawāt)@
@site (website)@|@mawqî3@
@situation@|@Hāl (’aHwāl), Hāla, mawqif (mawāqif), waD? (’awDā?)@
@slave@|@?abd (?abīd, ?ibād)@
@sleep. (imperative)@|@na2am.@
@small@|@Saghīr (Sighār)@
@snow@|@al-barad@
@so@|@kadhālika, lidhālika@
@so do I.@|@wa anta aiDan.@
@so that I learn@|@ila an ata'allam@
@social@|@ijtimā?ī@
@soil@|@turba/turâb@
@soldier@|@?askarī@
@some@|@ba?D@
@some people@|@ba3D an-nâs@
@someone@|@shakhS (’ashkhāS)@
@sometimes@|@’aHyānan, aHyânan, ba3D al-aHyân@
@son@|@walad (’awlād)@
@son (of)@|@ibn (’abnā’, banūn)@
@song@|@al-ughniya@
@songs@|@al-aghâni@
@soon@|@qarîban@
@soon / in a short time@|@ba3da qalîl@
@sorrow@|@al-Huzn@
@sort@|@naw? (’anwā?)@
@sound@|@SāliH@
@source@|@al-aSl@
@south@|@janûb, janūb@
@special@|@khāSS, khuSūSī, mumayyas@
@special to Ramadan.@|@al khassa bi ramaDân.@
@specific@|@mu3yan@
@speed@|@sur?a@
@sport(s)@|@riyâDa@
@sport(s) >< mathematics@|@riyâDat >< riyaDiyat@
@spring@|@?ayn (?uyūn)@
@stairs@|@sullam, sullam@
@stand@|@mawqif (mawāqif)@
@stand up@|@qāma / yaqūmu@
@stands for the arabic letter "Tî"@|@"T"@
@started/began@|@bada`a(t)@
@state@|@dawla (duwal)@
@statement@|@bayān (bayānāt)@
@station@|@maHaTTa@
@statue@|@timthâl@
@step@|@daraja@
@store@|@dukkān (dakākīn)@
@stories@|@qisâs@
@story@|@qissa, qiSSa (qiSaS)@
@straight ahead.@|@3alâ Tûl.@
@strange@|@gharîb, gharīb (ghurabā’)@
@street@|@shāri? (shawāri?)@
@strength@|@quwwa, shidda@
@strong@|@qawī (’aqwiyā’), shadīd (shidād)@
@student@|@Tālib (Tullāb, Talaba)@
@study@|@dirāsa@
@subject@|@mawDū? (mawāDi?)@
@substance@|@mādda (mawādd)@
@success@|@najâH, nejâH@
@suddenly@|@faj`atan@
@summer@|@as-sayf@
@sun@|@shams (shumūs)@
@sunny@|@mushmis@
@surface@|@saTH (suTūH, ’asTiHa), wajh (’awjuh, wujūh)@
@sweet@|@Hulw@
@system@|@niZām (’anZima)@
@talk@|@Hadīth (’aHādīth), kalām@
@tall@|@Tawīl (Tiwāl)@
@tea@|@shāy@
@teacher@|@’ustādh (’asātidha), mu?allim@
@team@|@farīq (furaqā’)@
@technical@|@fannī@
@tent@|@al-khidr@
@thanks to... (smb.)@|@shukran li...@
@that@|@’an, ’anna, dhālika@
@that (f)@|@tilka@
@that is@|@’ay@
@that's enough.@|@hâthâ yakfî.@
@the@|@al-@
@the hero of the story is called Majid.@|@baTal al-qissa ismuhû Majid.@
@the little ones go to school.@|@yathhab as-sighâr ilal madrasa@
@the older ones go to work.@|@yathhab al-kibâr ilal 3amal.@
@the same meaning@|@nafs al-ma3na@
@the same question@|@nafs al-su`al@
@the same thing@|@nafs al-shay@
@the source of Lebanese food is Tr.@|@al-akalu Lubnân aSluhu Turkiya@
@them(m)@|@hum@
@then@|@ithan, thumma@
@there@|@hunāka@
@therefore@|@lidhālika@
@There's a difference.@|@hunak farq.@
@they@|@hum, ulâika@
@they (f)@|@hunna@
@they help@|@yusâ3idûn@
@they help me with arabic.@|@yusâ3idûnnî bil 'arabî.@
@they're the best.@|@hum al-aHsan.@
@thin@|@daqīq (diqāq)@
@thing@|@Hāja, sha’n (shu’ūn), shay’ (’ashyā’)@
@thirty@|@thalâthîn@
@this@|@hādhā@
@this (f)@|@hādhihi@
@this is a rare thing.@|@hâthâ shay nâdir.@
@this is wonderful!@|@hâthâ shay râi' !@
@this is wrong.@|@hâthâ ghalaTa.@
@three and a half (hours)@|@thalâtha wa niSf@
@three years@|@thalâtha sanawât (plural)@
@time@|@Hīn (’aHyān), marra, waqt (awqāt), zamān (’azmina)@
@time and place (of smth.)@|@maw3id@
@tired@|@ta?bān@
@to@|@’an, ’ilā, li-@
@to (de)limit@|@Haddada (II)@
@to accept@|@qabila / yaqbalu@
@to achieve@|@Haqqaqa (II)@
@to add@|@’aDāfa (IV)@
@to adjoin@|@jāwara (III)@
@to administer@|@’adāra (IV)@
@to advertise@|@’a?lana (IV)@
@to agree@|@wāfaqa (III)@
@to amount to@|@balagha / yablughu@
@to announce@|@’a?lana (IV)@
@to answer@|@jāwaba (III)@
@to arrive@|@qadima / yaqdamu@
@to arrive (at)@|@waSala / yaSilu@
@to ask@|@sa’ala / yas’alu@
@to attempt@|@Hāwala (III)@
@to be@|@kāna / yakūnu@
@to be able to@|@qadara / yaqdiru@
@to be angry@|@ghaDiba / yaghDabu@
@to be astonished@|@?ajiba / ya?jabu@
@to be broken@|@inkasara (VII)@
@to be complete@|@tamma / yatimmu@
@to be mandatory@|@wajaba / yajibu@
@to be necessary@|@lazima / yalzamu@
@to be possible@|@’amkana (IV), wasi?a / yasa?u@
@to be present@|@HaDara / yaHDuru@
@to be safe@|@’amina / ya’manu@
@to be secure@|@’amina / ya’manu@
@to be varied@|@tanawwa?a (V)@
@to be wide@|@wasi?a / yasa?u@
@to beat@|@Daraba / yaDribu@
@to become@|@’aSbaHa (IV)@
@to begin@|@’akhadha / ya’khudhu@
@to believe@|@i?taqada (VIII)@
@to benefit@|@istafāda (X)@
@to breakfast@|@’afTara (IV)@
@to build@|@banā / yabnī@
@to buy@|@ishtarā (VIII)@
@to calculate@|@Hasaba / yaHsubu@
@to call out@|@SāHa / yaSīHu@
@to carry@|@Hamala / yaHmilu@
@to carry out@|@’ajrā (IV), naffadha (II)@
@to cause@|@’aHdatha (IV)@
@to change@|@taghayyar (intransitive)@
@to come@|@jā’a / yajī’u, qadima / yaqdamu@
@to comment@|@?allaqa (II)@
@to complete@|@’atamma (IV)@
@to compose@|@’allafa (II)@
@to conquer@|@fataHa / yaftaHu@
@to consider@|@fakkara (II)@
@to contract@|@?aqada / ya?qidu@
@to converse@|@Hādatha (III)@
@to correspond with@|@kātaba (III)@
@to count@|@?adda / ya?uddu@
@to create@|@’aHdatha (IV)@
@to cross@|@?abara / ya?buru, marra / yamurru@
@to cultivate@|@zara?a / yazra?u@
@to cut@|@qaTa?a / yaqTa?u@
@to deal with@|@?ālaja (III), ?āmala (III)@
@to decide@|@qarrara (II)@
@to decide/he decided@|@qarrara@
@to defend@|@dāfa?a (III)@
@to descend@|@nazala / yanzilu@
@to develop (vi)@|@taTawwara (V)@
@to develop (vt)@|@Tawwara (II)@
@to die@|@māta / yamūtu@
@to dine@|@ta?ashshā (V)@
@to discuss@|@bāHatha (III), baHatha / yabHathu@
@to disseminate@|@’ashā? (IV)@
@to divide@|@qasama / yaqsimu@
@to do@|@?amila / ya?malu, fa?ala / yaf?alu@
@to doubt@|@shakka / yashukku@
@to drink@|@shariba / yashrabu@
@to drive@|@sāqa / yasūqu@
@to eat@|@’akala / ya’kulu@
@to edit@|@Harrara (II)@
@to enter@|@dakhala / yadkhulu@
@to establish@|@’anshā’a (IV)@
@to export@|@SaDDara (II)@
@to face@|@wājaha (III)@
@to fall@|@waqa?a / yaqa?u@
@to fear@|@khāfa / yakhāfu@
@to fight@|@qātala (III)@
@to find@|@wajada / yajidu@
@to flow@|@jarā / yajrī@
@to fly@|@Tāra / yaTīru@
@to found@|@’assasa (II)@
@to gather@|@jama?a / yajma?u@
@to get@|@Hāza / yaHūzu@
@to give@|@?āTā (III)@
@to go@|@dhahaba / yadhhabu, sāra / yasīru@
@to go on strike@|@’aDraba (IV)@
@to go out@|@kharaja / yakhruju, Sadara / yaSduru, Tala?a / yaTlu?u@
@to go towards@|@tawajjaha (V)@
@to go up@|@Tala?a / yaTlu?u@
@to grant@|@samaHa / yasmaHu@
@to greet@|@sallama (II)@
@to grow@|@nasha’a / yansha’u@
@to hand over@|@sallama (II)@
@to hang@|@?allaqa (II)@
@to happen@|@Hadatha / yaHduthu, HaSala / yaHSulu, jarā / yajrī, sāra / yasīru, waqa?a / yaqa?u@
@to hear@|@sami?a / yasma?u@
@to help@|@waffaqa (II)@
@to hurry@|@’asra?a (IV)@
@to improve@|@Hassana (II), taHassana (V)@
@to increase@|@zāda / yazīdu@
@to influence@|@’aththara (II)@
@to inform@|@’ablagha (IV), ’akhbara (IV)@
@to inform of@|@’atla?a (IV)@
@to inspect@|@fattasha (II)@
@to invite@|@da?ā / yad?ū@
@to kill@|@qatala / yaqtulu@
@to know@|@?alima / ya?lamu, ?arafa / ya?rifu@
@to learn@|@?alima / ya?lamu, ta?allama (V)@
@to leave@|@kharaja / yakhruju, taraka / yatruku@
@to liberate@|@Harrara (II)@
@to live@|@Hayya / yaHyā@
@to look (at)@|@naZara / yanZuru@
@to look for@|@baHatha@
@to love@|@’aHabba (IV)@
@to make@|@fa?ala / yaf?alu, Sana?a / yaSna?u@
@to manage@|@’adāra (IV)@
@to manufacture@|@Sana?a / yaSna?u@
@to marry@|@tazawwaja (V)@
@to mean@|@?anā / ya?nī@
@to meet@|@ijtama?a, qābala (III), wājaha (III)@
@to mention@|@dhakara / yadhkuru@
@to name@|@’asmā (IV)@
@to need@|@iHtāja (VIII)@
@to obtain@|@Hāza / yaHūzu@
@to offer@|@?araDa / ya?riDu@
@to open@|@fataHa / yaftaHu@
@to order@|@’amara / ya’muru@
@to own@|@imtalaka (VIII), malaka / yamliku@
@to participate@|@ishtaraka (VIII)@
@to pass@|@marra / yamurru@
@to permit@|@’atāHa (IV), samaHa / yasmaHu@
@to point@|@dalla / yadullu@
@to possess@|@imtalaka (VIII), malaka / yamliku@
@to pray@|@da?ā / yad?ū@
@to precede@|@sabaqa / yasbaqu@
@to preserve@|@sallama (II)@
@to produce@|@’antaja (IV)@
@to prohibit@|@mana?a / yamna?u@
@to protect@|@HafiZa / yaHfaZu, Hamā / yaHmī, Sāna / yaSūnu@
@to publish@|@nashara / yanshuru@
@to put down@|@HaTTa / yaHuTTu@
@to rain@|@maTara / yamTuru@
@to raise@|@’aqāma (IV), rafa?a / yarfa?u@
@to reach@|@balagha / yablughu@
@to read@|@qara’a / yaqra’u@
@to realize@|@’adraka (IV)@
@to receive@|@istaqbala (X)@
@to reform@|@’aSlaHa (IV)@
@to regard@|@Hasiba / yaHsabu@
@to repair@|@SallaHa (II)@
@to reply@|@radda / yaruddu@
@to represent@|@maththala (II), nāba / yanūbu@
@to request@|@Talaba / yaTlubu@
@to result@|@nataja / yantiju@
@to retire@|@i?tazala (VIII)@
@to return@|@?āda / ya?ūdu, radda / yaruddu, raja?a / yarji?u@
@to ride@|@rakiba / yarkabu@
@to rise@|@irtafa?a (VIII), qāma / yaqūmu@
@to rule@|@Hakama / yaHkumu@
@to run@|@jarā / yajrī@
@to say@|@qāla / yaqūlu@
@to see@|@ra’ā / yarā@
@to seem@|@badā / yabdā, Zahara / yaZharu@
@to sell@|@bā?a / yabī?u@
@to send@|@’arsala (IV)@
@to serve@|@khadama / yakhdimu@
@to set up@|@’aqāma (IV)@
@to share@|@ishtaraka (VIII)@
@to show@|@?araDa / ya?riDu, ’abdā (IV), ’aZhara (IV)@
@to sit@|@jalasa / yajlisu@
@to solve@|@Halla / yaHullu@
@to speak@|@kallama (II), takallama (V)@
@to speak (to)@|@kallama (II)@
@to spend@|@Sarafa / yaSrifu@
@to spread@|@madda / yamuddu@
@to start@|@bada’a / yabda’u, ibtada’a@
@to stop@|@’awqafa (IV), waqafa / yaqifu, zāla / yazālu@
@to strike@|@Daraba / yaDribu@
@to study@|@baHatha / yabHathu, darasa / yadrusu@
@to substitute@|@nāba / yanūbu@
@to suppose@|@Zanna / yaZunnu@
@to surprise@|@’a?jaba (IV)@
@to take@|@’akhadha / ya’khudhu@
@to take lunch@|@taghaddā (V)@
@to teach@|@?allama (II), darrasa (II)@
@to think@|@Zanna / yaZunnu@
@to tie@|@?aqada / ya?qidu@
@to transport@|@naqala / yanqulu@
@to travel@|@sāfara (III), sāra / yasīru@
@to trust@|@wathiqa / yathiqu@
@to try@|@Hāwala (III)@
@to understand@|@fahima / yafhamu@
@to unify@|@waHHada (II)@
@to use@|@ista?mala (X)@
@to visit@|@zāra / yazūru@
@to vote@|@sawwat@
@to wait (for)@|@intaZara (VIII)@
@to wake up@|@istayqadh@
@to walk@|@mashā / yamshī@
@to watch@|@shahada@
@to wear@|@labisa / yalbasu@
@to widen@|@wassa?a@
@to wish@|@’arāda (IV), shā’a / yashā’u@
@to work@|@?amila / ya?malu, ishtaghala (VIII)@
@to work hard@|@ijtahada (VIII)@
@to write@|@’allafa (II), kataba / yaktubu@
@to; so that@|@ila@
@today@|@al yawm@
@today was an ordinary day.@|@yawmî kâna 3âdî(yan).@
@today was boring.@|@al-yawm kâna mumill.@
@tomorrow@|@bukra (mid.east), ghadan@
@tongue@|@lisān (’alsina, ’alsun)@
@too@|@aiDan, kamân@
@topic@|@mawDhû3@
@towards@|@’ilā, naHwa@
@town@|@balad (bilād)@
@toy@|@lu3ba@
@trace@|@’athara (’āthār)@
@Tradition@|@Hadīth (’aHādīth)@
@transcription of the arabic letter "dhî"@|@"dh"@
@transcription of the letter "khâ"@|@"kh"@
@traveler@|@as-sayyaH@
@travelers@|@as-suyyaH@
@travelling@|@raHâlât@
@tree@|@shajar (’ashjār)@
@truth@|@Haqīqa (Haqā’iq), Haqq (Huqūq)@
@turkish@|@turkî@
@Turks@|@atrâk@
@turn left.@|@ittajih li yasâr.@
@turn right.@|@ittajih li yamîn.@
@turtle@|@sulaHfâ@
@turtles@|@sulHufât@
@TV@|@at-televizyoon, at-tilfâz@
@twenty@|@3ishrîn@
@two days ago@|@min yawmayn@
@two months@|@shahrayn, shahrayn@
@type@|@naw? (’anwā?)@
@un-@|@ghayr@
@under@|@taHt@
@unfortunately@|@lil-asaf@
@unity@|@waHda (waHadāt)@
@until@|@Hattā@
@used to...@|@3âdatan...@
@useful@|@mufīd@
@usually@|@?ādatan@
@vacation@|@ijâza@
@vegetables@|@al-khuDâr@
@very@|@jiddan, wājid@
@very much@|@jazīlan@
@village@|@Day3a, qari`a, qarya (quran)@
@villages@|@qurra@
@violent@|@?anīf@
@voice@|@Sawt (’asWāt)@
@vote@|@Sawt (’asWāt)@
@vowel lengthener sign@|@"^"@
@wait here!@|@intadhir hunâ!@
@wall@|@Hā’iT (HiyāT, Hawā’iT)@
@war@|@Harb (Hurūb)@
@warmth@|@Harr@
@water@|@mā’ (miyāh)@
@way@|@Tarīq (Turuq), Tarīqa (Tarā’iq, Turuq)@
@we@|@naHnu, naHnu@
@we buy it.@|@nashtarîha.@
@we joked@|@mazaHna@
@we leave the chance to the others.@|@natruk al fursa lil âkharîn.@
@we leave...@|@natruk...@
@We let the new comers use the opportunity.@|@natruk al-fursa lil qâdimîn.@
@we prepare@|@nuHâDhiru@
@we were joking.@|@kunnâ namzaH.@
@weak@|@Da?īf (Du?afā’, Di?āf)@
@weather@|@at-taqs, jaw, jaww (’ajwā’)@
@week@|@jum?a (juma?), usbu3@
@welfare@|@maSlaHa (maSāliH)@
@west@|@gharb@
@what@|@shû (lebanese dialect)@
@what do you want me to say?@|@wsh tabeni agûl? (mid.east)@
@what else?@|@matha ba3d?@
@what is wrong with it?@|@mâthâ fî thâlik?@
@what kind of ?@|@ayya naw3 ?@
@what kind of books do you like?@|@ayya naw3 min alkutub tfaDDil?@
@what time is it there?@|@kam is-sâ3a hunâk?@
@what?@|@matha?@
@what's the time?@|@kam as-sâ3a?@
@what's your opinion?@|@mâ ra`yak?@
@when@|@?indamā, ’idhā, Hīna, lammā@
@when (used for past events)@|@ithâ@
@when I enter the university...@|@3indamâ adkhul al jâmi3a...@
@when I entered the university.@|@ithâ dakhaltu al-jâmi'a...@
@when...@|@ithâ... (for past actions)@
@when... (used for future events)@|@3indamâ...@
@when?@|@matā@
@where?@|@’ayna@
@whereas@|@Haythu@
@which? what?@|@’ayyi@
@while@|@baynamā@
@who?@|@man@
@whole@|@jamī?@
@why?@|@limā@
@wide@|@wāsi?@
@wife@|@zawja@
@wind@|@hawā’@
@with@|@bi-, ma?a@
@with the reason/because of...@|@bi sabab...@
@without@|@dūna@
@woman@|@imra’a | al-mar’a@
@wonderful@|@râi3@
@word@|@kalima@
@work@|@?amal (’a?māl), 3amal, shughl (’ashghāl)@
@world@|@?ālam (?awālim)@
@world literature@|@adab 3âlamî@
@would you like to...@|@hal tuHibbu an...@
@wow! (idiomatic exp. lit: "peace be on you")@|@yâ salâm 'alayk!@
@writing@|@kitâba@
@wrong@|@ghalaT (adj.), khâTi`a@
@wrong word@|@kalima khâTi`a@
@year@|@?ām (’a?wām), sana (sinūn, sanawāt)@
@yellow@|@aSfar (Sufr)@
@yes@|@na?am@
@yesterday@|@’ams, al-bāriH, ams@
@yesterday was sunny.@|@ams kâne yawman mushmisa.@
@you@|@’anta, ’anti@
@you (f pl)@|@’antunna@
@you (m pl)@|@’antum@
@you buy@|@tashtarî@
@you came (he/she)@|@atayta/ti@
@you change@|@tughayyar, tughayyar (transitive)@
@you cry/she cries@|@tabkî@
@you finish@|@tukmil@
@you frightened the child.@|@khawafta at-Tifl.@
@you go@|@anta rayeH (mid.east)@
@you had...@|@kâna 3indak...@
@you have to@|@yajib 3alayka@
@you have to study your lessons.@|@yajb3alayka an tadrusu durusak@
@you keep (a pet etc.)@|@turabbî@
@you know (what)...@|@ta3raf...@
@You live...@|@ta'îshu...@
@you must study in order to succeed.@|@likay tanjaH yajib an tadrus.@
@you prepare@|@tuHâDiru@
@you return@|@ta2ûd@
@you return/she returns@|@tarji3@
@you sleep@|@tanâm@
@you talked (he/she)@|@takallamta/ti@
@you vote@|@tusawwit@
@you voted (f.)@|@sawwati@
@you voted (m.)@|@sawwata@
@you wait@|@tantadhiru@
@you(f)@|@anti@
@you(m)@|@anta@
@you(pl.fm.)@|@antunna@
@you(pl.m.)@|@antum@
@young man@|@shabb (shabāb, shubbān)@
@young ppl of today@|@shabâb al-yawm@
@young woman@|@shābba@
@your brother@|@akhuk@
@you're lucky.@|@anta maHdhûdh.@
@you're welcome@|@3afwan@
@you're welcome.@|@tikram (mid.east)@
@youth@|@shabâb@

