@English@|@Sesotho@
@desire@|@ditakatso, lakatsa, takatso@
@desk@|@deseke, dideseke@
@despair@|@ho nyahama@
@desperate@|@nyahameng@
@dessert@|@phuting@
@destroy@|@ripitla@
@detective@|@lefokisi, mafokisi@
@detour@|@tsela e potolohang@
@detribalise@|@kgokgotsa@
@devastate@|@ripitla@
@deviate@|@kgeloha@
@deviation@|@tsela e potolohang@
@devil@|@diabolose@
@dew@|@phoka@
@Dewetsdorp@|@Morojaneng@
@diabetes@|@lefu la tswekere@
@diagram@|@dayakeramo, didayakeramo@
@dial@|@letsa@
@dialect@|@mmuo@
@diameter@|@diametha, didiametha@
@diamond@|@ditaemane, taemane@
@diarrhoea@|@letshollo@
@diary@|@bukatsatsi, dayari, dibukatsatsi, didayari@
@dictate@|@susutlella@
@dictator@|@basusutlelli, mosusutlelli@
@dictionary@|@bukantswe, dibukantswe, ditikishinare, tikishinare@
@die@|@shwa, shwele@
@diesel@|@disele@
@diesel train@|@terene ya disele@
@differ@|@fapana@
@different@|@asele, basele, bosele, disele, esele, lesele@
@different (1)@|@esele, fapaneng, fapaneng, hosele, osele@
@difficult@|@boima, ho boima, ho thata, thata@
@difficult work@|@mosebetsi o boima, mosebetsi o thata@
@dig@|@epa, tjheka@
@dig out@|@upolla@
@digit@|@dinomorwana, nomorwana@
@digital camera@|@dikhamerapaledi, khamerapaledi@
@dignified@|@hlomphehang@
@dilemma@|@ditsietsi, tsietsi@
@dilligence@|@kgothalo@
@dilligent@|@kgothala, kgothetse@
@dilute@|@hlapholla@
@dim@|@lerotho@
@dimensions@|@ditekantsho@
@diminutive form of masilo@|@masilonyane@
@diminutive form of mosemodi@|@mosemotsane@
@dimple@|@dibotjhe, sebotjhe@
@dining car@|@tulo ya ho jela@
@dining room@|@daenengrumo, didaenengrumo, kamore ya ho jela@
@dinner@|@ditinare@
@Dinner@|@Tinare@
@diode@|@ditaeodi, taeodi@
@dip@|@tipa@
@diphtheria@|@mmetso o mosweu@
@direct@|@laetsa, tobileng@
@direction@|@dinqa, nqa@
@directions@|@ditaelo@
@dirty@|@ditshila@
@disability@|@sekodi@
@disabled@|@holofetse@
@disagreement@|@ho se dumellane@
@disappear@|@dikela, lahlela, nyamela@
@disappoint@|@swetsa@
@disappointment@|@ditshwetso, tshwetso@
@disaster@|@kodua@
@Disaster@|@Sehlolo@
@disciple@|@barutuwa, morutuwa@
@discipline@|@thapiso@
@disclose@|@senola@
@disconnect@|@arohanya, fasolla@
@discount@|@ditheolelo, theolela, theolelo@
@discovered@|@fumane@
@discriminate@|@kgetholla@
@discrimination@|@kgethollo@
@disease@|@bolwetse@
@disgrace@|@hlomphollo@
@disgust@|@ho nyonya, ho tena@
@dish cloth@|@difatuku, fatuku, lesela la dijana@
@dish up@|@tshola@
@dishonest@|@sa tshepeheng@
@dishonesty@|@ho hloka botshepehi@
@dishwasher@|@dihlatswadijana, sehlatswadijana@
@disinclined@|@tswafa@
@disinfectant@|@dihlwekisi, sehlwekisi@
@disk@|@didiski, diski@
@disk capacity@|@mothamo a diski@
@dislike@|@nena@
@disliked@|@nenne@
@disloyalty@|@bokwenehi@
@dismiss@|@tebela@
@disperse@|@hasanya, qhala@
@display board@|@letlapa la pepeso@
@display quality@|@bontsha boleng@
@dispute@|@dikgang, ditsekisano, kgang, pheha kgang, tsekisana, tsekisano@
@disregard@|@hlokomoloha@
@dissapearance@|@nyamelo@
@dissolve@|@qhibidiha@
@distance@|@bohole@
@distinct@|@ikgethang@
@distress@|@tsietsa@
@district surgeon@|@ngaka ya setereke@
@distrust@|@belaela@
@disturb@|@ferehla@
@disturbance@|@pherehlo@
@ditch@|@lengope, mangope@
@dive@|@qwela@
@diverse people unity@|@kopano ya merabe e fapaneng@
@divide@|@arola@
@divided@|@arohane@
@diving@|@qwelo@
@divorce@|@ditlhalano, ditlhalo, hlala, tlhalano, tlhalo@
@dizziness@|@modikwadikwane@
@do@|@etsa@
@do for@|@etsetsa@
@do for the first time@|@tsibola@
@do insufficiently@|@unyetsa@
@do make-up@|@tlola@
@do not .@|@se ke@
@do not save@|@seke wa boloka@
@Do you accept money@|@Na le amohela tjhelete@
@Do you have@|@O na le@
@Do you speak@|@Na o a bua ...?@
@Do you speak Sesotho?@|@Na o a bua Sesotho?, O a bua Sesotho?@
@docter can treat the patient@|@Ngaka e ka phekola mokudi@
@doctor@|@dingaka, ngaka@
@doctor's visiting the patients@|@Ngaka e tjhaka ha mokudi@
@document@|@ditokomane, tokomane@
@dodecahedron@|@totekhahaeterone@
@does@|@seo a se etsang@
@dog@|@dintja, ntja@
@dog follows the one who feeds@|@ntja e tsokela ya e fang@
@dogs@|@dintja@
@Dog's tail@|@Moselantja@
@doll@|@dipopi, popi@
@dominate@|@busa@
@donate blood@|@ho fana ka madi@
@donation@|@dimpho@
@done@|@entse, etswa@
@donkey@|@ditonki, tonki@
@Don't be afraid to make erros@|@Tlaila le tlailela morena@
@don't blame me@|@se ke oa mpea molato@
@Don't blame me@|@Se ke wa mpea molato@
@Don't forget@|@Se lebale@
@Don't touch me there!@|@Se ka ntshoara (ntshwara) mono@
@door@|@lemati, mamati, monyaku@
@door handle@|@hentlele ya lemati@
@door opening@|@menyako, monyako@
@doorway@|@menyako, monyako@
@dose@|@tekanyo ya sehlare@
@dot@|@dikgutlokgutlo, kgutlokgutlo@
@doubt@|@dipotang, ditikatiko, ha ho potang, pelaelo, potang, tikatiko@
@doubt (1)@|@dipelaelo@
@dough@|@ditege, hlama, tege@
@dove@|@leeba, maeba@
@down@|@fatshe@
@Down@|@faatshe@
@download@|@ngollola, theolisa@
@doze@|@otsela@
@dozen@|@ditosene, tosene@
@drag@|@hula, hulanya@
@drag and drop@|@hulahla@
@dragon@|@dikgodumodumo, kgodumodumo@
@drakensberg@|@Qathlamba, Quathlamba@
@Drakensberg mountains@|@Qathlamba, Quathlamba@
@drama@|@diterama, terama@
@draw@|@ntsha@
@dream@|@ditoro, lora, toro@
@dress@|@apara, mese, mose@
@dresses@|@mese@
@dressing table@|@tafole e nang le seipone@
@driftwood@|@mahohodi@
@drill@|@bora, boro, diboro@
@drilling machine@|@motjhini o borang@
@drink@|@dino, noa, nwa, nwele, seno@
@drinker@|@dinwi, senwi@
@drinking vessel@|@dikhona, sekhona@
@drip@|@diteripi, qhitsa, rotha, teripi@
@drive@|@kganna@
@driver@|@bakganni, baqhobi, mokganni, moqhobi@
@driveway@|@tsela ya motokara, tselana e kenang@
@drizzle@|@lefafatsane@
@droop@|@lepella@
@drop@|@diha, dihela, lerothodi@
@drought@|@komello@
@drown@|@kgangwa ka metsi, nwella@
@drowsy@|@otselang@
@drug@|@dithethefatsi, thethefatsi@
@drug addict@|@lekgoba la dithethefatsi, makgoba a dithethefatsi@
@drug addiction@|@bokgoba ba dithethefatsi@
@drugs@|@dithethefatsi@
@drum@|@meropa, moropa@
@drunk@|@tahilwe@
@drunkenness@|@botahwa@
@dry@|@oma, omisa@
@dry dock@|@boemakepe bo ommeng@
@dry up@|@pjha@
@dryclean@|@hlwekisa ntle ho metsi@
@Dubnium@|@Dubniamo@
@duck@|@dipidipidi, pidipidi@
@dump content tree@|@lahla sefate sa bokahare@
@dune@|@ditotomana, totomana@
@dung@|@moitedi@
@Durban@|@Thekong@
@during the rain@|@puleng@
@dust@|@lerole, marole@
@dustbin@|@tonkana ya dithwele@
@duster@|@dasetara, didasetara, ditasetare, tasetare@
@dustpan@|@pane ya dithole@
@dusty waste@|@dithole@
@Dutch culture@|@Sedatjha@
@Dutch person@|@Ledatjha, Madatjha@
@duty@|@ditokelo, ditshwanelo, gafa, tokelo, tshwanelo@
@duty (1)@|@digafa@
@dwarf@|@diqokofana, qokofana@
@dynamic link@|@kopanya ya taenamiki@
@dynamite@|@denamaete, didenamaete@
@dysentry@|@letshollo le lefubedu@
@Dysprosium@|@Disprosiamo@
@eagerness@|@tjheseho@
@eagle@|@dintsu, ntsu@
@ear@|@ditsebe, tsebe@
@ear ache@|@bohloko ba tsebe@
@ear lobe@|@lerete la tsebe@
@ear; nose; throat specialist@|@nko le metso, tidima ya tsebe@
@early breakfast@|@dithahameso, thahameso@
@early in the morning@|@hoseng, madungwadungwane@
@earnings@|@meputso, moputso@
@earring@|@lesale, masale@
@earth@|@mebu, mobu@
@earthmover@|@lori e kgathang mobu@
@earthquake@|@tshisinyeho ya lefatshe@
@earthworm@|@dinonometsane, nonometsane@
@ease@|@bonolo@
@easily@|@habonolo@
@east@|@botjhabela@
@East London@|@Monti@
@Easter@|@paseka@
@Eastern Cape@|@Kapa Botjhabela@
@eat@|@itjesa, ja, jele, jesa@
@eaten@|@jewa@
@eater@|@baji, moji@
@echo@|@modumela@
@eclipse@|@diphifalo, phifalo@
@economics@|@thuto ya tsa moruo@
@economise@|@baballa@
@eczema@|@lekgopho, makgopho@
@Edenville@|@Ngwathe@
@edge@|@qophelo@
@edible@|@jehang@
@edit chart data@|@lokisa boitsebiso ba tjhate@
@edit file@|@fetola faele@
@edit mode@|@tshebeletsong ya fetola@
@editor@|@bahlophisi, mohlophisi@
@educate@|@ruta@
@eel@|@ditlhapinohana, tlhapinohana@
@effects@|@diphello@
@efficiency@|@phethahatso@
@efficient@|@kgonang@
@effort@|@boikgathatso@
@egg@|@lehe, mahe@
@eggshell@|@kgaketlana@
@Egypt@|@Egepeta@
@eight@|@robedi, robeli@
@eighteen@|@leshome le metso e robedi, Shorubedi@
@eighth@|@borobedi@
@eighty@|@mashome a robedi, mashome a robedi, mashorobedi, Mashorubedi@
@Einsteinium@|@Einsteiniamo@
@either@|@kapa@
@eland@|@diphofu, phofu@
@elands@|@Namahadi@
@Elands River@|@Namahadi@
@elastic@|@tamolohang@
@elder@|@baholo, moholo@
@Elders@|@baholo@
@election@|@dikgetho, kgetho@
@election campaign@|@letsholo la dikgetho@
@electric charge@|@leqhubu la motlakase@
@electric circuit@|@sekete ya motlakase@
@electric python@|@lenaka la tshepe la motlakase@
@electric train@|@terene ya motlakase@
@electricity@|@metlakase, motlakase@
@electrochemical process@|@ketsahalo ya elektrokhemikhale@
@electrocute@|@bolaya ka motlakase@
@electrode@|@dieleketerote, eleketerote@
@electrolysis@|@eleketrolisisi@
@electron@|@diilektrone, ilektrone@
@electronic@|@eleketeroniki@
@electronic media@|@disebediswa tsa eleketeroniki@
@element@|@dielemente, elemente@
@elephant@|@tlou@
@elevate@|@phahamisa@
@elevator@|@dinkgodi, nkgodi@
@eleven@|@leshome le motso o mong, Shonngwe@
@Ellisras@|@Lephalale@
@elongate@|@lelefatsa@
@eloquence@|@bokgeleke@
@eloquent speaker@|@dikgeleke, kgeleke@
@elsewhere@|@kaekae@
@emaciated@|@otileng@
@email@|@lekwalo e motlakase@
@e-mail@|@diemaili, diimeili, e-maili, imeili, posoyaemaili@
@e-mail (1)@|@diposoyaemaili@
@email address@|@aterese ya emaili@
@e-mail address@|@poso ya e-maili@
@e-mail messages@|@melaetsa ya e-meili@
@emancipate@|@lokolla bokgobeng@
@Emancipation@|@Topollo@
@embedded objects@|@dintho tse paqamesitsweng@
@embryo@|@dipelwana, pelwana@
@emergency@|@ditlokotsi, ditshohanyetso, tlokotsi, tshohanyetso@
@emergency button@|@konopo ya tshohanyetso@
@emergency exit@|@monyako wa tlokotsi@
@emergency services@|@ditshebeletso tsa potlako@
@emergency situations@|@maemo a tshohanyetso@
@eminence@|@phahamo@
@eminent@|@konokono@
@emotion@|@phudueho@
@emphasis@|@ditiiso, ditoboketso, tiiso, toboketso@
@emphasise@|@toboketsa@
@employee@|@bahiruwa, mohiruwa@
@employer@|@bahiri, mohiri@
@employment@|@mesebetsi, mosebetsi@
@empty@|@feela@
@encircle@|@dikoloha, rala@
@encourage@|@kgothaletsa@
@encouragement@|@khothatso@
@encyclopaedias@|@diensaetlelophedia@
@end@|@fela, mathetho, phetho, qetello@
@endanger@|@kenya tsietsing@
@endear@|@ratisa@
@enema@|@dienema, enema@
@energy@|@dieneji, eneji, mokoka@
@energy source@|@mehlodi ya eneji, mohlodi wa eneji@
@enforcce@|@tiisa@
@engagement@|@dipeheletso, peheletso@
@engine@|@dienjene, enjene, metjhini, motjhini@
@engineering@|@boenjineri@
@Engineering@|@Boenjenere@
@England@|@Engelane@
@English@|@Senyesemane@
@English culture@|@Senyesemane@
@English person@|@Lenyesemane, Manyesemane@
@engulf@|@kwenya@
@enjoy@|@natefelwa, thabela@
@enjoy oneself@|@ithabisa@
@enlighten@|@qaqisetsa@
@enormous@|@tonanahadi, tonanahadi@
@enrich@|@ruisa@
@enrol@|@ngodisa@
@ensure@|@tiisetsa@
@enter@|@kena, kene, kenya@
@entered@|@kene@
@entertain@|@thabisa@
@enthusiasm@|@thahasello, tjheseho@
@enthusiastic@|@tjhesehelang@
@entrails@|@mala@
@entrance@|@dikgoro, kgoro@
@entrance fee@|@tefo ya ho kena hekeng@
@entry@|@kenello@
@envelope@|@diomfolopo, omfolopo@
@envious@|@mohono@
@environment@|@ditikoloho@
@equal@|@lekana@
@equation@|@diikhoishene, ikhoishene@
@equator@|@ekhweita@
@eraser@|@dihlakodi, sehlakodi@
@Erbium@|@Erbiamo@
@erect@|@thea@
@erosion@|@dikgoholeho, kgoholeho, kgoholeho@
@error@|@diphoso, phoso@
@error sending mail@|@hoso thomellong poso@
@erupt@|@qhashoha@
@escape@|@lesoba, masoba, phonyoha@
@escort@|@bafelehetsi, mofelehetsi@
@essay@|@meqoqo, moqoqo@
@Esther@|@Estere@
@et cetera@|@jwalo-jwalo@
@etc.@|@jj.@
@eternal@|@sa feleng@
@eternity@|@bosafeleng@
@etiquette@|@hlomphano@
@eucalyptus@|@boloukomo@
@europe@|@jiropo, yoropo, yuropo@
@Europe@|@Yuropa@
@European@|@Basweu, Mosweu@
@Europium@|@Europiamo@
@evangelist@|@moefangedi@
@evaporate@|@moyafala@
@even@|@esita, esitana@
@evening@|@diphirimana, mantsiboya, phirimana@
@event@|@ketsahalo@
@event which had been foretold@|@dibolelo, sebolelo@
@eventually@|@kgabareng@
@Every one fends for himself@|@Mekoko ha e qhwaelane@
@everyone@|@ba moreneng@
@evict@|@falatsa@
@evidence@|@bopaki@
@evolution@|@evolusi@
@exact@|@nepileng@
@exaggerate@|@feteletsa@
@examine oneself@|@itlhahloba@
@example@|@mehlala, mohlala@
@exceed@|@feta@
@excellence@|@bokgabane@
@exclaim@|@hoa@
@exclude@|@qhela@
@excrement@|@masepa, mekota, mokota, thete@
@excrete@|@nya@
@excuse@|@tshwarela@
@excuse me@|@Tshwarelo@
@Excuse me@|@Ntshwarele, Ntsoarele@
@execute@|@fanyeha@
@exercise@|@dithapollo, ithapolla, thapollo@
@exercise book@|@buka ya tlhakiso@
@exhaust@|@dintshamosi, sentshamosi@
@exhibition@|@dipontsho, pontsho@
@exile@|@teleko@
@existence@|@ho ba teng@
@exotic@|@ditjhabeng@
@expand@|@atolosa@
@expect@|@lebella@
@expectation@|@ditebello, Tebello@
@expedition@|@letsholo, matsholo@
@expense@|@ditshenyehelo, tshenyehelo@
@expenses@|@ditshenyehelo@
@expensive@|@tura, turu@
@experience@|@boiphihlelo@
@experiment@|@dieksperimente, eksperimente@
@expiry date@|@nako ya ho fella ha tshebediso@
@explain to@|@hlalosetsa@
@explains@|@ho hlalosang@
@explosion@|@qhomo@
@exponent@|@diekeseponente, ekeseponente@
@export@|@romela@
@export to text@|@isa kantle ho mongolo@
@exporting document@|@thomello ya tokomane ka ntle@
@expose@|@hlahatsa@
@exposed@|@felleng@
@express@|@hlahisa@
@express train@|@terene e lebelo@
@extend@|@otlolla@
@exterior@|@bokantle@
@exterminate@|@motsula@
@extinguish@|@tima@
@extra@|@fetang@
@extraction of teeth@|@ho ntshwa ha meno@
@extreme heat@|@sengadingadi@
@eye@|@leihlo, mahlo@
@eye shadow@|@dipente tsa mahlo, pente ya mahlo@
@eyebrow@|@dintshi, ntshi@
@eyedropper@|@marotholodi@
@eyelid@|@dikobaleihlo, kobaleihlo@
@eyewitness@|@mopaki ya pono ya mahlo@
@Ezekiel@|@Ezekiele@
@fable@|@ditshomo, tshomo@
@face@|@difahleho, sefahleho@
@face is the index of the mind@|@Taba di mahlong@
@fact@|@nnete@
@faction@|@mekga, mokga@
@factor@|@difeketare, dipalokatiso, feketare, palokatiso@
@factory@|@difaboriki, faboriki@
@faeces@|@mantle@
@Fahrenheit@|@Fahrenheit@
@fail@|@hloleha@
@failure@|@ditlholeho, tlholeho@
@faint@|@akgeha, idibana, sarela@
@faith@|@bodumedi, ditumelo, tumelo@
@faithful@|@tshepahala@
@fake@|@lefeela, mafeela@
@fall@|@hwetla, hwetla, wa, wele@
@fall hard@|@mulana@
@fall in love@|@ho ratana@
@fall into@|@wela@
@fall pregnant@|@ima, ithwala@
@false@|@leshano, mashano, Ntha@
@False River@|@Ntha@
@false teeth@|@meno a maiketsetso@
@family@|@lelapa, lesika, malapa, masika@
@famine@|@tlala@
@famous@|@tumileng@
@fan@|@bathahaselli, difene, fene, mothahaselli@
@fang@|@leino la noha@
@far@|@hole@
@far away@|@hole@
@farm@|@dipolasi, polasi@
@farm house@|@ntlo ya polasi@
@farmer@|@balemi, borapolasi, molemi, molemi, rapolasi@
@fart@|@tshwinya@
@fashion@|@difeshene, feshene@
@fast@|@phakisang@
@fasten@|@fasa@
@fat@|@lefura, mafura, nona, nona, nonne@
@fate@|@dikabelo, kabelo@
@father@|@bontate, Ntate@
@Father bought shoes@|@Ntate o rekisa dieta@
@father of the basotho nation@|@moshoeshoe@
@Father works@|@Ntate o a sebetsa@
@father-in-law@|@bahwe, mohwe, ratsale@
@fathers@|@bontate@
@fatigue@|@mokgathala@
@fauna@|@diphedi@
@Fauresmith@|@Forismethe@
@fax@|@difekese, fekesa, fekese@
@fax machine@|@motjhini wa fekese@
@fax paper@|@pampiri ya ho fekesa@
@fear@|@ditshabo, letswalo, tshabo@
@feather@|@lesiba, masiba@
@feather duster@|@tasetare ya masiba@
@February@|@hlakola@
@fed@|@fepjwa@
@feed@|@fepa@
@feed oneself@|@iphepa@
@feel@|@thanya, utlwa@
@feel sorry@|@swaba@
@feign@|@etsa eka, iketsisa@
@female@|@basadi, mosadi, se setshehadi, tshehadi@
@female (1)@|@a matshehadi, ditshehadi, tse tshehadi@
@female (2)@|@ba batshehadi, bo botshehadi, le letshehadi@
@female (3)@|@e metshehadi, e tshehadi, o motshehadi@
@female circumcision@|@lebollo la basadi@
@female servant@|@lekgabunyane, makgabunyane@
@feminine@|@a matshehadi, ba batshehadi@
@fence@|@diterata, terata@
@fence of reeds@|@diotlwana, seotlwana@
@ferment@|@lomosa@
@Fermium@|@Fermiamo@
@fertilise@|@nontsha@
@fertilizer@|@menontsha, monontsha@
@festival@|@mokete@
@fetch@|@lata@
@fetus@|@lehlwele@
@fever@|@difeberu, feberu@
@few@|@mmalwa@
@fez@|@katiba ya Maselamose@
@fibre@|@difaeba, ditlhale, faeba, tlhale@
@Ficksburg@|@Marallaneng@
@fiction@|@dingolwa tsa boiqapelo@
@field@|@lebala, mabala, masimo, naha, tshimo@
@field set@|@pehohantsho ya lebala@
@fieldmouse@|@ditadi, tadi@
@fifteen@|@leshome le metso e mehlano, Shohlano@
@fifth@|@bohlano@
@fifty@|@Mashohlano, mashome a mahlano@
@fig@|@difeiye, feiye@
@fighter jet@|@sefofane sa ntwa@
@fighting in front of a line@|@naila@
@figtree@|@sefate sa feiye@
@file@|@difaele, faele@
@file cannot be opened@|@faele e ke ke ya bulwa@
@file name@|@lebitso la faele@
@file of people@|@mekoloko, mokoloko@
@file recovery@|@ho fumanwa ha faele@
@fill@|@tlatsa@
@filled@|@kgora, kgotshe@
@filling@|@mekato, mokato@
@filling teeth@|@sekata masoba a meno@
@film@|@difileme, fileme@
@film study@|@ho ithuta ka difilimi@
@filter@|@hlotla, sefa, sefe@
@filter not found@|@sefe ha e fumanwe@
@fin@|@lepheo la tlhapi, mapheo a tlhapi@
@final@|@bofelo@
@financial office@|@ofisi ya tjhelete@
@finch@|@dithaha, thaha@
@find@|@fumana@
@find and replace@|@fumana le ho nkela bohato@
@fine@|@ditefiso, lefisa, tefiso, thumisehileng@
@finger@|@menwana, monwana@
@fingernail@|@lenala, manala@
@fingerprint@|@kgatiso ya monwana@
@finish@|@qeta, qetelo@
@finished@|@fedile@
@fire@|@mello, mollo@
@fire a gun@|@betsa, thunya@
@fire alarm@|@alamo ya mollo@
@fire hose@|@lethopo la ho tima mollo@
@fire hydrant@|@pompo ya ho tima mollo@
@fire station@|@diahelo tsa ditimamollo@
@firefighter@|@batimamollo, motimamollo@
@fireplace@|@leifo, maifo, mekgoro, mokgoro@
@firewood@|@dipatsi, patsi@
@firm@|@difeme, feme, tiileng@
@first additional language@|@puo ya tlatsetso ya pele@
@first aid@|@thuso ya pele@
@first aid kit@|@mokotlana wa thuso ya pele@
@first car@|@koloi ya pele@
@first terms@|@ditheme tsa pele@
@firstborn@|@letsibolo, matsibolo@
@fish@|@dihlapi, ditlhapi, hlapi, tlhapi, tlhapi@
@fishing@|@tshwaso ya ditlhapi@
@fishing rod@|@leqala la ditlhapi, maqala a ditlhapi@
@fishing trawler@|@sekepe sa ditlhapi@
@fit@|@kgonyelo ya mesifa@
@five@|@hlano@
@five dogs@|@dintja tse hlano@
@flag@|@difolaga, folaga@
@flake@|@pudulana@
@flame@|@ditetema, lelakabe, malakabe, tetema@
@flamingo@|@difolaminko, folaminko@
@flash ...@|@mmane@
@flat-roofed house@|@dipolata, polata@
@flattered@|@ho ya le kgongwana hodimo@
@flattery@|@liteme, matsatsi@
@flavour@|@ditatso, tatso@
@flavouring@|@dinoko, senoko@
@flea@|@letsetse, matsetse@
@flee@|@baleha@
@flee to@|@balehela@
@flesh@|@dinama, nama@
@flicker@|@panyapanya@
@flight@|@paleho@
@flight information@|@boroto ya tsebiso ya ho fofa@
@flip-flop@|@dilopo, selopo@
@flirt@|@feba, thetha@
@float@|@phaphamala@
@flock@|@mohlape@
@flood@|@morwallo, rwalella, sekgohola, sekgohola@
@floor@|@difoluru, foluru@
@floppy disk@|@flopi, flopi, flopidiski, letlapana, matlapana@
@flora@|@dimedi@
@flour@|@difolouru, folouru@
@Flourine@|@Flourine@
@floutist@|@mmapalafoleite@
@flow@|@phalla@
@flow out little at a time@|@tsaratsa@
@flower@|@dipalesa, palesa@
@flowers@|@dipalesa@
@fluid@|@phallang@
@flute@|@difoleite, foleite@
@flutter about@|@paka-paka@
@fly@|@dintsintsi, fofa, ntsintsi@
@flying squad@|@folaye sekwate@
@foal@|@dipetsana, petsana@
@foam@|@lefilo, mafilo@
@fodder@|@difuru, furu@
@foetus@|@difetase, fetase@
@fog@|@mehodi, mohodi@
@fold@|@lemeno, mameno, mena@
@folder name@|@lebitso la sephuthedi@
@folklore@|@dingolwa tsa seholoholo@
@follow@|@hlahlama, latela@
@follower@|@balatedi, molatedi@
@following day@|@letsatsi le hlahlamang@
@font@|@difonto, fonto@
@food@|@dijo, sejo@
@foolishness@|@bothoto@
@foot@|@leoto, maoto@
@foot rest@|@sebaka sa ho beha leoto@
@footer area@|@tulo ya hloohwana ya tlase@
@footprint@|@bohato@
@forage@|@difuru, furu@
@force@|@hapeletsa, susumetsa@
@force oneself@|@ikgapeletsa@
@forefinger@|@monwana o supang@
@forehead@|@diphatla, phatla@
@forest@|@dikgwa, sekgwa@
@forget@|@lebala@
@forgive each other@|@tshwarelana@
@forgot@|@ke batlile ke lebala, lebetse@
@fork@|@difereko, fereko@
@form@|@dibopeho, diforomo, foromo, sebopeho@
@form field@|@lebala la foromo@
@form wizard@|@ramahlale wa foromo@
@format@|@fometa@
@formative assessment@|@tekanyetso e ahang moithuti@
@formatting@|@ho fa sebopeho@
@formatting toolbar@|@hlolehiso ya sesebeletsi@
@formula@|@difomula, fomula@
@fortunately@|@ka lehlohonolo@
@forty@|@mashome a mane, Mashonne@
@forty-four@|@mashome a mane a metso e mene@
@forty-two@|@mashome a mane a metso e mmedi@
@forum@|@makgotla@
@fought@|@lwanne@
@found@|@fumane, fumane, fumanwa, theha@
@found out@|@lemohile@
@founder@|@bathei, mothei@
@founding place@|@motheo@
@fountain@|@didiba, sediba@
@four@|@'ne, nne@
@four thousand@|@dikete tse nne@
@Fouriesburg@|@Mashaeng@
@fourteen@|@leshome le metso e mene, Shonne@
@fourth@|@bone@
@fraction@|@diforakshen, forakshene, seabelo@
@fractions@|@diabelo@
@fracture@|@dithobeho, thobeho@
@fragment@|@dikoto, sekoto@
@frame@|@diforeimi, foreimi@
@frame sets@|@dipeho tsa foreime@
@frame styles@|@ditaele tsa foreimi@
@France@|@Fora@
@Francium@|@Frankiamo@
@frankfort@|@Namahadi@
@free@|@lokolohileng, tosola@
@Free State@|@Foreisetata, Foreistata, Freistata@
@freedom@|@bolokolohi, ditokoloho@
@Freedom@|@Tokoloho@
@freeway@|@mmilalebelo, tsela e fetang@
@freezing point@|@ntlha ya leqhweng@
@French@|@Sefora@
@French culture@|@Sefora@
@French person@|@Lefora, Mafora@
@frequency@|@diforikhwensi, forikhwensi@
@frequently@|@atisa ho, hangata@
@Friday@|@Labohlano@
@friend@|@bakgotsi, metswalle, mokgotsi, Motsoalle, motswalle@
@Friend rides a bicycle@|@Motswalle o palama baesekele@
@friendly@|@hamolemo@
@friendly man@|@boramosa, ramosa@
@friendly woman ...@|@bommamosa, mmamosa@
@friends@|@batsoali, metsoalle@
@friendship@|@bolekane, botswalle@
@frighten@|@tshosa@
@frog@|@dinqanqane, nketu, senqanqane@
@from@|@ho@
@from Letsatsi@|@maletsatsi@
@from 'metsi a dihlaba'@|@dihlabeng@
@from time immemorial@|@ha esale, ho tlohela kgale-kgale@
@front@|@pele@
@frostbite@|@lebabo@
@frown@|@ditshotshobanyo, hwapa, tshotshobanyo@
@fruit@|@ditholwana@
@Fruit@|@Tholwana@
@fruit juice@|@lero la tholwana@
@frustrate@|@nyahamisa@
@FTP server@|@seabi sa FTP@
@fuel@|@dibeso@
@Fulfilled@|@Tlali@
@full@|@tletse@
@fullstop@|@dikgutlo, kgutlo@
@fun@|@kgahliso, menyaka, monyaka@
@funeral@|@lepato, mapato@
@fungus@|@mekgwabo, mokgwabo@
@funnel@|@difanele, fanele@
@fur@|@boya@
@furniture@|@dithepa, thepa@
@furniture of a house@|@thepa ya ntlo@
@Further Education and Training@|@Thuto le Thupello e Tswellang@
@fuse@|@thunya@
@fuselage@|@mmele wa sefofane@
@future@|@bokamoso@
@future tense@|@lekgathe le tlang@
@Gadolinium@|@Gadoliniamo@
@gain@|@phaella@
@gale@|@difefo, sefefo@
@gall@|@nyooko@
@gallbladder@|@mokotlana wa nyooko@
@gallery@|@digalari, galari, polokelo ya ditshwantsho@
@Gallium@|@Galliamo@
@gallop@|@kgema, kgemisa@
@gamble@|@anyana@
@game@|@dipapadi, papadi@
@gangster@|@ditsotsi, tsotsi@
@gangsterism@|@botsotsi@
@gap@|@phahla@
@garage@|@dikaratjhe, dikaratjhe, karatjhe, karatjheng@
@garden@|@lekgwakgwa, makgwakgwa, tshimo@
@gardener@|@boraserapa, raserapa@
@gargle@|@kgakgatsa@
@garlic@|@dikonofole, konofole@
@gas@|@digase, gase@
@gasp@|@fehelwa@
@gate@|@diheke, heke@
@gather@|@bokana, phutha, una@
@gather hope@|@tsoha molota@
@gather together@|@phutheha@
@gather wood@|@rwalla@
@gathering@|@dipokano, pokano@
@gauge@|@dimetara, metara@
@gauteng@|@Gauteng@
@Gauteng province@|@Gauteng@
@gay@|@letipa, matipa@
@gear@|@dikere, kere@
@gel@|@dijele, jele@
@gender@|@bong@
@general@|@akaretsang@
@General Education and Training@|@Thuto le Thupello e Akaretsang@
@generous@|@fanang@
@genital@|@ya botona kapa botshehadi@
@genitals@|@botona le botshehadi, marete@
