@English@|@Kiribati@
@breath@|@tokouki@
@brick@|@buatua, buriki@
@brightness@|@buburerei@
@brimstone@|@burinton@
@bring me the needle@|@witia-mai te ïdu@
@Britain@|@Buritan@
@broad@|@raababa, râpape@
@broken@|@môt, tewâk, uruakaki, uruaki@
@broken into tiny pieces@|@maibiibi@
@broken wind@|@angobo@
@broom@|@burum, too@
@brother@|@aitatarika, ouena, tári@
@brought@|@uotaki@
@brown@|@buraaun@
@brush@|@burati@
@bu aomata@|@smell of badly cooked fish@
@bubble@|@buroburo@
@buffalo@|@babero@
@buoy@|@bikan@
@burn yourself in the fire@|@kabuokego in te ai@
@burning brightly@|@aimaka@
@burnt by fire or sunscorched@|@batata@
@bus@|@b'ati@
@bushel@|@butere@
@busy@|@tabe, tabetabe@
@but@|@bü, bün, pü, pün@
@but there is danger of loss@|@ma ai buana@
@butterfly fish@|@ibabarotuma@
@buttock@|@buk, bûki, buku, puki@
@buttocks@|@pouki@
@buy@|@kabooa, kabooi@
@by him@|@irouna@
@by the side of@|@erigin@
@by them@|@irouia@
@by us@|@iroura@
@by you@|@iroum@
@calf of leg@|@buare ni wae, maou kounoea, te biroto n wae@
@call@|@wetea@
@call at@|@moaa@
@called@|@aranaki@
@calling the attention of more than one person@|@naaka@
@calm@|@aria, ariki, raoi@
@can the bird fly?@|@ia tetai ikibekabi te man@
@cannibal@|@kâkaña, tena tena@
@cannot@|@baña@
@canoe@|@wa, waa@
@canoe float (outrigger).@|@rama@
@canoe house@|@bareaka@
@canoe of@|@waan@
@canoe used in fishing@|@te wa n akawa@
@canoe with small mast can be moved at will@|@ienao@
@canon@|@kati@
@Canton Island@|@abariringa@
@Capella@|@batere@
@capital city of a country@|@atunikawa@
@Capital town on Tarawa where Government is@|@Bairiki@
@car@|@kaa@
@car or motor bike tire@|@rab'a@
@carding of coconut fibre@|@bokakana@
@carelessness@|@te aki akaka@
@Caroline@|@Karorina@
@carpenter@|@kaabentaa@
@carry@|@houetia@
@carry off thievishly@|@bairawerawea@
@carry on a stick on the shoulder@|@amoa@
@carry on an amo a heavy load@|@amotua@
@carry on shoulders@|@karououtia@
@carry on the arm@|@aonibaia@
@carrying on an amo a heavy load@|@amotu@
@carrying the arms a little bent@|@baibabaro@
@cash@|@biûkibiûk, bûkibûk@
@cat@|@katam'a, katama@
@catch@|@karekea@
@catching of@|@karekean@
@Catholic Church@|@Katorika@
@cattle@|@burimakau@
@caught@|@karekeaki@
@caught as the hand in a hole among the rocks@|@banganikou@
@caulk@|@au@
@causeway@|@kootiueei@
@ceasing to relish or enjoy@|@buroro@
@cent@|@tianti@
@center post for a ridge-pole@|@boutabu@
@centimeter@|@tientemiita@
@central house@|@tinanibai@
@central part of thorax@|@atiniban@
@certain kind of sorcery@|@bekarekareka@
@certain stone used as file@|@atia@
@certain tragi-comic game@|@ietoa@
@certainly not@|@e bon aki@
@certainly so!@|@barengaia@
@certainly!@|@bareng@
@chair@|@kaintekateka@
@chalk@|@tiaoka@
@changeable@|@nanobibitaki@
@changed@|@bitaki@
@changing of sandbanks by waves@|@aibike@
@channel@|@rava, rawa@
@character@|@aboabo@
@Charles@|@Tiaare@
@chart room@|@te uma ni borau@
@chase@|@kaei@
@cheap@|@bo bebete, boobete@
@cheek@|@taba, tapa@
@cheese@|@titi@
@chest@|@paro, poro@
@chicken.@|@moa@
@chief@|@mataniwi, toue, uêa@
@child@|@atáei, átai, ati, de, ëdai, ëdai, næti, nati, teéi, tei, tei@
@children@|@antai ûn, ataei, atai@
@children of@|@ataein@
@chilly@|@kamariri@
@chin@|@b'ange, buña, pange, pañi@
@choose@|@binenga@
@choppy as the sea@|@banei@
@Christopher@|@Kiritoba@
@church@|@ekaretia, um'an tabu@
@church feast@|@toa@
@Church of God@|@ana Ekaretia te Atua@
@cigarette@|@tikareti@
@cigarette paper made from pandanus leaf@|@rauara@
@cincture worn by the women@|@riri@
@cinder@|@taugara@
@circulation of rumours@|@eweananga@
@civilization@|@tiwiritetian@
@clasp his waist@|@tautau nukau@
@clasp to breast@|@ibabakoi@
@class (in school)@|@koraki@
@classroom@|@um'an reirei@
@clavicle@|@ri ni pâreke@
@claw@|@uki@
@clay from the mullet pond@|@rub in te nî ni beniak@
@clean it@|@kaitiakia@
@clean up@|@iakina@
@cleaned@|@kaitiaki@
@cleaning of@|@kaitiakan@
@cleaning up@|@iaki@
@clear@|@oota@
@climb a coconut tree@|@e aki anekina, ti ani ani@
@climb a tree@|@aki aneka@
@climb to the top of the tree@|@ko tamôtam i t'abun te ni, ko tamôtam i tábun te ni@
@climbing of@|@tam'akan@
@close@|@po@
@close to@|@kaan@
@close together and constrained@|@betuntun@
@closed@|@in@
@closely packed@|@ibetangatanga@
@cloth@|@kunnikai@
@clothes@|@toukounoue-kai@
@clothing@|@tou kou ne kai@
@clothing in rags@|@bakamanang@
@clothing.@|@b'ain@
@cloud@|@nañi, rañ, rañi@
@clouds of the sky@|@nañi ni karawa@
@coarse food prepared from the stem of the pandanus@|@awaro@
@coat (animal or clothing)@|@kooti@
@coat of armor@|@taña@
@cock@|@mô'umân@
@cockroach@|@bebádoa@
@cocoa-nut@|@muimotu, muimui, nîni, uto@
@cocoa-nut leaf@|@bani, kâko@
@cocoa-nut oil@|@bâ@
@coconut@|@ben, pen@
@coconut a little riper than moimoto@|@amoimoto@
@coconut ari@|@arinanti@
@coconut at a certain stage of ripeness@|@aieta@
@coconut cord@|@pepiti@
@coconut crab@|@ai(i)@
@coconut husk@|@benu, ewanin, nana@
@coconut in its sixth stage of growth@|@amakai@
@coconut leaf@|@baannii@
@coconut leaf or dead wood@|@barano@
@coconut milk@|@houan te ni, ranniben@
@coconut of later stage than takataka@|@eke@
@coconut oil@|@pa@
@coconut shell bottle@|@atiniba@
@coconut shell for water@|@ibunikatio@
@coconut tree@|@nii@
@coconut tree with leaf just beginning to foliate@|@ba raerae@
@coconuts@|@been@
@cod liver oil@|@ba ni kua@
@coffee@|@koobe@
@cold@|@kam'aitoro, m'aitoro, mæriri, mariri@
@collar bone@|@rini parek@
@collected together@|@baurua@
@collection of@|@naa@
@collection of arms@|@babati ni kai@
@colon (grammar)@|@koran@
@colony@|@korone@
@colony of@|@koronen@
@comb@|@paini kinout@
@comb of a fowl@|@aero@
@comb the hair@|@akea te iranatu@
@come@|@ano-anga-here@
@come after@|@rimwi@
@come after me@|@anok iramuíu@
@come and burn yourself@|@mai ikai kabûkego in te ai@
@come and dig the well@|@mai ina aúdjia te mániop@
@come and help me with this@|@mai ikai ko na berig auboi ai@
@come and take it@|@mai anáia@
@come back@|@oki@
@come back to@|@okira@
@come down a little@|@kâk tûtan@
@come fifth@|@kaniiman@
@come forward@|@butimai@
@come here@|@bo mai, nakomai, no nokou mei@
@Come here@|@Kuriko naerea@
@come here and warm yourself@|@mai ikai kabuêgo erigin te ai@
@come here and you may teach me@|@mai ikai ko na ririai@
@come hither@|@mai ikai, nako mai@
@come in as the tide@|@iarake@
@come in sight@|@uti@
@come last@|@bina@
@come quickly@|@kabirimaia@
@come that you may see it@|@ami ko na naoria@
@come upon as a tree@|@einakoa@
@coming away@|@bara nako@
@coming in puffs from various quarters@|@angitannene@
@coming to the surface@|@betirake@
@coming up as a squall@|@babaturua@
@commence@|@aboka@
@compact stone@|@atibe@
@compensation@|@e bo mwina@
@competition@|@te kabobuabeka@
@competition of target shooting@|@kabobaiteke@
@completely disappeared@|@bangarua@
@comply with a request@|@ieiea@
@composition@|@otooto@
@concave@|@bako, bakoua@
@conch-shell@|@pû@
@conducting in a flirting manner@|@botika@
@consequence@|@bonga@
@consider well@|@iangoraoa, iangoraoi@
@constellation@|@bara ni kaue@
@constellation of stars near Canopus@|@banga n waro@
@constipated@|@ibenano@
@construction@|@kateitei@
@construction of scaffold.@|@aiwae@
@construction workers@|@taani kateitei@
@content of@|@kanoan@
@contrary wind@|@angitaba@
@convenient@|@anga raoi@
@conversation@|@marooroo, marooroo, taetae ni kawai, taitai ni kawai@
@cook@|@kam'aa@
@Cooperative@|@Bobooti@
@copra@|@takataka@
@coquettish with strange pranks@|@butinimane@
@coral@|@anetaba, anetautebe, in, tiatip@
@coral on the flats@|@enga@
@coral sandstone@|@batano@
@coral stone of recent formation@|@atimaiu@
@coral stone used in rasping@|@em@
@coral trout@|@awa@
@cord@|@kora, tokoran@
@core of a boil@|@ariro@
@core of bread fruit@|@an te mai@
@correct@|@éti, kaeta, kóaua@
@correct him@|@kaetia@
@correct the faults@|@tiribaonoa@
@correct you@|@kaetiko@
@correspond@|@tî, tii@
@corrugated iron@|@kaab'a@
@corrupting@|@bakatoto@
@cost@|@boo@
@cost of@|@boona@
@cough@|@bekobeko, bokabok, bûtabut, pekopeko, poko poko@
@council-house@|@tamano@
@count money@|@warem'ane@
@count the landholders at town@|@warigia te katoka in te kawa@
@counting money@|@warem'ane@
@country@|@aba, ap, ap, apa, apa, benua, bïnu@
@countryside@|@marenaua@
@couples@|@taanga@
@course@|@atao@
@cover the fire to extinguish it@|@kabonoa te ai@
@covered in pus@|@burikoko@
@covered over with much enga@|@engaenga@
@covered with blood@|@baua ni kiebaeba@
@covered with blood as one severely wounded@|@bauaneikiebaeba@
@covered with dirt@|@bewawa@
@covered with short hair@|@buraerae@
@coward@|@egi-memau, ikî-bûbu@
@cowardly@|@angineuo, angitaban, einaberuberu@
@cracker@|@beuti@
@crammed tight@|@ibenono@
@crave fish@|@ianono@
@crawl@|@aeae@
@crawl to@|@aeaena, aena@
@crews of the ship@|@kaimoa@
@cricket (game)@|@kirikiti@
@crippled@|@djak-bain@
@crooked@|@babao@
@crooked nose@|@e bake riana@
@crookedness@|@baoua@
@crop of pandanus freuit@|@tai@
@cross@|@didiri, diridiri@
@cross beam in house construction@|@aiabu@
@cross voice@|@bana n un@
@crossed at right angles@|@bangaki@
@cross-eyed@|@egî-mata@
@crowd@|@abarunga@
@crowded as a room@|@ibekoko@
@crown of flowers@|@te bau n ue@
@Crown-of-Thorns@|@te bau ae kateketeke@
@crumbled@|@batiatia@
@crush it@|@totónia@
@crustacean@|@iba taburimai@
@cry@|@tangi, tangi tangi@
@cry at regular time@|@taatang@
@cry of animal@|@bananiman@
@cuirass@|@te tanga ni buaka@
@cultivate@|@ribana@
@cup@|@m'angko@
@cup made of a cocoa-nut@|@niu@
@cup made of a cocoa-nut shell@|@ibu@
@cup-shaped coral@|@atibakoua@
@cure@|@katoka, katoki@
@cure dried fish@|@ikabakubakuba@
@current flowing eastward@|@airake@
@current in the sea@|@ara@
@current of the ocean@|@taitara@
@current to the westward@|@airio@
@curtain@|@roki@
@curtains@|@rooki@
@custom@|@katei@
@cut@|@koro, tokora@
@cut into@|@bwenauaaki@
@cut it@|@koreia, koroia, tápia@
@cut notches@|@bo-niba@
@cut toddy@|@korokarewe@
@cutting steps on coconut tree@|@bo-maneka@
@cutting toddy@|@korokarewe@
@cutwater of a canoe@|@ui-kakaña@
@dagger@|@butu@
@daily happenings@|@kanoan te bong@
@damselfish@|@baamai@
@dance@|@roue, rouia kapo@
@dark@|@ererô, irirô@
@dark green flourishing leaves@|@ba roro@
@darkness@|@roo@
@darkness preceding the fall of rain@|@anikarau@
@daughter-in-law@|@tinêp@
@David@|@Tawita@
@day@|@bong, kai, ñai, ñain, ñaiña, ngaina, outi@
@day of@|@bongin@
@daylight@|@ngaina@
@deaf@|@buna, pouno@
@deafness@|@bonotaninga@
@decayed@|@bokakua@
@decayed as ripe coconut@|@boka@
@December@|@Ritemba@
@deceptive manners@|@te man ni kabaka@
@decision about a meal in common@|@bure ioki@
@decomposed@|@bokatoto@
@decoration@|@ete@
@deep@|@akideria, bûbuti@
@deep sea fish@|@ika ni marawa@
@defamation@|@te kabuakaka@
@defecate@|@peka@
@deformed@|@bitabao@
@delerium@|@aiuau@
@deliberating assembly@|@bowi@
@delicious@|@kangkang@
@deliciousness of@|@kangkangin@
@delightful friendship@|@aitariman@
@deliver@|@nikira@
@denoting a wish@|@bia@
@descendant@|@kariki@
@desert@|@raru@
@desire so much as to seek@|@anangaea@
@desolate@|@bikematata@
@destitute of reason@|@baba@
@detach@|@kapara@
@deteriorated as karababa@|@buangang@
@determine@|@mutigak@
@dew@|@on@
@diarrhoea@|@te kabekabeka@
@die@|@mate@
@difference@|@okoro@
@different@|@okoro@
@different or difference@|@kaokoro@
@difficult hard@|@kaangaanga@
@dig@|@ke, kena@
@digging out a hole@|@ekeke@
@dimension@|@abaki@
@dinner@|@am'arake n te tairiki@
@direct me@|@kairai@
@direct you@|@kairiko@
@director@|@mataniwi@
@dirt from the fire@|@bara in te ai@
@dirty@|@baareka, baáreka, baitoto, bakanana, bara, korowawa, pare@
@dirty (1)@|@barik@
@disabled@|@toabuaka@
@disarranged@|@burimaiai@
@disarranged as fiber for braiding@|@buako@
@discouraged@|@e bara te nano@
@discreet@|@bamano@
@discuss in a low voice@|@ibengungua@
@discussing in a low voice@|@ibengungu@
@discussion@|@botaeka@
@disease@|@orak@
@dishonored@|@atumaongong@
@dislike@|@rawa@
@dispersed@|@b'aranako@
@distant@|@raroa@
@distant object@|@aimauna@
@district@|@aono@
@disturb@|@ka-aiwaea@
@divide@|@karin@
@divide or separate@|@ewata@
@diving suit@|@bain tebo@
@do it or make it@|@karaoia@
@do not@|@kai@
@do not go into that house@|@antai rîn in te bat ari@
@do shopping@|@boob'ai@
@do well@|@aneka, anekina@
@do ye fight?@|@kom buók?@
@do you hear the herald?@|@ko uña te kiwi@
@do you hear the thunder there?@|@ko uña te bä ari?@
@do you know about war?@|@ko tetai eran te buok?@
@do you know it?@|@ko taia@
@do you understand my speech?@|@ko igín au taitai?@
@doctor@|@aorek, taokita@
@dog@|@kamea, kíri, môg, mohoko@
@doing nothing worthwhile@|@kabanaroro@
@doing quickly@|@babairoko@
@doing something with no interest@|@banabana@
@dollar@|@taaraa@
@domestic fowl@|@moa@
@don't@|@tai@
@don't beat us@|@antai diriñir, antai díriñir@
@don't break his knife@|@tai môt an akadiç@
@don't break it@|@antai etíia@
@don't call them@|@tai bea ni weteia@
@don't cut it@|@kai kuruia@
@don't disturb it@|@antai tebéria@
@don't do that you will make yourself ridiculous@|@tai karaoa anne ko bainingare@
@don't go away@|@antai a nokonojo@
@don't honour them@|@tai katoka boraia@
@don't hurt yourself@|@antai kamárakego@
@don't kill that creature@|@antai kamate te bai@
@don't make me cry@|@antai katañai@
@don't pinch me@|@antai ginigai@
@don't pull me@|@antai puritiai@
@don't put too much@|@tai kabatia@
@don't raise your voice@|@antai kakorokoro punâm@
@don't snatch it@|@antai guria@
@don't speak of the inexistence of God@|@tai taekina akean te Atua@
@don't stab me with the knife@|@antai naiwarai 'n te tapa@
@don't strike me@|@antai poai@
@don't strike us@|@antai pôir@
@don't throw us off@|@antai kâkir@
@don't wish!@|@tai bia!@
@door@|@jetia@
@Dorothy@|@Torotea@
@dorsal fin of fish above surface@|@ieien te ika@
@double chin@|@bange uatao@
@double-deckerr@|@borauatao@
@doubly closed@|@bono uati baba@
@down@|@naano@
@draw@|@aita@
@draw a circle@|@otiri@
@draw near to@|@ibaba@
@drawing forth@|@auau@
@dress with a waist cloth@|@bebena@
@dried to an oily condition@|@bawe@
@drill@|@ekea@
@drink@|@mohoi moto, mooi@
@drinking cup@|@mahounko@
@dripping@|@maatimtim@
@driven by means of paddle or rudder@|@bweenaki@
@drooping@|@bamate@
@drop it in the well@|@kabáñaïa in te manôp@
@dropping water@|@erarán@
@dropsical@|@bakatibutibu@
@dropsy@|@bannao@
@drunk@|@manging, nimaki@
@dry@|@bataka, kam'áua, m'au, m'áu, m'auu, m'auu@
@dry skin@|@ba n iku@
@dryied fish@|@ikabakubaku@
@dull@|@bwirearea, kábubu@
@dust@|@búbu@
@dynamite@|@baura@
@e aomata ana makuri@|@his work can be verified@
@e aomata namakaina@|@the moon is already formed@
@ear@|@taeninga, taninga, taringa@
@ear wax@|@butae n taninga@
@early@|@moantaai, moantaai@
@early morning@|@moaningaabong@
@early morning twilight@|@aiota@
@earring@|@taabia@
@earth@|@aba, ap, apa, taeno, tan, tano@
@easily offended@|@buretautetara@
@easily straightened out as a poor fish-hook@|@etieti@
@east@|@auriaria, mainiku@
@east of@|@mainikun@
@Easter time@|@te tai ni Bakate@
@eastern side@|@tanimainiku@
@eastern side of@|@tanraken@
@easy@|@bakete@
@eat@|@kaikai, kang@
@eaten@|@kanák, kanaki@
@eating in haste@|@e takabotabota n amarake@
@eating utensils@|@b'ai n am'arake@
@ebbtide@|@pike@
@ebony@|@ebone@
@echinus@|@tenikabuñabuña@
@ecstatic pose of dancer@|@beti n taramau@
@edge@|@mataniwi@
@edible@|@kaakanaki@
@Edward@|@Etuare, Etuati, Etuete@
@eel@|@bukimeri, rabóna, rabono, uu@
@egg@|@bui, buin, bunæ, bunatoi, natina@
@egg of the hen@|@buin te mô aiine@
@egg of the hen (female fowl)@|@bain te mô aiine@
@eight@|@oánu, onoua, uánu, wani-ua, waniman, waniua@
@eighty@|@oaníbui, ouiponi, wanibwi@
@ejaculate@|@pekanikai@
@eject your spittle@|@divianok bauwaram@
@elbow@|@bubua ni bai, bubuônibai@
@elder@|@téköe@
@elected@|@rineaki@
@election@|@rinerine@
@elephant@|@erebanti@
@Elias@|@Eria@
@Elizabeth@|@Eritabeta@
@Ellice (Tuvalu)@|@Ereti@
@emaciated@|@bakikangenge@
@embarrassed@|@tanginako@
@emerods@|@emeraori@
@Emily@|@Emeri@
@emperance@|@taubang@
@emperor@|@embera, emberoa@
@empire@|@embaea, embaia@
@enanoa a movement of anger@|@ennano@
@enclosure@|@ô, oo@
@encourage@|@angita angiangita@
@end@|@abu@
@end of good season@|@te tae ni bong@
@end of palm leaf@|@bukinikoriri@
@end of the yoke used for carrying load on shoulder@|@buki n amo@
@endocarp of foreign tree@|@baitongo@
@enemy@|@aoun@
@engage in a repeated rehearsal for memorizing@|@tirinano@
@engage in conversation@|@marooroo@
@engage in effacing tracks on the sand with a brush@|@tirikurere@
@England@|@Engiran@
@english shilling@|@tiring@
@enough@|@tau@
@enter@|@rin@
@entirely@|@ni kabaneia@
@envious@|@bakantang, bekariranga@
@ephod@|@ebota@
@epiglottis@|@bonotan te bibi@
@equal@|@tî-te-eran@
@equal in number@|@toaraoi@
@equator@|@ekueetoa@
@erection@|@teri@
@erroneous judgement or action@|@burerua@
@error in calculation@|@buretautatara@
@especially a finger ring@|@burenibai@
@established@|@kataeki@
@Europe@|@europe@
@Europeans@|@I Matang@
@Eve@|@eua@
@even@|@toa@
@evening@|@tairik, tairiki@
@evening meal@|@amaraken te tairiki@
@evening of@|@tairikin@
@evening twilight@|@airo@
@evening.@|@moantairiki@
@every other day@|@taobongiia@
@everytime@|@taai nako@
@evil spirit@|@auderia@
@exacting@|@betoko@
@examination@|@ukeuke@
@exceeding a given length@|@bunginako@
@exceedingly small@|@bingingitangoingoi@
@exchange@|@bitanikie@
@exchanged by mistake as two umbrellas@|@aiewe@
@exchanged by mistake.@|@airua@
@excited@|@ientaka@
@excited and moving about@|@aibiko@
@exclamation of intensive feeling@|@auee@
@exclamation of surprise@|@awaka, ea, ean@
@excrement@|@butae, pïk@
@excrement (bad word)@|@poutahi@
@excuse for not giving more@|@e na baka ra?@
@expect@|@kaantaninga@
@expectation@|@kaantaninga@
@experience@|@aorakina@
@explain@|@kabarabara@
@extend as the hand@|@arora@
@exterior of the pandanus fruit@|@bukiniri@
@extinguish@|@oukia@
@extract@|@auta@
@extravagant@|@bakatae@
@extreme edge of reef@|@bukiniwaiwai@
@extremity of eyebrows@|@bukin ari@
@extremity of sail which's attached to the inainano@|@buki ni banga@
@eye@|@mata, meata@
@eyebrow@|@ari@
@eyebrows@|@arinimata, hari@
@eyelashes@|@kanoani mata@
@eyelids@|@aoui mata@
@fable@|@karakin te iango@
@face@|@pai tiro-taumoune@
@face puckered@|@mata-batutu@
@faded appearance after being too much handled@|@bubaibai@
@fading as a leaf@|@banikinauere@
@fading leaf growing red or yellow@|@babobo@
@failing to make land@|@bakeke@
@faint at the sight of blood@|@nibakoakoa@
@faint hearted@|@biu@
@fair of form@|@ikaikaraoi@
@fair weather@|@rô@
@falcon@|@baokan@
@fall@|@b'aka@
@fall out@|@mm'anako@
@fall short@|@bo baka@
@fallen@|@kab'akaaki@
@family@|@utuu@
@family Labridae@|@arinaitokoman@
@family or crowd of spirits@|@bunanti@
@famine@|@rö@
@fan@|@tororo@
@far@|@kino, kírarewa, kíraroa, raro, raróa, roro@
@far away@|@abataningo@
@farewell@|@kaboo, karaaure@
@fart@|@ting, tink@
@fast@|@waekoa, waekoa, waetata@
@fast running@|@birimaka@
@fastidiousness@|@betiwai@
@fat@|@iánuai, nénea@
@fat about the intestines of a healthy fish@|@bitinikiriri@
@fat of the porpoise is good@|@e kañkan moetin te kiwi@
@father@|@tama, táma, temant@
@fathom@|@mûluku ni bai, ñâ@
@fatigue@|@botu@
@favorable current@|@airaoi@
@favorite@|@pouai@
@fearful@|@angama@
@fearful is his greatness@|@ia kamâg e bokin@
@feather@|@burae, buráe ni man buráe, pourai@
@feathers@|@burêr@
@February@|@Beberuare@
@feeble@|@mamàara@
@female@|@aiine, aiíne, âine@
@ferry@|@meeri@
@festivities@|@kâkara@
@fetid@|@ebiñoño@
@fetidness@|@bingaongao@
@fever@|@biiua, biwa@
@few@|@iakáraka, káraka@
@fibrous core of fruit@|@beti n oma@
@fidgeting@|@bukitewetewe@
@field@|@marae@
@fierceness@|@titiri@
@fifteen@|@tebwi ma nimaua@
@fifty@|@nimábui, nimábwi, nimángaun, nimaoupoui@
@fig@|@biku@
@Fiji@|@Biti@
@file (tool)@|@mino@
@fill it@|@kanoaia@
@fill up@|@kaona, noho rana@
@filled@|@kanoaaki@
@filled with@|@b'aanaki@
@filling coconut shell bottles@|@atoato@
@filling in@|@bakabu@
@filth@|@buritakanana@
@find out@|@kakaaea, kakaaei@
@find.@|@kunea@
@fine@|@bukintukunei@
@fine sand@|@tanobibinang@
@finely sieved soil@|@bibinang@
@finger@|@abim, abunibai, bai, tabonibai@
@fingernail@|@uki-ni-bai, uki ni bai@
@fingers@|@tapouni pei@
@finish off carefully with an adze@|@tiritabunga@
@finished@|@apani, bane, bobonga, ibani, pani, tia@
@fire@|@ai, ái, ê, ei@
@fire spreading@|@bue nako@
@fire stone@|@atitai@
@fire without flames as charcoal@|@auri@
@fireplace@|@ati@
@firewood@|@aia, aia@
@first@|@îramô, îrimô, moan, moani@
@first born child@|@karimoa@
@first reports@|@te amoa n taeka@
@fish@|@akawa, anaa, anaororo, anatababa, arinai, arinaimawa, arinaitokomea, atuaro, aurua, iika, ika, íka, ika-pehi-tigo@
@fish bait@|@abatoa@
@fish found in pools at low tide@|@ika n ora@
@fish hunted with pole and taken in landing net@|@ika ni katei@
@fish of@|@ikan@
@fish ovaries@|@bia@
@fish taken by gliding bait@|@ika ni kateme@
@fish taken by laying bait@|@ika ni kauene@
@fish taken by moving bait over@|@ika ni kabuti@
@fish taken in open sea@|@ika ni katiki@
@fish taken in the crevices of reef@|@ika n rawarawa@
@fish taken in the depths outside@|@ika n tabo ro@
@fish taken on line attached to post on beach@|@ika n taotao@
@fish taken on reefs in waves@|@ika ni karoa@
@fish taken with rod and line@|@ika n roaroa@
@fish trap@|@maa@
@fish which can be eaten raw@|@ika n oraora@
@fish which come in shoals@|@ikabuti@
@fish which leaps@|@ika n rei@
@fish which runs aground@|@tinannei@
@fish with yellow tail@|@bukibo@
@fishermen@|@taan akawa@
@fishhook@|@mataou@
@fishing@|@akawa, atintaotao@
@fishing at night with line outside of reef@|@bureiwa@
@fishing float@|@betian te tau mata@
@fishing net@|@karaun@
@fishline@|@apo@
@fish-line attached to a rod@|@abo@
@fit a canoe as an ienano@|@ienaoa@
@five@|@ima, nima, nimahoua, nimáua@
@five (animate)@|@niman@
@five (general)@|@nimaua@
@five persons@|@niiman@
@flat@|@baobao@
@flat and smooth@|@borabora@
@flat part of hip@|@bora ni ki@
@flat stone used in a heathen rite@|@atinikana@
@flat surface@|@eiriri@
@flattened@|@borababaua@
@flattened out as a mass of soft food@|@boborababoua@
@flax@|@buraekiti@
@flesh@|@tirigo@
@flies@|@naango@
@float and kiriri@|@beti ni kiriri@
@float away@|@betinako@
@floater of@|@kabetan@
@flood@|@ieka@
@floor@|@bwia@
@flounce@|@biabia@
@flour@|@buraawa@
@flower@|@marewe, ue, uëa@
@flowing slowly@|@ainoko@
@fly@|@nango@
@fly (bird)@|@tira@
@fly-brush@|@taubere@
@flying a little to one side as a kite@|@angamate@
@flying fish@|@baikinakina, baimare, bairoko, bairoro, onauti@
@flying fish with striped fins@|@baimaere@
@flying-fish@|@tonauit@
@fog@|@maábubu, mabubu, marabu@
@fold@|@niria@
@fond of@|@taatangira@
@food@|@amárak, amarake, amaráke, bwenaten@
@food distributed to donors in compensation@|@bakarawa@
@foolish@|@aoua, babaono@
@foot@|@abuniwai, raurounoue, wae, wáe, wáe, wai@
@foot (measurement)@|@butu@
@football@|@butibooro, butiboro@
@foot-ball@|@irîrep@
@footstep@|@m'aneka@
@for@|@bukin, bukin, ibukin, in@
@for canoes@|@baimano@
@for them.@|@ibukiia@
@forbear@|@antai@
@forbidden@|@tabu@
@fore sail of boats@|@te ie n tiebi@
@forehanded@|@banganibai@
@forehead@|@ram'a, rama@
@foreign land@|@anena@
@foreign rope@|@aramâ@
@foreigner@|@îrua, iruwa@
@forepart of canoe which dips up water@|@baron te wa@
@forget@|@m'aninga@
@forgive sin@|@kabara te bure@
@form gradually@|@aurikiriki@
@formerly@|@iñgoa@
@formerly a war helmet@|@bara n tauti@
@fortify@|@angita@
@fortunate@|@butikaraoi, kab'aia@
@forty@|@abwi, angaun, aupoui@
@forty million@|@atano@
@forty thousand@|@arebu@
@foulness@|@betingaingai@
@found@|@kuneaki@
@four@|@aai, ahoua, aua, áua, aung@
@four baskets@|@akora@
@four days@|@abong@
@four generations@|@aroro@
@four hundred@|@abubua@
@four hundred million@|@atoki@
@four hundred thousand@|@akuri@
@fourteen@|@tebwi ma aua@
@fowls' feathers@|@burae ni moa@
@fox@|@arobeke@
@fracture@|@m'aoto, m'aoto@
@fragrance@|@boiarara@
@fragrant@|@boboiarara, buiérar@
@fragrant as very fresh coconut sap@|@buariari@
@France@|@Buranti@
@Francis@|@Baraniko, Barantiti@
@frequentative of aboka@|@aboaboka@
@frequentative of abuta@|@abuabuta@
@frequentative of aeka@|@aeaeka@
@frequentative of aerake@|@aeaerake@
@frequentative of aia@|@aiaia@
@frequentative of aibiko@|@aibikobiko@
@frequentative of airi.@|@airiri@
@frequentative of aita@|@aiaita@
@frequentative of amo@|@amoamo@
@frequentative of amoa@|@amoamoa@
@frequentative of ana take@|@anana@
@frequentative of anga.@|@anganga@
@frequentative of angita@|@angiangita@
@frequentative of angitaban@|@angitataban@
@frequentative of aria@|@ariaria@
@frequentative of arira.@|@ariarira@
@frequentative of arora@|@aroarora@
@frequentative of atoa@|@atoatoa@
@frequentative of atonga@|@atoatonga@
@frequentative of auta@|@auauta@
@frequentative of awa@|@awawa@
@frequentative of baebaeta@|@babaebaeta@
@frequentative of baenikai@|@babaenikai@
@frequentative of bæreka@|@babareka@
@frequentative of b'aib'ainanti@|@babaibainanti@
@frequentative of baib'ao@|@babaibao@
@frequentative of baibati@|@babaibati@
@frequentative of baibuaka@|@babaibuaka@
@frequentative of baikabubu@|@babaikabubu@
@frequentative of baikimoa@|@babaikimoa@
@frequentative of b'aikoraki@|@babaikoraki@
@frequentative of baikori@|@baikorikori@
@frequentative of baiku@|@babaiku@
@frequentative of baikuikui@|@babaikuikui@
@frequentative of baimangori@|@babaimangori@
@frequentative of baimano@|@babaimano@
@frequentative of b'aina@|@baibaina@
@frequentative of b'ainataeia@|@babainataeia@
