@English@|@Parakan@
@marker of patient@|@emi@
@marries community@|@ekataw@
@mat@|@miaxig@
@match@|@atara'yr, tatara'yra@
@match wood@|@'Ywa re tatara'yra@
@maybe@|@xawa@
@me@|@ixe@
@meat@|@a'a@
@medical@|@moromopomar@
@medicin@|@moaga@
@medicine@|@mo'ag@
@medicine man@|@moropytear@
@Mere almost fell in the flat@|@Ihymete o'na werehe Mere@
@Mere sent a letter for him@|@ipinima ikanapa ixope@
@Merowa-proper name@|@merow@
@metal@|@itaxowoho@
@midday@|@areteo@
@milk@|@kamy@
@millstone@|@moakyn, moakypo'a@
@Mimia is making cofinho@|@Mimia oapo arapa'e imoxoka@
@Mine future death@|@Xekyinoma@
@Mirytya answered to you@|@Mirytya ripo neatywan@
@monkey@|@e'a, ka'i, ka'ia, koxi@
@monkey-of-white face@|@ka'ixytaoho@
@more@|@xokwen@
@morning@|@ko'em@
@mortal@|@poromano@
@mosquito@|@merowi@
@mother@|@hy, hya, hyke@
@mother-in-law@|@atyahy, meny@
@mother's brother@|@kywyrahy@
@motor@|@motoa@
@moustache@|@amotahaw@
@mouth@|@xoro@
@moved away@|@koxete@
@much@|@heta@
@mucous membrane of the mouth@|@atypytawa@
@mutum horse@|@Mytoga xenekotog@
@mutum pinima@|@mytoete@
@mutum-poranga (kind of bird)@|@arawari@
@my ache@|@xerahya@
@my bed is wet@|@xeropawa iakymam@
@My behind@|@Xerewira@
@My belly hurts a lot@|@Xerewega hahyete@
@my belly is aching@|@xerakape hahyete@
@my blood@|@xe-r-owy-a@
@My brother's daughter@|@Xekywyra raxyra@
@My brother's woman@|@Xereke'yra ratya@
@My daughter it is young@|@Xeraxyra koxaramete@
@My death@|@Xekyitawa@
@My exit went very early@|@Xeatawa kwemawy'ymamowe@
@my father@|@xerowa@
@My finger it is very small@|@Xekotonia iporoipipi@
@My forehead is crooked@|@Xerekwarapan@
@my height@|@xepokoa@
@my liver@|@xepy'a@
@My newer sister@|@Xerenyra koxaramete@
@My relative is old@|@Xere'ynia ihymynete@
@My rifle doesn't render@|@Xeratayroa naikatoi@
@my sender@|@Xemanatara@
@My side is hurting a lot@|@Xexyke ikarowarete@
@my sister-in-law will arrive@|@Xera'yro'yra onta@
@My sister's husband@|@Xerenyramena@
@my sleep@|@xeketa@
@Mykytoa has wart in the foot@|@Mykytoa py henemaxa@
@nail@|@koape@
@name@|@er@
@Name of the Takapexiga@|@koxapo'aw@
@nape@|@atow@
@near@|@pyri@
@near past@|@raka@
@neck bone@|@awakyg@
@necklace@|@moka@
@neck's vein@|@amay'om@
@needle@|@itaxow@
@negative suffix@|@-ihi, -il@
@Nene'ia sneezes a lot@|@Nene'ia iaxowete@
@Nenexiga is my nephew@|@Nenexiga xerekoxara@
@nephew@|@ekoxar@
@nest@|@ayty@
@new flower@|@ham@
@niece@|@ekoxan@
@night@|@ypyton@
@nit@|@'awakywa ropi'a@
@Nivaldo brought fishhook@|@Ita'onia Niwao weron@
@Nivaldo brought slippers@|@Nivaldo weron myroa oreope@
@Nivaldo made the tables@|@Nivaldo oapo karotawamo@
@no@|@-eme, aoxe, ina@
@no equal@|@nairoi@
@no thick@|@na'ai@
@noIndian gave us cassava stalk@|@Toria omon oreope many'ywakoa@
@nose@|@xi@
@not@|@-ihi, ma-@
@not to diffuse@|@napyhygi@
@notebook@|@mopinimawa@
@noun@|@ramo, rapo@
@now@|@-ame, rame@
@nurse@|@mo'agamoar, mo'agamoar, mo'agamonara, moa'yxar@
@oar@|@y’arapywo-aw-a@
@object of the counting@|@mimome'o@
@Odete has green eyes@|@Peyria he'a raraxiga@
@of@|@hi@
@of dawn@|@koemawy'ymamo@
@of him@|@hehe@
@old@|@hymynete, hyoho, koxaymyn@
@old boss@|@moroyromyn@
@old village@|@awyragaw@
@old Village@|@awyrymyn@
@older brother@|@eke'yr, kywyrypy@
@older sister@|@eryken, eryker@
@On that day I caught big paca@|@Arakokwe karowarohoa apyhyg@
@on the top of something@|@apyteripe@
@one@|@orepexowe@
@one that doesn't like people@|@moroxiwary'ym@
@one that is not daughter@|@axyry'ym@
@one that the husband brought@|@Itotyte remiroa@
@one's arrow@|@o'ywa@
@operate@|@maxarag@
@operating@|@maxaraka@
@operation@|@maxarakaw@
@otaheite apple@|@akaxa@
@other unknown indigenous group@|@inamixaw@
@Other word we won't hear@|@Amote xe'ega xaenowy'ymta@
@Our flashlights don't render@|@Orekanynia naikatoi@
@our heart was calm@|@Xenexy'oa xeneapiapi@
@Our relatives' death@|@Xenere'ynia rewera@
@our Saint relatives@|@Xenere'ynia@
@our throats ache@|@xeneama'ywa hahyete@
@Ours old village is very far@|@Oreawyrymyna ma'epehypyohe@
@over there@|@wyime@
@own@|@namikwaraw@
@Own@|@Iator, irawa, itainy, karamo, karamo, kare, konomi, konomi'i@
@ox@|@tapiragawa@
@pain@|@a'y, ahy@
@Panama é young@|@Panama awaramete@
@Panama is in front of Gino@|@Panama tenone Piwe'a@
@papaya@|@mama@
@Parakanã@|@awaete@
@Parakanã doesn't eat fish@|@Noro'oihi awarona awaete@
@Parakanã uses coconut to eat@|@Inaxa omo'om awaete i'o@
@Parakanãs don't eat saracura@|@Noro'oi arakoria awaete@
@parakeet@|@kykyr@
@parakeet eats ingá@|@Araria iga o'o aka@
@parakeet-of-head-black@|@arari@
@parrot@|@anacã, anako@
@parsley@|@ma'exiromomarapaw@
@part of the day@|@arapipiramo@
@party@|@morahaitaw@
@passed time@|@-er@
@past not attested@|@hekwe@
@pasture@|@kaagaw@
@path@|@akykwer@
@Peck of flashlight@|@Kanynia re'aynia@
@pencil@|@mopinimaw@
@penis@|@akoni, akox@
@people@|@e'yni, go@
@people spoke hard some others@|@I'ioho oxoope goa@
@people taught at the community@|@Omo'emo'e goa tekatawa pope@
@people's diver@|@goamoxepominar@
@People's louse@|@Awakywa@
@pepper@|@ky'yni@
@person@|@awa@
@person's name@|@koraw@
@Pet of the no-Indian@|@Toria remimoxe'owa@
@Peyria made soup fatter@|@Peryia ha'a'o kawonia@
@Peyria will do flour@|@Peyria oapopota o'ia@
@pick@|@apyter@
@pig@|@taxahoa@
@Piga is grandmother of Xywa'ia@|@Piga Xywa'ia hyahyke@
@pile@|@kanyni'ao, kanynio'o@
@pillar@|@mo'i@
@pilot@|@erowakar@
@pinting@|@piním-a@
@piranha (a kind of fish)@|@yperoa@
@piraracu@|@axywytog@
@pirarara farts when fished@|@ipirarara oxokaramo@
@pirarara fish@|@ipirarar@
@pium@|@ipi'o@
@place@|@eowyi@
@place of deer@|@Marodjewara, maroxewar@
@place of dying@|@manonaw, manonaw@
@plane's light indicator@|@Torixa'e kanynia hepixapixam@
@planted yam in our country@|@Heta orotym kara kapope@
@pleasant@|@ekwen@
@pole of the boat's a long iron@|@Itaxowoho y'ara retymoa@
@poor@|@naima'exiroiete@
@Pope-ant@|@korowire@
@porridge@|@kawoni@
@pot bellied@|@ewegoho@
@powder@|@He'aokwan tyroa@
@powerful@|@atoho@
@prefix no contiguous@|@h@
@present@|@rame, rike@
@preset causative@|@ma@
@prison guard@|@morakwapetymar@
@proper@|@akoxiraw@
@proper name@|@Mama@
@proper noun@|@Makakaw@
@protection@|@memyran@
@pulverizer@|@moxiryrytaw@
@Punctual@|@-ime, -ipe@
@question@|@mome'ow@
@rain@|@amyn, amyna@
@rattle@|@maraka, moxinik@
@raw brown sugar is pleasant@|@Ehiraretoma hekwenete@
@red@|@pytoñ@
@regarding@|@ehe@
@regarding fish@|@ipira@
@relatives@|@amoito@
@remote past@|@hekwehe, xekwehe@
@remove everything@|@no'emam@
@Remove the things of the canoe@|@Eno'em ma'exiroa yhara i'i.@
@repetitive@|@no@
@resident of the jungle@|@ka'apewar@
@resin@|@i'ataw@
@Return fast@|@Koweniowe exan@
@reverse@|@warahaga, Wemi'ara@
@rice@|@awaxi'i, awaxí'ía@
@rifle@|@atayro@
@ring@|@erowarowag, koakygimewar, mogaro@
@ripe@|@moapyp@
@river@|@paranoa@
@road@|@pee@
@road is narrow for us to pass@|@Pee hemo'i pee xenepyrokawoma@
@Roast for me@|@Pemoxym xeope@
@rock@|@itaoho@
@roof of the mouth@|@apeko@
@root@|@apa@
@rotten@|@nemam@
@round@|@aerowañ, akypo'a, apo'a, i'agam@
@Round@|@Emoapo'a@
@sad@|@ehaite@
@saracura (kind of bird)@|@arakori@
@sarapó (fish)@|@itowiraw@
@sawyer@|@manakaw@
@scalp@|@‘apiner@
@scissors@|@'awamakaw, 'awamanakaw@
@scream@|@a'em, a'em, ahem@
@screen@|@emao@
@scrotum@|@api'ahom@
@See what was cured@|@Pema'e hemimokatoa@
@seed@|@'a, a'yni@
@sells@|@exag, exak@
@sender@|@manatar@
@sense of smell@|@exopiaw@
@sewage@|@epoxikwar@
@shadow@|@kwaraiog, og@
@Shadow@|@iroi'ym@
@shameless woman@|@koxarawer@
@sharp point@|@akwa@
@sharper@|@akwaakaw@
@she@|@a-, o-, o-, w-@
@she brings coffee for us@|@Eron kape oreope@
@she brushes of washing clothes@|@axaxi@
@she collects@|@max@
@she coughs@|@o'oa@
@she cuts the banana soon@|@Emanag kowei xata@
@she didn't have corpse there@|@Nama'etywi hetekwera ipope@
@she has chameleon in the bush@|@Hekai enemya ka'ape@
@she has leech in the grota@|@Xoxywya ropi ewo'ipewa hekai@
@she has many students in Xingu@|@hemimo'enara Xigu pyri@
@she increases my merchandise@|@Emowixe xema'exiroa@
@she is his mother-in-law@|@Hatyahya@
@she kissed the husband@|@Oatypypyten omena@
@she leaves@|@emei@
@she looks to the page's side@|@Kwekaty erowag imopinima@
@she loves@|@ko'emame@
@she makes like this square@|@Einon emoxowaexag@
@she makes to lift@|@Emopo'om Kawetoa@
@she marries community@|@Tekatawa@
@she pulls life@|@axowy'a@
@she shook the fuel@|@Omotomog y'ara rykwera@
@she squeezes your mirror soon@|@Eka'ika'i morexakawa ixeohi@
@she swore@|@Ikwawe'egahyo@
@she takes care of him@|@Ema'ehe'e i'oma@
@she takes that soon there@|@Eraha wynia emawyi@
@she waits first@|@Eharo hypy@
@She will be mother of him@|@Ihykeroma@
@shell of the river@|@ito@
@She's his future former-mother@|@Ihykweroma@
@shine@|@epixapixam@
@shirt@|@apeyro-a@
@shorts@|@koairo@
@shovel@|@Erehexapa, ma'e-, Ma'e ere, maran, Pekwaham@
@Shovels@|@- kwer@
@Show first for me@|@Exagokarypy xeope@
@Show his kindness for him@|@Peexagokan pexekatotawa ixope@
@Shut up@|@Epoeme@
@sick@|@ahyare rekatar, ahywa'e@
@similar@|@-agaw@
@sister-in-law@|@a'yro'yr@
@skin@|@pirer@
@skull@|@i'apiner@
@skunk@|@kwanoaxi@
@slipper@|@myro@
@small@|@pipi@
@Small@|@inamaraw@
@small agouti@|@akoxia'yra@
@smell@|@awi'e@
@smelly@|@nem@
@smoke@|@ataxig@
@snake@|@kororomax, maipireny, maipireny, maipireny, maipireny, maixig, maixig, maixig, maixori, maixori, mapion, max@
@snake bug@|@amo'a@
@snake dies@|@inaxymax@
@sneeze@|@iaxo@
@so@|@a'e-ramo, awe@
@So I came to you@|@a'e-ramo a'ete pane neohi@
@soap@|@live-kytyg-aw@
@socó-hummingbird@|@haka'i@
@soft meat of chest@|@arawekyr@
@someone's blood@|@t-owy-a@
@son@|@'yra, a'yn, a'yr, awapa'i, awapa'i, gake@
@son of Tapi'aohoa's intoxicate@|@Tapi'aoho ra'yra oka'oete@
@son or daughter@|@memyr@
@son-in-law@|@axywen@
@soon@|@aoxexowe@
@sour@|@aiwa'e@
@sower@|@imanatara@
@speech@|@moroget@
@spider@|@xano@
@spider net@|@xanopyh-a@
@Spill the oil of him@|@Emam imokapawa@
@spoon@|@itakoni@
@spoon it is for us to eat@|@Itakonia powder xakaro xereka@
@sprout@|@exoni@
@squeezing@|@morotyaminar@
@stalk of cassava@|@many'ywako@
@stand up@|@po'om@
@start a motor@|@motytyg@
@stepdaughter@|@axyry'ym@
@stepson@|@a'yry'ym@
@sterile@|@iwaiwiwa'e@
@still@|@we@
@still didn't take off manioc@|@no'agihi maniaga@
@stomach@|@aw@
@stone@|@ita@
@stones@|@itatyw@
@strong@|@ato@
@strong ache@|@hahyare rekatarete@
@student@|@emimo'enar@
@suffix intensifier@|@oho@
@suffix of emphasis@|@-hy@
@sugar@|@axokari@
@sugarcane@|@axoka retymo@
@summer@|@aripe@
@sun@|@ar, kwarahy, kwarahya@
@sunset@|@karopam@
@surplus@|@mowap@
@surprise@|@ai@
@table@|@karotaw, karotawa@
@tadpole@|@ipirape'aw@
@tail@|@waxa@
@take off@|@'ag@
@talking@|@kwawe’eka@
@tall@|@ipoko@
@Tangará bird@|@itagara@
@tangará eats fruit@|@Itagara ywa o'o@
@Ta'oe doesn't call@|@Noenoihi Ta'oe@
@tape recorder@|@toriakyg-a@
@Tapiaoha's penis is crooked@|@Tapi'aohoa hakonia paroho@
@Tapi'aohoa has big testicles@|@Tapi'aohoa hapi'a xytaohoa@
@Tapi'aohoa is not good@|@Naikotoi Tapi'aohoa@
@tapir@|@tapi'ira@
@Tapoxa'yra is stepson of Itain@|@Itainya rarary'yma Tapoxa'yra@
@teacher@|@mo'enar, mopinimar@
@tear@|@e'y@
@teenager@|@konomikwera@
@Tekwapoga is son of Piwe'a@|@Tekwapoga Piwe'a gake@
@television@|@terewixao@
@Tereza's hip is aching a lot@|@Tereza ranagopya hahyete@
@testicles@|@api'a@
@testicle's inside of the egg@|@Hapi'ahoma, hekai hywytera ropi@
@that@|@kwexa@
@that doesn't hole@|@ekwar@
@that has little value@|@epyytywa'e@
@that invisible one@|@kwexa@
@that is blind@|@He'apam@
@that is good@|@katotar@
@that is pleasant@|@ekwenwa'e@
@that is very expensive@|@epyohowa'e@
@That it is made hat@|@Ma'e pa oapo arapexigamo@
@that it is thief@|@mon-to-oho-wa'e@
@that was very expensive@|@hepyohowa'e@
@The  beetle rolls feces@|@Karemohoa omokypo'a tepoxia@
@the ant@|@Kapia'ia tokanyra xowe@
@The anteater has big language@|@Tamanowa ikopokohoa@
@The anu eats@|@The anu eats cricket@
@The arawate have many louses@|@yrywixara i'awakywoho aka@
@The atobá is spoted@|@Ipinipinim haka@
@the ball is round@|@ialypo'a 'ywa@
@The bee stings@|@Exia oporopioho@
@The beetle rolls feces@|@Karemohoa omokypo'a tepoxia@
@The big basket is very good@|@Imanakoa ikatoete@
@The big beard of Piwe'a@|@Piwe'a henywahawohoa@
@The black stone is weak@|@Itakyrona itawatawa@
@the blind was seating on road@|@He'apawa'e oapyg oina peiwyri@
@the book is under the bank@|@ipinima tenawa wyri@
@The bottle gourd is green@|@Koxapo'a iakyrete@
@the boy hurts the nape@|@Oxeatowa ka konomia@
@the boy is burned@|@hamapytomam konomiete@
@The boy was dribbling@|@Konomia henyxehenoho@
@The brave Anywa goes alone@|@Anywa hatowa'e xowe taha@
@The cassava grater@|@Maniaga  kytykawa@
@the chief wants it@|@awahoa opotan@
@The clarity of the light@|@Kanynia renyxiga@
@The clock is marker of hour@|@Mapykwahawa  ararexakawa@
@The clothes is very expensive@|@Tyroa hepyete@
@The clown plays@|@Ma'exiropapareteohoa oxemoarai@
@The cow gives milk@|@Tapi'iragawa kama opog@
@The day after tomorrow@|@Kwexareke xaata imomyro mytoa@
@the dead@|@manonar@
@the dead Iatora@|@Iatora way'yma@
@the deer had only one horn@|@Mixara iatowaxia moxepe@
@The deer is my creation@|@xemotowitawa@
@The diver of people@|@Goamoxepominara@
@The dog licked the plate@|@Xawara oerem torime@
@The fat of the tapir@|@Tapi'ira kawa@
@The fern is medicine that kill@|@Hamamaxa mirona xokatawa@
@The fish dog has pricked us@|@Hoimokoa haxowete aka oreope@
@the flashlight@|@Oepe kanynia@
@The fork is to eat pasta@|@Itakoipa ewo'ia xowewara wawa@
@The granddaughters of Mixa'aga@|@Mixa'aga remiariroetoa@
@the green boat didn't arrive@|@norihi y'axyta@
@the hat on head is beauty@|@iakygyroa arapexiga iaroete@
@the hawk flyes ugly@|@owewe agawete kwanoa@
@the head side@|@atypype@
@The hero Tatoraroa is powerful@|@Hatohoa Tatoraroa@
@the hornet of the meat hurts@|@Kawa waxowa ha'yete@
@The hornet's below of the leaf@|@Kapewa ka'awyri hekai@
@The horsefly stung us@|@Mytoga xenekotog.@
@The house rum@|@Omotororo aga@
@The ingá is ripe@|@Hopepogaoho iga@
@The Karamoa has a scissors@|@wereka i'awamanakawa@
@The land turtle is thin@|@Ikawepam xaoxia@
@The lightning of the thunder@|@Topoa repixam@
@The louse's egg is colliding@|@i'awakywa ropi'a opapag@
@The Makakaw which is strong@|@Makakawoho hatowa'e@
@The man broke the chin@|@Akoma'e omopen wenywa@
@the mix@|@Emomaraweme@
@The monkey eats a lot of ingá@|@Ka'ia heta o'o iga@
@the mother's father@|@hyarow@
@the mother's mother@|@hyahy@
@The Myrywa smokes cigarette@|@Omowohim petyma Myrywa@
@The nail is to nail house@|@Itaxowa aga kakawa@
@The nail of the ounce is big@|@Xawara ikoape ixytaohoa@
@The nest of the chicken@|@Wyrapaxe raytya@
@The no-Indian creates pig@|@Toria taxa'orona omoxeopara@
@The non Indian left our earth@|@Ohem rakwehe toria xeneka'a hi@
@The non indian likes parakeet@|@Kykyra toria remipotarete@
@the non-indian is screaming@|@ha'eha'em toria@
@The old knows a lot@|@Okwahawete moroyroa@
@the old village@|@awyr-agaw-, awyragaw@
@the one who kills@|@oxokáwa'é@
@the one who pilots the boat@|@Y'arare rowakara@
@the one who takes care@|@aronar@
@the one who wiil be wife@|@Hatyroma@
@the panther scream@|@xawara rahema@
@The pencil is not weighed@|@Imopinimawa naipohoi@
@The piau has small mouth@|@Ipixawa ixoro'i pee@
@The pile illuminates the dark@|@Kanynio'ao toepe ypytona@
@The pium of Assurini is big@|@Axorigia pyri ipi'o xytaohoa.@
@the potato of his leg@|@Hetymoxi'a@
@The pulverizer broke@|@imoxiryrytawa@
@The purple rock is there@|@Itaohoa honoho oina@
@The resident of the village@|@Hetomimewara@
@The ring is small@|@Herowarowag pi@
@the river flood@|@Oapyra'awete, paranoa@
@The river is full of curve@|@Paranoa ikanokano@
@The shell of the river opened@|@Itoa oxyke@
@The smoke is burns in the eye@|@Tataxiga poroemaman@
@the snake bug has several feet@|@heta ipya amo'a@
@the socó is dark@|@Agamia agami, Honete haka'ia@
@The son of Kokoa is sad@|@Kokoa ra'yra naxere'ateihi@
@The son of Tapiaohoa is crazy@|@Tapi'aohoa ra'yra hewaewag@
@the son's woman@|@Hara'yra ratya@
@the stick is crooked@|@Iapapawowe ywyra@
@The straw hat is beautiful@|@Arapexiga pinawa iaroete@
@the sun is turning@|@ara oxerowag@
@The sun puts in the west@|@Araketawa katywara oke@
@The sunset will already happen@|@Karopam wamepota@
@The tapir already roasted@|@Tapi'ira oka'emam hekwehe@
@The tapir has back big@|@Tapi'ira iko'a xytaoho@
@The tapir is fat@|@Tapi'ira  ikyraohoa@
@the thick cloth is very hot@|@Hakowete ianomohowa'e@
@The thunder@|@Onaronarog topoa@
@the tree makes shadow@|@'Ywa oapo iroi'yma@
@the widow@|@Hatykwera@
@The window is preached@|@Ikaka oxoroa@
@The woman doesn'thave children@|@Koxaetoa  naimemyrihi@
@The woman is joining to count@|@Heta gyge ixeari otemonamo@
@the woman's lover@|@Koxoa motatara@
@The wood escaped and it fell@|@Ywyra iawahin o'ata@
@The work is beautiful for us@|@Ma'epotawa iaroete xeneope@
@the. people's repairman@|@goamokatotar@
@their old path@|@hakykwerera@
@then@|@hehewe@
@then going; it despised him@|@a’eramo imamari weha@
@Then I make to be born you@|@A'e emo'an@
@Then they went entering there@|@ikekei ipope aha  koxoetoa@
@ther fish is salty@|@Imoxokyrete ipira@
@there@|@kwe, wyi@
@there are children with flu@|@heta konomitoa iamywano@
@There are feces in the river@|@Tepoxia heta paranome@
@there far@|@eokwe, kwee@
@There far away he is coming@|@Eokwe itori@
@There far passed the plane@|@Kwee ikwawi ywatewara@
@There I saw everything@|@rakokwe aixapaxapam@
@there it is@|@eope@
@therefore@|@ma'e-@
@these are not mine things@|@Naxema'exiroi@
@they@|@a-, o-, w-@
@They all abandoned their thing@|@Oma'exiroa omomyta aoxeoho@
@they killed themselves@|@a’e xoxoka@
@they made like this speaking@|@Non iapoi heroxe'eka@
@They removed his wood@|@Oekyi ywyra ixeohi@
@they sing@|@oxe'egan@
@they were dropped@|@hero’an@
@they'll burn the bush@|@Oapypota kaa@
@They'll operate Korikoa?@|@omaxaram Korikoa aipa@
@thick cloth@|@anomoho@
@thick screen of fishing pirara@|@Hemaoa pirarara xokatara@
@thief@|@mimaraho, mon, mon, monaxar@
@thief Daniel has crooked head@|@imonaohowa'e@
@thin@|@ikaweipam@
@thing@|@ma'e@
@things@|@ma'exiro, mo'a@
@this@|@'a, 'o, eomi, eomia, eomia, mia, mia, oga@
@this here@|@ogoho@
@this indefinite@|@eomia@
@this is yours@|@awixepehe@
@this one@|@ka@
@This thing is good@|@i'i oxeope, Ikato eomi@
@this way@|@non@
@three@|@nairoi@
@throat@|@ama'yw@
@throw at the hole@|@akawag@
@thrush bird@|@ahawixa@
@thumb@|@koho@
@Tibirro (bird)@|@koemara@
@time marker@|@ararexakaw@
@tired@|@kani'o@
@tither@|@eokwe@
@to@|@katy@
@to abandon@|@momyta@
@to accelerate@|@moxemaman@
@to ache@|@ahy@
@to anesthetize@|@moxyro@
@to answer@|@atywan@
@to arrest@|@akwapetymokan@
@to ask@|@kwawe'eg@
@to attend@|@ma'ehe'e@
@to balance@|@kanakam, moko'e, moxaximog@
@to be@|@aka, eka, ereka, itoni, nog@
@to be born@|@mo'an@
@to be calm@|@apiapi@
@to be fat@|@kaw@
@to be of head down@|@kwarimo itoi@
@to be sad@|@naxere'aeteihi@
@to be sharp@|@akwa'apapa@
@to be sorry@|@ara'ag@
@to be starving@|@te’o@
@to beat@|@nopo@
@to beat a dog@|@xawara nopo@
@to beat intensely@|@-noponopo@
@to become pregnant@|@momoro'a@
@to bloom@|@apam@
@to born@|@'na@
@to brake@|@ka@
@to break@|@mopen@
@to break small@|@ika'ika'i@
@to breastfeed@|@mokamo@
@to bring@|@eror@
@to bring in canoe@|@e'e@
@to burn@|@apy, apy, apypam, kaipam@
@to burp@|@emen@
@to calm@|@moxemomig@
@to catch@|@pyhy@
@to cause ebullition@|@mopypon@
@to choose@|@mo'e@
@to clean@|@apei, hym, pei'@
@to clean the camp@|@akomanahag@
@to clean with rake@|@moyryg@
@to close@|@apakwan@
@to close the mouth@|@emepyg@
@to come@|@on@
@to compare continually@|@kwererem@
@to compress@|@kwam@
@to cook@|@apyg, moapyg@
@to copulate@|@meno@
@to cost a lot@|@epyete@
@to count@|@moiro@
@to cover@|@kwan@
@to cover with earth@|@'a@
@to create@|@moxehom, moxeopara@
@to crook@|@kanam, moapan@
@to cure@|@mo'yo@
@to curse is not good@|@Naikatoi ixe'ega awarawera@
@to cut@|@apin, kyxi, mana'ag, mana'ag, manag@
@to cut something hot@|@akomanahag@
@to darken@|@mopion@
@to die@|@-mano, kyi@
@to dig@|@ewykai@
@to disappear@|@awahin@
@to divide@|@mopepen@
@to divide to the middle@|@haxei@
@to do@|@apo, moxam@
@to do beautiful@|@mo'e-tar-to@
@to do crooked@|@mokanawa@
@to do goal@|@mo'enar@
@to do legal@|@moaro@
@to do noise with rattle@|@moxinig@
@to do square@|@moxowaexag@
@to do to burn@|@mokaipam@
@to do to go down@|@mo'awahin@
@to do to leave@|@mohem@
@to do to roll@|@mokypo'a@
@to do to turn@|@erowag@
@to do to wake up@|@momag@
@to drag@|@erotyryryg@
@to dream@|@kerahim@
@to drink@|@'yo, -'y, -'y'yo, o'y'o@
@to drip@|@motororo@
@to drizzle@|@mowopam@
@to drop@|@etyg@
@to dry@|@motowyn, motypam@
@to eat@|@-'o, karo@
@to enlarge@|@mowixe@
@to enter@|@-ke, ke@
@to enter many times@|@keke@
@to enter one after another@|@-keke@
@to expel@|@moawahin@
@to explode@|@moopog@
@to exterminate@|@apixipam@
@to extinguish@|@mowem@
@to extract@|@ekyi@
@to fall@|@koi@
@to fan@|@monymonyg@
@to feed@|@moi'o@
@to fight@|@xonopo@
@to fill@|@motynehem@
@to finish@|@apopam, opám, pam@
@to flood@|@apyra'am, tyapo@
@to fly@|@-wewe@
@to focus@|@e'epe@
@to forget@|@kaxym, mokaxym@
@to freeze@|@moro'yhyg, moro'ymam@
@to gather@|@monyhy-nyhyg, monyhyg, mowyg@
@to get up@|@eroxeopin, mo'om, mo'om, mopo'om@
@to give@|@-mon, ero-ton, eron, me'eg@
@to give shock@|@moweram@
@to go down@|@moxym@
@to go everybody@|@ahapam@
@to grate@|@ekytyg, kytyg@
@to have@|@eka@
@to have fear@|@kyyxe@
@to have feather@|@'og@
@to have longing@|@exaga'om@
@to hear@|@-enom, enoi, enop, enow, enox@
@to here@|@ka katy@
@to hide@|@me@
@to hit@|@-nopo, onopá@
@to hit a lot@|@onopónopó@
@to hold@|@motyryryg@
@to hole@|@kotog, momog, moopog@
@to hook@|@mopa'om@
@to hug@|@akag@
@to inconvenience@|@moawai'ym, moawai'ym@
@to increase@|@moxyta@
@to ingest@|@'ol, -mokon, mokon@
@to ingest several times@|@-mokomokon@
@to keep@|@akwapetym@
@to kiss@|@atypypyten@
@to knead@|@ka'ika'i, mogemoge, motawa@
@to know@|@-akwaham, akwaham@
@to land@|@hyka@
@to lay on the net@|@'am@
@to learn well@|@kwaapam@
@to leave@|@'in, hem, kwa@
@to leave purple@|@momyomyg@
@to lend@|@morypy@
@to lick@|@erem@
@to lie down@|@-'am@
@to lie down of  side@|@kewe'eg@
@to light@|@eny, eny, epe, moxapo'o@
@to like@|@oei@
@to live@|@ekowe@
@to make@|@apo@
@to melt@|@motatag@
@to mix@|@momaram, momaraw@
@to mock@|@eroxemoarai@
@to paint@|@mopinim@
@to peel@|@apin@
@to pile up@|@moapyterakwa@
@to play@|@maman@
@to play fire@|@moapy@
@to play music@|@moxe'egan@
@to precede@|@kwen@
@to put on@|@moman@
@to rain@|@kyn@
@to recover@|@ka'e1@
@to redden@|@mopytog@
@to remove@|@mopiririg, no'em, no'em, nohem@
@to remove of the skull@|@ko'ag@
@to repair@|@goamokato@
@to rest@|@kekeipywa@
@to return@|@moxewyn@
@to ripen@|@moapym@
@to roast@|@ka'e, moka'e, moka'e, mome@
@to roast everything@|@moxypam@
@to roast in the oven@|@moxym@
@to round@|@aerowag, moapo'a@
@to row@|@pywon@
@to run@|@xon@
@to salt@|@moxokyrete@
@to say@|@-mome'o@
@to scald@|@mororo@
@to scape@|@awahin@
@to scare@|@maana@
@to see@|@exag, ma'e@
@to see everything@|@exapam, ixapaxapam@
@to seed@|@ayixag@
@to seek@|@momyro@
@to separate@|@nogte@
@to shake@|@ko'eko'e, mopapyg, motomog, motomog, mowawag@
@to sharp@|@akwa'ag@
@to sharpen@|@ime'e Vtran@
@to shine@|@kawon@
@to shoot@|@mopog@
@to show@|@exagokan, moma'e@
@to sit@|@apyg@
@to sit down@|@-a'yi, a'yi@
@to sleep@|@-ken, ker, mogen@
@to sleep with@|@ero-ker, eroken@
@to smell@|@eton@
@to sneeze@|@axom@
@to snore@|@keramo@
@to sob@|@axag@
@to speak@|@porogeta@
@to speak at the same time@|@eroxe'eg@
@to spend@|@momam@
@to spill@|@emam, hen, mam@
@to spit@|@nimon@
@to stanch@|@momig@
@to stand up@|@-'om@
@to straighten@|@mopo'o-kato-ete@
@to suck@|@kamo@
@to suspend@|@aopin@
@to swallow cigarette@|@mowohim@
@to swear@|@korapawe, kwawe'egahyo@
@to take@|@eraha@
@to take a bath@|@moxepomin@
@to take care@|@exagkato, exakato, moryryi@
@to talk@|@kwawe’eg@
@to taste@|@ag@
@to teach@|@mo'e1@
@to tell@|@mome'o@
