@English@|@Old English@
@dry off@|@ofadrygan@
@dry or liquid measure@|@amber@
@dry up@|@adrugian, adrygan, asearian, astiðian, bedrugian, drugian, drygan, forscrinan, forscrincan, forsearian, forspyrcan, forþyrrian, forweornian, forwisnian, gesneorcan, wisnian@
@dry up?@|@ofþefian@
@dryad@|@wuduælfen@
@dryness@|@drygnes@
@dry-shod@|@drysceod@
@dub@|@dubbian@
@duck@|@ducan, duce, ened@
@duckling@|@ducling@
@ductile@|@gelædenlic@
@due@|@agenlic, gafol, gerihte, last, manræden, neadwis, nydriht, rihte, rihte, scyld@
@due east@|@eastrhyte@
@due north@|@norþrihte@
@due south@|@suþrihte@
@due west@|@westrihtes@
@duel@|@anwig, anwig@
@dugout (ship)@|@anbyme@
@dull@|@ætstyntan, aslæwan, besolcen, dwæs, hefig, læthydig, medwis, sæne, samwis, sott, stunt, styntan, ungewlitig, unglæd@
@dullard@|@sott@
@dullness@|@hefignes, sotscipe, swærmodnes, unscearpnes@
@dullness of mind@|@ungearuwitolnes@
@duly@|@rihte@
@duly appointed@|@rihtgeset@
@duly appointed Ember days@|@rihtymbrendagas@
@duly appointed Embertide@|@rihtymbren@
@duly appointed fast-day@|@rihtfæstendæg@
@duly appointed member of a guild@|@rihtgegylda@
@duly appointed time of fasting@|@rihtfæstentid@
@duly ordained fast@|@rihtfæsten@
@duly qualified physician@|@rihtlæce@
@dumb@|@dumb, uncweðende, uncwisse@
@dumbness@|@dumbnes@
@dun (the color)@|@dunn@
@dun colored@|@dunfealu@
@dung@|@cwead, dung, dyncge, gedyngan, gor, meox, mesa, mixen, mixendynge, scearn, þost, tord@
@dung of cattle@|@weorftord@
@dung-barrow@|@meoxbearwe@
@dung-basket@|@meoxwilie@
@dung-beetle@|@scearnbudda, scearnwibba, tordwifel@
@dungeon@|@carcern@
@dung-fork@|@meoxforce@
@dung-heap@|@mixen@
@dunghill@|@feltun, feltungrep@
@dung-shovel@|@meoxscofl@
@dupe@|@gælan@
@duplicate charter@|@geanboc@
@duplication@|@twifealdnes@
@duplicity@|@twifealdnes@
@durable@|@trumlic@
@during@|@æfter, be, betwux, binnan, forþ, geond, in, on, ongemang, þa, þurh@
@during (dat)@|@onemn@
@during a day@|@dæglanges@
@during a night@|@nihterne@
@dusk@|@foranniht, glom, uht, uht@
@dusky@|@brun, brunwann, dox, dungræg, earp, hasu, þeostorful, wann, won@
@dust@|@æmerge, dust, gilp, grytt, molde, molde, myl@
@dust?@|@druh@
@dust-like swarm@|@dustswerm@
@dusty@|@dustig, dystig, salu, sandiht@
@duty@|@byrðen, gafol, last, nied, nydriht, nytt, þegnscipe, toln@
@duty of furnishing beasts of burden@|@seam@
@duty to give charity@|@ælmesriht@
@dwarf@|@dweorg@
@dwarf elder@|@ellenwyrt, liþwyrt, wealwyrt@
@dwell@|@bogian, buan, buan, eardian, eardian, sittan, wician, wunian, wunian, wunian@
@dwell around@|@ymbeardian@
@dwell in@|@ineardian@
@dwell together@|@asittan@
@dweller@|@buend, buend, eardiend, weartere@
@dweller in the north@|@Norþmann@
@dwellers in a suburb@|@underburhware@
@dwellers in inequity@|@bealuware@
@dwellers on this earth@|@herbuende@
@dwellin@|@ærn@
@dwelling@|@ærn, bold, boldwela, bu, bur, burg, byht, cotlif, eardung, eodor, geard, gebunes, gebytlu, gesteald, ham, hamm, heall, hof, inn, innung, mearchof, sælþ, sele, solor, stoc, træf, tun, wic, wicstede, woruldwuniende, wunenes, wunung@
@dwelling far away@|@feorbuend@
@dwelling far off@|@feorbuend@
@dwelling in a country@|@landbigong@
@dwelling in heaven@|@þrymsittende@
@dwelling in one's own country@|@eardwunung@
@dwelling in the woods@|@heargeard@
@dwelling of death@|@deaþwic@
@dwelling of the soul@|@feorgbold@
@dwelling on a border@|@mearchof@
@dwelling on the land@|@landbuende@
@dwelling place@|@eardgeard, eardungstow, folcstede, stoclif, stocwic, wic, wiceard, wicstow@
@dwelling-house@|@husærn@
@dwelling-place@|@eðelstow, hus, onwunung@
@dwellings@|@herewic@
@dwindle@|@aspringan, dwinan, sweðrian@
@dwindle away@|@acwinan@
@dwindle or waste away@|@adwinan@
@dye@|@begleddian, deagian, deah, getelgan, lit, telg, telg, telgung, tielg@
@dyed@|@gemæl@
@dyeing@|@deagung@
@dyer@|@litigere, telgestre@
@dying@|@deað, sawlung@
@dysentery@|@lenctenadl, meteutsiht, utsihtadl@
@dysentery?@|@utwærc@
@each@|@ægðer, æghwa, æghwælc, æghwilc, æghwilc, ælc, ælc, æthwa, gehwa, gehwæðer, gehwæmlic, gehwæt, gehwæþer, gehwelc, gehwelc, gehwilc, welhwylc@
@each one@|@æthwa, ahwelc, syndrig@
@eaf (of barley)@|@egl@
@eager@|@anmod, cneord, eallgearo, fus, fus, gecneord, georn, georn, georn, geornful, geornful, geornful, grædig@
@eager for fame@|@lofgeorn@
@eager for glory@|@arhwæt, domgeorn, gielpgeorn@
@eager for praise@|@lofgeorn, lofgeorn@
@eager to advance@|@forþgeorn@
@eager to get away@|@hinfus@
@eagerly@|@georne, georne, geornlice, neode, neodlice, stundum@
@eagerness@|@geornfulnes@
@eagerness for sightseeing@|@wæfergeornnes@
@eagle@|@earn, guþfugol, guþhafoc@
@eagle tribe@|@earncynn@
@ear@|@eare@
@ear ache@|@earwærc@
@ear cleaner@|@earclænsend@
@ear finger@|@earefinger@
@ear of barley@|@egl@
@ear of corn@|@cropp, ear@
@ear salve@|@earsealf@
@earl@|@ealdorman@
@earlap@|@flære@
@earldom@|@eorldom@
@earlier@|@æror, æror, ærra, beforan, geo@
@earlier born@|@ærboren@
@earliness@|@hrædlicnes@
@earl's right@|@eorlriht@
@early@|@ær, ær-, ærlic, ærost, ar, dægredlic, foreweard, foreweard@
@early age@|@frumildo@
@early awake@|@ærwacol@
@early dawn@|@ærdæg@
@early mass@|@capitolmæsse@
@early meal@|@undernswæsendu@
@early morn@|@æring@
@early morning@|@ærdæg, ærnemergen, uht, uhttid@
@early morning air@|@ærlyft@
@early part of the day@|@forandæg@
@early part of the night@|@foranniht, swigtima@
@early spring@|@foranlencten@
@earn@|@earnian, geearnian@
@earnest@|@cneordlic, eornost, georn, georn, inweard, inweardlic, meagolmod, meagolmod, neodful@
@earnest prayer@|@ingebed@
@earnestly@|@anrædlice, cistmelum, deope, diope, eornoste, eornostlice, geneahhe, georne, geornlice, meagollice@
@earnestness@|@eornost, meagolmodnes, meagolnes, neod@
@earring@|@earhring, earpreoon, earspinl@
@earth@|@eormengrund, eorþe, eorþe, eorþstede, folde, folde, grund, grundwæg, gumrice, hruse, hruse, lam, land, middangeard, molde, molde, moldweg, næss@
@earth apple@|@eorþæppel@
@earth born@|@eorþcenned@
@earth dweller@|@eorþbigenga, foldagend, grundbuend@
@earth dwellers@|@eorþwaran@
@earth gall@|@eorþgalla@
@earth nut@|@eorþnutu@
@earth possessor@|@foldagend@
@earth tar@|@eorþtyrewe@
@earth tiller@|@eorþtilia@
@earth tilth@|@eorþtilþ@
@earth wall@|@eorþweall@
@earth-dweller@|@foldbuend, grundbuend, landbuend@
@earthen@|@læmen@
@earthen pot@|@crocchwer?@
@earthen vessel@|@tigel@
@earthenware@|@tigelen@
@earthenware vessel@|@crocca@
@earthfast@|@eorþfæst@
@earth-house@|@moldærn@
@earthly@|@eorþcund, eorþlic, eorþlic, middangeardlic, woruldlic@
@earthly beauty@|@woruldfægernes@
@earthly care@|@woruldsorg@
@earthly creature@|@eorþgesceaft, landgesceaft@
@earthly desire@|@woruldwilnung@
@earthly fear@|@woruldege@
@earthly fight@|@woruldgefeoht@
@earthly good@|@woruldwilla@
@earthly goods@|@woruldfeoh@
@earthly joy@|@woruldhyht@
@earthly king@|@eorðcyning, eorþcyning, woruldcyning@
@earthly kingdom@|@eorþrice, woruldrice@
@earthly kinsman@|@woruldmæg@
@earthly or secular servant@|@woruldþegen@
@earthly physician@|@woruldlæce@
@earthly possessions@|@landwela@
@earthly power@|@eorþmægen@
@earthly reward@|@woruldlean, woruldmed@
@earthly riches@|@foldwela, grundwela@
@earthly soldier@|@woruldcempa@
@earthly toil@|@woruldgeswinc@
@earthly vessel@|@eorþfæt@
@earthly war@|@woruldgewinn@
@earthly way@|@eorþweg@
@earthly weapon@|@woruldwæpn@
@earthly wretchedness@|@woruldyrmþu@
@earthquake@|@eorþbeofung, eorþdyne, eorþhrernes, eorþstyren@
@earth's embrace@|@eorþgrap@
@earth-tilling@|@eorþtilþ@
@earthwork@|@eorþbyrig, weall@
@earthworm@|@moldwyrm, renwyrm@
@earthworm?@|@angeltwicce@
@earthy@|@grotig@
@earwax@|@teoru@
@ear-wax@|@dros@
@earwig@|@earwicga@
@ease@|@æmethwil, eadnes, eaþnes, softnes@
@easily@|@eaðe, eaþe, ieðelice, ieþ, leohte, leohtlice@
@easily bent@|@bygendlic@
@easily brought about@|@ieðtogen@
@easily controlled@|@gewealden@
@easily digested@|@eaþmylte@
@easily frightened@|@sceoh@
@easily irritated@|@eaþbylige@
@easily pleased@|@eaþgeorn@
@easily turned@|@eaþwylte, eþwilte@
@easily-managed@|@hæbbendlic@
@easiness@|@eaðelicnes, eaþnes@
@east@|@east, eastdæl, easteweard, eastweard@
@East@|@heafodwind@
@east (at east)@|@east@
@east (due)@|@eastryhte@
@east (from east)@|@eastan@
@East Angles (pl)@|@Eastengle@
@east bank of a stream@|@eaststæþ@
@east end@|@eastende@
@East Saxons (pl)@|@Eastseaxan@
@east side@|@easthealf@
@east wind@|@eastanwind@
@Easter@|@Eastran, eastre, Eastron@
@Easter custom@|@Eastergewuna@
@Easter Day@|@Easterdæg, Easterdæg@
@Easter Eve@|@Easteræfen, Easterniht@
@Easter feast@|@Easterfeorm@
@Easter Sunday@|@Easterdæg, Eastersunnadæg@
@Easter Week@|@Easterwucu@
@Easter-fast@|@Easterfæsten@
@eastern@|@easterne, easteweard@
@eastern confines@|@eastgemære@
@eastern country@|@eastrice@
@eastern king@|@eastcyning@
@eastern kingdom@|@eastrice@
@eastern land@|@eastland@
@eastern nation@|@eastfolc@
@eastern ocean@|@eastgarsecg@
@eastern part@|@eastdæl, eastende@
@eastern people@|@eastþeod@
@eastern porch@|@eastportic@
@eastern sky@|@eastrodor@
@Easter-tide@|@Eastertid@
@eastward@|@easteweard, eastweard, wiþeastan@
@eastward (extending)@|@eastlang@
@eastwards@|@east, easterihte, wiþeastan@
@easy@|@eaðe, eaðe, eaðelic, eþe, ieðe, ieðelic, ieðnes, leoht, sefte, sleac@
@easy (apparently)@|@leohtlic@
@easy for traveling over@|@eaþfere@
@easy to be entreated@|@eaþbede@
@easy to believe?@|@leafleoht@
@easy to cure@|@eaþlæce@
@easy to do@|@eaþdæde@
@easy to find@|@eaðfynde@
@easy to get@|@eaþbegeate@
@easy to guess@|@eaþræde@
@easy to obtain@|@eaþgete@
@easy to recognize@|@eaþcnæwe@
@easy?@|@geryde@
@easy-going@|@leohtmod@
@eat@|@abirgan, abrucan, ætan, biergan, brucan, ceowan, etan, gebirgan, geetan, mesan, onbiergan, onbyrigan, snædan, þicgan, þicgan@
@eat as much as you can@|@efenetan@
@eat of@|@onþicgan@
@eat through@|@þurhsmugan@
@eat under@|@underetan@
@eat up@|@ættan, forgnagan, forsceorfan, forsceorfan, fretan, frettan, gefeormian@
@eater@|@ætere, etend@
@eating@|@æt, æting, eting, þigen@
@eating room@|@reordhus@
@eating things sacrificed to idols@|@feondæt@
@eavesdrop (literally)@|@yfesdrype@
@ebb@|@ebbian, nepflod, toflowan@
@ebb away@|@aebbian@
@ebb tide@|@ebba@
@ebbing@|@æbbung@
@ebbing and flowing@|@geondflowende, ongeanflowende@
@ebb-tide@|@ebba@
@Ecclesiastes)@|@rihtraciend@
@ecclesiastic@|@ciricend@
@ecclesiastical@|@ciriclic, halig@
@ecclesiastical authority@|@lareowdom@
@ecclesiastical law@|@preostlagu@
@ecclesiastical living@|@ar@
@ecclesiastical tax on plowed land@|@sulhæmesse@
@echo@|@oncweðan, windumær, wudumær@
@echo?@|@onscillan@
@eclipse@|@asprungennes, aþeostrian, eclypsis, onsprungennes, upsprungennes@
@economical@|@gehealdsum@
@economical person@|@healdend@
@economy@|@fæsthafolnes@
@ecstasy@|@elhygd, færing@
@eczema@|@teter@
@eddy@|@edwielle, hwyrfepol, wæl@
@eddying@|@hopig@
@edge@|@bordrima, ecg, ecg, efes, lærig, liste, ofer, owisc, sceat@
@edge?@|@rand@
@edge-iron? (joining-iron@|@cimbiren@
@edibility@|@ætnes@
@edible@|@ætlic@
@edible mushroom@|@meteswamm@
@edict@|@gebenn, gescrif, woruldbebod@
@edification@|@getimbernes, getydnes, ontimbernes, timbrung, trymming@
@edify@|@timbran@
@educate@|@teon@
@educated person@|@cleric@
@eel@|@æl, ælfisc@
@eel basket@|@spyrte@
@eel net@|@ælnet@
@eel receptacle?@|@ælhyd@
@eel skin?@|@ælhyd@
@eelpout@|@ælepute@
@effect@|@behealdan, fremednes, fremming, gegan, geredian, þurhteon, timbran, tohigung, wyrcan@
@effective@|@forþgenge, framigendlic, fremful, mihtig, scearpnumol, swiþlic@
@effectively@|@spedlice@
@effectual@|@genge, scearplic, teartnumol@
@effectually@|@gearwe, scearplice, spedlice@
@effeminacy@|@hnescnes@
@effeminate@|@bleaþ, hnesce, hnesclic, sefte, wac@
@effeminate male@|@bæddel@
@effeminate person@|@bæddel, bædling@
@effete@|@ontydre@
@efficaciously@|@scearpþanclice@
@efficacy@|@mægen, scearpnes@
@efficiency@|@mægen@
@efficient@|@god, nytwierðe@
@effigy@|@manlica@
@effort@|@higþ, higung, smeaung, swinc@
@effort (great)@|@syrwung@
@effrontery@|@scearpnes@
@effulgence@|@bierhtu, scima@
@effusion@|@agotenes, togotennes@
@eft@|@efeta@
@egestio@|@driting@
@egg@|@æg, ægg@
@egg mixture@|@æggemang@
@egg on@|@geeggian@
@egg skin@|@ægerfelma@
@egg white@|@hwit, hwite@
@egg yolk@|@ægergelu@
@eggshell@|@ægscill@
@eggwhite@|@æglim@
@egotism@|@selflice@
@egotistic@|@selflice@
@egregious@|@healic@
@Egypt@|@Egipte@
@Egyptian@|@Egiptisc@
@Egyptians@|@Egipte@
@Eider River (Sea Monster door)@|@fifeldor@
@eight@|@eahta@
@eight days' old@|@eahtanihte@
@eight-cornered@|@eahtahyrnede@
@eighteen@|@eahtatiene@
@eighteen years old@|@eahtatynewintre@
@eighteenth@|@eahteteoþa@
@eightfold@|@eahtafeald@
@eighth@|@eahtoþa@
@eighth (weak)@|@eahtoþa@
@eightieth@|@hundeahtatigoða@
@eighty@|@eahtatig, hundeahtatig, hundeahttig@
@eighty years old@|@hundeahtatigwintere@
@either@|@æghwæðer, æghwæðer, ægþer, ahwæðer, gehwæðer, gehwæþer, hwæðer, hwæðer@
@either...or@|@oððe...oððe, oþþe...oþþe@
@either…or@|@ahwæðer, oþþe...oþþe@
@ejaculate@|@indrifan@
@elapse@|@ascortian@
@elapse during Easter@|@geestrian@
@elapsed@|@forþaurnen@
@elate@|@windruncen@
@elated@|@collenferhð, collenferhþ, ofgeorn@
@elated with feasting@|@symbelwlonc@
@elation@|@creasnes@
@elbow@|@elnboga, haðoliða@
@elder@|@ealdor, ealdor, leodwita, wita, yldra@
@elder ash@|@ellenahse@
@elder bark@|@ellenrind@
@elder grove@|@ellengrafa@
@elder leaf@|@ellenleaf@
@elder stump@|@ellenstubb@
@elder twig@|@ellantan@
@elders@|@ieldra@
@elderwort@|@ellenwyrt@
@eldest@|@betstboren, ieldsta, yldesta@
@elecampane@|@eolone, heahheolode, sperewyrt@
@elect@|@coren@
@election@|@corennes, corenscipe, cyst@
@elegance@|@creasnes, cyrtenes@
@elegant@|@creas, gecorenlic, getynglic, smicer, þæslic, wræstlic@
@elegantly@|@cyrtenlice, fægre@
@elegently@|@fægre, geglengendlice@
@elegy@|@geomorgidd, hearmleoþ, wopleoþ, word, wordgyd@
@elephant@|@elpend, ylp@
@elephant bone@|@elpendban@
@elephant's trunk@|@wrot@
@elevate@|@aræman, geoferian, ræran, stepan, tobædan, upaþenian@
@elevate (oneself)@|@aræman@
@elevated@|@healic, upheah@
@elevation@|@ahafennes, arærnes@
@eleven@|@endleofan@
@eleven-fold@|@endlyfenfeald@
@eleventh@|@endleofta, endlyfta@
@eleventh (weak)@|@endleofoþa@
@eleventhly@|@endlyfte@
@elf@|@ælf@
@elf kingdom@|@ælfrice@
@elfin race@|@ælfcynn@
@elf-shot@|@ofscoten@
@elicit@|@asmeagan@
@eligible@|@acorenlic@
@eliminate@|@aidan?@
@elite troop@|@eoredcyst@
@elk@|@eolh@
@ell@|@eln, eln@
@ell-measure@|@elngemet@
@elm@|@elm@
@elm (wych)@|@wice@
@elm bark@|@elmrind@
@elm tree@|@ulmtreow@
@elocution@|@þylcræft@
@eloquence@|@getyngnes, gewyrdelicnes, gewyrdignes, spræc, wordcræft@
@eloquent@|@cwedol, gespræce, tynge, wordsnotor@
@else@|@elcor, elcora, elles@
@elsewhere@|@elcor, elles hwergen, ellor@
@elsewhither@|@ellor@
@elucidation@|@scirnes@
@elven race@|@ælfcynn@
@elves@|@ylfe@
@elves (pl)@|@ylfe@
@elvish influence@|@ælfsiden@
@Elysian fields@|@scinfeld, sunfeld@
@emaciated@|@gedrycned@
@emancipation@|@freodom, freotgifu@
@emancipator@|@freolsgefa@
@emasculate@|@afyran, tohælan@
@embank@|@bedician@
@embankment@|@eorþbyrig, hwearf@
@embark@|@astægan, scipian@
@embassy@|@sand, sand@
@ember@|@gled, speld, ysl@
@Emberday@|@Ymbren, Ymbrendæg@
@embers@|@æmerge, æmerge@
@Embertide@|@Ymbren@
@embittered@|@biter@
@emblem of victory@|@sigebeacn, sigetacen, sigorbeacen@
@emblematic@|@getacniendlic@
@embody@|@belucan@
@embolden@|@bieldan, byldan, byldan, byldan, frecnian@
@emboldening@|@forþbylding@
@emboss@|@abracian@
@embossed@|@æppled, inheald@
@embossed?@|@cellod@
@embrace@|@beclyppan, beclyppan, beclypping, clypnes, clyppan, clyppan, coss, fæðm, fæðm, fæðman, feng, onfæþmnes, ymbclyppan, ymbfæþmian, ymbfon, ymbspannan@
@embracing@|@clypp, fæðmlic, ymbclypping@
@embroider@|@gebyrdan@
@embroider round@|@ymbcæfian@
@embroiderer@|@byrdistre@
@embroideress@|@byrdicge@
@embroidering@|@byrding@
@embroidery@|@borda, feðercræft@
@embroidery (art of)@|@wyndecræft@
@emerge@|@bewadan@
@emergency@|@gelimp, nied@
@emetic@|@spiwol, wecedrenc@
@emigration@|@utgang@
@eminence@|@foremærnes@
@eminent@|@foremærlic, scinende@
@emit@|@bealcan, forþlætan, gesprintan, gorettan, lætan, wapelian@
@emit a smell@|@æþmian, stincan@
@emit an odor@|@bladesian@
@emit vapor@|@stieman@
@emmet@|@æmette@
@emotion@|@bearm, breostwylm, breostwylm@
@emotional@|@iersigendlic@
@emperor@|@casere, Casere, heahcasere, hildfruma@
@emphatic@|@meagol@
@empire@|@heafodrice, rice, þeodland@
@employ@|@abisgian, abisgian, bisgian, neotan, notian@
@employment@|@notu, nytt@
@empress@|@casern, cwen, þeodcwen@
@emptily@|@oferidyllice@
@emptily chattering@|@felaidelspræc@
@emptiness@|@æmtignes, gemearr, idel, idelnes, lærnes, unnyt, unnytnes@
@empty@|@æmettig, æmettig, æmtian, æmtig, aidlian, geæmetigan, gelær, idel, idelhende, lær, leaslic, nacod, orfeorme, ungereordod, weste@
@empty boasting@|@idelgielp@
@empty flattery@|@leasolecung@
@empty oneself@|@ahnigan@
@empty or false talk@|@leasspellung@
@empty talk@|@leasung@
@empty-handed@|@gelær, idelhende, idelhende@
@emulate@|@efnettan, ellewodian, elnian, gelæcan, onhyrian@
@emulator@|@onhyrgend@
@emulously@|@flitmælum, geflitlice@
@enactment@|@cwide@
@encamp@|@bewician, sittan, wician@
@encase@|@befon@
@enchant@|@begalan, besingan@
@enchanter@|@galdorgalend, ongalend@
@enchantment@|@galdor, malscrung, wiccung@
@enchantress@|@galdricge@
@encircle@|@befæþman, beþringan, bewindan, forgyrdan, gyrdan, ymbgyrdan@
@encl;osure@|@hof@
@enclitic@|@ahyldendlic@
@enclose@|@awerian, bebugan, beclemman, beclingan, beclysan, belacan, belucan, belucan, beteon, betrymman, betynan, bewyrcan, clyppan, forgyrdan, forþylman, fortynan, hegian, lucan, tynan, ymbclyccan, ymblicgan, ymbsellan@
@enclosed homestead@|@worðig@
@enclosed land in a marsh@|@hop@
@enclosed pasture@|@edisc, hamland@
@enclosed space@|@friþgeard@
@enclosed)@|@croft@
@enclosing@|@fæðmlic@
@enclosure@|@beclysung, burg, clus, clustor, clysung, clysung, eodor, geard, geard, gehæg, haga, haga, hamm, hecg, hege, hof, loc, loc, loc, loca, pearroc, scire, teag, tun, tun, ymbfæstnes@
@enclosure for bees@|@ymbhaga@
@enclosure for wild beasts@|@deorfald@
@enclosure of broom@|@bromfæsten@
@enclosure of life@|@ealdorgeard@
@enclosure of teeth@|@toþrima@
@enclosure of the heart@|@hreðerloca@
@enclosure of veins@|@eadorgeard@
@enclosure reached by a stile@|@stigelhamm@
@encompass@|@beclyppan, befaran, befon, belicgan, beþringan, ymbfon, ymbhealdan@
@encounter@|@gemot, gemot, hnitan, hnitan, metan@
@encourage@|@ahierdan, bieldan, bryrdan, byldan, byldan, geanmedan, hierdan, hiertan, hwettan, onbryrdan, onhyrdan, trymian@
@encouragement@|@forþbylding, trymming, trymnes, trymnes@
@encouraging@|@trymmendlic@
@end@|@betynan, betynan, buttuc, ende, ende, endestæf, endeþræst, endian, endian, endung, geendian, geendian, ofergan, offeallan, onwendan, swice, termen@
@end of life@|@endetima@
@end of the world@|@woruldende@
@endear@|@leofian@
@endeavor@|@geornnes, hogung, onginnan, syrwung, tilen, tilian@
@endeavor to bribe@|@ceapian@
@endeavour@|@geornes@
@end-furrow@|@endefurh@
@ending@|@endung, geendung, gemærung@
@endive@|@eofole@
@endless@|@endeleas, ungeendod@
@endow@|@arian, blissian, gegodian, gifian, godian@
@endow with land@|@gelendan@
@endow with life@|@liffæstan@
@endowed@|@eacen, giffæst@
@endowed with life@|@gesawelod@
@endue@|@ymbsellan@
@endurable@|@aræfniendlic, aræfniendlic@
@endurance@|@þolebyrdnes, þroht@
@endure@|@aberan, aheardian, aræfnan, aþolian, awinnan, beran, bidan, dogian, forberan, forþyldian, gedigan, geþolian, geþyldian, læstan, þafian, þolian, þrowian, þrowian, underberan@
@enduring@|@longsum, þreohtig, þrohtig, þrowiendlic@
@enemies@|@gefiend@
@enemy@|@andsaca, eoten, fah, feond, feond, feondsceaða, gehata, geniþla, hatigend, hettend, hettend, hildegiest, laðgeteona, laðgewinna, mansceaða, scyldhata, unwine, wiðersaca, wiðerwinna, winna@
@enemy (ancient)@|@fyrngeflita@
@enemy (deadly)@|@scaða@
@enemy (pernicious)@|@hearmscaða@
@enemy (poisonous)@|@atorscaða@
@enemy's camp@|@fiendwic@
@energetic@|@dædfrom, þancful@
@energetically@|@gebyrdelice@
@energy@|@arodscipe, cafnes@
@enfeeble@|@alefian@
@enfold@|@bewæfan, clynian, inbewindan, inbewindan@
@enforced custom@|@neadgewuna@
@engage@|@geweddian@
@engage in@|@began, geþeodan@
@engage to@|@weddian@
@engender@|@tieman@
@engine@|@netrap, searocræft@
@engine (of war)@|@searu@
@England@|@Angelcynn, Englaland, Englaland@
@English@|@Englisc@
@English (pl)@|@Angle@
@English army@|@fierd@
@English Channel@|@Suþsæ@
@English coin@|@trymes@
@English counselors@|@Angelwitan@
@English in regards to the Danes@|@Cristen@
@English nation@|@Angelþeod@
@English soldier@|@fierdrinc@
@Englishman@|@Engliscman@
@engrave@|@abracian, ceorfan, grafan, writan@
@engraved@|@astemped@
@engraving tool@|@byres@
@engulf@|@geneopan@
@enigma@|@rædelse@
@enjoin@|@bebeodan, gelæran, ongebringan, ongetæcan@
@enjoy@|@beneah, brucan, brucan, brucan, brycian, gebrytsnian, lustfullian, neotan, notian, nyttian@
@enjoy (to the fullest)@|@þurhbrucan@
@enjoy the use of@|@bryttian@
@enjoy thoroughly@|@forwynsumian@
@enjoyable@|@wilsum@
@enjoyment@|@bryce, lustbærnes@
@enjoyment of life@|@gumdream, lifwynn@
@enlarge@|@ætbregdan, geondbrædan, geryman, iecan, mærsian, ryman@
@enlighten@|@gebierhtan, geondlihtan, inlihtan, onlihtan@
@enlightener@|@onlihtend@
@enlightenment@|@onlihting@
@enlisted?@|@fyrdende@
@enliven@|@onspreccan@
@enmity@|@anda, fæhðo, feondraeden, geniþla, gnyrnwracu, niþ, oht, synn, unfriþ, wiðerweardnes, wracu@
@enmity. war@|@nið@
@enormous@|@unmætlic@
@enough@|@genog@
@enough for one free family and servants)@|@hid, higid@
@enrage@|@gebelgan, gramian, gremian, hathiertan, iersian@
@enraged@|@andwraþ, bolgenmod@
@enrich@|@awlencan, gewlencan, godian, stepan, weligian@
@enroll@|@tomearcian@
@enrolled for military service@|@fyrdende@
@enrollment@|@tomearcodnes@
@ensign@|@guþfana, segn@
@enslave@|@agnian, ræpan, þeowian@
@enslaved person@|@geþeowa@
@ensnare@|@befon, begrynian, besierwan, beswican, beswican, gegrinian, screncan@
@ensure@|@genettian@
@enter@|@afæstnian, becuman, bestæppan, incuman, infaran, ingan, ingangan, innian, insteppan@
@enter in@|@inferan@
@enter into@|@ongan@
@enter on rashly@|@ræsan@
@enter upon@|@tredan@
@enterprise@|@anginn, siþ, þing@
@entertain@|@bewenian, reordian@
@entertainer@|@feormend@
@entertainment@|@fyrmþ, gomen, þenest@
@entertainment for travelers@|@cumfeorm@
@entertainment of the king's visitors or of his messengers when riding on his business@|@rædefæsting@
@entice@|@aloccian, ateon, atyhtan, forspanan, loccian, teon, tollian@
@enticement@|@forspenning, onworpennes, swæp, tyhting, wamlust@
@enticer@|@leasuht, spanere, tyhtere, wægnere@
@entire@|@æltæwe, andlang, ansund, full, hal, onwealg@
@entire camel@|@steda@
@entirely@|@æghwæs, anunga, befullan, clæne, clæne, deope, diope, eall, ealles, ealles, eallinga, eallunga, forþearlice, full, fullice, gearwe, samod@
@entirely grey@|@fulhar@
@entirely iron@|@ealliren@
@entirely made of silk@|@eallseolcen@
@entirely naked@|@eallnacod@
@entirely ready@|@eallgearo@
@entirely white@|@eallhwit@
@entitle@|@titelian@
@entitled to eleven-fold compensation@|@endlifangilde@
@entitled to nine-fold compensation@|@nigongylde@
@entitled to six-fold compensation@|@sixgylde@
@entitled to take oath as a king's thane@|@cyningæðe@
@entombment@|@niðerlecgung@
@entrail@|@smeoruþearm, þearm@
@entrails@|@bæcþearm, gesen, gesen, gutt, heortgesida, iesend, innoþ, þumla@
@entrance@|@gecierrednes, getyne, incyme, infær, infæreld, infæreld, ingang, ingang, instæpe, oferslege, onfæreld, ongang, port, tyne@
@entrance fee@|@inlad@
@entranced by@|@oflyst@
@entrance-fee@|@ingang@
@entrap@|@betreppan, sierwan, teldian@
@entreat@|@biddan, gehalsian, gelutan, giernan@
@entreat earnestly@|@healsian@
@entreating@|@frymdig@
@entreaty@|@gecignes, halsung@
@entrenchment@|@set, wigsteall@
@entrust@|@ætfæstan, bebeodan, befæstan, befæstan, betæcan, fæstian, giefan, ontreowan, oþfæstan, sellan@
@entrust to@|@befæstan, befeolan, beþencan@
@entrust?@|@ætfæstnian@
@entry@|@infær@
@entwine@|@bewindan@
@enumerate@|@ariman, gerecenian, nemnan, riman, tellan@
@enumeration@|@tomearcodnes, wordsomnere@
@envelop@|@befealdan, befon, bewindan, fæðman, fæðmian, oferfæðman, wreon@
@envelop with incense@|@besmocian@
@envelope@|@forþylman, ymbfeng@
@enveloping waves@|@lagufæðm@
@envious@|@æfestig, andig, niðig, niþful@
@enviously@|@andiendlice@
@environ@|@ymbswapan@
