@English@|@French@
@curiousness {n}@|@curiosité {f}@
@curium {n} [CHEM]@|@curium {m} [CHIM]@
@curl {n} [anything curved]@|@spirale {f}, volute {f}@
@curl {n} [lock of curled hair]@|@boucle {f} [de cheveux], coiffer, spirale@
@curl {n} [PATHOL‚ BOT]@|@leaf curl {m} [PATHOL‚ BOT]@
@curl up [v intr‚ form a curl]@|@enrouler; s'~ [v pr]@
@curl up [v intr‚lie comfort.]@|@blottir; se ~ [v pr], recroqueviller; se ~ [v pr]@
@curl; leaf ~ virus {n} [BOT]@|@virus {m} du leaf curl [BOT]@
@curler {n}@|@bigoudi {m}@
@curly [adj]@|@bouclé(e) [adj], frisé(e) [adj]@
@curly endive {n}@|@scarole {f}@
@curly-haired [adj]@|@frisé(e) [adj]@
@currant {n} [BOT]@|@groseille {n} [BOT]@
@currant bush {n} [BOT]@|@groseillier {m} [BOT]@
@currency {n}@|@monnaie {f}@
@currency {n}; hard ~ [FIN]@|@devise {f} forte [FIN]@
@current@|@actuel, courant@
@current account@|@compte courant@
@current affairs@|@questions d'actualité@
@current events@|@actualités, l'actualité@
@curriculum {n}@|@programme {m} d'études@
@curriculum vitae {n inv}@|@curriculum vitae {m inv}@
@curry [v tr‚ COOK]@|@curry; ajouter du ~ [CULIN]@
@curry [v tr‚ groom a horse]@|@étriller [v tr‚ panser]@
@curry [v tr‚ treat leather]@|@corroyer [v tr‚ le cuir]@
@curry {n} [COOK]@|@cari {m} [CULIN], carry {m} [CULIN], cary {m} [CULIN], curry {m} [CULIN]@
@curse [v intr‚ swear]@|@jurer [v intr]@
@curse [v tr‚ utter a ~ again]@|@maudire [v tr]@
@curse {n} [malediction]@|@malédiction {f}@
@curse of poverty {n}@|@fléau {m} de la pauvreté@
@curse sth@|@pester contre qqch@
@cursed@|@fichu, maudit@
@cursed with@|@affligé de@
@curses! [interj‚Br. sl]@|@zut ! [interj]@
@cursor {n}@|@curseur {m}@
@cursory [adj]@|@rapide [adj‚ expéditif]@
@curt [adj]@|@brusque [adj], sec(he) [adj]@
@curtail [v tr]@|@écourter [v tr]@
@curtailed@|@réduit@
@curtailment {n}@|@abaissement {m}, réduction {f}@
@curtain {n}@|@rideau {m}@
@curtly [adv]@|@brusquement [adv]@
@curtness {n}@|@sécheresse {f} [froideur]@
@curtsey [v intr]@|@révérence; faire une ~@
@curtsey {n}@|@révérence {f}@
@curtsy [v intr]@|@révérence; faire une ~@
@curtsy {n}@|@révérence@
@curvature@|@courbature@
@curve@|@cintrer, courbe, courber, tournant, virage@
@curve (to)@|@arquer, arrondir, courber, galber, incurver@
@curved [adj]@|@courbe [adj]@
@curvet {n}@|@courbette {f}@
@curving contour {n}@|@galbe {m}@
@cushion {n}@|@coussin {m}@
@cushion of veal {n} [COOK]@|@noix {f} de veau [CULIN]@
@cushy [adj]@|@peinard [adj]@
@cushy job {n}@|@boulot {m} peinard@
@cuss [v intr]@|@blasphémer [v intr], jurer [v intr]@
@cuss {n} [a curse]@|@juron {m}@
@cussedness {n}@|@entêtement {m}@
@custard@|@flan@
@custard tart@|@flan@
@custodian {n}@|@gardien {m}, gardienne {f}@
@custodian trustee@|@curateur tutélaire@
@custody@|@garde@
@custody {n} guardianship]@|@garde {m}@
@custody {n} imprisonment]@|@arrestation {f} [JUR]@
@custom {n} [an usual way]@|@coutume {f} [habitude], habitude {f}@
@custom {n} [COMM]@|@clientèle {f} [COMM]@
@custom {n} [JUR]@|@coutume {f} [JUR], droit {m} coutumier [JUR]@
@custom build [adj phr]@|@commande; fait(e) sur ~, mesure; fait(e) sur ~@
@custom designed [adj phr]@|@commande; fait(e) sur ~@
@custom made [adj phr]@|@hors série [loc prép], mesure; fait(e) sur ~@
@custom; as was his ~@|@habitude; selon son ~@
@customary [adj]@|@accoutumé(e) [adj], habituel(le) [adj]@
@customer@|@client@
@customers@|@clientèle@
@customised [adj]@|@personnalisé(e) [adj]@
@customization@|@personnalisation@
@customize@|@paramétrer, personnaliser@
@customized@|@personnalisé, sur mesure@
@custom-made@|@fait sur mesure@
@customs {npl} [a duty]@|@douane {f} [droit de ~], droit {m} de douane@
@customs {npl} [ADMIN]@|@douane {f} [ADMIN]@
@customs {npl} [at a frontier]@|@douane {f} [siège de la ~]@
@customs {npl} [the usual ways]@|@mœurs {fpl} [habitudes‚ ZOOL]@
@customs duty {n}@|@droits {mpl} de douane@
@customs officer {n}@|@douanier {m}, douanière {f}@
@customs union@|@union douanière@
@cut@|@coupure, faucher@
@cut {n}@|@coupure {f}@
@cut {n} [TEX]@|@coupe {f} [TEX]@
@cut back on@|@revenir à (reproduire)@
@cut capers@|@faire des sottises@
@cut down [v tr‚ a tree]@|@abattre [v tr] un arbre@
@cut down [v tr‚ kill]@|@faucher [v tr‚ tuer]@
@cut down [v tr‚ reduce]@|@abréger [v tr‚ résumer], condenser [v tr‚ résumer]@
@cut down [vtr‚make reductions]@|@amoindrir [v tr]@
@cut glass {n}@|@cristal {m} taillé@
@cut in@|@interrompre, interrompre (quelqu'un)@
@cut in facets@|@taillé à facettes@
@cut in the profits {n}@|@part {f} du gâteau@
@cut into@|@entamer@
@cut it fine (fig)@|@arriver de justesse, compter un peu juste@
@cut it out! [interj]@|@suffit; ça ~ ! [interj]@
@cut it short !@|@soyez bref !@
@cut off@|@amputer, couper, emporter, renvoyer, virer@
@cut off by@|@surpris par@
@cut off date@|@date limite@
@cut off supplies@|@couper les vivres@
@cut off; to feel ~@|@isolé; se sentir ~@
@cut open@|@ouvrir avec un couteau@
@cut out [v tr‚ by cutting]@|@découper [v tr], tailler [v tr]@
@cut out [v tr‚ eleminate]@|@supprimer [v tr]@
@cut out [v tr‚ neckline]@|@échancrer [v tr]@
@cut out for@|@approprié à@
@cut prices {npl}@|@prix {mpl}réduits@
@cut sb off with a shilling@|@déshériter [v tr] qqn@
@cut short@|@avorter, couper court à, raccourcir@
@cut the cackle@|@arrête ton char, trêve de discours@
@cut to the quick [adj phr]@|@piqué(e) au vif [loc adj]@
@cut up [v tr]@|@abaisser [v tr‚ raccourcir], débiter [v tr], segmenter [v tr]@
@cut up about it@|@en être très affecté@
@cut; to ~ a corner@|@corde;prendre un virage à la ~@
@cut; to ~ across the country@|@couper [v tr] à travers champ@
@cut; to ~ and paste [COMPUT]@|@couper-coller [v tr‚ INFORM]@
@cut; to ~ corners (fig)@|@raccourcis; prendre des ~@
@cut; to ~ down on@|@rogner sur [v tr ind]@
@cut; to ~ in front of@|@queue;faire une ~ de poisson à@
@cut; to ~ in half@|@couper [v tr] en deux@
@cut; to ~ into cubes@|@couper [v tr] en dés@
@cut; to ~ into shreds@|@déchiqueter [v tr]@
@cut; to ~ off the power@|@couper [v tr] le courant@
@cut; to ~ out a stop@|@griller [v tr] une étape@
@cut; to ~ sb down to size@|@remettre [v tr] qqn à sa place@
@cut; to ~ sb out@|@supplanter [v tr] qqn@
@cut; to ~ sth away@|@enlever qqch en coupant@
@cut; to ~ the throat of@|@égorger [v tr]@
@cut; to ~ up rough@|@fâcher; se ~ [v pr]@
@cut;to ~ along the dotted line@|@découper selon le pointillé@
@cutaneous [adj]@|@cutané(e) [adj]@
@cutback@|@élimination@
@cute [adj]@|@malin (maligne) [adj]@
@cuticle {n}@|@cuticule {f}@
@cuticle pen@|@repousse peaux, repoussoir@
@cutlass@|@coutelas@
@cutlery@|@coutellerie, couverts@
@cutlet@|@côtelette@
@cut-price@|@au rabais@
@cut-price market@|@braderie@
@cutter@|@coupeur@
@cutter (boat)@|@canot@
@cutthroat [adj]@|@féroce [adj]@
@cutthroat {n} [a murderer]@|@coupe-jarret {m (~~s)}@
@cutthroat razor {n}@|@coupe-choux {m} [rasoir]@
@cutting@|@coupant, coupure, mordant@
@cutting {n} [BOT]@|@bouture {f} [BOT]@
@cutting diamond {n}@|@diamant {m} de vitrier@
@cutting down {n}@|@abattage {m}@
@cutting edge {n}@|@tranchant {m} (d'un couteau)@
@cutting out {n}@|@découpure {f}@
@cutting remark (fig) {n}@|@pique {f}@
@cutting-edge@|@cinglant@
@cuttingly@|@blessant, caustique, mordant@
@cuttlefish {n} [ZOOL]@|@seiche {f} [ZOOL]@
@cyan [adj]@|@cyan [adj]@
@cyan {n} [a color]@|@cyan {m} [couleur]@
@cyanamide {n} [CHEM]@|@cyanamide {m} [CHIM]@
@cyanic acid {n} [CHEM]@|@fulminique; acide {m} ~ [CHIM]@
@cyanide {n} [CHEM]@|@cyanure {m} [CHIM]@
@cyanide; hydrogen ~ {n} [CHEM]@|@cyanhydrique;acide {m} ~[CHIM], prussique; acide {m} ~ [CHIM]@
@cyanobacterium {n (-ria} [BIO]@|@cyanophyte {f} [BIO‚ vx]@
@cyanobacterium {n} [BIO]@|@cyanobactérie {f} [BIO]@
@cyanocobalamin {n} [BIOCH]@|@vitamine {f} B12@
@cyanogen {n} [poisonous gas]@|@cyanogène {m} [gaz toxique]@
@cyanophyte {n (s or -ta} [BIO]@|@algue {f} bleue [BIO‚ vx], cyanophycée {f} [BIO‚ vx]@
@cyanosis {n} [PATHOL]@|@cyanose {f} [PATHOl]@
@cyber@|@cyber@
@cybercafé {n}@|@cybercafé {m}@
@cyberglove {n} [COMPUT]@|@gant {m} sensitif [INFORM]@
@cybernetic [adj]@|@cybernétique [adj]@
@cybernetics {n}@|@cybernétique {f}@
@cyberpunk@|@cyberpunk@
@cybersex {n}@|@amour {m} virtuel, cybersexe {m}@
@cyberspace {n}@|@cyberespace {m}@
@cybrid@|@cybride@
@Cyclades {npl}@|@Cyclades {fpl}@
@cyclamen@|@cyclamen@
@cycle@|@bécane, bicyclette, cycle, vélo@
@cycle track@|@piste cyclable@
@cycle-racing track@|@vélodrome@
@cycling@|@cyclisme@
@cyclist@|@cycliste@
@cyclone@|@cyclone@
@cygnet@|@jeune cygne@
@cylinder {n}@|@cylindre {m}@
@cylinder head {n}@|@culasse {f} [d'un moteur]@
@cylinder head gasket {n}@|@joint {m} de culasse@
@cylindrical [adj]@|@cylindrique [adj]@
@cymbal {n} [MUS]@|@cymbale {f} [MUS]@
@cynic@|@cynique@
@cynical [adj]@|@cynique [adj]@
@cynicism {n}@|@cynisme {m}@
@cypress {n} [BOT]@|@cyprès {m} [BOT]@
@Cyprian [adj‚ see Cypriot]@|@chypriote [adj], cypriote [adj]@
@Cyprian {n} [see Cypriot]@|@Chypriote {m/f}, Cypriote {m/f}@
@Cyprian man {n} [see Cypriot]@|@Chypriote {m}, Cypriote {m}@
@Cyprian woman {n} [s. Cypriot]@|@Chypriote {f}, Cypriote {f}@
@Cypriot [adj]@|@chypriote [adj], cypriote [adj]@
@Cypriot {n}@|@Chypriote {m/f}, Cypriote {m/f}@
@Cypriot man {n}@|@Chypriote {m}, Cypriote {m}@
@Cypriot woman {n}@|@Chypriote {f}, Cypriote {f}@
@Cyprus {n}@|@Chypre; (île {f} de) ~@
@cyst {n} [PATHOL]@|@kyste {m} [PATHOL]@
@cystic [adj‚ gall-bladder]@|@cystique [adj‚ vésicule bil.]@
@cystic [adj‚ rel. to a cyst]@|@kystique [adj]@
@cystic [adj‚ urinary bladder]@|@cystique [adj‚ de la vessie]@
@cystic fibrosis {n} [PATHOL]@|@mucoviscidose {f} [PATHOL]@
@cystitis {n} [PATHOL]@|@cystite {f} [PATHOL]@
@cytomegalovirus {n} [VIRO]@|@cytomégalovirus {m} [VIRO]@
@cytoplasm {n} [CYTO]@|@cytoplasme {m} [CYTO]@
@cytoplasmic [adj‚ CYTO]@|@cytoplasmique [adj‚ CYTO]@
@cytotoxicity {n} [CYTO]@|@cytotoxicité {f}@
@Czech [adj]@|@tchèque [adj]@
@Czech {n}@|@Tchèque {m/f}@
@Czech {n} [language]@|@Kafka; langue {f} de ~, tchèque {m} [Langue], tchèque; langue {f}~@
@Czech language {n}@|@Kafka; langue {f} de ~, tchèque {m} [Langue], tchèque; langue {f}~@
@Czech man {n}@|@Tchèque {m}@
@Czech Republic {n} [Europe]@|@Tchéquie {f} [état européen]@
@Czech woman {n}@|@Tchèque {f}@
@Czechoslovak [adj‚ HIST]@|@tchécoslovaque [adj‚ HIST]@
@Czechoslovak man {n} [HIST]@|@Tchécoslovaque {m} [HIST]@
@Czechoslovakia {n} [HIST]@|@Tchécoslovaquie {f} [HIST]@
@Czechoslovakian {n} [HIST]@|@Tchécoslovaque {m/f} [HIST]@
@Czechoslovakian woman {n}@|@Tchécoslovaque {f} [HIST]@
@D [Am. abbr. of Democrat]@|@démocrates {mpl} [aux E.-U.]@
@D {n} [a Roman numeral‚ 500]@|@D {m} [chiffre romain‚ 500]@
@D {n} [CHEM‚ s. of deuterium]@|@D [CHIM‚ symbole du deutérium]@
@D {n} [MUS]@|@ré {m} [MUS]@
@D {n} [Roman alphabet]@|@D {m} [alphabet latin]@
@D loop {n} [BIOCH]@|@boucle {f} D [BIOCH]@
@D major {n} [MUS]@|@ré {m} majeur [MUS]@
@D minor {n} [MUS]@|@ré {m} mineur [MUS]@
@dab [v tr]@|@tamponner [v tr]@
@dab {n} [ZOOL]@|@limande {f} [ZOOL]@
@dab {n}; a ~ with [a touch]@|@coup {m}; petit ~ de@
@dab {n};a ~ of[a small amount]@|@peu; un petit ~ de@
@dabbing@|@tamponnement (pour essuyer)@
@dabble (to)@|@barboter, boursicoter@
@dabble [v intr]@|@barboter [v intr]@
@dabble in@|@s'occuper un peu de@
@dabble in politics@|@se mêler de politique@
@dabbler {n}@|@amateur {m/f} [dilettante], touche-à-tout {m}@
@dabbler {n} [derog.]@|@dilettante {m/f} [péj]@
@dace@|@dard@
@dachshund@|@teckel@
@dad {n} [colloq.]@|@papa {m}@
@daddy {n} [colloq.]@|@papa {m}@
@daddy; to have a ~ of headache@|@sacré; avoir un ~ mal de tête@
@daddy-longlegs {n} [ZOOL]@|@tipule {f} [ZOOL‚ Insecte]@
@daddy-longlegs {n} [ZOOL‚ Am.]@|@faucheux {m} [ZOOL‚ Arachnide]@
@daddy's boy {n} [offens.]@|@fils {m} à papa [péj]@
@daemon {n}@|@démon {m}@
@daffodil {n} [BOT]@|@narcisse {m} [BOT]@
@daffy [adj]@|@idiot(e) [adj], timbré(e) [adj]@
@daft [adj]@|@étourdi(e) [adj]@
@dagger {n}@|@dague {f}, poignard {m}@
@daggers; at ~ drawn [adj phr]@|@couteaux; à ~ tirés [loc adj]@
@daggers; to be at ~ drawn@|@couteaux; être à ~ tirés, fâchés; être ~ à mort@
@daguerreotype {n} [PHOTO]@|@daguerréotype {m} [PHOTO]@
@daguerreotype plate {n}[PHOTO]@|@plaque {f} daguerrienne[PHOTO]@
@dahlia@|@dahlia@
@daily@|@journalier, quotidien@
@daily grind {n}@|@train-train {m inv} quotidien@
@daily help@|@femme de ménage@
@daily paper@|@journal, quotidien@
@dainties {npl}@|@gourmandises {fpl}, mets {mpl} délicats@
@daintily [adv]@|@délicatement [adv]@
@daintiness {n}@|@délicatesse {f}@
@dainty@|@aimable, délicat@
@dairy@|@laiterie, laitier@
@dairy farm@|@ferme laitière@
@dairy farmer@|@producteur laitier@
@dairy farming@|@industrie laitière@
@dairy produce@|@laitage, produits laitiers@
@dairying@|@industrie laitière@
@dairyman@|@crémier, laitier@
@dais@|@dais@
@daisy {n} [BOT]@|@pâquerette {f} [BOT]@
@dale@|@vallée@
@dalliance@|@badinage@
@dally [v intr]@|@lambiner [v intr], tarder [v intr]@
@dally; don't ~@|@traînez; ne ~ pas@
@Dalmatia {n}@|@Dalmatie {f}@
@Dalmatian [adj]@|@dalmatien(ne) [adj]@
@Dalmatian {n}@|@Dalmatien {m}, Dalmatienne {f}@
@dam@|@barrage, digue@
@dam up@|@endiguer@
@damage [v tr]@|@détériorer [v tr], endommager [v tr]@
@damage {n} [destruction]@|@dégradation {f}, dommage {m} [dégâts]@
@damage {n} [harm]@|@dommage {m} [préjudice], préjudice {m}@
@damage {n} [MAR]@|@avarie {f} [MAR]@
@damage in transit@|@avaries en cours de route@
@damaged@|@endommagé@
@damaged; to get ~@|@abîmer; s'~ [v pr], abimer; s'~ [v pr‚ RO], dégrader; se ~ [v pr]@
@damages (jur)@|@dommages et intérêts@
@damages {npl} [JUR]@|@astreinte {f} [JUR], dommages-intérêts {mpl} [JUR], dommages et intérêts [JUR]@
@damaging [adj]@|@néfaste [adj], préjudiciable [adj]@
@Damascus@|@Damas@
@dame {n}@|@demoiselle {f} noble@
@damn@|@condamner, damner@
@damnation {n}@|@damnation {f}@
@damned@|@sacré (maudit), salement@
@damned [adj]@|@damné(e) [adj], sacré(e) [adj‚ maudit]@
@damned soul@|@maudit@
@damned; well‚ I'm ~! [interj]@|@colon; ben‚ mon ~ ! [interj]@
@damning [adj]@|@accablant(e) [adj], rédhibitoire [adj]@
@damning evidence {n}@|@preuve {f} accablante@
@Damocles@|@Damoclès@
@damp@|@humecter, humidité, moite, moiteur@
@damp sb's spirits@|@décourager qqn@
@dampen [v tr]@|@abreuver [v tr‚ imbiber], humecter [v tr]@
@dampness {n}@|@humidité {f}@
@damp-proof@|@imperméable@
@damp-spotted@|@piqué@
@damson {n} [BOT]@|@prune {f} de Damas@
@dance@|@bal, danse, danser@
@dance attendance on sb@|@être aux petits soins pour qqn@
@dance hall@|@bal, dancing@
@dance on points@|@faire des pointes@
@dance routine {n}@|@numéro {m} de danse@
@dancer {n}@|@danseur {m}, danseuse {f}@
@dancing {n}@|@danse {f} [art]@
@dandelion {n} [BOT]@|@pissenlit {m} [BOT]@
@dandle@|@bercer@
@dandruff@|@pellicule@
@dandy@|@dandy@
@Dane {n}@|@Danois {m}, Danoise {f}@
@danger {n}@|@danger {m}, péril {m}@
@danger area@|@zone dangereuse@
@danger mark@|@cote d'alerte@
@danger of fire@|@risque d'incendie@
@danger signal@|@signal d'alarme@
@dangerous [adj]@|@dangereux (-euse) [adj], redoutable [adj]@
@dangerously [adv]@|@dangereusement [adv]@
@dangle@|@pendiller, pendre, suspendre@
@dangle (fig)@|@faire miroiter (fig)@
@dangling [adv phr]@|@suspens; en ~ [loc adv]@
@Danish [adj]@|@danois(e) [adj]@
@Danish {n} [language]@|@danois {m} [langue]@
@Danish pastry@|@feuilleté fourré@
@dank@|@humide, moisi, moite@
@Danube@|@Danube@
@dapper@|@chic@
@dapple@|@tacheter@
@dappled@|@pommelé@
@dare [v tr‚ venture]@|@aventurer [v tr], oser [v tr]@
@dare {n} [challenge]@|@défi {m}@
@dare to@|@avoir l'audace de@
@dare to [v tr‚ defy‚ + inf.]@|@défier [v tr]@
@dare to fight@|@oser attaquer@
@dare; I ~ say@|@doute; sans ~ [loc adv]@
@dare; I ~ you ! [interj]@|@chiche ! [interj]@
@daredevil {n}@|@casse-cou {m inv}@
@daring [adj]@|@hardi(e) [adj]@
@daring act@|@bravade@
@dark@|@foncé, noir, sombre@
@dark (hair)@|@brun (cheveux)@
@Dark Ages {n} [HIST]@|@Moyen Âge; haut ~ {m} [HIST]@
@dark red@|@grenat@
@dark room (phot)@|@chambre noire (phot)@
@dark; to grow ~@|@obscurcir; s'~ [v pr]@
@darken@|@assombrir, foncer@
@darkish@|@noirâtre@
@darkly@|@sinistrement, tristement@
@darkness {n}@|@obscurité {f}, pénombre {f}, ténèbres {mpl}@
@darkness; when ~ is falling@|@loup; entre chien et ~@
@darkroom@|@chambre noire@
@dark-room@|@cabinet noir@
@darling {n}@|@chéri {m}, chérie {f}@
@darling sin {n}@|@péché {m} mignon@
@darn@|@repriser@
@darning {n} [TEX]@|@reprise {f} [TEX]@
@darning needle@|@aiguille à repriser@
@dart@|@dard, fléchette@
@dart (to)@|@darder, s'élancer@
@dart in@|@entrer comme une flèche@
@dash (verbe)@|@anéantir, jeter violemment, se heurter@
@dash [v intr‚rush hastily]@|@hâter; se [v pr]@
@dash [v tr‚ rush hastily]@|@emmener [v tr] d'urgence@
@dash [v tr‚frustrate]@|@décourager [v tr]@
@dash [v tr‚strike violently]@|@heurter [v tr] violemment@
@dash {n} [GRAM]@|@tiret {m} [GRAM], trait {m} d'union [GRAM]@
@dash {n} [in full dashboard]@|@tableau {m} de bord@
@dash {n} [in Morse code]@|@trait {m} [code Morse]@
@dash {n} [run]@|@course {f} à toute vitesse@
@dash {n} [sprinting-race‚ Am.]@|@sprint {m}@
@dash along@|@filer à fond de train@
@dash at@|@se précipiter sur@
@dash away@|@partir en coup de vent, s'éloigner à toute allure@
@dash in@|@entrer en coup de vent@
@dash off@|@filer@
@dash out@|@sortir en coup de vent@
@dash to pieces@|@casser en mille morceaux, fracasser@
@dash towards [v intr]@|@ruer; se ~ vers [v pr]@
@dashboard@|@tableau de bord@
@dash-board@|@lambris, panneau@
@dash-board light@|@lampe de bord@
@dashed to pieces@|@se briser@
@dashing@|@qui a grande allure@
@dashingly@|@avec fougue@
@dastardly@|@sauvagement et brutalement@
@data@|@données@
@data density@|@densité de stockage@
@data dictionary@|@dictionnaire de données@
@data element@|@élément de données@
@data entry@|@saisie (de données)@
@data integrity@|@intégrité des données@
@data loss@|@perte de données@
@data packet@|@paquet de données@
@data processing@|@informatique, traitement de données@
@data processor@|@unité de traitement de données@
@data protection@|@protection des données@
@data segment@|@segment de données@
@data transfer@|@transfert de données@
@databank@|@banque de données@
@database@|@base de données@
@data-processing@|@informatique@
@dataset@|@fichier de données@
@datasheet@|@monographie@
@datasuit@|@combinaison de données@
@date@|@date, dater, datte@
@date {n} BOT]@|@datte {f} [BOT]@
@date back to@|@remonter à@
@date palm@|@dattier@
@date; at he stated ~@|@heure; à l'~ dite@
@date; at some future ~@|@date; à une ~ ultérieure@
@date; to ~@|@jour; à ce ~@
@date; up to ~ [adj phr]@|@moderne [adj], page; à la ~ [loc adj]@
@dated@|@démodé@
@date-line@|@ligne de changement de date@
@dating@|@datation@
@datum@|@donnée@
@daub@|@barbouiller, enduire@
@daub with paint@|@peinturlurer@
@daughter@|@fille@
@daughter-in-law {n (~s~~)}@|@belle-fille {f (~s~s)}, bru {f}@
@daunt@|@effrayer, intimider@
@daunted by the idea of@|@effrayé à l'idée de@
@daunted;to be ~ by the idea of@|@effrayé(e); être ~ à l'idée de@
@daunting@|@décourageant, intimidant@
@dauntless [adj]@|@intrépide [adj]@
@dauntlessly [adv]@|@intrépidité; avec ~ [adv]@
@dauphin {n} [HIST]@|@dauphin {m} [HIST], dauphine {f} [HIST]@
@davenport@|@canapé@
@Davis Strait@|@détroit Davis@
@dawdle@|@lambiner, traîner@
@dawdler@|@traînard@
@dawn@|@aurore, poindre@
@dawn is breaking@|@le jour se lève@
@day@|@jour, journée@
@day after@|@lendemain@
@day before (the)@|@veille (la)@
@day boarder {n}@|@demi-pensionnaire {m/f (~~s)}@
@day by day@|@jour après jour@
@day in and day out [adv phr]@|@journée; à longueur de ~@
@day in day out@|@jour après jour@
@day labourer@|@ouvrier à la journée@
@day nursery@|@crèche, pouponnière@
@Day of Atonement@|@Fête du Grand Pardon@
@day of doom (the)@|@jugement dernier (le)@
@day off@|@jour de congé, jour de repos, journée de repos@
@day pupil@|@externe (SCOL)@
@day shift@|@équipe de jour@
@day to day@|@vie quotidienne@
@day trip@|@excursion@
@day; in those ~s@|@temps; en ce ~-là@
@day; on that ~@|@jour; ce ~-là@
@day; the ~ after tomorrow@|@après-demain [adv]@
@day; the ~ before yesterday@|@avant-hier [adv]@
@day; to have a ~ out@|@journée; partir pour la ~@
@daybed {n}@|@canapé-lit {m (~s~s)}@
@day-blind [adj]@|@nyctalope [adj]@
@daybreak@|@aube, aurore, point du jour@
@day-care center {n} [Am.]@|@crèche {f} [garderie]@
@day-care centre {n}@|@crèche {f} [garderie]@
@daydream@|@être dans les nuages, rêverie, songer, songer à@
@daydreamer@|@rêvasseur@
@day-for-night@|@nuit américaine (audiovisuel)@
@daylight@|@lumière du jour@
@daylight; by ~ [adv phr]@|@jour; au ~ [loc adv], jour; de ~ [loc adv]@
@day-nursery@|@crèche, garderie, pouponnière@
@day-pupil {n}@|@externe {m} [élève]@
@days; two ~ before@|@avant-veille {f (~~s)}@
@day-school@|@externat@
@daytime@|@jour, journée@
@day-to-day [adj]@|@journalier (-ière) [adj], quotidien(ne) [adj]@
@day-to-day credit {n}@|@argent {m} au jour le jour@
@day-to-day rate {n}@|@taux {m} au jour le jour@
@daze@|@étourdir@
@daze; in a ~ [adj phr]@|@stupéfait(e) [adj]@
@dazzle@|@aveugler, éblouir, éblouissement@
@dazzle (to)@|@éblouir@
@dazzling@|@aveuglément, éblouissant@
@DBMS (computers)@|@SGBD (Informatique)@
@DC@|@courant continu@
@D-day@|@jour J@
@de facto situation@|@situation de fait@
@de luxe@|@de luxe@
@deacon {n}@|@diacre {m}@
@deaconess {n}@|@diaconesse {n}@
@deactivate [v tr]@|@désactiver [v tr]@
@deactivation {n}@|@désactivation {f}@
@dead [adj‚ extremely tired]@|@crevé(e) [adj‚ exténué], mort(e) [adj‚ exténué]@
@dead [adj‚ no longer alive]@|@décédé(e) [adj], défunt(e) [adj], mort(e) [adj]@
@dead ahead@|@droit devant@
@dead angle {n}@|@angle {m} mort [tir]@
@dead beat; to be ~@|@rotules; être sur les ~@
@dead body; over my ~! [interj]@|@question; pas ~ ! [interj]@
@dead boring@|@emmerdant (vulg.)@
@dead calm@|@calme plat (mer)@
@dead cell {n}@|@plat; pile {f} à ~@
@dead center {n} [Am.]@|@point {m} mort@
@dead centre {n}@|@point {m} mort@
@dead centre {n} [exact centre]@|@plein {m} milieu@
@dead cert {n}@|@affaire {f} sûre, certitude {f} absolue@
@dead drunk@|@ivre mort@
@dead end {n}@|@cul-de-sac {m (~s~~)}, impasse {f}, rue {f} sans issue@
@dead hatred@|@haine mortelle@
@dead load@|@poids mort@
@dead loss@|@perte sèche@
@dead march {n} [MUS]@|@marche {f} funèbre [MUS]@
@dead marine (fm.)@|@bouteille vide@
@dead on time [adv phr]@|@minute; à la ~ [loc adv]@
@dead or alive [adj phr]@|@mort ou vif [loc adj]@
@dead period@|@période d'inactivité@
@dead set against@|@complètement opposé à@
@dead silence@|@silence de mort@
@dead slow (aut)@|@aller au pas (aut)@
@dead tired@|@crevé, fourbu@
@dead weight@|@poids mort@
@dead; as ~ as a door-nail@|@mort(e) et enterré(e)[loc adj]@
@dead; at ~ of night@|@profond; au plus ~ de la nuit@
@dead; to be ~ last@|@choux; finir dans les ~@
@dead; to be ~ set against@|@opposer; s'~ absolument à@
@dead; to be ~ to the world@|@dormir [v intr] comme un loir@
@dead; to go ~@|@engourdir; s'~ [v pr]@
@dead-and-alive hole {n}@|@trou {m} perdu@
@dead-beat [adj]@|@fourbu(e) [adj]@
@deaden@|@amortir, atténuer, engourdir, étouffer@
@deaden (senses)@|@émoussé (sens), émousser (sens)@
@dead-end street {n}@|@cul-de-sac {m (~s~~)}@
@deadline {n}@|@date {f} limite, terme {m} [date limite]@
@deadline; absolute ~ {n}@|@délai {m} impératif@
@deadliness {n}@|@ennui {f} mortel@
@deadlock {n}@|@impasse {f}@
@deadly@|@meurtrier, mortel@
@deadly earnest@|@tout à fait sérieux@
@deadly fear@|@effroi@
@deadly nightshade@|@belladone@
@deadly sin@|@péché mortel@
@dead-nettle@|@lamier@
@dead-pan@|@pince sans rire@
@deadpan [adj]@|@figé(e) [adj], pince-sans-rire [adj inv]@
@deadpan [adv]@|@figé; d'un air ~ [loc adv]@
@deadpan humour@|@humour pince sans rire@
@deadwood {n}@|@bois {m} mort@
@deaf [adj]@|@sourd(e) [adj]@
@deaf [v intr]; to be ~@|@sourd; être ~@
@deaf mute {n}@|@sourd-muet {m (~s~s)}, sourde-muette {f (~s~s)}@
@deaf; as ~ as a post@|@sourd comme un pot@
@deaf-aid@|@appareil acoustique@
@deaf-and-dumb [adj]@|@sourd(e)-muet(te) [adj]@
@deafen@|@assourdir, rendre sourd@
@deafening@|@assourdissant, fracassant (bruit)@
