@English@|@Romani@
@The Spiro who is the son of Tinha@|@O Spiro le tinshasko shav@
@the violin bow@|@balánokosht@
@the ways of a mumper@|@mumpli (1)@
@theft@|@c'oribe, choribe@
@there@|@adoi@
@these@|@coaver@
@thick pancakes stuffed with small pieces of meat@|@bokoli@
@thick quilts@|@perina@
@thief@|@choro@
@things@|@kola@
@think@|@mislinel@
@thirty@|@trinanda, trindesh@
@This song was offered as a gift to worthy men@|@Pachiv tumenge Romale@
@thousand@|@déshshel@
@three@|@dwin, trin@
@three spirits@|@trito ursitori@
@Tinners@|@Costorari@
@to@|@ki@
@to arrest@|@luller@
@to be deported@|@bitcheno pawdel@
@to beg@|@mong, mung@
@to bite@|@dan@
@to break@|@pogger@
@to buy@|@kin@
@to catch@|@lel@
@to come@|@'vel, 'wel, av, avel, jel@
@to cry@|@aruvinhar@
@to cry to weep@|@rove, ruv@
@to cut@|@chin@
@to dress@|@urdar@
@to drink@|@pee, peeve@
@to eat@|@haw@
@to enquire@|@putch, putcha@
@to fight@|@kor@
@to find@|@laster@
@to forge metal@|@chokesarav@
@to gather@|@ked, ketter@
@to give@|@dal, del@
@to go@|@jaul, shab, shav, sherp, shev@
@To go about the village ie to beg@|@Te phirav pa-o gav@
@to go away@|@jalar@
@to hang@|@nash@
@to happen@|@wel@
@to hear@|@shoon@
@to hide@|@clank, gav, pug@
@to hold@|@tool@
@to honour@|@barearav@
@to keep@|@estardar@
@to know@|@djan-@
@to love@|@kam@
@to make@|@kair@
@to make or mend@|@fake@
@to marry@|@remedicinar, rummer@
@to meddle@|@hamishagos@
@to obey@|@dav pakiv, pakiv@
@to pay@|@paguicerdar, pester@
@to play@|@kel@
@to pull@|@tarder@
@to resemble@|@sim@
@to rob@|@churdar@
@to run@|@praster@
@to see@|@dik, dikh-@
@to sell@|@bickin@
@to shoot@|@splogger@
@to shut@|@kliss@
@to sing@|@chaunt, chir@
@to sleep@|@sov, sov-, suvinhar@
@to speak@|@pen@
@to spy out the land@|@múshgaying@
@to stay@|@atch, hatch@
@to steal@|@c'or, chor, chor-, chorav@
@to stop@|@'chav@
@to talk@|@rokker@
@to tell@|@pooker@
@to tell fortunes@|@drukker, dukker@
@to throw@|@ding, wooshter@
@to transport@|@bitcher@
@To try to jump over your own shadow@|@Te na khuchos perdal cho ushal@
@to understand@|@jin@
@to walk@|@ped@
@to your health@|@sastimos@
@toad@|@dacker@
@tobacco@|@foggus, toov, tuv@
@tomb@|@grob@
@tongs@|@yogéstowásto@
@tongue@|@cheeb, chib@
@tooth@|@dand, dant@
@topboots@|@skorni@
@town@|@foros@
@traditional local leader@|@bulibasha@
@trail of signs on the road@|@vurma@
@transported@|@bítchado pardál@
@trap@|@klíssiméngero@
@travel@|@misli@
@traveller without any Romany blood@|@hedgecrawler, hedgemumper, mumper, mumpli@
@tree@|@ruk, rukker@
@trial to settle disputes@|@kris romani@
@tribe@|@r`asa@
@trolley@|@shóllivárdo, sólivárdo@
@trouble@|@bàjo@
@trousers@|@rákonis, twilers@
@trout@|@muréngimátchi, orélla@
@true@|@ta'co, ta`co, tacho@
@truth@|@chachimos, her'y, ta'ciben, tachiben, táchiben@
@Turkey@|@tutka@
@turnip@|@konáfni, kraftni@
@twin@|@binak@
@two@|@dui, yai@
@two-wheeled light cart@|@taliga@
@type of mouth music@|@bol@
@uncle@|@kak, kako, kokko, nano@
@unclean@|@magherdo, marime@
@unclean status@|@marim`e, moxado, pale`cido@
@understand@|@shala@
@unity@|@yekhipe@
@unmarried gypsy male@|@shav@
@unpleasant@|@narkri@
@until@|@bisko@
@upon@|@'prey, opréy@
@urinating@|@xin@
@vagina@|@mish@
@varieties of melodies in gypsy music@|@glasso, mode@
@vegetables@|@chitries@
@very good@|@for'shava@
@very much@|@dhon@
@very sweet@|@but guli@
@vinegar@|@chote@
@viola@|@bari lavuta@
@violin@|@bosh, lavuta@
@violinist@|@boshoméngro@
@viper@|@drabsap@
@vision poet@|@filel, filidh@
@voice@|@glas@
@waggon@|@vord'on@
@wagon@|@vurdon@
@waist@|@mashakar@
@walking@|@phirindor@
@warm@|@tato@
@was@|@hin@
@water@|@pa-ni-, pai, pan`i, pani, panin, parni, pauni, staven@
@water spirit@|@nivasi@
@water wagtail@|@rómanichírilo@
@watercress@|@pánishók@
@wax@|@mom@
@wealth@|@bestipen@
@weary?@|@Chindilan?@
@wedding@|@abjàv@
@wedding arrangements@|@tumnimos@
@Weighers@|@Kantarai@
@what@|@so@
@What are you doing?@|@so keres?@
@What's your name?@|@Sar ti to alav?@
@wheel@|@boler@
@wheel of vehicle@|@hero@
@when@|@kana@
@When you're given eat when you are beaten run away@|@Te den xa te maren de-nash@
@where@|@kaj@
@where is my room?@|@Kai munrhi soba?@
@Where is my room?@|@Karingi muri soba?@
@Where is the bar?@|@Kai o virto?, karingi e kercima?@
@Where is the beach?@|@Kai e moria?, Karingi e móra?@
@Where the wagon goes a trail is left@|@Kai zhal o vurdon vurma mekela@
@wherever@|@varek'ai, varek`ai, varekai@
@Which Spiro?@|@Savo Spiro@
@whip@|@chooper@
@whiskey@|@poteen@
@Whitewashers@|@Chivute@
@whither@|@kare, karig, karin, karing@
@who@|@kon@
@Who?@|@kon?@
@Whose are you?@|@Kaski san?@
@why@|@soske@
@wicked@|@mi`zak, mizhak@
@widowed@|@mirinhorôn@
@wife@|@manishie, mollisher, monisha, romni@
@wild goose of Romani legend@|@vadni ratsa@
@wildcat@|@pretera@
@will be@|@hum@
@will-o'-the-wisp@|@mulésko dud@
@wind@|@barban, baval, bavol, dest@
@window@|@glaze, glazer, glazey@
@Wish luck and good health@|@Baxt hai sastimos tiri patragi@
@witch@|@bun, chovexani, choviar, chovihani, chóvihánni@
@within@|@'drey, adrey@
@Without wood the fire would die@|@Bi kashtesko merel i yag@
@wolf@|@ruv, vyusher@
@woman@|@joovi, mort, runin@
@women@|@juvel, juvli@
@wood@|@kascht, kasht, kosh, kosht@
@wool@|@po`s`um, poshum@
@woollen@|@poshumésko@
@work@|@booti@
@write@|@chin@
@yes@|@avra, avralie, hai, va@
@Yodjo@|@Yodjo la Mimako Zhamutro@
@you@|@tooti, tu, tu-, tutóoti, tuv'am@
@young@|@tarno, tauni, tauno, tern'o@
@young girl@|@tehara@
@young ox@|@yungxo@
@young woman@|@chai@
@younger@|@tarned'er, tarned`er, tarneder@

