@English@|@Naskapi@
@dance: he/she organizes a ~s@|@niimiiwaaw (vai)@
@dance: there is a ~@|@niiminaanuuw (vai-uu imp)@
@dancer: topless ~@|@kaamusaaskitaasimuut (nap)@
@dangerous (violent@|@aahkwaataaihtaakusuw (vai-i)@
@dangerous because of his/her actions: he/she is ~@|@kustaataaihtaakusuw (vai-i)@
@dangerous: he/she looks ~@|@aahkwaasinaakusuw (vai-i)@
@dangerous: he/she thinks it is ~@|@aahkwaataaihtim (vti)@
@dangerous: it is ~@|@aahkwaataaihtaakun (vii)@
@dangerous: it is very ~@|@kuspinaatikun (vii)@
@dangerous: it looks ~@|@aahkwaasinaakun (vii)@
@dangerous: it seems ~@|@kustaataaihtaakun (vii)@
@dark day: it is a ~@|@achikaastaayaaw (vii)@
@dark: it goes ~@|@ukaastaapiyuw (vii-i)@
@dark: it turns ~@|@ukaastaapiyuw (vii-i)@
@daughter: a ~@|@utaanisimaaw (na)@
@daughter: he/she has a ~@|@utaanisuw (vai-i)@
@daughter: his/her ~@|@utaanisa (nad)@
@daughter: she is a ~@|@utaanisimaauw (vai-u)@
@daughter-in-law@|@unaahaakiniskwaamaaw (na)@
@daughter-in-law: he/she has her as a ~@|@unaahaakiniskwaamimaauw(vai-u)@
@daughter-in-law: his/her ~@|@unaahaakiniskwaama (nad)@
@Davis Inlet@|@uchimaasiiw (ni)@
@dawn: it is ~@|@waapin (vii)@
@dawn: it is a misty ~@|@kiskuunaapin (vii)@
@dawn: it is a nice ~@|@miyuwaapin (vii)@
@dawn: it is a pretty ~@|@miyuwaapin (vii)@
@dawn: it is a red ~@|@miihkwaapin (vii)@
@day@|@chiisikw (ni)@
@day after tomorrow@|@usiwaapaachaa (vii cj)@
@day before yesterday@|@usitaakusiich (p)@
@day shift: the ~@|@chiisikaautuuschaaw (vai)@
@day star@|@chiisikaauchaakitaahkw (na)@
@day: during the ~@|@maakwaachiisikaaw (vii)@
@day: it is ~@|@chiisikaaw (vii)@
@daybreak: it is ~@|@paahtaapin (vii)@
@days: it is many ~@|@miihchaatuchiisikaawa (vii pl)@
@deadfall trap@|@mistikuunaaikin (ni)@
@deadfall trap (an.): it is caught in a ~@|@tikwaaskuwaaw (vai)@
@deaf: he/she is ~@|@chipuuhtuuchaaw (vai)@
@deal with him/her/it only (an.): he/she ~s@|@paaikuuhkuwaaw (vta)@
@death@|@nipuun (ni)@
@debone it (an.): he/she ~s@|@minikinaaswaaw (vta)@
@debone it: he/she ~@|@minikinaasim (vti)@
@debts to him/her: he/she pays his/her ~@|@piikusinaamuwaaw (vta)@
@debts: he/she pays his/her ~@|@piikusinaaichaaw (vai)@
@decapitate it (an.): he/she ~s@|@chimistikwaanaaswaaw (vta)@
@December (lit feast month)@|@mikusaan-piisim (na-w)@
@decide about him/her: he/she ~s@|@wiiyaaimaaw (vta)@
@decide about it: he/she ~s@|@wiyaaihtim (vti)@
@decide for himself/herself: he/she ~s@|@wiyaaihtimaasuw (vai-u)@
@decoy: duck ~@|@siisiipiihkaan (na)@
@decoy: goose ~@|@nischiihkaan (na)@
@decrease by hand (an.): he/she ~s@|@achuunaaw (vta)@
@decrease by hand: he/she ~@|@achuunim (vti)@
@decrease it by pouring/tearing (an.): he/she ~s@|@achuupitaaw (vta)@
@decrease it by pouring/tearing: he/she ~s@|@achuupitim (vti)@
@decrease it by tool: he/she ~s@|@achuuwaaham (vti)@
@decrease it: he/she ~s\@|@achuuwiihtaaw (vai+o)@
@decrease: he/she ~s@|@achuuwaahwaaw (vta)@
@decrease: it ~s@|@achuupiyuw (vai/ii-i)@
@deep lake: it's a ~@|@timikimaaw (vii)@
@deep snow: it is ~@|@timikuunikaaw (vii)@
@deep water: it is ~@|@timiiw (vii)@
@defeat him/her by hand: he/she ~s@|@saakuutinaaw (vta)@
@defeat him/her by thought: he/she ~s@|@saakutaaimaaw (vta)@
@defeat him/her: he/she ~s@|@saakutaahwaaw (vta)@
@defeat it by hand: he/she ~s@|@saakuutinim (vti)@
@defeat it by thought: he/she ~s@|@saakutaaihtim (vti)@
@defeat it: he/she ~s@|@saakutaaham (vti)@
@defecate in his/her pants: he/she ~s@|@maamiistaahkusuw (vai-i r)@
@defecate involuntarily (an.): he/she/it ~s@|@miichipiyuw (vai-i)@
@defecate: he/s ~s@|@miisiiw (vai)@
@defend him/her: he/she ~s@|@chispaawaataaw (vta)@
@defend himself/herself: he/she ~s@|@chispaawaatiisuw (vai-u)@
@defend his/her child: he/she ~s@|@chispaawaausuw (vai-u)@
@deficient: he/she makes him/her ~@|@nuuhtaapiyaahaaw (vta)@
@deficient: he/she makes it ~@|@nuuhtaapiihtaaw (vai+o)@
@deflate (tire): it ~s@|@yuupiyuw (vii-i)@
@deflate it: he/s ~@|@yuuchaanim (vti)@
@deformed (an.@|@maaskaachisuw (vai-i), maaskaapaachisuw (vai-i), maaskaapischisuw (vai-i)@
@deformed (sheet-like): it is ~@|@maaskaakin (vii)@
@deformed (stick-like): it is ~@|@maaskaaskun (vii)@
@deformed (stone@|@maaskaapiskaaw (vii)@
@deformed (string-like): it is ~@|@maaskaapaakin (vii)@
@deformed leg: he/she has a ~@|@maaschikaataaw (vai)@
@deformity (people only): it has a ~@|@maaskin (vii)@
@dejected: he/she is ~@|@kusikumaahchiyuuw (vai-uu), maakwaaimaaw (vai)@
@den: animal@|@waahtikw (ni)@
@dense forest: it is a ~@|@sikaaskwaayaaw (vii)@
@dense liquid: it is ~@|@piiyaakwaakimisiiw (vai), piiyaakwaakimuw (vii-i)@
@dense: it boils ~@|@piiyaakwaachuusuw (vai-u), piiyaakwaachuwaahtaaw (vii)@
@dense: it is ~@|@piiyaakusiiw (vai), piiyaakwaaw (vii)@
@dense: it's ~@|@piikuwaayaaw (vii)@
@denser from sitting@|@piiyaakustaaw (vii)@
@denser: he/she makes it ~@|@piiyaakuuhtaaw (vai+o)@
@dentist@|@kaaminaapitaapisuwaat (nap)@
@depart: he/she ~s@|@maachiiw (vai)@
@depressed: he/she is ~@|@kusikumaahchiyuuw  (vai-uu)@
@derided: he/she is ~@|@maayaaihtaakusuw  (vai-i)@
@descend: he/she ~s@|@yaasiiw (vai)@
@descend: he/she/it ~s@|@niisaahtuwaapiyuw (vai/ii-i)@
@deserted@|@mwaastaasinaakun (vii)@
@deserted camping ground@|@mitikwaahp (ni)@
@desirable: he/she is ~@|@muustaanaaihtaakusuw (vai-i), nituwaaihtaakusuw (vai-i)@
@desirable: it is ~@|@muustaanaaihtaakun (vii), nituwaaihtaakun (vii)@
@desire it: he/she ~s@|@muustaanaaihtim (vti)@
@despiser@|@kaamaayaaichaat (nap)@
@destitute: he/she is ~@|@chistimaatisiiw (vai)@
@destroy him/her by what he/she says: he/she ~s@|@nisunaachimuwaaw (vta)@
@destroy him/her/it: he/she ~s@|@nisunaachiihaaw (vta)@
@destroy himself/h-self through his/her way of life@|@nisunaachiiw (vai)@
@destroy it (an.): he/she ~s@|@nisunaachaahaaw (vta)@
@destroy it: he/she ~s@|@nisunaachiihtaaw (vai+o)@
@destroyed (on his/her own): he/she is ~@|@unaachiyuuw (vai-uu)@
@destroyed: it is ~@|@uniihtin (vii)@
@destroyer: he/she is a ~@|@nisunaachiihiiwaaw (vai)@
@destruction@|@nisunaachiihiiwaaun (ni)@
@detaches: it ~@|@minipiyuw (vai/ii-i)@
@detain him/her (by word): he/she ~s@|@chiisaachimaaw (vta)@
@detain: he/she ~s@|@maamaahchikunaaw (vta r)@
@detained by bad weather@|@michichiisikinisuw (vai-i)@
@detergent@|@kaapiisiit (nap)@
@determination@|@miskuwaaihtimuun (ni)@
@determined to do it: he/she is ~@|@suwaaihtim (vti)@
@determined to get@|@suwaaimaaw (vta)@
@devil@|@michiminituw (na)@
@diagonally@|@piimikaamaahaaw (vta), piimikaamaahtaaw (vai+o)@
@diagonally across the river or body of water@|@piimikaam (p)@
@diameter (an.@|@miihchaaskusuw (vai-i)@
@diameter (stick-like): it has a large ~@|@miihchaaskuiiwaayaaw (vii)@
@diameter (stick-like): it has a large/big ~@|@miihchaaskun (vii)@
@diamond@|@suunaayaaw-asiniis (ni d)@
@diaper@|@pischiiwaan (ni)@
@diaphragm@|@upistaawiiyuwa (nad)@
@diarrhea: he/she has ~@|@maamiisiiw (vai r)@
@die (an.): he/she/it ~s@|@nipaaisin (vai)@
@die exposed: he/she ~s@|@musaasin (vai)@
@die of asphyxiation from smoke: he/she ~s@|@chiputaamaapisuw (vai-u)@
@die of grief: he/she ~s@|@naastwaaimuw (vai-u)@
@die of grief: he/she causes him/her to ~@|@kuwaaimuuhaaw (vta)@
@die uncovered: he/she ~s@|@musaasin (vai)@
@die: he/she ~s@|@puunipimaatisiiw (vai)@
@different@|@iyaahch (p)@
@different location: it is in a ~@|@aahtistaaw (vii)@
@different one: he/she is a ~@|@iyaahtisiiw (vai0@
@different one: it is a ~@|@iyaahtin (vii)@
@different ways: in many ~@|@maamaahch (p r)@
@different: he/she looks ~@|@iyaahchiisinaakusuw (vai-i)@
@different: it looks ~@|@iyaahchiisinaakun (vii)@
@difficult (an.): it looks ~@|@aaiminaakusuw (vai-i)@
@difficult for him/her to do: it is ~@|@aaimiikuw (vai-u+o)@
@difficult: he/she is ~@|@aaimisiiw (vai)@
@difficult: it seems ~@|@aaiminaakun (vii)@
@dig him/her/it out of snow by hand (an.): he/s ~s@|@muunaakuunaahwaaw (vta)@
@dig it out of sand by hand: he/she ~s@|@muunaauchinim (vti)@
@dig it out of sand by tool: he/she ~s@|@muunaaukaaham (vti)@
@dig it out of the sand by hand (an.): he/she ~s@|@muunaauchinaaw (vta)@
@dig it out of the snow by hand: he/she ~s@|@muunaakuunichinim (vti)@
@dig it out of the snow by tool: he/she ~s@|@muunaakuunaaham (vti)@
@dig things out of sand: he/she ~s@|@muunaaukaaichaaw (vai)@
@dig with it: he/she ~s@|@muunaaikaachaaw (vai+o)@
@dig: he/she ~s@|@muunaaichaaw (vai)@
@digger@|@kaamuunaaichaat (nap)@
@diligent: he/she is ~@|@aaihimiihtaaw (vai), chisuusiiw (vai)@
@dilute it (an.): he/she ~s@|@suuhchistitaaw (vta)@
@diminish: it ~s@|@maahchipiyuw (vai/ii-i)@
@dining room@|@miichisuuchiwaahp (ni)@
@dip him/her/it in (an.): he/she ~s@|@kutaaunaaw (vta)@
@dip it in: he/she ~s@|@kutaaunim (vti)@
@directly opposite@|@tipiskuuhch (p)@
@director@|@uchimaaw (na)@
@dirties it with feces: he/she ~@|@chichaahtim (vti)@
@dirties it: he/she ~@|@michistaaw (vai+o)@
@disappoint him/her about smth: he/she ~s@|@ustuwaaihtimaaw (vta)@
@disappointed with him/her: he/she is ~@|@michaaimaaw (vta)@
@disappointed with it: he/she is ~@|@ustuwaaihtim (vti)@
@disbelieve him/her: he/she ~s@|@aanwaahtuwaaw (vta)@
@disbelieve it: he/she ~s@|@aanwaahtim (vti)@
@disbeliever@|@kaakaataapwaataahk (nap)@
@discarded: it is lying around ~@|@pinistaaw (vii)@
@disciple: he/she is a ~@|@chistinuwaamuwaakim (vti)@
@disciple: his/her ~@|@uchistinimuwaakin (na)@
@disconsolate: he/she makes him/her ~@|@pikwaaihtimaahaaw (vta)@
@discover it: he/she ~s@|@miskuuhtaaw (vai+o)@
@disdain for him/her: he/she feels ~@|@siikaataaimaaw (vta)@
@disdain for it: he/she feels ~@|@siikaataaihtim (vti)@
@disdainful: he/she feels ~@|@siikaataaimuw (vai-u)@
@disease (usually incurable): he/she has a bad ~@|@michaahkusuw (vai-i)@
@disembark (out of a car@|@pikaaw (vai)@
@disembark: he/she is coming to ~@|@paachipikaaw (vai)@
@disentangle it (an.@|@miywaapiihchaanaaw (vta)@
@disentangle it (string-like): he/she ~s@|@miywaapiihchaanim (vti)@
@disheartened: he/she is ~@|@maakwaaimaaw (vai)@
@dishwasher: automatic ~@|@kaastaapaauchiyaakinaapiich@
@disjoint it: he/she ~s@|@kutikunim (vti)@
@disk@|@kaawaaskaapiit (nap)@
@disk in backbone@|@aapisikupiich-waaukin (ni)@
@dislike the looks of him/her: he/she ~s@|@michinuwaaw (vta)@
@dislike the looks of it: he/she ~s@|@michinim (vti)@
@dislocate a joint: he/she ~s@|@kutikutaaw (vai)@
@dislocate it by pulling: he/she ~s@|@kutikupitim (vti)@
@dislocates it by hand@|@kutikunim (vti)@
@disobey him/her@|@aanwaahtuwaaw (vta)@
@disoriented@|@chiiskwaahusuw (vai-u)@
@dispersed@|@piiwaasuw (vai-i)@
@dispersed by wind@|@piiwaastin (vii)@
@dispersed: it is ~@|@piiupiiw (vai/ii)@
@disperses: it ~@|@piiupiyuw (vai/ii-i)@
@displaced by the waves (an.): it is ~@|@pimaaukuw (vai-u)@
@displaced by the waves: it is ~@|@pimaautaaw (vii)@
@disposition: he/she is of a quiet ~@|@kuskwaawaatisiiw (vai)@
@dispute with him/her: he/she ~s@|@aasitaaimaaw (vta)@
@disrespectful to him/her: he/she is ~@|@maayaaimaaw  (vta)@
@disrespectful: he/she is ~@|@maayaaihchaaw (vai)@
@disrespectful: one who is ~@|@kaamaayaaichaat (nap)@
@dissatisfied about it: he/she is ~@|@paasikwaaihtim  (vti)@
@dissatisfied in her/his conscience about him/her@|@paasikwaaimaaw (vta)@
@dissatisfied in her/his conscience about it@|@paasikwaainaanim (vti)@
@dissatisfied with him/her: he/she is ~@|@miihtuumaaw (vta)@
@dissolve it: he/she ~s@|@tiihkaapaautaaw (vai+o)@
@dissolve: it ~s@|@tiihkaapaawiiyaaw (vii)@
@distracts him/her by indirectly doing smth: he/s ~@|@naachiyaaw (vta)@
@distracts him/her from her/his work by talking@|@naachimaaw (vta)@
@distribute and sets it out to serve: he/she ~s@|@maatiniwaastaaw (vai+o)@
@distribute: he/she ~s@|@maatinimaachaaw (vai), maatiniwaanaaw (vta), maatiniwaanim (vti)@
@disturb it (by direct interference): he/she ~s@|@unaahtaaw (vai+o)@
@disturb it (string@|@pinaapiichaaskim (vti)@
@disturb it indirectly (situation@|@waahkaaiiwaaw (vai+o), waahkaaiiwaaw (vai+o)@
@ditch: it is a ~@|@pisaaw (vii)@
@dive: he/she ~s@|@kuuchiiw (vai)@
@divide it among themselves (four): they ~@|@naautwaatuch (vai-u pl)@
@divide it among themselves (many): they ~@|@miihchaatutwaatuch (vai-u pl)@
@divide it between themselves (two): they ~@|@niisutwaatuch (vai-u pl)@
@divide it in four (an.): he/she ~s@|@naauuhaaw (vta)@
@divide it in four parts: he/she ~s@|@naauuhtaaw (vai+o)@
@divide it in many parts (an.): he/she ~s@|@miihchaatuuhaaw (vta)@
@divide it in many parts: he/she ~s@|@miihchaatuuhtaaw (vai+o)@
@divide it in two (an.): he/she ~s@|@niisuuhaaw (vta)@
@divide it in two: he/she ~s@|@niisuuhtaaw (vai+o)@
@dizzy from movement: he/she gets ~@|@chiiskwaapiyuw (vai-i)@
@dizzy: his/her eyes are tired and he/she feels ~@|@chiiskwaayaapiyuw (vai-i)@
@do@|@nimitaaw (p)@
@do better: he/she ~s@|@paastaahwaaw (vta)@
@do it two-by-two: he/she ~s@|@naaniisuutaaw (vai r+o)@
@do it unsuccessfully@|@kuiituwaaihtim (vti)@
@do things with ease: he/she ~@|@kichaastipiiw (vai r)@
@do too much: he/she ~s@|@waasaamiihtuw (vai-i)@
@dock@|@puusunaan (ni)@
@dock: old and worn out ~@|@puusunaanischiis (ni pj)@
@doctor@|@miinwaachiiwaasuw (na)@
@doctor (modern word)@|@nituuhkuw-iiyiis (na d)@
@doctor (older word)@|@nituuhkuustikusuw (na)@
@doctor him/her: he/she ~s@|@nituuhkuuhaaw (vta)@
@doctor: he/she is a ~@|@nituuhkuuiiyisuw (vai+i)@
@does not care about him/her: he/she ~@|@taastikaataaw  (vta)@
@does not care about it: he/she ~@|@taastikaatim  (vti)@
@does strange things: he/she ~@|@maahtaawiihtuw (vai+i)@
@dog@|@atim (na-w)@
@dog dung@|@atimukichiiy (ni)@
@dog feces@|@atimukichiiy (ni)@
@dog) ~s@|@naamutuwaaw (vta)@
@dog: female ~@|@nuusaastim (na-w)@
@dog: male ~@|@naapaastim (na-w)@
@dollar: four ~s@|@naawaapisch (p)@
@dollar: many ~s@|@miihchaatwaapisch (p)@
@dollar: one ~@|@paaikwaapisch (p)@
@dollar: ten ~s@|@paaikuyuw-aapisch (na)@
@dollar: three ~s@|@nistwaapisch (p)@
@dollar: two ~s@|@niiswaapisch (p)@
@Dolly Lake@|@chisaaiiyuunipiiy (ni)@
@dome-shaped lodge@|@mitisaanichiwaahp (ni)@
@donate to things (charities): he/she ~s@|@pistinaachaaw  (vai)@
@door@|@astuuhkin (na)@
@door blows open: the ~@|@yuuhtaayaasuw (vai-i)@
@door: outside ~@|@piihtuustuuhkin (na)@
@door: storm ~@|@piihtuustuuhkin (na)@
@doorknob@|@astuuhkinisichinikin (ni), piiminikin (ni)@
@doorway hangs open: the tent ~@|@yuuhtaahkutaaw (vii)@
@doorway open: he/she leaves the ~@|@yuuhtaahkutaaw (vai)@
@doorway poles of a tent or teepee@|@iskwaataamiikinipisuy (ni)@
@doorway sill@|@chichaamaakin (na)@
@doorway: at a ~@|@chipiskwaahch (p)@
@dot: it is a ~@|@chaahkistaaw (vii)@
@dots on it: it has ~@|@chaachaahkistaaw (vii r)@
@double (an.@|@niiswaapischisuuch (vai-i pl)@
@double (stone@|@niiswaapiskimuw (vii-u)@
@double cord: it is a ~@|@niiswaapiihchaayaaw (vii)@
@double it (an.@|@apiihkaapiihchaanaaw (vta), niiswaapaachinaaw (vta)@
@double it (stone@|@niiswaapiskimuuhtaaw (vai+o)@
@double it (string-like): he/she ~s@|@apiihkaapiihchaanim (vti), niiswaapaachinim (vti)@
@double on itself (string-like): it ~s@|@apiihkaapiihchaapiyuw (vai)@
@down@|@aanaahch (p), aanaahch (p), niihtaahch (p)@
@down a ladder@|@niisaahtuwiiw (vai)@
@downriver driving: he/she takes it ~@|@maaipiihtaaw (vai+o)@
@downriver running: he/she goes ~@|@maaipaahtaaw (vai)@
@downriver: he/she ~s@|@maaiskim (vti)@
@downriver: he/she goes ~@|@iyimiskim (vai)@
@downstairs: he/she goes ~@|@niisaahtuwiiw (vai)@
@downstairs: he/she takes it ~@|@niisaahtuwaahtaaw (vai+o)@
@downstream@|@maamiihch (p), niihtaachuun (p)@
@downwind@|@naamuun (p)@
@doze: he/she ~s@|@nipaasuw (vai-i)@
@dragonfly@|@chiistaawaasuw (na)@
@drake@|@naapaasip (na)@
@drape@|@aakuwaakaaikin (ni)@
@drape it over (sheet-like): he/she ~s@|@pistaakistaaw (vai+o)@
@drape it over smth (anim.@|@pistaakaahaaw (vta)@
@draw a crooked line on it: he/she ~s@|@piimikaamisinaaham (vti)@
@draw a line across it dividing it in half: he/s ~s@|@puuskusinaaham (vti)@
@draw the blind: he/she ~s@|@achikaastaaham (vti)@
@drawer@|@kaayaaischipitaakinuuch (nip)@
@dread him/her (an.): he/she ~s@|@kuspinaaimaaw (vta)@
@dread it: he/she ~s@|@kuspinaaihtim (vti)@
@dream@|@puwaamuun (ni)@
@dream of him/her: he/she ~s@|@puwaataaw (vta)@
@dream of it: he/she ~s@|@puwaatim (vti)@
@dream: he/she ~s@|@puwaamuw (vai-u)@
@dress@|@iskwaaukuuhp (ni)@
@dress herself/himself hurriedly: he/she ~s@|@kichaaipiikaasuw (vai-u r)@
@dress him/her warmly: he/she ~s@|@chiisuuwaaspitaaw (vta)@
@dress warmly: he/she ~s@|@chiisuuwaaspisuw (vai-u)@
@dresser@|@kaayaaischipitaakinuuch (nip)@
@dries mear a little: he/she ~@|@kaachisim (vti)@
@dries stiff: it ~s@|@chiituwaahkitaaw (vii)@
@drift ashore by the wind: it ~s@|@akwaayaautin (vii)@
@drift ashore: he/she ~s@|@akwaayaapukuw (vai-u)@
@drift ashore: it ~s@|@akwaayaapaautaaw (vii)@
@drill (heavy equipment)@|@kaapikunaayaapiskiichaapiich@
@drill bit@|@pikunaaikinaaskw (ni)@
@drinks: he/she serves ~@|@maatinuupaaw (vai)@
@drip it (an.): he/she ~s@|@paahchikuwaahaaw (vta)@
@drip it drop by drop (an.): he/she ~s@|@paahchikuunaaw (vta)@
@drip it drop by drop: he/she ~s@|@paahchikuunim (vti)@
@drip: it ~s@|@paahchikuuw (vai/ii-uu)@
@dripping: it is ~@|@paahpaachikuuw (vii-uu r)@
@drips of melting snow or ice@|@siskinipiiy (ni)@
@drive caribou into a corral: he/she ~s@|@naataamuuhchaaw (vai)@
@drive into it accidentally (an.): he/she ~s@|@sisikutaahwaaw (vta)@
@drive into it accidentally: he/she ~s@|@sisikutaaham (vti)@
@drive it around the edge (an.): he/she ~s@|@kwaastikaamaapiyaahaaw (vta)@
@drive it around the edge: he/she ~s@|@kwaastikaamaapiihtaaw (vai+o)@
@drive it fast (an.): he/she ~s@|@chisipiyaahaaw (vta)@
@drive it fast: he/she ~s@|@chisipiihtaaw (vai+o)@
@drive it slowly: he/she ~s@|@niihkaachipiihtaaw (vai+o)@
@driver@|@kaautaapaast (nap)@
@driver's permit@|@utaapaan-kaayuw (na), utaapaan-kaayuw (na)@
@drool: he/she ~s@|@pisiihkwaaw (vai)@
@drop it (an.@|@paachisimaaw (vta)@
@drop it in for him/her (another): he/she ~s@|@pistinimuwaaw (vta)@
@drop it out of his/her pocket (an.): he/she ~s@|@kuiikupiyaahaaw (vta)@
@drop it out of his/her pocket: he/she ~s@|@kuiikupiihtaaw (vai+o)@
@drop it right into smth@|@piihchipiihtaaw (vai+o)@
@drop it: he/she ~s@|@paahchiihtaaw (vai+o)@
@drop: it ~s@|@paahchiihtin (vii)@
@dropper@|@paahchikunikin (ni)@
@drove it (an. snowmobile) too far: he/she ~@|@waasaamipiyaahaaw (vta)@
@drown him/her/it (an.): he/she ~s@|@nipaahaapaahwaaw (vta), nistaapaawiiyaaw (vta)@
@drown: he/she ~s@|@nistaapaawaaw (vai)@
@drug him/her: he/s ~s@|@michinituuhuuniihkaatuwaaw@
@drugged: he/she is ~@|@michinituuhuunuw (vai-i)@
@drugs@|@michinituuhkuun (ni)@
@drum@|@taawaaikin (na)@
@drum rim@|@taawaaikinaaskw (na)@
@drum snare string@|@taawaaikinaayaapiiy (na)@
@drum string (crosswise)@|@nuutaapiiy (ni)@
@drum: he/she makes a ~@|@taawaaikiniihchaaw (vai)@
@drumstick (ni)@|@taawaaikin-utaamaaikinaaskw@
@drunk: he/she gets him/her ~@|@chiiskwaapaahaaw (vta)@
@drunk: he/she is ~@|@chiiskwaapaaw (vai)@
@drunkard@|@kaamiyuuhkust (nap)@
@dry (useful wood): it is ~@|@paahkuuhtikaaw (vii)@
@dry floor: it is a ~@|@paahkuuhtikaaw (vii)@
@dry land: it is a line of ~@|@pimitaauhkaaw (vii)@
@dry land: on ~@|@paahkwaahch (p)@
@dryer@|@kaapaastaapiich (nip)@
@drying his/her wet clothes: he/she is ~@|@paasinaasuw (vai-u)@
@drying of meat@|@kaaspisaawaan (ni)@
@duck: common eider (Somateria mollissima) ~@|@misisip (na)@
@duck: common goldeneye (Bucephala clangula) ~@|@misikuskw (na)@
@duck: common scoter (Oidemia nigra) ~@|@kuiiskusipaatim (na)@
@duck: female ~@|@iskwaasip (na)@
@duck: he/she eats ~@|@mwaasipaaw (vai)@
@duck: kind of ~@|@iiyiisip (na)@
@duck: male ~@|@naapaasip (na)@
@duck: merganser (Mergus merganser) ~@|@mistisikw (na)@
@duck: old sqaw (Clangula hyemalis)@|@aahaawaasiis (na d)@
@duck: surf scooter (Melanitta Perspicillata)@|@akwaaikin-siisip (na)@
@duck-shot@|@siisiipisiniiy (ni)@
@duffle@|@kaapaahaaputaach (nip), waapuyaan (ni)@
@duffle coat@|@waapuyaanikuuhp (ni)@
@dull by knocking around@|@siihtin (vii)@
@dumpling@|@pikaakin (na)@
@dumptruck (one that carries gravel/sand)@|@yaakaautaapaan (ni)@
@dune: it is a narrowing of a sand ~@|@uuhpitaauhkaaw (vii)@
@dune: it is a steep sand ~@|@chiiskaayaawaauhkaaw (vii)@
@during@|@maakwaach (p)@
@dwarf@|@apisiiyiis (na d)@
@dye@|@miskusaawaan (ni)@
@dying: it is ~@|@nipiimikin (vii)@
@dynamite@|@kaamitwaataach (nip)@
@each@|@aasikum (p)@
@each time@|@paahpaaikwaaw (p r)@
@eager: he/she is ~@|@ispiihtaaimuw (vai-u)@
@eagerness@|@aaspiniwaaimuun (ni)@
@eagle (Haliaeetus leucocephalus): bald ~@|@michisuw (na)@
@'eagle month)@|@michisu-piisim (na-w)@
@ear is swollen: his/her ~@|@paachiihtuuchaapiyuw (vai-i)@
@ear: he/she has long ~s@|@chinuuhtuuchaaw (vai)@
@ear: his/her ~@|@wiihtuukiy (nid)@
@earn his/her own living: he/she ~s@|@pikaaschiikaatisuw (vai-u)@
@earn it for him/her: he/she ~s@|@kischiitimuwaaw (vta)@
@earn it for him/her: he/she ~sd@|@kischiitimuwaaw (vta)@
@earn it for himself/herself: he/she ~s@|@kischiitimaasuw (vai-u)@
@ears: he/she has cold ~@|@siikichihtuukiyaauchuw (vai-i)@
@earth@|@aschiiy (ni)@
@earthquake: it is an ~@|@ninimiskaaw (vii r)@
@east@|@waapinuuhch (p)@
@Easter day: it is ~@|@chisaaimaauchiisikaaw (vii)@
@Eastmain@|@iistimaan (ni)@
@Eastmain: person from ~@|@iistimaaniiw-iiyuw (na)@
@easy@|@waahtin (vii)@
@easy chair@|@uchimaaw-taahtipuwaakin (ni)@
@easy for him/her to do: it is ~@|@waachiyikuw (vai-u+o)@
@easy to handle: it is ~@|@miyuunikun (vii)@
@eat at night: he/she ~s@|@niipaamiichisuw (vai-u)@
@eat fish eggs: he/she ~s@|@mwaahkwaaw (vai)@
@eat geese: he/she ~s@|@mwaaschaaw (vai)@
@eat grease: he/she ~s@|@mupimaaw (vai)@
@eat his/her food hot: he/she ~s@|@chisitaawaamaaw (vai)@
@eat it all up: he/she ~s@|@maastaahtim (vti)@
@eat it in secret: he/she ~s@|@kaachichipuw (vai-u)@
@eat like a pig: he/she ~s@|@kuuhkuusimiichisuw (vai-u)@
@eat raw meat: he/she ~s@|@aschipuw (vai-u)@
@eat the scraps of it (an.): he/she ~s@|@maamusaahkimaaw (vta)@
@echo: it ~s@|@chiihkaawaahtin (vii)@
@eczema: he/she has ~@|@umichiiw (vai)@
@edge@|@taawaaikinaaskw (na)@
@edge of the shoreline@|@yaaikaam (p)@
@edge: around the ~@|@kuiistikaamaaw (p)@
@egg@|@waaw (ni)@
@egg: fish ~@|@waahkw (na)@
@eggs@|@chaachisaapaamiichim (ni)@
@eh?@|@awaa (p intj)@
@eighteen@|@yaanaaw-taahtusaap (p w)@
@eighty@|@yaanaaw-taahtuyuw (p)@
@elastic band (for hair)@|@aswaahpitimaan (ni)@
@elated: he/she is ~@|@muchaaihtim (vti)@
@elbow bone: his/her ~@|@utuuskunikin (nid)@
@elbow: his/her ~@|@utuuskun (nid)@
@elect a chief: they ~@|@iiyuuchimaahchaauch (vai pl)@
@electric drill@|@pikunaaikin (ni)@
@electric wire@|@iskutaawaayaapiiy (ni), nimischiiuskutaawaayaapiiy(ni)@
@electricity@|@kaataapaawaatiihch (nip), nimischiiuskutaaw (ni)@
@elephant@|@kaachiituwaaskw (na)@
@elevation of the ground: it is a change in ~@|@kaahtipiskimikaaw (vii)@
@elevator@|@kaaiskwaatiwaapiich (nip)@
@eleven@|@paaikusaap (p-w)@
@embark: he/she ~s@|@puusuw (vi-i)@
@embarrassed: he/she is ~@|@saakwaaimuw (vai-u)@
@embarrassed: he/she makes him/her feel ~@|@saakwaaimuuhaaw (vta)@
@embarrassing: he/she is ~@|@saakwaaimuwaaihtaakusuw(vai-i)@
@embarrassing: it is ~@|@saakwaaimuwaaihtaakun (vii)@
