@English@|@Danish@
@crépe-rubber sole@|@gummisål@
@crepes (f.x. crêpe suzette)@|@crepes (tynde pandekager)@
@crept@|@krøb@
@crepuscular animal(s)@|@skumringsdyr@
@crescendo@|@crescendo(-et) (højdepunkt)@
@crescent@|@halvmåne(-en)@
@crescent (bread)@|@horn@
@crescent moon@|@tiltagende måne@
@crescent-shaped@|@halvmåneformet@
@cress@|@karse@
@crest@|@bølgekam(-en), bølgetop(-en), fjerbusk(-en), hjelmbusk, kam(-en), skumtop@
@crest of foam (fx. waves)@|@skumkam@
@crested (bird/wave)@|@toppet@
@crested lark@|@toplærke@
@crested swifts@|@træsejler (fugle)@
@crested tit (bird)@|@topmejse@
@crestfallen@|@flad, modfalden, slukøret@
@Cretan@|@kretensisk@
@Crete@|@Kreta@
@cretin@|@kretiner(-en)@
@cretinism@|@kretinisme@
@crevasse@|@gletcherspalte(-en), gletscherspalte(-en)@
@crevice@|@klippespalte(-en), klippespalte(-en), sprække@
@crew@|@besætning (skib), besætning(-en), mandskab, skibsmandskab@
@crew (ship)@|@skibsbesætning@
@crew cut@|@plysklippet@
@crew-cut@|@karsehår, karseklippet, kortklippet, tætklippet@
@crib@|@bås(-en), krybbe(-en), plagiere, tremmeseng@
@crib (plagiarized note )@|@snydeseddel@
@crib-biter@|@krybbebider(-en)@
@crick@|@hold i nakken@
@cricket@|@cricket, fårekylling(-en), kricket@
@cricket field@|@kriketbane(-en)@
@cricket ground@|@kriketbane(-en)@
@cricketer@|@kricketspiller@
@cries of "shame"!@|@fyråb(-et)@
@crime@|@forbrydelse(-en), udåd, ugerning@
@crime novel@|@kriminalroman(-en)@
@crime of violence@|@voldsforbrydelse@
@crime scene@|@gerningssted(-et)@
@crime sheet@|@generalieblad(-et), meriter@
@crime spot@|@åsted(-et)@
@criminal@|@delinkvent (lovovertræder), forbryder(-en), forbryderisk, gerningsmand(-en), kriminel, ulovlig@
@criminal abortion@|@forsterfordrivelse(-en)@
@criminal attorney (~defense~)@|@"kriminal sagfører", kriminal forsvarsadvokat@
@criminal case@|@straffesag@
@Criminal Investigative Departmen@|@opdagelsespoliti@
@criminal law@|@strafferet@
@criminal negligence@|@kriminel forsømmelighed@
@criminal police@|@kriminalpoliti(-et), opdagelsespoliti@
@criminal record@|@straffeattest@
@criminal world@|@forbryderverden(-en), underverden@
@criminality@|@kriminalitet@
@criminologist@|@kriminalist(-en)@
@crimp@|@kreppe, kruse, krølle, lægge en dæmper på@
@crimp (shanghaiing)@|@hyrebasse, shanghaje@
@crimpy wool@|@krøluld@
@crimson@|@blodrød, højrød, karmoisinrød, purpur, rød@
@cringe@|@krybe, krybe for, krybe sammen, krympe sig@
@cringed@|@krøb@
@cringing@|@hundsk, servil@
@cringle (to secure sail)@|@løjert (vrider på sejl)@
@crinkle@|@krølle, rynke@
@crinoline@|@krinoline, stivet skørt, stivskørt@
@cripple@|@forkrøble, invalid, krøbling(-en), lamme, lemlæste, skamslå@
@crippled@|@vanfør@
@crisis@|@brydningstid(-en), krise(-en)@
@crisis center@|@krisecenter(-et)@
@crisis of confidence@|@tillidskrise@
@crisp@|@frisk, klar, knasende, kreppe, sprød@
@crispbread@|@knækbrød@
@criss-cross@|@i siksak, på kryds og tværs@
@criterion@|@kriterium, rettesnor@
@critic@|@afgørende, anmelder(-en), kritiker(-en), kritisk@
@critic(at thesis/dissertation)@|@opponent@
@critical@|@betænkelig, kritisk, tilspidset@
@criticism@|@dadel(-en), kritik(-en)@
@criticism of a culture@|@kulturkritik(-en)@
@criticize@|@klandre, kritisere, påtale (klage)@
@cro@|@fuldende@
@croak@|@kvæk(-et), kvække@
@croak of ravens@|@ravneskrig@
@croaking@|@kvækken@
@Croatian mercenaries necktie@|@kravat (halsklud)@
@crochet@|@hækle, hæklemaske@
@crochet (work)@|@hækling@
@crochet hook@|@hæklenål@
@crochet work@|@hækletøj@
@crock of shit(from someone)fig@|@gyllespreder@
@crockery@|@porcelæn, porcelæn, service@
@crocodile@|@krokodille(-en)@
@crocodile tears@|@krokodilletårer@
@crocus@|@krokus(-en)@
@Croesus@|@krøsus@
@croft@|@husmandssted, toft@
@crofter@|@husmand@
@croissant@|@horn, rundstykke@
@cromlech@|@stendysse@
@crony@|@bonkammerat, god gammel ven, kammerat(-en)@
@cronyism@|@favorisering af bonkammerater, nepotisme@
@crook@|@bøje, forbryder(-en), kroget, krumme, skurk@
@crook (shephard@|@krumstav(-en)@
@crooked@|@forbryderisk, kroget, krum, skæv, uærlig@
@crooked-legged@|@skævbenet@
@crookedness@|@lumskeri, skævhed@
@croon@|@nynne, refrænsanger, synge blidt@
@crooner@|@refrænsanger@
@croos line@|@tværlinje@
@crop@|@afgrøde, afgrøde(-en), avl(-en), grøde(-en), høst(-en), kro (fugl), studse@
@crop failure@|@misvækst@
@cropped@|@tætklippet@
@croquet@|@kroket, kroketspil(-et)@
@croquet set@|@kroketspil(-et)@
@crore (India)@|@10 millioner (Indisk), 10000000 (10^7)@
@crosier@|@bispestav(-en)@
@crosier (Pope)@|@krumstav(-en)@
@crosier (religious symbol)@|@hyrdestav@
@cross@|@fortrædelig, gå over, kors(-et), kryds(-et), overskære, tvær@
@cross (breed)@|@krydsning(-en)@
@cross girder@|@tværdrager@
@cross line@|@tværbane, tværlinje, tværstreg@
@cross of crucifixion@|@Korsfæstelses-kors/pæl@
@Cross of Lorraine@|@dobbelt dagger (obelisk)@
@cross oneself@|@korse sig@
@cross out@|@overstrege, udstrege@
@cross piece@|@tværstykke@
@cross roads@|@korsvej(-en)@
@cross section@|@tværsnit@
@cross spider@|@korsedderkop(-en)@
@cross stich@|@korssting@
@cross street@|@tværgade@
@cross stripe@|@tværstribe@
@cross sword with@|@bide skeer med@
@cross trees@|@saling@
@cross valley@|@tværdal@
@crossband (knee)@|@korsbånd(-et)@
@crossbar@|@overligger (på mål), rigel, tværstang@
@crossbar (window)@|@vinduessprosse@
@crossbeam@|@tværbjælke@
@crossbill@|@korsnæb (fugl)@
@crossbill (bird)@|@lille korsnæb (fugl)@
@crossbones@|@dødningeben@
@crossbow@|@armbrøst(-en)@
@cross-breed@|@krydse, krydsning(-en)@
@cross-country (running)@|@terrænløb@
@cross-country runner@|@terrænløber@
@cross-country skiing@|@langrend@
@crosscut saw@|@bloksav@
@cross-cut saw@|@fukssvans(-en)@
@crossed@|@korslagt@
@crossed cheque (check)@|@krydset check@
@crossed paper wrapper@|@korsbånd(-et)@
@crossed viper@|@hugorm@
@cross-examination@|@krydsforhør(-et)@
@cross-examine@|@krydsforhøre@
@cross-fire@|@krydsild(-en)@
@cross-grained@|@kradsbørstig@
@crossing@|@kryds(-et), krydsning(-en), overfart, overgangssted, overkørsel, overskæring@
@crossing (by fx. ferry)@|@sørejse@
@crossing (fx. crossing traffic)@|@tværgående@
@crossing out@|@overstregning, udstregning@
@Crossing-No gates@|@ubevogtet@
@cross-legged@|@skrædderstilling@
@cross-legged yoga position@|@lotusstilling(-en)@
@cross-multiplication@|@gange overkors@
@crossness@|@fortrædelighed(-en), gnavenhed(-en), tværhed@
@cross-political platform@|@tværpolitisk@
@cross-pollination@|@krydsbestøvning(-en)@
@cross-purposes (be at~)@|@misforstå/modarbejde hinanden, tale forbi hinanden@
@crossroads@|@gadekryds(-et), skillevej, tværvej, vejkryds@
@cross-section@|@profil@
@cross-striped@|@tværstribet@
@cross-vaulting@|@krydshvælving(-en)@
@crosswalk@|@fodgængerfelt (-overgang)@
@crossword puzzle@|@krydsordsopgave(-en)@
@crotch@|@lyske(-en), skridt (underlivet), skræv@
@crotchet@|@fjerdedelsnode, nykke@
@crouch@|@krybe sammen, stå på spring@
@crouched@|@sammenkrøben@
@croup@|@kryds(-et), strubehoste@
@croupier@|@croupier(-en)@
@crow@|@gale, krage(-en)@
@crowbar@|@brækjern, brækjern(-et), koben(-et), løftestang(-en)@
@crowberry@|@revling (sortebær), sortebær@
@crowd@|@flok(-en), flokke, folkemasse(-en), folkemængde(-en), folkeskare(-en), hob, klike(-en), menneskemængde, mængde, opløb, sammenstimling, skare, slæng, stimle (sammen), stimmel, sværm, trænge, trængsel@
@crowd of children@|@børneflok(-en)@
@crowd round@|@stimle (sammen)@
@crowded@|@befærdet, overrendt, sammenklumpet@
@crowfoot@|@ranunkel@
@crowing@|@galen, pralen@
@crown@|@isse, kranse, krone(-en)@
@crown (of hat)@|@puld (hat)@
@Crown court@|@højesteret, overretten@
@crown jewel@|@kronjuvel(-en)@
@crown jewels@|@kronjuveler@
@crown jewels (slang)@|@testikler (slang)@
@crown land@|@domæne(-et)@
@crown lands@|@krongods@
@crown of a hat@|@hattepuld@
@crown of thorns@|@tornekrone@
@crown prince@|@kronprins(-en)@
@crown princess@|@kronprinsesse(-en)@
@crowning glory@|@strålekrans@
@crow's feet@|@smilerynker ved øjnene@
@crow's foot@|@partisansøm@
@crow's nest (ship)@|@udkigstønde@
@crow-stepped ~@|@kamtakket (fx. gavl)@
@crucial@|@afgørende@
@crucial moment@|@afgørelsens time@
@crucible@|@digel(-en), smeltedigel@
@crucifix@|@krucifiks(-et)@
@crucifixion@|@korsfæstelse(-en)@
@cruciform@|@korsformet@
@crucify@|@hænge ud, korsfæste@
@crude@|@grel, grov, umoden, uraffineret@
@crude alcohol@|@råsprit@
@crude metal@|@råmetal@
@crude oil@|@råolie@
@crudity@|@smagløshed@
@cruel@|@grufuld, grum, grusom@
@cruelty@|@grumhed(-en), grusomhed(-en)@
@cruelty to animals@|@dyremishandling(-en), dyrplageri(-et)@
@cruet@|@platmenage, platmenage, bordopsats, tilbehørsbakke@
@cruet-stand@|@plat-de-menage(tilbehørsbakke, platmenage@
@cruise@|@flyve i passende fart, krydstogt(-et), sørejse, togt@
@cruise (around)@|@køre omkring@
@cruiser@|@krydser(-en)@
@cruising speed (aeroplane)@|@marchhastighed@
@crumb@|@krumme, smule@
@crumble@|@forvitre, mørne, smuldre@
@crumbled@|@forkrøllet@
@crumpet@|@godt skår, laber dulle, tekage@
@crumple@|@hensmuldre, kramme, krølle sammen, skørne@
@crumpled (up)@|@sammenkrøllet@
@crunch@|@knase, knasen, knuse, mase (knuse)@
@crunchy@|@sprød@
@crusade@|@kampagne(-en), korstog(-et)@
@crusader@|@korsfarer(-en)@
@crush@|@knase, knuse, kram, kramme, male, mase (knuse), nedgøre, sønderknuse, trængsel, tvære, være varm på@
@crushed@|@sønderknust@
@crushed grain@|@skrå (korn)@
@crushing@|@knugende, knusende@
@crushing-mill@|@knuseværk(-et)@
@crusian (carp)@|@karusse(-en)@
@crusifer(ous)@|@kornblomst(-en)@
@crust@|@skorpe, sårskorpe@
@crusty@|@kradsbørstig, skorpet, sprød@
@crutch@|@krykke(-en), åregaffel(-en)@
@crux (~of the matter)@|@vanskeligt punkt@
@Crux (constellation)@|@sydkorset (Crux)@
@crux ansata (Egypt)@|@ankh (livets nøgle) (U+2625)@
@crux of the matter (the~)@|@problemets kerne@
@cry@|@græde, råb, råbe, skrig, tude@
@cry (exclaim)@|@udråbe@
@cry (weep)@|@vande høns@
@cry for help@|@nødråb, nødskrig@
@cry of distress@|@nødråb, nødskrig@
@cry out@|@gale (råbe), himle op, skrige@
@cry wolf!@|@ulven kommer!@
@cry-baby@|@brølhals(-en), klynkehoved(-et), pibehoved, skrigeballon, skrighals, skrålhals, tudesøren@
@crying@|@grædende, gråd(-en)@
@crying to high heaven@|@himmelråbende(fx.~uretfærdigt), åbenlyst forkert@
@cryolite@|@kryolit@
@crypt@|@krypt (kirke)@
@cryptic@|@kryptisk, uigennemskuelig@
@cryptogram@|@kryptogram(-et)@
@crystal@|@krystal(-en), krystalglas, prisme, prisme@
@crystal chandelier@|@krystallysekrone(-en), prismekrone@
@crystal clear@|@krystalklar, soleklar@
@crystal gazer@|@spåkone, spåmand@
@crystal glass@|@krystalglas@
@crystal set (radio)@|@krystalapparat(-et)@
@crystal wedding (15 years)@|@krystalbryllup (15 år)@
@crystalline@|@krystalklar, krystallinsk@
@crystalline form@|@krystalform(-en)@
@crystallization@|@krystallisering@
@crystallize@|@kandisere, krystallisere@
@crystallose@|@krystallose@
@CT- scan@|@computertomografi@
@cub@|@grønskolling(-en), hvalp, unge@
@cubage@|@kubikindhold(-et)@
@cubbyhole@|@hummer@
@cubby-hole@|@aflukke(-et)@
@cube@|@kube(-en), kubus(-en), terning@
@cube (of sugar)@|@sukkerknald@
@cube root@|@kubikrod, kubikrod(-en)@
@cubic@|@kubik, kubisk@
@cubic content@|@kubikindhold(-et), rumfang, rumindhold@
@cubic equation@|@tredjegradsligning@
@cubic measure@|@rummål@
@cubic metre@|@kubikmeter (m³)@
@cubic root@|@^(1/3)@
@cubic root sign (^0.33333333)@|@kubikrodstegn (^0.33333333)@
@cubical@|@kubisk, terningformet@
@cubicle@|@aflukke(-et), hobbyrum, indelukke(-et), kabine(-en), lille aflukke@
@cubism@|@kubisme@
@cubist@|@kubist(-en), kubistisk@
@cubit (43-56 cm)@|@alen (romersk/engelsk)@
@cuckold@|@bedrage (utro), hanrej@
@cuckoo@|@gøg(-en), skør person, tosset@
@cuckoo (bird)@|@gøg@
@cuckoo in the nest@|@gate-crasher, gøgeunge(-en), interloper, intruder@
@cuckoo-clock@|@kukkeur(-et)@
@cuckoo's nest@|@galehus(-et)@
@cucumber@|@agurk(-en)@
@cud@|@opgylp fra komave@
@cud-chewing animal@|@drøvtygger(-en)@
@cuddle@|@give knus, kæle, kæle for, omfavne@
@cuddling@|@kæleri(-et)@
@cudgel@|@knippel(-en), krabask(-en), kæp(-en)@
@cudweed@|@evighedsblomst(-en)@
@cue@|@billardkø(-en), kø (billard), signal, stikord@
@cuff@|@daske, knubs, knubse, lægge i håndjern, manchet(-en), ærmeopslag(-et)@
@cuff link@|@manchetknap(-en)@
@cui bono? (to whose advantage)@|@til hvis fordel?@
@cuirass@|@harnisk, kyras(-et)@
@cuirassier@|@kyrassér@
@cuisine@|@kogekunst, køkken(-et), madlavning(-en)@
@cul@|@sortere (mest fra), udvælge@
@cul-de-sac@|@blind vej(-en), blindgade(-en), blindgyde(-en), lukket vej@
@culinary@|@kulinarisk@
@culinary art@|@kogekunst@
@cull (culling out)@|@frasortere, fravælge (fx.udsætterdyr)@
@culminate@|@kulminere, toppe@
@culminating treat@|@rosinen i pølseenden@
@culmination@|@kulmination(-en)@
@culpable@|@fordømmelig, strafskyldig@
@culprit@|@delinkvent (lovovertræder), forbryder(-en), formodet gerningsmand, gerningsmand(-en), misdæder, synder@
@cult@|@kult(-en), kultus, sekt@
@cultic@|@kultisk@
@cultivate@|@dyrke, kultivere, opdyrke@
@cultivate (pure cultivation)@|@rendyrke@
@cultivated plant@|@kulturplante(-en)@
@cultivation@|@dyrkning(-en), opdyrkning, opelskning@
@cultivation of flowers@|@blomsterdyrkning@
@cultivation of plants@|@planteavl@
@cultivator@|@dyrker, kultivator(-en)@
@cultural@|@kulturel@
@cultural center@|@kulturcentrum(-et)@
@cultural pattern@|@kulturmønster(-et)@
@culture@|@avl(-en), dannelse(-en), kultur(-en), åndsliv(-et)@
@culture medium (plants)@|@substrat@
@cultured@|@dannet, klog, kultiveret@
@cultured buttermilk@|@tykmælk@
@cultured pearl@|@kulturperle(-en)@
@culvert@|@stenkiste@
@culvert bomb@|@vejside bombe@
@cumbersome@|@besværlig, bøvlet, ubehjælpsom, uhåndterlig@
@cumin@|@kommen (frø)@
@cummerbund@|@midjeskærf, skærf@
@cuneiform@|@kegleformet@
@cuneiform (writing)@|@kileskrift@
@cunning@|@durkdreven, fiffig, forslagen (snu), listig, listighed(-en), snedig, snedighed, snilde, snuhed, udspekuleret, udspekulerethed, underfundig, underfundighed@
@cunning as a fox@|@rævesnu@
@cunt@|@kusse(-en)@
@cup@|@kalk(-en) (bæger), kop(-en), overkop, pokal, skål@
@Cup Final@|@Pokalfinale@
@cup of bitterness@|@malurtbæger(-et)@
@cup of sorrows@|@sorgens bæger@
@cup of tea@|@kop te@
@cup of welcome@|@velkomstbæger@
@cup one's chin@|@gnide sig om hagen, støtte hagen i hånden@
@cupbearer@|@mundskænk@
@cupboard@|@skab@
@cupboard bed@|@reolseng@
@cupboard door@|@skabsdør, skabslåge@
@cupboard lover@|@madkæreste(-en)@
@cupid@|@elskovsgud(-en), erot(-en)@
@Cupid@|@Amor, amorin(-en)@
@cupidity@|@havesyge, pengebegærlighed@
@Cupid's bow@|@amorbue(-en)@
@cupola@|@kuppel(-en)@
@cuppa@|@kop te@
@cupping glass@|@blodkop(-en), sugeglas@
@cupping-glass@|@blodkop@
@cup-tie@|@pokalkamp@
@cur@|@kort, køter(-en)@
@curable@|@helbredelig@
@curaçao@|@curacao (orangelikør)@
@curate@|@hjælpepræst, kaldskapelan(-en), kapellan(-en)@
@curative@|@helbredende, lægende@
@curator@|@konservator(-en), kurator(-en)@
@curb@|@bremse (stoppe), båndlægge, dæmper, fortovskant(-en), holde i tømme, kantsten(-en), kue, nedkæmpe, rendesten, styre, stække, tæmme, tøjle, tømme@
@curb bit@|@stangbidsel@
@curb market@|@efterbørs(-en)@
@curbing@|@tæmning@
@curb-sneak accidents@|@højresvingsulykker@
@curbstone@|@kantsten(-en)@
@curcuit breaker@|@strømafbryder@
@curd@|@ostemasse@
@curdle@|@koagulere, skiller (mælk), stivne@
@curdle (milk)@|@løbe sammen@
@curdled (into curd)@|@ostet@
@curdled milk@|@surmælk@
@curds@|@kvark, skyr@
@cure@|@afvænne, behandle, helbrede, helbredelse, kur(-en), kurere, læge (hele), restituere, salte@
@cure in salt@|@spege (salte)@
@curettage (medical)@|@udskrabning@
@curfew@|@mørklægningstid under krigen, spærretid, udgangsforbud@
@curing@|@saltning@
@curio@|@kuriositet(-en, souvenir@
@curiosities@|@snurrepiberier@
@curiosity@|@mærkværdighed, nysgerrighed, raritet@
@curiosity queue@|@kiggekø(-en)@
@curiosity shop@|@raritetskabinet@
@curious@|@besynderlig, ejendommelig, kuriøs, nysgerrig, spændt, underlig@
@curious item@|@kuriositet(-en@
@curiously@|@pudsig, sjov nok@
@curl@|@bukkel(-en), kruse, krøl, krølle, krølle(-en), lok(-en)@
@curl (hair)@|@ondulation@
@curl paper@|@papillot@
@curled hair@|@krølhår@
@curled mint@|@krusemynte@
@curlew@|@spove (fugl)@
@curlew (bird)@|@stor regnspove@
@curlew sandpiper@|@krumnæbbet ryle@
@curlicue@|@krølle@
@curling@|@krusning@
@curling toes@|@krumme tæer (få mig til at-)@
@curling-iron@|@krøllejern(-et)@
@curling-pin@|@krøllenål(-en)@
@curls@|@lokker@
@curly@|@buklet, lokket@
@curly bracket {/}@|@Alt+123/Alt+125 {/}, krølle parentes {/}@
@curly brackets {/}@|@tuborgparenteser@
@curly dock@|@kruset skræppe (rumex crispus)@
@curly-haired@|@krølhåret@
@curly-head@|@krøltop(-en)@
@curmudgeon@|@gnavpotte(-en), mudderkaster@
@currant@|@ribs, ribs (red), rosin, solbær@
@currant loaf@|@rosinbrød@
@currency@|@mønt, møntfod, valuta@
@currency reform@|@pengeombytning@
@currency restriction@|@valutarestriktion@
@currency sign (Alt+0164=¤)@|@valutategn (generisk¤generelt@
@current@|@gangbar, gængs, indeværende, korende, kurant, løbende, nuværende, nærværende, strøm, strømning@
@current (owner)@|@hidtidig@
@current account@|@kontokurant, mellemregning@
@current collector@|@strømaftager@
@current coming from the north@|@nordenstrøm@
@current comsumer@|@strømforbruger@
@current comsumption@|@strømforbrug@
@current controller@|@strømfordeler@
@current intensity@|@strømstyrke (ampere)@
@current price@|@dagspris(-en)@
@current rate@|@dagskurs(-en)@
@currently@|@nu for tiden, nu til dags@
@currently highlighted@|@på tapetet@
@currently living@|@boende, nulevende@
@curriculum@|@læseplan, pensum, studieplan, undervisningsplan@
@curried a horse@|@strigle(~hesten)@
@currish@|@køteragtig@
@curry@|@karry@
@curry (skin)@|@tilberede@
@curry favour with@|@lefle@
@currycomb@|@hestestrigle, strigle@
@currycomb (shrew)@|@strigle@
@curse@|@bande, forbande, kraftudtryk(-et)@
@curse and swear@|@svovle@
@curse(s)@|@skældsord@
@cursing@|@banden og svovlen@
@cursive writing@|@skråskrift@
@cursor (PC)@|@markør@
@cursorial foot@|@løbefod@
@cursory@|@flygtigt, kursorisk, overfladisk@
@curt@|@abrupt, afsnubbet, kort for hovedet, studs@
@curtail@|@begrænse, beskære, indskrænke, nedskære@
@curtain@|@forhæng(-et), gardin(-et), slør, tæppe@
@curtain lecture@|@gardinpræken(-en)@
@curtain rod@|@gardinstang(-en)@
@curtain string@|@gardinsnor(-en)@
@curtains@|@omhæng@
@curtsey (female gesture)@|@reverens (respekt/agtelse)@
@curtsy@|@bøje sig dybt, kniks(-et), neje@
@curtsy (curtsey)@|@kompliment(-en)@
@curvature@|@krumning(-en)@
@curve@|@bue(-en), bugt(-en), bugtning(-en), en kurve, krumme (bøje), kurve(-en), runding, sving@
@curve (back)@|@svajning@
@curved@|@buet, bøjet, krum@
@curved (fx. back)@|@skruttet@
@cushion@|@afbøde, hynde, polster, polstre, polstre, pude, sofapude@
@cushion of air@|@luftpude(-en)@
@cushy@|@fed tjans@
@cushy (job)@|@loppetjans@
@cushy job@|@fed tjans, tjans@
@cusp@|@cuspis (spydspids), flig@
@cuspidor@|@spytbakke, spyttebakke@
@cuss@|@bande@
@cussed@|@øretæveindbydende@
@cussing@|@banden og svovlen@
@custard@|@cremebudding(-en), vanillecreme@
@custodian@|@kustode(-en), overformynder, vogter@
@custodianship@|@overformynderi@
@custody@|@forvaring, varetægt@
@custody (of child)@|@forældremyndighed(-en)@
@custom@|@folkeskik(-en), skik, sæd (skik), sædvane, vane@
@custom (visits)@|@søgning, besøg af toldvæsenet@
@custom authorities@|@toldvæsen@
@custom gatehouse@|@toldvagt@
@custom house@|@toldbod, toldkontor, toldsted@
@custom service@|@toldvæsen@
@custom tailoring@|@skræddersyning@
@customary@|@almindelig, sæd (skik), sædvanlig, tilvant, vanlig@
@customary (use)@|@skik og brug@
@custom-built@|@lavet på bestilling@
@customer@|@aftager(-en), kunde(-en)@
@customers@|@kundekreds(-en)@
@custom-house agent@|@toldklarerer@
@customize@|@tilpas@
@custom-made (dress)@|@skræddersyet@
@customs@|@told@
@Customs (the~)@|@toldetaten@
@customs administration@|@toldforvaltning@
@customs administrator@|@toldforvalter@
@Customs and Excise Department@|@Direktoratet for Toldvæsenet@
@customs authorities@|@toldmyndigheder@
@customs clerk@|@toldskriver@
@customs duties@|@toldafgifter@
@customs examination@|@toldeftersyn, toldundersøgelse, toldvisitation@
@customs formalities@|@fortoldning(-en)@
@customs guard@|@toldvagt@
@customs house@|@toldkammer@
@customs officer@|@toldembedsmand, tolder@
@customs receipts@|@toldindtægter@
@customs union@|@toldunion@
@Customs&Excise@|@Told&Skat@
@cut@|@gravere, hugge, indgravere, indskæring(-en), indsnit(-et), klip, klippe, meje, overskære, rift, skære, snit, snitsår, snitte, tak (takker), tilskære, udskæring@
@cut (fashion)@|@snitmønster@
@cut (form)@|@udhugge@
@cut (of a whip)@|@piskeslag@
@cut (thin wire)@|@nippe, nippe (~over)@
@cut above (a~)@|@en smule(fx.mere), tak over(en~), tand over(en~)@
@cut back@|@nedskære@
@cut capers@|@kapriol ("bukkespring")@
@cut coat according to cloth@|@sætte tæring efter næring@
@cut down@|@meje ned, nedhugge, nedsable, nedskære, omhugge@
@cut down (battle)@|@sable ned@
@cut down to size@|@få ned på jerden, jorde, pille ned fra piedestalen, sable ned@
@cut glass@|@krystal(-en)@
@cut grass@|@slå græs@
@cut ice@|@ise@
@cut in slices@|@filere@
@cut in two (axe)@|@overhugge@
@cut in two (saw)@|@oversave@
@cut in wag@|@lønnedgang(-en), lønnedskæring(-en), lønnedsættelse(-en)@
@cut into@|@snære@
@cut into pieces@|@partere@
@cut it out!@|@prr. (stop-lydord)@
@cut low (dress)@|@udringet@
@cut off (axe/connection)@|@kap@
@cut off (from)@|@afskære@
@cut open@|@opskære@
@cut out@|@udskille@
@cut out (fx. meat)@|@udskære@
@cut runes@|@riste runer@
@cut short@|@afsnubbet, snubbe af@
@cut small@|@småtskåren@
@cut smooth@|@slethugge@
@cut the Gordian knot@|@løse den gordiske knude@
@cut to pieces@|@skære i stykker, sønderflænge@
@cut up@|@ophugge, opskære, opskåret, partere, sønderdele@
@cut up (about/over)@|@oprevet@
@cut up (agonize)@|@oprive@
@cut up badly@|@forskåret@
@cut velvet@|@opskåret fløjl@
@cut-and-dry opinions@|@færdigsyet@
@cutaneous disease@|@kutan (hud) sygdom, lupus (hudsygdom)@
@cutaway@|@jaket(-en)@
@cute@|@fiffig, nuttet, nysselig, snild, sød@
@cut-glass chandelier@|@krystallysekrone(-en)@
@cuticle@|@neglebånd(-et), overhud@
@cutlass@|@hirschfænger, huggert, machete(-en)@
@cutlery@|@bestik(-et), knivfabrik(-en), køkkenknive, spisebestik@
@cutlet@|@karbonade, kotelet(-en)@
@cut-off piece@|@afskåret stykke(-et)@
@cutout@|@HFI-relæ, påklædningsdukke@
@cut-out@|@papfigur@
@cut-price@|@nedsat pris, underpris@
@cuts across party lines@|@tværpolitisk@
@cuts both ways@|@tveægget@
@cutter@|@bidetang(-en), skærer, tilskærer@
@cutter (ship)@|@jagt(-en), kutter(-en)@
@cut-throat@|@hensynsløst, lejemorder(-en), morder@
@cutthroat competition@|@høg over høg situation@
@cut-throat razor@|@barberkniv, barberkniv(-en), ragekniv@
@cuttie-stool@|@malkeskammel(-en), malkestol(-en)@
@cutting@|@beskæring, bidende, gennemskæring(-en), hugning, klipning(-en), overskæring, skærende, skæring, slibning, sårende@
@cutting (~timber)@|@skovhugst@
@cutting blowpipe@|@skærebrænder@
@cutting down@|@nedsabling@
@cutting edge@|@førende (fx forskning), knivsæg(-en)@
@cutting horse@|@detacherings hest@
@cutting nippers@|@bidetang(-en)@
@cutting out (cloth)@|@tilskæring@
@cutting remark@|@sarkasme, skarpt svar, sårende bemærkning@
@cutting up@|@skære i stykker, tilskæring@
@cutting utensil@|@snitter@
@cuttings@|@avisudklip(-et), udklip@
@cuttle fish@|@blæksprutte(-en)@
@cutty-stool@|@malkeskammel(-en), malkestol(-en)@
@CV@|@curriculum vitae(-et)@
@cwt@|@hundredweight (50.80234544 kg@
@cyanide@|@cyanid(-et), cyankalium@
@Cybele (fertility goddess)@|@Kybele (Magna Mater)@
@cybernetics@|@automatisk feedback(-et), kybernetik@
@cyclamen@|@alpeviol(-en)@
@cycle@|@cykel(-en), cykle, cyklus(-en), kredsløb(-et)@
@cycle of legends@|@sagnkreds@
@cycle trolley@|@skinnecykel@
@cyclic@|@periodisk@
@cycling tour@|@cykeltur(-en)@
@cyclist@|@cyklist(-en)@
@cyclone@|@cyklon(-en), hvirvelstorm@
@cyclops@|@kyklop(-en)@
@Cyclops@|@cyklop(-en)@
@cyclotron@|@cyklotron(-en)@
@cygnet@|@svaneunge@
@cygnets@|@ungsvaner@
@cylinder@|@cylinder(-en), tromle, valse@
@cylinder head@|@topstykke (motor)@
@cylinder head gasket@|@toppakning (motor)@
@cylindrical@|@cylindrisk@
@cylindrical cushion@|@pølle, trøster@
@cymbal@|@bækken (instrument), bækken (musik), bækken(-et)@
@cyme@|@kvast(-en)@
@cynic@|@kyniker(-en), kynisk@
@cynical@|@kynisk, sjælsrå@
@cynicism@|@kynisme(-en)@
@cynocephalus (fx. Anubis)@|@hundehoved@
@cynomys@|@præriehund@
@cypress@|@cypres (træ), cypres(-en)@
@cypress knee@|@figur skåret i dette materiale, luftrod(-en)@
@Cypriote@|@cypriot (fra Cypern)@
@Cyprus@|@Cypern@
@cyst@|@cyste(-en), udvækst@
@cystitis@|@blærebetændelse(-en)@
@cystolith@|@blæresten(-en)@
@cytogenesis@|@celledannelse(-en)@
@cytology@|@celleforskning(-en), cellelære(-en)@
