@English@|@Tujia@
@split-crotch trousers (for children)@|@ca1ca1ku3@
@spring@|@cun1tian1@
@squad leader@|@bang1zang1@
@squirrel@|@ze4ga3@
@stage@|@tai3@
@stain@|@ying2zi1@
@star@|@xi4bu2li1@
@start@|@kai1@
@stative@|@-bo3@
@step@|@ji3@
@stick@|@gang1pe1, ka3zu3@
@sticks@|@zi2@
@still@|@a4duo3, ai1, ai1ya1, ai4duo3, ai4duo3, hai3, hai3si2, yi1rang3@
@still more@|@geng2jia1, ye2geng1@
@stomach@|@se3pe3@
@stone@|@a3ba3, a3ti3ke3@
@stone wall@|@pi2@
@stool@|@cuo1ke1@
@story@|@gu1, pa3pa1@
@straw sandals@|@ji3ku3@
@strength@|@jing2@
@stretch of road@|@la4dao1@
@string@|@hhe2la1@
@study@|@ci1tu1, tu1@
@such a big one@|@he2ba3, he2ri3ba3@
@such a little one@|@he2kui1@
@suffix come@|@-axie2@
@suffix for male@|@-a1ba1@
@suffix little@|@-bu2li1@
@suffix not have@|@-bu1ce3@
@suffix not reach@|@-bu1duo3@
@suffix not succeed@|@-bu1ceng3@
@suffix not well@|@-bu1hao1@
@suffix to come@|@-adi2@
@sun@|@lao3@
@supper@|@ye2huan1@
@surname@|@jia1ka1, tian3@
@surprise attack@|@ye2luo3sang3@
@sweat@|@gu1ce3@
@sweets@|@tang3si3@
@table@|@si3tie2, xi3tie2, zuo2zi1@
@tail@|@lie3pong2, wei3@
@Tasha (rural township in Longshan County)@|@ta1sa1@
@tea@|@ra2ce3@
@tea (drink)@|@a2ce1@
@tea caddy@|@ca3guan3@
@teacher@|@po2ga1@
@tea-leaf@|@ra2gu1@
@tears@|@bu1ce3, luo2bu1ce3@
@teeth@|@si1si1ma3zi3@
@television@|@dian2si2@
@temple@|@miao2@
@temple to the deified Tujia chieftain@|@tu1wan3gong1@
@ten@|@hi2, si3@
@ten li (distant place)@|@si1li1@
@tent@|@zang2@
@term of reference for ancestors@|@long3jia1@
@terrible@|@bu2die1liao1@
@that@|@a1di1, ai1, ai1di1, ai1di1, ei1, ei1di1, na2@
@that which@|@-ci3, -ci3la1, -xi2@
@the common people@|@be2jia1xing2, lao1be3xing1@
@The Eight Great Kings (Tujia legend)@|@ye3ti3ci1ba1@
@The Four Books and the Five Classics@|@si2su1wu1jing1@
@the more...@|@ye2@
@the Party Central Committee@|@dang1zong1yan1@
@then@|@-cai3, -zu2, ai1, ai1lie1, ai1me1, jiu1, na2me1@
@there@|@-cai3, a1duo1, ai1du1, ai1du1, ai1jie3, ao1, ao1du1, ao1jie3, ao1jie3, eng1ge1, eng1ge1la1bi3, gao2, gu3la1bi1@
@therefore@|@ai1mo3, suo1yi1@
@thesis@|@lun2weng3@
@they@|@ge4, ge4ze1, ge4ze3@
@thigh@|@ji3si3pe1@
@thing@|@ye3@
@third@|@di2sang1, di2suo1@
@this@|@eng1, eng1di1, gai2, gai3di1, ge3, ge3di1, ze2guo1@
@this locality@|@beng2di1@
@this morning@|@jing1zao1, lei1huan1lang1@
@this year@|@long3bai3, long3bei3@
@thorn@|@ta2se1@
@thread@|@tu4mong3@
@three@|@sang1, suo1@
@'Three Character Primer'@|@sang1zi2jing1@
@three-legged pot for cooking rice@|@xie1pong1@
@threshing box@|@da1dong1@
@through the night@|@tong1ye1@
@thumb@|@ni3ga3@
@thunder@|@me2ta1ce3@
@Tianqiao (village in Tasha rural township)@|@tian3qiao3@
@tidy up@|@si2si1@
@tiger@|@li2@
@tiger demon@|@li2jing1@
@time@|@si3, si3hou3, si3jian1@
@tjg.k.09@|@ka3kei1la3lei1@
@to accord with@|@zao2@
@to agree@|@ce3@
@to answer@|@ti2@
@to appear@|@xian2@
@to arrive@|@ye4@
@to ask@|@se1li3, si1lie3@
@to badly need@|@ji2yong1@
@to be@|@si1@
@to be (very) heavy@|@du4ji3ji3, du4zi3zi2@
@to be accustomed@|@guan2si1, xi3guan2@
@to be amazing@|@liao1bu3qi1@
@to be angry@|@mao2huo1, me3ga2@
@to be arduous@|@long1ke3si2li1@
@to be asleep@|@nie2bie1@
@to be at@|@zai2@
@to be at an end@|@sa2guo1, sa3guo1@
@to be bad@|@die2ka1la1, huai2@
@to be beautiful@|@re4, re4kui2, re4kuo3kui1@
@to be bitter@|@ke2ji1@
@to be born@|@cu3seng1@
@to be bright@|@jia1jia1, ku1su3, lian2@
@to be broken@|@kuo3@
@to be cheerful@|@kuai2huo1, kuai2kuai1huo3huo3, nie4li1nie4ga2@
@to be coarse@|@cu3@
@to be cold@|@sa4@
@to be cooked@|@a1jie1@
@to be cunning@|@jing1wei1@
@to be curved@|@wan1@
@to be dark@|@wo3ki1ki1@
@to be difficult@|@kuo1ki1, lang1@
@to be dry@|@me2ga3@
@to be early@|@zao4@
@to be easy@|@rong3yi2@
@to be empty@|@kong1@
@to be even@|@yun3@
@to be familiar with@|@su2@
@to be fast@|@kuai2@
@to be fat@|@hui3@
@to be few@|@pu1ci3@
@to be fierce@|@wo2@
@to be fine@|@xi2@
@to be formidable@|@heng4, za2si1, za2xi1@
@to be frugal@|@zang4@
@to be full@|@mang4, me3jie2@
@to be full of holes@|@dong3qi2dong3ga2@
@to be glossy@|@you3guan3ga1@
@to be gone@|@zao3@
@to be good@|@ca2, hao4, ze3@
@to be grand@|@seng2zong2@
@to be green@|@xing2ga1die3@
@to be hard@|@ki4, ngeng2@
@to be hard-working@|@a2lie1@
@to be heavy@|@du4, zong2@
@to be hungry@|@a1, li2a4@
@to be important@|@dang1jing1@
@to be in balance@|@ping3heng3@
@to be in disorder@|@luan2@
@to be in large pieces@|@leng3kuo3@
@to be kind@|@luo4zi2@
@to be large@|@ci4, da2@
@to be light@|@ru4@
@to be long@|@hhe3@
@to be loose@|@bu1luo3@
@to be many@|@ri3, za2sai1@
@to be new@|@xing1@
@to be obedient@|@me2di1@
@to be old@|@lao4@
@to be patient@|@lai2huan1@
@to be poisonous@|@du2@
@to be possible@|@kuo1neng3@
@to be prompt@|@kuai2dang1@
@to be raw@|@a1hong1@
@to be ready-made@|@xian2@
@to be red@|@mian1jie1@
@to be reluctant to part@|@se1bu1die3@
@to be round@|@tuan3tuan3zuan2zuan1@
@to be sharp@|@jian1, xi1la3, xi4@
@to be short@|@zong4@
@to be shy@|@ru1ga3@
@to be slow@|@die1, mang2@
@to be small@|@suan4@
@to be smooth@|@bi3lian1li2, sun2tang1@
@to be soft@|@ruan4@
@to be sufficient@|@cong1, zu2@
@to be suitable@|@ngang3huo1@
@to be tall@|@gao1@
@to be tense@|@jing1zang1@
@to be thick@|@hou2@
@to be thin@|@bo2bo1, sa3sai1, wai1@
@to be thirsty@|@ze2ga3@
@to be tidy@|@zeng1zeng1qi3qi3@
@to be tight@|@kang1lang1@
@to be tired@|@lao1huo4@
@to be true@|@zeng1zeng2@
@to be unable to deal with@|@xia1xi1@
@to be unlucky@|@ming2xing1lang1@
@to be upright@|@zi2@
@to be very afraid@|@ge4di1ge4ga2@
@to be very anxious@|@ji2di1ji2ga2@
@to be very bitter@|@ke2ji1ji1@
@to be very black@|@lang2ga1zao3zao3@
@to be very bluish-green@|@xing3di1xing3ga2@
@to be very bright@|@ceng3ta3@
@to be very cold@|@wu2qi1qi1@
@to be very flat@|@bi3gua3ta3@
@to be very good@|@ca2di3ca2ga2, sang2jing1@
@to be very many@|@ri3di2ri3ga2@
@to be very pretty@|@re4di3re4ga2@
@to be very soft@|@be3bei1@
@to be very thin@|@bao3hui1hui1@
@to be warm@|@luo4@
@to be weak@|@ta2si1@
@to be white@|@a3si3@
@to be wide@|@kuan1@
@to be yellow@|@wan3ga1die3@
@to be young@|@nian3qing1@
@to bear@|@ji2@
@to become a sworn brother@|@ha3@
@to become a sworn sister@|@ha3@
@to become angry@|@ga2@
@to become dry@|@ga3@
@to become old@|@a2pei1@
@to beg@|@guo2@
@to begin@|@kai1si4@
@to bind@|@ti2@
@to block@|@duan4@
@to bloom@|@ka1pu1pu3@
@to blow@|@cui1, mie2, su4@
@to blow (of wind)@|@re2@
@to boil@|@pe4@
@to borrow@|@ong1@
@to bow@|@gong1@
@to break@|@die3, duan2, kuo1, pi3@
@to break apart@|@bi1ci4@
@to bring@|@kuai4@
@to build@|@ce2, ci2, su2@
@to bulge@|@gu4@
@to burn@|@da4, gi3, ra4, wu2@
@to bury@|@bong3@
@to calculate@|@suan2@
@to call@|@jiao2, jiao3@
@to carry@|@dai2, di1di1, di1die4, ke4@
@to carry on a shoulder pole@|@xiao2@
@to carry on the back@|@tuo3, wo4@
@to carve@|@diao1@
@to catch sight of@|@kang2duo1@
@to celebrate Chinese New Year@|@ce3ka3, ci1ka1@
@to celebrate the Shebajie festival@|@se1pa1se1@
@to change@|@bian2, zi2@
@to chase@|@jie4@
@to cheat@|@ca4@
@to chop@|@sa1@
@to close@|@la3@
@to collapse@|@kua4@
@to collide@|@peng2peng1@
@to comb@|@xi3@
@to comb out@|@ci3@
@to come@|@eng3jiu3, eng3qie2, eng3zou2, lai1@
@to come across@|@peng2duo1@
@to come down from the mountains@|@xia2sang1@
@to commence@|@jie1reng1@
@to compare@|@bi1jiao1, ya2@
@to contain@|@hang3@
@to cook@|@bang2, luo2@
@to count@|@dian4, hi4@
@to cover@|@du3, tao2@
@to cradle in the arms@|@be4@
@to cram@|@song3@
@to crawl@|@xi1pa1@
@to cross@|@a2, huan4@
@to crow@|@rong2@
@to cry@|@ji2, zi2@
@to cry copious tears@|@be1ce3cu1cu1@
@to cut@|@ga4@
@to dare@|@gang1@
@to dart about@|@ji1li1gu1lu1@
@to dawn@|@me2su3@
@to delay@|@dang1guo1@
@to deliver@|@xia2@
@to depend on@|@kao2@
@to detect@|@hua1jiao3@
@to develop@|@la3@
@to die@|@se2@
@to dig@|@di3, ga4@
@to discuss@|@sang1lian3@
@to disperse@|@sang2@
@to dissect@|@ha2@
@to divide@|@da4pi3@
@to do@|@bang2@
@to do well@|@ceng1tu1@
@to drag@|@tuo1@
@to draw@|@hua2@
@to dress up@|@da1bang2@
@to drip with@|@cang3cang3@
@to dry in the sun@|@lang3lang2, ta2@
@to eat@|@ga2@
@to endure@|@ngao2, seng3@
@to enjoy@|@huan1xi4@
@to exchange@|@a2li1, tiao4@
@to explore@|@tang2@
@to extinguish@|@xi2@
@to face@|@dui2@
@to fall@|@da2@
@to fear@|@ge4@
@to feed with@|@a4, a4@
@to fetch@|@a3@
@to fight@|@ji1@
@to finish@|@ai3xi2, jie3su3@
@to finish work@|@jie2po1@
@to fling@|@la2, suai4@
@to float@|@ta3@
@to fly@|@ra2@
@to follow@|@dang1guo3@
@to force@|@ya2@
@to forget@|@si1ma3, xi1ma3@
@to gather up@|@long1@
@to get@|@ti3@
@to get on well@|@dao1ca2@
@to give@|@lie2@
@to glide@|@biao1@
@to go@|@hhi2@
@to go down@|@da3@
@to go out@|@zu2@
@to go to bed@|@nie2@
@to go to market@|@cang3gang4@
@to go up@|@gu3@
@to grind@|@mo3@
@to grind (with a hand mill)@|@bo4@
@to grow@|@si3@
@to grow up@|@ong2@
@to guard@|@ka4@
@to hang@|@gua2, kei3yi1, zuo1@
@to hate@|@heng2@
@to have@|@xie2, you1@
@to have a mind to@|@you1xing1@
@to have a night-time snack@|@xiao1ye1@
@to have fun@|@ge3ci2@
@to have+[now]@|@xiao2@
@to hear@|@ru3, xi4@
@to help@|@da4xi4@
@to help someone@|@a2hu1@
@to hide from@|@ye4@
@to hit@|@ha3@
@to hoe@|@pu2@
@to hold@|@hao3, huo3, za4@
@to hunt@|@si3jie4@
@to hurt@|@di2@
@to hurt badly@|@di2di1di2ga2@
@to insert@|@ca3@
@to install@|@ngang1@
@to jump@|@tiao2@
@to keep an eye on@|@zi1@
@to kill@|@bii2@
@to kneel@|@ki4@
@to knock@|@tuo4@
@to know@|@ha1, ha4ri3, hao4ri3@
@to know now@|@hao4rou3@
@to kowtow@|@ka1ta1bu2@
@to labour@|@hu3ri1, jie2ri1@
@to lay out@|@bai4@
@to lead@|@xi4@
@to leak@|@he3@
@to lean@|@pian1@
@to lean against@|@hong2@
@to leave@|@bie4@
@to liberate@|@gai1huan3@
@to lie prone@|@pe3@
@to lift with both hands@|@be4@
@to light@|@ti2@
@to look after@|@zao2gu1@
@to look at@|@ba4@
@to look for@|@ni1@
@to lose@|@bie1li3, su1@
@to love@|@a2ci1@
@to make progress@|@zang4jing3@
@to manage@|@guan1@
@to marry (of a woman)@|@cuo4zu4@
@to meet@|@a3@
@to mix@|@huo4@
@to moisten@|@ci4, pa3@
@to move@|@be4, bong2long1, yi3@
@to not be good@|@ca1huo4@
@to not have@|@mei2die3, mei3you1, tai2@
@to not have now@|@tao2@
@to not know@|@ha1tai2@
@to not want@|@ta3hong2@
@to not work@|@bu2xing3@
@to obey@|@sun2@
@to offer@|@gong2@
@to offer tribute@|@jing2gong1@
@to open@|@tong2@
@to open up@|@kai1huan2@
@to open wide@|@ga2ga1@
@to overturn@|@pie2@
@to pack@|@cu4@
@to pass through@|@tong1@
@to pay attention to@|@zao1hu1, zu2yi1@
@to peel@|@xie4@
@to pierce@|@dong3@
@to pinch@|@ku2su1@
@to place@|@duo1, po1, ti1@
@to pluck@|@pie4, tang3@
@to pour@|@tu2@
@to prepare@|@zun1bei3@
@to prime@|@bang1@
@to protect@|@bao1hu3, bao4, hu1@
@to pull@|@ye4@
@to pull up@|@wu4, xi3@
@to push@|@si3, xiao1@
@to quick-boil@|@dang4@
@to rain@|@me2ze3, ze3@
@to raise@|@long4@
@to read@|@ci1tu1@
@to realise@|@si2xian1@
@to receive@|@ta4@
@to recite@|@nian2@
@to recollect@|@hui3yi2@
@to remove@|@cu3@
@to repeatedly urge@|@a3po1li1@
@to resemble@|@da4ye2ze3, da4ze3, ze3@
@to resist@|@teng2@
@to resound@|@xian1lian2@
@to rest@|@hi4, xiu1, xiu1xi3@
@to retire@|@tui2xiu1@
@to retract@|@ku2ru1@
@to return@|@song1kuo1@
@to ride@|@ji4@
@to rub@|@rua3, za4@
@to run@|@hu4ca3, xi4ca3@
@to say@|@li3@
@to scatter@|@sa4@
@to scoop up@|@lu1@
@to scrape@|@gua2@
@to scratch@|@bi2la1@
@to search@|@sou1@
@to see@|@ya3, yi3@
@to seek a livelihood@|@tou3seng1@
@to sell@|@lu3, mai2, pii1, pu1@
@to send@|@pa3qie2, pai2, si2, sou2@
@to separate@|@ge2, pi3, pie3@
@to serve@|@hu1si4@
@to serve as@|@dang1@
@to serve as a soldier@|@bing1dang1@
@to set off@|@dong2seng1@
@to shave@|@ti1@
@to shift responsibility@|@pa3@
@to shine@|@lao3ci3@
@to shine brightly@|@jia2li1jia2@
@to shiver@|@ki1si1@
@to shoot@|@ra4@
@to shout@|@jie3, mo2hu1@
@to show consideration@|@liu3qing3@
@to show respect@|@jing2@
@to sing@|@cang2, cang2guo1@
@to sit@|@ong3@
@to slash and burn@|@za2@
@to smell@|@lang3@
@to smile@|@nie4@
@to sneeze@|@peng2@
@to soak@|@bu4@
@to solve@|@gai1jie3@
@to sound@|@ong3@
@to sow@|@se1@
@to speak@|@sa3li3@
@to spend time@|@ka1@
@to spin@|@ye3luo3, za2@
@to spit@|@tu4@
@to spread@|@pu1@
@to squat@|@gu1du4@
@to stand@|@zu1, zu1zu4@
@to start business@|@kai1zang1@
@to steal@|@a4yi3, hhe2@
@to steam@|@tong4@
@to steep@|@za1@
@to stick@|@ba1, tie2@
@to stir-fry@|@cao4@
@to stoop@|@ku2ku1@
@to store@|@ceng3@
@to store up@|@jian1si3, su1su1@
@to stretch@|@zi2zi1@
@to string together@|@li4@
@to strive for@|@zeng1qi1@
@to study@|@a2hhi1, a2yi1@
@to submerge@|@ngang2@
@to suck@|@ku3@
@to supply@|@pang3@
@to support@|@zi1ci3@
@to surround@|@wei3, wo3@
@to sweep@|@hhi3@
@to swell up@|@hu3@
@to take a wife@|@a3@
@to take out@|@cou1, gu1zu4@
@to take part@|@cang1jia1@
@to tear@|@ci1ca4@
@to tell@|@jian1, ze2@
@to thank@|@ang2zai1@
@to think of@|@die2@
@to train@|@lian2@
@to transmit@|@cuan3@
@to tread@|@za2@
@to turn@|@zuan2@
@to twist@|@ce4@
@to unite@|@tuan3yan3@
@to use@|@huo3lie3, lie3, si4@
@to want@|@di4@
@to wash@|@wo1@
@to wear@|@da2@
@to wear a hat@|@die4@
@to weave@|@ta4@
@to wield@|@hui1@
@to win@|@ying3@
@to winnow@|@ce1@
@to work@|@gao1, zou2gong1@
@to wrap@|@pe1@
@to wrestle@|@da1bu3@
@to write@|@a2@
@tobacco@|@yan1@
@today@|@lai4, lei4@
@together@|@da4, da4ha3, yi2ha1lie1, yi2qi3@
@tomorrow@|@lao2ji1, lao2zi1@
@tongue@|@yi2la1@
@tonight@|@la3tie2, la3tie2pe2lu1@
@tooth@|@si1si1@
@top@|@dian1dian1@
@topic marker@|@me, meng, ming@
@topple@|@geng1ke4@
@touch@|@bu1bu3, bu1mu3@
@towards@|@-bo3@
@township@|@zeng2@
@township head@|@xian1zang1@
@tree@|@ka3mong3@
@tribe@|@bu2luo4@
@troops@|@dui2, dui2wu1@
@trough@|@cao3@
@trousers@|@ku3@
@true words@|@zeng1di1hua1@
@truly@|@zeng1di1@
@trumpet@|@la1ba3@
@truth@|@si2hua1@
@Tujia 'baishouwu' dance@|@bai1sou1, bai1sou1wu1@
@Tujia chieftain (later deified)@|@tu1wan3@
@Tujia language@|@bi2zi1, bi2zi1sa3@
@Tujia minority@|@bi2zi1ka3, tu1jia1zu3@
@Tujia musical entertainment@|@liu1, liu1zi1@
@tung (tree)@|@tong3@
@two@|@ai2, lian1, nie1@
@type of bamboo@|@bang1zu1, lang3zu1, sang1zu1, sui1zu3@
@type of gun@|@lian3qian1, zua3zi3cong2@
@type of knife@|@tuo1luo1su1ku1, zao2ri3su1ku1@
@uncle@|@a2be1, a3qi4, ang1bei1, be3be1, ka3ke3@
@uncultivated land@|@huo1sa1, ye4@
@unfortunately@|@bei1si1@
@unimportant matter@|@xian3si2@
@until@|@mo3@
@urine@|@hhe1ce1@
@usually@|@jing1@
@vegetable garden@|@wo1la1@
@vegetables@|@ha1ce1@
@vehicle@|@ce1zi1@
@very@|@-ji2, -la1tai2, -si3tai2, -xi3, -xi3la1tai2, -xi3tai2@
@very little@|@dian1mei1dian1@
@vice-chairman@|@hu2zu1xi3@
@vice-prefectural governor@|@hu2zou1zang1@
@village@|@long3cun1, luo1you1, zai2, zai2zi1@
@viscera@|@mao3ni1xia2huo1@
@voice@|@a2re1@
@wait a moment!@|@la2die1@
@want@|@-aduo3, -duo3@
@want to@|@-ca2, -ya1ca1@
@warm@|@sa2gi1@
@water@|@ce3@
@we@|@ang2, ang2ni1, ang2ni1, ma2ni1, ma2ni1@
@we ourselves@|@ang2duo3@
@weather@|@tian1qi1@
@well@|@-die3hao1, -hao1, cai3mo1, ce3mong2@
@well-behaved@|@guai1@
@what@|@kei2di1, lai1, lai1xi3, lei1xi3, seng1mo3@
@wheat@|@me2zi1@
@whelp@|@bi2bi1@
@where@|@kei2, kei3, kei3du1, kou2@
@which@|@kei2@
@who knows?@|@xiao1@
@who(ever)@|@a3se4, a4se3@
@wife@|@luo3ga3ni2@
@wild boar@|@ye1zu1@
@wild cat@|@zuo2ku1@
@wild onion@|@ra3ki1ci3@
@will@|@hui1@
@willing@|@-ce1@
@willow tree@|@ce3ci1ke3@
@wind@|@re2su4@
@window@|@lian2cuan1@
@wing@|@jie2tang1ke1@
@wire strainer@|@lao1su1@
@-wise@|@mo3@
@wok@|@ta2ku1@
@won't@|@-ta1, -ta1lie3@
@won't+now@|@-tao1@
@wood@|@mu3@
@wood used for kindling@|@cong3gao3@
@wooden frame above fireplace@|@kuo1lie1@
@wooden pillar@|@ka3tong3@
@wooden tray@|@ca3pang3@
@woollen blanket@|@mao3tang1zi1@
@words@|@hua1@
@work@|@gong1hu1, gong1zuo3, hu3@
@world@|@si2gai1@
@writing@|@ci1ci1, zi2@
@Wuhan@|@wu1hang2@
@Xiangxi Prefecture (in north-west Hunan province)@|@xian1xi1@
@Xichehe (township in Longshan County)@|@xi1ce3, xi1ce3huo3@
@Xindi (village in Tasha rural township)@|@xing2di1, xing2diu1@
@year@|@long1, nian3, se1tong1@
@year (of age)@|@sui2@
@yes@|@si2di1, sou2@
@yesterday@|@pong3ni2@
@yet@|@-nie2, a4duo3, ai1, ai1ya1, ai4duo3, ai4duo3@
@Yinjiang (in north-eastern Guizhou)@|@ying2jian1@
@Yongshun (county in Xiangxi Prefecture)@|@ying1seng3@
@you@|@ni2@
@you (pl)@|@se2, se2ni2@
@you yourself@|@ni2duo3@
@you yourselves@|@se2duo3@
@young woman@|@ma3ma1@
@younger brother@|@ang1ngai4@
@younger sister@|@a1mi1, mei3mei1, rong4@
@Your Majesty@|@huan3sang2@
@youth@|@nian3qing1reng3@
@Yuanling (town in north-west Hunan province)@|@yan3leng3@
@Zhangjiajie (city in north-western Hunan province)@|@zang1jia1jie2@

