@English@|@Kazakh@
@to rise@|@ör-, ör-, qalqy-@
@to rize@|@min-@
@to rob@|@op-, tala-@
@to roll@|@awyn-@
@to rot@|@iri-, širi-@
@to rub teeth@|@qajra-@
@to say@|@de-@
@to scold@|@žekir-@
@to scrape@|@qašy-@
@to search@|@tinti-@
@to see@|@kör-@
@to sell@|@sat-@
@to separate@|@ajyr-@
@to sew@|@qajy-@
@to sew tightly@|@syry-@
@to shake@|@silki-@
@to shiver@|@bez-@
@to shorten@|@šoltyj-@
@to sift@|@ele-@
@to singe@|@üjt-@
@to sink@|@bat-@
@to sit@|@otyr-@
@to sleep@|@ujyqta-, žat-@
@to slide@|@taj-@
@to smoke@|@tüte-@
@to snow heavily@|@bora-@
@to sober up@|@ajyq-@
@to sow@|@ek-@
@to speak@|@söjle-@
@to spit@|@tükir-@
@to split@|@žar-@
@to spread@|@žaj-, žaz-@
@to spread out@|@tösö-@
@to stand@|@tu_r-@
@to stand aloof@|@tosyrqa-@
@to steam@|@buw, buw-la-@
@to step@|@atla-@
@to stick in@|@suh-@
@to stick into@|@qada-@
@to stick to@|@žuq-@
@to stir up@|@pis-@
@to stir with a poker@|@köse-@
@to strain@|@süz-@
@to strangle@|@bu-@
@to suck@|@sor-@
@to suffer@|@küj-, küjin-@
@to support@|@tire-@
@to swallow@|@žut-@
@to swell@|@kebeže, qabar-@
@to swim@|@žuw-@
@to take@|@al-@
@to taste@|@tat-@
@to test@|@syna-@
@to thread a needle@|@sap-@
@to threaten@|@sesken-@
@to tie in a knot@|@tüj-@
@to torture@|@qyjna-@
@to trace@|@sonar-la-@
@to trample@|@tapa-@
@to treat with steam@|@bu-la-@
@to trip@|@šal-@
@to trot@|@mang-@
@to tumble@|@awna-@
@to turn@|@üjir-@
@to turn over@|@aw-dar-@
@to understand@|@uhyn-@
@to untie@|@šeš-@
@to vomit@|@qus-@
@to wake up@|@ojan-@
@to wake up (trans.)@|@ojat-@
@to walk@|@bar-, qydyr-, žür-@
@to weave@|@toqy-@
@to win@|@ut-, ženg-@
@to wipe@|@syla-@
@to wish@|@qyzyan-@
@to wrap round@|@tolha-@
@to wrinkle@|@bür-@
@to write@|@žaz-@
@Toilet@|@azhetkhana@
@tooth@|@tis@
@top of head@|@töbe@
@tops of boots@|@qonyš@
@trace@|@iz@
@tramp@|@tep-@
@tree@|@Aghash, ahaš@
@tremble@|@bez-@
@tribe@|@üq@
@tripod@|@tahan@
@trot@|@mang, žel-@
@trouble@|@žut@
@trust@|@sen-@
@tuck@|@qymta-, qymty-@
@turf@|@šym@
@turkey@|@kürke-tawyq@
@Turtle@|@Tas-bak-ah@
@twist@|@es-@
@two@|@eki, yeki@
@udder@|@želin@
@uncle@|@taha@
@understand@|@tüsin-@
@unexpectedly@|@tosyn@
@unite@|@qos-@
@unrelated@|@ögej@
@unsubstantial@|@žuqa@
@upper layer@|@qyrtys@
@upper part of sabre@|@žalman@
@variegated@|@ala@
@various@|@türli@
@vein@|@tamyr@
@vertical@|@tik@
@very@|@eng, ije@
@vessel@|@könek, ydys@
@viburnum@|@šenggel@
@vinegar@|@sirke@
@voice@|@ün@
@vulture@|@tasqara@
@vulva@|@am@
@waist@|@bel@
@walnut@|@žanghaq@
@war@|@žaw@
@warm@|@žyly@
@wart@|@süjel@
@water@|@su, sue, sw@
@water nut@|@tumbujuq@
@way@|@jol@
@we@|@biz@
@weasel@|@küzen@
@wedge between trouser legs@|@aw@
@weep@|@ynqyl-da-@
@welcome@|@sälem@
@well@|@bulaq, qujy@
@what@|@ne@
@wheel hoop@|@tohyn@
@wher is the bar?@|@qay zherde bar?@
@wher is the beach?@|@qay zherde plyazh@
@Where is@|@qayda?@
@where is my room?@|@mengym bölem qay zherde ekeng@
@whetstone@|@bilew, šar@
@which@|@qaj@
@whirlpool@|@oppa@
@white@|@ak, aq@
@white blaze@|@qasqa@
@white lead@|@opa@
@who@|@kim@
@wicked@|@žaman@
@wide@|@keng@
@widower@|@tul@
@wild game@|@ang@
@wild goat@|@elik@
@wild onion@|@žuwa@
@wild turkey@|@ular@
@willow@|@toranghy@
@win@|@oz-@
@wind@|@žel@
@wind round@|@bur-, bura-@
@window@|@tüngdik@
@windpipe@|@öngeš@
@wing@|@qanat@
@winnow@|@želpi-@
@winter@|@qys@
@wither@|@sol-@
@wolf@|@böri, qasqyr@
@wonder@|@tang@
@wonderful@|@tangsyq@
@wooden nail in camel's nose@|@bujda@
@wool@|@žün@
@worm@|@qu_rt@
@wormwood@|@izen@
@worship@|@tabyn-@
@wound@|@žara@
@wrestle@|@keris-, küres-@
@year@|@žas, žas, žyl@
@yellow@|@saruh, sary@
@yellow of a horse@|@žijren@
@yes@|@zjockza@
@Yes@|@ee-ah@
@you@|@sen@
@you (formal)@|@siz@
@you (pl)@|@sender@
@you (pl. formal)@|@sizder@
@young@|@žas@
@young animal@|@balapan@
@young lamb@|@bojdaq@
@young of camel@|@bota@
@young pig@|@šošqa@
@younger brother@|@ini@
@younger sister@|@singli@
@yurt poles@|@aq tyhyr@

