@English@|@Wolof@
@hunchback@|@xojogaane@
@hundred@|@teemeer, téeméer@
@hunger@|@xiif@
@husband@|@jëkar, jëker@
@Husband@|@jaikarr@
@hyena@|@buki, bukki@
@hygiene@|@cet@
@hypertension@|@tasiyong@
@hypnotizer@|@jatkat@
@I@|@maa, maan, man@
@I already went to Dakar@|@Demoon naa Ndakaaru@
@I am@|@laa, laa, maang, maang, mangi@
@I am fine@|@Jama Rek, Maa ngi fii rekk@
@I am going (here and now)@|@Maa ngi dem@
@I don't understand@|@ham muma, munu maa ham linga wah@
@I go already@|@Dem naa@
@I hope@|@mbaa@
@I say@|@ma, mane@
@I usually go@|@Damay dem@
@I will go soon@|@Dinaa dem, Dinaa dem@
@I will not@|@duma@
@I will tell them@|@Dena Len Kowah@
@I would like to buy...@|@dama buga jainda@
@Ice cream@|@Radi galaas@
@idea@|@xalaat@
@idol@|@xërëm@
@if@|@suñu@
@if its pleases God@|@inchaalaaxu@
@if you@|@soo@
@if you want; go home@|@soo eboo ñibi@
@iguana@|@bar@
@I'll buy it@|@dinaa koh jainda@
@I'll reach home in a while@|@dinaa aaga kër ci kanam@
@ill-fated@|@gaaf@
@I'm fine@|@Maa ngi fii@
@image@|@der@
@immediately@|@daldi@
@immobile@|@laja@
@implements@|@bëykaay@
@importance@|@jëriñ, njëriñ, solo, soloh@
@important@|@maaga@
@in@|@ci, si@
@in there@|@ci@
@in-between@|@diggante@
@incense@|@curaay, cuuraay, xeeñal@
@indian almond@|@gerte-tubaab@
@inevitable@|@jaas@
@inexpensive@|@jar@
@inhabitant@|@waa@
@in-law@|@goro@
@inquisitive@|@faas@
@insect@|@roj@
@insert@|@daabuux@
@insufficient@|@doyadi@
@insult@|@saaga@
@interior@|@biir@
@inter-rival relationship@|@gaamo@
@iron@|@weñ@
@is@|@mu, penku@
@Islam@|@islaam, lislaan@
@isn't that@|@xanaa@
@Ivory Coast@|@koddi waar@
@jam@|@jam@
@january@|@Tamharit@
@jar@|@njaxa@
@jaw@|@ngaamam@
@jealous@|@siis@
@jeopardy@|@lore@
@jewelry@|@jaaro, oor, takaay@
@jis; name of a fish@|@jis@
@joker@|@fokat, kafkat@
@Jolof; a village in Senegal@|@Jolof@
@jug@|@gutta@
@Juice@|@dagaar, Njar@
@July@|@Ndey-Kor, suuyee@
@jump about in confusion manner@|@cërpi-cërpi@
@junction@|@cëla, cële@
@June@|@Mamam-Kor@
@kettle@|@satala@
@key@|@caabi@
@kick@|@lopet@
@kid@|@gune@
@kilogram@|@kiló@
@kind@|@baax@
@king@|@buur@
@kitchen@|@waañ@
@knee@|@óom@
@Knee@|@Om@
@kneel@|@sukka@
@knife@|@paaka@
@knot@|@pass@
@knowledge@|@xam-xam@
@kola nut@|@guru@
@Kosher@|@du mayda@
@labour@|@mat@
@laddle@|@bakku@
@lady@|@soxna@
@lake@|@Deeg@
@lamb@|@mbote@
@lamb master@|@miswi@
@lance@|@xeej@
@land owner@|@lamaan@
@language@|@laka@
@lantern boat@|@fanaal@
@large@|@yaa@
@larva@|@walaxnja-xaan@
@last@|@muji@
@last child of the parents@|@caat@
@Last month@|@Weer bu passe@
@last name@|@santa@
@last night@|@bët, biig@
@Last week@|@Bes bu aay bu pas@
@Last year@|@Daaw@
@laundry@|@póot@
@leaf@|@xob@
@leak@|@seena@
@leave for good@|@uus@
@leek@|@pooro@
@left@|@Cammooñ@
@Left@|@cha mogn@
@left hand@|@caamoñ@
@leg@|@Barami Tanca B, tank@
@let him@|@na@
@letter@|@araf, Bataaxal, bataaxel@
@lettuce@|@salaat@
@liar@|@kaacikat, netalikat@
@library@|@kaggu@
@lice@|@teen@
@lie@|@kaaci@
@life@|@dundori@
@light@|@jafal@
@lightening@|@mlaxal@
@lightning@|@melax@
@like@|@ko, ni@
@like that@|@niir@
@liking@|@mbuggéel@
@lime@|@limong@
@line@|@liiñ@
@lion@|@gayinde@
@liter@|@liitar@
@little@|@tuuti@
@live@|@dekka, dunda@
@liver@|@rees@
@lizard@|@sindax, yal@
@lobster@|@suum@
@local African blouse@|@dagit@
@local beeds worn around neck@|@caxxa@
@local pants@|@caaya@
@locket@|@langal@
@locust bean@|@netetu@
@loincloth@|@sër@
@long@|@guda, gudd, gudda@
@look behind@|@geestu@
@look down on@|@tiim@
@look for@|@laxaañi, laxaarci@
@loud talk@|@ngaw-ngawi@
@love@|@nobéel@
@luck@|@worsag@
@luggage@|@bagaas, en@
@luke warmwater@|@nuga@
@lump@|@ooga@
@lunch@|@añ, Anyi@
@Lunch@|@agne@
@machine@|@masin@
@mad@|@dof@
@mad person@|@dof@
@made@|@jëf@
@magistrate@|@aateekat@
@maid@|@mbindaan@
@make an effort@|@goór-goórlu, jeém@
@male@|@bu góor@
@male cow@|@ëkka@
@male pilgrim@|@alaaji@
@Malian peanuts@|@gete-bambara@
@man@|@goor@
@mandinka masquerade@|@kankurang@
@mango@|@mangoro@
@mangroves@|@maangi@
@maniac@|@pullox@
@man's name@|@mandu@
@manure@|@maño@
@March@|@Gamo@
@market@|@ja, je@
@marriage@|@sey@
@mason@|@masong@
@masquerade@|@kumpo, simba@
@mat@|@basang, ndës@
@matches@|@almet, mace@
@mate@|@Andandoo@
@material@|@ndimó@
@Mauritania@|@gaanaar@
@May@|@Rakati Gamo@
@mayonaise@|@mayonees@
@me@|@dama, man, mangi@
@meals@|@Leka-yee@
@measles@|@ngas@
@measure@|@nata@
@meat@|@yaapa, yapa, yapp@
@Meat@|@ndawal@
@Mecca@|@makka@
@medicine@|@Garab@
@melon@|@xaal@
@merchandise@|@njaay@
@meter@|@meetar@
@mid wife@|@tiimkat@
@midday@|@yoor-yoor@
@middle@|@digg@
@midnight@|@Haji-Gudi, xaaji-guddi@
@milk@|@meew@
@millet@|@dugub@
@million@|@alfun@
@mine@|@Suma bos@
@minister@|@minista@
@Minute@|@Minit@
@mirrow@|@seetu@
@mischieve@|@caacaay@
@mistake@|@njuumte@
@modesty@|@kersa@
@moisten@|@kaas, tooyal@
@mom@|@yaay@
@moment@|@saas@
@monday@|@lundi@
@Monday@|@Altine@
@money@|@xaalis@
@money box@|@arankees@
@monkey@|@golo@
@month@|@weer@
@Month@|@werr@
@months@|@Weer Yee@
@mood@|@casgin@
@moor@|@amet@
@Moor@|@naar@
@more carefully@|@moytu@
@more than@|@gena@
@morning@|@suba@
@mortar@|@gënna@
@mosque@|@jaaka, jakka, jumaa@
@mosquito@|@yoo@
@mother@|@ndey, yaay@
@Mother@|@yai@
@motor bike@|@mobilet, toftof@
@mountain@|@Doj, xeer@
@mouse@|@janax, jinax@
@Mouse@|@Durimo, Durin@
@mouth@|@géemeñ, Gemmiñ, Jeme-nyi@
@move to the side@|@randu@
@much@|@fo@
@mud@|@potopoto@
@mulatto@|@malaatar@
@mulch@|@nax@
@mulching@|@dajale nax, tuñ@
@mum@|@meer@
@museum@|@Ker xarala@
@muslim@|@seriñ@
@muslin coffin@|@jaat@
@must@|@fo, fog@
@my@|@suma@
@My name is Lamin@|@Sama Tur Lamin La@
@My name is....@|@Maa ngi tudd(a) ...@
@nail@|@daaj, ponta, we@
@name@|@bori, faatu@
@name of a fish@|@coof@
@named@|@tudda@
@naming@|@ngénté@
@nape@|@loos@
@napkinks@|@ngemba@
@naught@|@dara, tus@
@navel@|@jumbax@
@near@|@daala, jegeh@
@neck@|@baat, baat, bat, bat, loos@
@needle@|@throat@
@negligent@|@besexeene@
@neighbour@|@dëkkandoo@
@nest@|@taaga@
@nest of bird@|@tagg@
@net@|@mbaal@
@nettle@|@gargamboose@
@never@|@muk@
@news@|@xibaar@
@Next month@|@Weer bu nyew@
@next person@|@keneen@
@Next week@|@Bes-Bu-aay bu nyew@
@Next year@|@Dewen@
@Nice@|@Mu ngi dox, Nice@
@niece@|@jarbaat@
@night@|@guddi, gudi@
@nil@|@ndam demut, ndam dikut@
@nine@|@jurome nyenent, juróom-ñeent@
@Nine@|@Jurom Nyenent@
@nine (1)@|@bees@
@nineteen@|@fuka ak jurome nyenent, fukk ak juróom-ñeent@
@nineth@|@juróom-ñeentéélu@
@ninety@|@jurome nyenent fuka, juróom-ñeent-fukk@
@nipple@|@cus@
@no@|@dedet, déedéet@
@no one@|@ken@
@noble@|@géer, gor@
@noise@|@coow@
@none@|@ben@
@noon@|@becak, bëcëk@
@nose@|@baken, Bakkan@
@nosy@|@dën-kumpa@
@note book@|@karne@
@nothing@|@dara@
@Nothing is new@|@Dara beesul@
@notify@|@yëgal@
@November@|@Digi@
@nowhere@|@fenn@
@obligation@|@farata, warugal@
@obligatory@|@dagan@
@obscurity@|@lëndëm@
@obstacle@|@ndog@
@ocean@|@geej@
@October@|@Hori@
@odor@|@xet@
@of course@|@baña, ko, ko, waawkañ@
@offer@|@so@
@offering@|@meye@
@oil@|@diw@
@oitment eye@|@tuuf@
@ok@|@aca@
@okra@|@kanja@
@okra soup@|@supa@
@old@|@mag@
@old man@|@maggat@
@old woman@|@magget@
@one@|@bena, benn, benna@
@one day@|@Bena bes@
@one eyed@|@pata@
@one hundred@|@taymerr, téeméer, Temayr@
@one million@|@alfoon@
@One o'clock@|@Bena waatu@
@one thousand@|@Bena Junee, Junee, juneh, junni@
@One ticket to ...; please@|@bena ticket pourr.....(ngela)@
@one who brews@|@xiimkat@
@one's personal affair@|@mbooja@
@oneself@|@suma boppa@
@onion@|@soble@
@onions@|@liñong, soble@
@only@|@fo, rek@
@Open@|@oubi, oubil@
@opened@|@ubéeku@
@operation@|@xar@
@opium@|@jaamba, jamba@
@opposite@|@jaakaarloo@
@or@|@wala@
@orange@|@soraans@
@origin@|@cosaan@
@orphan@|@baayo@
@ostrich@|@banjooli@
@other@|@beneen@
@others@|@yeneen@
@our@|@suñu@
@out@|@biti@
@out dated@|@xewi@
@outside@|@banta, Bisaab@
@outsider@|@doxanéem@
@oven@|@fuur@
@over@|@kow@
@over bend@|@ségga@
@over there@|@foofu@
@own@|@yos@
@oyster@|@yoxos@
@packet@|@paket@
@padlock@|@karnaat@
@pagan@|@ééfar, yéefar@
@pain@|@mettit@
@painful@|@meéti, metti@
@pair@|@peer@
@palm leaves@|@xobi tiir@
@palm oil@|@diwtiir@
@palm tree@|@tiir@
@palm wine@|@sënga@
@pan@|@paan@
@pancake@|@panket@
@pants@|@tubéy@
@pap@|@naan-mbuuru, ruy@
@parents@|@waajur@
@park@|@baya'l, baye@
@parlour@|@saal@
@parrot@|@caku, chaku@
@part@|@paar, xaajo@
@pauper@|@baadoola@
@paymaster@|@joolaa@
@payment@|@pey@
@peace@|@jaama, jamm@
@peace on to you@|@maaleekumsalaam@
@peacock@|@jambajóob@
@peanut@|@areen, baase, Cawar Jerte@
@peanut butter@|@dege@
@peanut cake@|@gato, ngato@
@peanut stew@|@maafe@
@peanuts@|@gerte@
@pear@|@piya@
@peasant@|@jambur@
@pedal@|@pedaal@
@peelings@|@xoolit@
@pen@|@xalimba@
@penis@|@cuucu, ganda, kooy, sulla@
@penny@|@buréy@
@people@|@Askan, gaa, nit@
@Pepper@|@kaani, pobahr@
@personality@|@donna@
@pestle@|@kuur@
@petrol@|@esaans@
@pharmacy@|@Farmasi@
@phlegm@|@ñandaxit@
@pick up quickly@|@cófit@
@piece@|@dogit@
@piece of music@|@buum@
@pierce@|@bónaa@
@pig@|@mbaam, Mbam-ala@
@pigeon@|@petax, pita, pitax@
@pile@|@tar@
@pimple@|@picca-picca@
@pin@|@pengu@
@pineapple@|@sanaan@
@pious@|@yiiw@
@pipe@|@géna, xaanu@
@pity@|@yérmaande@
@place@|@barab, bërëb, noo, noo, palaas, yaa@
@plait@|@lett@
@Plant@|@Garab@
@plastic@|@palasting@
@plastic bag@|@mbuus@
@plate@|@aset@
@play@|@po@
@playing cards@|@karto@
@pleasant@|@neex@
@please@|@Baal ma, ban@
@Please bring the bill@|@Da ma buga fay@
@pleasure@|@Banneex, coobare@
@plenty@|@bari, oom@
@plunge@|@cumbux@
@plunge in@|@soobu@
@pocket@|@jiba, poos@
@police@|@coy, polis@
@polite@|@mandu@
@politics@|@politic@
@pool@|@déeg@
@poor man@|@miskiin@
@pork@|@mbaam@
@Pork@|@yapi mbaam@
@porridge@|@cuuraa, fasoo, fonde, laax@
@portrait@|@nataal@
@possession@|@bos@
@post office@|@post@
@Postcard@|@kart@
@pot@|@sujeer@
@potato@|@patat@
@Potato@|@pompitair@
@potatoes@|@pompiteer@
@Poultry@|@ganarr, ginarr@
@pound@|@liibar, sooxa@
@pounded mould grain@|@mburu, naaka@
@power@|@doole@
@praise be to God@|@alxamdulilaa@
@praise singers@|@géwël, ñeeño@
@pray@|@juli@
@predictor 3rd person sing.@|@Dafa@
@pregnancy@|@biir, Bir@
@prepare@|@parepaare@
@prepare grain flour@|@mooñ@
@present@|@yóobal@
@previous year@|@Daaw@
@price@|@njëg@
@princess@|@lingéer@
@profession@|@méecé@
@prophet@|@yonnént@
@proselyte@|@tuubéen@
@prostitute@|@cagga@
@prostitution@|@caggatu@
@protect@|@tanka@
@protection@|@aar@
@protestant@|@gurment@
@provincial chief@|@ciif@
@provisions@|@nduggu@
@puberty for girls@|@janxatu@
@public hair@|@cooka, jaaf@
@puddle@|@taa@
@pump to gas@|@esanseri@
@pumpkin@|@baanga, naajo@
@pupil@|@njaangaan@
@pure@|@piir@
@purse@|@kalpe, nafa@
@put a load on one's@|@yen@
@puzzles@|@cax@
@python@|@yeew@
@quantity@|@buy@
@quarrel@|@tafaar, xuloo@
@queen@|@buumi@
@querilla@|@dingool@
@question@|@ban, ban, lang@
@quiet@|@miikar, nopi, tuuk@
@rabbit@|@Njombor@
@radio@|@rajo@
@rain@|@taw@
@rainy season@|@nawet@
@ramadan@|@koor@
@rapist@|@yeketaankat@
@rascal@|@saasaay@
@rat@|@janah, kaña@
@raw peanuts@|@gerte-xaaran@
@reach@|@jot@
@ready@|@banta@
@receipt@|@risit@
@reciprocal relationship@|@jëflante@
@recite@|@tari@
@red@|@lu-honha, xonk, xonxa@
@reduced@|@waañeeku@
@referee@|@arbit@
@rejoice@|@baaneexu@
@relationship@|@mbokk@
@relative@|@mbooka@
@relatives@|@bu, su@
@religion@|@diiné@
@remains@|@ndësit@
@remove@|@génee@
@repeat@|@defaat@
@representative@|@ndaw@
@residence@|@dekuwaay@
@respect@|@kersa, teranga@
@restaurant@|@leko kai@
@restrooms@|@wornak yi@
@return to live@|@deeki@
@rhum-palm@|@rom@
@rib@|@faar@
@rice@|@ceeb, maalo, sanxal@
@rice with fish@|@ceebu jën@
@right@|@jup, ndayjoor@
@Right@|@ndey jorr@
@right hand@|@ndeyjoor@
@ring@|@jaaru@
@rip oof@|@ngeeti, tapale@
@ripe@|@ñor@
@risk@|@jëngu@
@rivalry@|@wujje@
@river@|@Dex@
@road@|@tali, yoon@
@road tarred@|@tali@
@roasted peanuts@|@caaf@
@robe@|@kamisool, xaftaan@
@rock@|@Doj, xeer@
@roll on the ground@|@bóróngu@
@room@|@neeg@
@Room@|@naik@
@root@|@reen@
@roots@|@reen@
@rope for the well@|@goj@
@rosary beeds@|@saapilet@
@rotted@|@nëb@
@round@|@móróg@
@run about@|@fir-firi@
@'s@|@i@
@sacrifice@|@sarax@
@sales@|@njarte@
@salt@|@tilim, xorom@
@Salt@|@horom@
@salty@|@xorome@
@same@|@nuroo@
@sap@|@laalo, meen@
@sarong@|@sër@
@satan@|@ibliis, seytaane@
@satisfied@|@doylu@
@Saturday@|@Gaaw, samdi@
@sauce@|@soos@
@save from trouble@|@musal@
@savior@|@musalkat@
@Say hello to them@|@Nuyul-ma Len@
@saying@|@waxin@
@scales fish@|@wasintoor@
@scarf@|@tegu@
@scatter@|@tas@
@scavenge@|@kës@
@scent@|@xet@
@school@|@daara, jangukaay@
@scissors@|@siso@
@score@|@marke@
@scorpion@|@jiit@
@scraf@|@fulaar, kaala@
@screen@|@sanke@
@screws@|@wiis@
@sea@|@geej@
@seagull@|@kiri-geej@
@season@|@tang@
@season of rains@|@nawet@
@second@|@ñaareel, ñaaréélu, Nyaaral bi@
@second wife@|@ñaareeli jaber@
@secret@|@kumpa@
@secretive@|@sutura@
@section@|@parti@
@See you soon@|@Ba beneen (yoon), Dinala Gis-Waat Duyaga@
@seed@|@jiwu, peepa, xoox@
@seige@|@waafu@
@seize@|@noot@
@seizure of one's right@|@nooteel@
@self honour@|@jom@
@seller@|@jaaykat@
@semen@|@maniiwu@
@Senegalese caftan@|@Sabadoor@
@senseless@|@ñaaka-xel@
@September@|@Weer-Kor@
@servant@|@rapaas@
@serve@|@mbindaan@
@serviette@|@musuwaar@
@seven@|@Jurom Nyaar, jurome nyaar, juróom-ñaar@
@seventeen@|@fuka ak jurome nyaar, fukk ak juróom-ñaar@
@seventh@|@juróom-ñaaréélu@
@seventy@|@jurome nyaar fuka, juróom-ñaar-fukk@
@shade@|@kepaar, ker, taqander@
@shadow@|@takandeer@
@shallow@|@teela@
@shameless@|@ñaaka-jom@
@share@|@cër, sedaatte, sedaatte, seddoo, waala@
@shared@|@sedaatle@
@shea butter@|@diwingalam@
@sheath@|@mbar@
@shed@|@xootit@
@sheep@|@haar@
@shell@|@xoor@
@shelter@|@mbaar@
@shelters@|@mbaar@
@sheperd@|@saamakat@
@shin@|@eel@
@shine@|@melax@
@shiner@|@gena melax@
@shirt@|@simis, turki@
@shoe@|@daala@
@shoes@|@Dall@
@shomake@|@uude@
@shopping money@|@koppari ndawal@
@short@|@gata, gatt@
@Short person@|@Ku gata@
@shortage@|@manke, manke naaka@
@shoulder@|@mbaga, mbagg@
@shout at someone@|@to cry@
@showel@|@gasu, gasukaay@
@showing surprise@|@way@
@shrine@|@tuur@
@shroud@|@caangaay@
@si; used in future imperative@|@si@
@sick@|@feebar, opp@
@sickness@|@jaahgoro@
@side@|@boor, laa@
@side of the body@|@wet@
@sides@|@wet@
@sift@|@lay@
@sign@|@maandarga, melokaan@
@silence@|@dee, noopi@
@silk@|@sooy@
@silk cotten tree@|@bentenki@
@silly@|@ñaakafayda@
@similar@|@niroo@
@sin@|@aaxa, baakaar@
@sinner@|@baakarkat@
@sister-in-law@|@njëkké@
@sit in one place@|@toog@
@six@|@Jurom Bena, jurome bena, juróom-benn@
@sixteen@|@fuka ak jurome bena, fukk ak juróom-benn@
@sixth@|@juróom-bennéélu@
@sixty@|@jurome bena fuka, juróom-benn-fukk@
@skid@|@mbas@
@skin@|@der@
@skin disease@|@xam@
@skinny@|@Om, sweijeex@
@skirt@|@sippa@
@sky@|@Asamaan@
@sky blu color@|@Baxa@
@slave@|@jaam@
@slavery@|@njaam@
@slice@|@taraase@
@Slim person@|@Ku seew@
@slip in unexpectedly@|@curux@
@slippery@|@nama@
@slipt open@|@amxar@
@slot@|@duggal, suruxal@
@slowly@|@ndanka@
@slumber@|@yaandóor@
@small@|@ndaw@
@small calabash@|@mbaatu@
@smoked@|@saxaar@
@smoker@|@tuxkat@
@smuggler@|@rawalekat@
@smuggling@|@rawale@
@snail@|@tuufa, yéet@
@snake@|@jaan, jan, saa@
@snatch a bit of sleep@|@gëf, gof@
@snivel@|@yérémantalu@
@snuff@|@xemme@
@so@|@kon@
@so long@|@be benen@
@so so@|@nohnu nohnu rek@
@so that@|@ndax@
@so then@|@noonu@
@so to speak@|@Daanaka@
@soap@|@saabu, sabu@
@soap water@|@poótit@
@socks@|@kawas@
@soda@|@limuunaat@
@soldier@|@soldaar@
@solicit@|@lojte@
@solu@|@to dress@
@solution@|@pexe@
@some@|@Anyi, anyo, doo, doo, i@
@some trouble@|@ay@
@someone who courts@|@doxaankat@
@something@|@lenna@
@son@|@doom@
@Son@|@dorm ju gorr@
@song@|@wóy@
@songs@|@kasag@
@soot@|@mboltin@
@sooth sayer@|@seruñtu@
@sorrel@|@basaab, bind, Bisaab@
@sorrow@|@meetit, naxar, tiis@
@sorry@|@maasa, mas@
@soul@|@ruux@
@sound made by a breaking@|@kak@
@soup@|@ñeex@
@sour sap@|@kabaa, maada@
@sow@|@fii@
@spade@|@goop, peel, péel@
@Spanish@|@spanish@
@spare@|@garolemaa@
@speach@|@kaddu@
@speed@|@witees@
@sperate@|@taagaatle@
@spicy@|@saf@
@spider@|@jar-gou, jargoñ@
@spirit@|@jine, yaleef@
@spitting cobra@|@ñangoor@
@spittle@|@tuflit@
@splay one's legs open@|@ngaaleeku, ngooleeku@
@spleen@|@gaadam@
@sponge@|@epons@
@Sponge@|@Njampe@
@spoon@|@kuddu@
@spouse@|@jëkër@
@sprain@|@rëxa@
@sprout@|@meeña, tóntóor@
@squat@|@jonkon@
@squirrel@|@jahat@
@srping@|@tëb@
@stab@|@cabax@
@stain@|@gakk, tooxa-tooxa@
@stake@|@tek@
@stamp@|@tampe@
@stand-pipe@|@róbine@
@starch@|@gom@
@stare@|@xuli@
@start early@|@teela door@
@state of being quiet@|@mekka, niipi seeh@
@statement@|@dekkandoor, maas-gu-dang@
@status@|@maaxaama@
@stay long@|@yaaga@
@steal@|@weexa@
@steam@|@suusal@
@steamed meat@|@ketandi@
@steamer@|@indé@
@stew@|@caa, cu@
@stick@|@banta, banta, et, tay@
@sticky@|@taxe@
@still@|@selew, selew, teeyi@
@sting@|@maata, mata@
@stomach@|@biig, Bir@
@stone@|@xeer@
@stood@|@taxaw@
@stop by@|@jaar, juux@
@stop raining@|@sébet, séwët@
@stopper@|@saañ@
@store@|@bitik bi, ngat, pukus, saaa@
@storey building@|@taax@
@stork@|@ñaalapaki, ñaarapuloo, xooda@
@stormy@|@ngelaane, waame@
@Straight@|@jub, jubal@
@straighten@|@jub, jubal@
@stranger@|@gan@
@straw@|@ñax@
@straw matterss@|@pajaas@
@stream@|@seyaan@
@street@|@mbedd, mbedda, mbenda mi@
@strength@|@doole, kattan@
@stretcher@|@balankaar@
@strimp@|@sippa-sippa, sippax@
@string@|@fiddiwol@
@string bean@|@ñebe@
@stripes@|@rew@
@strips@|@xaf@
@strive@|@soonal@
@strong@|@dëgër@
@student@|@jangakat@
@study@|@njanga@
@stuff@|@yét@
@stuffing of fish@|@roof@
@stump@|@ëkka@
@stupid@|@dot@
@substantial@|@buy@
@such as@|@kom@
@suffering@|@fitna@
@sugar@|@sucur, sukkar, sukkur@
@sugar cane@|@jamb suukër@
@suit@|@kostiim@
@suitcase@|@wolis@
@sulphurizing@|@soxor@
@sun@|@jant, naaj@
@sunday@|@alet, dimaas@
@Sunday@|@Dibeer@
@superstition@|@bidaa@
@surname@|@fande, konte@
@surprise@|@caa@
@sweet potato@|@pataas, pataat@
@swell@|@neeri@
@swollen@|@newi, nëwwi@
@swollen eyelid@|@jumbuj@
@sword@|@jaasi@
@table@|@taabul@
@tag question mark@|@fo@
@tail@|@geen@
@tailor@|@ñawkat, tajoor@
@take a handful@|@tibba@
@take a permission@|@taagu@
@take along@|@yóbaale@
@tale@|@leep@
@talk loudly@|@soow@
@Tall person@|@Njod@
@tamarind@|@daqqaar, daxaar@
@tanner@|@wullikat@
@tap@|@pompe@
@tar@|@godorong@
@tax@|@juuti, lempo@
@taxi@|@taksi@
@tea@|@ti, warga@
@Tea@|@Attaya@
@tea party@|@ataaya@
@teacher@|@jagalekate@
@tears@|@rongoñ@
@teeth@|@Bonnyee@
@temple@|@kabaab@
@ten@|@fuka, fukk, fukka@
@tenth@|@fukkeel, fukkéélu@
@termites@|@maah@
@thank you@|@Jar Jef, Jërë jëf@
@Thank you@|@Jërëjëf@
@thanks@|@gërmande, jéréjët@
@that@|@ko, ko, lu@
@that day@|@kerag, kerog@
@that person@|@kale, kélé, kooku@
@that thing@|@lale, loolu@
@that's why@|@mootax@
@the@|@bi, gi, ja, ja, ka, ka, ka, ka, li, mi, ni, si, wi, yi@
@the body@|@Yaram@
@the boutique@|@butik-bi@
@the day before yesterday@|@Barki Demba@
@the end of@|@mujeél@
@the friend@|@xarit-bi@
@the girl@|@jigeen-ji@
@the holy Quran@|@kaamiil@
@the king of cayor@|@jaraaf@
@the middle@|@digga@
@the mosque@|@jumma-ji@
@the people@|@nit-ñi@
@the person@|@nit-ki@
@the second day after@|@sibir@
@the sound of blowing nose@|@fiip@
@the sun@|@janta@
@The water is cold@|@Ndoh Bi Sedana@
@The water is hot@|@Ndoh Bi Tangana@
@The water is not cold@|@Ndoh Bi Sedut@
@The water is not hot@|@Ndoh Bi Tangut@
@the way to do something@|@anam@
@theft@|@cacca@
@them@|@deñu, ñoom@
@then@|@kon@
@there@|@fa, fale, félé, nale, nele@
@therefore@|@kon@
@thermometre@|@tamomoita@
@thermostat@|@tamostaat@
@these@|@yii@
@they@|@ñu, nyom@
@They are fine@|@Nyunci Jama@
@they will not@|@duñu@
@thief@|@randalkat, saac, saacee@
@thigh@|@luppa, pooc, pooj@
@thin@|@laapa, sew@
@thing@|@yëf@
@think@|@yaakaar@
@third@|@ñeteel, ñettéélu, Nyettel bi@
@thirteen@|@fuka ak nyeta, fukk ak ñett@
@Thirteen@|@Fuka Nyetta@
@thirty@|@fanweer, ñett-fukk, nyeta fuka@
@Thirty-one@|@Nyetta Fuka Bena@
@this@|@jii, lii, mii@
@this is not that?@|@mbaa@
@This month@|@Weer bi, weer wae@
@This morning@|@Tey-ci-suba@
@this one@|@bii, kii@
@this person@|@kii@
@this place@|@fii@
@this very moment@|@gii@
@this way@|@nii@
@This week@|@Bes bu aay bi@
@This year@|@Ren@
@thorn@|@deg@
@those@|@yooyu@
@thought@|@xalaat@
@thousand@|@juné, njuné@
@thread@|@woñ@
@three@|@ñatt, ñett, nyeta, yatt, yett@
@throat@|@purux, put@
@thursday@|@Alxames, alxemes@
@Thursday@|@Al xebes@
@tick@|@weteñ@
@Ticket@|@pass@
@tide@|@peese, peese, waame@
@tiger@|@segg, segg, segga, tene@
@tilapia@|@waas@
@tiles@|@karo@
@time@|@wahite@
@timid person@|@baanganooye@
@tiny insect@|@mutu-mutu@
@to@|@fo, ka@
@to ablaze@|@taaka@
@to accept@|@nangu, nongu@
@to accompany@|@and@
@to accuse@|@tam@
@to accuse someone@|@jiiñ@
@to accuse wrongly@|@tuumal@
@to add@|@bbole, dolli, yóoka@
@to add water@|@ñulug@
@to add wood at a fire@|@xamba@
@to adjust@|@ogosu@
@to advice@|@eeda@
@to advise@|@dénku@
@to agree@|@nangu@
@to ambush@|@waaf@
@to annouce@|@yeebaane@
@to announce@|@yëgle@
@to answer@|@tóntu, uyu, wuyu@
@to appear@|@feeñ@
@to applaud@|@taccu@
@to apply henna on plam@|@fuddanu@
@to apply oil in one's body@|@toocarmeku@
@to argue@|@werante@
@to arise@|@jóg@
@to arrive@|@Agsi, eega, yegg@
@to arrive at@|@aaga, ééga@
@to arrive to destination@|@egg@
@to ask@|@laaj@
@to ask a favor@|@ñaan@
@to assume@|@gaddu@
@to attach@|@takk, yeew@
@to avoid@|@otu@
@to bail out water@|@walax@
@to bandage@|@baandaas@
@to bargain@|@waxaale, woxaale@
@to bark@|@bów@
@to bathe somenoe@|@sanga@
@to bathe someone@|@sangu@
@To be@|@Mu-am@
@to be able to lift@|@antal, antan@
@to be adnormal@|@doyadi@
@to be afraid@|@ragal@
@to be ashamed@|@rus@
@to be avoid@|@moytu@
@to be bad@|@bokk@
@to be believe@|@defe@
@to be bent@|@banku, dénga@
@to be betray@|@or@
@to be blue@|@bulóo@
@to be brave@|@ñemeñ@
@to be broke@|@banka@
@to be broody@|@geenji@
@to be calm@|@giif, jaambuur, kew, miskar@
@to be complete@|@kaamiir@
@to be content@|@bëg, kontaan@
@to be crazy@|@kanasu@
@to be dedicated@|@farlu@
@to be desert@|@jaambu@
@to be devoted@|@éemu@
@to be dirty@|@fónax@
@to be disappeared@|@maay@
@to be disbelief@|@gomadi@
@to be dislike@|@sib@
@to be disturbed@|@géten@
@to be disturbing@|@gétené@
@to be divorce@|@fase@
@to be dizzy@|@miir@
