@English@|@Welsh@
@draught@|@dracht@
@draw@|@llunio, tynnu, tynnu@
@drawer@|@drôr@
@dress@|@diwyg, gwisg, gwisgo@
@drifts@|@lluwchfeydd@
@drink@|@diod, yfed@
@drive@|@gyrru@
@drop@|@cwympo, diferyn, llymed@
@drops@|@diferion@
@drought@|@sychder@
@drown@|@boddi@
@drowsy@|@hepianus, swrth@
@dry@|@sych, sychu@
@dry land@|@sychdir@
@dryness@|@sychder@
@dual@|@deuol@
@dualism@|@deuoliaeth@
@duck@|@hwyaden@
@dull@|@maith@
@dumb@|@mud@
@dun@|@gwrm@
@during@|@yn ystod@
@dust@|@llwch@
@Dutch@|@Isalmaeneg@
@duty@|@dyletswydd@
@dwarf@|@cor, corrach@
@dwell@|@preswylio, trigo@
@dweller@|@preswylydd@
@each@|@bob, yr un@
@eager@|@awyddus@
@eagerly@|@yn achwus@
@eagle@|@eryr@
@ear@|@clust@
@earl@|@iarll@
@early@|@cynnar@
@earphones@|@bengornau@
@earth@|@pridd, priddo, priddyn@
@earthy@|@priddlyd@
@east@|@dwyrain@
@eastern@|@dwyreiniol@
@easy@|@hawdd, rhwydd@
@eat@|@bwyta@
@ebb@|@trai, treio@
@ebbing@|@yn treio@
@echo@|@adlais@
@economic@|@economaidd@
@economical@|@rhadus@
@ecstasy@|@gorfoledd@
@edition@|@argraffiad@
@educate@|@addysgu@
@education@|@addysg@
@educational@|@addysgiadol, addysgol@
@eel@|@llysywen@
@effect@|@effaith@
@effective@|@effeithiol@
@effects@|@effeithiau@
@effeminate@|@merchetaidd@
@effort@|@ymdrech, ymgais, ymgais@
@egg@|@wy@
@eight@|@wyth@
@eighteen@|@deunaw@
@eighth@|@wythfed@
@eighty@|@pedwar ugain, wythdeg@
@either@|@chwaith@
@elbow@|@penelin@
@elder@|@henuriad@
@elect@|@ethol@
@elected@|@etholedig@
@election@|@etholiad, lecsiwn@
@electrical@|@trydanol@
@electrician@|@trydanwr@
@electricity@|@trydan@
@elementary@|@elfennol@
@elephant@|@eliffant@
@eleven@|@un ar ddeg, undeg un@
@eligible@|@etholadwy@
@else@|@arall@
@emit sparks@|@gwreichioni@
@employ@|@cyflogi@
@emptiness@|@gwacter, gwagedd@
@empty@|@diddim, gwag, gwagu, gwog@
@enable@|@galluogi@
@enclose@|@amgáu@
@enclosed@|@amgaeedig@
@encourage@|@calonogi, cefnogi@
@encouragement@|@cefnogaeth@
@encouraging@|@cefnogol@
@end@|@diwedd, eithaf@
@endeavour@|@anelu@
@endow@|@donio@
@energetic@|@egniol@
@energetically@|@yn egniol@
@energy@|@egni@
@engagement@|@amod, cyfamod@
@engagement ring@|@modrwy ddyweddio@
@England@|@Lloegr@
@English@|@Saesneg@
@Englishman@|@Sais@
@enjoy@|@mwynhau@
@enlarge@|@ehangu@
@enmity@|@gelyniaeth@
@ennill@|@profit@
@ennyd@|@moment@
@ennyn@|@inflame@
@enormous@|@anwedd, enfawr@
@enough@|@digon@
@enrich@|@cyfoethogi@
@enryfeddwch@|@wonder@
@ensim@|@enzyme@
@ensnare@|@rhwydo@
@ensure@|@sicrhau@
@ensyniad@|@insinuation@
@entertainment@|@adloniant@
@enthusiasm@|@brwdfrydedd@
@enthusiastic@|@brwd, brwdfrydig@
@envelope@|@amlen@
@envy@|@eiddigeddu@
@enwad@|@denomination@
@enwadol@|@sectarian@
@enwebiad@|@nomination@
@enwebu@|@nominate@
@enwedig@|@especial@
@enwi@|@name@
@enzyme@|@ensim@
@epistle@|@epistol@
@epoch@|@epoc@
@equal@|@cydradd, cyfartal, yn gyfartal@
@equanimity@|@pwyll@
@escape@|@dianc@
@especial@|@enwedig@
@especially@|@yn arbennig, yn enwedig@
@esquire@|@yswain@
@essay@|@ysgrif@
@establish@|@sefydlu@
@estate@|@ystad@
@estimate@|@amcangyfrif@
@estuary@|@aber@
@evanescence@|@diflanrwydd@
@even@|@hyd yn oed@
@eventually@|@maes o law@
@ever@|@erioed, erioed@
@every@|@bob, pob@
@every bit@|@pob tamed@
@every morning@|@bob bore@
@every now and again@|@bob hyn a hyn@
@everybody@|@pawb@
@everyone@|@pobun@
@everything@|@cyfan, cyfan, popeth@
@everywhere@|@ym mhob man@
@evidence@|@tystiolaeth@
@evident@|@amlwg@
@evil@|@drwg@
@ewe@|@mamog@
@exactly@|@yn hollol, yn union@
@exam@|@arholiad@
@examine@|@archwilio, chwilio, edrych@
@examiner@|@arholwr@
@excellent@|@ardderchog, campus, rhagorol@
@exceptional@|@eithriadol@
@exchange@|@cyfnewid@
@excite@|@cynhyrfu@
@excitement@|@cyffro, cynnwrf@
@exciting@|@cyffrous@
@excuse@|@esgus, esgusodi@
@exhortation@|@anogaeth@
@exist@|@bodoli@
@expect@|@disgwyl@
@expectantly@|@yn ddisgwylgar@
@expensive@|@costus@
@experience@|@profiad@
@experiment@|@arbrawf, arbrofi@
@expert@|@arbenigwr@
@explain@|@egluro, esbonio@
@explanation@|@eglurhad, esboniad@
@exploit@|@gwrhydri@
@exploitation@|@ymelwad@
@express@|@mynegi@
@extend@|@ymestyn, ymestyn@
@extensive@|@helaeth@
@exterminate@|@difodi@
@external@|@allanol@
@eye@|@llygad, llygadu@
@eyebrow@|@ael@
@eyelid@|@amrant@
@fabricate@|@ffabrigo@
@face@|@wyneb@
@facilitate@|@rhwyddhau@
@fact@|@ffaith@
@factor@|@ffactor@
@factual@|@ffeithiol@
@fail@|@ffaelu, methu, methu ag@
@failing@|@coll@
@faint@|@dyddfu, ffaelu@
@fair@|@teg@
@fairer@|@tecach@
@fairly@|@go, go@
@fairy@|@eirias@
@faith@|@cred, ffydd@
@faithful@|@ffyddlon@
@fall@|@codwm, codymu, cwympo, syrthio@
@false@|@anwir@
@fame@|@enwogrwydd@
@familiar@|@cyfarwydd@
@family@|@teulu, teulu@
@family tree@|@ach@
@famish@|@llwgu@
@famous@|@amlwg, enwog@
@far@|@pell, ymhell@
@farm@|@fferm@
@farmer@|@amaethwr, ffermwr@
@farmyard@|@buarth@
@fast@|@cyflym, ymprydio@
@fat@|@bras, bras, tew@
@fate@|@tynged@
@father@|@tad@
@Father Christmas@|@Siôn Corn@
@fatherly@|@tadol@
@fathom@|@gwrhyd@
@fault@|@ffael, ffaeledd@
@favour@|@cymwynas, ffafr, ffafrio@
@favourable@|@ffafriol@
@favourite@|@ffefryn@
@fear@|@ofn, ofni@
@fearful@|@ofnus@
@feast@|@gwledd, gwledd, gwledda@
@feaster@|@gwleddwr@
@February@|@Chwefor, Chwefror@
@fed up with@|@syrffredu ar@
@fee@|@tâl@
@feeble@|@di-ffrwt, llesg, tila@
@feed@|@porthi@
@feel@|@teimlo, teimlo@
@feeling@|@teimlad@
@fellow lodger@|@cydletywr@
@fellowship@|@cymrodoriaeth@
@female saint@|@santes@
@female teacher@|@athrawes@
@feminine@|@benywaidd@
@fen@|@cors@
@fermaentation@|@eplesiad@
@ferment@|@eples@
@fern@|@rhedyn@
@ferocity@|@anwariaeth@
@ferry@|@porth@
@fervent@|@gwresog@
@fetch@|@cyrchu, nôl@
@fever@|@twymyn@
@few@|@ambell, ychydig@
@fickle@|@gwantan, masw@
@field@|@cae, maes, parc@
@fifteen@|@pymtheg@
@fifth@|@pumed@
@fifty@|@deg a deugain, hanner cant, pumdeg@
@fight@|@cwffio, ymladd@
@filly@|@eboles@
@finance@|@cyllid@
@financial@|@ariannol@
@find@|@dod o hyd i@
@fine@|@braf, coeth, coeth, go lew, gwych, iawn, main, mân@
@fine comb@|@crib mân@
@finger@|@bys@
@finished@|@ar ben, ar ben@
@fire@|@saethu, tân, tanio@
@fireman@|@diffoddwr tân@
@firewood@|@cynnud@
@first@|@cynta@
@fish@|@pysgod, pysgota@
@fist@|@dwrn@
@fists@|@dyrnau@
@fit@|@heini@
@fitting@|@addas@
@five@|@pump@
@fixed@|@sefydlog, sefydlog@
@flag@|@baner, lluman@
@flame@|@ffagl@
@flannel@|@gwlanen@
@flat@|@gwastad, yn wastad@
@flee@|@cilio rhag, ffoi@
@flee from@|@ffoi rhag@
@fleet@|@llynges, llynges@
@flesh@|@cnawd@
@flexibility@|@ystwythder@
@flight@|@hedfa@
@fling@|@taflu@
@flock@|@fiadell, praidd@
@flood@|@llifeiriant@
@floor@|@llawr@
@flourish@|@blodeuo@
@flout@|@wfftio@
@flow@|@goferu@
@flower@|@blodeuo@
@fluent@|@rhugl@
@fluid@|@gwlyb@
@flush@|@gwrid, gwrido@
@fly@|@hedfan@
@fo@|@gwneud@
@foal@|@ebol@
@fog@|@niwl@
@foggy@|@niwliog, niwlog@
@fold@|@corlan, corlannu@
@folded@|@ymhleth@
@folk@|@gwerin@
@follow@|@dilyn@
@following@|@canlynol@
@following day@|@trannoeth@
@fondle@|@anwesu@
@food@|@bwyd@
@foot@|@troed@
@for@|@am, ar gyfer, er@
@for a while@|@am gyfnod@
@for ever@|@am byth@
@for goodness sake@|@da chi, wir dduwc@
@for hours@|@am oriau@
@for how long@|@am faint, ers faint@
@for long@|@am hir@
@for nothing@|@am ddim@
@for now@|@am y tro@
@for sale@|@ar wert, ar werth@
@for that matter@|@o ran hynny@
@for that reason@|@o´r herwydd@
@for the life of him@|@yn ei fyw@
@for the sake of@|@er mwyn@
@for years@|@ers blynyddau@
@forbid@|@gwarafun@
@force@|@gorfodi@
@foreign@|@estron, tramor@
@foreigners@|@tramorwyr@
@foremost@|@blaen, blaen@
@foresee@|@rhagweld@
@foretell@|@darogan@
@foreword@|@rhagair, rhagair@
@forfeit@|@fforffeidio@
@forget@|@anghofio@
@forgive@|@maddau@
@forgiveness@|@maddeuant@
@forgotten@|@angof@
@fork@|@fforch@
@form@|@agwedd, dull, ffurf, ffurio, llunio, pryd@
@formerly@|@gynt@
@fortieth@|@deugeinfed@
@fortnight@|@pythefnos@
@forty@|@deugain, pedwardeg@
@forward@|@blaenwr, traws@
@foster@|@meithrin, meithrin@
@found@|@seilio, seilio@
@foundation@|@sylfaen@
@four@|@pedair, pedwar@
@fourteen@|@pedwar ar ddeg@
@fourth@|@pedwerydd@
@fowls@|@dofednod@
@fragments@|@malurion@
@frail@|@eiddil@
@France@|@Frainc@
@fraud@|@twyll@
@free@|@rhad, rhydd@
@free oneself@|@ymryddhau@
@freedom@|@rhyddid@
@freeze@|@rhewi@
@freezer@|@rhewgell@
@French woman@|@ffrances@
@Frenchman@|@ffrancwr@
@frequent@|@aml, mynychu@
@fridge@|@oergell@
@friend@|@cariad, cariad, cyfaill, ffrind@
@friendly@|@cyfeillgar@
@friends@|@cyfeillion@
@friendship@|@cyfeillfarwch, cyfeillgarwch@
@fright@|@dychryn@
@frighten@|@codi ofn ar@
@frightful@|@erch@
@frog@|@broga@
@frolic@|@pranc@
@from@|@gan, gan, o@
@from now on@|@o hyn ymlaen@
@from then on@|@o hynny ymlaen@
@frown@|@gwgu@
@fruit@|@ffrwyth, frwythau@
@fry@|@ffrio@
@fuel@|@cynnud@
@full@|@cyflawn, llawn@
@full back@|@cefnwr@
@fumble@|@pwtffalu@
@fume@|@ffromi@
@fun@|@hwyl, miri@
@function@|@ffwythiant@
@funeral@|@angladd@
@furnish@|@dodrefnu@
@furnisher@|@dodrefnwr@
@furniture@|@dodrefn@
@fuss@|@helynt@
@future@|@dyfodol@
@gain@|@elwa, ennill, ennill@
@gallery@|@oriel@
@game@|@chwarae@
@games@|@chwaraeon@
@gap@|@adwy, agendor, bwlch@
@gaping@|@rhwth@
@garden@|@gardd@
@gardener@|@garddwr@
@garret@|@croglofft@
@gas@|@nwy@
@gate@|@clwyd@
@gather@|@hel@
@gather wool@|@gwlana@
@gathering@|@cynulliad@
@gender@|@rhyw@
@generals@|@cadfridogion@
@generation@|@cenhedlaeth@
@generous@|@hael, haelionus, yn fawrfrydig@
@genius@|@athrylith@
@genral@|@cyffredinol@
@gentle@|@addfwyn@
@gentleman@|@bonheddwr@
@gentleness@|@addfwynder, gwarder@
@genuine@|@diledryw@
@German@|@Almaenwr@
@German language@|@Almaeneg@
@German woman@|@Almaenes@
@gesture@|@osgo@
@get@|@cael, ennill@
@get angry@|@digio@
@get from@|@cael oddi wrth@
@get in touch with@|@cysylltu â@
@get on with@|@cyd-dynnu@
@get rid of@|@cael gwared ar@
@get up@|@codi, codi@
@get washed@|@ymolchi, ymolchi@
@get wet@|@gwlychu@
@giant@|@cawr@
@giants@|@cewri@
@gift@|@dawn, dawn, donio, rhodd@
@gifted@|@dawnus@
@ginger@|@sinsir@
@gird@|@gwregysu@
@girdle@|@gwregys, gwregysu@
@girl@|@herlodes, merch, merch@
@give@|@dodi, rhoi, rhoi@
@give in@|@gildio@
@give up@|@rhoi'r gorau i@
@giving way@|@gwegian@
@glade@|@llannerch@
@glance@|@cipolwg@
@glasses@|@sbectol@
@glassful@|@glasied@
@glimpse@|@cip@
@glove@|@maneg@
@glue@|@gludio@
@gnats@|@gwybed@
@go@|@mynd@
@go home@|@mynd adre@
@go past@|@mynd heibio i@
@go to jail@|@mynd i'r carchar@
@goad@|@swmbwl@
@goat@|@gafr@
@God@|@Duw@
@golden eagle@|@eryr aur@
@good@|@da, da, lles@
@good grief@|@Diwedd mawr@
@goodbye@|@da boch chi, hwyl@
@goodness gracious@|@yr arswyd fawr@
@goose@|@g^wydd@
@gorse@|@eithin@
@goshawk@|@gosog@
@Gospel@|@Efengyl@
@gossip@|@anair@
@government@|@llywodraeth@
@gown@|@gw^n@
@graceful@|@bonheddig, gosgeiddig, urddasol@
@gracious@|@rhadlon@
@graciousness@|@rhadlonrwydd@
@gradually@|@bob yn dipyn, yn raddol@
@graduate@|@graddedig@
@grandfather@|@tad-cu, taid@
@grandmother@|@henfam, mam-gu@
@grandson@|@^wyr@
@grasp@|@cydio, gafael@
@grave@|@dwys@
@gravitation@|@disgyrchiant@
@graze@|@pori@
@grease@|@iro, saim@
@great@|@cryn@
@great desire@|@awydd ysol@
@greed@|@gwanc@
@Greek@|@Groeg@
@green@|@gwyrdd@
@greet@|@annerch, cyfarch@
@greetings@|@cyfarchion@
@grey@|@llwyd@
@grief@|@dolur, gofid@
@grieve@|@gofidio@
@groan@|@griddfan, tuchan@
@grope@|@ymbalfalu@
@ground@|@seilio, seilio@
@grouse@|@cochiad@
@grove@|@llwyn@
@grow@|@cynyddu, prifio, tyfu@
@grow old@|@heneiddio@
@grown@|@gwg@
@growth@|@prifiant@
@grudge@|@gwarafun@
@grumble@|@conach@
@guarantee@|@gwarantu@
@guaranteed@|@gwarantedig@
@guarantor@|@gwarantydd@
@guard@|@gwarchadw, gwarchod@
@guardhouse@|@gwarchodfa@
@guardian@|@gwarcheidiol, gwarcheidwad, gwarchodwr@
@guards@|@gwarchodlu@
@guess@|@dyfalu, dyfalu@
@guilt@|@euogrwydd@
@guilty@|@euog@
@gulp@|@llwnc@
@gun@|@gwn@
@had better@|@well i@
@haddock@|@corbenfras@
@hag@|@gwrach@
@hair@|@gwallt@
@hairs@|@blew@
@hake@|@cegddu@
@half@|@hanner@
@hall@|@neuadd@
@hand@|@llaw@
@hand over@|@trosglwyddo@
@handbook@|@llawlyfr@
@handful@|@mawaid@
@handle@|@carn, trafod, trin@
@handsome@|@golygus@
@hang@|@hongian@
@hangman@|@crogwr@
@happen@|@digwydd@
@happy@|@hapus, wrth ei fodd@
@harbour@|@llongborth, porthfa@
@hard@|@caled@
@hardly@|@go brin, prin@
@hare@|@ysgyfarnog@
@harm@|@gwneud niwed i, niwed, niweidio@
@harmful@|@niweidiol@
@harp@|@telyn@
@harpist@|@telynor@
@harvest@|@cynhaea@
@hasten@|@prysuro@
@hate@|@casáu@
@hatred@|@casineb@
@haughty@|@penuchel@
@haulm@|@gwlydd@
@have@|@cael, cael@
@have to@|@gorfod@
@hawk@|@curyll, hebog@
@hawl@|@demand, right@
@hawlio@|@claim@
@hay@|@gwair@
@hayraker@|@trowr@
@haze@|@tawch@
@hazel@|@cyll@
@hazy@|@niwliog@
@he@|@e, ef@
@he imagined he saw@|@tybiodd weld@
@he stopped dead@|@safodd yn stond@
@head@|@pen, pen@
@headmaster@|@prifathro@
@health@|@iechyd@
@healthy@|@iach@
@heap of straw@|@sypyn gwellt@
@hear@|@clywed@
@hear about@|@clywed am@
@hearing@|@gwrandawiad@
@heart@|@bron, calon@
@heartbreaking@|@torcalonnus@
@hearth@|@aelwyd@
@hearths@|@aelwydydd@
@heartily@|@yn braf@
@heat@|@gwres, gwres, gwresogi, poethi@
@heather@|@grug@
@heavy@|@trwm@
@heb sôn am@|@without mentioning@
@hedge@|@gwrych@
@hedgehog@|@draenog@
@heifer@|@treisiad@
@heifers@|@heffrod@
@height@|@taldra@
@heir@|@etifedd@
@heiress@|@etifeddes@
@hell!@|@diawl@
@hello@|@hylo@
@help@|@cymorth, cynorthwyo, helpu@
@her@|@ei@
@herdsman@|@preiddiwr@
@here@|@fan hyn, yma@
@here and there@|@hwnt ac yma, yn y fan a'r lle@
@here are@|@dyma@
@here is@|@dyma, dyma@
@heresy@|@heresi@
@heroes@|@dewrion@
@heroic@|@arwrol@
@herring@|@pennog@
@hesitantly@|@yn betrus@
@hesitate@|@oedi, petruso@
@hide@|@cochli, cuddio, cuddio@
@hideous@|@erchyll@
@hiding place@|@cuddfa@
@high@|@uchel@
@higher@|@uwch@
@highest@|@ucha@
@hill@|@bre, bryn, garth@
@him@|@e, ef@
@hind@|@ewig@
@hindrance@|@nidr@
@hire@|@cyflogi@
@his@|@ei, ei@
@historian@|@hanesydd@
@historical@|@hanesyddol@
@history@|@hanes, hanes@
@hit@|@curo, taro@
@hold@|@cydio, cynnal, cynnal, dal, dal, gafael@
@hole@|@crau, twll@
@hollow@|@pant@
@holly@|@celyn@
@homage@|@gwrogaeth@
@home@|@adref, aelwyd, cartref@
@homes@|@aelwydydd@
@homewards@|@adre@
@honey@|@mêl@
@honeymoon@|@mis mêl@
@honeysuckle@|@gwyddfid@
@honour@|@anrhydedd@
@hoof@|@carn@
@hooker@|@putain@
@hop@|@herc, hercian@
@hopeful@|@gobeithiol@
@hopefully@|@gobeithio@
@hopeless@|@anobeithiol@
@hopelessness@|@anobaith@
@horn@|@corn@
@horrible@|@erchyll@
@horse@|@ceffyl@
@hospital@|@ysbyty@
@host@|@llu@
@hostage@|@mach@
@hot@|@boeth, dwym, gwresog, poeth, twym@
@hour@|@awr@
@house@|@t^y@
@hover@|@hofran@
@how@|@pa mor, sut@
@how many@|@sawl@
@how much@|@faint@
@however@|@fodd bynnag@
@howling@|@dan ubain@
@huge@|@anferthol@
@hum@|@suo@
@human@|@dynol@
@humanity@|@dynoldeb, dynoliaeth, dynoliaeth@
@humming@|@grwnian@
@hundred@|@cant@
@hunger@|@newyn@
@hunt@|@hela@
@huntsman@|@heliwr@
@hurricane@|@corwynt@
@hurry@|@brysio@
@hurt@|@brifo, dolurio@
@husband@|@gw^r@
@hush money@|@arian mudandod@
@hypocrite@|@rhagrith@
@hypocritical@|@rhagrithiol@
@i@|@i, i@
@I@|@fi@
@I am engaged@|@ydw i wedi dyweddio@
@I hope@|@gobeithio, gobeithio@
@I must@|@rhaid i@
@I need@|@mae arna i angen@
@I wonder@|@sgwn i, tybed@
@idea@|@syniad@
@ideal@|@delfryd, delfrydol@
@idle@|@ofer, segur@
@if@|@ai, os@
@if ever there was one@|@os bu un erioed@
@if yo wish@|@os mynnwch@
@ignorance@|@anwybodaeth@
@ignore@|@anwybyddu@
@ill@|@gwael, sâl, tost, tost@
@illegal@|@anghyfreithlon@
@illegible@|@annarllenadwy@
@illegitimate children@|@plant siawns@
@ill-gotten gains@|@budur-elw@
@illness@|@afiechyd@
@I'm sorry@|@mae ddrwg gyda fi@
@image@|@delwedd@
@imagination@|@dyfais@
@imagine@|@dychmygu, dyfalu, tybio@
@imitate@|@dynwared@
@immature@|@anaeddfed@
@immeasurable@|@yn ddifesur@
@immediately@|@union@
@immerse@|@trochi@
@immoral@|@anfoesol@
@immorality@|@anfoesoldeb@
@immortal@|@anfarwol@
@immune@|@anheintus@
@imperfect@|@amherffaith@
@impersonal@|@amhersonol@
@impetuous@|@byrbwyll@
@importance@|@pwys, pwys, pwysigrwydd@
@important@|@pwysig@
@impose@|@gorfodi@
@impossible@|@amhosib, amhosibl@
@impractical@|@anymarferol@
@impression@|@argraff@
@improbable@|@annhebygol@
@improve@|@gwella, gwella@
@improvement@|@gwellhad@
@in a mess@|@yn gawl@
@in all likelihood@|@yn ôl pob tebyg@
@in case you@|@rhag iti@
@in connection with@|@yngl^yn â, yngl^yn â@
@in existence@|@i fodolaeth@
@in front of@|@o flaen@
@in good taste@|@chwaethus@
@in order to@|@i, i@
@in succession@|@yn olynol@
@in tatters@|@yn yfflon@
@in the same way@|@yn yr un modd@
@in their wake@|@i'w canlyn@
@in vain@|@yn ofer@
@inborn@|@cynhenid@
@incite@|@annog@
@include@|@cynnwys@
@incomprehensible@|@annealladwy@
@inconsistent@|@anghyson@
@inconvenient@|@anghyfleus@
@increase@|@amlhau, cynnydd, cynyddu@
@increasing@|@cynyddol@
@incredible@|@anhygoel@
@indecent@|@anweddus@
@indeed@|@yn wir@
@indefinite@|@amhendant@
@independent@|@annibynnol@
@indicate@|@arwyddocáu@
@indifferent@|@difraw@
@indigestion@|@diffyg treuliad@
@indignation@|@soriant@
@indirect@|@anuniongyrchol@
@ineffectual@|@aneffeithiol@
@inertia@|@trymedd@
@inevitable@|@anochel, anorfod@
@inexplicable@|@anesboniadwy@
@infect@|@heintio@
@infectious@|@heintus@
@infer@|@casglu, casglu@
@inferior@|@is-raddol@
@inflame@|@ennyn@
@inflamed@|@enynnol@
@inflammation@|@llid@
@influence@|@dylanwad@
@influential@|@dylanwadol@
@inform@|@hysbysu@
@infrequent@|@anaml@
@infringe@|@diddymu@
@inhabitant@|@preswylydd@
@inhabitants@|@trigolion@
@inheritance@|@dreftadaeth, etifeddiaeth@
@initial@|@cychwynnol@
@injure@|@anafu@
@injury@|@anaf, niwed@
@injustice@|@anghyfiawnder@
@inn@|@tafarn@
@innocently@|@yn ddiniwed@
@inquire@|@holi@
@insatiable@|@anniwall@
@insect@|@pryf@
@inside@|@i mewn@
@insinuate@|@ensynio@
@insinuation@|@ensyniad@
@insist@|@mynnu@
@inspect@|@archwilio@
@instead of@|@yn lle@
@instructions@|@cyfarwyddiadau@
@instrument@|@ermyg, teclyn@
@intend@|@amcanu, bwriadu@
@intended@|@darpar@
@intention@|@amcan, amcan, bwriad@
@intercourse@|@cnwch@
@interest@|@diddordeb@
@interesting@|@diddorol@
@interfere@|@ymyrryd@
@interjection@|@ebychiad@
@intermarry@|@cydbriodi@
@international@|@rhyngwladol@
@interpret@|@dehongli@
@interpretation@|@dehongliad@
@interrogation@|@holiad@
@interrupt@|@torri ar draws@
@interview@|@cyfweld@
@into@|@i mewn i@
@intoxicating@|@yn feddwol@
@introduce@|@rhagarwain@
@introduction@|@cyflwyniad@
@introvert@|@mewnblyg@
@invention@|@dyfais@
@investigation@|@archwiliad, ymchwiliad@
@invitation@|@gwahoddiad@
@invite@|@gwadd@
@invoice@|@anfoneb@
@Ireland@|@Iwerddon@
@irigate@|@dyfrhau@
@Irish@|@Gwyddeleg@
@Irishman@|@Gwyddel@
@irresponsible@|@anghyfrifol@
@irrigation@|@dyfrhad@
@irritation@|@enyniad@
@is not@|@onid@
@it@|@ef@
@it seems@|@mae'n debyg@
@itching to@|@ysu am@
@ivory@|@morfil@
@jail@|@dalfa@
@January@|@Ionawr@
@jaunt@|@sgawt@
@jaw@|@safn@
@jewel@|@tlws@
@jocular@|@cellweirus@
@joint@|@cnwch, cyd@
@jolt@|@ysgytiad@
@journalist@|@newyddiadurwr@
@journey@|@teithio@
@joy@|@llawenydd@
@judge@|@barnu, barnwr, dyddio@
@judge by@|@barnu wrth@
@judgement@|@barn, barn@
@jug@|@jwg@
@juice@|@swdd@
@July@|@Gorffennaf@
@June@|@Mehefin@
@juniper trees@|@meryw@
@just as well@|@cystal@
@justice@|@cyfiawnder@
@keen breeze@|@awel fain@
@keep@|@cadw@
@keep from@|@cadw rhag@
@keeper@|@gwarcheidwad, gwarchodwr@
@kettle@|@tegell@
@key@|@agoriad, allwedd@
@kick@|@cicio@
@kidney@|@aren@
@kill@|@lladd@
@kilo@|@kilo@
@kind@|@caredig, math@
@king@|@breinn@
@kingdom@|@teyrnas@
@kinship@|@ach, ach@
@kiss@|@cusan@
@kitchen@|@cegin@
@kite@|@barcud@
@knee@|@glin, penlin@
@knife@|@cyllell@
@knit@|@gweu@
@knock@|@curo, taro@
@knoll@|@tarren@
@know@|@adnabod, gwybod, nabod@
@kob@|@swydd@
@labourer@|@labrwr@
@lack@|@diffyg@
@ladder@|@ysgol@
@ladies@|@boneddigesau@
@lady@|@boneddiges, ledi@
@lake@|@llyn@
@lamb@|@cig oen, oen@
@lament@|@anafu, galaru@
@lampoon@|@goganu@
@lance@|@picell@
@land@|@glanio, tir@
@landowners@|@tir-feddianwyr@
@landscape@|@tirlun@
@laof@|@torth@
@large@|@ehang@
@lark@|@ehedydd@
@last@|@diwetha, diwethaf, para@
@last night@|@neithiwr@
@last year@|@llynedd@
@late@|@diweddar@
@latest@|@diweddara@
@laugh@|@chwerthin, chwerthiniad@
@laugh at@|@chwerthin am ben@
@laughing stock@|@priciswn@
@law@|@cyfraith, deddf@
@lawyer@|@cyfreithiwr@
@lay by@|@arhosfan@
@lay eggs@|@dodwy@
@layer@|@haen@
@lazily@|@yn ddioglyd@
@laziness@|@diogi@
@lazy@|@diog@
@lead@|@arwain, arwain, arwein, plwm, tennyn@
@leader@|@arweinydd@
@leaf@|@dalen, deilen@
@leaflet@|@taflen@
@learn@|@dysgu, dysgu@
@learner@|@dysgwyr@
@leash@|@tennyn@
@leather@|@lledr@
@leave@|@eples, gadael, gadael, ymadael, ymado ag@
@leaven@|@eplesu@
@left@|@chwith@
@leg@|@coes@
@legible@|@darllenadwy@
@legislation@|@deddfwriaeth@
@legislative@|@deddfwriaethol@
@lend@|@rhoi benthyg@
@length@|@hyd, hyd@
@lesson@|@gwers@
@let go@|@ymollwng@
@let know@|@rhoi gwybod i@
@letter@|@llythyr@
@level@|@gwastad@
@levity@|@maswedd@
@libelous@|@athrodus@
@liberals@|@rhyddfrydwyr@
@library@|@llyfrgell@
@licence@|@trwydded@
@lick@|@llyfu@
@lie@|@anwiredd, celwydd@
@life@|@byd, bywyd, enaid, enaid, leiff@
@lift@|@codi, codi@
@light@|@ysgafn@
@lighten@|@ysgafnu@
@like@|@fel, fel, hoffi, tebyg@
@likelihood@|@tebygolrwydd@
@likely@|@tebyg, tebyg@
@limb@|@aelod@
@limbs@|@aelodau@
@lime@|@calch@
@limited@|@cyfyngedig@
@limp@|@hercian, llipa@
@line@|@lein@
@ling@|@honos@
@linguist@|@ieithydd@
@link@|@cysylltiad, cysylltu@
@lion@|@llew@
@lip@|@gwefus, mant@
@lip (animal)@|@gwefl@
@lipstick@|@minlliw@
@liquid@|@gwlyb@
@list@|@rhestr@
@listen@|@gwrando@
@listen attentively@|@clustfeinio@
@listen to@|@gwrando ar@
@listener@|@gwrandawr@
@listening@|@gwrandawiad@
@literature@|@llenyddiaeth@
@little@|@bach, ychydig@
@live@|@byw@
@liver@|@afu@
@load@|@llwyth@
@loaf@|@troth@
@lobster@|@cimwch@
@logic@|@rhesymeg@
@logical@|@rhesymegol, ymresymgar@
@long@|@hir, maith@
@longer@|@yn hwy@
@look@|@cloi, edrych@
@look after@|@gofalu am@
@look carefully@|@craffu@
@look for@|@chwilio am@
@look forward to@|@edrych ymlaen at@
@loop@|@dolen, dolennu@
@lord@|@arglwydd@
@lose@|@colli@
@loss@|@coll, colled@
@lot@|@cyfan, cyfan@
@lounge@|@lolfa@
@lout@|@crymffast@
@love@|@cariad, cariad, caru@
@lovely@|@hyfryd, hyfryd@
