@English@|@Tamil@
@Friday@|@Veļļi, Veļļikkiłamai@
@Fried Thing@|@Veththal@
@Fried Vegetable@|@Poriyal@
@Friend@|@Nanban@
@Friendship@|@Natpu, Snēgidham (S)@
@Frightened Person@|@Bayandhānguļi@
@Front@|@Mun, Munnani@
@Fruit@|@Pałam@
@Frying Pan@|@Iluppuchatti@
@Full Moon Night@|@Paurńami@
@Fund@|@Nidhi@
@Fungus@|@Pūnjakāļam@
@Fury@|@Krōdham (S)@
@Future@|@Varungālam@
@G as in 'G'uerilla@|@G (Tamil same letter as K)@
@Gaiety@|@Hāsyam (S)@
@Gait@|@Nadai@
@Game@|@Āttam@
@Ganesha@|@Piļļaiyār@
@Ganga@|@Gangai (S)@
@Gangster@|@Raudī (E)@
@Gaping Mouth@|@Mattivāy@
@Garbage@|@Kuppai@
@Garden@|@Pungā, Thōttam@
@Garlic@|@Pūńdu@
@Gaur@|@Kāttu Eŗumai@
@Gemini@|@Mithunarāsi (S)@
@General@|@Dhalapadhi (S), Sēnādhipadhi (S)@
@Generous Person@|@Vaļļal@
@Genie@|@Jībūmbā@
@Genius@|@Mēdhai@
@Gently@|@Meļļa@
@Ghee@|@Ney@
@Ghost@|@Āvī, Būdham (S)@
@Gift@|@Anbadippu, Parisu (E)@
@Gingee or Madurai@|@Nāyagar (S)@
@Gingelly Oil@|@Nalleńńai@
@Ginger@|@Inji@
@Girl@|@Peń@
@Girlhood@|@Peńmai@
@Glass@|@Kannādi@
@Glimpse Of A Temple Deity@|@Dharisanam (S)@
@Global@|@Ulaga@
@Glosy Ibis@|@Karuppukkottan@
@Go To Hell!@|@Nāsamā Pōga!@
@Goat@|@Ādu@
@God@|@Āńdavan, Iraivan, Īsan (S), Īsuvaran (S), Mahēsan (S)@
@Goddess@|@Amman, Bagavadhi (S)@
@Godhai@|@Āńdāļ@
@Gold@|@Pon, Thangam@
@Gold Lining@|@Jarigai (S)@
@Gold Medal@|@Thangappadhagam@
@Golden@|@Thanga@
@Golden Jubilee@|@Ponviłā@
@Good@|@Nalla@
@Good Fortune@|@Nallakālam@
@Good Night@|@Nalliravu@
@Good Times@|@Nallakālam@
@Goodwill@|@Nalvāłthu@
@Goose@|@Vāththu@
@Gorilla@|@Karungkurangu@
@Government@|@Arasāngam, Arasu@
@Graduate@|@Pattadhāri (S)@
@Gram Flour@|@Kadalaimmāvu@
@Grammar@|@Ilakkanam@
@Grand Aunt@|@Chiththippātti@
@Grand Uncle@|@Chinna Thāththa@
@Grandfather@|@Pātan@
@Grandmother@|@Pātti@
@Grandpa@|@Thāththā@
@Granny@|@Pātti@
@Grapes@|@Dhirātchai (S)@
@Grass@|@Pul@
@Gratitude@|@Nanŗi@
@Great@|@Chirandha@
@Great Horned Owl@|@Komban Āńdai@
@Great Indian Bustard@|@Kanal Mayil@
@Great Person@|@Imayam@
@Great-Grandfather@|@Koļļuththāththā@
@Great-Grandmother@|@Koļļuppātti@
@Great-great-grandfather@|@Eļļuththāththā@
@Great-great-grandmother@|@Eļļuppātti@
@Green@|@Pachchai@
@Green Parrotfish (Pseudoscarus chrysopoma)@|@Kiļimīn@
@Greens@|@Kīrai@
@Greenshank@|@Periya Kottan@
@Greeting@|@Nalvāłththu, Vāłththu@
@Grey Heron@|@Sāmbal Narai@
@Grey Junglefowl@|@Kāttukkōłi@
@Grey Mullet (Mugil oligolepe)@|@Madavamīn@
@Grey Partridge@|@Kondari@
@Grey Tit@|@Puttani Kuruvi@
@Groom by Traditional Law@|@Muŗaimāppiļļai@
@Gross@|@Moththam@
@Groundnut@|@Kadalai@
@Group@|@Katchi@
@Guard@|@Kāval@
@Guava@|@Kōvāvā (E)@
@Guest@|@Virundhu@
@Gull@|@Kadal Kākkai@
@Gun@|@Thuppāki@
@Gunny Sack@|@Chākkumūttai@
@Guntur Region@|@Vēnginādu@
@Guru@|@Vādhiyār@
@H as in Ah!@|@A:@
@H as in 'Hand'@|@H (Borrowed Letter)@
@Haberdasher@|@Javuļikkāran@
@Habit@|@Pałakkam@
@Hair@|@Mudi, Sigai@
@Hair wrapped in a bun@|@Kondai@
@Hair-Bun@|@Końdai@
@Hair-Decoration@|@Kunjalam@
@Hair-Plait@|@Jadai@
@Half@|@Arai, Pādhi@
@Half-baked@|@Arakkuŗai@
@Hammer@|@Chuththiyal@
@Hand@|@Kai@
@Handwriting@|@Kai Ełuththu@
@Hanging@|@Thūkku@
@Haphazard@|@Kannāpinnāga@
@Harbinger of Death@|@Yaman (S)@
@Hare@|@Muyal@
@Harm@|@Kēdu@
@Harsh@|@Kadu@
@Have-not@|@Illādhavan@
@Hawk@|@Parandu@
@He@|@Avan@
@He-@|@Ań-@
@He (Emphatic)@|@Avandhān@
@He Also@|@Avanum@
@He by Himself@|@Avanē@
@He Will Not@|@Māttān@
@He/She (Emphatic Respectful)@|@Avardhān@
@He/She (Respectful)@|@Avar, Avargaļ@
@He/She Also (Respectful)@|@Avarum@
@He/She By Him/Herself (Respectful)@|@Avarē@
@Head@|@Thalai@
@Headlines@|@Thalaippu Cheydhigaļ@
@Health@|@Ārōggiyam (S)@
@Healthy@|@Ārōggiyamāna@
@Heart@|@Idhayam, Uļļam@
@Heated@|@Chutta@
@Heaven@|@Sorgam (S)@
@Height@|@Osaram@
@Hell@|@Naragam (S)@
@Hello@|@Vańakkam@
@Help@|@Udhavi@
@Hence@|@Ingirandhu@
@Her@|@Avaļ, Avaļudaya@
@Her (Accusative)@|@Avaļai@
@Herb@|@Kīrai@
@Herb Fish@|@Kīraimīn@
@Hercules@|@Sauri (S)@
@Herder Caste in South Tamil Nadu@|@Kōńār@
@Here@|@Ingu@
@Here Also@|@Ingum@
@Heron@|@Kokku, Narai@
@Herring@|@Kuttuvā@
@Hide-And-Seek@|@Kańńāmūchi@
@Higher Studies@|@Mēlpadippu@
@Hill@|@Malai@
@Hilsa (Clupea ilisha)@|@Viłumīn@
@Him (Accusative)@|@Avanai@
@Him/Her (Accusative) (Respectful)@|@Avarai@
@Himalaya@|@Imayam@
@Hint@|@Kurippu@
@Hippopotamus@|@Nīryānai@
@His@|@Avan, Avanudaya@
@His/Her (Respectful)@|@Avar, Avarudaya@
@Historic place suffix@|@-thāngaļ@
@Hit@|@Adi@
@Hog (Formal)@|@Panŗi@
@Hole@|@Ōttai@
@Holiday@|@Rajam@
@Hollow@|@Ōttaiyāna@
@Home@|@Illam@
@Homeland@|@Īļam, Thāynādu@
@Honey@|@Thēn@
@Honey Buzzard@|@Thēn Parandu@
@Honey-badger@|@Tharaikkaradi@
@Honeybee@|@Thēn Ī@
@Honorific prefix@|@Thiru-@
@Honour@|@Gauravam, Mānam (S)@
@Hoopoe@|@Chaval Kuruvi@
@Horn@|@Kombu@
@Hornet (Vespa)@|@Karungkoļavi@
@Horoscope@|@Jāthagam (S)@
@Horse@|@Kudhirai@
@Horse Fish@|@Kudhiraimmīn@
@Hospital@|@Āspathri (E), Maruththuvai Manam@
@Hot@|@Chūdu, Orappāna@
@Hot (Adverb)@|@Chūdā@
@Hotel@|@Vōttal (E)@
@Hour@|@Mańī@
@House@|@Ām, Nilayam, Vīdu@
@House (Brahmin Dialect)@|@Ām@
@House celebrating a marriage@|@Kalyāńavīdu@
@House Crow@|@Nalla Kākkai@
@House Sparrow@|@Ūr Kuruvi@
@House-owner@|@Āththukkāran, Vīttukkāran@
@How@|@Eppadi@
@How Many@|@Eththira@
@How Much@|@Evvaļavu@
@Human@|@Manidha (S)@
@Human Being@|@Manidhan (S)@
@Hundred@|@Nūŗu@
@Hundred Percent@|@Nūŗŗukku Nūr@
@Hundred Thousand@|@Latcham (S)@
@Hungry@|@Patni@
@Hurry@|@Avasaram@
@Husband@|@Āththukkāran, Vīttukkāran@
@Husband (Colloquial)@|@Kańavan, Purushan@
@Husband's Brother's Wife (Colloquial)@|@Ōrpodi@
@Hut@|@Kudisai@
@Hyaena@|@Chirudhaippuli@
@I@|@Nān@
@I (Emphatic)@|@Nāndhān@
@I Also@|@Nānum@
@I as in Indus@|@I@
@I By Myself@|@Nānē@
@I Will Not@|@Māttēn@
@Idea@|@Vichārańai (S)@
@Idli@|@Idli@
@If Not@|@Illātal@
@Illegal@|@Thiruttu (Adj.)@
@Illegitimately@|@Thiruttuthanamāga@
@Illicit Liquor@|@Kaļļa Sārāyańam, Kałłachārāyam@
@Illicitness@|@Kaļļathanam@
@Illiterate@|@Padikkādhavan, Pattikādu@
@Ill-Tempered@|@Pollādha@
@Ill-Tempered Person@|@Pollādhavan@
@Illusion@|@Birammam (S)@
@I'm Annoyed With You@|@Unnudaya Dū@
@Imagination@|@Karppanai@
@Immediate@|@Udan@
@Immediately@|@Udanē@
@Important@|@Mukkiyam (S)@
@In@|@Uļļa@
@In a Thousand@|@Āyiraththil@
@In Between@|@Naduvil@
@In Colonial Times Any Big Building@|@Kālēj@
@In Her@|@Avaļul@
@In Him@|@Avanuļ@
@In Him/Her (Respectful)@|@Avaruļ@
@In Me@|@Ennuļ@
@In Oneself@|@Thannuļ@
@In The End@|@Kadēsiya@
@In The End (Informal)@|@Kadēsila@
@In Thee@|@Unnuļ@
@In Them@|@Avargaļul@
@In Us@|@Engaļuļ@
@In You@|@Ungaļuļ@
@In You (Respectful)@|@Thangaļuļ@
@Inauspicious Time@|@Rāhukālam@
@Incense-Stick@|@Ūdhubaththi@
@Income@|@Varavu, Varumānam@
@Income-Tax@|@Varumāna-vay@
@Increase@|@Ēŗŗam@
@Independence@|@Sudhandhiram (S)@
@India@|@Indhiyā@
@India (Bharat)@|@Bāradham (S)@
@Indian (Adjective)@|@Indhiya@
@Indian Pitta@|@Ārumańi Kuruvi, Thōtta Kaļļan@
@Indian Sole (Pleuronectidae solea)@|@Nākkumīn@
@Infant@|@Kaikułandhai@
@Inflation@|@Vilaiyēŗŗam@
@Inflection denoting in@|@-il@
@Inflection for -m@|@-thth-@
@Informal Pronunciation of Retroflex rr@|@thth@
@Information@|@Oļi@
@Ink@|@Mey@
@Insect@|@Pūchi@
@Inside@|@Uļ@
@Instant@|@Dhidir@
@Instrument@|@Yandhiram (S)@
@Intelligent@|@Gettikāra@
@Intelligent Person@|@Gettikkāran@
@Interest@|@Vatti@
@Intoxication@|@Bōdhai@
@Iora@|@Chinna Māmbałakuruvi@
@Ire@|@Krōdham (S)@
@Iron@|@Irumbu@
@Iron Pot@|@Iluppuchatti@
@Irrigation Channel@|@Vākyāl@
@It@|@Adhu@
@It (Accusative)@|@Adhai@
@It (Emphatic)@|@Adhudhān@
@It Is Not Enough@|@Pōrādhu@
@It Means@|@Enŗāl@
@It Will Not@|@Māttādhu@
@It Will Not (Suffix To Verb Infinitive)@|@-ādhu@
@Itch@|@Chori@
@Its@|@Adhin@
@J as in 'J'elly@|@J (Borrowed Letter)@
@Jaçana@|@Mańal Purā@
@Jackal@|@Nari@
@Jackfruit@|@Chakkaippałam@
@Jaffna@|@Ja:pna@
@Jail@|@Sirai, Siraichchālai@
@Jamboree@|@Amarkaļam@
@Jasmine@|@Malligai, Mullaippū@
@Jealousy@|@Porāmai@
@Jesus@|@Ēsu (E), Īsu (E)@
@Jewel@|@Rathnam (S)@
@Jewellery@|@Ābushańam (S), Nagai@
@Journey@|@Payańam@
@Joy@|@Ullāsam (S)@
@Judgement@|@Thīrppu, Thīrppu@
@Juice@|@Rasam (S)@
@Jump@|@Kudhi@
@Junction@|@Sandhippu@
@Jungle Cat@|@Kāttuppūnai@
@Jungle Crow@|@Ańdankākkai@
@Jupiter@|@Budhan (S), Ponmīn@
@Just@|@Niyāmāna, Verum@
@Justice@|@Nīdhi@
@K as in 'K'ettle@|@K@
@Karthika@|@Karththigai (S)@
@'Keep'@|@Vappātti@
@Kentish/Little Ringed Plover@|@Chinna Kottan@
@Key@|@Chāvi (S)@
@Kilogramme@|@Kilō (E)@
@Kind@|@Vagai@
@King@|@Arasan, Mannan@
@Kingfisher@|@Mīnkoththi@
@Kiss@|@Muththam@
@Kitchen@|@Chamayalkattu@
@Kite@|@Parandu@
@Kitten@|@Pūnaikkutti@
@Knife@|@Kaththi@
@Knot@|@Mudichchu, Mudichu@
@Kodaikanal@|@Kodai@
@Koel@|@Kuyil@
@Krishna@|@Kańńan, Mańivańńan@
@L as in 'L'ove@|@L@
@Labour@|@Vēlai@
@Labour Pain@|@Pirasavavēdhanai (S)@
@Labour Pains@|@Iduppuvali@
@Labourer@|@Vēlaikkāran@
@Lack@|@Kuŗai@
@Ladies-finger@|@Veńdaikkāy@
@Ladle@|@Āpai@
@Lakh@|@Latcham (S)@
@Lakshmi@|@Latchumi (S)@
@Lamb@|@Āttukutti@
@Lamp@|@Viļakku@
@Lamp Oil@|@Viļakkeńńai@
@land@|@-agam@
@Land Of The Tamils@|@Thamiłagam@
@Landholder Caste of Western Tamil Nadu@|@Kavuńdar@
@Landholding Caste in North Tamil Nadu@|@Thēvar@
@Language@|@Bāshai (S), Mołi@
@Langur@|@Manthi@
@Lanka@|@Ilangai@
@Lap@|@Madi@
@Lapwing@|@Alkatti@
@Large Cooking Vessel@|@Ańdā@
@Large Crested Tern@|@Periya Końdai Kadal Kuruvi@
@Large Egret@|@Chennarai@
@Large Fish@|@Perumīn@
@Large Pied Wagtail@|@Kuļathu Kuruvi@
@Lassi@|@Nīrmōr@
@Late@|@Nēramā@
@Later@|@Appiram@
@Latter@|@Kadai@
@Laughter@|@Chirippu, Hāsyam (S)@
@Law@|@Chattam@
@Lawyer@|@Vakkīl (S)@
@Leader@|@Mudhalvar, Nāyagan (S), Thalaivar@
@Leaf@|@Ilai@
@Leap@|@Kudhi@
@Learning@|@Kalvi@
@Left@|@Idaththu@
@Left Side@|@Idaththupakkam@
@Leg@|@Kāl@
@Legal@|@Niyāmāna@
@Legal Suit@|@Vakkālath (S)@
@Lemon@|@Eļumicham@
@Length@|@Nīļam@
@Lentil@|@Paŗuppu@
@Leo@|@Simmarāsi (S)@
@Leopard@|@Chirudhai@
@Lesser Adjutant Bird@|@Mevakkokku@
@Lesser florican@|@Varragu Kōłi@
@Lesser Whistling Teal@|@Chilli Thara@
@Letter@|@Kadidham@
@Libra@|@Thulārāsi (S)@
@Lie@|@Poy@
@Life@|@Vałkkai@
@Light@|@Veļicham@
@Light Meal@|@Palagāram@
@Lighting@|@Minnal@
@Lightly@|@Lēsā@
@Like@|@Mādhiri, Pōl@
@Line@|@Kōdu, Vaŗi@
@Lion@|@Chingam@
@Lion-tailed Macaque@|@Chingavāl Kurangu@
@Lip@|@Udhadu@
@Liquor@|@Chārāyam, Kaļļu, Sārāyańam@
@Listener@|@Nēyar@
@Literate@|@Padiththa@
@Literate Person@|@Padiththavan@
@Little@|@Konjam, Kunjam@
@Little Bowl@|@Kińńam@
@Little Brown Dove@|@Tauta Purā@
@Little Egret@|@Chinna Veļļaikkokku@
@Little Green Heron@|@Doshi Kokku@
@Little One@|@Kutti@
@Little One (Colloquial)@|@Vāńdu@
@Lizard@|@Palli@
@Loach (Cobitio thermalis)@|@Chiŗumīn@
@Loan@|@Kadan@
@Lock@|@Pūttu@
@Long A as in father@|@Ā@
@Long E as A..E in Fate@|@Ē@
@Long I as EE in Meek@|@Ī@
@Long Live!@|@Vałga!, Vāłga!@
@Long O as OA in Boat@|@Ō@
@Long U as OO in Boot@|@Ū@
@Longnose Fish (Belone strongylura)@|@Kokkumīn@
@Look@|@Mułi@
@Lord Muruga@|@Pałaniappan@
@Lord Shiva as Consort of Meenakshi@|@Sundarar@
@Loss@|@Nashtam@
@Lotus@|@Kamalam (S), Thāmarai@
@Love@|@Kādhal, Nēsam@
@Low-Caste@|@Paraiyan@
@Lower@|@Kīł@
@Lower Caste@|@Kiłjādhi@
@LTTE@|@Vidudhalaippuli@
@Luck@|@Adhishtam (S), Bāggiyam@
@Luggage@|@Sāmān (S)@
@Lunar@|@Chandhira (S)@
@Lust@|@Lōbam (S)@
@Lyra@|@Suvaramańdalam (S)@
@M as in 'M'ason@|@M@
@Machine@|@Yandhiram (S)@
@Mad@|@Payithiyam@
@Madras City@|@Chennai@
@Magazine@|@Paththirikkai (S), Vigadan@
@Magician@|@Mandhiravādhi (S)@
@Mahatma@|@Magāthmā (S)@
@Mahseer@|@Ponmīn@
@Mahseer (Barbus tor)@|@Pūmīn-keńdai@
@Maize@|@Chōļam@
@Majestic@|@Singāra@
@Malabar Pied Hornbill@|@Irettai Chońdu Kuruvi@
@Malabar Whistling Thrush@|@Sikaram@
@Malaysia@|@Malayā@
@Male@|@Āń@
@Male Citizen@|@Kudimagan@
@Male Prefix@|@Ań-@
@Male Student@|@Māńavan@
@Management@|@Amaippu@
@Mangalasutra@|@Māngalyam (S)@
@Mango Tree@|@Māmaram@
@Manner@|@Muŗai@
@Mantra@|@Mandhiram (S)@
@Many@|@Naraiyya@
@Margashirsha@|@Mārgałi, Mummīn@
@Marigold@|@Chamandhi@
@Market@|@Sandhai@
@Market (Colloquial)@|@Kadaipakkam@
@Marriage@|@Mańam, Mūnŗu Mudichu@
@Marriage-invitataion@|@Paththirikkai (S)@
@Married Life@|@Dhāmpathyam (S)@
@Mars@|@Angāragam (S), Chevvāy@
@Master@|@Kumaran (S), Selvan@
@Mat@|@Pāy@
@Matchbox@|@Thīpetti@
@Matchstick@|@Thīkuchchi@
@Maternal Uncle@|@Māmmā@
@Maternal uncle's wife@|@Māmmi@
@Mathematics@|@Kańakku@
@Matter@|@Sangadhi (S), Vishayam (S)@
@Maturity@|@Vivēgam (S)@
@Me (Accusative)@|@Ennai@
@Meal@|@Chāppāttu@
@Meal (informal)@|@Chāppādu@
@Measure@|@Aļavu@
@Meat@|@Māmsam (S)@
@Mechanic@|@Mēsthiri@
@Medal@|@Padhagam (S)@
@Meditation@|@Dhiyānam (S), Dhyānam (S), Kaivalyam (S)@
@Meeting@|@Sandhippu@
@Melee@|@Thillumullu@
@Memory@|@Nińaivu@
@Menace@|@Thoļļai@
@Mental Hospital (Colloquial)@|@Payiththiyakkāra Āspithiri@
@Mental Patient (Colloquial)@|@Payiththiyakkāran@
@Mentor@|@Guru (S)@
@Mercury@|@Pachchai, Viyāłan@
@Mercy@|@Uyirppichchai@
@Metal Bowl@|@Davarā@
@Meteor@|@Vilmīn, Vīłmīn, Viłumīn@
@Microbes@|@Kirimi@
@Middle@|@Nadū@
@Milch cow@|@Kaŗagamādu@
@Militant@|@Thīviravādhi@
@Milk@|@Pāl@
@Milkfish (Chanos salmoneus)@|@Pālmīn@
@Milkman@|@Pālkāran@
@Millionnaire@|@Latchādhipadhi (S)@
@Mind@|@Manasu@
@Mine@|@Ennudaya@
@Minister@|@Amaichchar, Mandhiri (S)@
@Minivet@|@Pottukuruvi@
@Minnow@|@Podimīn, Thūļmīn@
@Minute@|@Nimidam (S)@
@Mirage@|@Māyam (S)@
@Mirror@|@Kannādi@
@Miser@|@Kanjam@
@Miserliness@|@Kanjathanam@
@Misfortune@|@Kettakālam@
@Miss@|@Kumari (S), Selvi@
@Mistake@|@Thappu, Thavaram@
@Mistaken@|@Thavarāna@
@Mister@|@Thiru@
@Mistress@|@Vappātti@
@Mofussil Area (Colloquial)@|@Pattikkādu@
@Mohammed@|@Magumadh@
@Moksha@|@Mukthi (S)@
@Mole@|@Machcham@
@Mom@|@Ammā@
@Monday@|@Thingaļ, Thingatkiłamai@
@Money@|@Pańam@
@Money-lender@|@Sāukār (S)@
@Mongoose@|@Kīrī@
@Monkey@|@Kurangu@
@Mono-@|@Oththa-@
@Monsoon@|@Małaikkālam@
@Month@|@Mādham (S)@
@Moolanakshatra@|@Kokkumīn@
@Moon@|@Chandhiram (S), Chandhiran (S), Nilā, Nilavu, Veńnilā@
@Morning@|@Kālai@
@Morning Star@|@Vaikurumīn@
@Mortar used for Construction@|@Chuńńāmbu@
@Mosquito@|@Kosu@
@Moth@|@Pattāmpūchi@
@Mother@|@Annai, Āththā, Thāy, Thāyār@
@Mother (generic)@|@Thāymai@
@Mother Earth@|@Būmādhēvi (S)@
@Mother-Goddess@|@Āththā@
@Motherland@|@Thāynādu@
@Mould@|@Pūnjakāļam@
@Mountain@|@Malai@
@Mountain Peak@|@Malaiuchchi@
@Mountain-dweller@|@Malayāļi@
@Mouse@|@Mūnjūr@
@Mouse Deer@|@Kūran Panŗi@
@Moustache@|@Mīsai@
@Mouth@|@Vāy@
@Movie@|@Padam (S)@
@Mrs.@|@Thirumadhi@
@Mud@|@Mań@
@Mud Skipper (Periophthalmus schlosseri)@|@Paravettimīn@
@Mud Wasp@|@Mań Koļavi@
@Mudpot Used a Musical Instrument@|@Gadam@
@Mulligatawny@|@Rasam (S)@
@Mumbai/Bombay@|@Bambāy@
@Munia@|@Nellukuruvi, Thinaikuruvi@
@Municipal Corporation@|@Mānagarātchi@
@Municipal Council@|@Nagarātchi@
@Muntjac@|@Kāttu Ādu@
@Murder@|@Kolai@
@Murugan (The Peacock-Mounted)@|@Mayilvāganam@
@Murukku@|@Murukku@
@Museum (Colonial Colloquial)@|@Cheththa Kālēj@
@Music@|@Isai, Sangīdham (S)@
@Musical Note@|@Suvaram (S)@
@Musical Octave@|@Ēłisai@
@Musk@|@Kasthūri (S)@
@Musk-deer@|@Kasthūrimān@
@Muslim@|@Thuļukan@
@Muslim Woman@|@Thuļukānam@
@Must@|@Āgańum@
@Mustard@|@Eļ@
@Musth@|@Veŗi@
@Muttering@|@Polambal@
@Mutton Curry@|@Āttukari@
@My@|@En@
@Myna@|@Nahanavai@
@Mystery@|@Marumam, Pudhir@
@Myth@|@Māyam@
@Mythical Bridge to Sri Lanka@|@Sēdhu (S)@
@N as in 'N'umber@|@N@
@Nabob@|@Navvāppu (S)@
@Name@|@Peyar@
@Narcotic@|@Bōdhaipporuļ@
@Nation@|@Mānādu@
@National Anthem@|@Dhēsiyagīdham (S)@
@Near@|@Kitta, Pakkam@
@Necessary@|@Thēvayāna@
@Neck@|@Kałuththu@
@Necklace@|@Mālai@
@Need@|@Thēvai@
@Needle@|@Ūsi@
@Neem (Azadirachta indica)@|@Vēppam@
@Neem-leaf@|@Vēppalai@
@Nest@|@Kūdu@
@Net@|@Valai@
@New@|@Pudhiya@
@New Moon Day@|@Ammāvāsai@
@New Year@|@Puththāńdu@
@New Year Day@|@Visu@
@News@|@Cheydhigaļ@
@Newspaper@|@Paththirikkai (S)@
@Next-Door@|@Aduththām@
@Nicely@|@Nanŗāga@
@Nickname for Parthasarathy@|@Pāchā@
@Night@|@Iravu@
@Night Heron@|@Vakka@
@Nightmare@|@Ketta Kańavu@
@Nilgiri Tahr@|@Vaŗai Ādu@
@Nine (casual)@|@Ombōdhu@
@Nine (formal)@|@Ompaththu@
@Nine Hundred@|@Thollāyiram@
@Ninety@|@Thonnūr@
@Ninth Tamil Month@|@Mārgałi@
@Noisy Happening@|@Galātta@
@Nomad@|@Nādōdi@
@Nonsense@|@Ełavu, Kannāpinnā, Loļļu@
@North@|@Vadagu@
@North America@|@Vadakkamērikā@
@North Korea@|@Vadakoriya@
@North Star@|@Uththaramīn, Vadamīn@
@Nose@|@Mūkku@
@Nose-stud@|@Mūkkuththi@
@Not wanted@|@Vēńdām@
@Now (Colloquial)@|@Ippō@
@Now (Formal)@|@Ippołudhu@
@Now 25 Paise@|@Nālańa@
@Now 50 Paise@|@Ettańa@
@Nuisance@|@Nakkal@
@Nun@|@Annai@
@Nuthatch@|@Pasai Edukkira Kuruvi@
@Obstruction@|@Thadai@
@Offering@|@Archanai (S)@
@Office@|@Nilayam@
@Officer@|@Adhigāri (S)@
@Oil@|@Eńńai@
@Okay@|@Sari@
@Okra@|@Veńdai, Veńdaikkāy@
@Old Name For Karur@|@Vānchi@
@Old Name For Trichy@|@Ūraiyūr@
@Old Woman@|@Avvai@
@Olive Conger-eel (Muraenesox talabon)@|@Kułimīn@
@On Behalf Of@|@Sārbāga@
@On Her@|@Avaļmēl@
@On Him@|@Avanmēl@
@On Him/Her (Respectful)@|@Avarmēl@
@On It@|@Adhumēl@
@On Me@|@Enmēl@
@On Oneself@|@Thanmēl@
@On Thee@|@Unmēl@
@On Them@|@Avargaļmēl@
@On Us@|@Engaļmēl@
@On You@|@Ungaļmēl@
@On You (Respectful)@|@Thangaļmēl@
@One (adj.)@|@Oru@
@One (noun)@|@Onnu@
@One And Only@|@Orē Oru@
@One by one@|@Ovvoru@
@One-Horse Cart@|@Jatkā (S)@
@Oneself (Accusative)@|@Thannai@
@Onion@|@Vengāyam@
@Only@|@Mattum@
@Open Space@|@Pottal@
@Openbill Stork@|@Naththaikkuththi Narai@
@Ophiuchus@|@Bujangadhāri (S)@
@Opponent@|@Edhiri@
@Opposite@|@Edhir, Edir@
@Opposition@|@Edhirkkai@
@Opposition Party@|@Edirkatchi@
@Orange@|@Chandhrā, Chāthukudi, Sāthukudi pałam@
@Ordinary@|@Sādhārańa (S)@
@Ornament@|@Ābarańam (S)@
@Osprey@|@Viral Adippān@
@Other Side@|@Marupakkam@
@Otter@|@Nīrnāy@
@Our@|@Engaļ@
@Ours@|@Engaļudaya@
@Out@|@Veļiyila@
@Outside@|@Vāsal, Veļi@
@Owl@|@Āńdai@
@Oyster@|@Chippimīn, Mattimīn@
@Oystershell@|@Mattichippi@
@P as in 'P'alace@|@P@
@Paan@|@Veththalai-pākku@
@Paddy@|@Nel@
@Pain@|@Vali@
@Painted Partridge@|@Kākera Kōłi@
@Painted Spurfowl@|@Kalkodi@
@Painted Stork@|@Chenganarai@
@Painting@|@Ōviyam@
@Paisa@|@Paisā@
@Palace@|@Arańmańai, Māligai@
@Palatal N as in Desi'gn'@|@Nj@
@Pale Red Seafish (Scolopsis)@|@Mattivāy Mīn@
@Pale/Marsh Harrier@|@Pūnai Parundu@
@Pallava@|@Thōndaiman@
@Pallava Realm@|@Thōńdaimańdalam@
@Palm Swift@|@Ambattan Katti@
@Palmleaf@|@Thaļapāŗŗu@
@Palmyra@|@Nongu, Pańai@
@Pampered Child@|@Kunjalakutti@
@Pancake@|@Adai@
@Pandya Realm@|@Pāńdiyamańdalam@
@Pangolin@|@Alangu@
@Paper/Leaf Cup@|@Dhonnai@
@Paradise@|@Kailāsam (S)@
@Paradise Flycatcher@|@Irettaivāl Kuruvi@
@Parakeet@|@Kiļi@
@Pardon@|@Mannippu@
@Pariah Kite@|@Kalu Parandu@
@Park@|@Pungā@
@Parrot@|@Kiļi@
@Parrot Wrasse (Pseudoscarus aeruginosus)@|@Nāymīn@
@Part of a classsical song@|@Pallavī (S)@
@Partition@|@Piraivu@
@Party@|@Katchi@
@Passage@|@Pādhai@
@Passion@|@Veŗi@
@Past Tense@|@Irandhakālam@
@Pastor@|@Pādhiri@
@Paternal Aunt's Son@|@Aththān@
@Pathetic@|@Kevalamāna@
@Patience@|@Dhairiyam (S)@
@Patient@|@Nōyāļi@
@Peace@|@Amaidhi@
@Peacock-fish (Histiophorus immaculatus)@|@Mayilmīn@
@Peafowl@|@Mayil@
@Pear@|@Pērikkāy@
@Pearl@|@Muththu@
@Peas@|@Pattāńi@
@Pelican@|@Kulakeda@
@Penis@|@Kuńdi@
@Penta-@|@Ai-@
@Pepper@|@Miļagu@
@Percent@|@Chalavidham@
@Permission@|@Uththiram (S)@
@Perseus@|@Yayāthi (S)@
@Person@|@Nabar@
@Petty Person@|@Nakkapichchān@
@Phalguna@|@Panguńi@
@Pheasant-tailed Jaçana@|@Kōłivāl Mańalpurā@
@Philanthropist@|@Vaļļal@
@Physician@|@Vaidhiyar (S)@
@Pickle@|@Ūrugāy@
@Pickpocket@|@Pakket Adikkiravan@
@Picture@|@Ōviyam, Padam (S)@
@Piece@|@Thuńdu@
@Piece of News@|@Cheydhi@
@Pig@|@Panni, Panŗi@
@Pigeon@|@Purā@
@Piglet@|@Panŗikutti@
@Pilgrim's Resting Place@|@Chaththiram@
@Pillow (Informal)@|@Thalagāńi@
