@Lakota@|@English@
@kimímela@|@Butterfly@
@kimímila@|@Butterfly, Moth@
@Kin wounspe un wowablezeh iwachu owakihi kte/lo@|@and the Wisdom to know the difference@
@kȟokípȟA@|@afraid of something (v)@
@Kȟokípȟe šni ye/yo (F/M speaker)@|@Don’t be afraid@
@kȟokȟóyaȟ’aŋla@|@Chicken, Poultry@
@kȟoktá@|@1000@
@kȟoktópawiŋǧe@|@1000@
@Kola@|@Friend, the thunders have killed you  (Said when killing a spider)@
@kȟolá - (formal)@|@Hello, male friend @
@kȟolá (male to male)@|@Friend@
@koskálaka@|@Young@
@kȟoškálaka@|@Teenage boy@
@ksto@|@(Female gender ending  in statement - Singular)@
@kú@|@Returning home, to be (v)@
@kȟukȟúše@|@Pig@
@Kul munkin kte@|@I'm going to lie down@
@kúŋ@|@Covet, to (v)@
@kuŋkúŋ@|@Cucumber@
@Kuŋkúŋ pȟá@|@Pickles@
@Kȟuŋší@|@Grandmother @
@kȟúŋši (M or F speaker)@|@Paternal grandmother@
@Kuseya nayajin@|@You're standing in the way@
@Kušleca Wakpa (Kingfisher River)@|@Loup Fork (on the Platte River)@
@L l@|@[l]    (IPA)@
@Lakȟóta@|@Lakota dialect ("friends/allies")@
@Lakȟóta iyápi@|@Lakota language@
@Lakota s'e opiic'iya yo/ye@|@Conduct yourself like a Lakota@
@Lakotiwaya owakihi@|@I can speak Lakota@
@Lakotiwaya owakihi sni@|@I cannot speak Lakota@
@Lakotiyaya hwo/he?@|@Do you speak Lakota?@
@Lalá@|@Grandpa, Term of endearment used only for those we have developed a close relationship with@
@ȟláȟla@|@Bells, (School Terms)@
@lalá (M or F speaker)@|@Maternal grandfather@
@Lalá šuŋká wáŋ hé waŋyaŋka@|@Grandpa saw a dog@
@Lé aŋpétu kiŋ@|@Today@
@Le kiksuya yo/ye@|@Remember this@
@Lé mázaska tóna he?@|@How much is this?@
@Lé mitȟáwa kštó/yeló (F/M speaker)@|@It's mine, This is mine@
@Le nun kta hwo/he?@|@Are you going to use this?@
@Le wasteyalaka hwo/he?@|@Do you like this?@
@Le yawa po/pe@|@Read this@
@Le yuha yo/ye@|@Have this@
@Lecas tak epa hwo/he?@|@What did I just say?@
@Lecel wacin@|@This I ask so that these people may live@
@Léčhiya omášte.@|@It's sunny and hot over here@
@Léčhiya osní.@|@It's cold over here@
@Leciya otakuye wanice lo@|@There's no relationship over here (song line refering to incest probability)@
@Lehanl taku anpetu hwo/he?@|@What day is it today?@
@Leja wakinica!@|@I gotta have a pee!@
@Lekší (M or F speaker)@|@Uncle@
@lená@|@These@
@léna@|@Right here@
@Lila ksabnic'ila s'eleca@|@You seem to think you're so smart@
@Lila nawizi@|@He/She is really jealous@
@Lila nico@|@You're really cute@
@Líla taŋyáŋ he úŋ@|@He's doing fine@
@Líla wašté ksto  (Female speaking)@|@Very good@
@Líla wašté yeló@|@Very good, Very well@
@ȟliȟlíla@|@Muddy@
@lililili!@|@Yelled by women in a high pitched voice to praise warriors for acts of valor@
@ločhíŋ@|@Hungry@
@lol’íȟ’aŋ@|@Cooking@
@loté@|@Throat@
@lowáčhiŋ@|@Yes, I am hungry@
@Lowáčhiŋ kštó/yeló (F/M speaker)@|@I am hungry@
@Loyáčhiŋ he/hwo (F/M speaker)@|@Are you hungry?@
@Luhá@|@You have@
@lúta@|@Red@
@lúzahaŋ@|@Fast@
@M m@|@[m]    (IPA)@
@Má@|@Me  (pronoun)@
@maǧá@|@Duck (bird), Goose@
@máǧa@|@Garden@
@maǧá šápa@|@Goose@
@Maǧa T'aŋka Ota@|@Swan Lake@
@maǧá tȟáŋka@|@Goose@
@Maǧa Wakpala  (Duck River)@|@Laramie River@
@maǧáksiča@|@Duck (bird)@
@maǧáska@|@Swan@
@Maǧážu@|@Rain@
@Maȟpiya@|@Cloudy@
@Mahpiya Najiŋ@|@Standing Cloud @
@Maḣpiya T‘o (William Bean) (Yankton Sioux)@|@Blue Cloud@
@Maḣpiya Wicašta (Santee Sioux)@|@Cloud Man@
@Mak'a Saŋ@|@White Clay@
@Mak'a Saŋ Oyuze@|@Yellow Earth@
@Mak'a Saŋ Wakpala@|@White Earth River@
@Mak'a T'ipi (Sod House Town)@|@Chamberlain@
@Mak'a T'o Oyuze@|@Blue Earth, Mankato@
@Mak'izita Wakpa@|@White Earth River@
@Mak'izita Wakpala (a place on the White River)@|@Smoking Earth@
@Mak'u wo/we@|@Give it to me@
@Mak‘a Ideya (He Bums the Earth) (Sisseton Sioux)@|@Burning Earth@
@maká@|@Skunk@
@makȟá@|@Earth@
@makȟá kiŋ lečhála tȟéhan yuŋké ló’@|@The earth only endures@
@Makakije(lo)@|@I am suffering@
@makȟásitómniyaŋ@|@Universe@
@makȟásitomniyaŋ okȟál áye@|@Global warming@
@makȟátakiya@|@To the Earth@
@makhú@|@Chest (body part)@
@Makípazo wo!@|@Show me!@
@makȟóblaye@|@Prairie, Plains@
@makȟóčhe owápi@|@a, map, Map@
@Makȟóšiča@|@Badlands@
@máni@|@walk (v)@
@Manice@|@I don't have any@
@maȟpíya@|@Clouds@
@maȟpíya kaȟwóke@|@Drifting clouds@
@Maȟpiya Luta@|@Red Cloud@
@maȟpíya tȟaŋíŋ@|@Northern Lights@
@maȟpíyohaŋzizi@|@Shadows on the ground caused by the passage of clouds@
@Mas'awakipe@|@I called him/her (on the phone)@
@máške (female to female)@|@Friend@
@mašté@|@Sunshine@
@Mašté@|@Sunny@
@maštešte@|@Sunny weather@
@maštíŋčala@|@Hare, Rabbit@
@maštíŋčaphute@|@buffaloberries@
@Mat'o Gnaškiŋyaŋ@|@Raging Buffalo@
@Mat'o He Ḣlokeca@|@Hollow Horn Bear@
@Mat'o Iwaŋka (Yankton Sioux)@|@Grizzly Bear Lying Down@
@Mat'o Maza (Yankton Sioux)@|@Iron Bear@
@Mat'o Wanaḣtaka@|@Kicking Bear@
@Mat'o Waŋbli@|@Frank Fool’s Crow@
@Mat'o Witko@|@Fool White Bear, Crazy Bear@
@Mat'o Yamni@|@Three Bears@
@Mat‘o Ġi@|@Brown Bear@
@Mat‘o Inap‘a@|@Comes Out Bear@
@Mat‘o T'akpeva (Yankton Sioux)@|@Charging Bear@
@Mat‘o Wakiye@|@Acts the Bear @
@Matanyehci@|@I'm doing really well@
@Matáŋyaŋ@|@ I am fine, and you?@
@matȟó@|@Bear@
@matȟó tȟáŋka@|@Grizzly bear@
@matúgna@|@Crayfish@
@MaVa T'aŋka Ota Bde (Santee Sioux)@|@Great Swan Lake@
@mawaŋží@|@I am one of@
@Mawegahe@|@I'm broke@
@Maya Skadaŋ (Santee Sioux)@|@White Rock@
@Maya Wak'aŋ (Mysterious Cliff)@|@Chippewa River@
@máyašle@|@Hill coyote@
@Maza K'ute Mani (Shooting Iron Walking)  (Santee Sioux)@|@Little Paul@
@Maza Ša (Santee Sioux)@|@Red Iron @
@Maza Wahac'aŋka@|@Iron Shield@
@mázaša waŋží@|@Penny (money)@
@mázašala@|@Penny (money)@
@mázaska@|@Money, Silver@
@Mazaska etan omak'u wo/we@|@Lend me some money@
@mázaska okhíse@|@Half dollar@
@mázaska waŋží@|@Dollar (one)@
@mázaska zí@|@Gold (colour)@
@mázaškaŋškaŋ@|@Clock@
@Mázaškaŋškaŋ tóna he/hwo? (F/M speaker)@|@What time is it?@
@mázaskaska@|@Silver@
@mázazi@|@Gold (colour)@
@Mde Hdakiŋyaŋ  (Santee Sioux)@|@Lac Traverse@
@Mde T'ipi T'aŋka  (Santee Sioux)@|@Big Village Lake@
@Mde Wak'aŋ@|@Mystic Lake, Knife Lake@
@Mde Wak'aŋ (Santee Sioux)@|@Spirit Lake@
@Mde Watop'apidaŋ (Santee Sioux)@|@Boating Lake@
@Mde Yedaŋ (Santee Sioux)@|@Lac Qui Parle@
@Miglúonihaŋ kštó/yeló (F/M speaker)@|@I have self-respect, I honor myself@
@Mihakab eya yo/ye@|@Say after me@
@mihúŋ@|@My mother@
@Mike emáčiyapi@|@My name is Mike, They call me Mike@
@míla@|@Knife@
@míla kaš’íŋ@|@Butcher's knife@
@Mis eya@|@Me too@
@misúŋ  (Male speaker)@|@Younger brother@
@Misúŋ wówapi tȟawá hé ičú@|@Younger brother got his book@
@mišúŋkala@|@My younger brother@
@misúŋkala  (Female speaker)@|@Younger brother@
@Mita wincincala kin amayustan@|@My girlfriend left me@
@Mitákuye Oyás’iŋ@|@All my relations@
@MITÁKUYEPI@|@My relatives@
@mitȟáŋkala (female speaker)@|@Younger sister@
@Mitȟáwa@|@Mine@
@Mitȟúŋkašila@|@My grandfather@
@Miyogli Oyuze@|@Whetstone@
@mni@|@Water@
@mni-híyaye@|@Floods@
@mni-íyoȟaȟa@|@Waterfalls@
@Mni Ak'ipaŋ Kaduza (Watershed)  (Santee Sioux)@|@Head waters of the Des Moines and Blue Earth Rivers @
@Mni Blaska (see Nebraska)@|@Flat River@
@Mni Duza (Fast River) (Santee Sioux)@|@Saskatchewan River@
@Mni K'ata@|@Hot Springs@
@Mni ognake kin ojuyaya hwo/he?@|@Did you fill up the water container?@
@mni š’éš’e@|@Sprinkle (weather)@
@mni šmé@|@Deep water@
@Mni Šoše (Turbid Water)@|@Missouri River@
@Mni Sota (Clear Water)@|@Minnesota River@
@Mni Wak'aŋ (Mysterious Water)@|@Devil’s Lake@
@Mni Wak'aŋ C'aŋte (Heart of the Mysterious Water)@|@Devil’s Lake Mountain @
@Mni Wanica@|@No Water@
@Mni Woblu@|@Fall River@
@mničáluza@|@Rapid water@
@mničápi (noun)@|@Well@
@Mnikȟówožu@|@Planters by the stream @
@Mniluzahaŋ Ot'uŋwahe@|@Rapid City@
@Mnin kte nacece@|@I will probably go@
@mninátȟake@|@Dam (man-made)@
@mniówaŋča@|@Ocean@
@mniówaŋča okáȟmiŋ@|@Bay, Gulf@
@mniówe@|@Spring water, Well@
@mnisápa wíčazo@|@Pen@
@Mniskúya@|@Salt@
@mnitáŋ@|@Flood (noun)@
@mnítȟola@|@Algae@
@mniȟúha mázaska@|@Bills, Notes@
@Mniwákȟaŋtȟuŋwaŋ@|@People of the spirit lake@
@mniwáthičoǧa@|@Algae@
@mniwózaŋ@|@Steady rain@
@múla - (baby word)@|@Cow @
@N n@|@[n]    (IPA)@
@Na hocunka@|@To the center, Spotted Eagle, look upon me@
@Na hun oyate oyasin@|@And help all the people walk the red road@
@Na hun waci wicasa na waci winyan wopila tanka@|@Many thanks for the dance men and dance women@
@Na itokagata@|@To the south, Eagle people, look upon me@
@Na maka ina na unci maka ahitonwan po@|@Mother Earth, Grandmother Earth, look upon me@
@Na níš@|@And you, where do you live?@
@Na níš táku eníčiyapi he/hwo? (F/M speaker)@|@And what is your name?@
@na níš?@|@and you?, I am fine@
@na owica kiya po@|@Have pity on and help all the people@
@Na waka tinya@|@And upwards, and upwards, look upon me@
@na waka tinya ahitonwan po@|@And upwards, and upwards, look upon me@
@Na waziyata@|@To the north, Buffalo people, look upon me@
@Na wiyohinyanpata@|@To the east, Black Tail people, look upon me@
@naȟ’úŋ@|@hear (v)@
@Nacih'un sni@|@I didn't hear you@
@naǧí@|@Shadow, Spirit@
@Naǧí Gluhápi@|@Keeping the Soul Rite@
@Naġi Gnaškiŋyaŋ@|@Ghost Boy@
@Nahahci@|@Not yet@
@Nahahci ecun sni yo/ye@|@Don't do it yet@
@Nahahci lowacin sni@|@I'm not hungry yet@
@Nahahci ye sni yo/ye@|@Don't go yet@
@Nahan taku ohitiya bluto kecha okihi maya yo@|@The Courage to change the things I can@
@naká@|@Twitch, to (v)@
@Nakénula waúŋ kštó/yeló (F/M speaker)@|@I am always ready@
@Nakes yahi@|@You're finally here@
@nakpáǧiča@|@Marten@
@naȟmá iȟát’a@|@giggle (v)@
@naŋká@|@You sit@
@napȟáhuŋka@|@Thumb@
@napčíyuŋka@|@9@
@napé@|@Hand@
@Nape yugata po/pe@|@Raise your hands@
@napíŋkpa@|@Gloves@
@napókaške@|@Wrist@
@napsú@|@Fingers@
@napsú okázuŋte@|@Fingers@
@nasúla@|@Brains@
@Nasula (Ivan Starr)@|@Bear Brain @
@natá@|@Head (Facial Parts)@
@natá yazáŋpi pȟežúta@|@Aspirin@
@natáhu@|@Skull@
@Nataka yo/ye@|@Close it up@
@Naȟuǧa Hoȟpi@|@Niobrara@
@Ní@|@You - (pronoun)@
@niǧé sáŋla@|@Antelope@
@Nígluštaƞ he?@|@Are you finished? (Female speaking)@
@Nígluštaƞ hwo?@|@Are you finished?@
@nihíŋčiya@|@Nervous@
@nihúŋ@|@Your mother@
@Nihwa s'eleca@|@You look tired@
@nikté@|@He killed you  (he/she)@
@Nikuje s'eleca@|@You look sick@
@Nis tog?@|@And how are you?@
@niséhu@|@Hip (body part)@
@Nišnála yá ye/yo (F/M speaker)@|@You go alone, You go by yourself@
@nisúŋkala@|@Your younger brother@
@Nitȟáwa@|@Your@
@nité@|@Lower back@
@nitȟúŋkašila@|@Your grandfather@
@Nitȟúŋwiŋ  túktel thí he?@|@Where does your aunt live?@
@Nitúwe he/hwo? (F/M speaker)@|@Who are you?@
@Niyáte tókheške úŋ he@|@How's your father keeping?@
@Num Kaȟpa@|@Two Strikes@
@núŋǧe@|@Ear@
@Núŋpa@|@2@
@O o@|@[o]    (IPA)@
@oȟ’áŋ šíčA@|@Ornery, Poorly behaved@
@oȟ’áŋkȟo@|@Fast@
@oákaŋke@|@Chair@
@Oápȟe tóna he/hwo? (F/M speaker)@|@What time is it?@
@obláye@|@Prairie, Plains@
@Očhéthi Šakówiŋ@|@Seven Council Fires@
@Ociciya yacin hwo/he?@|@Do you want me to help you?, Would you like me to help you?@
@Office ekta micob@|@They called me to the office@
@Oglála@|@Likes to go home, Scatters his own@
@Oglala Owakpamni@|@Pine Ridge Reservation@
@ógle@|@Put something into something else, Shirt, Jacket, to (v)@
@Ogle Zizi@|@Yellow Shirt@
@oháŋ@|@OK, Sure@
@óhaŋ@|@Among@
@Oic'iya po/pe@|@Help yourselves!@
@Oiheye tipi ekta bla wacin@|@I want to go to the bathroom@
@Oinajiŋ Ot'uŋwahe (Stopping Place)@|@Valentine Nebraska@
@Oinajiŋta (Stopping Place)@|@Valentine Nebraska@
@Ojanjan kin yuile yo@|@Turn on the lights@
@Ojuta Luta@|@Red Sack@
@Ok’e@|@Place of obtaining, Quarry@
@ȟoká@|@Badger@
@okáȟmi@|@Meadow by the bend of a creek or river@
@okȟáta@|@Hot weather@
@Okatin kta keyapi@|@They say it's going to be hot@
@Okicic'u po/pe@|@Share with each other@
@Okpasya yo/ye@|@Turn off the lights, Turn out the lights@
@olíȟ’aŋ ye/yo (F/M speaker)@|@Cook something@
@olówaŋ@|@Song@
@olúluta@|@Muggy, Humid@
@Ómakiya yo (m>sg)@|@Help!@
@Omakiya yo/ye@|@Help me@
@Omáphišni kštó/yeló (F/M speaker)@|@I don’t feel good, I don’t feel well@
@Omášte@|@Hot and sunny@
@Omáwahečheča kštó/yeló (F/M speaker)@|@ I feel better@
@omáwahetȟuŋ (M or F speaker)@|@n-laws (in general)@
@ómna@|@smell (v)@
@Omníča gmigmi@|@Peas@
@Omníča špaŋyáŋ@|@Baked beans@
@omníčiye wičháša@|@Tribal councilman@
@omníčiye wíŋyaŋ@|@Tribal councilwoman@
@oníya yušíčapi@|@Pollution@
@Oóhenuŋpa@|@Two kettles@
@Oówa@|@Colours@
@óowa@|@Letter of the alphabet@
@Óowaptaya@|@Alphabet@
@opáwiŋǧe@|@100@
@opáwiŋǧe waŋží sáŋm wikčémna núŋpa sáŋm šaglóǧaŋ@|@128@
@opáwiŋǧe yámni sáŋm wikčémna tópa sáŋm napčíyuŋka@|@349@
@ošíčeča@|@Bad weather@
@oškáte thípi@|@Gym, Gymnasium@
@oškíške@|@Hills and canyons, Rough land@
@Oškiškita@|@Badlands@
@oškókpa@|@Ditch (noun), Hollow place@
@ósmaka@|@Canyon, Valley@
@osní@|@Cold, Cold (object)@
@Osní@|@Cold weather@
@osní šíča@|@Below zero cold@
@osúŋ@|@Braids (in hair)@
@Ot'uhu Oju@|@Oak Wood Settlement@
@Ot‘eḣi (Hardship)@|@Bushotter@
@óta@|@Many@
@ȟóta@|@Gray, Grey, Grizzly bear@
@Ota Ap'api@|@Plenty Strikes@
@otakuye@|@Kinsmen, Relations, Relatives@
@otȟáŋiŋ@|@Spread, to (v)@
@ótȟaŋiŋ@|@visible, to be (v)@
@Otȟáŋkaye kiŋ tuktél úŋ he?@|@Where is the toilet?@
@Owá pe (f>pl)@|@Please write it down@
@Owá po (m>pl)@|@Please write it down@
@Owá ye (f>sg)@|@Please write it down@
@Owá yo (m>sg)@|@Please write it down@
@Owákaȟniǧe šni@|@I don't understand@
@Owakpamni Oyaŋke@|@Pine Ridge Reservation@
@Owanjila yanka yo/ye!@|@Sit still!@
@owáŋka wakȟáŋ@|@Altar@
@Owáŋka Yužážapi , Aŋpétu Šákpe@|@Saturday (6th day)@
@owáštečaka@|@good weather@
@Owat'okšu (Hauling Place)@|@Rushville@
@owáyawa@|@School@
@owáyawa itȟáŋčhaŋ@|@Principal  (a person)@
@Owicakiyake sni yo/ye@|@Don't tell them@
@Oyakahnigab hwo/he?@|@Do you all understand?@
@oyáte@|@Nation, People@
@Oyáte@|@Nation, People@
@oyáte itȟáŋčhaŋ@|@Tribal chairman@
@Oyate oyasin unsi wicala po@|@Have pity on and help all the people@
@oyúsiŋka@|@hate (v), hold a grudge against (v)@
@Oyuze@|@Place of obtaining, Quarry@
@pȟ@|@Gutteral P + h@
@p@|@English P in Spill@
@P'adani Ap'api (Yankton Sioux)@|@Struck By The Ree@
@P'adani K'okip'a Šni  (Yankton Sioux)@|@Not Afraid of the Pawnee @
@P'ahiŋ Siŋte@|@Porcupine@
@P'alani T'awakpala@|@Pawnee River@
@P'aŋǧi T'akiŋkiŋyaŋ (Big Artichokes)@|@Mizpah@
@P'aŋkeska Maza@|@Iron Shell@
@P'aŋkeska Wakpa (Shell River)@|@Platte River@
@P'ehaŋ Saŋ Mani@|@White Crane Walking@
@P'eji Sla Wakpala@|@Greasy Grass@
@P'eji T'o Oyaŋke@|@Green Grass@
@P'eta Wakiŋyaŋ@|@Fire Thunder@
@P'ute@|@Lip (name)@
@Pȟ pȟ@|@[pˣ]    (IPA)@
@P p@|@[p]    (IPA)@
@P‘ehiŋ Haŋska (Long Hair)@|@Custer, George Armstrong@
@P’ p’@|@[pʼ]    (IPA)@
@p’é@|@American elm@
@p’e čháŋ@|@Elm tree@
@p’ó@|@Fog, Mist@
@P’ó@|@Foggy@
@pȟaǧé@|@Waist@
@pahá@|@Hill@
@Paha C'aŋwegna Yaŋka@|@Hill In The Woods@
@Paha Sapa@|@Black Hills@
@pȟahíŋ@|@Porcupine@
@pȟaȟlípakhiŋte@|@handkerchief@
@pȟamágle@|@kneel (v) @
@pȟaŋǧí šašá@|@Beet@
@pȟaŋǧí ziz@|@Carrot@
@pápa@|@Dried meat, Pemmican@
@pȟasú@|@Nose@
@pȟaȟté@|@Forehead@
@patítaŋ@|@push (v)@
@pȟatká šá@|@Painted turtle@
@Pažóla Otȟúŋwahe@|@Martin, South Dakota@
@pe@|@(Female gender ending in statement - plural)@
@pȟehíŋ@|@hair, Hair@
@Pejuta ounye uha wóunspé ki henna wa yasu yakel pasi (pi/pelo)@|@Clinical trials, they always pursue learning, With medicine@
@peló@|@(Male gender ending in statement - plural)@
@Perú el wathí@|@I live in Peru@
@pȟesá@|@Cockerel's comb@
@Pȟésa@|@Quapaw@
@pȟéta@|@Fire@
@pȟéta yuhála@|@Will-o’-the-Wisp@
@Pȟéta!@|@Fire! (there is a)@
@pȟeží ȟóta@|@Sage@
@Pȟeží Tȟó Wí@|@April - Moon of Green Grass@
@Pȟežúta@|@Medicine@
@pȟežúta gmigméla@|@Pills, Tablets@
@pȟežúta sáp@|@Coffee@
@pȟežúta wičhák’u@|@Pharmacist@
@pȟežúta wičháša@|@Doctor@
@ph@|@English P in Pill@
@Ph ph@|@[pʰ]    (IPA)@
@pheží@|@Grass@
@phí@|@Liver@
@philámayaye@|@Thanks@
@Philámayaye ló - (masculine speaker)@|@The deed made me feel good@
@phutéwokič’u@|@Elephant@
@phuthíŋhiŋ@|@Beard@
@píško@|@Nighthawk@
@pispíza@|@Prarie dog@
@Pizi@|@Man Who Goes In The Middle (see Gall)@
@po@|@(Command statement - Male plural)@
@pȟóǧe@|@Nostril@
@pȟoǧó wičháša@|@Tribal councilman@
@pȟoǧó wíŋyaŋ@|@Tribal councilwoman@
@psá wapȟóštaŋ@|@Straw hat@
@pséȟtiŋ@|@Ash tree@
@psíča@|@jump (v)@
@psíŋ@|@Rice@
@pšíŋ@|@Onion@
@Pšit'ola Ok’e@|@Beads Lake@
@Pta yela oyate ki takuƞ wounspe itahan pasiyakel skan (pi/pelo)@|@Community-based Participatory Research, Together people pursue learning@
@ptáŋ@|@Otter@
@Ptaŋnuŋpi Wakpala@|@Pumpkin River@
@ptaŋyétu@|@autumn, Fall (season)@
@ptáya@|@Together@
@pté@|@Cow@
@Pté Sáŋ Wíŋ@|@White Buffalo Calf Maiden@
@ptéčela@|@Short@
@pteǧá@|@Marsh, Swamp@
@ptegléška@|@Cattle@
@ptehíŋčala@|@Calf (animal)@
@Ptehiŋcala Saŋ Wiŋ@|@White Buffalo Calf Woman@
@pteóle wapȟóštaŋ@|@Cowboy hat@
@ptewák’iŋ@|@Work-ox@
@ptewíŋyela@|@Buffalo cow@
@púza@|@Dry@
@š@|@English SH in Shell@
@S s@|@[s]    (IPA)@
@Š š@|@[ʃ]    (IPA)@
@Šá@|@Red@
@šaglóǧaŋ@|@8@
@Sahiyena Oju Watpa (River where the Cheyenne Planted)  (Santee Sioux)@|@Cheyenne River @
@šaké@|@Fingernail@
@šakówiŋ@|@7@
@Šakpe@|@Six (Shakopee)@
@šákpe@|@6@
@Sam kiyela u wo/we@|@Come closer@
@Sam tanyan ecun wo/we@|@Do it better@
@šamná@|@Pink@
@Sápa@|@Black@
@Sapa Uŋ@|@Mission@
@Sapa Uŋ Ot'i (Black Robes)@|@Mission@
@Sapa Uŋ Ot'i (Home of the Black Robes)@|@St Francis@
@šásaŋ@|@Pink@
@šástaŋ@|@Pink@
@šašté@|@Little finger@
@sčépȟaŋ (F speaker)@|@Sister-in-law@
@sču@|@Shy@
@sí@|@Foot@
@sí šáke@|@Toenail@
@sí šašté@|@Little toe@
@Sic'aŋǧu Oyaŋke@|@Rosebud Reservation@
@Sic'aŋǧu T'ipi@|@Rosebud Reservation@
@šič’é (F speaker)@|@Brother-in-law@
@šič’éši (female speaker)@|@Male cousin@
@šíča@|@Bad@
@Sicaya wilukcan@|@You think bad@
@Sičháŋǧu@|@Burnt thighs@
@Sičháŋǧu Oyáŋke él wathí kštó/yeló (F/M speaker)@|@I live on Rosebud@
@Sihásapa@|@Black soles of feet (Blackfoot)@
@Šina Ska@|@White Robe@
@sinkpȟéla@|@Muskrat@
@sinte sapila oyate ahitonwan po@|@To the east, Black Tail people, look upon me@
@siŋkpȟé@|@Muskrat@
@siŋkpȟé tȟawóyute@|@Bitter root@
@Šiŋte Gleška@|@Spotted Tail @
@siŋtíčhapȟe@|@Scorpion@
@siókaza@|@Toe@
@sipȟá@|@Toe@
@Sisítȟuŋ@|@People of the swamp@
@Sisítȟuŋwaŋ@|@People of the swamp @
@siyéte@|@Heels@
@šiyó@|@Wild game bird@
@šiyúte@|@Lap (body part)@
@Ská@|@White@
@Ska oyate wokhúža ithahaƞ wóunspé iphasi yakel wichoškan@|@Epidemiology, Non-native people pursue illness-based learnings/doings@
@škáta@|@play (v)@
@škečátȟaŋka  - (pronounced  škečátȟaŋngka)@|@Wolverine@
@škípipila@|@Chickadee@
@sloháŋ@|@crawl (v)@
@Slolwayin kte sni@|@I don't know@
@Slolya ktauƞ wóunspé pasi (yupi/pasiya pelo)@|@Learn, Science, They pursue learning, to - they pursue learning@
@Slolyaya hwo/he?@|@Do you know?@
@šlušlúte@|@Slippery@
@Šní@|@(negative marker), Not@
@šókela@|@Quarter (money)@
@Soški  (Yankton Sioux)@|@Edward Rough Country @
@sóta@|@Transparent@
@šóta@|@Smoke (n)@
@špáŋ šni yútapi@|@Watermelon@
@spáya@|@Wet@
@Sun@|@wí@
@Suŋg K'uc'iyela@|@Low Dog@
@Šuŋg Luzahaŋ@|@Running Horse@
@Suŋgdeška Sapa (David Zephier)  (Yankton Sioux)@|@Black Spotted Horse @
@šuŋgmánitu@|@Coyote@
@šuŋgmánitu tȟáŋka@|@Wolf@
@šuŋgwóilake@|@Work horse@
@šúŋka@|@Dog@
@Suŋka Ohitika@|@Brave Dog @
@Šuŋka waŋ waŋblake@|@I saw a dog@
@Šuŋká waŋ waŋláka he@|@Did you see a dog?@
@Suŋka Waŋbdi  (Yankton Sioux)@|@Eagle Dog@
@šúŋkawakȟaŋ@|@Horse@
@šuŋkčhíŋčala@|@Colt (animal)@
@suŋkǧíla@|@Fox@
@šuŋngblóka@|@Stud horse@
@šúŋšuŋla@|@Donkey@
@sutá@|@Strong@
@swuyéla hiŋhé@|@Drizzle@
@tȟ@|@Gutteral T + h@
@t@|@English T in Still@
@T'ac'aŋku Wašte (Santee Sioux)@|@Good Road@
@T'ac'eji Wakpa@|@Tongue River@
@T'ahalo Paha@|@Hide Butte@
@T'aŋpa Oju Wakpadaŋ (White Birch Creek) (Santee Sioux)@|@Spring Creek@
@T'aopi Cik’ala@|@Little Wound@
@T'ap'izi@|@Gall @
@T'asuŋka K'okip'api@|@Man Afraid of His Horses@
@T'asuŋka K'okip'api  (Man Whose Horses They Fear)@|@Man Afraid of His Horses@
@T'asuŋke Cik’ala@|@Little Horse @
@T'ašuŋke Hiŋša@|@Roan Horse@
@T'asuŋke Oḣ'apk'o@|@Fast Horse@
@T'asuŋke Witko  (His horse is crazy)@|@Crazy Horse@
@T'ašuŋke Witko Ite Kakaŋpi He@|@Crazy Horse Mountain@
@T'at'aŋka Iyotake@|@Sitting Bull@
@T'at'aŋka Mak'alȟpaya (Where the Buffalo Fell to Earth)@|@Buffalo Gap@
@T'at'aŋka Mani  (Santee Sioux)@|@Walking Buffalo@
@T'at'aŋka Najiŋ@|@Standing Bull@
@T'at'aŋka Wosla Mani@|@Standing Bull Walking@
@T'ate Iyohi Wiŋ@|@Reaches For The Wind@
@T'ate T'acaŋku (Wind Road)@|@South Platte@
@T'uki Wakpa@|@Shell River@
@T'uŋkaŋ Waštena (Yankton Sioux)@|@Pretty Rock  (Felix T Brunot)@
@Tȟ tȟ@|@[tˣ]    (IPA)@
@T t@|@[t]    (IPA)@
@T‘aoyate Duta  (Santee Sioux) see  Little Crow@|@His Red People@
@T‘at‘aŋka Kinina (Yankton Sioux)@|@Buffalo Comes to Life@
@T‘at‘aŋka Kiŋyaŋ (Yankton Sioux)@|@Flying Bull@
@T‘i T'aŋka He (Place of the Great Lodge)@|@Oakwood Lakes@
@T’ t’@|@[tʼ]    (IPA)@
@t’at’á@|@Fatigued@
@t’élanuwé@|@Sand lizard@
@Ta iyecinkinyanke kin kaptanyan@|@He rolled his car over@
@Tab skata mnin kte@|@I'm going to go to play basketball@
@tȟaȟča wíŋyela@|@Doe@
@tȟáȟčašuŋkala@|@Sheep@
@tȟáhežata@|@Two year old deer, Two year old elk@
@tȟahú@|@Neck@
@Tak eciyap so....@|@What's his/her name?@
@Ták eníčiyab he/hwo? (F/M speaker)@|@What is your name?@
@Tak tokanun ktehcin hwo?@|@Just what its it you're trying to do?@
@Tak tokanunhan hwo/he?@|@What are you doing?@
@tȟakó (M or F speaker)@|@Son-in-law@
@tȟakóš  (M or F speaker)@|@Daughter-in-law@
@Tȟakóža@|@Grandchildren@
@táku@|@Creature@
@Táku@|@What@
