@English@|@Lakota@
@Glue@|@wíyaskabye@
@Gnats@|@tȟáŋničala@
@Go to sleep. (to one person)@|@Ištíŋma ye/yo! (F/M speaker)@
@Go to sleep. (to ore than one or to a group)@|@Ištíŋma pe/po (F/M speaker)@
@Go!@|@Iyáya ye! (Female speaker), Iyáya yo! (Male speaker)@
@Goat@|@tȟatȟókala@
@Gold (colour)@|@mázaska zí, mázazi@
@Good@|@Wašté@
@Good day@|@Aŋpétu wašté@
@Good evening@|@Ȟtayétu wašté@
@Good Lance@|@Wahuk'eza Wašte@
@Good Luck!@|@Tókhi wániphika ní!@
@Good morning@|@Hau/Haŋ, híhaŋni wašté, híhaŋni wašté . (means something was good this morning), híŋhaŋni wašté, tókheškhe yaúŋ hwo/he?@
@Good night@|@Haŋhépi wašté@
@Good Road@|@T'ac'aŋku Wašte (Santee Sioux)@
@good weather@|@owáštečaka@
@Goose@|@maǧá, maǧá šápa, maǧá tȟáŋka@
@Gopher@|@tȟašnáheča@
@Grandchild@|@Tȟakóža (M or F speaker)@
@Grandchildren@|@Tȟakóža@
@Grandfather@|@Ho Tunkasila Wakan Tanka, Tȟuƞkášila@
@Grandmother@|@Kȟuŋší, Uƞčí@
@Grandmother Earth@|@Na maka ina na unci maka ahitonwan po, Unčí Makȟá@
@Grandpa@|@Lalá@
@Grandpa saw a dog@|@Lalá šuŋká wáŋ hé waŋyaŋka@
@Grant me the serenity to accept the things I cannot change@|@Wahwala waun ke le takuni blutokecha owakihisni ki le wichake malayo@
@Grapefruit@|@tȟaspáŋ zí tȟáŋka@
@Grapes@|@čhuŋwíyapehe@
@Grass@|@pheží@
@Grasshopper@|@gnugnúška@
@Gray@|@ȟóta@
@Greasy Grass@|@P'eji Sla Wakpala@
@Great Spirit@|@Ho Tunkasila Wakan Tanka, Wakȟáŋ Tȟáŋka@
@Great Swan Lake@|@MaVa T'aŋka Ota Bde (Santee Sioux)@
@Great!@|@Waste Chicago!@
@Green@|@Tȟózi@
@Green Grass@|@P'eji T'o Oyaŋke@
@Grey@|@ȟóta@
@Grizzly bear@|@matȟó tȟáŋka, ȟóta@
@Grizzly Bear Lying Down@|@Mat'o Iwaŋka (Yankton Sioux)@
@Guess@|@yukčáŋ@
@Gulf@|@mniówaŋča okáȟmiŋ@
@Gum (chewing)@|@čhaŋšíŋ@
@Gutteral K + h@|@kȟ@
@Gutteral P + h@|@pȟ@
@Gutteral T + h@|@tȟ@
@Gym@|@oškáte thípi@
@Gymnasium@|@oškáte thípi@
@Hail@|@Wasú@
@Hailstorm@|@wasú hiŋhé@
@hair@|@pȟehíŋ@
@Hair@|@pȟehíŋ@
@Half dollar@|@mázaska okhíse@
@Hand@|@napé@
@handkerchief@|@pȟaȟlípakhiŋte@
@Happy@|@čhaŋtéwašte, iyókphii@
@Hare@|@maštíŋčala@
@Hat@|@wapȟóštaŋ@
@hate (v)@|@oyúsiŋka@
@Have@|@Yuhá@
@Have a good journey!@|@Taŋyáŋ ománi (m>sg), Taŋyáŋ ománi pe (f>pl), Taŋyáŋ ománi po (m>pl), Taŋyáŋ ománi ye (f>sg)@
@have a hard time splitting something (v)@|@-ȟléčA  (root word)@
@Have a nice day!@|@Aŋpétu wašté yuhá pe (f>pl), Aŋpétu wašté yuhá po (m>pl), Aŋpétu wašté yuhá ye (f>sg), Aŋpétu wašté yuhá yo (m>sg)@
@Have as a relative@|@takuya@
@Have for a relative@|@takúya@
@Have pity on and help all the people@|@na owica kiya po, Oyate oyasin unsi wicala po@
@Have pity on me@|@Unsimala yo/ye@
@Have this@|@Le yuha yo/ye@
@Have you got a pencil?@|@wichazo waŋji luha hwo@
@Have you got a problem?@|@Táku iníčakiža he/hwo? (F/M speaker)@
@Have you got a question?@|@Woiyunge wanji luha hwo/he?@
@Hawk@|@čhetáŋ@
@He / She is back now@|@Wana glihunni@
@He came and then he left@|@U yunkan iyaye@
@He gave us (He/she)@|@uŋk’úpi@
@He Goes Drifting@|@Kaḣoke  (Santee Sioux)@
@He has a boat@|@Wáta waƞ yuhá@
@He has a headache@|@Hé natá yazáŋ kštó/yeló (F/M speaker)@
@He is coming@|@Ú welo.@
@He is looking for a woman (girlfriend)@|@He wiole un@
@He is very poor@|@Hé líla waȟpániča kštó/ló (F/M speaker)@
@He killed you  (he/she)@|@nikté@
@He rolled his car over@|@Ta iyecinkinyanke kin kaptanyan@
@He said that to him@|@hečíya@
@He/She always does that@|@He hecun s'a@
@He/she gets@|@Hé ičú@
@He/she has@|@Hé yuha@
@He/She headed out all of a sudden@|@Hci s'e hingle@
@He/she is@|@Hé úŋ@
@He/She is a pouter@|@He wacinko s'a@
@He/She is not right@|@He ecetu sni@
@He/She is really deaf@|@He lila nunhcan@
@He/She is really jealous@|@Lila nawizi@
@He/she sees@|@Hé waŋyáŋka@
@He/She smiled at me@|@Iha amayute@
@He/She wants@|@Hé čhíŋ  ( note that He can be dropped in verbs)@
@He/She was suddenly sick@|@He kuja hingle@
@He/She/It got run over by a car@|@Iyecinkinyanka un nat'e@
@Head (Facial Parts)@|@natá@
@Head waters of the Des Moines and Blue Earth Rivers@|@Mni Ak'ipaŋ Kaduza (Watershed)  (Santee Sioux)@
@Health@|@wičhózani@
@hear (v)@|@naȟ’úŋ@
@hear me@|@Tate owe topa na ate Wakan Tanka namahun po@
@Heart@|@čhaŋté@
@Heels@|@siyéte@
@Hello@|@háu, Hau/Haŋ, híŋhaŋni wašté, kȟolá - (formal), tókheškhe yaúŋ hwo/he?@
@Hello (male/female speaker)@|@Hau/Haŋ@
@Help me@|@Omakiya yo/ye@
@Help yourselves!@|@Oic'iya po/pe@
@Help!@|@Ómakiya yo (m>sg)@
@Her child@|@Čhiƞčá@
@Here you are@|@Wan le wan@
@Here you go@|@Wan le wan@
@He's doing fine@|@Líla taŋyáŋ he úŋ@
@Hidden Woods@|@C'aŋ Naȟmedaŋ  (Santee Sioux)@
@Hide Butte@|@T'ahalo Paha@
@Hide scrapings@|@ȟuhá@
@Hill@|@pahá@
@Hill coyote@|@máyašle@
@Hill In The Woods@|@Paha C'aŋwegna Yaŋka@
@Hills and canyons@|@ȟeóškiške, oškíške@
@Hip (body part)@|@niséhu@
@His child@|@Čhiƞčá@
@His Hoop@|@C'aŋkdeška T'awa  (Yankton Sioux)@
@His Red People@|@T‘aoyate Duta  (Santee Sioux) see  Little Crow@
@His/her@|@Hé tȟawá@
@hold a grudge against (v)@|@oyúsiŋka@
@Hollow Horn@|@He Oḣdoka  (Yankton Sioux)@
@Hollow Horn Bear@|@Mat'o He Ḣlokeca@
@Hollow place@|@oškókpa@
@Honor@|@wóyuonihaŋ@
@Horse@|@šúŋkawakȟaŋ@
@Horsefly@|@tȟatȟáwabluška@
@Hot@|@kĥáta@
@Hot (object)@|@kȟáta@
@Hot and sunny@|@Omášte@
@Hot dog@|@tȟašúpa@
@Hot Springs@|@Mni K'ata@
@Hot weather@|@okȟáta@
@House@|@thípi@
@How@|@Tókheškhe@
@How are you doing?@|@Toske yaun hwo/he?@
@how are you?@|@Hau/Haŋ, híŋhaŋni wašté, tókheškhe yaúŋ hwo/he?@
@How are you?@|@Taŋyáŋ yaúŋ he/hwo, Tókheškhe yaúŋ he/hwo, Toníktuha he/hwo, Tóskhe yaúŋ he/hwo? (F/M speaker)@
@How did you come?@|@Toske yau hwo/he? (M/F speaker)@
@How do you say BIRD in Lakota?@|@BIRD tókhel Lakȟótiya ehápi he?@
@How is dad?@|@Até tókheškhe hé úŋ he@
@How is it?@|@Tókȟa@
@How many@|@Tóna@
@How much is this?@|@Lé mázaska tóna he?@
@How much?@|@Tónakča@
@How old are you?@|@Waníyetu nitóna hwo/he? (M/F speaker)@
@How's it going?@|@Toskeya?@
@How's your father keeping?@|@Niyáte tókheške úŋ he@
@Humid@|@olúluta@
@Hummingbird@|@tȟanáǧila@
@Hump@|@C'aḣaḣake@
@Hungry@|@ločhíŋ@
@hurry (v)@|@ináȟni@
@Hurry! (to more than one or to a group)@|@Ináȟni pe/po! (F/M speaker)@
@Hurry! (to one person)@|@Ináȟni ye/yo! (F/M speaker)@
@I am@|@Waúŋ@
@I am ______(years old)@|@Waníyetu ma _______@
@I am always ready@|@Nakénula waúŋ kštó/yeló (F/M speaker)@
@I am called@|@Emáčiyapi@
@I am doing fine@|@Taŋyáŋ waúŋ kštó/weló (F/M speaker)@
@I am fine@|@Matáŋyaŋ, na níš?, taŋyáŋ waúŋ, Taŋyáŋ waúŋ@
@I am full@|@Haú/Háŋ, ímaphi@
@I am going to eat@|@Wawátiŋ kte kštó/ló (F/M speaker)@
@I am good and full@|@Taŋyáŋ ímaphi kštó/yeló (F/M speaker)@
@I am happy@|@Iyómakphi kštó/yeló (F/M speaker)@
@I am hungry@|@Hau/Haŋ, lowáčhiŋ, Lowáčhiŋ kštó/yeló (F/M speaker)@
@I am one of@|@mawaŋží@
@I am suffering@|@Makakije(lo)@
@I am thirsty@|@Hau/Haŋ ímápuze@
@I be@|@Waúŋ@
@I call this one@|@Wayé@
@I call X father@|@X até waye@
@I call Y mother@|@Y iná waye@
@I called him/her (on the phone)@|@Mas'awakipe@
@I came to scam some food@|@Tiole wahi@
@I can speak Lakota@|@Lakotiwaya owakihi@
@I cannot speak Lakota@|@Lakotiwaya owakihi sni@
@I can't remember@|@Weksuya owakihi sni@
@I cherish you@|@thečhíȟila@
@I did it by accident@|@Wanun ecamun@
@I didn't hear you@|@Nacih'un sni@
@I didn't recognize you@|@Iyeciciye sni@
@I didn't see him/her/it at all@|@Ataya wanblake sni@
@I don’t feel good@|@Omáphišni kštó/yeló (F/M speaker)@
@I don’t feel well@|@Omáphišni kštó/yeló (F/M speaker)@
@I don’t know how@|@Uŋmáspe šni kštó/yeló (F/M speaker)@
@I don't have any@|@Manice@
@I don't know@|@Slolwayin kte sni@
@I don't understand@|@Owákaȟniǧe šni@
@I don't want to do it@|@Ecamun wacin sni@
@I expect I'll come@|@Wau kte sece@
@I feel better@|@Omáwahečheča kštó/yeló (F/M speaker)@
@I feel strange for some reason@|@Tomakca s'eleca@
@I get@|@Iwáču@
@I got my book@|@Wówapi mitȟáwa iwáču@
@I gotta have a pee!@|@Leja wakinica!@
@I hate that (person or thing)@|@He wahtewala sni@
@I have@|@Bluhá@
@I have a ball@|@Tȟápa waƞ bluhá.@
@I have a book@|@wowapi waŋ bluha@
@I have a pencil@|@Wíčazo bluhá@
@I have a problem@|@Táku imákakiže kštó/ló (F/M speaker)@
@I have a stomach ache@|@Thezí mayázaŋ kštó/yeló (F/M speaker)@
@I have a toothache@|@Hí mayázaŋ kštó/yeló (F/M speaker)@
@I have compassion for you@|@úŋšičhila, úŋšičhilake@
@I have self-respect@|@Miglúonihaŋ kštó/yeló (F/M speaker)@
@I haven't seen you for a while@|@Tehan wanciyanke sni@
@I honor myself@|@Miglúonihaŋ kštó/yeló (F/M speaker)@
@I just came for no reason@|@Ikceya wahi@
@I just want to sit around@|@Ikceya manka wacin@
@I like you@|@waštéčhilake@
@I live at@|@Wathí@
@I live in Eagle Butte@|@Waŋblí Pahá él wathí kštó/yeló (F/M speaker)@
@I live in Peru@|@Perú el wathí@
@I live in Pine Ridge@|@Wazí Aháŋhaŋ él wathí kštó/yeló (F/M speaker)@
@I live in X@|@X él wathí kštó/yeló (F/M speaker)@
@I live on Rosebud@|@Sičháŋǧu Oyáŋke él wathí kštó/yeló (F/M speaker)@
@I live on Standing Rock@|@Íŋyaŋ Woslá Háŋ Oyáŋke él wathí kštó/yeló (F/M speaker)@
@I love you@|@Čhaŋtóčhignake, Iyótaŋčhila, Tecihila, Thečhíȟila@
@I pray@|@wačhékiya@
@I ran out of gas@|@Wigli nawasote@
@I ran out of petrol@|@Wigli nawasote@
@I really need to eat@|@Wawatin ktehcin@
@I respect you@|@čhiyúonihaŋ@
@I saw a dog@|@Šuŋka waŋ waŋblake@
@I saw a man@|@wic'aša waŋ waŋblake@
@I saw it@|@Waŋbláke kštó/yeló (F/M speaker)@
@I say thank you to you all@|@Wopila eciciyapi@
@I see@|@Waŋbláke@
@I see it@|@Waŋbláke kštó/yeló (F/M speaker)@
@I shake your hands with a good heart@|@Cante wasteya nape ciyuzapi@
@I suppose I'll come@|@Wau kte sece@
@I want@|@Wačhíŋ@
@I want a pop@|@Kapȟópapi wačhíŋ@
@I want the Lakota book now@|@waŋná, Waúŋspekhiya, wówapi Lakȟóta wačhíŋ@
@I want this@|@Food/Drink/Condiment/Utensil wačhíŋ@
@I want this to drink@|@blatkáŋ wačhíŋ@
@I want to borrow this book@|@Wowapi kin le owalota wacin@
@I want to eat this...@|@watá wačhíŋ@
@I want to go home@|@Wagla wacin@
@I want to go to the bathroom@|@Oiheye tipi ekta bla wacin@
@I want to live@|@Wani wacin yelo/ye@
@I wanted to ask you something@|@Taku wan iciyunga wacin@
@I will go and buy a book@|@wowapi waŋji op'et'uŋ mniŋ kte lo@
@I will probably go@|@Mnin kte nacece@
@I will see you again sometime@|@Tókša akhé waŋčhíyaŋkiŋ kte@
@I wish to speak to you@|@Wóčhičiyaka wačhíŋ kštó/yeló (F/M speaker)@
@I would like some of that@|@Háŋ, héčha etáŋ wačhíŋ kštó/yeló (F/M speaker)@
@I would like this to drink@|@blatkáŋ wačhíŋ@
@I would like to borrow this book@|@Wowapi kin le owalota wacin@
@I would like to speak to you@|@Wóčhičiyaka wačhíŋ kštó/yeló (F/M speaker)@
@I’ll see you again later@|@Tókša akhé, Tókša akhé waŋčhíyaŋkiŋ kte kštó/ló (F/M speaker)@
@I’m glad you came.@|@Taŋyáŋ yahí kštó/yeló (F/M speaker)@
@I’m happy to have met you.@|@Čhaŋtewašteya waŋčhíyaŋke kštó/ló (F/M speaker)@
@Ice@|@čháǧa@
@Ice breaking in river@|@čháǧa onážužu@
@If you do that@|@Hecanun kin cicasaksakin kte@
@I'll see you all later@|@Toksa ake wanciyankapi kte@
@I'll see you later@|@Toksa ake wanciyanka kte@
@I'll whip you@|@Hecanun kin cicasaksakin kte@
@I'm broke@|@Mawegahe@
@I'm dizzy all of a sudden@|@Kaitomni mahingle@
@I'm doing really well@|@Matanyehci@
@I'm going to bed early@|@Ecani imunkin kte@
@I'm going to go to play basketball@|@Tab skata mnin kte@
@I'm going to graduate soon@|@Ecani owayawa ewakihunni kte@
@I'm going to lie down@|@Kul munkin kte@
@I'm going to sit with you@|@Kici ciyankin kte@
@I'm going to sleep late@|@Tehan wahpayin kte@
@I'm going to strangle you!@|@Ciyut'in kte!@
@I'm here and I want to see you (song line)@|@Dearie, wanciyanka wau na waun welo@
@I'm not hungry yet@|@Nahahci lowacin sni@
@I'm sad@|@Iyomaksice@
@I'm sorry@|@čhaŋtéšicé - (heart feels bad)@
@In@|@El@
@In that direction@|@héčhiya@
@In the blood the generations are in@|@Wé imahél wichoichagha ki um pelo (pi)@
@In the mountains@|@ȟeyáta@
@In yonder direction@|@kákhi@
@Incest@|@wogluze@
@Insect@|@Wablúška@
@Instead@|@éha@
@Introductions - (introducing oneself)@|@Čhažé Oíglaka@
@Iron Bear@|@Mat'o Maza (Yankton Sioux)@
@Iron Eyes@|@Iš ta Maza@
@Iron Horn@|@He Maza  (Yankton Sioux)@
@Iron Shell@|@P'aŋkeska Maza@
@Iron Shield@|@Maza Wahac'aŋka@
@Island@|@wíta@
@It disappeared@|@Tokah'an@
@It doesn't matter@|@Toka sni@
@It is a sunny day@|@Aƞpétu mašté.@
@It is good that you came@|@Taŋyáŋ yahí@
@It is too cold in here@|@Ehas tiosni@
@It is too hot in here@|@Ehas tiokate@
@It's cold over here@|@Léčhiya osní.@
@It's mine@|@Lé mitȟáwa kštó/yeló (F/M speaker)@
@It's raining today@|@Aƞpétu maǧážu@
@It's sunny and hot over here@|@Léčhiya omášte.@
@It's time now@|@Wana iyehantu@
@I've got a ball@|@Tȟápa waƞ bluhá.@
@I've got a problem@|@Táku imákakiže kštó/ló (F/M speaker)@
@Jacket@|@ógle@
@James River@|@C'aŋ Saŋsaŋ (White Trees or possibly White Birches)@
@Janitor@|@thiyúžaža wičháša@
@January -  Moon of Hard Times@|@Wiótheȟika Wí@
@Jerky@|@wakápȟapi@
@John Other Day@|@Aŋpetu T'okeca  (Santee Sioux)@
@July - Moon of Red Cherries@|@Čhaŋpȟá Šá Wí@
@jump (v)@|@psíča@
@jump over (v)@|@apsíča@
@jump up (v)@|@waŋkáyeič’iya@
@June - Moon of Juneberries@|@Wípazuŋkȟa Sápa Wí@
@Just like that…@|@Hecunp s'e…@
@Just what its it you're trying to do?@|@Tak tokanun ktehcin hwo?@
@Kanaranzi Creek@|@K'aŋza Wic'aktepi (Where they killed the Kansas)@
@Keeping the Soul Rite@|@Naǧí Gluhápi@
@Ketchup@|@wícahiyutapi šá@
@Keyboard@|@wanáȟtagyapi oágle@
@Kicking Bear@|@Mat'o Wanaḣtaka@
@Kidneys@|@ažúŋtka@
@Kinship terms@|@WÓUŠPE YÁMNI@
@Kinsmen@|@otakuye@
@kiss@|@íputȟaka, íputȟakA@
@Knee@|@čhaŋkpé@
@kneel (v)@|@čhaŋkpé makȟágle, pȟamágle@
@Knife@|@míla@
@Knife Lake@|@Isaŋ Mde (Santee Sioux), Mde Wak'aŋ@
@La Sueur Creek@|@Waŋhi Ok’edaŋ Watpa (Santee Sioux)@
@Lac Qui Parle@|@Mde Yedaŋ (Santee Sioux)@
@Lac Traverse@|@Mde Hdakiŋyaŋ  (Santee Sioux)@
@Lake@|@blé@
@Lake Jessie@|@C'aŋ Mde (Lake of the Woods) (Santee Sioux)@
@Lake of the Serpents@|@Waŋbduška Mde  (Santee Sioux)@
@Lakota dialect ("friends/allies")@|@Lakȟóta@
@Lakota language@|@Lakȟóta iyápi@
@Lakóta Phrases for Home Use@|@Thiyáta Lakȟól Wičhóiye Úŋpi Kte@
@Lap (body part)@|@šiyúte@
@Laramie River@|@Maǧa Wakpala  (Duck River)@
@Lard@|@wígli@
@Last night@|@haŋhépi@
@laugh out loud (v)@|@iȟát’a@
@Lawyer@|@wákhiya wičháša@
@Lead towards@|@iyágle@
@Lean Squirrel@|@Zica T'amaheca@
@Learn@|@Slolya ktauƞ wóunspé pasi (yupi/pasiya pelo)@
@Learning a pursuit@|@Wóunspé aphasiya aphantun (pi/pelo)@
@Leave it alone@|@Ayustan yo/ye@
@Leave me alone!@|@Amáyuštaŋ yo (m>sg)@
@Left over food@|@watȟéča@
@Left side@|@čhatkáyatahaŋ@
@Leg@|@hú@
@Lemon@|@tȟaspáŋ zí pȟá@
@Lend me some money@|@Mazaska etan omak'u wo/we@
@Lend me some wheels (your car)@|@Hugmiyan omak'u wo/we@
@Letter of the alphabet@|@óowa@
@Lice@|@héya@
@Life@|@wičhóni@
@Lightning@|@wakíŋyaŋ tuŋwáŋpi@
@Likes to go home@|@Oglála@
@Limbs@|@huhá@
@Lip (name)@|@P'ute@
@Lips@|@ihá@
@Listen everyone!@|@Anáǧoptaƞ pe! (Female Speaker), Anáǧoptaƞ po! (Male speaker)@
@Listen up!@|@Anagoptan po/pe!@
@Listen!@|@Anáǧoptaƞ ye! (female), Anáǧoptaƞ yo!  (male)@
@Little@|@čík'ala@
@Little (name)@|@Čik'ala@
@Little Big Horn@|@Ciŋškaya Wakpa Cik’ala@
@Little camp at the end@|@Iháŋktȟuŋwaŋna@
@Little Crow@|@C'etaŋ Wak'uwa Mani  (Hawk that Hunts Walking) also known as T‘aoyate Duta  (His Red People) (Santee Sioux)@
@Little finger@|@šašté@
@Little Horse@|@T'asuŋke Cik’ala@
@Little Paul@|@Maza K'ute Mani (Shooting Iron Walking)  (Santee Sioux)@
@Little Shield@|@Wahac'aŋka Cik’ala@
@Little Sioux River@|@Iŋyaŋ Yaŋka Watpa (River with Stones In) (Santee Sioux)@
@Little toe@|@sí šašté@
@Little Wound@|@T'aopi Cik’ala@
@Live at@|@Tȟí@
@Lively Spirit@|@Wak'aŋ Hdi Oḣ'aŋk'o (Santee Sioux)@
@Liver@|@phí@
@Living things that walk on the earth (Animals)@|@wamákȟaškaŋ@
@Lizard@|@agléška@
@Location@|@Túktel@
@Lone Man@|@Išna Wic'a@
@Long@|@háŋska@
@Long ago@|@eháŋk’ehaŋ, eháŋni@
@Long Lake and Lake Addie@|@C'aŋ Mde (Lake of the Woods) (Santee Sioux)@
@Long time@|@Théhaŋ waŋčhíŋyaŋke šni@
@Long time no see@|@Tehan wanciyanke sni@
@Look@|@tuŋwáŋ@
@Look at closely@|@Khiyéla Iwaƞyaƞka pi/pelo@
@look upon me@|@Na hocunka, Na itokagata, Na maka ina na unci maka ahitonwan po, Na waka tinya, na waka tinya ahitonwan po, Na waziyata, Na wiyohinyanpata, sinte sapila oyate ahitonwan po, tatunka oyate kin ahitonwan po, wakinya oyate kin ahitonwan po, wambli gleska ahitonwan po, wambli oyate kin ahitonwan po, Wiyohpeyata@
@Lost Timber@|@C'aŋ Naȟmedaŋ  (Santee Sioux)@
@Loup Fork (on the Platte River)@|@Kušleca Wakpa (Kingfisher River), Wiŋyaŋ Wakpala (Woman River)@
@Low Dog@|@Suŋg K'uc'iyela@
@Lower@|@C'aŋ Kasdata (Tree Crept Up On) (Santee Sioux)@
@Lower back@|@nité@
@Lower Big Sioux River@|@C'aŋ Kasdata (Tree Crept Up On) (Santee Sioux)@
@Lungs@|@čhaǧú@
@Maggot River@|@Waglula Wakpala@
@Make use of something@|@tákuya@
@Making of Relatives Rites@|@Huŋkáyapi@
@Male cousin@|@šič’éši (female speaker), Tȟaŋháŋši (male speaker)@
@Male elk@|@heȟáka@
@male friend@|@háu, kȟolá - (formal)@
@Man@|@wičháša, wichasha@
@Man Afraid of His Horses@|@T'asuŋka K'okip'api, T'asuŋka K'okip'api  (Man Whose Horses They Fear)@
@Man Who Goes In The Middle (see Gall)@|@Pizi@
@Mankato@|@Mak'a T'o Oyuze@
@Many@|@óta@
@Many thanks for the dance men and dance women@|@Na hun waci wicasa na waci winyan wopila tanka@
@map@|@makȟóčhe owápi@
@Map@|@makȟóčhe owápi@
@Maple Island@|@C'aŋha Saŋ Wita@
@March - Moon of Snow Blindness@|@Ištá Wičháyazaŋ Wí@
@Marry@|@winyuze@
@Marsh@|@pteǧá@
@Marten@|@nakpáǧiča@
@Martin@|@Pažóla Otȟúŋwahe@
@Mashed potatoes@|@Bló patȟáŋpi@
@Maternal grandfather@|@kaká, lalá (M or F speaker)@
@Maternal grandmother@|@uŋčí (M or Female speaker)@
@May - Moon of Green Leaves@|@Čhaŋwápe Tȟó Wí@
@Mayor@|@wičhóthi itȟáŋčhaŋ@
@Me  (pronoun)@|@Má@
@Me too@|@Mis eya@
@Meadow by the bend of a creek or river@|@okáȟmi@
@Meat@|@tȟaló@
@Medicine@|@Pȟežúta@
@Medicine man@|@waphíya wičháša@
@Medicine wheel@|@čhaŋgléška@
@Milk@|@Asáŋpi@
@Milky Way@|@wanáǧi tȟačháŋku@
@Mine@|@Mitȟáwa@
@Mink@|@ikhúsaŋla@
@Minnesota River@|@Mni Sota (Clear Water)@
@Mint@|@čheyáka@
@Mission@|@Sapa Uŋ, Sapa Uŋ Ot'i (Black Robes)@
@Missouri River@|@Mni Šoše (Turbid Water)@
@Mist@|@p’ó@
@Mizpah@|@P'aŋǧi T'akiŋkiŋyaŋ (Big Artichokes)@
@Monday@|@Aŋpétu Tȟokáhe@
@Money@|@mázaska@
@Monkey@|@waúŋčhala@
@Moon@|@haŋhépi wí@
@Moonlight@|@haŋwíyaŋpa@
@Morning@|@híŋhaŋni, Híŋhaŋni@
@Morning dew@|@čhú@
@Morning dew and cold@|@čhusní@
@Morning star@|@áŋpo wičháȟpi@
@Mosquito@|@čhapȟúŋka@
@Moth@|@kimímila@
@Mother@|@Iná (M or F speaker)@
@Mother Earth@|@Na maka ina na unci maka ahitonwan po@
@Mother-in-law@|@uŋčíši (M or F speaker)@
@Mount Rushmore@|@Wic'ite Kakaŋpi (Face Carvings)@
@Mountain@|@ȟé@
@Mountain lion@|@gmú tȟáŋka@
@mourn (v)@|@wašígla@
@Mouse@|@itȟúŋkala@
@Mouth@|@í@
@Muddy@|@ȟliȟlíla@
@Muggy@|@olúluta@
@Mushrooms@|@čhaŋnákpa@
@Muskrat@|@sinkpȟéla, siŋkpȟé@
@Mustard@|@wícahiyutapi zí@
@My father@|@Até@
@My girlfriend left me@|@Mita wincincala kin amayustan@
@My grandfather@|@Mitȟúŋkašila@
@My mother@|@Iná, mihúŋ@
@My name is (your name)@|@(Your name) emáčiyapi kštó/yeló (F/M speaker)@
@My name is Mike@|@Mike emáčiyapi@
@My relatives@|@MITÁKUYEPI@
@My younger brother@|@mišúŋkala@
@Mystic Lake@|@Isaŋ Mde (Santee Sioux), Mde Wak'aŋ@
@Napkin@|@ité ipákiŋte@
@Nation@|@oyáte, Oyáte@
@naughty@|@witkótkoka, witkótkokA@
@Nebraska@|@(Omaha Nibthaška cognate with Lakota Mni Blaska Flat River)@
@Neck@|@tȟahú@
@Nephew@|@tȟošká (female speaker), Tȟuŋšká (male speaker)@
@Nervous@|@nihíŋčiya@
@Nickel (money)@|@kašpápi okhíse@
@Niece@|@tȟožáŋ (female speaker), Tȟuŋžáŋ (male speaker)@
@Night@|@haŋhépi, Haŋhépi@
@Nighthawk@|@píško@
@Niobrara@|@Naȟuǧa Hoȟpi@
@Nits@|@híŋtkala@
@n-laws (in general)@|@omáwahetȟuŋ (M or F speaker)@
@No@|@Hiyá@
@No bowls@|@Itázipe Čholá@
@No one came@|@Tuwéni hí šni kštó/yeló (F/M speaker)@
@No one is home@|@Tuweni tiyata un sni@
@No see@|@Théhaŋ waŋčhíŋyaŋke šni@
@No Water@|@Mni Wanica@
@No!@|@Hóȟ@
@Nobody does that@|@Tuweni hecun sni@
@Non-native people pursue illness-based learnings/doings@|@Ska oyate wokhúža ithahaƞ wóunspé iphasi yakel wichoškan@
@North@|@wazíyata@
@Northern Lights@|@maȟpíya tȟaŋíŋ@
@Nose@|@pȟasú@
@Nostril@|@pȟóǧe@
@Not@|@Šní@
@Not Afraid of the Pawnee@|@P'adani K'okip'a Šni  (Yankton Sioux)@
@Not listening@|@wanáȟ’uŋ šni@
@Not yet@|@Nahahci@
@Notes@|@gnašká há, mniȟúha mázaska@
@November - Moon of Starting Winter@|@Waníyetu Wí@
@Numbers@|@Iyáwapi@
@Nut@|@umá@
@o@|@welo, wo@
@Oak Wood Settlement@|@Ot'uhu Oju@
@Oakwood Lakes@|@T‘i T'aŋka He (Place of the Great Lodge)@
@Ocean@|@mniówaŋča@
@October - Moon of Falling Leaves@|@Čhaŋwápe Kasná Wí@
@Oh West@|@wakinya oyate kin ahitonwan po, Wiyohpeyata@
@OK@|@oháŋ@
@Old@|@káŋ, taŋní@
@Older brother@|@Čhiyé - (male speaker), tibló - (female speaker)@
@Older sister@|@Čhuwé - (female speaker), Tȟaŋké - (male speaker)@
@One@|@waŋ, waŋží@
@Onion@|@pšíŋ@
@Open the door@|@Tiyopa kin yugan yo/ye@
@or uƞ@|@welo, wo@
@Orange@|@tȟaspáŋ zí@
@Orange (colour)@|@zíša@
@Ornery@|@oȟ’áŋ šíčA@
@Otter@|@ptáŋ@
@Out in the country@|@ȟeyáta@
@Own@|@hiŋháŋ@
@Painted turtle@|@pȟatká šá@
@Pancakes@|@aǧúyapi zizípela@
@pants@|@uŋzóǧe@
@Pardon me@|@ékiciktunža wo - (woman speaking), ékiciktunža wo (woman speaking), ékiciktunža yo - (male speaking), ékiciktunža yo (male speaking)@
@Pass Creek@|@Hok'iyoȟloka Wakpala@
@Pass me the .....@|@Food/Drink/Condiment/Utensil mak’ú@
@Paternal grandfather@|@tȟuŋkášila (M or F speaker)@
@Paternal grandmother@|@kȟúŋši (M or F speaker)@
@Pawnee River@|@P'alani T'awakpala@
@Peace@|@wólakȟota@
