@English@|@Persian@
@custodian@|@negahbân@
@custody@|@negahbâni@
@custom@|@âdat, âin, dastur, khui, rasm, ravesh@
@custom ¹@|@qâ'ede, qânun@
@customary@|@âdi, ma'mul, marsum@
@customary (of law)@|@orfi@
@customs@|@âdâb (pl. of adab)@
@customs duties@|@gomrok@
@customs-house@|@gomrokkhâne@
@cut (in dressmaking)@|@boresh@
@cut [to]@|@boridan, tarâshidan@
@cut glass@|@bolur@
@cutting [bot; subs]@|@qalame@
@cutting [subs]@|@boresh@
@cutting off@|@hazf, qat'@
@cutting out@|@boresh@
@cycle@|@doure@
@cypher@|@ramz@
@cypress@|@sarv@
@dam@|@sadd@
@damage@|@âsib, khesârat, mazarrat, ziân@
@Damascus@|@shâm@
@damming@|@saddbandi@
@damp@|@martub@
@dampness@|@nam@
@dance@|@raqs@
@dancer@|@raqqâs@
@dancing@|@raqs@
@danger@|@khatar, mokhâtere@
@danger signal@|@sute khatar@
@dare [to]@|@jor'at dâshtan@
@dark@|@târik, tire@
@darkness@|@târiki, zolmat@
@darvish order@|@tariqe@
@date (day of the month)@|@târikh@
@date (fruit)@|@khormâ@
@dated@|@movarrakh@
@daughter@|@dokhtar@
@daughter of a paternal aunt@|@dokhtaramme@
@daughter of a paternal uncle@|@dokhtarammu@
@daughter-in-law@|@arus@
@day@|@ruz, youm@
@day and night@|@shabâne ruz@
@day of judgement@|@ruze mabâdâ@
@dazed@|@gij@
@dead (person)@|@meiyet@
@dead lands@|@mavât@
@deadly@|@mohlek@
@dealer in cloth@|@bazzâz@
@dealer in perfumes or spices@|@attâr@
@dealer in second-hand goods@|@semsâr@
@dear@|@aziz, gerân@
@dearness@|@gerâni@
@dearth@|@qahti@
@death@|@fout, marg, vafat@
@debarred@|@mahrum@
@debate@|@bahs, mabhas@
@debated@|@matrah@
@debauchee@|@aiyâsh@
@debauchery@|@aiyâshi@
@debit note@|@yâddâshte pardâkht@
@debt@|@dein, vâm@
@debt (in money)@|@bedehi@
@debtor@|@bedehkâr@
@decay@|@enhetât@
@deceased@|@marhum@
@deceit@|@gul, taqâllob@
@deceitful@|@motaqalleb@
@deceive [to]@|@fariftan, gul zadan@
@decision@|@tasmim@
@declaration@|@bayân, e'lân@
@declared@|@qalamdâd@
@declaring@|@mo'taref@
@declinable@|@monsaref@
@decline@|@enhetât, tanazzol@
@decline of trade@|@kasâd@
@declivity@|@sarâshib, sarâziri, shib@
@decoration@|@zinaf@
@decrease@|@tanazzol@
@decrease [trans] [to]@|@kam kardan@
@decree@|@farmân, hokm, manshur, tasvibnâme@
@deduction (in banking)@|@bardâsht@
@deed for a concession@|@emteyâznâme@
@deeds@|@âmâl (pl. of amal)@
@deem [to]@|@dânestan@
@deep@|@goud, zarf@
@defeat@|@shekast@
@defeat [to]@|@shekast dâdan@
@defect@|@naqs@
@defective@|@nâqes@
@defects@|@navâqes@
@defend [to]@|@hefz kardan@
@defendant@|@taraf@
@defendant (law)@|@modda'â aleih@
@defender@|@mohâfez@
@deficiencies@|@navâqes@
@deficiency@|@kambud, naqs@
@deficient@|@nâqes@
@deficit@|@kambud, kasr@
@defile [to]@|@âludan@
@defined@|@moshakhkhas@
@definite@|@hatmi@
@definitely@|@qat'an@
@degree@|@daraje, pâye, rotbe@
@degrees@|@marâteb (pl. of martabe)@
@delay@|@mo'attali, mohlat, ta'anni@
@delayed@|@mo'akhkhar, mo'attal@
@delegation@|@hei'at@
@deliberation@|@râ'yzani, tadbir@
@delicate@|@latif, nâzok, raqiq@
@delight@|@lezzat@
@delight in [to]@|@lezzat bordan@
@delighted@|@mahzuz@
@delineate [to]@|@kashidan@
@delineation@|@tarsim@
@demagogue@|@avâmfarib, houci@
@demagogy@|@avâmfaribi, houcigari@
@demand@|@darkhâst, talab@
@demanded@|@matlub@
@demanding@|@eqtezâ@
@demanding justice@|@dâdkhâhi@
@demanding redress [subs.]@|@dâdkhâhi@
@demands@|@tâleb@
@demolished@|@monhadem@
@demon@|@div@
@demonstration@|@tazâhor@
@denial@|@enkâr@
@Department of Justice@|@adliye@
@departure@|@rahil@
@dependence@|@tab'iyat@
@dependencies@|@tavâbe (pl. of tâbe')@
@dependent (upon)@|@manut@
@depending (upon)@|@tavakkol@
@deplorable@|@reqqatbâr@
@deploy [to]@|@tafreqe raftan@
@deployment@|@tafreqe@
@depopulated@|@veirân@
@deposing@|@khal'@
@deposit@|@amânat, gerou, seporde@
@deposit [to]@|@sepordan@
@depositor@|@sepârande@
@depraved@|@mofsed@
@deprivation@|@salb@
@deprivation of immunity@|@salbe masuniyat@
@deprived@|@mahrum@
@depriving@|@salb@
@depth@|@goudi, omq@
@deputy@|@mo'âven, nâeb, vakil@
@deriding [subs]@|@maskhare@
@derivation@|@madkhaliyat@
@derivative@|@far'i, moshtaqq@
@derived@|@moshtaqq@
@derogation of one's dignity@|@kasre sha'n@
@dervish@|@darvish@
@descend [to]@|@forud âmadan@
@descendant of Mohammad@|@seiyed@
@descending@|@nozul, sarâshib, sarâziri@
@descent@|@nezâd, nozul, posht, sarâshib, sarâziri, shib@
@describing@|@vasf@
@description@|@bayân, vasf@
@desert@|@biâbân, sahrâ@
@deserving@|@mostahaqq@
@deserving of@|@sazâ@
@design@|@maqsad, qasd@
@designs@|@maqâsed (pl. of maqsad)@
@desire@|@ârzu, erâde, hemmat, kâm, reghbat, shouq, tama'@
@desire (lust)@|@havâ, havas@
@desire (request)@|@khâhesh@
@desire (sthg.) [to]@|@havâ(ye cizi) kardan@
@desire [to]@|@khâstan@
@desired@|@marghub, matlub@
@desiring@|@khâhân, khâstâr@
@desirous@|@khâhân, khâstâr@
@desist [to]@|@dast bar dâshtan, dast kashidan@
@desolate@|@kharâb, veirân@
@desolation@|@kharâbi@
@despair@|@naomidi, ya's@
@despair [to]@|@dast shostan@
@despair nave@|@noumidi@
@despairing@|@ma'yus, naomid, noumid@
@despatch [to]@|@ravâne kardan@
@despatching@|@ersâl@
@despicable@|@dun@
@despised@|@mohaqqar, mokhaffaf@
@despot@|@mostabedd@
@despotic@|@estebdâdi, mostabedd@
@despotism@|@estebdâd@
@destination@|@maqsad@
@destinies@|@moqaddarât@
@destiny@|@nasib, qesmat, sarnevesht@
@destitute@|@bicâre, binavâ, mofles@
@destroy [to]@|@halâk kardan@
@destroyed@|@kharâb, monhadem, tabâh@
@destroyer@|@ezhdarandâz, nâvshekan@
@destruction@|@halâk, kharâbi, takhrib@
@destructive@|@mofsed, mohlek@
@destructive person@|@tabahkâr@
@detail@|@tafsil@
@detailed@|@mofassal@
@details@|@joz'iat@
@detective@|@kârâgâh@
@determination@|@qasd, tasmim@
@determined@|@âzem, mo'ayyan@
@determined (to)@|@mosammam@
@detriment@|@mazarrat, naqs@
@devastation@|@takhrib@
@develop (a film) [to]@|@zâher kardan@
@development@|@bast, tahavvol, takâmol@
@deviate [to]@|@enherâf varzidan@
@deviation@|@enherâf, gomrâhi@
@devil@|@div, sheitân@
@devoid (of)@|@âri@
@devoid of@|@fâqed@
@devotion@|@az khod gozashtegi, erâdat, fadâkâri@
@devout@|@pârsâ@
@dew@|@nam, shabnam@
@dexterity@|@tardasti@
@dialect@|@lahje, loghat@
@diamond@|@almâs@
@dice@|@tâs@
@dictionary@|@farhang, loghat@
@die@|@tâs@
@die [to]@|@dar gozashtan, mordan, rakht bastan@
@diesel oil@|@mâzut@
@difference@|@ekhtelâf, farq, tafâvot@
@different@|@gheir, mokhtalef, motafâvet@
@difficult@|@doshvâr, moshkel, sa'b@
@difficulty@|@doshvâri, gereftâri@
@diffident@|@kamru, mazlum@
@diffused@|@montasher@
@diffuses@|@nâsher@
@diffusing@|@nashr@
@diffusion@|@enteshâr, pakhsh@
@dig [to]@|@bil zadan, kandan@
@digestible@|@gavâr@
@digestion@|@hazm@
@digging@|@hafr@
@digging into the depth@|@konjkâvi@
@dignified@|@matin, sangin@
@dignity@|@hazrat, jâh, matânat, qadr, sha'n, sharaf, veqâr@
@diligence@|@ehtemâm@
@dimension@|@andâze@
@diminish [to]@|@kâstan@
@diminution@|@taqlil@
@diploma@|@manshur@
@diplomatic@|@siâsi@
@dipping@|@ghute@
@direct@|@mostaqim, râst@
@direction@|@dalâlat, masir, samt, su@
@direction of the prayers@|@qeble@
@directly@|@mostaqiman, yaksar@
@directness@|@râsti@
@director@|@modir, ra'is@
@director-general@|@modire koll@
@dirt@|@cerk, nejâsat@
@dirtiness@|@cerki@
@dirty@|@cerk, kasif@
@disagreeable (of a place)@|@bisafâ@
@disagreement@|@ekhtelâfe kalâme@
@disappear [to]@|@az bein raftan@
@disappointed@|@ma'yus@
@disarming@|@khal'as-selâh@
@disaster@|@mosibat@
@disastrous@|@faji'@
@disband [intr.] [to]@|@parâkandan@
@disbanded@|@monhall@
@discern [to]@|@tashkhis dâdan@
@discerner@|@momaiyez@
@discerning@|@tashkhis@
@discerning [adj]@|@momaiyez@
@discernment@|@momaiyeze, tamaiyoz, tamiz, tamyiz@
@discharge@|@tabre'e@
@discharge (of a gun)@|@shelik@
@discipline@|@entezâmât@
@discord@|@ekhtelâfe kalâme, nefâq, tafreqe@
@discordant@|@nâsâz@
@discourse@|@kalâm, kaleme, sokhan@
@discoverer@|@kâshef@
@discovering@|@kashf@
@discovery@|@ekteshâf, kashf@
@discriminating@|@momaiyez@
@discrimination@|@tab'iz@
@discuss [to]@|@dar miân nehâdan@
@discussed@|@matrah@
@discussion@|@bahs, mozâkere@
@disease@|@maraz@
@disgrace@|@nang@
@dishonesty@|@taqâllob@
@disinfectant@|@gandzadâ, zedde ofuni@
@disinfecting [subs]@|@gandzadâ'i@
@dislike@|@tanaffor@
@dismiss [to]@|@javâb kardan@
@dismissed@|@ma'zul@
@disorder@|@eghteshâsh, sholuq@
@dispatch@|@mokhâbere@
@dispenser@|@dârusaz@
@dispersal@|@tafreqe@
@disperse [to]@|@parâkandan@
@dispersed@|@motafarreq, parishân@
@dispersion@|@parishâni@
@displaced@|@ma'zul@
@displeasing@|@nâpasand@
@disposed (to)@|@motamâyel@
@disposition@|@akhlâq (pl. of kholq), khui, sirat, tab', tabi'at@
@dispossession@|@khal'e yad@
@dispute@|@da'vâ, ekhtelâf, monâqeshe, nefâq, nezâ', setize@
@dispute [to]@|@sar o kalle zadan@
@dispute ¹@|@morâfe'e@
@disputing [subs]@|@lejâjat@
@disquietude@|@tashvish@
@dissection@|@kâlbodshekâfi@
@dissertation@|@mabhas@
@dissimulation@|@tazvir@
@dissipation@|@tafreqe, tafrit@
@dissolution@|@hall@
@dissolved@|@monhall@
@dissonant@|@nâsâz@
@dissuade [to]@|@monharef sâkhtan@
@distance@|@duri, masâfat@
@distances@|@masâfât (pl. of masâfat)@
@distant@|@ba'id, dur, durdast@
@distasteful@|@nâgavâr@
@distinct@|@motafâvet@
@distinction@|@emteyâz, farq@
@distinguish [to]@|@tashkhis dâdan@
@distinguished@|@arjmand, moshakhkhas@
@distinguished men@|@rejâl (pl. of rajol)@
@distinguishing@|@tashkhis@
@distracted@|@parishân@
@distraction@|@parishâni@
@distress@|@darmândegi, deltangi, falâkat, parishâni, sotuh@
@distressed@|@deltang, parishân@
@distribution@|@pakhsh@
@district@|@barzan, dâr, nâhie@
@disturb [to]@|@âshoftan@
@disturbance@|@eghteshâsh, shuresh@
@disturbed@|@mokhtall, moztareb, parishân@
@disturber of the peace@|@mofsed@
@dive@|@ghute@
@divergent (of opinions; etc)@|@motashattet@
@diverse@|@mokhtalef@
@diversion@|@tafannon@
@divest of responsibility [to@|@shâne khâli kardan@
@divide [to]@|@qesmat kardan@
@divided@|@monqasem@
@dividing@|@taqsim@
@divine@|@elâhi@
@divine decrees@|@moqaddarât@
@divine knowledge@|@ma'refat@
@divine worship@|@ebâdat@
@diving@|@ghute@
@division@|@taqsim@
@division (of an army)@|@lashkar@
@division into classes@|@tabaqebandi@
@divisional commander@|@sarlashkar@
@divulged@|@fâsh, shâye'@
@dizzy@|@gij@
@do [polite] [to]@|@farmudan@
@do [to]@|@kardan, namudan@
@do wrong [to]@|@khelâf kardan@
@doctor@|@pezeshk, tabib@
@doctor (of medicine)@|@hakim@
@doctor's assistant@|@pezeshkyâr@
@doctrinal@|@marâmi@
@doctrine@|@marâm, maslak, mazhab@
@document@|@sanad@
@documentary evidence@|@madrak@
@dodge [to]@|@tafre raftan@
@dog@|@sag@
@doing@|@amal@
@doing (sthg.) deliberately@|@ta'ammod@
@doing good@|@ehsân@
@doing on purpose@|@ta'ammod@
@doll@|@arusak@
@dome@|@gombad@
@domicile@|@tab'iyat@
@dominant@|@cire, hokmfarmâ@
@dominion@|@doulat, molk, saltanat, tasallot@
@donkey@|@khar, olâgh@
@door@|@dar@
@door-keeper@|@darbân@
@dossier@|@parvande@
@double@|@dolâ@
@doubled@|@mosannâ@
@double-dealing@|@dorui@
@double-faced@|@doru@
@doublet@|@lenge@
@doubt@|@shakk, shobhe, taraddod, tardid@
@doubtful@|@mashkuk, mobham, moraddad@
@dough@|@khamir@
@dove@|@kabutar@
@down@|@foru, forud, kork, pâin@
@downhill@|@sarâzir@
@dowry@|@mahr@
@dowry portion settled on wife@|@sadâq@
@draft@|@bârat, cerknevis, pishnevis, shâlude, tarh@
@dragon@|@ezhdar@
@drain (land) [to]@|@zeh kashidan@
@drainage (of land)@|@zehkashi@
@draper@|@bazzâz@
@draught@|@nushabe@
@draw (a sword) [to]@|@âhekhtan, âkhtan@
@draw [to]@|@kashidan, negâshtan@
@draw a line [to]@|@khatt kashidan@
@draw up a plan [to]@|@shâlude rikhtan@
@draw up in line [to]@|@saff kashidan@
@drawbridge@|@pole motaharrek@
@drawer (of a cheque)@|@barâtkash@
@drawers@|@zirshalvâri@
@drawing@|@negâresh, rasm, tarsim, tasvir@
@drawing lots [subs]@|@qor'ekashi@
@drawing up in battle array@|@saff@
@dread@|@bâk, harâs, sahm, vahshat@
@dreadful@|@houlnâk, mohib, movahhesh, sahmgin@
@dream@|@khâb@
@dredger@|@lârub@
@dredging@|@lârubi@
@drenched@|@khis@
@dried butter-milk@|@kashk@
@dried fruits@|@khoshke bâr@
@dried grapes@|@maviz@
@drift@|@fahvâ@
@drill@|@mashq@
@drill [to]@|@softan@
@drink@|@mashrub, nushabe@
@drink [to]@|@nushidan@
@drink to the dregs [to]@|@sar kashidan@
@drink up [to]@|@sar kashidan@
@drinkable@|@mashrub@
@drip [to]@|@cekidan@
@dripping@|@tarâvosh@
@drive [to]@|@rândan@
@driving@|@rânandegi@
@drizzle@|@tarashoh@
@droll@|@mozhek@
@drop (small quantity)@|@qatre@
@drought@|@khoshksâli@
@drowning@|@gharg@
@drug@|@dâru@
@druggist@|@dârushorush, davâforush@
@drum@|@tabl@
@drum of the ear@|@pardeye gush@
@drunk@|@mast, sokrân@
@dry@|@khoshk@
@dry farming@|@deim@
@dry land@|@khoshki@
@dry year@|@khoshksâli@
@dryness@|@khoshki@
@dubious@|@mashkuk@
@duck@|@ordak@
@due@|@haqq@
@dues@|@avârez (pl. of ârezat)@
@dugh@|@dugh@
@dull@|@khonak, khonok, kond@
@dullness of market@|@kasâd@
@dumb@|@lâl@
@dung@|@peshkel@
@durability@|@davâm, sabât@
@durable@|@qâem, qâyem@
@during@|@dar asnâ (ye), mâ dâm, mâ dâmike@
@during (within the period of)@|@dar zarf(e)@
@dust@|@gard, ghobâr, khâk, rig@
@dusting [subs]@|@gardgiri@
@dustman@|@roftegar, sopur@
@dusty@|@khâki@
@duty@|@vazife@
@dwarf (person)@|@kutule@
@dwell [to]@|@manzel kardan@
@dweller@|@moqim@
@dwelling@|@jâigâh@
@dyeing [subs]@|@rangrazi@
@dyer@|@rangraz@
@dynasty@|@selsele@
@each@|@har, har kodâm@
@each other@|@ham digar@
@eager for battle@|@razmju@
@eagle@|@oqâb@
@ear@|@gush@
@ear of corn@|@khushe@
@ear of grain@|@sombole@
@early@|@zud@
@earnest@|@jeddi@
@earnestness@|@jeddiyat@
@earring@|@gushvâre@
@earth@|@khâk, zamin@
@earth (the planet)@|@arz@
@earthen jug@|@kuze@
@earthquake@|@zelzele@
@ease@|@âsâyesh, sohulat@
@easiness@|@âsâni@
@east@|@khâvar@
@east [subs]@|@mashreq@
@eastern@|@sharqi@
@easy@|@âsân, sahl@
@eat [to]@|@khordan@
@eclipse (of the sun)@|@kosuf@
@eclipse [to]@|@taht osh-sho'â qarar dâdan@
@eclipse of the moon@|@khosuf@
@economic@|@eqtesâdi@
@economic affairs@|@eqtesâd, eqtesâdiât@
@economical@|@sarfeju@
@economy@|@eqtesâd, eqtesâdiât, sarfejui@
@edge@|@hâshie, kenâr, lab@
@edict@|@tasvibnâme@
@edifice@|@banâ, emârat@
@edifices@|@mabâni@
@editing (a book)@|@tashih@
@educate [to]@|@parvaresh dâdan@
@education@|@âmnzesh va parvaresh, parvaresh, tarbiat@
@educational@|@farkangi@
@educational institution@|@âmuzeshgâh@
@effect@|@asar, ta'sir@
@effective@|@dakhil, mo'asser@
@effects@|@âsâr (pl. of asar), asbâb (pl. of sabab)@
@efficient@|@modabber@
@effort@|@jedd, kushesh@
@egg@|@tokhm@
@eggplant@|@bâdenjân@
@Egypt@|@mesr@
@Egyptian@|@mesri@
@Egyptian willow@|@bidmeshk@
@eight@|@hasht@
@eighteen@|@hijdah@
@eighty@|@hashtâd@
@either... or@|@yâ... yâ@
@elapsed (of time)@|@monqarez@
@elastic (noun)@|@kesh@
@elasticity@|@kesh@
@elder@|@mehtar, sheikh@
@election (political)@|@entekhâbât@
@electric power@|@qovveye barq@
@electricity@|@barq@
@elegance@|@letâfat@
@elegant@|@latif, zarif@
@element@|@onsor@
@elephant@|@fil@
@eleven@|@yâzdah@
@eliminating [subs]@|@hazf@
@elm tree@|@nârvan@
@eloquence@|@balâghat, fasâhat@
@eloquent@|@fasih, guyâ, shiva, sokhanvar@
@elucidation@|@touzih@
@eluding@|@tafre@
@emanating [adj]@|@sâder@
@embarrassed@|@dastpâce@
@embarrassment@|@dastpâcegi, gereftâri@
@embassy@|@sefârat, sefârate kobrâ@
@embodiment@|@tajassom@
@embrace [to]@|@dar bar dâshtan@
@embryo@|@ruyân@
@embryologist@|@ruyânshenâs@
@embryology@|@ruyânshenâsi@
@emerge (of a person) [to]@|@zohur kardan@
@emergence@|@zohur@
@emery@|@sombâde@
@emigrant@|@mohâjer@
@emigration@|@mohâjerat@
@eminent@|@âli, sharif@
@emotion@|@ehsâs@
@emotional@|@ehsâsâti@
@emphasis@|@ta'kid@
@empire@|@doulat@
@employed@|@mosta'mal@
@employee@|@kârmand, mostakhdam, mostakhdem@
@employer@|@kârfarmâ@
@employing@|@sarf@
@employment@|@khedmat@
@empty@|@khâli, tohi@
@empty (of words)@|@puc@
@enamel [adj]@|@la'âbi@
@enclosed@|@laffan@
@encounter@|@molâqât@
@encountering@|@docâr, talaqqi@
@encountering [subs]@|@leqâ@
@encouragement@|@fashviq, tashji'@
@encouraging@|@tashji'@
@end@|@âqebat, maqsad, montahâ, nuk, pâyân, tamâm, taraf@
@endeavour@|@kushesh, sai@
@endemic diseases@|@amrâze sârie@
@endorsed (in banking)@|@poshtnevis@
@endorsement@|@poshtnevisi@
@endowed with@|@sâheb@
@endowment@|@vaqf@
@endowments@|@mouqufât@
@ends@|@avâkher (pl. of âkherat)@
@endurance@|@tahammol, tâqat@
@enemy@|@adu, doshman, mokhâlef@
@energetic@|@fa'âl, jeddi@
@energy@|@fa'âliyat, jeddiyat@
@engaged@|@nâmzad@
@engagement@|@aqd, nabard@
@engineer@|@mohandes@
@engineering@|@mohandesi@
@England@|@englestân, englis@
@English@|@englisi@
@Englishman@|@englisi@
@enigma@|@ramz@
@enjoy [to]@|@lezzat bordan@
@enjoying (sthg.) [adj]@|@bar khordâr@
@enjoying the support (of)@|@poshtgarmi@
@enjoyment@|@keif, lezzat@
@enlightened@|@monavvar, monavvar ol-fekr@
@enmity@|@doshmani, khosumat, kin, kine@
@enormous@|@sarshâr@
@enough@|@bas@
@enquiry@|@bâzjui, bâzporsi@
@entanglement@|@gereftâri@
@enter [to]@|@dâkhel shodan, dar âmadan, vâred shodan@
@entertain (s.o.) [to]@|@pazirâ'i kardan (az)@
@entertaining@|@pazirâ'i@
@entertainment@|@mehmâni, tamâshâ, tamâshi@
@entire@|@dorost, tâmm@
@entirely@|@yaksar@
@entireness@|@dorosti@
@entrance@|@dokhul, vorud@
@entrances@|@madâkhel (pl. of madkhal)@
@entrust [to]@|@sepordan@
@entrusted (affair)@|@ohdedâr@
@enumerated@|@qalamdâd@
@envelope@|@lefâfe, pâkat@
@environment@|@mohit@
@environs@|@houme@
@envoy@|@safir@
@envoys@|@sofarâ (pl. of safir)@
@envy@|@hasad@
@envy [to]@|@hasad bordan@
@epistle@|@nâme@
@equal@|@barâbar, mo'adel, mosâvi, yaksân@
@equal (to)@|@motâbeq(e), nazir@
@equality@|@tasâvi@
@equator@|@estevâ, khatti estevâ@
@equilibrium@|@e'tedâl@
@equipment@|@asâsiye, barg, sâz o barg@
@equipped@|@mojahhaz@
@equitable@|@monsef@
@equity@|@adâlat, adl@
@equivalent@|@avaz, mo'adel@
@era@|@doure@
@eras@|@advâr (pl. of doure)@
@erect@|@qâem, qâyem@
@erecting@|@nasb@
@erector of machines@|@mâshinsavârkon@
@ermine@|@sanjâb@
@errata@|@ghalatnâme@
@error@|@ghalat, khabt, khatâ, sahv@
@escape@|@câre, goriz@
@escape [to]@|@rastan@
@especially@|@be khosus, be vize, khosusan@
@essay@|@maqâle@
@essence@|@araq, ein, jouhar, mâye, zât@
@essential@|@asâsi, asli@
@establish [to]@|@qarâr dâdan@
@established@|@bar qarâr, bar qarâr, moqarrar, mosbat@
@establishment@|@dastgâh, mo'assese@
@esteem@|@ezzat@
@esteemed@|@mo'tabar@
@estimate@|@barâvard@
@et cetera@|@va gheire@
@eternal@|@javedân, javedâni@
@eternity without beginning@|@azal@
@eternity without end@|@abad@
@ethics@|@akhlâq (pl. of kholq)@
@Europe@|@farang, farangestân, orupâ@
@European@|@farangi, orupâi@
@European [n]@|@orupâi@
@evacuation@|@takhlie@
@evade [to]@|@tafre raftan@
@evaluate [to]@|@barâvard kardan@
@evaluation@|@barâvard@
@evaporation@|@tabkhir@
@evasion@|@tafre@
@eve@|@shab@
@even@|@hamvâr@
@even [adv]@|@hattâ@
@even if@|@va lou@
@evening@|@asr, shâm@
@evening party@|@shabneshini@
@event@|@ettefâq, hâdese, pishâmad@
@ever@|@hargez, hic, hic vaqt@
@every@|@har, kolli@
@everywhere@|@har jâ@
@evidence@|@gavâhi@
@evident@|@bârez, ma'lum, peidâ, sarih, vâzeh@
@evil@|@badi, ghâ'ele, sharr, su'@
@evil spirit@|@div@
@evil-speaking@|@sa'âyat@
@ewe@|@mish@
@ewer@|@âftâbe, tasht@
@exacted@|@moqtazâ, moqtazi@
@exacting@|@eqtezâ@
@exactly like@|@einan@
@exaggeration@|@eghrâq, mobâleghe@
@exalted@|@arjmand, farâz, mosharraf, sarafrâz@
@examination@|@pezuhesh, taftish@
@examiner@|@momaiyez, momtahen, moshref@
@examining@|@bâzrasi@
@example@|@ebrat, namune, nasb ol-ain, sarmashq@
@excavated@|@goud@
@excavated place@|@goudi@
@excavations@|@hafriyât@
@exceeding [adj]@|@motajâvez@
@exceeding bounds@|@efrât@
@excel [to]@|@dast bordan@
@excellence@|@fazilat, fazl, feiz, kamâl@
@excellent@|@fâzel, khâss, najib@
@except@|@be estesnâ (ye), ellâ, joz, magar, sevâ, sevâ(ye)@
@exception@|@estesnâ@
@excess@|@alâve, efrât, kesrat, maziyat@
@excessive@|@mofret@
@excessiveness@|@besyâri@
@exchange@|@mobâdele@
@exchange (of words)@|@radd o badal@
@exciting@|@mohaiyej@
@exciting commiseration [adj]@|@reqqatangiz@
@exciting pity [adj]@|@reqqatangiz@
@excuse@|@ma'zarat, ozr@
@excused@|@bakhshude, ma'zur, mo'âf@
@executed@|@mojrâ@
@execution@|@ejrâ@
@execution by a firing squad@|@tirbârân@
@executioner@|@mirghazab@
@executive committee@|@hei'ate modire@
@executor (law)@|@vasi@
@exemplar@|@namudâr@
@exempted@|@bakhshude, ma'zur, mo'âf, mobarrâ@
@exemption@|@bakhshudegi, mo'âfi@
@exequatur@|@ravânâme@
@exercise@|@mashq, tamrin, varzesh@
@exercise [to]@|@varzidan@
@exercise book@|@daftar@
@exercising sway@|@tasallot@
@exerting undue influence@|@e'mâle nofuz@
@exerting undue pressure@|@e'mâle nazar@
@exertion@|@jedd, sai, varzesh@
@exhausting@|@tâqatfarsâ@
@exhaustion@|@darmândegi@
@exhortation@|@nasihat@
@exigency@|@eqtezâ, moqtazâ, moqtazi@
@exile@|@tab'id@
@exist [to]@|@budan@
@existence@|@hasti, vojud, zist@
@existing@|@moujud@
@exit@|@khoruj, sodur@
@exoneration@|@tabre'e@
@expanse@|@safhe@
@expansion@|@bast@
@expansion [fig]@|@goshâyesh@
@expecting [adj]@|@montazer@
@expel [to]@|@birun kardan@
@expending [subs]@|@bazl@
@expenditure@|@hazine, kharj@
@expense@|@kharj, sarfe@
@expenses@|@makhârej@
@expensive@|@gerân@
@experience@|@tajrebe@
@experienced@|@jahândide, khebre@
@experienced in war@|@jangdide@
@experiment@|@âzmâyesh@
@experiment [to]@|@âzmudan@
@expert@|@khebre, motakhasses@
@expert [n]@|@ahle fann@
@expert [subs]@|@kârshenâs@
@expert knowledge@|@kârshenâsi@
@expiration@|@sarrasid@
@expiry da@|@mou'ed@
@explaining@|@sharh@
@explanation@|@bayân, ebârat, sharh, tafsir, ta'rif, touzih@
@exploitation@|@estesmâr@
@export [to]@|@sâder kardan@
@exports@|@sâderât@
@exposed to discussion@|@matrah@
@expounding@|@sharh@
@express [to]@|@adâ kardan@
@expressing@|@ebrâz@
@expressing (an opinion)@|@ezhâr@
@expression@|@ebrâz, estelâh@
@expropriation@|@khal'e yad@
@expurgation@|@tanqih@
@extend [to]@|@kashidan@
@extended@|@momtadd@
@extension@|@touse'e, tousi'@
@extensive@|@vasi'@
@extent@|@andâze, bast, vos'at@
@exterior@|@khâreje@
@extermination@|@estisâl@
@external@|@khârej, khâreje, suri, zâher@
@extinct@|@monqarez@
@extirpated@|@mosta'sal@
@extra@|@ezâfi@
@extraction@|@nezâd@
@extravagance@|@esrâf, goshâdbâzi, velkharji@
@extravagant@|@velkharj@
@extreme@|@efrâti@
@extremely@|@biandâze, binehâyat, nehâyat@
@extremist@|@efrâti@
@extremity@|@nehâyat@
@exudation@|@tarashoh, tarâvosh@
@exultation@|@ehtezâz@
@exulting@|@shâd@
@eye@|@cashm, ceshm, dide, ein@
@eyebrow@|@abru@
@fable@|@afsâne, dâstân@
@fabulous bird@|@simorgh@
@face@|@peikar, rokh, ru, rui, surat, vajh@
@face to face@|@ru be ru@
@facial appearance@|@qiâfe@
@facilitated@|@moyassar@
@facilitating@|@tashil@
@facility@|@sohulat, tashil@
@facing@|@docâr@
@faction@|@jamâ'at@
@factional division@|@dastebandi@
@factor@|@gomâshte@
@factorage@|@kârmozd@
@factors@|@avâmel (pl. of âmel)@
@factory@|@kârkhâne@
@faculty@|@malake@
@fainting@|@ghash@
@fairy@|@pari@
@fairy-like@|@parivash@
@faith@|@din, imân@
@faithful@|@sadiq@
@falcon@|@qush@
@falcon [kind of]@|@qush@
@fall@|@soqut@
@fall [to]@|@oftâdan@
@fall down [to]@|@zamini khordan@
@fall due [to]@|@be sar âmadan, sar âmadan@
@fallen into disuse@|@matruk@
@falling@|@soqut@
@falling (under)@|@mashmul@
@falling due@|@sarrasid@
@false@|@qallâbi, sâkhte@
@falsehood@|@dorugh@
@falsehoods@|@akâzib@
@falsification@|@daghal@
@fame@|@ma'rufiyat, shohrat@
@familiar@|@ma'nus@
@familiarity@|@ons@
