@English@|@Nahuatl@
@he requires it of us@|@techmonequililia@
@he requires it of you@|@amechmonequililia@
@he rescued it@|@oquimomaquixtili@
@he respects him; they treat him with reserve@|@quimauhcaitta@
@he respects others@|@temauhcaitta@
@he responds for them@|@quintlananquililia@
@he rests well@|@motlacateca@
@he returned@|@ohualmocuep@
@he rips its belly@|@quitixotla@
@he rips its neck@|@quiquechxotla@
@he rolled something@|@otlamimilo@
@he rolls hems@|@tlatenmimiloa@
@he rolls them up@|@quimololoa@
@he rolls up like a ball; it crouches@|@motapayollalia@
@he rose up@|@hualmehuatizquetz@
@he ruled@|@tlatocati@
@he ruled; he reigned@|@otlatocat, tlatocat@
@he rules@|@tepachoa@
@he rules; he speaks; they speak; they talk@|@ontlatoa@
@he runs hurriedly@|@miciuhcatlaloa@
@he runs; he runs away; it runs off; it flees@|@motlaloa@
@he runs; he runs up@|@onmotlaloa@
@he said it@|@conito, oquiteneuh, oquito@
@he said it to her or him; she said it to her/him@|@quilhuiaya@
@he said it to her; he said it to him@|@quihualilhui@
@he said it to him@|@conilhui, quilhui@
@he said it to him; she said it to her or him@|@quilhuia@
@he said it to them; he ordered them@|@quimilhuiaya@
@he said it; he mentioned it; he used to say it@|@quitoaya@
@he said it; she said it; she says it@|@quihualito@
@he said to them@|@quinhualilhui@
@he saves for others@|@tetlapachilhuia@
@he saw her@|@quittaya@
@he saw her; he looked upon her@|@oquitac@
@he saw her; he saw it; he found it; it saw it@|@oquittac@
@he saw it@|@oconittac@
@he saw it; he looked at it; she saw it@|@quittac@
@he saw it; they saw him; they saw it@|@conittaya@
@he saw them@|@oquinhualittac@
@he saw them; he beheld them; they saw them@|@quimittaya@
@he saw them; she saw them@|@quimittac@
@he says it@|@quihualitoa, quitoa@
@he says it to her; he says it to him or it@|@quilhuia@
@he says it to them@|@quimonilhuia@
@he says it; she says it; they say it; they tell it@|@conitoa@
@he says to him; he says to it; it says it to him@|@quilhuia@
@he says to them; she says to them@|@quimilhuia@
@he scattered it; they scattered it@|@quitepehuaya@
@he scatters it@|@quihualtepehua@
@he scatters it; they cast it; they scatter it@|@contepehua@
@he scatters people@|@texixitinia@
@he scatters them@|@quincenmana, quinhaultepehua@
@he scattters them@|@quincecenmana@
@he scolded him@|@cahuaya@
@he scolded someone@|@teahuac@
@he scolds them@|@quimahua@
@he scrapes it@|@conichiqui@
@he screeches at them@|@quintzatzilia@
@he seats himself@|@onmotlalia@
@he seats himself; he sits down; it is placed@|@ommotlalia@
@he secretly enters repeatedly@|@onichtacacalaqui@
@he secretly puts it in@|@conichtacacalaquia@
@he secretly takes it in@|@conichtacacalaquia@
@he seduces people@|@tetzitzquia@
@he seeks her; he looks for it@|@quitemoa@
@he seeks it@|@acontetemoa@
@he seeks of it@|@quitemolia@
@he sees them; it seeks them out; it sees them@|@quimitta@
@he sees us@|@techitta@
@he sees you@|@mitzitta@
@he seizes his hair@|@quitzoncui@
@he seizes it from him; it works on him@|@conanilia@
@he seizes it; it catches it with its paws@|@quimacui@
@he sells@|@tlanamaca@
@he sells (something) separately@|@tlanononcuanamaca@
@he sells brooms@|@poponamaca@
@he sells him; he sells it; she sells it@|@quinamaca@
@he sells pine resin@|@ocotzonamaca@
@he sells sandals@|@cacnamaca@
@he sells them@|@quinnamaca@
@he sends (messengers)@|@tlaihua@
@he sends forth rays of light@|@motonameyotia@
@he sends him@|@conihua, conilhui@
@he sends me away@|@nechihua@
@he sends them@|@quimihua, quinhualihua@
@he sent to you@|@omitzalmihuali@
@he sent us@|@otechalihua@
@he sentences them@|@quintlatzontequilia@
@he serves; she performs a service@|@tlacoti@
@he set fire to it@|@contlati@
@he set forth@|@ompehuaya, ompeuh@
@he set him free@|@oquichololti@
@he set it in place@|@quitlali@
@he set it up; he laid it down@|@quitecac@
@he sets it out for him@|@quitequilia@
@he sets it out; they offer it; they lay it down@|@quimana@
@he sets it out; they pour it out@|@quihualmana@
@he sets the fire@|@tlatlemina@
@he settled them@|@quintecac@
@he shakes it; they shake it out@|@quitzetzeloa@
@he shakes; it flutters; it quivers@|@papatlaca@
@he shamed us@|@otechpinauti@
@he shames him; he embarrasses him@|@quipinahua@
@he shed it@|@quitepehuaya@
@he shells it@|@coya@
@he shines@|@tona@
@he shoots arrows at it; he shoots it@|@quimina@
@he shoots at it; he shoots it at him@|@quitlaxilia@
@he shoots it with an arrow@|@conmina@
@he shot it with an arrow@|@quimin@
@he should have valued me@|@nechtlazotlazquia@
@he shouted@|@motenhuitec@
@he shouted at someone@|@tetzatzili@
@he shouted to them@|@quitzatziliaya@
@he shouts at others; he shouts at people@|@tetzatzilia@
@he showed himself@|@monexti@
@he showed it to him@|@quinextiliaya@
@he showed it to them@|@quimittiti@
@he shows him compassion; he has pity for him@|@quicnoitta@
@he shows reverence@|@tlamahuiztilia@
@he shows someone a life@|@tenemiliztia@
@he siezed it quickly@|@quicuitihuetz@
@he sifts@|@tlatzetzeloa@
@he sighs@|@elcicihui@
@he sings; it sings@|@cuica@
@he sipped it@|@quiltequia@
@he sits down@|@onmotlalia@
@he sits down firmly@|@motepitztlalia, moteteuhtlalia@
@he sits down happily@|@mopaccatlalia@
@he sits down; it forms; it is placed@|@motlatlalia@
@he sits embracing himself@|@momalochotimotlalia@
@he sits firmly; it is heaped together@|@mocentlalia@
@he sits hugging himself@|@monahuatectimotlalia@
@he sits on his shins@|@mocototztlalia@
@he sits on them (i.e.@|@quinpachoa@
@he sits with his head drooping@|@tolotimotlalia@
@he sits; he sits down; it is formed; it is laid@|@motlalia@
@he sits; here; then; at that time; there; when@|@oncan@
@he skins his knees@|@motlancuaxipehua@
@he sleeps@|@cochi, cocochi@
@he sleeps all day@|@cemilhuicochi@
@he sleeps easily@|@tlacacochi@
@he sleeps well@|@tlacacochi@
@he sleeps with a woman@|@cihuacochi@
@he slept@|@oncochia@
@he slept with a woman@|@ocihuacoch@
@he smelled it; they smelled it@|@oquineuc@
@he smells it@|@quinecui@
@he smokes it; it sucks it@|@quichichina@
@he snores@|@hicotoca@
@he sobers up@|@ix quicui@
@he sobs@|@tzitziconoa@
@he solicits things@|@tlacihuitia@
@he sorrowed; it was sad@|@otlaocox@
@he speaks@|@huallatoa, motlatoltia@
@he speaks drunkenly@|@tlatlahuancatlatoa@
@he speaks ill of me@|@nechicoitoa@
@he speaks to it@|@quinotza@
@he speaks vainly@|@ahuillatoa@
@he speaks well of something@|@tlacualitoa@
@he speaks; he speaks aloud; it sounds clear@|@nahuati@
@he speaks; it says it; it speaks@|@quitoa@
@he spewed it; he vomited it@|@oquizotlac@
@he spills it; it drips it; it spills it@|@quichipinia@
@he spits@|@chicha@
@he spits at her@|@conchicha@
@he spits it@|@quichicha@
@he spoils it; he sins@|@quitlacoa@
@he spoke@|@otlato@
@he spoke aloud@|@nahuat@
@he spoke to them@|@quinnotz@
@he spoke; it told; they spoke@|@tlatoaya@
@he spread it out@|@ocontecac@
@he spreads it out; they scatter it@|@conchayahua@
@he spreads it; he throws it away; he tosses it@|@quitlaza@
@he springs up to run@|@cholotehua@
@he sprinkles people@|@teatzelhuia@
@he squanders@|@tlaahuilquixtia@
@he stands as a man@|@moquichquetza@
@he stands it up; she sets it up; she stands it up@|@conquetza@
@he stands watching it@|@quitztimoquetza@
@he stands; her sandals; his sandals; it stands@|@icac@
@he started@|@ompeuh@
@he started; it began@|@opeuh@
@he starts@|@tlapehualtia, tlatzintia@
@he starts in vain@|@nenpehua@
@he stated it@|@oquiteneuh@
@he steals; it steals@|@ichtequi@
@he steels himself@|@moyollotechihua@
@he steps on it@|@quiquequeza@
@he stole@|@ichtec, oichtec@
@he stood@|@icaca@
@he stood him up@|@quiquetzaya@
@he stood up@|@moquetz@
@he stores it; he takes care of it@|@quipie@
@he stores up for himself@|@motetzontia@
@he stores up for others@|@tetetzontia@
@he strangles people@|@tequechmecania@
@he stretches out; it is placed; it is spread@|@ommoteca@
@he strikes@|@tlahuitequi@
@he strikes it; she beats it@|@quitzotzona@
@he stripes him@|@quihuahuana@
@he struck him@|@quihuitec@
@he struck people@|@temotlaya@
@he stumbled@|@motepotlamiaya@
@he stumbles@|@motepotlamia@
@he sucks it in@|@quizolotza@
@he suffers@|@mihiyohuia@
@he summoned them@|@quinnotz, quitzatziliaya@
@he swallowed it@|@quitolo@
@he swallows it@|@quitloa@
@he sweeps; it cleanses@|@tlachpana@
@he swells up; it swells up@|@popozahua@
@he swiftly takes it away@|@quihuicatiquiza@
@he takes a captive with the aid of others@|@tepallama@
@he takes captives@|@tlama@
@he takes food@|@quitlacuallotia@
@he takes her; he takes him; he takes it@|@quihuica@
@he takes it as applying to him@|@quimocuitia@
@he takes it away from him;they take it off her@|@quicuilia@
@he takes it away from them; he seizes it from them@|@quincuilia@
@he takes it in@|@concalaquia@
@he takes the lead; it leads; it leads one@|@teyacana@
@he takes the part of a woman@|@mocihuanenequi@
@he takes them; it bears him away; it bears it@|@quihuica@
@he talks like a woman@|@cihcihuatlatoa@
@he tasted it@|@conpalo, oconpalo, quiploaya, tlapaloaya@
@he tastes it; they sample it; they taste it@|@quipaloa@
@he teaches people@|@teizcalia, tlacahuapahua@
@he tears off his nose@|@moyacatzayana@
@he tempts people; he entertains people@|@tecamanalhuia@
@he tends it with his hands@|@onmomatoca@
@he terrifies them@|@quimiizahuia@
@he thinks himself better than others@|@motepanahuiltoca@
@he thinks himself superior@|@moyehuatoca@
@he thinks of departing@|@tlacahualiztlamati@
@he thought@|@quima@
@he threatens him; he waves it@|@quicuecuetlania@
@he throws himself@|@momayahui@
@he throws himself down; it throws itself@|@ommotlaza@
@he throws himself from a cliff@|@motepexihuia@
@he throws it; they cast him@|@contlaza@
@he ties them@|@quimilpia@
@he took a concubine@|@omomecati@
@he took a paramour@|@omomecati@
@he took hair@|@quitzonquia@
@he took him; he captured him; he took it@|@cacic@
@he took it@|@quicuic@
@he took it (repeatedly)@|@concuicuia@
@he took it as an omen@|@motetzahui@
@he took it away@|@quiquixti@
@he took it away from someone@|@quitecuili@
@he took it upon himself to talk@|@quimotlatoltia@
@he took it; he assumed it; it took him@|@oquicuic@
@he took it; they took it; they gathered it@|@concuia@
@he took them@|@quinhuicac@
@he trained you@|@mitzizcali@
@he tramples on it@|@quiquequeza@
@he traveled@|@otlatocaya@
@he tries to capture her; he wants to seize her@|@canaznequi@
@he tries to escape@|@momaquixtiznequi@
@he tries to go out; he wants to go out@|@quizaznequi@
@he tries to kill us@|@techmictiznequi@
@he tripped@|@omotlahuitec@
@he troubled him@|@oquitequipacho@
@he troubles him@|@quicocomonia@
@he troubles people@|@tlaamana@
@he tumbles into a pit@|@ahactihuetzi@
@he turned someone's skin brown@|@teixtlileuh@
@he turned someone's skin dark@|@teixcapotzo@
@he turns back; he retreats@|@tzinnenemi, tzinquiza@
@he turns back; they turn around; they turn back@|@hualmocuepa@
@he turns hems@|@tlatencuepa@
@he turns himself into it@|@ipan moquixtiaya@
@he uncovers it@|@quitlapoa@
@he unwraps it@|@quitotoma@
@he urinated@|@maxixaya, omaxix@
@he urinates; it defecates@|@moxixa@
@he uses a sifter@|@tlatzetzelhuazhuia@
@he uses it as a face@|@quimoxayactia@
@he uses it like a pig; he uses it excessively@|@quipitzonequi@
@he uses it moderately@|@tlatlacoitta@
@he uses soap; it is spread on; it is washed@|@mamohuia@
@he vanished; he perished; it disappeared@|@opoliuh@
@he vanished; it vanished@|@poliuh@
@he verified it@|@quineltiliaya@
@he voids it; it casts it forth; it dislodges it@|@quitlaza@
@he vomits@|@mizotla@
@he waits for someone on the road@|@teochia@
@he wanders@|@yayatinemi@
@he wants it; he wills it@|@quimonequililia@
@he wants to catch them; grab them@|@quimanaznequi@
@he wants to do it; he wants to make it@|@quichihuaznequi@
@he wants to enter; he tries to enter@|@calaquiznequi@
@he wants to go; he plans to go; they wish to go@|@yaznequi@
@he wants to live@|@nemiznequi@
@he wants to move it@|@coliniznequi@
@he wants to see it@|@quihualittaznequi, quittaznequi@
@he wants to talk@|@tlatlatoznequi@
@he wants to think@|@momatiznequi@
@he was abandoned to evil@|@otlahuelcahualoc@
@he was abandoned; he was let go; he was released@|@cahualoya@
@he was absent; they vanished; they disappeared@|@polihuia@
@he was admonished@|@nonotzalo@
@he was adorned@|@omochichihuaya@
@he was affected by the wine gods@|@omotochhui@
@he was amused@|@mellelquixtiaya@
@he was an impersonator@|@oteixiptlatic@
@he was arrayed@|@omochichiuh@
@he was ashamed@|@pinahuac@
@he was born@|@huallacat, tlacat@
@he was born (h)@|@omotlacatili@
@he was born (h.); it was born (h.)@|@motlacatili@
@he was born; he took form@|@tlacatia@
@he was born; it became a man in form@|@otlacat@
@he was called@|@mito@
@he was called; he was addressed@|@notzaloc@
@he was called; it was called; it was known as@|@motenehuaya@
@he was chosen; he was picked; he was seized@|@oanoc@
@he was chosen; they were chosen@|@pepenaloya@
@he was cried out to; he was shouted to@|@tzatzililoya@
@he was cured@|@opatiloc@
@he was cured; he recovered@|@opatic@
@he was feared; he was dreaded@|@mimacacia@
@he was feared; he was dreaded; she was feared@|@imacaxoya@
@he was frightened@|@tlamahuizo@
@he was frightened to death@|@yolmiquia@
@he was good to me@|@onechnocnelili@
@he was hanged@|@onmecaniloc@
@he was hoarse@|@izahuacaya@
@he was honored; he was revered; respected@|@mahuiztililoya@
@he was imprisoned@|@calaquiloya@
@he was in torment; he was in distress@|@nentlamatia@
@he was lazy@|@tlatzihuia@
@he was made ruler@|@omotlatocatlali@
@he was names; he was given a name@|@tocayotiloc@
@he was of disordered hair@|@mocuatzitzintiaya@
@he was placed@|@otlaliloc@
@he was prayed to@|@tlatlauhtiloya@
@he was reigning@|@tlatocatia@
@he was respected@|@ixittoc@
@he was ruling@|@tlatocatia@
@he was seen to be suitable@|@ocualittoc@
@he was seen; it was seen@|@ittoc, oittoc@
@he was seized; he was captured@|@axihuac, oaxihuac@
@he was seized; he will be captured@|@axihuaya@
@he was selected; he was elected@|@opepenaloc@
@he was set up@|@moquetzaya@
@he was shamed@|@hualpinauhtiloc@
@he was shot by a gun@|@tlequiquizhuiloc@
@he was shouting at people@|@tetzatziliaya@
@he was stirred; he was affected@|@moyoleuh@
@he was struck@|@ohuitecoc@
@he was struck by lightning@|@huitecoya@
@he was struck by lightning; they are struck@|@huiteco@
@he was taken captive; he became a captive@|@omaltic@
@he was told; he was advised; it was said@|@ilhuiloya@
@he was unfortunate@|@omotolini@
@he was well regarded@|@cualittoya@
@he was worshipped@|@neteotiloya@
@he was; it had been; it was; they were@|@ocatca@
@he was; it was; she was; there was; they were@|@catca@
@he washes his face; his face is washed@|@mixamia@
@he wastes@|@tlaahuilpoloa@
@he wastes things@|@tlanenpoloa@
@he watches over it for him (h.)@|@conmotlapielilia@
@he wears it@|@quiquemi@
@he wears sandals@|@mocactia@
@he weaves reed mats@|@petlachihua@
@he weeps; he cries; it cries; it hoots; it howls@|@choca@
@he went@|@oyauh, yah@
@he went along rattling it@|@quicacalatztiuh@
@he went out; he fared forth; it came out@|@quizaya@
@he went to arrive; he went to reach@|@acito@
@he went to ascend@|@otlecoto@
@he went to climb@|@otlecoto@
@he went to contend with them@|@quinnamiquito@
@he went to die; he met his death@|@miquito@
@he went to do it@|@quichihuato@
@he went to drive them@|@quintepehuato@
@he went to enter; it went to enter;it went to set@|@ocalaquito@
@he went to fall; it went to fall@|@huetzito@
@he went to go out@|@quizato@
@he went to grasp it@|@concuito@
@he went to leave him; they went to leave him@|@oconcahuato@
@he went to meet them@|@quinnamiquito@
@he went to return@|@hualmocuepato@
@he went to scatter them@|@quintepehuato@
@he went to see it; they went to see the land@|@quittato@
@he went to take it@|@concuito@
@he wept@|@onchocac@
@he wept; he cried@|@chocac@
@he wheedles@|@tetenxochitzotzona@
@he whistles; it whistles@|@mapipitzoa@
@he who; the one who; who; one who; anyone; one@|@aquin@
@he will abstain from it; he will leave it@|@quicahuaz@
@he will abuse people@|@tetoliniz@
@he will add it; he will encounter her@|@quinamiquiz@
@he will address you as a man@|@mitzlacanotzaz@
@he will age; he will grow old; he will linger@|@huecahuaz@
@he will amuse him@|@cahuiltiz@
@he will appear; it will appear; it will be plain@|@neciz@
@he will ascend@|@tlecoz@
@he will bathe@|@motemaz@
@he will bathe him@|@caaltiz, cahaltiz@
@he will bathe; he is to bathe; he will be bathed@|@maltiz@
@he will be@|@onyez@
@he will be abominated@|@tlaelittaloz@
@he will be accursed@|@telchihualoz@
@he will be admired; he will be honored; respected@|@tlamahuizoz@
@he will be adorned; he will be arrayed@|@mochichihuaz@
@he will be affronted; he will be offended@|@moyolitlacoz@
@he will be an eagle warrior; he will be like atree@|@cuauhtiz@
@he will be an ocelot warrior@|@ocelotiz@
@he will be angry; he will be wrathful@|@cualaniz@
@he will be anointed@|@mozaz@
@he will be born; it will be born@|@tlacatiz@
@he will be brave; he will become a brave warrior@|@oquichtiz@
@he will be burned@|@motlatiz@
@he will be carried off@|@huicoz@
@he will be caused to suffer@|@toliniloz@
@he will be content; he will be consoled@|@moyollaliz@
@he will be cured; he will recover; he'll get well@|@patiz@
@he will be demanding@|@monenequiz@
@he will be destitute@|@ompa onquizaz@
@he will be drowned; he will drown@|@ilaquiloz@
@he will be eaten by wild beasts@|@tecuancualoz@
@he will be esteemed@|@mahuiztiz, tlazotlaloz@
@he will be familiar with it@|@quiximatiz@
@he will be gladdened; he will enjoy himself@|@mahuiltiz@
@he will be hated@|@tlaelittoz@
@he will be honored@|@mahuiztililoz@
@he will be informed@|@quimocaquitiz@
@he will be instructed; he will be trained@|@mozcaliz@
@he will be killed; he will be put to death@|@mictiloz@
@he will be massaged@|@mopapachoz@
@he will be poor; he will suffer@|@motoliniz@
@he will be prayed to@|@tlatlauhtiloz@
@he will be reared@|@izcaltiloz@
@he will be sacrificed as a captive@|@teomiquiz@
@he will be scorched; he will singe himself@|@mochichinoz@
@he will be seen; it was seen; it will be seen@|@ittoz@
@he will be sold@|@monamacaz@
@he will be sought@|@temoloz@
@he will be stoned@|@tetepacholoz@
@he will be strangled@|@moquechmecaniz@
@he will be struck by stones@|@tetzotzonaloz@
@he will be stupid@|@onixtotomahuaz@
@he will be supplied; he will be prepared@|@mocencahuaz@
@he will be wrathful@|@mozomaz@
@he will be; it will be; it will happen@|@yez@
@he will become a deer@|@mazatiz@
@he will become a lord@|@teuctiz@
@he will become a rabbit@|@tochtiz@
@he will become a ruler@|@tlatocatiz@
@he will become an old man; he will grow old@|@huehuetiz@
@he will become drunk@|@tlahuanaz@
@he will become like a mountain@|@tepetiz@
@he will become rich; rich; he will become wealthy@|@mocuiltonoz@
@he will become the sun@|@tonatiuhtiz@
@he will begin@|@pehuaz@
@he will behold; it will look@|@tlachiaz@
@he will break open my entrails@|@nechititzayanaz@
@he will bring them up; he will rear them@|@quihuapahuaz@
@he will buy a slave; he will buy slaves@|@tecohuaz@
@he will buy people@|@tecoaz@
@he will buy slaves@|@tecoaz@
@he will capture it; he will catch it@|@caciz@
@he will capture them@|@quimaciz@
@he will carry a burden@|@tlamamaz, tlatquiz@
@he will cast himself; he will throw himself@|@momayahuiz@
@he will chew it; he will eat it; she chews it@|@quicuacuaz@
@he will chide him@|@conahuaz@
@he will clean his teeth@|@motlampacaz@
@he will climb@|@tlecoz@
@he will collapse@|@cuauhtenhuetziz@
@he will come out; he will escape; he will go out@|@quizaz@
@he will come to a bad end@|@ohuican quizaz@
@he will come; he will return; it will come@|@huallaz@
@he will commit adultery@|@tepan yaz, tetlaximaz@
@he will cover himself; he will clothe himself@|@motlaquentiz@
@he will create it@|@quiyocoyaz@
@he will cry out to people; he will shout to people@|@ontetzatziliz@
@he will dance with people@|@teitotiz@
@he will depart; he will set forth; it will begin@|@ompehuaz@
@he will destroy it@|@quipoloz, quipopoloz@
@he will destroy us@|@techpoloz, techtlatlatiz@
@he will die@|@micquiz, miquiz@
@he will die in bondage@|@tlalmiquiz@
@he will discover it; he will see it@|@conittaz@
@he will do@|@onaiz@
@he will do it for them@|@quinchihuiliz@
@he will do it; he will perform it; he will make it@|@quichihuaz@
@he will dream of it@|@quitemiquiz@
@he will dress@|@motlalpiliz@
@he will drink it; he is to drink it@|@coniz@
@he will drink water@|@atlihuaz@
@he will drink; he will drink water@|@atliz@
@he will eat himself; it will be eaten@|@mocuaz@
@he will eat it; he is to eat it@|@concuaz@
@he will eat it; he is to eat it; it will eat it@|@quicuaz@
@he will eat; he is to eat@|@tlacuaz@
@he will enter; it will enter; it will go in@|@calaquiz@
@he will fall@|@hualhuetziz@
@he will fall to his death@|@mictihuetziz@
@he will fall; it will descend; it will fall@|@huetziz@
@he will fall; it will fall@|@onhuetziz@
@he will find her@|@quinamiquiz@
@he will find it@|@quittaz@
@he will flee; it will leap; it will jump@|@choloz@
@he will follow@|@mitzicxitocaz@
@he will gain it; he will get it; he will seize it@|@quicuiz@
@he will get sick@|@cocolizcuiz@
@he will give himself to them@|@quinmomacaz@
@he will give it to them; he will offer it to them@|@quinmacaz@
@he will gladden him@|@cahuiltiz@
@he will go about coughing@|@tlatlaztinemiz@
@he will go on drinking it@|@quitinemiz@
@he will go; it will go; it will leave@|@yaz@
@he will govern@|@petlatiz icpaltiz, tlatquiz tlamamaz@
@he will grab it; he will take it@|@canaz@
@he will greet him@|@quitlapaloz@
@he will greet people@|@tetlapaloz@
@he will grow@|@hueiyaz@
@he will grow thin@|@cuahhuaquiz@
@he will guard it; he will take charge of it@|@quipiaz@
@he will have a reed mat@|@petlatiz@
@he will have a seat@|@icpaltiz@
@he will hear it@|@quicaquiz@
@he will hear you@|@mitzcaquiz@
@he will help him; it will help him@|@quipalehuiz@
@he will hide; he will take refuge@|@minayaz@
@he will kill@|@tlamictiz@
@he will know it@|@quiximatiz@
@he will know it; he will know of it@|@quimatiz@
@he will know us@|@techiximatiz@
@he will labor@|@tlacotiz@
@he will lead people@|@teyacanaz@
@he will let it escape his lips@|@contenquixtiz@
@he will let it out@|@conchitoniz@
@he will let out a word@|@concamacahuaz@
@he will live; he is to live@|@nemiz@
@he will look@|@tlachiaz@
@he will lower it@|@quitemohuiz@
@he will make an offering@|@quihuenmanaz, tlamanaz@
@he will make war against them@|@quinyaochihuaz@
@he will marvel at it@|@quimahuizoz@
@he will meet her@|@quinamiquiz@
@he will meet them; he will contend with them@|@quinnamiquiz@
@he will mention it@|@quitenehuaz@
@he will mock you@|@moca mahuiltiz@
@he will move it@|@coliniz@
@he will not be able to eat@|@yellacuaz@
@he will not go forth in vain@|@nenquizaz@
@he will not rest@|@mocehuiz@
@he will ordain it; he will determine it@|@conmonequiltiz@
@he will overcome them@|@quintopehuaz@
@he will pass it through@|@quitemohuiz@
@he will perish; he will meet destruction@|@popolihuiz@
@he will perish; it will perish@|@polihuiz@
@he will proceed washing himself@|@mopactinemiz@
@he will prosper; she will prosper@|@motlacamatiz@
@he will provide drink@|@teatlitiz@
@he will provide drink for him@|@catlitiz@
@he will provide food@|@tetlamacaz@
@he will provide food for him@|@quitlamacza@
@he will pursue them@|@quintocaz@
@he will put it@|@quitlaliz@
@he will put life into it; he will cause it to live@|@quiyolitiz@
@he will quiet them; he will calm them down@|@quicehuiz@
@he will ransom him@|@quiquixtiz@
@he will refuse it to you (pl.)@|@amechcahualtiz@
@he will remove you@|@mitzquixtiz@
@he will return@|@hualmocuepatz@
@he will return it; it will return it@|@quicuepaz@
@he will rule it@|@quitlacotiz@
@he will run@|@motlaloz@
@he will say it@|@quitoz@
@he will say it to them@|@quimilhuiz@
@he will scold him@|@conahuaz@
@he will see it in dreams@|@quicochitlehuaz@
@he will see it; he will see him@|@quittaz@
@he will see them@|@quimittaz@
@he will seize it@|@canaz@
@he will select you; will point his finger at you@|@mitzmapilhuiz@
@he will show compassion@|@tlaocoyaz@
@he will show it to him@|@quittitiz@
@he will show reverence for people@|@temauhcaittaz@
@he will show reverence to others@|@teimacaciz@
@he will sigh@|@onelcicihuiz@
@he will sigh for him@|@conelcicihuiliz@
@he will sin@|@tlatlacoz@
@he will sing@|@cuicaz@
@he will sleep@|@cochiz@
@he will sleep with a woman@|@cihuacochiz@
@he will speak; he will talk; it will sing@|@tlatoz, tlatoz@
@he will spend the day@|@cemilhuitiz@
@he will spit@|@onchichaz@
@he will spit it@|@quichichaz@
@he will sprinkle@|@tzetzelihuiz@
@he will steal@|@ichtequiz, ihichtequiz@
@he will suffer@|@cocolizcuiz@
@he will suffer from the heat@|@tlemiquiz@
@he will suspect@|@chicotlamatiz@
@he will take a captive; he will take captives@|@tlamaz@
@he will take heed@|@monotzaz@
@he will take it from him@|@quicuiliz@
@he will take it from him; will remove it from him@|@caniliz@
@he will take it;  he will take@|@quicuiz@
@he will take them@|@quimaciz@
@he will take them; he will capture them@|@quimanaz@
@he will throw himself from a cliff@|@motepexihuiz@
@he will throw himself into a chasm@|@motlaxapochhuiz@
@he will throw himself into the river@|@matoyahuiz@
@he will throw himself into the water@|@matlanhuiz@
@he will throw it@|@quihuallazaz@
@he will train them@|@quimizcaltiz@
@he will turn them back@|@quintepotztiz@
@he will undertake it; it will carry him off@|@quicuiz@
@he will urinate@|@maxixaz@
@he will vomit@|@mizotlaz@
@he will wait for him@|@quihualchiaz@
@he will walk@|@nenemiz@
@he will want it@|@connequiz@
@he will want it; he will will it; it will wish it@|@quinequiz@
@he will wash him@|@quipapacaz@
@he will weep for him@|@conchoquiliz@
@he will weep for it@|@quichocaz@
@he will wish it@|@connequiz@
@he will work@|@motlayecoltiz@
@he will work; she will do her work; she will labor@|@tequitiz@
@he will write it; he will record it@|@quicuiloz@
@he willed it; he determined it@|@oquimonequilti@
@he wills it@|@monequiltia@
@he wished it; he wanted it@|@oquinec@
@he wishes to enter@|@oncalaquiznequi@
@he wishes to look@|@tlachiaznequi@
@he wishes to urinate@|@axixmiqui@
@he withdrew@|@tzinquizaya@
@he wll reverse your word@|@mitzmotlatolilochtiliz@
@he wonders@|@motenmati@
@he worked@|@tequitia@
@he works@|@tlatequipanoa@
@he works as a stone cutter@|@tetzotzoncati@
@he would die; he might have died@|@miquizquia@
@he would have been@|@yezquia@
@he would have died@|@omiquizquia@
@he wraps it; she swaddles him@|@quiquimiloa@
@he/she will urinate it@|@caxixaz@
@he; he (h.)@|@yehuatzin@
@he; it; one who; she; this one; him; that; this@|@yehuatl@
@head@|@tzontecomatl@
@head abscess@|@cuaxococihuiztli@
@headache@|@tzonteconcocolli@
@headdress; headpiece; wig@|@tzoncalli@
@heal@|@pati@
@healthful; she got well; she recovered@|@patic@
@healthy place@|@techicauhca@
@hear@|@xitlacaqui@
@hear it@|@tlaxiccaqui@
@hear it; listen to it (command@|@xiccaquican@
@hear it; listen to it; heed it; note it@|@xiccaqui@
@heard; firm@|@tepitztic@
@heart@|@yollotli, yolollotli@
@hearth@|@tlecuilli, tlexictli@
@heat fever; hot; inflamed; inflammation@|@totonqui@
@heaven@|@ilhuicac@
@heaven; heavens; celestial part; in heaven@|@ilhuicatl@
@heavy@|@hetic@
@heavy feathered@|@ihhuitilahuac@
@heavy fleshed@|@nacateton@
@heavy rope@|@huepanmecatl@
@heavy; burdensome@|@etic@
@heed it@|@tlaxiccaqui@
@help@|@tepalehuiliztli@
@help (h.) him@|@xicmopalehuili@
@helpful@|@tepalehuiani@
@hemorrhoids@|@xochihcihuiztli@
@hemorrhoids; piles@|@menexoaliztli, xochicihuiztli@
@hence; therefore; in order that; in order to@|@ic@
@her (h.) foot@|@icxitzin@
@her abdomen@|@iititzin@
@her abdomen; her womb@|@iiti@
@her adornment; her array; his adornment; his array@|@inechichihual@
@her arms; her hands; his arm; his arms; his hand@|@ima@
@her array; her domain; her goods; his array@|@itlatqui@
@her aunts@|@iahuihuan@
@her awe; his fear; his glory@|@imahuiz@
@her basket@|@itana@
@her blood flows@|@ezquiza@
@her body@|@itlac@
