@Laotian (romanized)@|@English@
@doy thang a kat@|@by air@
@doy thang bok@|@by land@
@doy thang lot phay@|@by train@
@doy thang lot phay@|@by rail@
@doy thang nam@|@by water@
@doy thang nam@|@by sea@
@doy thang nam@|@by boat@
@doy thang orm@|@indirectly@
@doy thua pia@|@in general@
@doy thua pia@|@generally@
@doy thua pia leow@|@in general@
@doy thua pia leow@|@generally@
@doy thut cha rit@|@wrongfully@
@doy ton ang@|@by oneself@
@doy tong@|@directly@
@doy tong@|@immediately@
@doy va cha@|@by any means@
@doy va cha@|@by any means@
@doy yan va@|@for fear that@
@doy yan va@|@lest@
@doy zin zerng@|@completely@
@doy zin zerng@|@entirely@
@doy zop duaj kot may@|@legally@
@doy zop kot may@|@lawfully@
@doy zop kot may@|@legally@
@doy zop tham@|@morally@
@doy zop tham@|@morally@
@dr@|@doctor@
@du@|@hardworking@
@du@|@industrious@
@du@|@ambitious@
@du@|@diligent@
@du@|@see@
@du@|@look@
@du@|@peer@
@du@|@type of hardwood tree@
@du dan@|@industrious@
@du dan@|@patient@
@du day@|@neglect@
@du day@|@be unconcerned@
@du deng@|@hardwood tree whose bark is used medicinally for abdominal pain@
@du deut@|@fierce@
@du deut@|@serious@
@du hoy@|@tree used for firewood@
@du khaen@|@scorn@
@du khaen@|@disdain@
@du khaen@|@contemn@
@du khaen@|@look down on@
@du khang@|@hardwood tree whose bark is used medicinally for abdominal pain@
@du kon@|@Look here!@
@du kon@|@Look out!@
@du lae@|@guard@
@du lae@|@to look after@
@du lae hay dee@|@take good care of@
@du lae ton ang@|@take care of oneself@
@du leng@|@tree used for firewood@
@du leut@|@hardwood tree@
@du man@|@hard working@
@du man@|@hard working@
@du meun@|@seem@
@du meun@|@appear@
@du meun@|@seem@
@du meun@|@appear@
@du meun va@|@it seems that@
@du meun va@|@it looks as if@
@du meun va@|@it seems that@
@du meun va@|@it looks as if@
@du min@|@scorn@
@du min@|@despise@
@du min@|@scorn@
@du min@|@despise@
@du min@|@disdain@
@du min du khen@|@despise@
@du min du khen@|@contemn@
@du min du khen@|@scorn@
@du min pa mat@|@despise@
@du min pa mat@|@despise@
@du min thin khen@|@despise@
@du min yiat yam@|@scorn@
@du min yiat yam@|@disdaine@
@du min yiat yam@|@scorn@
@du min yiat yam@|@disdaine@
@du mor@|@consult a fortune teller@
@du phap pha yon@|@see the movie@
@du ra@|@look out@
@du ra khon@|@see the theater@
@du ri ya@|@musical instruments@
@du ri yang@|@band@
@du ri yang kha sat@|@the study of music@
@du rok@|@horse@
@du sa len@|@hardwood tree@
@du sit@|@name of the fourth level of paradise@
@du thong@|@an unidentified tree@
@du thuk@|@look down on@
@du ton@|@have pity@
@du tua yang@|@follow an example@
@dua@|@straight@
@dua@|@erect@
@dua@|@beautiful@
@dua@|@tall and erect@
@dua diay@|@weakly@
@dua diay@|@feebly@
@dua diay@|@slowly@
@duam diam@|@acting slowly@
@duam diam@|@weakly@
@duam diam@|@feebly@
@duan@|@fall forward@
@duan@|@urgent@
@duan@|@pressing@
@duan@|@amputated@
@duan@|@cut off@
@duan kheun@|@return in a hurry@
@duan kit@|@cut short@
@duan kit@|@cut off@
@duan ma@|@hurry back@
@duan thi sut@|@most urgent@
@duan thi sut@|@urgently@
@duang@|@beetle@
@duang@|@larva@
@duang a thit@|@sun@
@duang chan@|@moon disc@
@duang chay@|@heart@
@duang chit@|@mind@
@duang dao@|@star@
@duang dap@|@sword@
@duang dap@|@saber@
@duang dok@|@flowers@
@duang ka@|@rubber stamp@
@duang khom@|@sharp blade@
@duang mak phao@|@coconut beetle@
@duang mak phao@|@coconut beetle@
@duang mit@|@knife blade@
@duang phay@|@light bulb@
@duang phon@|@royal order@
@duang pi@|@top of a stupa@
@duang ra si@|@horoscope@
@duang ra ti@|@moon@
@duang sa mon@|@my love@
@duang sa mon@|@my love@
@duang ta@|@eyes@
@duang ta@|@seal@
@duang ta phay sa ni@|@postage stamp@
@duang vin yan@|@soul@
@duang xa ta@|@horoscope@
@duat@|@section of the corner pillar of the Lao house between the floor and the roof beam@
@duay@|@with@
@duay an dai@|@why@
@duay an dai@|@by what sign@
@duay chay@|@with best wishes@
@duay haet@|@for reason@
@duay haet@|@by fact@
@duay haet ni@|@for this reason@
@duay haet thi kao ni@|@in the case cited@
@duay haet thi kao ni@|@for the reason cited@
@duay haet va@|@for reason that@
@duay hak@|@with love@
@duay hak@|@out of love for@
@duay kan au chay say@|@cooperatively@
@duay kan au chay say@|@interestedly@
@duay khuam chan pen@|@with one’s obligation@
@duay khuam hak@|@with love@
@duay khuam nap theu@|@respectfully@
@duay khuam nap theu@|@very truly yours@
@duay khuam pa tha na@|@with one’s wishes@
@duay khuam pen huang@|@with one’s concern@
@duay khuam pen huang@|@with one’s worry@
@duay khuam phor chay@|@satisfactorily@
@duay khuam siay chay@|@with regret@
@duay khuam yin di@|@with pleasure@
@duay meu@|@by hand@
@duay pa kan thang puang@|@in every way@
@duay pa kan thang puang@|@in all respects@
@duay va@|@because@
@duay va@|@an account of@
@dueng@|@ball@
@dueng@|@sphere@
@duk@|@a catfish of the family Siluridae@
@duk@|@bone@
@duk ak@|@tender shoot@
@duk dan@|@bush used for firewood@
@duk deu@|@plant used for animal food@
@duk dik@|@fidget@
@duk dik@|@squirm@
@duk dik@|@wriggle@
@duk eung@|@bush whose root is used medicinally for rheumtism@
@duk ka mab@|@mastoid@
@duk kai@|@medicinal bush@
@duk khang@|@rib@
@duk kheng@|@tibia@
@duk khiat@|@medicinal bush@
@duk lang@|@spine@
@duk lang@|@spine@
@duk noy@|@bush@
@duk on@|@cartilage@
@duk ong meu@|@metacapus@
@duk ong tin@|@metatarsus@
@duk pha@|@seam of a garment@
@duk phern@|@shoulder blade@
@duk san lang@|@spine@
@duk san lang@|@spine@
@duk san lang khong xat@|@backbone of the nation@
@duk say@|@a tree of the dense forest used for firewood and medicinally@
@duk seu@|@seams of clothes@
@duk tor@|@bone articulation@
@dum@|@button@
@dum@|@smell@
@dum@|@sniff@
@dum kian@|@wheel hub@
@dum kian@|@wheel hub of ox cart@
@dun@|@guide with the kness@
@dun@|@stick in a neddle@
@dun la a na@|@jurisdiction@
@dun la ya@|@equality@
@dun la ya kun@|@one of the same family@
@dun la ya phak@|@equal parts@
@dun la ya phak@|@state of equilibrium@
@dun la ya phi nit@|@equal consideration for judgement@
@dun la ya phon@|@equal in strenght or power@
@dung@|@go@
@dung@|@walk@
@dung@|@make a dent in the middle@
@dung@|@make a protuberance in the middle@
@dung dern@|@walk@
@dung kheun@|@convex@
@dung tan@|@jump@
@dut@|@penetrate into@
@dut@|@enter into dirt or soft things@
@dut@|@suck@
@dut au@|@suckle@
@dut deum@|@be touched@
@dut deum@|@impressed@
@dut deum@|@affected@
@dut deum@|@attracted@
@dut deung@|@draw@
@dut deung@|@pull@
@dut deung@|@attract@
@dut kin@|@suck@
@dut kon@|@smoke a pipe@
@dut nam@|@suckle water@
@dut nom@|@suckle@
@dut sa di@|@appreciation@
@dut sa di@|@happiness@
@dut sa di@|@joy@
@dut sa di@|@bliss@
@dut sa ni@|@silence@
@dut sa ni@|@tranquility@
@dut tu@|@suckle@
@dut ya@|@smock tobacco@
@fa@|@palm@
@fa@|@bamboo roof@
@fa@|@cloud@
@fa@|@Empty@
@fá@|@Cloth covering@
@fà@|@air@
@fà@|@atmosphere@
@fà@|@sky@
@fă@|@wall@
@fă@|@lid@
@fă@|@cover@
@fa an ta lay@|@pass through danger@
@fà bot@|@cloudy weather@
@fà det@|@Thunderbolt@
@fà fa@|@thunderbolt discharged from a cloud to earth@
@fā fā@|@Prodigal@
@fā fā@|@free-spending@
@fă heun@|@wall of a house@
@fă heun sot dai@|@sliding wall@
@fà hom hong@|@Thunder@
@fà hong@|@thunder@
@fà hong@|@roar@
@fà hong hen@|@Thunder@
@fă ka tae@|@bamboo mat partition@
@fă kam pheng@|@wall@
@fă kan hong@|@partition wall@
@fă kan hong@|@partition wall@
@fà kha nong@|@peal of thunder@
@fà khim@|@sky is covering@
@fă la mi@|@pot lid@
@fà la ngap@|@Plant@
@fà la ngap@|@sensitive plant@
@fă la ngay@|@lid@
@fă la ngay@|@cover@
@fà lan@|@thunder@
@fà leb@|@lighting discharged from cloud to cloud@
@fà leng@|@drought@
@fà leng@|@Lightning@
@fà leum@|@lighting@
@fă leun@|@sliding wall@
@fă leun@|@sliding panel@
@fà lom@|@normal regional winds@
@fà lom phon tok@|@storm@
@fà lom phon tok@|@tempest@
@fà luang bon@|@thunderstorm@
@fà map leum@|@lighting@
@fa meu@|@palm (hand)@
@fà meut@|@dark sky@
@fa mor la sum@|@pass through a storm@
@fà neut mua@|@very cloudy weather@
@fă ngai@|@hard part of a snail covering the opening of the shell@
@fă ngam@|@cover@
@fă ngam@|@lid@
@fà oeun@|@clear up after rain@
@fà op ou@|@hot@
@fà op ou@|@dry weather@
@fa pha baet@|@Monseigneur@
@fă pha nang@|@wall of building@
@fă pha thay@|@a masonry wall@
@fà phaet@|@thunderclap@
@fă phaet@|@twin@
@fa phan@|@overcome@
@fa phan op pha sak@|@surmount difficulties@
@fă phen@|@wooden wall or partition@
@fa pheun@|@annoy@
@fa pheun@|@disobey@
@fa phin la biat@|@break regulations@
@fă phit phae dan@|@ceiling door@
@fà phon@|@raifall@
@fà sa nan@|@thunder@
@fă sa nan@|@vine used medicinally@
@fà sang@|@dawn@
@fà sat@|@Flame coloured sky sunshine@
@fă si@|@lacquered bamboo lid@
@fă si@|@conical in shape@
@fà tek din la lay@|@catastrophe@
@fà thaen@|@sky@
@fà thaen@|@heaven@
@fă thap@|@lid of a box@
@fa tin@|@sole (foot)@
@faek@|@thatch grass or elephant grass@
@faek@|@a long grass used for roofing@
@faek hom@|@medicinal plant@
@faek khiav@|@medicinal plant@
@faem@|@portfolio@
@faem@|@folder for papers@
@faen@|@tree used medicinal against poison@
@faeng@|@type of long squash@
@faet@|@love potion@
@faet@|@twin@
@fak@|@sheath@
@fak@|@entrust@
@fak@|@deposit@
@fak@|@Bamboo plank@
@fak@|@side@
@fak@|@bank@
@fak@|@chop@
@fak dap@|@scabbard@
@fak fa@|@sword pea@
@fak fa@|@vine with edible fruit@
@fak fang@|@entrust in@
@fak fang vai@|@leave@
@fak fang vai@|@consign@
@fak fay@|@side@
@fak fay@|@part@
@fak feu@|@convalesce@
@fak fum@|@bring up@
@fak fum@|@support@
@fak hak@|@give one’s heart to@
@fak khai@|@hatch@
@fak khay@|@deposit for sale@
@fak khom@|@bitter gourd used medicinally@
@fak khong@|@leave something with@
@fak khong@|@entrust something to@
@fak khuam khit hot@|@please remember me to@
@fak khuam khit therng@|@please remember me to@
@fak khuam la leuk therng@|@please remember me to@
@fak lap@|@chopmeat for making "Lap"@
@fak leung@|@a type of pumpkin@
@fak lok@|@of cocoon@
@fak mak mai@|@clove of fruit@
@fak mit@|@knife holder@
@fak nam@|@Opposite riverbank@
@fak nang seu@|@mall a letter@
@fak nay@|@Other river bank@
@fak ngerng@|@deposit@
@fak ni@|@This side@
@fak pha@|@sword bean@
@fak phay@|@send@
@fak phay@|@transmit@
@fak pheun@|@gun case@
@fak seu@|@buy@
@fak ta@|@Myopia@
@fak ta@|@trouble view@
@fak ter@|@postman@
@fak ter@|@mailman@
@fak thong@|@edible pumpkin@
@fak ton@|@waxy gourd@
@fak tua@|@growing slowly and secretly@
@fak vaen ta@|@eyeglass case@
@fak vai@|@leave something@
@fak yav@|@cowpea@
@falung@|@French@
@falung@|@French@
@fan@|@dream@
@fan@|@twist@
@fan@|@braid@
@fan@|@cut in thin slices@
@fan@|@Muntjak deer@
@fan@|@Denture@
@fan@|@to cut@
@fan@|@slice@
@fan@|@the munjak@
@fan dap@|@to do swordplay@
@fan fa@|@overcome obstacles@
@fan feun@|@Troubled@
@fan hay@|@bad dream@
@fan hay@|@nightmare@
@fan hay@|@vine@
@fan hen@|@dream about@
@fan heu@|@make a boat@
@fan hua@|@hit on the head@
@fan khaev@|@Gum@
@fan khao@|@twist@
@fan khor@|@decapitate@
@fan seuk@|@braid a rope@
@fan seuk thian@|@roll a candle@
@fang@|@bury@
@fang@|@side@
@fang@|@shore@
@fang@|@bank of a river@
@fang@|@flamboyant@
@fang@|@hurry@
@fang@|@hasten@
@fang@|@opaque@
@fang@|@dark@
@fang@|@cloudy@
@fang@|@somber@
@fáng@|@see without clarity@
@fang deng@|@medicinal shrub@
@fang fa@|@stability@
@fang fa fang fai@|@attention to@
@fáng fai@|@be unable to see clearly in strong light@
@fang fao@|@hurry@
@fang hak@|@be rooted@
@fang khap@|@bury an animal corpse@
@fang khen@|@Listen to Khaen@
@fáng khi@|@shrub in medicinal use@
@fang khua@|@right river bank@
@fang la bert@|@bury an explosive@
@fang mae nam@|@riverbank@
@fang nay sa mong@|@indoctrinate@
@fang noy@|@ornamental shrub@
@fang phet@|@set a diamond@
@fang pheun@|@house floor@
@fang phoy@|@set s stone@
@fang rok rork@|@be rooted@
@fang rok rork@|@be settled@
@fang say@|@left river bank@
@fang sop@|@bury a body@
@fáng ta@|@be unable to see@
@fáng tai ma@|@almost dead@
@fáng tai ma@|@almost dead@
@fang tha lay@|@seashore@
@fang thaet@|@listen to a sermon@
@fang tham@|@to listen to Buddha's comments@
@fang vai@|@bury@
@fang yu nay@|@be imbedded in@
@fang yu nay duang chay@|@be imbedded in one’s heart@
@fao@|@protect@
@fao@|@defend@
@fao@|@guard@
@fao@|@talking incoherently because of fatigue@
@fao@|@foul (as in football)@
@fao@|@hurry@
@fao@|@press@
@fao haen@|@attend@
@fao kan@|@guard@
@fao kan@|@watch@
@fao kon@|@wait a minute@
@fao phang@|@hurry@
@fao sa dit@|@have an audience@
@fao yam@|@guard@
@fat@|@winnow@
@fat@|@astringent taste@
@fat@|@beat@
@fat@|@clash@
@fat@|@swing@
@fat@|@sway@
@fat baet@|@cast a finishing line@
@fat fao@|@vine@
@fat fian@|@gesticulate violently@
@fat fong@|@lapping of waves@
@fat hua@|@strike the head of another@
@fat huk@|@move the guide of the loom back and forth in order to align the threads@
@fat kan@|@swaying against each other@
@fat khao@|@winnow rice@
@fat khao@|@thresh paddy@
@fat khao@|@thresh paddy@
@fat khong@|@Gong play@
@fat na@|@beat the face@
@fat phay fat ma@|@flutter@
@fat tud@|@thrash@
@fat tud@|@sleep with a whore@
@fay@|@mole@
@fay@|@blackhead@
@fay@|@pimple@
@fay@|@separate@
@fay@|@dam@
@fay@|@political part@
@fay@|@part@
@fay@|@cotton@
@fay@|@take a liquid by hand@
@fay@|@Fire@
@fay@|@choose@
@fay@|@select@
@fay chan@|@cotton tree used for textiles@
@fay chay@|@take an interest in@
@fay deun ha@|@plant@
@fay fa@|@Electricity@
@fay fa lod@|@a neon lamp@
@fay fan@|@dream of@
@fay fan@|@aspire to@
@fay fan@|@desire@
@fay fay@|@floating around in the air@
@fay ha@|@crave@
@fay ha@|@become attached to sb@
@fay heu@|@annual cotton@
@fay ka den ork@|@spark@
@fay kan@|@the fire which will destroy the world at the end of each kalpa@
@fay khan@|@the opposition@
@fay khok@|@a fire which is burning and spreading@
@fay kin@|@eat with the fingers@
@fay kong ha@|@big fire@
@fay kong ha@|@joyous fire@
@fay lam@|@fire is spreading@
@fay lok@|@the worldly@
@fay lok@|@temporal side@
@fay luk@|@fire which is burning and spreading@
@fay luk lam@|@fire which is burning and spreading@
@fay mai@|@fire@
@fay mai@|@incendiary@
@fay mot@|@dying fire@
@fay na@|@the front side@
@fay na rok@|@hellfire@
@fay nam ta@|@wipe away tears by hand@
@fay nay@|@the inside group@
@fay neung@|@one side@
@fay ni on@|@(French) neon light@
@fay nok@|@the out group@
@fay oiv@|@raw cotton with the seeds removed@
@fay pha@|@shrub@
@fay pha@|@forest fire@
@fay pha lay kan@|@the fire which will destroy the world at the end of each kalpa@
@fay pha lod yao@|@fluorescent@
@fay pha niang@|@a type of fireworks@
@fay sat lup@|@wipe away@
@fay say@|@torch@
@fay say@|@flashlight@
@fay say@|@torch@
@fay som li@|@absorbent cotton@
@fay som ra@|@purgatory@
@fay song@|@the ecclesiastical@
@fay song@|@religious side@
@fay tham@|@the spiritual side@
@fay that@|@the body heat of living creatures@
@fé vi ye@|@February@
@female@|@female-cat@
@fen@|@the gums@
@fen khao@|@the gums@
@feng@|@hug@
@feng@|@intertwine@
@feng dai@|@Convenient to (listening)@
@feng kham@|@listen@
@feng kham@|@obey@
@feng khuam@|@obey@
@feng siang@|@listen to@
@feng tham@|@listen to a sermon@
@feng thoy fang khuam@|@obey@
@feng thoy fang khuam@|@comply@
@feng thoy fang khuam@|@obey@
@feng thoy fang khuam@|@comply@
@fep@|@flat@
@fep@|@flattened@
@fer@|@noodle soup@
@fer@|@money which is valueless@
@fer@|@depreciation@
@fer@|@inflation@
@ferk@|@practice@
@ferk@|@exercise@
@ferk@|@practice@
@ferk@|@exercise@
@ferk ap@|@drill@
@ferk ap@|@practice@
@ferk hat@|@practice@
@feu@|@plait@
@feu@|@braid@
@feu@|@weave@
@feu@|@cloud@
@feu@|@a hissing@
@feu@|@cling to@
@feu@|@lean against@
@feu@|@aid@
@feu@|@sustain@
@feuk@|@train@
@feuk@|@teach@
@feuk@|@train@
@feuk@|@teach@
@feuk@|@surgical splints@
@feuk fon@|@train@
@feuk hat@|@practice@
@feuk son@|@train@
@feuk son@|@instruct@
@feuk ying@|@firing practice@
@feum@|@loom or chassis of a loom@
@feun@|@disobey@
@feun@|@act contrarily@
@feun@|@small bumps on the skin@
@feun@|@whirlpool@
@feun@|@bitter-tasting@
@feun@|@firewood@
@feun@|@recover@
@feun@|@get well@
@feun@|@shake@
@feun@|@agitate@
@feun@|@tremble@
@feun chay@|@act in spite of oneself@
@feun chay@|@be constrained@
@feun din@|@loosen or turn up the soil@
@feun khao@|@ted rice@
@feun kheun@|@revive@
@feun kheun@|@recover consciousness@
@feun khing@|@recover@
@feun khuam song cham@|@refresh the memory@
@feun o vat@|@go against@
@feun ong@|@awaken@
@feun phoy@|@Convalescence@
@feun phus@|@restore@
@feun teun@|@awake@
@feun teun@|@waken@
@feun tham ma da@|@act contrary to the usual or normal@
@feun thong@|@manipulate a fetus to turn its head@
@feun tua@|@take again the situation in hand@
@feung@|@section@
@feung@|@part@
@feung@|@slice@
@feung@|@half@
@feung@|@part@
@feung@|@Straw@
@feung@|@fragment@
@feung@|@germinal letter or character@
@feung@|@shard@
@feung chak@|@cog@
@feung chak@|@gear tooth@
@feung fa@|@paper flower (Nyctaginea)@
@feung hay@|@shard jar@
@feung khao@|@rice straw@
@feung thoy@|@a tree with small fruit used medicinally against rheumatism@
@feut@|@not working@
@feut@|@braked@
@feut@|@disturbed@
@feut@|@astringent in taste@
@feut@|@rid@
@feut@|@free@
@feut@|@free brusquely@
@feut@|@splash@
@feut@|@run over the edge@
@feut@|@Overflow@
@feut kheung@|@in difficulty@
@feuy@|@a branch or vine which bends down@
@feuy@|@touches the earth and rises again@
@fi@|@infection@
@fi dat@|@smallpox@
@fi dip@|@abscess@
@fi hom@|@compressed@
@fi hom@|@lessened@
@fi hua pheun@|@boil@
@fi ka seu@|@pustule@
@fi la lok@|@anthrax@
@fi mai lay meu@|@ability@
@fi mai lay meu@|@dexterity@
@fi mai lay meu@|@skill knowledge@
@fi mai lay meu@|@practice@
@fi mak muang@|@syphilis@
@fi meu@|@dexterity@
@fi meu@|@skill@
@fi meu vi saet@|@talent@
@fi meu vi saet@|@genius@
@fi phak@|@literary or rhetorical style@
@fi sik@|@French@
@fi sik@|@Physic@
@fian@|@round@
@fim@|@film@
@fin@|@opium@
@fin dip@|@raw opium@
@fin suk@|@cooked opium@
@fin theun@|@illicit opium@
@fing@|@warm oneself@
@fing daet@|@warm o.s by sunlight@
@fing phai@|@warm o.s by fire@
@fit@|@fix@
@fit@|@repair machinery@
@fiv@|@leaky@
@fiv@|@fuse@
@fiv khat@|@the fuse has blown@
@foh@|@f@
@foh@|@the seventeenth consonant of the Lao alphabet@
@fok@|@to swell@
@fok@|@wash@
@fok@|@wash with soap@
@fok@|@wash clothes@
@fok fay@|@take care@
@fok mai@|@exhaust silk from cocoon@
@fok nang@|@tan@
@fon@|@rain@
@fon@|@firewood@
@fon@|@sheaf@
@fon@|@bundle@
@fon@|@bunch@
@fon@|@dance@
@fon eun@|@it stops raining@
@fon foy@|@fine@
@fon foy@|@misty rain@
@fon khao@|@truss@
@fon leng@|@drought@
@fon meut@|@sharpen a knife@
@fon pha a kat@|@weather@
@fon saen ha@|@tree with medicinal root@
@fon sang fa@|@the last rain of the rainy season@
@fon tok@|@rain@
@fon tok bor eun@|@it rains without stopping@
@fon tok heng@|@rain hard@
@fon tok heng@|@heavy rain@
@fon tok lin@|@torrential rain@
@fon tok nak@|@it is pouring@
@fon tok nak@|@it is raining hard@
@fon tok song ha@|@it rains In two showers@
@fong@|@to throw off@
@fong@|@bubble@
@fong@|@wave@
@fong@|@indict@
@fong@|@bring law suit against someone@
@fóng@|@splash@
@fóng@|@spurt@
@fong a kat@|@air bubbles@
@fong a na tha@|@sue in forma pauperis@
@fong a ya@|@bring a criminal action@
@fong fat@|@lap (of water on a shore)@
@fong hang nya@|@sue for divorce@
@fong hiak kha siay hay@|@sue for damages@
@fong hong@|@take complaint against@
@fong hong@|@lodge a complaint at court@
@fong hong@|@take complaint against@
@fong hong@|@lodge a complaint at court@
@fong kan@|@accuse or denounce each other@
@fong kha de pheng@|@take civil action against someone@
@fong kheun@|@recriminate@
@fong khuam thaet@|@accuse falsely@
@fong ma yang@|@tell on@
@fong ma yang@|@report@
@fong nam@|@sponge@
@fong pheng@|@bring a civil action@
@fong sa bu@|@soap bubble@
@fong sa li@|@Phongsaly@
@fong sa li@|@city and province of the far north of Laos@
@fong sa mut@|@marvel-of-Peru@
@fong sai@|@spell@
@fong san@|@sue@
@fong san@|@charge@
@fong san@|@accuse@
@fong tha lay@|@ocean waves@
@fong tha lay@|@coral@
@fong tor@|@complain@
@fong u thon@|@appeal@
@fong yaeng@|@counterclaim@
@for@|@shrink@
@for@|@the nineteenth consonant of the Lao alphabet@
@for@|@f@
@for for@|@a hissing sound@
@fot@|@bud@
@fot@|@effervescence@
@fot@|@road@
@fot@|@path@
@fot@|@trace@
@fot@|@mark@
@fot@|@mistake@
@fot@|@error@
@fot@|@fault@
@fot@|@noisy@
@fot@|@to boll@
@fot@|@foam@
@fot fao@|@vine in medicinal use@
@fot heu@|@pimple@
@fot heu@|@spot@
@fot heu@|@acne@
@fot kheun ma@|@effervescence@
@foy@|@sawdust@
@foy@|@sawdust@
@foy@|@broom@
@foy khon nok@|@feather duster@
@foy lom@|@type of herb@
@foy phat khaev@|@toothbrush@
@foy thong@|@sweet egg-serpentine@
@frang@|@French@
@frang set@|@France@
@fú@|@float@
@fú fong@|@improve gradually@
@fú fong@|@make progress@
@fú kheun@|@float up@
@fum@|@thicker@
@fum@|@clump of bushes@
@fum@|@soak in (a liquid, plunge in)@
@fum dok mai@|@flower bushes@
@fum feuy@|@luxurious@
@fum feuy@|@extravagant@
@fum leut@|@lay in one's blood@
@fum mai@|@thicker@
@fum mai@|@clump of bushes@
@fum mai@|@bush@
@fum nam@|@bath@
@fum phay@|@run with teat@
@fun@|@power@
@fun@|@dust@
@fun@|@become irate@
@fun@|@become very angry@
@fun chip@|@covered with dust@
@fun na@|@thick dust@
@fun than hin@|@cider@
@fun than hin@|@ash@
@fun than hin@|@clinker@
@fung@|@weave a fishnet@
@fung@|@group@
@fung@|@crowd@
@fung@|@hover@
@fung@|@spread in the pretentious@
@fung fat@|@tree used medicinally for dysentery@
@fung fer@|@unconstrained@
@fung ferng@|@swam of bees@
@fung kae@|@flock of sheep@
@fung kha pha bat@|@we(royal)@
@fung lerng@|@pack of monkeys@
@fung ma@|@heard of horses@
@fung meng van@|@swarm of flies@
@fung mu pha@|@pack of wild swine@
@fung ngua@|@herd of cattle@
@fung nok@|@flock of birds@
@fung pha@|@schools of fish@
@fung son@|@crowd of people@
@fup@|@collapse@
@fup long@|@crouch@
@fup long@|@stoop@
@fup long@|@tape@
@fut@|@a measure of length@
@fut ban@|@soccer football@
@fuy@|@fragile@
@fuy@|@easily torn@
@Ha@|@Cross incautiously@
@Ha@|@Rub@
@Ha@|@scrap@
@Ha@|@Sound of laughter@
@Ha@|@Evil spirits causing an epidemic@
@Ha@|@Single@
@Ha@|@Solitary@
@Ha@|@alone@
@Ha ha@|@Ha!, ha!@
@ha ham@|@Threaten@
@ha ham@|@Oppress@
@ha ham@|@Harm@
@ha ham@|@Damage@
@Ha hut meung ery@|@Pest carries you away!@
@Ha hut meung ery@|@Pest carries you away!@
@Ha kin chao@|@Put the cause on you@
@Ha kin kay@|@Plague@
@Ha kin kay@|@epidemic@
@Ha kin meung@|@Put the  curse on you@
@Ha long@|@put the curse on@
@Ha noy@|@Geog. Hanoi, city of North Vietnam@
@ha vi@|@Harass@
@ha vi@|@Oppress@
@ha vi@|@Torment@
@ha vi@|@Ruin@
@ha vi@|@Disturb@
@ha vi@|@annoy@
@hae@|@Silk cloth@
@hae@|@Stone@
@hae@|@Gravel@
@hae@|@Ore@
@hae@|@mineral@
@Hae ham@|@Silk@
@Hae ham@|@piece of silk@
@hae khi kua@|@tin ore@
@hae lek@|@Iron ore@
@hae ta kua@|@Galena@
@hae thong deng@|@Copper ore@
@Hae yai hin@|@Asbestos@
@haek@|@original@
@haek@|@first@
@haek@|@medicinal vine@
@haek@|@generally applied to several members of the genus Combretum@
@haek lerm@|@At the very beginning@
@haek na@|@the first plowing@
@haek siav@|@become friends@
@haek thay@|@begin plowing@
@haem@|@first day of the waning moon@
@haem@|@second half of the lunar month@
@haem@|@vine@
@haem@|@used for yellow dye@
@haem ha@|@desert@
@haem ha@|@forsake@
@haem hang@|@abandon@
@haem horn@|@halt for the night@
@haem kheun@|@spend the night@
@haem pi@|@for years@
@haeng@|@strength@
@haeng@|@power@
@haeng@|@force@
@haeng@|@more than@
@haeng@|@vulture@
@haeng boun@|@power of merit@
@haeng han@|@strong@
@haeng han@|@robust@
@haeng ka@|@strongly@
@haeng kheun@|@be strengthened@
@haeng khon@|@manpower@
@haeng khon@|@energy@
@haeng khor kham@|@golden-necked vulture@
@haeng kua@|@stronger than@
@haeng kua@|@worse than@
@haeng kua nan@|@even more@
@haeng kua nan@|@in addition@
@haeng ma@|@horsepower@
@haeng ngan@|@labor@
@haeng thian@|@candlepower@
@haeng ying@|@more so@
@haeng ying@|@worse@
@haet@|@rhinoceros@
@haet khor@|@inflamed throat@
@haet nam@|@rhinoceros@
@haev hang nok@|@bird trap@
@haev nu@|@rattrap@
@hak@|@love@
@hak@|@root@
@hak@|@origin@
@hak@|@to vomit@
@hak@|@root medicine@
@hak a say@|@solicitous devotion@
@hak bang xang biang@|@favor one over another@
@hak bu xa@|@worship@
@hak bu xa@|@adore@
@hak diav@|@single love@
@hak hak@|@emetic@
@hak hom@|@love@
@hak hor@|@always love@
@hak kaen@|@true love@
@hak kan@|@love each other@
@hak keo@|@Taproot@
@hak khao@|@root of a tooth@
@hak khao@|@origin@
@hak khaum sa ngop@|@peace-loving@
@hak khay@|@affection@
@hak khay@|@love@
@hak khay@|@compassion@
@hak kvaen@|@become acquainted@
@hak leut@|@Vomit blood@
@hak luk tao@|@love children@
@hak may@|@tree root@
@hak mun@|@origin@
@hak ork@|@vomit@
@hak pheng@|@like@
@hak pheng@|@love@
@hak pheng@|@respect@
@hak pheng thang lay@|@dearest@
@hak phor mae@|@love parents@
@hak sa@|@take care of@
@hak sa@|@maintain@
@hak sa@|@watch over@
@hak sa@|@protect@
@hak sa@|@defend@
@hak sa day thuk yang@|@cure everything@
@hak sa ek ka lat@|@maintain independence@
@hak sa hay@|@keep for@
@hak sa it sa la phap@|@maintain independence@
@hak sa kan@|@be on duty@
