@English@|@Rajasthani@
@Hither@|@athinai, inai, inai, inai, inai, itakum, itakum, itakum, itakum, itakum, ulikanni, ulikanni, unai, unai, unai, unnai@
@hither (1)@|@yaunai@
@hold of an opponent in fight@|@bathakabathi@
@hole in a water-closet@|@mokhi@
@hole in the ground@|@khai, thai@
@hollow reed@|@bhogali@
@honour@|@aka@
@Honour@|@atha@
@hospitality@|@mijamani@
@hot@|@Tato@
@house@|@malya, taparo@
@house sparrow@|@Chirkali@
@house wise@|@Ghardith@
@household utensils@|@Handi kunda@
@How@|@kaimyam, kaseka, kasyam, kyanna@
@How are you?@|@They kashya k ho?, Tu kashyo k hai?@
@How did you come?@|@they kaaiyan aaya?, Tu kaaiyan aayo?@
@How did you drive?@|@Tu kaaiyan motor chalayi?@
@How did you sleep?@|@they kaaiyan soya?, Tu kaaiyan soyo?@
@How did you write?@|@Tu kaaiyan likhyo?@
@how many@|@kai@
@How many@|@katta, keka@
@How many did you take?@|@Tu kitta k liya?@
@How much@|@kitaro@
@How much did he pay you?@|@Woh tanne kitta k pisa diya?@
@How much distance to go?@|@Aur kitto door jaano hai?@
@hundred@|@saimsa@
@hurdled@|@atakyoda@
@husband@|@balam, bhartar, Dhani, launtho@
@husband of father's sister@|@Phufo@
@husband of sister@|@Jijo, Jijo@
@I@|@Main, manne@
@I am fine@|@Main thik thak choon@
@I go@|@Main gayo@
@I saw the film last week@|@Pichle saptah main filam dekhi@
@I shall come with you@|@Main thare sang chaalungo@
@Illegitimate@|@gaibi@
@Ill-fame@|@kurratyo@
@ill-feeling@|@anasa@
@ill-will@|@kevo@
@Imperative@|@karaparo@
@implement to churn milk@|@Jhernom@
@impliment to level ground@|@Dantali@
@imposed@|@Tharpyodo@
@Impotent@|@randyo@
@imprint of hand of bride@|@Thapo@
@in@|@mamyam, mamyanai@
@in all sides@|@Chyarankani@
@in day light@|@chaudai-dhadai@
@in detail@|@bigatavara@
@in excess@|@anmita@
@in exchange@|@Satai@
@In great abundance@|@apattam, buchata@
@in reality@|@daramaim@
@In secret@|@olai@
@In that way@|@umyamim@
@In the direction of@|@kani@
@in the evening@|@siñjyaka@
@In the evening@|@antham@
@in the extreme@|@nethamaim@
@in the morning@|@savamrai@
@In the way of@|@ado@
@In this manner@|@imyam, isyam, isyanna@
@In this much@|@itto@
@In this way@|@amyo@
@In vain@|@abaratha@
@In what manner@|@jyamla, kimyam@
@In what way@|@jaimyam@
@In which room did you sleep?@|@Tu kun sa kamra mein soyo?@
@Income@|@amvanda@
@Incorrigible@|@pitoka@
@Indecent songs@|@alaphoka@
@indent in a metal vessel@|@moco@
@indolent@|@ungana@
@Inedible grass@|@aunthela@
@Influence@|@thiso@
@information@|@bero@
@in-laws' house@|@Sasaro@
@insect which attack crops@|@Al@
@insert some object into a hole@|@Pajao@
@inside@|@maimlo, mainnai, mainnai, mamyamlo@
@insider@|@Manyla@
@instantly@|@phata@
@instigation@|@dhamso@
@insult@|@Fajiti@
@Intensive form of aisá@|@iyamim@
@interrupt one who is speaking@|@darakadebo@
@interval between two steps@|@Panwdo@
@into@|@mam@
@intoxication@|@naso@
@Intrans@|@alasabo@
@Intricate@|@alajhana@
@invitation@|@Nuto@
@invitation to whole castle@|@sarabalo@
@irons@|@khunakhunni@
@Irritable@|@obaro@
@irritation@|@cinakho@
@Irritation of the skin@|@cantacuntï@
@Is@|@Chhe@
@Is it a book?@|@Ya kaain koi kitaab chhe?@
@Is it the answer?@|@Yo jawaab hai kaain?@
@Is said of a woman@|@paga mlagabo@
@It@|@Ye@
@It is a book@|@Ya ek kitaab chhe@
@It is the answer@|@Yo hi jawaab chhe@
@ivory bangles@|@bilia@
@jungle@|@hara, ramu, Rohi@
@Jungle of hill@|@capara@
@justice@|@chaudhar, naradara@
@kachcha structure three gates@|@Tibari@
@key@|@kuñci@
@Khimpoli is pod of Khimp plant@|@Khimpoli@
@kind of an odhana@|@Ojario@
@kind of bush and its seed@|@bapaci@
@kind of festival@|@sañjya@
@kind of food@|@sankala, sumsava@
@kind of grain@|@maka@
@kind of grass@|@khimpa@
@kind of porridge@|@maheri@
@kind of rich food@|@curayum@
@kind of vegetable@|@bathavo@
@Kindred@|@lagata bilagata@
@kiss@|@Pyario@
@kitchen@|@mai, rasova@
@kitten@|@bilamvato, minakyo@
@knee@|@Goda@
@knowing each other@|@Sain-paith@
@knowingly@|@Jan bujh'r@
@knowledge@|@tola@
@labour@|@Majur@
@Labour@|@khecala@
@labour engaged for cultivating@|@hali@
@laces@|@Goto@
@ladies properly dressed@|@banithani@
@ladle for taking out oil@|@Paliyo@
@Lame@|@kho@
@lamp@|@sankaladipa@
@lampblack for use on eyes@|@Kajal@
@Land covered with salt@|@khardo@
@Land given to Brahmans@|@udaka@
@land kept for grazing of animals@|@Adhäo@
@langúr monkey@|@molyo@
@large staff with iron rings@|@lovandi@
@larva that damages bajra@|@Katro@
@Lasting@|@thimara@
@late@|@mau, mo, Modho@
@Lateness@|@umvara@
@latrine@|@gu@
@Laughter@|@gilkatya@
@lazy@|@hammana, Mantho@
@leader@|@Neto@
@lean@|@tantalyo@
@lease@|@bantai@
@leather belt used to beat@|@Korda@
@leather belt used to churn@|@Netro@
@leave@|@sikha@
@leaves of ber shrub@|@Palo@
@Left off food@|@untha@
@left out@|@Bachyoda@
@less productive@|@Halki@
@Life@|@jyo@
@light black in colour@|@Sanwali@
@light of moon@|@chanani@
@like@|@chav, naum, sarako@
@like that@|@bisyo@
@like this@|@aisyo, aso, Isya, isyo@
@Like this@|@aso, aso, isyo@
@Like what@|@kasyo, kasyo@
@Likeness@|@unniyaro@
@lime plaster@|@sandani@
@line@|@likali@
@little@|@Thodo@
@Little@|@cinha@
@local bhatti to boil milk@|@Kuriyo@
@local device made of clay@|@Chilam@
@local variety of cucurbit@|@Kolo@
@long centrepiece of wood@|@thunni@
@long man@|@long man@
@long radiating sand dune@|@bhar@
@long woman@|@Lami@
@look here@|@baiso@
@Look here@|@ela@
@Looking with longing desire@|@taramarataramara@
@loot@|@Dhado@
@Lord Hanuman@|@balaji@
@Lord Krishna@|@thakurji@
@lost@|@Gamgi@
@lost the way@|@Chungyo@
@loud sound of breaking s.th.@|@ardat@
@lower iron part of plaugh@|@Chau@
@lower wood part of plaugh@|@Kush@
@m One who gives a gift@|@ukatyo@
@mad@|@Gailo@
@mad man@|@bawlo@
@mad woman@|@bawli@
@Magic@|@kammana@
@main gate@|@Falso@
@mainly@|@Ghankhara@
@male child@|@tingar@
@male friend@|@bhaylo@
@man@|@minakha, motyara@
@man who assess the production@|@Kuntaro@
@man who receives belongings@|@kattayo@
@management@|@Parban@
@manger@|@hatana@
@manner@|@daya@
@many@|@bola@
@mark of identification@|@Sanani@
@Marks made on the ground@|@ghimsana@
@marriage@|@bya@
@marriage procession@|@Jan, jana@
@Marshy ground@|@galana@
@master@|@sau@
@Maternal uncle@|@Mamo@
@maternal uncles@|@bhat@
@matted hair@|@Jat, Jhimta@
@mattress made of cotton@|@Sodiyo@
@mattress made of used clothes@|@Gudadi, Gudado@
@Meddlesome@|@anagacunta@
@medicinal shrub plant@|@akdho@
@member of an IndoAryan martial@|@Jat@
@membrane of foetus developed@|@Matani@
@mendhi plant@|@mahax@
@menu@|@Jimanar, Jimanar@
@Midnight@|@adika@
@migratory bird from siberia@|@Kurjan@
@migratory bird of long peak@|@Kurdantali@
@Mildew@|@uphunna@
@milk@|@lahassi@
@mine@|@Mero@
@mischief@|@albad@
@mistress@|@dhirani@
@mixture given to a newly baby@|@janamaghunthi@
@mixture of wheat barley@|@daula@
@Mode@|@kaina@
@moisture@|@sima@
@monday@|@Mangal-var@
@money@|@Pisa@
@month@|@mhanu@
@more@|@aurum@
@morning@|@samvaro@
@mosquito@|@Machhar, mañchara@
@mother@|@bhabhu@
@mother-in-law@|@bhuji@
@mother-in-law of one's son@|@Sagi@
@mouse@|@unro@
@mouthful@|@Gasio@
@movement@|@Pagphero@
@moving about@|@saraparata@
@much@|@bolo@
@Much@|@ghanu@
@musculine ornament worn@|@Sarpech@
@Musk-melon and sugar@|@panu@
@nabhi in hindi@|@Sundi@
@naked@|@nangatanako, natakana@
@Name@|@Naam@
@Name and place@|@namvathamvalo@
@name of a castle@|@byasa@
@name of oil used for lighting@|@jalatavli@
@narrow confined place@|@khapacyo@
@narrow passage in a fencing@|@Gali@
@nasal phlegm@|@Sedo@
@Naughty@|@aninta, kuticara@
@near@|@Kanai, naikhai, nakai, nakai, Nedo, Urai, uro@
@Near@|@godai@
@near (1)@|@hannai, sankado@
@nearest@|@saba@
@Necessity@|@daba@
@neck@|@Nad@
@necklace@|@Tussi@
@neem tree@|@Nimdo@
@nepkin of a newly born child@|@Potdo@
@nest of a bird@|@älo@
@net made of rope fitted@|@Chhinki@
@never@|@Kadeyi@
@new@|@navalla, navalla, numvam, Nuvon@
@night-blindness@|@ratindo@
@Night-blindness@|@ratando@
@nine days during which Durga@|@nyorata@
@noise@|@dhaunkala, dhummadha@
@Noise@|@dhammakadha@
@noise made by a blow on a drum@|@dhaumso@
@noise made by the flying@|@bharrabharra@
@nominal@|@namvadharako@
@Nonsense@|@alabala, alabala@
@normally a Rajput@|@thakur@
@north direction@|@Utaradh@
@Nostril@|@kumpalo@
@not@|@Koni, matanai@
@Not being in use@|@asudo@
@Not eaten by worms@|@abidha@
@not happened@|@anhui@
@Not having eaten any thing@|@nirana@
@Not requiring to ask about@|@abuja@
@not straight@|@Dedo-dedo, Ulto@
@now@|@bara, bara, baru@
@Now@|@abara, abi@
@numbers and words@|@ank@
@Obstinacy@|@amim, tacci@
@obstinate@|@badilo@
@obstruction@|@Adkan@
@odhana of a woman@|@Lahario@
@of no use@|@Rulyoda@
@offered gifts to a young lady@|@Sinjharo@
@old@|@bodo@
@old khejri tree@|@Jamt@
@Old shoes@|@khaumsa@
@old worn out shoe@|@kumsa@
@On account of@|@ghalyam@
@On all sides@|@arabara@
@On every side@|@caudadaga, olyum@
@On foot@|@talaitalai@
@on hire@|@bhalai@
@On that side@|@parannai@
@On the back@|@gadapothyam@
@on the birth of a male child@|@Pilapotra@
@on the ground@|@bhaimyam, dharatyam@
@On the knees@|@godalyam@
@On the other side@|@paila@
@on this side@|@valiham@
@On this side@|@Ola, olikanni@
@once more@|@orayum, orum@
@One of the two lengthwise@|@isa@
@One who does a needless@|@aphandi@
@One who eats left off food@|@unthava@
@One who gives birth to@|@jamana@
@One who never bows@|@anavim@
@One who receives presents@|@saradayo@
@One who tells omens@|@soni@
@Open@|@Khulo@
@Opened@|@Kholyo@
@opportunity@|@mausara, naimsa@
@opprobrium@|@ojasa@
@ordure@|@lindi@
@ornament put on forhead@|@borlo@
@ornament wore over neck@|@Hansali@
@ornament worn around neck@|@Kanthlo@
@ornament worn by ladies@|@Tagari@
@ornament worn by males ears@|@Murki@
@ornament worn by women@|@batto@
@ornament worn in ears@|@Suraliya@
@ornament worn on forehead@|@Rakdi@
@ornaments@|@Gainon@
@otherwise@|@natara@
@ought@|@cayaje@
@ours@|@apanon, Mhanko, Mharo, Mharo@
@Out of season@|@ajamya@
@outside@|@barai, baranai@
@ox used for ploughing@|@Naro@
@pain@|@Ghoba, sarala@
@Pain@|@ciramarata@
@pair of bullocks@|@Jumt@
@pair of chunadi@|@besh@
@panel of a door@|@dallo@
@paper@|@Kagad@
@parapet@|@Paal@
@Parched grain@|@maramarayo, phulya@
@Parched gram@|@bhun@
@Parched wheat@|@dhanni@
@parent@|@mayata@
@part of a bed@|@damvana@
@part of a well@|@dhannu@
@part of a wristlet@|@mamso@
@part of an ornament@|@patari@
@partner in farming@|@Siri@
@partridge@|@tiutra@
@paste made of grounded barley@|@Pithi@
@paternal aunt@|@bhuwa@
@path for cows in a village@|@Govo@
@Path made by cattle@|@digarolo@
@patience@|@saburi, thyavasa, Thyawas@
@patient@|@bharakhayo@
@paying respect to a relative@|@Jhumwari@
@peacock@|@Maurio, Mauriyo@
@pearl@|@achara@
@pebble@|@kokarayo@
@peevish@|@bitalo@
@Peevish@|@aidulo@
@people@|@Log@
@people in marriage procession@|@Jani@
@perhaps@|@syata@
@Perhaps@|@khana@
@petticoat@|@Ghagharo@
@physician@|@syanu@
@Picking up grain@|@cugeto@
@Pickled pepper@|@thannaki pitakali@
@picture@|@sibi@
@piece of wood@|@burako@
@pinching@|@Chirmarat@
@pioneer plant in sand dunes@|@Khimp@
@pitiable@|@maramolyo@
@pivot on which a door turns@|@culyo@
@place for burning the dead@|@cimhinti@
@place of cow-dung fuel's store@|@paramvado@
@place of staying@|@thikanon@
@place to stay@|@thedo@
@place used for keeping cattle@|@Gau'r@
@place used to keep drinking@|@Parindo@
@place where cattle are kept@|@ghora@
@place where water is found@|@sejo@
@plank of wood@|@sota@
@plant used for thatching@|@Munj@
@plates@|@Mindi@
@plates in a cloth@|@Kali@
@plaugh@|@Hal@
@please do@|@Kardyo@
@Plenty@|@atala@
@plenty of things@|@Bhaut@
@plural of peacock@|@Mauryä@
@pod@|@Fali@
@pod of khejri tree@|@Sangari@
@Pomade used by women@|@maina@
@poor@|@Dalidar@
@Poor@|@totayata@
@pose of one's sitting on floor@|@althi-Palthi@
@pot used to heat ghee@|@Ghilodyo@
@power@|@sarda@
@Power@|@akaya@
@praise@|@soba@
@Pregnancy@|@asapata@
@pregnant cow@|@Gyaban@
@Pregnant young cow@|@baidhaki@
@prepare a recipe like rabadi@|@Randh@
@present@|@maujuja@
@pressure@|@masaka@
@Presumption@|@matamaradamim@
@previous cerimony of marriage@|@bana@
@pride@|@pito@
@Private understanding@|@satapata@
@privately@|@chanai@
@probably@|@Syat@
@profit@|@Napho@
@propitious time fixed in marry@|@savo@
@Protection@|@amsaro@
@pucca open verandah@|@Tibaro@
@pucca pond@|@Jo'do@
@pug mark@|@Khoj@
@pulsating@|@Fadkai@
@pupil of the eye@|@hiro@
@purchase@|@bisabo@
@pure@|@mannyam@
@push@|@dhavaka, rallo@
@put@|@Melo@
@quadruped@|@samsara@
@quail@|@bataba@
@quantity of any thing chucked@|@Fanko@
@quantity of ghee mixed@|@munna@
@quarrelsome@|@banda, dango@
@Quarrelsome@|@banaita, jungo@
@quickly@|@saranatai@
@Quickly@|@bhkasidena, bhkatadenisi, jagara, ulata@
@quilt made of used clothes@|@Uprant@
@quite new@|@habogata@
@rag@|@caintharo@
@Ragged@|@bhkirabhkira@
@Rags@|@ghabura@
@rain@|@birakha@
@rain-drops@|@Chhanta@
@rains@|@Meh@
@rainy season@|@Chaumaso@
@Rájá@|@kadakatani@
@rajasthani dosa@|@Chila@
@Rajasthani folk-dance@|@Ghinad, Ghumar@
@Rajasthani folk-deity@|@Pabuji@
@rajasthani print audhana@|@Chunadi@
@rat@|@cuso@
@reach@|@Pugo@
@reached@|@Punchhgi@
@real@|@asal, bijanasa@
@recipe made of boiled moth@|@Patola@
@recipe made of churned curd@|@Rabadi@
@recipe made of flour@|@Lapsi, Siro@
@Recollection@|@aulum@
@recovered a lost thing@|@Lhadagi@
@rectal hips@|@Dhunga@
@red paint@|@hiramaca@
@red pepper@|@pitakali@
@red woolen blanket@|@Lunkar@
@reed with which chatáí is made@|@airo@
@reflection of sunlight@|@Chilko@
@refractory@|@tekalo@
@refrain of a song@|@bhamsa@
@refusal@|@namya, nata@
@relation@|@sabosoi@
@Relations@|@gharakana@
@Relationship@|@alasala@
@relief@|@Sa'ro@
@reply@|@matakaro@
@repulsive feelings@|@Ghin@
@reputation@|@bainka@
@request to come@|@Ajyo@
@residencial building@|@Helv@
@residential campus@|@Guwadi@
@reverse@|@uno@
@reverse movement@|@Othaliyam@
@rhythm@|@Tan@
@Rich food@|@galaganda@
@Rich people@|@talebara@
@Right as@|@jivanu@
@rights@|@Haq-haquk@
@ring ball type@|@Indi, Induni@
@ring set with gems@|@binti@
@Rising from a sitting posture@|@ara@
@room on top floor@|@Dagalo@
@room used for storage@|@Dharo@
@rope@|@randu@
@rope made of khimp@|@Gunthalo@
@rope made of leather@|@na@
@rope with a burden attach@|@satako@
@rough@|@barabaro, o@
@round dish@|@badkulya@
@rubbish@|@Kutalo@
@Rude@|@agadda@
@Run@|@Bhago@
@rupees@|@Ripya@
@Rust@|@jara@
@Rustic@|@ketai@
@sacred thread of a deity@|@Tanti@
@saddle@|@Jin@
@saint@|@Modo@
@sale@|@bicoti@
@salt@|@Lun@
@salty@|@Kharo@
@sand@|@bekaro@
@sand dune@|@tibado, tibo, tilo@
@Sandalwood@|@cananna@
@Sarkandá reed while growing@|@kuñco@
@satisfied@|@Dhapgyo@
@saturday@|@It-var@
@scabies@|@Panw@
@Scales@|@takha@
@screech as a parrot@|@tintim@
@screw-nut@|@kabalo@
@search@|@hero@
@seat@|@Pidho@
@second part of marriage@|@Muklao@
@second wife@|@ladi@
@sector in a residential campus@|@baulai@
@seeds of a grass@|@Gokhru@
@Selected@|@chatyohuyo@
@Selfish@|@ekalataurayo@
@senior@|@badero@
@senior member in a house@|@dilam@
@separate family@|@Nyaro@
@service@|@hi, maramata@
@severe cold@|@Palo@
@sevreal pulses@|@mungera@
@sewing with a thong@|@camotho@
@Shade@|@chamvali@
@shake@|@halahalavani@
@shameless@|@Phito@
@shaped agricultural implement@|@Jeli@
@She@|@Woh@
@She came by bus yesterday@|@Woh kaal bus se aayi chhi@
@she goat@|@tat@
@sheep@|@lara@
@Sheetla Ashtama day@|@basedo@
@shift@|@Pali@
@Shining@|@Chilka, Chilko@
@shirt@|@Choliyo@
@shirt of a child@|@Mekhalio@
@shoes@|@pagarakhi, pagarakhi, panam@
@Shoes@|@jaraba@
@short nap@|@dhunakyo@
@short thick-set man@|@ganthyo@
@shyness@|@kanakhya@
@sick@|@samadayo@
@sickness@|@acala, asamada, ocapa@
@Sickness@|@asamada, asamada, augana, ocapa, rogadoga@
@sign@|@rupaka@
@signature@|@sainana@
@signs of swastik@|@Sathia@
@silent@|@namana@
@Silent@|@unamunu@
@Silent quickly@|@bolabalo@
@silly man@|@balyo, Kunkeda, Ramaryo@
@silly man with a bad taste@|@bapkano@
@silly woman@|@balyi, Madaravani, Madaravani, Malzadi@
@silly women@|@Ramarv@
@silver@|@chani@
@simple@|@raibudayo@
@simple as a child@|@habola@
@simpleton@|@dibadola, ramagava@
@singing of songs@|@ratijago@
@sister@|@bamhanna, bayi, bhan, biri, jiji@
@Sit@|@Baitho@
@slap on the crown of the head@|@patilyo@
@slattern@|@sangana@
@sleep@|@nin@
@sliced wood@|@Fatko@
@slowly@|@holyum, mundara mundara@
@small@|@lho@
@Small black seeds@|@kagyo@
@small cot@|@macalyo@
@small drum@|@damaki@
@small earthen ware@|@bhkavo@
@Small edible berries@|@damsaraya, kisoraya@
@small hamlet@|@Dhani@
@small hole@|@theka@
@small in stature@|@megaco@
@small ladle for taking out oil@|@Miriyo@
@small lumps of pounded pulse@|@Mangodi@
@small metal case for papers@|@naliyo@
@Small piece broken of cow-dung@|@kanta@
@Small pieces of stone@|@batharo@
@small plant used as condiment@|@halyum@
@Small red seeds@|@cirami@
@small reddish worm@|@ili@
@small stand made of mud@|@hi@
@small stone projecting a house@|@maravo@
@small swallow@|@sarai@
@small thick chapátí@|@mandakyo@
@small variety of cucumber@|@Kachro@
@small vessel@|@achalyo@
@small wall press@|@tavadana@
@small well@|@beri, bero@
@smile@|@mulakabo@
@smiling@|@Mulkai@
@So long as@|@jattai-jattai@
@soft@|@kaumlo@
@Soft@|@gilama@
@Soft and easily chewed@|@phosaro@
@solid sticky nasal matter@|@Ghungo@
@solution@|@Ghol@
@Some@|@kei, kimai@
@Sometimes@|@khanakhana@
@sometimes of contempt@|@balyo@
@song about Tejaji@|@Tejo@
@song sung by daughters@|@badhawo@
@Song sung to welcome@|@Jakhdi@
@song sung when the husband@|@ankhadli@
@sorceress@|@thigani@
@Sorrow@|@usara@
@soul@|@bhaumro@
@Sound made by the drum@|@damakadama@
@sound made with a knife@|@kaca@
@Soundly@|@sanakasanaka@
@Source of Milk@|@Dhinon@
@Sourness@|@curasai@
@sowing seeds@|@bijno@
@space in the joints of bamboo@|@peli@
@Spacious@|@ullo@
@spindle of a spinning-wheel@|@taku@
@spoon made of wood@|@catu@
@sport@|@ramata@
@sprain@|@jabaka, mura@
@spread a little ghee@|@bhankabo@
@spring festival of Gangour@|@Gangaur@
@Sprinkling the ground@|@chinakava@
@Sprouting grain@|@seko@
@square hollow pillar@|@obari@
@stability@|@thala@
@stable@|@athana@
@stack of grass@|@kundi@
@stack of hay@|@bagara@
@stage erected in the open air@|@addo@
@stair-case@|@pai@
@stair-case in a house@|@nala@
@stalk of a cotton plant@|@banasti@
@Standing up@|@ubo@
@Start and sing the song@|@Gir@
@step@|@Paglyo@
@stick of the refining sugar@|@masato@
@stick to run the bull@|@Purani@
@Stiff-necked@|@autantalo@
@stomach@|@pha@
@stone@|@bhato@
@storage place for grains@|@bakhari@
@store@|@samu@
@store of food@|@Kothar@
@story of Pabuji depicted@|@Fad@
@straight@|@padaro@
@Straining@|@kanachabo@
@straw@|@Dankhala, naulai@
@Straw@|@tinakalo@
@straw of bajra@|@Doka@
@street game of rural children@|@anti@
@strength@|@Tant@
@strong rainy winds@|@Sunto@
@strong rope used to pull water@|@Lao@
@strong villager@|@dangi@
@structure made of cow dung@|@Kothalio@
@strutting@|@thuramara@
@Stupid@|@dhapolasankha, kamandala@
@sub-division of the dyer caste@|@khiñci@
@substance@|@te@
@sufficient@|@Mokla@
@suffix added to adverbs@|@sika@
@suitable@|@saru@
@sum of money@|@pata@
@summer season@|@unyalo@
@sun light@|@tawado@
@sunday@|@Som-var@
@sunrise@|@Dinuge@
@sunset@|@Dinchhipe@
@superficial wound@|@kharasto@
@support to legs for a camel@|@Pagdo@
@Suppression of truth@|@gayalo@
@swami in hindi@|@Syami@
@Sweepings@|@kajo@
@sweet kind of plum@|@pemandi@
@sweetness@|@samunna@
@swift@|@santaro@
@swimmer@|@teru@
@symbol of victory at the door@|@Toran@
@take away forcefully@|@Khoslyo@
@take care@|@Samhal@
@take food@|@Jimo@
@take one turn of taking water@|@baro kado@
@take out from some thing@|@Mansun@
@Taking one to task@|@rauda@
@talkative@|@batoro, labali@
@tall@|@dhinca@
@taste mix of salt and chilli@|@charko@
@tax@|@Hasal@
@temple@|@Devero@
@term of comtempt@|@munasyo@
@term of contempt@|@nauju@
@term of disrespect@|@raikaro@
@term used to address a female@|@Dawdi@
@terrace made around a tree@|@Gatto@
@that@|@asa@
@That@|@aka, Woh@
@That much@|@utaro@
@thatching by munj in shape@|@Kumpli@
@The 12th part of the income@|@bisunda@
@the act of dressing@|@Singar@
@The act of throwing one down@|@dainka@
@The ankle@|@giriyo@
@the autumn harvest@|@syalu@
@The bank of a river@|@dhavo@
@The bark of a tree@|@chaudo@
@The beak of a bird@|@cañca@
@the boiling stage of recipe@|@awati@
@The branch of a tree@|@dahala, dhankari@
@the breast@|@hika@
@the calf of the leg@|@pim@
@the ceremony after death@|@Mausar@
@The ceremony performed@|@gyaro@
@The chattering of children@|@cyañcyum@
@The cheek@|@galuva@
@The coloured chádar@|@luga@
@The continuous roar of cannon@|@daranabo@
@the crocodile@|@mangara@
@The crocodile@|@chuñcha@
@The crown of the head@|@patapa, tyanta@
@The day before the Tíj@|@siñjaro@
@The day before yesterday@|@paro nke dina@
@The droppings of cattle@|@poato@
@The drum of the ear@|@kokaro@
@The east@|@ugunni@
@The end@|@che@
@The face@|@thotharo@
@The fifth day before@|@bhkaintaralaidina@
@the first night of marriage@|@Ratijko@
@The flat stone of a water@|@sandasa@
@The floor of a house@|@anganu@
@the flowers of Phog@|@Phogalo@
@The function at the time@|@Khichadi@
@the function on next day@|@Pesgaro@
@the furrow on earth@|@umaro@
@The gate and wall of a city@|@kundanakota@
@the god of serpents@|@Gugoji@
@the head@|@dhabbala@
@The head@|@taita, taita@
@The hot season@|@undyalo, unhalu@
@The husband of Gangore@|@isara@
@The husk of Bájrá@|@bulara, lali@
@The iron frame of a Charas@|@mandala@
@The jam of a door@|@bai@
@The Jeypore bolí@|@kami nkui nki boli@
@The juice of fruit@|@kasa@
@The juice of the mango@|@amarasa@
@the knot@|@ant@
@The larynx@|@ghetu@
@The left hand@|@khobalya@
@The lobe of the ear@|@lola@
@The loins@|@ka@
@The long-shaped sheet@|@Ola@
@the membrane of foetus@|@Jer@
@The name of a feast@|@jivatamahoco@
@The name of a god@|@gugo@
@The nostril@|@nakatho@
@The part of the finger@|@peru@
@The part of the foot@|@phabo@
@The pea-pod of the babúl@|@pata@
@The piece of leather@|@caramaka@
@The pieces of wood of Chaupar@|@syara@
@The place of cremation@|@salo@
@the Pleiades@|@satarasa@
@The ploughing a field@|@halani@
@The point of a native shoe@|@nakku@
@the pupil of the eye@|@manasyo@
@the quarrel@|@Uljheda@
@The right side of any thing@|@saumlom@
@The roof of a house@|@Dagalo@
@the sarkandá reed@|@pani@
@The Sarkandá reed@|@phara@
@the secred threads@|@Kankad@
@The seed of the melon@|@mingi@
@the sharp edge@|@pana@
@The sky@|@ammara@
@the slough of a snake@|@Kanchali@
@The small of the back@|@dhundi@
@The smell of burning cloth@|@anda@
@The sole of the foot@|@pagathali@
@The sound of falling@|@khallakhalla@
@The stagnant@|@amuñjo@
@The sun@|@dinayara@
@The tendo achillis@|@nara@
@the thigh@|@sathala@
@The threshold of a door@|@deli, thali@
@The top of a wall@|@mandiri@
@The trappings of a horse@|@sagata@
@The trunk of a tree@|@pau@
@The watering of fields@|@pannata@
@The weight of a motá paisá@|@dhinga@
@The west@|@anthunni@
@The white ant@|@divala@
@the whole world@|@dharamandala@
@The wife of a merchant@|@sanna@
@The wife of a son@|@korani@
@The womb@|@odara@
@The worship Potter's wheel@|@chak puja@
@The wrist@|@gaththo@
@The young of a camel@|@bota@
@The young one of a camel@|@toda@
@The zanáná@|@ravalo@
@theirs@|@banko@
@then@|@janam, jaram@
@Then@|@tida@
@there@|@badai, bathai, udai, undai, unthai, uthai@
@There@|@tinthai, udai, udai, unthai, uthai, uthai, uthai@
@there (1)@|@benda, mham@
@these@|@Ai@
@they@|@bai@
@They went to the mosque@|@Woh masjid maay gaya@
@thick@|@thado@
@thing@|@Chij@
@thirst@|@Pisa@
@This@|@aim, Yeh@
@This much@|@itanu, itaro@
@This time@|@abarakam@
@thither@|@bathinai, bathinai, binai@
@Thither@|@jathe, jathe, jathi, jathinai, jathinai, jathinai, jinai, undinai, uthi, uthinai@
@thither (1)@|@bunai@
@Thoroughly steeped in ghee@|@galagaca@
@thought@|@sosi@
@throught infection@|@Syalia@
@thumb@|@Guntho@
@thursday@|@Guru-var@
@thus@|@nyum, yanna@
@tiara@|@Kilangi@
@tibárá@|@madhaiya@
@till@|@Tain, takala, tara@
@timely@|@belyam@
@To abuse@|@kamvankutam@
@To accompany@|@sangavabo@
@To ascend@|@chandabo@
@To bale out water@|@chantabo@
@To bathe@|@sampa@
@to be appointed@|@rupabo@
@To be benefited by@|@palapabo@
@To be blind@|@bhinta vhaibo@
@To be deprived of@|@dabakkundyalo hobo@
@To be difficult@|@samsapa@
@To be disrespectful@|@sammu bolabo@
@To be forward@|@bhopo mañcabo@
@to be free from worries@|@Aid@
@To be hasty@|@agatohobo, kathahobo@
@To be held@|@khatabo@
@To be in the full enjoyment@|@saranabo@
@to be killed@|@mara ghalabo@
@To be naughty@|@itarabo@
@To be of use to one@|@adoabo@
@to be officious@|@babarabo@
@To be pleased@|@alagabo@
@To be rolling in wealth@|@vara nyara vhaibo@
@To be ruined@|@retakheta vhaibo@
@to be satisfied@|@rope@
@To be scattered@|@kerakeraka vhaijabo@
@to be shy@|@sakabo@
@To be smear@|@ramabo@
@To be sorry for@|@kacilyabo@
@To be spoiled as food@|@busabo@
@to be stuborn@|@ramandabo@
@To be too familiar with@|@a'sango@
