@English@|@Uyghur@
@How is your family?@|@Ayleng khandakh?, Aylingiz khandakh?@
@How long have you studied?@|@khanqe uzun ugendingiz?@
@How lucky you are!@|@Nime digen teleylik sen!@
@How many kilometers away?@|@Khanqe kilometir yirakhta@
@How much do I owe you?@|@Sizge khanqe toleymen?@
@How much does it cost?@|@Bahasi khanqe?@
@How much does this carpet cost@|@Bu gilemning bahasi khanqe?@
@How much does this cost?@|@Buning bahasi khanqe?@
@How much is it?@|@Khanqe pul bolidu?@
@How Much Is This?@|@buning bahasi Qancha?@
@How much money do you have?@|@Yeningda khanqe pul bar?@
@How much?@|@Bahasi khanqe?, Khanqe pul?@
@how nice@|@yahxighu@
@How old are you?@|@Siz khanqe yaxkha kirdingiz?@
@How will you spend the evening@|@Siz keqte nime khilmakhqi?@
@How wonderful!@|@Pah; nime digen isil bu!@
@How's everything?@|@Ehvalingiz khandakh?, Ixlar yahxi ketip barghandu?@
@How's it going?@|@Khandakh ehvaling?@
@human being@|@Adem@
@hummel@|@toqal@
@hundred@|@juz, yüz@
@hunger@|@ach, achliq@
@hungry@|@toryh@
@husband@|@er, yoldax@
@husbands of sisters@|@baža@
@I@|@men@
@I agree@|@Khoxulimen@
@I am a football fan@|@Men putbolni yahxi korimen@
@I am afraid that l have to go@|@Men mangmisam bolmaydu@
@I am bored to death@|@Zirikip oley devatimen@
@I am busy@|@Men aldiraq@
@I am glad to hear it@|@Buni anglap hoxal boldum@
@I am going take it@|@Buni alay@
@I am just looking@|@Pekhet körüppakhay dedim@
@I am missing you very much@|@Seni bek seghindim@
@I am on top of the world@|@Men bek hoxal boldum@
@I beg your pardon@|@Kequrung, Sizdin kequrum soraymen@
@I beg your pardon?@|@anglimay khaldim, Yene bir denge@
@I can do nothing but that@|@Men pekhet xunila khilalaymen@
@I can't believe it@|@Ixenmeymen, Xundakh boldima?@
@I can't follow you@|@Gepingni quxenmidim@
@I can't help it@|@Baxkha amalim yokh, Ozemni tohtitalmidim@
@I can't stand that fellow@|@U kixidin seskinip kettim@
@I can't stand that man@|@U adamni oq korimen@
@I can't take it anymore@|@Qidighiqiligim khalmidi@
@I come from Japan@|@Men Yaponyelik@
@I could hardly speak@|@Aghizimgha gep kelmey khaldi@
@I could kill you!@|@Seni olturvetken bolattim@
@I couldn't get through@|@Telefonni alghili bolmayvatidu@
@I decline!@|@Men khoxulmaymen!@
@I detest you!@|@Seni oq korimen@
@I develop films myself@|@Resimlerni ozem ixlep qikhimen@
@I didn't sleep well@|@Men yahxi uhlamidim@
@I do@|@mende bar@
@I do dislike that woman@|@U hotonni yaratmaymen@
@I do like it@|@Buni yahxi kordum@
@I do want to see him now@|@Uni hazir korgum kelivatidu@
@I don't believe it@|@Uning'gha ixenmeymen@
@I don't feel very well@|@Digendek mijezim yokh@
@I don't have any cash with me@|@Yenimda bir tiyin pul yokh@
@I don't have enough money@|@Yenimda yeterlik pul yokh@
@I don't know@|@Bilmeymen@
@I don't like it at all@|@Buni zadi yahxi kormidim@
@I don't like that@|@Uni yahxi kormidim@
@I don't mean it@|@Mehsetlik khilmidim@
@I don't think so@|@menqe yaghmaydu, menqe yaghmaydu., Undakh emesmikin@
@I don't want to hear it@|@Bu gepni anglighim yokh!@
@I doubt it@|@Gumanlinimen, Ixenmeymen@
@I expect so@|@Xundakh boluxini kutken idim@
@I feel very pleased about it@|@Buning'gha intayin razi boldum@
@I felt sort of ill@|@Biraz mijezim yokh@
@I found it under the desk@|@Uni ustel astidin taptim@
@I generally agree with you@|@Men sizge asasen khoxulimen@
@I get hold of you at last@|@Men ahiri seni taptim@
@I had a hamburger@|@Bir hamburger@
@I hate Jazz@|@Men Jazzni oq korimen@
@I hate you!@|@Seni uq korimen!@
@I have a dog@|@Mening bir itim bar@
@I have a good idea!@|@Mening bir yahxi amalim bar@
@I have never seen the movie@|@Men bu kinoni kormeptimen@
@I have no choice@|@Mening baxkha qarem yokh@
@I have no contact with her@|@uning bilen hiq alakhem yokh@
@I have no idea@|@Bilmidim, Nime khilixni bilmidim@
@I have some left@|@Mende azrakh khaldi@
@I have something to tell you@|@Sizge bir nersini dimekqimen@
@I have the right to know@|@Bilidighan hokhokhum bar@
@I have to go now@|@Men mangmisam bolmaydu@
@I have to hang up now@|@Telefonni khoyvetimen@
@I have your eraser@|@men oqurguqingizni alghan@
@I haven't decided yet@|@men bekitmidim@
@I hope it won't rain@|@Yamghur yaghmisa bolatti@
@I hope so@|@Xuni umit khilimen@
@I hope you'll excuse me@|@Kequruxingizni soraymen@
@I just made it!@|@Mehsitimge yettim, Men khildim@
@I know all about it@|@Bu toghurlukh hemmini bilimen@
@I leave the office at 7@|@Men ixtin saat 7de khaytimen@
@I like doing that@|@U ixni khilixni yahxi korimen@
@I like football best@|@Men putbolni yahxi korimen@
@I like ice-cream@|@Men marajonni yahxi korimen@
@I like it a great deal@|@men bek yahxi korimen, men sayahet khilixni@
@I like it very much@|@Men buni bek yahxi kordum@
@I like that@|@Uni yahxi korimen@
@I like you very much@|@Seni bek yahxi korimen.@
@I live in my own house@|@Ozemning oyim bar@
@I loathe you!@|@Sendin yirginip kettim@
@I love this game@|@Men bu isportni yahxi korimen@
@I love you@|@Seni suyimen@
@I love you very much@|@Seni bek suyimen@
@I love you!@|@Sizni suyimen!@
@I meet the boss himself@|@Ozem baxlikh bilen koruxtim@
@I Missed You So Much!@|@sizni bak seghinip kattim !@
@I missed you very much@|@Seni bek arzulaymen@
@I plan to go to the concert@|@Men konsirtkha baray devatimen@
@I promise@|@Khesem iqimen@
@I put on a bit of makeup@|@Azrakh yasinimen@
@I quit!@|@Men khilmaymen!@
@I really don't known@|@Bilmeymen jumung@
@I saw it with my own eyes@|@Uni oz kozum bilen kordum.@
@I see@|@Uhtum@
@I shave@|@Sakhal burtumni elip@
@I start work at 8 o'clock@|@Men saat 8de iximni baxlaymen@
@I started school at 6 y.o.@|@Men alte yaxta mektepke kirgen@
@I suppose he was sick@|@U aghrip khaldimikin deymen@
@I think so@|@He'e xundakhmikin deymen, Menmu xundakh oyludum, Xundakh@
@I think so (1)@|@Xundakh dep kharaymen@
@I think you are right@|@Meningqe toghra didingiz@
@I took@|@aldim@
@I understand perfectly@|@Men tolukh quxumimen@
@I usually get up at 8 o'clock@|@Men saat 8de ornimdin turimen@
@I wake my sister up@|@Singlimni oyghutup khoyimen@
@I walked across the park@|@Men baghqidin kesip ottum@
@I want a a kilo of grapes@|@Bir kilo üjüm alimen@
@I want an apple@|@Bir alma alghaq keling@
@I want to get to Market Street@|@Men Market koqisigha barmakhqi@
@I want to see the weather@|@Men hava rayini bilmekqi@
@I want to see you@|@Seni koruxni isteymen@
@I was 5 minutes late@|@Men bex mimut keqikiptimen@
@I was just on time@|@Men del vakhtida beriptimen@
@I was taking care of Sally@|@Men Salini kharavatimen@
@I went out@|@qikhtim@
@I will be more careful@|@Men bekerek dikhkhet khilimen@
@I will go@|@barimen@
@I will never forget it@|@Buni hergiz unutmaymen@
@I will think about it@|@Men oylixip körey@
@I will work@|@ixleymen@
@I will write it for you@|@Men sizge yezip berey@
@I wonder@|@Xundakhmidu?@
@I wonder if you'd help me?@|@Yardem bersingiz bolamdu?@
@I would like to check out@|@Hisavatni otkuzmekqimen, Pulni toley@
@ice@|@muz@
@I'd be glad to help@|@Yardem khilixni halaymen@
@idea's@|@idiyivi@
@Identifying Objects@|@Nersilerni Perkhlendurux@
@Identifying People@|@Kixilerning Kimligi@
@If it had been fine@|@Eger hava yahxi bolghan bolsa@
@If only I could fly@|@Uqalighan bolsam yahxi bolatti@
@If you have more@|@Eger sizde artukhi barsa@
@I'll be back soon@|@Men hazir khaytip kelimen@
@I'll be free from seven@|@Yettidin keyin box bolimen@
@I'll be right there@|@Men hazir barimen@
@I'll check it out@|@Men kharapbakhay@
@I'll fix you Up@|@Men ozeng ongxaymen@
@I'll further my study@|@Men okhuxumni davamlaxturimen@
@I'll go to a concert@|@Men konsertkha baray deymen@
@I'll have some ice cream@|@Azrakh marajon ekiling@
@I'll meet you tomorrow@|@Siz bilen ete koruximen@
@I'll see to it@|@Men baykhighaq turimen@
@I'll see you at six@|@Saet altida siz bilen korixey@
@I'll take it@|@Men alay@
@I'll try my best@|@Kuqumning bariqe khilimen@
@I'll wear my blue dress@|@Yixil yupkamni kiyimen@
@I'm (American)@|@man (amerikiq)@
@I'm a catcher@|@Men top totkhuqi@
@I'm a farmer@|@Men dihkhan@
@I'm a single son@|@men yalghuz oghul@
@I'm considering buying a house@|@Men bir oyni alay devatimen@
@I'm cooking@|@Men tamakh etivatimen@
@I'm determined to leave@|@Men mangidighan boldum@
@I'm engaged@|@men baxkhisi bilen kelgen@
@I'm engaged now@|@Men hazir aldiraq@
@I'm fed up@|@Tazimu iqim puxta@
@I'm fed up with my work!@|@Hizmitimdin bek zirikip kettim@
@I'm free tonight@|@Men bugun keqte bikar bolimen@
@I'm From (the U.S/ Turkistan)@|@man (america/ Turkistan) din@
@I'm full@|@Men toydum@
@I'm glad to@|@Yardem khilsam bolatti@
@I'm going to work@|@Men ixkha barimen.@
@I'm his fan@|@Men uninggha axikhmen@
@I'm home@|@Men keldim@
@I'm in a hurry!@|@Men hazir aldiraq@
@I'm Jim@|@Men Jim bolimen@
@I'm Kathy King@|@Men Kathy King bolimen@
@I'm listening to the radio@|@men radio anglavatimen@
@I'm Looking For John@|@man John ni izdawatiman@
@I'm lost@|@Men adixip kettim@
@I'm Lost@|@man ezip Qaldim@
@I'm moving there too@|@Menmu xu yerge koqmekqimen@
@I'm not sure@|@Nekh birnime delelmeymen@
@I'm not used to drinking@|@Men harakh iqixni ugenmigen@
@I'm on your side@|@Men siz terepte turimen@
@I'm quite satisfied@|@Men buning'gha razi boldum.@
@I'm reading a book@|@Men kitap okhivatimen@
@I'm sick@|@Men aghirip khaldim@
@I'm sick of it@|@Buningdin seskinip kettim@
@I'm single@|@Men boytakh, Men boytakh.@
@I'm sorry@|@Hapa bolmang@
@I'm sorry to have bothered you@|@Sizni avare khilip khoydum@
@I'm sorry to troble you@|@Sizni avara khildim; kequrung@
@I'm twenty-two years old@|@Men yigrime-ikki yaxkha kirdim@
@I'm very disappointed@|@Men bek umitsizlendim@
@I'm very proud of you@|@Men sizdin pehirlinimen@
@I'm watching Channel 5@|@men 5-khanalni korivatimen@
@I'm working@|@Men ixlevatimen@
@In Britain@|@Britaniyede@
@in December@|@Dekabirda@
@in front of@|@al-dyn@
@in the beginning of March@|@Martning baxlirida@
@In the flat country@|@Bu tuzlenlikde@
@in the middle of June@|@Iyunning otturlirida@
@In The Restaurant@|@Ristiranda@
@income@|@kirim@
@index@|@körsetküq@
@index finger@|@ixaret barmighi@
@industrious@|@emgekjan@
@inkpot@|@siyadan@
@innate@|@tughma@
@inner fat@|@qezi@
@insect@|@haxaret, khurut@
@inside (attribute)@|@iqki@
@instrument@|@sawut@
@interior of smth.@|@ich@
@interpreter@|@tüngchi@
@interrogative particle@|@-mu@
@invitation letter@|@teklipname@
@iron@|@tömür@
@irritable@|@puš-@
@irritate@|@qozha-@
@Is he coming to dinner?@|@U keqlik tamakh'a kelemdu@
@Is it far?@|@Yirakhmu?@
@Is it in the walking distance?@|@Piyarda barghidek yermu?@
@is it really you?@|@rast senmiting?@
@Is it serious?@|@Mening kesilim eghirmu?@
@Is it true or false?@|@Bu toghrimu yaki hatamu?@
@Is it yours?@|@Bu sizningmu?@
@Is that a car?@|@U kiqik maxinima?@
@Is that girl a student?@|@U khiz okhughuqimu?@
@Is that ok?@|@Bundakh khilsakh bolamdu?@
@Is that right?@|@Xundakhmu?@
@Is the airport far from here?@|@Aydurumgha berix yoli uzunmu?@
@Is there a bank around here?@|@Bu yerde banka barmu?@
@Is this the road to the Bazaar@|@Bu bazargha baridighan koqimu?@
@Is this your handbag?@|@Bu sizning somkingizma?@
@Is this your pen?@|@Bu sizning khelimingizma?@
@Is this yours?@|@Bu sizningmu?@
@island@|@aral@
@Isn't Mary living there?@|@Marymu xu yerde turidighu?@
@It doesn't make sense@|@U emelyetke uyghun emes@
@It has become much cooler@|@Barghansiri soghukh quxvatidu@
@It hurts right here@|@Del muxu yerim aghrivatidu@
@It is 25 kilometers away@|@25 kilometir yirakhta@
@It is awful@|@Be naqar ix boldi@
@It is growing cool@|@Sogh quxuxke baxlidi@
@It is just possible@|@Belkim boluxi mumkin@
@It is Just what I need@|@Del manga kerek nerse@
@It is nice@|@Bu yahxi@
@It is over there@|@U yerde@
@It is very kind of you@|@Bek obdan khildingiz@
@It isn't what I expected@|@Oylimighan yerimdin qikhti@
@It might be; I suppose@|@Belkim xundakhtu; bilmidim@
@It rather surprised me@|@Meni heyran khaldurdi@
@It really hurts@|@Bek aghrip ketti@
@It really takes time@|@Uninggha vakhit ketidu@
@It seems all right@|@Qong mesile yokhtek turidu@
@It sounds great!@|@Bek yahxi oylapsiz!@
@It suits you to a T@|@Sizge del keldi@
@It's a bus@|@u bir aptovuz@
@It's a fine day@|@Bugun yahxi kun boldi@
@It's a friendly competition@|@Bu bir dosttane musabikh@
@It's a long story@|@Bu uzun gep jumu@
@It's a pen@|@Bu khelem@
@It's a quarter past five@|@5tin bir qarek otti@
@It's against the law@|@Bu khanungha hilaplikh@
@It's almost disappointing@|@Buningdin bek puxayman boldum@
@It's an air-conditioner@|@Bu hava tengxiguq@
@It's bleeding@|@Khan ekhivatidu@
@it's broken@|@u buzukh@
@It's December@|@Dekabir@
@It's fantastic@|@U yer bek esil iken@
@It's going too far@|@Tayini yokh gep@
@It's half past nine@|@Tokh'uz yerim boldi@
@It's her field@|@Bu uning kespi, U bu ixkha usta.@
@It's just around the corner@|@Avu bolungdiki xu.@
@It's just what I wanted@|@Nekh mening diginimdin qikhti@
@It's Kate's@|@U Katening@
@it's mine@|@u mening@
@It's Monday today@|@Bugun Doxembe@
@It's no use complaining@|@Kotuldighanning nime paydisi@
@It's none of your business@|@Sening nime qattikhing@
@It's none of your business!@|@Sizning qattikhingiz bolmisun!@
@It's not four o'clock@|@Saat tort bolmidi@
@It's not my fault@|@Mening hatalighim emes@
@It's one o'clock sharp@|@Saat bir boldi@
@It's only a suggestion@|@Bu pekhet bir telep@
@It's really a bargain@|@Bu erzen tohtidi@
@It's really wonderful!@|@Bu hekhikheten bek isil boldi@
@It's Room 201 on the 2nd floor@|@Ikkinqi khevettiki 201-oy@
@It's still undecided@|@Tehi belgilimidim@
@It's Sunday today@|@Bugun yekxembe@
@It's ten minutes to four@|@Totke on minut khaldi@
@It's the 23rd of January@|@Yanvarning yigrime-üqi@
@It's the year of 2008@|@Bu yil 2008@
@It's time for class@|@Ders vahti bolup khaldi@
@It's time you went to bed@|@Uhlaydighan vahting boldi@
@It's too expensive for me@|@Bu manga bek khimmet keldi@
@It's two o'clock@|@Saat ikki boldi@
@It's unfair@|@Na-hekhlik boldi@
@It's up to you@|@Sanga baghlikh, Siz belguleng, Sizge baghlikh, Sizge baghlikh@
@It's very annoying@|@Bu ix beximni bek aghritti@
@It's very satisfactory@|@Bu kixilerni razi khilidu@
@I've a large collection of CDs@|@Mende birmunqe CDler bar@
@I've changed my mind@|@Baxkhiqe khilidighan boldum@
@I've got a pain in my back@|@Dumbem aghrivatidu@
@I've got to go now@|@Men mangmisam bolmaydu@
@I've heard a lot about you@|@Sizni burunla anglighan idim@
@Jack is up and about now@|@Jack davalinip sakhiyiptu@
@January@|@Yanvar@
@jaw@|@jangaq@
@jealous@|@kün-chi@
@Jean is a blue-eyed girl@|@Jean bir kok-kozluk khiz@
@ješil@|@green@
@John has his own family now@|@John oz oyige erixti@
@joint@|@boham@
@jujube@|@žigdä@
@July@|@Iyul@
@June@|@Iyun@
@Just a Little@|@aziraq@
@Just a moment@|@Selle turup turung@
@Just around the coner@|@Nekh exu bulunda@
@Just call me Tom@|@Meni Tom disingiz boliveridu@
@Just for entertainment@|@Pekhet tamaxa uqun.@
@Just look at what you've done!@|@Nime khilghiningni kordungmu!@
@Just my shirt and jeans@|@Men jin bilen konglek kiyimen@
@Just read it for me@|@Manga okhupla beringe@
@Just wait and see!@|@Kheni aldirimay korimiz@
@Just wait for a minute@|@Birdem sahlap turung@
@Just wonderful!@|@Bek esil boldi@
@Kate is smarter than I@|@Kate mendin otkur@
@Kazakh's song@|@öleng@
@Keep in touch@|@Alakhilixip turayli@
@Keep in Touch@|@Alekhelixip turayli@
@Keep it up!@|@Qidap tur!@
@Keep your temper under control@|@Aqqikhingizni tutiveling@
@kerchief@|@jahliq@
@kettle@|@qumhan@
@key@|@achquch, aqkhuq@
@kidney@|@börek@
@kidney(s)@|@böräk@
@king@|@padishah@
@kitchen@|@ashxana@
@knee@|@tiz@
@knife@|@pichaq@
@Knock it off@|@Khoye bundakh khilikhingni@
@knot@|@chigik@
@Knowledge is power@|@Bilim kuq@
@knucklebone@|@saqa@
@kumys@|@ajran@
@ladle@|@qemich@
@lake@|@köl@
@lamb@|@paqlan, qoza@
@land@|@jär@
@language@|@til@
@large@|@irik, jirik@
@large bovine@|@sigir, sijir@
@last@|@aldi-soni@
@last month@|@otkenki ay@
@last year@|@baldi, baldir, bultu, bultur, otkenki yil@
@late@|@keq@
@layer@|@qat@
@lazy@|@qaššaq@
@leaf@|@jopurmaq@
@leather@|@kön@
@Leave me alone@|@Mange@
@leech@|@zülük@
@left@|@sol@
@leg@|@paqakh, put@
@lemon@|@limon@
@length@|@uzunlukh@
@lentil@|@jesimuq@
@Leopard@|@yilpiz@
@Let bygones be bygones@|@Otkenler otup ketsun@
@Let go!@|@Khoyvet!@
@Let me congratulate you@|@Seni tebrikleymen@
@Let me introduce myself@|@Ozemni bir tonuxturup otey@
@Let me see@|@Kheni oylap korey@
@Let's change the subject@|@Baxkha parangni baxlayli@
@Let's divide the cake into 3@|@Piranikni uqke boleyli@
@Let's meet somewhere@|@Bir yerde koruxeyli, Bir yerde koruxeyli@
@Let's not waste our time@|@Vahtimizni isirap khilmayli@
@Let's see what else is on@|@Baxkha khandakh nomurlar bardu@
@letter (alphabet)@|@herp@
@letter (mail)@|@xet@
@level@|@tekiz, tüz-@
@library@|@kitabhana@
@lie@|@jalhan@
@life@|@hayat@
@light@|@jengil, jenik, joruq, joruq, oqukh, yenik@
@like@|@söj-@
@like flying@|@uqkhandek@
@Lily is a Sophomore now@|@Lily ikkinqi yillikh okhughuqi@
@line@|@qur@
@lion@|@arsilan, arslan, shir, xir@
@lip@|@kalpuk@
@little@|@kichik@
@liver@|@behir, jiger@
@lizard@|@keslenquk, keslenqük, kiler@
@load@|@jük@
@lonely@|@jalhuz@
@long@|@uzun@
@Look at the mess you've made!@|@Ma khalaymikhanqilikhni khara!@
@Look at this mess!@|@Ma khalaymikhanqilikh khara!@
@Looking back on it@|@Khaytidin kharighanda@
@looking for a house@|@oy izdex@
@Looks like snow@|@Khar yaghidighan ohxaydu@
@louse@|@pit@
@Love me@|@Meni yahxi korseng@
@love my dog@|@hemme nersemni yahxi korisen@
@low@|@pes@
@lower part@|@täg@
@lung@|@öpke@
@madam@|@hanim@
@magpie@|@seghizhan, sehizhan@
@majority@|@köpcilik@
@Make up your mind@|@Bir yerge kelinge@
@Make yourself at home@|@Uzingizning oyidek bolung@
@making a phonecall@|@telefon berix@
@Making Plans@|@Plan Tuzux@
@mallet@|@toqun-@
@man@|@Adem, er@
@mange@|@qotu, qotur@
@mankind@|@ejen@
@many@|@köp@
@March@|@Mart@
@marmot@|@davghan@
@Marriage proposal@|@Oylinix teklibi, Toy khilix teklibi@
@marrow@|@jilik@
@marsh@|@patqaq@
@marten@|@söser@
@Mary is in her freshman year@|@Mary birinqi yillikh okhuxida@
@mattock@|@kätmän@
@mattress@|@chüšäk, tüšäk@
@May@|@May@
@May I ask you a favor?@|@Sizni avare khilidighan boldum@
@May I come in?@|@Kirsem bolamdu?@
@May I take a message for him?@|@Soz khaldurup khoyamsiz?@
@May I try it on?@|@Sinapbakhsam bolamdu?@
@Me too@|@Menmu.@
@meadow@|@chimän@
@meal@|@aš@
@meat@|@ät, gösh@
@melon@|@khoghun@
@memory@|@äs@
@method@|@josun@
@midday@|@qüxlük@
@middle@|@orta, ottura@
@mild@|@jumšaq@
@milk@|@süt@
@millet@|@qonaq, teriq@
@million@|@milyon@
@Mind your own business!@|@Ozengning ixini khile!@
@Mine is blue@|@Mening kok idi@
@mink@|@su bulghuni@
@minute@|@minut, ušaq, uššaq@
@mirror@|@eynek@
@miserly@|@sarang@
@mist@|@chang@
@mistake@|@jengil-@
@mobile@|@köqme@
@moist@|@höl@
@Monday@|@Döxembe@
@money@|@pul@
@Money is not everything@|@Pul uqunla emes@
@monkey@|@maymun@
@month@|@aj@
@Month@|@Ay@
@Months@|@Aylar@
@mood@|@köngül@
@morning@|@etken@
@mother@|@ana, apa@
@Mother doesn't make up@|@Apam ozini yasimaydu@
@mother-in-law@|@kheyin ana, qeyinana@
@mountain@|@tagh, tah@
@mountain slope@|@töš@
@mouse@|@chashqan, qaxkhan@
@moustache@|@burut@
@mouth@|@aghiz, éghiz, ehiz@
@move down@|@tüš-@
@Move out of my way!@|@Nere turunglar!, pox!@
@movement@|@qimil@
@Much better@|@Helila yahxi bolup khaldim@
@mushrooms@|@montar@
@music@|@muzika@
@my angel (used for girls)@|@perixtem@
@my beautiful (used for girls)@|@güzelim@
@My brother is see king a job@|@Inim hizmet izdevatidu@
@my child@|@balam@
@my darling@|@süyginim@
@My efforts resulted in nothi@|@Japa tartkhinim bekargha ketti@
@my eye@|@közüm@
@My family name is Ayneswonth@|@Mening familem Ayneswonth@
@My father is over 60 years old@|@Dadamning yexi atmixtin axti@
@My fever is gone@|@Mening khizzikhim yenip ketti@
@my flower (used for girls)@|@qiqigim@
@My god!@|@Apla!@
@my hand@|@kholum@
@my honey@|@belim, hesilim@
@my life@|@hayatim, jenim@
@my love@|@axighim@
@my name@|@ismim@
@My name is Jack@|@Men Jack bolimen@
@My name is Thomas@|@Mening ismim Thomas@
@My Name Is….@|@ismim........@
@My native language is Uighur@|@Mening ana tilim Uyghurqe@
@my only one@|@bir danem@
@my rose (used for girls)@|@gülüm@
@my sweety (used for girls)@|@tatlighim@
@My treat@|@Men mihman khilay@
@My watch says two o'clock@|@Mening saatim ikki boldi@
@nail@|@qadaq, tirnakh@
@naked@|@jalang@
@name@|@at@
@name of a plant@|@irhaj@
@narrow@|@tar@
@nature@|@tebiet@
@navel@|@kindik@
@near@|@jeqin, yekhin@
@nearly 1000@|@minggha yëkhin@
@necessity@|@keräk@
@neck@|@bojun, boyun@
@needle@|@ignä, jignä, jingnä, yingne@
@neighbour@|@qoshna, qošna, xošna@
@Neither@|@Hiqkhaysini@
@Neither of the men spoke@|@Her ikkisi gep khilmidi@
@nephew@|@jiyen@
@nest@|@uga, uwa@
@net for catching birds@|@tor@
@Never mind@|@Boldi khile, Heqkhisi yokh@
@new@|@jengi, kona-yengi, yéngi@
@new-born@|@kö(r)pe, köpe@
@new-born animals@|@töl@
@next month@|@keyinki ay@
@next week@|@keler hepte@
@next year@|@keyinki yil@
@Nice to meet you@|@Tonuxkhinimiz yahxi boldi@
@Nice To Meet You!@|@Korushkanlikim ga hushalman !@
@Nice to see you again@|@Siz bilen yene koruxtum@
@niece@|@jiyen@
@night@|@keq, tün@
@nine@|@tokh'khuz@
@ninety@|@tokhsen@
@nit@|@sikä, sirkä@
@no@|@Yakh@
@No one knows@|@Hiqkim bilmeydu@
@No problem!@|@Qatakh yokh!@
@No problem; How much?@|@Qatakh yokh; Khanqe alisiz?@
@No spitting on the street@|@Koqida tukurux meni khilinidu@
@No way!@|@Bolmaydu!@
@No; I'm not@|@Yakh; men emes@
@No; it isn't@|@Yakh; u mening emes@
@nomadizing@|@köch@
@None of your business!@|@Sening nime qattikhing, Siz bilen munasivetsiz@
@Nonsense!@|@Tayini yokh gepler!@
@noodles@|@chöp@
@noon@|@chüš, qüx@
@Northern slope@|@quz@
@nose@|@burun@
@not@|@-ma-@
@Not a sound was heard@|@Hiqkhandakh avaz qikhmidi@
@Not at all@|@Elbette bolidu, Hiqkhisi yokh@
@Not bad@|@Yaman emes@
@Not too bad@|@Yaman emes ketip barimen@
@Not yet@|@Tehi putmidi@
@Nothing Much@|@Eich ish@
@November@|@Noyabir@
@now@|@ämdi@
@Now he lives alone@|@Hazir u yalghuz turvatidu@
@number@|@san@
@oar@|@qejiq@
@oath@|@ant@
@oats@|@sulu@
@oblique@|@qingi, qingir@
@October@|@Oktebir@
@octopus@|@ahtapot@
@of autumn@|@küzgi@
@Of course!@|@Elbette!@
@of summer@|@yazghi@
@oh; my child!@|@ataj-ym@
@Oh; you are kidding me@|@Voy; qahqakh khilmighina@
@oil@|@yagh@
@ok@|@Bolidu@
@old@|@eski-yengi, kheri, kona, qeri@
@olive@|@zeytun@
@omen@|@irim@
@on Monday@|@Döxembe küni@
@On the desk@|@Ustel ustide turidu@
@on winter days@|@khix künliri@
@one@|@bir@
@One Moment Please!@|@birdam saQlap turung@
@one thousand@|@bir ming@
@one-humped camel@|@nar@
@onion@|@piyaz, sohan@
@Only three days@|@Pekhet uq kunlam@
@open@|@oqukh, oqukh@
@or@|@yaki@
@orange@|@khizghuq serikh@
@orderly@|@tertiplik@
@ostrich@|@töge khux@
@other@|@özgä@
@otter@|@qama@
@our child@|@balimiz@
@our fathers@|@atilirimiz@
@our horse@|@atimiz@
@our name@|@ismimiz@
@outer side@|@taš@
@outside (attribute)@|@taxqi@
@Over there@|@Avu yerde turidu@
@overthrow@|@jiq-@
@owl@|@baykhux, müshük yapilaq@
@ox@|@arghun, bukha, höküz, inek, kala, öküz@
@page@|@bet@
@pain@|@aghriq@
@pair@|@qoš@
@pan@|@tänglä, tängnä@
@paper@|@qeghez@
@part@|@bölek@
@pass through@|@öt-@
@patriotic@|@vetenperver@
@pea@|@pochaq@
@peace@|@tinchliq@
@peach@|@shaptul, xaptul@
@peacock@|@toz@
@pear@|@amut, nexpüt@
@peel@|@soj-@
@peel off@|@ajt-@
@peg@|@qozuq@
@pegion@|@kepte@
@penguin@|@penguen@
@penis@|@chüä@
@people@|@kiši, xelq@
@People are always changing@|@Adem digen ozgurup turidu?@
@pepper@|@qarimuch@
@person@|@kishi@
@person from Kashgar@|@khexkherlik@
@person of same trade@|@kesipdax@
@petroleum@|@néfit@
@phoenix@|@sumrugh@
@Piety and sincerity@|@Rastqil ve semimiy@
@pig@|@choshqa, chošqa, tonghuz, tungguz@
@pigeon@|@kepter@
@pile up@|@qala-@
@pillow@|@jastuq@
@pineapple@|@ananas@
@pink@|@hal reng@
@place@|@orin@
@place of staying@|@orda@
@plane@|@jonu-@
@planet@|@seyyare@
@play@|@ojan, ojun@
@please@|@Merhemet@
@Please check the date@|@Kunni bir inikhlang@
@Please give me a hand@|@Manga yardem bersingiz@
@please give me some@|@manga azrakh bering@
@Please give me your advice@|@Pikiringizni manga deng@
@Please let me check the bill@|@Hisavatni bir korup qikhay@
@Please let me see them@|@Men bir korup bakhayqu@
@Please tune in next time@|@Keler khitimda angling@
@plough@|@amach, sapan@
@plug@|@pok@
@plum@|@eynula, kharaürük@
@pock-marked@|@chipa, chipar@
@poison@|@ahi, oha, zeher@
@poker@|@kösej@
@pomegranate@|@anar@
@poplar@|@deräk, tohraq@
@porridge@|@botqa, ögrä, ügrä@
@potato@|@yangyu@
@power@|@küch@
@prayer@|@dua@
@precious stone@|@qaš@
@pregnant of animals@|@bohaz@
@press in@|@tiq-@
@profit@|@assy@
@prophet@|@peyghember@
@protect@|@qoru-@
@pull out@|@suhu-, suhur-@
@purple@|@sösün@
@pursue@|@qohla-@
@pus@|@žiring@
@question@|@soal@
@quick@|@pat, tez@
@quiet@|@javaš, jugaš, juvaš@
@quite good@|@yahxirakh@
@rabbit@|@toxkhan@
@rafter@|@sal@
