@English@|@Ojibwe@
@bag: be stuffed inside a ~@|@ashkimoonaanigozibane (vai)(SW)@
@bag: bear cub skin ~@|@makoonsiwayaan+ag@
@bag: bearpaw ~@|@makwaninj-wayaan+ag@
@bag: black squirrel skin ~@|@makade-ajidamoowayaan+ag@
@bag: bullsnake skin ~@|@manidoowayaan+ag@
@bag: burlap ~@|@mandaaminiwazh+an@
@bag: cedar bark ~@|@giishkashkimod+an, giizhikashkimod+an@
@bag: cloth ~@|@babagiwayaaneshkimod+an, babagiwayaaneskimod+an (NW), babagiwayaani-mashkimod+an, bagiwayaaneshkimod+an@
@bag: eagle-head ~@|@migiziwishtigwaanwayaan+ag@
@bag: eight ~fuls@|@ishwaasooshkin (pc), ishwaasowan (pc), nishwaasooshkin (pc), nishwaasowan (pc)@
@bag: eight ~s@|@ishwaasooshkin (pc), ishwaasowan (pc), nishwaasooshkin (pc), nishwaasowan (pc)@
@bag: five ~fuls@|@naanooshkin (pc), naanowan (pc)@
@bag: five ~s@|@naanooshkin (pc), naanowan (pc)@
@bag: four ~fuls@|@niiyooshkin (pc), niiyowan (pc), niiwooshkin (pc), niiwowan (pc)@
@bag: four ~s@|@niiyooshkin (pc), niiyowan (pc), niiwooshkin (pc), niiwowan (pc)@
@bag: garbage ~@|@gaaskiiginiganiwazh+an (NO/NW), gaaskiiginiwazh+an@
@bag: garbage/trash ~@|@webinigewazh+an (NW), webinigewiniigin+oon (NW)@
@bag: goshawk ~@|@gekekwayaan+ag@
@bag: great horned owl ~@|@wenda-gookooko'oowayaan+ag (SW)@
@bag: grey screech owl skin ~@|@wewenjiganoowayaan+ag@
@bag: grey squirrel skin ~@|@waabajidamoowayaan+ag@
@bag: half a ~@|@aabitooshkin (pc), aabitowan (pc)@
@bag: half a ~ful@|@aabitooshkin (pc), aabitowan (pc)@
@bag: hand~@|@mashkimod+an@
@bag: have a ~@|@omashkimodaa (vai)@
@bag: have a medicine ~@|@ogashkibidaagani (vai+o)@
@bag: have SO/ST as a medicine ~@|@ogashkibidaagani (vai+o)@
@bag: Indian ~@|@anishinaabe-mashkimod+an@
@bag: little ~@|@mashkimodens+an@
@bag: lynx-pelt ~@|@bizhiwayaan+ag, wenda-bizhiwayaan+ag (SW)@
@bag: make a ~@|@mashkimodaake (vai), mashkimodeke (vai)(AL)@
@bag: marten skin ~@|@waabizheshiwayaan+ag@
@bag: Mide medicine ~@|@midewayaan+ag@
@bag: Mide/medicine ~@|@biinjigwasan+an, biinjigosan+an@
@bag: mink-pelt ~@|@zhaangweshiwayaan+ag@
@bag: moss ~@|@waabijiipizon+an@
@bag: nine ~fuls@|@zhaangasooshkin (pc), zhaangasowan (pc)@
@bag: nine ~s@|@zhaangasooshkin (pc), zhaangasowan (pc)@
@bag: one ~@|@ingodooshkin (pc), ingodowan (pc), ningodooshkin (pc), ningodowan (pc)@
@bag: one ~ful@|@ingodooshkin (pc), ingodowan (pc), ningodooshkin (pc), ningodowan (pc)@
@bag: otter skin ~@|@nigigwayaan+ag@
@bag: owl skin ~@|@gookooko'oowayaan+ag@
@bag: paper ~@|@mazina'igani-mashkimodens+an@
@bag: pipe/tobacco ~@|@gashkibidaagan+ag, gashkibidaagan+an@
@bag: plastic ~@|@gaaskiiginiwazh+an, zhaabwaate'iigini-mashkimodens+an (NW)@
@bag: put in a ~@|@biindaaganiwe (vai)@
@bag: put SO/ST in a ~@|@biindaaganiwe (vai+o)@
@bag: rattlesnake-skin ~@|@zhiishiigwewayaan+ag@
@bag: religious ~@|@anami'e-mashkimodens+an@
@bag: rice ~@|@manoomini-mashkimod+an, manoominiwazh+an@
@bag: screech owl ~@|@gaakaabishiinh-wayaan+ag@
@bag: seven ~fuls@|@niizhwaasooshkin (pc), niizhwaasowan (pc), niinzhwaasooshkin (pc)(NW)@
@bag: seven ~s@|@niizhwaasooshkin (pc), niizhwaasowan (pc), niinzhwaasooshkin (pc)(NW)@
@bag: sew TH into ~-shape@|@mashkimodegwaade (vii)@
@bag: six ~fuls@|@ingodwaasooshkin (pc), ingodwaasowan (pc), ningodwaasooshkin (pc), ningodwaasowan (pc)@
@bag: six ~s@|@ingodwaasooshkin (pc), ingodwaasowan (pc), ningodwaasooshkin (pc), ningodwaasowan (pc)@
@bag: skin ~@|@gashkibidaagan+an@
@bag: snowy owl skin ~@|@waabi-gookooko'oowayaan+ag@
@bag: so many ~fuls@|@dasooshkin (pc), dasowan (pc)@
@bag: so many ~s@|@dasooshkin (pc), dasowan (pc)@
@bag: tea ~@|@diiwazh+an (NW), diiwazhens+an (NW)@
@bag: ten ~fuls@|@midaasooshkin (pc), midaasowan (pc)@
@bag: ten ~s@|@midaasooshkin (pc), midaasowan (pc)@
@bag: three ~fuls@|@nisooshkin (pc), nisowan (pc)@
@bag: three ~s@|@nisooshkin (pc), nisowan (pc)@
@bag: tote ~@|@mashkimod+an@
@bag: traditional medicine ~@|@biindakinaan+an (NW/WO)@
@bag: two ~fuls@|@niizhooshkin (pc), niizhowan (pc), niizhowewag (pc)(NW/WO), niinzhooshkin (pc)(NW)@
@bag: two ~s@|@niizhooshkin (pc), niizhomashkimod (pc), niizhowan (pc), niizhowewag (pc)(NW/WO), niinzhooshkin (pc)(NW)@
@bag: weasel-pelt ~@|@zhingosiwayaan+ag@
@bag: white otter skin ~@|@waabakigwayaan+ag@
@bag: wolf skin ~@|@ma'iinganiwayaan+ag, ma'iingan-wayaan+ag@
@bag: wolverine ~@|@ogwiingwa'aagewayaan+ag@
@bag: woodpecker ~@|@memewayaan+ag@
@bagese game@|@bagese+wag, bagesewinaagan+an, bagesewin+an@
@bagese: play ~ game@|@bagese (vai), bagese+wag (vaip)@
@bagesewin dice cup@|@onaagan+an@
@bagesewin piece@|@bagesaan+ag@
@bagesewin piece: brass ~@|@ozaawaabik+oon@
@bagesewin piece: duck-shaped ~@|@zhiishiib+ag@
@bagesewin piece: fish-shaped ~@|@giigoonh (n3)@
@bagesewin piece: men-shaped ~@|@inini+wag@
@bagesewin piece: snake-shaped ~@|@gichi-ginebig+oog@
@bagesewin piece: war-club-shaped ~@|@bagamaagan+an@
@bagful: be a ~@|@ingodooshkine (vii), ningodooshkine (vii)@
@baggage@|@agasiiman+an (AL)@
@baggage: pack OS ~@|@agasiimanike (vai)@
@baggy pants: wear ~@|@banangodaase (vai)(NW/WO)@
@baggy: be ~@|@bizhishigwegan (vii)(NW), bizhishigwegizi (vai)(NW)@
@Bagley (MN)@|@Mashkimodaashing, Mashkimodaang@
@bag-making@|@mashkimodaakewin+an, mashkimodekewin+an (AL)@
@bahaviour: impure ~ (the behaviour)@|@bishigwaaj-izhiwebizin+an@
@bahaviour: impure ~ (the idea)@|@bishigwaaj-izhiwebiziwin+an@
@Baie de Wasai (MI)@|@Awaazisiig-wiikwed@
@bail [de-water]@|@iska'ibii (vai)@
@bail out a canoe/boat@|@gwaakwaabige (vai)@
@bail SO out@|@diba' (vta)@
@bail ST@|@iska'an (vti)@
@bail: any vessel used to ~ water out of a canoe/boat@|@gwaakwaabigan+an@
@bailer: hay ~@|@dakobijigan+an@
@bailer: water ~@|@iska'ibaan+an@
@bait@|@agokeyaw+ag (NE), ashamoojigan+an, gokeyaw+an, miijimikanjigan+an, ogoke (vai)(NW), ogokeyaw+ag, ogokeyaw+an@
@bait ST@|@miijimikandan (vti)@
@bait TH@|@miijimikanjige (vai)@
@bait: put ~ on ST@|@miijimikadoon (vti2)@
@bait: put a ~ in ST@|@miijimikandan (vti)@
@bait: take ~ for SO@|@gondamaw (vta)(NE/SE)@
@bait: trap ~@|@ogokewin+an (NW)@
@bait: use ~@|@agokeyawi (vai)(NE), gokeyawi (vai), ogokeyawi (vai)@
@bake@|@bidikwa'ige (vai), biindaabika'ige (vai)(NW/WO)@
@bake bannock@|@bakwezhiganike (vai)@
@bake bread@|@bakwezhiganike (vai)@
@bake cake@|@bakwezhiganike (vai)@
@bake dry SO@|@iskaabikizaw (vta)@
@bake dry ST@|@iskaabikizan (vti)@
@bake SO@|@giboz (vta), zhegwaabikin (vta)(NW)@
@bake SO/ST under hot ashes@|@ningwa'abwe (vai+o)@
@bake ST@|@gibozan (vti), giizizan (vti)@
@bake ST under hot ashes@|@ningwa'abwe (vai), ningwa'abowe (vai)(NW)@
@bake TH@|@bakwezhiganike (vai), gibozige (vai)@
@bake: finish ~ing@|@giizizo (vai)@
@bake: finish ~ing SO@|@giiziz (vta)@
@Bakekana Lake (MN)@|@Bakekana@
@Bakekana Lake (MN)[Lake]@|@Bakekana-zaaga'igan@
@baker@|@bakwezhiganikewinini+wag@
@baker (f)@|@bakwezhiganikewikwe+g@
@Baker Brook (NB/QC)@|@Miiniwewitigoog-ziibiwishenh@
@bakery@|@bakwezhiganikewigamig+oon, bakwezhiganikwewigamig+oon@
@baking@|@bakwezhiganikewin+an@
@baking powder@|@ombikashigan (n0)(WO), ombisijigan+an (NW/WO), ombisijigaans+an, ombizigan+an@
@baking soda@|@ombisijigan+an, ombizigan+an@
@balance@|@agoode (vii), agoozo (vai)@
@balance [scale]@|@dibaabaajigan+an, dibaabiishkoojigan+an@
@balance counter-weight@|@gozigoshkoojigan+an, gozigoskoojigan+an (CS)@
@balcony@|@desagoode+n@
@bald -@|@bapashko- (pv4)@
@bald eagle@|@bapashko-giniw+ag (PO), migisi+wag (NW), migizi+wag, migiziwaazh+ag (PO/SE)@
@Bald Eagle Clan@|@Migizi (nom)@
@Bald Eagle Creek (MN)[Lake]@|@Mishi-wiishiwi-ziibiwishenh@
@Bald Eagle Lake (MN)[Anoka/Washington/Ramsey]@|@Migiziwi-zaaga'igan@
@Bald Eagle Lake (MN)[Lake])@|@Mishi-wiishiwi-zaaga'igan@
@bald man@|@bapashko-inini+wag@
@bald mouth: have a ~@|@bashkodoon (vai)@
@bald: be ~@|@bapashkwaakondibe (vai), bapashkobiigindibe (vai), bapashkojiindibe (vai)(SE), bapashkondibe (vai)(NE), bashkondibe (vai)(NE), bikwaakondibe (vai)(NW), waabizhagindibe (vai)@
@bald: be ~-headed@|@bapashkwaakondibe (vai)@
@bald: be half ~@|@zhishiga'aanikwe (vai)@
@bald: go ~@|@bashkwaanikweshkaa (vai), binaandibe (vai), binaandibeshkaa (vai)@
@bald: going ~@|@binaanikwe (vai)@
@bald: have a ~ head@|@bashkoshtigwaane (vai), bikwaakondibe (vai)(NW)@
@baldness@|@bapashkwaakondibewin+an, bashkoshtigwaanewin+an, bikwaakondibewin+an (NW)@
@ball@|@bikwaakwad+oon, bikwaakod+oon (SE), gwaashkwaanondowaan+an (NW/WO)@
@Ball@|@Bikwaakod (nom)@
@ball [dancing]@|@niimi'idiwin+an@
@Ball Club (MN)[Itasca]@|@Baaga'adowaaning@
@Ball Club Lake (MN)[Itasca]@|@baaga'adowaan-zaaga'igan@
@Ball Club Lake: Little ~ (MN)[Itasca]@|@baaga'adowaan-zaaga'igaans@
@Ball Club River (MN)[Itasca]@|@baaga'adowaan-ziibi@
@ball game@|@bikwaakwadokewin+an@
@ball of twine or yarn@|@bikoojaan+oon@
@ball: basket ~@|@gichi-bikwaakwad+oon (NW)@
@ball: give a ~ [dance]@|@niimi'iwe (vai)@
@ball: make SO into a ~@|@bikwaakodon (vta)(NW/WO)@
@ball: make ST into a ~@|@bikwaakodonan (vti)(NW/WO)@
@ball: play ~@|@bikwaakwadoke (vai)@
@ball: pool ~@|@nemaab+iin@
@ball: shinny ~@|@babasikawen+ag@
@ball: wind ST into a ~@|@bikoojaano'adoon (vti2)@
@ballast@|@ziindoogawishkoojigan+an@
@ballast SO@|@ziindoogawishkoozh (vta)@
@ballast ST@|@ziindoogawishkoodoon (vti2)@
@ballast: be ~ed@|@ziindoogawishkoode (vii), ziindoogawishkoozo (vai)@
@ball-headed war club@|@bikwaakwado-bagamaagan+an@
@balloon@|@ombaasijigan+an@
@balloon payment@|@gejishki-diba'igewin+an (NW)@
@Balloon Payment@|@miziwe diba'igewin (NO)@
@ballroom@|@niimi'idiiwigamig+oon@
@balm of gilead@|@maanazaadi+wag@
@balsam@|@noominigan+an@
@Balsam@|@Zhingobiinh (nom)@
@balsam branch@|@zhingobaandag+oon@
@balsam fir@|@aninaandag+oog, baapaashkwaatig+oog (NE), bigiwaatig+oog, bigiwaandag+oog, inaandag+oog (CS), zhingwab+iig (SW), zhingob bigiw+ag, zhingob bigiwaandag+oog, zhingobaandag+oog (NW), zhingob+iig, nabagaandag+oog (WO)@
@balsam fir bough@|@zhingobiiwaandag+oog@
@balsam fir leaf@|@zhingob aniibiish+an@
@balsam fir: red ~@|@eninaandag+wag (NE/CS), ininaandag+wag, ininaandag+oog@
@Balsam Lake (WI)[lake]@|@Eninaandagokaan-zaaga'igan, Inaandagokaag-zaaga'igan@
@Balsam Lake (WI)[village]@|@Eninaandagokaag, Inaandagokaag@
@Balsam Lake (WI)[Washburn]@|@Gaawaandagookaag-zaaga'igan@
@balsam poplar@|@maanazaadii+g (AL/NO/NW), maanazaadi+wag, maanazaad+oog (NE)@
@balsam poplar: little ~@|@maanazaadiins+ag@
@balsam willow@|@oziisigobimizh+iin@
@balsam: ground ~@|@moozaandag+oog (NW)@
@Baltamore oriole@|@wadoopi-bineshiinh+yag@
@banana@|@eshkanimin+ag (NW), e-waagijiiyaag+in (SE), waagijiim+an (WO), wewaagijiizid+jig@
@banana (NE)[rare]@|@wewaagaag+an@
@band@|@wekwiinod+jig@
@band -@|@oko- (pv4)@
@band councillor@|@giigidoowinini+wag, gikinawaadizii+g (NW/WO), gikinawaadiziikaan+ag (NW)@
@band councillor (f)@|@giigidoowininiikwe+g@
@band office@|@giigidoowigamig+oon, ozhibii'igewigamig+oon (NW/WO)@
@band OS head@|@basikwebizo (vai)@
@band together in a group@|@okwiino+wag (vaip)@
@band: along the river ~@|@naanewi-ziibi (pc), naanewi-ziibiing (loc)@
@Band: Beaver ~@|@amikwaa (nom)@
@band: cradle board carrying ~@|@apikan+an@
@band: elastic ~@|@zhiibiigiyaab+iin, ziibisewiyaab+iin@
@band: wedding ~/ring@|@wiidigendiwini-ditibininjiibizon+an@
@bandage@|@apakwaaniigin+oon (NW), agwapizo (vai), agwapizon+an, agopizo (vai), agobizon+an, agobizoniigin+oon (NW), agobizoniiginoons+an (NW), agopizowin+an, ziindooninjiipizon+an (NO/NW)@
@bandage [for a wound]@|@ziinzoobizon+an, ziinzoobizowin+an@
@bandage a wound@|@ziinzoobizo (vai)@
@bandage OS’s head@|@ziinzookwebizo (vai)@
@bandage SO’s head@|@ziinzookwebizh (vta)@
@bandage SO’s wound@|@ziinzoobizh (vta)@
@bandaging@|@agwapizowin+an@
@bandaid@|@bazagwegin+oon@
@bandit@|@gimoodishkiiwinini+wag, gimoojishkiiwinini+wag (NW)@
@bandolier bag@|@aazhooningwa'igan+ag (CS), gashkibidaagan+ag (CS)@
@baneberry@|@ginebigomin+an (WO), waashkobijiibikak+ag, ojiibikens+ag@
@baneberry: red ~@|@Manidoominaatig+oog, manidoomin+an, wiishkobijiibik+ag@
@baneberry: white ~@|@waabikaadaak+oon, waabokaadaak+oon, wiikizigan+an@
@bang@|@madwewe (vii)@
@bank [financial institution]@|@zhooniyaawigamig+oon (NW)@
@bank swallow@|@memisaadakoningwiigaans+ag (SE)@
@bank wall: be a ~@|@opimaawangaa (vii), opimedaawangaa (vii)@
@bank: be a sand ~@|@oshedaawangaa (vii)@
@bank: be a steep ~@|@giishkadinaa (vii)@
@bank: opposite ~ of a body of water@|@aazhawayi'ii (pc)@
@bank: river ~@|@didibew (n0)(SE), didibew (n0)(SE)(loc)@
@bank: road is ~ed@|@opimezhimon (vii)@
@bank: there are high/steep ~s@|@giishkakamigaa (vii)@
@bank: throw SO down the ~@|@naanzhibiiwebizh (vta)@
@bank: throw SO on the ~@|@naanzhibiiwebizh (vta)@
@bank: throw ST down the ~@|@naanzhibiiwebinan (vti)@
@bank: throw ST on the ~@|@naanzhibiiwebinan (vti)@
@banner@|@gakiiwe'on+an (NW/WO), gikinawaaji'on+an, gikinawaaji'owin+an, gikiwe'on+an@
@banner: church ~@|@anami'e-gikinawaaji'on+an@
@bannock@|@aanakonaa+g, bakwaazhiganikaan+ag, bakwezhigan+ag (NW), bakwezhiganikaan+ag (NW), ba"wezhigan+ag (WO), maamaagonigan+ag (NW/WO), ombizigan+ag (NW/WO)@
@Bannock [tribe]@|@Banaani+wag@
@bannock: bake ~@|@bakwezhiganike (vai)@
@bannock: take ~ along@|@niimibakwezhigane (vai)@
@Baptisia leucantha@|@dekaako-ino-giizhigak+in@
@baptism@|@ziigindaasowin+an (NE)@
@baptism: give a private ~@|@gikiweyaabaawajige (vai)@
@baptism: give a private ~ to SO@|@gikiweyaabaawazh (vta)@
@baptism: given ~ [pouring]@|@ziiga'andaagewin+an@
@baptism: lay ~@|@gikiweyaabaawajigewin+an@
@baptism: private ~@|@gikiweyaabaawajigewin+an@
@baptism: private ~ [pouring]@|@ziiga'andaadiwin+an@
@baptism: receive private ~@|@gikiweyaabaawazo (vai)(CS)@
@baptism: received ~@|@ziiga'andaagowin+an, ziiga'andaazowin+an@
@baptist@|@oziiga'andaage+g, ziiga'andaagewinini+wag@
@baptize [by pouring water]@|@ziiga'andaage (vai)@
@baptize SO@|@ziiga'andaw (vta)@
@baptize: be ~d@|@ziiga'andaazo (vai), ziiga'andendam (vai2), ziiga'anjigaazo (vai)@
@baptize: SO who ~s@|@ziiga'andaagewinini+wag@
@baptizer@|@oziiga'andaage+g, ziiga'andaagewinini+wag@
@bar@|@minikwewigamig+oon@
@bar [tavern]@|@ziiginibiiwigamig+oon (AL/NE), ziiginigewigamig+oon@
@bar in a canoe/boat@|@biindasaa+g@
@bar ST@|@gibaakwa'an (vti)@
@bar ST [wooden]@|@gashkaakonan (vti)@
@bar: be a sand ~@|@minisaawangaa (vii), minisinaawangaa (vii)(NE)@
@bar: cross-~ of a boat/canoe@|@bimidasaa+g, bimidasaan+an (NE)@
@bar: door ~@|@gibaakwa'igan+an@
@bar: sand ~@|@zaagawaamik+oon@
@bar: toboggan side ~@|@okichiikaanaabik+oon (NW)@
@Barabbas@|@Baraabas (nom)@
@Barbara@|@Baabana (nom)@
@barber@|@gaashkibaazhiwewinini+wag, gaashkibaazowinini+wag, moozhwewininii+g, obashkoziwe+g (WO)@
@barber (f)@|@baapaagokozhiwewikwe+g, giishkikozhiwewikwe+g@
@barber (m)@|@baapaagokozhiwewinini+wag, giishkikozhiwewinini+wag@
@barber shop@|@baapaagokozhiwewigamig+oon, giishkikoziwigamig+oon (CS)@
@barber: be a ~@|@baapaagokozhiwewininiiwi (vai)@
@barber’s scissors@|@bashkwaanikwe-moozhwaagan+an@
@barber’s trade@|@gaashkibaazowin+an@
@barberry@|@aniibiimin+an@
@barbershop@|@moozhwewigamig+oon@
@barber-shop@|@gaashkibaazowigamig+oon@
@Bardon Lake (WI)@|@Gaa-adik-adikamegokaag-zaaga'igan@
@bare@|@mita (pc)¹, mitaak (pc), michi (pc)(NE/CN/NW/WO)@
@bare -@|@mit= (pv4), mita- (pv4), mitaak- (pf), mishwe- (pv4)@
@bare arm: have a ~@|@mitaakonike (vai)@
@bare back: carry on OS ~@|@michiwane (vai)@
@bare earth@|@mitakamig (pc)@
@bare ground@|@mitakamig (pc)@
@bare ground/earth@|@mizhishawaakamig (pc)@
@bare ground: be ~@|@bashkokamigaa (vii), mitakamigaa (vii), motakamigaa (vii)@
@bare ground: crawls on ~@|@michidaajimo (vai)(NO/NW/WO), mitoode (vai)@
@bare ground: drag on ~@|@michidaabii (vai)@
@bare ground: lie on ~@|@michishin (vai)(NW)@
@bare ground: on the ~@|@mitakamigaang (loc), mitaashkakamig (pc), michayi'ii (pc), michayi'iinh (pc)(NE)@
@bare ground: sit on  ~@|@mitabi (vai)@
@bare ground: to the ~@|@mitakamigaang (loc)@
@bare hill: be a ~@|@mishwedinaa (vii)@
@bare ice: be ~@|@michiskwaa (vii)(NW), michizigwaa (vii)(NW)@
@bare island@|@bashkwaaminis+an@
@bare leg: be ~ged@|@mishwegaade (vai)@
@bare little island@|@bashkwaaminisens+an@
@bare mud: be ~@|@bashkojiishkiwagaa (vii)@
@bare rock: be ~@|@bashkwaabikaa (vii)(NO/NW)@
@bare skin: show ~@|@mitaakonawe (vai)(NW/WO)@
@bare surface: on a ~@|@michayi'ii (pc), michayi'iinh (pc)(NE), miche'ii (pc)@
@bare tree@|@wiisaande'aakwaam (pc)(NW)@
@bare tree: be a ~@|@wiisaande'aakwaa (vii)(NW)@
@bare: [lake] freezes being ~ of snow@|@mitadin (vii)(NW)@
@bare: be ~@|@bashkwaa (vii), mishweyaa (vii), mishwezi (vai)@
@bare: be ~ [nude]@|@bingwashaagide (vai), bingwashaagidi (vai), bingwashaagido (vai)@
@bare: be ground ~ of cover@|@mitakamigaa (vii)@
@bare: have a ~ body@|@mitaakozhage (vai)@
@bare: make ice be ~@|@michiskwa'ige (vai)(NW)@
@bare: on the ~ floor/ground@|@michi (pc)(NE/CN/NW/WO)@
@bare: on the ~ surface@|@michi (pc)(NE/CN/NW/WO)@
@bare: the ice is ~ of snow@|@mochizigwaa (vii)@
@bare-arm: be ~ed@|@zhaashaagininike (vai)@
@barefoot: be ~@|@zhaashaaginizide (vai)@
@bare-hand: be ~ed@|@zhaashaaginininjii (vai)@
@barehead: be ~ed@|@mitaakondibe (vai)@
@bare-head: be ~ed@|@zhaashaaginindibe (vai)@
@bare-legged: be ~@|@zhaashaaginigaade (vai)@
@barely@|@agaachi (pc), agaachij (pc), agaawaa (pc), agawaaj (pc), anaawinz (pc)(AL), anaawis (pc), bizhishig (pc)(NW), gaawaanh (pc)(NE/SE), gejishk (pc), michi- (pv4)@
@barely able to speak@|@agaawaa bapowe (vai), bapowe (vai)(NW/WO)@
@barely escape death@|@bazhine (vai)@
@barely hanging on@|@zaasigaakwii (vai)(NW)@
@barely that@|@michi- (pv4)@
@barely: just ~@|@gejishk (pc)@
@bargain@|@nakomidiwin+an (NW), nakomidowin+an, nakondiwin+an@
@barge@|@nabagijiimaan+an@
@barge: wooden ~@|@mitigo-jiimaan+an@
@bark@|@migi (vai), migine (vai)@
@bark [from trees]@|@wanagek+wag@
@bark [of a dog]@|@migiwin+an@
@bark [of cedar]@|@wanagek+wag (NW)@
@bark at SO@|@magizh (vta)(NW/WO), migizh (vta)@
@bark at ST@|@magidan (vti)(NW/WO), migidan (vti), miginan (vti)@
@Bark Bay (WI)@|@Apakwaani-wiikwedong, Wiigwaas-wiikwedong@
@bark cut off a tree@|@waabiskaakoga'igan+an, waasaakoga'igan+an@
@bark dish: octogonal ~@|@gookooko'oomood+iin@
@bark lodge@|@wanagekogamig+oon@
@bark loudly@|@madwe-gichi-migi (vai)@
@Bark Point (WI)@|@Apakwaani-neyaashi, Apakwaani-neyaashiing (loc), Ne-wiigwaasikaang@
@Bark River (WI)@|@Apakwaanikaan-ziibiing@
@bark scroll@|@ditibinaagan+an@
@bark torch@|@biimashkwemaginigan+an@
@bark: bag made of inner elm-~@|@wanimod+an@
@bark: be black/dark ~ed@|@makadewanagekozi (vai)@
@bark: be bumpy ~ed@|@babigwanagekozi (vai)@
@bark: be firm ~/paper@|@zitawashkweyaa (vii)@
@bark: be inflexible ~/paper@|@zitawashkweyaa (vii)@
@bark: be red ~ed@|@miskwanagekozi (vai)@
@bark: be rigid ~/paper@|@zitawashkweyaa (vii)@
@bark: be solid ~/paper@|@zitawashkweyaa (vii)@
@bark: be stiff ~/paper@|@zitawashkweyaa (vii)@
@bark: be yellow/brown ~ed@|@ozaawanagekozi (vai)@
@bark: bite a design on birch ~@|@mazinashkwemaganjige (vai)(NW/WO), mazinibaganjige (vai)@
@bark: bite a pattern on birch ~@|@mazinashkwemaganjige (vai)(NW/WO), mazinibaganjige (vai)@
@bark: black spruce ~@|@zesegaandagwanagek+wag@
@bark: canoe ~@|@ininashkway+an (AL/NE/CN)@
@bark: dental pictograph on birch ~@|@mazinashkwemaganjigan+an (NW/WO), mazinibaganjigan+an@
@bark: design created by biting birch ~@|@mazinashkwemaganjigan+an (NW/WO), mazinibaganjigan+an@
@bark: edible sweet inner ~@|@oziban+an@
@bark: elm ~@|@aniibiiwanagek+wag@
@bark: fetch birch ~@|@naajiwiigwaase (vai)@
@bark: flexible birch ~@|@ziibiskaan+an@
@bark: good sheet of ~@|@ininashkway+an (AL/NE/CN)@
@bark: have a thick ~@|@gipagegad (vii)(NW/WO), gipagegizi (vai)(NW/WO)@
@bark: have red ~@|@miskonagegizi (vai)@
@bark: have thick ~@|@gipaginagegad (vii), gipaginagegizi (vii)@
@bark: hazelnut bush ~@|@bagaanimizhi-wanagek+wag@
@bark: hit SO’s ~@|@bakitega' (vta)(NW/WO)@
@bark: hit ST’s ~@|@bakitega'an (vti)(NW/WO)@
@bark: jack pine ~@|@okikaandagwanagek+wag@
@bark: look for ~ to peel@|@andawanagekwe (vai)(CN/NW), nandawanagekwe (vai)@
@bark: look for birch ~@|@nandookwam (vai2)@
@bark: pattern created by biting birch ~@|@mazinashkwemaganjigan+an (NW/WO), mazinibaganjigan+an@
@bark: peel cedar ~@|@gashka'anagekwe (vai)@
@bark: peel outer bark to eat inner ~@|@ozibanike (vai)@
@bark: pine ~@|@zhigwaakonagek+wag (AL/NO), zhingwaakwanagek+wag, zhingwaakonagek+wag, zhingwaak-onagek+wag@
@bark: pliable birch ~@|@ziibiskaan+an@
@bark: red ~ bush@|@miskodoobaatig+oog (NO/NW)@
@bark: remove ~ from trees@|@manikwam (vai2)@
@bark: remove birch ~@|@manikwam (vai2)@
@bark: roll of ~@|@ditibinaagan+an@
@bark: scrape design in birch inner ~ to show outer@|@mazinaada'igan+an@
@bark: sweet inner poplar ~@|@oziban+an@
@bark: tree ~@|@onagek+wag, onageg+wan (NW/WO)@
@barley@|@maazhanagak+in (NE), manoomin wezowaawang+in@
@barley: foxtail ~@|@ajidamoowaanow+ag (NW)@
@barmaid@|@ziiginigewikwe+g@
@barn@|@ataasoowigamig+oon, ataaso-wigamig+oon, awakaanigamig+oon, bizhikiiwigamig+oon, mezhashkoogiwaam+an (NE), miizhishkogamig+oon (NE), miizhishkogwaam+an (SE), ningodoshaawigamig+oon (PO), ningodoozhiiwigamig+oon (PO), ookaanigamig+oon@
@barn swallow@|@zhaashaawanibiisi+wag@
@barn: cow ~@|@bizhikiiwigamig+oon (WO)@
@barn: horse ~@|@mishtadimoowigamig+oon (WO)@
@barn: thrashing ~@|@apaganda'igewigamig+oon@
@barrel@|@makakosag+oon, waawiyendaagan+an@
@barrel for threshing wild rice@|@mimigoshkamwaagan+an@
@barrel: gun ~@|@baashkiskanaabik+oon, baashkiziganaabik+oon (NW)@
@barrel: half a ~@|@aabitawisag (pc)@
@barrel: make a ~@|@makakoke (vai)@
@barrel: under the ~/box@|@anaamimakak (pc)@
@barrel: wooden ~@|@makakosag+oon@
@barrel-hoop@|@dakobijigan+an, makakosag-dakobijigan+an@
@barrel-staff@|@makakosagwaatig+oon@
@barren@|@boonoonzhewin+an (NW/WO)@
@barren: be ~@|@boonoonzhe (vai)(NW/WO)@
@barren: be ~ land@|@bashkwaakamigaa (vii)(NE)@
@barrier@|@aasamisag+oon@
@barrier: against a ~ __@|@aaj-[y] (pv4), aaji- (pv4)@
@barrier: be a ~ [water]@|@minjikanibii (vai)@
@barrier: be a placed ~@|@aajichigaade (vii)@
@Barriere Lake: Algonquins of ~@|@Michikanibiigakinii+g@
@barrow@|@onigaanaatig+oon@
@barrow: hand-~@|@onigaanaatig+oon@
@barrow: shoulder ~@|@biminigaanaak+an@
@barrow: wheel-~@|@onigaanaatig+oon@
@bartender@|@ziiginibiiwininii+g, ziiginigewinini+wag@
@barter with OA@|@adaawendi+wag (vaip)@
@Bartholomew@|@Baartaalamiyo (nom)@
