@Georgian@|@English@
@გასამაგრებელი საშუალება@|@restorative@
@გასამაგრებელი საშუალებები@|@restoratives@
@გასამართლება@|@judged@
@გასამართლებული@|@judged@
@გასამმაგება@|@treble, triple, triplicate@
@გასამმაგებული@|@trebled, tripled, triplicated@
@გასამრჯელო@|@payment@
@გასამრჯელო, ჰონორარი@|@fee@
@გასამრჯელოები@|@payments@
@გასამრჯელოს გადახდა@|@fee@
@გასამრჯელოს უხდის@|@feeing, fees@
@გასამხიარულებელი გაზი@|@laughing-gas@
@გასაოცარი@|@fab, marvellous, miraculous, striking, stupendous,@
@გასაოცარი ეგზემპლიარები@|@stunners@
@გასაოცარი ეგზემპლიარი@|@stunner@
@გასაოცრად@|@amazingly, marvellously, miraculously, startlingly,@
@გასაპნა@|@soaped@
@გასაპნილი@|@soaped@
@გასაპოხი მასალა@|@lubricant@
@გასაპოხი მასალები@|@lubricants@
@გასარების ძირითადი ნოტები@|@keynotes@
@გასარების ძირითადი ნოტი@|@keynote@
@გასართობ გასეირნებას აწყობს@|@jaunting, jaunts@
@გასართობად@|@amusingly@
@გასართობად , თავშესაქცევად@|@divertingly@
@გასართობები@|@amusement, amusements@
@გასართობი@|@amusing, entertaining@
@გასართობი გასეირნება@|@jaunt@
@გასართობი გასეირნება მანქანით ან თვითმფრინავით@|@joy-ride@
@გასართობი გასეირნება მოაწყო@|@jaunted@
@გასართობი გასეირნებები@|@jaunts@
@გასართობი გასეირნებები მანქანით ან თვითმფრინავით@|@joy-rides@
@გასართობი გასეირნების მოწყობა@|@jaunt@
@გასართობი პარკები@|@funfairs@
@გასართობი პარკი@|@funfair@
@გასასვლეები@|@passes@
@გასასვლელები@|@alleyways, passages, thoroughfares@
@გასასვლელები თაღის ქვეშ@|@archways@
@გასასვლელელბი@|@exits@
@გასასვლელი@|@alleyway, exit, pass, passage, thoroughfare@
@გასასვლელი თაღის ქვეშ@|@archway@
@გასაღებები@|@clefs, clues, keys, latchkeys, master-keys, passkeys@
@გასაღები@|@clef, clue, key, latchkey, master-key, passkey@
@გასაღებით დაკეტა@|@keyed@
@გასაღებით დაკეტვა@|@key@
@გასაღებით დაკეტილი@|@keyed@
@გასაღებით კეტავს@|@keying@
@გასაყიდად მოყვანილი ბოსტნეული@|@garden-truck, garden-trucks@
@გასაშტერებელი რამ@|@snorter@
@გასაშტერებელი რამეები@|@snorters@
@გასაშუალოებული@|@averaged@
@გასაცვლელი@|@exchangeable@
@გასაწმენდი, გამწმენდი@|@cleanser@
@გასაჭიმი მოწყობილობა@|@stretcher@
@გასაჭიმი მოწყობილობები@|@stretchers@
@გასაჭირი, პრობლემა@|@entanglement@
@გასაჭირიდან დაიხსნა@|@disembarrassed@
@გასაჭირიდან დახსნა@|@disembarrass@
@გასაჭირიდან დახსნილი@|@disembarrassed@
@გასაჭირიდან იხსნის@|@disembarrasses, disembarrassing@
@გასახდელები@|@checkrooms@
@გასახდელი@|@checkroom@
@გასახლება@|@deport, relegation@
@გასახლებული@|@deportee@
@გასახლებული, დეპორტირებული@|@deported@
@გასახლებულნი@|@deportees@
@გასახსნელი@|@built-up@
@გასეირნება@|@promenade, ramble, ride, saunter, stroll, walk,@
@გასეირნებები@|@promenades, ramble, rambles, saunters, strolls,@
@გასეირნებული@|@promenaded, rambled, sauntered, strolled@
@გასვლა@|@depart, elapse, exit, transit@
@გასვლა, მოიწონეს, მიიღეს@|@go@
@გასვრა@|@besmirch, blur@
@გასვრილი@|@besmirched, blurred, muddy@
@გასიენდა@|@hacienda@
@გასიენდები@|@haciendas@
@გასივებული@|@tumid, turgid@
@გასინჯა@|@auditioned, tasted@
@გასინჯვა@|@audition@
@გასინჯული@|@tasted@
@გასისხლიანებული@|@bloody@
@გასკდომა@|@burst, fragmentation@
@გასრესა@|@crush, crush, pulverize, squash@
@გასრესილი@|@crushed, pulverized, squashed@
@გასრესილი მასა@|@squash@
@გასრესილი მასები@|@squashes@
@გასრიალდა@|@slipped@
@გასრიალებული@|@slipped, slithered@
@გასრისა@|@crushed, pulverized, squashed@
@გასროლილი@|@socked@
@გასროლის მანძილები@|@gunshots@
@გასროლის მანძილი@|@gunshot@
@გასტრიტი@|@gastritis@
@გასტრონომიული@|@gastronomic@
@გასტუმრება@|@refund@
@გასტუმრებები@|@refunds@
@გასულელება@|@cod, dupe, fool@
@გასულელებული@|@codded, duped, fooled@
@გასული@|@departed, elapsed, exited@
@გასული თვის@|@ultimo@
@გასული რიცხვით ათარიღებს@|@antedates@
@გასული რიცხვით დათარიღება@|@antedate@
@გასული რიცხვით დათარიღებული@|@antedated@
@გასუფთავება, გაწმენდა@|@clean@
@გასუქდა@|@plumped@
@გასუქება@|@fat, plump@
@გასუქებული@|@fatted, plumped, stall-fed@
@გასწვრივ@|@along@
@გასწორება@|@correct, even, level, right, square, straighten@
@გასწორება რომ შეიძლება@|@corrigible@
@გასწორება, გამართვა@|@unbend@
@გასწორება, შემოწმება@|@revise@
@გასწორებული@|@corrected, evened, levelled, righted, squared,@
@გასწორებული, გამართული@|@unbended, unbent@
@გასწორებული, შემოწმებული@|@revised@
@გასწრება@|@go-by, outdistance, outrange, outride, outrun@
@გასწრება გემის@|@outsail@
@გასწრებული@|@outdistanced, outranged@
@გატალახებული@|@muddied@
@გატანა@|@export, override@
@გატანა, ექსპორტი@|@export@
@გატანა, ექსპორტირება@|@exportation@
@გატანილი@|@overridden@
@გატანილი, ექსპორტირებული@|@exported@
@გატანჯული@|@affected, chivied, chivvied@
@გატარება@|@spend@
@გატარებული@|@spent@
@გატარნა@|@rammed@
@გატარნვა@|@ram@
@გატარნული@|@rammed@
@გატაცება@|@addict, abduct, abduction, ardour, bent, enthrall@
@გატაცებები@|@abductions, ardours, bents@
@გატაცებული@|@abducted@
@გატება@|@wadding@
@გატენა@|@pad, padded, stuff, stuffed@
@გატენილი@|@cram-full, padded, stuffed@
@გატეხა@|@break@
@გატეხა, მოტეხა@|@fracture@
@გატკაცუნებები@|@slaps@
@გატკაცუნებული@|@slapped, smacked, spanked@
@გატო@|@gâteau, gateaux@
@გატოები@|@gâteaus@
@გატოლება@|@peer@
@გატოლება, გაიგივება@|@equal@
@გატოლებული@|@equalled, peered@
@გატრუნვა@|@doggo@
@გატრუსა@|@scorched, singed@
@გატრუსვა@|@scorch, singe@
@გატრუსული@|@scorched, singed@
@გატყავება@|@excoriate, excoriation, flay, skin@
@გატყავებული@|@excoriated, flayed, skinned@
@გატყავებული და გამოშიგნული ცხოველები@|@carcases, carcasses@
@გატყავებული და გამოშიგნული ცხოველი@|@carcase, carcass@
@გატყორცნა@|@dart, darted@
@გატყორცნილი@|@darted, slung@
@გაუარესდა@|@degraded, worsened@
@გაუარესება@|@aggravate, aggravation, bastardize, degrade,@
@გაუარესებები@|@aggravations, impairments@
@გაუარესებული@|@aggravated, bastardized, worsened@
@გაუბედავად@|@falteringly, half-heartedly, hesitantly,@
@გაუბედავად მოძრაობა@|@blunder@
@გაუბედავად მოძრაობს@|@blunders@
@გაუბედავი@|@gutless, half-hearted, hesitant, irresolute, poorspirited,@
@გაუბედაობა@|@irresolution, shillyshally@
@გაუგებარი@|@abstruse, bottomless, incomprehensible,@
@გაუგებარი ლაპარაკი@|@gibberish@
@გაუგებარი ჟარგონები@|@lingoes@
@გაუგებარი ჟარგონი@|@lingo@
@გაუგებრად@|@abstrusely, enigmatically@
@გაუგებრობა@|@incomprehensibility, incomprehension,@
@გაუგებრობები@|@misapprehensions, misunderstandings, obscurities@
@გაუგონარი@|@unheard-of@
@გაუვალი@|@impassable@
@გაუვალი, მიუღწევადი@|@impenetrable@
@გაუზრდელი@|@ill-mannered, lowbred, unmannerly, untutored@
@გაუთბობელი@|@unheated@
@გაუთვალისწინებელი@|@unforeseeable, unforeseen, unheeded@
@გაუთვალისწინებელი დაბრკოლება@|@contretemps@
@გაუთვალისწინებელი შემთხვევა@|@emergency@
@გაუთვალისწინებელი შემთხვევები@|@emergencies@
@გაუთლელი ადამიანები@|@loons@
@გაუთლელი ადამიანი@|@loon@
@გაუთლელი ტეტიები@|@chaw-bacons@
@გაუთლელი, ტეტია@|@chaw-bacon@
@გაუთხოვარი@|@maiden@
@გაუკაცრიელება@|@desolate@
@გაუკაცრიელებული@|@desolated@
@გაუკეთებელი@|@undone@
@გაულაქავი@|@unvarnished@
@გაუმარჯოს@|@Cheers@
@გაუმასპინძლდა@|@regaled@
@გაუმაძღარი@|@avaricious, avid, insatiable, insatiate, sharp-set,@
@გაუმაძღრად@|@avariciously, avidly, gluttonously, insatiably,@
@გაუმაძღრობა@|@avarice, avidity, gorge, voracity@
@გაუმტარად აქცევს@|@proofing, proofs@
@გაუმტარად აქცია@|@proofed@
@გაუმტარად ქცევა@|@proof@
@გაუმტარად ქცეული@|@proofed@
@გაუმტარი@|@proof, splinter-proof@
@გაუმჯობესება@|@ameliorate, amelioration, amendment, better,@
@გაუმჯობესება, გამოკეთება@|@improve@
@გაუმჯობესებები@|@improvements, meliorations, mends@
@გაუმჯობესებული@|@ameliorated, bettered, improved, meliorated,@
@გაუნათლებელი@|@illiberal, lowbrow, uneducated, unenlightened,@
@გაუნათლებელი ადამიანები@|@lowbrows@
@გაუნათლებელი ადამიანი@|@lowbrow@
@გაუნათლებლად@|@illiberally@
@გაუნათლებლობა@|@illiberality@
@გაუნაწილებელი@|@undistributed@
@გაუნთავისუფლებელი@|@unrelieved@
@გაუნძრევლად@|@stock-still@
@გაუპარსავი@|@unshaved, unshaven@
@გაუპატიურება@|@rape, rape, ravishment@
@გაუპატიურებები@|@rapes, ravishments@
@გაუპატიურებული@|@raped@
@გაურეცხავი@|@unwashed@
@გაურთულებელი@|@uncomplicated@
@გაურკვეველი@|@illegible, inaudible, indefinable, indeterminable,@
@გაურკვეველი იერის@|@nondescript@
@გაურკვეველი იერის ნივთები, ან ადამიანები@|@nondescripts@
@გაურკვეველი იერის ნივთი, ან ადამიანი@|@nondescript@
@გაურკვეველი ხელწერა@|@scribble@
@გაურკვეველი ხელწერები@|@scribbles@
@გაურკვევლად@|@illegibly, indeterminably, indistinctly, vaguely@
@გაურკვევლად და სწრაფა წერს@|@scribbles@
@გაურკვევლად და სწრაფად დაწერილი@|@scribbled@
@გაურკვევლად და სწრაფად წერა@|@scribble@
@გაურკვევლად და სწრაფად წერდა@|@scribbled@
@გაურკვევლად და სწრაფად წერს@|@scribbling@
@გაურკვევლად ლაპარაკი@|@burble@
@გაურკვევლად ლაპარაკობს@|@burbles@
@გაურკვევლობა@|@abeyance, illegibility, inaudibility,@
@გაურჩეველი@|@indecipherable@
@გაუსაფრთხოება@|@indemnify@
@გაუსაფრთხოებული@|@indemnified@
@გაუსაძლისი@|@unendurable@
@გაუსვრელი@|@unpolluted@
@გაუსწორებელი@|@uncorrected@
@გაუტკაცუნა@|@spanked@
@გაუტოლდა@|@equalled, peered@
@გაუფასურდა@|@demonetized@
@გაუფასურება@|@beggar, depreciate, depreciation@
@გაუფასურებული@|@beggared, demonetized, depreciated@
@გაუფერულება@|@blanch, bleach@
@გაუფერულებული@|@blanched, bleached@
@გაუფრთხილებელი@|@incautious, indiscreet, indiscrete@
@გაუფრთხილებლად@|@incautiously, indiscreetly@
@გაუფუჭებელი@|@unspoiled, unspoilt, untainted@
@გაუქმება@|@abolish, abolition, abrogate, abrogation, annul,@
@გაუქმებები@|@invalidations@
@გაუქმებული@|@abolished, abrogated, annulled, countermanded,@
@გაუქმებულობა@|@invalidity@
@გაუყიდავი@|@unsold@
@გაუყუჩდა@|@assuaged@
@გაუშენებელი@|@blank@
@გაუშვა@|@dismissed, sewed@
@გაუჩო@|@gaucho@
@გაუჩოები@|@gauchos@
@გაუცებული@|@popeyed@
@გაუცინარი@|@unsmiling@
@გაუცრელი ფქვილლი@|@wholemeal@
@გაუცრუვდა@|@wrecked@
@გაუცხოება@|@alienation, estrangement@
@გაუცხოებები@|@estrangements@
@გაუძლო@|@endured@
@გაუძღვა@|@transacted@
@გაუწაფავი@|@inapt, unstrained@
@გაუწოდა@|@reached@
@გაუწონასწორებელი@|@unbalanced, uneven@
@გაუწონასწორებლად@|@unevenly@
@გაუხამსება@|@vulgarize@
@გაუხამსებული@|@vulgarized@
@გაუხეშდა@|@roughened@
@გაუხეშება@|@coarsen, roughen@
@გაუხეშებული@|@coarsened, roughened@
@გაუხლეჩავი@|@undissolved@
@გაუხსნელი@|@unopen, unopened, unsealed@
@გაუხშოებულად@|@tenuously@
@გაუხშოებული@|@tenuous@
@გაუხშოებულობა@|@tenuity@
@გაფანტა@|@dissipated, pulverized, scattered@
@გაფანტვა@|@blow, dispel, disperse, dispersion, dissipate,@
@გაფანტული@|@dispelled, dispersed, dissipated, dissipated,@
@გაფართოება@|@broaden, dilate, dilation, expand, expansion, widen@
@გაფართოებული@|@broadened, dilated, expanded, widened@
@გაფარცხა@|@weeded@
@გაფარცხვა@|@weed, weekenders@
@გაფარცხული@|@harrowed, weeded@
@გაფერმკრთალდა@|@tarnished@
@გაფერმკრთალება@|@tarnish@
@გაფერმკრთალებული@|@tarnished@
@გაფითრდა@|@paled@
@გაფითრება@|@pale@
@გაფითრებული@|@paled@
@გაფილტვრა@|@filter, filtrate@
@გაფილტრა@|@filtered, filtrated, infiltrated@
@გაფილტრვა@|@infiltrate@
@გაფილტრული@|@filtered, filtrated, infiltrated@
@გაფიცვა@|@strike, strike, walkout@
@გაფიცვები@|@strikes, walkouts@
@გაფიცვით მოცული@|@strikebound@
@გაფიცვის ხელმძღვანელები@|@strike-leaders@
@გაფიცვის ხელმძღვანელი@|@strike-leader@
@გაფიცულები@|@strikers@
@გაფიცული@|@striker@
@გაფლანგა@|@squandered@
@გაფლანგვა@|@peculation, skittle@
@გაფლანგვა, მითვისება@|@defalcation@
@გაფლანგვები@|@peculations@
@გაფლანგული@|@squandered@
@გაფორმებული დოკუმენტი@|@formalized@
@გაფრენილი@|@flown@
@გაფრთხილება@|@admonition, alerting, beware, caution, prevention,@
@გაფრთხილებები@|@admonitions, alerts, warnings@
@გაფრთხილებული@|@cautioned, warned@
@გაფრინდა@|@flew@
@გაფრქვევა@|@atomize@
@გაფუფუნებული@|@luxurious@
@გაფუჭდა@|@addled@
@გაფუჭება@|@addled, bitch, blemish, boob, debase, deface,@
@გაფუჭება, დამახინჯება@|@defacement@
@გაფუჭებული@|@blemished, boobed, debased, defaced, mismanaged,@
@გაფხვიერება@|@mould@
@გაფხვიერებული@|@moulded@
@გაფხვიერებული მიწა@|@mould@
@გაფხვიერებული მიწები@|@moulds@
@გაქანება@|@dash@
@გაქანებული@|@dashed@
@გაქვავება@|@petrifaction, petrified, petrify@
@გაქვავებები@|@petrifactions@
@გაქირავება@|@hack, rent@
@გაქირავებული@|@hacked, rented@
@გაქლიბა@|@filed@
@გაქლიბვა@|@file, filings@
@გაქლიბული@|@filed@
@გაქნილი ადამიანები@|@dodgers@
@გაქნილი ადამიანი@|@dodger@
@გაქონიანება, გათხუპნა@|@besmear@
@გაქონიანებული, გათხუპნული@|@besmeared@
@გაქრა@|@disappeared, mizzled, vanished@
@გაქრობა@|@disappear, disappearance, evanescence, mizzle, vanish@
@გაქრობადი@|@vestigial@
@გაქურდა@|@robbed@
@გაქურდვა@|@rob@
@გაქურდული@|@burgled, robbed@
@გაქცევა@|@bunk, escape, escape, flee, flight, getaway, run, runoff,@
@გაქცევები@|@escapes, getaways, run-offs, runs@
@გაქცეულები@|@fugitives, runaway@
@გაქცეული@|@absconded, escaped, flighted, fugitive, fugitive,@
@გაღარიბება@|@beggar, impoverish, impoverishment, pauperization@
@გაღარიბებული@|@beggared, impoverished@
@გაღება@|@open@
@გაღვიძება@|@arouse, awake, awaken, rouse, wake, waken@
@გაღვიძებული@|@aroused, awakened, roused, waked, wakened, woken@
@გაღივება@|@germinate, germination@
@გაღივებული@|@germinated@
@გაღიზიანდა@|@fretted, huffed@
@გაღიზიანება@|@annoy, annoyance, exasperate, exasperation, fret,@
@გაღიზიანებები@|@huffs, irritations, tantrums@
@გაღიზიანებულად@|@irritably, petulantly@
@გაღიზიანებული@|@annoyed, exasperated, fretted, huffed, irascible,@
@გაღიზიანებულობა@|@crossness, irascibility, irritability@
@გაღიმება@|@smile@
@გაღიმებული@|@smiled, smilingly@
@გაღმა@|@beyond@
@გაღმერთება@|@adoration, adore, deification, deify@
@გაღმერთებული@|@adorable, adored, deified@
@გაღრმავება@|@deepen@
@გაღრმავებები@|@sockets@
@გაღრმავებული@|@deepened@
@გაღუნა@|@flexed@
@გაღუნვა@|@flex@
@გაღუნული@|@flexed@
@გაღწევა@|@wade@
@გაღწეული@|@waded@
@გაყავისფერება@|@brown@
@გაყავისფერებული@|@browned@
@გაყალბება@|@counterfeit, fake, falsification, falsify@
@გაყალბებები@|@falsifications@
@გაყალბებული@|@counterfeited, faked, falsified@
@გაყვა@|@followed@
@გაყვანილი კვალი@|@rutted@
@გაყვითლდა@|@yellowed@
@გაყვითლება@|@sallow, yellow@
@გაყვითლებული@|@sallowed, yellowed@
@გაყიდა@|@sold, vended@
@გაყიდვა@|@sale, sell, selling, sellout, sellouts, vend@
@გაყიდვაში აქვს@|@stocking, stocks@
@გაყიდვაში ქონა@|@stock@
@გაყიდვაში ქონდა@|@stocked@
@გაყიდვები@|@sales@
@გაყიდული@|@sold, vended@
@გაყინა@|@iced, refrigerated@
@გაყინვა@|@congeal, freeze, freeze, ice, refrigerate, refrigeration@
@გაყინვები@|@refrigerations@
@გაყინვის წერტილები@|@freezing-points@
@გაყინვის წერტილი@|@freezing-point@
@გაყინული@|@congealed, deep-frozen, frost-bound, frosted, frozen,@
@გაყო@|@divided, shared@
@გაყოლა@|@follow@
@გაყოლილი@|@followed@
@გაყოფა@|@divide, division, share@
@გაყოფადი@|@divisible@
@გაყოფასთან დაკავშირებული@|@divisional@
@გაყოფილი@|@divided, shared@
@გაყუჩება@|@assuage@
@გაყუჩებული@|@assuaged@
@გაშავება@|@blacken, blacking, bronze@
@გაშავებული@|@blackened, bronzed, sunburned, sunburnt@
@გაშალა@|@deployed, extended, unrolled@
@გაშალაშინება@|@chip@
@გაშალაშინებული@|@chipped@
@გაშეშდა@|@numbed@
@გაშეშება@|@numb, statuesque, stupefaction, stupefy, stupor,@
@გაშეშებულად@|@numbly, starkly, torpidly@
@გაშეშებული@|@numb, numbed, stark, stupefied, torpid@
@გაშეშებულობა@|@numbness, torpidity, torpidness, torpor@
@გაშვება@|@dismiss, dismissal, sew@
@გაშვებული@|@dismissed, sewed@
@გაშიფრა@|@deciphered, decoded@
@გაშიფრვა@|@decipher@
@გაშიფრვადი@|@decipherable@
@გაშიფრული@|@deciphered, decoded@
@გაშიშვლება@|@bare, denudation, denude, disrobe@
@გაშიშვლებული@|@bald, bared, denuded, disrobed@
@გაშლა@|@deploy, deployment, extend, extension, unroll@
@გაშლილი@|@airy, budding, deployed, extended, unrolled@
@გაშმაგება@|@furore@
@გაშმაგებული შეტევა@|@onslaught@
@გაშმაგებული შეტევები@|@onslaughts@
@გაშოლტა@|@horsewhipped, strapped@
@გაშოლტვა@|@horsewhip, strap@
@გაშოლტილი@|@horsewhipped, strapped@
@გაშოტვა@|@lounge@
@გაშრობა@|@dry, wind@
@გაშხლართული@|@lolled@
@გაშხლართული ზის@|@lolling, lolls@
@გაშხლართული იჯდა@|@lolled@
@გაშხლართული ჯდომა@|@loll@
@გაშხლართულია@|@sprawling@
@გაჩენა@|@father@
@გაჩენილი,ნაშობი@|@fathered@
@გაჩერდა@|@stopped@
@გაჩერება@|@stand, standstill, stay, stop, stop, stopping@
@გაჩერებები@|@stands, stays, stoppings, stops@
@გაჩერებული@|@stopped@
@გაჩეჩილი@|@blowzy@
@გაჩეხილი@|@deforested@
@გაჩეხილი ტყე@|@disafforested@
@გაჩუმება@|@shush, silence@
@გაჩუმებული@|@hushed, shushed@
@გაჩხრეკა@|@ransack@
@გაჩხრეკილი@|@ransacked@
@გაჩხრიკა@|@ransacked@
@გაცდენა@|@truancy, wag@
@გაცდენები@|@truancies@
@გაცდენილი@|@wagged@
@გაცემული ულუფა@|@rationed@
@გაცვალა@|@exchanged, interchanged, relayed, swapped, swopped@
@გაცვდა@|@staled@
@გაცვეთა@|@abrade, frazzle, outwear, stale@
@გაცვეთილად@|@shabbily@
@გაცვეთილი@|@abraded, outworn, seedy, shabby, staled, well-worn@
@გაცვეთილი გამოთქმა@|@commonplace@
@გაცვეთილი გამოთქმები@|@commonplaces@
@გაცვითა@|@abraded, outwore@
@გაცვილული ქაღალდები@|@wax-papers@
@გაცვილული ქაღალდი@|@oil-paper, wax-paper@
@გაცვლა@|@exchange, exchange, interchange, interchange, relay,@
@გაცვლა, ბარტერული ვაჭრობა@|@barter@
@გაცვლა-გამოცვლა@|@exchanges@
@გაცვლადი@|@interchangeable@
@გაცვლები@|@interchanges, relays, swaps, swops, trucks@
@გაცვლილი@|@exchanged, interchanged, relayed, swapped, swopped@
@გაცივება@|@chill, refrigerate, refrigeration@
@გაცივებები@|@refrigerations@
@გაცივებული@|@chilled, refrigerated@
@გაცილება@|@sendoff, usher@
@გაცილებები@|@sendoffs@
@გაცილებული@|@ushered@
@გაცინება@|@sneer, sneer@
@გაცინებები@|@sneers@
@გაცინებული@|@laughing, sneered@
@გაცლა@|@recession@
@გაცნობა@|@familiarize, introduce@
@გაცნობიერება@|@acknowledge@
@გაცნობიერებული@|@acknowledged, aware@
@გაცნობიერებულობა@|@awareness@
@გაცნობილი@|@acquainted, introduced@
@გაცოფდა@|@raged@
@გაცოფება@|@rage@
@გაცოფებული@|@raged@
@გაცოცხლება@|@animate, animation, quicken, reanimate, revivify,@
@გაცოცხლებული@|@animated, quickened, reanimated, revivified,@
@გაცრა@|@bolt, riddle, riddled, sieve, sieved@
@გაცრეცილი@|@threadbare@
@გაცრილი@|@bolted, riddled, sieved@
@გაცრუება@|@wreck@
@გაცრუებული@|@wrecked@
@გაცურა@|@swam@
@გაცურება@|@best@
@გაცურებული@|@bested@
@გაცურული@|@swum@
@გაძარცვა@|@depredation, despoiled, looted, pillaged, plunder,@
@გაძარცვის მიზნით თავდასხმა@|@hijack@
@გაძარცვის მიზნით თავდასხმული@|@hijacked@
@გაძარცვის მიზნით თავს ესხმის@|@hijacking, hijacks@
@გაძარცვული@|@pillaged, plundered@
@გაძარცული@|@despoiled, looted@
@გაძევება@|@dislodge@
@გაძევებული@|@dislodged@
@გაძვალდა@|@ossified@
@გაძვალება@|@ossification, ossify@
@გაძვალებული@|@ossified@
@გაძვალტყავებული@|@gaunt, scraggy, scrawny@
@გაძვიადება@|@embellishment@
@გაძლება@|@bear, endure@
@გაძლიერება@|@intensification, intensify, pep, reinforce,@
@გაძლიერებები@|@intensifications, reinforcements@
@გაძლიერებული@|@intensified, pepped, reinforced, strengthened@
@გაძნებელული@|@stertorous@
@გაძნელება@|@cumber, encumber@
@გაძნელებული@|@cumbered, encumbered@
@გაძღოლა@|@transact, transaction@
@გაძღოლილი@|@conducted@
@გაძღომა@|@saturation@
@გაწევა@|@pull@
@გაწეული@|@pulled@
@გაწეულურდულიანი@|@unbarred@
@გაწეწილი@|@dishevelled@
@გაწვრთნა@|@train, trained@
@გაწვრთნილი@|@trained@
@გაწვრილება@|@thin@
@გაწია@|@pulled@
@გაწითლება@|@blush, crimson, empurpled, redden@
@გაწითლებული@|@blushed, crimsoned, reddened@
@გაწკეპვლა@|@cane@
@გაწკეპვლილი@|@caned@
@გაწკეპლა@|@flogged, lashed@
@გაწკეპლვა@|@flog, flogging, lash, lashing@
@გაწკეპლვები@|@floggings, lashings@
@გაწკეპლილი@|@flogged, lashed@
@გაწმენდა@|@clearance, clearing, defecate, furbish, polish,@
@გაწმენდა, გასუფთავება@|@clarification, clarify, clear, defecation@
@გაწმენდა, დეზინფექციის გაკეთება@|@cleansed@
@გაწმენდები@|@purges, purifications@
@გაწმენდილი@|@defecated, furbished, polished, purged, purified,@
@გაწმენდილი, გასუფთავებული@|@clarified, cleaned, cleared@
@გაწმინდა@|@cleaned, cleared, defecated, furbished, polished,@
@გაწმინდა, გასუფთავდა@|@clarified@
@გაწმინდა, დეზინფექცია გაუკეთა@|@cleansed@
@გაწოდება@|@reach, reach@
@გაწოდებები@|@reaches@
@გაწოდებული@|@reached@
@გაწონასწორება@|@counterbalance, counterpoise, poise@
@გაწონასწორებულად@|@sedately@
@გაწონასწორებული@|@balanced, counterbalanced, counterpoised,@
@გაწონასწორებულობა@|@sedateness@
@გაწურა@|@wrung@
@გაწურვა@|@wring, wring, wrings@
@გაწურული@|@wrung@
@გაწუწვა@|@soak@
@გაწუწული@|@soaked, sodden@
@გაწყვეტა@|@sever, severance@
@გაწყვეტილი@|@severed@
@გაწყვიტა@|@severed@
@გაჭიანურებული@|@long-drawn-out@
@გაჭიმა@|@sprained, stretched@
@გაჭიმვა@|@sprain, sprain, stretch, stretch, wrick, wrick, wricks@
@გაჭიმვადი@|@tensile@
@გაჭიმვები@|@sprains, stretches@
@გაჭიმული@|@sprained, stretched, wricked@
@გაჭიმული ფეხით მარშირება@|@goose-step@
@გაჭირვება@|@hardship, privation@
@გაჭირვებაში ვარდება@|@stranding, strands@
@გაჭირვებაში ჩავარდა@|@stranded@
@გაჭირვებაში ჩავარდნა@|@strand@
@გაჭირვებაში ჩავარდნილი@|@stranded@
@გაჭირვებები@|@hardships, privations@
@გაჭირვებით დადიოდა@|@footslogged@
@გაჭირვებით დადის@|@footslogging, footslogs@
@გაჭირვებით მოსიარულე@|@footslogger@
@გაჭირვებით მოსიარულეები@|@footsloggers@
@გაჭირვებით სიარული@|@footslog@
@გაჭირვებული@|@needy@
@გაჭრა@|@cut, dissect, dissected, rip, ripped@
@გაჭრილი@|@cut, dissected, ripped@
@გაჭრილი ღარები@|@grooved@
@გაჭუჭყიანება@|@defile, dirty, foul, fouled, grime@
@გაჭუჭყიანებული@|@defiled, dirtied, grimed, grimy@
@გაჭღენთა@|@saturate@
@გაჭღენთილი@|@saturated@
@გაჭღინთა@|@saturated@
@გაჭყლეტა@|@squelch@
@გაჭყლიტა@|@squelched@
@გახადა@|@divested, doffed@
@გახადო ინტერნაციონალური@|@internationalize@
@გახადო მგრძნობიარე@|@sensitize@
@გახადო უვარგისი@|@unfit@
@გახალისება@|@freshen@
@გახალისებული@|@freshened@
@გახამება@|@starch@
@გახამებული@|@starched, starchy@
@გახანგრძლივება@|@prolong, prolongation@
@გახანგრძლივებები@|@prolongations@
@გახანგრძლივებული@|@prolonged, prolonged@
@გახარება@|@gladden@
@გახარებულად@|@cock-a-hoop@
@გახარებული@|@cock-a-hoop, gladdened@
@გახარებული, აღტაცებული@|@exulted@
@გახდა@|@divest, doff, slenderized, slimmed, thinned, undress@
@გახდილი@|@divested, doffed, undressed@
@გახდომა@|@become, emaciation, slenderize, slim, thin@
@გახევა@|@tear@
@გახევება@|@stiffness@
@გახევებულად@|@stiff, stiffly@
@გახევებული@|@stiff@
@გახერხა@|@sawed@
@გახერხვა@|@saw@
@გახერხილი@|@sawed, sawn@
@გახეული@|@torn@
@გახეხა@|@grated@
@გახეხვა@|@chafe, grate, scuff@
@გახეხილი@|@grated, scrubbed@
@გახვევა@|@envelop, enwrap, lap, mollycoddle, muffle, swaddle, wrap@
@გახვეული@|@enveloped, enwrapped, lapped, mollycoddled, muffled,@
@გახვრეტა@|@blowout, broach, hole, honeycomb, pink, pricking,@
@გახვრეტები@|@prickings@
@გახვრეტილი@|@broached, holed, honeycombed, pinked, punctured@
@გახვრეტილი საბურავი@|@blowout@
@გახვრიტა@|@holed, honeycombed, pinked, punctured@
@გახია@|@tore@
@გახლართა@|@entangled@
@გახლართვა@|@entangle@
@გახლართული@|@entangled@
@გახლეჩა@|@cleave, split@
@გახლეჩილი@|@cleaved, split@
