@English@|@Ukrainian@
@connoisseur@|@знавець@
@connoisseurs@|@знавці@
@connotation@|@додаткове, когось-то, коли-то, ми-то, ось-то, оте, поки-то, те, тє, то, тоді-то, чи-то, якось-то@
@connote@|@означайте@
@connubial@|@подружній@
@conoid@|@коноїд@
@conoidal@|@конусоподібний@
@conoids@|@коноїди@
@conquer@|@бороти, завойовувати, завоюйте, переборювати, перемагати, перемогти, підкорювати, підкоряти, підпорядковувати, придушувати, скоряти@
@conquered@|@завойований@
@conquering@|@завоювання@
@conqueror@|@завойовник, звитяжець, переможець@
@conquerors@|@завойовники@
@conquers@|@завойовує@
@conquest@|@завоювання, загарбання, звитяга, отой, перемога, підкорення, скорення, той@
@conquests@|@завоювання@
@conray@|@конрей@
@consanguineous@|@єдинокровний@
@consanguinities@|@єдинокровність@
@consanguinity@|@єдинокровність@
@conscience@|@совість, сумління@
@conscienceless@|@безсовісний@
@consciences@|@совість@
@conscientious@|@добросовісний, сумлінний@
@conscientiously@|@добросовісно, сумлінно@
@conscientiousness@|@сумлінність@
@conscious@|@здоровий, свідомий@
@consciously@|@свідомо@
@consciousness@|@самосвідомість, свідомість@
@consciousnesses@|@свідомість@
@conscribe@|@мобілізувати, обмежувати@
@conscript@|@мобілізувати, призовник@
@conscripts@|@призовники@
@consecrate@|@присвятіть@
@consecrated@|@присвячений@
@consecrates@|@присвячує@
@consecrating@|@присвячення@
@consecration@|@освячення, посвячення, присвята, присвяту, присвячення@
@consecution@|@наслідок, послідовність, проходження, прямування, слідування@
@consecutive@|@підряд, послідовний@
@consecutively@|@послідовно@
@consensus@|@єдність, згода, згоду, злагода, злагоду, консенсус, одностайність, погодженість, порозуміння@
@consensuses@|@згода@
@consent@|@дозвіл, згода, згоджуватись, згоджуватися, згоду, злагода, злагоду, погоджуватись, погоджуватися, порозуміння@
@consentaneity@|@єдність, одностайність, погодженість, узгодженість@
@consentaneous@|@одностайний, погоджений, співпадаючий, узгоджений@
@consented@|@дозволений@
@consentient@|@одностайний, погоджений, погоджується, узгоджений@
@consenting@|@дозвіл@
@consents@|@дозволи@
@consequence@|@важливість, важність, виведення, вивід, висновок, впливовість, замкнення, значення, наслідок, неважливий, поганенький, слідство, ув'язнення, укладання, укладення@
@consequences@|@наслідки@
@consequent@|@наслідок, послідовний, результуючий@
@consequential@|@важливий, важний, істотний@
@consequently@|@отже@
@conservation@|@економія, заповідник, збереження, зберігання, консервація, консервування@
@conservatism@|@консерватизм@
@conservative@|@консервативний, консерватор, традиційний@
@conservatively@|@консервативно@
@conservatives@|@консерватори@
@conservatoire@|@консерваторія@
@conservator@|@зберігач, опікун, опікуне, піклувальник, хоронитель, хранитель@
@conservators@|@опікуни@
@conservatory@|@оранжерея, теплиця@
@conserve@|@консервація@
@conserved@|@збережений@
@conserves@|@консервації@
@conserving@|@зберігання@
@consider@|@вважати, враховувати, думати, зважати, зчитати, лічити, обговорювати, обдумувати, обліковувати, обмірковувати, рахувати, розглядати, розглянути, розгляньте, роздивлятись, роздивлятися, ураховувати@
@considerable@|@значний, чималий@
@considerably@|@значно@
@considerate@|@делікатний@
@considerately@|@делікатно@
@consideration@|@відшкодовування, відшкодування, запобігливість, компенсація, люб'язність, міркування, обговорення, обговорюваний, повага, поважання, розбір, розгляд, розглядання, розглядуваний, розглянутий, увага, увагу@
@considerations@|@розгляди@
@considered@|@розглянутий@
@considering@|@враховуючи, зважаючи, розгляд, ураховуючи@
@considers@|@розглядає@
@consign@|@віддавати, відправити, відправляти, доручати, доручити, доручіть, зраджувати, передавати, передати, призначати, призначити@
@consignation@|@внесення, консигнація@
@consigned@|@доручений@
@consignee@|@вантажоодержувач, консигнатор@
@consignees@|@вантажоодержувачі@
@consigner@|@вантажовідправник@
@consigning@|@доручення@
@consignment@|@вантаж, відправлення, коносамент, консигнаційний, консигнація, накладна@
@consignments@|@вантажі@
@consignor@|@вантажовідправник, консигнант@
@consigns@|@доручає@
@consilient@|@збігається@
@consist@|@полягати, складатися, складіться, скластися@
@consisted@|@складаються@
@consistence@|@густина, густину, густоти, консистенція, щільність@
@consistences@|@консистенції@
@consistencies@|@послідовності@
@consistency@|@логічність, погодженість, послідовність, постійність, сталість, сумісність, узгодженість@
@consistent@|@послідовний, стійкий, сумісний, твердий, цупкий, щільний@
@consistently@|@послідовно@
@consisting@|@скластися@
@consistory@|@консисторія@
@consists@|@складається@
@consolation@|@втішання, розрада, розраду, утіха@
@consolations@|@утіхи@
@consolatory@|@утішний@
@console@|@консоль, кронштейн@
@consoled@|@утішений@
@console-mirror@|@трюмо@
@consoles@|@консолі@
@consolidate@|@зміцнити, зміцніть, зміцнювати, консолідувати, об'єднати, об'єднувати, поєднувати, твердіти, укріпити, укріплювати, укріпляти@
@consolidated@|@зміцнений, об'єднаний, поєднаний@
@consolidates@|@зміцнює@
@consolidating@|@зміцнення@
@consolidation@|@затвердіння, зміцнення, консолідація, отвердіння, покріплення, ствердження, укріплення@
@consolidations@|@консолідації@
@consoling@|@утішання@
@consols@|@консолі@
@consonance@|@асонанс, гармонія, згода, згоду, злагода, злагоду, порозуміння, співзвуччя@
@consonances@|@співзвуччя@
@consonantal@|@згідний, згоден, згодний, приголосний@
@consort@|@подружжя@
@consortia@|@консорціуми@
@consortium@|@консорціум@
@consorts@|@подружжя@
@conspectus@|@конспект, огляд@
@conspicuous@|@видимий, показний, помітний@
@conspicuously@|@помітно@
@conspiracies@|@змови@
@conspiracy@|@заговір, замовляння, змова, змову, конспірація, потайна, таємна@
@conspirator@|@змовник, конспіратор@
@conspiratorial@|@змовницький@
@conspirators@|@змовники@
@constable@|@констебль, полісмен, поліцейський@
@constables@|@констеблі@
@constabularies@|@поліції@
@constabulary@|@поліція@
@constancies@|@постійність@
@constancy@|@вірність, незмінність, постійність, сталість, твердість@
@constant@|@константа, константан, незмінний, постійна, постійний, сталий@
@constantly@|@постійно, часто, часто-густо, часто-часто@
@constants@|@константи@
@constate@|@встановлювати@
@constellation@|@сузір'я@
@constellations@|@сузір'я@
@consternation@|@переляк@
@consternations@|@переляки@
@constipation@|@запор@
@constituencies@|@виборці@
@constituency@|@виборці, округа@
@constituent@|@виборець, складовий, установчий@
@constituents@|@виборці@
@constitute@|@засновувати, заснувати, призначати, складати, складіть, скласти, становити, утворити, утворювати@
@constituted@|@складений@
@constitutes@|@складає@
@constituting@|@призначення@
@constitution@|@влаштовування, влаштування, заклад, заснування, інституцію, інституція, конституція, пристрій, склад, складання, складення, состав, статура, статуру, статут, указ, упорядження, устав, уставши, установа, установу, устрій, утомившись, утомлено@
@constitutional@|@конституційний@
@constitutionalism@|@конституціоналізм@
@constitutionality@|@конституціййність, конституційність@
@constitutionally@|@конституційно@
@constitutions@|@конституції@
@constitutive@|@ваговитий, істотний, конструктивний, складений, складовий, складовій, складової, складовою, суттєвий, установчий, утворюючий@
@constitutor@|@засновник@
@constrain@|@здержувати, змусити, змусьте, змушувати, обмежити, обмежувати, перешкоджати, перешкодити, примусити, примушувати, присилувати, стискати, стискувати, стримати, стримувати@
@constrained@|@вимушений, збентежений, здавлений, здушений, змушений, зніяковілий, напружений, натягнутий, невільний, примушений, скований, скутий, стиснутий@
@constrainedly@|@вимушено, напружено@
@constraining@|@змушення@
@constrains@|@змушує@
@constraint@|@вимушеність, змушування, напруженість, обмеження, примус, примушення, примушування, скутість, стиснення@
@constraints@|@примуси@
@constrict@|@скоротити, скоротіть, скорочувати@
@constricted@|@скорочений@
@constricting@|@скорочення@
@constriction@|@звуження, скорочування@
@constrictions@|@звуження@
@constrictor@|@м'яз, удав@
@constricts@|@скорочує@
@constringency@|@стислість@
@construct@|@будувати, збудувати, конструктор, конструювати, побудувати, придумувати, складати, сконструювати, споруджувати, спорудити, створювати, творити, шикувати@
@constructed@|@створений@
@constructing@|@створення@
@construction@|@будинок, будівельний, будівлю, будівля, будівництво, будова, будову, будування, конструкція, мурований, побудова, побудову, побудування, складання, складення, споруда, спорудження, споруджуваний, тлумачення@
@constructional@|@будівельний, конструктивний, конструкційний, структурний@
@constructionism@|@конструктивізм@
@constructions@|@конструкції@
@constructive@|@будівельний, будівничий, конструктивний, конструкторський, творчий@
@constructively@|@конструктивно@
@constructor@|@будівельник, будівник, конструктор@
@constructs@|@конструктори@
@construe@|@вимагати, витлумачувати, потребувати, поясніть, розтлумачити, тлумачити@
@construed@|@пояснений@
@construes@|@пояснює@
@construing@|@пояснення@
@consuetude@|@звичай@
@consuetudinary@|@статут, устав, уставши, утомившись, утомлено@
@consul@|@консул@
@consular@|@консульський@
@consulate@|@консульство@
@consulates@|@консульства@
@consulative@|@дорадчий@
@consuls@|@консули@
@consult@|@консультувати, консультуватися, консультуйтеся, проконсультувати, проконсультуватися, радити, радитись, радитися, справлятися@
@consultancy@|@консультування@
@consultant@|@консультант, консультанте, радник@
@consultants@|@консультанти@
@consultation@|@консиліум, консультація, нарада, нараду, опит, опитування@
@consultations@|@консультації@
@consultative@|@дорадчий, консультативний@
@consulted@|@консультуються@
@consulting@|@консалтинг, консультаційний, консультація@
@consultive@|@дорадчий, консультативний@
@consults@|@консультується@
@consumable@|@споживчий@
@consume@|@винищувати, витрачати, з'їдати, марніти, марнувати, поглинати, споживати, спожити, чахніть, чахнути@
@consumed@|@спожитий@
@consumer@|@споживач, споживчий@
@consumerism@|@споживання@
@consumers@|@споживачі@
@consumes@|@чахне@
@consuming@|@споживання, споживчий, спожиття@
@consummate@|@завершіть@
@consummated@|@завершений@
@consummately@|@вповні, досконало, зовсім, повністю, цілком@
@consummates@|@завершує@
@consummating@|@завершення@
@consummation@|@вивершення, добуток, досягнення, завершення, здійснення, здобуток, кінець, смерть@
@consummations@|@завершення@
@consumption@|@видаток, витрата, затрата, зів'янення, споживання, сухота@
@consumptions@|@споживання@
@consumptive@|@виснажливий, руйнівний, споживацький, споживчий, туберкульозний@
@contact@|@бацилоносій, доторкатися, зв'язаний, зв'язатись, зв'язатися, зв'язки, зв'язковий, зв'язкових, зв'язку, зв'язок, зв'язоку, з'єднання, зіткнення, знайомства, контакт, контактна, контактний, контактувати, лице, лицо, обличчя, особа, особу, пов'язатися, поєднання@
@contacted@|@контактують@
@contacting@|@контакт@
@contactless@|@безконтактний@
@contacts@|@контакти@
@contagion@|@зараза, заразливість, інфекція, настроїв, отрута, отруту, поширення, розповсюдження, розповсюджування@
@contagions@|@інфекції@
@contagious@|@заразливий, заразний, інфекційний@
@contagiously@|@інфекційно@
@contagium@|@заразливість, отрута, отруту@
@contain@|@вміщати, вміщувати, здержувати, містити, міститися, містить, містіть, стримувати, уміщати, утримувати@
@contained@|@міститься@
@container@|@вмістилище, вмістище, контейнер, посудина, посудину, приймач, резервуар, судина, умістище@
@containers@|@контейнери@
@containing@|@розміщення@
@containment@|@герметичність, локалізація, місткість, обмежувач, стримування@
@containments@|@обмежувачі@
@contains@|@містить, містять@
@contaminant@|@домішок, забруднювач@
@contaminate@|@забрудніть, забруднювати, заражати, опоганювати, оскверняти, псувати, розкладати@
@contaminated@|@забруднений@
@contaminates@|@забруднює@
@contaminating@|@забруднення@
@contamination@|@забруднення, зараження, контамінація, опоганення, осквернення, плюндрування, псування, розкладання@
@contaminations@|@забруднення@
@contango@|@контанго@
@contango-day@|@контанго-день@
@contemn@|@зневажте@
@contemned@|@зневажений@
@contemning@|@зневаження@
@contemns@|@зневажає@
@contemplate@|@дожидати, міркувати, намірятися, обдумайте, обдумувати, обмірковувати, обміркувати, очікувати, поміркувати, припускати, розглядати, роздивлятись, роздивлятися, споглядати@
@contemplated@|@обдуманий@
@contemplates@|@обдумує@
@contemplating@|@обдумання@
@contemplation@|@вивчання, вивчення, гадка, гадку, міркування, очікування, припущення, розгляд, роздум, споглядання, сподівання, чекання@
@contemplations@|@роздуми@
@contemplative@|@задуманий, задумливий, замислений, споглядальний@
@contemplator@|@споглядальник@
@contemporaneity@|@збіг, збігання, одночасність, сучасність@
@contemporaneous@|@одночасний, сучасний@
@contemporarily@|@сучасно@
@contemporary@|@сучасний@
@contemporize@|@синхронізувати@
@contempt@|@зневага, зневажати, неповага, презирство@
@contemptible@|@нікчемний@
@contempts@|@презирства@
@contemptuous@|@презирливий@
@contemptuously@|@презирливо@
@contend@|@бороти, боротись, боротися, затверджувати, заявляти, змагатися, сперечайтеся, сперечатись, сперечатися, стверджувати, ствердити, суперничати, твердити, утверджувати@
@contended@|@доведений@
@contender@|@кандидат, претендент, суперник@
@contenders@|@суперники@
@contending@|@доведення@
@contends@|@сперечається@
@content@|@вдовольняти, вміст, всмак, достаток, ємність, задоволений, задоволення, задовольняти, заяви, згідний, згоден, згодний, зміст, місткість, об'єм, обсяг, приголосний, сутність, суть, уміст, усмак, утримування, частка@
@contented@|@задоволений@
@contention@|@боротьба, затвердження, змагання, розбрат, сварка, сварки, спір, спор, ствердження, суперечка, твердження, утвердження, утверджування@
@contentions@|@твердження@
@contentious@|@в'їдливий, заперечливий, нісенітний, прискіпливий, причепливий, сварливий, спірний@
@contentiously@|@спірно@
@contently@|@зміст@
@contentment@|@задоволення@
@contentments@|@задоволення@
@contents@|@вміст, зміст@
@conterminal@|@суміжний@
@conterminous@|@співпадаючий, суміжний@
@contest@|@змагання, змагатися, конкурс, сперечатися, суперечка@
@contestable@|@заперечливий, спірний@
@contestant@|@змагання, конкурент, противник, суперник, супротивник@
@contestants@|@суперники@
@contestation@|@боротьба, заперечення, заперечування, змагання, оспорювання@
@contested@|@відстояний@
@contesting@|@змагання@
@contests@|@суперечки@
@context@|@зв'язаний, зв'язок, з'єднання, контекст, контекстний, обстановка, поєднання, ситуація, тло, фон, фонова, фонове, фоновий@
@context-free@|@контекст-вільний@
@contexts@|@контексти@
@context-sensitive@|@контекстно-залежний@
@contextual@|@контекстний, контекстуальний@
@contextually@|@контекстуально@
@contexture@|@композиція, контекст, сплетення, сплетіння, тканина, тканину@
@contiguities@|@суміжність@
@contiguity@|@близькість, суміжність@
@contiguous@|@стичний, суміжний@
@continence@|@помірність, стриманість@
@continent@|@континент, материк, помірний, стриманий@
@continental@|@континентальний@
@continentally@|@континентально@
@continents@|@континенти@
@contingency@|@випадковий, випадковість, випадок, вірогідність@
@contingent@|@випадковий, вірогідний, імовірний, контингент, можливий, непередбачений, умовний@
@continious@|@постійний@
@continual@|@безперервний, постійний@
@continually@|@безперервно@
@continuance@|@продовження, тривалість, тривання@
@continuances@|@тривалість@
@continuation@|@поновлення, поновлювання, продовження@
@continuations@|@продовження@
@continuator@|@продовжувач@
@continue@|@далі, залишатись, залишатися, зберігати, лишатись, лишатися, перебувати, продовжити, продовжувати, продовжуватися, продовжуйтеся, простиратися, точитись, тягнутися, тягтися@
@continued@|@довготривалий, продовжується, тривалий@
@continuer@|@продовжувач@
@continues@|@продовжується@
@continuing@|@постійний, продовження, продовжування@
@continuity@|@безперебійність, безперервність, електропровідність, наступність, нерозривність, сценарій, цілісність@
@continuous@|@безперервний, безупинний@
@continuously@|@безперервно, постійно@
@continuum@|@континуум@
@contort@|@викривіть, викривляти, спотворювати@
@contorted@|@викривлений, перекривлений, перекручений, скривлений@
@contorting@|@викривлення@
@contortion@|@вивих, викривлення, перекручування, скривлення, спотворення@
@contortionist@|@акробат@
@contortions@|@вивихи@
@contorts@|@викривляє@
@contour@|@контур@
@contours@|@контури@
@contra@|@навпаки, проти@
@contraband@|@контрабанда, контрабандний@
@contrabandist@|@контрабандист@
@contrabands@|@контрабанди@
@contrabass@|@контрабас@
@contra-bassoon@|@контрафагот@
@contraception@|@контрацептування@
@contraceptive@|@контрацептив@
@contract@|@договір, контракт, підрядний, угода, умова@
@contracted@|@вузький, заручений, звужений, зморщений, насуплений, нахмурений, обмежений@
@contraction@|@висновок, вкорочення, замкнення, затвердіння, звуження, зменшення, зменшування, контрактація, набування, придбавання, придбання, скорочення, скорочування, стиск, стискання, стиснення, стягування, ув'язнення, укладання, укладення, укорочення, ущільнення@
@contractions@|@стискання@
@contractive@|@стискується@
@contractor@|@контрагент, підприємець, підприємник, підрядник, підрядчик, постачальник@
@contractors@|@підрядчики@
@contracts@|@договори, контракти@
@contractual@|@договірний, контрактний@
@contractually@|@договірний@
@contradict@|@заперечити, заперечте, заперечувати, протирічити, спростовувати, суперечити@
@contradicted@|@заперечений@
@contradicting@|@заперечення@
@contradiction@|@контраст, протилежність, протиріччя, розбіжність, розходження, спростування, суперечність@
@contradictions@|@спростування@
@contradictious@|@заперечливий, суперечити, суперечливий@
@contradictive@|@суперечливий@
@contradictor@|@опонент, противник, сперечальник, супротивник@
@contradictoriness@|@суперечливість@
@contradictory@|@несумісний, суперечливий, суперечний@
@contradicts@|@заперечує@
@contradistinction@|@протилежність, протиставлення@
@contradistinctions@|@протилежності@
@contradistinguish@|@протиставте@
@contradistinguished@|@протиставлений@
@contradistinguishing@|@протиставлення@
@contrafagotto@|@контрафагот@
@contraindication@|@протипоказання@
@contraindications@|@протипоказання@
@contralateral@|@контралатеральний@
@contralto@|@контральто@
@contraltos@|@контральто@
@contrapose@|@протиставляти@
@contraposition@|@протилежність@
@contrapositive@|@протипоставлений@
@contraption@|@пристосування@
@contrarieties@|@суперечність@
@contrariety@|@несприятливість, несумісність, перешкода, перешкоду, протидію, протидія, протидіяння, протиріччя, розбіжність, розходження, суперечливість, суперечність@
@contrariwise@|@навпаки@
@contrary@|@зустрічний, неслушний, несприятливий, протилежний, супротивний@
@contras@|@навпаки@
@contrast@|@контраст, контрастний, контрастність, контрастування, порівнювати, порівняти, протилежність@
@contrasted@|@протиставлений@
@contrast-enhanced@|@контрастований@
@contrasting@|@протиставлення@
@contrasts@|@контрасти@
@contrast-u@|@контраст-у@
@contravene@|@заперечувати, оспорювати, переступати, порушити, порушувати, суперечити@
@contravention@|@злочин, порушення, протиріччя@
@contretemps@|@фінт@
@contribute@|@віддавати, внести, вносити, жертвувати, співпрацювати, співробітничати, сприяйте, сприяти@
@contributed@|@сприяють@
@contributes@|@сприяє@
@contributing@|@жертвування@
@contribution@|@вклад, внесок, контрибуція, податок, пожертва, пожертву, пожертвування, співпрацю, співпраця, співробітництво, сприяння, стаття@
@contributions@|@вклади@
@contributor@|@доповідач, жертвувати, журналу, помічник, співробітник, учасник, часопису@
@contributors@|@помічники@
@contributory@|@пожертва, пожертву, пожертвування, сприятливий, сприяючий@
@contrite@|@кається@
@contritely@|@каятися@
@contrition@|@розкаяння@
@contrivance@|@вигадка, винайдення, винахід, винахідливість, витівка, план, прилаштування, пристосування@
@contrivances@|@плани@
@contrive@|@вигадайте, винаходити, замишляти, затівати, придумувати, справлятися, ухитрятися@
@contrived@|@вигаданий@
@contriver@|@винахідник@
@contrives@|@вигадує@
@contriving@|@вигадання@
@control@|@диспетчерський, керування, керувати, контроль, контрольний, контролювати, перевірка, проконтролювати, управління, управляти@
@controllabilities@|@керованість@
@controllability@|@керованість@
@controllable@|@керований, контролю, регульований@
@controlled@|@контрольований, контролюється, регульований@
@controller@|@інспектор, інспекторе, контролер, ревізор, регулятор@
@controllers@|@контролери@
@controlling@|@контроль, контрольний, контролюючий@
@controls@|@керування, управління@
@controversial@|@дискусійний, заперечливий, полемічний, спірний, суперечливий@
@controversies@|@суперечки@
@controversy@|@безперечно, безспірно, дискусія, полеміка, протиріччя, сварка, спір, спор, суперечка, суперечність@
@controvert@|@заперечте, заперечувати, оспорювати, полемізувати@
@controverted@|@заперечений@
@controverting@|@заперечення@
@controverts@|@заперечує@
@contumacies@|@упертість@
@contumacious@|@впертий, завзятий, заповзятий, непокірливий, непокірний, упертий@
@contumaciously@|@уперто@
@contumacy@|@впертість, завзятість, завзяття, заповзяття, нез'явлення, непідкорення, непідпорядкування, непокора, упертість@
@contumelies@|@образи@
@contumelious@|@образливий@
@contumely@|@безчестя, зухвалість, ображання, ображення, образа@
@conturex@|@контурекс@
@contuse@|@розітріть@
@contusion@|@контузія@
@conundrum@|@головоломка@
@conundrums@|@головоломки@
@convalesce@|@видужайте@
@convalesced@|@видужується@
@convalescence@|@видужування@
@convalescent@|@видужуючий@
@convalesces@|@видужує@
@convalescing@|@видужування@
@convection@|@конвекційний, конвекція@
@convections@|@конвекції@
@convenances@|@пристойність@
@convene@|@визивати, викликати, громадити, зберіться, збирати, скликати, скликатися@
@convened@|@скликаний@
@convenes@|@збирається@
@convenience@|@вбиральня, вигода, дружбою, зиск, зручність, зручності, придатність, убиральня@
@conveniences@|@вигоди, зручності, комфорт@
@convenient@|@зручний, придатний@
@conveniently@|@зручно, принагідно@
@convening@|@скликання@
@convent@|@монастир@
@convention@|@договір, збори, звичай, зібрання, з'їзд, конвенційний, конвенція, скликання, угода, угоду, умовність@
@conventional@|@загальноприйнятий, звичайний, звичний, зумовлений, обумовлений, пересічний, традиційний, узвичаєний, умовний, шаблоновий@
@conventionalism@|@умовність@
@conventionalities@|@умовність@
@conventionality@|@умовність@
@conventionally@|@умовно@
@conventional-net@|@умовно-чистий@
@conventions@|@договори@
@converge@|@сходитися, сходьтеся@
@converged@|@сходиться@
@convergence@|@конвергенція@
@convergences@|@конвергенції@
@converges@|@сходиться@
@converging@|@сходитися@
@conversable@|@говіркий, товариський@
@conversance@|@обізнаність@
@conversant@|@досвідчений, знаючий@
@conversation@|@бесіда, розмова, розмову@
@conversational@|@говіркий, розмовний@
@conversationalist@|@говорун@
@conversationally@|@розмовно@
@conversations@|@розмови@
@converse@|@бесіда, бесідувати, перевернений, перевернутий, розмова, розмовляти, розмову, спілкування, спілкуватись, спілкуватися@
@conversed@|@спілкується@
@conversely@|@протилежно@
@conversing@|@спілкування@
@conversion@|@звернення, звертання, зміна, зміну, конверсійний, конверсія, обернення, обертання, перевод, переклад, перераховування, перерахування, переробка, перероблення, переробляння, перетворення, перетворювання, перехід, поводження, трансформування@
@conversions@|@перетворення@
@convert@|@конвертувати, перетворення, перетворити, перетворювати@
@converted@|@перетворений@
@converter@|@конвертор, конвертора, перетворювач, реторта@
@converters@|@конвертори@
@convertibility@|@змінюваність, конвертованість, оборотність@
@convertible@|@вільноконвертований, конвертований, оборотний@
@converting@|@звернення, звертання, конвертування, обернення, обертання, перетворення, перетворювання, поводження@
@converts@|@перетворення@
@convex@|@випуклий, опуклий@
@convexities@|@опуклості@
@convexity@|@опуклість@
@convey@|@виражати, переведіть, перевозити, передавати, передати, переправляти, повідомляти, транспортувати@
@conveyance@|@достачання, конвеєр, перевезення, перевіз, передача, повідомлення, транспортування@
@conveyances@|@перевози@
@conveyed@|@переведений@
@conveyer@|@конвеєр, транспортер@
@conveyers@|@транспортери@
@conveying@|@переведення@
@conveys@|@супроводжує@
@convict@|@в'язень, засуджений, засуджувати, засудити, ув'язнений@
@conviction@|@впевненість, засудження, засуджування, переконаність, переконання, присуд, судимість, упевненість@
@convictions@|@переконаність@
@convicts@|@в'язні@
@convince@|@запевняти, переконайте, переконати, переконувати, упевнити, упевнювати@
@convinced@|@переконаний@
@convinces@|@переконує@
@convincing@|@переконання, переконливий, переконуючий@
@convincingly@|@переконливо@
@convivial@|@веселий, компанійський, святковий, товариський@
@conviviality@|@святковість@
@convivially@|@весело@
@convocation@|@акт, збори, зібрання, порада, пораду, рада, раду, скликання@
@convocations@|@скликання@
@convoce@|@збирати, зібрати, скликати@
@convoke@|@зберіть@
@convoked@|@зібраний@
@convokes@|@збирає@
@convoking@|@збирання@
@convolute@|@згорнений@
@convoluted@|@вигнутий, завитий, скручений@
@convolution@|@виток, згорненість, зігнутість, оберт, обіг, оборот@
@convolutions@|@згорненість@
@convolve@|@згорніться@
@convolved@|@згорнений@
@convolving@|@згорнення@
@convoy@|@конвой, конвоювати, супроводжувати, супроводити, транспорт@
@convoyed@|@супроводжується@
@convoying@|@супроводжування@
@convoys@|@конвої@
@convulse@|@конвульсії, потрясати, потрясіть, хвилювати@
@convulsion@|@зворушення, коливання, конвульсія, корч, перелоги, потрясіння, судома, судорога@
@convulsions@|@конвульсії@
@convulsive@|@судорожний@
@convulsively@|@судорожно@
@cony@|@кролик@
@coo@|@воркотати, воркування@
@co-occurrence@|@співвипадок@
@cook@|@варити, готувати, зварити, зготувати, кухар, куховар, куховарити@
@cooked@|@зварений, зваритися@
@cooker@|@каструля, отой, пекти, піч, плита, той@
@cookery@|@кулінарія@
@cookie-pusher@|@підлабузник@
@cooking@|@варка@
@cook-room@|@камбуз, кухня@
@cooks@|@кухарі@
@cook-shop@|@їдальня@
@cooky@|@куховарка@
@cooky-pusher@|@підлабузник@
@cool@|@зимний, охолоджувати, охолодити, прохолодний, холодна, холодне, холодний@
@cooled@|@охолоджений@
@cooler@|@в'язниця, тюрма, холодильник@
@coolers@|@холодильники@
@cool-headed@|@холоднокровний@
@coolie@|@лантухи@
@cooling@|@охолодження, охолоджування@
@coolly@|@прохолодно@
@coolness@|@охолодження, охолоджування, прохолода, прохолодь, свіжість, спокій, холоднокровність, холодок@
@coolnesses@|@прохолода@
@cools@|@охолоджується@
@cooly@|@лантухи@
@coomb@|@улоговина@
@coombs@|@улоговини@
@coon@|@єнот@
@coop@|@вершачи, курник@
@cooper@|@бондар, дегустатор@
@cooperage@|@бондарня@
@cooperate@|@співпрацювати, співробітничайте@
@co-operate@|@взаємодіяти, кооперуватися, кооперуйтеся, об'єднуватись, об'єднуватися, поєднуватись, поєднуватися, співпрацювати, співробітничати, сприяти@
@cooperated@|@співробітничають@
@cooperates@|@співробітничає@
@cooperating@|@співробітництво@
@cooperation@|@кооперація, кооперування, співпраця, співробітництво@
@co-operation@|@кооперація, співпрацю, співпраця, співробітництво@
@cooperations@|@співробітництва@
@cooperative@|@кооператив, кооперативний, спільний@
@co-operative@|@кооператив, кооперативний@
@cooperatively@|@кооперативно@
@cooperatives@|@кооперативи@
@co-operator@|@кооператор, співпрацівник, співробітник@
@coops@|@курники@
@co-opt@|@кооптувати, кооптуйте@
@co-optate@|@кооптувати@
@cooptation@|@кооптація@
@co-optation@|@кооптація@
@co-option@|@кооптація, співвибір@
@coordinate@|@координата, координувати, скоординувати@
@co-ordinate@|@координата@
@coordinated@|@координований, узгоджений@
@co-ordinated@|@узгоджений@
@coordinately@|@координувати@
@coordinates@|@координати@
@coordinating@|@координація, координування, координуючий@
@coordination@|@координація, погодженість, погодження@
@co-ordination@|@координація, погодження, узгодження@
@coordinational@|@координаційний@
@coordinations@|@координації@
@coordinator@|@координатор@
@co-ordinator@|@координатор@
@co-ossify@|@співкостенійте@
@coot@|@плішивий, простак@
@co-owner@|@співвласник@
@co-ownership@|@співвласність@
@cop@|@верхівка, застати, застать, піймання, полісмен, поліцейський, спіймання, чубчик@
@copal@|@копав@
@coparcener@|@співспадкоємець@
@copartner@|@співучасник, спільник@
@copartnership@|@товариство@
@cope@|@будка, кабіна, кожух, крити, купувати, обмінювати, обхоплювати, покривати, поратися, риза, справитися, справлятися, упоратися, управитися@
@copeck@|@копійка@
@coped@|@вкритий@
@copenhagen@|@копенгаген@
@copes@|@ризи@
@cope-stone@|@вивершення, завершення@
@copied@|@скопійований@
@copier@|@копірувальник, наслідувач, переписувач@
@copiers@|@копірувальники@
