@English@|@Yiddish@
@branch@|@tsvayg@
@brand new@|@shpogl nay@
@Brand-new@|@Shpogel nei@
@brass@|@mesh@
@brassiere@|@stanik@
@brat@|@takhshet, takhshitim@
@Bratslav@|@bratslav@
@brave@|@bahartst, mutik, mutik, shtark, shtarker@
@Brave@|@Heldish, Mutek@
@Brazenness@|@Chutzpeh@
@Bread@|@broyt@
@breadbox@|@broytnitse@
@breadth@|@rakhves@
@break@|@brekhn, tsebrekhn@
@Break a leg!@|@Tsebrech a fus!@
@break into@|@araynbrekhn zikh in, araynraysn zikh in@
@Break your own head!@|@Shlog zich kop in vant@
@breakfast@|@iberbaysn@
@Breakfast@|@frishtik@
@Breasts@|@Bristen@
@breath@|@dukh, otem@
@breathe@|@otemen@
@breed@|@plid@
@breeze@|@vintl@
@breezy@|@vintldik@
@Breslau@|@breslau@
@bribe@|@unterkoyfn@
@bridal veil@|@dektukh@
@bride@|@kale@
@Bride@|@Kalleh@
@bride and groom@|@khosnkale@
@Bride and groom@|@Chossen-kalleh@
@bridegroom@|@khasanim, khosn@
@Bridegroom@|@Chossen@
@Bridge@|@brik@
@bridge (of a ship)@|@brikl@
@briefcase@|@rentsl@
@briefly@|@bekitser@
@bright@|@hel, likhtik@
@bring@|@brengen@
@bring closer@|@dernentern@
@bring out@|@aroysbrengen@
@broadcast@|@oyditsye@
@broaden@|@farbreytern@
@broad-shouldered@|@breytpleytsik@
@Broadway@|@brodvey@
@broken@|@tsebrokhn@
@Bronks@|@bronks@
@bronze@|@bronz@
@brood@|@dumen@
@broom@|@bezem@
@brother@|@breeder, bruder@
@brotherhood@|@bridershaft, brudershaft@
@brother-in-law@|@shvoger@
@brown@|@broyn, kharoysies, khroyses@
@Brown-noser@|@Toches-lecker@
@brunette@|@brunet@
@Brunhilde@|@Gezunteh moid!@
@brush@|@barsht, barshtn@
@brush (teeth)@|@putsn@
@Brussels@|@brisl@
@brute@|@akhzer, akhzorim@
@bubble@|@blezl@
@bubby@|@bube@
@bucket@|@kibl@
@Budapest@|@budapesht@
@Buddy@|@Chev 'r' mann@
@Buffoon@|@Yukel@
@build@|@boyen@
@building@|@binyen@
@bulgar@|@bulgar@
@bull@|@bik@
@bullet@|@koyl@
@bulls-eye@|@tsilapl@
@Bum@|@Bohmer@
@Bum (fem.)@|@Bohmerkeh@
@bump@|@shtroykhl@
@bumpy@|@shtroykhldik@
@bundle@|@bintl, pekl@
@bungler@|@Lemeshkeh, shlimil@
@Bungler@|@Tsedraiter kop@
@bunk@|@bankbetl@
@bunny@|@kinigl@
@burnt-offering@|@brandoper@
@Burst!@|@plaplen@
@Bus@|@oytobus@
@Bus station@|@oytobus statsye@
@business@|@asokim, eysek@
@Business@|@gesheft@
@businessman@|@sokhrim, soykher@
@busy@|@farshmayet@
@busybody@|@yakhne@
@but@|@mernisht@
@butcher@|@katsef, katsovim@
@butcher shop@|@yatke@
@butter@|@puter@
@butterfly@|@flaterl, zumer-feygele@
@Buttocks@|@Toches@
@button@|@knep, knepl, knop@
@button hole@|@knepllekher, knepllokh@
@button something@|@farkneplen@
@buy up@|@oyfkoyfn@
@by@|@durkh, durkh, fun@
@by day@|@baytog@
@by force@|@bgvald@
@by telephone@|@telefonish@
@by the way@|@agev@
@by way of@|@betoyres, durkh@
@byzantine@|@bizantinesh@
@Cabala@|@kabole@
@cabbage@|@kroyt@
@cabbalist@|@mekubl, mekubolim@
@cablegrams@|@Yedies@
@cake@|@kukhn, tertl@
@calcium@|@kalkh@
@calendar@|@luakh, lukhes@
@calf of a leg@|@litke@
@California@|@kalifornye@
@call@|@onrufn, rufn@
@call out@|@aroysrufn@
@call up@|@ontelefonirn@
@call upon@|@oyfrufn@
@calm@|@menukhe, ruik@
@camel@|@keml@
@camp counselor (female)@|@oyfpaserin@
@camp counselor (male)@|@oyfpaser@
@Can I help you?@|@Ken ikh dikh oyshelfn?@
@Can you help me?@|@Kenstu mikh oyshelfn?@
@Can you say it again?@|@Kenstu dos nokhamol iberzogn?@
@Canada@|@kanade@
@cancel@|@anulirn@
@cancer@|@di emese mayse, di yene mayse@
@candle@|@likht@
@candle used to light candles@|@shames, shamosim@
@candlelight@|@likhtflam@
@candles@|@bentshlikht@
@Canopy under marriage ceremony@|@Chupah@
@cantor@|@Chazen@
@Cantor@|@khazn, khazonim@
@Capable@|@Fayeke, Fayeker@
@Capable of doing anything bad@|@Vos-in-der-kort@
@capillary@|@oderl@
@capitol (city)@|@hoyptshtot@
@capture@|@farkhapn@
@car@|@oyto@
@Car rental agency@|@agentur far gedungene oytos@
@caraway (seeds)@|@kiml@
@care@|@barot, hazshgokhe@
@careful@|@opgehit@
@Careful!@|@Forzikhtig!@
@Careless dresser@|@Opgelozen, Opgelozen(er), shlump@
@carouse@|@hulien@
@carpenter@|@stolyer@
@carpentry@|@stolyeray@
@carpet@|@kobrets, tepekh@
@carrot@|@mer@
@carry@|@shlep, trogn, trogn@
@carry away@|@avektrogn@
@carry out@|@durkhfirn@
@carry somtheing to excess@|@ariberkhapn@
@cart@|@vogn@
@case@|@fal, yednfals@
@case (for an instrument)@|@sheydl@
@case (in grammar)@|@beygfal@
@cash@|@mezumen, mezumonem, mezumonim@
@cat@|@kats@
@cat- o- nine tails@|@Lokshen strop@
@catch@|@dervishn, fang, fang, fangen, khapn@
@Catch him!@|@Chaptsem@
@catch up with@|@anyogn@
@category@|@kategorye@
@cauliflower@|@kalifyor@
@cause@|@sibe@
@cavern@|@heyl@
@cease@|@oyfhern@
@cedar (tree)@|@tsederboym@
@ceiling@|@stelye, sufit@
@celebrate@|@fayern, oprikhtn, yoyvlen@
@Celebrate@|@praven@
@celebrate with songs@|@bazingen@
@celebration@|@simkhe@
@celery@|@selerye@
@cell@|@tsel@
@cell phone@|@tselfon, tselke@
@cellular@|@tselular@
@cement@|@tsuklepn@
@cemetary (Jewish)@|@beysakvores@
@cemetery@|@besalmen, besoylem, besoylem, tsvinter@
@centimeter@|@tsentimeter@
@central@|@tsentral@
@century@|@yorhundert@
@cereal@|@tvue@
@Ceremonial "egg" bread@|@Challa@
@Certainly@|@Zikher@
@certainty@|@zikherkeyt@
@certify@|@bashtetikn@
@chair@|@benkl, shtul@
@chairman@|@forzitser@
@chairmanship@|@forzits@
@chalk@|@krayd@
@Challah@|@khale@
@champagne@|@shampanyer@
@champion@|@mayster@
@change@|@baytn, endern, enderung, farenderung, ibermakhn@
@change coins@|@kleyngelt@
@chap@|@yat@
@chapter@|@kapitl@
@character@|@kharekter@
@charm@|@kheyn, kishef, kishef@
@charmed@|@mesugl@
@Chaste@|@Tsnueh@
@chat@|@Butchke@
@Chava@|@khave@
@cheap@|@bilik, Parshiveh, volvl@
@Cheapskate@|@Kushinyerkeh@
@cheat@|@oysnarn@
@check! (in chess)@|@shakh@
@checkmate@|@mat@
@cheek@|@bak@
@cheek (diminutive form)@|@bekl@
@cheer@|@lust@
@cheerful@|@freylekh, lustik@
@Cheers!@|@Lehayim!@
@cheese@|@kez@
@chef@|@kukher@
@Chemistry@|@Di khemye@
@Chernovits@|@tshernovits@
@cherry@|@karš@
@cherry (sour)@|@vaynshl@
@cherry (sweet)@|@karsh@
@chess@|@shokh@
@chestnut@|@kest@
@Chicago@|@tshikago@
@chicken@|@hiner, hun@
@Chicken@|@Hendl@
@chicken broth@|@yoykh@
@chickpea@|@arbes@
@chief@|@hoypt, rosh, shef@
@chiefly@|@der iker, der iker, derikersht, iber hoypt@
@child@|@kind, kinder, pisher@
@childbirth@|@kimpet@
@Childbirth amulet@|@Kimpet-tzettel@
@childhood@|@kindheyt@
@chin@|@bord, kin, morde@
@China@|@khine@
@Chinese@|@chinezish, khinezish@
@Chinese (person)@|@khinezer@
@chirp@|@tshirik, tshiriken@
@ch'ob ich alles in dread@|@everybody can go to hell!@
@chocolate@|@shokalad, shokolad@
@choice@|@Breire, breyre@
@choke@|@dershtikn, vargn@
@choke something@|@shtikn@
@Choke yourself!@|@Ver dershtikt!@
@cholera@|@kholere, kholerye@
@chop@|@hakn@
@Chopped meat@|@Hak flaish@
@chord (in music)@|@akord@
@chorus@|@khor@
@Christian@|@kristlekh@
@Christian (person)@|@krist@
@Christmas@|@nitl@
@Chronic complainer@|@Pitshetsh@
@chubby@|@diklekh, poyshik@
@chump@|@yold@
@chunk@|@shayt@
@church@|@kirkh, kirkh, kloyster@
@Church@|@kirche@
@cigar@|@tsigar@
@cigarette@|@papiros@
@cigarette lighter@|@ontsinder@
@circle@|@krayz, ringlen zikh@
@circulation@|@tsirkulatsye@
@circumcise@|@yidishn@
@circumciser@|@moyel@
@Circumcision@|@Bris@
@circumcision ceremony@|@Bris@
@circus@|@tsirk@
@citizen@|@birger@
@citron@|@esreg, esroygim@
@city@|@shtet, shtot@
@city dwellers@|@shtotlayt@
@civil@|@birgerlekh@
@civil war@|@birgerkrig@
@civilian@|@tsivil@
@civilization@|@tsivilizatsiye@
@claim@|@dringen@
@clarification@|@oyfklerung@
@class@|@klas@
@clay@|@leym, leymen, plastelin@
@clean@|@zoyber@
@clean sacrifice@|@Shaineh raaineh keporah@
@clear@|@klor@
@clear up@|@oyfklern@
@cleaver@|@hakmeser@
@cliff@|@feldz, opgrunt@
@climb@|@aroyfkrikhn oyf@
@climb down@|@arunterkrikhn@
@clock@|@zeyger@
@clockwise@|@zeygerik@
@clog up@|@farshtopn@
@close@|@noent, sof@
@close of@|@motse-@
@Closed@|@farmacht@
@closet@|@almer, shafe, shank@
@cloth@|@shtof, tsayg@
@cloth piece of@|@tikhl@
@clothe@|@bakleydn, onton, onton@
@clothes@|@onton@
@cloud@|@khmare, volkn@
@cloudburst@|@volknbrokh@
@cloudy@|@volkndik@
@clown@|@lets, letsonem, letsonim, leytsim, leytsim, payats@
@Clowns@|@Payets@
@club@|@flokn, klub@
@clump@|@hayfl@
@clumsy@|@umbaholfn@
@Clumsy bungler@|@shlemiel@
@Clumsy fool@|@Lominer gaylen@
@clumsy oaf@|@shlemiel@
@Clutches at my heartstrings@|@Klemt beim hartz@
@coal@|@koyl@
@Coarse@|@Grober@
@coaster@|@untertetsl@
@cobblestone pavement@|@bruk@
@cockroach@|@tarakan@
@code@|@kod@
@Coffee@|@kave@
@Coffee cake style pastry@|@Babka@
@coffin@|@aroynes, orn@
@cognitive@|@banemik@
@coin@|@matbeye@
@coincidence@|@tsufal@
@colander@|@durkhshlak@
@cold@|@kalt@
@cold blooded@|@kaltblutik@
@cold cuts@|@oyfshnit@
@Cold spinach soup@|@Shav@
@cold sweat@|@angstn@
@collaborate@|@tsuzamenarbetn@
@collaboration@|@tsuzamenarbet@
@collar@|@kolner@
@collar bone@|@kolnerbeyn@
@colleague (feminine)@|@kolegin@
@colleague (masculine)@|@kolege@
@collect@|@klaybn, zamlen, zamlen, zamlen zikh@
@collection@|@zamlung@
@collectively@|@betsiber, btsiber@
@collector@|@zamler@
@college@|@kaledzh@
@Colloquial for synagogue@|@shul@
@colonel@|@polkovnik@
@color@|@farb@
@color blind@|@kolir-blind@
@colored@|@kolirt@
@colorful@|@filfarbik, kolirik@
@column@|@rubrik, zayl@
@comb@|@kam@
@comb one's hair@|@farkamen zikh@
@come in@|@araynkumen@
@Come in!@|@Arein@
@Come now!@|@Gait; gait!@
@come on@|@anu@
@come out@|@aroyskumen@
@come out publicly@|@aroystretn@
@come to a conclusion@|@kumen tsu a shlus@
@Come upper@|@Oyfgekumener@
@Come with me!@|@Kum mit mir!@
@comedian@|@komiker@
@comedy@|@komediye, komedye@
@come-uppance@|@opkumenish@
@comfort@|@bakvemlekhkeyt, treystn@
@comfortable@|@bakvem@
@comforting@|@Glezel varms@
@comical@|@komish@
@coming@|@osedik@
@coming from Ukraine@|@Rooshisher@
@command@|@komande@
@commandments@|@dibraye@
@commentator@|@mefaresh, meforshim@
@commit suicide@|@zikh onton a mayse@
@committee@|@komitet@
@common@|@prost@
@Common people@|@Hamoyn@
@Common sense@|@Saykhel@
@Communal busybody@|@Shlatten shammes@
@communal...@|@klal-...@
@communicate@|@ibergebn, lozn visn, lozn visn@
@community@|@eyde, kibets, kibutsim, tsiber@
@compassion@|@rakhmones@
@Compassionate@|@Tsigeloisen@
@Compassions@|@Rachmones@
@competition@|@farmest@
@complain@|@klogn zikh oyf@
@complainer@|@kvetsh@
@Complainer@|@Klogmuter@
@complaint@|@tayne-umayne@
@complete@|@dergantsn, Fartik, fulshtendik, mashlem zayn@
@complexion@|@kolir@
@comply@|@nokhkumen, oysfolgn@
@component@|@bashtandteyl, bashteyteyl, komponent@
@compose@|@tsunoyfzetsn@
@composition@|@bashtand@
@composure@|@bahershkeyt, statik@
@comprehensive@|@arumnemik@
@compromise@|@pshore@
@compromising@|@pshoresdik@
@computer@|@kompyuter@
@conceal@|@tayen@
@concealment@|@baheltenish@
@conceited@|@ayngebildet, ayngeleybt in zikh@
@concept@|@bagrif, forshtelung@
@conception@|@banem@
@concern@|@arn@
@concerning@|@benegeye@
@concert@|@kontsert@
@conclude@|@shlisn@
@conclusion@|@shlus@
@Concoct@|@Oysznoygn fun finger@
@condition@|@tnay, tsushtand@
@condolence@|@mitgefil@
@conduct@|@firung, noyeg@
@conductor@|@dirigent@
@conference@|@konferents@
@confess@|@moyde zayn zikh@
@confession of sins@|@vide, viduim@
@Confused@|@Far-tshadikt, tsemisht@
@confusion@|@behole@
@Confusion@|@Tsemishnich, Tumel@
@Conglomeration@|@Kakapitshi@
@congratulations@|@mazltov@
@Congratulations@|@Mazl tov@
@Congratulations!@|@Mazltov!@
@congress@|@kongres@
@conjure@|@farshvern@
@conman@|@Farbrecher@
@connected@|@farbundn@
@connection@|@farbindung@
@connoisseur@|@Maiven@
@conquer@|@zign@
@consciousness@|@bavustzayn@
@consensus@|@heskem-kulem@
@consent@|@bashteyn, haskome@
@consequently@|@heyst es@
@conserve@|@shporn@
@consider@|@baklern, baklern, barekhenen, batrakhtn, haltn far@
@considerable@|@hipsh, nishkoshedik@
@considerate@|@aynzeerish@
@consideration@|@batrakhtung@
@consist of@|@tsunoyfshteln zikh@
@consistent@|@oysgehaltn@
@consolation@|@treyst@
@Consolation@|@Nechuma@
@conspire@|@farshvern zikh@
@constant@|@keseyderdik, shtendik@
@Constipated@|@A shtyfer mogn@
@constipation@|@Harte mogen@
@construct@|@oyfboyen@
@construction@|@konstruktsie, oyfboy@
@contain@|@anthaltn@
@contaminate@|@metame zayn@
@contata@|@kantate@
@contemporary@|@bendor@
@contempt@|@bitl@
@contents@|@inhalt, toykhn@
@context@|@kontekst@
@continually@|@keseyder@
@continuation@|@hemshekh, hemsheykhim@
@contract@|@ayntsien (zikh)@
@contraction@|@oyftsi, tsunoyvaks@
@contraption@|@Machareikeh@
@contribution@|@tsushtayer@
@control@|@dirigirn@
@controls@|@kontrol@
@controversial@|@kontroversyal@
@controversy@|@khiluke-deyes@
@convention@|@tsuzamenfor@
@conversion@|@farvandlung@
@convert@|@farvandlen@
@convince@|@aynredn@
@convincing@|@ibertsaygik@
@cook@|@opkokhn@
@Cooked groats and broadnoodles@|@Kasheh varnishkes@
@cooked in soup@|@k'naidlech, Knaidel@
@cookie@|@kikhl@
@cooking stove@|@pripetshik@
@cool@|@kil, kiln@
@coordinate@|@koordinirn@
@copper@|@kuper@
@copy@|@ibershraybn@
@corned beef@|@peklfleysh@
@corner@|@ek@
@cornflakes@|@papshoy-sneyelekh@
@corny@|@Shmaltzy@
@correct@|@emes, korekt, rikhtik@
@correspond@|@korespondirn@
@correspondence@|@korespondents@
@correspondent@|@korespondent@
@cosmic@|@kosmish@
@cosmos@|@kosmos@
@Cossack@|@kozak@
@costume@|@kostum@
@cottage@|@khate@
@cottage cheese@|@tsvorekh@
@cotton@|@bavl, vate@
@cough@|@hust, hustn@
@could be@|@efsher, Ken zein@
@council@|@rat, rot@
@count@|@ibertseyln, rekhenen, tseyln, tseylung@
@countenance@|@mine@
@counter-clockwise@|@umzeygerik@
@country@|@medine@
@Country peddler@|@Karabeinik@
@Countryman@|@Lantsman@
@courage@|@mut@
@courageous@|@mutik@
@courier@|@meshulekh@
@courtyard@|@azore@
@courtyard of...@|@ezras@
@cousin@|@shvesterkind@
@cousin (female)@|@kuzine@
@cousin (male)@|@kuzin@
@cover@|@baleygn, dek, dek, dekn@
@covered@|@badekt, fartsoygn@
@covered wagon@|@boyd@
@cow@|@ku@
@coward@|@pakhdn, pakhdonim@
@cowardice@|@pakhdones@
@cowboy@|@kauboy@
@Cows feet in jelly@|@Ptsha@
@crab@|@krab@
@crack@|@brokh, shpalt@
@cracker@|@pletsl@
@cradle@|@vig@
@craftsman@|@bal-melokhe@
@crash@|@krakh@
@crawl@|@krikhn@
@crawl into@|@farkrikhn@
@crawl under@|@arunterkrikhn unter@
@crawling@|@krikhik@
@craze@|@Meshugass@
@craziness@|@meshugas@
@crazy@|@meshuge, meshuge, meshugedik@
@Crazy@|@A ritch in kop, Mashugga@
@Crazy (1)@|@Meshugeh@
@Crazy as a loon@|@Meshugeh ahf toit@
@Crazy people@|@Meshugoyim@
@cream@|@krem@
@cream cheese@|@shmirkrez@
@create@|@bashafn, shafn@
@creation@|@shafung@
@Creation@|@bashaf@
@creative@|@shaferish, sheferish@
@Creator@|@bashefer@
@creature@|@bashefenish, brie@
@Creature@|@Breeye@
@creek@|@ritshke, taykhl@
@creep@|@krikhn@
@crime@|@farbrekhn@
@criminal@|@farbrekher, farbrekherish, farbrekhik@
@crisis@|@krizis@
@critic@|@kritiker@
@critical@|@kritish@
@criticism@|@kritik@
@criticize@|@kritikirn@
@critique@|@retsenzye@
@Crook@|@Goniff@
@cross@|@tseylem, tslomim@
@Cross-eyed@|@Kasokeh@
@crosswise@|@kver@
@crow@|@kro@
@crown@|@kreynen, kroyn@
@crude@|@Grob@
@crush@|@tsedrikn@
@cry@|@shray, veynen@
@Cry of anguish@|@Oi; gevald@
@cubby@|@vinkele@
@cucumber@|@ugerke@
@cuddle@|@tulyen zikh@
@cuff@|@manzshet@
@cuff link@|@shponke@
@culminate@|@kulminirn@
@culprit (female)@|@bale-dover, baledover@
@cultivation@|@baarbetung@
@culture@|@kultur@
@Cultured or finicky@|@Aidel@
@cunning@|@durkhgetribn, khitre, shloy@
@cup@|@kubik, shelkhl@
@curiosity@|@naygerikeyt, tshikaves@
@curious@|@naygerik, tshikave@
@curl of smoke@|@kroyz@
@currant@|@vaymperl@
@current@|@haynttsaytik, itstik@
@curse@|@klole, Makeh, zidlen@
@curse remover@|@opshprekher@
@curse remover (female)@|@opshprekherin@
@curtain@|@firhang@
@cushion@|@kishn@
@customs duty@|@tsol@
@cut@|@shnaydn@
@Cut it short!@|@On langeh hakdomes!, Un langeh hakdomes!@
@cut off@|@opshnaydn@
@cut out@|@oysshnaydn@
@cute@|@kheynevdik, zis, zis@
@cycle@|@tsikl@
@cymbal@|@tsimbl@
@czar@|@tsar@
@Czech@|@tshekhish@
@dad@|@tate@
@Daf Yomi@|@daf yomi@
@daily@|@teglekh@
@dairy food@|@milkhik@
@dairyman@|@milkhiker@
@daisy@|@margaritke, margeritke@
@daled; 4th letter of alphabet@|@daled@
@damage@|@bashedikn@
@dance@|@tants, tantsn, tentsl@
@dangerous@|@mesukn, shedlekh@
@Dangerous@|@Geferlech@
@dangerously sick person@|@khoyle-mesukn@
@dark@|@tunkl@
@darkness@|@khoyshekh@
@darling@|@libling@
@Darling son!@|@Zuninkeh!@
@darling!@|@bubele, hartse, hartsenyu@
@dart@|@shpiz@
@dash of caraway@|@kimlshtoyb@
@date (calendar)@|@date@
@daughter@|@tekhter, tochter, tokhter@
@daughter of@|@bas@
@daughter-in-law@|@shnur@
@dawdler@|@megege, shmegege@
@dawn@|@fartog@
@day@|@togik, yom (imim)@
@Day@|@tog@
@day after tomorrow@|@iber morgn, ibermorgn@
@day before yesterday@|@eyernekhtn@
@Day of Atonement@|@Yom Kippur@
@day of fasting@|@taneysim, tonis@
@day school@|@togshul@
@day-to-day@|@tog-teglekh@
@dead@|@kaput, toyt@
@dead man@|@mes, meysim@
@dead person@|@nifter, niftorim@
@deadline@|@termin@
@deaf@|@toyb@
@deaf-mute@|@toyb-shtum@
@dear@|@lib, mamele@
@dear children@|@kinderlekh@
@dear house@|@shtibele@
@Dear me!@|@Oi; Vai!@
@dearest@|@Tei-yerinkeh!@
@death@|@toyt@
@death camp@|@umbreng-lager@
@Debauchee@|@Veibernik@
@debris@|@boybrekh@
@decade@|@yortsendling@
@deceit@|@opnar@
@deceive@|@narn@
@December@|@detsember@
@Deception@|@Opnarerei@
@decide@|@bashlosn@
@decipher@|@deshifrirn@
@decision@|@bashlus@
@declarative sentence@|@dertseylzats@
@decline@|@untergang@
@decorate@|@baputsn@
@Decorated@|@Oisgeshtrozelt@
@decoration@|@baputsung@
@Decrepit place@|@Hekdish@
@dedicate@|@vidmen@
@dedication@|@khinekh, vidmung@
@deed@|@akt, shtar, shtorim@
@deeds@|@maysem@
@deep@|@tif@
@deer@|@hirsh, sarne@
@defeat@|@durkhfal@
@defecate@|@kakn@
@Defecate on him@|@Kuck im on@
@defendant@|@bal-dover, baldover@
@definition@|@definitsie@
@degree@|@madreyge@
@delay@|@farhalt, farhalt, farhaltn, makhn shies@
@delays@|@shies@
@delicate@|@delikat@
@Delicately brought up@|@Aidel gepotchket@
@delicatessen@|@vurshteray@
@delicious@|@Batampte, batamt, batamt, Geshmak, tam-ganeydn@
@deliver@|@opgebn@
@demand@|@fodern@
@demand one's due@|@monen@
@demise@|@ptire@
@demon@|@lapitut@
@den@|@nore@
@denounced@|@fardamt@
@denunciation@|@mesire@
@depart@|@aroysforn@
@departure@|@aroysfor@
@Departure@|@opfur@
@dependent@|@ophengik@
@depressed@|@dershlogn, farklemt@
@depth@|@tifenish@
@derive pleasure@|@shepn nakhes@
@descend@|@aropnidern, shtamen@
@descent@|@yikhes@
@describe@|@bashraybn, oysmoln@
@description@|@bashraybung@
@desecration@|@khilel, khilulim@
@desert@|@midber, midboyres@
@deserted@|@farlozn, vist@
@design@|@dizayn@
@designate@|@bashtimen@
@designated@|@bashtimt@
@Designates disbelief@|@fooey, pfui, Phooey!@
@desire@|@bager, bagern, farlang, farlang, farlangen@
@desperate@|@fartsveyflt@
@Despicable person@|@Traifnyak@
@dessert@|@farbaysn@
@Dessert@|@desert, nochshpayze@
@destined@|@Bashert@
@destroyed@|@khorev@
@detach@|@opteyln@
@detail@|@prat, protim@
@detailed@|@protemdik@
@develop@|@antviklen@
@development@|@antviklung@
@devil@|@sotn, tayvl, tayvolim@
@devilish@|@tayvlonish@
@devil's advocate@|@dem ruekhs advokat@
@devise@|@oysklern@
@devoted@|@ibergegebn@
@devour@|@aynshlingen, fartsukn, Fressen@
@diabetes@|@tsukerkrenk@
@dial@|@redl@
@dialect@|@dialekt@
@dialectical@|@dialektish@
@dialog@|@dialog@
@diamond@|@brilyant, diment@
@diarrhea@|@loyzer mogn, shilshl@
@Diarrhea@|@Layseh mogen@
@diary@|@togbukh@
@dibbuk; an evil soul of dead@|@dibek, dibukim@
@dice@|@atsomes, etsem, toplshteyner, verfl@
@dictionary@|@verterbikhl, verterbuch, verterbukh@
@Did you like it here?@|@Iz es dir do gefeln?@
@die@|@oysgeyn, shtarbn@
@difference@|@khilek, khilukim, untersheyd@
@different@|@andersh@
@difficult@|@koshe, shver@
@difficulty@|@shverikeyt@
@dig into@|@arayngrobn@
@dignity@|@koved, koved@
@Diminutive@|@Kinderlech@
@diminutive (grammar)@|@fedem, fodem@
@ding-dong@|@bim-bom@
@dining room@|@estsimer@
@dinner@|@varemes, varmes@
@Dinner@|@vetshere@
@dinner main meal@|@onbaysn@
@dip@|@tunken@
@dip in@|@a shepn ton@
@dire@|@biter@
@direct@|@vendn@
@direction@|@rikhtung@
@dirt@|@drek, shmuts@
@dirty@|@shmutsik@
@disappear@|@farshvundn vern, nelm vern@
@Disappeared@|@Fahrshvindn@
@disappoint@|@antoyshn@
@disappointed@|@antoysht@
@Disappointed@|@Ahntoisht, Entoisht@
@disappointment@|@antoyshung, Fardross@
@disaster@|@brokh@
@disclose@|@oyszogn@
@discourse@|@ophandlung@
@discover@|@antdekn@
@discrepancy@|@stire@
@discuss@|@adurkhshmuesn@
@discussion@|@diskusye@
@disgrace@|@kharpe, Shandeh, umkoved@
@disgust@|@ekl@
@disgusting@|@ekldik@
@disgusting person@|@paskudnik, paskudnitse@
@dish@|@keyle, keylem, teler@
@Dish of chicken gizzards@|@Pupiklech@
@dish of mixed fruit@|@tsimes@
@disheveled@|@tseshoybert@
@dislike@|@hobn fant@
@dismiss@|@opzogn@
@disobediant@|@nishtfolgndik@
@disordered@|@Ongepatshket, Ongevarfen@
@dispatch@|@oyfleygn@
@display@|@oysshtel@
@dispute@|@shparn zikh@
@disquiet@|@baumruikn@
@dissolve@|@funanderlozn zikh, oyfleyzn (zikh), tselozn (zikh)@
@distance@|@mehalekh, vaytkeyt@
@distant lands@|@merkhakem@
@distasteful@|@dervider@
@distinction@|@oystsekhenung@
@distinguished@|@khoshev, ongezeyen@
@distort@|@tsedreyen@
@distorted@|@fardreyt@
@Distressed@|@Fardeiget@
@distribute@|@oysteyln, tsefirn (zikh)@
@distribution@|@tseteylung@
@divide@|@tseteyln@
@divide (into)@|@teyln oyf@
@divisible@|@teylevdik@
@division@|@instants, teyl@
@divorce@|@opgetn@
@Divorce@|@Get@
@do@|@ton@
@do a good deed@|@ton a toyve@
@do again@|@nokhtsumakhn@
@Do me a favor@|@Tu mir a toiveh@
@Do not disturb the geese@|@Strashen net de genz@
@Do you accept credit cards?@|@nemt ir on kredit kartn?@
@Do you have...@|@hot ir...@
@Do you like it?@|@Gefelt es dir?@
@Do you speak English?@|@Redstu English?@
@Do you speak Yiddish?@|@Redstu Yidish?@
@Do you speak...@|@redt ir...@
@Do you want...@|@Vilstu@
@doctor@|@dokter, doktor, doktoyrim@
@document@|@dokument@
@doe@|@hind@
@doer@|@tuer@
@Does one have children?@|@Nu; dahf men huben kinder?@
@dog@|@hunt@
@doll@|@tekl, tok@
@Doll@|@Tsatskeh@
@dollar@|@dolar, toler@
@Dolt@|@Temp@
@domestic@|@heymish@
@domestic peace@|@sholem-bayes@
@donation@|@nedove@
@Done in!@|@Opgeflickt!@
@Done superficially@|@Leck, shmeck@
@donkey@|@Chamoole, eyzl@
@don't act like a jerk!@|@sei a mensch@
@Don't ask for credit!@|@Ribi-fish; gelt oyfen tish!@
@Don't be a fool!@|@Zei nit a nar!@
@Don't be an idiot!@|@Zei nit kain vyzoso!@
@Don't bother me!@|@Drai mir nit kain kop!@
@Don't do me any favors@|@Tu mir nit kain toives@
@Don't do me any favours@|@Ti mir nit kayn toyves@
@Don't get excited!@|@Se brent nit!@
@Don't get on my nerves@|@Hak mir nit kayn chainik@
@Don't give me a canary!@|@Gib mir nit kain einorah!@
@Don't hedge@|@Nisht gefonfit!@
@Don't hit me in the head@|@Hock mir nisht en chinik@
@Don't tempt the Gods@|@Zindik nit@
@Don't threaten me!@|@Strasheh mich nit!@
@Don't touch me there!@|@tshepe mikh nisht dortn@
@Don't worry@|@Hob nit kain deiges, Nishtgedeiget@
@Don't worry about it@|@Zok nit kin vey@
@don't worry!@|@nisht gedeyget!@
@Don't worry!@|@Zorg dikh nit!, Zorg zich nit!@
@don't worry! (1)@|@zorg zikh nisht!@
@Don't worry! (1)@|@Deigeh nisht!@
@don't!@|@nite@
@doo-dad@|@Tshatshki@
@door@|@tir@
@doorpost@|@shtidl@
@dope@|@Eizel@
@dot@|@punkt@
@double@|@topl@
@doubt@|@sfeykes, sofek@
@dough@|@teyg@
@Dov (name)@|@dov@
@dove@|@toyb@
@Dowdy@|@Rechielesnitseh@
@down@|@anider, arunter@
@Down@|@arop@
@downpour@|@shlaks@
@downpour of water@|@mabl@
