@English@|@Laotian (romanized)@
@carrier@|@xong phou@
@carrier or conveyer of notices@|@pha deng@
@carrot@|@phak kat deng@
@Carrot@|@ká lod@
@carry@|@tha rong@
@carry (chiefly an opened umbrella or parasol)@|@kang hom@
@carry a basket on the back@|@pe:@
@carry a child on the back@|@chia luk@
@carry a cigarette behind the ear@|@that kok ya@
@carry a gun@|@theu pheun@
@carry a message@|@nám sarn@
@carry a sacred object on top of the head@|@thert thun@
@carry a weapon@|@baek a vut@
@carry bag in sling@|@phay thong@
@carry by means of a sling or rope across the shoulder@|@sá phá:y@
@carry in the cloth@|@xon@
@carry off@|@the ao@
@carry off secretly@|@seuak say@
@carry on@|@dam nern, pá ti bard karn@
@carry on one’s buiness@|@chat thu ra@
@carry on one's back@|@chia@
@carry on shoulder@|@baek@
@carry on the back@|@chia@
@carry out@|@pham pheng@
@carry out without orders@|@chat kan ngan nok sang@
@carry riffle in a sling@|@phay pheun@
@carrying good luck@|@si ri moung khoun@
@carrying pole@|@may khan@
@cars claw@|@lēp maew@
@cars of a train@|@kha ven lot phay@
@cart@|@kuian, sát tha@
@cart cotton@|@lor fay@
@cartilage@|@duk on@
@cartomancy@|@vi xar mor mor phai@
@cartoon@|@khian hup lor, nang ka tun@
@cartridge@|@ká soun, ka sun@
@cartridge pouch@|@xong louk peun@
@carve@|@cham lak, cham lak, cham lay, kae la lak, sá lack, sá lack, sá lou, sáp lai, xeuad@
@carve a decorative design@|@sá lack sá lao@
@carve metal@|@sá kard lek@
@carve metel@|@sá kard lek@
@carve of cut away stone@|@sá kard hin@
@carve wood@|@sá kard may@
@carver@|@xarng kae@
@carving@|@hup kae, hup kae sa lak@
@caryfish@|@kung@
@cascade@|@tat@
@case@|@á thi kon, kor ra ni, lāy tid tarm, leuang, xong@
@case in hearing@|@khá de kheun su san@
@case in point@|@kor ra ni tao nyang@
@case out@|@xam la@
@case-fire negotiation@|@chae ra cha sa ngop serk@
@cash@|@ngern sot, tua ngern@
@cash account@|@ban xi ngern sot, ban xi ngern sot phon@
@cash book@|@sá mút ngeun sod@
@cashier@|@sá mou ban xi:@
@cassia@|@sôm poy tom@
@cassia an ornamental shrub@|@kham tay@
@cassia fistula@|@xai ya pheuk@
@cast@|@lor@
@cast a finishing line@|@fat baet@
@cast a horoscope@|@phuk duang, phuk duang xa ta@
@cast a net@|@thot he@
@cast ashore@|@xad kheun fang@
@cast found@|@lia:ng@
@cast iron@|@khang@
@cast statue@|@hup lor@
@caste@|@ván na xard, xan van na, xard, xeua xan van na, xeua: say van na@
@casting net@|@dang hae@
@castle@|@mon thian, mun thian@
@castle in the air@|@vi marn nai ar kard@
@castor oil@|@nàm man mark houng sar@
@castrate a cock@|@ton kai@
@castrated cock@|@kay ton@
@castrated horse@|@ma ton@
@castrated ox@|@ngua ton@
@casualty@|@phu pa sop phay@
@cat@|@maev, mat si ra, vi lar@
@cat fur@|@khon mao@
@cat gone wild@|@maev phong@
@cat’s-eye jewel@|@ma sa khun, phay thun@
@cat’s-eye topaz@|@keo ta maev@
@cataclysm@|@ma ha phay bi bat, vi nard sa phai@
@catafalque@|@mam@
@catapult@|@ká thoun, kheuang khvang nying@
@catapult projectile@|@lù:k ka thoun@
@cataract@|@son tar, ta san, ta tor@
@catastrophe@|@fà tek din la lay, pha ya ta ray, sip hai@
@catch@|@huap@
@catch a fever@|@chap khai@
@catch a train@|@chap lot fai@
@catch an elephant@|@khong sang@
@catch birds by decoy@|@tor nok@
@catch cold@|@chap vat@
@catch fever or sickness@|@khay chap khay@
@catch fish by hand@|@chap pha@
@catch fish by poisoning@|@beu pa@
@catch hold of act@|@chap phi lut@
@catch in a snare@|@tit buay@
@catch in flight@|@saew@
@catch in the act@|@chap dai kha nang kha khao, chap dai kha nang kha khao, sá moay@
@catch on@|@chap chot@
@catch sight of@|@sóp tar@
@catch the eye@|@sá dout tar@
@catch the eyes@|@chap ta@
@catch up@|@laen than@
@catch up with@|@nám pay than, nám than@
@catch up with a car@|@khap than@
@catch with a fishing@|@ti uan@
@category@|@cham phouk, pá pheid khong narm, thao, vāk, xá nit@
@caterpillar@|@bong, bung, meng bong@
@catfish@|@beuk, pa: douk@
@cathedral@|@bot yay@
@catholic (religion)@|@ka to lik@
@Catholic church@|@bot khun phor@
@catholic nun sister@|@khun mae@
@catholic priest father@|@khun por@
@Catholic school for girls@|@hong hian khun mae@
@cattle@|@ngua, pá sou sard, pa: sard@
@cattle dung@|@khi ngao@
@cattle excrement@|@kho mai@
@cattle pen; stable cowshed@|@kok ngua@
@cattle urine@|@kho mud@
@cattle whip@|@sae khoay ngua@
@caught in@|@khá: yu@
@caught in a snare@|@theuk leow@
@caught in the act@|@khá: nung khá: kao, khá: nung khá: kao@
@caught on the horns of a dilemma@|@sút khuam khid@
@caul with resin@|@chot si@
@cauliflower@|@phak ka lam pi dok@
@caulk a boat@|@chik heu, ya heu@
@caulk or fill in a crack in a jar@|@ya hay@
@cause@|@á thi kon, het hay, mun khuam, pat chay, pen haet hay, pha hay, pory, pory da, sá mou thay, sá mút tharn, să: heid, să:y heid, tham hai, ton haet@
@cause damage to@|@sĭa: xarp@
@cause death by accident@|@kha khon doy bang ern@
@cause death through negligence@|@kha khon doy khuam pha mat@
@cause discontent@|@kor khuam deut hon@
@cause disturbances@|@kor khuam nyung nyak@
@cause fear@|@tham lay khvuan@
@cause illusions@|@kin ta@
@cause misunderstanding@|@het hay khao chay phit, tham hay khao chay phit@
@cause motivate@|@khao mun@
@cause suffering@|@kor vaen@
@cause terribly@|@pory mang, pory xeng@
@cause to become fruitful@|@tham hay kert kheun@
@cause to collapse@|@pot@
@cause to disseminate@|@phae lay@
@cause to fall@|@het tok, xoukhork@
@cause to happen@|@ban don, kor haet, pan don@
@cause to move@|@nyok@
@cause to resemble@|@á nū lom khao nam phuak diew kan@
@cause to stand up@|@cham thaeng@
@cause to vibrate@|@sān sa theuan@
@cause troble@|@kor kam tham bab@
@cause trouble@|@kor kam tham khen, sae leuang@
@cause trouble to@|@bang het@
@causeless@|@á heid@
@causes or objects worthy of gifts@|@tha vat thu@
@causing joy or happiness@|@nán tha nán thi kon@
@caution cars@|@khuem ra mat ra vang@
@cautious@|@sá liew sá lard, sá liew sá lard, sá ngia:m@
@cavalier@|@át ta vin@
@cavalry@|@át sa vin, tha han ma@
@cavalry and infantry@|@cha tu long@
@cave@|@ngeum, ngeum, sá theum, tham, tham hin, theum@
@cave containing a pit or subterranean passage@|@tham haev@
@cave grotto@|@khu ha@
@cave in@|@xeuay@
@cave-dweller@|@ma nut yu tham@
@cavern@|@sá theum@
@cavity@|@bong@
@cavity in tooth@|@khaev phen mang@
@cavity tooth@|@khaev meng@
@cayse suffering@|@kor kam@
@cease@|@ngot, nyok vai, sā:ng xar, xao, xao, yut@
@cease fire@|@xao serk, yut ying@
@cease loving@|@tat hak@
@cease to exist@|@sút sin long@
@ceasefire@|@xao seuk@
@cease-fire@|@sá ngop seuk, yut rop@
@ceaselessly@|@bor me ven la ya@
@cede@|@nyom tam@
@ceek@|@kaem@
@ceiling@|@pá tou lar, phe dan, phe dan, phi dan@
@ceiling door@|@fă phit phae dan@
@celebrate@|@sá  lerm, sá  lerm, sá lerm sá long, sá lerm sá long, sá lerm sá long, sá lerm sá long, sá long, sá long, sá long@
@celebrate a birthday@|@sá long van keuad@
@celebrate Labor Day@|@sá long van kam ma kon@
@celebrate the king's birthday@|@sá lerm pha xon phan sar, sá lerm pha xon phan sar@
@celebrating the birth@|@vi sar kha bu xar@
@celebration@|@bun sa long, nāk khard tha leuk, ngan leun lerng, ngan sa long, ngan som phot, sá lerm sá long, sá lerm sá long, sŏm pho thi, sŏm phod@
@celebration of a wedding@|@ngan som lot@
@celebration or ceremonial@|@á phī sek@
@celerity@|@vé: kha@
@celery@|@phak tang o, xi xang@
@celesti@|@sú rang kha nang@
@celestial@|@sor ra@
@celestial abode@|@vi marn@
@celestial divinity@|@me kha la@
@celestial nymph@|@át sa rar, să:o meuang far@
@celestial spirit@|@phi pha@
@celestial temple@|@thaep vi man@
@celestial vault@|@nā phar don@
@celestial water@|@á ma reud, á ma ta rod, nàm far@
@cellophane@|@khi si@
@cement@|@din xi mang, lva:t xi mang, pun xi mang, pun xi men, xi mang, xi men@
@cement plant@|@hong ngan phun xi mang@
@cemetery@|@hev, pā: hei, pā: xar, phi phang xa, sú sarn, thi phang sop, thi phao sop@
@cenmsus@|@ban xi som ma no@
@cenotaph@|@á nū sar va li: khon tai@
@censor@|@phu kuat kan@
@censure@|@bor li phat, kan kuat, tam nian@
@census@|@săm ma no khua@
@cent@|@át, át@
@centenary@|@sá ta sung vard@
@center@|@beu, chay kang, sŭ:n kang@
@center middle@|@keung kang@
@center of gravity@|@sŭ:n thuang@
@center of the army@|@thap luang@
@centififation@|@nī ti kone@
@centigram@|@xang ti kram@
@centilitre@|@xang ti lit@
@centimetre@|@xang ti met@
@centipede@|@cha chep, chi khep, khep, khi khaep, meng khap, sá ta bard, sá ta pa thi:@
@central@|@kang, kang, kong si, sūa:n kang@
@central hospital@|@hong kang@
@central office@|@săm nao ngan kang@
@central post office@|@pay sa ni kang@
@central region@|@phak kang@
@centralise@|@thon hom@
@centralize information@|@pá muan khao@
@century@|@sá ta phard, sá ta sung vard, sá ta vard@
@ceramic ware@|@kheuang din phao@
@cereal@|@bup phan na xat, than ya han@
@cereals@|@than ya han@
@cerement@|@pha hom sop@
@ceremonial of farewell  v@|@leuk la kan@
@ceremonial scarf worn as a blouse@|@phae khit@
@ceremoniously@|@yang phen phi thi@
@ceremony@|@baep phi thi, ngan heun herng, phi thi, săng kha kam, săng kha kam@
@ceremony dedicated to the dead@|@bup pha pet pha li@
@ceremony for the dead@|@bun chk khao@
@ceremony for the death@|@tham boun ha tou tay@
@ceremony in which a king@|@sá nham phan@
@ceremony involved when bonzes take a meal in the house@|@bun tak bat@
@ceremony of bathing the corpse@|@phi thi apnam hay sop@
@ceremony of dedication to the dead@|@thak si na nu pha than@
@ceremony of dripping water on the ground@|@yat nam@
@ceremony of floating boats@|@loy ka thong@
@ceremony of house warming@|@bun sa long kheun heun may@
@ceremony of invitation to the spirits to possess a medium@|@khao chao@
@ceremony of laying a comerstone@|@khot sim@
@ceremony of making an offering to the spirits at a temporary shrine@|@să:n phieng tar@
@ceremony of offering at the end of the tenth month@|@să: ra tha@
@ceremony of presenting gifts of robes@|@bun ya ra si@
@ceremony of raising a clamor to frighten the ceremony before beginning battle@|@khom nam@
@ceremony of request for admission to the order of bonzes in the presence of the whole order@|@khan nak@
@ceremony of the seventh day@|@sát ta ma varn@
@ceremony performed to trap and call back the soul of a sick person by means of a cloth or net@|@son khuan@
@ceremony to bring rain in which a cat in a basket is taken in procession all around the village and each household pouring water on the cat@|@xerng nang meow@
@cerification@|@sát ta karn@
@certain@|@nea non, nea non, nī nhord, sát sa ta, thiang thae@
@certainly@|@ma no phi ni vaet, tang men, the day, yang thae ching@
@Certainly@|@maen khuam khua, pay o@
@certer@|@ná: phi:@
@certificate@|@bai hap hong, bai hun, bai yang yeun, kan yung yern kan heing, pá kard sa ni: nha bard, pi, săn nhar bard@
@certify@|@sŏm ang, yang yeuk@
@cessation@|@nya ti@
@Ceylon@|@láng ka:, sĕ: lung, si: hon, sing hon@
@chaff remaining in husked rice@|@kak@
@chagrined@|@chay hiev, khun a rom, rā bard@
@chain@|@chay, lā:m so, să:y so, sāy sai so, sāy so, sô:, xeuak lek, xeuak lek@
@chain bracelet@|@să:y soy khaen, soy khor meu@
@chain of mountains@|@săn@
@chains@|@phan tha nang@
@chair@|@kao i, tang@
@chair back@|@pha nak ing, pha nak ing@
@chairman@|@pá than, pá tharn, pá tharn thi pa xoum@
@Chairman or President of the Assembly@|@sá phá: nar nhok@
@chairperson@|@pá than@
@chalice@|@sá ra ka@
@chalice of wood or woven bamboo for religious offerings@|@khan ka yong@
@chalice with crenellated edge@|@khan kap@
@chalicei n which are placed five pairs of flowers and candles for religious offerings@|@khan ha@
@chalk@|@pun, să:y band thard, sor khao, thaeng@
@challenge@|@tha, tha thay@
@chamber@|@sûa:m@
@chamber of commerce@|@sá phá: karn khar@
@champion negligent@|@leud@
@chance@|@bun va sa na@
@change@|@ban, loay, nī mid, pá ri phad, pá ri vat, pae paun, paeng, paeng kay, phan, phan pae, phat phian, phian, phian ua, phik, pian, pian peng, sáp pien, thay, thian, vi kid@
@change busses@|@thay lot may@
@change clothes@|@thay kheung nung@
@change from day to day@|@pian pay thuk meu@
@change into@|@cham laeng@
@change money@|@laek ngeun, thon@
@change of one’s lot in life@|@xin@
@change one’s course@|@pian thang@
@change one’s mind@|@phian chay, pian chay, pian chit phian chay@
@change one’s nature or sex@|@paeng phet@
@change opinions@|@kap chay@
@change owners@|@pian chao meu, pian meu@
@change place@|@nyay bon, pian bon@
@change places@|@sáp thi:@
@change position@|@phik@
@change residence@|@khon yay@
@change shirt@|@thay seu@
@change the color@|@pian si hay khao kan kap@
@change the conversation@|@pian leung son tha na@
@change the mind@|@paeng chay, pin@
@change the subject@|@pian leung@
@change trains@|@thay lot phay@
@change water@|@pian nam, thay nam@
@changeable@|@pen pay tam sa mai, song hua@
@changed@|@phaek@
@changed in colour@|@lā: si:@
@changing@|@vip pa lard@
@changing voice@|@sĭa:ng taek@
@channel@|@horng nam, khut hong, paev nam, vá: hi ni:@
@chanrge@|@khor ha@
@chant@|@ve:t@
@chant a blessing or benediction@|@sûa:t xay nhan to@
@chant a paean of victory@|@sûa:t xay mong khon khar thar@
@chant a prayer@|@sûa:t mon@
@chant a requiem for the dead@|@sûa:t bung sa koun@
@chant in praise of Vishnu@|@vid sa nou veid@
@chant pravers for the dead at the coffin@|@sûa:t nar sop, sûa:t nar sop@
@chant prayer in chorus@|@sû:t@
@chant prayers@|@sû:t mon, sû:t phar va nar@
@chant time@|@sâ:m@
@chanted prayer@|@sá ra phan@
@chanter of prayers@|@nāk suad@
@chanting prayers for the souls of the dead@|@xak a nit, xak ha rni ja@
@chaos@|@ko la hon@
@chaotic@|@cha la vanh, khvay khaev, ku la hon, sá pha la, să: rard@
@chapel@|@hong sut, vi harn@
@chapter@|@á nū phark, ban, pá ri sed@
@chapters of Buddhist teaching@|@tham ma bot@
@character@|@buk kha lik, chay khor, hup xong, mor ri yat, nàm nar, nī say chay khor, nid say, ta nom phan, tua la khon, xerng@
@characteristic@|@lāk khá na, lāk sa na, líng, pha sa, sáp pha khoun@
@characteristics of a great man@|@ma ha bu rut lak sa na@
@characterize@|@thi tham hay hen yang chem cheng@
@charade@|@kham pit sa na, kham pit sa na@
@charcoal@|@than, than may@
@charcoal basket@|@pork tharn@
@charcoal stove@|@tua than@
@charcoal.  astr. the planet Mars.@|@ang khan@
@charge@|@fong san, horng phong, kao thot say, khor tu ha, phut sai@
@charge account@|@ngern seu@
@charge for making something@|@khā: chanh heid kong@
@charge interest on a loan@|@kin dok@
@chariot or palace of Indra@|@phay xa yon@
@chariots@|@cha tu long@
@charitable@|@chay ka son, mi chay pheu phae, mi kae chay, pham pheng than@
@charitable person@|@khon boun@
@charity@|@met ta chit, sin tharn@
@charity for a specific purpose or person@|@buk kha lik than@
@charlatan@|@khon pom@
@charm@|@kom chay, sá nei, sá nei, sá nei, seik, seik mark, seik mark, ya phaet@
@charm by song@|@khap kom@
@charming@|@vi lar si ni:, vi lar van, vi lard@
@Charming@|@mi sa mae@
@charming femal@|@să:y sa vard@
@charming girl@|@nong lack@
@chart@|@phen phu mi@
@charter@|@kot bot@
@chase@|@lāy, say hua ork pay@
@chase away@|@lāy nI, sae@
@chase out@|@săy hua ork pay, xu, xu lay ork@
@chat@|@khuy kan@
@chat speak@|@khuy@
@chatter@|@vào lin vào hua@
@chatter about@|@ti sin nin ta@
@chatter futelely@|@sĭa: lom park@
@chatter futllely@|@sĭa: nam lai xeu xeu@
@Chattering@|@pâ:k lai, pâ:k lai@
@chatty@|@vá: charn@
@chauffeur@|@să: ra thi:@
@chawing fast@|@ngap ngap@
@cheap@|@bor pheng, theuk bor pheng@
@cheaper than@|@theuk kuea@
@cheapest@|@theuk thi sout@
@cheat@|@ka bat, khi kong, kong, kong, lūa:, sŏn sor, sor kong@
@cheat in a game@|@khi luk@
@cheater@|@phu sor kong@
@cheating@|@nyoy nyao@
@check@|@bai sang chay, kuat sob thab thuan@
@check book@|@sá mút xek@
@checker or chess board@|@ka darn mak ruk@
@checkered cloth@|@pha ta@
@checkers@|@sá kar@
@checkmate@|@khao ta lon@
@checkpoint@|@dan@
@cheddi)@|@chae dee@
@cheek@|@kaem@
@cheeked@|@pen ta@
@cheer@|@xier@
@Cheer@|@ho hong@
@cheerful@|@xeun, xeun, xeun, xeun muan, xeun xom@
@cheers@|@sĭa:ng ho@
@cheese@|@nā va nid, neir khaeng@
@chef@|@ná:y khua, sŭ: pa karn@
@chemical compound@|@să:n pa korp, that pha som@
@chemicals@|@vāt thu khei mee@
@chemist@|@nāk khie mi:@
@chemistry@|@khe mi@
@Chemistry@|@xi mi@
@cherish@|@pha nor, sá nguan, tha ni thom, tha nom, tha nom, tha nom di, tha nom di, tha nom kom kiang, tha nom kom kiang, tha non hak, tha non hak, thom@
@cherished wife@|@mia khun@
@cherry tomato@|@Mak kheua kheua@
@chervil@|@phak hom pom, xi thaet@
@chese or rotten food@|@tua non@
@chess@|@Mak seuk@
@chest@|@thuan gork, xuang-euk@
@chest against tree trunk@|@ka daeb daeb, kádebkadeb@
@chest(body)@|@na ok@
@chevaux de frise@|@cham lor, cham lor@
@chew@|@bot a han@
@chew betel@|@kin nak@
@chewing tobacco@|@ya thun@
@chick@|@lù:k kai@
@chicken@|@kay, Mak suk mak sai@
@chicken banana@|@kuay mae@
@chicken coop@|@kok kay, lào kai, lōk kai@
@chicken droppings@|@khi kai@
@chicken egg@|@khai kai@
@chicken entrails@|@sây khay@
@chicken of the Meo tribes@|@kay chon@
@chicken offal@|@khi kai pho@
@chicken soup@|@xua kai@
@chicken with curled-back features@|@kay yong@
@chicken with rare feather@|@kay ork@
@chief@|@bor li na yok, cha, cheung, cheung, ná:y, pá mok, pá ri nar nhok, pá ti, pá ti, pá ti, pá xar bor di, pa: mok, phan phun, phia, phor pho, phu bong kan, po, po:, sá var mi:@
@chief accountant@|@sá mou ban xi: nhay@
@chief aide-de-camp@|@sá mou ha ong kha lack@
@chief bonze@|@ra xar, săng kha rard, sŏm deit chao, the ra@
@chief cook@|@ná:y khua@
@chief corporal@|@sip tho@
@chief herdsman@|@kho vin@
@chief justice@|@kuan@
@chief nun@|@me a thi kan, the ri@
@chief of a department@|@chao kom@
@chief of a district@|@phia meung@
@chief of a group@|@khá na bor de@
@chief of council of bonzes@|@săng kha nar nhok@
@chief of group@|@ná:y muad@
@chief of group or division@|@sá mou@
@chief of prostitute team ring leader@|@me pho@
@chief of staff@|@sĕ: nar thi karn tha harn ar kard, sĕ: nar thi karn tha harn bok, sĕ: nar thi karn tha harn heua@
@chief of state@|@nā ro dom@
@chief of the gods or angels@|@the vin@
@chief of vessel@|@ná: vik bor di:@
@chief of village@|@kuan ban@
@chief or head of state@|@nyot pha muk@
@chief priest@|@săng kha lard, săng kha rard@
@chieftain@|@pen chao@
@Chieng mai rose@|@ku lab sieng mai@
@chignon@|@chu tha mat, kan kao phom, kao phom, muang kao@
@chigon@|@chu la@
@child@|@but, dek, dek noy, lù:k ká chae, po: dok@
@child of a good family@|@kun la bot@
@child of a minor wife@|@lù:k mear noy@
@child of country@|@lù:k bà:n larn meuang@
@childbirth@|@pá soud ti kam, sŭ: ti, sŭ: ti kam@
@childhood@|@vay dek, vay thar rok@
@childish or timid behavior@|@ka buan noy@
@childish prattle@|@pha dek@
@childishly@|@pá sar dek@
@children@|@lù:k larn, lù:k tao nhing xai@
@children in general@|@lù:k tao@
@children- n-law@|@lù:k nar@
@children’s game of hide and seek@|@kuk kik@
@children’s hospital@|@hong dek noy@
@children's play ground@|@sá nă:m lin deik noy, sá nă:m lin deik noy, sá nă:m lin deik noy, sá nă:m lin deik noy@
@chilling@|@nyeuk@
@chills@|@khay nao@
@chills and fever@|@nav khai, sá thà:n hon sá thà:n nao, sá thà:n hon sá thà:n nao@
@chimes@|@káding@
@chimney@|@pong paev, pong paev phay@
@chin lower jaw@|@khang@
@chin strap@|@să:y hard khang@
@China@|@chin, meung chin, pá theid chin@
@China rose@|@vá:n var ri@
@chinchuck@|@khi khiam@
@chin-chuck@|@kiam@
@Chinese@|@xao chin@
@Chinese ( slang )@|@jek@
@Chinese cabbage@|@phak kat, phak kat thor@
@Chinese carp@|@pa: nay@
@Chinese confectionery made from mixed fruit and nuts@|@chan ap@
@Chinese firecraker@|@ka phok chiey@
@Chinese gong@|@khong chin@
@Chinese junk@|@sá phao@
@Chinese kale@|@phak kat na@
@Chinese mustard@|@phak kat kiav@
@Chinese noodle@|@khao phun chin@
@Chinese olive@|@sá mor chin@
@Chinese people from near Swatow@|@tae chiv@
@Chinese stew of meat and vegetable@|@kao lao@
@Chinese sweets@|@kheuang chan ap@
@Chinese vermicelli@|@sên lon@
@Chinese yellow soup@|@ba mi@
@Chinses mustard@|@kat kiev@
@chip@|@ban, kae ork@
@chip board@|@may at@
@chip off the side@|@bak@
@chipmunk@|@ka hok@
@chipped@|@bin, veek@
@chipped bowl@|@thoy bin@
@chirp@|@horng chiap chiap@
@chisel@|@kae ork, sá kard, sī:v@
@chisel out@|@sá kard may@
@chit@|@bai hap@
@chitala@|@pa: tong@
@chivalry@|@vi: ra ka ti@
@chnage hands@|@pian meu@
@chnage kings@|@pian pen din@
@chocolate@|@xo ko la@
@choice@|@kan lerk, yon ao@
@choke@|@bip khor hay tay@
@choking in the throat@|@teun tan khor hoy@
@cholera@|@á hi vá:, lò:k a hi: va, sá khiew, thong khi hak@
@Cholera@|@á hi vá: tar ka rauk@
@Cholon@|@xo long@
@choose@|@fay, kam not tua, leuak, leuak ao, phi chit@
@choose and take part of something@|@yon@
@choose only the best@|@leuak ao tae an dee@
@choose or take only the best@|@khat ao tae hueka ti@
@choose what to do@|@leuak pa ti: bard@
@chop@|@fak, sáp@
@chop rapidly@|@nyam nyang@
@chopmeat for making "Lap"@|@fak lap@
@chopping board@|@khiang, khiang@
@chopping board for meat@|@khiang soy sern, khiang yern@
@chopsticks@|@may thu, ta khiap, thu@
@choral@|@lù:k khū:@
@chorus@|@á nū bod@
@chorus girl@|@ná:ng la bam@
@chose a mate by hazard@|@sīa:ng khou@
@Christ@|@kris, pha khit@
@Christian church@|@vāt khoun phor@
@Christian era@|@kris ta sak ka rat@
@Christianity@|@sar sa nar kid, sar sa nar kid@
@chronic enteritis@|@sĭa: thong@
@chronicle@|@pá vad karn@
@chronicles@|@phong sa va dan@
@chrysalis of miserable@|@dak dae@
@chrysanthemum@|@ben cha mat, dok kan kong@
@chse@|@lāy pai@
@church@|@bot, bot pha lang, hong suat@
@cicada@|@chak chan@
@cicatrice@|@paev@
@cider@|@fun than hin@
@cigarette@|@bu li, kok ya, sû:p yar@
@cigarette ash@|@khi kok ya@
@cigarette box@|@ká buk kok ya, kap kok ya@
@cigarette butt@|@kid kok ya@
@cigarette smoke@|@khuan kok ya@
@cinchona@|@kaeng ki na@
@cinchona family@|@ká dao@
@cinders@|@than thao@
@cinema@|@hong nang, hong xi nae ma, phap pha yon@
@cinnabar red@|@sin thou ra@
@cinnamamum iners reinu@|@xai chuang@
@cinnamon@|@cha tu thip pha khun tha@
@cinnamon tree@|@kha ton@
@circle@|@bin vian, chak ka phan, chak ka vat, dern om, hong xek, pá ri mon thon, ti vong, tue, vā lai, vá: thá ka, vaed, vaed vong, via:n von, vóng karn, vóng kom, vóng mon@
@circle in flight@|@sop pay sop mar@
@circle of influence of Buddhism@|@phut tha chao@
@circle of latitude@|@thu va yat sa si@
@circle; crown@|@mong@
@circlet or crown surrounding a chignon to hold it in place@|@chum phot@
@circling in the air@|@sá vard sá vien@
@circuit@|@vóng chon@
@circuitous@|@lōt liew@
@circular@|@bai cheng khuam, var la sarn, vāt ta@
@Circular@|@pá ri@
@circulate@|@chor la, săn chon, xai moun vien, xai moun vien@
@circulating capital@|@theun hon@
@circulation of currency@|@ka sae nyern@
@circumcision@|@khao sa nap@
@circumference@|@chak ka phan, chak ka vat, horp vong, pá ri mon thon, vóng lom@
@circumspect@|@lei liem, sá nguan thar thi:@
@circumstance@|@ka landon, sá thă: nā@
@circumstances@|@kan fon tod, kor ra ni vaet lom@
@circus@|@lā khon sard, vi tha nya: kon@
@circus hall@|@hong la khon sat@
@cirrhosis of the liver@|@tap kheng@
@cirulation of currency@|@ká sae fai fa@
@citation@|@khan som sery@
@cite as an example@|@nyok tao nyang@
@cite incantations or sacred words@|@pá ri kam@
@citizen@|@lù:k meuang, pá xar xon, thay meung, xao meung@
@citizen; national@|@xon xat@
@citizenry@|@bu rut xon@
@citizens@|@pá xar xard, phay pha@
@citrus(generic)@|@Mak som@
@city@|@bu ra, bu ri, meung, nā khon, nāk kha ried, pha ra, sá rauk, tha ni@
@city and island of Singapore@|@sing ka po@
@City and province of Khammoune@|@kham muan@
@city and province of southern Laos@|@să: ra van@
@city and province of the far north of Laos@|@fong sa li@
@city dweller@|@xao pheung meung@
@City dweller@|@khon nai meung, thay meung@
@city gate@|@pá tu: khong, pá tu: par, phak tu khong@
@city hall@|@să: lar kang@
@city in India@|@ku sin n ra@
@city of central Laos@|@tha khek@
@city of god@|@thep na khon@
@city of Hue@|@vé:@
@city of India@|@pha ra na si@
@city of Kham Keut in central Laos@|@kham kert@
@city of Laos@|@nyom ma rat@
@city of Muong Kassy@|@ka si@
@city of North Vietnam@|@Ha noy@
@city of northwest Laos@|@meung sing@
@city of southern Laos@|@sá van na kheid@
@City of Vang Vieng@|@váng vieng@
@city of Vietnam@|@meung hua@
@city on the Mekong River east of Vientiane@|@pâ:k xan, pâ:k xan@
@city or town folk@|@bu ra xon@
@city state@|@nā khon lard@
@city wall@|@kam pheng meung@
@civil case@|@khá de pheng@
@Civil code@|@pá muan kod mai phaeng@
@civil court@|@să:n phaeng@
@civil law@|@kot may pheng@
@civil official@|@kha phon la heun, pha nak ngan pha@
@civil rights@|@sit thi karn pen phon la meuang@
@civil servant@|@kha lat tha kan, lāt tha kon@
@civil servants in major administrative divisions@|@kom ma kan@
@civil service grades@|@xan khon tham ma da, xan ra xa kan phon la meuang@
@civil war@|@seuk kang meuang, sŏng kharm karn meuang@
@civilian@|@phon la heun@
@civilisation@|@á ri nha tham@
@civilised@|@á ri nha bauk khon@
@civilised distinguished@|@á ri nha@
@civilization@|@phi phat tha na, si vi lay, xa va la, xo ti, xot ta kan@
@civilized@|@cha lern hung heuang, phat tha ra, phay rot, phi phat, xa va lit, xad xa varn@
@civilized person@|@xo dok@
@claim@|@hiak hong@
@claim one’s rights@|@hiak hong sit@
@claimant@|@phu ang sit@
@clairvoyance@|@nyo kha chak khu@
@clairvoyant@|@ta thip@
@clamber@|@pin@
@clamor@|@sĭa:ng euk ka theuk, sĭa:ng voay vai@
@clan@|@á ná: ri nha xon, á ná: ri nha xon, să: ki nha@
@clandestinely@|@yang lerk laep@
@clap@|@top@
@clap the cheek@|@top kem@
@clap the wings@|@top pik@
@clapping noise@|@phia@
@clarify@|@á thi ba:y, khan khay@
@clarinet@|@pī:@
@clarity@|@vi phar@
@clash@|@fat, ká thop, pá tha kan@
@clasp@|@kam meu@
@clasped hands@|@meu pha san kan@
@class@|@xa nit, xá nit, xan, xan van na, xeua xan van na, xeua: sat van na@
@class (schoolgroup@|@hun@
@class leader@|@da ru na nat@
@class of civil servants@|@pá ti xung@
@classical@|@kao kae@
@classification@|@kan chat tam san, nyeung@
@classification of transport animals and boats for state service@|@kheun la vang@
@classifier@|@lāk sa na nam, pha ong, phan@
