@English@|@Cornish@
@finality@|@fynweth@
@finally@|@gordheweth@
@fine@|@brav@
@fineness@|@tanowder@
@finger@|@býs@
@fingernail@|@ewyn@
@fircone@|@avalsap@
@fireplace@|@olas@
@firmness@|@ferfter@
@first@|@kensa@
@fish@|@pysk@
@fishbone@|@dreyn@
@fisherman@|@pyscador@
@fishhook@|@hygen@
@fishing pole@|@gwelen pyskessa@
@five@|@pymp@
@flat@|@leven@
@fleet@|@lu@
@flies@|@kelyonennow@
@floor@|@leur, lür@
@flour@|@blés@
@flower@|@blejan, blejen, bleujenn@
@flowers@|@bleujennow@
@flute@|@whybonol@
@fly@|@kelyonen, nija@
@foliage@|@dél@
@food@|@boes@
@foot@|@tros@
@forest@|@coswyk@
@fork@|@forgh@
@forty@|@deugans@
@four@|@peswar@
@fourteen@|@peswardhek@
@fourth@|@peswera@
@fox@|@lowarn@
@freshwater@|@gryll awan@
@Friday@|@dé-Gwener@
@friend@|@cothman@
@frog@|@quylkyn@
@fruit@|@frút@
@fruits@|@frutys@
@gainsay@|@contradýa@
@gaiters@|@poltrygas@
@gallant@|@cortes@
@gambling@|@kessynsyans@
@gambrel@|@skyren@
@game@|@gwary@
@gangrene@|@podrethes@
@gangway@|@tremenva@
@garden@|@jardyn, lowarth@
@gardener@|@lowarther@
@gardens@|@lowarthow@
@garfish@|@gerrak@
@gargoyle@|@boban@
@garland@|@garlont@
@garlic@|@kenynen ewynek@
@garment@|@gwysk@
@garnish@|@tacla@
@garrison@|@garnyson@
@gate@|@yet@
@gatepost@|@pülyet@
@gates@|@yettys@
@gateway@|@yet@
@gatherer@|@cunteller@
@gauntlet@|@manek@
@gazelle@|@gavrewyck@
@gelform@|@geler@
@general@|@comen@
@general (n.)@|@penhembrynkyas@
@generous@|@hél@
@genesis@|@dallethfos@
@gentian@|@gowyles@
@gentile@|@jentyl@
@genuine@|@gwýr, gwyryon@
@geography@|@dorydhyeth@
@geometry@|@mynso-nýeth, mynsonyeth@
@Germany@|@Almayn@
@gesture@|@sýn@
@ghastly@|@grysyl@
@ghostly@|@spyrysek@
@giantess@|@cawres@
@gigantic@|@festbrás@
@gigolot@|@glyglot@
@gilthead@|@sew@
@girl@|@mowes@
@girls@|@mowesi@
@gizzard@|@crombyl@
@gladden@|@lowenhé@
@glass@|@gweder, gwédren@
@glaucous@|@glás@
@glazier@|@gwedror@
@gleaner@|@tyskennor, tyskennor@
@gleeful@|@hüdhyk@
@glimmer@|@gwanwolowy@
@glimpse@|@vu@
@globular@|@cren@
@glorious@|@glóryes@
@glossary@|@gerlyfryn@
@glossier@|@burnysecca@
@glove@|@manak, manek@
@gloves@|@manegow@
@glue@|@glüs@
@gnashing@|@scrýnva@
@goat@|@gavar@
@goatskin@|@gavargen@
@God bless you!@|@Dursona!@
@God bless.@|@Bennatew genough.@
@goddess@|@dewes@
@godhead@|@dewsys@
@gold@|@owr@
@goldfinch@|@owrdynk@
@goldfish@|@owrbysk@
@goldleaf@|@gorowra@
@good@|@da@
@Good day to you!@|@Durdatha why!@
@Good day.@|@Deth da.@
@good evening@|@gorthugher da@
@Good evening@|@Gorthewer da.@
@Good morning@|@Myttin da@
@Good morning.@|@Mytten da.@
@Good night@|@Nos dha@
@goodbye@|@farwel@
@Goodbye (God be with you)@|@Dew genough.@
@goodness@|@dader@
@gorgeous@|@splan@
@gosling@|@godhyk@
@gossamer@|@gwün@
@gossiper@|@whethlor@
@governor@|@yurl@
@graceful@|@jentyl@
@gracious@|@grassyes@
@gradual@|@grathek@
@grain@|@grünen@
@grammar@|@grammer@
@granary@|@ýsla@
@grandchild@|@floghwyn@
@granddaughter@|@myrghwyn@
@grandeur@|@brafter@
@grandfather@|@syrawyn@
@grandmother@|@damawyn@
@grandson@|@mabwyn@
@granite@|@growynek@
@grape@|@grappa@
@grapefruit@|@corunfrut@
@grapes@|@grappys, gwynrun@
@grappler@|@gwrynyer@
@grasping@|@crefny@
@grass@|@gwels@
@grating@|@maglen@
@gravelly@|@growynek@
@graveyard@|@korflann@
@gravitas@|@pós@
@gray@|@lós@
@green@|@gwer, gwyr@
@grocer@|@spýcer@
@guest house@|@gwesty@
@guinea pig@|@hogh eynda@
@haddock@|@corvarfus@
@haggard@|@tewedhak@
@hair@|@blew@
@hairless@|@blogh@
@half@|@hanter@
@halfhour@|@hanterür@
@hall@|@hel@
@halyard@|@róp@
@ham@|@mordhos hogh@
@hammer@|@morthol@
@hammered@|@morthelek@
@hand@|@dorn, lüf@
@handbook@|@cowethlyver@
@handhold@|@domla@
@handicap@|@let@
@handmill@|@brow@
@hands@|@dewluf, lufyow@
@handsaw@|@hesken@
@handshake@|@dornla@
@handsome@|@semly@
@hanging@|@croglen@
@hangman@|@crogor@
@hapless@|@anfüsyk@
@happier@|@lowenna@
@happy@|@heudh, lowen@
@harangue@|@arethya@
@harbor@|@porth@
@hard@|@kales@
@hardened@|@aflythys@
@hardier@|@hartha@
@hardness@|@caletter@
@harmful@|@drók@
@harmless@|@dyflam@
@harmony@|@kessenyans@
@harp@|@telyn@
@hat@|@hatt, hot@
@hate@|@kas@
@hawk@|@falghun@
@he/she does@|@ev/hi a wra@
@head@|@pen@
@headland@|@penntir@
@heads@|@pennow@
@health@|@yeghes@
@hear@|@klywes@
@heart@|@colon@
@heaven@|@nev@
@Heaven@|@Nev@
@heavenly@|@nevek@
@heavier@|@possa@
@hedgehog@|@sort@
@heedful@|@wár@
@heedless@|@dyswár, stordy@
@heighten@|@ughelhé@
@heinous@|@hegas@
@heiress@|@éres@
@helicopter@|@askell-dro@
@hellish@|@yffarnak@
@Hello@|@Dydh da@
@helmsman@|@lewyader@
@helpful@|@heweres@
@helpless@|@dyweres@
@hemlock@|@degysen@
@hen@|@yar@
@henbane@|@gahen@
@herdsman@|@bügel@
@heretic@|@eretyk@
@heritage@|@ertach@
@heroine@|@brasyones@
@heroism@|@brasyonýeth@
@herring@|@hernenwyn@
@hesitate@|@hokkya@
@hideous@|@hager@
@high@|@ughel@
@higher@|@gwartha@
@highland@|@ugheldyr@
@highway@|@forth-vür, forthvür@
@hill@|@bre, bronn@
@hillock@|@knégh@
@hills@|@breow, bronnow@
@hillside@|@rýn@
@hilltop@|@mujoven@
@hippopotamus@|@dowrvargh@
@hireling@|@servontgober@
@history@|@y-story, ystory@
@hitherto@|@kenslemmyn@
@hoe@|@pygal@
@hogshead@|@hosket@
@hogwash@|@golghyon@
@holding@|@possessyon@
@holiday@|@gól, havy@
@holiness@|@sansoleth@
@holly@|@kelyn@
@hollyhock@|@malowen lowarth@
@home@|@tré@
@homeland@|@týthyen@
@homicide@|@dénlath@
@homonym@|@keshanow@
@honey@|@mél@
@honeydew@|@melgowas@
@honeyed@|@melek@
@hopeless@|@dywayntyans@
@horizon@|@gorwel@
@hornet@|@whyrnores@
@hornless@|@mól@
@horrify@|@scrüthhé@
@horse@|@margh@
@horseman@|@marghoger@
@hospice@|@spyty@
@hospital@|@clojy, spyty@
@hostage@|@gwystel@
@hostile@|@contraryüs@
@hotel@|@ostel@
@hothouse@|@tomjy@
@hotness@|@pothter@
@hour@|@ür@
@house@|@chý@
@How are you?@|@Fatla genough why?@
@however@|@bytegens@
@howling@|@úllyans@
@hulking@|@quallok@
@humaner@|@kerenjedhecca@
@humanity@|@dénseth@
@humanize@|@wharhé@
@humbler@|@ysella@
@humidity@|@lýthter@
@humility@|@hüvelder@
@humorous@|@fréth@
@huntsman@|@helghor@
@hurried@|@hastyf@
@hurries@|@fystynansow@
@hurtful@|@drók@
@husband@|@gour@
@huskless@|@dyüs@
@hymnbook@|@hympner@
@I am going@|@yth esov ow mos@
@I beseech you@|@my a'th pys@
@I do@|@my a wra@
@I hate@|@kas yw genev@
@I know@|@my a woer...@
@I know...@|@my a aswonn@
@I see@|@my a wel@
@ice cream@|@dehenrewys, rewdehen@
@iconize@|@ymajhé@
@identify@|@aswonvoshé, convedhes@
@identity@|@hevelepter@
@idiotic@|@goky@
@idleness@|@üfereth@
@igneous@|@tánek@
@ignoble@|@vylen@
@ill@|@klav@
@imagine@|@desmygy@
@imbecile@|@fól@
@imitate@|@hevelephé@
@immature@|@dyathves@
@immerse@|@sedhy@
@immodest@|@dyveth@
@immoral@|@camhensek@
@immortal@|@dyvarow@
@impetus@|@herdhyans@
@impious@|@ungrassyes@
@implant@|@sedhas@
@impolite@|@dyscortes@
@imposter@|@juglour@
@impostor@|@faytour@
@impotent@|@dyspuyssant@
@imprint@|@lergh@
@improper@|@ancoth@
@impudent@|@dyveth, tónt@
@impulse@|@herdhyans@
@impurity@|@most@
@inanity@|@üfereth@
@inasmuch@|@par@
@incense@|@yncens@
@inch@|@mesva@
@incident@|@cás@
@incision@|@trégh@
@inclined@|@plegadow@
@incoming@|@dewedhes@
@increase@|@encressyans@
@indigent@|@boghojek@
@indirect@|@gwýüs@
@indolent@|@dýek@
@indoor@|@gwaryva@
@indoors@|@a-bervedh, aberveth@
@industry@|@dywysygneth@
@inexpert@|@dycreft@
@infancy@|@flogholeth@
@inferior@|@ysella@
@infernal@|@yffarnak@
@inferno@|@yffarn@
@infidel@|@dyscryjyk@
@information@|@derivadow, kedhlow@
@informer@|@cuhudhor@
@infusion@|@tróth@
@inherit@|@eryta@
@inhumane@|@hepkerenjedhek@
@initial@|@kensa@
@injured@|@brew@
@ink@|@ynk@
@inkling@|@tókyn@
@inlet@|@logh@
@inn@|@tavern@
@innkeeper@|@tavernor@
@innocent@|@gwergh@
@inquest@|@whythrans@
@inquiry@|@govynnadow@
@insanity@|@müscogneth@
@insects@|@pryves@
@insecure@|@deantel@
@inside@|@a-bervedh@
@insignia@|@arwedhyow@
@insipid@|@melys@
@insolent@|@tónt@
@insomnia@|@anhün@
@inspire@|@enawyhé@
@instance@|@sómpel@
@instant@|@prýjwyth@
@insular@|@enysek@
@intense@|@tyn@
@interest@|@bern, oker@
@interior@|@perveth@
@internet@|@kesroesweyth, kesroswyth@
@interval@|@spás@
@intrepid@|@dyown@
@intrigue@|@cast@
@intrinsic@|@a-berthek@
@inundate@|@dewraga@
@invalid@|@cláf@
@invasion@|@arveth@
@inventor@|@ynjynor@
@Ireland@|@Iwerdhon, Ywerdhon@
@iris@|@elestren@
@Irish@|@Iwerdhonek@
@irishman@|@gwydhal@
@irrigate@|@dowrhé@
@islamic@|@sarsynek@
@island@|@enys, ynys@
@islander@|@enesek@
@Isle of Mann@|@Manow@
@isthmus@|@rós@
@italian@|@ytalek@
@itching@|@debron@
@jackdaw@|@chógha@
@jacket@|@jerkyn@
@janitor@|@porther@
@January@|@Mis Genver, mýs-Genver@
@jar@|@seth, seth, sten, sten (-nnys)@
@javelin@|@gun@
@jaw@|@grüth@
@jealous@|@ódhüs@
@jealousy@|@avy@
@jelly@|@cowlesen@
@jeopardy@|@peryllyans@
@jewelry@|@tegynnow@
@jocular@|@lowenek@
@johnmass@|@golowan@
@jointed@|@mellek@
@jointly@|@warbath@
@jollity@|@lowender@
@journal@|@jornal@
@journalist@|@scryfer newodhow@
@journey@|@hens, výajya@
@jubilant@|@gormoledhüs@
@judge@|@juj@
@judgement@|@dóm@
@juggler@|@juglour@
@juice@|@súgan@
@July@|@Mis Gortheren, mýs-Gortheren@
@junction@|@kemper@
@June@|@Mis Metheven, mýs-Even@
@juniper@|@merewen@
@jupiter@|@jovyn@
@justice@|@ewnder@
@jutting@|@elek@
@juvenile@|@yowynk@
@keening@|@drém@
@keenness@|@lymder@
@keepsake@|@cófro@
@kerchief@|@lýen@
@kernels@|@grün@
@kestrel@|@cryshok@
@kettle@|@caltor@
@key@|@alhwedh, alweth, alwheth@
@kindness@|@cüfter@
@kindred@|@neshevyn@
@kinfolk@|@kenethel@
@kingdom@|@gwlascor@
@kingship@|@myghternsys@
@kinsman@|@neshevyn@
@kitchen@|@kegin, kegyn@
@kite@|@sarf-nyja@
@kite (bird)@|@scowl@
@knavery@|@sherewynsy@
@knee@|@glyn@
@kneecap@|@penglyn@
@knife@|@collel@
@knives@|@kellyl@
@knocked@|@gwyskys@
@knocking@|@frappyans@
@knotless@|@dygolm@
@know   (person@|@aswonn@
@know (a fact)@|@godhvos@
@knowing@|@skentyl@
@knuckle@|@mygorn@
@labiate@|@gwéusek@
@labourer@|@gonysyas@
@lacking@|@hep@
@ladybird@|@buhyk dew@
@ladyship@|@arlodheseth@
@laggard@|@draylyer, hell@
@lake@|@lyn@
@lamb@|@ón@
@lambkin@|@ónyk@
@lameness@|@clofny@
@lamp@|@lugarn@
@lamprey@|@mórnader@
@land@|@tir@
@landlady@|@óstes@
@landlord@|@óst@
@lands@|@tiryow@
@landyard@|@les@
@language@|@yéth, ýeth@
@languid@|@dyfréth@
@languish@|@gwanhé@
@languor@|@gwander@
@lapwing@|@cornwhylen@
@larceny@|@ladrans, ladrynsy@
@large@|@meur@
@largely@|@efan@
@lark@|@awhesyth@
@larva@|@pryf del@
@larvae@|@pryves del@
@law@|@lagha@
@lawn@|@glasyjyon@
@lawyer@|@dén an lagha@
@leaf@|@delen@
@leafless@|@dydhél@
@leaflet@|@delennyk@
@leakage@|@sygerans@
@leaning@|@stüm@
@leanness@|@cülder@
@learned@|@lettrys@
@learner@|@dyscor@
@learning@|@dyscans@
@leather@|@lether@
@lectern@|@letryn@
@lecture@|@pregoth@
@lecturer@|@gregowther@
@leek@|@kenynen@
@leftover@|@penyn@
@leg@|@ber, garr@
@legs@|@diwwarr@
@leisure@|@spás@
@lemon@|@lymaval, lýmaval@
@lemonade@|@dewas lýmaval@
@lengthy@|@hýr@
@leniency@|@cüfter@
@lenient@|@cüf@
@leopard@|@lewpart@
@leprous@|@lavrak@
@letter@|@lyther@
@lettered@|@letttrys@
@lettuce@|@letys, letysen@
@leveler@|@levena@
@lexicon@|@gérlyver@
@liberal@|@larj@
@liberty@|@rythsys@
@library@|@lyverjy@
@license@|@cümyas@
@licorice@|@lycorys@
@lid@|@gorher@
@life@|@bywnans@
@lifeless@|@marow@
@lifetime@|@bewnans@
@lifework@|@obereth@
@lighthouse@|@golowji@
@likeable@|@caradow@
@likeness@|@hevelepter@
@likewise@|@kepar@
@lilac@|@laylok@
@lily@|@lylyen@
@limetree@|@owrwernen@
@limping@|@cloppek@
@line@|@linenn@
@lineage@|@devedhyans, lynyeth@
@linguist@|@yéthador@
@linseed@|@haslyn@
@lion@|@lew@
@lioness@|@lewes@
@lip@|@gweus, gwéus@
@liquour@|@syker@
@lisping@|@stlaf@
@listen@|@goslowes@
@listener@|@goslowyas@
@literacy@|@lýenek@
@literate@|@lettrys@
@little@|@byghan@
@littler@|@býghanna@
@lizard@|@pedrevan@
@lobster@|@legest@
@locality@|@tyller@
@location@|@tyllerhéans@
@lodging@|@ostel@
@loftier@|@ughella@
@loiterer@|@crowdrer@
@lonelier@|@dygowetha@
@long@|@hir@
@longing@|@whansek, yeunadow@
@longish@|@hýryk@
@loophole@|@tardhell@
@lopping@|@skethren@
@lordship@|@arlottes@
@lorry@|@kert@
@lose@|@kelli@
@lost@|@kellys, koll@
@loud@|@trosek@
@lounge (sitting-room)@|@esethva@
@love@|@kara, kara@
@love (n.)@|@kerensa@
@loveable@|@caradow@
@low@|@isel@
@lowbred@|@yselgenesyk@
@lower@|@goeles, gwoeles@
@lowland@|@yseldýr@
@lowlier@|@hüvella, ysella@
@lowness@|@yselder@
@loyalty@|@lelder@
@lozenge@|@losanj@
@lucidity@|@clérder@
@luggage@|@fardel@
@lugworm@|@kenak@
@lukewarm@|@mygyl@
@lullaby@|@hüngan@
@lunatic@|@lórek@
@lunch@|@crowst, li@
@luncheon@|@crowst@
@lurking@|@yndangel@
@machine@|@jynwyth@
@mackerel@|@brýthel@
@madhouse@|@foljy@
@madness@|@muscotter@
@madwoman@|@muscogen@
@magazine@|@lyver termyn@
@maggotty@|@contronek@
@magical@|@hüdol@
@magician@|@hüder@
@magnetic@|@tenvenek@
@mainsea@|@keynvor@
@maltster@|@brager@
@man@|@den, dén@
@manager@|@menystrer@
@mandible@|@awen@
@mango@|@mango@
@manhood@|@dénsys@
@manifest@|@apert@
@manifold@|@lýesplék@
@manikin@|@dényk@
@mankind@|@mabden@
@manlier@|@gourylla@
@mansion@|@plás@
@manured@|@teylek@
@Manx@|@Manowek@
@marauder@|@rafner@
@March@|@Mis Meurth, mýs-Mérth@
@mariner@|@marner@
@maritime@|@mórek@
@marketer@|@marghajor@
@marksman@|@medror@
@martial@|@breselek@
@masonry@|@menwyth@
@massacre@|@lathva@
@massive@|@corfek@
@mastery@|@maystry@
@mastiff@|@gavelgy@
@mastless@|@dywern@
@mat@|@streyl@
@material@|@defnyth@
@maternal@|@mamol@
@math@|@calcoryeth@
@matting@|@strayl@
@mattock@|@pygal@
@mattress@|@colghes@
@maturity@|@athvetter@
@maximum@|@mogha@
@May@|@Mis Me@
@mayoress@|@méres@
@meal@|@prýs@
@mealtime@|@racca@
@meaning@|@styr@
@measure@|@musür, musura@
@meat@|@kig, kyk@
@meats@|@kigyow@
@meddler@|@mellyer@
@mediate@|@maynhé@
@mediator@|@mayn@
@medical@|@medhek@
@medicine@|@medhekneth@
@meditate@|@predery@
@meekness@|@clórder@
@meeting@|@kesva@
@melodic@|@melodyes@
@melon@|@pompyon whek@
@melting@|@téth@
@membrane@|@kennen@
@memorial@|@covath@
@memory@|@kov@
@mention@|@kywhethel@
@merchant@|@marchont@
@merciful@|@tregeredhys@
@mercury@|@mergher@
@meridian@|@hanterdéth@
@mermaid@|@mórwerghes@
@merry@|@lowenek@
@message@|@danvonadow@
@metallic@|@múnek@
@metrical@|@metryk@
@middle@|@kres@
@midnight@|@ha-nternós, hanternos@
@midwife@|@gwelyvedhes@
@milfoil@|@mynfel@
@military@|@breselek@
@militia@|@treflu@
@milk@|@léth@
@milkmaid@|@léthwrek@
@milkman@|@léthor@
@milliner@|@penwyskwrék@
@mine@|@bal@
@mineral@|@mún, munak@
@mines@|@balyow@
@minework@|@mungleth@
@minute@|@mynysen@
@mission@|@cannaty@
@mistake@|@camgemeryans, myskemeres@
@mixture@|@kemysk@
@molasses@|@molas@
@molehill@|@pylgodhor@
@momentum@|@hedhyans@
@monarch@|@myghtern@
@monastic@|@meneghek@
@Monday@|@dé-Lün, Dy Lun@
@money@|@mona@
@mongrel@|@kemyskrýth@
@monkey@|@sym@
@monotony@|@ündoneth@
@monster@|@üthfyl@
@month@|@mis, mýs@
@monthly@|@mýsek@
@months@|@misyow@
@moon@|@lór@
@moor@|@goen, hal@
@moorings@|@ancarva@
@moorish@|@sarsynek@
@moors@|@halow@
@morality@|@ewnder@
@moreover@|@ynweth@
@morning@|@myttin, myttyn@
@mortise@|@morter@
@mortuary@|@marowjy@
@mosquito@|@gwybesen@
@mother@|@mam@
@mother-in-law@|@wheger@
@motherly@|@mamyl@
@motorway@|@forthvür@
@mottled@|@brýth@
@mountain@|@meneth, menydh@
@mountains@|@menydhyow@
@mourner@|@kýner@
@mournful@|@tryst@
@mourning@|@kykyans@
@mouse@|@logosen@
@mouth@|@ganow@
@movement@|@daromres@
@muffler@|@gúdhúgen@
@mugwort@|@losles@
@mulberry@|@moren@
@mullein@|@gwlányk@
@multiple@|@lýesplék@
@multiply@|@lyeshé@
@mumbler@|@stlaf@
@mumbling@|@stlaf@
@murderer@|@moldrer@
@muscle@|@keher@
@muscular@|@keherek@
@mushroom@|@scavel-cronek@
@musical@|@ýlowek@
@musician@|@músy-cyen, ýlewyth@
@mussel@|@mesclen@
@mustard@|@kedhow@
@mutation@|@chanj@
@mutton@|@kýk-davas@
@mystery@|@myster@
@mystify@|@müskegy@
@mythical@|@mythek@
@nameless@|@dyhanow@
@napkin@|@lýen@
@narrator@|@derývador@
@national@|@gwlasek@
@natural@|@genyjyk@
@nature@|@natur@
@naughty@|@drók@
@nautical@|@mórek@
@near@|@ogas@
@nearest@|@nessa@
@nearness@|@ogaster@
@neatness@|@glánythter@
@neck@|@conna@
@necklace@|@kelghen@
@necklet@|@delk@
@necktie@|@gúdhúgen@
@needful@|@bysy@
@needle@|@najeth@
@negative@|@negedhek, negeth@
@neglect@|@scul@
@neighbor@|@kentrevak@
@neighing@|@gryghýas@
@neither@|@nanýl@
@nephew@|@noy@
@nervous@|@ownek@
@nest@|@nyth@
@network@|@roswythhé@
@new@|@nowydh@
@newness@|@nowethsys@
@nickname@|@leshanow@
@niece@|@nýth@
@night@|@nos, nós@
@nights@|@nosow@
@nine@|@naw@
@nineteen@|@nawnjék@
@ninety@|@dek ha peswarügans@
@nobility@|@bryntynsys, pensevygeth@
@nobleman@|@pensevyk@
@noisome@|@dysawor@
@nonsense@|@flows@
@noodles@|@noudels@
@noon@|@hanterdéth@
@northern@|@cléth@
@nose@|@troen@
@nose (nostrils)@|@frygow@
@nose (snout)@|@tron@
@noses@|@troenyow@
@nostril@|@frýk@
@notably@|@specyal@
@notebook@|@lyver notyansow@
@nothing@|@travyth@
@novelty@|@coyntys@
@November@|@Mis Du, mýs-Du@
@nowadays@|@hedhyuynjeth@
@noxious@|@anyagh@
@nucleus@|@sprüsen@
@nuisance@|@pla@
@number@|@nyver@
@numeral@|@nyveren, nyveren@
@nurse@|@medhyores@
@nursery@|@floghva@
@nutshell@|@plysken@
@oak@|@derow@
@oat@|@kerghen@
@oatland@|@kerghtyr@
@oatmeal@|@brunyon@
@obdurate@|@aflythys@
@obedient@|@gostyth@
@obelisk@|@hyrven@
@oblation@|@oblasyon@
@obliging@|@plegadow@
@oblivion@|@ancofva@
@obscene@|@lyk@
@obscure@|@tewl@
@observer@|@aspýer@
@obsolete@|@hén@
@obstacle@|@let@
@obvious@|@apert@
@occasion@|@acheson@
@occupant@|@annedhyas@
@occupied@|@bysy@
@occupier@|@annedhyas@
@ocean@|@keynvor, mór brás@
@oceanic@|@keynvórek, mórek@
@October@|@Mis Hedra, mýs-Hedra@
@octopus@|@collel-lésa@
@odorous@|@flérys@
@offence@|@peghas@
@offender@|@péghador@
@offering@|@offryn@
@office@|@soedhva, sothva@
@officer@|@sodhak@
@offices@|@soedhvaow@
@official@|@offysyal@
@oil@|@oyl@
@ointment@|@üras@
@old@|@koth@
@olive@|@olyf@
@omission@|@gwall@
@one@|@onen, onen (m), un (f)@
@one day@|@unn jydh@
@one hundred@|@cans@
@one million@|@mylvyl@
@onion@|@onyonen@
@openess@|@rythsys@
@opening@|@anter@
@opera@|@gwary-cán@
@operator@|@oberor@
@opinion@|@tybyans@
@oppoese@|@contraryüs@
@opponent@|@contrary@
@optional@|@dewysek@
@opulence@|@rychys@
@opulent@|@rych@
@orange@|@owraval, rüthvelen@
@oration@|@areth@
@orbital@|@kelghtrohek@
@orchard@|@aval-lón, avallón@
@orderly@|@kempen@
@ordinary@|@sempel@
@ordnance@|@ordnans@
@organic@|@organek@
@organism@|@organeth@
@orifice@|@mýn@
@original@|@dallethfosek@
@orrnament@|@tegen@
@ostrich@|@strüs@
@otter@|@dowrgý@
@outbreak@|@tarth@
@outcast@|@gal@
@outcasts@|@galow@
@outcome@|@deweth@
@outdoor@|@plén-an-gwary@
@outhouse@|@skyber@
@outline@|@form, fürf, lynenna@
@outlook@|@golovka@
@outright@|@hepnam@
@outside@|@avés, tu a-vés@
@oval@|@hýrgren@
@oven@|@forn@
@overcast@|@comolek@
@overcoat@|@pows@
@overflow@|@fenna@
@overfond@|@serghak@
@overfull@|@gorlün@
@overlord@|@gwathevyas@
@overseas@|@tramér@
@oxymoron@|@trüs@
@oyster@|@estren@
@pacific@|@cosel@
@package@|@fardel@
@pageant@|@pajont@
@painful@|@ankensy@
@painless@|@dyalar@
@painter@|@lywor@
@painting@|@lywans@
@palisade@|@pülgé@
@pamphlet@|@lyfryk@
@pancake@|@crampethen@
@pannier@|@cowel@
@pantry@|@talgel@
@paper@|@pápaer@
@parable@|@parabyl@
@paragon@|@perfythter@
@parallel@|@keslýnek@
@parasite@|@oleker@
@parched@|@cras@
@parents@|@kerens@
@parish@|@plyw@
@parsley@|@persylen@
@parsnip@|@panesen@
@partaker@|@kevrennek@
@particle@|@tam@
@parting@|@dybarth@
@partisan@|@holyer@
@partner@|@compar@
@passable@|@heforth@
@passage@|@tremenva@
@passion@|@passyon@
@passive@|@godhevüs@
@passport@|@cumyas porth@
@pastime@|@gwary@
@pastry@|@pást@
@pasture@|@porwels@
@pasty@|@pasti@
@paternal@|@tasek@
@pathetic@|@pytethüs@
@patience@|@perthyans@
@patient@|@cláf@
@patriot@|@gwlascarer@
@patronal@|@tasek@
@pea@|@pýsen@
@peace@|@kres@
@peach@|@aval gwlanek@
@peacock@|@payon@
@pear@|@peren@
@peatbog@|@towarghek@
@peculiar@|@coynt@
@peep@|@gyki@
@pen@|@plüven, pluvenn@
@penalty@|@pewas@
@penance@|@hyrbenys@
@pencil@|@pyncel@
@penguin@|@beraskel, pengwyn@
@penis@|@kalgh@
@penitent@|@ankenek@
@penknife@|@kellyllyk@
@pension@|@pensyon@
@pensive@|@tryst@
@people@|@pobel@
@pepper@|@püber@
@perfect@|@perfyth@
@perhaps@|@martesen@
@perjury@|@gowly@
@person@|@person@
@personal@|@prýva@
@pervert@|@trüshé@
@phantom@|@tarosvan@
@picture@|@skeusenn@
@pie@|@pasty@
@piebald@|@spletyar@
@pierced@|@gwenys@
@piercing@|@gwan@
@pig@|@hogh@
@pigs@|@hoghes@
@pilchard@|@hemen@
@pillow@|@plüvak@
@pilot@|@lewyer@
@pinafore@|@raglen@
@pinetree@|@pýnbren@
@pink@|@gwynrüth, ruthwyn@
@pinnacle@|@bytakyl@
@pint@|@pinta@
@pirate@|@morlader@
@pitcher@|@pycher@
@piteous@|@trúethek@
@pizza@|@pytsa@
@place)@|@aswonn@
@plainly@|@efan@
@plate@|@plata@
@plateau@|@gwastattyr@
@platform@|@soler@
@play@|@gwari@
@please@|@marpleg@
@pliers@|@gevell bean@
@plummet@|@plemmyk@
@plunder@|@pylla@
@plunger@|@sedhor@
@pockmark@|@pocca@
@poetess@|@bardhes@
@pointed@|@lym@
@polecat@|@yewgen@
@polished@|@lenter@
@politic@|@jentylla@
@politics@|@gwlasegeth@
@pollack@|@dojel@
@pompous@|@gothys@
@poorness@|@boghosogneth@
@populace@|@gweryn@
@pork@|@kýk mogh@
@portent@|@marthüsy@
@portrait@|@hevelep@
@possible@|@possybyl@
@possibly@|@martesen@
@post office@|@lytherva@
@postman@|@lytherwas@
@posture@|@sáf@
@potato@|@patata@
@potency@|@crefter@
@potsherd@|@crym@
@pound@|@peuns@
@powerful@|@gallosek@
@practice@|@usadow@
@prairie@|@gwanethtyr@
@pray@|@pysi@
@preacher@|@pregowther@
@precinct@|@clós@
@precious@|@drüth@
@precise@|@dyblans@
@preface@|@raglavar@
@prelate@|@perlet@
@prepared@|@parys@
@preparer@|@darbarer@
@presence@|@golok@
@present@|@ro@
@preserve@|@kyfyth@
@pressure@|@ynnýadow@
@prestige@|@roweth@
@pretence@|@fayntys@
@pretend@|@dolós@
@pretext@|@cavanscüs@
@prettier@|@tecca@
@prevent@|@gwytha@
@previous@|@kens@
@pricked@|@gwenys@
@prickle@|@drén@
@prickly@|@drenak@
@primary@|@kensa@
@primrose@|@bryallen@
@princess@|@pensevyges@
@printer@|@pryntyer@
@printing@|@pryntyans@
@prioress@|@prýores@
@prisoner@|@prysner@
@privacy@|@pryvetter@
@private@|@prýva@
@privity@|@pryveta@
@probable@|@gwýrhaval@
@probity@|@léouta@
@problem@|@cüth@
@proceeds@|@gwayn@
@prodigy@|@marthüs@
@produce@|@ascor@
@profane@|@ansans@
@profile@|@profyl@
@profound@|@down@
@progeny@|@agh@
@program@|@program@
@progress@|@spéda@
@project@|@towl@
@promise@|@dedhewadow@
@promptly@|@a-boynt@
@pronoun@|@raghanow@
@properly@|@ewn@
@property@|@pyth@
@prophecy@|@profüsans@
@prophet@|@profüs@
