@English@|@Lingala@
@The child fell@|@Mwana akwei@
@The child grew@|@Mwana akoli@
@The child had a spanking@|@Mwana azwi mbata@
@The child is afraid; he shouts@|@Mwana abangi; agangi@
@The child urinated@|@Mwana asubi@
@the children are in class@|@Bana bazali na kelasi@
@The children are in the house@|@Bana bazali na ndako@
@The children argue@|@Bana bazali koswana, Bana bazali koswana@
@the children go to school@|@Bana bakei na kelasi@
@the children of Europe@|@bana ya poto@
@The children play inside@|@Bana bazali kosakana na kati@
@the children rise@|@Bana batelemi@
@The drink; it is cool@|@Masanga ezali mpio@
@The feast is finished@|@Feti esili@
@the fish is delicious@|@Mbisi ezali elengi@
@The glasses are on the table@|@Bakopo ezali na mesa@
@the grass@|@matiti@
@The house became beautiful@|@Ndako ekomi kitoko@
@The house burns@|@Ndako eziki@
@The house collapsed@|@Ndako ebukani.@
@The house is beautiful@|@Ndako ezali kitoko@
@The lamp is lit@|@Mwinda epeli@
@The late brüle@|@Motorcycle epeli@
@the left arm@|@loboko ya mwasi@
@The lingala is a language@|@Lingala ezali lokota@
@The lion is an animal@|@Nkosi ezali niama@
@the long trip@|@mobembo molai@
@The master enters in the class@|@Molakisi akoti na kelasi@
@The master gave him a book@|@Molakisi apesaki ye buku@
@The men are inside seated@|@Mibali bavandi na kati@
@the morning@|@na ntongo@
@the new year@|@mobu ya sika@
@the one@|@oyo@
@The onions are vegetables@|@Matungulu ezali ndunda@
@The pain; is it constant?@|@Pasi yango ezali tango nionso?@
@the palm butter@|@mafuta ya mbila@
@the palne landed@|@Mpepo ekiti@
@The plane lands@|@Mpepo ekiti@
@the right arm@|@loboko ya mobali@
@the river side@|@Epai ya ebale@
@The thief ran away@|@Moyibi akimi@
@The village is far@|@Mboka ezali mosika@
@the warning@|@likebisi@
@Then we will go for a walk@|@Na nsima tokotambola@
@there@|@kúná, wâná@
@These are bananas plants@|@Ezali makemba!@
@These are onions@|@Oyo ezali matungulu@
@These cups are pretty@|@Bakopo yango ezali kitoko@
@they@|@ba- (persons), banga, bango, e-, i- (things)@
@they are hungry@|@Bazali na nzala@
@They blocked the road@|@Bazibaki nzela@
@they cook@|@Bakolamba, Bazali kolamba@
@they eat@|@Balie@
@They entered in the house@|@Bakoti na ndako@
@they gave@|@Bapesaki@
@they go@|@Bakei@
@they live@|@Bavandaka@
@they love@|@Balingi@
@They welcomed us well@|@Bayambaki biso malamu@
@they'll give@|@Bakopesa@
@thick@|@-néne, monéne@
@thief@|@moibi, moyibi@
@thieves@|@baibi, bayibi@
@thin@|@-ké, moke, moké@
@thing@|@eloko@
@things@|@biloko@
@this@|@óyo@
@This boy is strong@|@Mobali azali makasi@
@This house is beautiful@|@Ndako oyo ezali kitoko@
@this house is beauty@|@Ndako oyo ezali kitoko@
@this is fumbwa@|@Ezali fumbwa@
@this was your life@|@oyo bomoi na yo@
@three@|@-ísáto, mísáto@
@three hundred@|@nkama misato@
@thus@|@boye@
@time@|@mbala, ntango@
@tiny shoes@|@sapato mike@
@tired (to be)@|@- lembe@
@to@|@na@
@to answer@|@- yanola@
@to ask@|@- senga@
@to ask to@|@- tuna@
@to bargain@|@-kakola@
@to be@|@- zala, kozala@
@to be 10 years@|@-kokisa mibu 10@
@to be afraid@|@-bangisa@
@to be going to look for@|@- kende koluka, - kende kozwa@
@to be hidden@|@-bombama@
@to be hungry@|@koyoka nzala@
@to be killed@|@kobomama@
@to be lit@|@- peeled@
@to become@|@- koma@
@to begin@|@-banda@
@to bite@|@-swâ@
@to bless@|@- pambola@
@to block@|@- ziba@
@to blow@|@-pémela, -pEpE@
@to boil@|@- toka@
@to born@|@-botama@
@to brake@|@-bukana@
@to break@|@-buka@
@to breathe@|@-péma@
@to burn@|@- zikisa, -pela, -pela, -zíka@
@to buy@|@- somba@
@to call@|@-benga@
@to can@|@-koka@
@to carry@|@- simba@
@to cause@|@- solola@
@to clear@|@kozibola@
@to close@|@-kanga, kofunga@
@to come@|@-úta, -yâ, -yáa@
@to come back@|@- zonga@
@to cook@|@- lamba@
@to count@|@-tánga@
@to cry@|@- lela@
@to cut@|@-káta, -kátakata@
@to dance@|@-bina@
@to deceive@|@- kosa@
@to develop@|@kozingola@
@to die@|@-kúfa@
@to dig@|@-tímola@
@to dispute@|@- swana@
@to dress@|@- latisa, alati@
@to drink@|@- mingled, -mele@
@to eat@|@- bound, -lía, kolia@
@to eat gluttonously@|@dunda@
@to enter@|@- kota@
@to excuse@|@- limbisa@
@to fall@|@- kwa, -kpâ@
@to fear@|@-bánga@
@to fight@|@-bunda, bÉtEnE@
@to find@|@kokúta@
@to finish@|@- silisa@
@to float@|@-tepa, -tetwa@
@to fly@|@- yiba, -pimbwa@
@to forget@|@-bosana@
@to get out@|@-bima, -bimisa@
@to get thinner@|@- konda@
@to give@|@- weighed, -kaba, -pésa@
@to give birth@|@-bota@
@to go@|@- longoa, - longwa, -kende@
@to go rotten@|@-polo@
@to go up@|@- subdued@
@to go up by car@|@komata na motuka@
@to grill@|@-kalinga@
@to grow@|@- kola, -kola@
@to have@|@- zala na, - zwa, -banga@
@to have 10 years old@|@- kokisa mibu 10@
@To have toothache@|@koyoka mpasi ya mino@
@to heal@|@kobíka@
@to heal someone else@|@kobíkela@
@to hear@|@-yóka@
@to help@|@- salisa@
@to hide@|@-bomba@
@to hit@|@-beta, -bÉtE@
@to hold@|@-kamata@
@to hope@|@- zala na elikia@
@to hunt@|@-bengana@
@to inform@|@koyébisa@
@to insult@|@-finga@
@to kill@|@-boma, koboma@
@to know@|@-koka, -yéba, koyéba@
@to land@|@-kita@
@to laugh@|@- seka, -sEkE@
@to leave@|@-kende@
@to leave in journey@|@kokende mobembo@
@to let@|@- tika@
@to lie (as in a bed)@|@-lálisana (action)@
@to lie down@|@- lalisa@
@to light@|@- pelisa@
@to like@|@- linga@
@to live@|@-vánda@
@to look for@|@- luka@
@to make@|@- salted@
@to make cry@|@- lelisa@
@to make dirty@|@-bébisa@
@to make known@|@- yebisa@
@to make laugh@|@- sekisa@
@to make wait@|@- zelisa, - zilisa@
@to marry@|@-bala, -balana@
@to meet@|@- kutana, kokútana@
@to meet himself@|@- kutana@
@to miss of@|@- zanga@
@to open@|@- zibola, -fungola, kofungola@
@to pass@|@- leka@
@to pay@|@-futa@
@to pay for@|@-futela@
@to play@|@-sakana, -sana@
@to plug@|@koziba@
@to pray@|@- sambela@
@to pull@|@-bénda@
@to push@|@-to@
@to put@|@- lata, - tia@
@to put the table@|@- salted mesa, kosala mesa@
@to raise@|@- telema@
@to read@|@- tanga@
@to read for@|@- tangela@
@to refuse@|@-boya@
@to rejoice@|@- sepela@
@to remove@|@- longola@
@to rot@|@- pola@
@to rub@|@-bísa@
@to run away@|@-kima@
@to rush@|@- salted noki@
@to say@|@-loba@
@to scratch@|@-kóta, -kpaka, -kpala, -nyaka@
@to see@|@- mona, -móno@
@to sell@|@- teka@
@to send@|@- tindela@
@to sew@|@-sono@
@to shave@|@kokata mandefu@
@to shout@|@-ganga@
@to show@|@- lakisa@
@to sing@|@-yémba@
@to sinter@|@mikate, mokate@
@to sit@|@- vandisa, -fanda, -kisa (action), -vánda, -vánda@
@to sit (1)@|@- fandisa@
@to sleep@|@-lála@
@to smell@|@-núsa@
@to smoke@|@komela likaya@
@to speak@|@- loba@
@to spit@|@-bwáka nsói@
@to split@|@-pasola@
@to squeeze@|@-kangisa@
@to stand@|@-lamuka, -télema (action)@
@to stop@|@-tika@
@to suck@|@-núnga, -nyúnya@
@to sweep@|@- komba@
@to swell@|@-vímba@
@to swim@|@-nyanya, -túnga@
@to think@|@-bánza, -kanisa@
@to throw@|@-bwáka@
@to tie@|@-kanga, -línga, -zínga@
@to tire@|@- lembisa@
@to try@|@- meka@
@to turn@|@-balula@
@to urinate@|@- suba@
@to visit@|@kotála@
@to vomit@|@-sánza@
@to wait@|@- zela, - zila@
@to walk@|@-támbola@
@to want@|@- linga@
@to warm up@|@-toko@
@to wash@|@- sukola nzoto, -sukola, kosukola nzoto@
@to watch@|@- bruised@
@to welcome@|@- yamba@
@to wipe@|@-pangwisa@
@to wrap@|@kozinga@
@to write@|@- komela, -koma@
@tobacco@|@likaya, makaya@
@today@|@lelo, leló@
@Today I am going to cook fish@|@Lelo nakolamba mbisi@
@Today; I prepared meat@|@Lelo nalambi mosuni@
@tommorow; I buy rice@|@Lobi nakosomba loso@
@tomorrow; I go to the market@|@Lobi nakokende na zando@
@tongue@|@lolemo@
@tongue (organ)@|@lolému@
@tooth@|@lino, líno@
@touch@|@bankoko, nkoko@
@touches@|@batata@
@tree@|@moete, mweté, nzeté@
@trees@|@miete@
@truly@|@sôlo@
@twenty@|@ntuku mibale@
@twin@|@lipasa@
@twins@|@mapasa@
@two@|@-íbalé, míbalé@
@two thousand@|@nkoto mibale@
@underhand of@|@na nse ya@
@until@|@tee@
@up to 1 hour@|@na kozela ngonga 1@
@up to 2 hours@|@na kozela ngonga 2@
@up to 3 hours@|@na kozela ngonga 3@
@up to 4 hours@|@na kozela ngonga 4@
@us@|@to@
@vegetables@|@ndunda@
@village@|@mboka@
@Wait!@|@Zela!@
@walked@|@zando, zandu@
@walnut of palm@|@lobila, mbila@
@water@|@mái@
@Water boils@|@May etoki@
@water of the stream@|@Mai ya ebale@
@way@|@ndenge@
@we@|@bísó, to-@
@We are going to go for a walk@|@Tokei kotambola na zando@
@We are outside@|@Tozali na libanda@
@We ate some skewers@|@Toliaki bakamundele@
@we cook@|@Tokolamba, Tozali kolamba@
@we eat@|@Tolie@
@we gave@|@Topesaki@
@we go@|@Tokei@
@we live@|@Tovandaka@
@we love@|@Tolingi@
@We met on the way@|@Tokutani na nzela@
@We walked slowly@|@Totambolaki malembe@
@we will leave on a trip@|@Tokokende mobembo@
@we'1l give@|@Tokopesa@
@welcome@|@likamboté@
@Welcome@|@Boyei bolamu, Oyei oi@
@well@|@Malamu@
@well!@|@malámu!@
@wet@|@polo@
@what@|@níni@
@What colour?@|@Ya couleur nini?@
@What did you cook?@|@Olambi nini?@
@What did you make?@|@Osali nini?@
@What do you make now?@|@Ozali kosala nini sikoyo?@
@What do you say?@|@Olobi nini?@
@What is this?@|@Oyo ezali nini?, Oyo nini?@
@What is your level of pain?@|@Pasi na yo e zali ndelo boni?@
@What is your name?@|@Kombo na yo nani?@
@What news?@|@Nsango nini?@
@what?@|@nini@
@what's new?@|@Nsango nini?, sango nini?@
@What's your name?@|@Nkómbó nayó náni?@
@when@|@tángo@
@When did it start?@|@E bandaki tango nini?@
@When did you become ill?@|@O zuwaki maladi tango nini?@
@When?@|@Na tango nini?@
@where@|@wápi@
@Where are my baggages?@|@Biloko na ngai wapi?@
@Where are the glasses?@|@Bakopo wapi?@
@Where are you?@|@Ozali wapi?, Wapi yo?@
@Where did you born?@|@Obotami wapi?@
@Where did you hide my money?@|@Obombi mbongo na ngai wapi?@
@Where did you put them?@|@Otiaki yango wapi?@
@Where do you go?@|@Bokei wapi?, Okei Wapi?@
@Where is she foundation?@|@Avandi wapi?@
@Where is the bar?@|@Nganda ezali wapi?@
@Where is the beach?@|@Ébale ya mayi ezali wapi?@
@Where is the telephone@|@Telephone ezali wapi@
@where?@|@wapi@
@white@|@mondele, mpémbe@
@white?@|@pembe?@
@whites@|@mindele@
@who@|@nani, náni@
@Who did you see?@|@Omoni nani?@
@whole summer@|@mobimba@
@Why did you make it cry?@|@Olelisi ye mpo na nini?@
@Why did you put him afraid@|@Obangisi ye mpo na nini?@
@Why do you laugh?@|@Ozali koseka mpo na nini?@
@Why does Mom cry?@|@Mama azali kolela mpo na nini?@
@Why?@|@Mpo na nini?@
@wide@|@-laí@
@wife@|@bolóngai, mwäsí@
@Will someone call my name?@|@Moto a kobenga kombo na ngai?@
@wind@|@mompepe@
@window@|@lininisa@
@windows@|@maninisa@
@wing@|@lipapú@
@with@|@na@
@woman@|@moasi, mwäsí, mwäsí@
@women@|@basi@
@word@|@liloba@
@words@|@maloba@
@work@|@mosala@
@worker@|@mosali@
@workers@|@basali@
@works@|@misala@
@worm@|@limpiká, mósópi, mpambó@
@wrist@|@mbata@
@write@|@koma@
@year@|@mbúla, mobú@
@years@|@mibu@
@yellow@|@-táne@
@yellow-green?@|@jaune pe mayi ya pondu?@
@yes@|@è, ee@
@Yes@|@Ée, He, Íyo@
@yes; I'm hungry@|@Ee; nazali na nzala@
@yesterday@|@lobi@
@Yesterday I went to the market@|@Lobi nakendeki na zado@
@yesterday; I cleaned the house@|@Lobi nasukolaki ndako@
@Yesterday; one stopped the thief@|@Lobi bakangaki moyibi@
@you@|@bo, o-, oh, yo, yó@
@you (plural)@|@bínó, bo-@
@You also!@|@Yo mpe!@
@you are@|@Ozali@
@You are a good person@|@Ozali motorcycle malamu@
@you cook@|@Okolamba, Ozali kolamba@
@you cook (pl)@|@Bokolamba, Bozali kolamba@
@you eat@|@Olie@
@you eat (pl)@|@Bolie@
@You eat really gluttonously@|@Odundi mpenza@
@you enjoy@|@osepela@
@you gave@|@Opesaki@
@you gave (pl)@|@Bopesaki@
@you go@|@Okei@
@you go (pl)@|@Bokei@
@You have a broken@|@Biloko oyo ezali ya kobukana@
@you have been enjoying@|@osepelí@
@You lie!@|@Lokuta no yo!@
@you live@|@Ovandaka@
@you live (pl)@|@Bovandaka@
@you love@|@Olingi@
@you love (pl)@|@Bolingi@
@You made the catnap@|@Olali mpongi ya me@
@You may get up now@|@O koki ko telema@
@You may go home@|@O koki kokende na ndako@
@You need to keep this@|@E sengeli o zala na oyo@
@You need to stay in hospital@|@E sengeli o zala hospitalisé@
@You put myself in anger@|@Opesi ngai nkanda@
@You tire me@|@Olembisi ngai@
@you would enjoy@|@ósepéla@
@you'll give@|@Okopesa@
@you'll give (pl)@|@Bokopesa@
@your@|@bino@
@Your goats passed (by) here@|@Ntaba ya bino elekaki awa@
@Your wife is at home?@|@Mwasi na yo na azali ndako?@

