@Arabic (romanized)@|@English@
@khibra (khubr) @|@ experience@
@khidma (khadamāt) @|@ service@
@khilāla @|@ during@
@khubz @|@ bread@
@khusûsan@|@especially@
@khuSūSan @|@ especially@
@khuSūSī @|@ special, private@
@kîf (mid.east)@|@how@
@kitāb (kutub) @|@ book@
@kitâba@|@writing@
@kull @|@ all, every@
@kulli sayf@|@every summer@
@kulli wâHid@|@everyone@
@kunnâ namzaH.@|@we were joking.@
@kuntu urîdu an as2alak.@|@I was planning to ask you.@
@kursî@|@chair@
@lā @|@ no, not@
@la a3raf biddabt.@|@I don't know exactly.@
@lâ adrî ba3d.@|@I don't know yet.@
@Lâ adrî.@|@I have no idea.@
@lâ aHad@|@noone@
@lâ aHad yatakallam hunâ.@|@noone speaks here.@
@lâ akhâfu min'l imtiHân!@|@I don't fear the exam!@
@lâ aqsad thâlik.@|@I don't mean that.@
@lâ ba`s.@|@never mind.@
@lâ budda an athhab.@|@I have to go.@
@lâ budda an...@|@I must...@
@lâ shay mu3yan@|@nothing in particular.@
@lâ shukra 3ala wâjib.@|@it's nothing (no need to thank).@
@labisa / yalbasu @|@ to wear@
@ladā @|@ at, near, by@
@laHm (luHūm, liHām) @|@ meat@
@laHZa @|@ moment@
@lailek@|@lilac@
@lākin @|@ but@
@lam @|@ (+jussive) did not@
@lam af'al.@|@no, I haven't. (in reply to any question)@
@lam ajidhû.@|@I haven't found it (yet).@
@Lam azûrhâ.@|@I haven't visited there.@
@lam ukmil al qissa ba'd.@|@I haven't finished the story yet.@
@lammā @|@ when@
@lan @|@ (+subjunctive) will not@
@lan tastajib li su`âlî.@|@she wouldn't answer my question.@
@laTīf (liTāf, luTfā) @|@ pleasant, kind@
@lâtînî@|@Latin (language)@
@law @|@ if@
@law samaHt (esp. in Jordan)@|@please@
@lawn (’alwān) @|@ color@
@layla (layāl) @|@ night@
@laysa @|@ is not@
@laysa ba'd@|@not yet.@
@lazima / yalzamu @|@ to be necessary@
@leymûn@|@lemon@
@li- @|@ to, for, because of@
@li hâdhâ@|@for this (reason).@
@li hâdhâ-ssabab.@|@for this reason.@
@li`annî / li`annak@|@because@
@li’anna @|@ because@
@lidhālika @|@ so, therefore@
@likay@|@in order to@
@li-kay @|@ in order to@
@likay tanjaH yajib an tadrus.@|@you must study in order to succeed.@
@lil-asaf@|@unfortunately@
@limā @|@ why?@
@lisān (’alsina, ’alsun) @|@ tongue@
@lu`lu`@|@pearl@
@lu3ba@|@toy, game@
@lugha @|@ language@
@mā @|@ not; what@
@mâ ra`yak?@|@what's your opinion?@
@ma?a @|@ with, in spite of@
@ma?qūl @|@ intelligent@
@ma?rifa (ma?ārif) @|@ (field of) knowledge@
@mā’ (miyāh) @|@ water@
@ma3karûna@|@macaroni@
@mablagh (mabāligh) @|@ amount@
@madanī @|@ civil, civilian@
@mādda (mawādd) @|@ substance@
@madda / yamuddu @|@ to spread@
@madīna (mudun) @|@ city@
@madkhal (madākhil) @|@ entrance@
@madrasa (madāris) @|@ school@
@mâfish (mid.east)@|@no, isn't@
@mâfish mushkilah (mid.east)@|@no problem.@
@maftūH @|@ open@
@maHabba @|@ love@
@maHall (maHāll, maHallāt) @|@ place@
@maHaTTa @|@ shop, station@
@maHdhûdh (mahzûz in mid. east@|@lucky@
@maHkama (maHākim) @|@ court@
@majlis (majālis) @|@ council, board@
@makān (’amākin, ’amkina) @|@ place@
@makâtib@|@libraries@
@makhraj (makhārij) @|@ exit@
@maktab@|@library@
@maktab (makātib) @|@ office@
@maktaba @|@ library, bookstore@
@malaka / yamliku @|@ to own, to possess@
@malik (mulūk) @|@ king@
@malika @|@ queen@
@malisya@|@malaysia@
@mamlaka (mamālik) @|@ kingdom@
@mamnū? @|@ forbidden@
@mamnû3@|@forbidden@
@man @|@ who?@
@mana?a / yamna?u @|@ to prohibit@
@mandūb @|@ delegate@
@maraD (’amrāD) @|@ illness@
@marīD (marDa) @|@ sick@
@markab (marākib) @|@ ship@
@markaz (marākiz) @|@ center, headquarters@
@marra@|@once@
@marra @|@ time, once@
@marra / yamurru @|@ to pass, to cross@
@marra ukhra@|@again@
@mas’ūl @|@ responsible@
@masā’ (’amsīya) @|@ evening@
@mashā / yamshī @|@ to walk@
@mashghūl @|@ busy@
@mashhūr @|@ famous@
@mâshi (contraction of lâ shay)@|@nothing@
@mâshi (mid.east)@|@OK@
@mashriq @|@ east@
@maskan (masākin) @|@ dwelling@
@maSlaHa (maSāliH) @|@ welfare, interest@
@maSna? (maSāni?) @|@ factory@
@maSrūf @|@ expenditure@
@maT?am (maTā?im) @|@ restaurant@
@matā @|@ when?@
@māta / yamūtu @|@ to die@
@maT'am@|@restaurant@
@maTar (’amTār) @|@ rain@
@maTara / yamTuru @|@ to rain@
@maTbakh (maTābikh) @|@ kitchen@
@matha ba3d?@|@what else?@
@mâthâ fî thâlik?@|@what is wrong with it?@
@matha?@|@what?@
@mathal (’amthāl) @|@ proverb@
@mathalan @|@ for instance@
@maththala (II) @|@ to represent@
@maw3id@|@appointment, time and place (of smth.)@
@mawbayl@|@mobile phone@
@mawDhû3@|@topic@
@mawDhu3 lil munâqasha@|@a topic for discussion@
@mawDi? (mawāDi?) @|@ place@
@mawDū? (mawāDi?) @|@ subject@
@mawqî3@|@site (website)@
@mawqif (mawāqif) @|@ situation, position, stand@
@mawsim (mawāsim) @|@ season@
@mawt @|@ death@
@mawz@|@banana@
@mayyit (mawtā, ’amwāt) @|@ dead@
@maza7at@|@she joked@
@mazaHna@|@we joked@
@mazaHtu.@|@I joked.@
@mazra?a (mazāri?) @|@ farm, plantation@
@milH @|@ salt@
@min @|@ of, from@
@min ajl...@|@for / for the sake of (smb.)@
@min ajli sâdiqî@|@for the sake of my friend@
@min jadîd@|@once again@
@min qabl@|@before@
@min yawmayn@|@two days ago@
@min zamân@|@for a long time@
@minTaqa (manāTiq) @|@ district@
@minTiqa@|@region@
@mish (mid.eastern dialects)@|@not@
@mish shughlak!(mid.east)@|@it's not your business!@
@miskîn@|@poor, in poor condition@
@miSr @|@ Egypt@
@mithāl (’amthila) @|@ example@
@mithl (’amthāl) @|@ similarity, resemblance@
@mizâH@|@joke@
@mu?allim @|@ teacher@
@mu?āSir @|@ contemporary@
@mu`annath@|@feminine@
@mu3tadil@|@normal@
@mu3yan@|@specific, certain@
@mubakkir@|@early@
@mudda (mudad) @|@ period@
@mudīr @|@ manager@
@mufīd @|@ useful@
@mufred@|@singular@
@muhandis @|@ engineer@
@muhimm @|@ important@
@muHît il-atlas@|@atlas ocean@
@mujtahid @|@ industrious@
@mukallif@|@expensive@
@mukhtalif@|@different@
@mumârasât@|@practice@
@mumayyas@|@special@
@mumill@|@boring@
@mumkin @|@ possible@
@mumtâz@|@great.@
@mumTir@|@rainy@
@mundhu@|@since@
@mundhu @|@ since@
@mundhu shahr.@|@since a month@
@murr @|@ bitter@
@murtafi3@|@high@
@musalsal (see tr. "silsile")@|@series (on TV)@
@mushâbih@|@similar@
@mushkila (mashākil) @|@ problem@
@mushmis@|@sunny@
@muslim @|@ Muslim@
@mustaqbal@|@future@
@mustaqbil @|@ future@
@muta`akhhir@|@late@
@mutawâdhi3@|@modest, humble@
@muthakkar@|@masculine@
@muwaZZaf @|@ employee@
@muzdaHim@|@crowded@
@na?am @|@ yes@
@nā’ib (nuwwāb) @|@ deputy@
@nā’ib (nuwwāb) @|@ deputy@
@na2am.@|@sleep. (imperative)@
@nāba / yanūbu @|@ to represent, to substitute@
@naDīf (niDDāf) @|@ clean@
@nâdir(a) (adj)@|@rare@
@nâdiran@|@rarely@
@naffadha (II) @|@ to carry out@
@nafs@|@same@
@nafs (nufūs, ’anfās) @|@ self@
@nafs al-ma3na@|@the same meaning@
@nafs al-shay@|@the same thing@
@nafs al-su`al@|@the same question@
@nafT @|@ petroleum@
@nahār @|@ daytime@
@naHnu@|@we@
@naHnu @|@ we@
@nahr (’anhur, ’anhār, nuhūr) @|@ river@
@naHwa @|@ towards, about@
@najâH@|@success, salvation@
@nakhl @|@ palm trees@
@naqala / yanqulu @|@ to transport@
@nār (nīrān) @|@ fire@
@Nasa`tu an aghayyarhû.@|@I forgot to change it.@
@Nasa`tu mâthâ kuntu sa-aqûl.@|@I forgot was I was going to say.@
@nasha’a / yansha’u @|@ to grow@
@nashara / yanshuru @|@ to publish@
@nashīT @|@ active@
@nashra (nasharāt) @|@ publication@
@nashtarîha.@|@we buy it.@
@natâ`ij@|@results@
@natâ`ij Hasana@|@good results@
@nataja / yantiju @|@ to result@
@natīja (natā’ij) @|@ result@
@natruk al fursa lil âkharîn.@|@we leave the chance to the others.@
@natruk al-fursa lil qâdimîn.@|@We let the new comers use the opportunity.@
@natruk...@|@we leave...@
@naw? (’anwā?) @|@ sort, type@
@nazala / yanzilu @|@ to descend@
@naZara / yanZuru @|@ to look (at)@
@nejâH@|@success@
@nikammal.@|@go on.@
@nimtu@|@I slept@
@nisbiyyan@|@relatively@
@niSf (’anSāf) @|@ half@
@niZām (’anZima) @|@ system, order@
@nuHâDhiru@|@we prepare@
@nūr (’anwār) @|@ light@
@qā’id (qāda, quwwād) @|@ general, leader@
@qā’ima (qāwā’im, qā’imāt) @|@ list@
@qābala (III) @|@ to meet@
@qabila / yaqbalu @|@ to accept@
@qabl @|@ before@
@qabla qalîl@|@not long ago, a short time ago@
@qad @|@ (past particle)@
@qadam (’aqdām) @|@ foot@
@qadara / yaqdiru @|@ to be able to@
@qādim @|@ next@
@qadīm (qudamā’) @|@ old@
@qadima / yaqdamu @|@ to come, to arrive@
@qahwa (qahāwī) @|@ coffee@
@qāla / yaqūlu @|@ to say@
@qalam (’aqlām) @|@ pen@
@qalb (qulūb) @|@ heart@
@qalīl (qilāl) @|@ few, little@
@qāma / yaqūmu @|@ to rise, stand up@
@qamar (’aqmār) @|@ moon@
@qānūn (qawānīn) @|@ law@
@qara’a / yaqra’u @|@ to read@
@qari`a@|@village@
@qarīb (’aqribā’) @|@ near (to), related (to)@
@qarîban@|@soon@
@qarrar an...@|@he decided to...@
@qarrara@|@to decide/he decided@
@qarrara (II) @|@ to decide@
@qarya (quran) @|@ village@
@qasam@|@oath@
@qasama / yaqsimu @|@ to divide@
@qaSīr (qiSār) @|@ short@
@qaSr (quSūr) @|@ palace, fort@
@qaTa?a / yaqTa?u @|@ to cut@
@qātala (III) @|@ to fight@
@qatala / yaqtulu @|@ to kill@
@qatīl (qatlā) @|@ killed@
@qawī (’aqwiyā’) @|@ strong@
@qawm (’aqwām) @|@ race, people, nation@
@qawmī @|@ nationalistic@
@qira`ah@|@reading@
@qisâs@|@stories@
@qisas bolisiyya@|@detective stories@
@qism (’aqsām) @|@ part@
@qissa@|@story@
@qiSSa (qiSaS) @|@ story@
@qiT?a (qiTa?, qiT?āt) @|@ piece@
@qurra@|@villages@
@qursân@|@pirate@
@quwwa @|@ strength@
@ra`îs@|@president@
@ra`y@|@opinion@
@ra’ā / yarā @|@ to see@
@ra’īs (ru’asā) @|@ leader, president@
@ra’īsī @|@ principal, leading@
@ra’y (’arā’) @|@ opinion@
@radda / yaruddu @|@ to return, to reply@
@radī’ (’ardiyā’) @|@ bad@
@rafa?a / yarfa?u @|@ to raise@
@raHâlât@|@travelling@
@râi3@|@wonderful@
@raja?a / yarji?u @|@ to return@
@raja3tu / 3udtu.@|@I returned.@
@rajul (rijāl) @|@ man@
@rakhîS@|@cheap@
@rakhīS @|@ cheap@
@rākib (rukkāb) @|@ passenger@
@rakiba / yarkabu @|@ to ride@
@raml (rimāl) @|@ sand@
@raqm (’arqām) @|@ number@
@rasîm@|@painting@
@rasm@|@drawing@
@rasmī @|@ official@
@rasūl (rusul) @|@ messenger, apostle@
@raz bil-laHm@|@rice with meat@
@rijl (’arjul) @|@ leg@
@risāla (rasā’il, risālāt) @|@ letter@
@risâlah@|@letter@
@riyâDa@|@sport(s)@
@riyâDat >< riyaDiyat@|@sport(s) >< mathematics@
@riyâDiyat@|@math@
@riyâDiyât@|@math@
@riyāl (riyālāt) @|@ riyal@
@rubbamâ@|@maybe, perhaps@
@rusûm (mutaharrika)@|@cartoon(s)@
@sā?a @|@ hour, clock@
@Sa?b (Si?āb) @|@ difficult@
@sa’ala / yas’alu @|@ to ask@
@sâ3a wa niSf@|@one and a half hour@
@sa3ât (pl.)@|@hours@
@Sa3b@|@hard, difficult@
@sa-abqa.@|@I will stay.@
@sabab (’asbāb) @|@ reason@
@SabāH @|@ morning@
@sabâHan / fissabâH@|@in the morning@
@sabaqa / yasbaqu @|@ to precede@
@Sabī (Sibya, Sibyān) @|@ boy@
@sābiq @|@ previous@
@sâbiqan@|@already@
@Sadara / yaSduru @|@ to go out@
@SaDDara (II) @|@ to export@
@Sadīq (’aSdiqā’) @|@ friend@
@Sādir (Sādirāt) @|@ export@
@safar (’asfār) @|@ journey@
@sāfara (III) @|@ to travel@
@safHât@|@pages@
@safīna (sufun) @|@ ship@
@Saghīr (Sighār) @|@ small, little@
@SāHa / yaSīHu @|@ to call out@
@saHâ"if@|@newspapers@
@saHHa!@|@Bless you! (atchoo!)@
@SāHib (’aSHāb) @|@ owner@
@saHib/saHibti(f)(mid.east)@|@friend@
@saHîfa@|@newspaper@
@SaHīH (SiHāH, ’aSiHHā’, ’aSiHHa) @|@ healthy, right@
@sāHil (sawāHil) @|@ coast, shore@
@sahl@|@easy@
@sahl (suhūl) @|@ easy@
@sākin (sukkān) @|@ inhabitant@
@sâkit@|@silent@
@salām @|@ peace@
@SāliH @|@ sound, honest@
@sālim @|@ safe, secure@
@salīm (sulamā’) @|@ safe, secure@
@SallaHa (II) @|@ to repair@
@sallama (II) @|@ to preserve, to hand over, to greet@
@sâma@|@he fasted@
@sâma@|@he fasted@
@samaHa / yasmaHu @|@ to permit, to grant@
@samak (’asmāk) @|@ fish@
@sâmat@|@she fasted@
@sami?a / yasma?u @|@ to hear@
@sana (sinūn, sanawāt) @|@ year@
@Sāna / yaSūnu @|@ to protect@
@sana sa3îda!@|@happy new year!@
@Sana?a / yaSna?u @|@ to make, to manufacture@
@sanatil qâdim@|@next year@
@sanawī @|@ annual@
@sāqa / yasūqu @|@ to drive@
@sāra / yasīru @|@ to go, to travel, to happen@
@Sarafa / yaSrifu @|@ to spend@
@sarī? (sur?ān, sirā?) @|@ quick@
@saTH (suTūH, ’asTiHa) @|@ surface@
@sawda usâ3id ummî@|@I will help my mother.@
@sawfa a3ûd.@|@I will return.@
@sawfa anthur fil-qâmûs.@|@I will look up in the dictionary.@
@sawfa arji3u.@|@I will return.@
@Sawt (’asWāt) @|@ voice, vote@
@sawwat@|@to vote, he voted@
@sawwata@|@you voted (m.)@
@sawwati@|@you voted (f.)@
@sawwatu@|@I voted@
@sayyāra @|@ automobile@
@sayyid (sāda) @|@ mister, gentleman@
@sayyida @|@ Mrs., lady@
@sha?b (shu?ūb) @|@ people@
@shā’a / yashā’u @|@ to wish@
@sha’n (shu’ūn) @|@ thing, matter@
@shabâb@|@youth@
@shabâb al-yawm@|@young ppl of today@
@shabb (shabāb, shubbān) @|@ young man@
@shābba @|@ young woman@
@shadīd (shidād) @|@ strong@
@shahada@|@to watch@
@shahadtu@|@I watched@
@shahr@|@(one) month@
@shahr (’ashhur, shuhūr) @|@ month@
@shahrayn@|@two months@
@shahrayn@|@two months@
@shajar (’ashjār) @|@ tree@
@shakara Allah sa2yakum.@|@said in reply to "my condolences"@
@shakhS (’ashkhāS) @|@ someone, person@
@shakhSiyya @|@ personality@
@shakka / yashukku @|@ to doubt@
@shakl (’ashkāl) @|@ form, shape@
@shams (shumūs) @|@ sun@
@shāri? (shawāri?) @|@ road, street@
@shariba / yashrabu @|@ to drink@
@sharika @|@ company@
@sharq @|@ east@
@sharT (shurūT) @|@ condition@
@shāy @|@ tea@
@shay’ (’ashyā’) @|@ thing@
@shidda @|@ strength@
@shimâl@|@north@
@shimāl @|@ north@
@shlawnak? (syrian)@|@how are you?@
@short@|@qasîr@
@shû (lebanese dialect)@|@what@
@shughl@|@job, business@
@shughl (’ashghāl) @|@ work@
@shuhûr@|@months@
@shukran li...@|@thanks to... (smb.)@
@shurTa @|@ police@
@SiHāfa @|@ press, journalism@
@SiHHa @|@ health, rightness@
@Sinā?a @|@ industry@
@Sinā?ī @|@ artificial@
@sinemâ@|@cinema@
@Sîniy@|@Chinese (person)@
@siyāsa @|@ politics@
@siyāsī (sāsā) @|@ political, politician@
@sleepy@|@naîman@
@Su?ūba @|@ difficulty@
@su’āl (’as’ila) @|@ question@
@SubH (’aSbāH) @|@ morning@
@suhūla @|@ ease@
@sulaHfâ@|@turtle@
@sulHufât@|@turtles@
@sullam@|@stairs@
@sullam@|@stairs@
@sumtu@|@I fasted@
@sūq (’aswāq) @|@ market@
@sur?a @|@ speed@
@Sūra (Suwar) @|@ picture@
@ta?allama (V) @|@ to learn@
@Ta?ām (’aT?ima) @|@ food@
@ta?ashshā (V) @|@ to dine@
@ta?bān @|@ tired@
@ta’rīkh (tawārīkh) @|@ date, history@
@ta2ûd@|@you return, she returns@
@ta3abtu@|@I got tired@
@ta3âla ma3î!@|@come with me!@
@ta3îsh@|@lives (female)@
@ta3raf...@|@you know (what)...@
@Tabbākh @|@ cook@
@Tabīb (’aTibbā’) @|@ doctor@
@tabkî@|@you cry/she cries@
@tafaDDal / tafaDDalî (m./f.)@|@here you are/ please@
@tafarrajtu 3alâ film.@|@I watched a movie.@
@taghaddā (V) @|@ to take lunch@
@taghayyar (intransitive)@|@to change@
@taHassana (V) @|@ to improve@
@taHt @|@ under, below@
@ta'îshu...@|@You live...@
@tājir (tujjār) @|@ merchant@
@takallama (V) @|@ to speak@
@takallamta/ti@|@you talked (he/she)@
@takallamtu@|@I talked@
@Tala?a / yaTlu?u @|@ to go out, to go up@
@Talaba / yaTlubu @|@ to request@
@Tālib (Tullāb, Talaba) @|@ student@
@tamâman@|@completely@
@tamma / yatimmu @|@ to be complete@
@tamr@|@dates@
@tamr (tumūr) @|@ date (fruit)@
@tanâm@|@you sleep@
@tanawwa?a (V) @|@ to be varied@
@tantadhiru@|@you wait@
@tanwîr@|@enlightment@
@taqrīban @|@ almost@
@taqsīm @|@ division@
@Tāra / yaTīru @|@ to fly@
@taraka / yatruku @|@ to leave@
@Tarīq (Turuq) @|@ way, road@
@Tarīqa (Tarā’iq, Turuq) @|@ way, manner@
@tarji3@|@you return/she returns@
@tashtarî@|@you buy, she buys@
@taSrīH (taSrīHāt) @|@ permission, declaration@
@taTawwara (V) @|@ to develop (vi)@
@tawajjaha (V) @|@ to go towards@
@tawîl@|@long@
@Tawīl (Tiwāl) @|@ long, tall@
@tawîlan@|@long (adverb)@
@tawîlan@|@long (adverb)@
@tawîlan@|@long (adverb)@
@Tawwara (II) @|@ to develop (vt)@
@Tayr (Tuyūr) @|@ bird@
@Tayyib @|@ excellent@
@Tayyib (mid.east)@|@OK@
@tâzaja@|@fresh (fruits etc.)@
@tazawwaja (V) @|@ to marry@
@Tfûlatî@|@my childhood@
@thalâtha sanawât (plural)@|@three years@
@thalâtha wa niSf@|@three and a half (hours)@
@thalâthîn@|@thirty@
@thaqīl (thuqalā’, thiqāl) @|@ heavy@
@thawb (thiyāb, ’athwāb) @|@ robe@
@thawra @|@ revolution@
@thumma @|@ then@
@Tifl (’aTfāl) @|@ child@
@tikram (mid.east)@|@you're welcome.@
@tilka @|@ that (f)@
@timsâH@|@crocodile@
@timthâl@|@statue@
@tuffaH@|@apple@
@tuffāH @|@ apples@
@tughayyar@|@you change@
@tughayyar (transitive)@|@you change, she changes@
@tuHâDiru@|@you prepare@
@tujāha @|@ in front of@
@tukmil@|@you finish@
@turabbî@|@you keep (a pet etc.)@
@turba/turâb@|@soil@
@turîd an taHkum al 3âlam.@|@she wants to rule the world.@
@turkî@|@turkish@
@tusawwit@|@she votes, you vote@
@tushâhid@|@she watches/you watch (m.)@
@ufaDDilu aflâm amrikiyya.@|@I like American films.@
@ufaDDilu..@|@I like...@
@ughayyar@|@I change@
@ughayyar@|@I change@
@ukhriju ilal-riyâDat kull yawm@|@I go out to do sports everyday.@
@ukhtî akbar minnî.@|@my sister is older than me.@
@ukhtî saghîr@|@my younger sister@
@ukmil@|@I finish@
@ulâika@|@they@
@umm@|@mother@
@umm (ummhāt) @|@ mother@
@ummî@|@my mother@
@urabbî@|@I keep (a pet etc.)@
@usâ3id@|@I help@
@usawwit@|@I vote@
@usbu3@|@week@
@uslûb@|@manner@
@wa @|@ and@
@wa ana aiDan.@|@same here.@
@wa anta aiDan.@|@so do I.@
@waD? (’awDā?) @|@ situation@
@wāDih @|@ clear@
@wāfaqa (III) @|@ to agree@
@wafd (wufūd, ’afwād) @|@ delegation@
@waffaqa (II) @|@ to help@
@waHda (waHadāt) @|@ unity@
@waHHada (II) @|@ to unify@
@wāHid @|@ one@
@wajaba / yajibu @|@ to be mandatory@
@wajada / yajidu @|@ to find@
@wājaha (III) @|@ to meet, to face@
@wajh (’awjuh, wujūh) @|@ face, surface@
@wājib (wājibāt) @|@ duty@
@wājid @|@ much, very@
@wakīl (wukalā’) @|@ deputy, agent@
@walad (’awlād) @|@ son, child, boy@
@walāsiyyamā @|@ especially@
@wālid @|@ father, parent@
@wālin (wulāt) @|@ governor@
@waqa?a / yaqa?u @|@ to happen, to fall@
@waqafa / yaqifu @|@ to stop@
@waqt (awqāt) @|@ time@
@warā’a @|@ behind@
@waraq (’awrāq) @|@ paper, card@
@waraqa @|@ piece of paper@
@waSala / yaSilu @|@ to arrive (at)@
@wasat@|@middle@
@wasaT (’awsāT) @|@ middle@
@wāsi? @|@ wide@
@wasi?a / yasa?u @|@ to be wide, to be possible@
@wasikh @|@ dirty@
@wāsiTa (wasā’iT) @|@ means@
@wassa?a @|@ to widen@
@waTan@|@homeland@
@waTan (’awTān) @|@ homeland@
@waTanī @|@ national@
@waTaniyya@|@patriotic@
@wathiqa / yathiqu @|@ to trust@
@wazīr (wuzarā’) @|@ minister@
@wikāla @|@ agency@
@wilāya @|@ province@
@wizāra @|@ ministry@
@wsh sawaiti fil madrasa?(mid.e@|@how was it at school?@
@wsh tabeni agûl? (mid.east)@|@what do you want me to say?@
@wsh tsawîn? (f)@|@how's it going?@
@yâ salâm 'alayk!@|@wow! (idiomatic exp. lit: "peace be on you")@
@yâbânî@|@japanese@
@yabdû jayyid.@|@it seems good.@
@yabdû na3san.@|@he seems sleepy.@
@yabdû...@|@it seems....@
@yabdû....@|@it seems...@
@yad (’aydin) @|@ hand@
@yadawī @|@ manual@
@yaghayyar (intransitive)@|@it changes (i.e. the weather)@
@yaHkum...@|@he rules@
@yajb@|@must/should@
@yajb3alayka an tadrusu durusak@|@you have to study your lessons.@
@yajib 3alayka@|@you have to@
@yajib 3alayya@|@I have to@
@yamîn@|@right@
@yamīn @|@ right@
@yanâm@|@he sleeps@
@yanzul al maTar al-yawm.@|@it is raining today.@
@yaqadha@|@awakening@
@yaqdhân@|@awake@
@yarji3@|@returns@
@yasâr@|@left@
@yasār @|@ left@
@yasmîn@|@jasmine@
@yathhab al-kibâr ilal 3amal.@|@the older ones go to work.@
@yathhab as-sighâr ilal madrasa@|@the little ones go to school.@
@yawm (’ayyām) @|@ day@
@yawmayn faqaT!@|@only two days!@
@yawmî kâna 3âdî(yan).@|@today was an ordinary day.@
@yughayyar (transitive)@|@he changes@
@yumkin an...@|@I can/it is possible...@
@yusâ3idûn@|@they help@
@yusâ3idûnnî bil 'arabî.@|@they help me with arabic.@
@yushâhid@|@he watches@
@zāda / yazīdu @|@ to increase@
@Zahara / yaZharu @|@ to seem@
@zāla / yazālu @|@ to stop@
@zamān (’azmina) @|@ time@
@zamîl@|@classmate@
@Zanna / yaZunnu @|@ to think, to suppose@
@zāra / yazūru @|@ to visit@
@zara?a / yazra?u @|@ to cultivate@
@Zarf (Zurūf) @|@ circumstance@
@zawāj @|@ marriage@
@zawj (’azwāj) @|@ husband@
@zawja @|@ wife@
@zayt (zuyūt) @|@ (edible) oil@
@zirā?a @|@ agriculture@
@zubda @|@ butter@
@Zuhr (’aZhār) @|@ midday@
@zujāj @|@ glass (substance)@

