@English@|@Greek@
@asthma@|@άσθμα@
@astigmatic@|@αστιγματικός@
@astigmatism@|@αστιγματισμός@
@astonish@|@εκπλήσσω@
@astonished@|@έκπληκτος, κατάπληκτος@
@astonishing@|@καταπληκτικός@
@astonishingly@|@εκπληκτικά@
@astonishment@|@εμβροντησία@
@astound@|@αποσβολώνω, εκπλήσσω, ξαφνιάζω@
@astraddle@|@καβάλα@
@astral@|@αστρικός@
@astray@|@παραστρατημένος@
@astride@|@διάσκελα@
@astringent@|@στυπτικός@
@astrologer@|@αστρολόγος@
@astrology@|@αστρολογία@
@astronaut@|@αστροναύτης@
@astronomer@|@αστρονόμος@
@astronomic@|@αστρονομικός@
@astronomy@|@αστρονομία@
@astrophysical@|@αστροφυσικός@
@astrophysicist@|@αστροφυσικός@
@astrophysics@|@αστροφυσική@
@astute@|@ευφυής, τετραπέρατος@
@asunder@|@σε πολλά κομμάτια, χωριστά@
@asylum@|@ασυλία, άσυλο@
@asymmetric@|@ασύμμετρος@
@asymmetry@|@ασυμμετρία@
@asymptomatic@|@ασυμπτωματικός@
@asymptote@|@ασύμπτωτο@
@asymptotic@|@ασύμπτωτος@
@asynchronous@|@ασύγχρονος@
@asynchrony@|@ασυγχρονισμός@
@at@|@σε, σε@
@at .... k.p.h@|@με .... την ώρα@
@at 70 kph@|@με 70 χιλιόμετρα την ώρα@
@at a fixed price@|@σε σταθερή τιμή@
@at a loss@|@απορώ, με απώλεια κερδών@
@at a moment's notice@|@από την μία στιγμή στην άλλη@
@at a profit@|@με κέρδος, σε κέρδος@
@at a tangent@|@εφαπτομενικά@
@at a target@|@σε στόχο@
@at all costs@|@πάση θυσία@
@at all events@|@τέλος πάντων@
@at any rate@|@τέλος πάντων@
@at Christmas@|@τα Χριστούγεννα@
@at dawn@|@την αυγή@
@at ease@|@άνετος@
@at Easter@|@το Πάσχα@
@at first hand@|@από πρώτο χέρι@
@at great length@|@εκτενώς@
@at hand@|@κοντά μου@
@at heart@|@βασικά@
@at home@|@εντός έδρας, στο σπίτι@
@at last@|@επί τέλους@
@at least@|@τουλάχιστον@
@at length@|@διεξοδικά@
@at liberty@|@αδέσμευτος, ελεύθερος@
@at my expense@|@σε βάρος μου@
@at my request@|@μετά παράκλησης@
@at no point@|@ποτέ@
@at no time@|@ποτέ@
@at once@|@αμέσως@
@at one's disposal@|@στη διάθεση κάποιου@
@at random@|@τυχαία@
@at regular intervals@|@σε τακτά διαστήματα@
@at school@|@στο σχολείο@
@at sea@|@στην θάλασσα@
@at someone's beck and call@|@άγεται και φέρεται@
@at someone's feet@|@στα πόδια κάποιου@
@at sunset@|@το δειλινό@
@at the back of one's mind@|@στις σκέψεις μου, στο νου μου@
@at the crack of dawn@|@τα χαράματα@
@at the cutting edge@|@στην αιχμής της τεχνολογίας, στην πρώτη γραμμή@
@at the eleventh hour@|@την τελευταία στιγμή@
@at the foot of@|@στις παρυφές του@
@at the forefront of@|@στην πρώτη γραμμή@
@at the head of the table@|@στην κορυφή του τραπεζιού@
@at the moment@|@σ'αυτήν την στιγμή@
@at the present@|@προς το παρόν@
@at the present juncture@|@στην παρούσα συγκυρία@
@at the same time@|@παράλληλα, ταυτόχρονα@
@at the turn of the century@|@στο γύρισμα του αιώνα@
@at the weekend@|@το Σαββατοκύριακο@
@at times@|@που και που, ώρες ωρες@
@at will@|@κατά βούληση, κατά δοκούν@
@at work@|@στην δουλειά@
@atavism@|@αταβισμός, προγονισμός@
@atavistic@|@αταβιστικός@
@ate@|@έφαγα@
@atheism@|@αθεϊσμός@
@atheist@|@αθεϊστής, άθεος@
@Athens@|@κλεινόν άστυ@
@athlete@|@αθλητής@
@athletic@|@αθλητικός@
@athletic shoes@|@παπούτσια για το στίβο@
@athletics@|@αθλητικά@
@athletics is@|@αθλητικά είναι@
@athwart@|@εγκάρσια@
@Atlantic@|@Ατλαντικός@
@atlas@|@άτλας@
@atmosphere@|@ατμόσφαιρα@
@atmospheric@|@ατμοσφαιρικός@
@atoll@|@ατόλη@
@atom@|@άτομο@
@atomic@|@ατομικός@
@atomic bomb@|@ατομική βόμβα@
@atonal@|@ατονικός@
@atone@|@εξιλεώνομαι@
@atonic@|@άτονος@
@atop@|@πάνω σε, στην κορυφή@
@atrichia@|@ατριχία@
@atrium@|@άτριο@
@atrocious@|@απαίσιος, αποκρουστικός@
@atrocity@|@κτηνωδία, ωμότητα@
@atrophic@|@ατροφικός@
@atrophy@|@ατροφία@
@attach@|@επισυνάπτω, συνδέω@
@attaché@|@ακόλουθος@
@attached to@|@συναισθηματικά δεμένος, συνδεμένος με@
@attachement@|@προσάρτημα@
@attack@|@επιδρομή, επίθεση, επιτίθεμαι, κάνω επιδρομή@
@attacker@|@επιτιθέμενος@
@attacking@|@που επιτίθεται@
@attain@|@επιτυγχάνω, κατορθώνω@
@attainable@|@εφικτός@
@attainder@|@στέρηση πολιτικών δικαιωμάτων@
@attempt@|@απόπειρα, αποπειρώμαι, προσπάθεια, προσπαθώ@
@attempt to@|@προσπάθεια να@
@attempted@|@αποπειρώμενος@
@attend@|@παραβρίσκομαι, παρακάθομαι, παρακολουθώ@
@attend to@|@περιπιούμαι@
@attendance@|@παρουσία@
@attendant@|@ακόλουθος@
@attention@|@προσοχή, φροντίδα@
@attentive@|@γνωστικός, προσεκτικός@
@attentively@|@περιποιητικά, προσεκτικά@
@attenuate@|@αμβλύνω, ελαφρύνω@
@attest@|@μαρτυρώ, πιστοποιώ@
@attestation@|@κατάθεση, μαρτυρία@
@attic@|@σοφίτα@
@attire@|@αμφίεση, ντύσιμο@
@attitude@|@στάση, συμπεριφορά@
@attitudinal@|@ποζάτος@
@attorney@|@συνήγορος@
@attract@|@ελκύω, έλκω, επισύρω, προσελκύω, τραβώ@
@attraction@|@έλξη, θέαμα, θέλξη, πόλος έλξης@
@attractive@|@ελκυστικός@
@attributable@|@που μπορεί να αποδωθεί σε@
@attribute@|@αποδίδω, ιδιότητα@
@attribution@|@κατανομή@
@attributive@|@επιθετικός, χαρακτηριστικός@
@attrition@|@τριβή, φθορά@
@attrition rate@|@ρυθμός απομείωσης, ρυθμός φθοράς, τιμή κατανομής@
@attune@|@κουδίζω, συντονίζω@
@atuds@|@τάπες@
@atypical@|@άτυπος, μη τυπικός@
@aubergine@|@μελιτζάνα@
@auburn@|@πυρόξανθος@
@auction@|@δημοπρασία, πλειστηριασμός, πλησηριασμός, πληστηριασμός@
@auctioneer@|@δημοπράτης, εκπλειστηριαστής, πλειστηριαστής@
@audacious@|@παράτολμος@
@audacity@|@θράσος@
@audible@|@ηχητικός, που μπορεί να ακουστεί@
@audience@|@ακροατήριο@
@audience participation@|@συμμετοχή του κοινού@
@audio@|@ακουστικός@
@audiotape@|@κασέτα για κασετόφωνο@
@audiovisual@|@οπτικοακουστικός@
@audit@|@ελέγχω@
@audition@|@δοκιμαστική ακρόαση, δοκιμή ηθοποιού@
@auditorium@|@αίθουσα@
@auditory@|@ακουστικός@
@auditory ossicles@|@ακουστικά οστάρια@
@Audouin's gull@|@αιγαιόγλαρος@
@Augend register@|@καταχωρητής Αugend@
@auger@|@τρυπάνι@
@augite@|@αυγίτης@
@augment@|@αυξάνω@
@augmentation@|@αύξηση@
@augur@|@προιωνίζομαι, προοιωνίζομαι@
@August@|@Αύγουστος.@
@aunt@|@θεία@
@auntie@|@θεία@
@aura@|@φωτοστέφανο@
@aural@|@ακουστικός@
@aureomycin@|@χρυσοκυκίνη@
@auric oxide@|@χρυσικό οξείδιο@
@aurochs@|@άουροχς@
@aurora@|@αυγή, σέλας@
@auspice@|@προστασία@
@auspices@|@οιωνοί@
@auspicious@|@ευθοίωνος, ευοίωνος, εύσημος, ευοίωνος@
@austenite@|@ωστενίτης@
@austere@|@αυστηρός@
@austral@|@νότιος@
@Australia@|@Αυστραλία@
@Australian@|@Αυστραλέζος@
@Austria@|@Αυστρία@
@Austrian@|@αυστριακός@
@authentic@|@αυθεντικός, γνήσιος@
@authenticate@|@επικυρώνω, πιστοποιώ@
@authenticity@|@γνησιότητα@
@author@|@συγγραφέας@
@authorisation@|@εξουσιοδότηση@
@authoritarian@|@απολυταρχικός@
@authoritative@|@έγκυρος, επιβλητικός@
@authoritativeness@|@αυταρχικότητα@
@authority@|@αυθεντία, εξουσία, κύρος@
@autism@|@αυτισμός@
@autistic@|@αυτιστικός@
@auto@|@αυτοκίνητο@
@auto racing@|@αγώνας αυτοκινήτων@
@autobiography@|@αυτοβιογραφία@
@autochthonous@|@αυτόχθων@
@autoclave@|@αυτόκλειστο@
@autocollimator@|@αυτοδιοπτήρας@
@autocracy@|@αυτοκρατορία@
@autocrat@|@αυτοκράτορας, δεσποτικός@
@autocratic@|@αυτοκρατορικός@
@autograph@|@αυτόγραφο@
@automat@|@αυτόματο@
@automata@|@αυτόματα@
@automate@|@αυτοματοποιώ@
@automatic@|@αυτοματικός, αυτόματο@
@Automatic Wage Indexing@|@ΑΤΑ@
@automation@|@αυτοματοποίηση@
@automaton@|@αυτόματο@
@automobile@|@αυτοκίνητο@
@automorphic@|@αυτόμορφος@
@automotive@|@αυτοκίνητος@
@autonomic@|@αυτόνομος@
@autonomous@|@αυτόνομος@
@autonomy@|@αυτονομία@
@autopilot@|@αυτόματος πιλότος@
@autopsy@|@νεκροψία@
@autosuggestion@|@αυθυποβολή@
@autosuggestive therapy@|@θεραπεία αυθυποβολής@
@autotransformer@|@αυτομετασχηματιστής@
@autumn@|@φθινόπωρο@
@autumn = fall@|@φθινόπωρο@
@autumnal@|@φθινοπωρινός@
@auxiliary@|@βοηθητικός@
@auxiliary verb@|@βοηθητικό ρήμα@
@auxin@|@αυξίνη, ωξίνη@
@avail@|@όφελος, χρησιμεύω, ωφελώ@
@available@|@διαθέσιμος@
@avalanche@|@κατκλυσμός, πλημμύρα, χιονοστιβάδα@
@avarice@|@τσιγκουνιά, φιλαργυρία@
@avaricious@|@φιλάργυρος@
@avenge@|@εκδικούμαι@
@avenue@|@λεωφόρος@
@aver@|@αποδεικνύω, πιστοποιώ@
@average@|@μέσος, μέσος όρος@
@averse@|@αντίθετος@
@averse to@|@αντίθετος@
@aversion@|@αποστροφή@
@avert@|@αποστρέφω, αποτρέπω@
@avian@|@ορνιθοειδής@
@aviary@|@πτηνοτροφείο@
@aviate@|@πιλοτάρω@
@aviation@|@αεροπορία@
@aviator@|@αεροπόρος@
@aviatrix@|@αεροπόρος θηλυκός@
@avid@|@ενθουσιώδης@
@avocado@|@αβοκάντο@
@avocat@|@λικέρ με βάση αυγά@
@avocation@|@επάγγελμα@
@avocet@|@αβοκέτα@
@avoid@|@αποφεύγω@
@avoidance@|@αποφυγή@
@avoiding@|@το να αποφεύγει κανείς@
@avow@|@διαβεβαιώνω, ομολογώ@
@avowal@|@ομολογία@
@avowed@|@δηλωμένος@
@await@|@αναμένω, περιμένω@
@awake@|@ξυπνώ@
@awaken@|@ξυπνώ@
@awakening@|@ξύπνημα@
@award@|@απονέμω, βραβείο, κατακυρώνω@
@aware@|@γνωρίζων@
@awareness@|@αντίληψη, συνειδοτοποίηση@
@awash@|@γεμάτος, ίσαλος, πλημμυρισμένος@
@away@|@μακριά, μακρυά@
@awe@|@δέος@
@awe inspiring@|@που εμπνέει δέος@
@awesome@|@επιβλητικός, προκάλωντας δέος@
@awful@|@απαίσιος@
@awhile@|@γιά λίγο@
@awkward@|@αδέξιος, ατζαμής@
@awkwardly@|@αδέξια@
@awl@|@ξέστρο, σουβλί@
@awning@|@τέντα@
@awoke@|@ξύπνησα@
@awry@|@λοξός, στραβά@
@ax@|@πέλεκυς, τσεκούρι@
@axe@|@πέλεκας, πελέκι, πέλεκυς, τσεκούρι@
@axeman@|@ξυλοκόπος@
@axes@|@τσεκούρια@
@axial@|@αξονικός@
@axial flow fan@|@ελικοειδής ανεμιστήρας@
@axiom@|@αξίωμα@
@axiomatic@|@αξιωματικός, αυταπόδεικτος@
@axis@|@άξονας, άξωνας@
@axle@|@άξoνας, άξονας, άξωνας@
@axolotl unit@|@μονάδα axolotl@
@axon@|@νευρίτης@
@axon reflex@|@αξονικός αντανακλαστικός@
@ayatollah@|@αγιατολάχ@
@aye@|@ναι@
@azalea@|@αζαλέα@
@azimuth@|@αζιμούθιο@
@azimuthal@|@αζιμουθιακός, αζιμούθιος@
@azimuthal chart@|@αζιμούθιος χάρτης@
@azimuthal control@|@κυκλικός έλεγχος@
@azimuthal cover@|@αζιμουθιακή κάλυψη@
@azimuthal equidistant chart@|@αζιμούθιος ισαπεχάρτης@
@azimuthal projection@|@αζιμουθιακή προβολή@
@azure@|@γαλάζιος, γαλανός, κυανός@
@B.C.@|@π.Χ., Προ Χριστού@
@babble@|@ασυναρτησίες, κελαρύζω, φλυαρώ@
@babe@|@γκόμενα, μωρό@
@baboon@|@βαβουίνος@
@baby@|@μωρό@
@babyhood@|@βρεφική ηλικία@
@babysit@|@κάνω τον μπείμπι σίτερ@
@babysitter@|@μπείμπι σιτερ@
@babysitting@|@το να κάνω τον μπείμπι σίτερ@
@baccalaureate@|@μπακαλορεά@
@baccarat@|@μπακαρά@
@bacchanalia@|@Βακχεία@
@bachelor@|@εργένης@
@bacilli@|@βακτήρια@
@bacillus@|@βακτήριο@
@back@|@ενισχύω, πίσω, πλάτη, υποστηρίζω, υποστηρίζω@
@back and forth@|@πάνω κάτω@
@back door@|@πίσω πόρτα@
@back into@|@μπαίνω με όπισθεν@
@back out@|@βγαίνω με όπισθεν@
@back out of@|@υποχωρώ@
@back to back@|@διαδοχικά, διαδοχικός, πλάτη με πλάτη@
@back to front@|@ανάποδα@
@back up@|@κάνω όπισθεν, υποστηρίζω, υποστηρίζω@
@backache@|@πόνος στην πλάτη@
@backbite@|@καταλαλώ@
@backboard@|@ακουμπιστήρι, ράχη@
@backbone@|@βασική υπηρεσία, κότσια, σπονδυλική στήλη@
@backdated@|@αναδρομικά@
@backdrop@|@φόντο@
@backfill tamper@|@συμπιεστής επίχωσης@
@backgammon@|@τάβλι@
@background@|@το φόντο@
@backing@|@συμπαράσταση@
@backside@|@κώλος, πισινό@
@backstage@|@παρασκήνια@
@backward@|@καθυστερημένος@
@backwards and forwards@|@πάνω κάτω@
@backyard@|@πίσω αυλή@
@bacon@|@μπέικον@
@bacteria@|@βακτηρίδια@
@bacterium@|@βακτηρίδιο@
@bad@|@άσχημος, κακός@
@bad feeling@|@δυσαρέσκεια@
@bad luck@|@κακοτυχία@
@bad smell@|@αποφορά@
@bad tempered@|@εκνευρισμένος@
@bad weather@|@αντάρα@
@badge@|@διακριτικό γνώρισμα, κονκάρδα@
@badger@|@ασβός, παρενοχλώ@
@badgering@|@παρενόχληση@
@badly@|@άσχημα, κακά@
@badly behaved@|@ανάγωγος@
@badly brought up@|@ανάγωγος@
@badly written@|@άσχημα γραμμένος@
@badminton@|@παιχνίδι με ρακέτες και σαΐτα@
@bad-tempered@|@κακοκεφάτος, με κακή διάθεση@
@baffle@|@προκαλώ σύγχυση@
@baffling@|@που σε σαστίζει, που σε φέρνει σε αμηχανία@
@bag@|@τσάντα@
@baggage handler@|@αχθοφόρος@
@baggage is@|@αποσκευές είναι@
@Baikal teal@|@κλωσσόπαπια@
@bail@|@χρηματική εγγύηση@
@bail out@|@πηδώ με αλεξίπτωτο@
@bailey@|@περιτείχισμα@
@bailiff@|@διαχειριστής, επιστάτης, φρουρός@
@Baillon's crake@|@νανοπουλάδα@
@bairn@|@παιδί@
@bait@|@δόλωμα@
@baker@|@φουρνάρης, φούρναρης@
@bakers@|@αρτοπωλείο, φούρνος@
@balance@|@ζυγαριά, ισοζύγιο, ισορροπία, πλάστιγγα@
@balance beam@|@δοκός@
@balance sheet@|@ισολογισμός@
@balconies@|@μπαλκόνια@
@balcony@|@μπαλκόνι@
@bald@|@καραφλός, φαλακρός@
@balding@|@που φαλακραίνει@
@baleful@|@απελπισμένος, θλιβερός, ολέθριος@
@ball@|@κουβάρι, μπάλα@
@ball bearings@|@ρουλεμάν@
@ballad@|@μπαλάντα@
@ballast@|@έρμα, ερματισμός, σαβούρα, σαβουρώνω@
@ballerina@|@μπαλερίνα@
@ballet@|@μπαλέτο@
@ballet dancer@|@χορεύτρια μπαλέτου, χωρευτής / χωρεύτρια μπαλέτου@
@ballet shoes@|@παπούτσια μπαλέτου@
@balloon@|@αερόστατο, μπαλόνι@
@ballot box@|@κάλπη@
@ballpoint pen@|@στυλό διαρκείας@
@ballroom@|@αίθουσα χωρού@
@balls@|@αρχίδια, κότσια@
@balmy@|@γλυκός@
@ban@|@απαγόρευση, απαγορεύω, αποκλεισμός, αποκλείω@
@banality@|@πεζότητα@
@banana@|@μπανάνα@
@band@|@συγκρότημα. ομάδα, ταινία@
@bandage@|@επίδεσμος@
@bandwidth@|@εύρος ζώνη@
@bandy about@|@περνώ από στόμα σε στόμα, πιάνω στο στόμα@
@bandy jokes with@|@ανταλλάσσω αστεία@
@bandy-legged@|@στραβοπόδαρος@
@bang@|@βρόντος, βροντώ, γδούπος, κρότος@
@bang in the middle@|@καταμεσίς@
@banger@|@σαραβαλάκι@
@bank@|@ανάχωμα, όχθη, τράπεζα@
@bank clerk@|@υπάλληλος τράπεζας@
@bank officer@|@αξιωματικός τράπεζας@
@bankcruptcy@|@πτώχευση@
@banker@|@τραπεζίτης@
@banking@|@τραπεζική@
@banknote@|@χαρτονόμισμα@
@bankrupt@|@χρεοκοπημένος, χρεωκοπημένος@
@bankruptcy@|@χρεωκοπία@
@banned@|@απαγορευμένος@
@banner@|@λάβαρο@
@bannock@|@λαγάνα@
@banquet@|@πανδαισία, συμπόσιο@
@baptise@|@βαφτίζω@
@baptism@|@βάπτισμα@
@Baptist@|@Βαπτιστής@
@bar@|@εμποδίζω, κάγκελο, μπαρ, ράβδος, φράζω@
@bar of chocolate@|@πλάκα σκολάτας, πλάκα σοκολάτας@
@barbary partridge@|@βραχοπέρδικα@
@barbecue@|@ψησταριά@
@barbel@|@σκαρούνι@
@barber@|@κουρέας, μπαρμπέρης@
@barber´s@|@κουρείο@
@bard@|@ραψωδός@
@bare@|@γυμνός@
@bare ground@|@γυμνό έδαφος@
@bare neck@|@γυμνός λαιμός@
@bare one's teeth@|@δείχνω τα δόντια απειλητικά@
@bare-facedly@|@ασύστολα@
@barefoot@|@ξυπόλυτος@
@bare-headed@|@ξεσκούφωτος@
@barely@|@μόλις και μετά βίας, σχεδόν καθόλου@
@bargain@|@παζαρεύω, τιμή ευκαιρίας@
@bargain for@|@παζαρεύω@
@bargaining@|@παζάρι@
@barge@|@μαούνα@
@baritone@|@βαρύτονος@
@bark@|@γαβγίζω, γαυγίζω, φλοιός@
@barking@|@γαύγισμα@
@barley@|@κριθάρι@
@barley sugar@|@κάντιο@
@barman@|@μπάρμαν@
@barn@|@αχυρώνας@
@barnacle@|@βάλανος@
@barnacle goose@|@ασπρομαγουλόχηνα@
@baron@|@βαρόνος@
@baroness@|@βαρόνη@
@baroque@|@με έντονη διακόσμηση, μπαρόκ@
@barracades@|@οδοφράγματα@
@barracks@|@στρατώνας@
@barracuda@|@λούτσος@
@barrel@|@βαρέλι, κάννη@
@barrel organ@|@λαντέρνα, λατέρνα@
@barren@|@άγονος, άκαρπος, στείρος@
@barren place@|@ξερότοπος@
@barricade@|@οδόφραγμα, φράσσω@
@barrier@|@εμπόδιο, μπάρα, φράγμα, φραγμός@
@barrow@|@τύμβος@
@Barrow's goldeneye@|@ισλανδική κουδουνόπαπια@
@bar-tailed godwit@|@ακτοτούρλι@
@bartender@|@μπάρμαν@
@base@|@βάθρο, ευτελής@
@baseball@|@μπέιζμπολ@
@baseball cap@|@καπέλο μπεϊσμπολ@
@baseband@|@βασική ζώνη, φάσμα γραμμής@
@basement@|@υπόγειο@
@baseness@|@ευτέλεια, προστυχιά@
@bashful@|@δειλός, ντροπαλός@
@basil@|@βασιλικός@
@basin@|@λεκάνη@
@basis@|@βάση@
@bask@|@λιάζομαι@
@basket@|@καλάθι, κοφίνι, πανέρι@
@basket weaving@|@καλαθοπλεκτική@
@basketball@|@μπάσκετ@
@basketwork@|@καλαθοπλεκτική@
@bass@|@μπάσος@
@basta@|@νισάφι@
@bastard@|@νοθός, τσογλάνι@
@bastion@|@προμαχώνας@
@bat@|@νυχτερίδα, ρόπαλο@
@batch@|@φουρνιά@
@batch command@|@ομαδική διαταγή@
@batch file@|@ομαδικό αρχείο@
@batch processing@|@επεξεργασία κατά δέσμες@
@bath@|@λουτρό, μπανιέρα, μπάνιο@
@bathe@|@κάνω μπάνιο, λούζομαι@
@bathmat@|@χαλάκι του μπάνιου@
@bathrobe@|@μπουρνούζι@
@bathroom@|@λουτρό@
@baths@|@λουτρά@
@baton@|@σκυτάλη@
@battalion@|@τάγμα@
@battered@|@στραπατσαρισμέμος@
@battery@|@μπαταρία, συστοιχία@
@battle@|@μάχη@
@battle with@|@πολεμώ@
@battlefield@|@πεδίο μάχης@
@battleship@|@θωρηκτό@
@bauxite@|@βοξίτης@
@bawler@|@φωνακλάς@
@bay@|@κόλπος@
@bayonet@|@ξιφολόγχη@
@bazaar@|@παζάρι@
@bazooka@|@μπαζούκα@
@be@|@βρίσκομαι, διανύω, είμαι@
@be a bit of a handful@|@είμαι ζωηρός@
@be a carrier@|@είμαι φορεύς@
@be a good omen@|@είμαι καλός οιωνός@
@be able to@|@δύναμαι, είμαι σε θέση, μπορώ@
@be about to@|@είμαι έτοιμος να@
@be affiliated to@|@προσκείμαι@
@be afflicted with@|@βασανίζομαι από@
@be afraid of@|@φοβάμαι@
@be after@|@αναζητώ, επιδιώκω@
@be against@|@είμαι κατά@
@be allowed to@|@επιτρέπομαι@
@be an accessory to@|@γίνομαι σύνεργος@
@be annealed@|@αναθερμαίνομαι@
@be appalled at@|@σοκάρομαι@
@be as right as rain@|@αισθάνομαι πάρα πολύ καλά@
@be ashamed of@|@ντρέπομαι@
@be at a dead end@|@βρίσκομαι σε αδιέξοδο@
@be at a loose end@|@δεν έχω τι να κάνω@
@be at a loss@|@πελαγώνω, τα έχω χαμένα@
@be at a low ebb@|@είμαι πεσμένος@
@be at ease@|@αισθάνομαι άνετα@
@be at large@|@παραμένω ασύλληπτος@
@be at loggerheads with@|@είμαι στα μαχαίρια με@
@be at odds with@|@είμαι σε διάσταση με, καβγαδίζω@
@be at one's disposal@|@είμαι στη διάθεση κάποιου@
@be at one's wits' end@|@δεν ξέω τι να κάνω, τα έχω χαμένα@
@be at stake@|@διακυβεύομαι@
@be at the forefront@|@προπορεύομαι@
@be averse to@|@αντιπαθώ, έχω αντιπάθεια@
@be awarded@|@απονέμομαι@
@be awarded a certificate@|@μου απονέμουν πιστοποιητικό@
@be baffled@|@πελαγοδρομώ@
@be behind with@|@πηγαίνω πίσω@
@be believed to be@|@φέρομαι@
@be bitten by the bug@|@είμαι τσιμπιμένος από@
@be bogged down@|@βρίσκομαι σε τέλμα@
@be bound to@|@είμαι βέβαιο ότι, είναι βέβαιο ότι@
@be bowled over@|@κοκαλώνω@
@be breathalysed@|@μου γίνεται αλκοτέστ@
@be buried@|@ενταφιάζομαι@
@be capped@|@κλείνομαι@
@be carried out@|@διεξάγομαι@
@be civilised@|@εκπολιτίζομαι@
@be compensated for@|@αποζημιώνομαι@
@be concerned about@|@νοιάζομαι για, προβληματίζομαι για@
@be concerned with@|@ασχολούμαι@
@be consolidated@|@εδραιώνομαι@
@be crushed@|@στριμώχνομαι, συνωστίζομαι@
@be cut out to be@|@είμαι πλασμένος για@
@be dashed against the rocks@|@εκσφενδονίζομαι στα βράχια@
@be decarburized@|@απανθρακώνομαι@
@be dedicated to@|@αφιερώνομαι σε@
@be defeated@|@ηττώμαι, νικιέμαι@
@be denitrogenized@|@απαζωτώνομαι@
@be devoid of@|@στερούμαι από@
@be devoted to@|@αφοσιώνομαι σε@
@be disposed@|@διατίθεμαι@
@be distant@|@απέχω@
@be down in the dumps@|@είμαι στις μαύρες μου@
@be dragged@|@σύρομαι@
@be drawn@|@τραβιέμαι@
@be drawn into@|@προσελκύομαι@
@be drawn to@|@προσελκύομαι@
@be driven mad@|@ξετρελαίνομαι@
@be electrocuted@|@παθαίνω ηλεκτροπληξία@
@be empowered to@|@είμαι εξουσιοδοτημένος να@
@be endemic@|@ενδημώ@
@be endowed with@|@είμαι προικισμένος@
@be enough@|@επαρκώ@
@be entitled to@|@δικαιούμαι, έχω το δικαίωμα@
@be equivalent@|@ισοδυναμώ@
@be established@|@εγκαθίσταμαι@
@be expecting a baby@|@περιμένω παιδί@
@be exposed@|@εκτίθεμαι@
@be extolled@|@εκθειάζομαι@
@be flatmates@|@συγκατοικώ@
@be fond of@|@μ'αρέσει@
@be fond of flirting@|@μ΄αρέσουν τα ξινά@
@be for@|@είμαι υπέρ@
@be formed@|@σχηματίζομαι@
@be foul-mouthed@|@βωμολογώ@
@be frank@|@ξαστερώνω@
@be free@|@είμαι ελεύθερος@
@be frightened@|@δειλιάζω@
@be furious@|@είμαι πυρ και μανία@
@be gifted@|@είμαι προικισμένος@
@be given to@|@είμαι επιρρεπής σε@
@be good at@|@επιτηδεύομαι@
@be greeted with derision@|@αντιμετωπίζω κάποιο χλευαστικά@
@be hard at it@|@δουλεύω εντατικά@
@be hopeful@|@ευελπιστώ@
@be humiliated@|@ταπεινώνομαι@
@be hungry@|@πεινώ@
@be impatient@|@αδημονώ@
@be in@|@είμαι στο σπίτι@
@be in a position to@|@είμαι σε θέση@
@be in a tantrum@|@έχω τις ζοχάδες μου@
@be in agony@|@υποφέρω πολύ@
@be in cohorts with@|@είμαι κλίκα με, είμαι φατρία με, συνομωτώ μαζί@
@be in danger@|@διακινδινεύω@
@be in debt to@|@οφείλω@
@be in deep thought@|@είμαι σε βαθιά περισυλλογή@
@be in doubt@|@αμφισβητώ@
@be in existence@|@υπάρχω@
@be in good health@|@είμαι καλά στην υγεία@
@be in heat@|@βαρβατεύω@
@be in jeopardy@|@διακινδυνεύω@
@be in labour@|@έχω τις ωδίνες του, έχω τις ωδίνες του τοκετού@
@be in limbo@|@βάζω στο χρονοντούλαπο@
@be in pain@|@πονώ@
@be in power@|@έχω την εξουσία, κυβερνώ@
@be in progress@|@συντελούμαι@
@be in search of@|@ψάχνω@
@be in someone´s good graces@|@απολαμβάνω την εύνοια@
@be in store for@|@επιφυλλάσσομαι, επιφυλλάσσω@
@be in the doldrums@|@είμαι στις μαύρες μου@
@be in the limelight@|@είμαι στο προσκήνιο@
@be in the middle of@|@μεσώ@
@be in the pay of@|@δουλεύω για, εργάζομαι για@
@be in the red@|@έχω παθητικό@
@be in trouble@|@έχω ντράβαλα με@
@be in two minds@|@είμαι αναποφάσιστος@
@be inclined to@|@έχω διάθεση να, τείνω να@
@be incorporated in@|@ενσωματώνομαι, εντάσσομαι@
@be inert@|@αδρανώ@
@be inoculated against@|@εμβολιάζομαι@
@be interested@|@ενδιαφέρομαι@
@be interested in@|@ενδιαφέρομαι για, ενδιαφέρομαι γιά@
@be interred@|@ενταφιάζομαι@
@be involved in@|@εμπλέκομαι@
@be jammed@|@συνωστίζομαι@
@be keen on@|@ενδιαφέρομαι γιά@
@be keyed up about@|@αγωνιώ@
@be lacking in@|@μου λείπει@
@be laden with@|@είμαι φορτωμένος με@
@be laid out@|@προβλέπομαι@
@be legion@|@αφθονώ@
@be located@|@βρίσκομαι@
@be long in the tooth@|@δεν είμαι νέος πία@
@be low on@|@μου τελειώνει@
@be mad about@|@παθιάζομαι, παθιάζω@
@be made up of@|@αποτελούμαι@
@be married@|@είμαι παντρεμένος@
@be matched by@|@ανταγωνίζομαι@
@be mistaken@|@κάνω λάθος@
@be more than a match for@|@είμαι πολύ καλύτερος από, υπερτερώ@
@be no longer used@|@περιπίπτω σε αχρηστία@
@be obsessed@|@έχω έμμονη ιδέα@
@be obstinate@|@πεισματώνω@
