@English@|@Albanian@
@feel thirst@|@kam etje@
@feeling@|@ndjenjë@
@female@|@femër, femëror@
@feminine@|@femëror@
@fence@|@gardh@
@fereign@|@huaj (i)@
@fertile@|@pjellor@
@fever@|@ethe@
@few@|@pak@
@field@|@fushë, fushor@
@field (cultivated)@|@arë@
@fierce@|@egër (i)@
@fierceness@|@egërsi@
@fifth@|@pestë (i)@
@fifty@|@pesëdhjetë@
@fig@|@fik@
@figure@|@figurë@
@fill@|@mbush, plotësoj@
@filling@|@mbushje@
@filter@|@filtër, kulloj@
@find@|@gjej@
@finger@|@gisht@
@finnish@|@mbarohet, mbaroj@
@fir tree@|@bredh@
@fire@|@zjarr@
@firefly@|@xixëllonjë@
@fireplace@|@oxhak, vatër@
@first@|@më parë, parë (i), së pari@
@fish@|@peshk@
@fisherman@|@peshkatar@
@fist@|@grusht@
@fit@|@përshtatshëm (i), vrull@
@five@|@pesë@
@five hundred@|@pesëqind@
@flag@|@flamur@
@flame@|@flakë, flakëroj@
@flanc@|@ijë@
@flare up@|@ndizem@
@flash@|@vetëtimë@
@flat@|@apartament, hyrje@
@flea@|@plesht@
@fleet-footed@|@këmbëshpejtë@
@flesh@|@mish@
@fling@|@flak@
@flock@|@shtëllungë, tufë@
@floor@|@kat@
@flora@|@bimësi@
@flour@|@miell@
@flourishing@|@lulëzim, lulëzuar (i)@
@flow@|@rrjedh@
@flower@|@çel lule, lule@
@flower-garden@|@lulishte@
@flute@|@fyell@
@fly@|@futuroj, mizë@
@foal@|@mëz@
@foaming@|@shkumëzuar (i)@
@fog@|@mjegull@
@folder@|@dosje@
@folk-@|@popullor@
@folk dance@|@valle@
@folk dancer@|@valltar@
@follow@|@ndjek, vazhdoj@
@following@|@mëposhtëm (i)@
@fondness@|@ma ka ënda@
@food@|@gjellë@
@foot@|@këmbë@
@football@|@futboll@
@footprint@|@gjurmë@
@for@|@për@
@for nothing@|@kot@
@for the first time@|@për herë të parë@
@for the last time@|@për herë të fundit@
@forbid@|@ndaloj@
@force@|@forcë, shpërthej@
@forearm@|@llërë, parakrah@
@forehead@|@ballë@
@forest@|@pyll@
@forget@|@harroj@
@forgive@|@fal@
@fork@|@pirun@
@forked stick@|@kërrabë@
@form@|@formoj@
@formerly@|@më parë@
@fortify@|@fortifikoj@
@fortress@|@fortesë, kala@
@forty@|@dyzet@
@forward@|@përpara@
@forwards@|@para@
@found@|@themeloj@
@fountain@|@krua@
@fountain pen@|@stilograf@
@four@|@katër@
@fourth@|@katërt (i)@
@fowl@|@shpend@
@fox@|@dhelpër@
@fracture@|@thyej@
@fragment@|@fragment@
@fraternal@|@vëllazëror@
@free@|@lirë (i)@
@freedom@|@liri@
@freeze@|@ngrij@
@French@|@francez@
@frequent@|@ndjek, shpeshtë (i)@
@fresco@|@afresk@
@fresh@|@freskët (i)@
@Friday@|@e premte@
@fried@|@skuqur (i)@
@friend@|@mik, shok@
@friend (girl)@|@shoqe@
@friendly@|@shoqëror@
@friendship@|@miqësi, shoqëri@
@fright@|@tmerr@
@fringe@|@shkel@
@frog@|@bretkosë@
@from@|@nga, prej@
@front@|@ballë@
@frost@|@ngricë@
@fruit@|@frut@
@fruit-growing@|@pemëtari@
@fuck@|@qi@
@fuck off@|@ik qiu@
@fulfill@|@plotësoj@
@full@|@plotë (i)@
@full of joy@|@plot gëzim@
@full stop@|@pikë@
@fully@|@plot@
@fun@|@qejf@
@function@|@punoj@
@furious@|@egërsuar (i)@
@further@|@më tej@
@furtively@|@vjedhurazi@
@fury@|@furi@
@gain@|@fitoj@
@gale@|@tufan@
@gallant@|@bravë@
@gallon@|@gallon@
@game@|@lojë@
@gap@|@çarë (e)@
@garden@|@kopsht@
@garlic@|@hudhër@
@gate@|@portë@
@gateau@|@tortë@
@gather@|@mbledh, mblidhem, vjel@
@gathering@|@mbledhje@
@gay@|@gëzueshëm (i), homoseksual@
@Geg@|@gegë@
@gender@|@gjini@
@general@|@përgjithshëm (i)@
@genius@|@gjeni@
@genuine@|@sinqertë (i)@
@geographic@|@gjeografik@
@geometrical@|@gjeometrik@
@German@|@gjerman@
@get@|@marr@
@get dressed@|@vishem@
@get in touch@|@lidhem@
@get married@|@martohem@
@get out@|@dal@
@get tired@|@lodhem@
@get wet@|@lagem@
@gift@|@dhuratë@
@girl@|@gocë, vajzë@
@girl pupil@|@nxënëse@
@girl-friend@|@mikeshë@
@give@|@jap@
@give a present@|@dhuroj@
@give aid@|@ndihmoj@
@give back@|@kthej@
@give birth@|@pjell@
@glacier@|@akullnajë@
@gladiator@|@gladiator@
@glass@|@gotë@
@glass jar@|@kavanoz@
@glimpse@|@shikim@
@glitter@|@shkëlqej@
@globe@|@glob@
@gloomy@|@zymtë (i)@
@glorious@|@lavdishëm (i)@
@glory@|@lavdi@
@gloves@|@dorashka@
@glowing coal@|@thëngjill@
@glowing coals@|@prush@
@glue@|@ngjis@
@gnaw@|@brej@
@go@|@kaloj, shkoj, vete@
@go away@|@iki, largohem@
@go down@|@zbres@
@go in@|@hyj@
@go out@|@dal@
@go up@|@ngjitem@
@goat@|@dhi@
@gobble@|@llup@
@gobble up@|@përlaj@
@god@|@perëndi, zot@
@godfather@|@kumbar@
@gold@|@ar, flori@
@gold coin@|@flori@
@gold-plated@|@larë (i)@
@good@|@mirë (i)@
@good afternoon@|@drekën e mirë@
@good evening@|@mirëmbrëma@
@good morning@|@mirëdita, mirëmëngjesi@
@good-by@|@mirupafshim@
@goodness@|@mirësi@
@goods@|@mall@
@goose@|@patë@
@gorge@|@grykë@
@gost@|@fantazmë@
@gown@|@robdëshamër@
@grab@|@përlaj, rrëmbej@
@grace@|@hijeshi, nur@
@gracefulness@|@nur@
@grade@|@gradë@
@gradually@|@dalëngadalë@
@graduation@|@shkallëzim@
@grain@|@kokërr@
@grammar@|@gramatikë@
@grand@|@madhështor@
@grand-daughter@|@mbesë@
@grandeur@|@madhështi@
@grandfather@|@gjysh@
@grandmother@|@gjyshe@
@grandson@|@nip@
@grant@|@bursë, fal@
@grapevine@|@hardhi@
@grappa@|@raki@
@grasp@|@kap@
@grasshoper@|@karkalec@
@grass-land@|@lëndinë@
@grating@|@skarë@
@gratitude@|@mirënjohje@
@grave@|@rëndë (i), varr@
@gravel@|@zhavorr@
@grease@|@yndyrë@
@great@|@madh (i)@
@great-grandfather@|@stërgjysh@
@greedy@|@lakmues@
@Greek@|@grek@
@Greek-Albanian@|@arbëresh@
@green@|@blertë (i), gjelbër (i), njom@
@green turned@|@gjelbëruar (i)@
@greenness@|@gjelbërin@
@greeny@|@gjelbëror@
@greet@|@përshëndes@
@greeting@|@përshëndetje@
@greetings@|@të fala@
@grey hair@|@thinjë@
@grey-haired@|@thinjur (i)@
@grid iron@|@skarë@
@grief@|@hidhërim@
@grill@|@skarë@
@grind@|@bluaj@
@grind stone@|@gur zmerili@
@ground@|@shesh@
@groundless@|@kot së koti@
@grow@|@rrit@
@grow fat@|@shëndoshem@
@grow up@|@rritem@
@grown up@|@rritur (i)@
@grumble@|@murmurit@
@guarantee@|@siguroj@
@guard@|@rojë, ruaj@
@guess@|@gjej me hamëndje@
@guest@|@mik@
@guide@|@ciceron, prij, udhëheq@
@gulp@|@kullufit@
@gum@|@çimçakëz, mish i dhembëve@
@gun@|@pushkë@
@gurgle@|@gurgullon@
@gust@|@vrull@
@gymnastic@|@gjimnastikor@
@gymnastics@|@gjimnastikë@
@habit@|@zakon@
@hail@|@breshër@
@hair@|@flok, qime@
@half@|@gjysmë@
@half of the way@|@gjysma e rrugës@
@halfdark@|@gjysmerrësirë@
@hall@|@holl, sallë@
@halt@|@ndahem@
@ham@|@kofshë derri@
@hamburger@|@hamburger@
@hammer@|@çekiç@
@hand@|@dorë@
@hand of clock@|@akrep@
@handcuff@|@pranga@
@handful@|@grusht@
@handicraft@|@mjeshtëri@
@handkerchief@|@shami@
@handle@|@dorezë@
@handsome@|@pashëm (i)@
@hang@|@var, varem@
@happen@|@ndodh@
@happiness@|@lumturi@
@happy@|@lumtur (i)@
@hard@|@ashpër (i)@
@harden@|@forcoj@
@hardly@|@mezi@
@hardship@|@zor@
@hare@|@lepur@
@harm@|@dëm, dëmtoj@
@harship@|@vuajtje@
@harvest@|@korr@
@haste@|@ngut@
@hasten@|@ngutem@
@hastily@|@me nxitim@
@hat@|@kapele@
@haunch@|@kofshë@
@have@|@kam@
@have a meal@|@ha bukë@
@have a shave@|@rruhem@
@have breakfast@|@ha mëngjes@
@have fear@|@kam frikë@
@have fever@|@kam ethe@
@have patience@|@duroj@
@having seen no tears@|@papërlotur (i)@
@haze@|@mjegull@
@he@|@ai@
@he is@|@është@
@head@|@kokë, krye@
@headcloth@|@shami@
@heal@|@shëroj@
@health@|@shëndet@
@heap@|@turrë@
@hear@|@dëgjoj, ndiej@
@heart@|@zemër@
@hearth@|@vatër@
@hearty@|@përzemërt (i)@
@heat@|@nxetësi@
@heat of the day@|@xheg@
@heater@|@kalorifer@
@heaven@|@qiell@
@heavy@|@rëndë (i)@
@hedge@|@gardh@
@hedgehog@|@iriq@
@heel@|@shëroj, thembër@
@he-goat@|@cjap@
@heifer@|@mëshqerrë@
@heigh@|@lartë (i)@
@height@|@çukë, lartësi@
@Hellenic@|@helen@
@hello@|@tungjatjeta@
@helmet@|@helmetë@
@help@|@ndihmoj@
@hen@|@pulë@
@herb@|@barishte@
@here@|@ja, këtu@
@heroism@|@heroizëm@
@herself@|@vetja@
@hidden@|@fshehur (i)@
@hide@|@fsheh@
@highlander@|@malësor@
@highroad@|@xhade@
@hike@|@endem@
@hill@|@kodër@
@hillock@|@bregore@
@himself@|@vetja@
@hind@|@drenushë@
@hire@|@marr me qera@
@his@|@tij (i)@
@his (her) own@|@të vetat, të vetët@
@historic@|@historik@
@historical@|@historik@
@history@|@histori@
@hit@|@kris, përpjek, trokas@
@hoarfrost@|@brymë@
@hoe@|@prashis@
@hold@|@mbaj@
@hole@|@birë, gropë, vrimë@
@holiday@|@pushim@
@hollow@|@mbytur (i), zbrazët (i)@
@holy@|@shenjtë (i)@
@homeland@|@atdhe@
@homesickness@|@mall, mall për vendlindjen@
@honey@|@mjaltë@
@honour@|@nder, nderoj@
@hook@|@grep@
@hope@|@shpresë@
@horn@|@bori, bri@
@hornless@|@shytë@
@horrid@|@urryer (i)@
@horrify@|@neveritshëm (i)@
@horror@|@tmerr@
@horse@|@kalë@
@hospital@|@spital@
@host@|@mikpritës, pronar, zoti i shtëpisë@
@hostess@|@zonja e shtëpisë@
@hot@|@nxehtë (i), vapë@
@hotel@|@hotel@
@hound@|@zagar@
@hour@|@orë@
@house@|@shtëpi@
@how@|@qysh, si@
@how does it cost?@|@sa bën?@
@how long does the work go on?@|@sa zgjat puna?@
@how many@|@sa@
@how much@|@sa@
@however@|@megjithatë, mirëpo, sidoqoftë@
@huddle up@|@strukem@
@hue and cry@|@kushtrim@
@hug@|@përqafoj@
@huge@|@shumë i madh@
@hum@|@gumëzhin@
@humble@|@përvuajtur (i)@
@humid@|@lagësht@
@humorist@|@humorist@
@hung@|@var@
@hunter@|@gjahtar@
@hunting@|@gjah@
@hurried@|@shpejtuar (i)@
@hurry@|@ngutem, shpejtoj@
@hurt@|@më dhemb@
@husbant@|@burrë@
@hut@|@barakë, kasolle, kolibe@
@hyacinth@|@zymbyl@
@I am ashamed@|@më vjen turp@
@I am sick@|@jam i sëmurë@
@I am well@|@jam mirë@
@I can not come@|@nuk vij dot@
@I feel bad@|@jam keq@
@I wander@|@vallë@
@ice@|@akull@
@ice-cream@|@akullore@
@icon@|@ikonë@
@idea@|@ide@
@idealized@|@idealizuar (i)@
@identic@|@njëjtë (i)@
@ideo-artistic@|@ideoartistik@
@iead@|@pllajë@
@if@|@sikur@
@ignite@|@ndez, ndizem@
@ill@|@sëmurë@
@illuminate@|@ndriçoj@
@Illyrian@|@ilir@
@image@|@figurë@
@immediately@|@në vend@
@immerse@|@zhys@
@immersion@|@zhytje@
@imortal@|@pavdekshëm (i)@
@imp@|@shejtan@
@impatience@|@padurim@
@impession@|@përshtypje@
@implicate@|@nënkuptoj@
@imply@|@nënkuptoj@
@importance@|@rëndësi@
@important@|@rëndësishëm (i)@
@impreson@|@burgos@
@impress@|@shtyp, stampoj@
@impression@|@mbresë@
@impressive@|@goxha@
@in@|@brenda, në@
@in a low voice@|@me gjysmë zëri@
@in Albanian@|@shqip@
@in Arabic@|@arabisht@
@in Chinese@|@kinezisht@
@in common@|@së bashku@
@in Czech@|@çekisht@
@in Danish@|@danisht@
@in fact@|@në fakt@
@in French@|@frëngjisht@
@in front@|@përpara@
@in front of@|@para, përballë@
@in full@|@gjerë e gjatë@
@in general@|@në përgjithësi@
@in German@|@gjermanisht@
@in Greek@|@greqisht@
@in natural way@|@natyrshëm@
@in order that@|@në mënyrë që@
@in Polish@|@polonisht@
@in Russian@|@rusisht@
@in short@|@shkurtimisht@
@in Swedish@|@suedisht@
@in the first place@|@së pari@
@in the middle@|@midis@
@in the morning@|@paradreke@
@in the name of@|@në emrin e@
@in vain@|@kot@
@inappropriately@|@orë e pa orë@
@inaugurate@|@përuroj@
@incite@|@ndërsej@
@incline@|@përkul, prirem@
@include@|@përfshij@
@increase@|@shtoj@
@indeed@|@vërtet@
@indefinite@|@pacaktuar (i)@
@indeterminate@|@pacaktuar (i)@
@indicate@|@tregoj@
@individual@|@individual@
@Indo-European@|@indoevropian@
@infant@|@foshnjë@
@inform@|@bëj njoftim, lajmëroj, njoftoj@
@informal@|@zo zyrtar@
@inhabit@|@banoj@
@inhabitant@|@banor@
@inhabited@|@banuar (i)@
@inherit@|@trashëgoj@
@inheritance@|@trashëgimi@
@injury@|@fyerje@
@inn@|@han@
@inner@|@brendshëm (i)@
@innocent@|@pafajshëm (i)@
@inquire@|@marr vesh@
@insert@|@fus, përfshij@
@inside@|@brenda, brendshëm (i)@
@inspector@|@inspektor@
@inspire@|@frymëzoj@
@instance@|@shembull@
@instant@|@çast@
@instead@|@në vend të@
@instigate@|@ngacmoj@
@institute@|@institut@
@instrument@|@vegël@
@insult@|@fyerje@
@insurance@|@sigurim@
@insure@|@siguroj@
@insurrection@|@kryengritje@
@intend@|@kam ndër mend@
@intention@|@synim@
@interest@|@interes@
@interfere@|@ndërhyj@
@interlacing@|@gërshetim@
@intermediary@|@ndërmjetës@
@interpreter@|@përkthyes@
@interrupt@|@ndërpres@
@interview@|@intervistë@
@intestine@|@zorrë@
@into@|@në@
@introduction@|@hyrje@
@inundate@|@përmbys@
@invader@|@pushtues@
@invent@|@sajoj@
@inverted commas@|@thonjëza@
@investigation@|@gjurmim@
@invisible@|@padukshëm (i)@
@invitation@|@ftesë@
@invite@|@ftoj@
@involuntarily@|@padashur@
@iron@|@hekur@
@irradiate@|@rrezatoj@
@irritate@|@ngacmoj@
@island@|@ishull@
@it dawns@|@zvagëllon@
@it doesn't matter@|@punë e madhe@
@it is cold@|@bën ftohtë@
@it is sharp 12@|@ora është plot 12@
@it lightens@|@vetëtin@
@it rains@|@bie shi@
@Italian@|@italian@
@italic@|@italike@
@Italo-Albanian@|@arbëresh@
@jagged rock@|@gërxh@
@jam@|@liko(giliko), reçel, rras@
@January@|@janar@
@Japanese@|@japonez@
@jealous@|@xheloz@
@jelly@|@pelte@
@jersey@|@triko@
@jeweller@|@argjendar@
@job@|@punë@
@join@|@përfshihem@
@join us@|@bujrum@
@joint@|@pikë bashkimi@
@jointly@|@së bashku@
@joke@|@bëj shaka, shaka@
@jolly@|@gëzueshëm (i)@
@journalist@|@gazetar@
@joy@|@gëzim, hare@
@joyful@|@gazmor@
@judge@|@gjykatës, gjykoj@
@jug@|@kanë@
@July@|@korrik@
@jump@|@hidhem, kërcej@
@June@|@qershor@
@jurisprudence@|@drejtësi@
@just@|@mu, pikërisht@
@justice@|@drejtësi@
@keep@|@mbaj, ruaj@
@key@|@çelës@
@kick@|@shqelm@
@kid@|@fëmijë@
@kidnap@|@rrëmbej@
@kidney@|@veshkë@
@kilo@|@kile@
@kin@|@gjini@
@kind@|@lloj@
@kindness@|@mirësi@
@kiss@|@puth@
@kitchen@|@kuzhinë@
@knapsack@|@trastë@
@kneading through@|@magje@
@knee@|@gju@
@kneel@|@bie në gjunjë@
@knife@|@thikë@
@knighthood@|@kalorësi@
@knit@|@gërshetoj, thur@
@knob@|@kokërr@
@knock@|@trokas@
@know@|@di, njoh@
@knowledge@|@dituri@
@known@|@njohur (i)@
@Lab (south-western-Tosk)@|@lab@
@label@|@etiketë@
@Laberi dialect@|@labërishte@
@lack@|@mungesë@
@lad@|@djalosh@
@ladder@|@shkallë@
@lady@|@zonjë@
@lady of the house@|@zonja e shtëpisë@
@lake@|@liqen@
@lamb@|@qengj, sheleg@
@lambs@|@shqerra@
@lame@|@çalë (i)@
@lament@|@vajtoj@
@lamentation@|@kujë@
@lamp@|@llambë@
@lampshade@|@abazhur@
@land@|@tokë, vise, zbres@
@landing@|@zbritje@
@landscape@|@peizazh@
@language@|@gjuhë@
@languish@|@lëngoj@
@large trousers@|@shallvare@
@late@|@vonë@
@law@|@kanun, ligj@
@lay@|@shtroj@
@layer@|@shtresë@
@lead@|@prij@
@lead the dance@|@heq vallen@
@leaf@|@fletë, gjethe@
@leaflet@|@fletëpalosje@
@league@|@lidhje@
@lean@|@prirem@
@learn@|@marr vesh@
@leather@|@lëkurë@
@leave@|@largohem, lë, ndahem@
@leaver@|@leje@
@leek@|@presh@
@left hand side@|@e majtë@
@left wing@|@e majtë@
@lek (Albanian monetary unit)@|@lek@
@lend@|@huaj@
@lengthen@|@zgjas@
@lessen@|@pakësoj@
@lesson@|@mësim@
@let@|@le, lejoj, lëshoj@
@letter@|@letër@
@lettuce@|@sallatë jeshile@
@level@|@nivel@
@liberty@|@liri@
@library@|@bibliotekë@
@lick@|@lëpij@
@lie@|@ndodhem, rrenë@
@lie ill@|@lëngoj@
@lientenant@|@toger@
@life@|@jetë@
@lift@|@ngre@
@light@|@dritë, lehtë (i), ndriçoj@
@light blue@|@kaltër (i)@
@lightly@|@lehtë@
@lightning@|@rrufe, vetëtimë@
@like@|@dëshiroj, pëlqej, si@
@like this@|@kështu@
@liking@|@ma ka ënda@
@lily@|@zambak@
@limit@|@cak@
@limpid@|@kulluar (i)@
@limpingly@|@çalë-çalë@
@line@|@rresht, varg, vijë@
@linen@|@ndërresa@
@lining@|@astar@
@link@|@lidh@
@lion@|@luan@
@lip@|@buzë@
@list@|@listë@
@literature@|@letërsi@
@little@|@pak@
@live@|@banoj, jetoj, rroj@
@lively@|@gjallë (i)@
@liver@|@mëlçi@
@living@|@gjallë (i)@
@load@|@ngarkoj@
@loaf@|@franxhollë@
@loan@|@hua@
@log@|@kërcu@
@lonely@|@vetmuar (i)@
@long@|@gjatë, gjatë (i)@
@longing@|@dëshirë e zjarrtë, përmallim, përmallshëm (i)@
@look@|@këqyr, shikoj@
@look after@|@kujdesem@
@look at@|@vështroj@
@loop@|@lak@
@lop@|@krasis@
@lose@|@humb, humbas@
@lose one's head@|@ngel pa mend@
@lose weight@|@dobësohem@
@loss@|@humbje@
@lottery@|@llotari@
@loud@|@lartë (i)@
@loudly@|@me zë të lartë@
@lounge@|@lëkundem@
@louse@|@morr@
@love@|@dashuri, dua@
@lovely@|@këndshëm (i)@
@low-lying@|@fushor@
@loyal@|@besnik@
@luck@|@fat@
@lucky@|@fatlum, lum@
@lunch@|@drekë@
@lung@|@mushkëri@
@lure@|@ndjell@
@luxury@|@lluks@
@Macedonian@|@maqedonas@
@machine@|@makinë@
@mad@|@baltë, krisur (i), marrë (i), marrosur (i)@
@magnificent@|@madhërishëm (i)@
@magnificient@|@madhështor@
@maid@|@shërbyese, vajzë, vashë@
@maiden@|@vajzë@
@mail@|@postë@
@main@|@kryesor@
@maintain@|@mbaj@
@maize@|@misër@
@majesti@|@madhështi@
@majestic@|@madhështor@
@make@|@bëj, formoj@
@make a mistake@|@gaboj@
@make fall@|@rrëzoj@
@make off@|@ia mbath@
@male@|@mashkullor (i)@
@malice@|@ligësi@
@man@|@burrë, njeri@
@man who enjoys the life@|@qejfli@
@manacle@|@pranga@
@manifold@|@shumëllojshëm (i)@
@manner@|@mënyrë@
@many@|@shumë, shumtë (i)@
@map@|@hartë@
@march@|@marshoj@
@March@|@mars@
@mare@|@pelë@
@marjoram@|@rigon@
@market@|@pazar@
@married@|@martuar (i)@
@marry@|@martohem@
@marsh@|@kënetë@
@marvellous@|@mrekullueshëm (i)@
@masculine@|@mashkullor (i)@
@master@|@mjeshtër, zoti i shtëpisë@
@mastership@|@mjeshtëri@
@mat@|@rrogoz@
@match@|@ndeshje, takim@
@material@|@material@
@maternal uncle@|@dajë@
@matter@|@punë@
@mattress@|@dyshek@
@mature@|@pjekur (i)@
@May@|@maj@
@maybe@|@kushedi, mbase, ndoshta@
@me@|@mua@
@meadow@|@lëndinë, livadh@
@meal@|@vakt@
@mean@|@mesatar, nënkuptoj@
@mean while@|@ndërkaq@
@meantime@|@ndërkohë@
@meanwhile@|@ndërkaq@
@measured@|@matur (i)@
@measures@|@marr masa@
@meat@|@mish@
@meat-ball@|@qofte@
@mediator@|@ndërmjetës@
@medicine@|@ilaç@
@medieval@|@mesjetar@
@medium@|@mesëm (i)@
@meet@|@ndeshem, takohem@
@meet with@|@takoj@
@meeting@|@mbledhje, takim@
@melt@|@shkrij@
@member@|@pjesëtar@
@membership@|@anëtarësi@
@membrane@|@cipë@
@memorial@|@përmendore@
@memory@|@kujtim@
@men's watch@|@orë burrash@
@mention@|@përmend@
@mentioned below@|@mëposhtëm (i)@
@merchant@|@tregtar@
@merrily@|@gëzueshëm@
@merry@|@qeshur (i)@
@mess@|@konfuzion, rrëmujë@
@metre@|@metër@
@midday@|@mesditë@
@middle@|@mes, mesëm (i)@
@Middle Ages@|@mesjetë@
@midnight@|@mesnatë@
@mild@|@butë (i)@
@milk@|@qumësht@
@mill@|@mulli@
@minaret@|@minare@
@mince@|@grij@
@mind@|@mendje@
@mine@|@imi, imja, minierë@
@mineral@|@mineral@
@mingling@|@përzier@
@minister@|@ministër@
@ministry@|@ministi@
@minus@|@pa@
@minute@|@minutë@
@miracle@|@mrekulli@
@miraculous@|@mrekullueshëm (i)@
@mischievous@|@prapë (i)@
@miserable@|@mjerë (i)@
@misfortune@|@bela@
@miss@|@zonjushë@
@mist@|@mjegull@
@mistake@|@gabim@
@mister@|@zot, zotëri, zotni@
@mistress@|@zonjë@
@mix@|@trazoj@
@mixed@|@përzier (i), trazuar (i)@
@modest@|@thjeshtë (i)@
@moist@|@lagësht@
@moisten@|@njom, njomë (i)@
@molar tooth@|@dhëmballë@
@moment@|@çast@
@Monday@|@e hënë@
@money@|@para, të holla@
@month@|@muaj@
@monument@|@monument, përmendore@
@moo@|@pëllet@
@mood@|@mënyrë@
@Moon@|@hënë@
@moor@|@lidh me litar@
@moreover@|@përveç kësaj@
@morning@|@mëngjes@
@mosque@|@xhami@
@mother@|@ëma, mama, nënë@
@mother (tongue)@|@amtar@
@motherfucker@|@shkërdhatë@
@motherland@|@atdhe, mëmëdhe@
@mould@|@tokë e shkrifët@
@mound@|@bregore@
@mount@|@mal@
@mountaineer@|@malësor@
@mountaineering@|@alpinizëm@
@mountainous@|@malor@
@mourn@|@vajtoj@
@mouse@|@mi@
@moustache@|@mustaqe@
@mouth@|@gojë@
@move@|@lëviz@
@move off@|@largohem, largoj@
@much@|@shumë@
@muddy@|@turbullt (i)@
@muffler@|@shall@
@mulberry@|@man@
@mule@|@mushkë@
@mullet@|@qefull@
@municipal service@|@komunale@
@mural@|@muror@
@murderer@|@gjakësor@
@muscle@|@muskul@
@museum@|@muze@
@museum (house)@|@shtëpi muze@
@music@|@muzikë@
@musician@|@muzikant@
@mussel@|@midhje@
@mutton@|@mish dashi@
@my@|@e mi, e mia, im, ime, të mitë@
@nail@|@gozhdë, thonj@
@naked@|@zhveshur (i)@
@name@|@emër, quaj@
@napkin@|@pecetë@
@narrow@|@ngushtë (i)@
@nasty@|@ndyrë (i), pistë (i)@
@native@|@amtar@
@native of Kosova@|@kosovar@
@naton@|@popull@
@naturally@|@natyrisht@
@nature@|@natyrë@
@naughty@|@prapë (i)@
@navy@|@flotë@
@near@|@afër, afërt (i), pranë, te/k@
@nearby@|@pranë@
@nearer@|@afrohem@
@nearly@|@pothuajse@
@nearness@|@afërsi@
@neat@|@pastër (i), rregullt (i)@
@necessary@|@duhur (i)@
@neck@|@grykë, qafë@
@necklace@|@gjerdan@
@needed@|@duhur (i)@
@needle@|@gjilpërë@
@negative@|@mohoj, mohor@
@neglect@|@nuk përfill@
@neighbour@|@fqinj@
@neighbourhood@|@fqinjësi@
@nephew@|@nip@
@nest@|@fole@
@never@|@kurrë@
@nevertheless@|@megjithatë@
@new@|@ri (i)@
@newpaper@|@gazetë@
@next day@|@të nesërmen@
@next year@|@mot@
@nicely@|@ëmbël@
@niece@|@mbesë@
@night@|@natë@
@night and day@|@ditë e natë@
@nightingale@|@bilbil@
@nightingle@|@bilbil@
@nine@|@nëntë@
@ninth@|@nëntë (i)@
@nipple@|@sisë@
@no@|@jo@
@no one@|@asnjë@
@noble@|@fisnik@
@nobody@|@askush@
@noise@|@shamatë, zhurmë@
@noon@|@drekë, mesditë@
@noose@|@lak@
@norm@|@normë@
@Northen Albanian@|@gegë@
@nose@|@hundë@
@not@|@dot, nuk@
@not free@|@ndrydhur (i)@
@notebook@|@fletore@
@nothing@|@asgjë@
@notify@|@bëj njoftim, lajmëroj@
@novel@|@roman@
@November@|@nëntor@
@now@|@tani@
@now and then@|@nganjëherë@
@nowhere@|@asgjëkundi@
@number@|@numër@
@numerous@|@shumtë (i)@
@nurse@|@infermiere@
@nut@|@arrë@
@o (with feminine nouns)@|@moj@
@o (with masculine nouns)@|@mor@
@oak@|@dushk, lis@
@oakapple@|@gogël@
@oath@|@be@
@obedience@|@bindje@
@obey@|@dëgjoj@
@oblige@|@detyroj@
@observe@|@vështroj@
@obstalce@|@pengesë@
@occasion@|@sebep@
@occupy@|@zë@
@October@|@tetor@
@odd@|@çuditshëm (i), tek@
@odour@|@erë@
@of course@|@natyrisht@
@of that time@|@atëhershëm (i)@
@of the same age@|@moshatar@
@offal@|@të përbrendshme@
@offence@|@fyerje, ofendim@
@offer@|@ofroj, propozoj@
@office@|@zyrë@
@officer@|@oficer@
@often@|@shpesh@
@oil@|@vaj@
@oka (1.4kg)@|@okë@
@old@|@lashtë (i), vjetër (i)@
@old age@|@pleqëri@
@old boy@|@babalok@
@old man@|@plak@
@old woman@|@plakë@
@omit@|@lë jashtë, nuk përfshij@
@on@|@mbi, në@
@on behalf of@|@në emrin e@
@on bended knee@|@gjunjëzuar (i)@
@on earth@|@xhanëm@
@on edge (brink)@|@buzë@
@on the left@|@majtas@
@once again@|@rishtazi@
@once more@|@edhe një herë@
@one@|@një, njëri@
@one hundred@|@njëqind@
@one of them@|@njëri@
@onion@|@qepë@
@only@|@vetëm@
@open@|@çel, hap@
@opera@|@opera@
@opinion@|@mendim@
@opponent@|@kundërshtar@
@opposite@|@karshi, kundër@
@oppression@|@shtypje@
@order@|@komandoj, porosis, rend, rregull@
@ore@|@mineral@
@organ@|@organ@
@organiser@|@organizator@
@ornament@|@ornament, stoli@
@orphan@|@jetim@
@other@|@të tjerë@
@otherwise@|@përndryshe@
@Ottoman@|@osman@
@our@|@jonë, tanë, tona, ynë@
@out@|@jashtë@
@out fitter@|@paisje@
@out of@|@jashtë, prej@
@outer@|@mbarë (i)@
@outpatients's department@|@poliambulancë@
@outside@|@jashtë@
@oven@|@furrë@
@over@|@mbi, përmbi, përmbri, sipër@
@over there@|@andej, atje@
@over-throw@|@rrëzoj@
@overturn@|@përmbys@
@owing@|@kam borxh@
@owl@|@kukuvajkë@
@own@|@vet (i), zotëroj@
