@Ligurian@|@English@
@d'asbrîo@|@impetuously@
@dâse de âie@|@to give oneself airs@
@dâse o càngio@|@to take turns@
@dàtou@|@date (fruit)@
@d'âtra pàrte@|@on the other hand@
@davànti@|@forward@
@davànti a@|@in front of@
@davéi@|@really, indeed@
@de@|@of@
@Dê@|@God@
@de bàdda@|@free (costing nothing)@
@de bon'ôa@|@early@
@de câza@|@homemade@
@de fîa@|@one after the other, following each other@
@de giromîa@|@in a good mood, good-humoured@
@de lóngo@|@always, continuously, all the time@
@de matìn@|@in the morning@
@de mòddo che@|@in such a way that, so that@
@de néutte@|@at night@
@de premûa@|@hurriedly, hastily, rashly, in haste@
@de sa e de la@|@here and there@
@de séia@|@in the evening@
@de sorveciù@|@in surplus@
@de spréscia@|@hurriedly, hastily, rashly, in haste@
@de tramêzo a@|@between, among@
@debilitâ@|@to weaken@
@débole@|@weak@
@decénte@|@decent, honourable@
@dechéutto@|@decoction@
@decìdde@|@to decide@
@decixón@|@decision@
@decîzo@|@decided@
@decrépito@|@decrepit@
@decreteur@|@bootblack, shoeshine boy@
@dêdê (nf)@|@ladybug@
@de-e@|@of the (fpl)@
@de-e vòtte@|@sometimes@
@deficénsa@|@deficiency, weakness@
@deficénte@|@retard, feeble-minded, insufficient, imbecile@
@definîse@|@to define oneself@
@dégno@|@decent, honourable@
@delìçia@|@delight@
@demôa@|@fun@
@demoâse@|@to have fun@
@democràtico@|@democratic@
@demoralizâ@|@to demoralize, to demoralise@
@demoralizaçión@|@demoralization, demoralisation@
@demoralizòu@|@demoralized, demoralised@
@denâ (nm)@|@Christmas@
@dênâ (nm)@|@Christmas@
@denscitæ@|@thickness@
@dénte@|@tooth@
@dénte do giudìçio@|@wisdom tooth@
@depoidirnâ@|@afternoon@
@deputòu@|@deputy, congressman@
@derê@|@back, behind, at the back@
@derê a@|@behind@
@derenâ@|@to wear out, to exhaust@
@derenòu@|@worn out, exhausted@
@derfìn@|@dolphin@
@derûo@|@precipice, deluge, heavy rain@
@desbrogiâ@|@to disentangle, to unravel, to untangle@
@desbrogiâse i cavélli@|@to disentangle one's hair@
@descaregâ@|@to download@
@descaregaménto@|@download@
@descâso@|@barefoot@
@desccegâ@|@to unfold, to spread out, to display@
@deschinâ@|@descent, downward slope, decline@
@descomodâ@|@to inconvenience, to make (somebody) feel unconfortable@
@descòmodo@|@uncomfortable, awkward, inconvenient, troublesome@
@desgaginòu@|@daring@
@deslengoâ@|@to dissolve, to melt, to loosen@
@desligâ@|@to untie, to unhook, to unfasten@
@desligaléngoa (nm)@|@tongue-twister@
@desligòu@|@untied@
@desmentegâse@|@to forget@
@desmontâ@|@to strip down, to disassemble, to dismantle@
@desmûo@|@mourning@
@desnuâ@|@to untie@
@despægio@|@different@
@desperaçión@|@desperation@
@desperòu@|@desperate, poor@
@despêto@|@annoyance@
@despiaxéi@|@pain, sorrow, displeasure, nuisance@
@despiòu@|@desperate, poor@
@despomelâ@|@to unbutton@
@desprexâ@|@to disdain, to despise, to disregard, to condemn@
@desprêxo@|@contempt, defiance, disdain, scorn, disregard@
@destanâ@|@to hunt out, to dig out@
@destegâ@|@to shell@
@destéizo@|@outstretched, outspread, widespread, extended@
@desténde@|@to spread, to stretch, to open up@
@destìn@|@destiny@
@destrûe@|@to destroy@
@detatûa@|@dictation@
@dêuviâ@|@to use@
@dêxe@|@ten@
@dexén@|@tenth@
@dexénbre@|@December@
@dexiderâ@|@to wish@
@dexiderôzo@|@longing, wishful, yearning@
@dêximo@|@tenth@
@deximochìnto@|@fifteenth@
@deximonêuno@|@nineteenth@
@deximonöno@|@nineteenth@
@deximoprìmmo@|@eleventh@
@deximoquàrto@|@fourteenth@
@deximosegóndo@|@twelfth@
@deximosèsto@|@sixteenth@
@deximosétimo@|@seventeenth@
@deximotâvo@|@eighteenth@
@deximotèrso@|@thirteenth@
@dezàndio@|@perversion, idleness@
@dezèrto@|@desert@
@dezùmme@|@to infer, to deduce, to gather@
@dezurpâ@|@to waste, to squander@
@di@|@of the (mpl)@
@dî@|@to say@
@dî de mósse (volg.)@|@to speak nonsense@
@dî mâ de (quarchedùn)@|@to speak ill of (somebody), to speak evil of (somebody), to badmouth (somebody)@
@dî quarcösa in confidénsa@|@to tell something in confidence@
@diâ (nm)@|@thimble@
@dialétto@|@dialect@
@diamànte@|@diamond@
@diâo@|@devil@
@diciarâ a goæra@|@to declare war@
@diçionâio@|@dictionary@
@didàtica@|@didactics@
@diêta@|@diet@
@difæti@|@in fact@
@diféiza@|@defense@
@difénde@|@to defend@
@diferénsa@|@difference@
@difètto@|@defect, fault@
@difìçile@|@difficult, hard@
@dîga@|@dam@
@dilûvio@|@deluge, heavy rain@
@dimétise@|@to resign, to step down, to vacate@
@dìmme!@|@tell me!@
@dimostrâ@|@to demonstrate@
@dimostratîvo@|@demonstrative@
@d'in sce@|@from (high place)@
@dìnni de sci!@|@say yes!@
@dìnni!@|@tell!, speak!, talk!@
@d'inte...@|@from inside...@
@Dîo@|@God@
@dîo (nm)@|@finger@
@dîo anulâre@|@ring finger@
@dîo do mêzo@|@middle finger@
@dîo gròsso@|@thumb@
@dîo longâ (nm)@|@middle finger@
@dîo marmelìn@|@little finger, pinkie@
@dîo spozanéllo@|@ring finger@
@dipénde da@|@to depend on@
@dipendénsa@|@dependence, dependency, addiction, reliance@
@dipendénsa da dröga@|@drug addiction@
@dipendénte@|@depending, employed, employee, waged, subordinate@
@diplomàtico@|@diplomatic@
@direçión@|@direction@
@diretô@|@director@
@dirètto@|@direct@
@dirìtto (it.)@|@right (n)@
@discùtte@|@to discuss@
@disegnâ@|@to draw, to design@
@disetén@|@seventeenth@
@dîsètte@|@seventeen@
@dispiaxéi@|@displeasure, trouble, upset (n)@
@disponìbile@|@available@
@dispoxitîvo@|@device@
@distànsa@|@distance@
@distriboî@|@to distribute@
@distribuçión@|@distribution@
@distributô@|@distributor@
@distruçión@|@destruction@
@ditatûa@|@dictatorship@
@dîto...@|@called...@
@divàn@|@sofa@
@diverscificâ@|@to diversify@
@diverscitæ@|@diversity@
@divèrso@|@different@
@diverténte@|@amusing, entertaining, funny@
@divertiménto@|@amusement, fun@
@divertîse@|@to amuse onself, to have fun@
@divixón@|@division@
@divîza (nf)@|@uniform@
@divîzo@|@divided@
@dîxe@|@to say@
@dixeutén@|@eighteenth@
@dixéutto@|@eighteen@
@dixinêuve@|@nineteen@
@dixineuvén@|@nineteenth@
@dizàstro@|@disaster@
@dizórdine (nm)@|@mess@
@do@|@of the (msing)@
@dô@|@pain, ache@
@do rèsto@|@otherwise, apart from that@
@Doàrdo@|@Edward@
@d'òbligo@|@compulsory@
@dôçe@|@sweet@
@dôçe (nm)@|@dessert@
@dôçùmmi (nmpl)@|@candy, sweet@
@dôe@|@two (f)@
@doî@|@two (m)@
@doî (v)@|@to hurt@
@doî miliàrdi@|@two billion@
@doîse@|@to be sore@
@dòlaro@|@dollar@
@Dolcêo@|@Dolcedo (IM)@
@domàn@|@tomorrow@
@domàn a séia@|@tomorrow evening@
@domandâ@|@to ask, to ask for@
@domànda@|@question@
@domandâ scûza@|@to apologize@
@doménega (nf)@|@Sunday@
@domèstico@|@domestic, household@
@dónde@|@from where@
@dònna@|@woman@
@d'öo@|@golden@
@dópio@|@double@
@dòpodimàn@|@the day after tomorrow@
@dòpodisnâ@|@afternoon@
@dòpodomàn@|@the day after tomorrow@
@dòpoprànso@|@afternoon@
@dòppo@|@later, after@
@Dórfo@|@Adolph@
@dormî@|@to sleep@
@dormî cómme 'n çéppo@|@to sleep like a log@
@dormitöio@|@bedroom@
@Dosàiga@|@Dolceacqua (IM)@
@Dôsàiga@|@Dolceacqua (IM)@
@dosaighìn@|@from Dolceacqua (IM)@
@dôsaighìn@|@from Dolceacqua (IM)@
@dóssa@|@shower@
@dotô@|@doctor@
@dotrìnn-a@|@doctrine@
@dôve@|@where@
@dôve ti ê?@|@where are you?@
@dovéi (nm)@|@duty, obbligation@
@dovéi (v)@|@to owe, to have to, must@
@dozén@|@twelfth@
@dozénn-a@|@dozen@
@dózze@|@twelve@
@dózz'ôe@|@twelve hours@
@dràmma@|@drama@
@drénto@|@inside@
@drénto a@|@inside, into@
@Drîa@|@Andrew@
@drîto (ag.)@|@straight, vertical, upright, right-side, forthright@
@drîto (av.)@|@on a straight line, straight ahead, vertically@
@drîto (nm)@|@right (n)@
@dröga@|@drug@
@drogòu@|@drug addict, drug-addicted@
@dromedâio@|@dromedary@
@dùbbi (mpl)@|@doubts@
@dùbio@|@doubt@
@dubitâ@|@to doubt@
@dùcca (nm)@|@duke@
@dugànn-a@|@customs@
@dûgo@|@owl@
@dûo@|@hard, tough@
@durànte@|@during@
@e@|@and@
@e (fpl)@|@the (fpl)@
@E Màlle@|@Mallare (SV)@
@e nòstre@|@our (fpl)@
@e pàssa (quantitæ)@|@over... (quantity)@
@e vîa discorìndo@|@and so on@
@e vîa dixéndo@|@and so on@
@e vòstre@|@your (you all)(fpl)@
@ébano@|@ebony@
@ebràico@|@Hebrew@
@ebrêo@|@Hebrew, Jewish@
@écco@|@here it is@
@eceçión@|@exception@
@eceçionâle@|@exceptional@
@ecêde@|@to exceed@
@ecelénsa@|@excellence@
@ecelénte@|@excellent@
@ecesîvo@|@excessive@
@ecèsso@|@excess@
@ecétto@|@except@
@ecètto@|@except@
@ecitâ@|@to excite@
@êco@|@echo@
@ecologîa@|@ecology@
@economîa@|@economy@
@econòmico@|@economical@
@ediçión@|@edition@
@edificâ@|@to build@
@editâ@|@to edit@
@editô@|@editor@
@édito@|@published@
@editrîce@|@publishing company@
@educâ@|@to educate@
@educaçión@|@education@
@educatîvo@|@educational@
@educatô@|@educator@
@efeminòu@|@effeminate@
@efetîvo@|@effective@
@efètto@|@effect@
@egiçiàn@|@Egyptian@
@Egìtto@|@Egypt@
@egoâle@|@equal, same@
@Êgoi@|@Egoli (GE)@
@elàstico@|@elastic@
@eleçión@|@election@
@elefànte@|@elephant@
@elegànsa@|@elegance@
@elegànte@|@elegant@
@elementâ@|@elementary@
@eleménto@|@element@
@Élena@|@Helen@
@eletô@|@elector@
@eletricitæ@|@electricity@
@elétrico@|@electrical@
@élice (nf)@|@propeller, screw (nautical), airscrew@
@èliçe (nf)@|@propeller, screw (nautical), airscrew@
@eliminâ@|@to delete@
@emergénsa@|@emergency@
@emétte@|@to issue@
@emigrâ@|@to emigrate@
@emigraçión@|@emigration@
@emigròu@|@emigrant@
@emisción@|@issue@
@emisfêro@|@hemisphere@
@emosción@|@emotion@
@énbrexo@|@tile@
@ençiclopedîa@|@encyclopaedia@
@éndego@|@indigo@
@energîa@|@energy@
@énfaxi (nf)@|@emphasis@
@entrotæra (nm)@|@hinterland@
@éoro@|@euro@
@epidemîa@|@epidemic@
@epûre@|@even so@
@equaçión@|@equation@
@Equadòr@|@Ecuador, Equator@
@equadorégno@|@Ecuadorean, Ecuadorian@
@equatoriàn@|@Ecuadorean, Ecuadorian@
@equilìbrio@|@balance@
@erâ@|@to be wrong, to make mistakes@
@èrba@|@herb@
@èrba mêga (nf)@|@alfalfa, lucerne@
@èrba spâ (nf)@|@aloe, American aloe, agave@
@erbàsci (nmpl)@|@undergrowth, underbrush, weeds@
@èrbo@|@tree@
@èrbo da cànfora@|@camphor tree@
@èrbo d'amàndoe@|@almond tree@
@èrbo de castàgne@|@chestnut tree@
@èrbo de çetroìn@|@orange tree@
@èrbo de çêxe@|@cherry tree@
@èrbo de fîgo@|@fig tree@
@èrbo de l'élice@|@propeller@
@èrbo de méie@|@apple tree@
@èrbo de mezànn-a@|@mizzen, mizzenmast@
@èrbo de néspoe@|@loquat tree, medlar tree@
@èrbo de nôxe@|@walnut tree@
@èrbo de pèrseghe@|@peach tree@
@èrbo d'oîva@|@olive tree@
@erboetìn@|@small tree@
@erboêto@|@small tree@
@èrboi (mpl)@|@trees@
@èrco@|@bow, arch@
@èrco in çê@|@rainbow@
@èrco trionfâle@|@triumphal arch@
@ereçión@|@erection@
@erêde@|@heir@
@ermitàggio@|@hermitage@
@ermìtto@|@hermit@
@èrnia@|@hernia@
@erô@|@error, mistake@
@Eröde@|@Herod@
@eröe (nm)@|@hero@
@èrta marêa@|@high tide@
@ertéssa@|@height, altitude@
@èrto@|@high, tall@
@eruçión@|@eruption@
@ésca@|@spunk (fire)@
@esclamâ@|@to exclaim@
@esclamaçión@|@exclamation, interjection@
@escluxivaménte@|@exclusively@
@escluxîvo@|@exclusive@
@êse@|@to be, to have (auxiliary)@
@êse a réizego@|@to be at risk, to be in danger@
@êse a tîo@|@to be ready@
@êse a tòrsio@|@to be unemployed@
@êse abastànsa@|@to be enough@
@êse d'acòrdio@|@to agree@
@êse de mòdda@|@to be fashionable, to be in fashion@
@êse fra l'anchîze e o martéllo@|@to be between the devil and the deep blue sea (fig.)@
@êse in cà@|@to be at home@
@êse in ritàrdo@|@to be late@
@êse in scî pìssi de@|@to be about to@
@êse into balón@|@to be confused, to be disoriented@
@êse mancòu@|@to pass away@
@êse tra o màrco e l'anchîze@|@to be between the devil and the deep blue sea (fig.)@
@êse tùtto inte 'n'ægoa@|@to be sweaty@
@êse umàn (nm)@|@human being@
@esénsa@|@essence@
@esensiâle@|@essential@
@êsighe@|@there to be@
@espansción@|@expansion@
@esplorâ@|@to explore@
@esploraçión@|@exploration@
@esploxîvo@|@explosive@
@esploxón@|@explosion, blow-up (n), outburst@
@esportâ@|@to export@
@esportaçión@|@export@
@esprèsso@|@express@
@est@|@East@
@estæ (nf)@|@summer@
@èstaxi (nf)@|@ecstasy@
@estensión@|@extension@
@estèrno@|@external@
@estimòu@|@stimated@
@èstone@|@Estonian@
@Estònia@|@Estonia@
@estrâe@|@to extract@
@estragón@|@tarragon@
@estrêmo@|@extreme@
@etæ@|@age@
@etichétta@|@label@
@etîope@|@Ethiopian@
@Etiòpia@|@Ethiopia@
@etiòpico@|@Ethiopian@
@éuggio@|@eye@
@êuio@|@oil@
@euiòu@|@oiled@
@éutto@|@eight@
@êuve (fpl)@|@eggs@
@êuvia@|@work@
@êuvo@|@egg@
@evàdde@|@to evade, to dodge@
@evénto@|@event@
@evitâ@|@to avoid@
@exìste@|@to exist@
@exôzo@|@mean, nasty@
@ezagerâ@|@to exaggerate@
@ezageraçión@|@exaggeration@
@ezageròu@|@exaggerated@
@ezàtto@|@exact@
@ezénpio@|@example@
@ezercìçio@|@excercise@
@ezèrcito@|@army@
@ezitaçión@|@hesitation@
@ezòtico@|@exotic@
@ezôzo@|@mean, nasty@
@fa@|@ago@
@fâ@|@to do, to make@
@fâ a dóssa@|@to take a shower@
@fâ a goàrdia@|@to guard, to keep watch on@
@fâ a tòcchi@|@to cut into pieces, to tear to pieces@
@fâ acaponâ a pélle@|@to get goose bumps, to get goose pimples@
@fâ bén@|@to do good@
@fâ calàdda@|@to make noise@
@fâ câxo a@|@to pay attention to, to take notice of@
@fâ colaçión@|@to have breakfast@
@fâ da ghéubbo@|@to take no notice@
@fâ da séia (nm)@|@sunset, dusk@
@fâ de ciàciare@|@to chat@
@fâ de cuxìnn-a@|@to cook@
@fâ di dinæ@|@to make money@
@fâ di pastìssi@|@to make a mess, to muddle up@
@fâ do cazìn@|@to make a mess, to muddle up@
@fâ do sciâto@|@to make noise@
@fâ e grónde@|@to frown@
@fâ e zìmme@|@to spark@
@fâ fìnta de@|@to pretend@
@fâ fîto@|@to hurry up, to take a short time@
@fâ goarî@|@to cure, to heal@
@fâ l'amô@|@to make love@
@fâ mâ@|@to hurt@
@fâ móstra@|@to pretend@
@fâ o fatorîzo@|@to smile@
@fâ o ghéubbo@|@to take no notice@
@fâ poîa@|@to scare@
@fâ présto@|@to hurry up, to take a short time@
@fâ prìmma@|@to be earlier@
@fâ pró@|@to satisfy@
@fâ ribòtta@|@to go out partying@
@fâ sésso@|@to have sex@
@fâ tàrdi@|@to be late@
@fâ unna brùtta figûa@|@to make a fool of oneself@
@fâ védde@|@to show@
@fàbrica@|@factory@
@fabricànte (nm)@|@manufacturer@
@fàccia@|@face@
@facénda@|@affair, task, issue@
@fàçile@|@easy@
@façilitæ@|@ease, easiness@
@façilitæ@|@to facilitate, to ease@
@facoltæ@|@faculty@
@fâda@|@skirt@
@fadigâ@|@to toil, to work hard, to labour@
@fâdìn (nm)@|@skirt@
@fænn-a@|@flour@
@færo@|@iron@
@fæto@|@made@
@fæto (nm)@|@fact@
@fæto a màn@|@handmade@
@fæto a ræ@|@reticulated, criss-cross@
@fæto a scæn@|@stepped (adj.)@
@fâghe atrovâ 'n resâto@|@to frighten, to scare@
@fâghe fâ 'n resâto@|@to frighten, to scare@
@fâghela@|@to succeed@
@fagòtto@|@bassoon@
@fainòtto@|@baker@
@fâla finîa@|@to end it all, to have it out@
@falànpi@|@boastful@
@famìggia@|@family@
@familiarizâse@|@to become familiar@
@fàmme@|@hunger@
@famôzo@|@famous@
@fanâ (nm)@|@lamp, lantern@
@fanfarón@|@boastful@
@fàngo@|@mud@
@fangôzo@|@muddy@
@fànni atençión!@|@pay attention!@
@fantastegâ@|@to daydream, to dream up@
@fantàstico@|@fantastic, wonderful, fabulous@
@fantìn@|@single@
@fantinægo@|@spinsterhood, bachelorhood, single state@
@farchétto@|@hawk, falcon (bird)@
@farçî@|@to stuff, to fill@
@fàrco frengoelâ (nm)@|@sparrowhawk@
@farmacîa@|@pharmacy@
@fâro@|@lighthouse@
@fâsci (mpl)@|@false@
@fâse (fpl)@|@false@
@fâse avànti@|@to step forward@
@fâse prestâ@|@to borrow@
@fâse tàrdi@|@to get late@
@fâse vegnî a pélle de galìnn-a@|@to get goose bumps, to get goose pimples@
@fâso@|@false@
@fâta (it.)@|@fairy@
@fatorîzo@|@smile@
@fàtto@|@insipid, bland@
@fâva@|@bean, broad bean@
@favô@|@favour@
@favorî@|@to favour@
@favorîo@|@favourite@
@faxàn@|@pheasant@
@faxeu@|@bean@
@fêa@|@fair, market, trade fair@
@fêde (nf)@|@faith@
@fêgheto (Savona)@|@liver@
@feminîle@|@feminine, female@
@feminìn@|@feminine@
@fén@|@hay@
@Fenogiæa@|@Finocchiara (Genoese river)@
@fenôgio@|@fennel@
@fenòmeno@|@phenomenon@
@ferâ (nm)@|@blacksmith@
@ferî@|@to wound, to hurt@
@ferîa@|@wound@
@ferîo@|@hurt@
@fermâ@|@to stop@
@fermâ (nf)@|@stop@
@fèrmo@|@still (adj.)@
@ferovîa@|@railway@
@fertilitæ@|@fertility@
@fervô@|@fervour, ardour, zeal@
@fèsta@|@party, holiday@
@festécco@|@pistachio@
@festétta@|@party (diminutive)@
@festivitæ@|@festivity, feast day, celebration@
@festón@|@ball (function for dancing), festoon (decoration)@
@fétta@|@slice@
@fétte (nfpl)@|@fried chickpea-flour cakes (Liguria)@
@fêua@|@outside, out@
@féuggia@|@leaf@
@féuggio@|@sheet of paper@
@fêugo@|@fire@
@Fêuxàn@|@Fereggiano (river of Genoa)@
@fî (nm)@|@wire, thread@
@fî da schénn-a (nm)@|@spine, backbone, vertebral column, spinal column@
@fî ferétto@|@metal wire@
@fiâ@|@to spin@
@fiamenghìlla@|@oval plate@
@fiàmma@|@flame@
@fiànco@|@side, hip, flank@
@fiàrsoa@|@loose thread@
@fidê (mpl)@|@noodles@
@figæto@|@liver@
@figeu@|@boy, child, children, boys@
@figeu de nasción@|@newborn baby@
@figeu picìn@|@baby@
@fìggia@|@daughter@
@fìggia da màio@|@girl of marrying age@
@fìggio@|@son@
@fìggio de 'na bagàscia (volg.)@|@son of a bitch (vulg.)@
@fìggio sôlo@|@only child@
@figiàstra@|@stepdaughter@
@figiàstro@|@stepson@
@figìn (nm)@|@little boy@
@figiòssa@|@goddaughter@
@figiòsso@|@godson@
@fîgou@|@meagre (fish), shade-fish@
@figûa@|@picture, image@
@filâ@|@to run@
@filatelîa@|@philately@
@filétto da léngoa@|@frenum@
@Filipìnn-e (fpl)@|@Philippines@
@fìlm (nm)@|@motion picture, film@
@filmòu (nm)@|@motion picture, film@
@filozofîa@|@philosophy@
@filòzofo@|@philosopher@
@fìn@|@fine (m), refined (m)@
@fìn (nf)@|@end@
@fìn a@|@until, upto@
@fìn òua@|@until now, so far@
@finâ (nm)@|@end@
@finâle@|@end@
@finalizâ@|@to finish, to end@
@finalménte@|@finally@
@finarménte@|@finally@
@finî@|@to finish, to end@
@finlandéize@|@Finnish@
@Finlàndia@|@Finland@
@fìnn-a (ag.f)@|@fine (f), refined (f)@
@fìnn-a (av.)@|@upto, until@
@fìnn-a tròppo@|@too much@
@fiónda (it.)@|@catapult, slingshot, sling@
@fiôre (it.)(nm)@|@flower@
@fiorentìn@|@Florentine (from Florence)@
@firmâ@|@to sign@
@fìrma@|@signature@
@fisâ@|@to fix@
@fîto@|@quickly, early, fast@
@fîxica@|@physics@
@fîxico@|@physical, physicist@
@fizarmònica@|@accordeon@
@flacón@|@flask@
@flàoto@|@flute@
@flémma@|@phlegm@
@flòuto@|@flute@
@fô (nm)@|@noise@
@föa@|@fable@
@foæ (nf)@|@fairy@
@föca@|@seal (animal)@
@fociâra@|@gewgaw@
@foestê@|@foreigner, alien@
@fogoâ (nm)@|@bonfire, stove@
@foìn@|@marten@
@folâse a schêua@|@to play truant@
@fonçión@|@function@
@fonética@|@phonetics@
@fonsión@|@function@
@Fontanegórda@|@Fontanigorda (GE)@
@fónzo@|@mushroom@
@fórca@|@gallows@
@forçìnn-a@|@fork@
@forèsta@|@forest, jungle@
@forèsto@|@stranger, alien, foreigner@
@formâ@|@to form, to set up@
@fórma@|@shape@
@formàggio@|@cheese@
@formàggio parmexàn@|@Parmesan cheese@
@formàggio piaxentìn@|@Parmesan cheese@
@formìgoa@|@ant@
@fórmola@|@formula@
@fornâ (nm)@|@baker@
@fornéllo@|@burner, ring (burner)@
@fórno@|@oven@
@forsâ@|@to force@
@fòrsa@|@force, strength@
@fòrte (ag.)@|@strong@
@fortéssa@|@fortress, fort@
@fortùnn-a@|@fortune, luck@
@fortunòu@|@lucky@
@fòscia@|@maybe, perhaps@
@fotografîa@|@photograph@
@fotògrafo@|@photographer@
@fótta@|@anger, rage, wrath@
@fòulo@|@crab@
@foxàn@|@from Foce (GE)@
@Fôxe@|@Foce (GE)@
@fôxe (nf)@|@mouth (river), estuary@
@fra@|@between, among@
@fra tànto@|@meanwhile@
@fracasâ (v)@|@to fracture@
@fràcco@|@load@
@fraçión@|@fraction@
@fradelànsa@|@brotherhood, twinning@
@fræ (nm)@|@brother@
@fragrànsa@|@fragrance, perfume@
@fragrànte@|@fragrant, perfumed@
@Françésco@|@Francis@
@franchîxe (nf)@|@franchise@
@Frànco@|@Frank@
@frànco (nm)@|@buck@
@francobóllo@|@stamp@
@frànn-a@|@landslide, landslip@
@Frànsa@|@France@
@franséize@|@French@
@fràsca@|@caress@
@fraternitæ@|@brotherhood, twinning@
@fràvego@|@goldsmith@
@frâze@|@phrase@
@fréccia@|@arrow@
@freciamìn (nm)@|@scrap merchant@
@fregâ@|@to cheat@
@fregóggia@|@crumb@
@fréida@|@cold (f), cool (f)@
@fréido (ag.)@|@cold (m), cool (m)@
@fréido (nm)@|@cold@
@frequénte@|@frequent@
@frésco@|@fresh@
@frevâ@|@February@
@frêxa@|@fern@
@frexétto@|@ribbon (silk)@
@frigognâ@|@to examine in minute detail, to search thoroughly@
@frisceu@|@fritter@
@frîto@|@fried@
@fritùmme (nm)@|@fried food, fry-up@
@frizón@|@Frisian@
@fròllo@|@marinated@
@frónte (nf)@|@forehead@
@frouxâ@|@to cheat@
@fròuxo@|@fraud, scam, trap, trick@
@frugadénti (nm)@|@toothpick@
@frûta@|@fruit@
@frûto@|@fruit@
@fûga@|@escape, hurry, fugue@
@Fumæri@|@Fumeri (GE)@
@fumaieu@|@chimney@
@fumànte@|@smoking (adj.)@
@fùmme (nm)@|@smoke@
@funerâle@|@funeral@
@fùrbo@|@clever@
@fùrgou (ant.)@|@firecracker, petard@
@furlàn@|@Friulian@
@fùrto@|@robbery, theft@
@fûto@|@pale@
@fuxìnn-a@|@workshop@
@fuxón@|@fusion@
@gabiàn@|@seagull, gull (bird)@
@gabìbbo@|@Southern redneck@
@gælo@|@slice, segment, section, wedge@
@gælo d'àggio@|@clove of garlic@
@gælo de çetrón@|@orange slice@
@gælo do tetìn@|@nipple@
@gàggia@|@cage@
@Gaibâdo@|@Garibaldo (GE)@
@gàibo@|@grace, elegance@
@gaitéllo@|@mooring buoy@
@Galanæo@|@Gallaneto (GE)@
@galànte (nf)@|@girlfriend@
@galànte (nm)@|@boyfriend@
@galêa@|@jail@
@Galinæa@|@Gallinara (island)@
@galinétta do Segnô@|@ladybug@
@galìnn-a@|@hen@
@Gàlles@|@Wales@
@galòppo@|@gallop@
@gànbe sciaræ (fpl)@|@open legs@
@gànbou@|@lobster@
@gàncio@|@hook@
@gàngou@|@hinge@
@gàrbo@|@hole@
@garbùggio@|@mess@
@garbûxo@|@cabbage, Savoy cabbage@
@garezâ@|@to compete@
@garsonìn@|@baby@
@Gatórna@|@Gattorna (GE)@
@gàtto@|@cat@
@gàtto sarvægo@|@wildcat@
@gàtto spùsso@|@polecat@
@Gâvi@|@Gavi (Piedmont)@
@gazànn-a@|@jay (bird)@
@Gazeu@|@Gazzolo (GE)@
@gazìbba@|@scam, trap, fraud, trick@
@gàzzo@|@gas@
@generâ@|@to generate@
@generaçión@|@generation@
@generâle@|@general@
@génere (nm)@|@genre, sort, kind@
@generozitæ@|@generosity, open-handedness, unselfishness@
@generôzo@|@open-handed, unselfish, generous@
@Génio@|@Eugene@
@genitoî (mpl)@|@parents@
@génte (nf)@|@people@
@gentiléssa@|@kindness@
@gentilòmmo@|@gentleman@
@Germània@|@Germany@
@gerùndio@|@gerund@
@Geruzalémme@|@Jerusalem@
@gêxa@|@church@
@Gexù@|@Jesus@
@Gexù Banbìn@|@Child Jesus, Baby Jesus, Christ Child@
@gh'aciàmmo scuze!@|@I beg your apologies!@
@gh'é...@|@there is..., there are...@
@ghéubbo@|@hunchbacked@
@ghìndou@|@fan@
@ghiòtto@|@greedy, glutton@
@ghirindón@|@bedside table@
@gh'ò fàmme@|@I'm hungry@
@gh'ò sæ@|@I'm thirsty@
@gî (nm)@|@dormouse@
@Giàcamo@|@James, Jacob@
@Giacomìn@|@Jacob, James@
@giæa@|@beetroot, beet@
@giærâva@|@beetroot, beet@
@giamìn@|@exhaustion@
@Giàn@|@John@
@giancàia@|@linen@
@giancàia da töa@|@table linen@
@giànco@|@white@
@Giànni@|@John@
@giâno@|@yellow@
@Giapón@|@Japan@
@giaponéize@|@Japanese@
@giardìn@|@garden@
@giardinê@|@gardener@
@giasciâ@|@to chew@
@giasciogâ@|@to chew@
@giàsso@|@ice@
@gigànte@|@giant@
@gîo@|@turn, journey, lap@
@Gioàn@|@John@
@Gioâne@|@John@
@Gioanìn@|@John@
@giöia@|@joy@
@gioielâ (nm)@|@jeweler@
@gioielê (nm)@|@jeweler@
@gioièllo@|@jewel@
@giornâ (nf)@|@day@
@giornâle@|@newspaper@
@giórno@|@day@
@giôzo@|@jealous@
@giromîa@|@good humour@
@giubilêo@|@jubilee@
@giudêo@|@Jewish@
@giudicâ@|@to judge@
@giùdiçe@|@judge@
@giudiçiôzo@|@judicious, wise@
@giustìçia@|@justice@
@giùsto@|@right, fair@
@gjâ@|@to turn@
@gjâ a vôxe@|@to spread the word@
@gjâse@|@to turn around@
@glöbo@|@globe@
@gloiôzo@|@glorious@
@glòria@|@glory@
@gnàchere (nfpl)@|@castanets@
@Goâ@|@Ovada (Piedmont)@
@gôa@|@throat@
@goadagnâ@|@to earn, to win@
@goadàgno@|@profit@
@goæi@|@too, too much@
@goæî@|@to heal@
@goæra@|@war@
@goâgnâ@|@to earn, to win@
@goâgno@|@profit@
@goâio@|@trouble, problem@
@goànto@|@glove@
