@English@|@Taino@
@pumpkin@|@k´uum@
@purple@|@anigua@
@purse@|@chiim, pawo´@
@pyi' to@|@disappoint@
@pyramid@|@muul@
@quiet@|@tio@
@rabbit@|@kelo, ku´emi@
@Rabbit@|@Hutia@
@rain@|@-o'ni, ha´@
@Ratting@|@Maraca@
@read@|@sho´ok@
@Read Or Count (Maya)@|@Shook@
@Real name of the island of Santo Domingo/Haiti@|@Haiti@
@Realize (Maya)@|@Na'atik@
@rebel@|@mambi@
@red@|@kore'(e)-, koré(e)-, pira, Ris, rish@
@Red@|@Ita@
@Red body Paint made of achote@|@Bija@
@red color no shine@|@kayajabo@
@red or purple@|@raki, ruku@
@Red or the color red@|@Ris, Ris@
@Red Tailed Hawk@|@Guaraguao@
@reef@|@arecife@
@reef by analogy bridge@|@kayku@
@reef or little island bridge@|@kaiku@
@Reef or Little Island Land Bridge@|@Caicu@
@region@|@io@
@Region or Nearness@|@Guaca, Guaca@
@relatives@|@laako´ob@
@religious procession (maya)@|@-be teoshil@
@remain or stay or sit down@|@uk(i)@
@remember@|@roko@
@Remember or know@|@Roco@
@Rememberance or To Know@|@Guaroco, Guaroco@
@remembrance or know@|@Guaroco@
@remind@|@roko@
@Reward@|@Cacona@
@ribs@|@cha´ala´ato´ob@
@right away@|@se´eb@
@ripe@|@hebe-, jebe-@
@river@|@kau, niken, yake@
@river and hills@|@kanasi@
@river crab@|@Jaiba@
@River Crab or Freshwater Crayfish@|@Jaiba, Jaiba@
@River Fish@|@Dajao@
@river of reeds@|@guasaka esgui@
@River or Body of Water@|@Ama'@
@river or related to river@|@ari@
@rivers and hills@|@kanasi@
@Rolled Tabacco used in the Cohoba Ceremony@|@Cojiba@
@Roof (Maya)@|@U Pol Nah@
@Rooster (Maya)@|@Teel@
@rope@|@kabuya, suum@
@rope for jamakas@|@jiko@
@rope made from a fixed grass@|@dali@
@rope of fixed grass@|@dali@
@rotten@|@toro-@
@Round@|@BO (caps)@
@Round (Maya)@|@Woolis@
@Roundhouse@|@BOhio (Bo-e-o)@
@rub@|@iltin@
@rude person@|@jabato@
@run@|@lete@
@Sacred@|@Cu'@
@Sacred Ceremonial Ball Court or Plaza@|@Batey@
@Sacred Ceremonial Snuff from Cojobana Tree seeds@|@Cohoba@
@Sacred Ceremonial Wooden Rattle@|@Amaraca@
@Sacred Object@|@Cuey@
@sacred people@|@ara´guacu´@
@Sacred Place@|@Cu'@
@Sacred Sea Cow@|@Manati', Manati'@
@sacred secret@|@ku@
@Sacred Temple or Place of Worship@|@Ku'@
@sad about something@|@bisoj@
@salt@|@pamo@
@sand@|@-mothokon, móthoko@
@sandal@|@kotara@
@say@|@a´al, a´alik, aakan@
@Scar@|@Tsoy@
@scarlet macaw@|@kynoro@
@scarlet red@|@Pu@
@Scarlet Red color@|@Pu, Pu@
@sea@|@bawa@
@Sea@|@Bagua@
@sea shell@|@cigua, cobo (trombus giga, lambi), sigua@
@Sea shell trumpet@|@Fotuto@
@seashore@|@pararu@
@see@|@il, ilik@
@Seed (Maya)@|@Neek@
@send@|@tu´ushtik@
@Serpent@|@Boba@
@settle@|@uk(i)@
@settle or camp or dwell@|@uk(i)@
@seven@|@pikicha@
@sfx denotes his or her@|@-si@
@sfx denotes plural@|@-kare@
@sfx denotes the@|@-ma@
@shade of color red@|@Pu@
@shaman@|@pyjai@
@Shame (Maya)@|@Su'tal@
@Shark@|@Tiburon@
@Shave@|@Tsikik@
@she@|@Gua@
@Shifty Eyes. This is an insult between Tainos@|@Buticaco@
@shining@|@tu@
@shirt@|@apeyroa, kooton@
@short puddle@|@nae@
@show or sandal@|@shanab@
@show v@|@e´est, e´estik@
@shrub@|@kayaya@
@shrubby horsetails@|@guibara@
@sick person@|@jipato@
@sick person of the ciguatera@|@ciguato@
@Sieve used to strain the Yuca flower@|@Jibe, Jibe@
@silly person@|@thiguato@
@sing@|@Kai@
@singer in tai´ney ritual@|@samba@
@singing and dancing@|@guateke@
@sister@|@kiik@
@sit@|@ba´latin@
@six@|@mareka@
@skin n@|@oot´@
@skirt@|@bayoke, guayuko@
@Skunk (Maya)@|@Payooch@
@sky@|@tureyro@
@Sky@|@Turey@
@slowly@|@cha´am beelil@
@small@|@(e)ke, (n)uko, eke@
@small being@|@Bibi@
@Small black River Crayfish@|@Cha'gara@
@Small Boat@|@Canoa@
@small canoa@|@kayuko@
@small conoa@|@cayuko@
@small fertile soil@|@conuco@
@small fish@|@gua-tibere@
@Small Gold Jewelry@|@Yari@
@small house@|@bakeke@
@small insect@|@bibijagua@
@Small Land@|@Bieke@
@Small Lighting Bug with blueish light@|@Cocuyo@
@small meadow field@|@maguana@
@small meadow or field@|@Sao@
@small or less@|@(e)ke, biri, kiri, tiri, uko@
@small parrot@|@jujabi@
@Small place@|@Yarabi@
@Small Plain@|@Sao, Sao@
@small quantities@|@chin@
@small red and black fruit@|@pernonila@
@Small Red Bird also called the Guacamayo@|@Ara@
@small sfx@|@beke, neke@
@small skirt@|@bayoke, guayuko@
@small stone@|@ciboruco@
@Small white cotton loincloth worn by Taino men@|@Nagua@
@smoke@|@koréeli@
@snail@|@kowo@
@snake@|@iyola@
@Snake@|@Jujo@
@Snot (Maya)@|@Siim@
@so@|@be´ey@
@soap@|@digo@
@Soft Corn or Sweet Corn@|@Ector@
@Solitary@|@Baracutey@
@solitary for animal or person@|@barakutey@
@something from water@|@Tuna@
@Something Or Anything (Maya)@|@Wa Ba'ash@
@Son@|@Guali@
@Son of Yaya@|@Yayael@
@Sons or Children@|@Guali@
@soon@|@ha´an, se´eb@
@Sound used in emotion or Admiration@|@Ja'@
@soup@|@ya´ach@
@South@|@Nohol@
@speak@|@ahiyaka@
@spice@|@yo´och@
@Spider@|@Guaba@
@spindle@|@kuita@
@Spine (Maya)@|@To'ol A Pach@
@spirit@|@buya@
@Spirit@|@Goeiz, I', Opi'a@
@spirit of a dead person@|@goeiza@
@Spirit of a Dead Person@|@OperI'to@
@spirit of spirits@|@i´ai´a, Y'ay'a@
@Spirit of Spirits@|@Y'aY'a@
@spirit of the night@|@Hupia@
@Spirit of the Sacred Mountain of the Yuca@|@Y'ocahu'@
@Spirit of the Tree@|@Yaya'@
@Spirit of the White Earth Mountain@|@Luki'yo, Luki'yo@
@spirit of the white earth mtn@|@luki´yo, y´u´kei´o@
@spirit or soul in yukahuism@|@opia@
@Spirit or to be active@|@Naniki@
@spring@|@aguey@
@squash n@|@k´u´m, k´u´um@
@squeeze@|@ake´eka@
@stain@|@mana@
@stain or spot or blemish@|@mana@
@stand@|@awoeme´@
@stand (n.)@|@di´namin@
@star@|@oíoa, sirieko@
@state or condition@|@(t)ato, ato@
@stay@|@p´a´atal@
@stew@|@atole@
@stick or harpoon or impale@|@si(j)pi@
@sticky@|@neibowa@
@stone@|@-siban, toepu@
@Stone@|@Ciba@
@stone figure@|@sabao@
@Stone Mountain@|@Cibao@
@storm@|@chich i´ik@
@story@|@tsikbal@
@strainer@|@Jibe@
@strainer for yuka roots@|@thibuka@
@Strong man@|@Carib@
@strong or valient@|@manikato@
@Sub-Chief@|@Nitayno@
@suck@|@nu, soroton@
@suffix abundance@|@ao, O@
@suffix action@|@-a@
@suffix creek or river@|@-abon@
@suffix denotes house dwelling@|@bai@
@suffix for good location@|@ri@
@suffix for place soil or hole@|@ka@
@suffix for possesion function@|@te@
@suffix for small@|@eke, neke@
@suffix for small or less@|@uko@
@suffix that denotes plural@|@no@
@suffix water compound words@|@era@
@Sun@|@Guey, Guey@
@sunset@|@asu@
@supreme god of yukahuists@|@yaya@
@Sweet White Juice from Yuca@|@Anaiboa, Anaiboa@
@Sweet Yuca@|@Boniata, Boniata@
@sweet yucca@|@Boniata@
@sweetness@|@posin@
@swell@|@puena@
@swim@|@baab, thi´min@
@tai´ney ceremonial drum@|@mayouaca´n@
@tail (Maya)@|@Neh@
@taino drum voice of the gods@|@mayohaboa@
@Taino Mestizo for the Guamo@|@Fotuto@
@taino method of farming@|@konuko@
@Taino name for Columbus@|@Guami'ke'ni@
@Taino Spiritual Leader knows plants and spirits@|@Bohiti@
@take@|@apoi@
@talk@|@tzijonik@
@Tall or Big Spirit@|@Ti'@
@teen@|@i@
@teethless@|@Mahite@
@temple@|@kue@
@ten@|@tuma@
@termites@|@komeshen@
@thank you@|@jajom@
@thanks a lot@|@bom matum@
@that@|@moerp, Zi@
@that one@|@tho´ra(j)a@
@that that makes the tide@|@kairi@
@Thatch@|@Bijao@
@the@|@Gua, hi, ka-@
@The@|@to@
@the animals with white spots@|@managuako@
@The Bee Hummingbird@|@Guani, Guani@
@the best@|@Ana@
@The Black Cave@|@Cacibajagua@
@The Cooing Dove@|@Bijirita@
@The Creator or Great Spirit@|@Y'ay'a, Y'ay'a@
@the face@|@guaisiba@
@The fertility Mother@|@Caguana@
@the fruit looks like pumpkin@|@totumo@
@The good purgative@|@Tau-tu'a@
@The Great High Place of the Sacred Waters@|@Ja'tibonicu'@
@The Green Sea Turtle@|@Carey@
@the juice is white@|@Jagua@
@The Juice of the Yuca@|@Veycosi, Veycosi@
@The King or Her Majesty@|@Gua, Gua@
@the Morning Light@|@Bajacu'@
@the most fine flour of yucca@|@katibia@
@the or this@|@ka-@
@The Place@|@Guara@
@the prfx@|@ka@
@The Sacred People origin of the word Arawak@|@Ara'guacu'@
@the second or younger son@|@nibiri@
@The Taino Naming Ceremony@|@Guatiao@
@The Taino Sacred Ceremonial Drum@|@Mayohuaca'n@
@the themi of moon in yucahuism@|@maroya@
@The Turkey@|@Guanajo, Guanajo@
@The white Yuca bread but much thinner@|@Jauja'u@
@them m@|@ili@
@themi of the rain@|@moroyo@
@there@|@iáraja@
@they@|@moshkaero@
@They or Them@|@Li@
@Thing@|@Na, Na@
@Thirsty (Maya)@|@Ukah@
@This@|@Zi@
@This is a word in the Taino womens language@|@Eieri'@
@this one@|@tho´(h)o, tho´(j)o@
@this way@|@Ham Han@
@thou@|@amoero@
@Three@|@Canocum, Yamoca'n@
@Three stringed musical Higuera Gourd Instrument@|@Ja'bao@
@throne@|@Dujo@
@thunder@|@bauba@
@tide@|@iri@
@tie@|@me´@
@tired@|@ka´anan@
@titties@|@-dio, toa@
@titties or breasts sfx@|@dio@
@to be@|@toka@
@to care@|@kabuka@
@to direct@|@isika@
@to fish@|@chuuk kay@
@to give@|@busika@
@to go@|@juaiba@
@to hang the Hamaca@|@Jico, Jico@
@to have or be in a house@|@kasikoan@
@to lead and to head@|@kasike@
@to maintain a house@|@kasikoan@
@to make or build or a building@|@mas(u)@
@to or for@|@kwa@
@to pertain to@|@ey@
@to remember or to know@|@guaroko@
@to stand still@|@teitoka@
@to talk or to say@|@ajiaka@
@Tobacco@|@Tabacu'@
@tobacco and smoking tobacco@|@coiba@
@today@|@behla(e)@
@Toe (Maya)@|@U Yaal A Wook@
@tomato@|@p´aak@
@tomorrow@|@sa´amal@
@tooth@|@ye-@
@tooth prfx@|@ye@
@Toothless or missing any teeth@|@Mahite, Mahite@
@Totem@|@Chemi'n@
@toungue@|@nu-@
@towel@|@cho´obo ha´@
@town@|@iba@
@town or men@|@iban@
@Traditional Dances with spoken historic songs@|@Areito@
@tree@|@sa(h)ka, sa(j)ka, sajka@
@Tree@|@Maca, Yabisi@
@tree and fruit anahuacan@|@sagua, shagua@
@tree of resins for handballs@|@kupey@
@tree or branch or wood@|@sa(j)ka@
@Trinidad's original name@|@Cari'@
@Trumpet@|@Guamo@
@tuma@|@ten@
@turkey@|@Guanajo@
@turtle@|@´a´ak, karamaba@
@twi@|@Jimagua@
@twines@|@Guare@
@Twins@|@Guare, Guare, Jimagua, Jimagua@
@Two@|@Yamoca'@
@two persons that look very much alike@|@Jimagua, Jimagua@
@type of ant@|@bibijagua@
@type of bird@|@pitirre@
@type of black bird@|@chinchilin@
@type of crow bird@|@cao, kao@
@type of fish@|@guabina@
@type of palm tree@|@kana@
@type of potato@|@leren@
@type of potatoe@|@leren@
@type of tuber@|@mapuey@
@type of vine@|@tabuko@
@underbrush@|@manigua@
@unique@|@ikin, ikini, uma@
@up@|@kaewo, kaewonaeka@
@upright@|@pyre@
@uproar@|@guasabara@
@urgent@|@seeb@
@Urinate (Maya)@|@Wiish@
@use for fishin@|@Naiboa@
@used for rowing the Canoas@|@Naje, Naje@
@used to carry things@|@Jaba@
@used to cook Casabe bread@|@Bure'n@
@used to Roast Meat@|@Barbacoa@
@users who purge@|@Tau-tu'a@
@using fire pit and a barbacoa@|@Barbicu'@
@v looking@|@guariken@
@vagina@|@ishi@
@Valiant@|@Ri'@
@valiant of a good heart@|@Manicato@
@valor@|@yauna@
@Valor@|@Ri'@
@valor or something@|@yani@
@variety of the palm tree@|@kana@
@Vegetable@|@Tibisi@
@vegetation@|@k´aash@
@verbalizing suffix existence@|@ba@
@very much@|@-sta@
@village@|@inkayeke, nio´, nio´, yukayeke@
@Village@|@Yucayeke@
@village look out tower@|@barbakoa@
@vine@|@behuko@
@vine used to create bags@|@beshuko@
@Virgin (Maya)@|@Suhuy Paal@
@vomit@|@uweena, uweenata@
@Vomit (Maya)@|@Sheh@
@wading bird@|@bukaro@
@walk@|@e´shtaeme´, ko´nan, we´eto@
@want@|@k´a´at, kushbin@
@war@|@nio´ka´@
@War or Warrior@|@Guazabara@
@warm@|@aesini´, pe@
@wash@|@aete´, kuemi, saewo@
@watch@|@ser(a)@
@watch over or watch for@|@ser(a)@
@watchtower@|@tejieue@
@water@|@es(i), is(i)@
@Water@|@Ni, Ni@
@water flower@|@anani@
@Water Flower@|@Anana, Anana@
@water or liquid@|@is(i)@
@Watermelon@|@Jibiria@
@We@|@Gua'kia@
@weapon in mock battles@|@koa@
@Weave (Maya)@|@Wak@
@welcome@|@mabrika@
@wet@|@keepu, te´keepure@
@what@|@oete', oete´@
@when@|@oete´ yaeko@
@when you say Ouch!@|@Guay@
@where@|@oewe@
@where pertain to@|@ba@
@white@|@guaco, guako, nayo@
@White@|@Yu'@
@White Earth@|@Yuke', Yuke'@
@white juice from yucca@|@Veycosi@
@white tuber@|@yuka@
@white yucca bread much thinner@|@jauja´u@
@who@|@noeke´@
@why@|@aneke@
@Wife@|@Liani, Liani@
@wind@|@ura@
@Wind@|@Hupia, Hupia@
@with@|@-abo, maero@
@with four wings and two light@|@Cucubano@
@with out Begining or End@|@Apito@
@with sfx@|@abo@
@with strong imphasis@|@Wu'a@
@without@|@Ma@
@without a keel@|@Cayuco@
@without clouds@|@maro@
@without eyes@|@maku@
@without merit@|@amayauna@
@witout grandfather or ancestor@|@maorokoti@
@woman@|@inaru, wore´i, worii@
@Woman@|@Warishe@
@woman or spirit of man@|@i´naru´@
@Woman or Spirit of Woman@|@I'naru'@
@Wood Pecker@|@Inriri@
@wood rattle of black capa wood@|@amaraka@
@wooden bowl@|@warikete@
@Work@|@Boria@
@worm@|@orueko@
@Wow!@|@Ja'@
@write@|@dzi´btik@
@ye or yall@|@ame´iyaro@
@year@|@sirieko@
@yellow@|@e´eki, nail, ona@
@Yellow Gold@|@Caona@
@Yes@|@Ham Han, Han@
@You@|@Uara', Uicu'@
@you all or y'all pl you@|@ame'iyaro@
@you come@|@ko´oten@
@younger son or second son@|@ni-biri@
@your highness or most high one@|@matunheri@
@yucahuist belief of a mountain@|@kauta@
@yucca@|@iboa@
@yukahuist greeting@|@taino-ti´@
@yukahuist shamen@|@boiti@

