@English@|@Shimaore@
@hopeless part@|@sawa (ha) sawa@
@horse@|@farasi@
@Hospital@|@Lapitali@
@Hostage@|@Rahani@
@Hour@|@Saa@
@house@|@dago, malago, nyumba@
@House to floor@|@dari@
@how are you all?@|@murendre jeje?@
@how are you?@|@jeje?, urendre jeje?@
@How does that go this morning@|@Habari za asubuhi?@
@How does that go tonight@|@Habari za uku?@
@How does that go tonight?@|@Habari za ujoni?@
@How you go?@|@Habari zaho, urendre jeje?@
@However@|@dhahabu@
@huge necklace@|@kame ya mdjeremani@
@human body@|@mwili@
@humped ox@|@nyombe@
@hundred@|@laki@
@Hundred@|@Mia@
@husband@|@mume, mutru-mme (wa- wa-), wame@
@Hymen@|@Bikira@
@I am well@|@Tsa fetre@
@I came@|@nakoja, tsija@
@I come@|@nisuja, wami uja@
@I didn't come@|@tsaja, tsakoja@
@I didn't go@|@tsaendra, tsakoendra@
@I didn't make@|@tsafanya, tsakofanya@
@I do@|@nisufanya@
@I don't come@|@tsisuja, wami tsija@
@I don't go@|@tsiswendra, wami tsiendre@
@I don't make@|@wami tsifanya@
@I feel dizzy@|@nisiona udu@
@I go@|@niswendra, wami uendra@
@I go to a concert@|@nisendra harimwa konser@
@I had come@|@tsika tsija@
@I had gone@|@tsika tsiendre@
@I had made@|@tsika tsifanya@
@I had not come@|@tsaka naja@
@I had not made@|@tsaka nafanya@
@I made@|@nakofanya, tsifanya@
@I make@|@tsisufanya, wami ufanya@
@I went@|@nakoendra, tsiendre@
@I will come@|@nitsoja@
@I will go@|@nitsoendra@
@I will make@|@nitsofanya@
@I won't come@|@tsitsoja@
@I won't go@|@tsitsoendra@
@I won't make@|@tsitsofanya@
@I would come@|@natsoja@
@I would go@|@natsoendra@
@I would make@|@natsofanya@
@I would not come@|@tsatsoja@
@I would not go@|@tsatsoendra@
@I would not make@|@tsatsofanya@
@identical@|@Sawa@
@idiocy@|@ujinga@
@idiom@|@luga, luha@
@if@|@djeli, nadjeli, nadjeli, nadjeli, nahika, nahika, neka@
@illegitimate@|@Haramu@
@Illicit@|@Haramu@
@illness@|@maradhi, mawade, uwade@
@I'm cold@|@nisiona baridi@
@I'm shivering@|@nisidridrima@
@I'm tired@|@tsilemewa@
@Imam@|@Imamu@
@immediately@|@avasa, kamwe@
@Immediately@|@Kun fayakun@
@imperialism@|@ubeberu@
@important@|@muhimu@
@Impurity@|@Nagise@
@in big number@|@ha wengi@
@in front of@|@mbeli@
@in general@|@Alihaswili@
@in order to@|@ile@
@in peace@|@Salama@
@in sea@|@baharini@
@in summary@|@ha muhtaswari@
@in tatters@|@marandro@
@in the corner@|@kotsoni@
@in the meadow@|@bahoni@
@in the middle of@|@harimwa@
@in the time@|@Zamani@
@in this way@|@ha namna iyo@
@incense@|@ubani@
@indeed@|@Halisi@
@independence@|@uhuru@
@indian@|@muhindi, shihindi, wahindi@
@Inexpensive@|@Rahisi@
@infancy@|@unatsa@
@infidel@|@mahafiri@
@Infidel@|@Kafiri@
@Info@|@Habari@
@injection@|@sindzano@
@ink@|@wino@
@insects@|@bibi, mabibi@
@inside@|@moni, moni@
@instead of@|@adala ya, b'adala ya@
@Instruction@|@Ilimu@
@Insurance@|@Yakini@
@Intelligence@|@Ãkili@
@intelligent@|@hodari, muhodari@
@Intention@|@Kusudi@
@interest@|@faida@
@intestine@|@marumbo, trumbo@
@invitations have been written@|@Rambu pia ziangihwa@
@Invocation@|@Dhikr@
@iron@|@fera ya upasi, upasi nguo@
@is going to give@|@tsi uva@
@is there someone?@|@hodi!@
@islam@|@isilamu@
@island@|@shisiwa, zisiwa@
@it came@|@aja, akoja, aloja@
@it comes@|@aje, asuja, it comes@
@it comes!@|@naje!@
@it didn't come@|@kaja, kakoja@
@it didn't go@|@kaendra, kakoendra@
@it didn't make@|@kafanya@
@it doesn't come@|@kasuja@
@it doesn't go@|@kaswendra@
@it fits her very well@|@imukiri swafi@
@it fits him very well@|@imukiri swafi@
@it frightens@|@isirisidza@
@it goes@|@aendre, aswendra, waye uendra@
@it goes!@|@naendre!@
@it had come@|@aka aja@
@it had gone@|@aka aendre@
@it had not gone@|@kaka aendra@
@it has cooled@|@izilia@
@it hurts@|@isihodza@
@it is all@|@basi!@
@it is bad@|@ina nyongo@
@it is better@|@Afadhawali@
@it is boiled@|@isirohora@
@it is cold@|@ina baridi, vwa baridi@
@it is cooked very well@|@hihivu@
@it is cooked well@|@shihivu@
@it is delicious@|@isijiva@
@it is flavorless@|@kaina shingo@
@it is good@|@ina lada, ya ndjema@
@it is hot@|@ina moro, vwa hari@
@it is in life@|@Hayati@
@it is necessary@|@lazima@
@it is not just@|@tsi haki@
@it is pretty@|@istawi@
@it is rotted@|@igaga@
@it is salted@|@ina shingo@
@it is spiced@|@ina putu, isiwawa@
@it is taken away@|@avingwa na maji@
@it is the dry season@|@lini kusi@
@it is the hot season@|@ini kashkazi@
@it is too acidic@|@ina muhaju swafi@
@it made@|@afanya@
@it makes vomit@|@isiravisa@
@it smells bad@|@isinuka nayi@
@it smells good@|@isinuka fetre@
@it swells@|@isizimba@
@it went@|@aendre, akoendra, aloendra@
@it will come@|@atsoja@
@it will go@|@atsoendra@
@it won't come@|@katsoja@
@it won't go@|@katsoendra@
@it would come@|@atsoja@
@it would go@|@atsoendra@
@it would not come@|@katsoja@
@it would not go@|@katsoendra@
@it's bad@|@kaisi ndjema@
@it's beautiful@|@istawi@
@it's broken@|@imenyeha, ipasuha@
@it's clean@|@irahara@
@it's cold@|@ina baridi, vwa baridi@
@it's cooked@|@ihivu@
@it's delicious@|@isijiva@
@it's difficult@|@ya ndziro@
@it's dirty@|@ina trotro, vwa trotro@
@it's good@|@ya ndjema@
@it's hot@|@ina moro, vwa hari@
@it's hot spicy@|@ina putu@
@it's nice@|@iyo ndzuzuri@
@it's not good@|@tsi fetre@
@it's tasteless@|@ya mbwadza@
@it's tasty@|@ina ladha@
@it's too big for him@|@ya bole ha nguvu na waye@
@it's too small for him@|@ya titi ha nguvu na waye@
@it's torn@|@irandruha@
@it's unripe@|@ya mbitsi@
@jack fruit@|@fenesi, mafenesi@
@jack tree@|@mimufenesi, mufenesi@
@jackal@|@mbwa nyeha@
@jack-fruit tree@|@mfanasi, mifanasi@
@jasmine@|@ãfu@
@jaw@|@tsawa@
@jealousy@|@wivu@
@jeans skirt@|@jipo ya buldjini@
@jeans trousers@|@surwali la burdjini@
@jevi fruit@|@sakuwa@
@Jewelry@|@Hulia@
@jobs@|@zihazi@
@joint@|@shifungo, zifungo@
@joke@|@uBishi@
@journey@|@misafara, musafara@
@Joy@|@Furaha@
@jujube tree@|@mizakwa, msakwa@
@july@|@jwiye@
@june@|@jwî@
@Justice@|@Haki@
@kapok tree@|@mimupambafuma, mupambafuma@
@kebab@|@mishakiki, mshakiki@
@kidney@|@ntso@
@kills it@|@muwule!@
@kind@|@ema, ndjema@
@kinder garten@|@materneli@
@king@|@mufalme, wafalme@
@kitchen@|@banga la upishia, mabanga.@
@Kitchen utensils@|@Zombo za bangani@
@knead@|@usinya@
@knee@|@dondro, gunguno, magunguno, malondro@
@knickers@|@kiloti@
@knife@|@masembeya, sembeya@
@know@|@-jua@
@knowledge@|@ujuzi@
@Kofu@|@Marble@
@laboratory@|@labratwari@
@ladder@|@ulingo@
@ladle@|@sadu@
@lady@|@bibi, mabibi.@
@lady's trousers@|@surwali la mutru-mama@
@lake@|@dzia@
@Lamp to oil@|@Gandile@
@land@|@shandza, zandza@
@language@|@luha, maulimi, ulime, ulimi@
@Language@|@Lugha@
@large@|@mupana@
@last pick@|@ulitima@
@last year@|@mwaha jana@
@laugh@|@utseha@
@laughter@|@utseha tsi-tsehe@
@Law@|@Sharia@
@lay the table@|@uhodza latabu@
@leaf@|@mani, wani@
@learn@|@-fundriha, -soma@
@learn by heart@|@-twali, twali (u -)@
@learn dancing@|@ufundriha uzina@
@leave@|@-lawa@
@leg@|@mindru, mundru@
@Legends@|@Kitabi@
@lemon@|@ndrimu@
@lemur@|@komba@
@lentils@|@tsandzi@
@Leper@|@Mwenefu@
@lesson@|@Misomo, musomo (mi-)@
@let's come!@|@narije !@
@let's go!@|@haya !, nariendre !@
@let's make!@|@narifanye !@
@let's not come!@|@risije!@
@let's not go!@|@risiendre !@
@let's not make!@|@risifanye !@
@letter@|@mabarua@
@Letter@|@Barua, Harafu@
@level@|@baho, daradja@
@liar@|@wanafiki@
@Liar@|@Munafiki@
@liberation@|@ukombozi@
@Liberty@|@Huri, Nafasi@
@Licit@|@Halali@
@Life@|@Maesha@
@light@|@-patsa, menge, menge, mwenge, Nuru@
@light blue@|@bile kayahiva, maingu@
@light green@|@malavu maitsi, mani maitsi, mrututu kayahiva@
@light mat@|@dalo, malalo@
@lightnings illuminate the sky@|@Peni zayamayama@
@like themselves one the other@|@uvendzana@
@Limbs@|@Ziga@
@lime@|@ndrimu monye, vubara@
@limit@|@Ãlama, mipaka, mupaka@
@Limit of the village@|@Burdaji@
@Lined masculine@|@Naswaba@
@lion@|@simba@
@lip@|@domo, malomo@
@lipstick@|@mlala (mi-)@
@liquid eraser@|@blanko@
@listen@|@-kia, -vulikia, uvulikia@
@lit the fire@|@uvudza moro@
@litchi@|@litshi, militshi, mlitshi@
@little brother@|@mwanananya mtiti, wamwanananya mtiti@
@little finger@|@sha ya pwitsi, ya mwana@
@liver@|@nye@
@living@|@hayi@
@living room@|@fuko la wadjeni@
@lizard@|@ngizi, ngwizi@
@loafer@|@fenyã@
@lock@|@shitasa, zitasa@
@locust@|@mavandzi, pandzi@
@loincloth@|@shitamba, zitamba@
@loincloth for women@|@saluva@
@loincloth of man@|@shikoi, zikoi@
@lombar region@|@shihoho, ziholo@
@long@|@ndrile@
@long sleeve shirt@|@shemizi ya mihono miundra@
@look at@|@-ngalia@
@looking glass@|@shido, zido@
@Lord@|@Rabbi@
@loss@|@upotevu@
@Loss@|@Hasara@
@louse@|@ndra@
@love@|@mahab'a@
@Love@|@Mahaba@
@low tide@|@maji ya utsini, maji yahaya, maji yavo@
@lower@|@utsini@
@lower lip@|@domo la utsini@
@lubricates@|@matra@
@Luck@|@Bahati@
@lung(s)@|@pumu@
@lute@|@gabusi@
@machete@|@mimupanga, mupanga, shombo@
@machete with hook@|@shombo gori@
@machete without hook@|@shombo pidja@
@mackerel@|@hanale@
@mahorais@|@mumaore, shimaore, wamoare@
@Mahorese@|@shimaore@
@maize@|@mirama, murama@
@make@|@ufanya@
@make an effort!@|@fanya djitihadi!@
@Make beautiful dreams!@|@Ndzozi ndjema!@
@make drink@|@nosa (u -)@
@make love@|@-heana@
@make the bed@|@uhodza shitrandra@
@make!@|@fanya !, namufanye!@
@malagasy language@|@shibushi@
@malaria@|@ndrerema@
@male@|@ndrume, ume@
@male nurse@|@zãfurmie@
@man@|@bwana, mabwana, mutru-baba, wamutru-baba@
@man (1)@|@watru-baba@
@Man who represents@|@Wakala@
@manage to distribute some card@|@upanga@
@mandarin@|@balandzi, mabalandzi@
@mandarin tree@|@milanzi, miubalandzi, mlanzi, mubalandzi@
@mango@|@manga@
@mango tree@|@mimanga, mimumanga, mumanga@
@mangrove@|@mimuhôko, muhôko, muhõko@
@mangrove swamp@|@muhõko@
@man's robe@|@kandzu@
@many@|@engi, nyengi@
@Marble@|@kofia@
@march@|@marsi@
@market@|@bazari@
@marlin@|@dziwaro, mbasi manyo@
@marriage@|@ndrola@
@Marriage@|@arusi, Harusi@
@marriage certificate@|@mafungidzo@
@marriages are announced@|@Harusi zilalihwa@
@mascara@|@gwena la ntsi@
@match@|@dangadzo, malangadzo@
@maternal aunt@|@zena@
@maternity ward@|@maternite@
@maths@|@hisabu@
@mattress@|@godoro, madoro, mgodoro@
@may@|@me@
@maybe@|@labda, mkini@
@Maybe@|@Mukini@
@Mbouzi island@|@shisiwa ya komba@
@me@|@nor, wami@
@Me I leave I don't go far@|@Wami nisilawa tsisendra mbali@
@meaning@|@maana yahe trini@
@measure@|@shibaba, zibaba@
@measure off@|@uvimisa@
@meat@|@nyama@
@meat pilaw@|@pilau ya nyama@
@medicine@|@dalao, malalao@
@melon@|@trango@
@member@|@shiga, ziga@
@Men's clothes@|@Nguo za watru-baba@
@metal@|@shuma, zuma@
@mice@|@marutri, trutri@
@microphone@|@mikro@
@middle finger@|@sha ya hari@
@midwife@|@mudzalisa, wamudzalisa@
@mildly@|@volevole@
@milk@|@dziya@
@minaret@|@minara, Munara@
@mince@|@utahani@
@mini skirt@|@jipo kutri@
@minister@|@mawaziri@
@Minister@|@Waziri@
@Minute@|@Dakika@
@Miser@|@Mubahilifu@
@misfortune@|@Mashaka@
@Misfortune@|@Nuhusi@
@Misfortunes@|@Mashaka@
@mix@|@utsanganisa@
@Modesty@|@Haya@
@mom@|@mama, wamama@
@moment@|@miuda, Wakati@
@Moment@|@Muda@
@monday@|@mufumoraru@
@money@|@fedha, marike@
@Money@|@Feda@
@monkey@|@djakwe, madjakwe, shita@
@moon@|@mezi, mwezi@
@mop@|@utria serpyeri@
@moral wound@|@djaraha, madjaraha@
@more@|@raha, zaidi@
@more or less@|@kadiri@
@more that@|@raha na, zidi@
@More to think about something@|@uTuruku@
@Morning@|@Asubuhi@
@mortar@|@shino, zino@
@moslem religious feast@|@idi fitri idd-el-fitr el, idi hadji idd-el-hadj el@
@mosque@|@mikiri@
@Mosque@|@Mukiri@
@mosquito@|@dundri, manundri, mbu@
@mosquito net@|@mustakera@
@mother@|@mama, wama@
@mother-in-law@|@nyadza@
@mountain@|@milima, mulima@
@Mourning@|@Muswiba@
@mouse@|@shikwetse, zikwetse@
@mouth@|@hanyo@
@move while dancing@|@udjidungisa@
@mtsolola with fish@|@mtsolola ya fi@
@mtsolola with meat@|@mtsolola ya nyama@
@murene@|@muhunga@
@music@|@miziki@
@Musical instruments@|@Zombo za muziki@
@muslim's hat@|@kofia ya mkirini@
@mute@|@bubu, mabubu@
@mutton curry@|@mtsuzi wa baribari@
@muzzle@|@hanyo@
@my@|@angu, angu, langu, yangu, zangu@
@nail@|@kofu, mahofu, mizumari, mizumari., mshumari, mushumari@
@name@|@dzina, madzina@
@name the child@|@uva dzina mwana@
@narrow@|@ambamba, mwambamba@
@natural child@|@mwana haramu@
@navel@|@truju@
@neck@|@tsingo, tsingo@
@need@|@hadja@
@neighbor@|@Djirani, madjirani@
@Neighbor I commission you@|@Djirani nisihulagidza@
@Neighbor me I count on you@|@Djirani wami tsihutama@
@Neighbor supervises the house@|@Djirani angaliya fetre nyumba@
@Neighbors@|@Djirani@
@nervous@|@wahara@
@Nervous@|@Muhara@
@nest@|@kara makara@
@new@|@Habari, mpia, shendra@
@new pupil@|@muvia, wamuvia@
@newspaper@|@gazeti, magazeti@
@next to last pick@|@ambulini@
@next week@|@mufumo ujao@
@night@|@mauku, uku@
@night dress@|@robo ya ulala@
@Ninety@|@Tuswini@
@ninth@|@shendra@
@No problem@|@Salimina@
@Noble@|@Kabaila@
@non mature@|@mbitsi@
@nor@|@wala@
@nor... nor...@|@tsi..... wala tsi...@
@nor.... nor.....@|@tsi............ tsi......@
@North@|@Kibula@
@nose@|@pua, reeks@
@nose pin@|@shipini@
@nostril@|@pembe@
@not dear@|@Rahisi@
@Not very well@|@Mwedeli@
@november@|@novambru@
@nuary@|@jãvye@
@nutmeg@|@kungumanga@
@nutmeg tree@|@mikungumanga, mkungumanga@
@o be disdained@|@onewa (u -)@
@oar@|@kasi@
@obey@|@vulikia (u -)@
@Obeying@|@Mutawa@
@object@|@shitru, zitru@
@obligation@|@mashartwi, shartwi@
@Obligation@|@Farudhwu@
@ocean@|@bahari@
@october@|@oktobru@
@octopus@|@pwedza, pwedza@
@Odor@|@Arufu@
@of the cars@|@magari@
@of the children@|@wana@
@of the hands@|@mihono@
@Offering@|@Swadaka@
@official@|@rasmi@
@Often@|@Dahari@
@oil@|@matra@
@oil sauce@|@mtsuzi wa matra@
@ointment@|@pomadi@
@okay@|@afikana@
@old@|@mzee, wazee@
@old age@|@ubakoko, uduhazi@
@ombrine@|@gawa@
@omelet@|@shandra@
@on@|@ju@
@on the floor@|@votsi@
@on the left@|@-a potroni@
@on the other strand@|@nyambo@
@on the right@|@kumeni@
@on the whole@|@ha djumla@
@once@|@zama za hale, zama za hauls@
@one@|@moja@
@One quarter@|@robo@
@one thousand@|@alfu@
@One thousand@|@Alifu@
@one-armed person@|@gudu muhono@
@one-legged person@|@gudu mundru@
@oneself@|@gorge@
@onion@|@shirungu, shurungu@
@only@|@weke@
@only God knows it@|@Ajuwao Mungu@
@open@|@-bua, wadzi@
@operating theater@|@bloku@
@operation@|@operate, opere@
@ophtalmologist@|@duktera wa matso@
@opinion@|@mashauri, shauri@
@opportunity@|@furswa@
@orange@|@dzindzano lahiva, marundra, trundra@
@orange tree@|@mimurundra, murundra@
@order@|@amri@
@organ@|@shombo sha mwili, zombo sha mwili@
@Organs@|@Zombo za mwili@
@oriental carpet@|@tapi@
@Origin@|@Ãsili@
@Orphan@|@Yatima@
@otherwise@|@ha namna yangina@
@our@|@atru, yatru, zatru@
@outside@|@mondze@
@owl@|@bundri, bwindri (ma-)@
@owner@|@mwenyewe, wenyewe@
@packet of seeds@|@ndrazi@
@page@|@shikandre, zikandre@
@pain@|@shikodzo, shinamna, utungu, zikodzo@
@paint@|@-vaha, range@
@pair of tights@|@kolan@
@palm of the hand@|@djandza, mapi ya muhono, mdjandza, muhono@
@palm tree@|@mimurendre, murendre@
@pancake@|@mihare, muhare@
@pancake spiced@|@beredre@
@pancake with chilli@|@beredre@
@pants@|@slipu@
@papaya@|@mapapaya, mapwapwaya, papaya, pwapwaya@
@paper@|@karatasi, makaratasi@
@parakeet@|@kararauki@
@parent@|@mudzade, wudzade@
@Parents@|@Mudjema@
@parrot@|@kasuku@
@Part that falls to each@|@Riziki@
@partition@|@mavesi, pesi@
@Pastry@|@halua@
@patient@|@mustahamilifu, wastahamilifu@
@pawpaw@|@mimupapaya, mupapaya@
@pay attention@|@-fahamu@
@pay attention !@|@fahamu !@
@pays@|@banki@
@peace@|@amani@
@peach tree@|@ulowa tsi-lowo@
@peacock@|@tausi@
@pearl@|@lulu@
@peel@|@uhua@
@Peg@|@Shiki@
@pen@|@sitilo@
@Pen@|@Kalamu@
@pencil@|@Kalamu, kireyo@
@pendulum of dugout@|@gandro, magandro@
@penetrate@|@ngia (u -)@
@penis@|@mbo@
@Penis@|@Dhakari@
@people@|@mutru, Watru@
@pepper@|@maputu, putu, putu, vili vili@
@peppers@|@vilivili@
@percussion@|@kayamba@
@perfume@|@Arufu, harufu@
@Perfume@|@Marashi@
@periwinkle@|@trondro@
@permission@|@ruhusa@
@Perplexed@|@uShabwa@
@Personality@|@Nafusi@
@perspiration@|@hari@
@pestle@|@mutsi@
@pet@|@pipisi, shushu, shushu, tirkwazi@
@pharmacy@|@bwati ya farmasi, farmasi@
@pharmasy@|@bwati ya@
@physician@|@matwabibu, twabibu@
@physics@|@fiziki@
@pick up@|@-pua@
@pickaxe@|@lapiki@
@pickles@|@tshari, tshari@
@piece of coral@|@shimamba@
@piece of paper@|@karatasi@
@pig@|@mavuruku, puruku@
@pigeon@|@ndiwa@
@pillow@|@mimutsao wa ulala, mutsao wa ulala@
@pineapple@|@mananasi, nanasi@
@pink@|@mawa@
@piss@|@-nya kojo@
@Pitied@|@uShitak@
@place@|@mitsa, mutsa, vahanu@
@placenta@|@dzao@
@plain@|@bandra, mabandra@
@plait@|@-suka@
@plait hair@|@usuka nyole@
@plane@|@aeroplani, ãvio@
@plant@|@-tabu@
@plantain@|@mtsolola@
@plantains in coconut milk@|@trovi ya nadzi@
@plants@|@mimea@
@plaster@|@pasima@
@plastic@|@mipira, mupira@
@plate@|@sahani@
@plate hair@|@usuka@
@play@|@ungadza@
@play the tambourine@|@urema tari@
@please@|@ujivisa@
@Please the afternoon@|@Alb'swiri@
@Please the dawn@|@Alifadjiri@
@Please the night@|@Alesha@
@pleases you@|@tafadhali@
@Pleasure@|@Ladha@
@pliers@|@shamburu, zamburu@
@Point of honor@|@ufania ãri ata@
@Poison@|@Sumu@
@poison for the fishing@|@uruva@
@police@|@mavolisi, polisi@
@Politics@|@Siyasa@
@pomegranate@|@trundra LA pevoni@
@pomegranate tree@|@mimurundra-pevoni, murundra-pevoni@
@Poor@|@Fukara, Masikini@
@pork@|@mavuruku, puruku@
@Port@|@Bandari@
@pot@|@nyungu@
@potato@|@pumditera@
@Potato@|@batata@
@pour@|@utria@
@poverty@|@usikini@
@prawn@|@kamba, kamba@
@prayer mat@|@miswala, muswala@
@prayer of the sunset@|@west maharibi@
@Precisely@|@Halisi@
@prefect@|@mgalidzi, wagalidzi@
@pregnancy@|@mimba@
@Pregnancy@|@Hamili@
@pregnant of the village@|@Burdaji, maburdaji@
@prejudiced@|@ujudziwa@
@Preparation of a dead@|@uKafani@
@prepare fish@|@ufanya fi@
@prepare oneself@|@udjirengeledza@
@president@|@maraisi, raisi@
@President@|@Ray@
@Price@|@Thamani@
@Price to pay@|@Kima@
@pricks@|@shipaza@
@primary school@|@likoli bole@
@printed cotton fabric@|@shiromani, ziromani@
@problem@|@taãbu@
@Product of the flight@|@Riba@
@Profit@|@Tanafu@
@progress@|@maendreleo@
@project@|@mipango, mupango@
@promise@|@mikataba, mukataba@
@Promise@|@Wahadi@
@pronged brush@|@miswaki, muswaki@
@Property@|@Shirika@
@prostitute@|@masusu, susu@
@Prostration@|@Raka@
@prune@|@zambarao@
@prune tree@|@misambarawo, mzambarawo@
@pubes@|@shinana, zinama@
@Pubescent@|@uBalighi, uBalihi@
@pumpkin@|@marango, trango@
@pupil@|@mwana-shioni, mwanashioni, wana-zioni, wanazioni@
@purchaser@|@mununuzi, wanunuzi@
@pure@|@Halali@
@purple@|@zambarao@
@push chair@|@gari la mwana@
@put a ring@|@utria pere@
@put henna@|@utria ina@
@put in the oven@|@utria bakoni@
@put lemon@|@utria ndrimu@
@put on lipstick@|@utria mlala@
@put to dry in the sun@|@uhaniha@
@quality@|@kalite@
@quarter@|@robo@
@question@|@suala@
@quickly@|@mbio@
@Quickly@|@Haraka@
@quiet@|@shwari@
@quiet sea@|@maji yatruliya@
@quietly@|@taratibu@
@rabbit@|@lape, sungura@
@racism@|@ubaguzi wa rangi@
@radio set@|@radio@
@rain@|@vua@
@rain coat@|@kapisho@
@rain fell@|@Ivwa yashuka@
@rainbow@|@mikakamba, mukakamba@
@raise@|@uhedza@
@rake@|@rato@
@ramadan@|@ramadhani@
@rank@|@Safu@
@raphia@|@mivangati, mvangati@
@rare@|@Shashi@
@rat@|@mavuhu, puhu@
@ravven@|@gawa@
@ready@|@tayari@
@rear grandmother@|@dada, madada@
@Reason@|@Sibabu@
@reclamation is unmanageable@|@Zitsenga zashilidza@
@Recommendation@|@Wasia@
@Reconciliation@|@Suluhu@
@recovery@|@shikali@
@red@|@ndzukundru@
@red clay@|@d'ongo, malongo@
@red mullet@|@ndiashe@
@red pepper@|@putu@
@reef@|@mwamba@
@refuse bin@|@pubeli@
@reheat@|@-helesedza@
@relationship@|@udjama@
@relative@|@mdjemaza, wamdjemaza@
@Religion@|@Dini@
@religious feast@|@daira@
@remove@|@utoa@
@remove dirt@|@utoa trotro@
@remove from the sun@|@uhanua@
@remove nail polish@|@utoa verni@
@remove the earrings@|@utoa kavi@
@repeat@|@-regea@
@Replete@|@ukura@
@republic@|@djamhuri@
@Repudiation@|@twalaka@
@Reservoir@|@Birika@
@respect@|@Adabu, Adhabu@
@Responsible@|@Dhwamana@
@Ressuciter@|@uBaathwi@
@rest@|@uvumua@
@results@|@mavuna@
@Resurrection@|@Kiyama@
@revise@|@utwali@
@rhythmic religious song@|@deba@
@rib@|@mbavu@
@rice@|@ntsohole, tsohole@
@rice crust@|@pangu@
@rich@|@matadjiri@
@Rich@|@Tadjiri@
@Rifle@|@Bunduki@
@ring@|@pere@
@ring finger@|@sha ya pere@
@ripe banana@|@masindza, sindza@
@ripe mango@|@djoro@
@river@|@miro, muro@
@road@|@mavare@
@roast@|@uoha@
@roof@|@mautro, plafõ, utro@
@roof made of concrete@|@banara@
@roofing@|@utro@
@rook@|@kwai, mahwai@
@room@|@fuko (ma-), mafuko@
@rooster@|@koko@
@root@|@mizi, mwizi@
@Rosary@|@Tasbwiri, Uradi@
@round chain@|@sheni ya buruburu@
@round fritter@|@donasi, madonasi@
@row@|@ukasi@
@royalty@|@ufalume@
@rubber@|@tshari@
@ruler@|@regili@
@runaway@|@mutoro, watoro@
@Rupture of the fasting@|@Futari@
@Sadness@|@Hamu@
@saffron@|@dzindzano, zaãfarani@
@sailboat@|@baanzi@
@Saint@|@Wali@
@salad@|@saladi@
@salary@|@mishahara, mushahara@
@saliva@|@mare, ure@
@salt@|@shingo@
@sambussa@|@sambusa@
@sand@|@mutsanga@
@sandal wood@|@msindzano@
@sardine@|@sardini@
@Satan@|@Shetwani@
@satisfied@|@ukura@
@saturday@|@mufumotsi@
@sauce@|@mitsuzi, mutsuzi@
@savagery@|@ushendzi@
@saves@|@akiba@
@saw@|@mimushari, mushari@
@say@|@-rongoa@
@say nothing about you!@|@tshipu!@
@scale@|@uvala@
@scale the fish@|@utoa mamba@
@scarf@|@mharuma@
@School@|@Darasa, Likoli@
@school teacher@|@fundi-likoli@
@School things@|@Zitru za likoli@
@scissors@|@makasi@
@scorpion@|@hala, nge@
@scream of astonishment@|@amma!@
@screen@|@mistakera, mustakera@
@sea@|@bahari@
@Sea animals@|@Zinyama za baharini@
@sea water@|@maji ya shingo@
@sea weed@|@jani, majani@
@seal@|@mbia@
@search ideas@|@uzunguha fikira@
@season of rains@|@kashikazi@
@season of rains calmed itself@|@Kashikazi yatrulia@
@second@|@vili@
@second master@|@mwongozi wa vili@
@second prayer@|@Adhuhuri@
@second-hand clothes@|@masaha, saha, tsahaya, tsahaya@
@Secret@|@Siri@
@Section of the Qur'an@|@Djuzu@
@sedative@|@dalao, malalao@
@see themselves one the other@|@uonana@
@seed@|@tso@
@selfishness@|@ubinafsi@
@semen@|@maure, ure@
@Sent@|@Rasul@
@september@|@septambru@
@serum@|@siromu@
@serve the dishes@|@uvahua shahula@
@serve the meal@|@uvahua@
@set of jewellery@|@dayiyo@
@seven@|@saba, seti@
@seventh@|@saba@
@seventy@|@sabwini@
@shade@|@mivuli, muvuli@
@shampoo@|@shampoin@
@shark@|@mpãpa, papa, pãpa, papa bingusi@
@shark with spices@|@pampa ya masala@
@shave@|@-mea ndrevu@
@shaver@|@razwari@
@shawl@|@kishali@
@she didn't make@|@kakofanya@
@she does@|@asufanya@
@she doesn't come@|@waye kaja@
@she doesn't go@|@waye kaendre@
@she doesn't make@|@waye kafanya@
@she had made@|@aka afanya@
@she had not come@|@kaka aja@
@she had not made@|@kaka afanya@
@she has given birth@|@adza@
@she has recovered@|@avono@
@she is burried@|@adzihwa@
@she is calm@|@atrulia@
@she is dead@|@afu@
@she is ill@|@a muwade@
@she is out@|@alawa@
@she knows how to dance@|@waye ujua uzina@
@she made@|@akofanya@
@she makes@|@waye ufanya@
@she sways well@|@asidungisa fetre@
@she will make@|@atsofanya@
@she won't make@|@katsofanya@
@she would make@|@atsofanya@
@she would not make@|@katsofanya@
@sheep@|@baribari, mabaribari@
@sheep farmer@|@mutsunga baribari@
@sheet@|@dara@
@shellfish@|@kombe, mahombe, trundru@
@shirt@|@shemizi, shimizi, zimizi@
@Shirt@|@Kamis@
@shit@|@-nya madzi@
@shoe@|@goshi, magoshi@
@short@|@mkutri@
@Short stick@|@muswaki@
@shoulder@|@bega, mabega, mbega@
@shout@|@ulatsa keme@
@shower@|@dushu@
@Shroud@|@Bafuta@
@shuffle the cards@|@ubwati@
@shyness@|@Haya@
@sibling@|@mwanananya, wamwanananya@
@sick@|@mwabe, wabe, wawabe@
@sick person@|@muwade, wamuwade@
