@English@|@Brazilian Portuguese@
@escape@|@fuga, saída (água, gás)@
@escape goat@|@bode expiatório@
@escapee@|@foragido@
@escapist@|@escapista@
@escarole@|@escarola@
@escort@|@escolta@
@Eskimo@|@esquimó@
@esophagus@|@esôfago@
@ESP (Enhanced Serial Port)@|@ESP@
@espionage@|@espionagem@
@essay@|@ensaio, prova@
@essayist@|@ensaísta@
@essence@|@âmago, essência, substância@
@essential@|@essencial, indispensável, substancial@
@establishment@|@governo, instituição, organização, validação@
@estate@|@bens, espólio, fazenda, legado, patrimônio@
@Estate Plan@|@Plano de Patrimônio (seguro)@
@esteem@|@consideração, estima@
@esthetics@|@estética@
@Esthonia@|@Estônia@
@estimable@|@apreciável, avaliável, estimável@
@estimated time of arrival(ETA)@|@data aproximada da chegada@
@estimated time of departure@|@data aproximada da saída@
@estimation@|@avaliação, estimativa@
@estimator@|@avaliador, estimador@
@estuary@|@esteiro, estuário@
@etc.@|@etc.@
@etcetera@|@et cetera@
@ETD@|@data aproximada da saída@
@eternal@|@eterno, imortal@
@eternity@|@eternidade, imortalidade, perenidade, perpetuidade@
@ethane@|@etano@
@ether@|@éter@
@ethereal@|@etéreo(a)@
@ethic@|@ética, moral@
@ethical@|@ético, moral@
@ethics@|@ética@
@ethnic@|@étnico, pagão@
@ethnocentrism@|@etnocentrismo@
@ethnologist@|@etnologista@
@ethnology@|@etnologia@
@etiquette@|@cerimonial, etiqueta, praxe@
@eucalyptus@|@eucalipto@
@Eucharist@|@Eucaristia@
@eudaimonism@|@eudemonismo@
@eugenics@|@eugenia@
@eulogistic@|@eulogístico@
@eulogy@|@elogio@
@euphemism@|@eufemismo@
@euphoria@|@euforia@
@Euphrates@|@Eufrates (rio)@
@Eurasia@|@Eurásia@
@Euro@|@Euro (moeda da União Européia)@
@Europe@|@Europa@
@European@|@europeu@
@European Union@|@União Européia@
@eutectic@|@eutético@
@euthanasia@|@eutanásia@
@evacuation@|@evacuação, retirada@
@evaluation@|@apreciação, avaliação, estimação, estimativa@
@evanescence@|@evanescência, fugacidade@
@evanescent@|@evanescente, fugaz@
@evangelical@|@evangélico@
@evasion@|@evasão@
@evasive@|@ambíguo, evasivo@
@eve@|@véspera@
@even@|@chato, igual, liso, mesmo, par, plano, quite@
@even minded@|@calmo, sereno@
@evenfall@|@crepúsculo@
@evening@|@anoitecer, noite@
@evening dress@|@vestido de noite@
@evening gown@|@vestido longo@
@evening wear@|@e, roupa de noite, traje noturno@
@evenness@|@igualdade, lisura, regularidade@
@evensong@|@vésperas@
@event@|@acontecimento, caso, evento, fato, ocorrência@
@event tree@|@árvore de eventos@
@event tree analysis@|@análise de árvore de eventos@
@eventful@|@acidentado, importante, significativo@
@eventual@|@eventual, final@
@eventuality@|@casualidade, eventualidade@
@eventually@|@eventualmente, finalmente@
@ever@|@constantemente, em qualquer momento, eternamente, sempre@
@ever and anon@|@de quando em quando@
@ever since@|@depois que, desde então@
@ever since the world began@|@desde que o mundo é mundo@
@evergreen@|@perene@
@everlasting@|@perpétuo@
@every@|@cada, todo@
@every man for himself@|@cada um por si@
@every now and then@|@constantemente@
@every other day@|@dia sim dia não@
@every time@|@toda vez@
@everybody@|@cada qual, todo mundo, todos@
@everyday@|@comum, cotidiano, diário@
@everyone@|@cada qual, todos@
@everything@|@tudo@
@everywhere@|@em todo lugar, por toda a parte@
@eviction@|@ação de despejo, despejo, expulsão@
@evidence@|@evidência, indício@
@Evidence of Insurability@|@evidência de segurabilidade@
@evident@|@claro, evidente, manifesto, óbvio@
@evil@|@mal, maldade, malvado, mau@
@evildoer@|@malfeitor@
@evitable@|@evitável@
@evocation@|@evocação@
@evolution@|@desenvolvimento, evolução@
@evolutionary@|@evolucionário, evolutivo@
@evolutionism@|@evolucionismo@
@ewe@|@ovelha@
@ex@|@local de aplicação da cotação, sem (finanças)@
@ex factory@|@na fábrica@
@ex warehouse@|@no armazém@
@exact@|@certo, correto, exato, justo, pontual, preciso@
@exacting@|@exato, exigente@
@exactly@|@à risca, exatamente, precisamente@
@exactness@|@exatidão, pontualidade, precisão@
@exaggeration@|@encarecimento, exagero, excesso, intensificação@
@exam@|@exame@
@examination@|@estudo, exame, inspeção, pesquisa@
@example@|@exemplo@
@exaptation@|@exaptação@
@exasperating@|@exasperante, incômodo, irritante@
@exasperation@|@exasperação, ira, irritação, raiva@
@exato@|@certo@
@excavation@|@escavação@
@exceeding@|@excelente, excessivo@
@excellence@|@excelência@
@excellent@|@do caralho (vulgar), eminente, excelente, ótimo@
@excellent dancer@|@pé-de-valsa (coloquial)@
@except@|@a menos que, afora, exceto, senão@
@exception@|@exceção@
@exceptional@|@excepcional@
@exceptionally@|@excepcionalmente@
@excerpt@|@excerto@
@excess@|@excesso@
@excessively fond of@|@tarado(a)@
@exchange@|@câmbio, permuta, títulos, troca@
@exchange broker@|@cambista, corretor de câmbio@
@exchange bureau@|@casa de câmbio@
@exchange commitment@|@compromisso cambial@
@exchange market@|@mercado de câmbio@
@exchange ratio@|@taxa de câmbio@
@exchange transaction@|@operação de câmbio@
@exchangeability@|@permutabilidade@
@exchanger@|@cambista@
@exchequer@|@erário, fazenda pública@
@excise@|@imposto, taxa@
@excitable@|@excitável@
@excitement@|@excitação@
@exclamation@|@exclamação@
@exclamation mark@|@ponto de exclamação@
@excluded middle@|@terceiro excluído@
@exclusion@|@exclusão@
@Exclusion Rider@|@Anexo de Exclusão (seguro)@
@exclusive@|@exclusivo, privativo@
@excommunication@|@anátema, excomunhão@
@excoriation@|@esfoladura@
@excrement@|@excremento, fezes@
@excretion@|@evacuação, excreção@
@excursion@|@excursão, passeio@
@excuse@|@apologia, desculpa, escusa, perdão@
@ex-dock@|@na doca@
@execrable@|@detestável, execrável@
@execution@|@execução@
@executioner@|@algoz, carrasco, executor@
@executive@|@executivo@
@executive officer@|@diretor@
@executor@|@testamenteiro@
@exemplar@|@exemplar, modelo@
@exemplary@|@exemplar, modelar@
@exempt@|@exemplo, isento, pessoa privilegiada@
@exempt from@|@isento de@
@exemption@|@dispensa, franquia, imunidade, isenção@
@exercise@|@exercício@
@exercise book@|@caderno@
@exhalation@|@exalação@
@exhaust@|@descarga, escapamento@
@exhaustion@|@esgotamento, exaustão@
@exhibit@|@evidência, objeto em exposição@
@exhibition@|@exibição, exposição@
@exhibitor@|@exibidor, expositor@
@exhilaration@|@entusiasmo, euforia@
@exhortation@|@exortação@
@exhumation@|@exumação@
@exiguity@|@exigüidade@
@exile@|@exílio@
@ex-interest@|@sem juros@
@existence@|@existência@
@existent@|@atual, existente, presente@
@existential@|@existencial@
@existential import@|@implicação existencial@
@exit@|@saída@
@exodus@|@êxodo@
@exoneration@|@defesa, justificação@
@exorbitance@|@exorbitância@
@exorbitant@|@exorbitante@
@exotic@|@estranho(a), exótico@
@expanse@|@amplidão, área, extensão@
@expansion@|@expansão@
@expansion card@|@placa de expansão@
@expansion coefficient@|@coeficiente de expansão@
@expansive@|@expansivo@
@expectance@|@espera@
@expectancy@|@antecipação, expectativa@
@expectation@|@esperança, expectativa@
@expected utility@|@utilidade esperada@
@expected value@|@valor esperado@
@expedient@|@expediente, meio, recurso@
@expedition@|@expedição@
@expeditionary@|@expedicionário@
@expeditious@|@despachado, eficiente, expedito@
@expenditure@|@consumo, despesa, dispêndio@
@expense@|@custo, despesa, dispêndio, gasto@
@expensive@|@caro, custoso, dispendioso, precioso@
@experience@|@experiência, prática@
@experiment@|@experiência, experimentação, experimento@
@experimental@|@experimental@
@expert@|@craque, especialista, experto, perito@
@expired@|@sem validade, vencido@
@expiry@|@término, vencimento@
@expiry date@|@data do vencimento@
@explanation@|@esclarecimento, explanação, explicação@
@explicable@|@explicável@
@explication@|@explanação@
@explicit@|@explícito@
@exploit@|@façanha, feito, proeza@
@explorer@|@desbravador, explorador@
@explosion@|@explosão@
@export@|@exportação@
@export tax@|@imposto de exportação@
@exportation@|@exportação@
@exporter@|@exportador@
@exposition@|@exibição, expo, exposição, mostra@
@expository@|@explicativo, expositivo@
@exposure@|@exposição, revelação, vulnerabilidade@
@express@|@encomenda expressa, explícito, mensagem urgente@
@express term@|@condição expressa@
@expressed@|@expresso, verbalizado@
@expression@|@declaração, expressão, locução@
@expressionist@|@expressionista@
@expressive@|@expressivo, significativo@
@exprobation@|@exprobação@
@expulsion@|@expulsão@
@exquisite@|@elegante, excelente, primoroso, requintado@
@ex-rights@|@sem direitos@
@extant@|@existente, sobrevivente@
@extemporaneous@|@extemporâneo, improvisado@
@extemporization@|@improvisação@
@extension@|@acréscimo, adição, extensão, prorrogação, ramal@
@Extension Rider@|@Anexo de Extensão (seguro)@
@extensive@|@amplo, dilatado, extensivo, vasto@
@extent@|@extensão, grandeza, grau, nível@
@exterior@|@exterior, externo@
@extermination@|@exterminação@
@external@|@exterior, externo@
@extinct@|@extinto@
@extinction@|@extinção@
@extortioner@|@chantagista@
@extra@|@excepcional, extra, extra (ator), redundante, suplementar@
@extra charge@|@despesas extras, sobretaxa@
@extract@|@excerto, extrato, sinopse, sumário@
@extraction@|@abstração, extração@
@extradition@|@extradição@
@extraordinary@|@extraordinário, notável@
@extraordinay@|@extraordinário@
@extra-sensory@|@extra-sensorial@
@extravagance@|@extravagância, prodigalidade@
@extravagant@|@extravagante, perdulário, pródigo@
@extreme@|@extremo@
@extreme unction@|@extrema-unção@
@extremely@|@extremamente, radicalmente@
@extremist@|@extremista, radical@
@extremity@|@extremidade@
@extricable@|@desembaraçável, deslindável@
@extrinsic@|@externo, extrínseco@
@extrovert@|@extrovertido@
@extruder@|@estrusora@
@exultant@|@exultante@
@eye@|@olho, percepção, visão, vista@
@eye round@|@lagarto (corte de carne)@
@eye specialist@|@oculista@
@eyeball@|@globo ocular@
@eyebrow@|@sobrancelha@
@eyelashes@|@cílios@
@eyelid@|@pálpebra@
@eye-opener@|@revelação@
@eyesore@|@feiúra, terçol@
@eyewitness@|@testemunha ocular@
@e-Zine (Electronic magaZine)@|@revista eletrônica@
@F@|@fá (nota musical)@
@F.P.A.@|@livre de avaria particular@
@F.X. (foreign exchange)@|@câmbio@
@fab@|@fabuloso@
@fable@|@fábula@
@fabric@|@tecido@
@fabricator@|@mentiroso@
@fabulous@|@fabuloso, mítico@
@face@|@face, rosto, semblante@
@face (watch)@|@mostrador@
@face amount@|@valor inicial, valor nominal, valor segurado@
@face lift@|@cirurgia plástica (facial)@
@face to face@|@face a face@
@face value@|@valor declarado, valor facial, valor nominal@
@faced@|@coberto, com cara de@
@faceless@|@descarado, sem rosto@
@facet@|@faceta@
@faceted@|@facetado@
@facile@|@afável, ágil, fácil, fluente, hábil, simples@
@facilities@|@facilidades, meios, oportunidades, vantagens@
@facilities (2)@|@instalações@
@facility@|@afabilidade, facilidade, lavatório, simplicidade@
@fact@|@fato, prova (Direito)@
@faction@|@facção@
@factive@|@factivo@
@factor@|@causa, divisor, fator, financiador@
@factoring@|@desconto de títulos@
@factory@|@fábrica, usina@
@factory cost@|@custo de fábrica@
@factual@|@de fato, factual@
@factual approach@|@abordagem factual@
@factually@|@factualmente, realisticamente@
@faculty@|@corpo docente, faculdade (mental)@
@fad@|@mania, moda passageira@
@fag@|@bicha (gíria), cigarro@
@faggot@|@24 (gíria), o mesmo que "fagot", veado (gíria)@
@fagot@|@efeminado, feixe@
@fail-safe@|@à prova de falha@
@failure@|@carência, colapso, falência, falha, falta, fracasso, malogro@
@fain@|@desejoso, disposto, preparado, resignado@
@faint@|@abatido, desfalecimento, desmaio, fraco@
@fainted@|@desmaiado@
@faintest@|@a menor sombra de, mínimo, mísero@
@faint-hearted@|@covarde, pusilânime@
@faintness@|@desfalecimento@
@fair@|@belo, equitativo, feira, honesto, justo, leal, legível, limpo, médio@
@fair game@|@objeto de escárnio@
@fair hair@|@cabelo louro@
@fair play@|@jogo limpo@
@fair price@|@preços justos@
@fairground@|@parque de diversões@
@fairly@|@bastante, claramente, corretamente@
@fairness@|@clareza, formosura, justiça, lealdade@
@fairweather-sailor@|@marinheiro de água doce@
@fairy@|@duende, fada, homossexual (gíria)@
@fairy tale@|@conto de fadas@
@fait accompli@|@fato consumado@
@faith@|@crença, fé@
@faithful@|@fiel, leal, sincero@
@fake@|@falsificação, falsificado, falsificador, falso@
@fakeer@|@faquir@
@faker@|@falsário, fraudador, impostor@
@fakery@|@falsificação@
@fakir@|@faquir@
@falcon@|@falcão@
@fall@|@baixa, queda@
@fall (EUA)@|@outono@
@fallacious@|@enganador, falaz@
@fallacy@|@engano, falácia, fraude@
@fallen@|@caído, decaído, prostrado@
@fallible@|@falível@
@falling-star@|@aerólito, estrela cadente@
@fallopian tube@|@trompa de Falópio@
@fallout@|@partículas@
@fallow@|@terra inculta@
@fallow ground@|@terra devoluta@
@false@|@artificial, desleal, errôneo, falso@
@false imprisonment@|@prisão ilegal@
@false teeth@|@dentadura@
@falsehood@|@falsidade@
@falseness@|@falsidade, perfídia@
@falsifiability@|@falsificabilidade@
@falsifiable@|@falsificável@
@falsified@|@falsificado@
@falsifying@|@falsificação@
@falsity@|@falsidade, mentira@
@faltering@|@gaguejante, hesitação, hesitante, titubeante@
@fame@|@fama, renome, reputação@
@famed@|@conhecido, famoso, ilustre, renomado@
@familiar@|@familiar, popular@
@familiarity@|@familiaridade, intimidade@
@family@|@família@
@Family Court@|@Vara de Família@
@family man@|@homem de família@
@family tree@|@árvore genealógica@
@famine@|@carestia, escassez, fome@
@famished@|@faminto@
@famishment@|@inanição@
@famous@|@badalado (coloquial)@
@fan@|@leque@
@fanatic@|@fanático@
@fancier@|@amador, entusiasta@
@fanciful@|@fantástico, utópico@
@fancy@|@fantasia@
@fancy ball@|@baile à fantasia@
@fancy dress@|@fantasia (roupa)@
@fancy free@|@desimpedido, despreocupado@
@fandom@|@entusiastas, seguidores@
@fanfare@|@fanfarra@
@fang@|@dente canino, presa@
@fanny (GB)@|@vagina, xoxota (vulgar)@
@fanny (UK)@|@vagina@
@fanny (USA)@|@bunda@
@fantastical@|@fantástico@
@fantasy@|@fantasia@
@far@|@distante, longe@
@far and near@|@por toda a parte@
@far back@|@muito atrás@
@Far East@|@Extremo Oriente@
@faraway@|@muito longe@
@farce@|@farsa, paródia@
@farce-player@|@farsante@
@fare@|@cardápio, carreto, frete, passagem@
@farewell@|@adeus@
@farewell party@|@bota-fora@
@far-fetched@|@afetado, artificial, forçado@
@far-flung@|@dilatado, extenso, remoto, vasto@
@farm@|@fazenda@
@farmer@|@agricultor, fazendeiro@
@farmer's union@|@sindicato dos plantadores@
@farmhouse@|@casa-grande (fazenda), sede (fazenda)@
@farming@|@agrícola, agricultura, atividade agrícola@
@far-off@|@distante, remoto@
@far-out (informal)@|@anormal, bizarro, esquisito@
@far-reaching@|@de grande projeção, de longo alcance@
@far-sighted@|@perspicaz@
@fart@|@peido, pum@
@farthest@|@a maior distância, o mais distante, remoto@
@fascicle@|@fascículo@
@fascination@|@fascinação@
@Fascism@|@fascismo@
@Fascist@|@fascista@
@fashion@|@talhe, uso@
@fashion designer@|@estilista@
@fashion editor@|@editor de moda@
@fashion industry@|@indústria da moda@
@fashion magazine@|@revista de moda@
@fashion scene@|@cena fashion@
@fashion school@|@escola de moda@
@fashion season@|@temporada de desfiles@
@fashion show@|@desfile de modas@
@fashion week@|@semana de moda@
@fashion world@|@mundo da moda@
@fashionable@|@elegante, estiloso, moderno, na moda@
@fast@|@veloz@
@fast (2)@|@jejum@
@fast one@|@engodo, trapaça@
@fasten your seat belts@|@apertem os cintos de segurança@
@faster@|@mais rápido(a)@
@fastidious@|@pesado@
@fat@|@banha, gordo, gordura, graxa, obeso@
@fate@|@destino, fado, morte, sina, sorte@
@father@|@padre, pai@
@father-in-law@|@sogro@
@fatherly@|@paternal, paterno@
@fathom@|@braça@
@fathomless@|@impenetrável, insondável@
@fatigue@|@estafa@
@fatness@|@gordura, obesidade@
@faucet@|@torneira@
@fault@|@defeito, dolo, engano, falha@
@fault line@|@falha geológica@
@faulty@|@defeituoso, falho@
@fauna@|@fauna@
@fava bean@|@fava@
@favoritism@|@discriminação, favoritismo@
@favour@|@favor, obséquio@
@favourite@|@favorito(a), queridinho(a)@
@fealty@|@fidelidade, lealdade@
@fear@|@cagaço (vulgar), medo, receio, temor@
@fearful@|@medroso@
@fearless@|@destemido, impávido@
@feasible@|@possível, provável@
@feast@|@festa, folia@
@feat@|@feito, proeza@
@feather@|@pena@
@featherbed@|@colchão de penas, colchão de plumas@
@featherbedding@|@sinecura@
@feathering@|@plumagem@
@feathery@|@alado, emplumado, fofo, leve, plumoso, volúvel@
@feature@|@aspecto, característica, feição, reportagem@
@feature-film@|@filme de longa-metragem@
@February@|@fevereiro@
@feces@|@fezes@
@fed@|@alimentado, nutrido@
@fed up@|@cansado de, desgostoso@
@fed up with@|@farto de@
@federal@|@federal@
@federation@|@federação@
@federative@|@federativo@
@fed-up@|@farto@
@fee@|@comissão, honorário(s), pagamento, propriedade, taxa@
@feeble@|@débil, fraco, franzino@
@feedback@|@realimentação, regeneração, resposta@
@feedback loop@|@alça de realimentação@
@feeding bottle@|@mamadeira@
@feeding-bottle@|@mamadeira@
@feeling@|@comovente, emoção, opinião, percepção, sentimento@
@feet@|@pés@
@feint@|@artifício, fingimento, simulação@
@feldspar@|@feldspato@
@felicific calculus@|@cálculo da felicidade@
@felicity@|@felicidade@
@fellatio@|@boquete (vulgar), fellatio@
@fellow@|@companheiro, indivíduo@
@fellow citizen@|@concidadão@
@fellowship@|@agremiação, companhia, confraria, irmandade@
@felo-de-se@|@suicida@
@felon@|@criminoso@
@felony@|@crime, perversidade@
@felt@|@feltro@
@felt pen@|@caneta hidrográfica@
@female@|@fêmea@
@female masturbation@|@masturbação feminina, siririca (vulgar)@
@feminine@|@feminino@
@feminism@|@feminismo@
@feminist@|@feminista@
@feminist movement@|@movimento feminista@
@femur@|@fêmur@
@fence@|@cerca, cercado, sebe, tapume@
@fencer@|@construtor de cercas, esgrimista, espadachim@
@fencing@|@cercado, esgrima, subterfúgio@
@fender@|@defensa (navio), pára-choque, pára-lama, proteção@
@feoff@|@feudo@
@feral@|@selvagem@
@ferine@|@ferino@
@ferment@|@fermentação, fermento@
@fermentation@|@fermentação@
@fern@|@feto (planta), samambaia@
@ferocious@|@feroz@
@ferociously@|@ferozmente@
@ferreous@|@férreo@
@ferret@|@furão, jogador de críquete (AUS), pênis (AUS)@
@ferris-wheel@|@roda-gigante@
@ferry@|@balsa, passagem@
@ferryboat@|@balsa@
@fertile@|@fértil@
@fertilization@|@fertilização@
@fertilizer@|@fertilizante@
@fervency@|@ardor@
@fervent@|@ardente, fervoroso@
@fervour@|@ardor, fervor@
@festival@|@festa, festival@
@festive@|@alegre, divertido, festival, festivo@
@fetid@|@fétido@
@fetid smell@|@catinga@
@fetter@|@estorvo, grilhão, limitação@
@fetters@|@algemas, cadeias@
@fettle@|@boa condição, boa forma, boa saúde@
@fetus@|@feto@
@feud@|@contenda, rixa@
@feudal@|@feudal@
@fever@|@febre@
@few@|@poucas(os)@
@fiancé@|@noivo@
@fiancée@|@noiva@
@fib@|@lorota, mentira, peta@
@fibber@|@mentiroso@
@fiber@|@filamento@
@fibre@|@fibra@
@fibreglass@|@fibra de vidro (GB)@
@fibrin@|@fibrina@
@fibrinogen@|@fibrinogênio@
@fibrous@|@fibroso@
@fibula@|@perônio@
@fickle@|@caprichoso, errático, volúvel@
@fiction@|@ficção@
@fictitious@|@fictício@
@fiddle@|@fraude, rabeca, trapaça, violino@
@fiddle-faddle@|@bobagem@
@fidelity@|@fidelidade, lealdade, probidade@
@fief@|@feudo@
@field@|@campo@
@field of regard@|@campo de observação (máximo), campo visual@
@field office@|@escritório local@
@field theory@|@teoria de campo@
@fierce@|@ameaçador, bravio, feroz@
@fiery@|@abrasador, ardente, ígneo@
@fifteen@|@quinze@
@fifth@|@quinto(a)@
@fifty@|@cinqüenta@
@fig@|@figa, figo, ninharia@
@fight@|@briga, combate, luta@
@fighter@|@avião de combate, combatente, lutador, pugilista@
@fighting cock@|@galo de briga@
@figment@|@fábula, ficção@
@figural@|@figurativo, representativo@
@figurative@|@figurativo, imaginativo, metafórico, simbólico@
@figuratively@|@figurativamente@
@figure@|@figura@
@figure of speech@|@expressão figurada@
@figured bass@|@baixo cifrado@
@figurehead@|@figura de proa, testa-de-ferro@
@filament@|@filamento@
@filbert@|@avelã@
@file@|@arquivo, fichário, fila, lima, pasta de papéis@
@file server@|@servidor de arquivos@
@filet mignon@|@filé mignon@
@filial@|@filial (genética)@
@filiform@|@nematóide@
@filigree@|@filigrana@
@fill@|@suficiência@
@fille (French)@|@garota, jovem (mulher)@
@fillet@|@filé@
@filling@|@adição, enchimento, recheio@
@filling (of a tooth)@|@obturação@
@filling-station@|@posto de gasolina@
@fillip@|@estímulo, incentivo@
@filly@|@potranca@
@film@|@filme, fita de cinema, pele fina@
@film scoring@|@trilha sonora para cinema@
@filmy@|@delgado, tênue@
@filth@|@lixo@
@filthy@|@imundo, indecente, sujo@
@fin@|@barbatana, cinco, nadadeira, rabo-de-peixe (carro)@
@final@|@conclusivo, exame final, terminal, último@
@final inspection@|@inspeção final@
@final product@|@produto final@
@final touch@|@acabamento@
@finale@|@final, finale (música)@
@finality@|@finalidade@
@finally@|@enfim@
@finance@|@finanças, tesouro@
@finances@|@fundos (economia)@
@financial@|@financeiro@
@financial charges@|@encargos financeiros@
@financial standing position@|@situação financeira@
@financial year@|@exercício@
@financing@|@financiamento@
@finch@|@tentilhão@
@find@|@achado, descoberta@
@finder@|@descobridor@
@fine@|@delicado, multa, ótimo, pena@
@fine arts@|@belas artes@
@fine tuned@|@perfeitamente ajustado@
@fineness@|@delicadeza, fineza, sutileza@
@finery@|@vestimenta@
@finest@|@o melhor@
@finger@|@dedo (da mão)@
@finger-fucking@|@siririca (vulgar)@
@fingering@|@dedilhado@
@fingernail@|@unha@
@fingerprint@|@impressão digital@
@finger-tip@|@ponta do dedo@
@finish@|@acabamento, conclusão, fim, polimento, remate@
@finished goods@|@produtos acabados@
@finishing@|@acabamento@
@finitary methods@|@métodos finitistas@
@finite@|@finito, limitado@
@fink@|@fura-greve, informante, X-9 (gíria carioca)@
@fir@|@abeto@
@fire@|@chama, fogo, fogueira, furor, incêndio, lume, tiro@
@fire alarm@|@alarme contra incêndio@
@fire brigade@|@brigada de incêndio, corpo de bombeiros (GB)@
@fire clay@|@argila refratária@
@fire department@|@corpo de bombeiros@
@fire drill@|@simulação de incêndio@
@fire eater@|@bombeiro, engolidor de fogo, pavio curto (gíria)@
@fire escape@|@escada de incêndio, saída de emergência@
@fire extinguisher@|@extintor de incêndio@
@fire fighting squad@|@brigada de incêndio, equipe de combate a incêndio@
@fire hose@|@mangueira de incêndio@
@fire insurance@|@seguro contra incêndio@
@fire-alarm@|@alarme de incêndio@
@firearm@|@arma de fogo@
@firebrand@|@tição@
@firecracker@|@busca-pé@
@firefighter@|@bombeiro@
@firefly@|@pirilampo, vaga-lume@
@fireman@|@bombeiro, foguista@
@fireplace@|@fogão, lareira@
@fireproof@|@à prova de fogo@
@firewood@|@lenha@
@firework@|@fogo de artifício@
@firing@|@tiroteio@
@firing range@|@temperatura de queima@
@firing type@|@tipo de queima@
@firm@|@empresa, firma (comercial), razão social, tenaz@
@firmament@|@céu@
@first@|@anterior, começo, primeiro(a), princípio@
@first aid@|@primeiros socorros@
@first cause argument@|@argumento da causa primeira@
@first course@|@entrada (cardápio)@
@first floor@|@primeiro andar@
@first hand@|@primeira mão@
@first mail@|@primeira mala (postal)@
@first mate (ship)@|@imediato@
@first of all@|@antes de mais nada@
@first of exchange@|@original de letra de câmbio@
@first-aid room@|@ambulatório@
@fiscal@|@financeiro, fiscal@
@fiscal year@|@ano contábil, exercício fiscal@
@fish@|@peixe, pescado@
@fish caught@|@pescado@
@fishbone@|@espinha-de-peixe@
@fisherman@|@pescador@
@fishery@|@pesca, pescaria@
@fishhook@|@anzol@
@fishing@|@pesca, pescador@
@fishmonger@|@peixeiro@
@fishnet hose@|@meia arrastão@
@fishwife@|@peixeira (vendedora de peixe)@
@fishy@|@esquisito (coloquial)@
@fission@|@divisão, fissão (nuclear)@
@fissure@|@rachadura@
@fist@|@punho@
@fit@|@adaptação, ajuste, apto, ataque, convulsão, talhe@
@fitful@|@espasmódico, intermitente, irregular@
@fitness@|@aptidão, conveniência@
@fitting@|@acessório, adequado@
@fittings@|@acessórios, móveis e utensílios@
@five@|@cinco@
@fivesome@|@quinteto@
@fix@|@conserto, dificuldade@
@fixed@|@consertado, determinado, fixo, imóvel, ordenado@
@fixed assets@|@ativo fixo, ativo imobilizado@
@fixed costs@|@custos fixos@
@fixed interest rate@|@juros prefixados@
@fixed term@|@termo fixo (seguro)@
@fixture@|@acessório, fixação, fixidez, instalação@
@flaccid@|@flácido, frouxo, mole@
@flag@|@bandeira@
@flagon@|@garrafão@
@flagpole@|@mastro@
@flagrant@|@flagrante, notório@
@flagship@|@nau capitânia@
@flagstaff@|@mastro (de bandeira)@
@flagstone@|@laje@
@flail@|@mangual@
@flair@|@discernimento, faro, instinto, olfato, propensão@
@flake@|@camada, faísca, floco, lâmina, lasca@
@flake (slang)@|@cabeça de vento, esquecido@
@flamboyant@|@berrante (cor), esplendoroso, flamboyant (árvore)@
@flame@|@chama, lume@
@flaming@|@ardente, flamejante, fogoso@
@flamingo@|@maranhão@
@Flanders@|@Flandres@
@flange@|@beira, orla@
@flank@|@flanco, lado@
@flank steak@|@bife de vazio, pacu (corte de carne)@
@flannel@|@flanela@
@flannels@|@roupa de flanela@
@flap@|@aba, batida, golpe, lapela, pancada, susto@
@flare@|@chama, clarão, lampejo@
@flare gun@|@sinalizador@
@flared skirt@|@saia evasê, saia rodada@
@flash@|@clarão, faísca, lampejo, momento, relâmpago@
@flash of lightning@|@raio@
@flashback@|@flashback@
@flashlight@|@flash (lâmpada), holofote, lanterna elétrica@
@flashy@|@efêmero, espalhafatoso, pomposo@
@flask@|@frasco, garrafa térmica@
@flat@|@apartamento, bemol, chato, plano@
@flat extra@|@fixo adicional (seguro)@
@flat guitar@|@violão eletro-acústico@
@flat iron@|@ferro elétrico@
@flat macaroni@|@talharim@
@flat out (AUS)@|@o mais rápido possível@
@flat rate@|@taxa fixa@
@flat roof@|@terraço@
@flat yield@|@rendimento fixo@
@flatcar@|@vagão-plataforma, vagão aberto de trem@
@flatted@|@bemolizado@
@flatterer@|@adulador, bajulador, galanteador@
@flattery@|@lisonja@
@flattop@|@porta-aviões (navio)@
@flatulence@|@flatulência@
@flatulent@|@flatulento@
@flatworm@|@platelminto@
@flaunt@|@ostentação@
@flavour@|@aroma, condimento, gosto, sabor, tempero@
@flavourous@|@saboroso@
@flaw@|@defeito, falha, rachadura@
@flawless@|@perfeito, sem defeito@
@flax@|@linho@
@flea@|@pulga@
@fleapit (GB)@|@pulgueiro@
@fleet@|@esquadra, frota, ligeiro, rápido, veloz@
@fleeting@|@fugaz, passageiro@
@flesh@|@corpo, robustez@
@flesh (human)@|@carne@
@fleshed out@|@elaborado, expandido, exposto@
@fleshly@|@carnal@
@fleshy@|@carnudo@
@fleur-de-lis@|@flor-de-lis@
@flex@|@fio flexível@
@flexibility@|@flexibilidade@
@flexible@|@flexível@
@flexible exchange rate@|@taxa de câmbio flexível@
@flexible premiums@|@prêmios flexíveis (seguro)@
@flick@|@chicotada, filme (gíria), pancadinha, piparote@
@flicker@|@centelha, luz bruxuleante, vacilação@
@flickering@|@bruxuleante@
@flight@|@vôo@
@flight attendant@|@comissário de bordo@
@flighty@|@amalucado, descuidado, tonto, volúvel@
@flint@|@pederneira, pedra@
@flintlock@|@arma de pederneira@
@flintstone@|@calhau@
@flip@|@arremesso, cambalhota, insolente@
@flippancy@|@impertinência@
@flippant@|@irreverente, petulante@
